
[00:00:00.000 --> 00:00:07.640]   Good morning, everybody.
[00:24:44.080 --> 00:24:50.320]   Verse one, "Paul, a bondservant of God and an apostle of Jesus Christ, for the faith
[00:24:50.320 --> 00:24:57.680]   of those chosen of God and the knowledge of the truth which is according to godliness."
[00:24:57.680 --> 00:25:04.200]   I hear something that I hope you will see when we study through the epistle to Titus.
[00:25:04.200 --> 00:25:12.520]   Building the church God's way is not humanly possible.
[00:25:12.520 --> 00:25:16.640]   Building the church God's way is not humanly possible.
[00:25:16.640 --> 00:25:20.120]   So if you were writing down an application, "Okay, I need to focus on building the church,"
[00:25:20.120 --> 00:25:23.080]   it's not done through human effort.
[00:25:23.080 --> 00:25:28.020]   So you and I in our own strength cannot build his church.
[00:25:28.020 --> 00:25:35.960]   You and I, no matter how eager we are or how devoted we are, cannot beautify or cosmeo
[00:25:35.960 --> 00:25:39.560]   ourselves through human effort.
[00:25:39.560 --> 00:25:46.960]   So good deeds or good works does not come from our determination or our planning.
[00:25:46.960 --> 00:25:51.320]   Resolutions do not produce good deeds.
[00:25:51.320 --> 00:25:57.840]   Human strategy, human ability, human ingenuity, clever management of the church, studly leaders,
[00:25:57.840 --> 00:26:08.200]   just wealthy members, skilled people are not enough to build a God-honoring church.
[00:26:08.200 --> 00:26:11.600]   And this is touched upon from the very opening of the letter.
[00:26:11.600 --> 00:26:14.840]   First, God is the one who is doing the choosing.
[00:26:14.840 --> 00:26:16.120]   Okay, so you see that?
[00:26:16.120 --> 00:26:18.760]   The faith of those chosen of God.
[00:26:18.760 --> 00:26:25.760]   Second, godliness also comes from something outside of human effort, something beyond
[00:26:25.760 --> 00:26:29.040]   the determination of man.
[00:26:29.040 --> 00:26:36.000]   So the Greek preposition kata, it's translated "for."
[00:26:36.000 --> 00:26:40.640]   In the English word "for," it can mean all kinds of different things, okay?
[00:26:40.640 --> 00:26:45.000]   But the "for" usually indicates purpose.
[00:26:45.000 --> 00:26:46.960]   And it appears twice in this opening verse.
[00:26:46.960 --> 00:26:51.940]   And at both times, kata is followed by accusative singular feminine nouns, okay?
[00:26:51.940 --> 00:26:54.520]   So they're direct objects.
[00:26:54.520 --> 00:26:59.140]   So faith, kata faith, and kata godliness.
[00:26:59.140 --> 00:27:03.920]   So Paul is writing this letter to Titus to primarily address and encourage, one, the
[00:27:03.920 --> 00:27:09.280]   faith of the elect of God, and two, the godliness of the elect.
[00:27:09.280 --> 00:27:12.320]   That's the purpose of the letter.
[00:27:12.320 --> 00:27:14.400]   But verse one is a little tricky.
[00:27:14.400 --> 00:27:16.380]   It's a little difficult to translate.
[00:27:16.380 --> 00:27:20.840]   And that's why if you do a comparison of different translations, the rendering of the verses
[00:27:20.840 --> 00:27:22.760]   differ slightly.
[00:27:22.760 --> 00:27:30.640]   And the biggest question here is, what is the relationship of the knowledge of the truth
[00:27:30.640 --> 00:27:33.480]   to godliness?
[00:27:33.480 --> 00:27:38.840]   If we're supposed to be known by good deeds, godliness is measurable, then what's this
[00:27:38.840 --> 00:27:46.920]   relationship with knowledge as it relates to godliness?
[00:27:46.920 --> 00:27:48.760]   So that's a very important question.
[00:27:48.760 --> 00:27:53.880]   Does a knowledge of the truth lead to godliness, as NIV seems to suggest?
[00:27:53.880 --> 00:27:56.280]   Is godliness a measuring stick for truth?
[00:27:56.280 --> 00:27:57.280]   Can it be both?
[00:27:57.280 --> 00:27:58.900]   Is it both?
[00:27:58.900 --> 00:28:01.600]   Does godliness lead to greater understanding of truth?
[00:28:01.600 --> 00:28:05.080]   Because sometimes when I'm in a sin, I kind of forget things.
[00:28:05.080 --> 00:28:07.940]   When I'm ungodly, the truth is blurred.
[00:28:07.940 --> 00:28:12.880]   But when I am being more godly, does that mean the truth is highlighted in my life?
[00:28:12.880 --> 00:28:15.920]   That's an important question you're going to wrestle with in about a week and a half.
[00:28:15.920 --> 00:28:17.420]   And after that, it becomes easy.
[00:28:17.420 --> 00:28:19.600]   The next 45 verses aren't as bad.
[00:28:19.600 --> 00:28:20.600]   They're more clear-cut.
[00:28:20.600 --> 00:28:22.620]   So here's a forewarning.
[00:28:22.620 --> 00:28:26.920]   If you start with it and verse one is really difficult, it gets better.
[00:28:26.920 --> 00:28:27.920]   So just don't quit.
[00:28:27.920 --> 00:28:28.920]   All right?
[00:28:28.920 --> 00:28:32.840]   So here's the point throughout the flow of the whole letter.
[00:28:32.840 --> 00:28:37.160]   Right belief and right behavior are inseparable.
[00:28:37.160 --> 00:28:39.240]   You are what you know, okay?
[00:28:39.240 --> 00:28:43.160]   Right belief and right behavior are inseparable.
[00:28:43.160 --> 00:28:50.560]   My understanding of the opening of this passage is that truly right belief leads to right
[00:28:50.560 --> 00:28:53.040]   behavior.
[00:28:53.040 --> 00:28:57.320]   Right behavior is evidence of your right belief.
[00:28:57.320 --> 00:29:02.080]   If you have knowledge of God but your life is not consistent with your knowledge, you
[00:29:02.080 --> 00:29:07.920]   prove that you actually don't have knowledge, that you are a buffoon, and that you are in
[00:29:07.920 --> 00:29:11.080]   denial and rebellion toward God.
[00:29:11.080 --> 00:29:18.740]   Titus 1:16, "They profess to know God, but by their deeds they deny him, being detestable
[00:29:18.740 --> 00:29:23.220]   and disobedient and worthless for any good deed."
[00:29:23.220 --> 00:29:28.920]   So right belief and right behavior are inseparable.
[00:29:28.920 --> 00:29:38.240]   And in Titus, you find people of the circumcision and you find lazy gluttons in Crete, okay?
[00:29:38.240 --> 00:29:44.600]   They all profess to know God, but they have no idea what it is that they're professing.
[00:29:44.600 --> 00:29:49.440]   They're professing to be wise, but they are fools.
[00:29:49.440 --> 00:29:56.160]   Romans 1:22 says something very similar, "Professing to be wise, they became fools."
[00:29:56.160 --> 00:30:04.100]   So the Bible makes it clear that genuine knowledge of the truth always produces godliness.
[00:30:04.100 --> 00:30:12.720]   So this begs an important question, what then is the knowledge of the truth?
[00:30:12.720 --> 00:30:19.380]   The godly deeds are expected from me, from the church, and there's a relationship between
[00:30:19.380 --> 00:30:22.120]   godly deeds and knowledge of the truth.
[00:30:22.120 --> 00:30:24.540]   I need some more of that.
[00:30:24.540 --> 00:30:26.200]   How do I apply this?
[00:30:26.200 --> 00:30:28.660]   So what is knowledge of the truth?
[00:30:28.660 --> 00:30:32.960]   And that is a very important question, and I'm going to start with some things that are
[00:30:32.960 --> 00:30:37.540]   mistaken for the knowledge of the truth, okay?
[00:30:37.540 --> 00:30:44.180]   First one is having correct or extensive theological proficiency.
[00:30:44.180 --> 00:30:48.500]   Having correct or extensive theological proficiency.
[00:30:48.500 --> 00:30:54.900]   You can be well-read in your theology and still not know God, and still not know the
[00:30:54.900 --> 00:30:56.820]   truth.
[00:30:56.820 --> 00:31:04.820]   You can be a biblical scholar and still not know the truth.
[00:31:04.820 --> 00:31:09.620]   Being raised in Sunday school and being familiar with all the stories, is that knowledge of
[00:31:09.620 --> 00:31:11.300]   the truth?
[00:31:11.300 --> 00:31:15.760]   Being at church for three decades, four decades, five decades out of my life, we do church
[00:31:15.760 --> 00:31:21.140]   every Sunday, is that knowledge of the truth?
[00:31:21.140 --> 00:31:27.220]   As an aside, one of the problems of my generation is that many of us have only grown up on children's
[00:31:27.220 --> 00:31:29.180]   Bible theology.
[00:31:29.180 --> 00:31:31.020]   What is that?
[00:31:31.020 --> 00:31:37.620]   Where 40% of all my Christianity is Genesis, 50% of all my Christianity is Jesus' miracles
[00:31:37.620 --> 00:31:42.860]   and his road to the cross, and the 10% is Jonah, David, Samson, Goliath, and some Elijah
[00:31:42.860 --> 00:31:43.860]   and Elisha.
[00:31:43.860 --> 00:31:44.940]   That's my faith.
[00:31:44.940 --> 00:31:46.380]   One saved, always saved.
[00:31:46.380 --> 00:31:47.380]   Don't mess with me.
[00:31:47.380 --> 00:31:48.740]   My eternity is secure.
[00:31:48.740 --> 00:31:54.100]   That's children's Bible theology.
[00:31:54.100 --> 00:31:58.560]   Another thing that's often mistaken for the knowledge of the truth is having a strong
[00:31:58.560 --> 00:32:03.340]   moral compass or a tender conscience.
[00:32:03.340 --> 00:32:08.820]   You know that guy, every time he sees a poor person on the street, he gets teary.
[00:32:08.820 --> 00:32:10.420]   He's moved to compassion.
[00:32:10.420 --> 00:32:11.980]   He's moved to give.
[00:32:11.980 --> 00:32:13.700]   That guy has something that I don't have.
[00:32:13.700 --> 00:32:14.900]   Maybe he knows God.
[00:32:14.900 --> 00:32:18.520]   He's closer to God because he's so generous with people.
[00:32:18.520 --> 00:32:20.500]   This person never loses her temper.
[00:32:20.500 --> 00:32:22.600]   She's such a good listener.
[00:32:22.600 --> 00:32:29.560]   She is so nice when our pastor is very mean.
[00:32:29.560 --> 00:32:30.880]   Maybe she knows something.
[00:32:30.880 --> 00:32:33.540]   There's a knowledge of God in her.
[00:32:33.540 --> 00:32:38.180]   That's also sometimes mistaken as knowledge of the truth.
[00:32:38.180 --> 00:32:44.740]   Having a passion for strong Christian values is often mistaken for knowledge of the truth.
[00:32:44.740 --> 00:32:45.740]   Don't drink.
[00:32:45.740 --> 00:32:46.740]   Don't cuss.
[00:32:46.740 --> 00:32:47.740]   Don't gamble.
[00:32:47.740 --> 00:32:48.740]   Don't cheat.
[00:32:48.740 --> 00:32:49.740]   Don't watch inappropriate things.
[00:32:49.740 --> 00:32:50.740]   Don't do.
[00:32:50.740 --> 00:32:52.240]   Don't do.
[00:32:52.240 --> 00:32:57.220]   And I value those things.
[00:32:57.220 --> 00:33:00.780]   That's not knowledge of the truth.
[00:33:00.780 --> 00:33:08.900]   Being active in a church, being active in a Bible church does not equate to knowledge
[00:33:08.900 --> 00:33:10.540]   of the truth.
[00:33:10.540 --> 00:33:15.540]   And these are things that are often mistaken for knowledge of the truth.
[00:33:15.540 --> 00:33:19.180]   Knowledge of the truth will always lead to these things.
[00:33:19.180 --> 00:33:26.540]   Having better theology, having a tender, compassionate heart, being active in church, having strong
[00:33:26.540 --> 00:33:28.640]   Christian principles and values.
[00:33:28.640 --> 00:33:32.500]   Knowledge of the truth always leads to those things, but it's possible for the habitual
[00:33:32.500 --> 00:33:38.300]   church attender to have all of these things and have no knowledge of the truth.
[00:33:38.300 --> 00:33:43.100]   Knowing a lot about God is not the same as knowing God.
[00:33:43.100 --> 00:33:48.700]   Getting a dating app, finding a girl that seems attractive on paper, pursuing her just
[00:33:48.700 --> 00:33:56.500]   from that through text, engaging in an email is not a relationship.
[00:33:56.500 --> 00:33:59.740]   Knowing a lot about God is not the same as knowing God.
[00:33:59.740 --> 00:34:03.640]   I want to share with you a couple of Jesus' own definitions to describe what the knowledge
[00:34:03.640 --> 00:34:07.660]   of the truth entails.
[00:34:07.660 --> 00:34:15.660]   There's a belief, there's a discerning of the shepherd's voice, and a following.
[00:34:15.660 --> 00:34:18.580]   Okay, John 10, 26-28.
[00:34:18.580 --> 00:34:22.340]   There's a belief, a discerning of the shepherd's voice, and a following.
[00:34:22.340 --> 00:34:26.100]   You do not believe because you are not of my sheep.
[00:34:26.100 --> 00:34:31.960]   My sheep hear my voice, and I know them, and they follow me.
[00:34:31.960 --> 00:34:35.860]   And I give eternal life to them, and they will never perish.
[00:34:35.860 --> 00:34:39.140]   And no one will snatch them out of my hand.
[00:34:39.140 --> 00:34:42.980]   That's one aspect of it.
[00:34:42.980 --> 00:34:46.540]   Knowledge of the truth is also what sanctifies a believer of Christ.
[00:34:46.540 --> 00:34:50.180]   John 17, 17.
[00:34:50.180 --> 00:34:52.540]   Sanctify them in the truth.
[00:34:52.540 --> 00:34:56.180]   Your word is truth.
[00:34:56.180 --> 00:35:00.180]   So what is this?
[00:35:00.180 --> 00:35:04.980]   What does it mean to know the truth?
[00:35:04.980 --> 00:35:11.500]   This is my definition, an intimate and growing understanding of the heart of God through
[00:35:11.500 --> 00:35:16.080]   feeding from the word of God.
[00:35:16.080 --> 00:35:22.420]   An intimate and growing understanding of the heart of God through feeding from the
[00:35:22.420 --> 00:35:25.420]   word of God.
[00:35:25.420 --> 00:35:32.180]   And knowledge of the truth always leads to the godliness of the believer.
[00:35:32.180 --> 00:35:38.060]   So here are two questions that I want to throw at you.
[00:35:38.060 --> 00:35:40.980]   Are you a godly person?
[00:35:40.980 --> 00:35:46.600]   And here's another question.
[00:35:46.600 --> 00:35:50.040]   How do you become more godly?
[00:35:50.040 --> 00:35:51.040]   Morning prayer?
[00:35:51.040 --> 00:35:52.040]   Memorize Titus?
[00:35:52.040 --> 00:35:54.420]   How do you become more godly?
[00:35:54.420 --> 00:35:56.740]   Give money to the poor?
[00:35:56.740 --> 00:36:03.040]   Be patient with those who wrong you?
[00:36:03.040 --> 00:36:06.800]   I've been a Christian for 28 years now.
[00:36:06.800 --> 00:36:13.780]   This is my 21st year of pastoral ministry, and the older I get, the more I grow in pastoral
[00:36:13.780 --> 00:36:19.820]   ministry with each passing year of being a Christian.
[00:36:19.820 --> 00:36:29.780]   It's strange because the more inadequate, the more hypocritical, and the dirtier I feel.
[00:36:29.780 --> 00:36:37.420]   When I was a pastor in my 20s, I would tell myself and psych myself up, "Dude, you're
[00:36:37.420 --> 00:36:40.220]   God's gift to Christendom.
[00:36:40.220 --> 00:36:42.280]   Change the world for Jesus.
[00:36:42.280 --> 00:36:44.580]   You can do it.
[00:36:44.580 --> 00:36:49.260]   You can do all things through Christ who strengthens you.
[00:36:49.260 --> 00:36:54.500]   God needs you!" was what I thought.
[00:36:54.500 --> 00:37:00.060]   And then I hit my 30s, and I matured a little.
[00:37:00.060 --> 00:37:04.840]   It was, "Okay, accurately handle God's Word.
[00:37:04.840 --> 00:37:08.220]   Be faithful to God's Word."
[00:37:08.220 --> 00:37:14.200]   But now I'm a few years into my 40s, and you know what my mantra is now?
[00:37:14.200 --> 00:37:19.040]   Don't do something so stupid and get disqualified from ministry.
[00:37:19.040 --> 00:37:24.340]   Don't be stupid and get disqualified from ministry.
[00:37:24.340 --> 00:37:33.380]   With each passing year, I'm becoming more increasingly aware of who I'm not.
[00:37:33.380 --> 00:37:38.340]   There is nothing good in me outside of Christ, and I'm becoming more and more aware of my
[00:37:38.340 --> 00:37:44.580]   hopelessness without the grace of God sustaining me day to day.
[00:37:44.580 --> 00:37:53.300]   There is so much in my heart that desires comfort, pleasure, glory.
[00:37:53.300 --> 00:38:01.500]   In my heart, there are areas of it that are still so fond of sin.
[00:38:01.500 --> 00:38:09.040]   And I, in my effort, always mess things up, and I taint everything.
[00:38:09.040 --> 00:38:14.820]   When I work hard for something spiritual and it goes well, you know who I want to give
[00:38:14.820 --> 00:38:16.540]   credit to?
[00:38:16.540 --> 00:38:22.960]   I can package it before you in a nice way, but when I do something spiritually well,
[00:38:22.960 --> 00:38:26.580]   I try to take the credit.
[00:38:26.580 --> 00:38:36.900]   If I teach or preach or lead well, I naturally attribute it to my preparation, my hard work,
[00:38:36.900 --> 00:38:40.760]   my skill.
[00:38:40.760 --> 00:38:49.340]   The harder I work, the more I corrupt, the more I taint, the more I just make things
[00:38:49.340 --> 00:38:52.940]   foul and dirty.
[00:38:52.940 --> 00:39:00.420]   So I'm discovering that my hard work has done nothing but to frustrate and only make me
[00:39:00.420 --> 00:39:06.280]   more outwardly religious.
[00:39:06.280 --> 00:39:13.820]   No amount of hard work has made me any godlier in the last 28 years as a Christian or 21
[00:39:13.820 --> 00:39:17.820]   years as a pastor.
[00:39:17.820 --> 00:39:23.100]   And I've realized something through the years.
[00:39:23.100 --> 00:39:30.620]   There's actually only one thing I can control, one thing I can pursue to become godlier and
[00:39:30.620 --> 00:39:38.300]   more Christ-like, repentance.
[00:39:38.300 --> 00:39:45.020]   You know, the more I study the scriptures, the ungodlier I feel.
[00:39:45.020 --> 00:39:50.860]   The more hypocritical I sound in my head as I preach.
[00:39:50.860 --> 00:39:55.380]   The more I study God's word, the more the blemishes and the blotches and the dirty things
[00:39:55.380 --> 00:39:58.540]   that I see.
[00:39:58.540 --> 00:40:06.140]   The more I study the scriptures, I'm reminded that not only do I not measure up, there's
[00:40:06.140 --> 00:40:14.220]   a lot still in me that just stands in outright rebellion toward the God of the universe.
[00:40:14.220 --> 00:40:23.660]   So the only thing that I can pursue and control really is not to resist when His word washes
[00:40:23.660 --> 00:40:32.420]   me, when His word purifies me, when His word cuts me and carves me up, not to resist and
[00:40:32.420 --> 00:40:37.060]   just surrender.
[00:40:37.060 --> 00:40:47.500]   I can't work any harder to become godlier, but I can stay exposing my heart before the
[00:40:47.500 --> 00:40:55.300]   word of God, and He sanctifies and purifies and washes me.
[00:40:55.300 --> 00:41:06.260]   And whenever the areas of sin are revealed, don't justify it, don't make excuses, just
[00:41:06.260 --> 00:41:11.820]   acknowledge, don't compare, and just repent.
[00:41:11.820 --> 00:41:20.260]   You know, the interesting thing is, is as I'm interacting with God's word and my heart
[00:41:20.260 --> 00:41:30.660]   is moved to repentance, I find myself to be a more zealous worshiper.
[00:41:30.660 --> 00:41:36.700]   As I'm sitting there humiliated and humbled, a few things happen.
[00:41:36.700 --> 00:41:42.480]   The grace of God, the cross of Christ, becomes that much more beautiful.
[00:41:42.480 --> 00:41:47.340]   The forgiveness and the patience of God becomes that much more sweet.
[00:41:47.340 --> 00:41:53.560]   The forest in my eyes get exposed, so when I see a little speck in someone else, I have
[00:41:53.560 --> 00:42:01.380]   compassion and love and patience.
[00:42:01.380 --> 00:42:08.740]   Repenting before the word, before the Lord, leads me to have a greater appreciation of
[00:42:08.740 --> 00:42:09.740]   my Savior.
[00:42:09.740 --> 00:42:12.660]   I grow more loving.
[00:42:12.660 --> 00:42:19.580]   You know, funny thing is, true biblical knowledge never leads to legalism.
[00:42:19.580 --> 00:42:22.940]   Does that make sense?
[00:42:22.940 --> 00:42:28.540]   True biblical knowledge never leads to legalism.
[00:42:28.540 --> 00:42:32.300]   Legalism comes from biblical illiteracy.
[00:42:32.300 --> 00:42:36.100]   It's spiritual ignorance on fire.
[00:42:36.100 --> 00:42:45.020]   True biblical literacy, where you know the truth of God, will always bring forth terror,
[00:42:45.020 --> 00:42:48.500]   humility, and compassion.
[00:42:48.500 --> 00:42:55.060]   That always happens because the knowledge of the truth sanctifies and beautifies the
[00:42:55.060 --> 00:42:56.060]   believer.
[00:42:56.060 --> 00:42:59.700]   Godliness does not come from effort or hard work.
[00:42:59.700 --> 00:43:05.020]   It's the bridegroom who washes and sanctifies.
[00:43:05.020 --> 00:43:07.740]   You know, you and I are like sponges.
[00:43:07.740 --> 00:43:12.980]   Sponges, a lot of times, you look at it from the surface, it doesn't look dirty.
[00:43:12.980 --> 00:43:16.500]   But when you squeeze the thing, what happens?
[00:43:16.500 --> 00:43:22.960]   Sometimes, when I am squose, I'm shocked by what comes out.
[00:43:22.960 --> 00:43:28.780]   You put me in a circumstance and squeeze me, stuff comes out, and then I'm embarrassed,
[00:43:28.780 --> 00:43:32.020]   and I'm shocked.
[00:43:32.020 --> 00:43:35.740]   But how do you clean a sponge?
[00:43:35.740 --> 00:43:38.020]   You dunk it.
[00:43:38.020 --> 00:43:39.020]   Squeeze it.
[00:43:39.020 --> 00:43:46.140]   Dunk, squeeze, dunk, squeeze, dunk, squeeze, dunk, squeeze, until all that is left after.
[00:43:46.140 --> 00:43:52.180]   Left after every squeeze is clean water.
[00:43:52.180 --> 00:44:02.860]   Ephesians 5, 26 to 27, and this is often used at weddings, husbands love your wives.
[00:44:02.860 --> 00:44:11.020]   This is speaking of Jesus, "So that he might sanctify her, having cleansed her by the washing
[00:44:11.020 --> 00:44:21.340]   of water with the word, that he might present to himself the church in all her glory, having
[00:44:21.340 --> 00:44:29.580]   no spot or wrinkle or any such thing, that she would be holy and blameless."
[00:44:29.580 --> 00:44:33.900]   So godliness does not come through effort or hard work.
[00:44:33.900 --> 00:44:40.000]   It comes from an ever-increasing, intimate knowledge of the truth.
[00:44:40.000 --> 00:44:45.500]   It comes from being daily sanctified by the word of God.
[00:44:45.500 --> 00:44:50.260]   And that process always produces good deeds.
[00:44:50.260 --> 00:44:51.420]   Why?
[00:44:51.420 --> 00:44:59.300]   Because a bridegroom takes very seriously the purification of the church, the godliness
[00:44:59.300 --> 00:45:01.660]   of the believer.
[00:45:01.660 --> 00:45:07.720]   His word will not return void.
[00:45:07.720 --> 00:45:13.180]   The bridegroom takes responsibility for the purification of his bride, and as he purifies,
[00:45:13.180 --> 00:45:22.340]   he makes beautiful and godly, and he sets free from the bondage to slavery and to decay
[00:45:22.340 --> 00:45:23.980]   and to corruption.
[00:45:23.980 --> 00:45:27.860]   John 8, 32, "You will know the truth."
[00:45:27.860 --> 00:45:31.340]   And what does that do?
[00:45:31.340 --> 00:45:33.840]   It sets you free.
[00:45:33.840 --> 00:45:40.900]   So the premise of the letter to Titus is God made a promise, and he always delivers.
[00:45:40.900 --> 00:45:43.000]   Eternal life is already, but not yet.
[00:45:43.000 --> 00:45:47.740]   So while we're waiting, there's things we need to do as a church.
[00:45:47.740 --> 00:45:52.020]   There's a wedding feast that's waiting ahead, and we just need to get the word out.
[00:45:52.020 --> 00:45:55.860]   That's the practice of the book of Titus.
[00:45:55.860 --> 00:46:04.360]   But the purpose of the letter to Titus is to emphasize the growth in the faith of the
[00:46:04.360 --> 00:46:09.640]   community, and the growth in the godliness, and the beautification of the bride of Christ
[00:46:09.640 --> 00:46:15.820]   during this already, but not yet.
[00:46:15.820 --> 00:46:21.360]   The premise was the promise, and because of this premise, we build a church.
[00:46:21.360 --> 00:46:26.280]   But the point of all of this is that we can only truly build a church God's way when he's
[00:46:26.280 --> 00:46:30.880]   the one who's doing the building in and through us.
[00:46:30.880 --> 00:46:32.680]   Amen?
[00:46:32.680 --> 00:46:39.880]   This church and this church's growth is not because of the efforts of the seven men who
[00:46:39.880 --> 00:46:43.280]   lead this church.
[00:46:43.280 --> 00:46:48.960]   His word, when it's honored, it grows the church.
[00:46:48.960 --> 00:46:54.960]   I'm going to leave you with my only application.
[00:46:54.960 --> 00:47:02.240]   Expose your heart to the word of God as often as you can.
[00:47:02.240 --> 00:47:10.600]   Expose your heart to the word of God as often as you can, and you're not going to like it.
[00:47:10.600 --> 00:47:14.480]   You're going to hate what you find.
[00:47:14.480 --> 00:47:18.440]   You're going to hate what you find in you so much more than what you hate in what you
[00:47:18.440 --> 00:47:20.960]   find in other people.
[00:47:20.960 --> 00:47:26.960]   But it's going to break you, and the only real response that you can give is repentance.
[00:47:26.960 --> 00:47:31.400]   But as you're repenting, your thankfulness grows.
[00:47:31.400 --> 00:47:37.040]   The purity of your praise goes up.
[00:47:37.040 --> 00:47:46.760]   And for some strange, mysterious reason, you can finally love and finally see people through
[00:47:46.760 --> 00:47:52.080]   the eyes of Christ, and you can be long-suffering.
[00:47:52.080 --> 00:47:54.560]   So expose your heart to his word as often as you can.
[00:47:54.560 --> 00:47:55.920]   Don't resist.
[00:47:55.920 --> 00:48:04.960]   Repent, and as he purifies you, observe the growth in godly deeds.
[00:48:04.960 --> 00:48:07.760]   Observe the fruit.
[00:48:07.760 --> 00:48:15.040]   Rejoice in these good fruits that come out and give glory to the God, and teach others
[00:48:15.040 --> 00:48:17.200]   to do the same.
[00:48:17.200 --> 00:48:21.000]   That's the only application.
[00:48:21.000 --> 00:48:25.620]   Get your hands, like, your dirty hands clean.
[00:48:25.620 --> 00:48:28.400]   Get broken before the Lord.
[00:48:28.400 --> 00:48:31.320]   And I'm going to leave you a nice little summary of everything we studied together this morning.
[00:48:31.320 --> 00:48:39.440]   It comes from Titus 2, 11 to 15.
[00:48:39.440 --> 00:48:47.680]   For the grace of God has appeared, bringing salvation to all men, instructing us to deny
[00:48:47.680 --> 00:48:53.880]   ungodliness and worldly desires, and to live sensibly, righteously, and godly in the present
[00:48:53.880 --> 00:49:01.000]   age, looking for the blessed hope and the appearing of the glory of our great God and
[00:49:01.000 --> 00:49:02.920]   Savior Christ Jesus.
[00:49:02.920 --> 00:49:07.520]   We are looking forward to the wedding feast.
[00:49:07.520 --> 00:49:19.200]   Verse 14, this is the bridegroom, who gave himself for us to redeem us from every lawless
[00:49:19.200 --> 00:49:33.480]   deed and to purify for himself a people for his own possession, zealous for good deeds.
[00:49:33.480 --> 00:49:47.080]   These things speak, exhort, reprove with all authority, and let no one disregard you.
[00:49:47.080 --> 00:49:52.480]   I look forward to our study together, which starts in about a week and a half.
[00:49:52.480 --> 00:49:59.160]   And may the Lord bless us with an increase of the knowledge of the truth.
[00:49:59.160 --> 00:50:01.400]   Amen.
[00:50:01.400 --> 00:50:10.760]   May he make us more godly and broken and loving.
[00:50:10.760 --> 00:50:19.480]   So I'm hoping you guys are excited about the book of Titus and that we grow, just delight
[00:50:19.480 --> 00:50:22.440]   in his word more and more as a church.
[00:50:22.440 --> 00:50:31.960]   I'm going to give you a minute to pray as a praise team comes up.
[00:50:31.960 --> 00:50:38.680]   And I encourage you to just ask the Lord, "Lord, am I godly?
[00:50:38.680 --> 00:50:42.600]   Do I reflect your glory well?
[00:50:42.600 --> 00:50:46.400]   Help me to reflect it well."
[00:50:46.400 --> 00:50:52.320]   Pray and then the praise team is going to lead us in our closing praise.

