
[00:00:00.000 --> 00:00:04.000]   [audio cuts out]
[00:26:28.600 --> 00:26:32.600]   But in retrospect, these prodigal days were the worst days of my life.
[00:26:32.600 --> 00:26:38.600]   I began to question my Christian beliefs, unable to defend them in the fog I was in.
[00:26:38.600 --> 00:26:46.600]   I began to attend meditation classes, delved into Buddhism, Taoism, mindfulness, and I meditated regularly.
[00:26:46.600 --> 00:26:52.600]   I delved into Hitchens, Dennett, Dawkins, and Harris, and became an agnostic.
[00:26:52.600 --> 00:26:56.600]   But somehow, I began experimenting with the church,
[00:26:56.600 --> 00:27:01.600]   attending only because the sermons contradicted my beliefs and challenged them.
[00:27:01.600 --> 00:27:05.600]   My love of intellectual challenge had somehow survived the haze.
[00:27:05.600 --> 00:27:09.600]   But this is probably more of a testament to the power of God's Word.
[00:27:09.600 --> 00:27:14.600]   I began to straighten out, and my curiosity for Christianity grew.
[00:27:14.600 --> 00:27:21.600]   I remember how content I was in high school. I could clearly see the emptiness inherent in everyday life.
[00:27:21.600 --> 00:27:26.600]   I brushed off my Bible and kept reading through Ecclesiastes again and again,
[00:27:26.600 --> 00:27:33.600]   agreeing with the parts about vanity while rebelling from the passages about God.
[00:27:33.600 --> 00:27:38.600]   I made multiple attempts to read Proverbs, but for whatever reason, that book had angered me.
[00:27:38.600 --> 00:27:41.600]   My agnosticism continued.
[00:27:41.600 --> 00:27:44.600]   That is, until I found a particular Christian writer.
[00:27:44.600 --> 00:27:49.600]   This writer was logical in his prose, yet so passionate in his belief.
[00:27:49.600 --> 00:27:54.600]   He was someone who had found peace in God's grace among the illogic of emotion,
[00:27:54.600 --> 00:27:58.600]   the logic of science, and the faith of belief.
[00:27:58.600 --> 00:28:03.600]   God also used a friend of mine to help me understand the sin of logic.
[00:28:03.600 --> 00:28:08.600]   He had become an agnostic like me, but had come back to God while I was still in unbelief.
[00:28:08.600 --> 00:28:14.600]   His testimony changed me. I repented of my infatuation of logic and scientism.
[00:28:14.600 --> 00:28:20.600]   Logic and science are empty, adequate only in their ability to understand the physical world.
[00:28:20.600 --> 00:28:23.600]   God is beyond logic.
[00:28:23.600 --> 00:28:28.600]   I began to believe again. It would be nice to say that it was a passionate process,
[00:28:28.600 --> 00:28:33.600]   that my heart was broken and reformed to be more receptive to God.
[00:28:33.600 --> 00:28:35.600]   But this wasn't the case.
[00:28:35.600 --> 00:28:40.600]   I realized that all science could do was describe and conjecture about physical phenomena,
[00:28:40.600 --> 00:28:42.600]   not truly explain them.
[00:28:42.600 --> 00:28:46.600]   I realized that it was possible to be rational and to be a Christian.
[00:28:46.600 --> 00:28:51.600]   I also felt a longing for the wholeness I experienced when I lived for God.
[00:28:51.600 --> 00:28:53.600]   It was mainly a cerebral experience.
[00:28:53.600 --> 00:29:00.600]   I repented, and God gave me the conviction to turn away from the false beliefs that had been ensnaring me.
[00:29:00.600 --> 00:29:03.600]   Yet there was no weeping, no loud proclamation.
[00:29:03.600 --> 00:29:08.600]   Something just clicked back, and I began to talk with God again.
[00:29:08.600 --> 00:29:12.600]   I wish I can say that this was tearful, as with my friend.
[00:29:12.600 --> 00:29:15.600]   He went from this passion to agnosticism to passion.
[00:29:15.600 --> 00:29:20.600]   I went from passion to agnosticism to this passion.
[00:29:20.600 --> 00:29:25.600]   Nevertheless, there were noticeable changes in my life which were quite drastic.
[00:29:25.600 --> 00:29:29.600]   For one, I began to become a much happier person.
[00:29:29.600 --> 00:29:36.600]   More importantly for me, the passages that so repelled and angered me in Ecclesiastes and Proverbs ran true in my heart.
[00:29:36.600 --> 00:29:40.600]   I am relying on God once again, yet I am so different.
[00:29:40.600 --> 00:29:43.600]   My youthful passion is gone, left with the coldest passion.
[00:29:43.600 --> 00:29:48.600]   I am so similar yet so different from whom I was in the past.
[00:29:48.600 --> 00:29:54.600]   I realize that signs can only go so far, that salvation by grace through faith is the only answer.
[00:29:54.600 --> 00:30:00.600]   I realize that I have been buried with Christ, and that I should walk in the newness of life.
[00:30:00.600 --> 00:30:07.600]   It's wonderful how repentance works, once we use our volition to give up a part of ourselves, God works within us.
[00:30:07.600 --> 00:30:13.600]   But it's strange as well. God created us to be right with Him, to have real life.
[00:30:13.600 --> 00:30:18.600]   It's no wonder science and logic look so puny in retrospect.
[00:30:18.600 --> 00:30:22.600]   Logic is so attractive in its cleanliness, yet so limited in its scope.
[00:30:22.600 --> 00:30:32.600]   But God is life, unable to be explained, only able to be experienced personally through space, time, and who knows how many dimensions.
[00:30:32.600 --> 00:30:35.600]   No wonder God calls Himself "I Am."
[00:30:35.600 --> 00:30:40.600]   He cannot be adequately explained with more words.
[00:30:40.600 --> 00:30:46.600]   God, so alien and so difficult to explain, yet so real and simple to experience,
[00:30:46.600 --> 00:30:51.600]   through the repentance of our fallen nature and acceptance of Jesus' sacrifice.
[00:30:51.600 --> 00:30:54.600]   Praise God, who sent His Son to redeem us.
[00:30:54.600 --> 00:30:58.600]   Praise God, who gave His grace through Jesus Christ our Lord.
[00:30:58.600 --> 00:31:01.600]   Praise God, who sealed us in the Holy Spirit.
[00:31:01.600 --> 00:31:12.600]   [applause]
[00:31:13.600 --> 00:31:23.600]   [water pouring]
[00:31:23.600 --> 00:31:28.600]   Abraham, do you understand that by going into the water, you cannot get Christ, you just die.
[00:31:28.600 --> 00:31:34.600]   You cannot get Christ.
[00:31:34.600 --> 00:31:42.600]   [inaudible]
[00:31:42.600 --> 00:31:58.600]   [applause]
[00:31:58.600 --> 00:32:04.600]   Hello, my name is Jessica Yang, and I've been coming to Moran since last November.
[00:32:04.600 --> 00:32:10.600]   I graduated from college in June 2015, and I'm now living back at home in Irvine, California, and working nearby.
[00:32:10.600 --> 00:32:15.600]   Though I believed in God for as long as I can remember, because my mom always taught me I could pray to Him when I needed Him.
[00:32:15.600 --> 00:32:19.600]   I did not grow up in a church, and most of my family isn't Christian.
[00:32:19.600 --> 00:32:25.600]   I never had any real passion to read the Bible or attend church, or even to learn more about the foundations of my faith.
[00:32:25.600 --> 00:32:28.600]   I was lazy, complacent, and most of all, ignorant.
[00:32:28.600 --> 00:32:35.600]   Until college, my faith was entirely internalized and manifested in selfish prayer without a fuller knowledge of God.
[00:32:35.600 --> 00:32:40.600]   Also, for as long as I can remember, I had always put my hope and my happiness in my human relationships,
[00:32:40.600 --> 00:32:43.600]   my academic performance, and my role as the oldest child of four.
[00:32:43.600 --> 00:32:49.600]   Even while I would pray to God for things, my independence within these areas of life was a source of pride and comfort.
[00:32:49.600 --> 00:32:55.600]   My sense of security and self-worth became so wrapped up in who I was to other people and whether I was succeeding academically.
[00:32:55.600 --> 00:33:00.600]   And I'd witnessed so much gossip and betrayal among my peers that I grew a guarded and self-reliant heart,
[00:33:00.600 --> 00:33:03.600]   even around the people I considered closest.
[00:33:03.600 --> 00:33:08.600]   And since I wanted my parents to be proud of me, I chose to evaluate my worth also in terms of how well I did in school
[00:33:08.600 --> 00:33:11.600]   and how obediently I adhered to my role as the big sister.
[00:33:11.600 --> 00:33:14.600]   And all of this characterized the life I lived.
[00:33:14.600 --> 00:33:21.600]   And for college, I went to a school 2,000 miles away from home, which terrified and excited me and also made me very lonely at times.
[00:33:21.600 --> 00:33:24.600]   There, God began to draw me closer and closer to him.
[00:33:24.600 --> 00:33:29.600]   College was the first place I made any intentional decision to pursue life in a Christian community
[00:33:29.600 --> 00:33:33.600]   after stumbling upon a picnic event hosted by the fellowship, AAIV.
[00:33:33.600 --> 00:33:40.600]   It was at large group meetings that I was touched by a sense of spiritual unity and appreciation for God that I had never felt anywhere else
[00:33:40.600 --> 00:33:44.600]   and began to recognize the personal, intimate nature of a relationship with him.
[00:33:44.600 --> 00:33:48.600]   This community is where I first heard the gospel from a large group speaker,
[00:33:48.600 --> 00:33:54.600]   had my shallow faith challenged during Bible studies, and began to come face to face with my own brokenness.
[00:33:54.600 --> 00:33:58.600]   I often felt insecure about my faith and how unequipped I was to live a Christian life,
[00:33:58.600 --> 00:34:04.600]   as my pride and independent nature emerged again and again to distance me from fully accepting and trusting God with all my heart.
[00:34:04.600 --> 00:34:10.600]   As convicted as I'd often feel, I wavered between turning towards God and turning to my worldly life.
[00:34:10.600 --> 00:34:15.600]   And so, throughout college, I struggled to commit to weekly church attendance and reading the Bible,
[00:34:15.600 --> 00:34:18.600]   often neglecting my relationship with God.
[00:34:18.600 --> 00:34:23.600]   It was in the latter part of college that I was increasingly shaken in my helplessness and distance from God.
[00:34:23.600 --> 00:34:27.600]   I went through my first breakup, and a year later, at the end of senior year,
[00:34:27.600 --> 00:34:32.600]   I was blindsided by some revelations that left me feeling marginalized, angry, and heartbroken all at once.
[00:34:32.600 --> 00:34:37.600]   For a month, I hid and trapped these feelings within, and fought the idea of confronting the friend who caused it all,
[00:34:37.600 --> 00:34:41.600]   out of fear of creating last-minute division in our group and losing my friend.
[00:34:41.600 --> 00:34:47.600]   Initially, my pride made me believe I could still cope with my situation without depending on friends or God,
[00:34:47.600 --> 00:34:51.600]   and I tried to swallow my own false reality to maintain the status quo.
[00:34:51.600 --> 00:34:56.600]   But this self-reliance failed me, and God used the friends in my life to show me just how wrong I'd been.
[00:34:56.600 --> 00:35:02.600]   My strength and my will alone were never enough, and trusting Him was the only way I could have made it through the way I did.
[00:35:02.600 --> 00:35:08.600]   And moving forward from these experiences and past graduation, I knew in my heart that I needed to turn to God for good.
[00:35:08.600 --> 00:35:11.600]   But I still had a lot of holes in my understanding of my faith,
[00:35:11.600 --> 00:35:15.600]   and I began church hopping with close high school friends in the summer after graduation,
[00:35:15.600 --> 00:35:18.600]   before ending up here at Berean last November.
[00:35:18.600 --> 00:35:24.600]   It was here that I began to truly comprehend and internalize just how critical the Bible and being in a church are to my faith,
[00:35:24.600 --> 00:35:28.600]   and this was exciting to me as it opened my heart to be receptive to God's Word and His teachings.
[00:35:28.600 --> 00:35:32.600]   Throughout weekly sermons, Bible studies, and the Basics in Christianity class,
[00:35:32.600 --> 00:35:37.600]   God grew in my heart this desire and clarity that I needed to repent and follow Him completely.
[00:35:37.600 --> 00:35:43.600]   Guilty as I was that I had let my pride and sin turn me away from Him, I received His forgiveness and love.
[00:35:43.600 --> 00:35:46.600]   And reflecting on God's grace has been reshaping my worldview,
[00:35:46.600 --> 00:35:51.600]   whether it's in guiding my human relationships, my self-perception, or my daily life.
[00:35:51.600 --> 00:35:54.600]   And what I feel most strongly now, as I remember what took me to this point,
[00:35:54.600 --> 00:35:57.600]   is a deep thankfulness that continues to turn me towards Him,
[00:35:57.600 --> 00:36:03.600]   and I can finally put my hope in a God who teaches me to be vulnerable, trusting, and loving through Him.
[00:36:03.600 --> 00:36:12.600]   [applause]
[00:36:17.600 --> 00:36:34.600]   [inaudible]
[00:36:34.600 --> 00:36:54.600]   [applause]
[00:36:54.600 --> 00:37:01.600]   Hi guys, my name's Jonathan, and I'm a third year at UCI.
[00:37:01.600 --> 00:37:07.600]   I've been coming here since my freshman year, and here's my testimony.
[00:37:07.600 --> 00:37:13.600]   I grew up in a Christian household my entire life and went to Sunday school for as long as I can remember.
[00:37:13.600 --> 00:37:20.600]   Growing up, I always thought that I was saved because I would say, "Christ died for my sins, so I'm saved and I can go to heaven."
[00:37:20.600 --> 00:37:27.600]   But my life was definitely not one that resembled a Christian outside of church, especially when I started high school.
[00:37:27.600 --> 00:37:33.600]   I would not think much about Christianity and would just live my life like I wanted to, just going to church on Sundays.
[00:37:33.600 --> 00:37:42.600]   Once I graduated high school and went to college at UCI, I came with the mindset of, "I'm free. I can do whatever I want."
[00:37:42.600 --> 00:37:51.600]   I said to myself that I didn't need to go to church anymore, but then one of my friends from my home church asked me to come out to CCM and on-campus ministry.
[00:37:51.600 --> 00:37:55.600]   So I went, and then she also brought me out to Bruin.
[00:37:55.600 --> 00:38:02.600]   I went just because I knew her and her boyfriend, and I was able to find more friends through CCM and Bruin.
[00:38:02.600 --> 00:38:08.600]   I was placed in Bruin small groups, and there I learned a lot more about the gospel than I had ever learned in my entire life.
[00:38:08.600 --> 00:38:12.600]   I read books and memorized the entire chapters of Roman Eight.
[00:38:12.600 --> 00:38:16.600]   "Dang, I am so Christian," I thought to myself.
[00:38:16.600 --> 00:38:19.600]   The entire experience was fun, and I enjoyed it a lot.
[00:38:19.600 --> 00:38:26.600]   My small group leader, Travis, even gave me a study Bible to read since I didn't have a Bible to read here in Irvine.
[00:38:26.600 --> 00:38:31.600]   I read it like a few times, but I just read it because my small group leader told me to.
[00:38:31.600 --> 00:38:37.600]   Summer eventually came, and I returned to NorCal thinking I was super Christian.
[00:38:37.600 --> 00:38:47.600]   Even though I felt super Christian, I was enslaved to my sin, and I eventually got into a relationship with a non-believer, which fed my desire to sin even greater.
[00:38:47.600 --> 00:38:59.600]   When I came back to Irvine my second year, I updated that I had a girlfriend, and people asked me if she was a believer, and obviously I said no.
[00:38:59.600 --> 00:39:06.600]   To me, nothing felt wrong, and though confronted by many people, I still didn't see anything wrong with my decision.
[00:39:06.600 --> 00:39:14.600]   Eventually, Pastor Alex talked with me and mentioned that I should really break it off, and I reluctantly did so so that I could please him.
[00:39:14.600 --> 00:39:20.600]   I went back up to NorCal during my Thanksgiving break, and I still acted like I was with her.
[00:39:20.600 --> 00:39:25.600]   Though I wanted to get back together, I didn't want to disappoint Pastor Alex, so I didn't.
[00:39:25.600 --> 00:39:34.600]   When I came back, fall quarter finals was coming up, and I found out she was meeting up with another guy and got together with him.
[00:39:34.600 --> 00:39:36.600]   I felt completely broken.
[00:39:36.600 --> 00:39:44.600]   She always told me that she loved me and stuff, and I believed it, but when I found that out, I just felt so betrayed, and I went into a depression.
[00:39:44.600 --> 00:39:49.600]   It was then, the weekend before finals week, when I was crying to God.
[00:39:49.600 --> 00:39:56.600]   I asked God to forgive me of my sin, and I realized the filth of everything that I had done.
[00:39:56.600 --> 00:40:00.600]   I was in absolute misery and felt like I couldn't do anything.
[00:40:00.600 --> 00:40:13.600]   I was as low as I'd ever been, and I knew I needed a Savior.
[00:40:13.600 --> 00:40:26.600]   I was sitting in my room in prayer, crying, and I was reminded of Christ's death on the cross and what He had done for me.
[00:40:26.600 --> 00:40:40.600]   The understanding of God being a holy and righteous God, and though being His enemy, He sent Christ to die on the cross for me became a reality.
[00:40:40.600 --> 00:40:49.600]   I then truly repented of what I've done and the sins I've committed and truly accepted Christ as the Lord and Savior of my life.
[00:40:49.600 --> 00:40:57.600]   Christ became everything to me in that moment, and as I had to wholeheartedly serve Him in all that I could,
[00:40:57.600 --> 00:41:03.600]   I felt so peaceful and also thankful for what Christ had done for me on the cross.
[00:41:03.600 --> 00:41:08.600]   The depression felt like nothing compared to the joy and peace that I had in Christ.
[00:41:08.600 --> 00:41:18.600]   God's love that everyone around me told me about was not just something that people from church told me, but it became absolutely true and real to me.
[00:41:18.600 --> 00:41:24.600]   I was able to see God's sovereignty in my life and how He worked through all the things that I've been through,
[00:41:24.600 --> 00:41:28.600]   so I've come to trust more in His plan for me in my life.
[00:41:28.600 --> 00:41:30.600]   Thank you.
[00:41:30.600 --> 00:41:41.600]   [applause]
[00:41:41.600 --> 00:41:49.600]   [silence]
[00:41:49.600 --> 00:42:06.600]   [inaudible]
[00:42:06.600 --> 00:42:27.600]   [applause]
[00:42:27.600 --> 00:42:35.600]   Hey guys, my name is Sherman. I'm a junior at UCI and been attending the Berean since freshman year.
[00:42:35.600 --> 00:42:40.600]   Here's my testimony. I was raised in a family that called themselves Christian, but they actually aren't.
[00:42:40.600 --> 00:42:44.600]   We used to go to church consistently while I was in elementary school until around fifth grade,
[00:42:44.600 --> 00:42:47.600]   while we stopped because my grandma passed away.
[00:42:47.600 --> 00:42:54.600]   And even though we went to church, I didn't really know anything about Christianity because it was a cultural thing as well.
[00:42:54.600 --> 00:42:59.600]   There was a language barrier because it was a Chinese service and I didn't know any Chinese.
[00:42:59.600 --> 00:43:05.600]   So during my middle school years and up around high school, I lived a life without God and spiritual growth.
[00:43:05.600 --> 00:43:12.600]   And it was around my sophomore year, a friend from middle school invited me to our mom's to check out Friday night Bible study.
[00:43:12.600 --> 00:43:22.600]   Originally, my mom only wanted me to go because it was so I could be a good person, but then again, later it started to become a habit to go.
[00:43:22.600 --> 00:43:28.600]   And I just said, so I just went and I could say I did learn a lot from it, but it was just knowledge to me.
[00:43:28.600 --> 00:43:34.600]   I was more focused in the things that the world during high school, such as relationships, games and selfish desires.
[00:43:34.600 --> 00:43:41.600]   And I guess it was around college. I would say that during sophomore to be exact, that I would say to be, I mean, I was saved.
[00:43:41.600 --> 00:43:49.600]   So coming into college, I was quickly plugged into Berean and CCM, Campus Ministry on UCI that people recommend you to check out.
[00:43:49.600 --> 00:43:54.600]   I also joined a small group during freshman year, which gave me an understanding that I might not be saved.
[00:43:54.600 --> 00:43:57.600]   It was then that we had a chance to share our testimonies with each other.
[00:43:57.600 --> 00:44:01.600]   And it was during that point when I realized that I didn't really have a testimony to share.
[00:44:01.600 --> 00:44:07.600]   I was confused about what to say and didn't really know what to say, like what to pull out.
[00:44:07.600 --> 00:44:13.600]   So I was during that time, I was still apathetic about my faith and I didn't take it too seriously.
[00:44:13.600 --> 00:44:19.600]   It was during sophomore year, I was able to meet up with friends for accountability as well as to grow spiritually.
[00:44:19.600 --> 00:44:24.600]   I would say this is a time I would say because my friends demonstrated God's love towards me and how they kept meeting up with me,
[00:44:24.600 --> 00:44:31.600]   as well as investing in me for not their own reasons, but to have fun, but to truly show that they cared for me, whether I was saved or not.
[00:44:31.600 --> 00:44:38.600]   They also explained to me that if I was Christian, then I should be constantly dwelling in the word, not in selfful desires, sinful desires.
[00:44:38.600 --> 00:44:45.600]   And I realized this. I was able to repent for the first time and I felt really horrible that I was sinning against such a holy God,
[00:44:45.600 --> 00:44:50.600]   but also relieved to know that I was forgiven. I was broken emotionally when praying to God.
[00:44:50.600 --> 00:44:54.600]   I asked him to just cleanse me from this sin and just for his forgiveness and justification.
[00:44:54.600 --> 00:44:59.600]   I realized that the sinful life I live and how I was apathetic about God.
[00:44:59.600 --> 00:45:05.600]   But then I noticed that the love that he showed me through his son, as well as how it manifested through my friends.
[00:45:05.600 --> 00:45:14.600]   This is when I could confirm that God has the power to work in people's lives, as well as in my life as well, where he led me to be free.
[00:45:14.600 --> 00:45:19.600]   I was able to see this when I see this, do this, my friends as well, meeting up.
[00:45:19.600 --> 00:45:24.600]   And they also emphasized what Jesus has done. Ever since then, I can finally say that I was saved.
[00:45:24.600 --> 00:45:29.600]   And although I stumble here and there, I know that I'm forgiven and I can only trust in God to persevere.
[00:45:29.600 --> 00:45:36.600]   Thank you.
[00:45:36.600 --> 00:45:49.600]   Do you believe that you have been united with Christ in his death and with Christ in his resurrection?
[00:45:49.600 --> 00:45:51.600]   I do.
[00:45:51.600 --> 00:45:57.600]   And I will call upon you in the name of the Father, in the name of the Son, in the name of the Holy Spirit.
[00:45:58.600 --> 00:46:15.600]   [applause]
[00:46:15.600 --> 00:46:20.600]   Hi, my name is Kylie, and here's my testimony.
[00:46:20.600 --> 00:46:27.600]   So I was born into a nominal Christian home, and I used to go to one of those Korean megachurches in San Jose during my high school.
[00:46:27.600 --> 00:46:34.600]   And I didn't feel very connected to my church community, so I went to a smaller church apart from my family.
[00:46:34.600 --> 00:46:41.600]   And there I got involved with the praise team and made friends, but I never consciously professed Jesus as my Savior.
[00:46:41.600 --> 00:46:47.600]   It always felt like a given fact as a religion, and I did not pay much attention.
[00:46:47.600 --> 00:46:53.600]   And soon there was like a division among the church, and I stopped going to church completely for my last year of high school.
[00:46:53.600 --> 00:47:07.600]   Once I got into college, I was able to experience freedom, freedom to its max capacity, and I made friends based on their exterior appearances and couldn't care less about their morals or religion.
[00:47:07.600 --> 00:47:13.600]   Eventually, I immersed myself into the party life with frats and sorority of UCI.
[00:47:13.600 --> 00:47:22.600]   And quite ironically, when my friends and I were passing by the ring road, some CCM person was like, "Hey, free bowling, come."
[00:47:22.600 --> 00:47:26.600]   And then we were like, "Oh, free. It's free, so we'll go, right?"
[00:47:26.600 --> 00:47:33.600]   And then I wasn't too uninterested since I used to go to church, so I said, "Why not?" and tagged along.
[00:47:33.600 --> 00:47:43.600]   And though my friends didn't end up getting plugged into a church, I was able to connect with the CCM people, and they brought me out to bring.
[00:47:43.600 --> 00:47:49.600]   I also went on to other fellowships like CCF, and there Pastor James shared the gospel with me.
[00:47:49.600 --> 00:47:53.600]   And that was my first time hearing the gospel, and it felt very new.
[00:47:53.600 --> 00:47:58.600]   It was as if I never knew this God who was so merciful and kind.
[00:47:58.600 --> 00:48:05.600]   And until that time, I never knew that salvation was through faith, and I never knew of this God who was so loving.
[00:48:05.600 --> 00:48:10.600]   From then on, I began to wonder more and more about what Christianity was.
[00:48:10.600 --> 00:48:17.600]   But then soon after, I quickly jumped into a relationship that didn't really end up glorifying God.
[00:48:17.600 --> 00:48:25.600]   And though I did went out to church and did my devils and prayed, I had doubts about whether I was saved or not.
[00:48:25.600 --> 00:48:30.600]   And I did not think much about pursuing a God-glorifying relationship at all either.
[00:48:30.600 --> 00:48:36.600]   I only focused on pleasing myself and making that "college experience."
[00:48:36.600 --> 00:48:42.600]   When we went to Pastor James for help, he told us to break it off and grow separately in Christ,
[00:48:42.600 --> 00:48:48.600]   and he encouraged us that there's no sin greater than Christ's love.
[00:48:48.600 --> 00:48:55.600]   And then, because I centered my life around that one person, after we broke up, my world kind of lost balance and fell apart.
[00:48:55.600 --> 00:48:59.600]   And I was depressed and wasn't able to eat or drink for a while,
[00:48:59.600 --> 00:49:04.600]   and my pride kind of prevented me from talking to anyone about it, even my friends or family.
[00:49:04.600 --> 00:49:11.600]   So I spent my days in prayer only, and during that time, my family just randomly decided to go on a trip to Canada.
[00:49:11.600 --> 00:49:19.600]   And we were on a bus trip to Rocky Mountains, and I was able to see the beautiful nature that God has created for us.
[00:49:19.600 --> 00:49:28.600]   And through this, I saw the glory of God magnified, and I really changed the view that I viewed nature.
[00:49:28.600 --> 00:49:31.600]   Yeah, whatever.
[00:49:31.600 --> 00:49:37.600]   I felt so little and powerless before His creations, and that first night of the trip, when everyone was asleep,
[00:49:37.600 --> 00:49:41.600]   I just went into the shower and started praying to God.
[00:49:41.600 --> 00:49:47.600]   That moment, I was really overwhelmed with guilt, and I was finally able to realize the gravity of my sin,
[00:49:47.600 --> 00:49:50.600]   and it just really made me broken over it.
[00:49:50.600 --> 00:49:56.600]   The weight of my sin felt real, and for the first time, I just saw myself drown so deeply into it.
[00:49:56.600 --> 00:50:01.600]   I was afraid because God was so righteous, and I was the opposite of what He was.
[00:50:01.600 --> 00:50:04.600]   I was a sinner.
[00:50:04.600 --> 00:50:10.600]   I remember that God was also a merciful God, that He sent His Son, Christ, as our Savior.
[00:50:10.600 --> 00:50:15.600]   And my weakest sin, despised by God, was forgiven through Christ.
[00:50:15.600 --> 00:50:22.600]   And thinking of how my sins brought Him to the cross really made me broken and brought me to my knees.
[00:50:22.600 --> 00:50:28.600]   But that was when I truly saw Christ as my Savior, rather than a Savior for Christianity as a religion.
[00:50:28.600 --> 00:50:35.600]   And I prayed for forgiveness and asked that I may be able to live my life pursuing the Lord.
[00:50:35.600 --> 00:50:40.600]   After getting out of the shower, I laid in bed, and this is when I experienced something,
[00:50:40.600 --> 00:50:44.600]   like in the lack of better words, I would say weird.
[00:50:44.600 --> 00:50:49.600]   I felt so much in peace, and it felt like I was in a heavenly place, although it was just our hotel room.
[00:50:49.600 --> 00:50:56.600]   And it allowed me to have confidence that even if I were to die at that moment, I would have my God in heaven.
[00:50:56.600 --> 00:51:03.600]   And I was no longer confused about whether I was saved or not, and could fully claim my faith without doubting myself.
[00:51:03.600 --> 00:51:05.600]   Thank you.
[00:51:05.600 --> 00:51:17.600]   [applause]
[00:51:17.600 --> 00:51:26.600]   I believe that you've been united with Christ in His death, and also may be united with Christ in His resurrection.
[00:51:26.600 --> 00:51:33.600]   That's how you've been with the Father, and may be with the Son, and with the Holy Spirit.
[00:51:33.600 --> 00:51:56.600]   [applause]
[00:51:56.600 --> 00:51:59.600]   Hi everyone, my name is Hubert, and I'm a first year at UCI.
[00:51:59.600 --> 00:52:05.600]   I've been coming here since September, so here's my testimony.
[00:52:05.600 --> 00:52:11.600]   Growing up in a Christian family, I always believed in my salvation, simply because I knew of God.
[00:52:11.600 --> 00:52:16.600]   I knew that God had sent His one and only Son for us to die on the cross so that I could be saved.
[00:52:16.600 --> 00:52:22.600]   So objectively, I knew of Him, but subjectively, I never knew Him.
[00:52:22.600 --> 00:52:27.600]   When I was younger, I went to church and fellowship simply because my parents brought me there,
[00:52:27.600 --> 00:52:31.600]   and I never had a true desire to learn and understand God's love.
[00:52:31.600 --> 00:52:37.600]   As a result, I became apathetic to the people around me, because I didn't understand how to love.
[00:52:37.600 --> 00:52:42.600]   All I cared about was myself, and how I could be better than others.
[00:52:42.600 --> 00:52:48.600]   My number one priority in life was academics, because I wanted to get into a good college.
[00:52:48.600 --> 00:52:53.600]   I had this false notion that college would define the rest of my life,
[00:52:53.600 --> 00:52:57.600]   so God and church to me was merely an afterthought.
[00:52:57.600 --> 00:53:01.600]   I told myself that I would focus on God later when I entered college,
[00:53:01.600 --> 00:53:05.600]   because that's where there was a huge opportunity for growth.
[00:53:05.600 --> 00:53:11.600]   For some reason, I just thought it was okay to put off God for later.
[00:53:11.600 --> 00:53:18.600]   When I was only accepted into UC Irvine, I was bitter about it, because I always thought I would be going into UCLA.
[00:53:18.600 --> 00:53:23.600]   I told myself that at UCLA, I would be at a great school in a beautiful city.
[00:53:23.600 --> 00:53:28.600]   I would have gone to Grace Community Church and been transformed by MacArthur's teachings.
[00:53:28.600 --> 00:53:34.600]   It was something that I wanted so much, but there I was thinking that God had denied me of my dream.
[00:53:34.600 --> 00:53:41.600]   I was arrogant in thinking that my plan was better than God's, and I thought that I knew what was best for me.
[00:53:41.600 --> 00:53:47.600]   My first quarter at Irvine was lonely. I lacked a sense of purpose.
[00:53:47.600 --> 00:53:55.600]   I decided to attend Bruin because it didn't feel right to skip out on church, despite going to church.
[00:53:55.600 --> 00:53:59.600]   I was still not actively pursuing a relationship with God.
[00:53:59.600 --> 00:54:03.600]   I would listen to the sermon, but I failed to apply that wisdom.
[00:54:03.600 --> 00:54:10.600]   At church, I rarely spoke to the people around me, so I didn't feel like a part of the community.
[00:54:10.600 --> 00:54:14.600]   What I was going through was what I had gone through in the beginning. I was still apathetic.
[00:54:14.600 --> 00:54:19.600]   During winter break, I decided to make a bigger effort in pursuing my faith.
[00:54:19.600 --> 00:54:24.600]   I decided to try to be more plugged in at church, whether that be through talking to people more intentionally
[00:54:24.600 --> 00:54:27.600]   or going to Bible study for the first time.
[00:54:27.600 --> 00:54:33.600]   I also wanted to join a campus fellowship, so I decided to check out Crossroads Campus Ministry.
[00:54:33.600 --> 00:54:37.600]   Something in the back of my head was telling me that this was the right course of action,
[00:54:37.600 --> 00:54:40.600]   even though I didn't necessarily understand why.
[00:54:40.600 --> 00:54:44.600]   At first, it still wasn't easy, and I still felt left out and alone.
[00:54:44.600 --> 00:54:49.600]   Everybody had already known each other from fall quarter, and there I was awkwardly trying to meet new people.
[00:54:49.600 --> 00:54:54.600]   Even during service, I was still not actively listening and applying to the message.
[00:54:54.600 --> 00:54:59.600]   What made the turnaround for me was a message at CCM about adoption.
[00:54:59.600 --> 00:55:07.600]   The passage was on Galatians 4, 1-7, and it was verses 6-7 that truly spoke to me.
[00:55:07.600 --> 00:55:09.600]   So here are the verses.
[00:55:09.600 --> 00:55:14.600]   "Because you are sons, God has sent forth the spirit of his Son into our hearts, crying, 'Abba, Father.'
[00:55:14.600 --> 00:55:21.600]   Therefore you are no longer a slave, but a son, and if a son, then an heir through God."
[00:55:21.600 --> 00:55:28.600]   To me, I never really considered my relationship with God in such a manner that I was his son and also an heir with Christ.
