
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:29:42.320 --> 00:29:45.320]   And then we'll bring us back, and then we'll have extended time.
[00:29:45.320 --> 00:29:47.320]   Please go ahead.
[00:29:47.320 --> 00:29:50.320]   [crowd noise]
[00:29:50.320 --> 00:29:53.320]   [crowd noise]
[00:29:53.320 --> 00:29:56.320]   [crowd noise]
[00:29:57.320 --> 00:30:00.320]   [crowd noise]
[00:30:00.320 --> 00:30:02.640]   (murmuring)
[00:30:02.640 --> 00:30:04.960]   (murmuring)
[00:30:04.960 --> 00:30:07.280]   (murmuring)
[00:30:07.280 --> 00:30:09.600]   (murmuring)
[00:30:09.600 --> 00:30:11.920]   (murmuring)
[00:30:11.920 --> 00:30:14.240]   (murmuring)
[00:30:14.240 --> 00:30:16.560]   (murmuring)
[00:30:16.560 --> 00:30:18.880]   (murmuring)
[00:30:18.880 --> 00:30:21.200]   (murmuring)
[00:30:21.200 --> 00:30:23.520]   (murmuring)
[00:30:23.520 --> 00:30:25.840]   (murmuring)
[00:30:25.840 --> 00:30:28.160]   (murmuring)
[00:30:28.160 --> 00:30:30.480]   (murmuring)
[00:30:30.480 --> 00:30:32.800]   (murmuring)
[00:30:32.800 --> 00:30:35.120]   (murmuring)
[00:30:35.120 --> 00:30:37.440]   (murmuring)
[00:30:37.440 --> 00:30:39.760]   (murmuring)
[00:30:39.760 --> 00:30:42.080]   (murmuring)
[00:30:42.080 --> 00:30:44.400]   (murmuring)
[00:30:44.400 --> 00:30:46.720]   (murmuring)
[00:30:46.720 --> 00:30:49.040]   (murmuring)
[00:30:49.040 --> 00:30:51.360]   (murmuring)
[00:30:51.360 --> 00:30:53.680]   (murmuring)
[00:30:53.680 --> 00:30:56.000]   (murmuring)
[00:30:56.000 --> 00:30:58.320]   (murmuring)
[00:30:59.280 --> 00:31:01.520]   (laughing)
[00:31:01.520 --> 00:31:03.840]   (murmuring)
[00:31:03.840 --> 00:31:20.160]   (murmuring)
[00:31:20.160 --> 00:31:22.480]   (murmuring)
[00:31:22.480 --> 00:31:24.800]   (murmuring)
[00:31:24.800 --> 00:31:27.120]   (murmuring)
[00:31:27.120 --> 00:31:29.440]   (murmuring)
[00:31:29.440 --> 00:31:31.760]   (murmuring)
[00:31:31.760 --> 00:31:34.080]   (murmuring)
[00:31:34.080 --> 00:31:36.400]   (murmuring)
[00:31:36.400 --> 00:31:38.720]   (murmuring)
[00:31:38.720 --> 00:31:41.040]   (murmuring)
[00:31:41.760 --> 00:31:44.080]   (murmuring)
[00:31:44.080 --> 00:31:59.520]   (laughing)
[00:31:59.520 --> 00:32:04.320]   (murmuring)
[00:32:04.320 --> 00:32:06.640]   (murmuring)
[00:32:06.640 --> 00:32:08.960]   (murmuring)
[00:32:08.960 --> 00:32:11.280]   (murmuring)
[00:32:12.080 --> 00:32:14.400]   (murmuring)
[00:32:14.400 --> 00:32:16.720]   (murmuring)
[00:32:16.720 --> 00:32:19.040]   (murmuring)
[00:32:19.040 --> 00:32:21.360]   (murmuring)
[00:32:21.360 --> 00:32:23.680]   (murmuring)
[00:32:23.680 --> 00:32:26.000]   (murmuring)
[00:32:26.000 --> 00:32:28.320]   (murmuring)
[00:32:28.320 --> 00:32:50.160]   (laughing)
[00:32:50.160 --> 00:32:52.480]   (murmuring)
[00:32:52.640 --> 00:32:54.880]   (murmuring)
[00:32:54.880 --> 00:32:57.200]   (murmuring)
[00:32:57.200 --> 00:32:59.520]   (murmuring)
[00:32:59.520 --> 00:33:01.840]   (murmuring)
[00:33:01.840 --> 00:33:04.160]   (murmuring)
[00:33:04.160 --> 00:33:06.480]   (murmuring)
[00:33:06.480 --> 00:33:08.800]   (murmuring)
[00:33:08.800 --> 00:33:33.840]   (laughing)
[00:33:33.840 --> 00:33:36.160]   (murmuring)
[00:33:36.160 --> 00:33:52.400]   - We'll wrap up in just a minute here.
[00:33:52.400 --> 00:33:56.720]   (murmuring)
[00:33:56.720 --> 00:33:59.040]   (murmuring)
[00:33:59.600 --> 00:34:01.920]   (murmuring)
[00:34:01.920 --> 00:34:04.240]   (murmuring)
[00:34:04.240 --> 00:34:06.560]   (murmuring)
[00:34:07.520 --> 00:34:09.840]   (murmuring)
[00:34:10.400 --> 00:34:12.640]   (murmuring)
[00:34:12.640 --> 00:34:14.960]   (murmuring)
[00:34:15.120 --> 00:34:17.440]   (murmuring)
[00:34:17.440 --> 00:34:19.760]   (murmuring)
[00:34:19.760 --> 00:34:22.080]   (murmuring)
[00:34:22.080 --> 00:34:24.400]   (murmuring)
[00:34:24.400 --> 00:34:26.720]   (murmuring)
[00:34:27.280 --> 00:34:29.520]   (murmuring)
[00:34:29.520 --> 00:34:31.840]   (murmuring)
[00:34:32.080 --> 00:34:34.400]   (murmuring)
[00:34:34.400 --> 00:34:36.720]   (murmuring)
[00:34:36.720 --> 00:35:03.760]   (murmuring)
[00:35:03.760 --> 00:35:06.080]   (murmuring)
[00:35:33.360 --> 00:35:37.680]   - Say a prayer for us to begin our extended prayer time.
[00:35:37.680 --> 00:35:40.840]   And then again, we're gonna just dim the lights
[00:35:40.840 --> 00:35:44.760]   and give you a solid 35, 40 minutes to just pray.
[00:35:44.760 --> 00:35:46.200]   And afterwards, we'll wrap up
[00:35:46.200 --> 00:35:49.160]   and end with the closing praise song, okay?
[00:35:49.160 --> 00:35:51.600]   So let's bow our heads in prayer.
[00:35:51.600 --> 00:35:54.880]   Father God, as we as a church collectively
[00:35:54.880 --> 00:35:58.480]   bow our heads before you and seek you in prayer,
[00:35:58.480 --> 00:36:01.820]   Father, we are so thankful, God,
[00:36:01.820 --> 00:36:04.760]   that in you there is wisdom, truth,
[00:36:04.760 --> 00:36:07.600]   discretion, and all knowledge.
[00:36:07.600 --> 00:36:09.600]   We thank you, Father God, that you have eyes
[00:36:09.600 --> 00:36:13.360]   a flame of fire, and Lord, that you see through everything.
[00:36:13.360 --> 00:36:16.760]   And in many ways, Father God, we want to acknowledge, God,
[00:36:16.760 --> 00:36:19.560]   you know us better than we know ourselves.
[00:36:19.560 --> 00:36:23.480]   And so we pray, Lord, that as we come to you in prayer,
[00:36:23.480 --> 00:36:26.480]   lifting up to you both our struggles,
[00:36:29.560 --> 00:36:32.980]   our faith, our sins, our internal thoughts,
[00:36:32.980 --> 00:36:34.860]   all these things, again, we pray
[00:36:34.860 --> 00:36:36.900]   that you would transform us.
[00:36:36.900 --> 00:36:40.120]   Lord, I pray, Father God, that in this prayer time,
[00:36:40.120 --> 00:36:41.780]   as we lift up to you the request
[00:36:41.780 --> 00:36:43.860]   that you would sanctify us, Lord,
[00:36:43.860 --> 00:36:46.140]   we do in your mercies hear us.
[00:36:46.140 --> 00:36:48.140]   And God, that you continue to lead us
[00:36:48.140 --> 00:36:51.340]   in the blessing of being changed every day.
[00:36:51.340 --> 00:36:54.500]   God, being conformed to the image of your son
[00:36:54.500 --> 00:36:56.580]   and having the ministry of your truth in us
[00:36:56.580 --> 00:36:59.700]   and your spirit in us, be so powerful.
[00:36:59.700 --> 00:37:01.900]   We want to thank you again for this time,
[00:37:01.900 --> 00:37:03.940]   and pray, Father God, that, Lord, you would lead us.
[00:37:03.940 --> 00:37:05.520]   It's in Christ's name, amen.
[00:37:05.520 --> 00:37:16.700]   (gentle piano music)
[00:37:16.700 --> 00:37:20.120]   (congregation murmuring)
[00:37:20.120 --> 00:37:23.200]   (gentle piano music)
[00:37:23.200 --> 00:37:26.620]   (congregation murmuring)
[00:37:26.620 --> 00:37:29.700]   (gentle piano music)
[00:37:29.700 --> 00:37:33.120]   (congregation murmuring)
[00:37:33.120 --> 00:37:36.200]   (gentle piano music)
[00:37:36.200 --> 00:37:39.620]   (congregation murmuring)
[00:37:39.620 --> 00:37:43.820]   (gentle piano music)
[00:37:43.820 --> 00:37:46.900]   (gentle piano music)
[00:37:46.900 --> 00:37:49.980]   (gentle piano music)
[00:37:49.980 --> 00:37:53.060]   (gentle piano music)
[00:37:53.060 --> 00:37:56.140]   (gentle piano music)
[00:37:56.140 --> 00:37:59.220]   (gentle piano music)
[00:37:59.820 --> 00:38:02.900]   (gentle piano music)
[00:38:03.500 --> 00:38:06.580]   (gentle piano music)
[00:38:06.580 --> 00:38:09.660]   (gentle piano music)
[00:38:09.660 --> 00:38:12.740]   (gentle piano music)
[00:38:12.740 --> 00:38:15.820]   (gentle piano music)
[00:38:15.820 --> 00:38:18.900]   (gentle piano music)
[00:38:18.900 --> 00:38:21.980]   (gentle piano music)
[00:38:21.980 --> 00:38:26.980]  , (gentle piano music)
[00:38:26.980 --> 00:38:30.060]   (gentle piano music)
[00:38:30.060 --> 00:38:52.140]   (gentle piano music)
[00:38:52.140 --> 00:38:55.220]   (gentle piano music)
[00:38:55.220 --> 00:39:06.300]   (gentle piano music)
[00:39:06.300 --> 00:39:15.380]   (gentle piano music)
[00:39:15.460 --> 00:39:18.540]   (gentle piano music)
[00:39:18.540 --> 00:39:26.540]   (gentle piano music)
[00:39:26.540 --> 00:39:38.540]   (gentle piano music)
[00:39:38.620 --> 00:39:41.700]   (gentle piano music)
[00:39:41.700 --> 00:39:52.700]   (gentle piano music)
[00:39:52.780 --> 00:39:55.860]   (gentle piano music)
[00:39:55.860 --> 00:40:15.860]   (gentle piano music)
[00:40:15.940 --> 00:40:19.020]   (gentle piano music)
[00:40:19.020 --> 00:40:35.020]   (gentle piano music)
[00:40:35.100 --> 00:40:38.180]   (gentle piano music)
[00:40:38.180 --> 00:40:54.180]   (gentle piano music)
[00:40:54.260 --> 00:40:57.340]   (gentle piano music)
[00:40:57.340 --> 00:41:15.340]   (gentle piano music)
[00:41:15.420 --> 00:41:18.500]   (gentle piano music)
[00:41:18.500 --> 00:41:29.500]   (gentle piano music)
[00:41:29.500 --> 00:41:42.500]   (gentle piano music)
[00:41:42.580 --> 00:41:45.660]   (gentle piano music)
[00:41:45.660 --> 00:41:56.660]   (gentle piano music)
[00:42:11.580 --> 00:42:14.660]   (gentle piano music)
[00:42:14.660 --> 00:42:31.660]   (gentle piano music)
[00:42:31.660 --> 00:42:34.740]   (gentle piano music)
[00:42:34.740 --> 00:42:55.740]   (gentle piano music)
[00:42:55.740 --> 00:42:58.820]   (gentle piano music)
[00:42:58.820 --> 00:43:11.820]   (gentle piano music)
[00:43:11.820 --> 00:43:14.900]   (gentle piano music)
[00:43:14.900 --> 00:43:27.900]   (gentle piano music)
[00:43:27.900 --> 00:43:30.980]   (gentle piano music)
[00:43:30.980 --> 00:43:45.980]   (gentle piano music)
[00:43:45.980 --> 00:43:49.060]   (gentle piano music)
[00:43:49.060 --> 00:44:04.060]   (gentle piano music)
[00:44:04.060 --> 00:44:07.140]   (gentle piano music)
[00:44:07.140 --> 00:44:22.140]   (gentle piano music)
[00:44:22.140 --> 00:44:31.140]   (gentle piano music)
[00:44:31.140 --> 00:44:34.220]   (gentle piano music)
[00:44:34.220 --> 00:44:46.220]   (gentle piano music)
[00:44:46.220 --> 00:44:49.300]   (gentle piano music)
[00:44:49.300 --> 00:45:07.300]   (gentle piano music)
[00:45:15.220 --> 00:45:18.220]   - And now, a moment of chill from Coors Light.
[00:45:18.220 --> 00:45:20.960]   (water bubbling)
[00:45:20.960 --> 00:45:23.700]   (water bubbling)
[00:45:23.700 --> 00:45:26.440]   (water bubbling)
[00:45:26.440 --> 00:45:29.180]   (water bubbling)
[00:45:29.180 --> 00:45:31.920]   (water bubbling)
[00:45:31.920 --> 00:45:34.660]   (water bubbling)
[00:45:34.660 --> 00:45:37.400]   (water bubbling)
[00:45:37.400 --> 00:45:40.140]   (water bubbling)
[00:45:40.140 --> 00:45:42.880]   (water bubbling)
[00:45:42.880 --> 00:45:45.620]   (water bubbling)
[00:45:45.620 --> 00:45:48.360]   (water bubbling)
[00:45:48.360 --> 00:45:51.100]   (water bubbling)
[00:45:51.100 --> 00:45:53.840]   (water bubbling)
[00:45:53.840 --> 00:45:56.580]   (water bubbling)
[00:45:56.580 --> 00:45:59.320]   (water bubbling)
[00:45:59.320 --> 00:46:02.060]   (water bubbling)
[00:46:02.060 --> 00:46:04.800]   (water bubbling)
[00:46:05.800 --> 00:46:08.540]   (water bubbling)
[00:46:33.800 --> 00:46:36.880]   (gentle piano music)
[00:46:37.880 --> 00:46:40.960]   (gentle piano music)
[00:46:40.960 --> 00:46:53.960]   (gentle piano music)
[00:46:54.960 --> 00:46:58.040]   (gentle piano music)
[00:46:58.040 --> 00:47:14.040]   (gentle piano music)
[00:47:14.040 --> 00:47:17.120]   (gentle piano music)
[00:47:17.120 --> 00:47:30.120]   (gentle piano music)
[00:47:31.120 --> 00:47:34.200]   (gentle piano music)
[00:47:34.200 --> 00:47:48.200]   (gentle piano music)
[00:47:48.200 --> 00:47:51.280]   (gentle piano music)
[00:47:51.280 --> 00:48:03.280]   (gentle piano music)
[00:48:03.280 --> 00:48:06.360]   (gentle piano music)
[00:48:06.360 --> 00:48:19.360]   (gentle piano music)
[00:48:19.360 --> 00:48:22.440]   (gentle piano music)
[00:48:22.440 --> 00:48:40.440]   (gentle piano music)
[00:48:40.440 --> 00:48:43.520]   (gentle piano music)
[00:48:43.520 --> 00:48:58.520]   (gentle piano music)
[00:48:58.520 --> 00:49:01.600]   (gentle piano music)
[00:49:01.600 --> 00:49:14.600]   (gentle piano music)
[00:49:14.600 --> 00:49:17.680]   (gentle piano music)
[00:49:17.680 --> 00:49:37.680]   (gentle piano music)
[00:49:37.680 --> 00:49:40.760]   (gentle piano music)
[00:49:40.760 --> 00:50:00.760]   (gentle piano music)
[00:50:01.760 --> 00:50:04.840]   (gentle piano music)
[00:50:04.840 --> 00:50:16.840]   (gentle piano music)
[00:50:16.840 --> 00:50:19.920]   (gentle piano music)
[00:50:19.920 --> 00:50:34.920]   (gentle piano music)
[00:50:35.920 --> 00:50:39.000]   (gentle piano music)
[00:50:39.000 --> 00:50:53.000]   (gentle piano music)
[00:50:53.000 --> 00:50:56.080]   (gentle piano music)
[00:50:56.080 --> 00:51:09.080]   (gentle piano music)
[00:51:10.080 --> 00:51:13.160]   (gentle piano music)
[00:51:13.160 --> 00:51:31.160]   (gentle piano music)
[00:51:32.160 --> 00:51:35.240]   (gentle piano music)
[00:51:35.240 --> 00:51:52.240]   (gentle piano music)
[00:51:53.240 --> 00:51:56.320]   (gentle piano music)
[00:51:56.320 --> 00:52:14.320]   (gentle piano music)
[00:52:14.320 --> 00:52:17.400]   (gentle piano music)
[00:52:17.400 --> 00:52:32.400]   (gentle piano music)
[00:52:32.400 --> 00:52:35.480]   (gentle piano music)
[00:52:35.480 --> 00:52:48.480]   (gentle piano music)
[00:52:49.480 --> 00:52:52.560]   (gentle piano music)
[00:52:52.560 --> 00:53:06.560]   (gentle piano music)
[00:53:06.560 --> 00:53:09.640]   (gentle piano music)
[00:53:09.640 --> 00:53:25.640]   (gentle piano music)
[00:53:26.640 --> 00:53:29.720]   (gentle piano music)
[00:53:29.720 --> 00:53:41.720]   (gentle piano music)
[00:53:41.720 --> 00:53:44.800]   (gentle piano music)
[00:53:44.800 --> 00:53:59.800]   (gentle piano music)
[00:54:00.800 --> 00:54:03.880]   (gentle piano music)
[00:54:03.880 --> 00:54:17.880]   (gentle piano music)
[00:54:17.880 --> 00:54:20.960]   (gentle piano music)
[00:54:46.880 --> 00:54:49.960]   (gentle piano music)
[00:54:49.960 --> 00:55:04.960]   (gentle piano music)
[00:55:04.960 --> 00:55:08.040]   (gentle piano music)
[00:55:08.040 --> 00:55:23.040]   (gentle piano music)
[00:55:23.040 --> 00:55:26.120]   (gentle piano music)
[00:55:26.120 --> 00:55:41.120]   (gentle piano music)
[00:55:41.120 --> 00:55:44.200]   (gentle piano music)
[00:55:44.200 --> 00:55:59.200]   (gentle piano music)
[00:55:59.200 --> 00:56:02.280]   (gentle piano music)
[00:56:02.280 --> 00:56:19.280]   (gentle piano music)
[00:56:19.280 --> 00:56:22.360]   (gentle piano music)
[00:56:22.360 --> 00:56:37.360]   (gentle piano music)
[00:56:37.360 --> 00:56:40.440]   (gentle piano music)
[00:56:40.440 --> 00:56:57.440]   (gentle piano music)
[00:56:57.440 --> 00:57:00.520]   (gentle piano music)
[00:57:00.520 --> 00:57:15.520]   (gentle piano music)
[00:57:15.520 --> 00:57:18.600]   (gentle piano music)
[00:57:18.600 --> 00:57:37.600]   (gentle piano music)
[00:57:37.600 --> 00:57:40.680]   (gentle piano music)
[00:57:40.680 --> 00:58:03.680]   (gentle piano music)
[00:58:04.680 --> 00:58:07.760]   (gentle piano music)
[00:58:07.760 --> 00:58:21.760]   (gentle piano music)
[00:58:21.760 --> 00:58:24.840]   (gentle piano music)
[00:58:24.840 --> 00:58:39.840]   (gentle piano music)
[00:58:39.840 --> 00:58:42.920]   (gentle piano music)
[00:58:42.920 --> 00:58:57.920]   (gentle piano music)
[00:58:57.920 --> 00:59:01.000]   (gentle piano music)
[00:59:01.000 --> 00:59:16.000]   (gentle piano music)
[00:59:16.000 --> 00:59:19.080]   (gentle piano music)
[00:59:19.080 --> 00:59:34.080]   (gentle piano music)
[00:59:34.080 --> 00:59:37.160]   (gentle piano music)
[00:59:37.160 --> 00:59:52.160]   (gentle piano music)
[00:59:52.160 --> 00:59:55.240]   (gentle piano music)
[00:59:55.240 --> 01:00:10.240]   (gentle piano music)
[01:00:11.240 --> 01:00:14.320]   (gentle piano music)
[01:00:14.320 --> 01:00:28.320]   (gentle piano music)
[01:00:28.320 --> 01:00:31.400]   (gentle piano music)
[01:00:31.400 --> 01:00:46.400]   (gentle piano music)
[01:00:46.400 --> 01:00:49.480]   (gentle piano music)
[01:00:49.480 --> 01:01:04.480]   (gentle piano music)
[01:01:04.480 --> 01:01:07.560]   (gentle piano music)
[01:01:07.560 --> 01:01:22.560]   (gentle piano music)
[01:01:22.560 --> 01:01:25.640]   (gentle piano music)
[01:01:25.640 --> 01:01:40.640]   (gentle piano music)
[01:01:40.640 --> 01:01:43.720]   (gentle piano music)
[01:01:43.720 --> 01:01:58.720]   (gentle piano music)
[01:01:58.720 --> 01:02:01.800]   (gentle piano music)
[01:02:01.800 --> 01:02:16.800]   (gentle piano music)
[01:02:16.800 --> 01:02:19.880]   (gentle piano music)
[01:02:19.880 --> 01:02:36.880]   (gentle piano music)
[01:02:36.880 --> 01:02:39.960]   (gentle piano music)
[01:03:04.880 --> 01:03:07.960]   (gentle piano music)
[01:03:31.880 --> 01:03:34.960]   (gentle piano music)
[01:03:34.960 --> 01:03:38.040]   (gentle piano music)
[01:03:38.040 --> 01:03:41.120]   (gentle piano music)
[01:03:41.120 --> 01:03:44.200]   (gentle piano music)
[01:03:44.200 --> 01:03:47.280]   (gentle piano music)
[01:03:47.280 --> 01:04:05.280]   (gentle piano music)
[01:04:05.280 --> 01:04:08.360]   (gentle piano music)
[01:04:08.360 --> 01:04:31.360]   (gentle piano music)
[01:04:31.360 --> 01:04:34.440]   (gentle piano music)
[01:04:34.440 --> 01:04:50.440]   (gentle piano music)
[01:04:51.440 --> 01:04:54.520]   (gentle piano music)
[01:04:54.520 --> 01:05:10.520]   (gentle piano music)
[01:05:10.520 --> 01:05:13.600]   (gentle piano music)
[01:05:13.600 --> 01:05:30.600]   (gentle piano music)
[01:05:30.600 --> 01:05:33.680]   (gentle piano music)
[01:05:33.680 --> 01:05:48.680]   (gentle piano music)
[01:05:48.680 --> 01:05:51.760]   (gentle piano music)
[01:05:51.760 --> 01:05:54.840]   (gentle piano music)
[01:05:54.840 --> 01:05:57.920]   (gentle piano music)
[01:06:21.840 --> 01:06:24.920]   (gentle piano music)
[01:06:24.920 --> 01:06:34.920]   (gentle piano music)
[01:06:34.920 --> 01:06:49.920]   (gentle piano music)
[01:06:49.920 --> 01:06:53.000]   (gentle piano music)
[01:06:53.000 --> 01:06:59.000]   (gentle piano music)
[01:06:59.000 --> 01:07:17.000]   (gentle piano music)
[01:07:17.000 --> 01:07:20.080]   (gentle piano music)
[01:07:20.080 --> 01:07:37.080]   (gentle piano music)
[01:07:37.080 --> 01:07:40.160]   (gentle piano music)
[01:07:40.160 --> 01:07:55.160]   (gentle piano music)
[01:07:55.160 --> 01:07:58.240]   (gentle piano music)
[01:07:58.240 --> 01:08:13.240]   (gentle piano music)
[01:08:13.240 --> 01:08:16.320]   (gentle piano music)
[01:08:16.320 --> 01:08:33.320]   (gentle piano music)
[01:08:33.320 --> 01:08:36.400]   (gentle piano music)
[01:08:36.400 --> 01:08:51.400]   (gentle piano music)
[01:08:51.400 --> 01:08:54.480]   (gentle piano music)
[01:08:54.480 --> 01:09:09.480]   (gentle piano music)
[01:09:09.480 --> 01:09:12.560]   (gentle piano music)
[01:09:12.560 --> 01:09:26.560]   (gentle piano music)
[01:09:26.560 --> 01:09:29.640]   (gentle piano music)
[01:09:29.640 --> 01:09:47.640]   (gentle piano music)
[01:09:47.640 --> 01:09:54.640]   (gentle piano music)
[01:09:54.640 --> 01:09:57.720]   (gentle piano music)
[01:09:57.720 --> 01:10:21.220]   (gentle music)
[01:10:22.220 --> 01:10:24.800]   (gentle music)
[01:10:24.800 --> 01:10:45.800]   (gentle music)
[01:10:46.800 --> 01:10:49.380]   (gentle music)
[01:10:49.380 --> 01:11:08.380]   (gentle music)
[01:11:08.380 --> 01:11:10.960]   (gentle music)
[01:11:10.960 --> 01:11:13.540]   (gentle music)
[01:11:13.540 --> 01:11:16.120]   (gentle music)
[01:11:16.120 --> 01:11:18.700]   (gentle music)
[01:11:18.700 --> 01:11:21.280]   (gentle music)
[01:11:21.280 --> 01:11:23.860]   (gentle music)
[01:11:23.860 --> 01:11:26.440]   (gentle music)
[01:11:26.440 --> 01:11:29.020]   (gentle music)
[01:11:29.020 --> 01:11:31.600]   (gentle music)
[01:11:32.600 --> 01:11:35.180]   (gentle music)
[01:11:35.180 --> 01:11:37.760]   (gentle music)
[01:11:38.760 --> 01:11:41.340]   (gentle music)
[01:11:41.340 --> 01:11:53.340]   (gentle music)
[01:11:53.340 --> 01:11:55.920]   (gentle music)
[01:11:55.920 --> 01:12:05.920]   (gentle music)
[01:12:05.920 --> 01:12:15.920]   (gentle music)
[01:12:15.920 --> 01:12:18.500]   (gentle music)
[01:12:18.500 --> 01:12:38.500]   (gentle music)
[01:12:38.500 --> 01:12:41.080]   (gentle music)
[01:12:41.080 --> 01:13:01.080]   (gentle music)
[01:13:01.080 --> 01:13:03.660]   (gentle music)
[01:13:03.660 --> 01:13:06.240]   (gentle music)
[01:13:06.240 --> 01:13:08.820]   (gentle music)
[01:13:34.240 --> 01:13:36.820]   (gentle music)
[01:13:36.820 --> 01:13:39.400]   (gentle music)
[01:13:39.400 --> 01:13:41.980]   (gentle music)
[01:13:41.980 --> 01:13:44.560]   (gentle music)
[01:13:44.560 --> 01:13:47.140]   (gentle music)
[01:14:13.560 --> 01:14:15.140]   - Okay, at this time,
[01:14:15.140 --> 01:14:18.940]   we're gonna conclude our extended period of prayer,
[01:14:18.940 --> 01:14:21.640]   and I'll say a prayer for us to wrap up.
[01:14:21.640 --> 01:14:24.760]   And then our worship team is gonna come up
[01:14:24.760 --> 01:14:26.340]   and lead us in a closing song.
[01:14:26.340 --> 01:14:28.340]   So let's take a moment to pray together.
[01:14:28.340 --> 01:14:34.840]   Our God,
[01:14:34.840 --> 01:14:40.940]   our prayer is that we, as individuals
[01:14:40.940 --> 01:14:43.480]   and collectively as a church,
[01:14:43.480 --> 01:14:45.900]   would truly continue to grow
[01:14:45.900 --> 01:14:49.640]   in our sight of who you are.
[01:14:49.640 --> 01:14:51.800]   Lord, that we would recognize you
[01:14:51.800 --> 01:14:54.300]   as truly the powerful God,
[01:14:54.300 --> 01:14:56.060]   the absolute sovereign God,
[01:14:56.060 --> 01:15:00.720]   who has saved us and who is leading us now.
[01:15:00.720 --> 01:15:02.680]   And so we pray that, God,
[01:15:02.680 --> 01:15:05.300]   the regular pattern of our day
[01:15:05.300 --> 01:15:07.520]   would be to depend on you,
[01:15:07.520 --> 01:15:10.020]   would be to go to you for everything.
[01:15:10.020 --> 01:15:12.840]   And Father God, I pray that in that way,
[01:15:12.840 --> 01:15:15.560]   that the ministry of our church,
[01:15:15.560 --> 01:15:17.800]   the evangelism that we do,
[01:15:17.800 --> 01:15:20.520]   the teaching that we participate in,
[01:15:20.520 --> 01:15:23.480]   that all these things would be empowered by you.
[01:15:23.480 --> 01:15:25.920]   And I pray, Father God, that for us,
[01:15:25.920 --> 01:15:28.520]   the determining factors of what we are participating in
[01:15:28.520 --> 01:15:31.000]   would not be whether it's working or not,
[01:15:31.000 --> 01:15:35.240]   but whether, Father, that you have instructed us to do so.
[01:15:35.240 --> 01:15:39.720]   For we do believe, God, that you are 100% sovereign,
[01:15:39.720 --> 01:15:41.880]   and, God, you will bear your fruit
[01:15:41.880 --> 01:15:43.980]   according to your design and your time.
[01:15:43.980 --> 01:15:46.800]   And so I pray, God, that we would be a church
[01:15:46.800 --> 01:15:49.220]   truly moved in confidence,
[01:15:49.220 --> 01:15:53.040]   that we're walking this life in faith as we abide in you.
[01:15:53.040 --> 01:15:55.820]   So, Lord, again, we want to thank you so much,
[01:15:55.820 --> 01:15:58.780]   and we ask that as each one of us are being strengthened,
[01:15:58.780 --> 01:16:01.340]   each one of us were being challenged,
[01:16:01.340 --> 01:16:05.140]   may you continue to use us, God, for your ministry,
[01:16:05.140 --> 01:16:07.720]   that, Lord, for the people in our lives,
[01:16:07.720 --> 01:16:11.000]   that, God, you would have us be your mouthpieces,
[01:16:11.000 --> 01:16:13.760]   and, Lord, that you would have us be your witnesses,
[01:16:13.760 --> 01:16:15.760]   and that as we see your glorious light,
[01:16:15.760 --> 01:16:18.680]   as we continue to see your amazing power,
[01:16:18.680 --> 01:16:21.800]   Father, what we have seen and what we have tasted,
[01:16:21.800 --> 01:16:24.140]   Lord, that we would share with the world.
[01:16:24.140 --> 01:16:26.360]   Lord, again, we want to thank you for this evening.
[01:16:26.360 --> 01:16:29.120]   We lift this last song up to you in Christ's name, amen.
[01:16:29.120 --> 01:16:32.560]   - All right, church family,
[01:16:32.560 --> 01:16:33.880]   would you please stand with us again
[01:16:33.880 --> 01:16:36.280]   as we sing this last song together?
[01:16:36.280 --> 01:16:38.360]   Let us sing together of this great truth
[01:16:38.360 --> 01:16:41.800]   that no matter what season of life we're in,
[01:16:41.800 --> 01:16:46.280]   what circumstance we're in, that Jesus is our steady anchor.
[01:16:46.280 --> 01:16:49.120]   He is our sure foundation, our solid rock.
[01:16:49.120 --> 01:16:50.920]   So let us sing this song together.
[01:16:50.920 --> 01:16:55.080]   (gentle piano music)
[01:16:55.080 --> 01:16:58.160]   (gentle piano music)
[01:16:58.160 --> 01:17:15.800]   ♪ Crest the shore in steady anchor ♪
[01:17:15.800 --> 01:17:20.640]   ♪ In the fury of the storm ♪
[01:17:20.640 --> 01:17:25.640]   ♪ When the winds of doubt blow through me ♪
[01:17:25.640 --> 01:17:30.520]   ♪ And my sails have all been torn ♪
[01:17:30.520 --> 01:17:35.520]   ♪ In the suffering, in the sorrow ♪
[01:17:35.520 --> 01:17:40.440]   ♪ When my sinking hopes are few ♪
[01:17:40.440 --> 01:17:45.320]   ♪ I will hold fast to the anchor ♪
[01:17:45.320 --> 01:17:50.320]   ♪ It shall never be reborn ♪
[01:17:50.840 --> 01:17:53.920]   (gentle piano music)
[01:17:53.920 --> 01:18:02.560]   ♪ Crest the shore in steady anchor ♪
[01:18:02.560 --> 01:18:07.560]   ♪ While the tempest rages on ♪
[01:18:07.560 --> 01:18:12.480]   ♪ When temptation claims the battle ♪
[01:18:12.480 --> 01:18:17.360]   ♪ And it saves the night has gone ♪
[01:18:17.360 --> 01:18:22.360]   ♪ When the stupefying goes to the end ♪
[01:18:22.360 --> 01:18:27.360]   ♪ No one trusts the stand of Jews ♪
