
[00:00:00.000 --> 00:00:04.240]   [AUDIO OUT]
[00:17:38.520 --> 00:17:41.320]   they want more emotion, they wanna see some people
[00:17:41.320 --> 00:17:43.800]   dancing on the aisle, they want people raising hands
[00:17:43.800 --> 00:17:47.560]   and crying during worship, and I have nothing against that.
[00:17:47.560 --> 00:17:50.160]   If you wanna dance, dance quietly in the back,
[00:17:50.160 --> 00:17:52.400]   you know, like, I have nothing against that, right?
[00:17:52.400 --> 00:17:54.960]   Don't distract us, right?
[00:17:54.960 --> 00:17:57.360]   You wanna raise your hand, you wanna weep,
[00:17:57.360 --> 00:18:00.400]   you know, while you're praising God, awesome!
[00:18:00.400 --> 00:18:03.660]   We should be emotional in our worship toward God.
[00:18:03.660 --> 00:18:06.080]   But the primary role of the Holy Spirit
[00:18:06.080 --> 00:18:08.000]   is linked to the Great Commission.
[00:18:08.920 --> 00:18:10.720]   In Acts chapter one, six through eight,
[00:18:10.720 --> 00:18:12.840]   and you know that passage in verse eight when he says,
[00:18:12.840 --> 00:18:14.400]   "But you will receive power when the Holy Spirit
[00:18:14.400 --> 00:18:17.200]   "comes upon you, you will be my witnesses."
[00:18:17.200 --> 00:18:19.680]   You will be my witnesses in Jerusalem, Judea, Samaria,
[00:18:19.680 --> 00:18:21.680]   to the remotest part of the world.
[00:18:21.680 --> 00:18:24.480]   But prior to him making that commandment,
[00:18:24.480 --> 00:18:26.520]   the disciples were stuck on,
[00:18:26.520 --> 00:18:30.440]   are you now going to restore the kingdom to Israel?
[00:18:30.440 --> 00:18:32.620]   That was the question, because that's what they were
[00:18:32.620 --> 00:18:35.640]   focused on before he went to the cross, remember?
[00:18:35.640 --> 00:18:37.560]   He said, "When the kingdom comes, can you let us sit
[00:18:37.560 --> 00:18:38.480]   "on the left or to the right?
[00:18:38.480 --> 00:18:40.440]   "Who's gonna be the greatest when the kingdom comes?"
[00:18:40.440 --> 00:18:42.040]   And that's what they were focused on,
[00:18:42.040 --> 00:18:44.200]   because all of the prophets,
[00:18:44.200 --> 00:18:46.720]   even in the midst of all the judgment,
[00:18:46.720 --> 00:18:49.320]   always ends and always reminds us
[00:18:49.320 --> 00:18:50.800]   that even though judgment is coming,
[00:18:50.800 --> 00:18:53.760]   God will restore one day the kingdom.
[00:18:53.760 --> 00:18:55.920]   So this is what they were fixated on.
[00:18:55.920 --> 00:18:57.840]   And then even after Jesus was resurrected,
[00:18:57.840 --> 00:18:59.960]   that's what they were fixated, is it now?
[00:18:59.960 --> 00:19:01.800]   We thought it was gonna happen before the cross,
[00:19:01.800 --> 00:19:03.960]   and we didn't understand where the cross fit into this,
[00:19:03.960 --> 00:19:08.280]   but now we see that even in death, they cannot contain you.
[00:19:08.280 --> 00:19:11.080]   So now, is it now are you gonna restore the kingdom?
[00:19:11.080 --> 00:19:13.480]   And Jesus says to them, "It is not for you to know
[00:19:13.480 --> 00:19:15.600]   "times or the seasons that the Father has fixed
[00:19:15.600 --> 00:19:17.880]   "by his own authority."
[00:19:17.880 --> 00:19:19.160]   Whenever we look at this text,
[00:19:19.160 --> 00:19:20.720]   we always kinda get caught up in,
[00:19:20.720 --> 00:19:21.680]   it's like, oh, the end times,
[00:19:21.680 --> 00:19:23.240]   we're not gonna know about the end times.
[00:19:23.240 --> 00:19:25.660]   Let's not calculate the end times.
[00:19:25.660 --> 00:19:27.800]   There's a much more practical application
[00:19:27.800 --> 00:19:29.680]   to what Jesus is saying here,
[00:19:29.680 --> 00:19:33.080]   than you're not gonna know the specific time or the hour.
[00:19:33.080 --> 00:19:35.160]   The practical thing that Jesus is saying is,
[00:19:35.160 --> 00:19:40.000]   you're focused on making this kingdom your home.
[00:19:40.000 --> 00:19:43.080]   You're focused, because that's what we're all focused on.
[00:19:43.080 --> 00:19:45.720]   Your focus is, is it now you're gonna restore the kingdom?
[00:19:45.720 --> 00:19:48.120]   We've been waiting for this for hundreds and hundreds
[00:19:48.120 --> 00:19:51.040]   of years, is it now are you going to bring this kingdom
[00:19:51.040 --> 00:19:52.160]   that we've been waiting for?
[00:19:52.160 --> 00:19:54.840]   And Jesus basically is saying,
[00:19:54.840 --> 00:19:56.880]   it's not for you to think about that now.
[00:19:56.880 --> 00:20:00.880]   Now is the time for the great commission.
[00:20:00.880 --> 00:20:02.920]   That time will come one day,
[00:20:02.920 --> 00:20:07.360]   when Christ comes and he restores his kingdom,
[00:20:07.360 --> 00:20:10.040]   and he glorifies us, and redeems his church finally
[00:20:10.040 --> 00:20:12.680]   in glorification, but now is not the time
[00:20:12.680 --> 00:20:14.640]   for you to be thinking about that.
[00:20:14.640 --> 00:20:18.240]   Now is the time for the great commission.
[00:20:18.240 --> 00:20:22.020]   And you will be my witnesses when the Holy Spirit comes.
[00:20:22.020 --> 00:20:25.560]   See, the whole purpose of the Holy Spirit
[00:20:25.560 --> 00:20:29.120]   is not simply comfort us because life is difficult.
[00:20:29.120 --> 00:20:31.400]   Although he does do that.
[00:20:31.400 --> 00:20:33.160]   The whole point of the Holy Spirit is not so that
[00:20:33.160 --> 00:20:36.160]   we can become emotional when we sing.
[00:20:36.160 --> 00:20:38.200]   Although that is a big benefit of the movement
[00:20:38.200 --> 00:20:39.920]   of the Holy Spirit.
[00:20:39.920 --> 00:20:44.060]   The primary purpose of the Holy Spirit is to empower us
[00:20:44.060 --> 00:20:45.320]   for the great commission.
[00:20:45.320 --> 00:20:49.840]   John 15, 26, but when the helper, the Holy Spirit comes,
[00:20:49.840 --> 00:20:52.400]   whom I will send to you from the Father,
[00:20:52.400 --> 00:20:54.560]   Spirit of truth, who proceeds from the Father,
[00:20:54.560 --> 00:20:57.660]   he will bear witness about me.
[00:20:57.660 --> 00:20:59.920]   Because the disciples were afraid.
[00:20:59.920 --> 00:21:02.800]   Their situation was much worse than even the pastors
[00:21:02.800 --> 00:21:04.880]   who were preaching the gospel in the villages.
[00:21:04.880 --> 00:21:06.800]   Persecution was real.
[00:21:06.800 --> 00:21:10.040]   Taking the gospel to the areas where hostility,
[00:21:10.040 --> 00:21:14.200]   where people are gonna be stoned, and literally going to die,
[00:21:14.200 --> 00:21:16.320]   he says, don't worry, the Holy Spirit is going to be
[00:21:16.320 --> 00:21:18.560]   with you, and he will bear witness about me.
[00:21:18.560 --> 00:21:21.120]   I am not sending you on your own.
[00:21:21.120 --> 00:21:23.960]   Again, in John 16, eight, he says, when he comes,
[00:21:23.960 --> 00:21:27.040]   the Holy Spirit, he will convict the world concerning sin,
[00:21:27.040 --> 00:21:28.800]   righteousness, and judgment.
[00:21:28.800 --> 00:21:33.000]   So when we talk about engaging the Holy Spirit,
[00:21:33.000 --> 00:21:36.920]   we're not simply talking about emotionalism,
[00:21:36.920 --> 00:21:40.160]   we're not simply talking about some mystical inner working
[00:21:40.160 --> 00:21:43.760]   of emotions and power, we're talking about the power
[00:21:43.760 --> 00:21:46.080]   to preach the gospel with effectiveness
[00:21:46.080 --> 00:21:48.080]   is directly linked to the Holy Spirit.
[00:21:48.080 --> 00:21:54.480]   So if we're not engaged in the work of the gospel ministry,
[00:21:54.480 --> 00:21:58.080]   in proclaiming the gospel, the Great Commission,
[00:21:58.080 --> 00:21:59.520]   you cannot be engaged in the Holy Spirit.
[00:21:59.520 --> 00:22:03.160]   It doesn't matter how emotional you get in the service.
[00:22:03.160 --> 00:22:06.200]   It doesn't matter how passionate you feel inwardly,
[00:22:06.200 --> 00:22:08.520]   because the primary purpose of the Holy Spirit
[00:22:08.520 --> 00:22:11.980]   is to move you forward with the gospel of Jesus Christ.
[00:22:11.980 --> 00:22:16.640]   Not only is it linked to, directly linked to our relationship
[00:22:16.640 --> 00:22:20.120]   with Jesus, directly linked to the work of the Holy Spirit,
[00:22:20.120 --> 00:22:23.200]   proclaiming of the gospel, the Great Commission,
[00:22:23.200 --> 00:22:25.560]   is directly linked to our fellowship.
[00:22:25.560 --> 00:22:30.160]   Every time Christians get together, it isn't fellowship,
[00:22:30.160 --> 00:22:33.840]   especially in our generation, right?
[00:22:33.840 --> 00:22:37.160]   Fellowship, again, has become just a place
[00:22:37.160 --> 00:22:40.800]   where Christians by name have come together
[00:22:40.800 --> 00:22:43.940]   and we talk about whatever we talk about,
[00:22:43.940 --> 00:22:45.880]   do whatever we do, as long as we're Christians,
[00:22:45.880 --> 00:22:46.840]   we have fellowship.
[00:22:46.840 --> 00:22:48.720]   That's not what the word means.
[00:22:48.720 --> 00:22:51.160]   The typical word that's translated, kononia,
[00:22:51.160 --> 00:22:54.160]   literal translation means to partner together.
[00:22:54.160 --> 00:22:57.560]   So again, if I say let's partner together, right,
[00:22:57.560 --> 00:22:59.960]   what are you gonna ask me?
[00:22:59.960 --> 00:23:00.960]   For what?
[00:23:00.960 --> 00:23:03.720]   If fellowship means partnering,
[00:23:03.720 --> 00:23:06.400]   what are we partnering together for?
[00:23:06.400 --> 00:23:08.720]   It's pretty obvious.
[00:23:08.720 --> 00:23:11.720]   Paul uses that term in the book of Philippians
[00:23:11.720 --> 00:23:13.720]   as partnering financially.
[00:23:13.720 --> 00:23:17.400]   He calls his fellow workers of the gospel
[00:23:17.400 --> 00:23:20.840]   partners in the name of Jesus Christ.
[00:23:20.840 --> 00:23:25.040]   Partnering and fellowship go hand in hand.
[00:23:25.040 --> 00:23:26.800]   So much frustration in the church happens
[00:23:26.800 --> 00:23:29.120]   because people are staggering from church to church,
[00:23:29.120 --> 00:23:32.400]   looking for like-minded, right?
[00:23:32.400 --> 00:23:33.480]   When we say like-minded,
[00:23:33.480 --> 00:23:36.300]   we're talking about similar personalities,
[00:23:36.300 --> 00:23:40.480]   similar interest in movies, similar interest in travel,
[00:23:40.480 --> 00:23:43.960]   your background, language, age, culture,
[00:23:43.960 --> 00:23:48.600]   but it's so superficial in the church.
[00:23:48.600 --> 00:23:51.560]   I know yesterday they had football.
[00:23:51.560 --> 00:23:52.600]   You know, the men had football,
[00:23:52.600 --> 00:23:53.960]   and I think the women's football tournament
[00:23:53.960 --> 00:23:54.920]   is coming up pretty soon,
[00:23:54.920 --> 00:23:56.400]   and you know, there's some,
[00:23:56.400 --> 00:23:59.380]   I don't know how the oldest member of the football team is,
[00:23:59.380 --> 00:24:03.440]   but from what I hear, probably late 30s, right?
[00:24:03.440 --> 00:24:05.240]   I don't think anybody 40 and over
[00:24:05.240 --> 00:24:07.640]   in the right mind would have done that.
[00:24:07.640 --> 00:24:12.640]   But late 30s, and I know as young as 18, right?
[00:24:12.640 --> 00:24:15.480]   As young as 18 to 38-year-old.
[00:24:15.480 --> 00:24:19.200]   Got together and played football for this competition.
[00:24:19.200 --> 00:24:22.920]   I didn't hear one time the older guy say,
[00:24:22.920 --> 00:24:24.920]   "I couldn't connect with these guys."
[00:24:24.920 --> 00:24:25.760]   You know?
[00:24:25.760 --> 00:24:26.680]   "I couldn't connect with them
[00:24:26.680 --> 00:24:28.720]   "because there's nobody my age here.
[00:24:28.720 --> 00:24:33.300]   "I want to be in the defensive line with guys my age."
[00:24:33.300 --> 00:24:35.260]   I didn't hear any 18-year-old saying,
[00:24:35.260 --> 00:24:36.500]   "I can't play with these old guys.
[00:24:36.500 --> 00:24:38.980]   "What do I have in common with these guys?
[00:24:38.980 --> 00:24:41.120]   "They don't understand me."
[00:24:41.120 --> 00:24:46.000]   You know, they're too advanced in their stage in life.
[00:24:46.000 --> 00:24:50.320]   Nobody says that because the goal of this game is to win.
[00:24:50.320 --> 00:24:53.680]   And so whoever you are partnering with for this game
[00:24:53.680 --> 00:24:56.440]   are your brothers and are your sisters.
[00:24:56.440 --> 00:24:58.320]   Because what brings them together is not age,
[00:24:58.320 --> 00:24:59.880]   it's not language, it's not culture.
[00:24:59.880 --> 00:25:01.480]   It's this goal.
[00:25:01.480 --> 00:25:03.280]   You're partnering together.
[00:25:03.280 --> 00:25:05.000]   See, true fellowship in the church
[00:25:05.000 --> 00:25:09.600]   has nothing to do with your background as a human being.
[00:25:09.600 --> 00:25:12.360]   In fact, the beauty of the church is
[00:25:12.360 --> 00:25:15.680]   people who would never spend time together
[00:25:15.680 --> 00:25:18.440]   outside if it wasn't for Christ.
[00:25:18.440 --> 00:25:20.040]   Why would somebody in their 60s
[00:25:20.040 --> 00:25:22.400]   hang out with somebody in their teens?
[00:25:22.400 --> 00:25:24.200]   Why would somebody from this culture
[00:25:24.200 --> 00:25:25.920]   hang out with this person in that culture?
[00:25:25.920 --> 00:25:28.040]   Why would somebody from that economic status
[00:25:28.040 --> 00:25:31.400]   spend all their time with people in this economic status?
[00:25:31.400 --> 00:25:35.040]   Early church was filled with slave owners,
[00:25:35.040 --> 00:25:38.980]   with former slaves, Pharisees, and tax collectors.
[00:25:38.980 --> 00:25:40.720]   The young and the old.
[00:25:40.720 --> 00:25:42.700]   Sometimes they didn't even speak the same language,
[00:25:42.700 --> 00:25:44.520]   they were in the same church.
[00:25:44.520 --> 00:25:47.280]   But that was the beauty of the early church.
[00:25:47.280 --> 00:25:51.360]   What brought them together was the gospel of Jesus Christ
[00:25:51.360 --> 00:25:54.960]   and the proclamation of this same gospel.
[00:25:54.960 --> 00:25:58.680]   Fellowship happens in the context of partnering together
[00:25:58.680 --> 00:26:01.200]   for the Great Commission, it happens.
[00:26:01.200 --> 00:26:04.060]   You know that short time that we were there out in India,
[00:26:04.060 --> 00:26:06.080]   you know, just the ride alone,
[00:26:06.080 --> 00:26:08.160]   like to me the hardest part of any mission trip
[00:26:08.160 --> 00:26:10.360]   is the plane ride there and plane ride back.
[00:26:10.360 --> 00:26:13.440]   You know, the five hours in the bus
[00:26:13.440 --> 00:26:15.240]   isn't as bad because it's five hours.
[00:26:15.240 --> 00:26:17.960]   Well this is 16 hours of one flight
[00:26:17.960 --> 00:26:20.360]   and then resting and another three and a half hours going.
[00:26:20.360 --> 00:26:23.600]   And every year I get older it gets harder and harder.
[00:26:23.600 --> 00:26:27.560]   You know, and even the younger members of our team,
[00:26:27.560 --> 00:26:29.380]   I mean going out, we didn't go to a comfortable place.
[00:26:29.380 --> 00:26:31.200]   Our hotel was nice, right,
[00:26:31.200 --> 00:26:34.080]   comparably to everything else out there.
[00:26:34.080 --> 00:26:36.060]   The food was decent, right.
[00:26:37.400 --> 00:26:41.920]   For some people, I'm not really into Indian food, right.
[00:26:41.920 --> 00:26:44.720]   I've had enough Indian food for the rest of the year.
[00:26:44.720 --> 00:26:46.800]   I'll save that for next year, right.
[00:26:46.800 --> 00:26:52.200]   But fellowship happens in that context.
[00:26:52.200 --> 00:26:53.600]   Even while we're goofing around,
[00:26:53.600 --> 00:26:55.960]   even while we're having fun, at the end of the day,
[00:26:55.960 --> 00:26:57.800]   because all our mind and attention,
[00:26:57.800 --> 00:27:00.640]   our energy is spent toward the same thing.
[00:27:00.640 --> 00:27:02.740]   And at the end of the day, we don't have to force,
[00:27:02.740 --> 00:27:05.160]   like hey, let's talk about Jesus today.
[00:27:05.160 --> 00:27:07.800]   Because we were laboring for the same thing.
[00:27:07.800 --> 00:27:11.080]   We're all tired at the end of the day doing the same thing.
[00:27:11.080 --> 00:27:12.400]   And if there's any frustration,
[00:27:12.400 --> 00:27:15.280]   it's frustration in the same thing.
[00:27:15.280 --> 00:27:18.320]   And so when we get together, fellowship happens.
[00:27:18.320 --> 00:27:19.600]   But when you have a group of people
[00:27:19.600 --> 00:27:21.360]   who are not laboring toward the same thing
[00:27:21.360 --> 00:27:23.420]   and trying very hard to connect,
[00:27:23.420 --> 00:27:25.840]   you have to be, I want somebody my age,
[00:27:25.840 --> 00:27:28.200]   from my background, with that many kids,
[00:27:28.200 --> 00:27:30.600]   and you know, with this kind of struggle,
[00:27:30.600 --> 00:27:32.760]   with this kind of, oh, I can relate to that person
[00:27:32.760 --> 00:27:36.640]   because we're in the exact same place in life, right?
[00:27:36.640 --> 00:27:41.280]   And until we find that person or that group,
[00:27:41.280 --> 00:27:44.040]   we don't experience fellowship.
[00:27:44.040 --> 00:27:46.620]   That's not fellowship.
[00:27:46.620 --> 00:27:48.000]   You're looking for friends.
[00:27:48.000 --> 00:27:50.060]   And that's no different than the rest of the world,
[00:27:50.060 --> 00:27:51.640]   staggering from place to place,
[00:27:51.640 --> 00:27:53.920]   looking for a friendship that I can connect with,
[00:27:53.920 --> 00:27:56.800]   somebody exactly like me, looks like me, smells like me.
[00:27:56.800 --> 00:27:57.640]   Right?
[00:27:57.640 --> 00:28:02.360]   Maybe not smells like me, but you know.
[00:28:03.000 --> 00:28:04.540]   Somebody exactly like me.
[00:28:04.540 --> 00:28:08.280]   And then we get frustrated when it doesn't happen.
[00:28:08.280 --> 00:28:12.080]   Fellowship that is promised in scripture
[00:28:12.080 --> 00:28:15.800]   has nothing to do with how old you are,
[00:28:15.800 --> 00:28:18.460]   your language, your culture, your background,
[00:28:18.460 --> 00:28:20.520]   stage in life has nothing to do with that.
[00:28:20.520 --> 00:28:23.720]   Fellowship in the church is when people
[00:28:23.720 --> 00:28:26.720]   who are committed to the cause of Christ
[00:28:26.720 --> 00:28:28.400]   simply are laboring together.
[00:28:28.400 --> 00:28:31.400]   I find encouragement, you know,
[00:28:31.400 --> 00:28:34.400]   most of the team are a lot younger than I am,
[00:28:34.400 --> 00:28:36.880]   but just being with them, you know,
[00:28:36.880 --> 00:28:38.200]   'cause they're sacrificing.
[00:28:38.200 --> 00:28:41.200]   And I was encouraged by every single one of them, you know.
[00:28:41.200 --> 00:28:44.680]   I was the, what do you call it?
[00:28:44.680 --> 00:28:48.560]   Slaggard, sluggard in this group?
[00:28:48.560 --> 00:28:51.680]   I usually am because they all have particular work to do
[00:28:51.680 --> 00:28:53.160]   and I don't have a specific assignment.
[00:28:53.160 --> 00:28:55.160]   All my work happens before I go.
[00:28:55.160 --> 00:28:57.280]   And then when I go there, my work is to make sure
[00:28:57.280 --> 00:28:59.320]   that they're doing their work, you know.
[00:29:00.760 --> 00:29:02.280]   But I'm encouraged by every single one of them.
[00:29:02.280 --> 00:29:04.560]   Our VBS team, you know, they were out in the sun
[00:29:04.560 --> 00:29:07.280]   for three hours, four hours at a time,
[00:29:07.280 --> 00:29:09.360]   didn't take a break at all.
[00:29:09.360 --> 00:29:10.840]   Then there's certain things happens
[00:29:10.840 --> 00:29:12.240]   that we can't share with you.
[00:29:12.240 --> 00:29:16.280]   Certain videos that we, what's it?
[00:29:16.280 --> 00:29:18.860]   So some people, no, okay.
[00:29:18.860 --> 00:29:19.920]   I can't go any further than that
[00:29:19.920 --> 00:29:22.640]   because what happens in India stays in India.
[00:29:22.640 --> 00:29:25.640]   (audience laughing)
[00:29:25.640 --> 00:29:28.660]   But fellowship happens in the context
[00:29:28.660 --> 00:29:31.240]   of partnering together for the gospel.
[00:29:31.240 --> 00:29:32.640]   You take that great commission out
[00:29:32.640 --> 00:29:34.960]   and you try to artificially create this, like,
[00:29:34.960 --> 00:29:36.520]   connection with one another.
[00:29:36.520 --> 00:29:40.840]   That's no different than anything in the world, right?
[00:29:40.840 --> 00:29:43.040]   Any little comment, any little difference,
[00:29:43.040 --> 00:29:44.600]   any little insensitive thing that's said,
[00:29:44.600 --> 00:29:47.280]   all of it, that's enough to break off, break that off.
[00:29:47.280 --> 00:29:48.120]   Right?
[00:29:48.120 --> 00:29:51.080]   It's so, any friendship outside of Christ is so fragile.
[00:29:51.080 --> 00:29:54.320]   But it's in the context of partnering together
[00:29:54.320 --> 00:29:57.420]   and that's why the gospel and the church fellowship,
[00:29:57.420 --> 00:29:59.200]   it's directly linked.
[00:29:59.200 --> 00:30:00.760]   And let me tell you right now,
[00:30:00.760 --> 00:30:06.200]   if you feel disconnected because,
[00:30:06.200 --> 00:30:07.280]   for whatever the reason,
[00:30:07.280 --> 00:30:09.840]   and you're not partnering in the gospel,
[00:30:09.840 --> 00:30:13.360]   it could be other reasons, but maybe the primary reason
[00:30:13.360 --> 00:30:15.720]   is because you're not partnering together
[00:30:15.720 --> 00:30:17.060]   in the gospel ministry.
[00:30:17.060 --> 00:30:21.580]   The great commission affects our prayer life.
[00:30:21.580 --> 00:30:26.640]   The call to pray is directly linked to the great commission.
[00:30:26.640 --> 00:30:27.900]   Colossians 4, two to four, it says,
[00:30:27.900 --> 00:30:29.500]   "Continue steadfastly in prayer,
[00:30:29.500 --> 00:30:31.440]   "being watchful in it with thanksgiving.
[00:30:31.440 --> 00:30:33.200]   "At the same time, pray also for us
[00:30:33.200 --> 00:30:35.480]   "that God may open the door for the word,
[00:30:35.480 --> 00:30:36.760]   "to declare the mystery of Christ
[00:30:36.760 --> 00:30:38.100]   "on account of which I am in prison,
[00:30:38.100 --> 00:30:41.460]   "that I may make it clear which is how I ought to speak."
[00:30:41.460 --> 00:30:44.320]   Think about the content of our prayer.
[00:30:44.320 --> 00:30:48.140]   And if it is any different than a Buddhist prayer,
[00:30:48.140 --> 00:30:53.160]   or if it is any different than somebody who worships idols,
[00:30:53.160 --> 00:30:55.740]   because if you listen carefully to their prayers,
[00:30:55.740 --> 00:30:58.960]   they pray for safety, just like we do.
[00:30:58.960 --> 00:31:03.460]   They pray that their God would help their crops to grow,
[00:31:03.460 --> 00:31:06.960]   so that they can have a nice life.
[00:31:06.960 --> 00:31:09.620]   When they get sick, they take offerings
[00:31:09.620 --> 00:31:11.400]   to whatever idol that they worship,
[00:31:11.400 --> 00:31:13.040]   and they drop some stuff in there,
[00:31:13.040 --> 00:31:15.500]   hoping that that will cure the problem.
[00:31:15.500 --> 00:31:19.600]   See, what makes a Christian prayer
[00:31:19.600 --> 00:31:23.600]   different than a prayer of the Buddhists and the Hindus
[00:31:23.600 --> 00:31:25.560]   is the content of our prayer.
[00:31:26.540 --> 00:31:28.460]   Our prayer is not to bring this kingdom.
[00:31:28.460 --> 00:31:31.460]   He said, "It is not for you to worry about that now,
[00:31:31.460 --> 00:31:32.420]   "because time will come.
[00:31:32.420 --> 00:31:34.020]   "When the fullness of time has come,
[00:31:34.020 --> 00:31:36.840]   "God is going to reveal His glory,
[00:31:36.840 --> 00:31:39.200]   "and you will be glorified with Him when He comes in glory.
[00:31:39.200 --> 00:31:41.360]   "But until then, it is not time for you
[00:31:41.360 --> 00:31:42.660]   "to worry about that now.
[00:31:42.660 --> 00:31:46.700]   "You will receive power when the Holy Spirit comes upon you."
[00:31:46.700 --> 00:31:48.960]   So therefore, even in our prayers,
[00:31:48.960 --> 00:31:51.360]   what causes us to be urgent in our prayers
[00:31:51.360 --> 00:31:52.660]   is the Great Commission.
[00:31:53.580 --> 00:31:55.940]   Is when we are laboring and praying
[00:31:55.940 --> 00:31:58.420]   for the gospel to be spread.
[00:31:58.420 --> 00:32:01.400]   That's something that you and I cannot do.
[00:32:01.400 --> 00:32:03.740]   I can pay bills without praying.
[00:32:03.740 --> 00:32:08.220]   I can get a job in promotion without praying.
[00:32:08.220 --> 00:32:09.740]   Work harder, stop being lazy.
[00:32:09.740 --> 00:32:12.300]   Don't make trouble at work.
[00:32:12.300 --> 00:32:14.980]   Read and get educated.
[00:32:14.980 --> 00:32:19.540]   I could, we know all the information,
[00:32:19.540 --> 00:32:22.380]   but the primary reason why we have to pray,
[00:32:22.380 --> 00:32:24.500]   why prayer becomes urgent,
[00:32:24.500 --> 00:32:27.560]   is when we're in the context of battle.
[00:32:27.560 --> 00:32:32.380]   And I love what John Piper says about this in prayer.
[00:32:32.380 --> 00:32:35.060]   He says, "Prayer primarily is not an intercom
[00:32:35.060 --> 00:32:37.060]   "to share our thoughts with one another,
[00:32:37.060 --> 00:32:40.640]   "but it is like a walkie-talkie in a time of war.
[00:32:40.640 --> 00:32:41.900]   "There's somebody in the front line
[00:32:41.900 --> 00:32:43.840]   "is communicating with their commanding officer
[00:32:43.840 --> 00:32:46.260]   "back and forth, what should we do?"
[00:32:46.260 --> 00:32:48.980]   And so if we're not engaged in the Great Commission,
[00:32:48.980 --> 00:32:50.300]   it just becomes an intercom.
[00:32:50.300 --> 00:32:51.460]   It just becomes texting,
[00:32:51.460 --> 00:32:54.020]   and how you doing, what's going on?
[00:32:54.020 --> 00:32:56.580]   And eventually it gets old, and there's no urgency.
[00:32:56.580 --> 00:32:59.820]   See, our prayer life is directly linked
[00:32:59.820 --> 00:33:00.660]   to the Great Commission.
[00:33:00.660 --> 00:33:02.220]   2 Thessalonians 3.10, "Finally, brothers,
[00:33:02.220 --> 00:33:03.940]   "pray for us that the word of the Lord
[00:33:03.940 --> 00:33:07.920]   "may speed ahead and be honored as happened among you."
[00:33:07.920 --> 00:33:10.900]   The very purpose of our prayer
[00:33:10.900 --> 00:33:13.500]   is directly linked to the Great Commission.
[00:33:13.500 --> 00:33:14.420]   Purpose of the church.
[00:33:14.420 --> 00:33:16.480]   In Matthew 16.18, Jesus says,
[00:33:16.480 --> 00:33:18.160]   "In the inauguration of the church,
[00:33:18.160 --> 00:33:19.680]   "I tell you, Peter, and on this rock,
[00:33:19.680 --> 00:33:21.980]   "I will build my church, and the gates of hell
[00:33:21.980 --> 00:33:23.940]   "shall not prevail against it."
[00:33:23.940 --> 00:33:25.820]   If you notice the way he says that,
[00:33:25.820 --> 00:33:28.860]   he's not saying that he's going to build a fortress
[00:33:28.860 --> 00:33:30.980]   that hell cannot penetrate.
[00:33:30.980 --> 00:33:33.260]   What he says is, the gates of hell
[00:33:33.260 --> 00:33:37.700]   cannot withstand the church.
[00:33:37.700 --> 00:33:39.300]   So who's on the defense?
[00:33:39.300 --> 00:33:42.100]   Not the church.
[00:33:42.100 --> 00:33:43.380]   He didn't say, "I'm gonna build a church,
[00:33:43.380 --> 00:33:44.820]   "and I'm gonna create this fortress,
[00:33:44.820 --> 00:33:47.040]   "and I'm gonna protect everyone inside the church."
[00:33:47.040 --> 00:33:48.220]   He didn't say that.
[00:33:48.220 --> 00:33:49.980]   He said, "I'm gonna build this church,
[00:33:49.980 --> 00:33:52.160]   "and the gates of Hades, hell,
[00:33:52.160 --> 00:33:54.180]   "we're not gonna be able to withstand
[00:33:54.180 --> 00:33:55.960]   "the coming of the light."
[00:33:55.960 --> 00:33:59.500]   One of my favorite quotes from Torrey Tamboon.
[00:33:59.500 --> 00:34:01.880]   And I've quoted this so many times,
[00:34:01.880 --> 00:34:03.080]   but one of my favorite quotes,
[00:34:03.080 --> 00:34:05.140]   "There's no darkness that Satan can create
[00:34:05.140 --> 00:34:07.960]   "that the love of God cannot penetrate."
[00:34:07.960 --> 00:34:10.920]   That's exactly what Jesus was saying.
[00:34:10.920 --> 00:34:13.360]   There is no darkness in the world
[00:34:13.360 --> 00:34:14.620]   that the gospel cannot penetrate.
[00:34:14.620 --> 00:34:15.960]   And when we go to India,
[00:34:15.960 --> 00:34:18.320]   that's a living testimony of that.
[00:34:18.320 --> 00:34:20.840]   Out in a place where Hinduism
[00:34:20.840 --> 00:34:23.800]   has been around for thousands of years,
[00:34:23.800 --> 00:34:26.440]   where people are literally being killed
[00:34:26.440 --> 00:34:28.000]   in sharing the gospel,
[00:34:28.000 --> 00:34:30.320]   and people are coming to Christ.
[00:34:30.320 --> 00:34:31.160]   I was just thinking,
[00:34:31.160 --> 00:34:34.840]   while the last day we were running VBS,
[00:34:34.840 --> 00:34:36.080]   a bunch of kids coming around,
[00:34:36.080 --> 00:34:37.400]   and because they're so poor,
[00:34:37.400 --> 00:34:39.920]   anything free, they get in line.
[00:34:39.920 --> 00:34:41.800]   And so they were passing out little bracelets
[00:34:41.800 --> 00:34:44.240]   with different colors to share the gospel.
[00:34:44.240 --> 00:34:45.720]   And not only the children,
[00:34:45.720 --> 00:34:47.200]   but all the parents were coming,
[00:34:47.200 --> 00:34:48.680]   and they said, "We want one, we want one."
[00:34:48.680 --> 00:34:49.520]   So I was thinking,
[00:34:49.520 --> 00:34:50.880]   "What are they gonna do with these beads?"
[00:34:50.880 --> 00:34:52.880]   They're not Christian, but it's free.
