
[00:00:00.000 --> 00:00:05.280]   All right.
[00:23:43.940 --> 00:23:46.500]   He's incredibly sad.
[00:23:46.500 --> 00:23:50.780]   He is angry.
[00:23:50.780 --> 00:23:58.300]   So on the way home, back to Bethany on this Tuesday, they stop by the Mount of Olives.
[00:23:58.300 --> 00:24:04.060]   They go up, and it's a place as the sun is going down where they could look out across
[00:24:04.060 --> 00:24:05.060]   the whole city.
[00:24:05.060 --> 00:24:09.500]   They can see it, and Jesus begins to go into the Olivet Discourse.
[00:24:09.500 --> 00:24:14.060]   If you're unfamiliar with that, it's where he starts talking about the end and what it
[00:24:14.060 --> 00:24:18.060]   will look like.
[00:24:18.060 --> 00:24:22.860]   Jesus describes the persecution, the tribulation, the judgment that happened not only to the
[00:24:22.860 --> 00:24:30.420]   prophets of old, but to those who will continue, the people of the kingdom, that those who
[00:24:30.420 --> 00:24:36.620]   are willing to kill God will most definitely kill his servants, and God's ultimate judgment
[00:24:36.620 --> 00:24:39.700]   is coming, and he warns them.
[00:24:39.700 --> 00:24:44.580]   It is being reserved, but it is only for a time, and right now is still a time of grace.
[00:24:44.580 --> 00:24:49.120]   He warns them because he loves them, and he warns them, and he sends them out with this
[00:24:49.120 --> 00:24:57.460]   warning so that the church can deliver this.
[00:24:57.460 --> 00:25:00.700]   Right now is still a time of grace, but the call is still to seek the Lord while he may
[00:25:00.700 --> 00:25:06.580]   be found, and that is why we can celebrate Passion Week, Good Friday, Resurrection Sunday,
[00:25:06.580 --> 00:25:14.940]   every single year because we are still existing in a time of God's patient grace.
[00:25:14.940 --> 00:25:19.020]   If you have friends and family who do not know Christ, bring them.
[00:25:19.020 --> 00:25:20.020]   Bring them on Friday.
[00:25:20.020 --> 00:25:23.440]   Bring them on Sunday, that they might come to know him.
[00:25:23.440 --> 00:25:25.100]   Would you take a moment now to pray?
[00:25:25.100 --> 00:25:31.620]   We're going to just give you maybe three or four minutes or so to pray, thinking about
[00:25:31.620 --> 00:25:39.260]   Jesus standing before these religious leaders, and take the time to see how closely our hearts
[00:25:39.260 --> 00:25:48.220]   resemble and mimic these religious leaders, to confess our sins, to repent of our selfish
[00:25:48.220 --> 00:25:53.980]   and self-centered ways, and to see it as more as flaws or wayward living, but see it as
[00:25:53.980 --> 00:26:01.120]   what it is, a desire for the elimination of God in our lives.
[00:26:01.120 --> 00:26:06.460]   Our repentance needs to match what our sin actually is.
[00:26:06.460 --> 00:26:07.260]   Take this time to pray.

