
[00:00:00.000 --> 00:00:06.800]   Okay, let's get started.
[00:23:16.400 --> 00:23:19.560]   You mentioned warning signs like obsession, manipulation, and abuse.
[00:23:19.560 --> 00:23:22.280]   How can someone be aware of some of these red flags?
[00:23:22.280 --> 00:23:24.400]   What are some specific ways that they might appear?
[00:23:24.400 --> 00:23:27.400]   We can't do all of them.
[00:23:27.400 --> 00:23:30.120]   We'll just take one, obsession.
[00:23:30.120 --> 00:23:32.480]   You can just feel it.
[00:23:32.480 --> 00:23:37.320]   I'm not a big fan of like, you know, trust your gut, but you can just feel it when sometimes
[00:23:37.320 --> 00:23:44.920]   they're like, they just want too much of your time.
[00:23:44.920 --> 00:23:47.840]   Things are just kind of too over the top.
[00:23:47.840 --> 00:23:53.160]   It's not wrong, but as you start questioning that, you start to realize like, oh, they're
[00:23:53.160 --> 00:23:56.800]   idolizing me.
[00:23:56.800 --> 00:24:05.680]   And then obsession can come and like it can start to bleed over usually into manipulation.
[00:24:05.680 --> 00:24:10.320]   When they start like, usually when people are manipulating you, they'll start in one
[00:24:10.320 --> 00:24:14.800]   way and then they'll like start to shift when they don't get the response that they want
[00:24:14.800 --> 00:24:15.800]   from you.
[00:24:15.800 --> 00:24:19.480]   So in the beginning, they want more of your attention and you're not giving it to them.
[00:24:19.480 --> 00:24:21.320]   So they make you feel guilty.
[00:24:21.320 --> 00:24:25.360]   And then like, and so because you feel guilty, you kind of give into that a little bit, but
[00:24:25.360 --> 00:24:31.560]   inevitably because the obsession is there, infatuation is there, they're going to want
[00:24:31.560 --> 00:24:32.560]   more.
[00:24:32.560 --> 00:24:33.560]   They're going to want more of your time.
[00:24:33.560 --> 00:24:35.200]   And then the guilty thing just stops working.
[00:24:35.200 --> 00:24:38.880]   It just makes you tired and it's starting to like feel, this whole thing starts to feel
[00:24:38.880 --> 00:24:39.880]   really difficult.
[00:24:39.880 --> 00:24:45.880]   Then they grow angry, you know, and if that doesn't work, then they're going to get sad.
[00:24:45.880 --> 00:24:48.840]   They're going to be like, okay, and then they want your sympathy.
[00:24:48.840 --> 00:24:53.960]   So all of that is actually a type of manipulation and people don't, many times don't know that
[00:24:53.960 --> 00:24:56.520]   they're doing it.
[00:24:56.520 --> 00:24:58.000]   But these are unhealthy signs.
[00:24:58.000 --> 00:24:59.720]   These are warning signs.
[00:24:59.720 --> 00:25:03.800]   And that doesn't mean, again, it doesn't mean it's like, we are break up now.
[00:25:03.800 --> 00:25:08.400]   It's a deal breaker, but it does mean that you have to be very careful and you got to
[00:25:08.400 --> 00:25:09.400]   kind of walk through this.
[00:25:09.400 --> 00:25:15.560]   And then if there's like a recurring pattern of things and you realize like, you guys talked
[00:25:15.560 --> 00:25:18.840]   about it and said that they're not going to do this anymore, but you see the same thing
[00:25:18.840 --> 00:25:25.160]   done in a different package, in a different way, then probably they just need space.
[00:25:25.160 --> 00:25:26.680]   You need to break up with them.
[00:25:26.680 --> 00:25:27.680]   They need to grow in the relationship.
[00:25:27.680 --> 00:25:28.680]   They need to mature.
[00:25:28.680 --> 00:25:29.680]   And then, yeah, and then figure it out from there.
[00:25:29.680 --> 00:25:30.680]   So.
[00:25:30.680 --> 00:25:33.680]   Okay, three minutes left.
[00:25:33.680 --> 00:25:46.680]   Some of these are good, but.
[00:25:46.680 --> 00:26:16.640]   What does it look like to be content/enjoy the season of dating while still being in
[00:26:16.640 --> 00:26:20.080]   love/seeking clarity/knowing that dating is still a waiting season?
[00:26:20.080 --> 00:26:22.760]   What does movement toward marriage look like in a dating relationship?
[00:26:22.760 --> 00:26:23.760]   Let's just do the first one.
[00:26:23.760 --> 00:26:30.080]   What does it look like to be content and enjoy the season of, like while dating, right?
[00:26:30.080 --> 00:26:35.720]   So what does it look like to be content while dating, even though we understand that marriage
[00:26:35.720 --> 00:26:36.720]   is the final destination?
[00:26:36.720 --> 00:26:39.720]   That's a good question.
[00:26:39.720 --> 00:26:45.560]   That's why I like, I would say just get married as soon as you possibly can, because that's
[00:26:45.560 --> 00:26:46.560]   what you want.
[00:26:46.560 --> 00:26:48.720]   That's what that's for.
[00:26:48.720 --> 00:26:53.360]   And so that's why I would say just wait as long as possible, and as many things are kind
[00:26:53.360 --> 00:26:59.600]   of as stable as possible that you can do.
[00:26:59.600 --> 00:27:03.200]   But while you're dating, to be content is the same thing as when you're single.
[00:27:03.200 --> 00:27:08.680]   That's why we're talking about contentment before you're dating is so important, because
[00:27:08.680 --> 00:27:12.520]   you need to learn to see what it is to be content in Christ alone.
[00:27:12.520 --> 00:27:15.920]   That's not just the word that we, that's not just a phrase we throw around.
[00:27:15.920 --> 00:27:18.640]   God needs to be the treasure of your heart.
[00:27:18.640 --> 00:27:19.640]   He needs to be everything.
[00:27:19.640 --> 00:27:24.240]   And if he's not, then what's going to happen in a dating relationship is that person will
[00:27:24.240 --> 00:27:25.840]   become that.
[00:27:25.840 --> 00:27:29.240]   We make things into what God ought to be.
[00:27:29.240 --> 00:27:36.560]   And so in a dating relationship, it's still the same struggle, like contentment in Christ,
[00:27:36.560 --> 00:27:38.120]   to love God.
[00:27:38.120 --> 00:27:46.680]   And in the midst of that, that's why the movement and communication and clearly defining expectations
[00:27:46.680 --> 00:27:51.520]   is very important in a dating relationship, because then like that's going to help in
[00:27:51.520 --> 00:27:55.600]   that term, in the terms of contentment.
[00:27:55.600 --> 00:27:56.600]   Last one.
[00:27:56.600 --> 00:27:59.880]   What do you think about online dating?
[00:27:59.880 --> 00:28:03.720]   That's a good question.
[00:28:03.720 --> 00:28:09.440]   I'm not like, I'm not hardline against it.
[00:28:09.440 --> 00:28:13.840]   As a college student, I would say like, I would be pretty hardline no if you're a college
[00:28:13.840 --> 00:28:21.280]   student, because you have plenty of interaction in college without needing to go into that
[00:28:21.280 --> 00:28:23.960]   dangerous space.
[00:28:23.960 --> 00:28:31.200]   But online dating, I have seen people who have started dating through online dating
[00:28:31.200 --> 00:28:36.360]   and then getting married through online dating and stuff, but I've seen more danger than
[00:28:36.360 --> 00:28:40.240]   the very few examples of it actually working out.
[00:28:40.240 --> 00:28:43.680]   And so generally, the question I would like to ask for people who want to go into online
[00:28:43.680 --> 00:28:48.360]   dating is, what's going on at church?
[00:28:48.360 --> 00:28:59.480]   Why is it that, if I were to ask you, is there anybody that you would like to date at church?
[00:28:59.480 --> 00:29:05.280]   And then it's like, no, there's just no one suitable.
[00:29:05.280 --> 00:29:13.720]   You have to really challenge that and really think of what does that actually mean.
[00:29:13.720 --> 00:29:20.880]   And start to learn what it is to trust God in the middle of things while not lowering
[00:29:20.880 --> 00:29:26.640]   your expectations of what a girl or a good guy ought to look like.
[00:29:26.640 --> 00:29:29.600]   But this is where, this is why like, counsel is so important.
[00:29:29.600 --> 00:29:33.840]   So with online dating, I say, first place is always like, in the Christian community.
[00:29:33.840 --> 00:29:38.720]   I think that's where you should be trying to date and trying to find people to date.
[00:29:38.720 --> 00:29:44.480]   But if it gets to a point where it's just really, really hard, it's not wrong to do
[00:29:44.480 --> 00:29:45.480]   that.
[00:29:45.480 --> 00:29:46.480]   Okay.
[00:29:46.480 --> 00:29:50.880]   Anyone have any like, dying to have their question asked or answered?
[00:29:50.880 --> 00:29:54.200]   I saw a pointing.
[00:29:54.200 --> 00:29:57.600]   Do you want to?
[00:29:57.600 --> 00:30:01.080]   Okay, are we good?
[00:30:01.080 --> 00:30:02.080]   Okay.
[00:30:02.080 --> 00:30:08.440]   Why don't you take just a moment to pray for yourself that God would absorb these things
[00:30:08.440 --> 00:30:09.440]   into your heart.
[00:30:09.440 --> 00:30:11.320]   I'll give you guys about 30 seconds and I'll close this in prayer.
[00:30:11.320 --> 00:30:13.520]   (fades out)

