
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:19:39.240 --> 00:19:41.600]   I'm almost afraid to ask, to be honest,
[00:19:41.600 --> 00:19:44.420]   but I'm sure there will be a lot more work to be done.
[00:19:44.420 --> 00:19:46.580]   You will be with us, and most important of all,
[00:19:46.580 --> 00:19:49.640]   God's presence will be with us for whatever is ahead.
[00:19:49.640 --> 00:19:52.160]   To join us and to make a gift today,
[00:19:52.160 --> 00:19:55.800]   visit DesiringGod.org/donate.
[00:19:55.800 --> 00:19:59.340]   That's DesiringGod.org/donate.
[00:19:59.340 --> 00:20:02.920]   As always, I am your host, Tony Reinke.
[00:20:02.920 --> 00:20:04.880]   Thank you for partnering with us.
[00:20:04.880 --> 00:20:06.080]   We'll see you next time.
[00:20:06.080 --> 00:20:08.660]   (upbeat music)
[00:20:08.660 --> 00:20:11.240]   (upbeat music)
[00:20:11.240 --> 00:20:21.240]   [BLANK_AUDIO]

