
[00:00:00.000 --> 00:00:04.000]   2 Timothy chapter 2.
[00:23:23.000 --> 00:23:27.000]   Or have you become, at least I don't do this, I'm okay.
[00:23:27.000 --> 00:23:29.000]   But what about pride issues?
[00:23:29.000 --> 00:23:31.000]   What about being more humble?
[00:23:31.000 --> 00:23:33.000]   What about, you know, selfish issues?
[00:23:33.000 --> 00:23:34.000]   What about being more selfless?
[00:23:34.000 --> 00:23:39.000]   I mean, you could just grow and grow and grow in that to no end.
[00:23:39.000 --> 00:23:41.000]   So let me give that as a challenge to you.
[00:23:41.000 --> 00:23:47.000]   We're supposed to be growing and growing, but to tell you truthfully, I have seen this trend,
[00:23:47.000 --> 00:23:50.000]   and maybe it's the upbringing, I don't know.
[00:23:50.000 --> 00:23:57.000]   Even friends who had similar backgrounds like me, where they came from the kind of pits of sin and they got converted.
[00:23:57.000 --> 00:24:02.000]   Or other friends who grew up in the church and they just have always known the Christian culture.
[00:24:02.000 --> 00:24:07.000]   They almost have this attitude like, "Well, I've been living in abstinence for not long enough,
[00:24:07.000 --> 00:24:11.000]   I just now kind of want to experience the world."
[00:24:11.000 --> 00:24:12.000]   You know?
[00:24:12.000 --> 00:24:18.000]   Even friends who come from the pits of sin, after a certain time of being a Christian, let's say 10, 15 years,
[00:24:18.000 --> 00:24:21.000]   they're like, "Obviously we're all tempted with the world."
[00:24:21.000 --> 00:24:25.000]   But they almost have this mentality like, "Well, I've been living the life of purity and abstinence
[00:24:25.000 --> 00:24:28.000]   and trying to say no to myself long enough.
[00:24:28.000 --> 00:24:33.000]   At least at some point in our lives we should be able to enjoy the world and what we've obtained for ourselves."
[00:24:33.000 --> 00:24:36.000]   It's like, "What is that? What is that kind of thinking?"
[00:24:36.000 --> 00:24:41.000]   Where it's like, "I have liberty and I at least should have an opportunity to practice it."
[00:24:41.000 --> 00:24:48.000]   It's like, "What? Why do we think like that? Why do we think like that?"
[00:24:48.000 --> 00:24:54.000]   And I think this doctrine of progressive sanctification teaches us,
[00:24:54.000 --> 00:25:02.000]   no, we need to be saying, whatever we were before, we can't think like, "Good job, good job so far."
[00:25:02.000 --> 00:25:06.000]   We need to be thinking, we're not even close to where God wants to bring us.
[00:25:06.000 --> 00:25:08.000]   What have we done so far? You know?
[00:25:08.000 --> 00:25:15.000]   What grandiose things have we accomplished so far that now we deserve to enjoy ourselves from time to time?
[00:25:15.000 --> 00:25:21.000]   No, find our joy in greater sanctification. Find our joy in glorifying God more.
[00:25:21.000 --> 00:25:26.000]   Pursue, strive, and just as the Apostle Paul said, "I press on."
[00:25:26.000 --> 00:25:29.000]   Not having thought that I've attained it yet, but press on.
[00:25:29.000 --> 00:25:32.000]   That's the lesson for us today.
[00:25:32.000 --> 00:25:37.000]   Now the next part is, God has this law for us that He would perfect us.
[00:25:37.000 --> 00:25:40.000]   That He would perfect us in the life to come.
[00:25:40.000 --> 00:25:45.000]   We're not going to obtain perfection here, but God is going to perfect us.
[00:25:45.000 --> 00:25:51.000]   Now, just for the sake of time, you guys can read this segment on perfection later for your homework.
[00:25:51.000 --> 00:25:58.000]   Okay? I asked the question, "Can someone obtain perfection in this life?"
[00:25:58.000 --> 00:26:04.000]   Some Christians have a lot of biblical reasons why they think we can.
[00:26:04.000 --> 00:26:07.000]   Okay? You guys can read about that.
[00:26:07.000 --> 00:26:10.000]   Can we or can we not?
[00:26:10.000 --> 00:26:18.000]   And I've also included this really high-tech diagram about your sanctification progressives.
[00:26:18.000 --> 00:26:24.000]   Where non-Christians can strive, you know, Jews can abstain from certain things, Catholics can abstain from certain things,
[00:26:24.000 --> 00:26:26.000]   Buddhists can abstain from certain worldly things.
[00:26:26.000 --> 00:26:30.000]   But all they're doing is messing around in the pits.
[00:26:30.000 --> 00:26:35.000]   Only through the redemption in Christ can we grow in sanctification and then we have this progression of growth.
[00:26:35.000 --> 00:26:40.000]   Although sometimes we might be sidetracked, although sometimes we might be distracted, not sober.
[00:26:40.000 --> 00:26:43.000]   The trajectory though is growth. Okay?
[00:26:43.000 --> 00:26:50.000]   So now we move into this important topic of cooperation of God and man in sanctification.
[00:26:50.000 --> 00:26:57.000]   Okay? Cooperation of God and man in sanctification.
[00:26:57.000 --> 00:27:00.000]   Now, here's the thing. Okay?
[00:27:00.000 --> 00:27:10.000]   In sanctification, I believe, you know, we wrestle with this a lot all through our systematic theology.
[00:27:10.000 --> 00:27:13.000]   When we talked about sovereignty of God and the will of man.
[00:27:13.000 --> 00:27:18.000]   When we talked about, you know, various things, about foreknowledge, about eternity, about election.
[00:27:18.000 --> 00:27:28.000]   We wrestled, we grappled with how does God's sovereignty coexist with man's free will and our responsibility.
[00:27:28.000 --> 00:27:30.000]   You know, we wrestle with that a lot.
[00:27:30.000 --> 00:27:32.000]   And we're going to basically wrestle with it here again.
[00:27:32.000 --> 00:27:34.000]   But here's the thing.
[00:27:34.000 --> 00:27:39.000]   Is that, biblically speaking, it is just true.
[00:27:39.000 --> 00:27:46.000]   God expects and demands our active participation in sanctification.
[00:27:46.000 --> 00:27:48.000]   Okay? But here's the thing.
[00:27:48.000 --> 00:28:00.000]   I think the reason why people have a big problem with that is because they falsely assume that it's kind of like two equal spheres coming together to make some kind of Venn diagram and you have the middle portion.
[00:28:00.000 --> 00:28:07.000]   No. In no way is our cooperation to say that His role and our role are the same.
[00:28:07.000 --> 00:28:11.000]   Or even equal in capacity or equal in power or significance.
[00:28:11.000 --> 00:28:13.000]   Do you see what I'm getting at?
[00:28:13.000 --> 00:28:22.000]   God desires our active participation, but it is not as though that equal participation is the combining of two equal parties.
[00:28:22.000 --> 00:28:33.000]   So we reconcile those two by understanding that our salvation, inclusive of our sanctification, is going to be thoroughly through the work of God.
[00:28:33.000 --> 00:28:38.000]   And in no way is our participation somehow equal parts.
[00:28:38.000 --> 00:28:43.000]   Rather, God is so powerful, so sovereign, and so active in our sanctification.
[00:28:43.000 --> 00:28:45.000]   It's quite astounding.
[00:28:45.000 --> 00:28:47.000]   Let me read you several passages.
[00:28:47.000 --> 00:28:52.000]   Philippians chapter 2 verse 12 and 13 is a really good one because it contains both truths.
[00:28:52.000 --> 00:28:56.000]   You actively participate. God is sovereign.
[00:28:56.000 --> 00:28:59.000]   Okay, that's basically what the passage says, but let me read it to us.
[00:28:59.000 --> 00:29:02.000]   Philippians chapter 2 verse 12 and 13.
[00:29:02.000 --> 00:29:14.000]   And it says, "So then, my beloved, just as you always have obeyed, not as in my presence only, but now much more in my absence, work out your salvation with fear and trembling."
[00:29:14.000 --> 00:29:16.000]   So here's a command for you.
[00:29:16.000 --> 00:29:20.000]   You work out, and the word he used was salvation.
[00:29:20.000 --> 00:29:21.000]   Right?
[00:29:21.000 --> 00:29:23.000]   You work it out.
[00:29:23.000 --> 00:29:24.000]   But then look at the next verse.
[00:29:24.000 --> 00:29:31.000]   "For it is God who is at work in you, both to will and to work for His good pleasure."
[00:29:31.000 --> 00:29:33.000]   Right?
[00:29:33.000 --> 00:29:37.000]   So in my mind, that passage teaches me it is not equal parts.
[00:29:37.000 --> 00:29:46.000]   Because God is much more the foundation, the very reason why you can actively participate, is because He is the one working.
[00:29:46.000 --> 00:29:49.000]   He is the one to move you to will and to do.
[00:29:49.000 --> 00:29:52.000]   And He is the one sovereignly accomplishing, what?
[00:29:52.000 --> 00:29:54.000]   His purpose.
[00:29:54.000 --> 00:30:04.000]   And so He says, in that context, in the safety of His sovereignty, in that set up of God's will, you work out your salvation.
[00:30:04.000 --> 00:30:06.000]   That's the way the picture works.
[00:30:06.000 --> 00:30:07.000]   Okay?
[00:30:07.000 --> 00:30:13.000]   But nonetheless, you can't deny that our active participation is required.
[00:30:13.000 --> 00:30:16.000]   And so, there's another passage.
[00:30:16.000 --> 00:30:19.000]   1 Thessalonians chapter 5 verse 23.
[00:30:19.000 --> 00:30:26.000]   "And God again accomplishes His will of sanctifying and says, 'May the God of peace Himself sanctify you wholly.'"
[00:30:26.000 --> 00:30:28.000]   And we know that He does this through various means.
[00:30:28.000 --> 00:30:30.000]   He does this through teaching of the word.
[00:30:30.000 --> 00:30:32.000]   He gives us His word to instruct.
[00:30:32.000 --> 00:30:37.000]   And He gives us the Holy Spirit that we might be convicted and that we might be empowered.
[00:30:37.000 --> 00:30:40.000]   But furthermore, He disciplines us like sons.
[00:30:40.000 --> 00:30:45.000]   He basically continues to draw us to where we need to be.
[00:30:45.000 --> 00:30:54.000]   There's a passage in Hebrews chapter 12 that says, "Rebuke and discipline is not pleasant at any time, but take heart because He's treating you like a son."
[00:30:54.000 --> 00:30:59.000]   And He says, "Everyone that is His legitimate son, He's going to discipline and He's going to draw you into obedience."
[00:30:59.000 --> 00:31:00.000]   Right? He does that.
[00:31:00.000 --> 00:31:04.000]   But furthermore, He does this through empowering you.
[00:31:04.000 --> 00:31:06.000]   And this passage I want to read to you.
[00:31:06.000 --> 00:31:11.000]   It says, "Now, may the God of peace equip you with everything good that you may," what?
[00:31:11.000 --> 00:31:14.000]   "Do His will, working in you."
[00:31:14.000 --> 00:31:19.000]   "That which is pleasing in His sight through Christ Jesus to whom be glory forever and ever."
[00:31:19.000 --> 00:31:21.000]   So here's the picture.
[00:31:21.000 --> 00:31:29.000]   God is both, okay, like moving in you to actually do His will of sanctification.
[00:31:29.000 --> 00:31:33.000]   But He's also empowering you that you work it out.
[00:31:33.000 --> 00:31:36.000]   That you come to the result of the sanctification.
[00:31:36.000 --> 00:31:39.000]   He does both. Okay? He does both.
[00:31:39.000 --> 00:31:54.000]   And so going forward, again, the idea is, God, if you ever get in a debate about, "You know what, though? I mean, like, sanctification is by God's power. It's by His gospel and His truth."
[00:31:54.000 --> 00:31:58.000]   We all here should be like, "Yep." You know?
[00:31:58.000 --> 00:32:03.000]   And then, but the danger that's happening right now, again, there's just so many talk about this.
[00:32:03.000 --> 00:32:07.000]   And we constantly talk about it. I'm almost kind of getting tired of talking about it.
[00:32:07.000 --> 00:32:15.000]   Where there's too many people emphasizing the fact that, "Okay, so sanctification and your growth is only by the gospel and by Christ and God's power, or not?"
[00:32:15.000 --> 00:32:20.000]   And they almost say, "What? You just got to let go and..."
[00:32:20.000 --> 00:32:22.000]   It's so common, you guys should all know.
[00:32:22.000 --> 00:32:25.000]   "Let go and let God." Right?
[00:32:25.000 --> 00:32:27.000]   You really just got to let go and let God.
[00:32:27.000 --> 00:32:30.000]   And I think that's where the error happens.
[00:32:30.000 --> 00:32:33.000]   You just got everything right, and you should have just stopped.
[00:32:33.000 --> 00:32:35.000]   But then you went further, and now you're wrong.
[00:32:35.000 --> 00:32:37.000]   You know, that's what I think about that.
[00:32:37.000 --> 00:32:41.000]   It's like, why say that? You know?
[00:32:41.000 --> 00:32:42.000]   Why say that?
[00:32:42.000 --> 00:32:45.000]   I think what that is, is one of those lopsided theologies.
[00:32:45.000 --> 00:32:47.000]   Because Scripture is very clear.
[00:32:47.000 --> 00:32:53.000]   We have both a passive and active involvement and participation in our sanctification.
[00:32:53.000 --> 00:32:59.000]   For example, there is this passive sense where you do need to yield.
[00:32:59.000 --> 00:33:01.000]   Okay? You yield.
[00:33:01.000 --> 00:33:03.000]   God, you're in control.
[00:33:03.000 --> 00:33:05.000]   You do what you need to do.
[00:33:05.000 --> 00:33:07.000]   I'm not going to resist. I'm not going to rebel.
[00:33:07.000 --> 00:33:08.000]   I am your tool.
[00:33:08.000 --> 00:33:10.000]   That's what you basically say.
[00:33:10.000 --> 00:33:15.000]   When Romans chapter 6, verse 13 was talking about the whole, "You are no longer a slave," or "You are no longer this."
[00:33:15.000 --> 00:33:18.000]   Literally, Scripture calls us slaves. Okay?
[00:33:18.000 --> 00:33:21.000]   So we are servants to His purposes.
[00:33:21.000 --> 00:33:24.000]   And so what we're supposed to be doing is obeying every single thing He says.
[00:33:24.000 --> 00:33:26.000]   You do this? Yes, Master.
[00:33:26.000 --> 00:33:27.000]   I mean, that's the picture, right?
[00:33:27.000 --> 00:33:34.000]   But in this passage, He even goes further and says, "And do not go on presenting the members of your body to sin as instruments."
[00:33:34.000 --> 00:33:37.000]   See that? Instruments of unrighteousness.
[00:33:37.000 --> 00:33:45.000]   "But present yourselves to God as those alive from the dead and your members as," and it repeats, "instruments of righteousness to God."
[00:33:45.000 --> 00:33:47.000]   So what are you?
[00:33:47.000 --> 00:33:49.000]   You're a tool, right?
[00:33:49.000 --> 00:33:50.000]   In a good sense.
[00:33:50.000 --> 00:33:52.000]   You are being used by God.
[00:33:52.000 --> 00:33:53.000]   You are in His hand.
[00:33:53.000 --> 00:33:54.000]   You're yielding to Him.
[00:33:54.000 --> 00:33:56.000]   You're completely submitted, right?
[00:33:56.000 --> 00:34:02.000]   And so in that sense, does the idea of, like, "Hey, let go of your will and submit to it," does that all make sense?
[00:34:02.000 --> 00:34:04.000]   Absolutely. Right?
[00:34:04.000 --> 00:34:07.000]   There is your passive participation in sanctification.
[00:34:07.000 --> 00:34:11.000]   However, Scripture is very, very clear that you must be active.
[00:34:11.000 --> 00:34:13.000]   That you must be persevering.
[00:34:13.000 --> 00:34:14.000]   You must be striving.
[00:34:14.000 --> 00:34:16.000]   You must be, what, buffeting your body.
[00:34:16.000 --> 00:34:21.000]   You must be agonizing in this desire to become more like Christ.
[00:34:21.000 --> 00:34:29.000]   And so here is this passage where it says, "And everyone who thus hopes in Him purifies himself as he is pure."
[00:34:29.000 --> 00:34:38.000]   And so in 2 Corinthians it says, "Let us cleanse ourselves from every defilement of the body and spirit and make holiness perfect in the fear of God."
[00:34:38.000 --> 00:34:44.000]   And so that whole idea is, not only certain aspects of us, but the entirety of who we are.
[00:34:44.000 --> 00:34:48.000]   We need to be active in seeking sanctification.
[00:34:48.000 --> 00:34:53.000]   Whether it be, and let's go down to the sanctification of the whole person, your intellect and knowledge.
[00:34:53.000 --> 00:34:55.000]   You need to grow and you need to mature.
[00:34:55.000 --> 00:34:58.000]   And that is, what, your responsibility.
[00:34:58.000 --> 00:35:06.000]   Does someone need to spoon-feed you mushed up, you know, like, "I feed my baby pouches right now because, you know, he's a baby and stuff."
[00:35:06.000 --> 00:35:08.000]   Does someone need to give you squeeze bottles?
[00:35:08.000 --> 00:35:09.000]   No.
[00:35:09.000 --> 00:35:14.000]   The idea of the growth in your understanding, the growth in the reception of truth,
[00:35:14.000 --> 00:35:18.000]   that's actually supposed to be something that you yourself are supposed to hunger for.
[00:35:18.000 --> 00:35:22.000]   Go seek and search and find, right?
[00:35:22.000 --> 00:35:26.000]   Your emotions, you're supposed to even grow, yes, in your emotions.
[00:35:26.000 --> 00:35:33.000]   I've talked to people where it's like, "Hey, we know what's right in God, yeah, but I don't feel it."
[00:35:33.000 --> 00:35:37.000]   Well they say, "Yeah, I don't feel like coming to church and I don't want to do anything I don't feel like."
[00:35:37.000 --> 00:35:39.000]   It's like, "What is that all about?"
[00:35:39.000 --> 00:35:42.000]   Well then, have you been addressing your feelings?
[00:35:42.000 --> 00:35:44.000]   You need to grow in your feelings as well.
[00:35:44.000 --> 00:35:47.000]   You need to grow in your will, your decision-making.
[00:35:47.000 --> 00:35:51.000]   You also need to grow spiritually in your spirit and body.
[00:35:51.000 --> 00:36:00.000]   How we treat our bodies, how we treat the holistic view of ourselves, we need to grow in sanctification.
[00:36:00.000 --> 00:36:06.000]   Where scripture says, "Once you realize who you are in God, you realize you are, what, the temple of God."
[00:36:06.000 --> 00:36:09.000]   You realize this is not even yours.
[00:36:09.000 --> 00:36:13.000]   Be good stewards, be honorable, be sober.
[00:36:13.000 --> 00:36:16.000]   Glorify the Lord whether in body or in spirit.
[00:36:16.000 --> 00:36:21.000]   And so the whole idea is, there is no part of you reserved.
[00:36:21.000 --> 00:36:27.000]   Every aspect of who you are needs to be constantly ever-growing.
[00:36:27.000 --> 00:36:32.000]   I just want to conclude with this last part.
[00:36:32.000 --> 00:36:36.000]   So, today the main challenge really was this idea of,
[00:36:36.000 --> 00:36:39.000]   we understand sanctification as yes, a beginning.
[00:36:39.000 --> 00:36:42.000]   It's increasing and God is going to perfect.
[00:36:42.000 --> 00:36:44.000]   And so we have a challenge.
[00:36:44.000 --> 00:36:49.000]   Has your desire and passion, has it waned over the years?
[00:36:49.000 --> 00:36:53.000]   Has it diminished and somehow gotten muddied in things?
[00:36:53.000 --> 00:36:57.000]   Or are you continually taking steps to be sanctified?
[00:36:57.000 --> 00:37:01.000]   Not reserving anything, not even emotional things, not even internal things,
[00:37:01.000 --> 00:37:06.000]   but laying everything at God's feet saying, "Any part that you want to work on,
[00:37:06.000 --> 00:37:12.000]   any aspect of my life, whether it be heart issues, bitterness, everything, everything,
[00:37:12.000 --> 00:37:16.000]   God I am willing to be growing into greater likeness with Christ."
[00:37:16.000 --> 00:37:17.000]   Right?
[00:37:17.000 --> 00:37:22.000]   But to conclude, sanctification is a long journey.
[00:37:22.000 --> 00:37:26.000]   Scripture says, "You have this race set before you."
[00:37:26.000 --> 00:37:29.000]   And it is an endurance race because He says, "You need endurance."
[00:37:29.000 --> 00:37:31.000]   Right?
[00:37:31.000 --> 00:37:36.000]   And so by way of conclusion, we want to remind us that sanctification obviously is not this like,
[00:37:36.000 --> 00:37:39.000]   sprint, it's not this like one time thing where you ramp yourself up,
[00:37:39.000 --> 00:37:42.000]   you do it, you perform and you're done.
[00:37:42.000 --> 00:37:43.000]   Right?
[00:37:43.000 --> 00:37:47.000]   Our sanctification is going to be slow and steady.
[00:37:47.000 --> 00:37:48.000]   And there's just no way around it.
[00:37:48.000 --> 00:37:54.000]   God has ordained that the meticulous reading of Scripture, this long book,
[00:37:54.000 --> 00:37:58.000]   God has ordained that regular and steady prayer.
[00:37:58.000 --> 00:38:05.000]   God has ordained that participation in church functions like these are going to be the regular means by which we're going to grow.
[00:38:05.000 --> 00:38:09.000]   There is no quick shortcut, there is no easy way, there is no download,
[00:38:09.000 --> 00:38:14.000]   there is no like easy way of getting more sanctified just from one event,
[00:38:14.000 --> 00:38:16.000]   which this world really wants.
[00:38:16.000 --> 00:38:17.000]   Right?
[00:38:17.000 --> 00:38:25.000]   And so our challenge is to really strive and seek after sanctification knowing the kind of race that we have before us.
[00:38:25.000 --> 00:38:26.000]   Amen?
[00:38:26.000 --> 00:38:28.000]   Alright.
[00:38:28.000 --> 00:38:33.000]   Now again for your homework, please read that little segment on can we be perfect in this life.
[00:38:33.000 --> 00:38:40.000]   Is there any questions about sanctification or anything that we discussed tonight?
[00:38:40.000 --> 00:38:41.000]   Yes?
[00:38:41.000 --> 00:38:42.000]   Two questions.
[00:38:42.000 --> 00:38:53.000]   First one is, so for example, a person who has a continuous, say, number of years and you don't notice any
[00:38:53.000 --> 00:39:03.000]   improvement in their progressive sanctification process, so is it okay to doubt their salvation or let them know gently about your concerns?
[00:39:03.000 --> 00:39:09.000]   The second question is the person that they're referring to in Hebrews chapter 5, that is only drinking milk.
[00:39:09.000 --> 00:39:10.000]   Yes.
[00:39:10.000 --> 00:39:16.000]   Would you consider that person a Christian or is it talking about non-believers?
[00:39:16.000 --> 00:39:23.000]   Okay. So question number one is, what if you have somebody who has shown no signs of sanctification over a long period of time?
[00:39:23.000 --> 00:39:35.000]   Actually that's a great question because how many of you guys, your hearts break for people in your lives where they say they're Christian but you wonder,
[00:39:35.000 --> 00:39:37.000]   like are you really?
[00:39:37.000 --> 00:39:42.000]   My heart breaks for family members, my heart breaks for my friends.
[00:39:42.000 --> 00:39:43.000]   Great question.
[00:39:43.000 --> 00:39:51.000]   I think in my mind, again, examining someone's genuineness of salvation is always good.
[00:39:51.000 --> 00:39:53.000]   Not in a judgmental, condemning way.
[00:39:53.000 --> 00:39:55.000]   I don't think you are.
[00:39:55.000 --> 00:39:58.000]   But I said examining, right?
[00:39:58.000 --> 00:40:01.000]   Examining is good for us, examining is good for other people.
[00:40:01.000 --> 00:40:12.000]   And I found that a good way to talk with some of these individuals who have been Christian for a long time but don't really show any sanctification and stuff
[00:40:12.000 --> 00:40:15.000]   is to ask them about their goals.
[00:40:15.000 --> 00:40:19.000]   Like, hey, what are some of your spiritual goals?
[00:40:19.000 --> 00:40:26.000]   And if they don't kind of have any, it's like, well when you became Christian, what were you wanting?
[00:40:26.000 --> 00:40:29.000]   That's revealing of a lot.
[00:40:29.000 --> 00:40:33.000]   Well, I don't know what I really wanted. I just really wanted to have a community.
[00:40:33.000 --> 00:40:35.000]   Now you have red flags going up.
[00:40:35.000 --> 00:40:39.000]   I don't know what I really want. I just want a safe place for my kid.
[00:40:39.000 --> 00:40:48.000]   Because for us, when we received the gospel, we were taught that we were in the pits of sin awaiting God's wrath.
[00:40:48.000 --> 00:40:50.000]   What we wanted to be reconciled with God.
[00:40:50.000 --> 00:40:52.000]   What we wanted was to be forgiven.
[00:40:52.000 --> 00:40:55.000]   That's the genuine marks of a Christian.
[00:40:55.000 --> 00:40:58.000]   I wanted the forgiveness of God.
[00:40:58.000 --> 00:41:02.000]   What I wanted is charity with God in heaven.
[00:41:02.000 --> 00:41:09.000]   But when people start saying things like, well I just wanted to make sure my bases are covered concerning hell and heaven.
[00:41:09.000 --> 00:41:12.000]   Now you have red flags going up.
[00:41:12.000 --> 00:41:17.000]   So you can ask questions that deal with goals, purpose, what was your desire?
[00:41:17.000 --> 00:41:20.000]   Because that's what we're really getting at now.
[00:41:20.000 --> 00:41:26.000]   Or you can even ask them questions about aspects of obedience.
[00:41:26.000 --> 00:41:34.000]   Because when Christ described the disciple in Matthew, He says, the disciple is one who has been baptized.
[00:41:34.000 --> 00:41:39.000]   The disciple is one who is being taught to obey every single thing that the Lord has commanded.
[00:41:39.000 --> 00:41:44.000]   Well, if you have a guy who is stagnant, there's obviously things that he's not obeying.
[00:41:44.000 --> 00:41:46.000]   And so we want to address that issue.
[00:41:46.000 --> 00:41:48.000]   The issue of obedience.
[00:41:48.000 --> 00:41:52.000]   That's okay to talk to somebody about the issue of obedience.
[00:41:52.000 --> 00:41:57.000]   And so again, I would say in my mind, I cannot judge their hearts.
[00:41:57.000 --> 00:41:59.000]   So I rarely, I don't do either.
[00:41:59.000 --> 00:42:04.000]   I rarely condemn someone and say, I don't think you are unless I have very clear reason.
[00:42:04.000 --> 00:42:07.000]   And I rarely give assurance flippantly either.
[00:42:07.000 --> 00:42:09.000]   I rarely go up to someone and say, don't worry.
[00:42:09.000 --> 00:42:11.000]   I think you're saved.
[00:42:11.000 --> 00:42:16.000]   That's for them to wrestle with God and the spirit of God to convict their hearts.
[00:42:16.000 --> 00:42:17.000]   You know what I'm saying?
[00:42:17.000 --> 00:42:18.000]   That's a great question.
[00:42:18.000 --> 00:42:22.000]   I mean, I'm sure again, we have all types of people in our lives who we're concerned about.
[00:42:22.000 --> 00:42:25.000]   And you want to approach that very tactfully.
[00:42:25.000 --> 00:42:26.000]   Does that help?
[00:42:26.000 --> 00:42:30.000]   Second question was, okay.
[00:42:30.000 --> 00:42:32.000]   Second question was Hebrews 5.
[00:42:32.000 --> 00:42:39.000]   That segment is a little tricky because you can tell that the author of Hebrews is talking to multiple people.
[00:42:39.000 --> 00:42:42.000]   He's talking to Jews, but there are people who are brothers and he'll say brethren.
[00:42:42.000 --> 00:42:46.000]   And then he's talking to people where clearly they're not saved.
[00:42:46.000 --> 00:42:53.000]   Right after that segment that I just read, chapter five begins chapter six and chapter six, I believe they're clearly not saved.
[00:42:53.000 --> 00:43:00.000]   It's the passage about for those who have tasted the goodness, who have been partakers of this and who have seen of this and have been enlightened by this.
[00:43:00.000 --> 00:43:04.000]   All those terminologies are not exclusively Christian.
[00:43:04.000 --> 00:43:10.000]   Exclusively Christian terms are things like justified, redeemed, reconciled to God and indwelled by the Holy Spirit.
[00:43:10.000 --> 00:43:11.000]   Those are not used of these people.
[00:43:11.000 --> 00:43:14.000]   So chapter six is clearly not Christian.
[00:43:14.000 --> 00:43:16.000]   Chapter beginning of chapter five.
[00:43:16.000 --> 00:43:18.000]   It's unclear.
[00:43:18.000 --> 00:43:19.000]   It's unclear.
[00:43:19.000 --> 00:43:27.000]   But but because of verse 14, it sounds like he's talking to those and he's he's constantly talking to people who are on the fence.
[00:43:27.000 --> 00:43:28.000]   Right.
[00:43:28.000 --> 00:43:35.000]   So in chapter five, you kind of get that mixture of like, you know, those for those of you guys who are Christian and just sitting on the fence, you guys need to wake up.
[00:43:35.000 --> 00:43:36.000]   That's what he's saying.
[00:43:36.000 --> 00:43:42.000]   And then he says on the case, though, because chapter six, he even starts like in the case of those.
[00:43:42.000 --> 00:43:45.000]   So there are those people who, you know, again, we're in our fellowship.
[00:43:45.000 --> 00:43:52.000]   We saw them and some of them are, you know, not Christian.
[00:43:52.000 --> 00:43:53.000]   So good questions.
[00:43:53.000 --> 00:43:58.000]   Any other questions about what we learned today?
[00:43:58.000 --> 00:43:59.000]   All right.
[00:43:59.000 --> 00:44:00.000]   Let's pray.
[00:44:00.000 --> 00:44:08.000]   You guys have a small time to discuss.
[00:44:08.000 --> 00:44:11.000]   Heavenly Father, we again want to thank you.
[00:44:11.000 --> 00:44:15.000]   Lord God, I pray that you would help us.
[00:44:15.000 --> 00:44:22.000]   God, sometimes, you know, gosh, we can, I guess, give excuses that we're tired.
[00:44:22.000 --> 00:44:23.000]   We have distractions.
[00:44:23.000 --> 00:44:28.000]   We have sometimes we feel overburdened with many responsibilities.
[00:44:28.000 --> 00:44:30.000]   Sometimes we just feel too weak.
[00:44:30.000 --> 00:44:34.000]   Sometimes, God, we just don't know what to do about certain situations.
[00:44:34.000 --> 00:44:37.000]   We don't know how to deal with certain sins in our lives.
[00:44:37.000 --> 00:44:43.000]   But God, we thank you that in the midst of all of those, not just excuses, but our weaknesses.
[00:44:43.000 --> 00:44:49.000]   God, you help us and that you desire to move us, not just save us and leave us in the pits.
[00:44:49.000 --> 00:44:57.000]   But Father God, that you move us transformation, that you change us into the likeness of your son, Jesus Christ.
[00:44:57.000 --> 00:45:00.000]   And I pray, God, that we would seek it all the more.
[00:45:00.000 --> 00:45:06.000]   Father, to be like your son, to reflect his glory, to reflect his goodness, his love to the world.
[00:45:06.000 --> 00:45:09.000]   And I pray, Father Lord, that you would help us.
[00:45:09.000 --> 00:45:13.000]   That you would help us to see what a desire and will you have for us.
[00:45:13.000 --> 00:45:20.000]   And God, that we would exert all effort to lay aside any sin that encumbers us, any hindrance that trips us up.
[00:45:20.000 --> 00:45:26.000]   And to really attach ourselves and devote ourselves to seeking purity and holiness in our lives.
[00:45:26.000 --> 00:45:28.000]   Let's be praying in Christ's name. Amen.
[00:45:28.000 --> 00:45:38.000]   [BLANK_AUDIO]

