
[00:00:00.000 --> 00:00:29.960]   No other love, no other gods before you. Give me an undivided heart, that I may fear your name. Give me an undivided heart.
[00:19:38.120 --> 00:19:40.120]   [silence]
[00:19:40.120 --> 00:19:42.120]   [silence]
[00:19:42.120 --> 00:19:44.120]   [silence]
[00:19:44.120 --> 00:19:46.120]   [silence]
[00:19:46.120 --> 00:19:48.120]   [silence]
[00:19:48.120 --> 00:19:50.120]   [silence]
[00:19:50.120 --> 00:19:52.120]   [silence]
[00:19:52.120 --> 00:19:54.120]   [silence]
[00:19:54.120 --> 00:19:56.120]   [silence]
[00:19:56.120 --> 00:19:58.120]   [silence]
[00:19:58.120 --> 00:20:00.120]   [silence]
[00:20:00.120 --> 00:20:02.120]   [silence]
[00:20:02.120 --> 00:20:04.120]   [silence]
[00:20:04.120 --> 00:20:06.120]   [silence]
[00:20:06.120 --> 00:20:08.120]   [silence]
[00:20:08.120 --> 00:20:10.120]   [silence]
[00:20:10.120 --> 00:20:12.120]   [silence]
[00:20:12.120 --> 00:20:14.120]   [silence]
[00:20:14.120 --> 00:20:16.120]   [silence]
[00:20:16.120 --> 00:20:18.120]   [silence]
[00:20:18.120 --> 00:20:20.120]   [silence]
[00:20:20.120 --> 00:20:22.120]   [silence]
[00:20:22.120 --> 00:20:24.120]   [silence]
[00:20:24.120 --> 00:20:26.120]   [silence]
[00:20:26.120 --> 00:20:28.120]   [silence]
[00:20:28.120 --> 00:20:30.120]   [silence]
[00:20:30.120 --> 00:20:32.120]   [silence]
[00:20:32.120 --> 00:20:34.120]   [silence]
[00:20:34.120 --> 00:20:36.120]   [silence]
[00:20:36.120 --> 00:20:38.120]   [silence]
[00:20:38.120 --> 00:20:40.120]   [silence]
[00:20:40.120 --> 00:20:42.120]   [silence]
[00:20:42.120 --> 00:20:44.120]   [silence]
[00:20:44.120 --> 00:20:46.120]   [silence]
[00:20:46.120 --> 00:20:48.120]   [silence]
[00:20:48.120 --> 00:20:50.120]   [silence]
[00:20:50.120 --> 00:20:52.120]   [silence]
[00:20:52.120 --> 00:20:54.120]   [silence]
[00:20:54.120 --> 00:20:56.120]   [silence]
[00:20:56.120 --> 00:20:58.120]   [silence]
[00:20:58.120 --> 00:21:00.120]   [silence]
[00:21:00.120 --> 00:21:02.120]   [silence]
[00:21:02.120 --> 00:21:04.120]   [silence]
[00:21:04.120 --> 00:21:06.120]   [silence]
[00:21:06.120 --> 00:21:08.120]   [silence]
[00:21:08.120 --> 00:21:10.120]   [silence]
[00:21:10.120 --> 00:21:12.120]   [silence]
[00:21:12.120 --> 00:21:14.120]   [silence]
[00:21:14.120 --> 00:21:16.120]   [silence]
[00:21:16.120 --> 00:21:18.120]   [silence]
[00:21:18.120 --> 00:21:20.120]   [silence]
[00:21:20.120 --> 00:21:22.120]   [silence]
[00:21:22.120 --> 00:21:24.120]   [silence]
[00:21:24.120 --> 00:21:26.120]   [silence]
[00:21:26.120 --> 00:21:28.120]   [silence]
[00:21:28.120 --> 00:21:30.120]   [silence]
[00:21:30.120 --> 00:21:32.120]   [silence]
[00:21:32.120 --> 00:21:34.120]   [silence]
[00:21:34.120 --> 00:21:36.120]   [silence]
[00:21:36.120 --> 00:21:38.120]   [silence]
[00:21:38.120 --> 00:21:40.120]   [silence]
[00:21:40.120 --> 00:21:42.120]   [silence]
[00:21:42.120 --> 00:21:44.120]   [silence]
[00:21:44.120 --> 00:21:46.120]   [silence]
[00:21:46.120 --> 00:21:48.120]   [silence]
[00:21:48.120 --> 00:21:50.120]   [silence]
[00:21:50.120 --> 00:21:52.120]   [silence]
[00:21:52.120 --> 00:21:54.120]   [silence]
[00:21:54.120 --> 00:21:56.120]   [silence]
[00:21:56.120 --> 00:21:58.120]   [silence]
[00:21:58.120 --> 00:22:00.120]   [silence]
[00:22:00.120 --> 00:22:02.120]   [silence]
[00:22:02.120 --> 00:22:04.120]   [silence]
[00:22:04.120 --> 00:22:06.120]   [silence]
[00:22:06.120 --> 00:22:08.120]   [silence]
[00:22:08.120 --> 00:22:10.120]   [silence]
[00:22:10.120 --> 00:22:12.120]   [silence]
[00:22:12.120 --> 00:22:14.120]   [silence]
[00:22:14.120 --> 00:22:16.120]   [silence]
[00:22:16.120 --> 00:22:18.120]   [silence]
[00:22:18.120 --> 00:22:20.120]   [silence]
[00:22:20.120 --> 00:22:22.120]   [silence]
[00:22:22.120 --> 00:22:24.120]   [silence]
[00:22:24.120 --> 00:22:26.120]   [silence]
[00:22:26.120 --> 00:22:28.120]   [silence]
[00:22:28.120 --> 00:22:30.120]   [silence]
[00:22:30.120 --> 00:22:32.120]   [silence]
[00:22:32.120 --> 00:22:34.120]   [silence]
[00:22:34.120 --> 00:22:36.120]   [silence]
[00:22:36.120 --> 00:22:38.120]   [silence]
[00:22:38.120 --> 00:22:40.120]   [silence]
[00:22:40.120 --> 00:22:42.120]   [silence]
[00:22:42.120 --> 00:22:44.120]   [silence]
[00:22:44.120 --> 00:22:46.120]   [silence]
[00:22:46.120 --> 00:22:48.120]   [silence]
[00:22:48.120 --> 00:22:50.120]   [silence]
[00:22:50.120 --> 00:22:52.120]   [silence]
[00:22:52.120 --> 00:22:54.120]   [silence]
[00:22:54.120 --> 00:22:56.120]   [silence]
[00:22:56.120 --> 00:22:58.120]   [silence]
[00:22:58.120 --> 00:23:00.120]   [silence]
[00:23:00.120 --> 00:23:02.120]   [silence]
[00:23:02.120 --> 00:23:04.120]   [silence]
[00:23:04.120 --> 00:23:06.120]   [silence]
[00:23:06.120 --> 00:23:08.120]   [silence]
[00:23:08.120 --> 00:23:10.120]   [silence]
[00:23:10.120 --> 00:23:12.120]   [silence]
[00:23:12.120 --> 00:23:14.120]   [silence]
[00:23:14.120 --> 00:23:16.120]   [silence]
[00:23:16.120 --> 00:23:18.120]   [silence]
[00:23:18.120 --> 00:23:20.120]   [silence]
[00:23:20.120 --> 00:23:22.120]   [silence]
[00:23:22.120 --> 00:23:24.120]   [silence]
[00:23:24.120 --> 00:23:26.120]   [silence]
[00:23:26.120 --> 00:23:28.120]   [silence]
[00:23:28.120 --> 00:23:30.120]   [silence]
[00:23:30.120 --> 00:23:32.120]   [silence]
[00:23:32.120 --> 00:23:34.120]   [silence]
[00:23:34.120 --> 00:23:36.120]   [silence]
[00:23:36.120 --> 00:23:38.120]   [silence]
[00:23:38.120 --> 00:23:40.120]   [silence]
[00:23:40.120 --> 00:23:42.120]   [silence]
[00:23:42.120 --> 00:23:44.120]   [silence]
[00:23:44.120 --> 00:23:46.120]   [silence]
[00:23:46.120 --> 00:23:48.120]   [silence]
[00:23:48.120 --> 00:23:50.120]   [silence]
[00:23:50.120 --> 00:23:52.120]   [silence]
[00:23:52.120 --> 00:23:54.120]   [silence]
[00:23:54.120 --> 00:23:56.120]   [silence]
[00:23:56.120 --> 00:23:58.120]   [silence]
[00:23:58.120 --> 00:24:00.120]   [silence]
[00:24:00.120 --> 00:24:02.120]   [silence]
[00:24:02.120 --> 00:24:04.120]   [silence]
[00:24:04.120 --> 00:24:06.120]   [silence]
[00:24:06.120 --> 00:24:08.120]   [silence]
[00:24:08.120 --> 00:24:10.120]   [silence]
[00:24:10.120 --> 00:24:12.120]   [silence]
[00:24:12.120 --> 00:24:14.120]   [silence]
[00:24:14.120 --> 00:24:16.120]   [silence]
[00:24:16.120 --> 00:24:18.120]   [silence]
[00:24:18.120 --> 00:24:20.120]   [silence]
[00:24:20.120 --> 00:24:22.120]   [silence]
[00:24:22.120 --> 00:24:24.120]   [silence]
[00:24:24.120 --> 00:24:26.120]   [silence]
[00:24:26.120 --> 00:24:28.120]   [silence]
[00:24:28.120 --> 00:24:30.120]   [silence]
[00:24:30.120 --> 00:24:32.120]   [silence]
[00:24:32.120 --> 00:24:34.120]   [silence]
[00:24:34.120 --> 00:24:36.120]   [silence]
[00:24:36.120 --> 00:24:38.120]   [silence]
[00:24:38.120 --> 00:24:40.120]   [silence]
[00:24:40.120 --> 00:24:42.120]   [silence]
[00:24:42.120 --> 00:24:44.120]   [silence]
[00:24:44.120 --> 00:24:46.120]   [silence]
[00:24:46.120 --> 00:24:48.120]   [silence]
[00:24:48.120 --> 00:24:50.120]   [silence]
[00:24:50.120 --> 00:24:52.120]   [silence]
[00:24:52.120 --> 00:24:54.120]   [silence]
[00:24:54.120 --> 00:24:56.120]   [silence]
[00:24:56.120 --> 00:24:58.120]   [silence]
[00:24:58.120 --> 00:25:00.120]   [silence]
[00:25:00.120 --> 00:25:02.120]   [silence]
[00:25:02.120 --> 00:25:04.120]   [silence]
[00:25:04.120 --> 00:25:06.120]   [silence]
[00:25:06.120 --> 00:25:08.120]   [silence]
[00:25:08.120 --> 00:25:10.120]   [silence]
[00:25:10.120 --> 00:25:12.120]   [silence]
[00:25:12.120 --> 00:25:14.120]   [silence]
[00:25:14.120 --> 00:25:16.120]   [silence]
[00:25:16.120 --> 00:25:18.120]   [silence]
[00:25:18.120 --> 00:25:20.120]   [silence]
[00:25:20.120 --> 00:25:22.120]   [silence]
[00:25:22.120 --> 00:25:24.120]   [silence]
[00:25:24.120 --> 00:25:26.120]   [silence]
[00:25:26.120 --> 00:25:28.120]   [silence]
[00:25:28.120 --> 00:25:30.120]   [silence]
[00:25:30.120 --> 00:25:32.120]   [silence]
[00:25:32.120 --> 00:25:34.120]   [silence]
[00:25:34.120 --> 00:25:36.120]   [silence]
[00:25:36.120 --> 00:25:38.120]   [silence]
[00:25:38.120 --> 00:25:40.120]   [silence]
[00:25:40.120 --> 00:25:42.120]   [silence]
[00:25:42.120 --> 00:25:44.120]   [silence]
[00:25:44.120 --> 00:25:46.120]   [silence]
[00:25:46.120 --> 00:25:48.120]   [silence]
[00:25:48.120 --> 00:25:50.120]   [silence]
[00:25:50.120 --> 00:25:52.120]   [silence]
[00:25:52.120 --> 00:25:54.120]   [silence]
[00:25:54.120 --> 00:25:56.120]   [silence]
[00:25:56.120 --> 00:25:58.120]   [silence]
[00:25:58.120 --> 00:26:00.120]   [silence]
[00:26:00.120 --> 00:26:02.120]   [silence]
[00:26:02.120 --> 00:26:04.120]   [silence]
[00:26:04.120 --> 00:26:06.120]   [silence]
[00:26:06.120 --> 00:26:08.120]   [silence]
[00:26:08.120 --> 00:26:10.120]   [silence]
[00:26:10.120 --> 00:26:12.120]   [silence]
[00:26:12.120 --> 00:26:14.120]   [silence]
[00:26:14.120 --> 00:26:16.120]   [silence]
[00:26:16.120 --> 00:26:18.120]   [silence]
[00:26:18.120 --> 00:26:20.120]   [silence]
[00:26:20.120 --> 00:26:22.120]   [silence]
[00:26:22.120 --> 00:26:24.120]   [silence]
[00:26:24.120 --> 00:26:26.120]   [silence]
[00:26:26.120 --> 00:26:28.120]   [silence]
[00:26:28.120 --> 00:26:30.120]   [silence]
[00:26:30.120 --> 00:26:32.120]   [silence]
[00:26:32.120 --> 00:26:34.120]   [silence]
[00:26:34.120 --> 00:26:36.120]   [silence]
[00:26:36.120 --> 00:26:38.120]   [silence]
[00:26:38.120 --> 00:26:40.120]   [silence]
[00:26:40.120 --> 00:26:42.120]   [silence]
[00:26:42.120 --> 00:26:44.120]   [silence]
[00:26:44.120 --> 00:26:46.120]   [silence]
[00:26:46.120 --> 00:26:48.120]   [silence]
[00:26:48.120 --> 00:26:50.120]   [silence]
[00:26:50.120 --> 00:26:52.120]   [silence]
[00:26:52.120 --> 00:26:54.120]   [silence]
[00:26:54.120 --> 00:26:56.120]   [silence]
[00:26:56.120 --> 00:26:58.120]   [silence]
[00:26:58.120 --> 00:27:00.120]   [silence]
[00:27:00.120 --> 00:27:02.120]   [silence]
[00:27:02.120 --> 00:27:04.120]   [silence]
[00:27:04.120 --> 00:27:06.120]   [silence]
[00:27:06.120 --> 00:27:08.120]   [silence]
[00:27:08.120 --> 00:27:10.120]   [silence]
[00:27:10.120 --> 00:27:12.120]   [silence]
[00:27:12.120 --> 00:27:14.120]   [silence]
[00:27:14.120 --> 00:27:16.120]   [silence]
[00:27:16.120 --> 00:27:18.120]   [silence]
[00:27:18.120 --> 00:27:20.120]   [silence]
[00:27:20.120 --> 00:27:22.120]   [silence]
[00:27:22.120 --> 00:27:24.120]   [silence]
[00:27:24.120 --> 00:27:26.120]   [silence]
[00:27:26.120 --> 00:27:28.120]   [silence]
[00:27:28.120 --> 00:27:30.120]   [silence]
[00:27:30.120 --> 00:27:32.120]   [silence]
[00:27:32.120 --> 00:27:34.120]   [silence]
[00:27:34.120 --> 00:27:36.120]   [silence]
[00:27:36.120 --> 00:27:38.120]   [silence]
[00:27:38.120 --> 00:27:40.120]   [silence]
[00:27:40.120 --> 00:27:42.120]   [silence]
[00:27:42.120 --> 00:27:44.120]   [silence]
[00:27:44.120 --> 00:27:46.120]   [silence]
[00:27:46.120 --> 00:27:48.120]   [silence]
[00:27:48.120 --> 00:27:50.120]   [silence]
[00:27:50.120 --> 00:27:52.120]   [silence]
[00:27:52.120 --> 00:27:54.120]   [silence]
[00:27:54.120 --> 00:27:56.120]   [silence]
[00:27:56.120 --> 00:27:58.120]   [silence]
[00:27:58.120 --> 00:28:00.120]   [silence]
[00:28:00.120 --> 00:28:02.120]   [silence]
[00:28:02.120 --> 00:28:04.120]   [silence]
[00:28:04.120 --> 00:28:06.120]   [silence]
[00:28:06.120 --> 00:28:08.120]   [silence]
[00:28:08.120 --> 00:28:10.120]   [silence]
[00:28:10.120 --> 00:28:12.120]   [silence]
[00:28:12.120 --> 00:28:14.120]   [silence]
[00:28:14.120 --> 00:28:16.120]   [silence]
[00:28:16.120 --> 00:28:18.120]   [silence]
[00:28:18.120 --> 00:28:20.120]   [silence]
[00:28:20.120 --> 00:28:22.120]   [silence]
[00:28:22.120 --> 00:28:24.120]   [silence]
[00:28:24.120 --> 00:28:26.120]   [silence]
[00:28:26.120 --> 00:28:28.120]   [silence]
[00:28:28.120 --> 00:28:30.120]   [silence]
[00:28:30.120 --> 00:28:32.120]   [silence]
[00:28:32.120 --> 00:28:34.120]   [silence]
[00:28:34.120 --> 00:28:36.120]   [silence]
[00:28:36.120 --> 00:28:38.120]   [silence]
[00:28:38.120 --> 00:28:40.120]   [silence]
[00:28:40.120 --> 00:28:42.120]   [silence]
[00:28:42.120 --> 00:28:44.120]   [silence]
[00:28:44.120 --> 00:28:46.120]   [silence]
[00:28:46.120 --> 00:28:48.120]   [silence]
[00:28:48.120 --> 00:28:50.120]   [silence]
[00:28:50.120 --> 00:28:52.120]   [silence]
[00:28:52.120 --> 00:28:54.120]   [silence]
[00:28:54.120 --> 00:28:56.120]   [silence]
[00:28:56.120 --> 00:28:58.120]   [silence]
[00:28:58.120 --> 00:29:00.120]   [silence]
[00:29:00.120 --> 00:29:02.120]   [silence]
[00:29:02.120 --> 00:29:04.120]   [silence]
[00:29:04.120 --> 00:29:06.120]   [silence]
[00:29:06.120 --> 00:29:08.120]   [silence]
[00:29:08.120 --> 00:29:10.120]   [silence]
[00:29:10.120 --> 00:29:12.120]   [silence]
[00:29:12.120 --> 00:29:14.120]   [silence]
[00:29:14.120 --> 00:29:16.120]   [silence]
[00:29:16.120 --> 00:29:18.120]   [silence]
[00:29:18.120 --> 00:29:20.120]   [silence]
[00:29:20.120 --> 00:29:22.120]   [silence]
[00:29:22.120 --> 00:29:24.120]   [silence]
[00:29:24.120 --> 00:29:26.120]   [silence]
[00:29:26.120 --> 00:29:28.120]   [silence]
[00:29:28.120 --> 00:29:30.120]   [silence]
[00:29:30.120 --> 00:29:32.120]   [silence]
[00:29:32.120 --> 00:29:34.120]   [silence]
[00:29:34.120 --> 00:29:36.120]   [silence]
[00:29:36.120 --> 00:29:38.120]   [silence]
[00:29:38.120 --> 00:29:40.120]   [silence]
[00:29:40.120 --> 00:29:42.120]   [silence]
[00:29:42.120 --> 00:29:44.120]   [silence]
[00:29:44.120 --> 00:29:46.120]   [silence]
[00:29:46.120 --> 00:29:48.120]   [silence]
[00:29:48.120 --> 00:29:50.120]   [silence]
[00:29:50.120 --> 00:29:52.120]   [silence]
[00:29:52.120 --> 00:29:54.120]   [silence]
[00:29:54.120 --> 00:29:56.120]   [silence]
[00:29:56.120 --> 00:29:58.120]   [silence]
[00:29:58.120 --> 00:30:00.120]   [silence]
[00:30:00.120 --> 00:30:02.120]   [silence]
[00:30:02.120 --> 00:30:04.120]   [silence]
[00:30:04.120 --> 00:30:06.120]   [silence]
[00:30:06.120 --> 00:30:08.120]   [silence]
[00:30:08.120 --> 00:30:10.120]   [silence]
[00:30:10.120 --> 00:30:12.120]   [silence]
[00:30:12.120 --> 00:30:14.120]   [silence]
[00:30:14.120 --> 00:30:16.120]   [silence]
[00:30:16.120 --> 00:30:18.120]   [silence]
[00:30:18.120 --> 00:30:20.120]   [silence]
[00:30:20.120 --> 00:30:22.120]   [silence]
[00:30:22.120 --> 00:30:24.120]   [silence]
[00:30:24.120 --> 00:30:26.120]   [silence]
[00:30:26.120 --> 00:30:28.120]   [silence]
[00:30:28.120 --> 00:30:30.120]   [silence]
[00:30:30.120 --> 00:30:32.120]   [silence]
[00:30:32.120 --> 00:30:34.120]   [silence]
[00:30:34.120 --> 00:30:36.120]   [silence]
[00:30:36.120 --> 00:30:38.120]   [silence]
[00:30:38.120 --> 00:30:40.120]   [silence]
[00:30:40.120 --> 00:30:42.120]   [silence]
[00:30:42.120 --> 00:30:44.120]   [silence]
[00:30:44.120 --> 00:30:46.120]   [silence]
[00:30:46.120 --> 00:30:48.120]   [silence]
[00:30:48.120 --> 00:30:50.120]   [silence]
[00:30:50.120 --> 00:30:52.120]   [silence]
[00:30:52.120 --> 00:30:54.120]   [silence]
[00:30:54.120 --> 00:30:56.120]   [silence]
[00:30:56.120 --> 00:30:58.120]   [silence]
[00:30:58.120 --> 00:31:00.120]   [silence]
[00:31:00.120 --> 00:31:02.120]   [silence]
[00:31:02.120 --> 00:31:04.120]   [silence]
[00:31:04.120 --> 00:31:06.120]   [silence]
[00:31:06.120 --> 00:31:08.120]   [silence]
[00:31:08.120 --> 00:31:10.120]   [silence]
[00:31:10.120 --> 00:31:12.120]   [silence]
[00:31:12.120 --> 00:31:14.120]   [silence]
[00:31:14.120 --> 00:31:16.120]   [silence]
[00:31:16.120 --> 00:31:18.120]   [silence]
[00:31:18.120 --> 00:31:20.120]   [silence]
[00:31:20.120 --> 00:31:22.120]   [silence]
[00:31:22.120 --> 00:31:24.120]   [silence]
[00:31:24.120 --> 00:31:26.120]   [silence]
[00:31:26.120 --> 00:31:28.120]   [silence]
[00:31:28.120 --> 00:31:30.120]   [silence]
[00:31:30.120 --> 00:31:32.120]   [silence]
[00:31:32.120 --> 00:31:34.120]   [silence]
[00:31:34.120 --> 00:31:36.120]   [silence]
[00:31:36.120 --> 00:31:38.120]   [silence]
[00:31:38.120 --> 00:31:40.120]   [silence]
[00:31:40.120 --> 00:31:42.120]   [silence]
[00:31:42.120 --> 00:31:44.120]   [silence]
[00:31:44.120 --> 00:31:46.120]   [silence]
[00:31:46.120 --> 00:31:48.120]   [silence]
[00:31:48.120 --> 00:31:50.120]   [silence]
[00:31:50.120 --> 00:31:52.120]   [silence]
[00:31:52.120 --> 00:31:54.120]   [silence]
[00:31:54.120 --> 00:31:56.120]   [silence]
[00:31:56.120 --> 00:31:58.120]   [silence]
[00:31:58.120 --> 00:32:00.120]   [silence]
[00:32:00.120 --> 00:32:02.120]   [silence]
[00:32:02.120 --> 00:32:04.120]   [silence]
[00:32:04.120 --> 00:32:06.120]   [silence]
[00:32:06.120 --> 00:32:08.120]   [silence]
[00:32:08.120 --> 00:32:10.120]   [silence]
[00:32:10.120 --> 00:32:12.120]   [silence]
[00:32:12.120 --> 00:32:14.120]   [silence]
[00:32:14.120 --> 00:32:16.120]   [silence]
[00:32:16.120 --> 00:32:18.120]   [silence]
[00:32:18.120 --> 00:32:20.120]   [silence]
[00:32:20.120 --> 00:32:22.120]   [silence]
[00:32:22.120 --> 00:32:24.120]   [silence]
[00:32:24.120 --> 00:32:26.120]   [silence]
[00:32:26.120 --> 00:32:28.120]   [silence]
[00:32:28.120 --> 00:32:30.120]   [silence]
[00:32:30.120 --> 00:32:32.120]   [silence]
[00:32:32.120 --> 00:32:34.120]   [silence]
[00:32:34.120 --> 00:32:36.120]   [silence]
[00:32:36.120 --> 00:32:38.120]   [silence]
[00:32:38.120 --> 00:32:40.120]   [silence]
[00:32:40.120 --> 00:32:42.120]   [silence]
[00:32:42.120 --> 00:32:44.120]   [silence]
[00:32:44.120 --> 00:32:46.120]   [silence]
[00:32:46.120 --> 00:32:48.120]   [silence]
[00:32:48.120 --> 00:32:50.120]   [silence]
[00:32:50.120 --> 00:32:52.120]   [silence]
[00:32:52.120 --> 00:32:54.120]   [silence]
[00:32:54.120 --> 00:32:56.120]   [silence]
[00:32:56.120 --> 00:32:58.120]   [silence]
[00:32:58.120 --> 00:33:00.120]   [silence]
[00:33:00.120 --> 00:33:02.120]   [silence]
[00:33:02.120 --> 00:33:04.120]   [silence]
[00:33:04.120 --> 00:33:06.120]   [silence]
[00:33:06.120 --> 00:33:08.120]   [silence]
[00:33:08.120 --> 00:33:10.120]   [silence]
[00:33:10.120 --> 00:33:12.120]   [silence]
[00:33:12.120 --> 00:33:14.120]   [silence]
[00:33:14.120 --> 00:33:16.120]   [silence]
[00:33:16.120 --> 00:33:18.120]   [silence]
[00:33:18.120 --> 00:33:20.120]   [silence]
[00:33:20.120 --> 00:33:24.120]   [silence]
[00:33:24.120 --> 00:33:28.120]   [silence]
[00:33:28.120 --> 00:33:32.120]   [silence]
[00:33:32.120 --> 00:33:36.120]   [silence]
[00:33:36.120 --> 00:33:40.120]   [silence]
[00:33:40.120 --> 00:33:44.120]   [silence]
[00:33:46.120 --> 00:33:48.120]   [silence]
[00:33:48.120 --> 00:33:50.120]   [silence]
[00:33:50.120 --> 00:33:52.120]   [silence]
[00:33:52.120 --> 00:33:54.120]   [silence]
[00:33:54.120 --> 00:33:56.120]   [silence]
[00:33:56.120 --> 00:33:58.120]   [silence]
[00:33:58.120 --> 00:34:00.120]   [silence]
[00:34:00.120 --> 00:34:02.120]   [silence]
[00:34:02.120 --> 00:34:04.120]   [silence]
[00:34:04.120 --> 00:34:06.120]   [silence]
[00:34:06.120 --> 00:34:08.120]   [silence]
[00:34:08.120 --> 00:34:10.120]   [silence]
[00:34:10.120 --> 00:34:12.120]   [silence]
[00:34:12.120 --> 00:34:14.120]   [silence]
[00:34:14.120 --> 00:34:16.120]   [silence]
[00:34:16.120 --> 00:34:18.120]   [silence]
[00:34:18.120 --> 00:34:22.120]   [silence]
[00:34:22.120 --> 00:34:26.120]   [silence]
[00:34:26.120 --> 00:34:30.120]   [silence]
[00:34:30.120 --> 00:34:34.120]   [silence]
[00:34:34.120 --> 00:34:38.120]   [silence]
[00:34:38.120 --> 00:34:42.120]   [silence]
[00:34:44.120 --> 00:34:46.120]   [silence]
[00:34:46.120 --> 00:34:48.120]   [silence]
[00:34:48.120 --> 00:34:50.120]   [silence]
[00:34:50.120 --> 00:34:52.120]   [silence]
[00:34:52.120 --> 00:34:54.120]   [silence]
[00:34:54.120 --> 00:34:56.120]   [silence]
[00:34:56.120 --> 00:34:58.120]   [silence]
[00:34:58.120 --> 00:35:00.120]   [silence]
[00:35:00.120 --> 00:35:02.120]   [silence]
[00:35:02.120 --> 00:35:04.120]   [silence]
[00:35:04.120 --> 00:35:06.120]   [silence]
[00:35:06.120 --> 00:35:08.120]   [silence]
[00:35:08.120 --> 00:35:10.120]   [silence]
[00:35:10.120 --> 00:35:12.120]   [silence]
[00:35:12.120 --> 00:35:14.120]   [silence]
[00:35:14.120 --> 00:35:16.120]   [silence]
[00:35:16.120 --> 00:35:18.120]   [silence]
[00:35:18.120 --> 00:35:20.120]   [silence]
[00:35:20.120 --> 00:35:22.120]   [silence]
[00:35:22.120 --> 00:35:26.120]   [silence]
[00:35:26.120 --> 00:35:30.120]   [silence]
[00:35:30.120 --> 00:35:34.120]   [silence]
[00:35:34.120 --> 00:35:38.120]   [silence]
[00:35:38.120 --> 00:35:42.120]   [silence]
[00:35:42.120 --> 00:35:46.120]   [silence]
[00:35:48.120 --> 00:35:50.120]   [silence]
[00:35:50.120 --> 00:35:52.120]   [silence]
[00:35:52.120 --> 00:35:54.120]   [silence]
[00:35:54.120 --> 00:35:56.120]   [silence]
[00:35:56.120 --> 00:35:58.120]   [silence]
[00:35:58.120 --> 00:36:00.120]   [silence]
[00:36:00.120 --> 00:36:02.120]   [silence]
[00:36:02.120 --> 00:36:04.120]   [silence]
[00:36:04.120 --> 00:36:06.120]   [silence]
[00:36:06.120 --> 00:36:08.120]   [silence]
[00:36:08.120 --> 00:36:10.120]   [silence]
[00:36:10.120 --> 00:36:12.120]   [silence]
[00:36:12.120 --> 00:36:16.120]   [silence]
[00:36:16.120 --> 00:36:20.120]   [silence]
[00:36:20.120 --> 00:36:24.120]   [silence]
[00:36:24.120 --> 00:36:28.120]   [silence]
[00:36:28.120 --> 00:36:32.120]   [silence]
[00:36:32.120 --> 00:36:36.120]   [silence]
[00:36:38.120 --> 00:36:40.120]   [silence]
[00:36:40.120 --> 00:36:42.120]   [silence]
[00:36:42.120 --> 00:36:44.120]   [silence]
[00:36:44.120 --> 00:36:46.120]   [silence]
[00:36:46.120 --> 00:36:48.120]   [silence]
[00:36:48.120 --> 00:36:50.120]   [silence]
[00:36:50.120 --> 00:36:52.120]   [silence]
[00:36:52.120 --> 00:36:54.120]   [silence]
[00:36:54.120 --> 00:36:56.120]   [silence]
[00:36:56.120 --> 00:36:58.120]   [silence]
[00:36:58.120 --> 00:37:00.120]   [silence]
[00:37:00.120 --> 00:37:02.120]   [silence]
[00:37:02.120 --> 00:37:04.120]   [silence]
[00:37:04.120 --> 00:37:06.120]   [silence]
[00:37:06.120 --> 00:37:08.120]   [silence]
[00:37:08.120 --> 00:37:10.120]   [silence]
[00:37:10.120 --> 00:37:12.120]   [silence]
[00:37:12.120 --> 00:37:16.120]   [silence]
[00:37:16.120 --> 00:37:20.120]   [silence]
[00:37:20.120 --> 00:37:24.120]   [silence]
[00:37:24.120 --> 00:37:28.120]   [silence]
[00:37:28.120 --> 00:37:32.120]   [silence]
[00:37:32.120 --> 00:37:36.120]   [silence]
[00:37:38.120 --> 00:37:40.120]   [silence]
[00:37:40.120 --> 00:37:42.120]   [silence]
[00:37:42.120 --> 00:37:44.120]   [silence]
[00:37:44.120 --> 00:37:46.120]   [silence]
[00:37:46.120 --> 00:37:48.120]   [silence]
[00:37:48.120 --> 00:37:50.120]   [silence]
[00:37:50.120 --> 00:37:52.120]   [silence]
[00:37:52.120 --> 00:37:54.120]   [silence]
[00:37:54.120 --> 00:37:56.120]   [silence]
[00:37:56.120 --> 00:37:58.120]   [silence]
[00:37:58.120 --> 00:38:00.120]   [silence]
[00:38:00.120 --> 00:38:02.120]   [silence]
[00:38:02.120 --> 00:38:06.120]   [silence]
[00:38:06.120 --> 00:38:10.120]   [silence]
[00:38:10.120 --> 00:38:14.120]   [silence]
[00:38:14.120 --> 00:38:18.120]   [silence]
[00:38:18.120 --> 00:38:22.120]   [silence]
[00:38:22.120 --> 00:38:26.120]   [silence]
[00:38:28.120 --> 00:38:30.120]   [silence]
[00:38:30.120 --> 00:38:32.120]   [silence]
[00:38:32.120 --> 00:38:34.120]   [silence]
[00:38:34.120 --> 00:38:36.120]   [silence]
[00:38:36.120 --> 00:38:38.120]   [silence]
[00:38:38.120 --> 00:38:40.120]   [silence]
[00:38:40.120 --> 00:38:42.120]   [silence]
[00:38:42.120 --> 00:38:44.120]   [silence]
[00:38:44.120 --> 00:38:46.120]   [silence]
[00:38:46.120 --> 00:38:48.120]   [silence]
[00:38:48.120 --> 00:38:50.120]   [silence]
[00:38:50.120 --> 00:38:52.120]   [silence]
[00:38:52.120 --> 00:38:54.120]   [silence]
