
[00:00:00.000 --> 00:00:07.000]   [ Applause ]
[00:24:27.000 --> 00:24:28.000]   strangers to the covenant of hope,
[00:24:28.000 --> 00:24:32.000]   people without hope and without God.
[00:24:32.000 --> 00:24:38.000]   This is radical that God would draw near not just sinners, but these Gentiles.
[00:24:38.000 --> 00:24:45.000]   These dirty, sinful, pagan people who should have nothing to do with the God of Israel.
[00:24:45.000 --> 00:24:48.000]   This is scandalous stuff, shocking and horrifying stuff
[00:24:48.000 --> 00:24:53.000]   that Paul is bringing up here to these people.
[00:24:53.000 --> 00:24:58.000]   That God would draw near Gentile sinners.
[00:24:58.000 --> 00:25:01.000]   If you could think back with me to the story of the leper,
[00:25:01.000 --> 00:25:03.000]   where Jesus approaches the leper.
[00:25:03.000 --> 00:25:11.000]   I remember these Jews, lepers, just physically lepers were rotting.
[00:25:11.000 --> 00:25:14.000]   They were just walking dead.
[00:25:14.000 --> 00:25:21.000]   But not only that, in Jewish culture, lepers were seen as so unclean.
[00:25:21.000 --> 00:25:24.000]   If you even get anywhere near them, if you touch anything they touch,
[00:25:24.000 --> 00:25:28.000]   you have to actually go outside the walls of the city
[00:25:28.000 --> 00:25:30.000]   and you have to do all these different things.
[00:25:30.000 --> 00:25:31.000]   You have to be moved away.
[00:25:31.000 --> 00:25:36.000]   It was from day one when they're born, from that moment on as they're growing up,
[00:25:36.000 --> 00:25:39.000]   the parents are saying, "When you see a leper, you go."
[00:25:39.000 --> 00:25:43.000]   And so that's what you grow up with is dirty, unclean people.
[00:25:43.000 --> 00:25:46.000]   Not only that, the lepers themselves have to walk around yelling.
[00:25:46.000 --> 00:25:48.000]   This is the saddest thing, right?
[00:25:48.000 --> 00:25:51.000]   You have to walk around saying, "Unclean, unclean,"
[00:25:51.000 --> 00:25:53.000]   showing everybody that they're unclean.
[00:25:53.000 --> 00:25:56.000]   This is inherent in them.
[00:25:56.000 --> 00:26:00.000]   Day one, it was just built into them.
[00:26:00.000 --> 00:26:02.000]   How dirty a leper is.
[00:26:02.000 --> 00:26:05.000]   And here comes Jesus and draws near to this leper.
[00:26:05.000 --> 00:26:10.000]   You can hear the audible gasp of all the Jews that are surrounding.
[00:26:10.000 --> 00:26:13.000]   They're probably watching this in a circle that spans wide
[00:26:13.000 --> 00:26:15.000]   because they don't want to get too close.
[00:26:15.000 --> 00:26:22.000]   And here they see Jesus reaching out to touch the leper.
[00:26:22.000 --> 00:26:25.000]   And as striking as that picture is,
[00:26:25.000 --> 00:26:40.000]   God, a creator God, drawing near Gentile sinners to himself was far worse.
[00:26:40.000 --> 00:26:48.000]   Even for us, we don't like going near dirty, unclean things.
[00:26:48.000 --> 00:26:52.000]   Like if you go to a fast food restaurant, what do you do?
[00:26:52.000 --> 00:26:55.000]   You look at all the tables, and when you see dirty stuff on there,
[00:26:55.000 --> 00:26:57.000]   you pass on to the next table.
[00:26:57.000 --> 00:26:59.000]   You don't want to have that.
[00:26:59.000 --> 00:27:01.000]   When you're walking into a room,
[00:27:01.000 --> 00:27:03.000]   perhaps with a co-worker or something like that,
[00:27:03.000 --> 00:27:08.000]   and they're coughing into their arm, and it sounds kind of bad,
[00:27:08.000 --> 00:27:09.000]   what do you do?
[00:27:09.000 --> 00:27:10.000]   You don't want to be there.
[00:27:10.000 --> 00:27:11.000]   You don't walk away.
[00:27:11.000 --> 00:27:13.000]   They're unclean, right?
[00:27:13.000 --> 00:27:14.000]   It's dirty.
[00:27:14.000 --> 00:27:17.000]   And there's something about dirtiness that makes you want to--
[00:27:17.000 --> 00:27:20.000]   like if you touch the hand of someone that had a dirty hand,
[00:27:20.000 --> 00:27:21.000]   you want to wash it.
[00:27:21.000 --> 00:27:30.000]   There's something about it that actually causes a tangible division.
[00:27:30.000 --> 00:27:31.000]   It was interesting.
[00:27:31.000 --> 00:27:36.000]   As I was doing the sermon, as I was preparing and meditating on this passage,
[00:27:36.000 --> 00:27:40.000]   I was at a Starbucks, and then at the Starbucks, two homeless men walked in.
[00:27:40.000 --> 00:27:44.000]   And as these two homeless men walked in, it was like instantaneously
[00:27:44.000 --> 00:27:48.000]   that Starbucks was filled with a stench.
[00:27:48.000 --> 00:27:54.000]   And this is not to be mocking or anything like that.
[00:27:54.000 --> 00:27:58.000]   It was just as soon as they walked in, all eyes just turned on them,
[00:27:58.000 --> 00:28:01.000]   and I just looked around because I was like, "This is interesting,"
[00:28:01.000 --> 00:28:05.000]   because I was studying something like uncleanness and things like that.
[00:28:05.000 --> 00:28:07.000]   So as I was watching, I was looking at people's faces,
[00:28:07.000 --> 00:28:08.000]   and they would grimace.
[00:28:08.000 --> 00:28:10.000]   They'd go like this.
[00:28:10.000 --> 00:28:12.000]   Just all around.
[00:28:12.000 --> 00:28:15.000]   Everyone could see it, but they didn't think.
[00:28:15.000 --> 00:28:19.000]   I was just so captivated by these two homeless men that I walked in.
[00:28:19.000 --> 00:28:26.000]   And their clothes were pretty raggy, and they came and sat kind of off to the side of me.
[00:28:26.000 --> 00:28:29.000]   And as I was sitting there, I was thinking about it.
[00:28:29.000 --> 00:28:34.000]   I'm like, "You know, division is like immediate."
[00:28:34.000 --> 00:28:36.000]   It's nothing they did.
[00:28:36.000 --> 00:28:39.000]   There's just something where as soon as they walked in,
[00:28:39.000 --> 00:28:46.000]   there was this big divide between the two homeless men and everybody else.
[00:28:46.000 --> 00:28:51.000]   Three people actually got up and walked to the other side of the Starbucks.
[00:28:51.000 --> 00:28:53.000]   And for me, I was just observing this whole time.
[00:28:53.000 --> 00:28:58.000]   I'm like, "Oh, you know, what's interesting is even me,
[00:28:58.000 --> 00:29:01.000]   I'm looking at them, and I could feel this division,
[00:29:01.000 --> 00:29:09.000]   even a type of tension in the room."
[00:29:09.000 --> 00:29:15.000]   That's something about this understanding of uncleanness,
[00:29:15.000 --> 00:29:19.000]   where it creates judgment between people,
[00:29:19.000 --> 00:29:22.000]   judgment between me and another person.
[00:29:22.000 --> 00:29:23.000]   And it's not just uncleanness.
[00:29:23.000 --> 00:29:29.000]   It's just this understanding of something that's so different.
[00:29:29.000 --> 00:29:32.000]   We're like that as humans, fallen in sin.
[00:29:32.000 --> 00:29:35.000]   We want to move away from people that are unlike us.
[00:29:35.000 --> 00:29:38.000]   And we want to move away from people who don't agree with us.
[00:29:38.000 --> 00:29:44.000]   And we want to move away from people who make us feel certain ways.
[00:29:44.000 --> 00:29:45.000]   But here is God.
[00:29:45.000 --> 00:29:48.000]   He draws the vilest of people to himself before him.
[00:29:48.000 --> 00:29:54.000]   And he does it in the most heinous way possible,
[00:29:54.000 --> 00:29:58.000]   through the blood of his son.
[00:29:58.000 --> 00:30:00.000]   What this means is that the creator himself,
[00:30:00.000 --> 00:30:07.000]   infinitely of value and worth, exalted in heaven,
[00:30:07.000 --> 00:30:14.000]   glorious of immense worth, magnitude and gravity of who he is
[00:30:14.000 --> 00:30:19.000]   and his holiness and righteousness, filling everything.
[00:30:19.000 --> 00:30:24.000]   The God who is able to create the world with the power of his word
[00:30:24.000 --> 00:30:26.000]   would give his own life in obedience to the Father
[00:30:26.000 --> 00:30:29.000]   and sacrifice himself for the filth of the world
[00:30:29.000 --> 00:30:32.000]   and draw near people in that manner.
[00:30:32.000 --> 00:30:36.000]   We don't deserve this, but he extends it to us.
[00:30:36.000 --> 00:30:38.000]   And so if you look down at verse 14, it says,
[00:30:38.000 --> 00:30:44.000]   "For he himself is our peace."
[00:30:44.000 --> 00:30:46.000]   It's talking about Jesus.
[00:30:46.000 --> 00:30:48.000]   He doesn't just give us peace.
[00:30:48.000 --> 00:30:49.000]   He doesn't just give us unity.
[00:30:49.000 --> 00:30:51.000]   He doesn't just hand us medicine.
[00:30:51.000 --> 00:30:54.000]   He doesn't just hand us a solution.
[00:30:54.000 --> 00:30:56.000]   He himself is the medicine.
[00:30:56.000 --> 00:30:59.000]   He himself is the solution is what he's saying here.
[00:30:59.000 --> 00:31:01.000]   It's the same reason why in John 14, verse 6,
[00:31:01.000 --> 00:31:05.000]   Jesus says, "Not that I will provide a way to the Father."
[00:31:05.000 --> 00:31:08.000]   He says, "I am the way."
[00:31:08.000 --> 00:31:12.000]   In John 10, verse 9, he doesn't say, "I will open the gate for you."
[00:31:12.000 --> 00:31:14.000]   He says, "I am the gate."
[00:31:14.000 --> 00:31:18.000]   That this is the only way, that I am the only object
[00:31:18.000 --> 00:31:29.000]   by which a vile sinner, unclean, can be drawn near to God.
[00:31:29.000 --> 00:31:31.000]   He is saying he himself is the answer,
[00:31:31.000 --> 00:31:33.000]   the only way to unity with the Father.
[00:31:33.000 --> 00:31:35.000]   There is no other way.
[00:31:35.000 --> 00:31:39.000]   Christ alone, he himself is our peace.
[00:31:39.000 --> 00:31:43.000]   That means that without Christ, there is no other way to find peace.
[00:31:43.000 --> 00:31:46.000]   Peace is found in Christ alone.
[00:31:46.000 --> 00:31:48.000]   We can find cheap substitutes for peace,
[00:31:48.000 --> 00:31:51.000]   but there is no peace apart from him.
[00:31:51.000 --> 00:31:54.000]   God needs to extend his hand down
[00:31:54.000 --> 00:31:58.000]   to repair a broken relationship that has caused death to fall upon humanity.
[00:31:58.000 --> 00:32:02.000]   Now this is where the rubber meets the road as we think of unity with people.
[00:32:02.000 --> 00:32:08.000]   Ultimately, even though the theological anchor here
[00:32:08.000 --> 00:32:10.000]   is the unity between us and God,
[00:32:10.000 --> 00:32:15.000]   the outpouring is being talked about with one another, with people.
[00:32:15.000 --> 00:32:18.000]   We as Christians, and we as a church,
[00:32:18.000 --> 00:32:22.000]   are called to live in unity and harmony.
[00:32:22.000 --> 00:32:26.000]   We are called to pursue reconciliation with one another here at church,
[00:32:26.000 --> 00:32:28.000]   but also wherever we go.
[00:32:28.000 --> 00:32:30.000]   Every Christian, what's cool about the church, I think,
[00:32:30.000 --> 00:32:33.000]   is if you kind of imagine, we're all gathered here,
[00:32:33.000 --> 00:32:35.000]   but we scatter during the week.
[00:32:35.000 --> 00:32:39.000]   We go to so many places with influences, with so many people,
[00:32:39.000 --> 00:32:43.000]   and we are called to pursue peace.
[00:32:43.000 --> 00:32:47.000]   Now some of you might be thinking, "Well, didn't Jesus say he came to bring not peace but division?"
[00:32:47.000 --> 00:32:50.000]   And that's not the type of thing that we're talking about right now.
[00:32:50.000 --> 00:32:53.000]   So we can study on that or talk about that another day.
[00:32:53.000 --> 00:32:56.000]   But the type of peace and harmony is being talked about,
[00:32:56.000 --> 00:33:03.000]   about the extension of the gospel here.
[00:33:03.000 --> 00:33:05.000]   We are to be different as Christians,
[00:33:05.000 --> 00:33:09.000]   not because we are nice people or sophisticated in our compassionate philosophy,
[00:33:09.000 --> 00:33:12.000]   but because God drew us near to him by the blood of his Son,
[00:33:12.000 --> 00:33:14.000]   because Jesus is our peace.
[00:33:14.000 --> 00:33:18.000]   And this is the reason why in Matthew chapter 5, it says something about sons of God.
[00:33:18.000 --> 00:33:22.000]   In Matthew 5 it says, "Blessed are the peacemakers, for they shall be called sons of God."
[00:33:22.000 --> 00:33:25.000]   It's kind of like DNA of what a Christian is to look like,
[00:33:25.000 --> 00:33:30.000]   that we are called to be peacemakers.
[00:33:30.000 --> 00:33:33.000]   That people, when they look at us, whether they be a believer or a non-believer,
[00:33:33.000 --> 00:33:37.000]   they say, "That is a child of God. That is a son. That is a daughter of God,"
[00:33:37.000 --> 00:33:40.000]   because they are pursuers of peace.
[00:33:40.000 --> 00:33:45.000]   So this brings us to our third point, we are unified with others.
[00:33:45.000 --> 00:33:49.000]   If you look down with me at verse 14 and 15,
[00:33:49.000 --> 00:33:53.000]   it says this, that he breaks down the dividing wall of hostility.
[00:33:53.000 --> 00:33:57.000]   He himself is our peace, who has made us both one,
[00:33:57.000 --> 00:34:00.000]   and has broken down in his flesh the dividing wall of hostility
[00:34:00.000 --> 00:34:06.000]   by abolishing the law of commandments expressed in ordinances.
[00:34:06.000 --> 00:34:11.000]   Now that terminology being used here, dividing wall of hostility,
[00:34:11.000 --> 00:34:16.000]   probably brought to their mind an immediate picture for the audience here,
[00:34:16.000 --> 00:34:19.000]   and it brought a picture of the temple.
[00:34:19.000 --> 00:34:21.000]   If you can kind of imagine a temple with me,
[00:34:21.000 --> 00:34:27.000]   there was a rectangular piece of land that had this high wall.
[00:34:27.000 --> 00:34:31.000]   So if you wanted to worship Yahweh, you would go through those doors.
[00:34:31.000 --> 00:34:34.000]   And there is a place called the Court of the Gentiles,
[00:34:34.000 --> 00:34:36.000]   where even Gentiles could come in.
[00:34:36.000 --> 00:34:40.000]   Inside of there is where people would trade and things like that.
[00:34:40.000 --> 00:34:43.000]   We know of the story of Jesus who overturned tables. That is where it was.
[00:34:43.000 --> 00:34:46.000]   And then beyond that, inside of this rectangular plot,
[00:34:46.000 --> 00:34:50.000]   there was a smaller rectangular, elevated about five feet,
[00:34:50.000 --> 00:34:53.000]   with a five-feet wall elevated up.
[00:34:53.000 --> 00:34:56.000]   People would have to go up a staircase to go into this area.
[00:34:56.000 --> 00:34:59.000]   And written in big, bold letters, I will just summarize it for you,
[00:34:59.000 --> 00:35:05.000]   is, "If you're a Gentile, don't come in here. You will die."
[00:35:05.000 --> 00:35:07.000]   And they had this thought.
[00:35:07.000 --> 00:35:12.000]   When Paul is saying, "For he himself is our peace, who has made us both one,
[00:35:12.000 --> 00:35:15.000]   and broken down in his flesh the dividing wall of hostility,"
[00:35:15.000 --> 00:35:19.000]   this is probably what was being talked about here,
[00:35:19.000 --> 00:35:24.000]   by abolishing the law of commandments expressed in ordinances.
[00:35:24.000 --> 00:35:27.000]   You should remember, Paul is writing a lot of these letters in jail.
[00:35:27.000 --> 00:35:30.000]   And one of the reasons why he went to jail in Acts 21 is because
[00:35:30.000 --> 00:35:37.000]   people accused him of taking a Gentile into the court of the Jews.
[00:35:37.000 --> 00:35:40.000]   And so Paul was familiar with this,
[00:35:40.000 --> 00:35:43.000]   and there was a deep understanding of this divide between Jews and Gentiles,
[00:35:43.000 --> 00:35:48.000]   even during this time.
[00:35:48.000 --> 00:35:50.000]   And so for the Jews, this was a radical statement.
[00:35:50.000 --> 00:35:55.000]   Like, "Paul, what are you trying to say here?"
[00:35:55.000 --> 00:35:59.000]   Paul is trying to emphasize an even greater statement that both Jews and Gentiles
[00:35:59.000 --> 00:36:02.000]   are allowed into something greater, and this is what we mean.
[00:36:02.000 --> 00:36:05.000]   Now, if you go a little bit deeper, you have the court of the Gentiles,
[00:36:05.000 --> 00:36:10.000]   you have the court of the Jews, and then in the middle you have this holy place.
[00:36:10.000 --> 00:36:14.000]   This place is a rectangular, tiny piece, cut in half,
[00:36:14.000 --> 00:36:19.000]   and there's a curtain that would separate the holy place,
[00:36:19.000 --> 00:36:22.000]   the most holy place, the holy of holies.
[00:36:22.000 --> 00:36:25.000]   And the reason why there used to be a curtain there
[00:36:25.000 --> 00:36:29.000]   is because it divided humanity from God.
[00:36:29.000 --> 00:36:31.000]   And so they would send priests in there,
[00:36:31.000 --> 00:36:35.000]   and sometimes they would tie a rope to the priest just in case he died in the presence of God,
[00:36:35.000 --> 00:36:38.000]   and they would have to drag his body out.
[00:36:38.000 --> 00:36:42.000]   There's this understanding that God could not allow his presence to be with people
[00:36:42.000 --> 00:36:49.000]   because of this deep divide, this deep void between humanity and God due to sin.
[00:36:49.000 --> 00:36:52.000]   But what happened when Jesus dies?
[00:36:52.000 --> 00:36:57.000]   We hear about this great curtain inside of this place that tears in two,
[00:36:57.000 --> 00:37:02.000]   and this curtain is no more, that there is no longer any divide between us and God.
[00:37:02.000 --> 00:37:07.000]   This is a mind-blowing statement.
[00:37:07.000 --> 00:37:09.000]   What does that mean?
[00:37:09.000 --> 00:37:15.000]   How can our presence mingle and cohabitate with God?
[00:37:15.000 --> 00:37:19.000]   How can God allow people into his presence?
[00:37:19.000 --> 00:37:25.000]   And in Hebrews chapter 4, when it talks about the fact that we're able to draw into his throne of grace.
[00:37:25.000 --> 00:37:29.000]   How? What is it being talked about when in Colossians 1,
[00:37:29.000 --> 00:37:33.000]   it says that the mystery of the gospel is Christ in me?
[00:37:33.000 --> 00:37:34.000]   What is that?
[00:37:34.000 --> 00:37:39.000]   This understanding of the fact that we are now called temples of God,
[00:37:39.000 --> 00:37:44.000]   that the Spirit is sealed into us.
[00:37:44.000 --> 00:37:49.000]   God has broken down this dividing wall of hostility between us and humanity.
[00:37:49.000 --> 00:37:51.000]   He is drawing both Jew and Gentile.
[00:37:51.000 --> 00:37:55.000]   Why is it that if he draws a Jew and he draws a Gentile,
[00:37:55.000 --> 00:38:04.000]   that there is a dividing wall of hostility between you?
[00:38:04.000 --> 00:38:07.000]   So we talked about in the beginning about why there's so much disunity in the world.
[00:38:07.000 --> 00:38:13.000]   It's because the world and the people in it, due to sin, are separated from God.
[00:38:13.000 --> 00:38:16.000]   Because here's the thing.
[00:38:16.000 --> 00:38:19.000]   If we want to see peace in this world, there's only one way.
[00:38:19.000 --> 00:38:21.000]   And that's through Jesus.
[00:38:21.000 --> 00:38:24.000]   There is no other way.
[00:38:24.000 --> 00:38:30.000]   And so the world pursues peace, but without Christ, there is no peace.
[00:38:30.000 --> 00:38:34.000]   And so then how is peace to go to the world?
[00:38:34.000 --> 00:38:36.000]   Through his people.
[00:38:36.000 --> 00:38:39.000]   Through people who have received peace.
[00:38:39.000 --> 00:38:47.000]   As a kid, we used to drive to church, and I would pass this church called the Church of the Nazarene.
[00:38:47.000 --> 00:38:51.000]   I don't know what kind of church it was or anything like that, but always on a sign it said,
[00:38:51.000 --> 00:38:54.000]   "No Jesus, no peace." The N-O.
[00:38:54.000 --> 00:38:57.000]   And then it said right below that, "No Jesus," K-N-O-W, "no peace."
[00:38:57.000 --> 00:39:00.000]   I'd be like, "Ah, I see what you did. That's cool."
[00:39:00.000 --> 00:39:03.000]   And we passed by that, and then I would think about it later on in life.
[00:39:03.000 --> 00:39:06.000]   I'm like, "Man, that was really profound."
[00:39:07.000 --> 00:39:11.000]   There is no peace in this world apart from Jesus.
[00:39:11.000 --> 00:39:16.000]   In Isaiah 9, verse 6, following the holidays, we know this verse,
[00:39:16.000 --> 00:39:21.000]   "For to us a son is born, to us a child is given, and the government shall be upon his shoulder,
[00:39:21.000 --> 00:39:28.000]   and his name shall be called Wonderful Counselor, Mighty God, Everlasting Father, Prince of Peace."
[00:39:28.000 --> 00:39:33.000]   Jesus is peace. Jesus is the way peace was extended to us by God.
[00:39:33.000 --> 00:39:36.000]   And so Jesus himself is the one that kills hostility between us and God,
[00:39:36.000 --> 00:39:40.000]   and gives us the ability to kill hostility amongst one another.
[00:39:40.000 --> 00:39:47.000]   That when we know this great peace and reconciliation and unity that we enjoy with our Creator,
[00:39:47.000 --> 00:39:58.000]   and when this truth is instilled into our hearts, the power of knowing that kind of peace is tremendous.
[00:39:58.000 --> 00:40:07.000]   That the very way we live will change, it gives us the ability to be able to forgive and love one another in the way that we're called to.
[00:40:07.000 --> 00:40:11.000]   This world says about marriages that it's supposed to be a 50/50 relationship.
[00:40:11.000 --> 00:40:15.000]   One side, husband gets 50%, wife gets 50%.
[00:40:15.000 --> 00:40:21.000]   If the husband isn't giving enough, then the wife has a means to say, "Hey, you're doing bad."
[00:40:21.000 --> 00:40:25.000]   And vice versa, so it becomes a tug of war.
[00:40:25.000 --> 00:40:31.000]   "You said you would put your socks away in the laundry hamper, and you didn't."
[00:40:31.000 --> 00:40:39.000]   So there is reason for conflict. There is self-justification for anger, and bitterness, and resentment.
[00:40:39.000 --> 00:40:45.000]   You pick it up one day, two days, three days, by the end of the week you're like, "I'm done with this."
[00:40:45.000 --> 00:40:50.000]   Because we think about, in this world, we think about 50/50. There has to be a give and take.
[00:40:50.000 --> 00:40:57.000]   But the type of reconciliation, the type of peace that we're called to pursue is that of what God gave to us.
[00:40:57.000 --> 00:41:03.000]   And that means that it is something where the vilest of people were reached down to.
[00:41:03.000 --> 00:41:11.000]   That people who are far off were reached 100% unconditionally.
[00:41:11.000 --> 00:41:19.000]   On the basis of the condition that all of it, all of the sin was paid for by Christ.
[00:41:19.000 --> 00:41:27.000]   It is the same rallying cry for us as a Christian, claiming that we're believers who have received this kind of peace.
[00:41:27.000 --> 00:41:32.000]   It doesn't matter if someone loves us back. It doesn't matter what another believer does to you or says about you,
[00:41:32.000 --> 00:41:37.000]   or how it makes you feel. You are making a commitment to love them 100%.
[00:41:37.000 --> 00:41:44.000]   With the love of God, you are called to make peace with others because you know the peace of Christ.
[00:41:44.000 --> 00:41:51.000]   Because you know Christ. You have been given peace, now you go and give peace and you make peace.
[00:41:51.000 --> 00:41:54.000]   There is nothing that should be able to divide up the body of Christ.
[00:41:54.000 --> 00:42:03.000]   There is only supreme love that pursues reconciliation and peace.
[00:42:03.000 --> 00:42:07.000]   Now this unifying of believers isn't just people coexisting.
[00:42:07.000 --> 00:42:10.000]   Because I think that's what we think peace is a lot of times.
[00:42:10.000 --> 00:42:15.000]   I think it's just coexisting with one another. And it's not. It's much deeper than that.
[00:42:15.000 --> 00:42:24.000]   If you look down at verse 15 again, you're going to see that he might create in himself one new man in place of the two.
[00:42:24.000 --> 00:42:31.000]   So making peace and might reconcile us both to God and one body through the cross, thereby killing the hostility.
[00:42:31.000 --> 00:42:33.000]   See there's a couple things going on here.
[00:42:33.000 --> 00:42:36.000]   It says that he is creating one man where there used to be two.
[00:42:36.000 --> 00:42:41.000]   And that should kind of draw to your mind something. You should be thinking about husband and wife.
[00:42:41.000 --> 00:42:44.000]   This is intimate language being used here.
[00:42:44.000 --> 00:42:47.000]   Where there was once two, there is now one.
[00:42:47.000 --> 00:42:52.000]   This is a deep unity. And this is what Christ's peace does.
[00:42:52.000 --> 00:42:58.000]   It's not coexisting. It's not just going through the motions.
[00:42:58.000 --> 00:43:07.000]   There is a deep, deep unity that is found in the people of God.
[00:43:07.000 --> 00:43:15.000]   Our pursuit of peace needs to mimic that of what has happened between us and God.
[00:43:15.000 --> 00:43:18.000]   We can go around and pursue cheap substitutes of the true peace of Christ.
[00:43:18.000 --> 00:43:24.000]   We can pretend like nothing's wrong. We're good at that, aren't we?
[00:43:24.000 --> 00:43:29.000]   Not a big deal. And we try to trick ourselves into thinking that. Not a big deal.
[00:43:29.000 --> 00:43:33.000]   We can be passive aggressive. We're really good at that one.
[00:43:33.000 --> 00:43:35.000]   It's passive aggressive and pursuing justice.
[00:43:35.000 --> 00:43:40.000]   We come up with the weirdest ways to make ourselves feel better.
[00:43:40.000 --> 00:43:44.000]   We can smile at someone in front of them. We can smile in our hearts.
[00:43:44.000 --> 00:43:50.000]   We're saying, "I despise you."
[00:43:50.000 --> 00:43:55.000]   We can avoid people or situations. We can duck them.
[00:43:55.000 --> 00:43:57.000]   But this is not real peace.
[00:43:57.000 --> 00:44:01.000]   That doesn't show our understanding of and apprehension of the gospel.
[00:44:01.000 --> 00:44:04.000]   Peace goes deep and is transformative.
[00:44:04.000 --> 00:44:08.000]   Would you look down with me on verse 17 and 18?
[00:44:08.000 --> 00:44:13.000]   Paul says, "And He came and preached peace to you who are far off, and peace to those who are near.
[00:44:13.000 --> 00:44:18.000]   For through Him we both have access in one spirit to the Father."
[00:44:18.000 --> 00:44:22.000]   This distinction between the Jew and Gentile, again he's talking about it being torn down,
[00:44:22.000 --> 00:44:24.000]   that both would be brought near.
[00:44:24.000 --> 00:44:27.000]   That Jesus preached the same gospel of peace to those who are far off, the Gentiles,
[00:44:27.000 --> 00:44:29.000]   and those who are near, the Jews.
[00:44:29.000 --> 00:44:33.000]   And again you can hear the audible gasp of the Jews.
[00:44:33.000 --> 00:44:38.000]   They're allowed into the presence of the Father too?
[00:44:38.000 --> 00:44:42.000]   This is revolutionary and powerful that the Gentile would be brought from so far
[00:44:42.000 --> 00:44:47.000]   all the way into direct access to the Father.
[00:44:47.000 --> 00:44:52.000]   And we see someone doing the action of this pulling of humanity to God.
[00:44:52.000 --> 00:44:54.000]   That Jesus is doing the action.
[00:44:54.000 --> 00:44:56.000]   All the verbs used there, brought near.
[00:44:56.000 --> 00:44:59.000]   Jesus is the one that brought us near.
[00:44:59.000 --> 00:45:01.000]   Jesus is the one that made us both one.
[00:45:01.000 --> 00:45:03.000]   Jesus is the one that creates in Himself.
[00:45:03.000 --> 00:45:05.000]   Jesus is the one who reconciles.
[00:45:05.000 --> 00:45:07.000]   Jesus is the one who preaches peace.
[00:45:07.000 --> 00:45:08.000]   And that's the grace portion.
[00:45:08.000 --> 00:45:09.000]   He did all the work.
[00:45:09.000 --> 00:45:10.000]   We reaped all the benefits.
[00:45:10.000 --> 00:45:12.000]   And now we are called to do likewise.
[00:45:12.000 --> 00:45:13.000]   Now what does that mean?
[00:45:13.000 --> 00:45:17.000]   If God did all the work and we reap all the benefits and we turn to our neighbor
[00:45:17.000 --> 00:45:22.000]   and we look at them and say, "Well, you need to do this in order for you to receive my peace."
[00:45:22.000 --> 00:45:29.000]   There's something very, very twisted and disturbing about that kind of picture.
[00:45:29.000 --> 00:45:35.000]   We know about the parable of the unforgiving servant who is forgiven of much
[00:45:35.000 --> 00:45:39.000]   and he turns around and he can't forgive his brother.
[00:45:39.000 --> 00:45:42.000]   It's sick.
[00:45:42.000 --> 00:45:48.000]   And yet this is much of how we live when we look at certain people.
[00:45:48.000 --> 00:45:51.000]   You have been forgiven. Go and forgive.
[00:45:51.000 --> 00:45:53.000]   You have been loved. Go and love.
[00:45:53.000 --> 00:45:54.000]   That is the call to us.
[00:45:54.000 --> 00:45:59.000]   And so back to verse 11, we are called to remember this.
[00:45:59.000 --> 00:46:03.000]   A Christian who forgets will wallow in disunity and demand justice for himself.
[00:46:03.000 --> 00:46:08.000]   A Christian who remembers will pursue unity and reconciliation and love and harmony.
[00:46:08.000 --> 00:46:11.000]   I mean, this is so hard.
[00:46:11.000 --> 00:46:13.000]   Even on the freeways we like to do that.
[00:46:13.000 --> 00:46:17.000]   "That guy cut me off. I've got to box him in or something."
[00:46:17.000 --> 00:46:25.000]   There's something about us, wired in us, that we demand stuff.
[00:46:25.000 --> 00:46:27.000]   God has done it to those who are close and far.
[00:46:27.000 --> 00:46:30.000]   He doesn't pick favorites. He preaches peace for all people.
[00:46:30.000 --> 00:46:36.000]   And so we are called to go and preach peace to all people.
[00:46:36.000 --> 00:46:37.000]   He reminds us what you have been given.
[00:46:37.000 --> 00:46:40.000]   Look at the amazing words again in verse 19.
[00:46:40.000 --> 00:46:42.000]   Now we're going cyclical here.
[00:46:42.000 --> 00:46:44.000]   Now we're going back to again what we've received from God.
[00:46:44.000 --> 00:46:48.000]   In verse 19, he says, "You are no longer strangers and aliens, but fellow citizens, saints,
[00:46:48.000 --> 00:46:50.000]   members of household of God.
[00:46:50.000 --> 00:46:52.000]   You are adopted and chosen by God.
[00:46:52.000 --> 00:46:53.000]   You are loved by Him.
[00:46:53.000 --> 00:46:55.000]   For the Jew to hear this is like, 'What?'
[00:46:55.000 --> 00:47:01.000]   Gentiles like, 'Yeah!'"
[00:47:01.000 --> 00:47:03.000]   In Ephesians chapter 1, we see a lot of things.
[00:47:03.000 --> 00:47:04.000]   Remember who you were.
[00:47:04.000 --> 00:47:07.000]   In chapter 1, verse 3, it tells us of our blessings.
[00:47:07.000 --> 00:47:11.000]   That we have been blessed in Christ with every spiritual blessing.
[00:47:11.000 --> 00:47:14.000]   In verse 4, He chose you.
[00:47:14.000 --> 00:47:16.000]   In verse 5, He predestined you for adoption.
[00:47:16.000 --> 00:47:20.000]   In verse 7, He redeemed and forgave you, and lavishly so.
[00:47:20.000 --> 00:47:27.000]   In verse 10, there is a plan for uniting between heaven and earth.
[00:47:27.000 --> 00:47:29.000]   We get all of these things.
[00:47:29.000 --> 00:47:33.000]   And so here's the application, because even though this is my first week here,
[00:47:33.000 --> 00:47:36.000]   I've been hearing from Pastor Peter and Pastor Mark some of the things going on.
