
[00:00:00.000 --> 00:00:11.400]   Okay, hello everybody.
[00:22:00.680 --> 00:22:04.400]   Okay, just the iron legs.
[00:22:04.400 --> 00:22:05.400]   Let's go to the next one.
[00:22:05.400 --> 00:22:10.760]   Oh, was it not there?
[00:22:10.760 --> 00:22:13.760]   There was nothing after the iron.
[00:22:13.760 --> 00:22:14.760]   Okay.
[00:22:14.760 --> 00:22:18.520]   Oh, oh, too bad.
[00:22:18.520 --> 00:22:21.400]   Well, it's Roman colonies.
[00:22:21.400 --> 00:22:22.960]   That's your thing there.
[00:22:22.960 --> 00:22:27.040]   That's the iron clay feet and toes.
[00:22:27.040 --> 00:22:31.320]   And so this is describing something, that these kingdoms are going to be moving like
[00:22:31.320 --> 00:22:35.480]   this, and then finally there's going to be a kingdom that's different than all the kingdoms,
[00:22:35.480 --> 00:22:37.600]   and it's this kingdom of Rome.
[00:22:37.600 --> 00:22:39.640]   So remember, Daniel's written way before.
[00:22:39.640 --> 00:22:42.600]   This was during the time of Babylon.
[00:22:42.600 --> 00:22:45.400]   And Daniel was predicting this.
[00:22:45.400 --> 00:22:47.400]   That's why Babylon is named.
[00:22:47.400 --> 00:22:50.640]   But Medo-Persia, Greece, and Rome are not named.
[00:22:50.640 --> 00:22:51.640]   Why?
[00:22:51.640 --> 00:22:53.440]   Because they have yet to exist.
[00:22:53.440 --> 00:22:59.720]   This is why a lot of historians do not believe that Daniel was written in the time where
[00:22:59.720 --> 00:23:03.920]   it was supposed to have been written, because they say, "There is no way Daniel could have
[00:23:03.920 --> 00:23:06.320]   prophesied about these kingdoms."
[00:23:06.320 --> 00:23:09.160]   And yet, we know that he did.
[00:23:09.160 --> 00:23:16.960]   And he actually was able to, with great...it was just perfectly prophesied of, of these
[00:23:16.960 --> 00:23:21.080]   kingdoms that were to come, and also that this kingdom of Rome is going to be exactly
[00:23:21.080 --> 00:23:22.280]   how he describes it.
[00:23:22.280 --> 00:23:29.440]   It's going to be a kingdom where it doesn't absorb and make these other kingdoms become
[00:23:29.440 --> 00:23:33.440]   a part of its kingdom, but it would absorb it almost like toes, right?
[00:23:33.440 --> 00:23:37.160]   Feet and he's talking about these feet like as these toes, there's 10 toes, that there
[00:23:37.160 --> 00:23:41.840]   are going to be these little colonies or little kingdoms that kind of come out of Rome.
[00:23:41.840 --> 00:23:49.160]   And we know that in history because Rome was a kingdom, a power that held that in high
[00:23:49.160 --> 00:23:52.280]   regard.
[00:23:52.280 --> 00:23:53.320]   Any questions about that?
[00:23:53.320 --> 00:23:54.320]   Was that clear?
[00:23:54.320 --> 00:23:55.320]   Okay.
[00:23:55.320 --> 00:24:00.240]   You guys know a little bit about the history of Rome and how they would colonize rather
[00:24:00.240 --> 00:24:01.240]   than absorb?
[00:24:01.760 --> 00:24:07.040]   They wouldn't conquer and then like, like everybody a part of this nation over here
[00:24:07.040 --> 00:24:08.960]   now, they're just Romans.
[00:24:08.960 --> 00:24:15.280]   But they would continue to give their own identity, but they will colonize them in that
[00:24:15.280 --> 00:24:16.280]   manner.
[00:24:16.280 --> 00:24:19.000]   All right, so there's a statue in Daniel chapter 7.
[00:24:19.000 --> 00:24:22.440]   So can you turn there, verse 3?
[00:24:22.440 --> 00:24:29.920]   Daniel chapter 7, verse 3 through 8.
[00:24:29.920 --> 00:24:31.120]   So statue of four parts.
[00:24:31.120 --> 00:24:35.040]   Now we're going to talk about a dream of four beasts.
[00:24:35.040 --> 00:24:36.040]   Again four.
[00:24:36.040 --> 00:24:40.520]   Verse 3, "And four great beasts came up out of the sea, different from one another.
[00:24:40.520 --> 00:24:43.040]   The first was like a lion and had eagle's wings.
[00:24:43.040 --> 00:24:45.720]   Then as I looked, its wings were plucked off and it was lifted up from the ground and made
[00:24:45.720 --> 00:24:48.960]   to stand on two feet like a man and the mind of a man was given to it.
[00:24:48.960 --> 00:24:51.680]   And behold, another beast, a second one like a bear.
[00:24:51.680 --> 00:24:54.960]   It was raised up on one side and it had three ribs in its mouth between its teeth and it
[00:24:54.960 --> 00:24:57.480]   was told, 'Arise, devour much flesh.'
[00:24:57.480 --> 00:25:00.720]   After this I looked and behold, another like a leopard with four wings of a bird on its
[00:25:00.720 --> 00:25:01.720]   back.
[00:25:01.720 --> 00:25:04.280]   And the beast had four heads and dominion was given to it.
[00:25:04.280 --> 00:25:09.240]   After this I saw in the night visions and behold, a fourth beast, terrifying and dreadful
[00:25:09.240 --> 00:25:10.360]   and exceedingly strong.
[00:25:10.360 --> 00:25:13.880]   It had great iron teeth and it devoured and broke in pieces stamped what was left with
[00:25:13.880 --> 00:25:14.880]   its feet.
[00:25:14.880 --> 00:25:18.120]   It was different from all the beasts that were before it and it had ten horns.
[00:25:18.120 --> 00:25:21.760]   I considered the horns and behold, there came up among them another horn, a little one,
[00:25:21.760 --> 00:25:24.520]   before which three of the first horns were plucked up by the roots.
[00:25:24.520 --> 00:25:29.680]   And behold, in this horn were eyes like the eyes of a man and a mouth speaking great things."
[00:25:29.680 --> 00:25:34.000]   So now four beasts again, the first three are labeled, the fourth one it says is different
[00:25:34.000 --> 00:25:35.840]   than the rest.
[00:25:35.840 --> 00:25:40.200]   And out of this one, ten horns spring out, just like the ten toes that were seen in the
[00:25:40.200 --> 00:25:43.320]   statues.
[00:25:43.320 --> 00:25:46.920]   Now if you swing over to verse 23, he interprets it.
[00:25:46.920 --> 00:25:51.400]   "Thus he said, 'As for the fourth beast, there shall be a fourth kingdom on earth which
[00:25:51.400 --> 00:25:53.200]   shall be different from all the kingdoms.
[00:25:53.200 --> 00:25:56.380]   It shall devour the whole earth and trample it down and break it to pieces.
[00:25:56.380 --> 00:26:00.160]   As for the ten horns, out of this kingdom, ten kings shall arise and another shall arise
[00:26:00.160 --> 00:26:01.160]   after them.
[00:26:01.160 --> 00:26:03.960]   He shall be different from the former ones and shall put down three kings.
[00:26:03.960 --> 00:26:07.240]   He shall speak words against the most high and shall wear out the saints of the most
[00:26:07.240 --> 00:26:11.720]   high and shall think to change the times and the law and they shall be given into his hand
[00:26:11.720 --> 00:26:14.840]   for a time, times, and half a time.'"
[00:26:14.840 --> 00:26:17.400]   And it continues here.
[00:26:17.400 --> 00:26:19.840]   Things should be like perking up your ears now, right?
[00:26:19.840 --> 00:26:22.920]   Interesting, interesting stuff that this kingdom is going to arise and then there's just going
[00:26:22.920 --> 00:26:26.960]   to be this one person that comes out of it who is going to speak words against the most
[00:26:26.960 --> 00:26:29.600]   high and wear out the saints of the most high.
[00:26:29.600 --> 00:26:31.920]   Very different than the imagery of the beast, right?
[00:26:31.920 --> 00:26:33.320]   He's describing what the beast is.
[00:26:33.320 --> 00:26:34.320]   It's a kingdom.
[00:26:34.320 --> 00:26:37.280]   Now he's saying out of this kingdom, a person is going to arise.
[00:26:37.280 --> 00:26:42.160]   So now if he's describing the vision, then this is no longer symbolism, right?
[00:26:42.160 --> 00:26:46.120]   So when we're reading the vision itself, we're thinking symbols.
[00:26:46.120 --> 00:26:50.120]   These aren't actual beasts that are going to arise because later on he says these are
[00:26:50.120 --> 00:26:51.320]   kingdoms.
[00:26:51.320 --> 00:26:56.080]   But now when he's describing it again, I'm saying this so you get it, an actual person
[00:26:56.080 --> 00:26:58.680]   is going to arise out of this kingdom.
[00:26:58.680 --> 00:27:04.160]   And it says in verse 25, he's going to wear out the saints of the most high for three
[00:27:04.160 --> 00:27:05.640]   and a half years, right?
[00:27:05.640 --> 00:27:07.520]   That we already learned what that is now.
[00:27:07.520 --> 00:27:08.520]   Okay.
[00:27:08.520 --> 00:27:17.440]   Now I'll turn to Daniel chapter 9, verse 24.
[00:27:17.440 --> 00:27:23.000]   Verse 24 says, "Seventy weeks are decreed about your people and your holy city to finish
[00:27:23.000 --> 00:27:28.040]   the transgression, to put an end to sin and to atone for iniquity, to bring in everlasting
[00:27:28.040 --> 00:27:32.080]   righteousness, to seal both vision and profit, and to anoint a most holy place.
[00:27:32.080 --> 00:27:35.880]   Know therefore and understand that from the going out of the word, to restore and build
[00:27:35.880 --> 00:27:40.400]   Jerusalem to the coming of an anointed one," mark that one in your mind, "a prince, there
[00:27:40.400 --> 00:27:41.760]   shall be seven weeks.
[00:27:41.760 --> 00:27:46.460]   Then for 62 weeks it shall be built again with squares and moat, but in a troubled time.
[00:27:46.460 --> 00:27:50.880]   And after the 62 weeks, an anointed one shall be cut off and shall have nothing.
[00:27:50.880 --> 00:27:54.880]   And the people of the prince who is to come shall destroy the city and the sanctuary.
[00:27:54.880 --> 00:27:59.000]   Its end shall come with a flood, and to the end there shall be a war.
[00:27:59.000 --> 00:28:03.080]   Desolations are decreed," mark that one in your mind, "and he shall make a strong covenant
[00:28:03.080 --> 00:28:04.580]   with many for one week."
[00:28:04.580 --> 00:28:06.480]   Notice that this is now a person.
[00:28:06.480 --> 00:28:09.920]   "He shall make a strong covenant with many for one week, and for half of the week he
[00:28:09.920 --> 00:28:14.320]   shall put an end to sacrifice and offering, and on the wings of abominations shall come
[00:28:14.320 --> 00:28:19.480]   one who makes desolate until the decreed end is poured out on the desolator."
[00:28:19.480 --> 00:28:22.480]   Now you're hearing repeating words now, right?
[00:28:22.480 --> 00:28:24.800]   We see desolations are decreed.
[00:28:24.800 --> 00:28:27.240]   We're seeing he's going to make things desolate.
[00:28:27.240 --> 00:28:31.640]   And we're seeing also that something's going to be poured out upon the desolator.
[00:28:31.640 --> 00:28:34.440]   There's going to be abominations during this time.
[00:28:34.440 --> 00:28:37.560]   And it says these strange numbers, right, these weeks.
[00:28:37.560 --> 00:28:39.320]   And these are the 70 weeks.
[00:28:39.320 --> 00:28:41.400]   Now let me explain a little bit of what the 70 weeks are.
[00:28:41.400 --> 00:28:45.440]   If we go to the next slide.
[00:28:45.440 --> 00:28:48.080]   So it says that there's going to be, yeah, back to that one.
[00:28:48.080 --> 00:28:52.160]   So it says that there's going to be seven weeks, and then there's going to be 62 weeks,
[00:28:52.160 --> 00:28:54.880]   and then there's going to be one week.
[00:28:54.880 --> 00:29:00.080]   Now for the sake of time, we're going to jump past the time in between the seven and 62
[00:29:00.080 --> 00:29:01.080]   weeks, okay?
[00:29:01.080 --> 00:29:03.240]   And there's a time in between the 62 and one week.
[00:29:03.240 --> 00:29:09.160]   And it says here, if you guys could look down, that between that time, let's see here, it's
[00:29:09.160 --> 00:29:12.360]   in verse 26.
[00:29:12.360 --> 00:29:19.680]   After the 62 weeks, an anointed one shall be cut off and shall have nothing.
[00:29:19.680 --> 00:29:23.920]   Now weeks were a way for them to describe years.
[00:29:23.920 --> 00:29:27.640]   So let me explain this to you.
[00:29:27.640 --> 00:29:32.600]   One week is seven years.
[00:29:32.600 --> 00:29:33.920]   Every day being one year.
[00:29:33.920 --> 00:29:35.600]   This was a common practice.
[00:29:35.600 --> 00:29:38.440]   So this isn't something you need to like question, okay?
[00:29:38.440 --> 00:29:40.960]   This is like, just take my word for this one.
[00:29:40.960 --> 00:29:46.960]   So then seven weeks is how many years?
[00:29:46.960 --> 00:29:48.640]   Seven weeks is how many years?
[00:29:48.640 --> 00:29:50.080]   One week is seven years.
[00:29:50.080 --> 00:29:51.080]   So seven weeks is?
[00:29:51.080 --> 00:29:52.080]   49.
[00:29:52.080 --> 00:29:53.080]   49 years, yeah!
[00:29:53.080 --> 00:29:54.080]   Okay, cool.
[00:29:54.080 --> 00:29:56.520]   You guys could clap for her.
[00:29:56.520 --> 00:29:57.520]   All right.
[00:29:57.520 --> 00:30:00.200]   62 weeks then is how many, B?
[00:30:00.200 --> 00:30:05.160]   Okay, I can't even remember.
[00:30:05.160 --> 00:30:06.160]   I forgot.
[00:30:06.160 --> 00:30:07.160]   62 times seven.
[00:30:07.360 --> 00:30:09.520]   All right, so it's like 400 something years.
[00:30:09.520 --> 00:30:13.800]   And then it says there's gonna be one week, which is?
[00:30:13.800 --> 00:30:14.800]   Seven years.
[00:30:14.800 --> 00:30:16.240]   Okay, cool.
[00:30:16.240 --> 00:30:18.080]   So let's do it this way.
[00:30:18.080 --> 00:30:21.880]   There's going to be 69 years, right?
[00:30:21.880 --> 00:30:26.800]   If we, I'm sorry, 69 weeks, the first two numbers there.
[00:30:26.800 --> 00:30:29.840]   And 69 weeks is what, 483?
[00:30:29.840 --> 00:30:32.840]   Something like that, 483 years.
[00:30:32.840 --> 00:30:33.840]   Yes?
[00:30:33.840 --> 00:30:35.960]   Everyone with me for now?
[00:30:35.960 --> 00:30:38.080]   These numbers are fairly important.
[00:30:38.080 --> 00:30:39.080]   Everyone with me?
[00:30:39.080 --> 00:30:40.080]   Okay.
[00:30:40.080 --> 00:30:44.200]   And it says after 483 years that the anointed one is gonna be cut off.
[00:30:44.200 --> 00:30:48.120]   Now who do you guys think the anointed one is?
[00:30:48.120 --> 00:30:50.360]   Jesus.
[00:30:50.360 --> 00:30:53.400]   We don't have the time to go into the timeline of this.
[00:30:53.400 --> 00:31:01.000]   But the time when this kind of like this timer is set off is from this part of this time
[00:31:01.000 --> 00:31:04.800]   when King Artaxerxes, he decreed.
[00:31:04.800 --> 00:31:13.080]   He made this decree about the, and this was in the time of Medo-Persia when he gave Israel
[00:31:13.080 --> 00:31:18.080]   the time to rebuild the temple and rebuild the city walls and all these types of things.
[00:31:18.080 --> 00:31:20.480]   And there was a year that this was set off.
[00:31:20.480 --> 00:31:25.800]   And about 483 years after that is actually around the time when Jesus Christ was crucified
[00:31:25.800 --> 00:31:28.160]   on the cross.
[00:31:28.160 --> 00:31:29.160]   Which is very interesting.
[00:31:29.160 --> 00:31:32.240]   Now, that leaves us one week, right?
[00:31:32.240 --> 00:31:35.800]   We're like, man, Daniel got it.
[00:31:35.800 --> 00:31:38.880]   Daniel somehow figured out, and he didn't figure it out, right?
[00:31:38.880 --> 00:31:46.960]   It was a vision, that 483 years after the time there is going to be a Christ who is
[00:31:46.960 --> 00:31:50.560]   cut off, crucified in our case.
[00:31:50.560 --> 00:31:53.800]   And then this one week is going to be happening.
[00:31:53.800 --> 00:31:57.200]   And this one week is gonna be a time where it's talking about this abomination, it's
[00:31:57.200 --> 00:32:01.560]   talking about these desolations, it's talking about this one guy that's gonna arise.
[00:32:01.560 --> 00:32:05.080]   And for how long is this person going to rule and reign?
[00:32:05.080 --> 00:32:06.600]   If you guys look down at the text.
[00:32:06.600 --> 00:32:08.840]   I'm gonna make you guys look for it.
[00:32:08.840 --> 00:32:10.780]   Look down.
[00:32:10.780 --> 00:32:18.560]   How long will this guy kind of have, like not sovereign rule, but like have control?
[00:32:18.560 --> 00:32:23.080]   It's half the what?
[00:32:23.080 --> 00:32:25.400]   Half the seven years, half the week, right?
[00:32:25.400 --> 00:32:26.720]   So it's gonna be how many years?
[00:32:26.720 --> 00:32:28.560]   Three and a half years.
[00:32:28.560 --> 00:32:31.680]   Okay now, things are starting to click a little bit, right, as you go through the book of
[00:32:31.680 --> 00:32:32.680]   Daniel.
[00:32:32.680 --> 00:32:35.680]   All right.
[00:32:35.680 --> 00:32:42.160]   Now turn to Daniel chapter 12.
[00:32:42.160 --> 00:32:46.880]   Now Daniel's concluding his prophetic book here.
[00:32:46.880 --> 00:32:47.880]   Poor Daniel.
[00:32:47.880 --> 00:32:52.240]   You know, like, just got owned through this book.
[00:32:52.240 --> 00:32:55.800]   Have you guys ever had like the most intense dream, and you wake up and your whole body
[00:32:55.800 --> 00:32:57.120]   is just like shaking and stuff?
[00:32:57.120 --> 00:32:59.360]   Poor Daniel, right?
[00:32:59.360 --> 00:33:02.000]   Chapter 12, verse 1, it says, "At that time shall arise Michael."
[00:33:02.000 --> 00:33:06.280]   Do you guys remember when Michael came out in Revelation?
[00:33:06.280 --> 00:33:07.280]   Chapter 12.
[00:33:07.280 --> 00:33:11.680]   "The great prince who has charge of your people, and there shall be a time of trouble such
[00:33:11.680 --> 00:33:16.740]   as never has been since there was a nation till that time.
[00:33:16.740 --> 00:33:21.240]   But at that time," he's talking about future events, "your people shall be delivered.
[00:33:21.240 --> 00:33:24.560]   Everyone whose name shall be found written in the book, and many of those who sleep in
[00:33:24.560 --> 00:33:29.880]   the dust of the earth shall awake, some to everlasting life, and some to shame and everlasting
[00:33:29.880 --> 00:33:30.880]   contempt.
[00:33:30.880 --> 00:33:34.040]   And those who are wise shall shine like the brightness of the sky above, and those who
[00:33:34.040 --> 00:33:36.960]   turn, many to righteousness like the stars forever and ever.
[00:33:36.960 --> 00:33:41.440]   But you, Daniel, shut up the words and seal the book until the time of the end.
[00:33:41.440 --> 00:33:46.240]   Many shall run to and fro, and knowledge shall increase."
[00:33:46.240 --> 00:33:52.000]   So he is told, "Shut this book."
[00:33:52.000 --> 00:33:54.600]   But we never find out what happens in that last week.
[00:33:54.600 --> 00:33:56.800]   You're like, "Oh, no, no!"
[00:33:56.800 --> 00:34:00.480]   You're like, "Ah, what happened?"
[00:34:00.480 --> 00:34:03.760]   And so there is so much debating going on, right?
[00:34:03.760 --> 00:34:07.880]   Now do you guys know the intertestamental period, the time between the New Testament
[00:34:07.880 --> 00:34:11.840]   and Old Testament, about how long that silent period was?
[00:34:11.840 --> 00:34:13.680]   Anyone?
[00:34:13.680 --> 00:34:17.160]   If you think you know, just say it out loud.
[00:34:17.160 --> 00:34:18.160]   70?
[00:34:18.160 --> 00:34:19.160]   No.
[00:34:19.160 --> 00:34:20.160]   About 400.
[00:34:20.160 --> 00:34:21.160]   Okay, about 400.
[00:34:21.320 --> 00:34:25.800]   Okay, about 400 years of silence.
[00:34:25.800 --> 00:34:29.320]   We always look through the Old Testament, we think it's written in some kind of chronology
[00:34:29.320 --> 00:34:32.240]   or whatever, but it's not.
[00:34:32.240 --> 00:34:35.240]   So it's not like what happens in the very beginning.
[00:34:35.240 --> 00:34:40.400]   If you ever had a chronological Bible, it will show you exactly when things were written.
[00:34:40.400 --> 00:34:45.640]   So things like what happens in Nehemiah, even though that's found more in the middle of
[00:34:45.640 --> 00:34:50.400]   the New Testament, that's something that chronologically happens towards the end when things are rebuilt.
[00:34:50.400 --> 00:34:59.240]   And so when Daniel is prophesying this, it is around the time before when God stops speaking
[00:34:59.240 --> 00:35:01.120]   to prophets.
[00:35:01.120 --> 00:35:03.280]   So it is around that time.
[00:35:03.280 --> 00:35:10.600]   And he's told here to shut this book, we never find out what happens about that one week,
[00:35:10.600 --> 00:35:18.760]   and then we finally get to Revelation, until we find out what he's talking about.
[00:35:18.760 --> 00:35:21.600]   Now there's a huge gap then, right?
[00:35:21.600 --> 00:35:22.600]   There's a huge gap.
[00:35:22.600 --> 00:35:25.600]   And if you guys are putting two and two together, it's not that hard to understand that this
[00:35:25.600 --> 00:35:30.360]   last week is the tribulation period that we've been talking about for a while.
[00:35:30.360 --> 00:35:31.800]   Now what is that gap?
[00:35:31.800 --> 00:35:34.800]   Why does God function in this kind of way?
[00:35:34.800 --> 00:35:36.040]   It almost doesn't make sense.
[00:35:36.040 --> 00:35:40.920]   How could a logical God say there's going to be 70 weeks, and then it's like there's
[00:35:40.920 --> 00:35:48.080]   69, and arbitrarily all this time in between until one day God says that now's the time?
[00:35:48.080 --> 00:35:51.760]   Well, think about it.
[00:35:51.760 --> 00:35:58.160]   It says in 2 Peter 3 that to God, a thousand years is what?
[00:35:58.160 --> 00:36:04.800]   It's like a day, and a day is like a thousand years.
[00:36:04.800 --> 00:36:06.920]   A thousand years is like a day.
[00:36:06.920 --> 00:36:11.840]   So for him, time is not anything of that much importance.
[00:36:11.840 --> 00:36:15.840]   It's something that he uses to help us, but for an eternal God, he sees in a different
[00:36:15.840 --> 00:36:16.840]   manner.
[00:36:16.840 --> 00:36:17.840]   Now think about it.
[00:36:17.840 --> 00:36:19.760]   God says that the offspring would come to Eve.
[00:36:19.760 --> 00:36:22.640]   We talked about the offspring last week, the singular offspring.
[00:36:22.640 --> 00:36:26.680]   And Galatians, Paul told us the answer to that.
[00:36:26.680 --> 00:36:30.640]   It's going to be the Christ, the Messiah.
[00:36:30.640 --> 00:36:32.080]   Would come, what did they think?
[00:36:32.080 --> 00:36:34.320]   They were looking at the babies they were bearing.
[00:36:34.320 --> 00:36:35.720]   Like, is this the offspring?
[00:36:35.720 --> 00:36:37.920]   Is it going to be Abel?
[00:36:37.920 --> 00:36:42.160]   And Abel gets killed, and then, "Oh no, Cain, how could you?
[00:36:42.160 --> 00:36:44.040]   You don't want to lose him.
[00:36:44.040 --> 00:36:45.040]   We're doomed."
[00:36:45.040 --> 00:36:46.360]   It could be like that way, but it's not.
[00:36:46.360 --> 00:36:54.120]   And so from there, they're constantly looking for the Messiah for thousands of years.
[00:36:54.120 --> 00:36:55.960]   They're like, "What is this?
[00:36:55.960 --> 00:36:58.240]   God, how can you say that the offspring is going to come?
[00:36:58.240 --> 00:37:00.360]   Eve, you're going to bear an offspring?"
[00:37:00.360 --> 00:37:05.120]   And then finally, thousands and thousands and thousands of years later, we get to this
[00:37:05.120 --> 00:37:10.000]   point, and it's like, "Oh, there's Jesus."
[00:37:10.000 --> 00:37:12.640]   So God functions in this manner.
[00:37:12.640 --> 00:37:17.200]   In Galatians 4, verse 4, it actually says something about the gospel, about when Jesus
[00:37:17.200 --> 00:37:18.200]   is going to be born.
[00:37:18.200 --> 00:37:22.480]   It says, "When the fullness of time came."
[00:37:22.480 --> 00:37:28.280]   For God, there is a fulfilling of the gospel according to his timing, according to the
[00:37:28.280 --> 00:37:29.560]   fullness of time.
[00:37:29.560 --> 00:37:41.600]   Galatians 4, verse 4, if you guys want to look that one up.
[00:37:41.600 --> 00:37:48.200]   And so now in Daniel, we see that there's going to be these four kingdoms.
[00:37:48.200 --> 00:37:52.840]   We're going to see out of this one kingdom, this person is going to come out, and this
[00:37:52.840 --> 00:37:56.960]   one person is going to be doing something for three and a half years.
[00:37:56.960 --> 00:37:59.720]   And during that three and a half year period, there's going to be something called the abomination
[00:37:59.720 --> 00:38:00.720]   of desolation.
[00:38:00.720 --> 00:38:04.160]   That's what we know through Daniel.
[00:38:04.160 --> 00:38:11.880]   Can you turn with me to Matthew, chapter 24?
[00:38:11.880 --> 00:38:14.760]   Now we're fast-forwarding, right?
[00:38:14.760 --> 00:38:20.720]   Now imagine all this historical stuff that happens in between the time of Daniel and
[00:38:20.720 --> 00:38:23.880]   the time of this book, Matthew.
[00:38:23.880 --> 00:38:27.400]   Matthew, chapter 24, and here's Jesus.
[00:38:27.400 --> 00:38:33.080]   This is called the Olivet Discourse, meaning this is actually the last discourse that he
[00:38:33.080 --> 00:38:37.080]   preaches in Matthew, one of the last things he preaches to his disciples.
[00:38:37.080 --> 00:38:41.120]   And he's telling them of the signs of the close of the age in verse 3.
[00:38:41.120 --> 00:38:42.120]   So look down at verse 3.
[00:38:42.120 --> 00:38:45.720]   It says, "As he sat on the Mount of Olives, the disciples came to him privately, saying,
[00:38:45.720 --> 00:38:47.520]   'Tell us, when will these things be?
[00:38:47.520 --> 00:38:50.840]   And what will be the sign of your coming and of the close of the age?'"
[00:38:50.840 --> 00:38:52.760]   Isn't that cool?
[00:38:52.760 --> 00:38:58.040]   They know that Jesus, he has said it like now, that he's going to be leaving, and so
[00:38:58.040 --> 00:39:00.560]   they're saying, "This time of your coming, tell us."
[00:39:00.560 --> 00:39:04.280]   And Jesus answered them, "See that no one leads you astray, for many will come in my
[00:39:04.280 --> 00:39:07.520]   name saying, 'I am the Christ,' and they will lead many astray.
[00:39:07.520 --> 00:39:09.540]   And you will hear of wars and rumors of wars.
[00:39:09.540 --> 00:39:12.320]   See that you are not alarmed, for this must take place."
[00:39:12.320 --> 00:39:13.320]   Get this part.
[00:39:13.320 --> 00:39:17.680]   "But the end is not yet."
[00:39:17.680 --> 00:39:18.680]   That's key.
[00:39:18.680 --> 00:39:21.720]   "For nation will rise against nation and kingdom against kingdom, and there will be famines
[00:39:21.720 --> 00:39:23.280]   and earthquakes in various places.
[00:39:23.280 --> 00:39:26.440]   All these are but the beginning of the birth pains."
[00:39:26.440 --> 00:39:31.480]   Meaning, these are like the contractions that happen in the beginning, before you give birth.
[00:39:31.480 --> 00:39:33.080]   Meaning this is not the birthing period.
[00:39:33.080 --> 00:39:37.360]   Verse 9, "Then they will deliver you up to tribulation and put you to death, and you
[00:39:37.360 --> 00:39:39.720]   will be hated by all nations for my name's sake.
[00:39:39.720 --> 00:39:42.440]   And then many will fall away and betray one another and hate one another.
[00:39:42.440 --> 00:39:44.800]   Many false prophets will arise and lead many astray.
[00:39:44.800 --> 00:39:47.840]   And because lawlessness will be increased and the love of many will grow cold, but the
[00:39:47.840 --> 00:39:49.640]   one who endures to the end will be saved.
[00:39:49.640 --> 00:39:52.560]   And this gospel of the kingdom will be proclaimed throughout the whole world as a testimony
[00:39:52.560 --> 00:39:53.560]   to all nations.
[00:39:53.560 --> 00:39:57.400]   And then the end will come."
[00:39:57.400 --> 00:40:03.000]   This is all before the tribulation as we know it.
[00:40:03.000 --> 00:40:04.000]   Now verse 15.
[00:40:04.000 --> 00:40:06.440]   So the end has come, right?
[00:40:06.440 --> 00:40:12.240]   "So when you see the abomination of desolation spoken of by the prophet Daniel standing in
[00:40:12.240 --> 00:40:17.280]   the holy place," that is, that this person is going to go into the holy place and trample
[00:40:17.280 --> 00:40:18.280]   it.
[00:40:18.280 --> 00:40:22.200]   And verse 15, this is so tongue-in-cheek, right?
[00:40:22.200 --> 00:40:23.200]   Let the reader understand.
[00:40:23.200 --> 00:40:26.840]   Verse 16, "Then let those who are in Judea flee to the mountains.
[00:40:26.840 --> 00:40:29.680]   Let the one who is on the housetop not go down to take what is in the house, and let
[00:40:29.680 --> 00:40:31.680]   the one who is in the field not turn back to take his cloak.
[00:40:31.680 --> 00:40:35.600]   And alas for women who are pregnant and for those who are nursing infants in those days.
[00:40:35.600 --> 00:40:39.480]   Pray that your flight may not be in winter or in Sabbath, for then there will be a great
[00:40:39.480 --> 00:40:44.160]   tribulation such as has not been from the beginning of the world until now, no, and
[00:40:44.160 --> 00:40:45.160]   never will be.
[00:40:45.160 --> 00:40:48.480]   And if those days had not been cut short, no human being would be saved.
[00:40:48.480 --> 00:40:50.840]   But for the sake of the elect, those days will be cut short.
[00:40:50.840 --> 00:40:56.560]   Then if anyone says to you, 'Look, here is the Christ,' or 'There he is,' do not believe
[00:40:56.560 --> 00:41:03.600]   it, for false Christs and false prophets will arise and perform great signs and wonders
[00:41:03.600 --> 00:41:07.640]   so as to lead astray, if possible, even the elect."
[00:41:07.640 --> 00:41:09.880]   See I have told you beforehand, he's saying that.
[00:41:09.880 --> 00:41:14.560]   He's saying, "Hey, I'm warning you of this."
[00:41:14.560 --> 00:41:16.920]   So if they say to you, "Look, he is in the wilderness," do not go out.
[00:41:16.920 --> 00:41:19.720]   If they say, "Look, he is in inner rooms," do not believe it, for as lightning comes
[00:41:19.720 --> 00:41:24.240]   from the east and shines as far as the west, so will be the coming of the Son of Man.
[00:41:24.240 --> 00:41:27.080]   Wherever the corpse is, there the vultures will gather.
[00:41:27.080 --> 00:41:30.760]   Verse 29, "Immediately after tribulation of those days, the sun will be darkened and the
[00:41:30.760 --> 00:41:34.160]   moon will not give its light, and the stars will fall from heaven, and the powers of the
[00:41:34.160 --> 00:41:35.400]   heavens will be shaken.
[00:41:35.400 --> 00:41:39.000]   Then will appear in heaven the sign of the Son of Man, and then all the tribes of the
[00:41:39.000 --> 00:41:43.680]   earth will mourn, and they will see the Son of Man coming on the clouds of heaven with
[00:41:43.680 --> 00:41:48.120]   power and great glory, and he will send out his angels with a loud trumpet call, and they
[00:41:48.120 --> 00:41:52.680]   will gather his elect from the four winds from one end of heaven to the other."
[00:41:52.680 --> 00:41:55.800]   There is going to be a time when we look up into the heavens and into the clouds, and
[00:41:55.800 --> 00:41:59.000]   we're going to see the coming of the Son of Man, right?
[00:41:59.000 --> 00:42:01.640]   Jesus' second coming.
[00:42:01.640 --> 00:42:07.640]   Now we are called to decipher all this stuff.
