
[00:00:00.000 --> 00:00:07.320]   Good evening, Church family.
[00:21:36.680 --> 00:21:41.000]   Because within our framework of mind, we have a gauge.
[00:21:41.000 --> 00:21:45.520]   Every single one of us exercises a kind of bar, a standard.
[00:21:45.520 --> 00:21:47.000]   And I'm going to ask you this question.
[00:21:47.000 --> 00:21:54.320]   Have you adopted this measure or have you set the bar wherever you're comfortable?
[00:21:54.320 --> 00:22:00.240]   What is your comfortable, like a, sorry, what to do, what degree are you comfortable with
[00:22:00.240 --> 00:22:02.920]   this stuff is the question, right?
[00:22:02.920 --> 00:22:05.400]   What am I saying?
[00:22:05.400 --> 00:22:10.760]   I think in this generation, people definitely, I mean, this is my opinion, but I think most
[00:22:10.760 --> 00:22:16.800]   of you guys will probably agree with me that in this generation, we live in a very permissive,
[00:22:16.800 --> 00:22:20.000]   excuse-oriented generation.
[00:22:20.000 --> 00:22:27.640]   And given that, the bar in terms of what is appropriate, what is fitting, constantly moves.
[00:22:27.640 --> 00:22:31.040]   And if you talk to anybody in the previous generation, they're like, "Oh my goodness,
[00:22:31.040 --> 00:22:32.360]   we would have never even done that.
[00:22:32.360 --> 00:22:35.600]   We would never even, that would have, people would have been ashamed of that kind of stuff,"
[00:22:35.600 --> 00:22:36.600]   right?
[00:22:36.600 --> 00:22:37.600]   There's talks like that.
[00:22:37.600 --> 00:22:43.200]   And the thing about it is, in this generation, not only are we like that, but we're defensive
[00:22:43.200 --> 00:22:44.200]   and we're sensitive.
[00:22:44.200 --> 00:22:46.360]   If someone says, "Hey, that's not right," it's like, "Who are you to tell me what's
[00:22:46.360 --> 00:22:47.360]   not right?"
[00:22:47.360 --> 00:22:50.280]   "Hey, that's inappropriate," like, "Inappropriate?
[00:22:50.280 --> 00:22:51.280]   What do you mean inappropriate?
[00:22:51.280 --> 00:22:55.040]   That sounds like," and then they get all defensive like that.
[00:22:55.040 --> 00:22:59.160]   But for us, we have to make sure we're not setting the bar by what you're comfortable
[00:22:59.160 --> 00:23:02.480]   with because we believe in God.
[00:23:02.480 --> 00:23:06.320]   Our Father sets what we should be comfortable with.
[00:23:06.320 --> 00:23:10.040]   And what he says here is a measure that says it should be way over here.
[00:23:10.040 --> 00:23:15.560]   There must not even be a hint of sexual immorality or any kind of impurity in you.
[00:23:15.560 --> 00:23:17.680]   Have you adopted that?
[00:23:17.680 --> 00:23:25.400]   Now, this being said, I want to move to thinking about this with the categories that he says,
[00:23:25.400 --> 00:23:28.280]   that there should be no immorality, impurity, or greed.
[00:23:28.280 --> 00:23:31.760]   There shouldn't be any filthiness, silly talk, or coarse chesting.
[00:23:31.760 --> 00:23:35.240]   If you even take a moment to think about these two categories, and these two categories I
[00:23:35.240 --> 00:23:37.680]   asked for DC themes, and yes, there is.
[00:23:37.680 --> 00:23:42.920]   Immorality, impurity, and greed, essentially it is talking about that kind of lustfulness,
[00:23:42.920 --> 00:23:46.160]   passions, maybe sexual pleasures.
[00:23:46.160 --> 00:23:50.120]   And so essentially what you have is this self-oriented input.
[00:23:50.120 --> 00:23:53.840]   And then with filthiness, silly talk, and coarse chesting, you have output, the stuff
[00:23:53.840 --> 00:23:55.880]   that comes out of your mouth.
[00:23:55.880 --> 00:23:57.980]   Both ways it should be pure, right?
[00:23:57.980 --> 00:23:58.980]   It should be pure.
[00:23:58.980 --> 00:24:03.400]   But we are talking about the degree of purity, and I'm emphasizing that more because I want
[00:24:03.400 --> 00:24:04.680]   you to think about this.
[00:24:04.680 --> 00:24:09.200]   To what degree and measure did Christ expect when he was teaching the disciples about our
[00:24:09.200 --> 00:24:10.880]   purity?
[00:24:10.880 --> 00:24:15.760]   He says, when you even look at that woman, and you sit in your heart, you have an adulterous
[00:24:15.760 --> 00:24:18.200]   heart, right?
[00:24:18.200 --> 00:24:21.280]   He wanted purity even right up here.
[00:24:21.280 --> 00:24:24.400]   He wanted purity even in the fantasy lands of our mind.
[00:24:24.400 --> 00:24:25.880]   He wanted purity even of our speech.
[00:24:25.880 --> 00:24:30.120]   He said, if you call your brother a fool, you're going to be condemned.
[00:24:30.120 --> 00:24:32.200]   I want us to think about that.
[00:24:32.200 --> 00:24:37.240]   Now because you guys have done your own study, I'm going to leave this to you to discuss
[00:24:37.240 --> 00:24:40.040]   to what degree we should be fighting these things.
[00:24:40.040 --> 00:24:45.880]   How can we even raise our standards, especially personally for ourselves, to what measure
[00:24:45.880 --> 00:24:48.480]   are we striving now?
[00:24:48.480 --> 00:24:53.840]   So moving to the next part, section three.
[00:24:53.840 --> 00:24:56.280]   I'm sorry, I should have edited that.
[00:24:56.280 --> 00:24:58.780]   It should say point three versus five and six.
[00:24:58.780 --> 00:25:03.480]   So if the first two verses was commands, the second two verses is going to be the rationale.
[00:25:03.480 --> 00:25:05.220]   It doesn't fit at all.
[00:25:05.220 --> 00:25:10.080]   And this last section is called the sobering reality, verses five and six.
[00:25:10.080 --> 00:25:12.520]   Let me read for us what the sobering reality is.
[00:25:12.520 --> 00:25:13.520]   There it is.
[00:25:13.520 --> 00:25:14.520]   Okay.
[00:25:14.520 --> 00:25:19.600]   He says, for this you know with certainty that no immoral or impure person or covetous
[00:25:19.600 --> 00:25:24.240]   man who is an adulterer has an inheritance in the kingdom of Christ and God.
[00:25:24.240 --> 00:25:27.880]   Let no one deceive you with empty words for because of these things, the wrath of God
[00:25:27.880 --> 00:25:31.200]   comes upon the sons of disobedience.
[00:25:31.200 --> 00:25:32.400]   Okay.
[00:25:32.400 --> 00:25:37.620]   So notice how he says for this, you should know with certainty, you should already know
[00:25:37.620 --> 00:25:40.280]   this stuff and you should already know this stuff.
[00:25:40.280 --> 00:25:42.440]   Well, what should we know?
[00:25:42.440 --> 00:25:48.520]   Well, if we summarize those two sections, it can be summarized this way, which is first
[00:25:48.520 --> 00:25:54.840]   that immoral, the immoral person who practices immorality, impurity, and greed, that kind
[00:25:54.840 --> 00:25:58.300]   of selfishness will go to hell.
[00:25:58.300 --> 00:26:01.860]   That is a massive category in our minds.
[00:26:01.860 --> 00:26:03.420]   That's a massive gospel truth.
[00:26:03.420 --> 00:26:08.740]   What's more, it says God's wrath is coming upon the disobedient, right?
[00:26:08.740 --> 00:26:11.400]   God's wrath is coming upon disobedient.
[00:26:11.400 --> 00:26:17.300]   I want to share this with you guys that it is so important for us to have the proper
[00:26:17.300 --> 00:26:24.220]   worldview, not as how the rest of the world sees it, not as how some people, some pockets
[00:26:24.220 --> 00:26:31.820]   of individuals sees it, but as God is teaching you, this is how you should see this generation.
[00:26:31.820 --> 00:26:34.700]   It's a perverse generation.
[00:26:34.700 --> 00:26:39.640]   And this perverse generation without Christ is going to go to hell.
[00:26:39.640 --> 00:26:43.720]   And as we think about that, I want you to realize that where you stand versus where
[00:26:43.720 --> 00:26:47.160]   a non-Christian stands, there is a massive line.
[00:26:47.160 --> 00:26:49.000]   It's a huge gap.
[00:26:49.000 --> 00:26:52.920]   That line is eternal.
[00:26:52.920 --> 00:26:54.880]   Think about that.
[00:26:54.880 --> 00:27:00.400]   So this should completely inform us in terms of how we react to things in life, how we
[00:27:00.400 --> 00:27:04.840]   see our decisions, and especially when we have the temptation to live according to the
[00:27:04.840 --> 00:27:09.600]   world, to think like the world, these truths should affect us.
[00:27:09.600 --> 00:27:15.560]   We know that this world is going to experience the wrath of God.
[00:27:15.560 --> 00:27:20.840]   What I realize is as I'm thinking about this, sometimes you have individuals who just, they
[00:27:20.840 --> 00:27:22.360]   love the world.
[00:27:22.360 --> 00:27:24.480]   And they say like, you know, I just can't help myself.
[00:27:24.480 --> 00:27:27.960]   I just keep looking at this stuff on the internet and I want it.
[00:27:27.960 --> 00:27:28.960]   I want to buy it.
[00:27:28.960 --> 00:27:30.520]   I want to have it.
[00:27:30.520 --> 00:27:35.080]   You know, now I can sit there and instruct them, what you got to do is turn off the TV.
[00:27:35.080 --> 00:27:38.320]   What you got to do is turn off the internet.
[00:27:38.320 --> 00:27:40.200]   But it's not so much the specific instructions.
[00:27:40.200 --> 00:27:45.560]   They have to have a correction on the whole world view.
[00:27:45.560 --> 00:27:51.640]   What you think is so lovely is going to be judged by the wrath of God.
[00:27:51.640 --> 00:27:56.520]   Even now, right now, there's so much turmoil, people fighting each other.
[00:27:56.520 --> 00:28:01.120]   Now there are so many things in terms of injustice that we should care about.
[00:28:01.120 --> 00:28:04.640]   And of injustice, there are things that we have to take actions for.
[00:28:04.640 --> 00:28:08.600]   However, when Christians start saying, you know what, I hope for a world, I hope for
[00:28:08.600 --> 00:28:12.200]   a generation.
[00:28:12.200 --> 00:28:17.240]   I wonder if they're buying into a vision of the world that's ungodly.
[00:28:17.240 --> 00:28:24.040]   Ungodly, not because it's like vile and sinful, but ungodly because it's so limited.
[00:28:24.040 --> 00:28:26.920]   I want you to look at something here.
[00:28:26.920 --> 00:28:32.440]   The world view that is wrong for the individual within this first sentence, the immoral and
[00:28:32.440 --> 00:28:36.800]   impure person or a covetous man, you know why his world view is wrong?
[00:28:36.800 --> 00:28:40.040]   Because his God and his world view is wrong.
[00:28:40.040 --> 00:28:43.200]   His God is an absolute fake.
[00:28:43.200 --> 00:28:45.160]   It's an idol, right?
[00:28:45.160 --> 00:28:49.240]   And typically when you practice idolatry, you're practicing an idolatry where you are
[00:28:49.240 --> 00:28:51.120]   at the center of the world.
[00:28:51.120 --> 00:28:54.600]   Your world view needs to be radically shifted.
[00:28:54.600 --> 00:28:56.000]   But what's more, take a look at this.
[00:28:56.000 --> 00:28:59.120]   Let no one deceive you with empty words.
[00:28:59.120 --> 00:29:00.760]   What are empty words?
[00:29:00.760 --> 00:29:03.000]   Let me tell you what are empty words.
[00:29:03.000 --> 00:29:04.000]   What are empty words?
[00:29:04.000 --> 00:29:07.300]   Are words like, you got to do what makes you happy.
[00:29:07.300 --> 00:29:09.040]   You know, something as innocent as YOLO.
[00:29:09.040 --> 00:29:11.320]   Now, I'm not saying you could never say that.
[00:29:11.320 --> 00:29:12.320]   Say it.
[00:29:12.320 --> 00:29:13.320]   You know, like you only live once.
[00:29:13.320 --> 00:29:14.960]   It's kind of a joke, right?
[00:29:14.960 --> 00:29:17.560]   But what is that motto used for?
[00:29:17.560 --> 00:29:19.320]   Motto is used for live it up.
[00:29:19.320 --> 00:29:22.440]   YOLO is used for, I know this is stupid, but I'm just going to do it because you only live
[00:29:22.440 --> 00:29:24.880]   once, right?
[00:29:24.880 --> 00:29:26.240]   Those are empty words.
[00:29:26.240 --> 00:29:27.240]   You know why?
[00:29:27.240 --> 00:29:32.760]   Because those words are rational when you live only this life.
[00:29:32.760 --> 00:29:37.600]   And what Apostle Paul says, what King Solomon says is when your rationale is limited to
[00:29:37.600 --> 00:29:42.040]   this generation, it is fleeting, it is temporary, and therefore it is empty.
[00:29:42.040 --> 00:29:43.600]   It's vain.
[00:29:43.600 --> 00:29:45.600]   It's weightless.
[00:29:45.600 --> 00:29:48.640]   Our rationale has with it eternity.
[00:29:48.640 --> 00:29:53.360]   We reason with Christ in mind, God with mind, eternity in mind, and heaven in mind.
[00:29:53.360 --> 00:29:56.120]   We're not looking for better days here.
[00:29:56.120 --> 00:29:59.880]   This world, God is not going to salvage and make better.
[00:29:59.880 --> 00:30:02.000]   He says sin is going to get worse.
[00:30:02.000 --> 00:30:03.840]   Sin is going to inspire more sin.
[00:30:03.840 --> 00:30:05.480]   The love of most will grow cold.
[00:30:05.480 --> 00:30:06.840]   It's going to get hostile.
[00:30:06.840 --> 00:30:11.280]   You'll be persecuted and it's going to be difficult to live in this land.
[00:30:11.280 --> 00:30:16.720]   And when it's ripe for judgment, God is going to bring this wrath and burn it.
[00:30:16.720 --> 00:30:22.960]   Why are we talking like the rest of the world hoping just for better days here?
[00:30:22.960 --> 00:30:25.320]   We can't think like that.
[00:30:25.320 --> 00:30:30.600]   We've got to be thinking more in line with the gospel truths.
[00:30:30.600 --> 00:30:35.280]   We're not just waiting for new policies, new governors, and new presidents.
[00:30:35.280 --> 00:30:37.840]   That's not where our hope is.
[00:30:37.840 --> 00:30:42.040]   For us, we're eagerly anticipating the return of our King.
[00:30:42.040 --> 00:30:46.760]   And so our rationale and our words are waiting.
[00:30:46.760 --> 00:30:49.640]   This is the way that we need to respond.
[00:30:49.640 --> 00:30:56.840]   So as we take a moment to think about these things, to me, these things are sober realities
[00:30:56.840 --> 00:31:03.440]   that not only dictate how we respond to current events and life situations, these things also
[00:31:03.440 --> 00:31:07.600]   dictate our specific momentary decisions.
[00:31:07.600 --> 00:31:12.600]   As I experience temptation, what should I be thinking?
[00:31:12.600 --> 00:31:17.040]   I should be first thinking I should be more like my God, my Father.
[00:31:17.040 --> 00:31:22.080]   I should be thinking I should be living and walking in love and not in selfishness.
[00:31:22.080 --> 00:31:24.320]   I should not have impurities, lusts, and greeds.
[00:31:24.320 --> 00:31:28.520]   I should not have gross things coming out of my mouth, but rather I should be a pure
[00:31:28.520 --> 00:31:35.400]   light in this generation because I'm living with an unshakable hope in God.
[00:31:35.400 --> 00:31:37.280]   That's the way my mind should work.
[00:31:37.280 --> 00:31:43.040]   And so by way of conclusion, I want to say we have received some really broad exhortations
[00:31:43.040 --> 00:31:47.800]   and commandments today to imitate God and to walk in love.
[00:31:47.800 --> 00:31:51.680]   But just remember, we have to make sure that we take these broad commandments that encapsulate
[00:31:51.680 --> 00:31:53.320]   everything that we're doing.
[00:31:53.320 --> 00:31:58.600]   And you have to be the one that takes case examples and apply specifically.
[00:31:58.600 --> 00:32:01.640]   How am I going to walk in love here?
[00:32:01.640 --> 00:32:08.040]   How am I going to show up into this scenario and exercise the kind of sacrificial, giving,
[00:32:08.040 --> 00:32:11.800]   lavishing love that God exercises with me?
[00:32:11.800 --> 00:32:17.040]   This is to you the kind of intentional, purposeful living that we want to do before the Lord.
[00:32:17.040 --> 00:32:19.760]   And that we know is going to be pleasing to God.
[00:32:19.760 --> 00:32:24.480]   Let's take a moment to pray.
[00:32:24.480 --> 00:32:27.800]   Heavenly Father, we thank you so much.
[00:32:27.800 --> 00:32:29.400]   Lord God, we pray.
[00:32:29.400 --> 00:32:32.880]   We pray for the people around us.
[00:32:32.880 --> 00:32:38.600]   We want people to have hope in Christ, not to place hope in this world.
[00:32:38.600 --> 00:32:41.840]   This world, Lord God, is ready for judgment.
[00:32:41.840 --> 00:32:45.480]   This world, Lord God, you say is getting filled.
[00:32:45.480 --> 00:32:47.880]   It's getting filled to the brim.
[00:32:47.880 --> 00:32:53.480]   And I pray, Father God, that we would then now have even a greater urgency to be lights,
[00:32:53.480 --> 00:32:57.920]   placing our hope and our trust and our confidence in our God.
[00:32:57.920 --> 00:33:03.640]   I do thank you so much, Lord, for your gospel truth that empowers us and shapes our thinking.
[00:33:03.640 --> 00:33:07.600]   I do pray, Lord, that we would be all the more renewed.
[00:33:07.600 --> 00:33:15.560]   And I also pray, God, for our church, that there would be such a sobriety then in realizing
[00:33:15.560 --> 00:33:20.720]   that as we perhaps even are thinking more now about the end times.
[00:33:20.720 --> 00:33:24.000]   It has been long and people have been waiting.
[00:33:24.000 --> 00:33:28.320]   And Lord, we want to say, God, that we eagerly await your return.
[00:33:28.320 --> 00:33:29.880]   We thank you, it's in Christ, and we pray.
[00:33:29.880 --> 00:33:30.200]   Amen.
[00:33:30.200 --> 00:33:32.700]   (fork clinks)

