
[00:00:00.000 --> 00:00:01.360]   All right, welcome.
[00:42:38.460 --> 00:42:43.460]   to restore his people through a family of his choosing.
[00:42:43.460 --> 00:42:46.220]   And what's that story called?
[00:42:46.220 --> 00:42:49.420]   The book of Ruth, Ruth, okay?
[00:42:49.420 --> 00:42:50.900]   So here we go.
[00:42:50.900 --> 00:42:52.300]   Thinking our way through.
[00:42:52.300 --> 00:42:58.580]   Abraham to Moses is a Pentateuch.
[00:42:58.580 --> 00:43:02.820]   1500 to 1000 you have, tribes, Judges, kings,
[00:43:02.820 --> 00:43:04.620]   and that's all you need to remember.
[00:43:04.620 --> 00:43:09.380]   And in the middle of this you have five Rs.
[00:43:09.380 --> 00:43:15.340]   Raise your hand if you're already feeling
[00:43:15.340 --> 00:43:17.940]   a little bit more comfortable with the Old Testament.
[00:43:17.940 --> 00:43:18.780]   Yeah?
[00:43:18.780 --> 00:43:20.060]   'Cause we're halfway done.
[00:43:20.060 --> 00:43:22.020]   Okay?
[00:43:22.020 --> 00:43:23.380]   That's all you need to really remember.
[00:43:23.380 --> 00:43:26.380]   And the rest of your life you fill in the blanks, okay?
[00:43:26.380 --> 00:43:31.140]   So in your groups, again, now find a different partner.
[00:43:31.140 --> 00:43:31.980]   Review.
[00:43:31.980 --> 00:43:33.220]   We're gonna review this so much
[00:43:33.220 --> 00:43:35.740]   that you're gonna dream this.
[00:43:35.740 --> 00:43:37.220]   And you're gonna hear my voice going,
[00:43:37.220 --> 00:43:39.740]   five, 12, five, five, 12, five, 12.
[00:43:39.740 --> 00:43:40.820]   You know, your mama's always do,
[00:43:40.820 --> 00:43:42.100]   but she climbed a mountain, do.
[00:43:42.100 --> 00:43:43.660]   You're gonna hear all of this in your head
[00:43:43.660 --> 00:43:44.500]   for the rest of your life.
[00:43:44.500 --> 00:43:45.340]   So good luck with that.
[00:43:45.340 --> 00:43:48.540]   But go ahead and practice with a different neighbor.
[00:43:48.540 --> 00:43:50.580]   If you haven't met him, just introduce yourself
[00:43:50.580 --> 00:43:53.540]   and go over the next six questions.
[00:43:53.540 --> 00:44:03.780]   And once you finish, we're gonna take a break 'til 1125.
[00:44:03.780 --> 00:44:06.860]   (audience murmuring)
[00:44:06.860 --> 00:44:09.940]   (audience murmuring)
[00:44:09.940 --> 00:44:13.020]   (audience murmuring)
[00:44:13.020 --> 00:44:16.100]   (audience murmuring)
[00:44:16.100 --> 00:44:19.180]   (audience murmuring)
[00:44:19.180 --> 00:44:22.260]   (audience murmuring)
[00:44:22.260 --> 00:44:25.340]   (audience murmuring)
[00:44:25.340 --> 00:44:28.420]   (audience murmuring)
[00:44:28.620 --> 00:44:31.700]   (audience murmuring)
[00:44:31.700 --> 00:44:34.780]   (audience murmuring)
[00:44:34.780 --> 00:44:40.260]   (audience murmuring)
[00:44:40.260 --> 00:44:49.260]   (audience murmuring)
[00:44:49.260 --> 00:44:56.260]   (audience murmuring)
[00:44:56.300 --> 00:44:59.300]   (audience murmuring)
[00:44:59.300 --> 00:45:08.300]   (audience murmuring)
[00:45:08.300 --> 00:45:17.300]   (audience murmuring)
[00:45:17.300 --> 00:45:24.300]   (audience murmuring)
[00:45:24.340 --> 00:45:27.340]   (audience murmuring)
[00:45:52.340 --> 00:45:55.340]   (audience laughing)
[00:45:55.340 --> 00:46:00.340]   (audience murmuring)
[00:46:00.340 --> 00:46:15.340]   (audience murmuring)
[00:46:15.340 --> 00:46:18.340]   (audience murmuring)
[00:46:43.340 --> 00:46:46.340]   (audience laughing)
[00:46:46.340 --> 00:47:07.340]   (audience laughing)
[00:47:07.340 --> 00:47:10.340]   (audience laughing)
[00:47:10.340 --> 00:47:27.340]   (audience laughing)
[00:47:27.340 --> 00:47:30.340]   (audience laughing)
[00:47:30.340 --> 00:47:47.340]   (audience laughing)
[00:47:47.340 --> 00:47:50.340]   (audience laughing)
[00:47:50.340 --> 00:48:07.340]   (audience laughing)
[00:48:07.340 --> 00:48:10.340]   (audience laughing)
[00:48:10.340 --> 00:48:29.340]   (audience laughing)
[00:48:29.340 --> 00:48:32.340]   (audience laughing)
[00:48:32.340 --> 00:48:51.340]   - One minute, one minute, grab your snack,
[00:48:51.340 --> 00:48:53.340]   grab your brains, come back.
[00:48:53.340 --> 00:48:56.340]   (audience laughing)
[00:48:57.340 --> 00:49:00.340]   (audience murmuring)
[00:49:00.340 --> 00:49:03.340]   (audience murmuring)
[00:49:04.340 --> 00:49:07.340]   (audience murmuring)
[00:49:07.340 --> 00:49:10.340]   (audience murmuring)
[00:49:10.340 --> 00:49:13.340]   (audience murmuring)
[00:49:14.340 --> 00:49:17.340]   (audience murmuring)
[00:49:42.340 --> 00:49:45.340]   (audience murmuring)
[00:50:11.340 --> 00:50:14.340]   All right, 20 seconds, if you're standing up,
[00:50:14.340 --> 00:50:18.340]   find your way back to your seats, and we're almost done.
[00:50:18.340 --> 00:50:21.340]   (audience murmuring)
[00:50:21.340 --> 00:50:37.340]   So hopefully now, with half of the Old Testament
[00:50:37.340 --> 00:50:42.340]   now in your head, hopefully you're not as scared, okay?
[00:50:42.340 --> 00:50:48.340]   You don't need to remember every single person,
[00:50:48.340 --> 00:50:53.340]   who Rahum is, who Shimshai, who like, you know,
[00:50:53.340 --> 00:50:56.340]   Nebulad, all these people, you don't need to know
[00:50:56.340 --> 00:50:58.340]   who they are, okay?
[00:50:58.340 --> 00:51:02.340]   They will come in time, but as long as you're not scared
[00:51:02.340 --> 00:51:06.340]   of these books, you will know that it's okay
[00:51:06.340 --> 00:51:10.340]   some places to read quickly, and then some places
[00:51:10.340 --> 00:51:13.340]   you're gonna wanna slow down, all right?
[00:51:13.340 --> 00:51:15.340]   Now we're gonna go over a cheer that I taught
[00:51:15.340 --> 00:51:17.340]   the college students in the summer, that I taught
[00:51:17.340 --> 00:51:22.340]   at Berean in 2007, that'll help you remember
[00:51:22.340 --> 00:51:25.340]   half your Bible, okay?
[00:51:25.340 --> 00:51:30.340]   And you're gonna hear this every week, 'til you die,
[00:51:30.340 --> 00:51:34.340]   in your head, narrated by me, okay?
[00:51:35.340 --> 00:51:38.340]   This will help you remember half of your Bible.
[00:51:38.340 --> 00:51:39.340]   What percent?
[00:51:39.340 --> 00:51:43.340]   Half, I actually did the math, 51%,
[00:51:43.340 --> 00:51:45.340]   this timeline that I'm gonna give you,
[00:51:45.340 --> 00:51:47.340]   the cheer that I'm gonna give you is 51%
[00:51:47.340 --> 00:51:52.340]   of all of the Bible, in terms of landmarks, okay?
[00:51:52.340 --> 00:51:55.340]   So you have to engage, you have to
[00:51:55.340 --> 00:52:00.340]   just pay attention, okay?
[00:52:01.340 --> 00:52:06.340]   It's on your paper here, all right?
[00:52:06.340 --> 00:52:10.340]   But the first things you need to remember are
[00:52:10.340 --> 00:52:12.340]   King, King, split.
[00:52:12.340 --> 00:52:14.340]   All right, go.
[00:52:14.340 --> 00:52:15.340]   - King, King, split.
[00:52:15.340 --> 00:52:16.340]   - One more time.
[00:52:16.340 --> 00:52:17.340]   - King, King, split.
[00:52:17.340 --> 00:52:19.340]   - Five, 12, five, five?
[00:52:19.340 --> 00:52:20.340]   - Five.
[00:52:20.340 --> 00:52:22.340]   - Five, blank, five?
[00:52:22.340 --> 00:52:23.340]   What's in the blank?
[00:52:23.340 --> 00:52:24.340]   - Five.
[00:52:24.340 --> 00:52:26.340]   - Good, what's between the King and the split?
[00:52:26.340 --> 00:52:27.340]   - A King.
[00:52:27.340 --> 00:52:29.340]   - A King, oh, good job, all right?
[00:52:29.340 --> 00:52:33.340]   King, King, split is easy to remember, okay?
[00:52:33.340 --> 00:52:35.340]   And if you guys are already familiar
[00:52:35.340 --> 00:52:37.340]   with a little bit of your Bible,
[00:52:37.340 --> 00:52:39.340]   the people of God get divided into
[00:52:39.340 --> 00:52:41.340]   northern and southern kingdoms,
[00:52:41.340 --> 00:52:45.340]   that's the split, there's a civil war that happens, okay?
[00:52:45.340 --> 00:52:50.340]   So King, David, King, Solomon, split,
[00:52:50.340 --> 00:52:53.340]   that's what happens, okay?
[00:52:53.340 --> 00:52:58.340]   So King, King, split, ABCD.
[00:52:58.340 --> 00:53:03.340]   This used to be just ABC until when I taught it in 2007,
[00:53:03.340 --> 00:53:05.340]   Dr. Pang was like, "You should include a D there."
[00:53:05.340 --> 00:53:07.340]   So I did, okay?
[00:53:07.340 --> 00:53:09.340]   There is a D, okay?
[00:53:09.340 --> 00:53:14.340]   So King, King, split, and what's the next four?
[00:53:14.340 --> 00:53:17.340]   ABCD, easy to remember and hard?
[00:53:17.340 --> 00:53:18.340]   - Easy.
[00:53:18.340 --> 00:53:21.340]   - Yeah, if it was hard, you'd have some problems, okay?
[00:53:21.340 --> 00:53:25.340]   King, King, split, ABCD, no problem?
[00:53:25.340 --> 00:53:27.340]   All right, here we go.
[00:53:28.340 --> 00:53:33.340]   Medo-Persians, repeat, Medo-Persians, all right?
[00:53:33.340 --> 00:53:36.340]   So I've given you all these easy things to remember
[00:53:36.340 --> 00:53:39.340]   and then I've given you Medo-Persians.
[00:53:39.340 --> 00:53:42.340]   So Persians is easy to remember, but what is Medo?
[00:53:42.340 --> 00:53:44.340]   Okay, we'll get there.
[00:53:44.340 --> 00:53:52.340]   So King, King, split, ABCD, Medo-Persians,
[00:53:52.340 --> 00:53:56.340]   and you'll be familiar with this one, return.
[00:53:56.340 --> 00:53:59.340]   And Greeks, all right?
[00:53:59.340 --> 00:54:03.340]   So I'm gonna go slowly and then I'm gonna go louder,
[00:54:03.340 --> 00:54:06.340]   I mean, I'm gonna go slowly and then faster and louder.
[00:54:06.340 --> 00:54:08.340]   Yes, David?
[00:54:08.340 --> 00:54:12.340]   I will tell you, okay?
[00:54:12.340 --> 00:54:14.340]   Let's do the cheer first, all right?
[00:54:14.340 --> 00:54:15.340]   Here we go.
[00:54:15.340 --> 00:54:24.340]   King, King, split, ABCD, Medo-Persians, return, and Greeks.
[00:54:24.340 --> 00:54:26.340]   It's like a cheer.
[00:54:26.340 --> 00:54:27.340]   I feel like this was divine.
[00:54:27.340 --> 00:54:29.340]   I was listening to sports radio and I was trying to figure out
[00:54:29.340 --> 00:54:30.340]   how I'm gonna teach this.
[00:54:30.340 --> 00:54:35.340]   King, King, split, ABC, oh, and it was like a, like, ah, moment.
[00:54:35.340 --> 00:54:36.340]   Okay?
[00:54:36.340 --> 00:54:37.340]   And this is international now.
[00:54:37.340 --> 00:54:39.340]   I've taught this in China, I've taught this in Korea.
[00:54:39.340 --> 00:54:40.340]   Okay, here we go.
[00:54:40.340 --> 00:54:48.340]   King, King, split, ABCD, Medo-Persians, return, and Greeks.
[00:54:48.340 --> 00:54:51.340]   Do some of you older members remember this?
[00:54:51.340 --> 00:54:52.340]   Okay?
[00:54:52.340 --> 00:54:59.340]   King, King, split, ABCD, Medo-Persians, return, and Greeks.
[00:54:59.340 --> 00:55:04.340]   King, King, split, ABCD, Medo-Persians, return, and Greeks.
[00:55:04.340 --> 00:55:08.340]   King, King, split, ABCD, Medo-Persians, return, and Greeks.
[00:55:08.340 --> 00:55:11.340]   Okay, with your eyes closed so that you can hear my voice
[00:55:11.340 --> 00:55:12.340]   even louder in your head.
[00:55:12.340 --> 00:55:14.340]   Ready?
[00:55:14.340 --> 00:55:18.340]   King, King, split, ABCD, Medo-Persians, return, and Greeks.
[00:55:18.340 --> 00:55:22.340]   King, King, split, ABCD, Medo-Persians, return, and Greeks.
[00:55:22.340 --> 00:55:26.340]   King, King, split, ABCD, Medo-Persians, return, and Greeks.
[00:55:26.340 --> 00:55:28.340]   College students, ready, go.
[00:55:28.340 --> 00:55:32.340]   [Audience reading]
[00:55:32.340 --> 00:55:33.340]   Bam, go.
[00:55:33.340 --> 00:55:38.340]   [Audience laughing]
[00:55:38.340 --> 00:55:39.340]   People over 35, go.
[00:55:39.340 --> 00:55:44.340]   [Audience laughing]
[00:55:44.340 --> 00:55:45.340]   Everybody with glasses, go.
[00:55:45.340 --> 00:55:50.340]   [Audience laughing]
[00:55:50.340 --> 00:55:51.340]   Laker fans, go.
[00:55:51.340 --> 00:55:56.340]   [Audience laughing]
[00:55:56.340 --> 00:55:57.340]   Youth, I'm just kidding, Mary.
[00:55:57.340 --> 00:55:59.340]   There's only one, okay?
[00:55:59.340 --> 00:56:06.340]   King, King, split, ABCD, Medo-Persians, return, and Greeks.
[00:56:06.340 --> 00:56:07.340]   What's Joshua about?
[00:56:07.340 --> 00:56:09.340]   How many years?
[00:56:09.340 --> 00:56:12.340]   What are the five Rs?
[00:56:12.340 --> 00:56:15.340]   Rest, relapse, re--
[00:56:15.340 --> 00:56:18.340]   [Audience laughing]
[00:56:18.340 --> 00:56:19.340]   I'm testing you.
[00:56:19.340 --> 00:56:21.340]   I'm doing these things on purpose.
[00:56:21.340 --> 00:56:22.340]   What's Exodus about?
[00:56:22.340 --> 00:56:24.340]   All right.
[00:56:24.340 --> 00:56:26.340]   What happens in a thousand?
[00:56:26.340 --> 00:56:30.340]   Oh, I'm switching it up.
[00:56:30.340 --> 00:56:33.340]   I'm rewiring the neurons.
[00:56:33.340 --> 00:56:35.340]   What happens in 500?
[00:56:35.340 --> 00:56:37.340]   How many returns are there?
[00:56:37.340 --> 00:56:39.340]   Three, but for the cheer, we just say return.
[00:56:39.340 --> 00:56:40.340]   The S is hard to say.
[00:56:40.340 --> 00:56:41.340]   I've tried it.
[00:56:41.340 --> 00:56:43.340]   Okay.
[00:56:43.340 --> 00:56:48.340]   What is happening between 1500 to a thousand?
[00:56:48.340 --> 00:56:53.340]   Moses, tribes, five Rs, kings.
[00:56:53.340 --> 00:56:56.340]   Who was the last judge, first king?
[00:56:56.340 --> 00:56:57.340]   Saul, okay?
[00:56:57.340 --> 00:57:00.340]   But for our king, king, split, it doesn't start with Saul,
[00:57:00.340 --> 00:57:02.340]   because that's not God's choice.
[00:57:02.340 --> 00:57:03.340]   Who do we start with?
[00:57:03.340 --> 00:57:05.340]   David, okay?
[00:57:05.340 --> 00:57:08.340]   And when is David?
[00:57:08.340 --> 00:57:10.340]   Thousand, okay?
[00:57:10.340 --> 00:57:13.340]   So, what is the cheer to remember half your Bible,
[00:57:13.340 --> 00:57:15.340]   including the New Testament too?
[00:57:15.340 --> 00:57:21.340]   King, king, split, ABCD, Medo-Persians, return, and Greeks.
[00:57:21.340 --> 00:57:23.340]   Here we go.
[00:57:23.340 --> 00:57:26.340]   King is at a thousand and ten.
[00:57:26.340 --> 00:57:29.340]   So, that's easy to remember.
[00:57:29.340 --> 00:57:32.340]   And what's easy about the three first kings of Israel,
[00:57:32.340 --> 00:57:36.340]   about the United Kingdom, there were three kings only,
[00:57:36.340 --> 00:57:40.340]   Saul, David, and Solomon all did 40 years,
[00:57:40.340 --> 00:57:42.340]   except, well, Saul did 42,
[00:57:42.340 --> 00:57:45.340]   but just to evenly round up in your head,
[00:57:45.340 --> 00:57:50.340]   just think of Saul 40, David 40, Solomon 40 split, okay?
[00:57:50.340 --> 00:57:53.340]   So, 40, 40, 40 is all you need to remember.
[00:57:53.340 --> 00:57:57.340]   So, if you go backward, when was Saul king?
[00:57:57.340 --> 00:57:59.340]   1050-ish, okay?
[00:57:59.340 --> 00:58:00.340]   We're not starting with Saul,
[00:58:00.340 --> 00:58:03.340]   but if you wanted to mentally go back into,
[00:58:03.340 --> 00:58:05.340]   when was Saul king?
[00:58:05.340 --> 00:58:07.340]   When was Samuel prophet?
[00:58:07.340 --> 00:58:09.340]   You just need to just start with a thousand
[00:58:09.340 --> 00:58:12.340]   and go backward 40, okay?
[00:58:12.340 --> 00:58:18.340]   So, here's your first king, that's David.
[00:58:18.340 --> 00:58:24.340]   Second king at 970 is his son Solomon.
[00:58:24.340 --> 00:58:28.340]   At 930, you have the split, the Civil War.
[00:58:28.340 --> 00:58:30.340]   It gets divided north and south,
[00:58:30.340 --> 00:58:36.340]   and we'll look at the Civil War more next week, okay?
[00:58:36.340 --> 00:58:39.340]   King, king split.
[00:58:39.340 --> 00:58:43.340]   How many of you think you guys can remember these dates?
[00:58:43.340 --> 00:58:44.340]   They're easy enough, right?
[00:58:44.340 --> 00:58:46.340]   Because how many years for each king?
[00:58:46.340 --> 00:58:47.340]   40, 40, 40.
[00:58:47.340 --> 00:58:50.340]   Well, 42, 40, 40, okay?
[00:58:50.340 --> 00:58:52.340]   And you start at about a thousand,
[00:58:52.340 --> 00:58:54.340]   plus or minus 10, and then you're good.
[00:58:54.340 --> 00:58:57.340]   Actually, no, plus 10, not minus 10.
[00:58:57.340 --> 00:58:59.340]   No, minus 10, you're going backward.
[00:58:59.340 --> 00:59:02.340]   60, 80, it'll mess you up a little bit, all right?
[00:59:02.340 --> 00:59:03.340]   King, king split.
[00:59:03.340 --> 00:59:07.340]   So, what year did the split happen?
[00:59:07.340 --> 00:59:11.340]   930, and that's historical fact, okay?
[00:59:11.340 --> 00:59:14.340]   What year was Judah's first king, you think?
[00:59:14.340 --> 00:59:17.340]   Judah's first king, the Southern Kingdom.
[00:59:17.340 --> 00:59:18.340]   930.
[00:59:18.340 --> 00:59:19.340]   How about Israel's first king?
[00:59:19.340 --> 00:59:20.340]   930, okay?
[00:59:20.340 --> 00:59:25.340]   When they split, there now are two kings.
[00:59:25.340 --> 00:59:27.340]   And one thing you'll notice,
[00:59:27.340 --> 00:59:30.340]   and I'm gonna give this to you more in depth next week,
[00:59:30.340 --> 00:59:33.340]   but the kings and the chronicles, the books of the Bible,
[00:59:33.340 --> 00:59:36.340]   there's an overlap, okay?
[00:59:36.340 --> 00:59:38.340]   If you actually go through 1 and 2 Kings,
[00:59:38.340 --> 00:59:40.340]   and then you're in 1 Chronicles again,
[00:59:40.340 --> 00:59:42.340]   and you go back to David,
[00:59:42.340 --> 00:59:45.340]   and then you see the same stories repeat themselves, okay?
[00:59:45.340 --> 00:59:47.340]   The kings are about everybody.
[00:59:47.340 --> 00:59:50.340]   The chronicles are just about the South.
[00:59:50.340 --> 00:59:51.340]   Kings are about everybody.
[00:59:51.340 --> 00:59:53.340]   Chronicles are about Judah.
[00:59:53.340 --> 00:59:55.340]   And we'll look into that more next week.
[00:59:55.340 --> 00:59:58.340]   But the split happens what year?
[00:59:58.340 --> 01:00:00.340]   930, okay?
[01:00:00.340 --> 01:00:03.340]   So King-King split, and here we go, Professor Mobley,
[01:00:03.340 --> 01:00:05.340]   your question.
[01:00:05.340 --> 01:00:08.340]   A is Assyria.
[01:00:08.340 --> 01:00:11.340]   A-S-S-Y-R-I-A, Assyria.
[01:00:11.340 --> 01:00:17.340]   And I'm putting these dates on purpose.
[01:00:17.340 --> 01:00:19.340]   When you have a chance, try to memorize them,
[01:00:19.340 --> 01:00:23.340]   and I will help you memorize them as we go.
[01:00:23.340 --> 01:00:27.340]   Assyria, 612 is B, Babylon.
[01:00:27.340 --> 01:00:33.340]   C, captivity.
[01:00:33.340 --> 01:00:39.340]   D, destruction of the temple.
[01:00:39.340 --> 01:00:45.340]   A, Assyria.
[01:00:45.340 --> 01:00:50.340]   B, Babylon, Babylon.
[01:00:50.340 --> 01:00:53.340]   C, captivity.
[01:00:53.340 --> 01:00:55.340]   D, destruction of the temple.
[01:00:55.340 --> 01:01:00.340]   So David, Solomon, Civil War, Assyria, Babylon,
[01:01:00.340 --> 01:01:01.340]   captivity, destruction of the temple.
[01:01:01.340 --> 01:01:04.340]   Do you guys, you guys can remember that?
[01:01:04.340 --> 01:01:07.340]   If I give you a little time, you might remember that, right?
[01:01:07.340 --> 01:01:09.340]   Okay, what's, okay, close your eyes,
[01:01:09.340 --> 01:01:12.340]   and just say it to yourself.
[01:01:12.340 --> 01:01:13.340]   King, who is that?
[01:01:13.340 --> 01:01:14.340]   Okay, say it to yourself.
[01:01:14.340 --> 01:01:17.340]   King.
[01:01:17.340 --> 01:01:20.340]   And then split what year?
[01:01:20.340 --> 01:01:30.340]   Okay, A means B, C, D of Solomon's temple,
[01:01:30.340 --> 01:01:33.340]   destruction of Solomon's temple.
[01:01:33.340 --> 01:01:38.340]   Now you have most of the Old Testament down,
[01:01:38.340 --> 01:01:40.340]   because after the destruction of the temple,
[01:01:40.340 --> 01:01:43.340]   there's 70 years of gap until you get to
[01:01:43.340 --> 01:01:46.340]   Ezra, Nehemiah, Haggai, Zechariah, Malachi,
[01:01:46.340 --> 01:01:48.340]   and you only have five books left.
[01:01:48.340 --> 01:01:50.340]   Okay, king, king, split, A, B, C, D.
[01:01:50.340 --> 01:01:52.340]   So one more time.
[01:01:52.340 --> 01:01:57.340]   First king, David, what year did he reign?
[01:01:57.340 --> 01:01:59.340]   1010.
[01:01:59.340 --> 01:02:02.340]   Second king, Solomon, what year did he reign?
[01:02:02.340 --> 01:02:04.340]   970.
[01:02:04.340 --> 01:02:09.340]   40 years later, the Civil War happens at 930.
[01:02:09.340 --> 01:02:12.340]   Couple hundred years later, who comes into power?
[01:02:12.340 --> 01:02:13.340]   Assyria.
[01:02:13.340 --> 01:02:17.340]   Who knocks out Assyria and conquers even the south?
[01:02:17.340 --> 01:02:18.340]   Babylon.
[01:02:18.340 --> 01:02:20.340]   What do they start doing with the people of Judah?
[01:02:20.340 --> 01:02:24.340]   Take them into captivity, and as they try to
[01:02:24.340 --> 01:02:26.340]   squish the rebellion, the temple of Solomon
[01:02:26.340 --> 01:02:28.340]   gets destroyed at 586.
[01:02:28.340 --> 01:02:31.340]   Okay, and we will go more in depth of these things
[01:02:31.340 --> 01:02:33.340]   as each week progresses.
[01:02:33.340 --> 01:02:35.340]   All right?
[01:02:35.340 --> 01:02:38.340]   First five books of the Bible.
[01:02:38.340 --> 01:02:40.340]   Pentateuch, 12.
[01:02:40.340 --> 01:02:42.340]   History, five.
[01:02:42.340 --> 01:02:44.340]   Poetry, five.
[01:02:44.340 --> 01:02:46.340]   Major, 12.
[01:02:46.340 --> 01:02:53.340]   Minor prophets, Genesis, Exodus, Leviticus.
[01:02:53.340 --> 01:03:00.340]   Numbers, Deuteronomy.
[01:03:00.340 --> 01:03:03.340]   Joshua, how many years?
[01:03:03.340 --> 01:03:06.340]   Judges, how many years?
[01:03:06.340 --> 01:03:12.340]   What are the five R's?
[01:03:12.340 --> 01:03:14.340]   Restoration.
[01:03:14.340 --> 01:03:17.340]   Moses, tribes, judges, and then you end up with the kings.
[01:03:17.340 --> 01:03:22.340]   Who is the first king of Israel that was not God's choice?
[01:03:22.340 --> 01:03:25.340]   Saul, how many years did he reign?
[01:03:25.340 --> 01:03:27.340]   Then you have King, King split.
[01:03:27.340 --> 01:03:29.340]   Who is the first king in that year?
[01:03:29.340 --> 01:03:31.340]   David, Solomon, split.
[01:03:31.340 --> 01:03:32.340]   What year?
[01:03:32.340 --> 01:03:33.340]   930.
[01:03:33.340 --> 01:03:39.340]   A, B, C, D.
[01:03:39.340 --> 01:03:42.340]   And what's the next one without looking at your paper?
[01:03:42.340 --> 01:03:45.340]   Medo-Persians.
[01:03:45.340 --> 01:03:50.340]   They release the people and then starts the returns home.
[01:03:50.340 --> 01:03:53.340]   And you read about it in Isaiah, you read about it in Jeremiah,
[01:03:53.340 --> 01:03:55.340]   you'll read about it in Ezra.
[01:03:55.340 --> 01:03:59.340]   The funny thing is, Ezra 1.1, Cyrus is the king of Persia,
[01:03:59.340 --> 01:04:02.340]   but it says in Ezra 5.14, Cyrus the king of Babylon.
[01:04:02.340 --> 01:04:04.340]   You're like, what is going on?
[01:04:04.340 --> 01:04:07.340]   If you don't know these things, you're going to read it and you're
[01:04:07.340 --> 01:04:09.340]   like, this is a contradiction in the Bible.
[01:04:09.340 --> 01:04:12.340]   No, but Medo-Persians, who did they knock out?
[01:04:12.340 --> 01:04:14.340]   Babylon.
[01:04:14.340 --> 01:04:16.340]   Okay, C and D are not -- it's not an empire.
[01:04:16.340 --> 01:04:18.340]   They knocked out Babylon.
[01:04:18.340 --> 01:04:22.340]   So now Cyrus is king, not just of Persia, but he's also king of Babylon.
[01:04:22.340 --> 01:04:25.340]   Ezra 1.1, Ezra 5.13, you see these things.
[01:04:25.340 --> 01:04:28.340]   And now you'll know what's going on.
[01:04:28.340 --> 01:04:35.340]   Oy.
[01:04:35.340 --> 01:04:36.340]   Oh, that's good.
[01:04:36.340 --> 01:04:38.340]   This is a good way to test you.
[01:04:38.340 --> 01:04:39.340]   Okay.
[01:04:39.340 --> 01:04:42.340]   King-king split, A, B, C, D.
[01:04:42.340 --> 01:04:44.340]   Medo-Persians return and Greeks.
[01:04:44.340 --> 01:04:45.340]   One more time.
[01:04:45.340 --> 01:04:48.340]   King-king split, A, B, C, D.
[01:04:48.340 --> 01:04:50.340]   Medo-Persians return and Greeks.
[01:04:50.340 --> 01:04:51.340]   Last time.
[01:04:51.340 --> 01:04:54.340]   King-king split, A, B, C, D.
[01:04:54.340 --> 01:04:59.340]   Medo-Persians returns and Greeks.
[01:04:59.340 --> 01:05:03.340]   Are the Greeks important in the scriptures?
[01:05:03.340 --> 01:05:04.340]   Not in the Old Testament.
[01:05:04.340 --> 01:05:06.340]   They're not really mentioned in the Old Testament.
[01:05:06.340 --> 01:05:09.340]   When are they important?
[01:05:09.340 --> 01:05:10.340]   All over the New.
[01:05:10.340 --> 01:05:12.340]   What's the New Testament written in?
[01:05:12.340 --> 01:05:13.340]   Greek.
[01:05:13.340 --> 01:05:16.340]   And that's why I included them in there because on our sixth week that we
[01:05:16.340 --> 01:05:20.340]   studied together, we're going to study what happens in the 400 years between
[01:05:20.340 --> 01:05:21.340]   the Old and the New.
[01:05:21.340 --> 01:05:25.340]   So that you'll know why is there no synagogue in the Old Testament but
[01:05:25.340 --> 01:05:27.340]   synagogues are all over the place in the New?
[01:05:27.340 --> 01:05:31.340]   Where did the Pharisees, Sadducees, Zealots, and the Essenes come from?
[01:05:31.340 --> 01:05:32.340]   Where did these guys?
[01:05:32.340 --> 01:05:33.340]   Right?
[01:05:33.340 --> 01:05:34.340]   Who is Herod?
[01:05:34.340 --> 01:05:36.340]   Where did he come from?
[01:05:36.340 --> 01:05:40.340]   Why is it, why is Caesar mentioned?
[01:05:40.340 --> 01:05:41.340]   Right?
[01:05:41.340 --> 01:05:43.340]   The barbarians and the Greeks, why are they mentioned?
[01:05:43.340 --> 01:05:46.340]   You have a different world altogether.
[01:05:46.340 --> 01:05:47.340]   Okay?
[01:05:47.340 --> 01:05:49.340]   So we're going to cover that on our sixth week.
[01:05:49.340 --> 01:05:51.340]   That's why the Greeks is important.
[01:05:51.340 --> 01:05:56.340]   Now, do I have to do something?
[01:05:56.340 --> 01:06:05.340]   All right.
[01:06:05.340 --> 01:06:10.340]   The 1010, 970, 930, you guys got that?
[01:06:10.340 --> 01:06:12.340]   No problem?
[01:06:12.340 --> 01:06:18.340]   722 is when Assyria conquers Samaria, the capital of the Northern Kingdom.
[01:06:18.340 --> 01:06:20.340]   So now there's only one kingdom.
[01:06:20.340 --> 01:06:23.340]   The North is gone.
[01:06:23.340 --> 01:06:29.340]   612 is when Babylon knocks out Assyria.
[01:06:29.340 --> 01:06:36.340]   So then in 600s, Babylon starts to mess with Judah.
[01:06:36.340 --> 01:06:38.340]   And they eventually take over.
[01:06:38.340 --> 01:06:40.340]   Zedekiah, the last king, rebels.
[01:06:40.340 --> 01:06:45.340]   And Nebuchadnezzar, out of rage, destroys Solomon's temple and takes away all of
[01:06:45.340 --> 01:06:46.340]   the goods in the temple.
[01:06:46.340 --> 01:06:48.340]   That's 586.
[01:06:48.340 --> 01:06:49.340]   And these are historical dates.
[01:06:49.340 --> 01:06:54.340]   If you guys can this week just commit to memory these dates, that'll help you in
[01:06:54.340 --> 01:06:56.340]   the following weeks.
[01:06:56.340 --> 01:06:59.340]   Because everything else, I packaged it so you guys can remember without too much
[01:06:59.340 --> 01:07:00.340]   review.
[01:07:00.340 --> 01:07:02.340]   Right?
