
[00:00:00.000 --> 00:00:18.480]   [MUSIC PLAYING]
[00:15:48.540 --> 00:15:51.300]   Why exactly is that thing happening?
[00:15:51.300 --> 00:15:53.380]   I can understand where you could say,
[00:15:53.380 --> 00:15:57.220]   maybe it's segregated to minority men or women
[00:15:57.220 --> 00:15:57.780]   or something.
[00:15:57.780 --> 00:15:58.500]   But this is not.
[00:15:58.500 --> 00:16:00.220]   This is basically everybody.
[00:16:00.220 --> 00:16:04.820]   So why are we dying sooner as we spend more?
[00:16:04.820 --> 00:16:07.260]   Yeah, because we're also increasingly spending
[00:16:07.260 --> 00:16:09.420]   on a lot of things that kill us.
[00:16:09.420 --> 00:16:11.500]   And we're not overspending on health care
[00:16:11.500 --> 00:16:13.460]   because we're spending on things that kill us.
[00:16:13.460 --> 00:16:15.580]   And then, our health care gets very expensive
[00:16:15.580 --> 00:16:18.140]   because we have terrible, terrible lifestyles.
[00:16:18.140 --> 00:16:22.120]   And everyone is drinking way too much across all communities.
[00:16:22.120 --> 00:16:24.280]   Everybody is eating totally processed foods.
[00:16:24.280 --> 00:16:26.400]   These are becoming more and more readily available,
[00:16:26.400 --> 00:16:27.820]   increasingly so every year.
[00:16:27.820 --> 00:16:30.580]   And so, yes, in the very upper echelons,
[00:16:30.580 --> 00:16:33.260]   there's a movement towards wellness and more holistic
[00:16:33.260 --> 00:16:33.740]   lifestyle.
[00:16:33.740 --> 00:16:35.660]   But that has not really swept the nation yet.
[00:16:35.660 --> 00:16:38.420]   And so we're all living really, really unhealthy lives,
[00:16:38.420 --> 00:16:40.220]   not caring about our preventive health
[00:16:40.220 --> 00:16:42.420]   and then spending a lot on health care down the line.
[00:16:42.420 --> 00:16:45.940]   So you're saying, we just can't outrun our lifestyle.
[00:16:45.940 --> 00:16:46.900]   Exactly.
[00:16:46.900 --> 00:16:48.980]   Which is not our fault. I mean, corporations
[00:16:48.980 --> 00:16:51.660]   make it very, very difficult to live a healthy lifestyle
[00:16:51.660 --> 00:16:52.580]   in the US.
[00:16:52.580 --> 00:16:54.740]   And do you find examples of countries
[00:16:54.740 --> 00:16:56.460]   that have gotten population-level health
[00:16:56.460 --> 00:17:00.260]   issues, whether it's with respect to costs or outcomes,
[00:17:00.260 --> 00:17:03.380]   where you say, that is directionally something
[00:17:03.380 --> 00:17:04.300]   that we can learn?
[00:17:04.300 --> 00:17:06.060]   No, I have no good answer to that question.
[00:17:06.060 --> 00:17:08.380]   Because every company besides the US
[00:17:08.380 --> 00:17:10.180]   thinks it has the best health care system.
[00:17:10.180 --> 00:17:11.720]   But then, any time I talk to anybody
[00:17:11.720 --> 00:17:13.060]   in one of those countries-- like,
[00:17:13.060 --> 00:17:15.140]   I was speaking to people in Canada the other week.
[00:17:15.140 --> 00:17:16.660]   And they hate their health care and think
[00:17:16.660 --> 00:17:17.740]   it's the worst thing ever.
[00:17:17.740 --> 00:17:20.540]   And they wait eight weeks to get UTI medication.
[00:17:20.540 --> 00:17:22.460]   And so, A, I just think it's too hard
[00:17:22.460 --> 00:17:25.100]   to compare our unwieldy country to other systems.
[00:17:25.100 --> 00:17:26.780]   And B, I don't even know people who are
[00:17:26.780 --> 00:17:28.020]   that happy with other systems.
[00:17:28.020 --> 00:17:30.700]   So no, I don't have a good answer.
[00:17:30.700 --> 00:17:35.740]   How much of a role do you think Medicare, Medicaid, CMS
[00:17:35.740 --> 00:17:40.540]   can do to break the logjam versus waiting for politicians
[00:17:40.540 --> 00:17:43.140]   to pass legislation like Obamacare to try
[00:17:43.140 --> 00:17:44.860]   to reorient what's wrong?
[00:17:44.860 --> 00:17:46.460]   I think it really is both.
[00:17:46.460 --> 00:17:50.140]   I think that HHS is playing a huge role
[00:17:50.140 --> 00:17:52.100]   in trying to get more and more value-based care
[00:17:52.100 --> 00:17:54.180]   models through Medicare.
[00:17:54.180 --> 00:17:55.940]   And they're making a huge push to do that.
[00:17:55.940 --> 00:17:57.140]   And so, it's slow and clunky.
[00:17:57.140 --> 00:17:58.940]   But I think they have the right idea.
[00:17:58.940 --> 00:18:02.180]   They want us to move towards a value-based care model.
[00:18:02.180 --> 00:18:04.540]   I've been thinking a lot about mental health recently,
[00:18:04.540 --> 00:18:06.380]   seeing what we've seen during the pandemic.
[00:18:06.380 --> 00:18:10.020]   A lot of young people or kids having these two years alone
[00:18:10.020 --> 00:18:13.380]   and what the second-or third-order effects of that.
[00:18:13.380 --> 00:18:17.020]   And just trying to get consensus in America around health care
[00:18:17.020 --> 00:18:17.900]   is very hard.
[00:18:17.900 --> 00:18:19.900]   But I think, since we've all suffered
[00:18:19.900 --> 00:18:24.500]   some degree of mental health over this COVID break, which
[00:18:24.500 --> 00:18:25.940]   I think drove a lot of people crazy
[00:18:25.940 --> 00:18:29.900]   and created a lot of anxiety, is there
[00:18:29.900 --> 00:18:33.020]   any way for us to think about universal health care
[00:18:33.020 --> 00:18:35.980]   but not have to have this nationwide discussion of all
[00:18:35.980 --> 00:18:36.500]   or nothing?
[00:18:36.500 --> 00:18:38.180]   And I was just thinking, mental health
[00:18:38.180 --> 00:18:39.980]   is something that everybody can appreciate.
[00:18:39.980 --> 00:18:41.660]   It's not that expensive to deal with.
[00:18:41.660 --> 00:18:43.420]   It's not surgery.
[00:18:43.420 --> 00:18:45.300]   Why can't we just agree as a country
[00:18:45.300 --> 00:18:49.140]   that anybody who wants to talk to a therapist or counselor
[00:18:49.140 --> 00:18:52.100]   will be able to do it for a sliding scale or a very
[00:18:52.100 --> 00:18:54.780]   small amount of money and maybe be
[00:18:54.780 --> 00:18:57.180]   able to just chip off one piece of the puzzle
[00:18:57.180 --> 00:18:58.540]   and say, you know what?
[00:18:58.540 --> 00:19:00.500]   Therapy will be $50 flat rate.
[00:19:00.500 --> 00:19:02.740]   The country will pick up the other $50 or $150,
[00:19:02.740 --> 00:19:05.900]   whatever it is, to get this done.
[00:19:05.900 --> 00:19:08.500]   And maybe you could just speak about mental health
[00:19:08.500 --> 00:19:11.180]   as a larger issue, because it does
[00:19:11.180 --> 00:19:14.300]   seem to have so many downstream effects in terms
[00:19:14.300 --> 00:19:15.940]   of our physical health.
[00:19:15.940 --> 00:19:16.700]   Yeah.
[00:19:16.700 --> 00:19:18.580]   We've thought about this a lot at the LAMBEE,
[00:19:18.580 --> 00:19:20.040]   and we've tried to figure out a way
[00:19:20.040 --> 00:19:22.300]   to integrate mental health in a way
[00:19:22.300 --> 00:19:26.540]   where we would be able to make money, and we can't just yet.
[00:19:26.540 --> 00:19:28.820]   So yeah, there have been a lot of models that came out
[00:19:28.820 --> 00:19:31.060]   during COVID that allow for you to text with somebody
[00:19:31.060 --> 00:19:33.060]   and do virtual therapy.
[00:19:33.060 --> 00:19:36.020]   There are a lot of therapists who offer a sliding scale.
[00:19:36.020 --> 00:19:38.340]   But part of the reason it's a little bit more difficult
[00:19:38.340 --> 00:19:40.500]   is that the patient panel size, the number of people
[00:19:40.500 --> 00:19:41.960]   they can take on, is so much lower,
[00:19:41.960 --> 00:19:44.020]   because it's such a higher touch experience.
[00:19:44.020 --> 00:19:46.700]   And so it's hard to integrate it into the traditional primary
[00:19:46.700 --> 00:19:51.060]   model, where across the US, one physician
[00:19:51.060 --> 00:19:53.100]   has a panel of 2,300 patients on average.
[00:19:53.100 --> 00:19:54.060]   And so you just can't do something
[00:19:54.060 --> 00:19:55.500]   like that for mental health.
[00:19:55.500 --> 00:19:58.540]   Are there large population health issues
[00:19:58.540 --> 00:20:01.620]   that you'd love to just get on the radar of folks
[00:20:01.620 --> 00:20:04.100]   in this room that are poorly understood?
[00:20:04.100 --> 00:20:05.260]   I'll give you an example.
[00:20:05.260 --> 00:20:08.060]   Like there is somebody I follow.
[00:20:08.060 --> 00:20:09.860]   She's a writer, I think, for the--
[00:20:09.860 --> 00:20:11.260]   I can't remember if it was the New York Times or something.
[00:20:11.260 --> 00:20:13.780]   And she said her best friend died of a heart attack
[00:20:13.780 --> 00:20:14.580]   in her 40s.
[00:20:14.580 --> 00:20:17.420]   And then she had some stats about the incidence of heart
[00:20:17.420 --> 00:20:19.140]   disease amongst women versus men.
[00:20:19.140 --> 00:20:21.260]   And I had always assumed that it was largely
[00:20:21.260 --> 00:20:23.380]   a male-predominant issue, until I saw those stats
[00:20:23.380 --> 00:20:26.420]   and I realized, my god, this is a broadly pervasive issue.
[00:20:26.420 --> 00:20:28.220]   Maybe it's because of lifestyle, et cetera.
[00:20:28.220 --> 00:20:30.780]   So I learned something in that moment I didn't know before.
[00:20:30.780 --> 00:20:32.900]   But any broad population-level issues
[00:20:32.900 --> 00:20:34.700]   that you think are really important for folks here
[00:20:34.700 --> 00:20:35.140]   to know about?
[00:20:35.140 --> 00:20:35.460]   Yeah.
[00:20:35.460 --> 00:20:36.860]   I mean, sort of related to that, I
[00:20:36.860 --> 00:20:38.900]   would say nutrition label literacy
[00:20:38.900 --> 00:20:40.260]   is so hugely important.
[00:20:40.260 --> 00:20:42.660]   There's so much scary marketing that people
[00:20:42.660 --> 00:20:44.140]   have to educate themselves on.
[00:20:44.140 --> 00:20:45.820]   And it's such a part-time job to have
[00:20:45.820 --> 00:20:49.780]   to learn about why this product that looks extremely healthy
[00:20:49.780 --> 00:20:52.300]   and is using the new brand colors that are not Dorito-y,
[00:20:52.300 --> 00:20:54.260]   that looks like it should be vegan and organic,
[00:20:54.260 --> 00:20:55.540]   is actually really bad for you.
[00:20:55.540 --> 00:20:58.860]   So having more education on what makes for good food, I think,
[00:20:58.860 --> 00:21:00.460]   would cut out a huge, huge portion
[00:21:00.460 --> 00:21:02.020]   of our preventive lifestyle problems.
[00:21:02.020 --> 00:21:03.740]   How can people find out more about--
[00:21:03.740 --> 00:21:06.180]   it's Landry, L-A-N-D-R-Y?
[00:21:06.180 --> 00:21:07.940]   This is the nightmare of my life.
[00:21:07.940 --> 00:21:10.180]   It's the Landby, L-A-N-B-Y.
[00:21:10.180 --> 00:21:11.460]   It's on the big screen, Jason.
[00:21:11.460 --> 00:21:11.960]   Sorry.
[00:21:11.960 --> 00:21:12.960]   It's just right there.
[00:21:12.960 --> 00:21:14.220]   Yeah, I'm sorry.
[00:21:14.220 --> 00:21:15.720]   How can they find out more about it?
[00:21:15.720 --> 00:21:17.180]   If they wanted to become a member,
[00:21:17.180 --> 00:21:18.100]   how do they become a member?
[00:21:18.100 --> 00:21:19.020]   Are there memberships available?
[00:21:19.020 --> 00:21:19.140]   It's just right there.
[00:21:19.140 --> 00:21:19.940]   It's just sold out.
[00:21:19.940 --> 00:21:20.460]   L-A-N-D-Y.
[00:21:20.460 --> 00:21:22.740]   There's got to be a website, I'm assuming,
[00:21:22.740 --> 00:21:24.260]   or you have an email or something.
[00:21:24.260 --> 00:21:24.780]   Yeah.
[00:21:24.780 --> 00:21:26.140]   Can it become a large scalable--
[00:21:26.140 --> 00:21:27.140]   But the website is actually L-A-N-D-Y.
[00:21:27.140 --> 00:21:28.220]   That's why it's a little--
[00:21:28.220 --> 00:21:29.140]   Yeah, it's the Landry.
[00:21:29.140 --> 00:21:31.020]   Mostly people call it the Lamby, like a lamb.
[00:21:31.020 --> 00:21:32.060]   So the Landry is--
[00:21:32.060 --> 00:21:34.060]   I keep hearing people mispronounce it.
[00:21:34.060 --> 00:21:37.580]   I've already lived a lifelong Candace life,
[00:21:37.580 --> 00:21:39.300]   and now I have a mispronunciation
[00:21:39.300 --> 00:21:41.340]   with the Lamby all the time.
[00:21:41.340 --> 00:21:42.920]   So you can just go to the lamby.com.
[00:21:42.920 --> 00:21:45.260]   You can apply for membership at the top of the website.
[00:21:45.260 --> 00:21:46.160]   It's in New York.
[00:21:46.160 --> 00:21:47.200]   Can it scale?
[00:21:47.200 --> 00:21:49.200]   And are you going to raise money for this?
[00:21:49.200 --> 00:21:51.120]   Is it going to be a venture-based investment?
[00:21:51.120 --> 00:21:54.160]   Because it sounds fascinating to me as a business model.
[00:21:54.160 --> 00:21:56.240]   Yeah, so we're actually raising our seed right now.
[00:21:56.240 --> 00:21:59.160]   We predominantly raise money through our members
[00:21:59.160 --> 00:22:00.720]   so far, which has been really nice.
[00:22:00.720 --> 00:22:03.920]   It's having our consumers as investors.
[00:22:03.920 --> 00:22:05.480]   But yeah, it can reach a venture scale
[00:22:05.480 --> 00:22:07.960]   because the way we're doing it, not to get too in the weeds,
[00:22:07.960 --> 00:22:09.760]   is through a three-person care team model.
[00:22:09.760 --> 00:22:11.940]   So we're able to take on more patients per panel
[00:22:11.940 --> 00:22:14.100]   because you're assigned not just a doctor, but also
[00:22:14.100 --> 00:22:16.940]   a nutritionist and a concierge manager who does
[00:22:16.940 --> 00:22:18.320]   all the patient homework for you.
[00:22:18.320 --> 00:22:22.320]   So raising a seed and let me know where to send the check.
[00:22:22.320 --> 00:22:24.000]   Sounds great.
[00:22:24.000 --> 00:22:25.720]   Let's thank Candace for taking the time.
[00:22:25.720 --> 00:22:26.480]   Thank you, guys.
[00:22:26.480 --> 00:22:28.480]   [APPLAUSE]
[00:22:28.480 --> 00:22:29.960]   [MUSIC PLAYING]
[00:22:29.960 --> 00:22:32.760]   We'll let your winners ride.
[00:22:32.760 --> 00:22:33.960]   Rain Man David Saks.
[00:22:33.960 --> 00:22:36.920]   [MUSIC PLAYING]
[00:22:36.920 --> 00:22:39.360]   And instead, we open source it to the fans,
[00:22:39.360 --> 00:22:41.200]   and they've just gone crazy with it.
[00:22:41.200 --> 00:22:41.960]   Love you, Wesley.
[00:22:41.960 --> 00:22:43.320]   I'm queen of Kinwani.
[00:22:43.320 --> 00:22:44.760]   I'm going all in.
[00:22:44.760 --> 00:22:46.120]   Let your winners ride.
[00:22:46.120 --> 00:22:48.320]   Let your winners ride.
[00:22:48.320 --> 00:22:49.960]   Let your winners ride.
[00:22:49.960 --> 00:22:52.680]   Besties are gone.
[00:22:52.680 --> 00:22:55.280]   That is my dog taking a notice in your driveway, Saks.
[00:22:55.280 --> 00:22:57.640]   [LAUGHTER]
[00:22:57.640 --> 00:22:58.480]   Oh, man.
[00:22:58.480 --> 00:23:00.400]   My avatar will meet me at--
[00:23:00.400 --> 00:23:03.080]   We should all just get a room and just have one big huge orgy
[00:23:03.080 --> 00:23:04.440]   because they're all just useless.
[00:23:04.440 --> 00:23:06.240]   It's like this sexual tension that they just
[00:23:06.240 --> 00:23:08.400]   need to release somehow.
[00:23:08.400 --> 00:23:10.200]   Let the beat be.
[00:23:10.200 --> 00:23:12.600]   Let your beat be.
[00:23:12.600 --> 00:23:13.680]   That's going to be a--
[00:23:13.680 --> 00:23:14.480]   We need to get merch.
[00:23:14.480 --> 00:23:15.280]   Besties are gone.
[00:23:15.280 --> 00:23:16.480]   I'm going all in.
[00:23:16.480 --> 00:23:19.840]   [MUSIC PLAYING]
[00:23:19.840 --> 00:23:25.840]   I'm going all in.

