
[00:00:00.000 --> 00:00:11.200]   Good evening, everybody.
[00:23:31.120 --> 00:23:32.120]   Okay?
[00:23:32.120 --> 00:23:37.400]   Now one of the things that I asked you was not only do we see the points of the prayer,
[00:23:37.400 --> 00:23:39.080]   is there some kind of sequence?
[00:23:39.080 --> 00:23:41.920]   And my answer is yes, there was.
[00:23:41.920 --> 00:23:46.440]   Now I've only done a couple of these things because again, every single one of these points
[00:23:46.440 --> 00:23:51.400]   of the strength, the dwelling, the know, rooted and filled, they could each take essentially
[00:23:51.400 --> 00:23:53.200]   like one sermon, right?
[00:23:53.200 --> 00:23:58.200]   Or an explanation and kind of observation that we could look at other passages and all
[00:23:58.200 --> 00:23:59.200]   that kind of stuff.
[00:23:59.200 --> 00:24:03.360]   But one of the important things I wanted to highlight is there definitely seemed to be
[00:24:03.360 --> 00:24:06.840]   a sequence for Apostle Paul as he's thinking about this.
[00:24:06.840 --> 00:24:11.600]   And what's interesting is that in this sequence, it's not necessarily the way that perhaps
[00:24:11.600 --> 00:24:15.060]   we might originally think about it or naturally think about it.
[00:24:15.060 --> 00:24:17.920]   Which is, doesn't it always start with you be in Christ?
[00:24:17.920 --> 00:24:18.920]   Christ is in you.
[00:24:18.920 --> 00:24:20.080]   That's the starting point.
[00:24:20.080 --> 00:24:23.120]   And then you can do the act of faith, right?
[00:24:23.120 --> 00:24:29.020]   But I think Apostle Paul has the other aspect of our Christian life in mind here.
[00:24:29.020 --> 00:24:30.600]   What I mean is this.
[00:24:30.600 --> 00:24:36.180]   He begins with being strengthened in the inner person, right?
[00:24:36.180 --> 00:24:40.520]   He begins with being strengthened by the spirit in the inner man.
[00:24:40.520 --> 00:24:46.160]   And so, what he's praying for when you think about that strength of the inner person is
[00:24:46.160 --> 00:24:48.480]   faith.
[00:24:48.480 --> 00:24:54.100]   That faith is going to cause us so that in every aspect of our life, Christ is going
[00:24:54.100 --> 00:24:56.360]   to dwell in our hearts.
[00:24:56.360 --> 00:25:00.840]   And as Christ dwells in our hearts in every experience, in every aspect of our lives,
[00:25:00.840 --> 00:25:04.320]   we are going to experientially know because guess what?
[00:25:04.320 --> 00:25:08.400]   That know therefore may know Christ, it's gnosco.
[00:25:08.400 --> 00:25:12.680]   You're supposed to have a personal, interactive, experiential knowledge.
[00:25:12.680 --> 00:25:18.200]   Not a conceptual one, not just intellect, but a knowledge of the love of God.
[00:25:18.200 --> 00:25:24.280]   And what that causes you to do is be all the more firmly rooted and therefore as you are
[00:25:24.280 --> 00:25:29.400]   more and more firmly rooted in Christ's love, you're going to be filled over and over and
[00:25:29.400 --> 00:25:30.400]   over again.
[00:25:30.400 --> 00:25:36.020]   So as we think about that, I just want to make mention of this.
[00:25:36.020 --> 00:25:43.440]   What he's thinking of here then is not so much just the salvation move, although again,
[00:25:43.440 --> 00:25:49.440]   as significant as that is, I think what he has in mind is the growth and sanctification
[00:25:49.440 --> 00:25:56.440]   of every believer who is supposed to experientially grow in the depth of knowledge of Christ having
[00:25:56.440 --> 00:25:57.440]   dwelt in our hearts.
[00:25:57.440 --> 00:26:03.760]   I'm just going to use this one specific thing as an example why.
[00:26:03.760 --> 00:26:09.560]   Because even when you look at that term dwell, there are different Greek terms for staying
[00:26:09.560 --> 00:26:12.000]   or dwelling or living.
[00:26:12.000 --> 00:26:15.560]   So just like in English we have those terms, in Greek there are many terms as well for
[00:26:15.560 --> 00:26:18.320]   the concept of someone being in someone's home.
[00:26:18.320 --> 00:26:26.480]   But here, if you look up this definition of this word, dwelling means to not just visit,
[00:26:26.480 --> 00:26:28.880]   but it means to stay permanently.
[00:26:28.880 --> 00:26:35.680]   The idea of make a dwelling as to mean that in terms of Christ filling our minds or filling
[00:26:35.680 --> 00:26:39.760]   those experiences, the way I like to think about it is for us, as we move through certain
[00:26:39.760 --> 00:26:43.820]   experiences, what's going to happen is you're going to be tested.
[00:26:43.820 --> 00:26:46.740]   And different parts of your heart are going to be exposed.
[00:26:46.740 --> 00:26:51.240]   And when that happens, you're going to realize, you know what, certain areas of my life I've
[00:26:51.240 --> 00:26:53.840]   never thought how does God fit.
[00:26:53.840 --> 00:26:58.840]   Certain areas of my life I never thought how does God impact or what's the ramification?
[00:26:58.840 --> 00:27:03.320]   What's the implication of Him being Lord here?
[00:27:03.320 --> 00:27:07.680]   And so a lot of the commentators make much of this and say, "Is God somebody who is a
[00:27:07.680 --> 00:27:14.480]   visitor who you've invited to the living room or is He living with you, having access to
[00:27:14.480 --> 00:27:17.520]   every single part of your house?
[00:27:17.520 --> 00:27:18.760]   What's He saying?"
[00:27:18.760 --> 00:27:23.600]   The idea is we are to be growing in our faith, in our experience.
[00:27:23.600 --> 00:27:31.960]   We are to be growing in every measure of what we are thinking, our heart and our desires,
[00:27:31.960 --> 00:27:37.000]   our will and our intentions, the devotions, the clarity of our conscience, the trust that
[00:27:37.000 --> 00:27:40.840]   we exercise, all of these things that are internal.
[00:27:40.840 --> 00:27:46.640]   Those are the inner man faith concepts and exercises that we are supposed to be growing
[00:27:46.640 --> 00:27:47.640]   in.
[00:27:47.640 --> 00:27:51.240]   And so in that way, there is a sequence that we're supposed to be growing in.
[00:27:51.240 --> 00:27:55.240]   And I believe as we do this, what's going to happen is this is going to allow us to
[00:27:55.240 --> 00:28:02.600]   take every single experience that we have, every hurdle, every success, whatever experience
[00:28:02.600 --> 00:28:08.040]   we have, we're going to be able to walk through those experiences with Christ and come out
[00:28:08.040 --> 00:28:16.560]   stronger in our faith, come out more refined, come out more biblical, more real in our thinking.
[00:28:16.560 --> 00:28:20.120]   And that's what essentially happens to Apostle Paul.
[00:28:20.120 --> 00:28:25.320]   One of the passages I want to highlight to you is Apostle Paul saying that he has this
[00:28:25.320 --> 00:28:31.000]   treasure in earthen vessels so that the surpassing greatness of the power will be of God and
[00:28:31.000 --> 00:28:32.640]   not from ourselves.
[00:28:32.640 --> 00:28:36.880]   We are afflicted in every way, but not crushed, perplexed, but not despairing, persecuted,
[00:28:36.880 --> 00:28:42.020]   but not forsaken, struck down, but not destroyed, always caring about in the body the dying
[00:28:42.020 --> 00:28:46.920]   of Jesus so that the life of Jesus also may be manifested in our body.
[00:28:46.920 --> 00:28:51.080]   Four, all things are for your sake so that the grace which is spreading to more and more
[00:28:51.080 --> 00:28:55.120]   people may cause the giving of thanks to bound to the glory of God.
[00:28:55.120 --> 00:28:57.120]   Therefore, we do not lose heart.
[00:28:57.120 --> 00:29:03.080]   But though our outer man is decaying, yet our inner man is being renewed day by day.
[00:29:03.080 --> 00:29:06.400]   I'm going to stop for the sake of time, but you see what he's saying?
[00:29:06.400 --> 00:29:10.720]   We're going to go through these hurdles, we're going to be persecuted, beaten, struck down,
[00:29:10.720 --> 00:29:15.080]   but our inner man is being strengthened daily.
[00:29:15.080 --> 00:29:21.640]   Okay, so we've looked at the overview and the sequence of the prayers, but there is
[00:29:21.640 --> 00:29:22.640]   a theme.
[00:29:22.640 --> 00:29:25.000]   Essentially, there is a focal point.
[00:29:25.000 --> 00:29:30.720]   The focal point is that there should be incredible strength in God's incredible power for every
[00:29:30.720 --> 00:29:32.000]   believer.
[00:29:32.000 --> 00:29:36.840]   The way I want to put it is, let's pray for that.
[00:29:36.840 --> 00:29:42.720]   Let's devote ourselves to pray regularly for powerful faith.
[00:29:42.720 --> 00:29:47.640]   Let's pray to experience God's power through that faith.
[00:29:47.640 --> 00:29:53.160]   And the way I would like to do this is I want to go through the passage again with the thematic
[00:29:53.160 --> 00:29:55.640]   observation of strength.
[00:29:55.640 --> 00:30:00.520]   How do all those elements that we see within this prayer contribute to an individual who
[00:30:00.520 --> 00:30:05.280]   is in Christ being strong in the power of God?
[00:30:05.280 --> 00:30:11.440]   Pray for, first, he talks about again the main idea, says that he, God, would grant
[00:30:11.440 --> 00:30:16.440]   you according to the riches of his glory to be strengthened with power.
[00:30:16.440 --> 00:30:17.440]   The word there is dunamite.
[00:30:17.440 --> 00:30:21.840]   Now again, I'm not going to talk about dynamite or whatever, but that is ability, that is
[00:30:21.840 --> 00:30:29.160]   capacity, that is the capacity to exercise a will and accomplish it.
[00:30:29.160 --> 00:30:35.400]   There is an enablement that God desires in us to actually be strong.
[00:30:35.400 --> 00:30:41.560]   Is it more and more godly for people to have this, "I'm totally depraved, worthless am
[00:30:41.560 --> 00:30:42.560]   I?"
[00:30:42.560 --> 00:30:45.400]   Let's be a little bit more precise.
[00:30:45.400 --> 00:30:51.280]   Without Christ, worthless you are, totally depraved you were, but now as you are in Christ,
[00:30:51.280 --> 00:30:56.680]   you're living by the Spirit, sealed, empowered, the Spirit is with you and in you and so is
[00:30:56.680 --> 00:30:57.680]   Christ.
[00:30:57.680 --> 00:30:58.680]   Right?
[00:30:58.680 --> 00:31:02.020]   Let's be a little bit more precise with our wording.
[00:31:02.020 --> 00:31:03.980]   We have the power of God.
[00:31:03.980 --> 00:31:08.880]   And what's more, this power, let's pray for rich, glorious strength.
[00:31:08.880 --> 00:31:11.280]   This power, he says, is according to the riches of his glory.
[00:31:11.280 --> 00:31:12.280]   Now think about that.
[00:31:12.280 --> 00:31:17.920]   Okay, we can go on doing like one of those cross-reference studies and think about riches.
[00:31:17.920 --> 00:31:23.440]   The richness of his mercy, the richness of his grace, the richness of this and that.
[00:31:23.440 --> 00:31:26.960]   Here he says the richness of his glory.
[00:31:26.960 --> 00:31:32.700]   If God is to bless us, this is one incredible blessing.
[00:31:32.700 --> 00:31:37.780]   To have the power of God according to the riches of his glory, that's like limitless.
[00:31:37.780 --> 00:31:38.780]   Right?
[00:31:38.780 --> 00:31:41.380]   That's like saying, "Have power unending."
[00:31:41.380 --> 00:31:42.380]   Right?
[00:31:42.380 --> 00:31:46.500]   That would be, because there's no parameters to the riches of God's glory.
[00:31:46.500 --> 00:31:48.460]   It's like the universe and more.
[00:31:48.460 --> 00:31:49.460]   Right?
[00:31:49.460 --> 00:31:52.180]   I mean, we can't even begin to describe.
[00:31:52.180 --> 00:31:56.660]   Moving forward, not only are we supposed to have this rich and glorious strength, let's
[00:31:56.660 --> 00:31:58.460]   pray for inner strength.
[00:31:58.460 --> 00:31:59.460]   Right?
[00:31:59.460 --> 00:32:03.140]   That we are to be strong in the inner man.
[00:32:03.140 --> 00:32:09.300]   Strong in our thought, in truth, in our understanding, in knowledge, in faith.
[00:32:09.300 --> 00:32:14.420]   So many times we wish, we just wish so much that we were strong in so many other ways.
[00:32:14.420 --> 00:32:17.100]   We wish that, "Oh, you know, I have a test coming up."
[00:32:17.100 --> 00:32:21.300]   As you can tell, I'm talking about tests a lot because I'm studying.
[00:32:21.300 --> 00:32:24.460]   "We have a test coming up and oh, I have anxiety.
[00:32:24.460 --> 00:32:25.460]   What if I fail?"
[00:32:25.460 --> 00:32:26.460]   Right?
[00:32:26.460 --> 00:32:27.460]   Every person wrestles with that.
[00:32:27.460 --> 00:32:30.580]   "What am I actually praying there?"
[00:32:30.580 --> 00:32:34.380]   It could be all I'm praying for is make me smarter, make me smarter.
[00:32:34.380 --> 00:32:36.900]   Is that truly inner strength?
[00:32:36.900 --> 00:32:38.260]   Right?
[00:32:38.260 --> 00:32:40.480]   We're talking about inner faith.
[00:32:40.480 --> 00:32:42.400]   We're talking about trusting God.
[00:32:42.400 --> 00:32:47.580]   We're talking about having the inner strength as the halls of faith would say, the faith
[00:32:47.580 --> 00:32:48.580]   to do so much.
[00:32:48.580 --> 00:32:51.700]   Now, I'm going to come to that later, so let's move forward.
[00:32:51.700 --> 00:32:54.740]   Let's request and pray for residing strength.
[00:32:54.740 --> 00:33:00.420]   Again, when we think about Christ dwelling within us, really, like think about that.
[00:33:00.420 --> 00:33:07.420]   I mean, we want to have not a temporary God is our physician who is a visiting doctor.
[00:33:07.420 --> 00:33:13.580]   No, we want Christ to be residing with us, daily abiding with us, walking with him step
[00:33:13.580 --> 00:33:15.220]   by step.
[00:33:15.220 --> 00:33:18.340]   Let's pray for an established strength.
[00:33:18.340 --> 00:33:23.820]   You know how that passage described being rooted and grounded in love?
[00:33:23.820 --> 00:33:25.380]   Doesn't that just challenge you so much?
[00:33:25.380 --> 00:33:27.300]   Let me ask you, right?
[00:33:27.300 --> 00:33:33.820]   How many of you now, especially in these uncertain times, actually feel like you are rooted,
[00:33:33.820 --> 00:33:35.900]   very unshakable, right?
[00:33:35.900 --> 00:33:41.460]   The tides of the day, the news, it's not causing you to shift left and right, but rather you
[00:33:41.460 --> 00:33:43.140]   feel like you're rooted.
[00:33:43.140 --> 00:33:48.660]   What's more, that term, the next term of grounded is talking about established on a firm foundation.
[00:33:48.660 --> 00:33:53.780]   Again, very descriptive ways to describe being the strength that we're supposed to have and
[00:33:53.780 --> 00:33:59.580]   lastly, he prays that we would be filled with the fullness of God.
[00:33:59.580 --> 00:34:01.300]   Wow.
[00:34:01.300 --> 00:34:04.420]   Filled with the fullness of God.
[00:34:04.420 --> 00:34:07.140]   I want you to think about that again.
[00:34:07.140 --> 00:34:11.180]   What we are praying for is not temporary success.
[00:34:11.180 --> 00:34:12.980]   I mean, let me ask this question in this way.
[00:34:12.980 --> 00:34:13.980]   What would be a miracle?
[00:34:13.980 --> 00:34:14.980]   Right?
[00:34:14.980 --> 00:34:17.620]   Sometimes we're just sitting there thinking, "Oh my gosh, it would be so sweet.
[00:34:17.620 --> 00:34:21.740]   It'd be such a miracle if..."
[00:34:21.740 --> 00:34:25.900]   And then we have these thoughts about what could happen if all our bills were paid, if
[00:34:25.900 --> 00:34:30.940]   our student loans were gone, if our X, Y, and Z happened.
[00:34:30.940 --> 00:34:31.940]   Would that be the miracle?
[00:34:31.940 --> 00:34:38.580]   I think here and now when we think about being filled with God over and over again, this
[00:34:38.580 --> 00:34:42.260]   would be to us the eternal miracle, right?
[00:34:42.260 --> 00:34:46.700]   This would be to us something that pervades every single part of our lives.
[00:34:46.700 --> 00:34:48.740]   Constant strength.
[00:34:48.740 --> 00:34:49.980]   Constant strength.
[00:34:49.980 --> 00:34:51.500]   I want that.
[00:34:51.500 --> 00:34:53.860]   This is the kind of strength I want.
[00:34:53.860 --> 00:34:57.500]   And I pray that this is the kind of prayer that we're praying for the people that we
[00:34:57.500 --> 00:34:58.500]   love.
[00:34:58.500 --> 00:35:02.900]   And more importantly, this is the kind of prayer that we're praying for ourselves.
[00:35:02.900 --> 00:35:06.400]   Apostle Paul says this is what he is praying for.
[00:35:06.400 --> 00:35:08.060]   He wants us to be strong.
[00:35:08.060 --> 00:35:13.820]   And you know that later on, Apostle Paul is going to command us, "Finally, be strong.
[00:35:13.820 --> 00:35:17.260]   Be strong in the might of the Lord."
[00:35:17.260 --> 00:35:23.020]   And essentially what Apostle Paul has been trying to do is to show us God is absolutely
[00:35:23.020 --> 00:35:29.260]   transforming us from that depraved sinner who was dead in transgression so far from
[00:35:29.260 --> 00:35:30.260]   God.
[00:35:30.260 --> 00:35:33.460]   Look at how transformed you are now.
[00:35:33.460 --> 00:35:35.060]   You have the Spirit in you.
[00:35:35.060 --> 00:35:38.300]   The whole time he's been trying to show us the richness of what we have.
[00:35:38.300 --> 00:35:43.940]   He's been saying from the very beginning, "Look how you've been so incredibly blessed.
[00:35:43.940 --> 00:35:44.940]   You have it all.
[00:35:44.940 --> 00:35:49.540]   You have every single spiritual blessing.
[00:35:49.540 --> 00:35:55.180]   Please do not walk around with your head down, acting as though you have nothing."
[00:35:55.180 --> 00:35:58.860]   Let's meditate on this for a little bit.
[00:35:58.860 --> 00:36:06.500]   God wants to transform us, but for us, do we live our Christian lives as though we've
[00:36:06.500 --> 00:36:09.780]   been just trying to do a diet?
[00:36:09.780 --> 00:36:11.700]   This is my example.
[00:36:11.700 --> 00:36:17.380]   I think for a lot of times, people, they feel this need for the internal strength, especially
[00:36:17.380 --> 00:36:20.380]   when it comes to things like diets, right?
[00:36:20.380 --> 00:36:22.420]   Because they know it's good for them.
[00:36:22.420 --> 00:36:24.420]   They've experienced what it feels like when you're unhealthy.
[00:36:24.420 --> 00:36:30.060]   You're all sluggish and groggy and unmotivated and tired and fatigued every day.
[00:36:30.060 --> 00:36:31.820]   Nobody wants to feel like that.
[00:36:31.820 --> 00:36:33.220]   And so they know they need to go on a diet.
[00:36:33.220 --> 00:36:38.340]   They know they need to be on a health regimen of exercise and good food.
[00:36:38.340 --> 00:36:40.740]   But then the hard part is what?
[00:36:40.740 --> 00:36:41.740]   Willpower.
[00:36:41.740 --> 00:36:47.580]   When that donut's there, it's just so soft and fluffy.
[00:36:47.580 --> 00:36:52.660]   You just want to eat it, and your willpower is so weak.
[00:36:52.660 --> 00:36:59.420]   Especially if, let's say, you previously were in a habit already of not eating well.
[00:36:59.420 --> 00:37:02.060]   There's so many rationales in your head.
[00:37:02.060 --> 00:37:04.860]   The willpower is weak.
[00:37:04.860 --> 00:37:08.900]   One of the examples that I was thinking of was even something stronger than food, which
[00:37:08.900 --> 00:37:10.200]   is drugs.
[00:37:10.200 --> 00:37:14.380]   You think about all these programs the government tries to put on, whether it was, in my day,
[00:37:14.380 --> 00:37:15.940]   it was the DARE program.
[00:37:15.940 --> 00:37:18.140]   DARE, to keep kids off drugs.
[00:37:18.140 --> 00:37:19.700]   Just say no, right?
[00:37:19.700 --> 00:37:22.780]   It's not cool to do drugs or something like that.
[00:37:22.780 --> 00:37:26.780]   But after evaluation, it's been shown it's just not that effective.
[00:37:26.780 --> 00:37:28.340]   You could try to have run classes.
[00:37:28.340 --> 00:37:31.620]   You could try to have a cop come by your school and just be like, "Yeah, man."
[00:37:31.620 --> 00:37:32.620]   It may work.
[00:37:32.620 --> 00:37:33.620]   It may work.
[00:37:33.620 --> 00:37:36.940]   It may really help to show graphic videos of what happens when you do drugs or something
[00:37:36.940 --> 00:37:38.500]   like that.
[00:37:38.500 --> 00:37:40.640]   But willpower.
[00:37:40.640 --> 00:37:45.840]   Sometimes a kid who's tempted by his friends just doesn't have the willpower to say no.
[00:37:45.840 --> 00:37:48.280]   "Why do I bring this up?"
[00:37:48.280 --> 00:37:49.920]   Is that how you feel with your faith?
[00:37:49.920 --> 00:37:52.480]   Like, "Yeah, I know it's good.
[00:37:52.480 --> 00:37:53.480]   I've seen the video.
[00:37:53.480 --> 00:37:58.340]   I know what happens when you don't practice faithfulness to God and obedience to the Lord."
[00:37:58.340 --> 00:38:01.480]   But the willpower to say no, it's just not there, right?
[00:38:01.480 --> 00:38:03.960]   You just feel so weak.
[00:38:03.960 --> 00:38:10.900]   Now partially, I'm part doing this as an example and metaphor.
[00:38:10.900 --> 00:38:17.520]   But obviously, we've all probably felt the devastating feeling of being defeated and
[00:38:17.520 --> 00:38:23.440]   not having what it feels like, the strength in you to say no to sin and then to say yes
[00:38:23.440 --> 00:38:28.720]   to righteousness and then to do the high calling of God, to love people that are difficult
[00:38:28.720 --> 00:38:33.960]   to love, to swallow your pride, to surrender, to be godly, to be Christ-like.
[00:38:33.960 --> 00:38:39.240]   I mean, we've all experienced what it feels like to have that kind of weakness.
[00:38:39.240 --> 00:38:44.040]   But Apostle Paul is challenging every single one of us.
[00:38:44.040 --> 00:38:45.700]   Let's pray.
[00:38:45.700 --> 00:38:50.780]   Let's pray for the strength because the strength is available to us in Christ.
[00:38:50.780 --> 00:38:53.700]   In some sense, we have it.
[00:38:53.700 --> 00:38:56.660]   We need to realize and exercise.
[00:38:56.660 --> 00:39:02.220]   We need to make sure that we are trying to live this life not with these rationales.
[00:39:02.220 --> 00:39:05.820]   Sometimes people come to me when they have sufferings and they're just like, "But
[00:39:05.820 --> 00:39:10.380]   dude, Pastor Mark, you don't know the things that I've been through, right?
[00:39:10.380 --> 00:39:11.940]   People don't know the things that I've been through.
[00:39:11.940 --> 00:39:15.100]   It's way too hard to move forward."
[00:39:15.100 --> 00:39:18.760]   I'm going to encourage you.
[00:39:18.760 --> 00:39:19.860]   Partially true.
[00:39:19.860 --> 00:39:24.860]   I may not have suffered to the extent you have, okay?
[00:39:24.860 --> 00:39:28.500]   But this does not apply to our Lord Jesus Christ.
[00:39:28.500 --> 00:39:32.740]   He has gone through so much suffering.
[00:39:32.740 --> 00:39:34.660]   He can sympathize with us.
[00:39:34.660 --> 00:39:38.780]   He will empathize in every way that we are tempted.
[00:39:38.780 --> 00:39:44.700]   And God is going to show us his great power, his great strength in us through Christ.
[00:39:44.700 --> 00:39:48.780]   A kind of strength where we're not just overcoming a test, right?
[00:39:48.780 --> 00:39:56.140]   We're overcoming the demons and the Satans of this world and all the evil forces of schemes
[00:39:56.140 --> 00:39:58.540]   and darkness.
[00:39:58.540 --> 00:40:03.860]   We're overcoming years of slavery.
[00:40:03.860 --> 00:40:08.540]   We're overcoming wickedness, ungodliness.
[00:40:08.540 --> 00:40:11.820]   I want to encourage you, every single one of you.
[00:40:11.820 --> 00:40:14.820]   Apostle Paul is praying for power.
[00:40:14.820 --> 00:40:19.820]   And Christ himself, even this past week, I was reminded, he is the one who said, "Through
[00:40:19.820 --> 00:40:24.020]   faith, you could tell this mountain to jump into the ocean."
[00:40:24.020 --> 00:40:26.380]   That's how powerful faith is.
[00:40:26.380 --> 00:40:29.060]   Do you understand?
[00:40:29.060 --> 00:40:33.100]   Through faith, you're going to be made new.
[00:40:33.100 --> 00:40:37.700]   And even from beginning in this life, you're going to experience that newness.
[00:40:37.700 --> 00:40:40.620]   And I want to encourage you with that.
[00:40:40.620 --> 00:40:42.460]   That's incredible.
[00:40:42.460 --> 00:40:48.260]   And so you guys recall, that's from Mark 11, verse 23, that with faith, even just a
[00:40:48.260 --> 00:40:53.660]   mustard seed, everything we thought impossible without God is absolutely possible with the
[00:40:53.660 --> 00:40:54.660]   Lord.
[00:40:54.660 --> 00:40:58.140]   Hebrews 11, just think about how powerful faith is.
[00:40:58.140 --> 00:41:01.380]   The strength that God gives to us through faith.
[00:41:01.380 --> 00:41:04.740]   I mean, individuals, I've seen it.
[00:41:04.740 --> 00:41:06.700]   Individuals who are deathly afraid of doing something.
[00:41:06.700 --> 00:41:08.500]   Like, "I could never confront my parents.
[00:41:08.500 --> 00:41:11.860]   I could never talk to that person through faith.
[00:41:11.860 --> 00:41:15.580]   I could never speak in front of the church, give their testimony, and everybody in the
[00:41:15.580 --> 00:41:17.100]   room is crying because it's so moving."
[00:41:17.100 --> 00:41:18.100]   Right?
[00:41:18.100 --> 00:41:23.300]   But beyond that, the halls of faith, through faith, they left their home.
[00:41:23.300 --> 00:41:26.660]   Through faith, they fought nations and mighty kingdoms.
[00:41:26.660 --> 00:41:28.700]   Through faith, they abandoned everything.
[00:41:28.700 --> 00:41:34.260]   Through faith, they were stoned, tortured, and some sawn in half.
[00:41:34.260 --> 00:41:37.180]   Think about how powerful faith is.
[00:41:37.180 --> 00:41:45.180]   And remember, because we just exited, came out of the Easter week, scripture says that
[00:41:45.180 --> 00:41:48.780]   the power of Christ's resurrection is in you.
[00:41:48.780 --> 00:41:53.080]   The incredible power of Christ's resurrection is in you.
[00:41:53.080 --> 00:41:58.100]   To persevere through suffering, to fight against every temptation, if you are struggling and
[00:41:58.100 --> 00:42:01.820]   trying to decide what's right to do, and you know what's right to do, but you feel that
[00:42:01.820 --> 00:42:04.700]   weakness, like, "I don't know if I can do it."
[00:42:04.700 --> 00:42:09.580]   The spirit of Christ's resurrection is in you to make those decisions.
[00:42:09.580 --> 00:42:15.820]   The spirit of Christ's resurrection is in you to make bold statements for Christ.
[00:42:15.820 --> 00:42:21.140]   I will say, like, again, I've confessed so many times, the fear of man sometimes is in
[00:42:21.140 --> 00:42:22.500]   me.
[00:42:22.500 --> 00:42:27.020]   And when I'm talking to somebody, I felt just the jitters, the butterflies in my stomach,
[00:42:27.020 --> 00:42:30.820]   and my voice quivering like I'm crying or something.
[00:42:30.820 --> 00:42:35.540]   And when I'm focused and I know this is my Lord, I can speak.
[00:42:35.540 --> 00:42:37.020]   I can speak truth.
[00:42:37.020 --> 00:42:41.780]   Because that truth of God is absolutely powerful to save.
[00:42:41.780 --> 00:42:45.140]   I want to encourage you again.
[00:42:45.140 --> 00:42:47.260]   We have power.
[00:42:47.260 --> 00:42:49.820]   We have great, great power.
[00:42:49.820 --> 00:42:54.220]   And sometimes when I see people and they're in the midst of the sin, we get it.
[00:42:54.220 --> 00:42:56.620]   You feel weak.
[00:42:56.620 --> 00:43:02.780]   Here and now is particularly, especially a time for you to exercise this faith.
[00:43:02.780 --> 00:43:07.220]   There is an incredible spiritual power for you in the name of Christ.
[00:43:07.220 --> 00:43:12.540]   And so Apostle Paul is going to command us later in Ephesians 6.10, "Finally, be strong
[00:43:12.540 --> 00:43:16.460]   in the Lord and in the strength of his might."
[00:43:16.460 --> 00:43:25.340]   You know, I want to conclude with this last point, point number four, which is to say
[00:43:25.340 --> 00:43:28.100]   this.
[00:43:28.100 --> 00:43:34.500]   Sometimes I listen to prosperity gospel teachers because it kind of gets your blood boiling
[00:43:34.500 --> 00:43:36.980]   and then also gets your mind going like, "Ugh!"
[00:43:36.980 --> 00:43:38.860]   You know, "How do you convince these people?"
[00:43:38.860 --> 00:43:39.860]   You know?
[00:43:39.860 --> 00:43:43.660]   Well, what's funny is that some of the prosperity gospel preachers say the exact same statements
[00:43:43.660 --> 00:43:45.660]   that I just said like a moment ago.
[00:43:45.660 --> 00:43:46.940]   "There's power in you.
[00:43:46.940 --> 00:43:49.300]   There's resurrected power in you."
[00:43:49.300 --> 00:43:51.580]   And you guys know what I'm talking about.
[00:43:51.580 --> 00:43:55.780]   Now, why am I then not a prosperity gospel preacher?
[00:43:55.780 --> 00:44:02.500]   It's because although they may say similar things, we know that they end at, and that
[00:44:02.500 --> 00:44:07.180]   power is going to now do for you, your will.
[00:44:07.180 --> 00:44:13.680]   That power now is going to translate to you, my car, my house, my wife, my life, and maybe
[00:44:13.680 --> 00:44:16.220]   even my glory.
[00:44:16.220 --> 00:44:21.340]   Because when we take a look at Ephesians chapter 3, verse 20-21, the ending of this
[00:44:21.340 --> 00:44:26.460]   passage, Apostle Paul says, "Now to him who is able to do far more abundantly beyond all
[00:44:26.460 --> 00:44:31.220]   that we ask or think according to the power that works within us, you can stop there and
[00:44:31.220 --> 00:44:32.220]   wonder, 'Huh!
[00:44:32.220 --> 00:44:35.740]   God can do a lot more than what I even have asked.'"
[00:44:35.740 --> 00:44:37.780]   And prosperity gospels have used that.
[00:44:37.780 --> 00:44:41.580]   Gospel preachers have used that and said, "Oh, God's going to do wonderful things for
[00:44:41.580 --> 00:44:42.580]   you."
[00:44:42.580 --> 00:44:45.900]   But verse 21, we can't not read that.
[00:44:45.900 --> 00:44:50.900]   It says, "To him be the glory in the church and in Christ Jesus in all generations forever
[00:44:50.900 --> 00:44:51.900]   and ever.
[00:44:51.900 --> 00:44:52.900]   Amen."
[00:44:52.900 --> 00:44:53.900]   Right?
[00:44:53.900 --> 00:44:59.860]   The prosperity gospel preachers will use that and turn and twist and pervert everything
[00:44:59.860 --> 00:45:04.100]   to feed our blasphemous self-idolization.
[00:45:04.100 --> 00:45:06.140]   That's absolutely ridiculous.
[00:45:06.140 --> 00:45:13.060]   And as a matter of fact, that is such a blasphemous diminishing of the power of God.
[00:45:13.060 --> 00:45:18.820]   You're bringing God's power down to this when you think that God's power is relegated to
[00:45:18.820 --> 00:45:23.260]   buy you that car, that house, and what more?
[00:45:23.260 --> 00:45:28.780]   Because again, honestly speaking, all that is is actually the power of man.
[00:45:28.780 --> 00:45:33.700]   The vast majority of people in America, if they work hard and save, at least in the next
[00:45:33.700 --> 00:45:37.820]   five to ten years, they're going to be able to afford a vehicle.
[00:45:37.820 --> 00:45:39.220]   Right?
[00:45:39.220 --> 00:45:43.740]   And to say that you're going to exercise this faith and you're going to exercise your disciplines
[00:45:43.740 --> 00:45:49.660]   and you're going to seek the Lord in praise so that he can get you that car, that is such
[00:45:49.660 --> 00:45:54.260]   a gross undermining of God's power.
