
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:34:38.800 --> 00:34:45.800]   and Paul is warning Timothy as a young pastor preparing him to go to the area of Ephesus
[00:34:45.800 --> 00:34:51.800]   to fight wrong doctrines because all these fellow co-workers are starting to drop out and backslide.
[00:34:51.800 --> 00:34:56.800]   And he's telling them, he's telling Timothy, "I want you to prepare for this.
[00:34:56.800 --> 00:34:59.800]   This is what you're going to run into as a pastor."
[00:34:59.800 --> 00:35:06.800]   He says, "At the end times, you're going to run into people who are holding to a form of godliness
[00:35:06.800 --> 00:35:10.800]   although they have denied its power.
[00:35:10.800 --> 00:35:17.800]   Avoid such men as these, always learning and never able to come to the knowledge of the truth."
[00:35:17.800 --> 00:35:22.800]   A form of godliness, in other words, they do what you're supposed to do externally.
[00:35:22.800 --> 00:35:25.800]   They have a reputation of being godly because they know how to play this game.
[00:35:25.800 --> 00:35:28.800]   They've been in the church for a very long time.
[00:35:28.800 --> 00:35:32.800]   You know what to say. If they ask you how you're doing spiritually,
[00:35:32.800 --> 00:35:37.800]   "I'm doing okay," or "I'm struggling," and you know what you can say.
[00:35:37.800 --> 00:35:41.800]   You know how to get along. So you have a form of godliness,
[00:35:41.800 --> 00:35:44.800]   but you have no knowledge of its power.
[00:35:44.800 --> 00:35:47.800]   That's the distinction between somebody who's excited about his faith
[00:35:47.800 --> 00:35:51.800]   and passionately pursuing Christ because you've recognized his power,
[00:35:51.800 --> 00:35:56.800]   you've experienced his power, versus somebody who's always hearing the sermon
[00:35:56.800 --> 00:36:01.800]   but never able to come to the true knowledge of his son, Jesus Christ.
[00:36:01.800 --> 00:36:08.800]   You notice here in verse 7, he says, "Always learning, but never able to come to the knowledge of truth."
[00:36:08.800 --> 00:36:13.800]   You notice here, he says, "He's always learning, but never knowing."
[00:36:13.800 --> 00:36:17.800]   Always learning, but never knowing.
[00:36:17.800 --> 00:36:19.800]   You see the distinction that he's making?
[00:36:19.800 --> 00:36:23.800]   That you can study, especially if you're at a Bible-teaching church,
[00:36:23.800 --> 00:36:26.800]   we're doing Bible study, and you're going through the verses,
[00:36:26.800 --> 00:36:30.800]   and you're always learning. You're adding knowledge upon knowledge upon knowledge,
[00:36:30.800 --> 00:36:34.800]   but you're never coming and encountering Christ
[00:36:34.800 --> 00:36:38.800]   because we're refusing him in some way in our life.
[00:36:38.800 --> 00:36:45.800]   We've created this pseudo-Christian life that is completely contrary to what the Bible teaches,
[00:36:45.800 --> 00:36:50.800]   and so you've accumulated so much knowledge about the Bible,
[00:36:50.800 --> 00:36:53.800]   but you don't know Christ.
[00:36:53.800 --> 00:36:56.800]   You know the distinction between somebody who's learning a lot
[00:36:56.800 --> 00:37:00.800]   versus somebody who encounters and knows God?
[00:37:00.800 --> 00:37:04.800]   Somebody who has a lot of knowledge, the benefit of having a lot of knowledge,
[00:37:04.800 --> 00:37:07.800]   that you know that I have that knowledge.
[00:37:07.800 --> 00:37:10.800]   So the more that I read, the more that I encounter,
[00:37:10.800 --> 00:37:13.800]   the more that I want you to know how much I know,
[00:37:13.800 --> 00:37:16.800]   because that's the benefit of the study.
[00:37:16.800 --> 00:37:19.800]   But the difference between somebody who's constantly studying
[00:37:19.800 --> 00:37:21.800]   and not encountering and knowing God
[00:37:21.800 --> 00:37:28.800]   is an individual whose knowledge is always learning to know Christ.
[00:37:28.800 --> 00:37:31.800]   And that's the distinction between somebody who's always learning,
[00:37:31.800 --> 00:37:36.800]   but not knowing Christ, versus somebody who's learning and encountering Christ.
[00:37:36.800 --> 00:37:39.800]   Because a person who is learning to encounter Christ,
[00:37:39.800 --> 00:37:43.800]   you'll see in their language they're going to be talking about who Jesus is.
[00:37:43.800 --> 00:37:46.800]   But an individual who accumulates a lot of knowledge
[00:37:46.800 --> 00:37:49.800]   are going to make sure that you know how much knowledge they have,
[00:37:49.800 --> 00:37:52.800]   what books that they've read, people that they know.
[00:37:52.800 --> 00:37:54.800]   That's who he says.
[00:37:54.800 --> 00:38:00.800]   That in the church, in our generation, our biggest challenge now is that,
[00:38:00.800 --> 00:38:02.800]   where we have a form of godliness.
[00:38:02.800 --> 00:38:06.800]   You have no knowledge of his power.
[00:38:06.800 --> 00:38:12.800]   See, God's grace reminds us and challenges us and warns us
[00:38:12.800 --> 00:38:15.800]   to live according to what's going to last.
[00:38:15.800 --> 00:38:18.800]   And that's what he was saying in verse 26 and 27.
[00:38:18.800 --> 00:38:22.800]   His voice shook the earth then, but now he is promising,
[00:38:22.800 --> 00:38:28.800]   yet once more I will shake not only the earth, but also the heaven.
[00:38:28.800 --> 00:38:32.800]   He's reminding them about when he showed himself at Mount Sinai,
[00:38:32.800 --> 00:38:37.800]   where people were terrified, and his very presence scared them.
[00:38:37.800 --> 00:38:40.800]   And as he came and he shook the earth, he says,
[00:38:40.800 --> 00:38:43.800]   but now God is speaking from heaven.
[00:38:43.800 --> 00:38:46.800]   It's not just a portion of his glory. It wasn't a theophany.
[00:38:46.800 --> 00:38:50.800]   God himself from heaven is speaking to us directly.
[00:38:50.800 --> 00:38:53.800]   And he says, yet once more denotes the removing of those things
[00:38:53.800 --> 00:38:55.800]   which cannot be shaken as of creative things,
[00:38:55.800 --> 00:39:00.800]   so that those things which cannot be shaken may remain.
[00:39:00.800 --> 00:39:03.800]   You know, this building, some of you guys may remember
[00:39:03.800 --> 00:39:06.800]   when we were trying to get into this building about four plus years ago.
[00:39:06.800 --> 00:39:09.800]   You know, we had all these things that we had to do,
[00:39:09.800 --> 00:39:13.800]   but most of the things that we did to this building to move in here
[00:39:13.800 --> 00:39:15.800]   are things that you wouldn't notice, right?
[00:39:15.800 --> 00:39:17.800]   Because we deliberately bought this building
[00:39:17.800 --> 00:39:21.800]   because we didn't want to do a lot of construction.
[00:39:21.800 --> 00:39:27.800]   So we spent almost, I think about $700,000 to $800,000 fixing this place up.
[00:39:27.800 --> 00:39:32.800]   The majority of that went to things that you can't see.
[00:39:32.800 --> 00:39:35.800]   It was because this used to be a plumbing warehouse,
[00:39:35.800 --> 00:39:37.800]   and so there weren't a lot of people in this room.
[00:39:37.800 --> 00:39:40.800]   So in order for us to convert this to a church,
[00:39:40.800 --> 00:39:42.800]   because of the number of people coming in and out,
[00:39:42.800 --> 00:39:46.800]   the city had a different requirement for the seismic standard,
[00:39:46.800 --> 00:39:49.800]   meaning that it has to withhold, you know,
[00:39:49.800 --> 00:39:52.800]   the building has to be much stronger than a plumbing building
[00:39:52.800 --> 00:39:56.800]   because if an earthquake hits, it needs to make sure that it doesn't fall.
[00:39:56.800 --> 00:39:59.800]   So the majority of the money went to making holes.
[00:39:59.800 --> 00:40:03.800]   You know these beams? Each one of these beams had to be fortified.
[00:40:03.800 --> 00:40:07.800]   So we had guys go up there with a drill, maybe about a foot long,
[00:40:07.800 --> 00:40:10.800]   and make drills, and then we had to have...
[00:40:10.800 --> 00:40:15.800]   Yeah, we had to anchor it. Yeah.
[00:40:15.800 --> 00:40:18.800]   I forgot. I wasn't looking for anchor. I was looking for the screws.
[00:40:18.800 --> 00:40:20.800]   Okay, yeah, bolts. Yeah.
[00:40:20.800 --> 00:40:25.800]   We had to have like almost a foot long bolts to anchor each one of...
[00:40:25.800 --> 00:40:30.800]   Every one of these beams have about eight anchors in each one of them.
[00:40:30.800 --> 00:40:33.800]   And it's not just here. This is all throughout the building, upstairs,
[00:40:33.800 --> 00:40:35.800]   even in the cafe area.
[00:40:35.800 --> 00:40:38.800]   So all of that had to be torn down, all the air conditioning,
[00:40:38.800 --> 00:40:41.800]   the insulation, all of that had to be torn down,
[00:40:41.800 --> 00:40:44.800]   and then just put back up.
[00:40:44.800 --> 00:40:47.800]   That was majority of the construction in this area.
[00:40:47.800 --> 00:40:49.800]   And so when the inspectors came,
[00:40:49.800 --> 00:40:52.800]   they actually had our construction guys go up there
[00:40:52.800 --> 00:40:55.800]   and take out some of the stuff to make sure that we did it correctly.
[00:40:55.800 --> 00:40:59.800]   Because all the aesthetic stuff about the stage, about the painting,
[00:40:59.800 --> 00:41:01.800]   they didn't care about that stuff.
[00:41:01.800 --> 00:41:04.800]   The main thing that they cared about was if an earthquake hit,
[00:41:04.800 --> 00:41:07.800]   that because now this is going to be used as a church,
[00:41:07.800 --> 00:41:10.800]   we need to make sure that this building is going to be sound.
[00:41:10.800 --> 00:41:14.800]   So if there's an earthquake, this is the best place to be.
[00:41:14.800 --> 00:41:17.800]   Right? They tell you normally run outside.
[00:41:17.800 --> 00:41:20.800]   I would run back in. Right?
[00:41:20.800 --> 00:41:23.800]   All of that because they want to make sure,
[00:41:23.800 --> 00:41:27.800]   especially in California, that if the big one hits,
[00:41:27.800 --> 00:41:30.800]   and it happens to be in the middle of our service,
[00:41:30.800 --> 00:41:34.800]   that this building isn't going to easily collapse.
[00:41:34.800 --> 00:41:37.800]   See, when the Bible says, when the passage in Hebrews says,
[00:41:37.800 --> 00:41:41.800]   that when he comes, he's going to be shaking things,
[00:41:41.800 --> 00:41:44.800]   and he repeats this over and over again in these two verses,
[00:41:44.800 --> 00:41:47.800]   is to remind us that everything that we hold,
[00:41:47.800 --> 00:41:51.800]   that's not going to stand the test of the shaking,
[00:41:51.800 --> 00:41:54.800]   is not going to make it.
[00:41:54.800 --> 00:41:57.800]   So this morning what I want to go over is this shaking.
[00:41:57.800 --> 00:42:01.800]   What did it mean, and what was it teaching, and what is he referring to?
[00:42:01.800 --> 00:42:04.800]   So first of all, when there's a violent shake,
[00:42:04.800 --> 00:42:07.800]   when God shows up and there's a violent shake,
[00:42:07.800 --> 00:42:12.800]   it was to remind them of the awesomeness of who God is.
[00:42:12.800 --> 00:42:15.800]   To take his word seriously.
[00:42:15.800 --> 00:42:18.800]   Exodus 19, verse 18, "Now Mount Sinai was all in smoke,
[00:42:18.800 --> 00:42:21.800]   because the Lord descended upon it in fire,
[00:42:21.800 --> 00:42:24.800]   and its smoke ascended like the smoke of a furnace,
[00:42:24.800 --> 00:42:28.800]   and the whole mountain quaked violently."
[00:42:28.800 --> 00:42:31.800]   And then again in Judges 5, 4-5, referring to the giving of the law,
[00:42:31.800 --> 00:42:34.800]   it says, "The Lord, when you went out from Seir,
[00:42:34.800 --> 00:42:37.800]   when you marched from the field of Edom, the earthquake,
[00:42:37.800 --> 00:42:40.800]   the heavens also dropped, dripped, even the clouds dripped water,
[00:42:40.800 --> 00:42:43.800]   the mountains quaked at the presence of the Lord,
[00:42:43.800 --> 00:42:47.800]   this Sinai at the presence of the Lord, the God of Israel."
[00:42:47.800 --> 00:42:52.800]   You know, I think most Californians have become desensitized to earthquakes,
[00:42:52.800 --> 00:42:55.800]   but if you've ever had a family member or friend
[00:42:55.800 --> 00:42:59.800]   who doesn't live in California, and they come to visit or live here for a short period,
[00:42:59.800 --> 00:43:03.800]   and then a minor earthquake hits, maybe like a 3.0,
[00:43:03.800 --> 00:43:08.800]   you know, a 3.0 earthquake for most Californians is nothing, right?
[00:43:08.800 --> 00:43:12.800]   But the idea of the earth shifting, I mean, think about that.
[00:43:12.800 --> 00:43:15.800]   If you've never experienced that before, the earth,
[00:43:15.800 --> 00:43:18.800]   we're not talking about strong winds, we're not talking about fire,
[00:43:18.800 --> 00:43:25.800]   we're talking about the earth on which your house is built on moves.
[00:43:25.800 --> 00:43:28.800]   I mean, he's reminding them, remember when God showed up,
[00:43:28.800 --> 00:43:31.800]   and there was a violent quaking, and that God's presence,
[00:43:31.800 --> 00:43:36.800]   even the mountains were shaking in His presence.
[00:43:36.800 --> 00:43:39.800]   What do you think that did to the people?
[00:43:39.800 --> 00:43:43.800]   Automatically, when there was a shaking, they realized something serious,
[00:43:43.800 --> 00:43:48.800]   something powerful was coming, that God's presence alone
[00:43:48.800 --> 00:43:51.800]   would shake the very foundations of the earth.
[00:43:51.800 --> 00:43:55.800]   That's what he is referring to, and yet he says in verse 26,
[00:43:55.800 --> 00:43:59.800]   "Yet," do you remember when God spoke from earth,
[00:43:59.800 --> 00:44:04.800]   "Yet, once more I will shake not only the earth, but also the heavens."
[00:44:04.800 --> 00:44:11.800]   Everything created is going to be tested when it is in the presence of a holy God.
[00:44:11.800 --> 00:44:13.800]   That's what it's referring to.
[00:44:13.800 --> 00:44:16.800]   You know, those of you who've lived in California for a long period of time,
[00:44:16.800 --> 00:44:18.800]   you guys remember the Northridge earthquake.
[00:44:18.800 --> 00:44:20.800]   Some of you guys may not have been born by then,
[00:44:20.800 --> 00:44:22.800]   some of you are a little bit older.
[00:44:22.800 --> 00:44:29.800]   In 1994, at 4.30 a.m. in Northridge, there was a 6.7 magnitude.
[00:44:29.800 --> 00:44:33.800]   They said there was over $77 billion of damage that was done.
[00:44:33.800 --> 00:44:36.800]   So some of you guys who are a little bit older may remember.
[00:44:36.800 --> 00:44:40.800]   During that time, basically California was shut down for a long period,
[00:44:40.800 --> 00:44:42.800]   especially in Northridge.
[00:44:42.800 --> 00:44:46.800]   I knew somebody who just closed on a house,
[00:44:46.800 --> 00:44:48.800]   literally two, three months before the earthquake hit,
[00:44:48.800 --> 00:44:51.800]   and there wasn't a single house that wasn't affected by this earthquake.
[00:44:51.800 --> 00:44:53.800]   It was that big.
[00:44:53.800 --> 00:44:57.800]   Either cracked walls or fences were torn down.
[00:44:57.800 --> 00:44:59.800]   Freeways collapsed over there.
[00:44:59.800 --> 00:45:01.800]   Remember the 405?
[00:45:01.800 --> 00:45:03.800]   Freeways completely collapsed, and you couldn't get around.
[00:45:03.800 --> 00:45:06.800]   That's how bad big 6.9 was.
[00:45:06.800 --> 00:45:10.800]   But as bad as that was, the biggest earthquake that I personally experienced
[00:45:10.800 --> 00:45:13.800]   was the one in Whittier in 1987.
[00:45:13.800 --> 00:45:15.800]   And the reason why that was more devastating to me
[00:45:15.800 --> 00:45:18.800]   was because I was in La Mirada that day.
[00:45:18.800 --> 00:45:20.800]   And La Mirada is the neighboring city to that.
[00:45:20.800 --> 00:45:25.800]   And I was getting ready to go to my Old Testament survey class at 7.45,
[00:45:25.800 --> 00:45:27.800]   and the class was at 8 o'clock,
[00:45:27.800 --> 00:45:31.800]   and I just started seeing this shift like that, just like an earthquake.
[00:45:31.800 --> 00:45:33.800]   But this one kept on going.
[00:45:33.800 --> 00:45:34.800]   It got stronger and stronger.
[00:45:34.800 --> 00:45:37.800]   And I literally saw the parking lot move like that.
[00:45:37.800 --> 00:45:39.800]   You know how you have earthquakes that shake,
[00:45:39.800 --> 00:45:41.800]   and then you have an earthquake that rolls?
[00:45:41.800 --> 00:45:43.800]   That one was kind of that--rolled like that.
[00:45:43.800 --> 00:45:46.800]   And it was rolling, and I thought, "Okay, Jesus is here."
[00:45:46.800 --> 00:45:48.800]   [laughter]
[00:45:48.800 --> 00:45:51.800]   It's like--I've experienced an earthquake, but nothing like that.
[00:45:51.800 --> 00:45:54.800]   And then I saw--if you know Biola, most of the buildings in Biola,
[00:45:54.800 --> 00:45:57.800]   at least the older buildings, are made out of brick.
[00:45:57.800 --> 00:46:01.800]   And I saw brick buildings curving like that on the parking lot.
[00:46:01.800 --> 00:46:04.800]   And I'm standing here, and I saw cars at the end of the parking lot
[00:46:04.800 --> 00:46:05.800]   come up and down like this.
[00:46:05.800 --> 00:46:06.800]   This is it.
[00:46:06.800 --> 00:46:10.800]   Earth is opening up, you know, and I'm ready to meet the Lord.
[00:46:10.800 --> 00:46:14.800]   I had friends who were already in the class jumping out of the window.
[00:46:14.800 --> 00:46:16.800]   It was on the first floor, so it wasn't that dangerous.
[00:46:16.800 --> 00:46:17.800]   [laughter]
[00:46:17.800 --> 00:46:20.800]   But everybody was going crazy, and I remember like, "Wow,
[00:46:20.800 --> 00:46:22.800]   I've never experienced anything like that.
[00:46:22.800 --> 00:46:25.800]   How can cement and brick move that way?"
[00:46:25.800 --> 00:46:30.800]   As crazy as that was, on the news they said,
[00:46:30.800 --> 00:46:34.800]   "You know, this may be a precursor to something bigger coming."
[00:46:34.800 --> 00:46:38.800]   Because ever since I've been in California, the experts, seismologists,
[00:46:38.800 --> 00:46:43.800]   have been saying the big one is coming, and that wasn't the big one.
[00:46:43.800 --> 00:46:47.800]   Even the 6.7 in Whittier, I mean in Northridge, as big as that was,
[00:46:47.800 --> 00:46:49.800]   is that all of these things are going to trigger.
[00:46:49.800 --> 00:46:51.800]   So every time there's an earthquake in California,
[00:46:51.800 --> 00:46:55.800]   there's a fear that it's going to trigger the big one.
[00:46:55.800 --> 00:46:59.800]   And if you may have heard about the big one, and if you haven't heard of it,
[00:46:59.800 --> 00:47:03.800]   I'm going to tell you now so that you don't need to be informed.
[00:47:03.800 --> 00:47:07.800]   They said that this is going to be so big, there's a possibility
[00:47:07.800 --> 00:47:14.800]   that California may crack away from the rest of the country.
[00:47:14.800 --> 00:47:15.800]   Yeah, that's what they said.
[00:47:15.800 --> 00:47:18.800]   That's how big the San Andreas Fault is going to be,
[00:47:18.800 --> 00:47:21.800]   that we can be a gigantic Hawaii.
[00:47:21.800 --> 00:47:23.800]   They say that this may happen.
[00:47:23.800 --> 00:47:26.800]   So what happened was, after the '87 earthquake happened,
[00:47:26.800 --> 00:47:31.800]   after the '94 earthquake happened, there was a mass exodus from California.
[00:47:31.800 --> 00:47:35.800]   I know there's a mass exodus right now because of political reasons,
[00:47:35.800 --> 00:47:37.800]   but it was nothing like back then.
[00:47:37.800 --> 00:47:41.800]   Back then, people were packing up their bags and moving to Colorado, wherever,
[00:47:41.800 --> 00:47:43.800]   outside of California.
[00:47:43.800 --> 00:47:49.800]   Rightfully so, because they were saying that California was going to crack.
[00:47:49.800 --> 00:47:55.800]   So how can you possibly invest in anything here if the earth is going to crack?
[00:47:55.800 --> 00:47:58.800]   How can you possibly purchase a house if the house can be broken
[00:47:58.800 --> 00:48:00.800]   when the earthquake hits?
[00:48:00.800 --> 00:48:04.800]   What can you possibly--what are you going to build here
[00:48:04.800 --> 00:48:06.800]   if the earthquake is going to come?
[00:48:06.800 --> 00:48:12.800]   So out of fear, in order to live, people packed up everything and left.
[00:48:12.800 --> 00:48:15.800]   Obviously, it's been many years since that has happened,
[00:48:15.800 --> 00:48:19.800]   but every time there's an earthquake, that announcement gets recirculated.
[00:48:19.800 --> 00:48:21.800]   It didn't happen. It's going to happen.
[00:48:21.800 --> 00:48:24.800]   It's not a matter of if. It's a matter of when.
[00:48:24.800 --> 00:48:28.800]   So those of us who lived through that, we've become desensitized.
[00:48:28.800 --> 00:48:31.800]   It's like, "Ah, it's going to happen. I heard this before."
[00:48:31.800 --> 00:48:34.800]   It's been many years. 20, 30 years have already passed.
[00:48:34.800 --> 00:48:38.800]   "It'll happen. I'm sure it'll happen, but maybe not during my lifetime."
[00:48:38.800 --> 00:48:41.800]   Those of you who've never heard this before,
[00:48:41.800 --> 00:48:43.800]   you're almost like, "Oh my gosh, is this real?"
[00:48:43.800 --> 00:48:46.800]   Well, look it up. I'm not making this up. This is real.
[00:48:46.800 --> 00:48:48.800]   Why am I saying all of this stuff?
[00:48:48.800 --> 00:48:54.800]   Because the author of Hebrews is reminding us that no matter how great
[00:48:54.800 --> 00:48:57.800]   of an earthquake you may have experienced in the past,
[00:48:57.800 --> 00:49:00.800]   when Jesus comes in His full glory,
[00:49:00.800 --> 00:49:05.800]   whatever human history has experienced is going to pale in comparison.
[00:49:05.800 --> 00:49:09.800]   For some reason, we have presented the gospel in such a way
[00:49:09.800 --> 00:49:14.800]   that Jesus is still this meek, humble servant who's on his knees
[00:49:14.800 --> 00:49:17.800]   looking for people's feet to wash.
[00:49:17.800 --> 00:49:20.800]   And all of these things are true. It's in the Bible.
[00:49:20.800 --> 00:49:23.800]   But have you read Revelation?
[00:49:23.800 --> 00:49:27.800]   Because Revelation is just as important as the Gospel of John.
[00:49:27.800 --> 00:49:30.800]   Have you read Revelation? When He comes in His glory,
[00:49:30.800 --> 00:49:32.800]   He's not coming as a humble servant.
[00:49:32.800 --> 00:49:36.800]   He's coming as the King of kings and Lord of lords.
[00:49:36.800 --> 00:49:40.800]   Go back and read chapter 1. Go back and read the rest of Revelation.
[00:49:40.800 --> 00:49:42.800]   Jesus is coming in His full glory.
[00:49:42.800 --> 00:49:47.800]   And when He comes, the Bible says, "The earth will shake."
[00:49:47.800 --> 00:49:52.800]   And this shaking is going to be much greater than what happened in Mount Sinai.
[00:49:52.800 --> 00:49:55.800]   In Revelation 6.12 it says, "I looked when He broke the sixth seal,
[00:49:55.800 --> 00:49:58.800]   and there was a great earthquake, and the sun became black,
[00:49:58.800 --> 00:50:02.800]   and sackcloth made of air, and the whole moon became like blood."
[00:50:02.800 --> 00:50:06.800]   Revelation 11.13, "And in that hour there was a great earthquake,
[00:50:06.800 --> 00:50:10.800]   and a tenth of the city fell, 7,000 people were killed in the earthquake."
[00:50:10.800 --> 00:50:13.800]   7,000 people were killed, and rest were terrified,
[00:50:13.800 --> 00:50:16.800]   and gave glory to God of heaven.
[00:50:16.800 --> 00:50:18.800]   Isn't that strange?
[00:50:18.800 --> 00:50:21.800]   People are dying. They're terrified.
[00:50:21.800 --> 00:50:27.800]   And yet it says God was receiving the glory.
[00:50:27.800 --> 00:50:30.800]   Because they knew. They knew.
[00:50:30.800 --> 00:50:34.800]   In the presence of God's glory, all this was happening because of His presence,
[00:50:34.800 --> 00:50:36.800]   not because of lack of His presence.
[00:50:36.800 --> 00:50:42.800]   In Revelation 16.17-20, "And the seventh angel poured out his bowl upon the air."
[00:50:42.800 --> 00:50:44.800]   This is the last judgment that is explained.
[00:50:44.800 --> 00:50:49.800]   "And a loud voice came out of the temple from the throne, saying, 'It is done.'"
[00:50:49.800 --> 00:50:54.800]   The judgment is done, "and there were flashes, and lightning, and sounds, and peals of thunder,
[00:50:54.800 --> 00:51:01.800]   and there was a great earthquake, such as there had not been since man came to be upon the earth.
[00:51:01.800 --> 00:51:05.800]   So great an earthquake was it, and so mighty."
[00:51:05.800 --> 00:51:10.800]   So there is trembling throughout the judgment,
[00:51:10.800 --> 00:51:15.800]   and then it ends with the greatest trembling that mankind has ever seen.
[00:51:15.800 --> 00:51:21.800]   He says all of this to reveal that God in His full glory will come.
[00:51:21.800 --> 00:51:24.800]   Are we ready for this?
[00:51:24.800 --> 00:51:29.800]   We know that the earth, when it shakes, it deserves all of us.
[00:51:29.800 --> 00:51:32.800]   And some people are willing to pack up and go somewhere else.
[00:51:32.800 --> 00:51:35.800]   Rightfully so.
[00:51:35.800 --> 00:51:39.800]   But yet, do we believe that when He comes,
[00:51:39.800 --> 00:51:43.800]   that anything that you and I have experienced is going to pale in comparison?
[00:51:43.800 --> 00:51:46.800]   So when there is a quaking in the Bible,
[00:51:46.800 --> 00:51:50.800]   it is to remind us of the awesomeness of God's presence that's coming.
[00:51:50.800 --> 00:51:57.800]   But secondly, when a quaking happens, the Bible says that it is to test and to purify
[00:51:57.800 --> 00:52:01.800]   and make sure that all the non-essentials are shaken off.
[00:52:01.800 --> 00:52:07.800]   In Hebrews 12, verse 27, this expression yet once more denotes the removing of those things
[00:52:07.800 --> 00:52:10.800]   which can be shaken as the created thing,
[00:52:10.800 --> 00:52:15.800]   so that those things which cannot be shaken may remain.
[00:52:15.800 --> 00:52:20.800]   God allows some shaking in our lives at times
[00:52:20.800 --> 00:52:26.800]   to cause us to take a second look and see how valuable these things are.
[00:52:26.800 --> 00:52:28.800]   Are these things going to make it?
[00:52:28.800 --> 00:52:31.800]   That's why we have all these things that are placed in,
[00:52:31.800 --> 00:52:35.800]   so that when the earthquake comes, that we can make it through the earthquake.
[00:52:35.800 --> 00:52:39.800]   But this building hasn't been tested.
[00:52:39.800 --> 00:52:42.800]   Even though it's all there, all the preparation has been made.
[00:52:42.800 --> 00:52:46.800]   The city would not allow us to come into this building unless the preparation has been made,
[00:52:46.800 --> 00:52:48.800]   but it hasn't been tested.
[00:52:48.800 --> 00:52:55.800]   The Bible says that God allows smaller tremors in our lives to test the quality of our faith.
[00:52:55.800 --> 00:53:00.800]   In 1 Peter 1, 6-7, "In this you greatly rejoice, even though now for a little while,
[00:53:00.800 --> 00:53:04.800]   if necessary you have been distressed by various trials,
[00:53:04.800 --> 00:53:08.800]   so that the proof of your faith being more precious than gold,
[00:53:08.800 --> 00:53:11.800]   which is perishable, even though tested by fire,
[00:53:11.800 --> 00:53:17.800]   may be found to result in praise and glory, honor and revelation of Jesus Christ."
[00:53:17.800 --> 00:53:20.800]   When the great Judgment Day comes,
[00:53:20.800 --> 00:53:25.800]   the only thing that's going to matter, the only thing that's going to save us,
[00:53:25.800 --> 00:53:30.800]   the only thing that's going to have value is the quality of our faith,
[00:53:30.800 --> 00:53:34.800]   which is going to cover us from the wrath that is to come.
[00:53:34.800 --> 00:53:40.800]   So He allows us to experience the tremors to test the quality of our faith.
[00:53:40.800 --> 00:53:42.800]   That's what He says.
[00:53:42.800 --> 00:53:49.800]   Like I said, this building has been prepared for a greater seismic, you know, if it does come,
[00:53:49.800 --> 00:53:50.800]   but it hasn't been tested.
[00:53:50.800 --> 00:53:52.800]   But you know what has been tested?
[00:53:52.800 --> 00:53:53.800]   My house.
[00:53:53.800 --> 00:53:56.800]   My house has been tested, and it's tested all the time.
[00:53:56.800 --> 00:54:00.800]   The reason why it's tested is because we live next to a train track.
[00:54:00.800 --> 00:54:03.800]   We've been living next to a train track for over 10 to 12 years.
[00:54:03.800 --> 00:54:08.800]   And so when you first live next to a train track, like it's kind of disturbing,
[00:54:08.800 --> 00:54:11.800]   and I don't think that's a place that a lot of people would like to live
[00:54:11.800 --> 00:54:14.800]   because your house is always shaking, right?
[00:54:14.800 --> 00:54:17.800]   I've gotten so used to it, like I don't even notice.
[00:54:17.800 --> 00:54:23.800]   In fact, unless the earthquake is anything below 4.5, I don't even wake up because,
[00:54:23.800 --> 00:54:25.800]   "Oh, it's a train," right?
[00:54:25.800 --> 00:54:29.800]   But that house that we live in is constantly shaking.
[00:54:29.800 --> 00:54:31.800]   So you know when the Metro goes by?
[00:54:31.800 --> 00:54:35.800]   I know it's the Metro with people on it because it moves fast, and it's pretty light,
[00:54:35.800 --> 00:54:38.800]   and it comes and it shakes for a little while like this, and then it's gone.
[00:54:38.800 --> 00:54:43.800]   But I know when those freight trains come, you know, it's long, slow-moving, heavy,
[00:54:43.800 --> 00:54:45.800]   and really it rumbles.
[00:54:45.800 --> 00:54:47.800]   It literally just rumbles like this.
[00:54:47.800 --> 00:54:50.800]   And whatever conversation we have, we have to stop for a second,
[00:54:50.800 --> 00:54:52.800]   unless we have the window closed.
[00:54:52.800 --> 00:54:55.800]   So there is no settling in our house.
[00:54:55.800 --> 00:54:57.800]   You know, most houses, especially the newer ones, you buy it,
[00:54:57.800 --> 00:55:00.800]   and then in the middle of the night you'll hear creaking.
[00:55:00.800 --> 00:55:01.800]   You know what I mean?
[00:55:01.800 --> 00:55:03.800]   It's not the ghost.
[00:55:03.800 --> 00:55:06.800]   It's your house, just kind of the weight of the house just kind of settling
[00:55:06.800 --> 00:55:09.800]   and the slight movements of the wood.
[00:55:09.800 --> 00:55:13.800]   So if you're a new house owner, that's what happens to a house.
[00:55:13.800 --> 00:55:17.800]   It takes years, and the house just kind of settles, right?
[00:55:17.800 --> 00:55:18.800]   Our house has been settled.
[00:55:18.800 --> 00:55:19.800]   I don't hear any creaking.
[00:55:19.800 --> 00:55:23.800]   I've lived in other houses, but I usually don't hear any creaks in our house
[00:55:23.800 --> 00:55:27.800]   because whatever creaking settling is going to happen, it's happened, right?
[00:55:27.800 --> 00:55:31.800]   Because every day it's being tested, right?
[00:55:31.800 --> 00:55:34.800]   Now, we haven't been tested by the magnitude of that size,
[00:55:34.800 --> 00:55:37.800]   but the small tremors does nothing to our house, right?
[00:55:37.800 --> 00:55:39.800]   And it's deliberately built that way.
[00:55:39.800 --> 00:55:42.800]   And homes in California are better built for that reason
[00:55:42.800 --> 00:55:45.800]   because we're used to tremors, right?
