
[00:00:00.000 --> 00:00:02.460]   ♪ Once composed ♪
[00:24:40.400 --> 00:24:41.900]   superiority of Christ,
[00:24:41.900 --> 00:24:45.900]   what does that mean outside of, you know, right?
[00:24:45.900 --> 00:24:47.900]   What is the proper response to that?
[00:24:47.900 --> 00:24:50.400]   So there are three things that he,
[00:24:50.400 --> 00:24:52.400]   three imperatives that you'll see.
[00:24:52.400 --> 00:24:55.400]   So in verse 22, the first imperative is,
[00:24:55.400 --> 00:24:57.900]   "Let us draw near with sincere hearts."
[00:24:57.900 --> 00:24:59.400]   Let us draw near.
[00:24:59.400 --> 00:25:02.400]   And so I titled that "Reaching Up," right?
[00:25:02.400 --> 00:25:04.900]   Our response, first and foremost, is to reach up.
[00:25:04.900 --> 00:25:07.900]   23, "Let us hold fast to the confession of our hope,"
[00:25:07.900 --> 00:25:09.900]   to reach in, right?
[00:25:09.900 --> 00:25:12.400]   So first, to draw near to God.
[00:25:12.400 --> 00:25:14.900]   Second, to hold fast to what we have.
[00:25:14.900 --> 00:25:16.400]   And then verse 24,
[00:25:16.400 --> 00:25:19.400]   "And let us consider how to stimulate one another,"
[00:25:19.400 --> 00:25:21.900]   is to reach out, right?
[00:25:21.900 --> 00:25:24.900]   So this, these three imperatives
[00:25:24.900 --> 00:25:27.400]   really is the outline of every imperative
[00:25:27.400 --> 00:25:28.900]   in the New Testament.
[00:25:28.900 --> 00:25:31.400]   It falls into these three categories.
[00:25:31.400 --> 00:25:33.900]   So every preaching of the gospel
[00:25:33.900 --> 00:25:36.900]   leads to a challenge to reach up,
[00:25:36.900 --> 00:25:40.400]   reach in, and to reach out, right?
[00:25:40.400 --> 00:25:42.900]   So every imperative you see in the New Testament
[00:25:42.900 --> 00:25:45.400]   will fall into one of these three categories.
[00:25:45.400 --> 00:25:46.900]   Draw near to God,
[00:25:46.900 --> 00:25:49.400]   persevere in your faith, right,
[00:25:49.400 --> 00:25:50.900]   and be sanctified,
[00:25:50.900 --> 00:25:52.900]   and then to reach out to other believers
[00:25:52.900 --> 00:25:53.900]   and to the world.
[00:25:53.900 --> 00:25:55.400]   Reach up, reach in, reach out.
[00:25:55.400 --> 00:25:57.900]   So that's the outline of the sermon for today.
[00:25:57.900 --> 00:26:00.900]   I'm going to just get into the first two imperatives,
[00:26:00.900 --> 00:26:03.400]   and then the third one, the verse 24 and 25,
[00:26:03.400 --> 00:26:04.900]   we'll get to next week, okay?
[00:26:04.900 --> 00:26:06.400]   Just so that, give you a heads up.
[00:26:06.400 --> 00:26:07.900]   We're going to spend most of our time
[00:26:07.900 --> 00:26:09.400]   with the first imperative,
[00:26:09.400 --> 00:26:11.400]   and then we're going to spend some time in the second one,
[00:26:11.400 --> 00:26:13.900]   and then again, third one, we'll get into next week, okay?
[00:26:13.900 --> 00:26:16.900]   So the first imperative, right?
[00:26:16.900 --> 00:26:20.400]   "Therefore," he says, "since we have confidence,"
[00:26:20.400 --> 00:26:21.900]   and again, he's reminding us,
[00:26:21.900 --> 00:26:24.400]   this is something that he's been saying all along.
[00:26:24.400 --> 00:26:26.900]   "Since we have confidence to enter the holy place
[00:26:26.900 --> 00:26:28.400]   by the blood of Jesus,"
[00:26:28.400 --> 00:26:30.400]   in other words, since now the door
[00:26:30.400 --> 00:26:32.900]   has been opened where it wasn't opened before,
[00:26:32.900 --> 00:26:34.900]   "by the new and living way,
[00:26:34.900 --> 00:26:37.900]   which he inaugurated for us through the veil,"
[00:26:37.900 --> 00:26:39.400]   that is his flesh,
[00:26:39.400 --> 00:26:41.400]   "and again, since we have a great high priest
[00:26:41.400 --> 00:26:42.400]   over the house of God,"
[00:26:42.400 --> 00:26:45.400]   since all of these things that I've been saying is true,
[00:26:45.400 --> 00:26:47.400]   then our proper response,
[00:26:47.400 --> 00:26:49.900]   first and most important response is,
[00:26:49.900 --> 00:26:51.900]   "Let us draw near."
[00:26:51.900 --> 00:26:53.400]   Draw near.
[00:26:53.400 --> 00:26:55.400]   Now, like I said,
[00:26:55.400 --> 00:26:57.900]   the first and most important response
[00:26:57.900 --> 00:27:00.400]   of every person who hears the gospel
[00:27:00.400 --> 00:27:01.400]   is to draw near to God.
[00:27:01.400 --> 00:27:03.900]   That's his whole point.
[00:27:03.900 --> 00:27:07.900]   Now, how many of you have ever heard the term "inclusio"?
[00:27:07.900 --> 00:27:10.400]   It's not Italian. It's Greek.
[00:27:10.400 --> 00:27:11.400]   Okay?
[00:27:11.400 --> 00:27:14.400]   Well, it's basically a literary form of the New Testament
[00:27:14.400 --> 00:27:18.400]   where it begins a thought at one part of the letter,
[00:27:18.400 --> 00:27:20.400]   and then that thought kind of is concluded
[00:27:20.400 --> 00:27:21.400]   at another part of the letter,
[00:27:21.400 --> 00:27:24.400]   and usually the inclusio could be a very short text,
[00:27:24.400 --> 00:27:26.400]   but sometimes it could be a long text,
[00:27:26.400 --> 00:27:28.900]   and usually the reason,
[00:27:28.900 --> 00:27:31.400]   how you know that that's the case
[00:27:31.400 --> 00:27:33.900]   is that you'll see almost verbatim
[00:27:33.900 --> 00:27:36.400]   the same words, the same phrase, same idea
[00:27:36.400 --> 00:27:37.900]   that started in one text,
[00:27:37.900 --> 00:27:40.900]   and then almost exact repeating of that
[00:27:40.900 --> 00:27:41.900]   happens at another text,
[00:27:41.900 --> 00:27:44.900]   which means the main point was introduced,
[00:27:44.900 --> 00:27:46.900]   and then they gave the argument,
[00:27:46.900 --> 00:27:48.900]   and then they're giving the conclusion.
[00:27:48.900 --> 00:27:52.400]   So this text is the end part of that inclusio.
[00:27:52.400 --> 00:27:54.900]   The first beginning part of that happened
[00:27:54.900 --> 00:27:58.900]   in Hebrews 4, 14-16,
[00:27:58.900 --> 00:28:00.400]   and let me read it for you,
[00:28:00.400 --> 00:28:02.400]   and it's going to sound exactly like this text
[00:28:02.400 --> 00:28:05.400]   because this is the beginning of this inclusio.
[00:28:05.400 --> 00:28:07.900]   It says, "Therefore, since we have a great high priest
[00:28:07.900 --> 00:28:08.900]   who has passed through the heavens,
[00:28:08.900 --> 00:28:09.900]   Jesus the Son of God,
[00:28:09.900 --> 00:28:12.900]   let us hold fast our confession.
[00:28:12.900 --> 00:28:14.400]   For we do not have the high priest
[00:28:14.400 --> 00:28:16.400]   who cannot sympathize with our weaknesses,
[00:28:16.400 --> 00:28:18.900]   but one who has been tempted in all things as we are,
[00:28:18.900 --> 00:28:19.900]   yet without sin.
[00:28:19.900 --> 00:28:22.400]   Therefore, let us draw near with confidence
[00:28:22.400 --> 00:28:23.400]   to the throne of grace
[00:28:23.400 --> 00:28:25.400]   so that we may receive mercy and find grace
[00:28:25.400 --> 00:28:27.900]   to help in time of need."
[00:28:27.900 --> 00:28:30.900]   So it almost is verbatim
[00:28:30.900 --> 00:28:32.900]   of what he is saying in this text,
[00:28:32.900 --> 00:28:36.900]   and so this idea is introduced to us in chapter 4,
[00:28:36.900 --> 00:28:37.900]   and so in other words,
[00:28:37.900 --> 00:28:39.900]   this is kind of like a conclusion
[00:28:39.900 --> 00:28:41.900]   of the point that he was trying to make,
[00:28:41.900 --> 00:28:43.900]   and then he's going to go into the imperatives
[00:28:43.900 --> 00:28:46.900]   and saying that this is how we ought to live.
[00:28:46.900 --> 00:28:49.400]   So just so that you know the structure
[00:28:49.400 --> 00:28:50.900]   of what's going on,
[00:28:50.900 --> 00:28:52.400]   and it helps us to understand
[00:28:52.400 --> 00:28:54.900]   the importance of what he is saying in this text
[00:28:54.900 --> 00:28:56.400]   because it is the conclusion
[00:28:56.400 --> 00:28:58.900]   of everything that he's been saying.
[00:28:58.900 --> 00:29:01.400]   And the most important part of this conclusion
[00:29:01.400 --> 00:29:05.400]   of all his argument was to draw near.
[00:29:05.400 --> 00:29:08.900]   That's his main point, to draw near.
[00:29:08.900 --> 00:29:11.900]   Not to simply admire from a distance,
[00:29:11.900 --> 00:29:14.400]   not to just give information.
[00:29:14.400 --> 00:29:17.900]   In fact, that imperative to draw near
[00:29:17.900 --> 00:29:18.900]   is not unique to this text.
[00:29:18.900 --> 00:29:22.400]   He repeats it over and over again in chapter 4, 16,
[00:29:22.400 --> 00:29:25.400]   chapter 7, 19, chapter 7, 25,
[00:29:25.400 --> 00:29:27.900]   chapter 10, verse 1, chapter 10, 22,
[00:29:27.900 --> 00:29:30.900]   chapter 11, verse 6, chapter 12, verse 23.
[00:29:30.900 --> 00:29:32.400]   Over and over again,
[00:29:32.400 --> 00:29:34.900]   as he is teaching Christology,
[00:29:34.900 --> 00:29:37.900]   he will conclude or he will begin by saying,
[00:29:37.900 --> 00:29:39.400]   "Let us draw near."
[00:29:39.400 --> 00:29:42.400]   We need to draw near, draw near.
[00:29:42.400 --> 00:29:44.400]   He's saying this in particular in this context
[00:29:44.400 --> 00:29:47.400]   because the people were drifting.
[00:29:47.400 --> 00:29:50.400]   They were moving away from Christ.
[00:29:50.400 --> 00:29:51.900]   So every little thing that he says,
[00:29:51.900 --> 00:29:54.900]   every imperative, every Christology he gives,
[00:29:54.900 --> 00:29:57.400]   he says, "We need to draw near."
[00:29:57.400 --> 00:29:59.400]   Remember, the very first things
[00:29:59.400 --> 00:30:01.400]   that he said to his disciples,
[00:30:01.400 --> 00:30:03.400]   he said to come, right?
[00:30:03.400 --> 00:30:06.900]   "Come to me and I will make you fishers of men."
[00:30:06.900 --> 00:30:08.900]   When he invited the sinners,
[00:30:08.900 --> 00:30:11.400]   first and foremost, before he sent them out,
[00:30:11.400 --> 00:30:12.900]   he said to come.
[00:30:12.900 --> 00:30:15.900]   You know, typically when we think of Jesus' ministry,
[00:30:15.900 --> 00:30:17.900]   we think of at the end part of it,
[00:30:17.900 --> 00:30:18.900]   he has a great commission.
[00:30:18.900 --> 00:30:20.900]   He says to go, right?
[00:30:20.900 --> 00:30:21.900]   Go make disciples.
[00:30:21.900 --> 00:30:24.400]   And so the mission of the church is to go.
[00:30:24.400 --> 00:30:26.900]   And so we have a lot of people who are like geared up to go.
[00:30:26.900 --> 00:30:27.900]   We got to be a missionary.
[00:30:27.900 --> 00:30:31.400]   We got to share the gospel, which is true, right?
[00:30:31.400 --> 00:30:33.400]   God called all of us to go.
[00:30:33.400 --> 00:30:34.900]   But remember, the very last thing
[00:30:34.900 --> 00:30:36.900]   that Jesus says to his disciples
[00:30:36.900 --> 00:30:39.400]   before he leaves in John, chapter 15,
[00:30:39.400 --> 00:30:41.400]   is to stay.
[00:30:41.400 --> 00:30:43.400]   The last of the seven "I am" statements,
[00:30:43.400 --> 00:30:45.900]   he says, "I am the true vine,
[00:30:45.900 --> 00:30:50.400]   and you cannot bear fruit unless you remain with me."
[00:30:50.400 --> 00:30:53.900]   And that word "remain" basically means to stay.
[00:30:53.900 --> 00:30:56.900]   That as I called you to myself,
[00:30:56.900 --> 00:31:00.900]   you cannot bear fruit unless you remain with me.
[00:31:00.900 --> 00:31:03.900]   So his last imperative that he gave his disciples
[00:31:03.900 --> 00:31:05.900]   before he gave the commandment to go
[00:31:05.900 --> 00:31:08.900]   is to remain, to continue to draw near to him,
[00:31:08.900 --> 00:31:10.400]   to be connected to him.
[00:31:10.400 --> 00:31:12.900]   Even the great commission,
[00:31:12.900 --> 00:31:14.400]   if you remember, he says,
[00:31:14.400 --> 00:31:16.400]   "Go, therefore, make disciples of all the nations,
[00:31:16.400 --> 00:31:17.900]   baptizing them in the name of the Father, Son,
[00:31:17.900 --> 00:31:19.400]   and the Holy Spirit,
[00:31:19.400 --> 00:31:21.400]   teaching them to observe all that I have commanded you."
[00:31:21.400 --> 00:31:22.900]   And then how does it end?
[00:31:22.900 --> 00:31:26.900]   "And lo, I am with you to the end of the age."
[00:31:26.900 --> 00:31:27.900]   Right?
[00:31:27.900 --> 00:31:29.900]   So his commandment is to go,
[00:31:29.900 --> 00:31:31.900]   but in order to go, he says,
[00:31:31.900 --> 00:31:34.400]   "You must stay. You must remain."
[00:31:34.400 --> 00:31:37.400]   So the most important imperative
[00:31:37.400 --> 00:31:41.400]   for any sinner or any believer of Christ
[00:31:41.400 --> 00:31:44.900]   is to continue to draw near to God.
[00:31:44.900 --> 00:31:46.900]   We cannot bear fruit.
[00:31:46.900 --> 00:31:49.400]   We can act, we can perform,
[00:31:49.400 --> 00:31:51.400]   we can work hard,
[00:31:51.400 --> 00:31:54.400]   but unless we are near Christ,
[00:31:54.400 --> 00:31:57.900]   we cannot bear fruit.
[00:31:57.900 --> 00:32:00.900]   He says to draw near, right?
[00:32:00.900 --> 00:32:02.400]   But he doesn't just say to draw near.
[00:32:02.400 --> 00:32:05.900]   He says to draw near with confidence.
[00:32:05.900 --> 00:32:07.900]   I mean, it's one thing to just draw near
[00:32:07.900 --> 00:32:09.400]   to the throne of God,
[00:32:09.400 --> 00:32:12.400]   it's just to come with confidence, with boldness.
[00:32:12.400 --> 00:32:15.400]   And he mentions that same term all over Hebrews,
[00:32:15.400 --> 00:32:17.900]   but again, in the beginning of Inclusio,
[00:32:17.900 --> 00:32:20.900]   he said, "Hold fast our confession," right?
[00:32:20.900 --> 00:32:22.400]   "That we may draw near with," what?
[00:32:22.400 --> 00:32:23.900]   "Confidence."
[00:32:23.900 --> 00:32:25.900]   And then chapter 10, he begins,
[00:32:25.900 --> 00:32:28.900]   "Therefore, since we have confidence to draw near."
[00:32:28.900 --> 00:32:30.900]   So in both Inclusios,
[00:32:30.900 --> 00:32:32.900]   it says not only to draw near,
[00:32:32.900 --> 00:32:35.400]   but to draw near with confidence.
[00:32:35.400 --> 00:32:36.900]   Beginning, draw near with confidence.
[00:32:36.900 --> 00:32:38.400]   Now, since we have this confidence
[00:32:38.400 --> 00:32:41.400]   that this is what we ought to do.
[00:32:41.400 --> 00:32:43.400]   Now, why do you think he emphasizes
[00:32:43.400 --> 00:32:46.400]   to be able to come with confidence?
[00:32:46.400 --> 00:32:49.400]   Imagine as a Jew,
[00:32:49.400 --> 00:32:52.400]   every part of the tabernacle in the Old Testament law,
[00:32:52.400 --> 00:32:55.900]   the old covenant, did not tell them to come.
[00:32:55.900 --> 00:32:58.400]   In fact, remember when God was given the covenant
[00:32:58.400 --> 00:33:01.400]   at Mount Sinai, remember what he told Moses?
[00:33:01.400 --> 00:33:04.400]   Tell these people not to come to the mountain.
[00:33:04.400 --> 00:33:07.400]   If they come and touch even the outskirts
[00:33:07.400 --> 00:33:10.400]   of the mountain, they or even an animal
[00:33:10.400 --> 00:33:12.400]   touches this mountain, what did he say?
[00:33:12.400 --> 00:33:14.900]   "You shall surely die."
[00:33:14.900 --> 00:33:18.400]   Every part of the tabernacle was to teach them
[00:33:18.400 --> 00:33:20.400]   to not to casually come in.
[00:33:20.400 --> 00:33:22.400]   They couldn't come in.
[00:33:22.400 --> 00:33:24.900]   In fact, remember after he sets up the tabernacle,
[00:33:24.900 --> 00:33:27.400]   the very first offering wasn't given correctly
[00:33:27.400 --> 00:33:31.400]   and they were consumed with God's fire, with judgment.
[00:33:31.400 --> 00:33:35.400]   So a Jew would have naturally thought,
[00:33:35.400 --> 00:33:38.400]   "How can I possibly just enter in?"
[00:33:38.400 --> 00:33:41.400]   That's what a Jew would have asked,
[00:33:41.400 --> 00:33:43.400]   first question would have been asked,
[00:33:43.400 --> 00:33:45.400]   "How can I possibly just enter in?"
[00:33:45.400 --> 00:33:48.400]   And that's why he's telling them, "No, you're able
[00:33:48.400 --> 00:33:52.400]   to come in with confidence. You're able to be bold."
[00:33:52.400 --> 00:33:56.400]   Consider that to today.
[00:33:56.400 --> 00:33:59.400]   Even non-Christians have this confidence
[00:33:59.400 --> 00:34:03.400]   based upon whatever it is that they heard about God,
[00:34:03.400 --> 00:34:05.400]   whatever it is that they heard about the gospel,
[00:34:05.400 --> 00:34:07.400]   for whatever the reason, confidence in the presence
[00:34:07.400 --> 00:34:10.400]   of God is just assumed.
[00:34:10.400 --> 00:34:12.400]   They say, "Yeah, me and God's like this."
[00:34:12.400 --> 00:34:15.400]   You see rappers and movie stars and living in
[00:34:15.400 --> 00:34:18.400]   licentious sins and they have no fear of God
[00:34:18.400 --> 00:34:20.400]   in their life and they say, "You know what?
[00:34:20.400 --> 00:34:24.400]   Thank my Lord. God did this and God did that."
[00:34:24.400 --> 00:34:27.400]   Their relationship with God is just so casual.
[00:34:27.400 --> 00:34:29.400]   It was just assumed.
[00:34:29.400 --> 00:34:32.400]   And they have no idea what the scripture says,
[00:34:32.400 --> 00:34:34.400]   that in their natural state, inasmuch it is appointed
[00:34:34.400 --> 00:34:37.400]   for all men to die once, after this comes judgment.
[00:34:37.400 --> 00:34:40.400]   But they have no idea of this judgment.
[00:34:40.400 --> 00:34:43.400]   So entering into the presence of God is just assumed
[00:34:43.400 --> 00:34:45.400]   in this generation and I think that's the fault
[00:34:45.400 --> 00:34:48.400]   of the gospel preachers.
[00:34:48.400 --> 00:34:52.400]   There's no fear of God and the gospel was preached
[00:34:52.400 --> 00:34:55.400]   without any kind of warning and so we have
[00:34:55.400 --> 00:34:57.400]   a generation of people who don't understand
[00:34:57.400 --> 00:35:00.400]   the holiness of God and so there's this casual
[00:35:00.400 --> 00:35:02.400]   understanding, of course, we enter into the presence
[00:35:02.400 --> 00:35:05.400]   of God. I entered this morning. I entered at night.
[00:35:05.400 --> 00:35:07.400]   When I die, I'm going to enter.
[00:35:07.400 --> 00:35:10.400]   So when I see Jesus and I'm going to have dinner
[00:35:10.400 --> 00:35:13.400]   with Him and I'm going to just have a conversation
[00:35:13.400 --> 00:35:16.400]   and I'm going to do this with Him.
[00:35:16.400 --> 00:35:19.400]   It's just so casual because our understanding
[00:35:19.400 --> 00:35:22.400]   of who God is isn't coming from scripture.
[00:35:22.400 --> 00:35:24.400]   It's coming from our culture.
[00:35:24.400 --> 00:35:27.400]   There's a reason why their author is telling them
[00:35:27.400 --> 00:35:31.400]   and reminding them and encouraging these Jews
[00:35:31.400 --> 00:35:34.400]   that you're able to come with confidence.
[00:35:34.400 --> 00:35:38.400]   But this confidence wasn't coming from just,
[00:35:38.400 --> 00:35:40.400]   again, their experience or their background.
[00:35:40.400 --> 00:35:42.400]   It was from their knowledge.
[00:35:42.400 --> 00:35:44.400]   In Romans chapter 10, one through two,
[00:35:44.400 --> 00:35:47.400]   Paul describes a nation of Israel this way.
[00:35:47.400 --> 00:35:50.400]   Brethren, my heart's desire and my prayer to God
[00:35:50.400 --> 00:35:52.400]   for them is for their salvation.
[00:35:52.400 --> 00:35:54.400]   Paul's talking about the Jews.
[00:35:54.400 --> 00:35:58.400]   For I testify about them that they have a zeal for God.
[00:35:58.400 --> 00:36:01.400]   They're passionate about God.
[00:36:01.400 --> 00:36:05.400]   And I'm pretty sure that Paul's describing himself here.
[00:36:05.400 --> 00:36:07.400]   Because Paul was a zealous man.
[00:36:07.400 --> 00:36:10.400]   He was a passionate man, even to the point
[00:36:10.400 --> 00:36:14.400]   where he was willing to kill people and be killed,
[00:36:14.400 --> 00:36:16.400]   thinking that he was doing what was righteous
[00:36:16.400 --> 00:36:19.400]   in God's eyes. He said, "They have zeal like I did,
[00:36:19.400 --> 00:36:23.400]   but not in accordance with knowledge."
[00:36:23.400 --> 00:36:26.400]   They had this confidence, but it wasn't correct
[00:36:26.400 --> 00:36:29.400]   because they had the wrong knowledge.
[00:36:29.400 --> 00:36:33.400]   See, this confidence isn't just boldness,
[00:36:33.400 --> 00:36:35.400]   or it's not just our personality,
[00:36:35.400 --> 00:36:37.400]   or it's just courage that we're able to muster up.
[00:36:37.400 --> 00:36:40.400]   He says this confidence comes from correct knowledge
[00:36:40.400 --> 00:36:42.400]   of who God is. And that's why he starts by saying,
[00:36:42.400 --> 00:36:45.400]   "He opened the door. He's our high priest.
[00:36:45.400 --> 00:36:47.400]   He shed his blood. The veil was torn."
[00:36:47.400 --> 00:36:50.400]   And so because of all of this that he has done,
[00:36:50.400 --> 00:36:55.400]   this knowledge gives us confidence to enter.
[00:36:55.400 --> 00:37:00.400]   It is lack of knowledge, or lack of conviction
[00:37:00.400 --> 00:37:05.400]   over this knowledge that causes us to be timid.
[00:37:05.400 --> 00:37:10.400]   Years ago, when I was 19, when I first went to school,
[00:37:10.400 --> 00:37:13.400]   college, I thought I was going into business.
[00:37:13.400 --> 00:37:15.400]   So I wanted to learn about real estate.
[00:37:15.400 --> 00:37:17.400]   I wanted to learn about sales.
[00:37:17.400 --> 00:37:20.400]   And so I had a friend who was a peer,
[00:37:20.400 --> 00:37:22.400]   but he was into business.
[00:37:22.400 --> 00:37:25.400]   His parents were already pretty wealthy.
[00:37:25.400 --> 00:37:27.400]   They had several factories.
[00:37:27.400 --> 00:37:31.400]   And his dad actually owned a plastic bag printing company.
[00:37:31.400 --> 00:37:34.400]   So he would supply those plastic bags with the Ralph logo
[00:37:34.400 --> 00:37:35.400]   and, you know, Lucky's.
[00:37:35.400 --> 00:37:37.400]   I don't know if they still exist today.
[00:37:37.400 --> 00:37:39.400]   But he would have these contracts,
[00:37:39.400 --> 00:37:41.400]   and they would print on the plastic bags.
[00:37:41.400 --> 00:37:43.400]   So every once in a while, the dad would print something,
[00:37:43.400 --> 00:37:44.400]   and it would be off.
[00:37:44.400 --> 00:37:47.400]   So it's not centered or something was off.
[00:37:47.400 --> 00:37:49.400]   And so basically it was trash.
[00:37:49.400 --> 00:37:53.400]   So him and I would take these plastic bags that he couldn't give to them,
[00:37:53.400 --> 00:37:57.400]   and we would load it up in our vans, or his van,
[00:37:57.400 --> 00:38:00.400]   and we would drive around, you know, L.A.
[00:38:00.400 --> 00:38:02.400]   And we spent a lot of time in South Central
[00:38:02.400 --> 00:38:04.400]   because that's where all the mom-and-pop shops were
[00:38:04.400 --> 00:38:06.400]   because big chain stores didn't want this.
[00:38:06.400 --> 00:38:09.400]   So these personally owned stores would buy it.
[00:38:09.400 --> 00:38:11.400]   So every time we sell, we would make about $5, $6.
[00:38:11.400 --> 00:38:14.400]   But this is, you know, the product was free.
[00:38:14.400 --> 00:38:16.400]   So we would walk around from store to store,
[00:38:16.400 --> 00:38:18.400]   and then we would try to sell some.
[00:38:18.400 --> 00:38:22.400]   And he was a good salesman, and I thought, you know, I was decent at sales.
[00:38:22.400 --> 00:38:24.400]   So we were making some money.
[00:38:24.400 --> 00:38:27.400]   But I remember walking into this one particular Mexican market,
[00:38:27.400 --> 00:38:28.400]   and it was not a small one.
[00:38:28.400 --> 00:38:34.400]   It was privately owned, but the size of it was probably like the size of our sanctuary.
[00:38:34.400 --> 00:38:37.400]   We went in there, and my friend started talking.
[00:38:37.400 --> 00:38:40.400]   He was using his broken Spanish, and he was trying to sell these plastic bags.
[00:38:40.400 --> 00:38:43.400]   And we could tell immediately they were hostile.
[00:38:43.400 --> 00:38:45.400]   And my friend, we just wouldn't let it go.
[00:38:45.400 --> 00:38:47.400]   You know, and he said, "No, you've got to buy this.
[00:38:47.400 --> 00:38:49.400]   It's for free, and he's using his broken Spanish."
[00:38:49.400 --> 00:38:51.400]   And you could tell they're getting irritated.
[00:38:51.400 --> 00:38:53.400]   We were probably there about 15, 20 minutes,
[00:38:53.400 --> 00:38:55.400]   and I kept on telling my friend, "Hey, let's get out of here.
[00:38:55.400 --> 00:38:57.400]   They're not interested."
[00:38:57.400 --> 00:39:01.400]   Well, the manager got so ticked off, he literally picked up a broom,
[00:39:01.400 --> 00:39:03.400]   and he chased us out of that store.
[00:39:03.400 --> 00:39:07.400]   You know, and we were walking out, and I said, "Dude, what are you doing, man?
[00:39:07.400 --> 00:39:08.400]   Clearly they don't want it."
[00:39:08.400 --> 00:39:09.400]   And he said, "Okay."
[00:39:09.400 --> 00:39:11.400]   So we walk out.
[00:39:11.400 --> 00:39:13.400]   We spend the next few hours walking around different stores,
[00:39:13.400 --> 00:39:18.400]   and then we're going back, and to get back to our car, we had to pass by this store.
[00:39:18.400 --> 00:39:20.400]   So my friend has this great idea.
[00:39:20.400 --> 00:39:22.400]   He's like, "Let's go back in."
[00:39:22.400 --> 00:39:23.400]   I said, "What?"
[00:39:23.400 --> 00:39:26.400]   You know, we barely made it out alive.
[00:39:26.400 --> 00:39:27.400]   How are we going to go back in?
[00:39:27.400 --> 00:39:29.400]   He said, "No, trust me."
[00:39:29.400 --> 00:39:32.400]   So we walked back in, and obviously, you know, I kept my distance,
[00:39:32.400 --> 00:39:34.400]   just in case he gets stoned, you know what I mean?
[00:39:34.400 --> 00:39:36.400]   I don't want to be stoned with him.
[00:39:36.400 --> 00:39:37.400]   So I'm in the back.
[00:39:37.400 --> 00:39:41.400]   I'm watching him do his work, and he's going at it with them.
[00:39:41.400 --> 00:39:43.400]   They're yelling at him, "I told you to get out.
[00:39:43.400 --> 00:39:44.400]   We're not interested."
[00:39:44.400 --> 00:39:48.400]   And he was using his broken Spanish, and they were going back and forth.
[00:39:48.400 --> 00:39:54.400]   And interesting enough, five minutes into it, the owner--I guess the owner opens up
[00:39:54.400 --> 00:39:58.400]   the window from the top, and he's looking down, trying to chase us down,
[00:39:58.400 --> 00:40:01.400]   and you could tell his demeanor changes all of a sudden.
[00:40:01.400 --> 00:40:05.400]   And then he says, "How much?"
[00:40:05.400 --> 00:40:06.400]   So I was shocked.
[00:40:06.400 --> 00:40:09.400]   He went from, "Get out of here," you know, "We're going to throw you out,"
[00:40:09.400 --> 00:40:12.400]   to, "How much?"
[00:40:12.400 --> 00:40:16.400]   As soon as he said that, I was like, "Whoa, this guy's good," right?
[00:40:16.400 --> 00:40:20.400]   I'm going to make sure I'm friends with him for a long time.
[00:40:20.400 --> 00:40:23.400]   This guy--I mean, he became a very successful businessman,
[00:40:23.400 --> 00:40:27.400]   but he ended up unloading everything that we didn't sell that day.
[00:40:27.400 --> 00:40:30.400]   And so because it was a big market, he bought everything that we had,
[00:40:30.400 --> 00:40:35.400]   and we made more money on that one sale than we did all day walking up and down.
[00:40:35.400 --> 00:40:39.400]   So I was, like, thoroughly impressed with this guy, and we're walking out,
[00:40:39.400 --> 00:40:43.400]   and I asked him, I said, "How did you know?"
[00:40:43.400 --> 00:40:44.400]   Right?
[00:40:44.400 --> 00:40:46.400]   "How did you know that this guy was going to buy?"
[00:40:46.400 --> 00:40:50.400]   He said, "Well, I didn't know, but I've been in this store before,
[00:40:50.400 --> 00:40:53.400]   and they chased me out before."
[00:40:53.400 --> 00:40:54.400]   Yeah.
[00:40:54.400 --> 00:40:56.400]   "And I've sold to them before."
[00:40:56.400 --> 00:40:59.400]   So he said, "This was a new--I didn't know any of this stuff," right?
[00:40:59.400 --> 00:41:01.400]   He said, "Yeah."
[00:41:01.400 --> 00:41:04.400]   I mean--and from his personal experience, he says,
[00:41:04.400 --> 00:41:07.400]   "Sometimes you could tell if they're really serious,
[00:41:07.400 --> 00:41:11.400]   or sometimes you're just annoying, they didn't see if you would leave," you know?
[00:41:11.400 --> 00:41:13.400]   And wanted to see, like, if you're really serious about this sale.
[00:41:13.400 --> 00:41:15.400]   And so he was able to distinguish between the two,
[00:41:15.400 --> 00:41:17.400]   and that was the difference between him and I.
[00:41:17.400 --> 00:41:19.400]   I didn't know that.
[00:41:19.400 --> 00:41:22.400]   All I saw was their hostility, and I said, "Okay, we're done.
[00:41:22.400 --> 00:41:26.400]   You know, this is not worth it," where he saw a great potential.
[00:41:26.400 --> 00:41:32.400]   And the difference between his boldness and my timidness was his knowledge.
[00:41:32.400 --> 00:41:34.400]   He knew something that I did not know.
[00:41:34.400 --> 00:41:38.400]   Our confidence to enter the throne of grace is directly linked to
[00:41:38.400 --> 00:41:43.400]   our personal confidence of knowing who Jesus is.
[00:41:43.400 --> 00:41:47.400]   If our confession is simply a verbal confession,
[00:41:47.400 --> 00:41:50.400]   it's just--we just admire him from a distance.
[00:41:50.400 --> 00:41:54.400]   There's reasons why people are timid.
[00:41:54.400 --> 00:41:56.400]   They're timid to preach, they're timid to share,
