
[00:00:00.000 --> 00:00:02.000]   Let's pray.
[00:23:50.000 --> 00:23:53.000]   where you have settled for a standard less than God's.
[00:23:53.000 --> 00:23:57.000]   You know this isn't pleasing to the Lord, but you've settled for it.
[00:23:57.000 --> 00:23:59.000]   It's something to confess and talk about with each other.
[00:23:59.000 --> 00:24:06.000]   And then, the last part is, because the main clause is Apostle Paul praying,
[00:24:06.000 --> 00:24:09.000]   praying and asking for this church,
[00:24:09.000 --> 00:24:13.000]   how does that challenge your prayer content and your prayer practice?
[00:24:13.000 --> 00:24:17.000]   As you compare what Apostle Paul is constantly praying for,
[00:24:17.000 --> 00:24:19.000]   and as you compare what you're constantly praying for,
[00:24:19.000 --> 00:24:21.000]   how does that challenge you?
[00:24:21.000 --> 00:24:25.000]   Okay, let's pray, and then you guys can break up to your groups.
[00:24:25.000 --> 00:24:27.000]   Lord, we thank you so much for your grace,
[00:24:27.000 --> 00:24:32.000]   and we thank you, God, again, that your word is so challenging to us.
[00:24:32.000 --> 00:24:36.000]   Father God, we thank you that, Lord, you are changing us.
[00:24:36.000 --> 00:24:41.000]   And who we are in our natural state is not who you're going to leave us be.
[00:24:41.000 --> 00:24:44.000]   But, God, that your Spirit is working us, your word is at work in us,
[00:24:44.000 --> 00:24:47.000]   you're at work to us through the church,
[00:24:47.000 --> 00:24:50.000]   you are at work in our lives in so many different ways.
[00:24:50.000 --> 00:24:54.000]   And I pray, God, that we would continue just to humble ourselves
[00:24:54.000 --> 00:24:58.000]   and continue to surrender and submit and to follow your lead.
[00:24:58.000 --> 00:25:01.000]   We thank you, Lord, it's in Christ's name we pray. Amen.

