
[00:00:00.000 --> 00:00:04.000]   Good morning, everybody.
[00:22:32.880 --> 00:22:38.080]   was the origin of this evil, but also through the city of Rome, to which all that is horrible
[00:22:38.080 --> 00:22:40.600]   and shameful floods together and is celebrated.
[00:22:40.600 --> 00:22:45.840]   In other words, Tacitus is already saying that if any horrible things are going to happen,
[00:22:45.840 --> 00:22:49.360]   it would happen in Rome because they have a reputation for this.
[00:22:49.360 --> 00:22:54.440]   Therefore, first, those were seized who admitted their faith.
[00:22:54.440 --> 00:22:55.920]   Let me stop right there.
[00:22:55.920 --> 00:22:59.680]   He's describing the persecution, and he said the first group of people were people who
[00:22:59.680 --> 00:23:03.440]   are openly sharing their faith.
[00:23:03.440 --> 00:23:05.960]   That's usually how persecution begins.
[00:23:05.960 --> 00:23:11.120]   If you stay quiet, stay in your house, and you're not outside doing God's work, there
[00:23:11.120 --> 00:23:12.680]   is no need for persecution.
[00:23:12.680 --> 00:23:16.800]   So the first group of people were most likely missionaries who were outside sharing their
[00:23:16.800 --> 00:23:17.800]   faith.
[00:23:17.800 --> 00:23:23.680]   And he says they were the ones who were first seized, and then using the information they
[00:23:23.680 --> 00:23:28.640]   provided, a vast multitude were convicted.
[00:23:28.640 --> 00:23:33.480]   So right now, all the missionaries out in China who's been there for five to ten years,
[00:23:33.480 --> 00:23:37.920]   they're the ones who are in greatest danger, and they are being protected because once
[00:23:37.920 --> 00:23:42.640]   they get in and they get interrogated, they're concerned that they're going to end up finding
[00:23:42.640 --> 00:23:44.400]   other people that are connected to them.
[00:23:44.400 --> 00:23:46.580]   So that's exactly how persecution works.
[00:23:46.580 --> 00:23:49.360]   That's what's going on in China and different parts of the world.
[00:23:49.360 --> 00:23:54.120]   And he says the first intense persecution happened the same way.
[00:23:54.120 --> 00:23:58.280]   It was through the people who are openly admitting their faith, they used the information they
[00:23:58.280 --> 00:24:03.000]   provided, and they went after the people who were connected to them.
[00:24:03.000 --> 00:24:08.320]   Not so much for the crime of burning the city, but for hatred of human race.
[00:24:08.320 --> 00:24:12.240]   And perishing, they were additionally made into sports.
[00:24:12.240 --> 00:24:17.360]   Their persecution was made an entertainment to the Romans.
[00:24:17.360 --> 00:24:22.160]   They were killed by dogs by having the hides of beasts attached to them, or they were nailed
[00:24:22.160 --> 00:24:25.320]   to crosses or set aflame.
[00:24:25.320 --> 00:24:28.560]   When the daylight passed away, they were used as nighttime lamps.
[00:24:28.560 --> 00:24:31.900]   Let me stop right there.
[00:24:31.900 --> 00:24:35.820]   They made the persecution an entertainment for the Roman citizens.
[00:24:35.820 --> 00:24:40.900]   They would crucify them, allow dogs and beasts to tear them apart, and people would pay money
[00:24:40.900 --> 00:24:42.900]   to come and see this.
[00:24:42.900 --> 00:24:47.060]   And then when they were crucified, they would set them aflame, and not only did they die
[00:24:47.060 --> 00:24:54.140]   because of this, Nero decided that he was going to light his garden with these people
[00:24:54.140 --> 00:24:55.180]   who are burning.
[00:24:55.180 --> 00:24:57.560]   This is how ridiculous.
[00:24:57.560 --> 00:25:01.120]   This is the background behind the letter of the book of Hebrews.
[00:25:01.120 --> 00:25:04.520]   And when the daylight passed away, they were used as nighttime lamps.
[00:25:04.520 --> 00:25:09.160]   Nero gave his own gardens for his spectacle and performed a circus game in the habit of
[00:25:09.160 --> 00:25:14.640]   charioteer mixing with the plebs or driving about the race course.
[00:25:14.640 --> 00:25:18.920]   Even though they were clearly guilty and merited being made the most recent example of consequences
[00:25:18.920 --> 00:25:23.920]   of crime, people began to pity these sufferers.
[00:25:23.920 --> 00:25:27.880]   Part of the reason why revival broke out in the first century is because the sentiment
[00:25:27.880 --> 00:25:34.720]   toward the Christians began to change because the Romans were so cruel to the Christians.
[00:25:34.720 --> 00:25:38.400]   Because they were consumed not for public good, but on account of the fierceness of
[00:25:38.400 --> 00:25:39.400]   one man.
[00:25:39.400 --> 00:25:41.480]   Again, it's an indictment against Nero.
[00:25:41.480 --> 00:25:46.280]   That gives us a background behind what was historically being observed by even other
[00:25:46.280 --> 00:25:48.080]   Romans.
[00:25:48.080 --> 00:25:51.760]   That's the background behind the book of Hebrews.
[00:25:51.760 --> 00:25:59.160]   So when he tells them, the author of Hebrews tells them, "Do not neglect gathering together,"
[00:25:59.160 --> 00:26:00.680]   that was the background.
[00:26:00.680 --> 00:26:07.560]   Now our present circumstance is not the same, and I'm not making that connection because
[00:26:07.560 --> 00:26:10.540]   the churches are not shutting down for that reason.
[00:26:10.540 --> 00:26:14.120]   It's for safety reasons, making sure that the virus does not spread.
[00:26:14.120 --> 00:26:22.480]   But we want to make sure that whatever decision that we make, that we place the high value
[00:26:22.480 --> 00:26:26.760]   of gathering together for those who are able to come.
[00:26:26.760 --> 00:26:30.040]   That we want to make sure that when it is necessary, which it seems like we are headed
[00:26:30.040 --> 00:26:36.320]   toward that direction, that when that decision is made, that there is no confusion, the high
[00:26:36.320 --> 00:26:41.080]   priority of what we are doing, because even the government has the warning that they gave
[00:26:41.080 --> 00:26:47.480]   was 250 people or more, that is not essential.
[00:26:47.480 --> 00:26:54.320]   And we consider the gathering of the believers essential, that the closing of Disneyland
[00:26:54.320 --> 00:26:58.360]   should not equate to what we are doing.
[00:26:58.360 --> 00:27:03.960]   Again, we are headed there, and maybe as early as this week, we may have to do so because
[00:27:03.960 --> 00:27:07.700]   we want to abide by the government and what is happening around us.
[00:27:07.700 --> 00:27:09.000]   But we don't want to panic.
[00:27:09.000 --> 00:27:11.180]   We don't want to knock over chairs.
[00:27:11.180 --> 00:27:15.560]   We don't want people to go to supermarkets and buy stuff that the elderly is in need
[00:27:15.560 --> 00:27:17.460]   of.
[00:27:17.460 --> 00:27:22.800]   We want to make sure that we are being prayerful, that we are anchored in Christ, that at the
[00:27:22.800 --> 00:27:27.840]   end of all of this, whether it's two months, three months, or five months from now, that
[00:27:27.840 --> 00:27:33.920]   our values are going to stay intact.
[00:27:33.920 --> 00:27:42.600]   It was written, this letter was written, and he says, the letter itself describes them,
[00:27:42.600 --> 00:27:46.360]   Hebrews chapter 10, 32, "But remember the former days when after being enlightened,
[00:27:46.360 --> 00:27:51.120]   you endured a great conflict of suffering, partly by being made a public spectacle through
[00:27:51.120 --> 00:27:56.140]   reproaches and tribulations, and partly by becoming shares with those who were so treated.
[00:27:56.140 --> 00:28:01.480]   For you showed sympathy to the prisoners and accepted joyfully the seizure of your property."
[00:28:01.480 --> 00:28:06.480]   If this was written by Paul, he may be referring to them coming and visiting Paul, giving him
[00:28:06.480 --> 00:28:08.240]   stuff, giving gifts.
[00:28:08.240 --> 00:28:14.160]   Even if it wasn't written by Paul, Paul says that this group was a very good group.
[00:28:14.160 --> 00:28:15.640]   They were committed Christians.
[00:28:15.640 --> 00:28:21.920]   But when the heat got turned up, they began to run.
[00:28:21.920 --> 00:28:28.660]   So he is reminding them, the whole letter is reminding them, in the midst of this intense
[00:28:28.660 --> 00:28:35.320]   situation to make sure that you are anchored in Christ.
[00:28:35.320 --> 00:28:38.800]   We need to be anchored in Christ in every situation, whether it is in peace, whether
[00:28:38.800 --> 00:28:45.520]   it's in turmoil, but especially in times when we are surrounded by people who are in dire
[00:28:45.520 --> 00:28:53.040]   need of security, that we do not act like the world, that our security doesn't come
[00:28:53.040 --> 00:28:59.800]   from having a stockpile of Purell in our garage, that if we just keep the distance from everybody,
[00:28:59.800 --> 00:29:05.080]   if we just don't get the coronavirus, we are safe.
[00:29:05.080 --> 00:29:07.380]   That is not our safety.
[00:29:07.380 --> 00:29:08.880]   That is not our hope.
[00:29:08.880 --> 00:29:11.140]   That is not our peace.
[00:29:11.140 --> 00:29:15.880]   We need to do everything that we should do as good citizens, as good neighbors, to love
[00:29:15.880 --> 00:29:20.560]   the people around us, to submit to the authority.
[00:29:20.560 --> 00:29:24.720]   But our greatest hope is always in Christ.
[00:29:24.720 --> 00:29:30.180]   If there's any time where that needs to be emphasized, it is now.
[00:29:30.180 --> 00:29:33.420]   Are we anchored in Christ as a church?
[00:29:33.420 --> 00:29:35.260]   Are we anchored in Christ in our homes?
[00:29:35.260 --> 00:29:37.060]   Are we anchored in Christ individually?
[00:29:37.060 --> 00:29:39.200]   Are we anchored in Christ in our friendship?
[00:29:39.200 --> 00:29:44.420]   Are we anchored in Christ in the way we treat our neighbors?
[00:29:44.420 --> 00:29:51.580]   While it is our natural instinct to be concerned over ourselves and our children, is the anchoring
[00:29:51.580 --> 00:29:56.300]   of Christ causing us to act differently than the world?
[00:29:56.300 --> 00:30:00.660]   The author constantly encourages us all throughout the book of Hebrews to not to drift, to be
[00:30:00.660 --> 00:30:01.660]   anchored in Christ.
[00:30:01.660 --> 00:30:03.120]   Hebrews chapter 2, verse 1.
[00:30:03.120 --> 00:30:09.080]   For this reason, we must pay much closer attention to what we have heard.
[00:30:09.080 --> 00:30:11.080]   Why do we need to pay much closer attention?
[00:30:11.080 --> 00:30:13.460]   Because of what was going on.
[00:30:13.460 --> 00:30:14.500]   Because of the persecution.
[00:30:14.500 --> 00:30:17.340]   Because of the threat of death.
[00:30:17.340 --> 00:30:22.380]   You were paying attention, but now you must pay much closer attention.
[00:30:22.380 --> 00:30:24.580]   Christ was always important to us.
[00:30:24.580 --> 00:30:26.260]   He was always our foundation.
[00:30:26.260 --> 00:30:30.940]   The gospel was always precious, but much more now.
[00:30:30.940 --> 00:30:35.740]   He says much more now, pay much closer attention to what you have heard so that we do not drift
[00:30:35.740 --> 00:30:37.520]   away from it.
[00:30:37.520 --> 00:30:40.700]   How is the gospel that we profess?
[00:30:40.700 --> 00:30:45.420]   How are the values that we profess, the heaven that we talk about that we're going to go
[00:30:45.420 --> 00:30:47.360]   to that we're eagerly waiting for?
[00:30:47.360 --> 00:30:54.060]   How does all of that information that we profess, how does it affect the way that we make decisions?
[00:30:54.060 --> 00:31:00.380]   The way we treat our neighbors, what we do in the midst of all of this.
[00:31:00.380 --> 00:31:01.460]   Hebrews chapter 2, 3.
[00:31:01.460 --> 00:31:05.260]   How will we escape if we neglect so great a salvation?
[00:31:05.260 --> 00:31:07.020]   You know what he means by neglect?
[00:31:07.020 --> 00:31:08.980]   Neglect can happen in two ways.
[00:31:08.980 --> 00:31:10.940]   One, simply by doing nothing.
[00:31:10.940 --> 00:31:15.200]   Just sit on the boat and let the current take the boat wherever it goes.
[00:31:15.200 --> 00:31:19.720]   But another way that we end up drifting is by making small compromises.
[00:31:19.720 --> 00:31:24.300]   In this particular situation, just, "Is that really that important?
[00:31:24.300 --> 00:31:25.660]   Do we really need to do that?
[00:31:25.660 --> 00:31:26.660]   What about this?"
[00:31:26.660 --> 00:31:31.260]   And we have a tendency to rationalize disobedience if we're not careful.
[00:31:31.260 --> 00:31:37.820]   And so when he says, "Make sure that we are not neglecting, that compromising and justification
[00:31:37.820 --> 00:31:44.820]   isn't happening in our mind for the purpose of our own protection."
[00:31:44.820 --> 00:31:45.820]   Hebrews chapter 3, 12.
[00:31:45.820 --> 00:31:50.460]   "Take care, brethren, that there not be in any one of you an evil, unbelieving heart
[00:31:50.460 --> 00:31:53.100]   that falls away from the living God."
[00:31:53.100 --> 00:31:57.340]   Over and over again, he says, "Do not neglect, do not neglect, do not neglect, do not let
[00:31:57.340 --> 00:31:59.940]   it yourself drift."
[00:31:59.940 --> 00:32:01.260]   So we need to be anchored in Christ.
[00:32:01.260 --> 00:32:04.440]   Being anchored in Christ doesn't mean that you have to show up at church.
[00:32:04.440 --> 00:32:05.740]   Don't get me wrong.
[00:32:05.740 --> 00:32:09.140]   I think it's a great opportunity, especially for those of you families who are at home
[00:32:09.140 --> 00:32:13.340]   with your children, to share the gospel with your kids, to talk about the worship, talk
[00:32:13.340 --> 00:32:14.340]   about the songs.
[00:32:14.340 --> 00:32:18.660]   It's a great opportunity to establish that if that wasn't there.
[00:32:18.660 --> 00:32:21.220]   Talk about Melchizedek.
[00:32:21.220 --> 00:32:22.220]   Disciple your children.
[00:32:22.220 --> 00:32:23.520]   It's a great opportunity.
[00:32:23.520 --> 00:32:27.260]   But it's Christ at the center of all of this.
[00:32:27.260 --> 00:32:31.720]   When we tend to neglect our salvation and we allow ourselves to drift, the first place
[00:32:31.720 --> 00:32:35.060]   where that shows is the way that we treat our neighbors.
[00:32:35.060 --> 00:32:41.860]   That's why he says in Hebrews 13.2, "Do not neglect to show hospitality to strangers.
[00:32:41.860 --> 00:32:45.580]   For by this some have entertained angels without knowing it."
[00:32:45.580 --> 00:32:51.740]   And again, Hebrews 13.16, "And do not neglect doing good and sharing, for with such sacrifices
[00:32:51.740 --> 00:32:53.900]   God is pleased."
[00:32:53.900 --> 00:33:00.340]   Remember, remember what he said about this church previously, how they endured great
[00:33:00.340 --> 00:33:03.940]   conflict that even made public spectacles.
[00:33:03.940 --> 00:33:06.000]   They showed sympathy, visited prisoners.
[00:33:06.000 --> 00:33:09.300]   They did all of this at one point.
[00:33:09.300 --> 00:33:16.740]   But they're telling them, "Don't neglect it now while this persecution is going on.
[00:33:16.740 --> 00:33:24.100]   While our natural inclination is to be in our shell, me and my family only."
[00:33:24.100 --> 00:33:29.580]   And that's why he's telling them in that context, "Do not neglect to show hospitality towards
[00:33:29.580 --> 00:33:31.380]   strangers."
[00:33:31.380 --> 00:33:34.980]   The most vulnerable people in our society right now are the elderly.
[00:33:34.980 --> 00:33:39.460]   Because if you look at the chart of people who contracted and who are getting seriously
[00:33:39.460 --> 00:33:45.180]   ill, and possibly even dying, the chart goes from almost negligible to young people to
[00:33:45.180 --> 00:33:50.540]   very dangerous to old people, people who are 70 and older in our society.
[00:33:50.540 --> 00:33:54.420]   People who are 70 and older in our society don't usually use internet.
[00:33:54.420 --> 00:33:57.100]   I know some people in their 50s, right?
[00:33:57.100 --> 00:34:00.300]   But people in their 70s, 80s usually don't know, so they don't know what's going on.
[00:34:00.300 --> 00:34:03.180]   They're hearing it through the grapevine or through television.
[00:34:03.180 --> 00:34:07.820]   And we are hearing more and more stories of the elderly who are showing up to supermarkets
[00:34:07.820 --> 00:34:09.940]   with nothing.
[00:34:09.940 --> 00:34:11.200]   They can't find toilet paper.
[00:34:11.200 --> 00:34:15.740]   They can't find just daily necessities.
[00:34:15.740 --> 00:34:20.500]   To love our neighbors shouldn't just be to isolate ourselves.
[00:34:20.500 --> 00:34:22.580]   Obviously, we need to be wise.
[00:34:22.580 --> 00:34:26.460]   We need to do what we need to do to take care of our families, make sure that this doesn't
[00:34:26.460 --> 00:34:27.460]   spread.
[00:34:27.460 --> 00:34:32.660]   But loving our neighbors in the context of struggle shouldn't just be protecting our
[00:34:32.660 --> 00:34:33.860]   families.
[00:34:33.860 --> 00:34:37.700]   It's a great opportunity to practice this agape love.
[00:34:37.700 --> 00:34:43.300]   While everybody else is running from danger, God may be calling the church to run to danger
[00:34:43.300 --> 00:34:47.540]   in certain contexts to see who are in need.
[00:34:47.540 --> 00:34:54.400]   Those of you who have 70 years of toilet paper, I encourage you to give up some.
[00:34:54.400 --> 00:34:59.380]   See if these senior homes that are around us are running out.
[00:34:59.380 --> 00:35:04.720]   If you have enough Purell to last until Jesus comes, look around you.
[00:35:04.720 --> 00:35:08.860]   Maybe there are neighbors who don't have any.
[00:35:08.860 --> 00:35:14.220]   If you have more food than you can handle, that if this virus goes for another 10 years,
[00:35:14.220 --> 00:35:19.060]   you're safe, then maybe you can look around and see if there are some people who don't
[00:35:19.060 --> 00:35:24.020]   have access to this, that this is the perfect time to use the resources that we have to
[00:35:24.020 --> 00:35:26.740]   share the love of Christ with them.
[00:35:26.740 --> 00:35:31.800]   That's what he is saying, that in the context of all of this, do not neglect to show hospitality
[00:35:31.800 --> 00:35:32.800]   to strangers.
[00:35:32.800 --> 00:35:34.900]   Do not neglect to doing good and sharing.
[00:35:34.900 --> 00:35:41.600]   Do not neglect the very core of our identity, be put in the back burner because we are concerned
[00:35:41.600 --> 00:35:44.540]   about our own safety.
[00:35:44.540 --> 00:35:46.820]   This is the time to really glorify Christ.
[00:35:46.820 --> 00:35:49.140]   We're talking about the agape love, right?
[00:35:49.140 --> 00:35:54.780]   The end result of all of this, in fact, chapter 13 ends with, if you believe this and you
[00:35:54.780 --> 00:35:59.260]   practice faith and you look upon Christ who is the often perfecter of our faith, chapter
[00:35:59.260 --> 00:36:03.180]   13 ends with, "Therefore, practice this agape love."
[00:36:03.180 --> 00:36:10.100]   If there's any time where that needs to come to the forefront of our lives, it is now.
[00:36:10.100 --> 00:36:12.500]   You know, we've been working hard.
[00:36:12.500 --> 00:36:16.680]   We have our outreach team who's been working hard to set up the gospel night, and I know
[00:36:16.680 --> 00:36:19.900]   that many are disappointed because they've been praying, they've been preparing, they've
[00:36:19.900 --> 00:36:22.340]   been going out in the streets.
[00:36:22.340 --> 00:36:26.740]   As much as we have been preparing to share the gospel, and Easter is coming up, and timing,
[00:36:26.740 --> 00:36:31.800]   humanly speaking, may be really bad because Easter typically is the most attended Sunday
[00:36:31.800 --> 00:36:33.540]   service and the gospel is being preached.
[00:36:33.540 --> 00:36:37.300]   Many people come to Christ as a result of all of this.
[00:36:37.300 --> 00:36:44.260]   But know that as much as we have been preparing to bring the gospel to the world, God has
[00:36:44.260 --> 00:36:49.420]   been preparing behind the scene from the moment Adam and Eve fell.
[00:36:49.420 --> 00:36:56.220]   That even in this, God may be doing something to prepare the preaching of the gospel.
[00:36:56.220 --> 00:37:03.180]   We have a greater platform than we would have ever had if all we did was just gather together.
[00:37:03.180 --> 00:37:04.980]   We have a greater platform to preach the gospel.
[00:37:04.980 --> 00:37:07.780]   We have a greater platform to show the glory of God.
[00:37:07.780 --> 00:37:12.460]   We have a greater platform to demonstrate what agape love looks like in the context
[00:37:12.460 --> 00:37:17.020]   where everybody else is bunkering down in their shelters.
[00:37:17.020 --> 00:37:22.620]   Let us not neglect showing hospitality and doing good to those around us.
[00:37:22.620 --> 00:37:27.820]   The broad outline of the book of Hebrews, he begins by saying in chapter one, "Jesus
[00:37:27.820 --> 00:37:28.980]   is better than the angels."
[00:37:28.980 --> 00:37:33.620]   And the point of that is, therefore, pay attention to him.
[00:37:33.620 --> 00:37:37.860]   Right now we're online, and I'm online almost daily, hourly, looking at the news, making
[00:37:37.860 --> 00:37:40.460]   sure, and we're online chatting with the leaders.
[00:37:40.460 --> 00:37:41.460]   How do we practice this?
[00:37:41.460 --> 00:37:42.460]   What do we do?
[00:37:42.460 --> 00:37:44.220]   We need to communicate.
[00:37:44.220 --> 00:37:49.540]   But in the midst of all of this, the point of why it begins by saying, "Jesus is greater
[00:37:49.540 --> 00:37:55.900]   than the angels," he says, "Therefore, you must pay close attention to him."
[00:37:55.900 --> 00:38:00.500]   First and foremost, that we need to be careful that in the midst of all these information
[00:38:00.500 --> 00:38:05.620]   that's being disseminated through all these social medias, are we founded in the word
[00:38:05.620 --> 00:38:08.040]   of God first?
[00:38:08.040 --> 00:38:11.420]   Is the paradigm in which we look at the world and how we make decisions, is that what we
[00:38:11.420 --> 00:38:14.940]   have founded upon the gospel that you and I profess?
[00:38:14.940 --> 00:38:19.700]   So first and foremost, are we paying attention to Christ before we pay attention to the media
[00:38:19.700 --> 00:38:21.860]   and whatever it is that we're paying attention to?
[00:38:21.860 --> 00:38:26.120]   So that whatever we do in response to the information that we're getting, we're founded
[00:38:26.120 --> 00:38:30.580]   upon the paradigm that is created by Christ.
[00:38:30.580 --> 00:38:34.100]   Do not be conformed to this world, but be transformed by the renewing of your mind so
[00:38:34.100 --> 00:38:39.420]   that you may be able to test the perfect will of God.
[00:38:39.420 --> 00:38:43.260]   Use the word of God first and foremost before anything else.
[00:38:43.260 --> 00:38:47.300]   Second of all, chapter three, "Jesus is greater than Moses."
[00:38:47.300 --> 00:38:48.940]   Moses was the greatest leader.
[00:38:48.940 --> 00:38:54.300]   In times like this, our natural instinct is to look to leaders for guidance.
[00:38:54.300 --> 00:38:55.300]   What is President Trump saying?
[00:38:55.300 --> 00:38:57.380]   What is the governor saying?
[00:38:57.380 --> 00:39:00.460]   In fact, what is the church leader saying?
[00:39:00.460 --> 00:39:05.320]   And we have been bombarded with emails and texts and social medias.
[00:39:05.320 --> 00:39:06.940]   What are we doing?
[00:39:06.940 --> 00:39:08.020]   What's happening?
[00:39:08.020 --> 00:39:12.340]   And it's understandable because our natural instinct is to look to leadership.
[00:39:12.340 --> 00:39:19.220]   Moses was their greatest leader, but he reminds them, as great as Moses was, he was just a
[00:39:19.220 --> 00:39:20.220]   servant.
[00:39:20.220 --> 00:39:22.180]   Jesus was the son.
[00:39:22.180 --> 00:39:25.660]   And the point of all of this is, if you're going to look for any leader, don't look for
[00:39:25.660 --> 00:39:27.960]   a higher hand.
[00:39:27.960 --> 00:39:31.140]   Because higher hand, when the wolves come, they pack up and they leave because they have
[00:39:31.140 --> 00:39:32.500]   to protect themselves.
[00:39:32.500 --> 00:39:38.700]   But the good shepherd, Christ Jesus, he lays down his life for his sheep.
[00:39:38.700 --> 00:39:43.060]   So if there's anybody that we're going to look to, we're going to look to Christ first.
[00:39:43.060 --> 00:39:44.300]   That he's in our boat.
[00:39:44.300 --> 00:39:46.180]   He's the one who's in charge.
[00:39:46.180 --> 00:39:50.620]   And the moment that we forget that is when panic happens, when the chairs get knocked
[00:39:50.620 --> 00:39:52.340]   over.
[00:39:52.340 --> 00:39:57.540]   Thirdly, chapter four, "He is greater than Joshua."
[00:39:57.540 --> 00:40:03.860]   Chapter four leads us into Joshua because Joshua's the one who led them into rest.
[00:40:03.860 --> 00:40:06.460]   The true rest is found in Christ.
[00:40:06.460 --> 00:40:09.860]   If Joshua was able to lead them into rest, that would have been it.
[00:40:09.860 --> 00:40:14.940]   But he says, "No, all of that was pointing to the true rest that Jesus comes, that Jesus
[00:40:14.940 --> 00:40:16.020]   is going to take us into."
[00:40:16.020 --> 00:40:20.500]   And he says, "So therefore, let us fear that we do not enter this, that we fall short of
[00:40:20.500 --> 00:40:21.500]   entering this rest."
[00:40:21.500 --> 00:40:26.420]   In other words, look to Christ as our rest.
[00:40:26.420 --> 00:40:30.580]   Our comfort is not found in maybe some of you guys were diligent and went to the market
[00:40:30.580 --> 00:40:34.660]   way ahead of time and you have plenty of toilet paper, plenty of Purell.
[00:40:34.660 --> 00:40:38.140]   You got enough food if Armageddon happens, right?
[00:40:38.140 --> 00:40:40.140]   That is not our rest.
[00:40:40.140 --> 00:40:43.560]   We're not waiting for President Trump to say, "Everything is good."
[00:40:43.560 --> 00:40:46.620]   If he says it's good, is it good?
[00:40:46.620 --> 00:40:48.140]   If our local leaders say, "You know what?
[00:40:48.140 --> 00:40:49.140]   There's no danger.
[00:40:49.140 --> 00:40:54.780]   Now go out, live like the way that everybody else is living."
[00:40:54.780 --> 00:40:55.780]   Is it good?
[00:40:55.780 --> 00:41:00.020]   Where do we truly find our rest?
[00:41:00.020 --> 00:41:01.020]   Christ is our rest.
[00:41:01.020 --> 00:41:03.980]   "Come to me, all who are weary and heavy laden."
[00:41:03.980 --> 00:41:04.980]   Are you burdened?
[00:41:04.980 --> 00:41:06.380]   Are you scared?
[00:41:06.380 --> 00:41:07.660]   Are you looking for leadership?
[00:41:07.660 --> 00:41:09.940]   Are you looking for guidance?
[00:41:09.940 --> 00:41:15.020]   "Come to me," he says, "all you who are weary and heavy laden."
[00:41:15.020 --> 00:41:19.220]   And he says, "I will give you rest.
[00:41:19.220 --> 00:41:21.300]   My peace I give unto you."
[00:41:21.300 --> 00:41:25.300]   And this is a peace that the world does not know.
[00:41:25.300 --> 00:41:28.740]   Is this the peace that we have in Christ?
[00:41:28.740 --> 00:41:33.180]   And then finally, chapter 5 through 7, the true mediator, that's where Melchizedek comes
[00:41:33.180 --> 00:41:34.180]   in.
[00:41:34.180 --> 00:41:37.860]   And we started in chapter 5, and then he takes a break in chapter 6, says, "He's our true
[00:41:37.860 --> 00:41:42.300]   mediator, but if Christ is not your mediator and you begin to drift away to the world,
[00:41:42.300 --> 00:41:46.580]   there is no other salvation."
[00:41:46.580 --> 00:41:50.420]   And he reminds us that, how important this is, and then he moves on to chapter 7, which
[00:41:50.420 --> 00:41:53.660]   we will be jumping into at some point.
[00:41:53.660 --> 00:41:54.740]   That's a broad outline.
[00:41:54.740 --> 00:42:00.820]   And then chapter 8, 9, and 10 leads us into the covenant, the new covenant versus the
[00:42:00.820 --> 00:42:01.820]   old covenant.
[00:42:01.820 --> 00:42:06.520]   And then he leads us to chapter 11, that this is the examples of these men who had genuine
[00:42:06.520 --> 00:42:11.060]   faith in God, and this is what their life looked like, which leads us to chapter 12
[00:42:11.060 --> 00:42:12.060]   and 13.
[00:42:12.060 --> 00:42:17.920]   "Therefore, fix your eyes upon Jesus, the author and perfecter of our faith."
[00:42:17.920 --> 00:42:23.540]   And the greatest application of that, chapter 13, is this agape love.
[00:42:23.540 --> 00:42:29.300]   But the point of all of this is not simply to get our minds to think about Jesus, because
[00:42:29.300 --> 00:42:30.460]   that's just a beginning point.
[00:42:30.460 --> 00:42:34.580]   The reason why we need to think about Jesus is so that thinking about Jesus, that we would
[00:42:34.580 --> 00:42:37.380]   apply what it means to be anchored in Christ.
[00:42:37.380 --> 00:42:38.380]   And that's exactly...
[00:42:38.380 --> 00:42:43.580]   There is more "let us" statements in the book of Hebrews than any other book, because the
[00:42:43.580 --> 00:42:46.500]   point of this isn't simply Christology.
[00:42:46.500 --> 00:42:52.060]   That if you know who Jesus is compared to angels and Moses and the prophets and Melchizedek,
[00:42:52.060 --> 00:42:55.820]   and you got that all down, but that's where it ends, you missed the whole point, because
[00:42:55.820 --> 00:42:58.500]   the whole point of the book of Hebrews is, "Therefore."
[00:42:58.500 --> 00:43:02.740]   If you know who that Jesus is, our anchor, if you know that Jesus is our hope, he's our
[00:43:02.740 --> 00:43:09.340]   peace, he's our leader, he's the one that we need to pay attention to, then let us,
[00:43:09.340 --> 00:43:10.340]   "Therefore."
[00:43:10.340 --> 00:43:13.660]   So, I want to highlight a few of these as I wrap up.
[00:43:13.660 --> 00:43:19.380]   In chapter 4, verse 1, "Therefore, let us fear while promise remains of entering his
[00:43:19.380 --> 00:43:21.420]   rest."
[00:43:21.420 --> 00:43:24.460]   The first thing that he tells us, the beginning of wisdom.
[00:43:24.460 --> 00:43:27.620]   Right now, we are all praying for wisdom.
[00:43:27.620 --> 00:43:28.860]   The world is praying for...
[00:43:28.860 --> 00:43:31.940]   Even non-Christians are praying and hoping for wisdom.
[00:43:31.940 --> 00:43:32.940]   What should we do?
[00:43:32.940 --> 00:43:34.660]   When should we shut down?
[00:43:34.660 --> 00:43:36.280]   When should we open?
[00:43:36.280 --> 00:43:37.280]   What is okay to do?
[00:43:37.280 --> 00:43:38.280]   What is not okay to do?
[00:43:38.280 --> 00:43:39.340]   Everybody is seeking wisdom.
[00:43:39.340 --> 00:43:42.340]   The Bible says the beginning of wisdom is what?
[00:43:42.340 --> 00:43:44.840]   Fear of the Lord.
[00:43:44.840 --> 00:43:51.020]   And so, we want to be prayerful as leadership, that whatever decision is being made, that
[00:43:51.020 --> 00:43:54.860]   it is first founded upon our reverence for him.
[00:43:54.860 --> 00:43:56.680]   That we are anchored in Christ.
[00:43:56.680 --> 00:43:58.740]   And we're asking the church to do the same.
[00:43:58.740 --> 00:44:03.900]   Whether you are having worship at home, whether you are having worship here, wherever you
[00:44:03.900 --> 00:44:09.300]   are, our first and foremost is to check our own hearts.
[00:44:09.300 --> 00:44:12.320]   Is the fear of the Lord driving us?
[00:44:12.320 --> 00:44:17.100]   In Matthew 10, 28-31, "Do not fear those who kill the body, but are unable to kill the
[00:44:17.100 --> 00:44:18.100]   soul.
[00:44:18.100 --> 00:44:22.860]   But rather, fear him who is able to destroy both soul and body in hell.
[00:44:22.860 --> 00:44:26.500]   Are not two sparrows sold for a cent, and yet not one of them will fall to the ground
[00:44:26.500 --> 00:44:27.940]   apart from your father?
