
[00:00:00.000 --> 00:00:07.560]   >> Well, good morning.
[00:27:13.680 --> 00:27:19.120]   We're happy to explain the reality that she's been adopted because it's a part of her past
[00:27:19.120 --> 00:27:22.280]   as much as mine.
[00:27:22.280 --> 00:27:27.800]   But as Russell Moore wrote, "Adopted is a past tense verb, not an adjective."
[00:27:27.800 --> 00:27:28.800]   Let me repeat that.
[00:27:28.800 --> 00:27:34.120]   "Adopted is a past tense verb, not an adjective."
[00:27:34.120 --> 00:27:40.840]   See what we don't do or shouldn't do is go around introducing her as our adopted daughter.
[00:27:40.840 --> 00:27:47.120]   Mrs. Toby Piper and our adopted daughter Kristen as some kind of qualifier or acknowledgement
[00:27:47.120 --> 00:27:53.840]   of some ongoing difference, of some inequality or inferiority or lack of belonging.
[00:27:53.840 --> 00:28:00.920]   That is anti-love, anti-family, anti-church, anti-gospel, anti-Christ.
[00:28:00.920 --> 00:28:05.600]   I mean we don't go around usually or shouldn't go around introducing people in our lives
[00:28:05.600 --> 00:28:11.920]   as, "Here's my short friend," or "My blonde cousin," or "My smartest child," or "My divorced
[00:28:11.920 --> 00:28:14.280]   parents," or "My Jewish or black or republic co-worker."
[00:28:14.280 --> 00:28:18.680]   You get the point.
[00:28:18.680 --> 00:28:25.960]   I've had relatives and even two pastors tell me not to adopt foster kids because supposedly
[00:28:25.960 --> 00:28:29.400]   they are damaged beyond repair.
[00:28:29.400 --> 00:28:38.000]   Listen, knowing that's just wicked nonsense, I'm not minimizing the fact that there are
[00:28:38.000 --> 00:28:44.520]   very difficult situations and different callings.
[00:28:44.520 --> 00:28:48.800]   And this is not the only ministry that you and I may be called to.
[00:28:48.800 --> 00:28:55.040]   I suggest that most of you might not.
[00:28:55.040 --> 00:28:59.200]   It was humbling to be a foster parent for many reasons.
[00:28:59.200 --> 00:29:03.200]   I mean there was a non-Christian couple in our classes.
[00:29:03.200 --> 00:29:15.120]   They adopted three Down syndrome children.
[00:29:15.120 --> 00:29:23.040]   So those two pastors told me not to adopt because they're damaged.
[00:29:23.040 --> 00:29:28.920]   What are they then saying about our gospel hope and God's power?
[00:29:28.920 --> 00:29:31.440]   Come on now.
[00:29:31.440 --> 00:29:33.920]   The spiritual reality is that we're all damaged.
[00:29:33.920 --> 00:29:35.600]   We're all special needs children.
[00:29:35.600 --> 00:29:40.640]   We all need the same hope and anyone can be transformed by the power of God.
[00:29:40.640 --> 00:29:41.640]   Anyone.
[00:29:41.640 --> 00:29:42.640]   Anyone.
[00:29:42.640 --> 00:29:45.880]   Again, that doesn't mean it's easy.
[00:29:45.880 --> 00:29:46.880]   It's not.
[00:29:46.880 --> 00:29:55.240]   A couple in our church have adopted a child who they later discovered is on the spectrum.
[00:29:55.240 --> 00:29:56.240]   And it's hard.
[00:29:56.240 --> 00:29:57.240]   It's hard.
[00:29:57.240 --> 00:30:01.840]   It's hard.
[00:30:01.840 --> 00:30:05.040]   But we all didn't belong but now we do.
[00:30:05.040 --> 00:30:11.120]   Let us never be ashamed to say that we've all been adopted.
[00:30:11.120 --> 00:30:12.520]   Past tense.
[00:30:12.520 --> 00:30:17.080]   For it is a very important, wonderful part of our testimony to celebrate.
[00:30:17.080 --> 00:30:20.240]   Right, brothers and sisters?
[00:30:20.240 --> 00:30:24.640]   Let us never think that it means any single one of us here are anything less than his
[00:30:24.640 --> 00:30:30.960]   children equal in Christ, equal in dignity, equal in salvation, equally loved by God even
[00:30:30.960 --> 00:30:33.920]   though we might have different roles within it.
[00:30:33.920 --> 00:30:40.700]   Christians should know more than anyone there is no superiority or inferiority among us.
[00:30:40.700 --> 00:30:48.440]   The gospel of grace calls for reconciliation and not reparations.
[00:30:48.440 --> 00:30:55.080]   We know the power of the gospel.
[00:30:55.080 --> 00:31:01.480]   First Corinthians 12, 13 to 15 reads, "For by one spirit we are all baptized into one
[00:31:01.480 --> 00:31:05.760]   body, whether Jews or Greeks, whether slaves or free, and we were all made to drink of
[00:31:05.760 --> 00:31:09.600]   one spirit, for the body is not one member but many.
[00:31:09.600 --> 00:31:13.480]   If the foot says, 'Because I am not a hand, I am not a part of the body,' it is not for
[00:31:13.480 --> 00:31:17.240]   this reason any less a part of the body."
[00:31:17.240 --> 00:31:23.880]   Ephesians chapter 2, 12 to 14, we remember that you all at the time were separate from
[00:31:23.880 --> 00:31:27.960]   Christ, excluded from the commonwealth of Israel, and strangers to the covenants of
[00:31:27.960 --> 00:31:31.160]   promise having no hope and without God in the world.
[00:31:31.160 --> 00:31:35.160]   But now in Christ Jesus, you who formerly were far off have been brought near by the
[00:31:35.160 --> 00:31:36.800]   blood of Christ.
[00:31:36.800 --> 00:31:41.980]   For he himself is our peace who made both groups into one and broke down the barrier
[00:31:41.980 --> 00:31:44.840]   of the dividing wall.
[00:31:44.840 --> 00:31:49.360]   Ephesians 4, 2 to 6 says, "There is one body and one spirit, just as you also you
[00:31:49.360 --> 00:31:54.720]   are called in one hope of your calling, one Lord, one faith, one baptism, one God and
[00:31:54.720 --> 00:31:59.560]   Father of all, who is over all and through all and in all."
[00:31:59.560 --> 00:32:03.120]   Seven times he says one.
[00:32:03.120 --> 00:32:08.400]   Meet any true Christian anywhere in the world, regardless of the language and cultural barriers,
[00:32:08.400 --> 00:32:14.000]   and you instantly know there is a bond with that person.
[00:32:14.000 --> 00:32:20.840]   Because in Christ, I not only have a new father, I have a new family.
[00:32:20.840 --> 00:32:23.160]   Listen y'all, family has never been about blood.
[00:32:23.160 --> 00:32:26.440]   It's always been about belonging.
[00:32:26.440 --> 00:32:29.840]   Family is not about blood, but about belonging.
[00:32:29.840 --> 00:32:34.000]   Family is not about blood, but about belonging.
[00:32:34.000 --> 00:32:43.600]   Let me speak to those in Asian cultures who perpetuate a racist mindset otherwise.
[00:32:43.600 --> 00:32:49.160]   When Julius Caesar adopted Octavius as his son and his legal heir, it allowed him to
[00:32:49.160 --> 00:32:54.940]   succeed his father as Emperor Caesar Augustus.
[00:32:54.940 --> 00:32:58.740]   There was no inferior status due to his past adoption.
[00:32:58.740 --> 00:33:03.760]   It is not that we are saved, that we get to live then outside in some doghouse on the
[00:33:03.760 --> 00:33:07.840]   outskirts of heaven so that at least we're not in hell.
[00:33:07.840 --> 00:33:12.200]   It's not that we merely get a safe place of refuge away from immediate harm, like some
[00:33:12.200 --> 00:33:19.960]   foster homes that are sometimes cold and loveless, where you will get food, clothing, shelter,
[00:33:19.960 --> 00:33:22.960]   and not get beaten by family members.
[00:33:22.960 --> 00:33:27.280]   That's certainly better than being hungry, naked, or abused, but there are a lot of places
[00:33:27.280 --> 00:33:35.440]   you can receive those necessities and yet feel profoundly empty, abandoned, and without
[00:33:35.440 --> 00:33:37.900]   a sense of belonging.
[00:33:37.900 --> 00:33:43.720]   Not the least ounce of feeling loved and actually being loved.
[00:33:43.720 --> 00:33:49.160]   Our adoption, our adoption in Christ is much more than receiving legal forgiveness and
[00:33:49.160 --> 00:33:54.040]   justification which is already monumentally more than we deserve.
[00:33:54.040 --> 00:33:59.040]   It is much more than just freedom and protection from our former father the devil.
[00:33:59.040 --> 00:34:03.240]   It is much, much more than getting our own bed to sleep in and not having to wonder where
[00:34:03.240 --> 00:34:07.760]   our next meal is coming from or even dreaming about what new toy we're going to get from
[00:34:07.760 --> 00:34:10.040]   the next charity that rolls into town.
[00:34:10.040 --> 00:34:13.640]   No, it means we belong.
[00:34:13.640 --> 00:34:17.560]   It means a home, a forever family where we are loved.
[00:34:17.560 --> 00:34:25.560]   For some of us, perhaps, the church is the first family in which we experience love.
[00:34:25.560 --> 00:34:28.020]   Why?
[00:34:28.020 --> 00:34:31.160]   Because of the inherent goodness of man?
[00:34:31.160 --> 00:34:32.480]   No.
[00:34:32.480 --> 00:34:38.120]   Because his imperfect people are compelled by the love of Christ.
[00:34:38.120 --> 00:34:42.520]   When the first Christians who were Jews asked, "Are the Gentile believers really one of us,
[00:34:42.520 --> 00:34:44.120]   part of us?"
[00:34:44.120 --> 00:34:47.920]   The answer, of course, from God was, "Yes, they are.
[00:34:47.920 --> 00:34:48.920]   Of course.
[00:34:48.920 --> 00:34:52.960]   They're brothers and sisters more so than your natural family."
[00:34:52.960 --> 00:34:57.400]   Sadly in churches today, brother or sister sometimes is just a metaphor for a friend
[00:34:57.400 --> 00:35:02.880]   or acquaintance or our consumeristic preferences about which church we'd rather go to.
[00:35:02.880 --> 00:35:03.960]   What programs do I get?
[00:35:03.960 --> 00:35:05.560]   How eloquent the preaching is?
[00:35:05.560 --> 00:35:11.080]   How big the church or similar people are to me or what will I get or not get by going
[00:35:11.080 --> 00:35:15.160]   there?
[00:35:15.160 --> 00:35:19.700]   Life is not about you.
[00:35:19.700 --> 00:35:24.000]   Life is not about you or I.
[00:35:24.000 --> 00:35:27.720]   My friend John Kim, Pastor John Kim said, "Love is the litmus test of Christianity to
[00:35:27.720 --> 00:35:32.320]   show whether your claims to faith are genuine or not.
[00:35:32.320 --> 00:35:35.760]   You live out the great commandment to love the Lord your God with all your heart, soul,
[00:35:35.760 --> 00:35:39.440]   mind, and strength and love your neighbor as yourself."
[00:35:39.440 --> 00:35:43.600]   Jesus said it better, "By this, all men will know that you are my disciples if you have
[00:35:43.600 --> 00:35:45.160]   love for one another."
[00:35:45.160 --> 00:35:51.060]   Remember, you and I do not just have a personal relationship with Jesus Christ.
[00:35:51.060 --> 00:35:55.480]   We have a corporate relationship with Jesus Christ.
[00:35:55.480 --> 00:36:03.360]   When given a family, we're not just given privileges, but we're given responsibilities.
[00:36:03.360 --> 00:36:07.560]   And I pray that you are an active part of that as a member and not just a spectator
[00:36:07.560 --> 00:36:09.640]   from the seats.
[00:36:09.640 --> 00:36:13.960]   Your understanding about spiritual adoption has a lot to say about your pursuit of church
[00:36:13.960 --> 00:36:19.520]   unity, forgiveness, practicing to one another, sacrificial kingdom giving, not being divisive,
[00:36:19.520 --> 00:36:22.800]   about loyalty to your leaders and fellow members.
[00:36:22.800 --> 00:36:27.280]   Here we must not be preferentially choosing who our friends will be.
[00:36:27.280 --> 00:36:31.800]   No, we are brothers and sisters with the same loving Father.
[00:36:31.800 --> 00:36:35.640]   Now I understand that a church this size, we may not know everyone well.
[00:36:35.640 --> 00:36:38.760]   That is okay.
[00:36:38.760 --> 00:36:45.000]   But we better look at each other as brothers and sisters, as family.
[00:36:45.000 --> 00:36:49.400]   As new creations of Christ, we've been given a radically new life, new identity, new family,
[00:36:49.400 --> 00:36:50.680]   new direction, new hope.
[00:36:50.680 --> 00:36:54.400]   At Kristen's adoption hearing, the judge and attorneys on both sides, they asked us
[00:36:54.400 --> 00:36:59.160]   some very surprising questions, at least to us.
[00:36:59.160 --> 00:37:03.600]   For example, they asked, "Are you going to treat Kristen as your same as your birth children?"
[00:37:03.600 --> 00:37:06.240]   How could you ask that?
[00:37:06.240 --> 00:37:07.240]   Right?
[00:37:07.240 --> 00:37:08.240]   Of course.
[00:37:08.240 --> 00:37:13.240]   "Are you going to give her a full inheritance and all the rights of your other children?"
[00:37:13.240 --> 00:37:17.000]   I mean, I can't imagine the cruelty of anything less.
[00:37:17.000 --> 00:37:20.960]   It was a foregone conclusion, in our hearts, we love her.
[00:37:20.960 --> 00:37:25.200]   John Calvin said about this text that the primary work of the Holy Spirit, as the Holy
[00:37:25.200 --> 00:37:31.080]   Spirit is mentioned here, is to convince us of the gift of our sonship, ensuring and then
[00:37:31.080 --> 00:37:37.960]   testifying to our hearts that we do belong, that we are children.
[00:37:37.960 --> 00:37:42.000]   Ancient Rome's adoption process actually requires seven witnesses in the transaction.
[00:37:42.000 --> 00:37:43.760]   The question is why?
[00:37:43.760 --> 00:37:49.480]   Well, what happens if, when the father dies, if the birth children are resenting the adopted
[00:37:49.480 --> 00:37:56.120]   son who is the heir and then try to accuse him of having an illegitimate claim?
[00:37:56.120 --> 00:38:02.880]   So in the Roman Empire, they required seven witnesses to protect the adopted son's rights.
[00:38:02.880 --> 00:38:07.520]   But listen, we don't need seven witnesses.
[00:38:07.520 --> 00:38:08.800]   We just need one.
[00:38:08.800 --> 00:38:17.240]   Verse 16 says the Holy Spirit testifies, witnesses that we are children of God.
[00:38:17.240 --> 00:38:19.800]   As a Christian, I didn't belong, but now I do belong.
[00:38:19.800 --> 00:38:26.560]   Fully, really, truly, publicly, completely, joyfully, eternally, I belong and God is my
[00:38:26.560 --> 00:38:29.400]   father forever.
[00:38:29.400 --> 00:38:36.920]   At Christian's adoption hearing, I never forgot how Sandy and I, we're pretty calm and excited
[00:38:36.920 --> 00:38:43.140]   but of all places to just start bawling like crazy, was when the lawyers and judge were
[00:38:43.140 --> 00:38:48.200]   exchanging all the legal verbiage that had just confirmed the permanent reality that
[00:38:48.200 --> 00:38:54.080]   we are not just her parents functionally, but also now legally.
[00:38:54.080 --> 00:38:58.600]   I was born in California, code 94698.127, all this stuff.
[00:38:58.600 --> 00:39:03.680]   It's just like, look, weepy, right?
[00:39:03.680 --> 00:39:06.440]   That's when we lost it.
[00:39:06.440 --> 00:39:09.760]   And I remember, I remember, why, why at that point?
[00:39:09.760 --> 00:39:17.040]   You know, it's because I realized that she was no longer a ward of the state and trusted
[00:39:17.040 --> 00:39:25.120]   into our temporary care as her foster parents, but she became ours and we became hers.
[00:39:25.120 --> 00:39:30.140]   After a year of caring for her as though she was our own, she was not legally ours until
[00:39:30.140 --> 00:39:36.860]   that point, so as her dad, I could finally say with joyful authority, she's mine.
[00:39:36.860 --> 00:39:40.740]   The legality of it is still very important.
[00:39:40.740 --> 00:39:43.580]   It is not some bureaucratic red tape.
[00:39:43.580 --> 00:39:47.940]   It is real and it's pictured in the gospel.
[00:39:47.940 --> 00:39:55.580]   Our justification in Christ is not just a legal forensic positional righteousness.
[00:39:55.580 --> 00:40:00.620]   It is deeply and mutually personal.
[00:40:00.620 --> 00:40:03.540]   Kristen's birth certificate was permanently changed.
[00:40:03.540 --> 00:40:05.660]   Mom didn't actually get to name her.
[00:40:05.660 --> 00:40:07.260]   She fled.
[00:40:07.260 --> 00:40:12.060]   So baby, last name.
[00:40:12.060 --> 00:40:20.460]   New name, new identity, new inheritance, new father, new future, new trajectory.
[00:40:20.460 --> 00:40:23.540]   Isn't that similar to salvation?
[00:40:23.540 --> 00:40:28.220]   Milton Vincent wrote, "When I see the cross, I see the premium that God places on the works
[00:40:28.220 --> 00:40:33.100]   that he has prepared for me to do.
[00:40:33.100 --> 00:40:38.580]   How valuable all of these works must be if Christ would die so that I might perform them."
[00:40:38.580 --> 00:40:45.020]   At least with Kristen, we're seeing by God's grace that the multi-generational cycle of
[00:40:45.020 --> 00:40:49.140]   neglect has now been broken, is still being broken by her adoption.
[00:40:49.140 --> 00:40:52.980]   Not only is her life being changed, so is ours.
[00:40:52.980 --> 00:41:00.140]   And our prayer is her story of hope goes beyond her to her kids and their kids and their kids.
[00:41:00.140 --> 00:41:02.540]   And also we pray for their birth family.
[00:41:02.540 --> 00:41:08.660]   That God would reap joyous change through the glory of God.
[00:41:08.660 --> 00:41:18.260]   However, let me suggest all of that pales in comparison to our gospel stories.
[00:41:18.260 --> 00:41:23.140]   When we've been redeemed, set apart into his omnipotently loving fatherhood, sovereignly
[00:41:23.140 --> 00:41:28.780]   adopted to a certain and glorious hope, many of us are still deeply scarred by a very painful
[00:41:28.780 --> 00:41:31.340]   past, especially in our home life.
[00:41:31.340 --> 00:41:34.020]   But they do not have to define us.
[00:41:34.020 --> 00:41:41.020]   Listen, though the gospel does not erase our past, it does redeem us where we are.
[00:41:41.020 --> 00:41:46.300]   Jason Johnson said, "The gospel like adoption is a multi-generational story of love.
[00:41:46.300 --> 00:41:51.260]   It breaks our past cycles, forms our new realities, and offers us a future hope unburdened by
[00:41:51.260 --> 00:41:55.140]   the broken context from which we originated."
[00:41:55.140 --> 00:42:01.140]   Then he concludes, "He secures our futures and changes the trajectory of our lives forever."
[00:42:01.140 --> 00:42:03.220]   Which leads us into the final point.
[00:42:03.220 --> 00:42:07.340]   Number three, the great inheritance of our adoption.
[00:42:07.340 --> 00:42:12.300]   The great inheritance of our adoption that we are guaranteed a new future.
[00:42:12.300 --> 00:42:14.420]   A new future.
[00:42:14.420 --> 00:42:20.260]   Romans 8 verse 17, "And if children heirs also, heirs of God and fellow heirs with Christ,
[00:42:20.260 --> 00:42:24.500]   if indeed we suffer with him so that we may also be glorified with him.
[00:42:24.500 --> 00:42:27.940]   For I consider the sufferings of this present time are not worthy to be compared with the
[00:42:27.940 --> 00:42:30.780]   glory that is to be revealed to us.
[00:42:30.780 --> 00:42:34.740]   For the anxious longing of creation waits eagerly for what?
[00:42:34.740 --> 00:42:38.180]   The revealing of the sons of God."
[00:42:38.180 --> 00:42:44.980]   So in one sense, we are told here in our text that we are right now the children of God.
[00:42:44.980 --> 00:42:50.820]   But in another sense, that sonship has not yet been fully consummated.
[00:42:50.820 --> 00:43:00.060]   Thus, we've yet to receive the full benefits of our present day adoption.
[00:43:00.060 --> 00:43:03.960]   See, it's not a matter of if, it's a matter of when.
[00:43:03.960 --> 00:43:09.620]   So we, along with the rest of creation, eagerly await for it.
[00:43:09.620 --> 00:43:10.620]   For what?
[00:43:10.620 --> 00:43:14.100]   The full revealing of the sons or the children of God.
[00:43:14.100 --> 00:43:15.780]   Our position in Christ is rock solid.
[00:43:15.780 --> 00:43:16.780]   Our hope is certain.
[00:43:16.780 --> 00:43:18.340]   It is not wishful thinking.
[00:43:18.340 --> 00:43:22.380]   We will arrive because Christ takes us there.
[00:43:22.380 --> 00:43:23.540]   We are fellow heirs with Christ.
[00:43:23.540 --> 00:43:27.060]   We will receive brand new resurrection bodies.
[00:43:27.060 --> 00:43:31.760]   We are now freed from the penalty of sin, being freed from the power of sin.
[00:43:31.760 --> 00:43:37.280]   And one day we will be freed from the very presence of sin.
[00:43:37.280 --> 00:43:44.660]   First John 3, verse 1 says, "See what kind of love the Father has given to us, that we
[00:43:44.660 --> 00:43:47.320]   should be called children of God."
[00:43:47.320 --> 00:43:50.060]   And so we are.
[00:43:50.060 --> 00:43:55.860]   First Peter 1, 3 to 5 reads, "Blessed be the God and Father of our Lord Jesus Christ.
[00:43:55.860 --> 00:43:59.620]   According to His great mercy, He has caused us to be born again to a living hope.
[00:43:59.620 --> 00:44:04.900]   Through the resurrection of Jesus Christ from the dead, to an inheritance that is imperishable,
[00:44:04.900 --> 00:44:12.100]   undefiled, unfading, kept in heaven for you, who by God's power, not ours, are being guarded
[00:44:12.100 --> 00:44:18.060]   through faith for salvation, ready to be revealed in the last time."
[00:44:18.060 --> 00:44:28.440]   Name one thing on earth that is imperishable, undefiled, and unfading.
[00:44:28.440 --> 00:44:30.520]   Probably three things that are eternal.
[00:44:30.520 --> 00:44:34.000]   God, His Word, and souls.
[00:44:34.000 --> 00:44:37.080]   That's where our priority should be.
[00:44:37.080 --> 00:44:41.020]   Our adoption in Christ ought to radically change our perspective.
[00:44:41.020 --> 00:44:46.320]   We should be living in a way that reflects our glorious, incredible future.
[00:44:46.320 --> 00:44:51.640]   Joyfully, obediently, courageously, faithfully.
[00:44:51.640 --> 00:44:58.520]   I mean, I think we tend to wonder if you're single, "When will I get married?
[00:44:58.520 --> 00:45:01.600]   Where might we be ten years from now?
[00:45:01.600 --> 00:45:04.680]   How old will we be when we retire?"
[00:45:04.680 --> 00:45:08.060]   I don't know.
[00:45:08.060 --> 00:45:12.900]   But let me suggest that sadly many Christians, we think of the 50 to 80 years or so we live
[00:45:12.900 --> 00:45:13.900]   on this planet.
[00:45:13.900 --> 00:45:21.740]   But when was the last time you asked yourself, "What will I be doing 10,000 years from now?"
[00:45:21.740 --> 00:45:27.740]   We really don't have an eternal perspective as much as we desire.
[00:45:27.740 --> 00:45:33.220]   Thomas Watson said, "The world is but a great inn where we are to stay a night or two and
[00:45:33.220 --> 00:45:34.780]   be gone.
[00:45:34.780 --> 00:45:43.180]   What madness is it so to set our heart upon the inn as to forget our home?"
[00:45:43.180 --> 00:45:48.060]   Jesus says it better in John 14, "In my Father's house are many rooms.
[00:45:48.060 --> 00:45:52.900]   If it were not so, would I have told you that I go to prepare a place for you?
[00:45:52.900 --> 00:45:57.300]   And if I go and prepare a place for you, I will come again and will take you to myself
[00:45:57.300 --> 00:46:03.260]   that where I am, you may be also."
[00:46:03.260 --> 00:46:05.620]   Adoption is an opportunity to see God's provision.
[00:46:05.620 --> 00:46:10.380]   As a pastor of a small church at the time, we qualified, at least in the county's eyes,
[00:46:10.380 --> 00:46:12.960]   for very low income.
[00:46:12.960 --> 00:46:19.740]   So it was a stewardship of no retirement plan, cheap vacations, no music lessons, no martial
[00:46:19.740 --> 00:46:27.300]   arts, no sports teams for our kids, which there are times I felt guilty not able to
[00:46:27.300 --> 00:46:30.580]   provide like their peers.
[00:46:30.580 --> 00:46:33.220]   But we never went hungry or into debt.
[00:46:33.220 --> 00:46:36.620]   We just adjusted our lifestyle.
[00:46:36.620 --> 00:46:40.100]   Jesus said, "Seek first his kingdom and his righteousness, and all these things will be
[00:46:40.100 --> 00:46:42.140]   given to you as well."
[00:46:42.140 --> 00:46:45.020]   We don't need stuff or success.
[00:46:45.020 --> 00:46:49.300]   What we all need is more of Christ.
[00:46:49.300 --> 00:46:50.300]   More of Christ.
[00:46:50.300 --> 00:46:56.420]   I don't think my children are missing out on anything due to our choices.
[00:46:56.420 --> 00:47:04.460]   Maybe dad's sinful choices, but not that.
[00:47:04.460 --> 00:47:12.020]   Adoption is a great opportunity to be sanctified and see our children and our church encouraged
[00:47:12.020 --> 00:47:15.380]   and have our joy multiplied.
[00:47:15.380 --> 00:47:16.380]   It's not the only way.
[00:47:16.380 --> 00:47:22.220]   I want to emphasize adoption is not the only way we glorify God.
[00:47:22.220 --> 00:47:29.500]   We will all be doing different ministries and God will lay on our hearts different things.
[00:47:29.500 --> 00:47:32.180]   But I do want to speak to adoption in particular.
[00:47:32.180 --> 00:47:36.660]   Some will object, "Well, some adopted kids can be very difficult and sinful to deal with."
[00:47:36.660 --> 00:47:38.020]   Me too.
[00:47:38.020 --> 00:47:41.660]   You too, right?
[00:47:41.660 --> 00:47:45.820]   Grace of God is sufficient to deal with that powerfully.
[00:47:45.820 --> 00:47:46.820]   Watch Him.
[00:47:46.820 --> 00:47:49.820]   "Well, I don't know if I should or can adopt."
[00:47:49.820 --> 00:47:54.020]   Yeah, that very well be true.
[00:47:54.020 --> 00:47:58.380]   But you can support those who do if God lays it on your heart.
[00:47:58.380 --> 00:48:02.620]   "Well, I won't know their medical history and potential health issues."
[00:48:02.620 --> 00:48:04.140]   You don't know that with your birth children.
[00:48:04.140 --> 00:48:05.140]   You're not God.
[00:48:05.140 --> 00:48:09.140]   Are you going to stop loving them if they do have health problems later on?
[00:48:09.140 --> 00:48:12.820]   Are you going to disown them or pull the plug because they get paralyzed in a car accident
[00:48:12.820 --> 00:48:16.500]   or suffer from Lou Gehrig's disease one day?
[00:48:16.500 --> 00:48:19.020]   I hope not.
[00:48:19.020 --> 00:48:22.540]   I don't think so.
[00:48:22.540 --> 00:48:30.180]   Your maladies and mine, our radical depravity in the womb and out of the womb are far worse.
[00:48:30.180 --> 00:48:35.940]   Yet God adopted you to Himself.
[00:48:35.940 --> 00:48:38.660]   Someone is to seek suffering just because.
[00:48:38.660 --> 00:48:40.260]   We're not masochists.
[00:48:40.260 --> 00:48:43.020]   Yet we must hate our sin more than our suffering.
[00:48:43.020 --> 00:48:45.460]   We must hate our sin more than our suffering.
[00:48:45.460 --> 00:48:49.660]   Over and over again in Israel's history, if you look at the Old Testament, the Father's
[00:48:49.660 --> 00:48:57.000]   heart is revealed repeatedly for orphans and widows, the fatherless, the broken, the poor.
[00:48:57.000 --> 00:49:03.100]   And their open neglect was judged by God as the prophets spoke against the social injustice
[00:49:03.100 --> 00:49:11.860]   at the time as being perpetuated by His very people.
[00:49:11.860 --> 00:49:19.220]   In Rome they put unwanted babies on the city walls to either die or be taken away as slaves.
[00:49:19.220 --> 00:49:24.140]   And it was the early church who counter-culturally rescued them.
[00:49:24.140 --> 00:49:30.380]   Speaking to foster adoption just for a moment, the statistic I heard is if less than half
[00:49:30.380 --> 00:49:37.460]   a percent of our nation's evangelical families adopted one child, then we would empty the
[00:49:37.460 --> 00:49:40.300]   foster system.
[00:49:40.300 --> 00:49:47.020]   Let me be clear though, this is not about the social cause of adoption.
[00:49:47.020 --> 00:49:48.660]   It's not about the cause of adoption.
[00:49:48.660 --> 00:49:50.940]   I mean, there are many good causes.
[00:49:50.940 --> 00:49:57.580]   A lot of times those causes can devolve into something that has nothing to do with Christ
[00:49:57.580 --> 00:50:01.380]   and the gospel.
[00:50:01.380 --> 00:50:06.140]   Becomes an end in of itself.
[00:50:06.140 --> 00:50:08.820]   This is not about the social cause of adoption.
[00:50:08.820 --> 00:50:09.940]   Why?
[00:50:09.940 --> 00:50:13.880]   Because doing church and making disciples, they are not the same thing.
[00:50:13.880 --> 00:50:17.700]   Doing church and making disciples are not the same thing.
[00:50:17.700 --> 00:50:18.700]   Are you making disciples?
[00:50:18.700 --> 00:50:23.580]   I'm not asking is the church making disciples, are you making disciples?
[00:50:23.580 --> 00:50:26.020]   Are you investing and pouring into someone else?
[00:50:26.020 --> 00:50:27.820]   Are you being invested in?
[00:50:27.820 --> 00:50:30.520]   We're seeking that out.
[00:50:30.520 --> 00:50:33.380]   We need each other.
[00:50:33.380 --> 00:50:39.980]   Many people can adopt, but not all do so for Christ's glory.
[00:50:39.980 --> 00:50:44.660]   As much as I'm encouraging some of us to do so, it is ultimately about whether or not
[00:50:44.660 --> 00:50:48.260]   the love of Christ controls your entire life.
[00:50:48.260 --> 00:50:49.260]   That's the question.
[00:50:49.260 --> 00:50:51.900]   It's not, the question is not will you adopt?
[00:50:51.900 --> 00:50:55.140]   The question is does the love of Christ compel you?
[00:50:55.140 --> 00:50:57.740]   Does it control your entire life?
[00:50:57.740 --> 00:51:03.540]   Every nook and cranny of your daily life and future.
[00:51:03.540 --> 00:51:04.540]   It's about self-denial.
[00:51:04.540 --> 00:51:09.500]   Jesus said, "Take up my cross daily and follow me."
[00:51:09.500 --> 00:51:11.900]   It's about self-denial, all that God might call you to.
[00:51:11.900 --> 00:51:16.420]   Jesus is our example for how we should then live our daily life in love of the Father.
[00:51:16.420 --> 00:51:20.740]   John 10, 15, "Even as the Father knows me and I know the Father," Jesus says, "I lay
[00:51:20.740 --> 00:51:23.460]   down my life for the sheep."
[00:51:23.460 --> 00:51:29.140]   Luke 22, 42, "In that dark moment, Jesus prays, 'Father, if you are willing, remove
[00:51:29.140 --> 00:51:36.340]   this cup from me, yet not my will, but yours be done.'"
[00:51:36.340 --> 00:51:43.380]   Our own adoption is the gospel at its most beautiful, most endearing, and most gripping.
[00:51:43.380 --> 00:51:48.460]   Before I became a dad, I felt conviction of sin when I snapped at someone, but I never
[00:51:48.460 --> 00:51:53.300]   felt as bad as when I do that with my wife or kids.
[00:51:53.300 --> 00:51:58.540]   I feel compassion for kids who eat lunch alone at school, but thinking about that happening
[00:51:58.540 --> 00:52:02.940]   to any one of my kids makes me cry in private.
[00:52:02.940 --> 00:52:08.260]   Yet that doesn't even come close to comparing to our Father's love.
[00:52:08.260 --> 00:52:11.780]   He's a perfect Father.
[00:52:11.780 --> 00:52:15.060]   I'm an imperfect one.
[00:52:15.060 --> 00:52:18.620]   He will never give into sinful anger or graceless condemnation.
[00:52:18.620 --> 00:52:24.220]   His love outclasses any other by his invincible power, infinite omniscience, eternal omnipresence,
[00:52:24.220 --> 00:52:29.140]   so that we should repent immediately forever, having been anxious or worried or having complained
[00:52:29.140 --> 00:52:32.460]   about anything.
[00:52:32.460 --> 00:52:41.660]   And yet the good news is that He will never disown us, never forget us, never stop loving
[00:52:41.660 --> 00:52:47.220]   us, never lose us in a busy mall.
