
[00:00:00.000 --> 00:00:07.000]   Genesis chapter 16.
[00:20:28.420 --> 00:20:32.900]   You, the God who sees, see me.
[00:20:32.900 --> 00:20:33.900]   Quite beautiful.
[00:20:33.900 --> 00:20:40.420]   I want to encourage your hearts that as Hagar is experiencing that, have you ever felt that?
[00:20:40.420 --> 00:20:42.580]   Some of us, we feel isolation.
[00:20:42.580 --> 00:20:46.980]   When you're in pain, sometimes the knee jerk reaction is like, "Oh, I'm in pain."
[00:20:46.980 --> 00:20:50.100]   But then it's just me, right?
[00:20:50.100 --> 00:20:54.540]   And oftentimes we are designed to have someone know what we're going through because we know
[00:20:54.540 --> 00:20:55.540]   that's going to help.
[00:20:55.540 --> 00:20:56.540]   But even that's hard.
[00:20:56.540 --> 00:21:02.300]   How many of you guys have had a difficulty sharing because part of you says, "Why bother
[00:21:02.300 --> 00:21:03.300]   sharing?
[00:21:03.300 --> 00:21:04.300]   I don't know if they can understand.
[00:21:04.300 --> 00:21:05.300]   I have to explain the background.
[00:21:05.300 --> 00:21:06.300]   I have to explain what I'm thinking.
[00:21:06.300 --> 00:21:07.300]   I have to explain what they did.
[00:21:07.300 --> 00:21:08.300]   I don't want to go through all that.
[00:21:08.300 --> 00:21:12.780]   And even if I did go through all that, maybe they won't even understand."
[00:21:12.780 --> 00:21:13.780]   It's true.
[00:21:13.780 --> 00:21:15.280]   Maybe they won't.
[00:21:15.280 --> 00:21:19.540]   Because for us, although it's good to share with our brothers and sisters, don't stop
[00:21:19.540 --> 00:21:21.020]   doing that.
[00:21:21.020 --> 00:21:23.460]   People are simply trying their best to understand.
[00:21:23.460 --> 00:21:28.580]   Hagar is saying, "God, you see me.
[00:21:28.580 --> 00:21:30.220]   You know me.
[00:21:30.220 --> 00:21:32.980]   You understand me."
[00:21:32.980 --> 00:21:34.460]   This is a beautiful passage.
[00:21:34.460 --> 00:21:39.260]   "Therefore," verse 14, "therefore the well, the place to which she was at, was called
[00:21:39.260 --> 00:21:42.100]   Bir Lahoroi."
[00:21:42.100 --> 00:21:45.300]   And that probably has another subscript, a little asterisk on it.
[00:21:45.300 --> 00:21:49.060]   It says, "Behold, as being cadet, she had been bereft to say, 'This place still stands
[00:21:49.060 --> 00:21:50.060]   today.'"
[00:21:50.060 --> 00:21:52.260]   Do you know what that means?
[00:21:52.260 --> 00:21:57.060]   It means the well to which the living one sees.
[00:21:57.060 --> 00:22:01.720]   So by His name, by her response, by the way that she names even the location to which
[00:22:01.720 --> 00:22:05.520]   she stands, it just screams at this truth.
[00:22:05.520 --> 00:22:12.760]   We need to understand God hears and sees the afflictions of His people.
[00:22:12.760 --> 00:22:24.240]   I want to just encourage you guys again that for us, perhaps some of us, we are hurting
[00:22:24.240 --> 00:22:28.360]   and we have difficulties in our private life.
[00:22:28.360 --> 00:22:33.000]   And sometimes we have inclinations and desires to let people in and have them help us, but
[00:22:33.000 --> 00:22:40.280]   sometimes we're even afraid of that because after all the efforts, it might not help.
[00:22:40.280 --> 00:22:41.560]   I want to encourage you.
[00:22:41.560 --> 00:22:45.960]   God has blessed the people of faith with the congregation, the brothers and sisters of
[00:22:45.960 --> 00:22:51.640]   Christ, so that we might all continue to encourage each other in love.
[00:22:51.640 --> 00:22:56.640]   But to me, one of the profound things of a fellowship of a church that does that is that
[00:22:56.640 --> 00:23:03.040]   we make the reality of God's presence all the more real in those moments of pain.
[00:23:03.040 --> 00:23:07.160]   And so I want to encourage you, if some of you guys are hurting in private, if some of
[00:23:07.160 --> 00:23:13.360]   you guys have certain afflictions, remember that God is Yahweh El Roy, the God who sees
[00:23:13.360 --> 00:23:15.480]   your afflictions.
[00:23:15.480 --> 00:23:21.240]   He saw Hagar's fears, He saw Hagar's worries, He saw everything about her and even the generations
[00:23:21.240 --> 00:23:25.000]   to come.
[00:23:25.000 --> 00:23:27.960]   And she was encouraged simply with that.
[00:23:27.960 --> 00:23:29.280]   In the end, she had to go back.
[00:23:29.280 --> 00:23:31.560]   Isn't that an interesting point?
[00:23:31.560 --> 00:23:34.440]   She had to go back to a Brahman Sarai.
[00:23:34.440 --> 00:23:40.120]   It wasn't simply that, okay, I'm going to promise all this stuff and whabam, peace.
[00:23:40.120 --> 00:23:44.280]   God encouraged her with His knowledge of her and His presence.
[00:23:44.280 --> 00:23:45.280]   But you know what's interesting?
[00:23:45.280 --> 00:23:47.200]   The story continues to go.
[00:23:47.200 --> 00:23:48.560]   The story doesn't stop there.
[00:23:48.560 --> 00:23:52.560]   Please turn in your Bibles to Genesis chapter 21, verse 9.
[00:23:52.560 --> 00:23:57.840]   Genesis chapter 21, verse 9.
[00:23:57.840 --> 00:24:00.040]   Okay?
[00:24:00.040 --> 00:24:03.280]   Okay.
[00:24:03.280 --> 00:24:14.600]   And to give you a little backdrop, in Genesis chapter 16, Ishmael is born and then 13 years
[00:24:14.600 --> 00:24:17.760]   pass from then until chapter 21.
[00:24:17.760 --> 00:24:22.360]   Within those 13 years, there's a lot of stuff more so pertaining to Abram and his, again,
[00:24:22.360 --> 00:24:27.480]   being a chosen person, a figure that God wants to create a nation through.
[00:24:27.480 --> 00:24:31.680]   And then finally, at the beginning of chapter 21, they have a son.
[00:24:31.680 --> 00:24:33.160]   Isaac is born.
[00:24:33.160 --> 00:24:34.280]   Isaac is a baby.
[00:24:34.280 --> 00:24:35.520]   He's just being weaned.
[00:24:35.520 --> 00:24:40.440]   So maybe about one years old, you know, whenever children are weaned off the mother's milk.
[00:24:40.440 --> 00:24:43.880]   But what's really interesting about this story is, so now you have potential for greater
[00:24:43.880 --> 00:24:44.880]   drama.
[00:24:44.880 --> 00:24:51.240]   And here we pick up chapter 21.
[00:24:51.240 --> 00:24:52.240]   Let's see.
[00:24:52.240 --> 00:24:58.320]   Chapter 21, verse 1, it says, "Then the Lord took note of Sarah, and as he had said, the
[00:24:58.320 --> 00:25:00.880]   Lord did for Sarah as he had promised.
[00:25:00.880 --> 00:25:05.840]   So Sarah conceived and bore a son to Abraham in his old age at the appointed time of which
[00:25:05.840 --> 00:25:07.920]   God had spoken of him."
[00:25:07.920 --> 00:25:09.440]   So now you know what's happening.
[00:25:09.440 --> 00:25:18.280]   Verse 9, "Now Sarah saw the son of Hagar the Egyptian, whom she had born to Abraham, mocking.
[00:25:18.280 --> 00:25:23.080]   For she said to Abraham, 'Drive out this maid and her son, for the son of this maid shall
[00:25:23.080 --> 00:25:25.760]   not be an heir with my son Isaac.'"
[00:25:25.760 --> 00:25:28.880]   Oof, drama is unfolding.
[00:25:28.880 --> 00:25:35.960]   Essentially what you have is, so far, 13 years have passed, so Ishmael is probably 13, 14
[00:25:35.960 --> 00:25:36.960]   years old.
[00:25:36.960 --> 00:25:40.280]   So here he is, fully comprehending everything that's going on.
[00:25:40.280 --> 00:25:45.800]   Now this baby is born, but the baby seems to be now the true heir of the family.
[00:25:45.800 --> 00:25:48.320]   So you can imagine Ishmael thinking, "Oh, seriously?
[00:25:48.320 --> 00:25:49.320]   It's a baby."
[00:25:49.320 --> 00:25:50.320]   Right?
[00:25:50.320 --> 00:25:57.040]   So he's looking down on the baby of promise, and then Sarah sees that, and as a mom, she's
[00:25:57.040 --> 00:25:58.040]   just like, "Fah!"
[00:25:58.040 --> 00:25:59.040]   You know?
[00:25:59.040 --> 00:26:01.880]   She gets upset, she's like, "How dare he mock my son!"
[00:26:01.880 --> 00:26:04.400]   And then she goes to Abraham and says, "Get rid of the whole family.
[00:26:04.400 --> 00:26:06.120]   Mom, son, I want them out of here.
[00:26:06.120 --> 00:26:08.080]   They're not gonna be a heir with my son."
[00:26:08.080 --> 00:26:09.840]   Well, let's keep reading here.
[00:26:09.840 --> 00:26:10.840]   Orally, laugh.
[00:26:11.840 --> 00:26:12.840]   Verse 11.
[00:26:12.840 --> 00:26:17.160]   Verse 11 says, "The matter distressed Abraham greatly because of his son.
[00:26:17.160 --> 00:26:21.800]   But God said to Abraham, 'Do not be distressed because of the lad and your maid.
[00:26:21.800 --> 00:26:24.160]   Whatever Sarah tells you, listen to her.
[00:26:24.160 --> 00:26:26.800]   For through Isaac your descendants shall be named.
[00:26:26.800 --> 00:26:31.280]   And the son of the maid, I will make a nation also, because he is your descendant.'"
[00:26:31.280 --> 00:26:32.280]   Okay?
[00:26:32.280 --> 00:26:34.200]   So you notice what's happening?
[00:26:34.200 --> 00:26:40.240]   Because Abraham was without a son, and Ishmael essentially was the only son, I'm guessing
[00:26:40.240 --> 00:26:43.360]   Abraham connected with Ishmael.
[00:26:43.360 --> 00:26:46.000]   He had an affinity and said, "Oh, I can't do that.
[00:26:46.000 --> 00:26:48.360]   This is technically my son."
[00:26:48.360 --> 00:26:49.360]   Right?
[00:26:49.360 --> 00:26:54.840]   But then God says something very interesting, which is God affirms Ishmael is not the promised
[00:26:54.840 --> 00:26:56.960]   line.
[00:26:56.960 --> 00:26:59.440]   So he says, "Do what Sarah says and cast her out."
[00:26:59.440 --> 00:27:00.440]   Ouch.
[00:27:00.440 --> 00:27:01.440]   Right?
[00:27:01.440 --> 00:27:02.440]   Ouch.
[00:27:02.440 --> 00:27:03.440]   So, verse 14.
[00:27:03.440 --> 00:27:06.680]   "So Abraham rose early in the morning and took bread and the skin of water and gave
[00:27:06.680 --> 00:27:11.560]   them to Hagar, putting them on her shoulder and gave her the boy and sent her away.
[00:27:11.560 --> 00:27:15.800]   And she departed and wandered about in the wilderness of Beersheba.
[00:27:15.800 --> 00:27:18.240]   Then the water and the skin was all used up.
[00:27:18.240 --> 00:27:20.580]   She left the boy under one of the bushes.
[00:27:20.580 --> 00:27:24.280]   Then she went and sat down opposite him about a bow shot away.
[00:27:24.280 --> 00:27:27.000]   For she said, 'Do not let me see the boy die.'
[00:27:27.000 --> 00:27:30.600]   And she sat opposite him and lifted up her voice and wept."
[00:27:30.600 --> 00:27:34.960]   Let's take a moment to pause there.
[00:27:34.960 --> 00:27:41.840]   God promised Hagar that her son would be blessed and would have many descendants.
[00:27:41.840 --> 00:27:44.080]   But where is Hagar now?
[00:27:44.080 --> 00:27:45.680]   She's walking the wilderness.
[00:27:45.680 --> 00:27:49.660]   Friends, the simple truth that we have the promises of God does not mean you're going
[00:27:49.660 --> 00:27:53.620]   to be free from difficulty, heartache, and pain.
[00:27:53.620 --> 00:27:55.960]   Those will exist.
[00:27:55.960 --> 00:28:01.040]   And in this moment, can we all affirm the fact that perhaps the vast majority of us
[00:28:01.040 --> 00:28:06.800]   have not been afflicted to the degree she is now?
[00:28:06.800 --> 00:28:08.640]   Some of us have been hurt.
[00:28:08.640 --> 00:28:11.520]   Some of us have felt distress.
[00:28:11.520 --> 00:28:15.240]   Maybe we felt in many ways isolated, outcast, whatever it may be.
[00:28:15.240 --> 00:28:20.280]   But that hurt, probably speaking, is not as great as this.
[00:28:20.280 --> 00:28:23.960]   Let's take a moment to just imagine what she's gone through.
[00:28:23.960 --> 00:28:29.880]   She's being cast out of her home with nothing but her son and a water bag and some perhaps
[00:28:29.880 --> 00:28:30.880]   provisions.
[00:28:30.880 --> 00:28:34.800]   But the thing about it is it's not like as though some kid was running away from home
[00:28:34.800 --> 00:28:37.320]   in this day where they can just go to a buddy's house.
[00:28:37.320 --> 00:28:38.320]   They can go to McDonald's.
[00:28:38.320 --> 00:28:39.320]   They can go to the library.
[00:28:39.320 --> 00:28:40.400]   They can crash somewhere.
[00:28:40.400 --> 00:28:42.400]   This is the desert.
[00:28:42.400 --> 00:28:44.320]   There's nothing but rock.
[00:28:44.320 --> 00:28:46.360]   There's dangerous animals.
[00:28:46.360 --> 00:28:51.920]   And for a woman with a young child to go out, it is again, second time death.
[00:28:51.920 --> 00:28:54.520]   She's going out and remember, her boy is 14.
[00:28:54.520 --> 00:28:57.500]   When I first read this story, I remember thinking, "Oh, that's so sad.
[00:28:57.500 --> 00:28:59.520]   She let her little infant down by the bush."
[00:28:59.520 --> 00:29:02.080]   It wasn't an infant.
[00:29:02.080 --> 00:29:06.480]   And the reason why that matters is because you can imagine that how exhausted, how dehydrated,
[00:29:06.480 --> 00:29:11.120]   how spent and weak they must have been that she had to lay down a full-grown boy next
[00:29:11.120 --> 00:29:14.480]   to a bush.
[00:29:14.480 --> 00:29:18.800]   And then think about the mother's pain to walk away from her son.
[00:29:18.800 --> 00:29:23.000]   Oh, it chokes me up just thinking about it.
[00:29:23.000 --> 00:29:25.000]   To turn her back and walk away from her son.
[00:29:25.000 --> 00:29:28.360]   And we read later on that the boy was crying.
[00:29:28.360 --> 00:29:29.640]   The boy was crying.
[00:29:29.640 --> 00:29:35.680]   So she goes a bow shot away and she prays essentially and says, "Please, don't let
[00:29:35.680 --> 00:29:39.720]   me see my son die."
[00:29:39.720 --> 00:29:43.360]   Because seriously, the nightmare of every parent is to see their child go before them.
[00:29:43.360 --> 00:29:51.760]   So she's essentially saying with that statement, "I would rather die first than my own son."
[00:29:51.760 --> 00:29:54.280]   Hagar's affliction is intense.
[00:29:54.280 --> 00:29:56.560]   It's so intense.
[00:29:56.560 --> 00:29:58.120]   She is at her wit's end.
[00:29:58.120 --> 00:29:59.640]   There's nothing she can do.
[00:29:59.640 --> 00:30:04.000]   She can try desperately to grab strength somehow, but what is she going to do in a moment like
[00:30:04.000 --> 00:30:06.200]   that?
[00:30:06.200 --> 00:30:08.560]   And that is when our God appears.
[00:30:08.560 --> 00:30:11.640]   When the pain is so real and so severe.
[00:30:11.640 --> 00:30:16.120]   Verse 17, "Then God heard the lad crying.
[00:30:16.120 --> 00:30:20.880]   And the angel of God called to Hagar from heaven and said to her, 'Hagar, what is the
[00:30:20.880 --> 00:30:22.000]   matter?
[00:30:22.000 --> 00:30:27.040]   Do not fear for God has heard the voice of the lad where he is.
[00:30:27.040 --> 00:30:31.440]   Arise, lift up the lad and hold him by the hand for I will make a great nation of him.'
[00:30:31.440 --> 00:30:32.840]   Then God opened her eyes.
[00:30:32.840 --> 00:30:34.040]   She saw a well of water.
[00:30:34.040 --> 00:30:37.760]   She went and filled the skin of water and gave the lad a drink.
[00:30:37.760 --> 00:30:39.480]   God was with the lad.
[00:30:39.480 --> 00:30:42.720]   He grew, he lived in the wilderness and became an archer."
[00:30:42.720 --> 00:30:43.720]   Amen.
[00:30:43.720 --> 00:30:48.800]   This story, again, of Hagar to me before was just failure of faith.
[00:30:48.800 --> 00:30:57.200]   The story more so highlights, uplifts God's intervention of mercy through his presence.
[00:30:57.200 --> 00:31:01.640]   And so the second truth for you to write, the first was God hears.
[00:31:01.640 --> 00:31:06.360]   The second truth is God is there.
[00:31:06.360 --> 00:31:09.600]   His very presence is there.
[00:31:09.600 --> 00:31:12.480]   There is a passage in Ezekiel chapter 48.
[00:31:12.480 --> 00:31:14.200]   You don't have to turn there because it's a long passage.
[00:31:14.200 --> 00:31:16.840]   I'm just going to summarize and give you the gist.
[00:31:16.840 --> 00:31:21.960]   In Ezekiel chapter 48, God is promising the nation that I will restore you.
[00:31:21.960 --> 00:31:23.480]   You are in pain now.
[00:31:23.480 --> 00:31:25.000]   You know the history of Israel.
[00:31:25.000 --> 00:31:30.280]   They were not just felt rejected, they were literally overcome by pagan nations.
[00:31:30.280 --> 00:31:34.120]   They were held captive and enslaved and they were oppressed and were crying out to God.
[00:31:34.120 --> 00:31:38.360]   And God through the prophets regularly promised them, 'I will restore you.'
[00:31:38.360 --> 00:31:42.200]   And God says, 'I will restore you to a degree where you will have a beautiful city.
[00:31:42.200 --> 00:31:44.680]   And this city is so real, I'm going to give you the measurements.'
[00:31:44.680 --> 00:31:48.520]   So chapter 48 of Ezekiel, God gives the measurements of the pillars.
[00:31:48.520 --> 00:31:52.280]   God gives the measurements of the temple and the foundation, the courtyard.
[00:31:52.280 --> 00:31:56.200]   And in that, in the midst of that, do you know what he says?
[00:31:56.200 --> 00:31:57.200]   Jot this down as a reference.
[00:31:57.200 --> 00:32:00.200]   Ezekiel 48, 35.
[00:32:00.200 --> 00:32:06.800]   And the name of that holy city is the Lord is there.
[00:32:06.800 --> 00:32:10.520]   That term, the Lord is there, is so unique because it's the only place in the entire
[00:32:10.520 --> 00:32:16.120]   Bible where that term is used and that term is Yahweh Shammah.
[00:32:16.120 --> 00:32:17.120]   Jot that down.
[00:32:17.120 --> 00:32:20.040]   Yahweh Shammah.
[00:32:20.040 --> 00:32:24.440]   We learned a moment ago that God is Yahweh El Roy, the God who sees.
[00:32:24.440 --> 00:32:27.400]   Here, we notice that God is the God who is there.
[00:32:27.400 --> 00:32:32.400]   His presence is there and His presence fills the city and that is their reward.
[00:32:32.400 --> 00:32:33.760]   That is their blessing.
[00:32:33.760 --> 00:32:37.200]   That is their success.
[00:32:37.200 --> 00:32:42.160]   Not simply to overcome those pagans, not simply to overcome my financial distress, not simply
[00:32:42.160 --> 00:32:49.520]   to overcome my work distress, family distress, God's presence is their portion.
[00:32:49.520 --> 00:32:56.080]   And so I want to encourage you, brothers and sisters in Christ, we know theologically that
[00:32:56.080 --> 00:32:58.480]   God's presence is everywhere.
[00:32:58.480 --> 00:32:59.680]   Right?
[00:32:59.680 --> 00:33:07.160]   God, if you guys are in BCC, you guys learned that today along with a thousand other things.
[00:33:07.160 --> 00:33:09.040]   God is omnipresent.
[00:33:09.040 --> 00:33:14.600]   He is always present in all places.
[00:33:14.600 --> 00:33:18.640]   That means He both rules in that area, arena.
[00:33:18.640 --> 00:33:20.400]   He sees what's happening.
[00:33:20.400 --> 00:33:22.280]   He exercises absolute control.
[00:33:22.280 --> 00:33:29.360]   But for this poor Egyptian slave, it means God's grace is with them.
[00:33:29.360 --> 00:33:35.960]   Can I, if any of you are struggling, hurting, seeking out for some strength, for whatever
[00:33:35.960 --> 00:33:40.560]   you can find, can these words encourage your heart?
[00:33:40.560 --> 00:33:42.240]   God is the God who sees.
[00:33:42.240 --> 00:33:45.520]   God is the God who is there with you.
[00:33:45.520 --> 00:33:47.360]   This truth is so profound.
[00:33:47.360 --> 00:33:50.040]   You know, the reason why I'm preaching this from the book of Genesis is because I've been
[00:33:50.040 --> 00:33:54.880]   walking through the book of Genesis with the youth group students now for almost a lap,
[00:33:54.880 --> 00:33:57.600]   full year, and I'm still not done with the book of Genesis.
[00:33:57.600 --> 00:34:02.840]   And the thing about it is I see this theme repeated over and over again.
[00:34:02.840 --> 00:34:04.200]   And I want to highlight it for you.
[00:34:04.200 --> 00:34:08.920]   So although this is a bit of a Bible verse look up exercise, please bear with me and
[00:34:08.920 --> 00:34:12.240]   let's go to Genesis 26 verse three.
[00:34:12.240 --> 00:34:15.760]   Genesis 26 verse three.
[00:34:15.760 --> 00:34:20.600]   In Genesis 26 verse three, this is already a time in which Abraham is almost out of the
[00:34:20.600 --> 00:34:21.600]   picture.
[00:34:21.600 --> 00:34:22.840]   Isaac is young.
[00:34:22.840 --> 00:34:26.920]   He's leading his family and there is a famine in the land.
[00:34:26.920 --> 00:34:31.160]   There is desperation simply for basic necessity, food.
[00:34:31.160 --> 00:34:36.080]   And God says this, verse three, sojourn in the land and I will be with you.
[00:34:36.080 --> 00:34:39.720]   I will bless you for to you and your descendants that will give all these lands.
[00:34:39.720 --> 00:34:43.600]   I will establish the oath which I swore to your forefather.
[00:34:43.600 --> 00:34:48.080]   Later on in the same chapter, Isaac runs into another problem, limited resource, lack of
[00:34:48.080 --> 00:34:49.080]   food.
[00:34:49.080 --> 00:34:50.080]   There is also lack of water.
[00:34:50.080 --> 00:34:51.880]   And so with his neighbors, now there's strife.
[00:34:51.880 --> 00:34:53.480]   It's like, hey, this well is ours.
[00:34:53.480 --> 00:34:54.600]   No, this well is ours.
[00:34:54.600 --> 00:34:56.640]   But if you give up the well, what's going to happen?
[00:34:56.640 --> 00:34:58.120]   Your people are going to die of thirst.
[00:34:58.120 --> 00:34:59.120]   They need the water.
[00:34:59.120 --> 00:35:01.280]   What are we going to do?
[00:35:01.280 --> 00:35:03.800]   This is what God says, verse 24.
[00:35:03.800 --> 00:35:06.760]   So this is Genesis 26 verse 24.
[00:35:06.760 --> 00:35:12.200]   And the Lord appeared to him that same night and said, I am the God of your father, Abraham.
[00:35:12.200 --> 00:35:14.400]   Do not fear for I am with you.
[00:35:14.400 --> 00:35:20.360]   I will bless you and multiply your descendants for the sake of my servant, Abraham.
[00:35:20.360 --> 00:35:21.720]   And then you go from Isaac.
[00:35:21.720 --> 00:35:22.720]   He gets old.
[00:35:22.720 --> 00:35:24.400]   His sons grow up.
[00:35:24.400 --> 00:35:26.320]   Jacob and Esau and Jacob.
[00:35:26.320 --> 00:35:27.760]   Esau being the older.
[00:35:27.760 --> 00:35:30.320]   And when Isaac is too old, his eyes get all dim.
[00:35:30.320 --> 00:35:31.840]   His hearing gets all dim.
[00:35:31.840 --> 00:35:33.400]   And he's easy to dupe.
[00:35:33.400 --> 00:35:35.040]   Jacob sees it as an opportunity.
[00:35:35.040 --> 00:35:36.360]   His mother encouraged him.
[00:35:36.360 --> 00:35:38.320]   He dupes him and says, I want the blessing.
[00:35:38.320 --> 00:35:40.880]   Even though I'm not the first child, I want the blessing.
[00:35:40.880 --> 00:35:41.880]   He dupes his father.
[00:35:41.880 --> 00:35:42.880]   He dupes his brother.
[00:35:42.880 --> 00:35:48.000]   And what ends up happening is, just like Abraham, when you, when you go about your own way,
[00:35:48.000 --> 00:35:49.000]   you make a muck of it.
[00:35:49.000 --> 00:35:51.240]   And next thing you know, he has to run.
[00:35:51.240 --> 00:35:54.800]   And it's so sad because although he loved his mother, he doesn't ever see his mother
[00:35:54.800 --> 00:35:55.800]   again.
[00:35:55.800 --> 00:35:59.000]   And he's married and Rebecca doesn't get to see her son.
[00:35:59.000 --> 00:36:01.560]   And then she dies.
[00:36:01.560 --> 00:36:04.960]   Jacob can't go back to his father because he's deceived him.
[00:36:04.960 --> 00:36:06.440]   Jacob now is in threat of his brother.
[00:36:06.440 --> 00:36:08.520]   Esau said, I am going to kill that man.
[00:36:08.520 --> 00:36:09.520]   Literally, verbatim.
[00:36:09.520 --> 00:36:10.520]   I will kill him.
[00:36:10.520 --> 00:36:11.520]   Right?
[00:36:11.520 --> 00:36:12.520]   Jacob's life is shot.
[00:36:12.520 --> 00:36:13.920]   His relationship is all broken.
[00:36:13.920 --> 00:36:15.560]   What do we do?
[00:36:15.560 --> 00:36:20.080]   Take a look at Genesis chapter 28, verse 15 through 16.
[00:36:20.080 --> 00:36:25.560]   Genesis chapter 28, verse 16 through, I mean 15 through 16.
[00:36:25.560 --> 00:36:30.240]   What's happening in the story as you turn there is Jacob is walking in the wilderness
[00:36:30.240 --> 00:36:32.880]   too, by himself.
[00:36:32.880 --> 00:36:37.320]   And he's so sad that in the evening he decides to lay down, but there's nothing to lay on.
[00:36:37.320 --> 00:36:41.520]   So he essentially lies on the side of the road in the dirt and is so dejected.
[00:36:41.520 --> 00:36:46.480]   He's using a rock for a pillow and he's just sad.
[00:36:46.480 --> 00:36:49.240]   In that context, verse 15, behold, I am with you.
[00:36:49.240 --> 00:36:50.880]   I will keep you wherever you go.
[00:36:50.880 --> 00:36:52.680]   I will bring you back to this land.
[00:36:52.680 --> 00:36:56.680]   I will not leave you until I have done what I have promised you.
[00:36:56.680 --> 00:37:04.120]   Then Jacob woke from his sleep and said, surely the Lord is in this place, but I did not know
[00:37:04.120 --> 00:37:06.440]   it.
[00:37:06.440 --> 00:37:09.520]   This is my encouragement to us this morning.
[00:37:09.520 --> 00:37:11.320]   So many different situations in our lives.
[00:37:11.320 --> 00:37:12.360]   We can feel pain.
[00:37:12.360 --> 00:37:13.360]   We can feel dejected.
[00:37:13.360 --> 00:37:18.480]   We can feel a sense of depression, anxiety, insecurity.
[00:37:18.480 --> 00:37:21.200]   What is the encouragement?
[00:37:21.200 --> 00:37:23.360]   Surely God is in this place.
[00:37:23.360 --> 00:37:28.560]   I just in the moment did not see it.
[00:37:28.560 --> 00:37:34.080]   What's more, later on, Jacob is going to his relatives land because he has to go somewhere.
[00:37:34.080 --> 00:37:41.120]   And if you turn to Genesis chapter 31, in his journey over there, he meets Rachel, girl
[00:37:41.120 --> 00:37:43.760]   of his dreams, girl of his dreams.
[00:37:43.760 --> 00:37:48.720]   Looks like things are looking up, but what ends up happening is Jacob gets duped and
[00:37:48.720 --> 00:37:53.920]   then he ends up finding himself married to Rachel's sister who happens to be not so good
[00:37:53.920 --> 00:37:55.600]   looking.
[00:37:55.600 --> 00:37:59.600]   And then what ends up happening is he ends up being swindled to work like three times
[00:37:59.600 --> 00:38:02.000]   as much as he was originally supposed to work.
[00:38:02.000 --> 00:38:05.960]   And next thing you know, not only is he married to both the sisters, but he's entangled with
[00:38:05.960 --> 00:38:07.240]   his family.
[00:38:07.240 --> 00:38:10.720]   And then what ends up happening is Lebon, the father-in-law starts to mistreat Jacob.
[00:38:10.720 --> 00:38:12.960]   It says that he is no longer on friendly terms.
[00:38:12.960 --> 00:38:15.640]   He sees that Jacob essentially is a threat.
[00:38:15.640 --> 00:38:17.120]   And so they start to have animosity.
[00:38:17.120 --> 00:38:19.640]   What do you do?
[00:38:19.640 --> 00:38:21.080]   What do you do?
[00:38:21.080 --> 00:38:26.120]   Verse one, Genesis chapter 31 verse one, then the Lord said to Jacob, return to the land
[00:38:26.120 --> 00:38:28.560]   of your fathers, to the relatives.
[00:38:28.560 --> 00:38:30.880]   I will be with you.
[00:38:30.880 --> 00:38:33.960]   I can just keep going just for the sake of time.
[00:38:33.960 --> 00:38:35.880]   What happens is when Jacob gets old, guess what?
[00:38:35.880 --> 00:38:37.120]   His 12 sons grow up.
[00:38:37.120 --> 00:38:40.600]   His 12 sons, many of them are very vile and wicked.
[00:38:40.600 --> 00:38:45.560]   They get angry at Joseph, the younger brother, because Joseph is a little proud.
[00:38:45.560 --> 00:38:48.440]   Joseph is clearly the guy that Jacob loves most.
[00:38:48.440 --> 00:38:51.840]   He's got his like nice gown, almost like a royal robe.
[00:38:51.840 --> 00:38:53.960]   So then the brothers say, let's kill the guy.
[00:38:53.960 --> 00:38:56.400]   Oh no, wait, better yet, let's sell the guy.
[00:38:56.400 --> 00:38:58.840]   They sell him as a slave to the Egyptians.
[00:38:58.840 --> 00:39:01.480]   He gets sent on over there.
[00:39:01.480 --> 00:39:04.560]   What do you do when you're sent as a slave by your own brothers?
[00:39:04.560 --> 00:39:06.840]   Do you know what it says?
[00:39:06.840 --> 00:39:11.280]   Genesis 39, two, the Lord was with Joseph and the Lord caused him to become a successful
[00:39:11.280 --> 00:39:13.320]   man.
[00:39:13.320 --> 00:39:16.080]   Joseph later on, he's falsely accused.
[00:39:16.080 --> 00:39:18.760]   He's falsely accused because he's working as a slave now.
[00:39:18.760 --> 00:39:22.240]   He's been entrusted with a lot of things, but a wicked woman in the home, essentially
[00:39:22.240 --> 00:39:26.640]   Potiphar's wife, she's making advances towards him and she says, lie with me.
[00:39:26.640 --> 00:39:27.640]   He says, no.
[00:39:27.640 --> 00:39:29.480]   She says, lie with me and grabs on his shirt.
[00:39:29.480 --> 00:39:31.120]   He says no and he runs away.
[00:39:31.120 --> 00:39:35.480]   Now she thinks of this as an opportunity to falsely accuse this guy.
[00:39:35.480 --> 00:39:37.760]   He gets accused and sent to jail.
[00:39:37.760 --> 00:39:40.520]   Three years he spends in jail.
[00:39:40.520 --> 00:39:42.240]   Three years.
[00:39:42.240 --> 00:39:45.120]   What do you do when you're, when you're falsely accused?
[00:39:45.120 --> 00:39:48.600]   When you're hurt because people think the worst of you rather than the better?
[00:39:48.600 --> 00:39:52.080]   People assume the wrong of you, judge you, make you feel like you're worse than you really
[00:39:52.080 --> 00:39:55.200]   are.
[00:39:55.200 --> 00:39:56.200]   Genesis 29, 31.
[00:39:56.200 --> 00:40:03.640]   I mean, Genesis 29, 21, but the Lord was with Joseph, extended his kindness to Kim,
[00:40:03.640 --> 00:40:06.600]   gave him favor in the sight of the jailed chief.
