
[00:00:00.000 --> 00:00:04.000]   (silence)
[00:23:16.000 --> 00:23:20.000]   One of the most foolish things you can do is know that
[00:23:20.000 --> 00:23:24.000]   I am a God and this is me. And that's what this idea
[00:23:24.000 --> 00:23:28.000]   of wisdom begins with. You're a God. When you acknowledge
[00:23:28.000 --> 00:23:32.000]   this authority and move to a place
[00:23:32.000 --> 00:23:36.000]   that's a place. But when all the hearts are dug, like, "Now
[00:23:36.000 --> 00:23:40.000]   I've got to do this right," that's when actually the biggest frustration happens.
[00:23:40.000 --> 00:23:44.000]   So he says here, "Don't be fooled. Understand
[00:23:44.000 --> 00:23:48.000]   I do the will of the Lord."
[00:23:48.000 --> 00:23:52.000]   Okay. Next commandment.
[00:23:52.000 --> 00:23:56.000]   It is, "Be filled with
[00:23:56.000 --> 00:24:00.000]   the Spirit." Commandment number four, "Be filled with the Spirit."
[00:24:00.000 --> 00:24:04.000]   Now, I apologize, because of time we're not going to be able
[00:24:04.000 --> 00:24:08.000]   to get into every single element of this passage. But again, I trust that
[00:24:08.000 --> 00:24:12.000]   you guys have done your own observation, done your own question. I'm just going to
[00:24:12.000 --> 00:24:16.000]   highlight it. The first thing I want to highlight is clearly we make this observation
[00:24:16.000 --> 00:24:20.000]   that there is a contrast here between
[00:24:20.000 --> 00:24:24.000]   being drunk off of wine and described as dissipation.
[00:24:24.000 --> 00:24:28.000]   And then in contrast to that "with," "be filled with the Spirit."
[00:24:28.000 --> 00:24:32.000]   And you have to ask this question then, I ask
[00:24:32.000 --> 00:24:36.000]   this question, "Why do people drink so much?" But the other question really is, "How
[00:24:36.000 --> 00:24:40.000]   does Scripture view drunkenness and dissipation?" That summary
[00:24:40.000 --> 00:24:44.000]   stated, "This is dissipation." What does that mean? Those are some observations
[00:24:44.000 --> 00:24:48.000]   that we need to have. And in order to answer that question,
[00:24:48.000 --> 00:24:52.000]   I definitely think that we have to take a moment to just meditate on it. What is it
[00:24:52.000 --> 00:24:56.000]   about getting drunk that this world thinks is so cool?
[00:24:56.000 --> 00:25:00.000]   What is it about getting drunk that this world thinks it's so awesome?
[00:25:00.000 --> 00:25:04.000]   Like, when people think about
[00:25:04.000 --> 00:25:08.000]   partying, wedding celebration, when you get a hang
[00:25:08.000 --> 00:25:12.000]   celebration, when they think about birthdays, when they think about St. Patrick's
[00:25:12.000 --> 00:25:16.000]   Day, pretty much any and every celebration
[00:25:16.000 --> 00:25:20.000]   you can think of, this world thinks, "Let's get drunk. Let's get alcohol."
[00:25:20.000 --> 00:25:24.000]   Why? Well, someone can say, "You know what? It just feels
[00:25:24.000 --> 00:25:28.000]   great." Okay? Other people
[00:25:28.000 --> 00:25:32.000]   might say, "Well, this just brings us together."
[00:25:32.000 --> 00:25:36.000]   It's like a little joke. Other people might say, "That
[00:25:36.000 --> 00:25:40.000]   just brings in that community joy. We're celebrating."
[00:25:40.000 --> 00:25:44.000]   And then you realize, "Oh, that's weird." Because some people use it
[00:25:44.000 --> 00:25:48.000]   when they're sad, when they're depressed, when they want to escape the pain of this
[00:25:48.000 --> 00:25:52.000]   world, they drink it away. So, that's weird.
[00:25:52.000 --> 00:25:56.000]   You have individuals who love the world, and they think it's
[00:25:56.000 --> 00:26:00.000]   amazing, and that's what they drink. You have individuals who hate the world, and all the
[00:26:00.000 --> 00:26:04.000]   biases and all the rules of the world that they drink, and they're like, "That's
[00:26:04.000 --> 00:26:08.000]   a waste." And what's really interesting is when the word dissipates,
[00:26:08.000 --> 00:26:12.000]   if you look up the definition,
[00:26:12.000 --> 00:26:16.000]   the immediate definition is "extravagant squandering."
[00:26:16.000 --> 00:26:20.000]   You're going to hear me say that. It says, "This is dissipation."
[00:26:20.000 --> 00:26:24.000]   You're just getting off on one. The definition of dissipation,
[00:26:24.000 --> 00:26:28.000]   you know, when you think about water dissipating, you think about it in an accurate way,
[00:26:28.000 --> 00:26:32.000]   but the actual definition that's more literal is "extravagant
[00:26:32.000 --> 00:26:36.000]   squandering." And so this term is used
[00:26:36.000 --> 00:26:40.000]   theologically and more, I guess, metaphorically, like that
[00:26:40.000 --> 00:26:44.000]   codical sign. The one who just spends much. Perhaps
[00:26:44.000 --> 00:26:48.000]   you could think of the rich kid. The rich kid whose father owns
[00:26:48.000 --> 00:26:52.000]   a lot of stuff, and so as a brat, he wants it, and he wants to go spend it.
[00:26:52.000 --> 00:26:56.000]   And he spends it on all kinds of vices to his own gain. He is
[00:26:56.000 --> 00:27:00.000]   easily under the influences and flattery of others. He's given to
[00:27:00.000 --> 00:27:04.000]   temptation, and he surrounds himself with spending free to his
[00:27:04.000 --> 00:27:08.000]   lust and appetite. It's debauchery. It's
[00:27:08.000 --> 00:27:12.000]   this incredible manner of living that has so
[00:27:12.000 --> 00:27:16.000]   won him. These are just some of the things that the theological
[00:27:16.000 --> 00:27:20.000]   dictionary has about this term. "Extravagant."
[00:27:20.000 --> 00:27:24.000]   When you think about this term, you have individuals who turn to
[00:27:24.000 --> 00:27:28.000]   alcohol as a means to feel like they're
[00:27:28.000 --> 00:27:32.000]   full. As a means to feel like maybe the feeling
[00:27:32.000 --> 00:27:36.000]   of joy. Turning to it as a means to feel like
[00:27:36.000 --> 00:27:40.000]   whatever it is, the psychology of a rich child
[00:27:40.000 --> 00:27:44.000]   who feels like they have all the resources in the world in
[00:27:44.000 --> 00:27:48.000]   is a choice. Scripture says those who care
[00:27:48.000 --> 00:27:52.000]   in terms of that as a means of their joy, as a means of their pleasure,
[00:27:52.000 --> 00:27:56.000]   as a means of their escape, as a means of anything
[00:27:56.000 --> 00:28:00.000]   need to be turned to in the spirit of God,
[00:28:00.000 --> 00:28:04.000]   who lives in His very presence.
[00:28:04.000 --> 00:28:08.000]   We don't have to overcomplicate what it means to be filled
[00:28:08.000 --> 00:28:12.000]   with the Spirit. To be filled with the Spirit means
[00:28:12.000 --> 00:28:16.000]   we have, just like a child has his blessings in the Father, so we have
[00:28:16.000 --> 00:28:20.000]   our blessings in the Father. We have His power, His wisdom, His purpose, His truth.
[00:28:20.000 --> 00:28:24.000]   In Ephesians, we're talking about we have every
[00:28:24.000 --> 00:28:28.000]   blessing in the Father, so we bless Him.
[00:28:28.000 --> 00:28:32.000]   We're not talking about any kind of mystical greater measure
[00:28:32.000 --> 00:28:36.000]   of the Spirit, we're talking about the very presence of God.
[00:28:36.000 --> 00:28:40.000]   Now what the Scripture says, by way of observation,
[00:28:40.000 --> 00:28:44.000]   is that when we are filled with the Spirit, we are going to be
[00:28:44.000 --> 00:28:48.000]   what Peter speaks of as an observation. Being filled with the Spirit
[00:28:48.000 --> 00:28:52.000]   is described by an ongoing overflow of speech
[00:28:52.000 --> 00:28:56.000]   and song of the Holy Spirit. So,
[00:28:56.000 --> 00:29:00.000]   the heading should be overflow
[00:29:00.000 --> 00:29:04.000]   of joy and thanksgiving.
[00:29:04.000 --> 00:29:08.000]   The previous commandment is to be filled with the Spirit,
[00:29:08.000 --> 00:29:12.000]   underneath that is overflow of joy and thanksgiving.
[00:29:12.000 --> 00:29:16.000]   So speaking to one another in song and in spiritual song, singing
[00:29:16.000 --> 00:29:20.000]   and making melody with your heart to the Lord. Always
[00:29:20.000 --> 00:29:24.000]   giving thanks for all things in the name of our Lord Jesus Christ, who is God,
[00:29:24.000 --> 00:29:28.000]   even in the Father. Think about this as fruits, a description
[00:29:28.000 --> 00:29:32.000]   of what it means to be filled with the Spirit. So, if you have questions about what does it really mean
[00:29:32.000 --> 00:29:36.000]   to be filled with the Spirit, are we talking about being empowered to do great works?
[00:29:36.000 --> 00:29:40.000]   Are we talking about being filled with the Spirit to do miracles? Are we talking about
[00:29:40.000 --> 00:29:44.000]   some kind of, you know, "guess what" scene? Well, here specifically,
[00:29:44.000 --> 00:29:48.000]   you're filled with the Spirit is described as an ongoing overflow
[00:29:48.000 --> 00:29:52.000]   of joy and gratitude.
[00:29:52.000 --> 00:29:56.000]   So, this is an overflow of joy and gratitude.
[00:29:56.000 --> 00:30:00.000]   That's the way it is.
[00:30:00.000 --> 00:30:04.000]   Last, B, commandment number six,
[00:30:04.000 --> 00:30:08.000]   that is, "and be subject to one another in the fear of
[00:30:08.000 --> 00:30:12.000]   anything."
[00:30:12.000 --> 00:30:16.000]   I'm going to talk about how commandment number six, humble yourself.
[00:30:16.000 --> 00:30:20.000]   Humble yourself. If we're thinking about the logic of
[00:30:20.000 --> 00:30:24.000]   being careful, being wise, we completely get all the
[00:30:24.000 --> 00:30:28.000]   things that we're talking about so far. A quick way to do that
[00:30:28.000 --> 00:30:32.000]   is to think about your needs. We need to make sure that we're giving people
[00:30:32.000 --> 00:30:36.000]   time. We need to make sure that we understand how to live. We need to make sure
[00:30:36.000 --> 00:30:40.000]   that we are living this overflowing of joy and gratitude.
[00:30:40.000 --> 00:30:44.000]   What is very, very character and very, very wonderful
[00:30:44.000 --> 00:30:48.000]   is humility. Right? All of those
[00:30:48.000 --> 00:30:52.000]   to me make sense. If you're wise, if you understand,
[00:30:52.000 --> 00:30:56.000]   if you're living in reality, you should be the most
[00:30:56.000 --> 00:31:00.000]   joyful and thankful person. Right? You should be the
[00:31:00.000 --> 00:31:04.000]   person who is in time. You should be the person who is
[00:31:04.000 --> 00:31:08.000]   in the gospel, the truth, the impact, and the wisdom
[00:31:08.000 --> 00:31:12.000]   of God is hitting us because we recognize His presence. All of
[00:31:12.000 --> 00:31:16.000]   those to me make sense, especially to the public.
[00:31:16.000 --> 00:31:20.000]   To be able to subject ourselves to the fear
[00:31:20.000 --> 00:31:24.000]   of Christ. The idea is because we have
[00:31:24.000 --> 00:31:28.000]   an understanding of Christ, His authority, His power,
[00:31:28.000 --> 00:31:32.000]   His mercy, His kindness, and our reverence for Christ
[00:31:32.000 --> 00:31:36.000]   rises in knowledge. The most
[00:31:36.000 --> 00:31:40.000]   wise application of that is we are really
[00:31:40.000 --> 00:31:44.000]   able to subject ourselves. Humble ourselves. Even before
[00:31:44.000 --> 00:31:48.000]   people are humble. I want you to think about this in your head.
[00:31:48.000 --> 00:31:52.000]   I don't think you would be as
[00:31:52.000 --> 00:31:56.000]   nobody's like that in our service.
[00:31:56.000 --> 00:32:00.000]   I go to God and I'm like, "You know, I'm in it. You make sure you
[00:32:00.000 --> 00:32:04.000]   manage it for me." We're not going to say that to God directly.
[00:32:04.000 --> 00:32:08.000]   Does that mean I'm not right? But God says
[00:32:08.000 --> 00:32:12.000]   if I talk to my brother in my life,
[00:32:12.000 --> 00:32:16.000]   I'm still actually fighting with God.
[00:32:16.000 --> 00:32:20.000]   He's in the present. He's watching.
[00:32:20.000 --> 00:32:24.000]   And if you've ever, let's say for example, you were the
[00:32:24.000 --> 00:32:28.000]   greatest basketball player to ever live
[00:32:28.000 --> 00:32:32.000]   in your presence, two rookies going into the
[00:32:32.000 --> 00:32:36.000]   sit-down, fighting each other about defense, watching the picture there.
[00:32:36.000 --> 00:32:40.000]   Because you're there, that little victory,
[00:32:40.000 --> 00:32:44.000]   that kind of competitive edge, that kind of egging each other, that kind of
[00:32:44.000 --> 00:32:48.000]   mocking each other, it's annoying to watch
[00:32:48.000 --> 00:32:52.000]   because you still see how foolish they are over what you've done.
[00:32:52.000 --> 00:32:56.000]   You're going to talk about who was great in front of you. So I want you to think
[00:32:56.000 --> 00:33:00.000]   about that in the presence of God. When we are
[00:33:00.000 --> 00:33:04.000]   frightened, God's looking at us like, "Wow, who wants to be blind?"
[00:33:04.000 --> 00:33:08.000]   You must not have seen. And if you're sitting there
[00:33:08.000 --> 00:33:12.000]   thinking, "Well, I'm the best," God's looking at us like, "Wow, you're lying."
[00:33:12.000 --> 00:33:16.000]   If we're competing with other people thinking like, "Oh, I'm better than that person."
[00:33:16.000 --> 00:33:20.000]   He looks at me and he deserves the credit for this. God's looking at us
[00:33:20.000 --> 00:33:24.000]   and thinking, "You have quite the problem."
[00:33:24.000 --> 00:33:28.000]   "Well, I've got all the foot seating in your room, Thomas. I do just as few as the mountains above."
[00:33:28.000 --> 00:33:32.000]   When we flex in front of our mirror,
[00:33:32.000 --> 00:33:36.000]   don't look, don't mention it. Our world is so small
[00:33:36.000 --> 00:33:40.000]   we think of the few. Only when we step outside
[00:33:40.000 --> 00:33:44.000]   do we realize, "I'm not that few."
[00:33:44.000 --> 00:33:48.000]   See, our view of Christ, our experience
[00:33:48.000 --> 00:33:52.000]   with the Lord, empowers us to be humble with each other.
[00:33:52.000 --> 00:33:56.000]   To submit ourselves to being with other people.
[00:33:56.000 --> 00:34:00.000]   Realize, we don't deserve much.
[00:34:00.000 --> 00:34:04.000]   We're not much, right? And more importantly, it also modernizes us.
[00:34:04.000 --> 00:34:08.000]   "I realize I'm the greatest."
[00:34:08.000 --> 00:34:12.000]   "Actually, I realize I'm the least."
[00:34:12.000 --> 00:34:16.000]   "There's nothing. Please don't even look at me."
[00:34:16.000 --> 00:34:20.000]   "You're doing a lot of shaming."
[00:34:20.000 --> 00:34:24.000]   "Thanks be to God, I'm less, he's greater."
[00:34:24.000 --> 00:34:28.000]   "That's all that matters." "There is no jockeying for position between me and my brother."
[00:34:28.000 --> 00:34:32.000]   "When I see God, there's nothing else."
[00:34:32.000 --> 00:34:36.000]   "That to us is a great grace."
[00:34:36.000 --> 00:34:40.000]   "When we exercise our penitentiality, it's a great grace."
[00:34:40.000 --> 00:34:44.000]   So by the way, we realize
[00:34:44.000 --> 00:34:48.000]   being filled with the knowledge of God, seeing
[00:34:48.000 --> 00:34:52.000]   the world of God's commandments, it causes us to be
[00:34:52.000 --> 00:34:56.000]   wiser and more brave on the other side. It helps us to
[00:34:56.000 --> 00:35:00.000]   avoid the foolishness of speaking in English.
[00:35:00.000 --> 00:35:04.000]   The foolishness of speaking in the broader
[00:35:04.000 --> 00:35:08.000]   morality of seeing life as it is.
[00:35:08.000 --> 00:35:12.000]   Let's take a moment.
[00:35:12.000 --> 00:35:16.000]   Heavenly Father,
[00:35:16.000 --> 00:35:20.000]   God, we hear your time. We want to hear it.
[00:35:20.000 --> 00:35:24.000]   We realize that sometimes we do so much
[00:35:24.000 --> 00:35:28.000]   in our own time, and we get more of it because
[00:35:28.000 --> 00:35:32.000]   it's so fixated on making
[00:35:32.000 --> 00:35:36.000]   sure that our priorities are good. Sometimes
[00:35:36.000 --> 00:35:40.000]   we don't realize God, God, you might have a tendency to hurt ourselves
[00:35:40.000 --> 00:35:44.000]   or others. I ask God that you can
[00:35:44.000 --> 00:35:48.000]   see more accurately what is
[00:35:48.000 --> 00:35:52.000]   spiritual. What is of greater importance? What is your priority?
[00:35:52.000 --> 00:35:56.000]   Heavenly Father, you have told us. You have told us
[00:35:56.000 --> 00:36:00.000]   all this while. We have to be part of
[00:36:00.000 --> 00:36:04.000]   care, of humility, of heart for union,
[00:36:04.000 --> 00:36:08.000]   and I pray that God will guide us in life.
[00:36:08.000 --> 00:36:12.000]   We thank you. God bless you.

