
[00:00:00.000 --> 00:00:01.580]   - So good morning.
[00:24:28.240 --> 00:24:37.240]   When you think about finances or investing or investments, do you think about eternity?
[00:24:37.240 --> 00:24:39.240]   I'm thinking about my 401(k).
[00:24:39.240 --> 00:24:48.240]   Is eternity coming to mind in the context of your thinking about how to handle your money?
[00:24:48.240 --> 00:24:54.240]   And to be fair, this is an encouragement and challenge to me as well.
[00:24:54.240 --> 00:25:04.240]   To think in aspects of how I spend my money, how is that benefiting the gospel enterprise?
[00:25:04.240 --> 00:25:08.240]   How are you using that money for the furtherance of God's kingdom?
[00:25:08.240 --> 00:25:15.240]   One thing is we talk about, if you know anything about finances and financial planners and these people in finance,
[00:25:15.240 --> 00:25:20.240]   they will say, "Are you investing in your future?"
[00:25:20.240 --> 00:25:23.240]   You've heard that phrase, "Are you investing in your future?"
[00:25:23.240 --> 00:25:25.240]   What does that mean?
[00:25:25.240 --> 00:25:32.240]   Are you thinking the long, I have it written down here, the long-term future?
[00:25:32.240 --> 00:25:33.240]   And what is that?
[00:25:33.240 --> 00:25:35.240]   Not retirement.
[00:25:35.240 --> 00:25:36.240]   It's eternity.
[00:25:36.240 --> 00:25:39.240]   The long aspects of our future.
[00:25:39.240 --> 00:25:42.240]   Jesus made it very clear in Matthew 6.
[00:25:42.240 --> 00:25:52.240]   He says in verse 19, "Do not store up for yourselves treasures on earth where moth and rust destroy and where thieves break in and steal,
[00:25:52.240 --> 00:26:02.240]   but store up for yourselves treasures in heaven, where neither moth nor rust destroys and where thieves do not break in and steal.
[00:26:02.240 --> 00:26:07.240]   For where your treasure is, there your heart will also be."
[00:26:07.240 --> 00:26:12.240]   So I found this quote from one of my favorite pastors, Pastor John Piper.
[00:26:12.240 --> 00:26:15.240]   If you could put that on, read this with me.
[00:26:15.240 --> 00:26:17.240]   He says it like it is.
[00:26:17.240 --> 00:26:24.240]   "My take on tithing in America is that it's a middle-class way of robbing God.
[00:26:24.240 --> 00:26:29.240]   Tithing to the church and spending the rest on your family is not a Christian goal.
[00:26:29.240 --> 00:26:31.240]   It's a diversion.
[00:26:31.240 --> 00:26:38.240]   The real issue is how shall we use God's trust fund, namely, all we have for his glory?
[00:26:38.240 --> 00:26:45.240]   In a world with so much misery, what lifestyle should we call our people to live?
[00:26:45.240 --> 00:26:48.240]   What example are we setting?"
[00:26:48.240 --> 00:26:53.240]   So I kind of stopped there and thought about what example am I setting?
[00:26:53.240 --> 00:26:59.240]   I thought of the phrase, "Put your money where your mouth is."
[00:26:59.240 --> 00:27:11.240]   I also thought, when the non-believers hear about you tithing, it's 10% of your income, right?
[00:27:11.240 --> 00:27:12.240]   It's a tenth.
[00:27:12.240 --> 00:27:14.240]   What is their reaction?
[00:27:14.240 --> 00:27:22.240]   What is the reaction of the world when they say, "You give 10% of your money to the church?"
[00:27:22.240 --> 00:27:26.240]   What do they think?
[00:27:26.240 --> 00:27:34.240]   So what percentage is appropriate for a believer in Christ who has received everything?
[00:27:34.240 --> 00:27:40.240]   This idea of comfort in finance, this idea of comfort in general,
[00:27:40.240 --> 00:27:43.240]   we've heard it many times on this pulpit.
[00:27:43.240 --> 00:27:46.240]   We like to say Orange County Christianity, right?
[00:27:46.240 --> 00:27:48.240]   We've heard that phrase.
[00:27:48.240 --> 00:27:49.240]   But what is that?
[00:27:49.240 --> 00:27:54.240]   It's the idea of this push for our whole culture to push for areas of our lives
[00:27:54.240 --> 00:28:05.240]   that make it easier, whether that be comfort of automation, self-driving cars, efficiencies.
[00:28:05.240 --> 00:28:11.240]   So in those aspects of comfort, how should we view our finances?
[00:28:11.240 --> 00:28:17.240]   The phrase, "You should have enough to take care of you for the rest of your life."
[00:28:17.240 --> 00:28:23.240]   Is that how God views how to handle the money he's given to you and us as stewards?
[00:28:23.240 --> 00:28:25.240]   Is that what he's saying?
[00:28:25.240 --> 00:28:28.240]   "Oh, you should take care of yourself for the rest of your life."
[00:28:28.240 --> 00:28:32.240]   And then you could start thinking about others.
[00:28:32.240 --> 00:28:41.240]   So many of us are frugal and track every cent of money that we have.
[00:28:41.240 --> 00:28:43.240]   Not a bad thing.
[00:28:43.240 --> 00:28:48.240]   So why are we so particular about every single cent?
[00:28:48.240 --> 00:28:53.240]   Because, as Corbin Jentz said, money is very important.
[00:28:53.240 --> 00:28:54.240]   Right?
[00:28:54.240 --> 00:29:01.240]   I titled this sermon, "Is He Worthy of Your Finances?"
[00:29:01.240 --> 00:29:07.240]   The question is, of course he is.
[00:29:07.240 --> 00:29:12.240]   But do you really think it's your finances?
[00:29:12.240 --> 00:29:20.240]   This idea of how do we spend our finances for gospel ministry.
[00:29:20.240 --> 00:29:28.240]   I thought about Paul's example of he's using the Philippians as a prime example of their participating.
[00:29:28.240 --> 00:29:35.240]   And he thanks them for financials because it's moving the gospel forward.
[00:29:35.240 --> 00:29:42.240]   It just so happens, as I was thinking through that, what is going on now?
[00:29:42.240 --> 00:29:51.240]   We have a team in India, and many of us in our church, I think it's 51.
[00:29:51.240 --> 00:29:55.240]   51 India pastors are supported by our church.
[00:29:55.240 --> 00:29:56.240]   And that's awesome.
[00:29:56.240 --> 00:29:59.240]   That's awesome.
[00:29:59.240 --> 00:30:02.240]   What are we supporting?
[00:30:02.240 --> 00:30:04.240]   What are we supporting?
[00:30:04.240 --> 00:30:10.240]   We're supporting them so they can free themselves for gospel ministry.
[00:30:10.240 --> 00:30:11.240]   And what kind of ministry?
[00:30:11.240 --> 00:30:17.240]   Think about what we hear from our brothers and sisters in India.
[00:30:17.240 --> 00:30:21.240]   They're literally on the front lines of gospel enterprise.
[00:30:21.240 --> 00:30:27.240]   They walk into villages where they don't know anything about Jesus.
[00:30:27.240 --> 00:30:29.240]   And what is the result of that?
[00:30:29.240 --> 00:30:31.240]   They get persecuted.
[00:30:31.240 --> 00:30:32.240]   They've been beaten.
[00:30:32.240 --> 00:30:34.240]   Almost killed.
[00:30:34.240 --> 00:30:36.240]   Guess what, folks?
[00:30:36.240 --> 00:30:40.240]   Brothers and sisters, we are participating in that.
[00:30:40.240 --> 00:30:45.240]   We are giving our resources for the funding of gospel ministry.
[00:30:45.240 --> 00:30:53.240]   So when you view giving to the church, when you view giving to gospel enterprise, you're on the team.
[00:30:53.240 --> 00:30:54.240]   You're supporting that team.
[00:30:54.240 --> 00:30:59.240]   I thought about the idea of, you know, we pay money to go see sports.
[00:30:59.240 --> 00:31:03.240]   I remember Pastor Peter just talking about Kobe and his sports.
[00:31:03.240 --> 00:31:11.240]   And I thought about this, that we participate in this team because we pay money to support it, right?
[00:31:11.240 --> 00:31:14.240]   In a much grander way.
[00:31:14.240 --> 00:31:25.240]   When we put our finances for gospel ministry, especially with these India pastors, it's kind of like an analogy of World War II.
[00:31:25.240 --> 00:31:29.240]   I don't know how much history you guys read or whatnot.
[00:31:29.240 --> 00:31:32.240]   World War II is pretty far removed from us now.
[00:31:32.240 --> 00:31:49.240]   But when World War II was happening, America's attitude was we have to ration to support the effort of fighting this evil.
[00:31:49.240 --> 00:31:51.240]   I don't even want to think about it.
[00:31:51.240 --> 00:31:53.240]   Imagine if Germany won.
[00:31:53.240 --> 00:31:55.240]   A lot of us might not even be here.
[00:31:55.240 --> 00:31:57.240]   I don't know.
[00:31:57.240 --> 00:32:06.240]   But the attitude should be when we're giving our finances, remember I talked about gospel-centeredness.
[00:32:06.240 --> 00:32:13.240]   The aim of our money to be given to the Lord's work is for that purpose.
[00:32:13.240 --> 00:32:25.240]   That we move and think through our finances when we oftentimes think only about, "Okay, what am I going to do with my money?"
[00:32:25.240 --> 00:32:28.240]   "Obviously I've got to pay bills."
[00:32:28.240 --> 00:32:35.240]   And I'm not saying here to not pay your bills and live out on the street.
[00:32:35.240 --> 00:32:36.240]   That's not the point.
[00:32:36.240 --> 00:32:44.240]   The point is the self-evaluation and hard attitude of how you view this money that God has given to you as stewards.
[00:32:44.240 --> 00:32:47.240]   Given to us as stewards.
[00:32:47.240 --> 00:32:56.240]   So the goal of this topical message and this covenant is to commit to the idea of gospel enterprise.
[00:32:56.240 --> 00:33:01.240]   Gospel work.
[00:33:01.240 --> 00:33:09.240]   So when we think about specific ways to participate in the gospel through the money.
[00:33:09.240 --> 00:33:15.240]   So I kind of laid out some.
[00:33:15.240 --> 00:33:17.240]   Number one, give finances for the church.
[00:33:17.240 --> 00:33:19.240]   Let me stop there.
[00:33:19.240 --> 00:33:29.240]   This idea, everything, all of these other things should be run and filtered through the church.
[00:33:29.240 --> 00:33:33.240]   God established the church.
[00:33:33.240 --> 00:33:36.240]   We are his bride.
[00:33:36.240 --> 00:33:42.240]   We are the body of Christ in the description of the church.
[00:33:42.240 --> 00:33:50.240]   So the priority of finances should first and foremost go to the church for gospel enterprise.
[00:33:50.240 --> 00:33:53.240]   Missionaries, obviously.
[00:33:53.240 --> 00:34:02.240]   We have China, the India support.
[00:34:02.240 --> 00:34:11.240]   As I was thinking through this again, this idea of not to be prideful or confident or anything like that.
[00:34:11.240 --> 00:34:22.240]   But there's a sense of immense gratefulness that we even have this relationship where we can participate and pray for
[00:34:22.240 --> 00:34:29.240]   and hear these crazy testimonies coming out of India for the furtherance and pushing of God's kingdom.
[00:34:29.240 --> 00:34:30.240]   Right.
[00:34:30.240 --> 00:34:34.240]   And if you don't know, there's a lot of fruit being born through that.
[00:34:34.240 --> 00:34:44.240]   I don't think we get to disseminate as so much information, but people are coming to Christ by the work of these Indian pastors.
[00:34:44.240 --> 00:34:48.240]   And hopefully the continued support as our teams out there.
[00:34:48.240 --> 00:34:51.240]   Compassion kids.
[00:34:51.240 --> 00:34:55.240]   Pastor Peter Chung spent many years in compassion.
[00:34:55.240 --> 00:34:58.240]   It's the support of the local church that we're doing.
[00:34:58.240 --> 00:35:07.240]   We're supporting the local church for the furtherance of taking care of these kids for gospel ministry.
[00:35:07.240 --> 00:35:10.240]   Adoption is the orphans.
[00:35:10.240 --> 00:35:11.240]   What more?
[00:35:11.240 --> 00:35:19.240]   What better way to bring them into your home and saturate them with the gospel?
[00:35:19.240 --> 00:35:21.240]   And other ministries.
[00:35:21.240 --> 00:35:29.240]   I am the beneficiary of when I was a younger Christian, I listened to a lot of radio sermons.
[00:35:29.240 --> 00:35:37.240]   I spent a lot of time in a car like eight hours a day, and I filled my mind with these radio programs of sermons.
[00:35:37.240 --> 00:35:43.240]   And it was so refreshing.
[00:35:43.240 --> 00:35:46.240]   So in essence, can we support them as well?
[00:35:46.240 --> 00:35:47.240]   Yes.
[00:35:47.240 --> 00:35:49.240]   Are they gospel centered?
[00:35:49.240 --> 00:35:51.240]   Yes.
[00:35:51.240 --> 00:35:58.240]   So this idea of finances, it permeates every day of our life.
[00:35:58.240 --> 00:36:05.240]   And the covenant says I commit to tithing and giving financially.
[00:36:05.240 --> 00:36:12.240]   But I want to encourage our church, that is in the Old Testament, that was the bare minimum.
[00:36:12.240 --> 00:36:16.240]   I want you and us to think about the percentages.
[00:36:16.240 --> 00:36:23.240]   If you want to think about percentages, what percentage is appropriate for gospel ministry?
[00:36:23.240 --> 00:36:30.240]   If I left the idea of Romans chapter 12 verse 1, offer your bodies a living sacrifice, holy and pleasing,
[00:36:30.240 --> 00:36:38.240]   and left it at that and said, how are you going to handle the fleshing out of what God says when he says give everything you have?
[00:36:38.240 --> 00:36:44.240]   How does that apply to my finances for your offering before God?
[00:36:44.240 --> 00:36:48.240]   We can think through time, how much time can I spend giving to God?
[00:36:48.240 --> 00:36:51.240]   But this is the tangible for us day to day.
[00:36:51.240 --> 00:36:57.240]   How much can I think about how much money I'm going to give?
[00:36:57.240 --> 00:37:05.240]   Again, I want to reiterate, this isn't a desire to milk our church.
[00:37:05.240 --> 00:37:14.240]   This is a desire for evaluating and self-examining how I view the spending of my money.
[00:37:14.240 --> 00:37:19.240]   And we all agree and understand that it's not my money.
[00:37:19.240 --> 00:37:23.240]   How are we using that for gospel ministry and gospel purposes?
[00:37:23.240 --> 00:37:33.240]   And that's the encouragement that we sign, in accordance with the Lordship of Christ over our life.
[00:37:33.240 --> 00:37:37.240]   So, be encouraged.
[00:37:37.240 --> 00:37:40.240]   A lot of people were like, I have my checkbook today.
[00:37:40.240 --> 00:37:44.240]   That wasn't the goal.
[00:37:44.240 --> 00:37:46.240]   Bring your checks and put it in the offering.
[00:37:46.240 --> 00:37:49.240]   That wasn't the goal.
[00:37:49.240 --> 00:37:56.240]   I mean, it really hit home for me as I was reflecting and thinking, I have that same attitude sometimes.
[00:37:56.240 --> 00:38:01.240]   Well, what am I going to spend my money on to benefit me or my family?
[00:38:01.240 --> 00:38:05.240]   Should that be the number one thought process?
[00:38:05.240 --> 00:38:07.240]   No, it shouldn't.
[00:38:07.240 --> 00:38:18.240]   If we are gospel-centered people, we need to start integrating that rubber-meets-the-road kind of attitude about money into everything that we do.
[00:38:18.240 --> 00:38:21.240]   And it's not just about money, it's about our time, everything.
[00:38:21.240 --> 00:38:27.240]   So, I just got the privilege of dealing with this sensitive topic about money.
[00:38:27.240 --> 00:38:29.240]   So with that, let's go ahead and pray.
[00:38:29.240 --> 00:38:39.240]   [BLANK_AUDIO]

