
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:16:53.280 --> 00:16:55.040]   I am the one who is unclean.
[00:16:55.040 --> 00:16:58.600]   And now this world might say something like,
[00:16:58.600 --> 00:17:01.520]   well, God hates the sin, but not the sinner.
[00:17:01.520 --> 00:17:04.580]   But the truth of the matter is the book of Leviticus
[00:17:04.580 --> 00:17:07.520]   teaches us men die at the altar,
[00:17:07.520 --> 00:17:11.240]   because God judges both sin and the one who sins.
[00:17:11.240 --> 00:17:14.000]   Because the one, the man who offers,
[00:17:14.000 --> 00:17:15.560]   the man who enters into his presence,
[00:17:15.560 --> 00:17:19.880]   the man who sinned is himself unclean.
[00:17:21.200 --> 00:17:23.680]   That's one of the biggest lessons that we realize
[00:17:23.680 --> 00:17:25.560]   from the book of Leviticus.
[00:17:25.560 --> 00:17:28.360]   That's one of the biggest lessons that God is teaching us
[00:17:28.360 --> 00:17:31.080]   through all of that in history.
[00:17:31.080 --> 00:17:34.440]   And so as we see again, the character of God,
[00:17:34.440 --> 00:17:38.280]   and how he is repulsed by sin and sinners,
[00:17:38.280 --> 00:17:41.640]   we realize that there's such a contrast and discrepancy,
[00:17:41.640 --> 00:17:43.800]   and God highlights it by pointing out
[00:17:43.800 --> 00:17:47.460]   that he is going to judge such sin.
[00:17:47.460 --> 00:17:48.980]   So we move to number two,
[00:17:50.040 --> 00:17:53.080]   where when we ask the question, how does God relate to man?
[00:17:53.080 --> 00:17:56.520]   And we wanna make this statement,
[00:17:56.520 --> 00:18:01.440]   that God requires and demands holiness because he is holy.
[00:18:01.440 --> 00:18:05.480]   So in answering the question, how does God relate to man,
[00:18:05.480 --> 00:18:07.000]   we wanna answer with number two by saying,
[00:18:07.000 --> 00:18:09.960]   he demands holiness.
[00:18:09.960 --> 00:18:13.040]   God knows we are sinners, God knows we're unclean,
[00:18:13.040 --> 00:18:17.040]   God knows we're incapable, but he demands holiness
[00:18:17.040 --> 00:18:19.640]   from anything and anyone that approaches him.
[00:18:19.640 --> 00:18:23.680]   Anything in his presence, he requires that it be cleansed,
[00:18:23.680 --> 00:18:25.760]   because he himself is holy.
[00:18:25.760 --> 00:18:28.160]   And so I don't know how else to put it,
[00:18:28.160 --> 00:18:31.680]   except that God's standard is God's standard.
[00:18:31.680 --> 00:18:33.660]   We're gonna do a quick exercise here.
[00:18:33.660 --> 00:18:37.920]   I wanna highlight that when God's command is given,
[00:18:37.920 --> 00:18:44.240]   God gives, in some ways, commands based upon a certain tag,
[00:18:44.240 --> 00:18:47.120]   a repetition by which he's emphasizing a truth,
[00:18:47.120 --> 00:18:51.640]   and what he says is this, you shall be holy because
[00:18:51.640 --> 00:18:54.760]   I am holy, because I am God.
[00:18:54.760 --> 00:18:57.240]   For example, I'm gonna read some of these passages.
[00:18:57.240 --> 00:19:01.280]   The Leviticus 19, verse 17 one, you guys know well,
[00:19:01.280 --> 00:19:03.280]   because some of you guys have memorized it,
[00:19:03.280 --> 00:19:04.480]   and it's a short statement.
[00:19:04.480 --> 00:19:08.020]   He just simply says, be holy as I am holy.
[00:19:08.020 --> 00:19:11.120]   What's more, I'm gonna read to us Leviticus 18,
[00:19:11.120 --> 00:19:13.400]   'cause I read the chapter 11 earlier.
[00:19:13.400 --> 00:19:15.120]   Leviticus 18, verse four through five,
[00:19:15.120 --> 00:19:17.520]   he says, you are to perform my judgments,
[00:19:17.520 --> 00:19:20.660]   keep my statutes, to live in accord with them.
[00:19:20.660 --> 00:19:22.400]   I am the Lord your God.
[00:19:22.400 --> 00:19:24.520]   So you shall keep my statutes and my judgments
[00:19:24.520 --> 00:19:28.000]   by which a man may live if he does them.
[00:19:28.000 --> 00:19:29.680]   I am the Lord your God.
[00:19:29.680 --> 00:19:33.600]   So what essentially is happening is,
[00:19:33.600 --> 00:19:37.080]   God is relating to the individuals,
[00:19:37.080 --> 00:19:39.880]   and he's teaching them that they're sinful,
[00:19:39.880 --> 00:19:41.480]   and there's a sense in which, perhaps,
[00:19:41.480 --> 00:19:46.480]   if you think about it, of what we maybe assume of God,
[00:19:46.480 --> 00:19:50.560]   that he might give some conditions.
[00:19:50.560 --> 00:19:53.520]   He might give some, what you would call, handicaps.
[00:19:53.520 --> 00:19:55.160]   He might give some leniency.
[00:19:55.160 --> 00:19:57.000]   He might give some X, Y, or Z.
[00:19:57.000 --> 00:19:59.280]   But what's surprising about the book of Leviticus,
[00:19:59.280 --> 00:20:01.960]   all the Old Testament, and how God operates is,
[00:20:01.960 --> 00:20:03.640]   God's standard is God's standard,
[00:20:03.640 --> 00:20:05.600]   and it never gets diminished.
[00:20:05.600 --> 00:20:08.240]   I want you just to take a moment
[00:20:08.240 --> 00:20:11.800]   and think about that standard, right?
[00:20:11.800 --> 00:20:15.000]   Be holy 'cause I am holy.
[00:20:15.000 --> 00:20:16.720]   Abide by all of my statutes.
[00:20:16.720 --> 00:20:20.080]   I am the Lord, God's standard of himself
[00:20:20.080 --> 00:20:22.480]   is being posed to these sinful people,
[00:20:22.480 --> 00:20:25.360]   and then he warns them, should you fail,
[00:20:25.360 --> 00:20:28.760]   you will be judged, right?
[00:20:28.760 --> 00:20:34.840]   So, I wanna give a couple of these passages as well.
[00:20:35.840 --> 00:20:38.440]   A couple of these passages as well,
[00:20:38.440 --> 00:20:41.240]   kind of deriving it from chapter 26.
[00:20:41.240 --> 00:20:43.840]   I had you guys read chapter 26.
[00:20:43.840 --> 00:20:44.880]   Let me see if this thing's working.
[00:20:44.880 --> 00:20:46.600]   Thanks for clicking it for me.
[00:20:46.600 --> 00:20:47.440]   It's not, okay.
[00:20:47.440 --> 00:20:52.960]   From chapter 26, you guys can turn your Bibles there,
[00:20:52.960 --> 00:20:55.000]   'cause let's take a look at that passage.
[00:20:55.000 --> 00:20:57.760]   Okay, please turn your Bibles to Leviticus chapter 26.
[00:20:57.760 --> 00:21:01.500]   And my train of thought and reasoning is this.
[00:21:01.500 --> 00:21:04.160]   There is something contrary to maybe
[00:21:04.160 --> 00:21:06.120]   what typically we would expect.
[00:21:06.120 --> 00:21:09.680]   God is showing us that we are sinful.
[00:21:09.680 --> 00:21:13.600]   We're clearly very far from his standard,
[00:21:13.600 --> 00:21:16.760]   but yet still, God's standard does not change,
[00:21:16.760 --> 00:21:19.000]   because God's standard is God's standard.
[00:21:19.000 --> 00:21:22.280]   And then, God warns them, should you fail,
[00:21:22.280 --> 00:21:24.160]   you will be judged.
[00:21:24.160 --> 00:21:27.640]   And in very alarming, very sobering words,
[00:21:27.640 --> 00:21:29.020]   this is what God says.
[00:21:29.020 --> 00:21:33.360]   So, chapter 26, verse 18 says this.
[00:21:33.360 --> 00:21:36.600]   And if in spite of this, you will not listen to me,
[00:21:36.600 --> 00:21:41.200]   then I will discipline you again sevenfold for your sins.
[00:21:41.200 --> 00:21:42.240]   Verse 24.
[00:21:42.240 --> 00:21:46.280]   Then I also will walk contrary to you,
[00:21:46.280 --> 00:21:50.360]   and I myself will strike you sevenfold for your sins.
[00:21:50.360 --> 00:21:53.640]   Then I will walk contrary to, sorry, and then verse 28.
[00:21:53.640 --> 00:21:56.800]   Then I will walk contrary to you in fury,
[00:21:56.800 --> 00:22:01.140]   and I myself will discipline you sevenfold for your sins.
[00:22:02.120 --> 00:22:03.680]   And the reason why I read those things
[00:22:03.680 --> 00:22:05.640]   is because it is sobering, isn't it?
[00:22:05.640 --> 00:22:10.560]   I mean, it's sobering for us to hear those words like,
[00:22:10.560 --> 00:22:13.640]   if even after all this explanation,
[00:22:13.640 --> 00:22:15.880]   and all this teaching, you sin,
[00:22:15.880 --> 00:22:18.040]   I will judge you sevenfold.
[00:22:18.040 --> 00:22:20.000]   It's like, wow.
[00:22:20.000 --> 00:22:23.600]   And then he says, I will stand contrary to you,
[00:22:23.600 --> 00:22:26.640]   and then he says, I will stand contrary to you in fury.
[00:22:26.640 --> 00:22:28.800]   Right?
[00:22:28.800 --> 00:22:30.640]   It's escalated, it's elevated.
[00:22:31.560 --> 00:22:33.320]   And it's an incredibly sobering thing,
[00:22:33.320 --> 00:22:36.520]   and this stands, again, in such stark contrast
[00:22:36.520 --> 00:22:39.760]   to perhaps how we think about things.
[00:22:39.760 --> 00:22:40.920]   You know what's something interesting
[00:22:40.920 --> 00:22:42.840]   in the way that we think?
[00:22:42.840 --> 00:22:44.220]   Is that there's a lot of times
[00:22:44.220 --> 00:22:46.680]   in which we understand that truth,
[00:22:46.680 --> 00:22:50.000]   I cannot bring holiness to the table and altar of God.
[00:22:50.000 --> 00:22:51.520]   Right?
[00:22:51.520 --> 00:22:53.440]   And in moments when we sin,
[00:22:53.440 --> 00:22:54.960]   there are times when we say something
[00:22:54.960 --> 00:22:56.720]   to the extent of, yeah, you know,
[00:22:56.720 --> 00:22:59.280]   and we all know, and already know,
[00:22:59.280 --> 00:23:01.960]   that we couldn't have obtained righteousness
[00:23:01.960 --> 00:23:05.000]   and approval by God by our merit anyways.
[00:23:05.000 --> 00:23:06.400]   Right?
[00:23:06.400 --> 00:23:07.840]   But then, all of a sudden,
[00:23:07.840 --> 00:23:09.500]   that transitions and changes
[00:23:09.500 --> 00:23:11.280]   into something altogether different.
[00:23:11.280 --> 00:23:14.800]   It changes into, like, an excuse.
[00:23:14.800 --> 00:23:17.500]   And so, therefore, that's why I am just the way I am.
[00:23:17.500 --> 00:23:21.600]   And then, that somehow, in this day and age,
[00:23:21.600 --> 00:23:23.960]   and perhaps a lot of times in our own private lives,
[00:23:23.960 --> 00:23:25.440]   and the way that we think,
[00:23:25.440 --> 00:23:27.380]   it not only turns into an excuse,
[00:23:27.380 --> 00:23:29.200]   but it turns into a presumption.
[00:23:29.200 --> 00:23:31.520]   It turns into a presumption about God's standard
[00:23:31.520 --> 00:23:34.080]   and says something to the extent of,
[00:23:34.080 --> 00:23:36.640]   and therefore, God's gonna be okay with it.
[00:23:36.640 --> 00:23:38.380]   And God always still accepts me.
[00:23:38.380 --> 00:23:41.200]   But the fact of the matter is
[00:23:41.200 --> 00:23:44.360]   that the idea and truth that we are sinners
[00:23:44.360 --> 00:23:46.920]   is a wake-up call of reality.
[00:23:46.920 --> 00:23:49.640]   It says nothing about how we are excused,
[00:23:49.640 --> 00:23:52.920]   and it says nothing about the standard of God.
[00:23:52.920 --> 00:23:55.600]   Rather, the rest of scripture informs us
[00:23:55.600 --> 00:23:57.720]   the standard of God is still up here,
[00:23:57.720 --> 00:23:59.640]   and yet you are still sinful.
[00:23:59.640 --> 00:24:02.480]   Do you see what I'm saying?
[00:24:02.480 --> 00:24:05.400]   When we, in our lives,
[00:24:05.400 --> 00:24:06.920]   start learning the doctrines of grace,
[00:24:06.920 --> 00:24:08.640]   and we know that statement of truth,
[00:24:08.640 --> 00:24:11.680]   where we say, "Righteousness cannot be earned by my works,"
[00:24:11.680 --> 00:24:13.000]   that is absolutely true,
[00:24:13.000 --> 00:24:17.080]   but that states nothing about God's standard.
[00:24:17.080 --> 00:24:19.600]   It just simply gives us the reality that we are sinful.
[00:24:19.600 --> 00:24:21.840]   And so, those individuals who use that statement
[00:24:21.840 --> 00:24:23.960]   as a means by way of excusing them,
[00:24:23.960 --> 00:24:27.060]   or presuming God's gonna just naturally accept them,
[00:24:27.060 --> 00:24:30.280]   they don't understand the standard of God.
[00:24:30.280 --> 00:24:32.320]   And I'd go as far as to say
[00:24:32.320 --> 00:24:34.880]   they don't actually understand how sinful they are.
[00:24:34.880 --> 00:24:36.720]   Right?
[00:24:36.720 --> 00:24:42.800]   Now, the examples of this that Pastor Peter gave last week
[00:24:42.800 --> 00:24:45.880]   are the people like Nadab and Behu.
[00:24:45.880 --> 00:24:48.000]   You know what they were guilty of?
[00:24:48.000 --> 00:24:51.440]   They were guilty of the sin of presumption.
[00:24:53.520 --> 00:24:57.340]   Scripture says that when you offer something before God,
[00:24:57.340 --> 00:24:59.540]   and then you know that it's blemished,
[00:24:59.540 --> 00:25:00.900]   you know that it's not perfect,
[00:25:00.900 --> 00:25:02.500]   and you know that's not the standard of God,
[00:25:02.500 --> 00:25:04.660]   but you put it there anyway, do you know what you do?
[00:25:04.660 --> 00:25:08.460]   You assume that the table of God is contemptible.
[00:25:08.460 --> 00:25:11.980]   You assume God is okay with subpar.
[00:25:11.980 --> 00:25:14.040]   You assume God is okay.
[00:25:14.040 --> 00:25:19.060]   And that is the sin of Nadab and Behu, the sons of Aaron.
[00:25:19.060 --> 00:25:20.460]   And what's really crazy about that
[00:25:20.460 --> 00:25:22.500]   is when God judges Nadab and Behu,
[00:25:22.500 --> 00:25:24.260]   and the fire comes out of the altar
[00:25:24.260 --> 00:25:28.340]   and immediately judges them, and they die.
[00:25:28.340 --> 00:25:31.220]   Just to show all the nation, and just to show Aaron
[00:25:31.220 --> 00:25:35.620]   that God's standard is righteous, do you know what God says?
[00:25:35.620 --> 00:25:37.060]   He looks over at Aaron and says,
[00:25:37.060 --> 00:25:40.120]   "I don't want you to weep, wail, or say a word.
[00:25:40.120 --> 00:25:44.060]   "I want you to accept this as right."
[00:25:44.060 --> 00:25:46.340]   Because, and then he describes,
[00:25:46.340 --> 00:25:50.840]   "Because at his temple, he will be regarded as holy."
[00:25:51.860 --> 00:25:53.740]   That's so sobering.
[00:25:53.740 --> 00:25:55.020]   If you would please turn your Bibles
[00:25:55.020 --> 00:25:58.460]   to Malachi chapter one, verse six through 14,
[00:25:58.460 --> 00:26:01.400]   this is another just sobering passage of scripture.
[00:26:01.400 --> 00:26:08.060]   Something that just naturally causes us to evaluate
[00:26:08.060 --> 00:26:11.180]   where we are, what we're doing,
[00:26:11.180 --> 00:26:14.980]   and what we're offering up as a sacrifice,
[00:26:14.980 --> 00:26:17.380]   what we're offering up as worship before God.
[00:26:17.380 --> 00:26:20.460]   Addressing this whole topic that I'm talking about
[00:26:20.460 --> 00:26:22.900]   of not being presumptuous before the Lord,
[00:26:22.900 --> 00:26:25.020]   this is what the scripture says.
[00:26:25.020 --> 00:26:27.460]   Again, Malachi chapter one, verse six through 14.
[00:26:27.460 --> 00:26:33.380]   A son honors his father, and a servant his master.
[00:26:33.380 --> 00:26:35.500]   Then if I am a father, where is my honor?
[00:26:35.500 --> 00:26:38.380]   And if I am a master, where is my respect?
[00:26:38.380 --> 00:26:40.300]   Says the Lord of hosts to you.
[00:26:40.300 --> 00:26:42.540]   Oh, priest who despise my name,
[00:26:42.540 --> 00:26:45.420]   but you say, "How have we despised your name?
[00:26:45.420 --> 00:26:49.380]   "You are presenting defiled food upon my altar."
[00:26:49.380 --> 00:26:52.300]   But you say, "How have we defiled you?"
[00:26:52.300 --> 00:26:56.620]   In that you say, "The table of the Lord is to be despised."
[00:26:56.620 --> 00:26:58.780]   But when you present the blind for sacrifice,
[00:26:58.780 --> 00:27:00.260]   is that not evil?
[00:27:00.260 --> 00:27:03.460]   And when you present the lame and sick, is that not evil?
[00:27:03.460 --> 00:27:05.300]   Why not offer it to your governor?
[00:27:05.300 --> 00:27:07.060]   Would he be pleased with you?
[00:27:07.060 --> 00:27:10.080]   Or would he receive you kindly, says the Lord of hosts?
[00:27:10.080 --> 00:27:12.420]   But now, will you not entreat God's favor,
[00:27:12.420 --> 00:27:14.320]   that he may be gracious to us?
[00:27:14.320 --> 00:27:16.100]   With such an offering on your part,
[00:27:16.100 --> 00:27:20.060]   will he receive any of you kindly, says the Lord of hosts?
[00:27:20.060 --> 00:27:22.600]   Oh, that there were one among you who would shut the gates,
[00:27:22.600 --> 00:27:25.860]   that you might not uselessly kindle fire on my altar.
[00:27:25.860 --> 00:27:28.140]   I am not pleased with you, says the Lord of hosts,
[00:27:28.140 --> 00:27:30.300]   nor will I accept an offering from you.
[00:27:30.300 --> 00:27:32.580]   For from the rising of the sun, even to its setting,
[00:27:32.580 --> 00:27:34.860]   my name will be great among the nations.
[00:27:34.860 --> 00:27:38.180]   In every place, incense is going to be offered to my name.
[00:27:38.180 --> 00:27:40.800]   And a grain offering that is pure for my name
[00:27:40.800 --> 00:27:44.340]   will be great among the nations, says the Lord of hosts.
[00:27:44.340 --> 00:27:46.860]   But you are profaning it, in that you say
[00:27:46.860 --> 00:27:48.980]   the table of the Lord is defiled.
[00:27:48.980 --> 00:27:52.020]   And as for its fruits, its food is to be despised.
[00:27:52.020 --> 00:27:56.260]   You also say, my, how tiresome it is.
[00:27:56.260 --> 00:27:59.740]   And you disdainfully sniff at it, says the Lord of hosts.
[00:27:59.740 --> 00:28:01.580]   And you bring what is taken by robbery
[00:28:01.580 --> 00:28:04.200]   and what is lame or sick, so you bring the offering.
[00:28:04.200 --> 00:28:07.080]   Should I receive that from your hands, says the Lord?
[00:28:07.080 --> 00:28:09.540]   But cursed be the swindler who has a male in his flock
[00:28:09.540 --> 00:28:13.180]   and vows it, but sacrifices a blemished animal to the Lord.
[00:28:13.180 --> 00:28:16.100]   For I am a great king, says the Lord of hosts.
[00:28:16.100 --> 00:28:19.140]   And my name is feared among the nations.
[00:28:19.140 --> 00:28:25.540]   Dang, doesn't that just cause us to take a moment and think?
[00:28:25.540 --> 00:28:30.080]   If ever we've griped and complained,
[00:28:30.080 --> 00:28:33.260]   like why do I have to do this in church service?
[00:28:33.260 --> 00:28:36.620]   Why does it have to be like that and it's inconvenient?
[00:28:36.620 --> 00:28:38.420]   And why, and then all of a sudden,
[00:28:38.420 --> 00:28:40.740]   every expectation and standard that we feel
[00:28:40.740 --> 00:28:42.860]   from the church, from the people, from the pastor,
[00:28:42.860 --> 00:28:46.980]   from the word, all of a sudden becomes burden to us.
[00:28:46.980 --> 00:28:50.360]   And then, if we've ever succumbed to that burden
[00:28:50.360 --> 00:28:53.660]   and then started to reduce our standard,
[00:28:53.660 --> 00:28:57.160]   and just to simply assume, God is gracious,
[00:28:57.160 --> 00:29:00.860]   maybe God is far, does God even see this stuff?
[00:29:00.860 --> 00:29:04.000]   And then you start to offer things that are to you,
[00:29:04.000 --> 00:29:05.700]   not even priority, not to you,
[00:29:05.700 --> 00:29:08.020]   even not even their best efforts.
[00:29:08.020 --> 00:29:10.420]   Does the scripture say God's standard all of a sudden
[00:29:10.420 --> 00:29:13.100]   has been lowered because we're in the New Testament?
[00:29:13.100 --> 00:29:14.860]   Does the scripture say that God has changed
[00:29:14.860 --> 00:29:17.020]   because all of a sudden we're in the New Testament?
[00:29:17.020 --> 00:29:20.340]   Does the scripture say that God's holiness
[00:29:20.340 --> 00:29:22.340]   not all of a sudden become diminished
[00:29:22.340 --> 00:29:25.500]   because God simply understands our sin?
[00:29:25.500 --> 00:29:29.820]   No, God's standard is God's standard.
[00:29:29.820 --> 00:29:33.540]   And the way that God, the holy God, deals with his people
[00:29:33.540 --> 00:29:35.860]   is he demands perfection.
[00:29:35.860 --> 00:29:39.080]   He demands holiness.
[00:29:39.980 --> 00:29:42.140]   That is the truth of scripture.
[00:29:42.140 --> 00:29:45.980]   God does not simply say, I understand, it's all right,
[00:29:45.980 --> 00:29:47.060]   everybody tries.
[00:29:47.060 --> 00:29:50.100]   That is not the way scripture talks.
[00:29:50.100 --> 00:29:55.380]   But at this point, if you're feeling a sense of like, dang.
[00:29:55.380 --> 00:29:58.420]   If you're feeling a sense of like, dang,
[00:29:58.420 --> 00:30:00.120]   so what can we do?
[00:30:00.120 --> 00:30:03.480]   If you are feeling a sense of at a loss,
[00:30:03.480 --> 00:30:05.940]   like, oh my gosh, that is the standard of God,
[00:30:05.940 --> 00:30:08.520]   that is absolutely appropriate.
[00:30:09.660 --> 00:30:12.420]   'Cause that is where the gospel places us.
[00:30:12.420 --> 00:30:16.660]   We are in a place of being completely lost.
[00:30:16.660 --> 00:30:18.380]   But we don't know what to do.
[00:30:18.380 --> 00:30:21.120]   How do we approach the holy God
[00:30:21.120 --> 00:30:23.980]   who is holiest of all holies?
[00:30:23.980 --> 00:30:27.780]   And how do we, as sinners who are so wretched,
[00:30:27.780 --> 00:30:30.420]   unclean, and sinful, and defiled, approach God?
[00:30:30.420 --> 00:30:31.940]   We can't.
[00:30:31.940 --> 00:30:34.460]   And so all the book of Leviticus is telling you,
[00:30:34.460 --> 00:30:35.900]   can't come here, can't come here,
[00:30:35.900 --> 00:30:37.580]   don't even come close to the mountain,
[00:30:37.580 --> 00:30:39.140]   don't even come close to the cloud,
[00:30:39.140 --> 00:30:41.020]   don't even touch, don't even do this,
[00:30:41.020 --> 00:30:43.020]   don't even do that, because you can't.
[00:30:43.020 --> 00:30:46.100]   And so thanks be to God,
[00:30:46.100 --> 00:30:48.300]   because even in the book of Leviticus,
[00:30:48.300 --> 00:30:50.780]   Old Testament book of Leviticus,
[00:30:50.780 --> 00:30:54.100]   there is that truth presented to us
[00:30:54.100 --> 00:30:58.380]   in a context of grace, in a context of love.
[00:30:58.380 --> 00:31:00.060]   And that's my next point,
[00:31:00.060 --> 00:31:03.480]   which is how does the holy God relate to man?
[00:31:03.480 --> 00:31:07.280]   By teaching us the way of atonement.
[00:31:08.220 --> 00:31:10.780]   By teaching us the way of atonement.
[00:31:10.780 --> 00:31:14.220]   Again, I know we're flipping around
[00:31:14.220 --> 00:31:16.540]   lots of different passages in the book of Leviticus,
[00:31:16.540 --> 00:31:17.980]   but I just wanted to show you
[00:31:17.980 --> 00:31:21.860]   that this is not just like one verse, or like one theme,
[00:31:21.860 --> 00:31:25.500]   it's just such a profound, major thrust
[00:31:25.500 --> 00:31:28.020]   of everything that's happening in the Old Testament.
[00:31:28.020 --> 00:31:31.400]   But take a look at this, chapter 16, verse one through three.
[00:31:31.400 --> 00:31:35.380]   Chapter 16, verse one through three.
[00:31:36.860 --> 00:31:40.100]   And he says this, I had you guys read this passage,
[00:31:40.100 --> 00:31:42.140]   but I'm just gonna read verse one through three.
[00:31:42.140 --> 00:31:44.500]   And it says this, the Lord spoke to Moses
[00:31:44.500 --> 00:31:46.860]   after the death of the two sons of Aaron,
[00:31:46.860 --> 00:31:48.440]   Nadab and Abihu, okay?
[00:31:48.440 --> 00:31:51.180]   Their death actually set like a precedence
[00:31:51.180 --> 00:31:54.940]   for how the people were supposed to come before God.
[00:31:54.940 --> 00:31:57.460]   And then he says this, when they drew near
[00:31:57.460 --> 00:32:01.220]   before the Lord and died, and the Lord said to Moses,
[00:32:01.220 --> 00:32:03.580]   tell Aaron your brother not to come at any time
[00:32:03.580 --> 00:32:05.860]   into the holy place inside the veil
[00:32:05.860 --> 00:32:08.020]   before the mercy seat that is in the ark,
[00:32:08.020 --> 00:32:11.540]   so that he may not die, okay?
[00:32:11.540 --> 00:32:15.620]   For I will appear in the cloud over the mercy seat,
[00:32:15.620 --> 00:32:20.620]   but in this way, Aaron shall come into the holy place.
[00:32:20.620 --> 00:32:22.740]   And in my Bible, and in my notes,
[00:32:22.740 --> 00:32:26.760]   I've highlighted in circle with a little heart this way.
[00:32:26.760 --> 00:32:29.020]   Okay?
[00:32:29.020 --> 00:32:31.520]   Because when God is telling Aaron, you can't come in,
[00:32:31.520 --> 00:32:35.500]   because if I allowed you, if I didn't say stop,
[00:32:36.420 --> 00:32:38.140]   you would have died.
[00:32:38.140 --> 00:32:40.000]   That's God's grace.
[00:32:40.000 --> 00:32:42.660]   And then by God's saying, and in this way,
[00:32:42.660 --> 00:32:46.180]   you shall approach me, that is the profound grace of God,
[00:32:46.180 --> 00:32:50.100]   teaching them that during this time, during this era,
[00:32:50.100 --> 00:32:52.540]   this is the way by which Aaron is going to approach
[00:32:52.540 --> 00:32:55.020]   the holy God towards his what?
[00:32:55.020 --> 00:32:56.260]   Mercy seat.
[00:32:56.260 --> 00:32:59.740]   And it was supposed to be so clear
[00:32:59.740 --> 00:33:01.660]   to all the nation of Israel.
[00:33:01.660 --> 00:33:06.100]   Chapter 16 is a profound chapter of the entire Bible, why?
[00:33:06.100 --> 00:33:09.580]   Because this is the chapter on the day of atonement.
[00:33:09.580 --> 00:33:11.940]   The day of the atonement for the nation of Israel
[00:33:11.940 --> 00:33:16.940]   is the greatest, the holiest, most profound day of all.
[00:33:16.940 --> 00:33:18.340]   If you guys have Jewish friends,
[00:33:18.340 --> 00:33:19.740]   they disappeared during what?
[00:33:19.740 --> 00:33:21.340]   Yom Kippur, okay?
[00:33:21.340 --> 00:33:23.960]   Yom means day, Kippur means atonement.
[00:33:23.960 --> 00:33:28.360]   It's the day of atonement in which God has given them
[00:33:28.360 --> 00:33:32.480]   this profound way by which they would sacrifice
[00:33:32.480 --> 00:33:35.520]   and they would atone for their sins.
[00:33:35.520 --> 00:33:37.480]   There is a need then for us to pay attention
[00:33:37.480 --> 00:33:40.920]   and ask this question, what does atonement really mean?
[00:33:40.920 --> 00:33:41.760]   Okay?
[00:33:41.760 --> 00:33:44.560]   Atonement means in scripture,
[00:33:44.560 --> 00:33:48.640]   to simply make amends or to make right.
[00:33:48.640 --> 00:33:50.340]   That is just a simple definition.
[00:33:50.340 --> 00:33:54.400]   But symbolically, there has been so much
[00:33:54.400 --> 00:33:56.480]   that's been taught to the nation of Israel
[00:33:56.480 --> 00:33:58.400]   in terms of what atonement means.
[00:33:58.400 --> 00:34:01.900]   You guys know the various, there's been like,
[00:34:01.900 --> 00:34:05.360]   there's five major sacrifices in the book of Leviticus
[00:34:05.360 --> 00:34:08.920]   and then on top of that, there are lots of descriptions
[00:34:08.920 --> 00:34:11.220]   about each one of those sacrifices.
[00:34:11.220 --> 00:34:13.200]   The main description is the pre-common ones
[00:34:13.200 --> 00:34:16.800]   come from a sacrifice of the sin offering, okay?
[00:34:16.800 --> 00:34:18.320]   Of the sin offering.
[00:34:18.320 --> 00:34:20.200]   And the whole offering.
[00:34:20.200 --> 00:34:22.440]   And the description about that, as you guys know,
[00:34:22.440 --> 00:34:25.280]   is just the sacrifice of the animal.
[00:34:25.280 --> 00:34:28.720]   And then the lifeblood of that animal that is spilled
[00:34:28.720 --> 00:34:32.520]   covers, covers everything, right?
[00:34:32.520 --> 00:34:38.560]   The term atonement in the Hebrew is figuratively to cover.
[00:34:38.560 --> 00:34:41.120]   And the way that it comes about essentially is to say,
[00:34:41.120 --> 00:34:44.600]   how do we reconcile that distinction and contrast
[00:34:44.600 --> 00:34:48.080]   between the holy God and the sinful man?
[00:34:48.080 --> 00:34:50.040]   There needs to be covering.
[00:34:50.040 --> 00:34:52.280]   There needs to be a covering of the sinful individual
[00:34:52.280 --> 00:34:55.440]   in order that God may enter into his presence.
[00:34:55.440 --> 00:34:58.160]   But what's more, what's more,
[00:34:58.160 --> 00:35:00.340]   included in the idea of atonement,
[00:35:00.340 --> 00:35:04.040]   there is this term, propitiation, okay?
[00:35:04.040 --> 00:35:05.360]   Propitiation.
[00:35:05.360 --> 00:35:07.780]   And this is where I wanna take a little bit of time.
[00:35:07.780 --> 00:35:09.080]   Just a little bit of time.
[00:35:09.080 --> 00:35:16.040]   There is a concept that's gonna hit us a little bit weird.
[00:35:16.040 --> 00:35:18.600]   And that concept I'm talking about
[00:35:18.600 --> 00:35:22.240]   is the idea of appeasing God.
[00:35:22.240 --> 00:35:24.360]   Essentially, if you could imagine two individuals
[00:35:24.360 --> 00:35:26.720]   who are in an argument or a fight,
[00:35:26.720 --> 00:35:30.080]   and then something incredibly offensive happens, right?
[00:35:30.080 --> 00:35:33.960]   Typically, even when guys fight, even when brothers fight,
[00:35:33.960 --> 00:35:36.840]   nobody ever slaps each other in the face.
[00:35:36.840 --> 00:35:40.540]   'Cause to hit the face is like disrespect, you know?
[00:35:40.540 --> 00:35:42.000]   It's offensive.
[00:35:42.000 --> 00:35:44.440]   But if you would imagine something like that, okay?
[00:35:44.440 --> 00:35:45.840]   Imagine something like that.
[00:35:45.840 --> 00:35:49.440]   And where an offense has happened.
[00:35:49.440 --> 00:35:52.340]   And then one individual gets incredibly angry.
[00:35:52.340 --> 00:35:54.380]   What needs to happen, right?
[00:35:54.380 --> 00:35:59.200]   If an individual's incredibly angry or bitter, right?
