
[00:00:00.000 --> 00:00:12.560]   If you can turn your Bibles to Romans chapter 8 verses 5 through 11, Romans chapter 8 verses 5
[00:26:33.240 --> 00:26:39.520]   So, when you look at chapter 14, when Jesus says that the Holy Spirit is going to come, why is the
[00:26:39.520 --> 00:26:48.240]   Holy Spirit coming? One, to help you. He says, "I'm going where I go, you cannot come." And then He
[00:26:48.240 --> 00:26:53.920]   says, "Oh, what about us?" And they're freaking out. And then, so He says in verse 18, "I will not
[00:26:53.920 --> 00:26:59.040]   leave you as orphans, and I will come to you." And then He's talking about the Holy Spirit. So, in the
[00:26:59.040 --> 00:27:03.880]   Holy Spirit, the Helper comes, the Spirit of Truth, "He will bring to remembrance all that I have
[00:27:03.880 --> 00:27:12.320]   taught you." And then, if you go to chapter 16, verse 7, again He describes the ministry of the
[00:27:12.320 --> 00:27:17.520]   Holy Spirit. "Nevertheless, I tell you the truth, it is to your advantage that I go away. For if I do
[00:27:17.520 --> 00:27:22.480]   not go away, the Helper will not come to you. But if I go, I will send Him to you. And when He comes,
[00:27:22.480 --> 00:27:27.720]   He will convict the world concerning sin, and righteousness, and judgment; concerning sin,
[00:27:27.720 --> 00:27:31.480]   because they do not believe in Me; concerning righteousness, because I go to the Father. And
[00:27:31.480 --> 00:27:36.840]   you will see Me no longer; concerning judgment, because the ruler of this world is judged." So,
[00:27:36.840 --> 00:27:42.920]   let's put that all together. The Holy Spirit is coming, called the Helper, the Spirit of Truth.
[00:27:42.920 --> 00:27:48.240]   He's going to cause us to remember all that Christ has said. He's going to convict the world of sin,
[00:27:48.240 --> 00:27:55.760]   and of righteousness. If we were to wrap that up in a short, concise statement, basically what He's
[00:27:55.760 --> 00:28:05.080]   doing is He's causing us to remember Christ. That's what He said. And what does that mean? What does
[00:28:05.080 --> 00:28:11.000]   that have to do with when Paul says, "The Holy Spirit, the people who are Christians and non-
[00:28:11.000 --> 00:28:16.560]   Christian is what's going on in their mind." Right? People who are of the Spirit have their minds set
[00:28:16.560 --> 00:28:21.200]   on the things of the Spirit. People of the flesh set their mind on the things of the flesh. Here's
[00:28:21.200 --> 00:28:28.520]   what's interesting. The word for repentance is "metanoia." And the word "metanoia" literally in
[00:28:28.520 --> 00:28:34.720]   the Greek is two words put together, "meta" to change, "noia" is the mind. So, the literal
[00:28:34.720 --> 00:28:40.800]   understanding of this word repentance means to change your mind. So, when Paul says, "A Christian
[00:28:40.800 --> 00:28:47.280]   and a non-Christian," he's a Christian is somebody whose mind has been changed, who's repented, and
[00:28:47.280 --> 00:28:53.480]   he no longer looks at the world the same way. That his mind is continually set on the things of the
[00:28:53.480 --> 00:28:58.840]   Spirit. And the one who's not is the one who's continually set his mind on the flesh. Some of
[00:28:58.840 --> 00:29:08.840]   you guys who have the NIV translation, the word "flesh" is translated "sinful nature." Okay. Now,
[00:29:08.840 --> 00:29:14.640]   that's not the literal translation of that word. NIV translated "sinful nature" because they just
[00:29:14.640 --> 00:29:19.000]   said, "Well, it means flesh." That's what Paul must mean. So, they basically translated it for you,
[00:29:19.000 --> 00:29:26.240]   interpreted it for you. But the literal word for flesh is just "flesh." So, what Paul really is
[00:29:26.240 --> 00:29:32.200]   saying is, "A Christian and a non-Christian is somebody who is constantly living, thinking,
[00:29:32.200 --> 00:29:39.240]   and consumed with the things of this world." You may come to church on Sunday, but the rest of the
[00:29:39.240 --> 00:29:45.120]   week is your mind is no different than anybody else. But a Christian who's been renewed by the
[00:29:45.120 --> 00:29:53.040]   Holy Spirit, and because of his faith, is constantly thinking of the things of the Spirit. Next year,
[00:29:53.040 --> 00:30:00.320]   Esther and I are planning our 25th, you know, anniversary. 25th anniversary really is our
[00:30:00.320 --> 00:30:05.320]   first honeymoon, because our first honeymoon after we got married, we just drove to San Francisco. So,
[00:30:05.320 --> 00:30:08.800]   you know, we're trying to... we didn't have money. We were young at that time, so we thought, like,
[00:30:08.800 --> 00:30:12.360]   "As long as we're married, it doesn't matter." And then I realized it mattered. And then,
[00:30:12.360 --> 00:30:17.520]   ever since then, I've been trying to make it up, and we just haven't been able to,
[00:30:17.520 --> 00:30:24.120]   because we had kids, right? So, next year will be really the first time that we're doing something,
[00:30:24.120 --> 00:30:28.040]   and we're kind of, "What are we going to do with the kids? Are we going to take Isaiah? You know,
[00:30:28.040 --> 00:30:31.160]   how much is this going to cost? What are we going to do? When are we going to go?" And so,
[00:30:31.160 --> 00:30:35.840]   I'm constantly, every time I have, I'm trying to research, you know, "Can I save enough points? Can
[00:30:35.840 --> 00:30:40.960]   I do this and do that? What can I do?" You know? And so, even though it's six months or whatever
[00:30:40.960 --> 00:30:46.880]   away, you know, my thoughts are on that, because I'm planning and preparing for that. Well, he says,
[00:30:46.880 --> 00:30:54.440]   a Christian is somebody who believes in the promise of the coming kingdom. And so, as a result of that,
[00:30:54.440 --> 00:31:00.000]   our mind is constantly set on the things of the Spirit. And somebody who's not, who doesn't have
[00:31:00.000 --> 00:31:04.560]   faith, no matter how often you go to church, no matter what you do, your mind is constantly set
[00:31:04.560 --> 00:31:10.880]   on the things, because this is where you belong. See, a Christian is somebody who heard the Gospel
[00:31:10.880 --> 00:31:18.440]   of Jesus Christ, and when he saw that, he believed. And he repented. He changed his mind. So, if you
[00:31:18.440 --> 00:31:23.960]   didn't repent, if your mind has not been changed, you wouldn't be a Christian. That's what Paul is
[00:31:23.960 --> 00:31:29.280]   describing in Romans chapter 8. A person who has repented. And so, in Romans chapter 12, verse 2,
[00:31:29.280 --> 00:31:34.920]   when he said, "Do not be conformed, but be transformed by," what? "Renewing of your mind." What does the
[00:31:34.920 --> 00:31:43.440]   renewing of your mind literally mean? Repentant. Repenting. That our mind is constantly being
[00:31:43.440 --> 00:31:51.760]   renewed and changed and revised. And that's what the Holy Spirit primarily does. That He comes into
[00:31:51.760 --> 00:31:58.720]   our lives, and He reminds us of what we have in Christ, and why He did it, and who He did it for.
[00:31:58.720 --> 00:32:05.000]   And I believe this. And I believe in the coming Kingdom. And as a result of that, my mind has
[00:32:05.000 --> 00:32:15.480]   been washed. My brain has been washed. I'm brainwashed. Renewed. Repented. See, people who are
[00:32:15.480 --> 00:32:23.880]   fleshly is simply unrepentant. Unrepentant. There's nothing that has changed. Unchanged in mind.
[00:32:23.880 --> 00:32:28.480]   Therefore, they are concerned about the fleshly things. And as a result of that, he says in verse 6,
[00:32:28.480 --> 00:32:35.840]   it leads ultimately to death. A fleshly mind is somebody who is already dead. Verse 7, their mind
[00:32:35.840 --> 00:32:41.680]   is hostile to God. If your mind is constantly thinking about this world, and the benefits of
[00:32:41.680 --> 00:32:47.280]   this world, and this world only, he says you can't please God. You're hostile. Colossians 1:21,
[00:32:47.280 --> 00:32:53.000]   "And you who once were alienated and hostile in mind, doing evil things." And the reason why they
[00:32:53.000 --> 00:32:56.600]   were doing evil things is because their mind is constantly thinking of things that are against
[00:32:56.600 --> 00:33:03.160]   God. Not only that, in verse 7 it says, "It does not and cannot submit to the law of God." And again,
[00:33:03.160 --> 00:33:08.600]   I believe that Romans chapter 8 is describing that person. That no matter how much he desires it,
[00:33:08.600 --> 00:33:15.240]   he cannot. And that's what he says in verse 7. He's not able to please God. In 1 Corinthians 2,
[00:33:15.240 --> 00:33:20.240]   14 and 16, he says, Paul says, "A natural person does not accept the things of the Spirit of God,
[00:33:20.240 --> 00:33:25.320]   for they are folly to him. And he is not able to understand them because they are spiritually
[00:33:25.320 --> 00:33:32.120]   discerned. The spiritual person judges all things, but is himself to be judged by no one. For who has
[00:33:32.120 --> 00:33:40.000]   understood the mind of the Lord, so as to instruct him, but we have the mind of Christ." Because he
[00:33:40.000 --> 00:33:45.840]   can't, he can't even, you know, no matter how much he tries, he can't understand. If he has not
[00:33:45.840 --> 00:33:50.960]   repented and changed his mind. You know, oftentimes, you know, one of the most common questions that I
[00:33:50.960 --> 00:33:57.240]   get from people is, "What is the will of the Lord? Should I marry her? Should I go here and do this?"
[00:33:57.240 --> 00:34:03.800]   Well, that question can't be answered to somebody who is not already following the will of the Lord.
[00:34:03.800 --> 00:34:10.480]   If every other part of your life you're living independent from God, and because this is such
[00:34:10.480 --> 00:34:15.400]   an important decision, this one thing I want to get right. Everything else I just live independently
[00:34:15.400 --> 00:34:20.760]   from God. But who I marry, I don't want to get this wrong, so I want His blessing upon this. He says,
[00:34:20.760 --> 00:34:29.040]   "You can't possibly know that." He said, "A mind who is fleshly is not able to discern the will of God,
[00:34:29.040 --> 00:34:35.440]   and nor can he even please God." You can do all these external things, but what God desires is
[00:34:35.440 --> 00:34:43.240]   genuine worship. He says, "He can't please God." Therefore, again, they can't please God. But, he says,
[00:34:43.240 --> 00:34:50.920]   of a Christian, in verse 9, "You, however, are not in the flesh, but in the Spirit." And as a result of that,
[00:34:50.920 --> 00:34:58.840]   he says there, "You have life and peace." A person who has been indwelt by the Holy Spirit has life
[00:34:58.840 --> 00:35:05.480]   and peace. And you'll notice in the Scripture, life and peace always go hand in hand. Because the word
[00:35:05.480 --> 00:35:13.000]   for peace for a Jew is "shalom." And the word "shalom," peace, is closely related to the word Sabbath.
[00:35:13.000 --> 00:35:18.840]   Hebrews chapter 4, verse 9, he says, "So then there remains a Sabbath rest for the people of God. For whoever
[00:35:18.840 --> 00:35:25.880]   has entered God's rest has also rested from his works as God did from His." So, the Bible uses the term
[00:35:25.880 --> 00:35:33.080]   Sabbath and salvation in similar terms. Because what was lost at the fall was when God entered
[00:35:33.080 --> 00:35:39.880]   into His Sabbath, when we rested and we were living there, when we sinned, He says, "You shall surely die."
[00:35:39.880 --> 00:35:46.600]   What did death look like? Separation. The Sabbath was broken. And ever since then, we're trying to, God
[00:35:46.600 --> 00:35:53.080]   was trying to bring Christ to restore what? The Sabbath. So, he says, "A person who has the Holy Spirit
[00:35:53.080 --> 00:36:01.320]   has life and has Sabbath." Because the Holy Spirit, in verse 9, is indwelling in us. He's making
[00:36:01.320 --> 00:36:07.560]   His dwelling in us. Verse 9, "You are not of the flesh of the Spirit, but in fact the Spirit of God
[00:36:07.560 --> 00:36:12.760]   dwells in you. And anyone who dwells not have the Spirit of Christ, does not belong to Him. But if
[00:36:12.760 --> 00:36:17.480]   Christ is in you, although the body is dead because of sin, the Spirit is life because of righteousness."
[00:36:17.480 --> 00:36:24.280]   I hope if you guys were studying this passage this week that you saw that Christ and the Holy Spirit
[00:36:24.280 --> 00:36:29.640]   is used interchangeably here. Did you catch that? Right? Remember we talked about the Holy Spirit,
[00:36:29.640 --> 00:36:34.360]   the idea of the Trinity is very difficult to explain. But when you get into the Word, it is
[00:36:34.360 --> 00:36:39.080]   clearly taught. He says that the Spirit of God dwells in you. Anyone who does not have the Spirit
[00:36:39.080 --> 00:36:45.480]   of Christ, He just says, "Spirit of God, Spirit of Christ, does not belong to Him. But Christ is in you,
[00:36:45.480 --> 00:36:49.720]   although the body is dead because of sin, the Spirit is life because of righteousness." You notice that?
[00:36:49.720 --> 00:36:57.160]   God, Christ, Holy Spirit is all used interchangeably here. If you notice, John chapter 14, he said, "Well,
[00:36:57.160 --> 00:37:02.680]   if you go, how come we can't go with you?" And he said, "Do not worry. I will not leave you as orphans.
[00:37:02.680 --> 00:37:09.320]   And when I go, the Helper is going to come." And then in chapter 15, he spends the whole chapter
[00:37:09.320 --> 00:37:14.840]   talking about, "You cannot bear fruit unless you will do what? Remain in me, continue in me."
[00:37:14.840 --> 00:37:21.720]   And then he goes back to chapter 16, talking about the Holy Spirit. So chapter 14, he describes the
[00:37:21.720 --> 00:37:27.640]   Holy Spirit. Chapter 16, he describes the Holy Spirit. And chapter 15, after promising them that
[00:37:27.640 --> 00:37:32.600]   He's going to continue with them, he says, "You have to remain. If you're going to bear fruit, you have to
[00:37:32.600 --> 00:37:43.000]   remain with me. Remain. To continue. To rest. To stay." So what Paul is saying here is exactly what John
[00:37:43.000 --> 00:37:48.840]   is saying, what he's been saying everywhere else. That the work of the Holy Spirit is to continually
[00:37:48.840 --> 00:37:56.920]   connect us to Christ. That's the ultimate work of the Holy Spirit, is to continue to connect
[00:37:56.920 --> 00:38:05.160]   us with Christ. There is only one mediator between us and the Father, and that's Jesus Christ. There's
[00:38:05.160 --> 00:38:11.560]   nothing else in between. If we put anything else in between, if I just connect with the right person,
[00:38:11.560 --> 00:38:17.320]   if I connect with the right program, if I was just, if I just went to the right seminary,
[00:38:17.320 --> 00:38:24.520]   and suddenly we put something between us and Jesus, and we think, "Well, maybe the reason why
[00:38:24.520 --> 00:38:29.720]   this is happening is because I lack this and this and this." And when the Holy Spirit says, "No, everything
[00:38:29.720 --> 00:38:34.280]   that you need for the life of God has been given to you, and I'm not going to leave you as an orphan."
[00:38:34.280 --> 00:38:39.080]   The Holy Spirit, the Helper, the Spirit of the Truth, He's going to come and remind you of all that I have
[00:38:39.080 --> 00:38:44.520]   said to you. He's going to take the things that I have done, and He's going to convict the world of sin
[00:38:44.520 --> 00:38:52.040]   and righteousness. So what is the work of the Holy Spirit? It's to connect us with Christ. A dynamic
[00:38:52.040 --> 00:39:01.160]   relationship with Jesus Christ. And He brings us back to His Word. It is His presence. Presence of
[00:39:01.160 --> 00:39:08.040]   Christ in our life through the Holy Spirit. In fact, J.I. Packer says of the Holy Spirit, "The greatest
[00:39:08.040 --> 00:39:16.600]   benefit of the gift of the Holy Spirit is simply His presence." His presence. That the Holy Spirit
[00:39:16.600 --> 00:39:24.200]   is no longer coming and going. He's not anointing and leaving. He has made a permanent indwelling.
[00:39:24.200 --> 00:39:31.960]   The Scripture says that He was given to us as a deposit, guaranteeing our salvation. Deposit.
[00:39:31.960 --> 00:39:38.440]   Permanently in us. Leading and guiding. So, rest of Chapter 8, He's going to go further into that.
[00:39:38.440 --> 00:39:42.920]   Into what does it mean for the Holy Spirit to intercede on our behalf? We're not going to get
[00:39:42.920 --> 00:39:48.840]   into that today. But it's if that Holy Spirit is in you, that same Spirit that raised Jesus from the
[00:39:48.840 --> 00:39:57.800]   dead will also raise you to eternal life. Let me wrap all this up so that we can get to the communion.
[00:39:57.800 --> 00:40:09.800]   I know that at the end of the day, maybe it'd be easier if we had some sort of a Holy Spirit
[00:40:09.800 --> 00:40:16.920]   encounter. And that's what I used to think too when I was younger. And so, I was thinking, when I was a
[00:40:16.920 --> 00:40:22.360]   younger Christian, or younger pastor, you know, I came from a charismatic background. That's why I
[00:40:22.360 --> 00:40:27.080]   got saved. Even though I grew up in a Presbyterian background, I got saved in a charismatic background.
[00:40:27.080 --> 00:40:32.920]   And so, people were doing healing, you know, speaking in tongues, and all the things that you
[00:40:32.920 --> 00:40:39.560]   know, the charismatics. Well, I fully gave myself to that because if that's the case, then I want it.
[00:40:40.440 --> 00:40:44.120]   But then there are certain things that just didn't fit spiritually. Like, why are we speaking in tongues
[00:40:44.120 --> 00:40:47.720]   out loud? And the Bible says that there needs to be an interpreter. And so, there's certain things in
[00:40:47.720 --> 00:40:52.440]   the Bible that I didn't see fit. But at that time, there were healing services going all around. It's
[00:40:52.440 --> 00:40:57.080]   not like today. Right now, it's, you know, there's Seeker Friendly, or Reform, the Gospel Center
[00:40:57.080 --> 00:41:01.400]   movement. And there's different things going on right now. But at that time, it was predominantly
[00:41:01.400 --> 00:41:05.480]   vineyard, you know, like healing services on Sundays. So, people will go to a Presbyterian
[00:41:05.480 --> 00:41:11.480]   service in the morning, and go to vineyard at night for healing service. So, I searched for five years,
[00:41:11.480 --> 00:41:18.360]   you know, looking. If you, if that's the power of the Holy Spirit, I want it. I mean, that would save
[00:41:18.360 --> 00:41:24.600]   me a lot of time. A lot of time. Instead of expositing the Scripture and telling you about
[00:41:24.600 --> 00:41:32.040]   Christ, I just knock you to the ground. Right? I mean, what Benny Hinn does, you know, sounds fun.
[00:41:33.240 --> 00:41:40.200]   Take off my jacket and just, and then go home. And revival breaks out. I mean, it'd be easy, right?
[00:41:40.200 --> 00:41:45.080]   So, I said, "Man, if I had the gift of healing, if I can cast out demons, if I can do that,
[00:41:45.080 --> 00:41:49.880]   I mean, why not? I don't see in the Bible, it says you can't happen. So, why not?"
[00:41:49.880 --> 00:41:55.320]   So, I went to every service that had these services at vineyard. And I went, and I sat there. And one
[00:41:55.320 --> 00:41:58.680]   time, I took the whole youth group. I think Elder Joe might have been there. I don't remember.
[00:41:59.400 --> 00:42:07.480]   But I exposed our youth group to a lot of stuff. So, I would go to these services and look at it.
[00:42:07.480 --> 00:42:12.600]   And then when they, I remember this one particular service that John Wimber, who was the head pastor
[00:42:12.600 --> 00:42:17.640]   of that. And he said, "Well, there's 3,000 people in the room." And he said, "Anybody who hasn't seen
[00:42:17.640 --> 00:42:23.880]   a miracle take place, come out." So, I went up, took the youth group up. And he had three, four people
[00:42:23.880 --> 00:42:28.760]   sitting up in the front. So, we sat with them. And I surrounded, we sat. And literally, I was,
[00:42:28.760 --> 00:42:33.880]   this, this, this. I wanted front row seats. So, John Wimber came and laid hands. And he was walking.
[00:42:33.880 --> 00:42:38.920]   And there's about four or five other people. And he happened to stop at this one particular guy.
[00:42:38.920 --> 00:42:44.520]   And it was just me and maybe about 15 other youth group kids that I took. And laid hands on him.
[00:42:44.520 --> 00:42:52.200]   And then, all of a sudden, he's like, "Whoa, the Holy Spirit worked. This man's leg just grew."
[00:42:53.240 --> 00:42:59.160]   And he, you know, and he, like, he was just hyping it up. And everybody in the congregation, 3,000
[00:42:59.160 --> 00:43:06.520]   people, yeah, just clapping. I was confused because I didn't see anything. And what confused me even
[00:43:06.520 --> 00:43:10.680]   more is that the guy who supposedly the healing happened, he was confused just as I was.
[00:43:10.680 --> 00:43:15.560]   And I was looking at all the youth group groups, like, "Did you see something?" And we're all
[00:43:15.560 --> 00:43:23.160]   confused. But 3,000 people were convinced because he was hyping it up. And so, afterward, he said,
[00:43:23.160 --> 00:43:26.840]   and he went and said, "Oh, you know, praise God." And so, he's just like, "Yes, praise God." You
[00:43:26.840 --> 00:43:31.960]   know. But we could clearly see, sitting there, that he was just as confused as us. So, that service
[00:43:31.960 --> 00:43:39.160]   ended. 3,000 people left that room saying that they saw a miracle, except us. And I remember
[00:43:39.160 --> 00:43:47.240]   leaving that thinking, "How much of it is this?" Right? It doesn't mean that it doesn't work. I
[00:43:47.240 --> 00:43:51.400]   don't, I'm open but cautious. The guys who know what that is, I'm open but cautious. I don't
[00:43:51.400 --> 00:43:56.040]   believe anything in the scripture that says it can't happen. I think it probably does happen.
[00:43:56.040 --> 00:44:01.160]   Of course, God works miracles. Of course, God answers prayers. Of course, He heals. Right?
[00:44:01.160 --> 00:44:09.480]   But this sensationalizing of the Holy Spirit actually detracts from the real source what
[00:44:09.480 --> 00:44:19.720]   God has anointed, which was His Word. He anointed His Word. Foolishness. The Jews were demanding
[00:44:19.720 --> 00:44:27.400]   signs. Greeks demanding wisdom. But we preach Christ crucified. That it is in His faithful
[00:44:27.400 --> 00:44:33.320]   teaching and preaching of the Word where the Holy Spirit takes that and unites us with an intimate
[00:44:33.320 --> 00:44:39.400]   relationship with Christ. And that is the primary, it is not the only work, but it's the primary work
[00:44:39.400 --> 00:44:45.080]   of the Holy Spirit. Now, some of you guys, again, are going to be sitting here and thinking like,
[00:44:45.080 --> 00:44:50.840]   "Well, that sounds good, but I don't know if it helps me." Let me put this back to you.
[00:44:50.840 --> 00:45:03.160]   Could it possibly be that some of our spiritual frustration is because we have not made up our
[00:45:03.160 --> 00:45:17.000]   mind that this is what I want? If we put the kind of effort that we put into entertainment,
[00:45:17.000 --> 00:45:28.760]   would there be revival in your life? Maybe. I'm not saying that it will, but it could.
[00:45:30.600 --> 00:45:34.840]   If we put the kind of energy that we put toward losing five pounds,
[00:45:34.840 --> 00:45:42.840]   do you think that'll make a difference in your walk with God? If you put half the energy to
[00:45:42.840 --> 00:45:50.760]   pass a test and get a good grade into the Word of God and communion with Him, do you think that
[00:45:50.760 --> 00:45:56.360]   will make a difference in maybe the frustration that you have in your walk with God? Could it
[00:45:56.360 --> 00:46:05.480]   possibly be that it's not because the Holy Spirit is not upon you, but that we haven't made up our
[00:46:05.480 --> 00:46:16.200]   mind? When Joshua says, "Choose you this day whom you will serve," stop teetering between two views.
[00:46:16.200 --> 00:46:21.160]   If you're going to serve the Lord, serve the Lord. If you're going to serve Baal, serve Baal.
[00:46:21.160 --> 00:46:27.800]   But you cannot do both. I'm not saying that that answers all the questions, but could it be
[00:46:27.800 --> 00:46:34.360]   that part of the frustration in our sanctification is because we want both?
[00:46:34.360 --> 00:46:42.200]   I can't say with absolute certainty that that's what it is,
[00:46:42.200 --> 00:46:48.200]   but until you have committed your life to Christ wholly, you will never know
[00:46:50.040 --> 00:46:57.320]   that that simply may be the reason. That your mind is consumed with the things of this world,
[00:46:57.320 --> 00:47:02.120]   and you want God at the same time. You want revival and intimacy with Christ
[00:47:02.120 --> 00:47:09.000]   and pursue the frivolous things in the world at the same time. You want to glorify God and yourself
[00:47:09.000 --> 00:47:15.880]   at the same time. You want the security of money and security of the Holy Spirit at the same time.
[00:47:17.080 --> 00:47:21.000]   Could it be that the answer is that simple?
[00:47:21.000 --> 00:47:29.000]   I don't know, but until we've given our life fully to Christ, we would never know.
[00:47:29.000 --> 00:47:37.160]   I'm going to conclude with this. In Matthew chapter 28, 16 to 20, is a passage where Jesus
[00:47:37.160 --> 00:47:42.600]   gives the Great Commission, and it's something happened. We usually focus on verse 18 to 20. It
[00:47:42.600 --> 00:47:47.720]   says, "Now the eleven disciples went to Galilee, to the mountain to which Jesus had directed them.
[00:47:47.720 --> 00:47:53.720]   And when they saw him, they worshipped him, but some doubted." So the Great Commission was given
[00:47:53.720 --> 00:48:01.560]   as a result of this phrase. It's because they doubted. And that's why he says, "All authority
[00:48:01.560 --> 00:48:07.480]   in heaven and earth has been given to me. Go make disciples, baptize in the name of the Father,
[00:48:07.480 --> 00:48:12.040]   Son, and the Holy Spirit. And lo, I am with you to the end of the age." The reason why he says
[00:48:12.040 --> 00:48:15.480]   "All authority in heaven and earth has been given to me, and lo, I am with you to the end of the age,"
[00:48:15.480 --> 00:48:19.960]   because he says they were worshipping him, and yet some doubted. That's why he says that.
[00:48:19.960 --> 00:48:27.880]   So the question is, what were they doubting? What were they doubting? They were already
[00:48:27.880 --> 00:48:34.920]   worshipping him. Right? I mean, if they were doubting, could he possibly be the Messiah?
[00:48:34.920 --> 00:48:41.960]   They wouldn't be worshipping him. They've already concluded that. To worship somebody that you
[00:48:42.360 --> 00:48:48.840]   he may not be God would be the greatest blasphemy to a Jew. You would be struck down by lightning
[00:48:48.840 --> 00:48:53.320]   instantaneously. You would have, I mean, people had leprosy for lesser sins than that.
[00:48:53.320 --> 00:48:59.880]   They were worshipping him. So what did it mean that they doubted? Remember who they were.
[00:48:59.880 --> 00:49:06.760]   These guys just failed miserably. Jesus going to the cross. He denies him three times.
[00:49:07.720 --> 00:49:12.840]   And then Jesus is resurrected, comes back, and these people have utterly failed.
[00:49:12.840 --> 00:49:22.440]   They have no confidence in themselves. Have you chosen the right people? You're going to use us?
[00:49:22.440 --> 00:49:29.560]   I believe that they were doubting possibly themselves, and because they were doubting
[00:49:29.560 --> 00:49:35.240]   themselves, maybe doubting did you pick the right people? And it is in that context, Jesus says,
[00:49:35.240 --> 00:49:41.320]   his encouragement to them was, "The person who's sending you out, don't forget who I am.
[00:49:41.320 --> 00:49:49.240]   All authority, every authority above Romans, above the demons, above all rule and authority
[00:49:49.240 --> 00:49:55.960]   has been given unto me. Therefore, go make disciples. Baptize them in the name of the
[00:49:55.960 --> 00:50:00.280]   Father, Son, and the Holy Spirit, teaching them to observe all that I have commanded you. And lo,
[00:50:01.640 --> 00:50:10.760]   I am with you to the end of the age. So go. It's not you. I have empowered you."
[00:50:10.760 --> 00:50:18.920]   So if we bought into this idea, this satanic idea, that God has given you
[00:50:18.920 --> 00:50:25.000]   imperatives to follow, and then given you no power to do it. So living in impotence,
[00:50:26.600 --> 00:50:32.440]   living lukewarm, and living the rest of your life feeling just guilty and just accepting
[00:50:32.440 --> 00:50:37.880]   the fact where you are, that is satanic. That is not from God. God did not tell us,
[00:50:37.880 --> 00:50:45.400]   "Go live your life and then withhold the power to do it." He who did not spare his own son,
[00:50:45.400 --> 00:50:51.880]   how will he, along with him, give everything? Would he have just forgiven you of your sins,
[00:50:51.880 --> 00:50:58.920]   and then not have delivered you from the power which is causing all of this stress and distress?
[00:50:58.920 --> 00:51:09.000]   By no means. The same God who forgave us is the same God who resurrected Christ. And the same
[00:51:09.000 --> 00:51:17.880]   God who resurrected Christ is the one who commands us. Live, live worthy of the gospel that you have
[00:51:17.880 --> 00:51:23.880]   been called to. Would you take some time to pray with me as we prepare for the communion? And again,
[00:51:23.880 --> 00:51:28.840]   as I mentioned to you earlier, that this message really needs to be seen in the larger context of
[00:51:28.840 --> 00:51:33.560]   the whole book of Romans and chapter 8. And this is just a part of it. There's other things that
[00:51:33.560 --> 00:51:38.760]   Paul's going to say about the Holy Spirit. But I think today, as we come to the communion table,
[00:51:38.760 --> 00:51:44.200]   if you've gotten to a point, you've been a Christian for a while, and you've accepted the
[00:51:44.200 --> 00:51:48.520]   fact that, you know, we're just failures, and that's just the way it is, you know, and God's
[00:51:48.520 --> 00:51:55.000]   just going to accept me as I am, you know. To a certain degree, it's true. Our salvation is not by
[00:51:55.000 --> 00:52:02.600]   our words. But you just quit in your pursuit of holiness. You just accepted the fact that this is
[00:52:02.600 --> 00:52:12.520]   normal. And you're no longer striving after the things of God. By no means. The whole purpose of
[00:52:12.520 --> 00:52:18.360]   why he saved us is so that we may have life and have this life abundantly. And maybe you're not
[00:52:18.360 --> 00:52:25.160]   living that abundant life because you quit. And just like he promised his disciples, "I pray,
[00:52:25.160 --> 00:52:33.160]   Peter, that your faith would not fail you. Get up and feed my sheep." That maybe we just need
[00:52:33.160 --> 00:52:39.560]   to make that decision to change our mind, to repent. Or whatever way I was thinking was fleshly,
[00:52:40.760 --> 00:52:47.160]   that I commit my life to Christ. I stand with Christ. So this morning, as we come to the
[00:52:47.160 --> 00:52:55.080]   communion table, to examine our hearts to see if we, if our mind and our heart is of the Spirit.
[00:52:55.080 --> 00:52:59.560]   And if not, take this time to come before the Lord and repent. I want to follow Christ with all
[00:52:59.560 --> 00:53:05.240]   my heart. I don't want to stand between two worlds. You are my Savior. You are my hope.
[00:53:05.240 --> 00:53:09.640]   To take that time to pray, and then when you are ready, we want to invite you to come up.
[00:53:10.440 --> 00:53:17.640]   So as we ask Elder Doe to come up, I'm going to read passage in Corinthians. And then as you are
[00:53:17.640 --> 00:53:22.920]   ready, again, I want to ask you, if you are a baptized believer, we ask you to come. And you're
[00:53:22.920 --> 00:53:27.080]   welcome to participate. If you have not been baptized and you are not a believer, that you
[00:53:27.080 --> 00:53:34.920]   would stay in your seats. Because the baptism is like a wedding ceremony. And communion is kind of
[00:53:34.920 --> 00:53:39.880]   like an anniversary, remembering. So if you have not been baptized, we ask that you would stay in
[00:53:39.880 --> 00:53:44.680]   your seats. For those of you who are, again, when you are ready, please come to the two aisles and
[00:53:44.680 --> 00:53:50.200]   then use the middle aisle to go down. First Corinthians 11 23, "For I received from the
[00:53:50.200 --> 00:53:54.920]   Lord what I also delivered to you, that the Lord Jesus on the night when he was betrayed took bread.
[00:53:54.920 --> 00:53:59.560]   And when he had given thanks, he broke it and said, 'This is my body, which is for you. Do this
[00:53:59.560 --> 00:54:04.920]   in remembrance of me.' In the same way also, he took the cup after supper, saying, 'This cup is a
[00:54:04.920 --> 00:54:11.320]   new covenant in my blood. Do this as often as you drink it in remembrance of me. For as often as you
[00:54:11.320 --> 00:54:17.800]   eat this bread and drink the cup, you proclaim the Lord's death until he comes.'" Heavenly Father,
[00:54:17.800 --> 00:54:24.200]   we come before you at the communion table. Help us, Lord God, to come in thankfulness, in humility,
