
[00:00:00.000 --> 00:00:00.840]   - Two.
[00:35:43.220 --> 00:35:46.220]   [SIDE CONVERSATION]
[00:35:46.220 --> 00:35:49.220]   [SIDE CONVERSATION]
[00:35:49.220 --> 00:35:52.220]   [SIDE CONVERSATION]
[00:35:52.220 --> 00:35:55.220]   [SIDE CONVERSATION]
[00:35:55.220 --> 00:35:58.220]   [SIDE CONVERSATION]
[00:35:58.220 --> 00:36:01.220]   [SIDE CONVERSATION]
[00:36:01.220 --> 00:36:04.220]   [SIDE CONVERSATION]
[00:36:04.220 --> 00:36:07.220]   [SIDE CONVERSATION]
[00:36:07.220 --> 00:36:10.220]   [SIDE CONVERSATION]
[00:36:10.220 --> 00:36:27.220]   [SIDE CONVERSATION]
[00:36:27.220 --> 00:36:30.220]   [SIDE CONVERSATION]
[00:36:30.220 --> 00:36:47.220]   [SIDE CONVERSATION]
[00:36:47.220 --> 00:36:50.220]   [SIDE CONVERSATION]
[00:36:50.220 --> 00:36:53.220]   [SIDE CONVERSATION]
[00:36:53.220 --> 00:36:56.220]   [SIDE CONVERSATION]
[00:36:56.220 --> 00:36:59.220]   [SIDE CONVERSATION]
[00:36:59.220 --> 00:37:02.220]   [SIDE CONVERSATION]
[00:37:02.220 --> 00:37:05.220]   [SIDE CONVERSATION]
[00:37:05.220 --> 00:37:08.220]   [SIDE CONVERSATION]
[00:37:08.220 --> 00:37:11.220]   [SIDE CONVERSATION]
[00:37:11.220 --> 00:37:14.220]   [SIDE CONVERSATION]
[00:37:14.220 --> 00:37:17.220]   [SIDE CONVERSATION]
[00:37:17.220 --> 00:37:20.220]   [SIDE CONVERSATION]
[00:37:20.220 --> 00:37:23.220]   [SIDE CONVERSATION]
[00:37:24.220 --> 00:37:27.220]   [SIDE CONVERSATION]
[00:37:27.220 --> 00:37:30.220]   [SIDE CONVERSATION]
[00:37:30.220 --> 00:37:33.220]   [SIDE CONVERSATION]
[00:37:33.220 --> 00:37:39.220]   [SIDE CONVERSATION]
[00:37:39.220 --> 00:37:50.220]   [SIDE CONVERSATION]
[00:37:50.220 --> 00:37:53.220]   [SIDE CONVERSATION]
[00:37:53.220 --> 00:38:10.220]   [SIDE CONVERSATION]
[00:38:10.220 --> 00:38:13.220]   [SIDE CONVERSATION]
[00:38:39.220 --> 00:38:42.220]   [SIDE CONVERSATION]
[00:38:42.220 --> 00:38:45.220]   [SIDE CONVERSATION]
[00:38:45.220 --> 00:38:48.220]   [SIDE CONVERSATION]
[00:38:48.220 --> 00:38:51.220]   [SIDE CONVERSATION]
[00:38:51.220 --> 00:38:54.220]   [SIDE CONVERSATION]
[00:38:54.220 --> 00:38:57.220]   [SIDE CONVERSATION]
[00:38:57.220 --> 00:39:00.220]   [SIDE CONVERSATION]
[00:39:00.220 --> 00:39:03.220]   [SIDE CONVERSATION]
[00:39:03.220 --> 00:39:06.220]   [SIDE CONVERSATION]
[00:39:06.220 --> 00:39:09.220]   [SIDE CONVERSATION]
[00:39:09.220 --> 00:39:12.220]   [SIDE CONVERSATION]
[00:39:38.220 --> 00:39:41.220]   [SIDE CONVERSATION]
[00:39:41.220 --> 00:39:58.220]   [SIDE CONVERSATION]
[00:39:58.220 --> 00:40:01.220]   [SIDE CONVERSATION]
[00:40:01.220 --> 00:40:04.220]   [SIDE CONVERSATION]
[00:40:04.220 --> 00:40:07.220]   [SIDE CONVERSATION]
[00:40:07.220 --> 00:40:10.220]   [SIDE CONVERSATION]
[00:40:10.220 --> 00:40:13.220]   [SIDE CONVERSATION]
[00:40:13.220 --> 00:40:16.220]   [SIDE CONVERSATION]
[00:40:17.220 --> 00:40:20.220]   [SIDE CONVERSATION]
[00:40:20.220 --> 00:40:23.220]   [SIDE CONVERSATION]
[00:40:23.220 --> 00:40:26.220]   [SIDE CONVERSATION]
[00:40:26.220 --> 00:40:29.220]   [SIDE CONVERSATION]
[00:40:29.220 --> 00:40:32.220]   [SIDE CONVERSATION]
[00:40:32.220 --> 00:40:35.220]   [SIDE CONVERSATION]
[00:40:35.220 --> 00:40:38.220]   [SIDE CONVERSATION]
[00:41:04.220 --> 00:41:07.220]   [SIDE CONVERSATION]
[00:41:07.220 --> 00:41:10.220]   [SIDE CONVERSATION]
[00:41:10.220 --> 00:41:13.220]   [SIDE CONVERSATION]
[00:41:13.220 --> 00:41:16.220]   [SIDE CONVERSATION]
[00:41:16.220 --> 00:41:19.220]   [SIDE CONVERSATION]
[00:41:19.220 --> 00:41:22.220]   [SIDE CONVERSATION]
[00:41:22.220 --> 00:41:25.220]   [SIDE CONVERSATION]
[00:41:25.220 --> 00:41:28.220]   [SIDE CONVERSATION]
[00:41:28.220 --> 00:41:31.220]   [SIDE CONVERSATION]
[00:41:31.220 --> 00:41:34.220]   [SIDE CONVERSATION]
[00:41:34.220 --> 00:41:37.220]   [SIDE CONVERSATION]
[00:41:37.220 --> 00:41:40.220]   [SIDE CONVERSATION]
[00:41:40.220 --> 00:41:43.220]   [SIDE CONVERSATION]
[00:41:43.220 --> 00:41:46.220]   [SIDE CONVERSATION]
[00:41:46.220 --> 00:41:49.220]   [SIDE CONVERSATION]
[00:41:49.220 --> 00:41:52.220]   [SIDE CONVERSATION]
[00:41:52.220 --> 00:41:55.220]   [SIDE CONVERSATION]
[00:41:55.220 --> 00:41:58.220]   [SIDE CONVERSATION]
[00:41:58.220 --> 00:42:15.220]   [SIDE CONVERSATION]
[00:42:15.220 --> 00:42:18.220]   [SIDE CONVERSATION]
[00:42:18.220 --> 00:42:35.220]   [SIDE CONVERSATION]
[00:42:35.220 --> 00:42:38.220]   [SIDE CONVERSATION]
[00:42:38.220 --> 00:42:41.220]   [SIDE CONVERSATION]
[00:42:41.220 --> 00:42:44.220]   [SIDE CONVERSATION]
[00:42:44.220 --> 00:42:47.220]   [SIDE CONVERSATION]
[00:42:47.220 --> 00:42:50.220]   [SIDE CONVERSATION]
[00:42:50.220 --> 00:42:53.220]   [SIDE CONVERSATION]
[00:42:53.220 --> 00:42:56.220]   [SIDE CONVERSATION]
[00:42:56.220 --> 00:42:59.220]   [SIDE CONVERSATION]
[00:42:59.220 --> 00:43:02.220]   [SIDE CONVERSATION]
[00:43:02.220 --> 00:43:05.220]   [SIDE CONVERSATION]
[00:43:05.220 --> 00:43:08.220]   [SIDE CONVERSATION]
[00:43:08.220 --> 00:43:11.220]   [SIDE CONVERSATION]
[00:43:11.220 --> 00:43:17.220]   [SIDE CONVERSATION]
[00:43:17.220 --> 00:43:29.220]   [SIDE CONVERSATION]
[00:43:29.220 --> 00:43:32.220]   [SIDE CONVERSATION]
[00:43:32.220 --> 00:43:49.220]   [SIDE CONVERSATION]
[00:43:49.220 --> 00:43:52.220]   [SIDE CONVERSATION]
[00:43:52.220 --> 00:44:09.220]   [SIDE CONVERSATION]
[00:44:09.220 --> 00:44:12.220]   [SIDE CONVERSATION]
[00:44:12.220 --> 00:44:32.220]   [SIDE CONVERSATION]
[00:44:32.220 --> 00:44:35.220]   [SIDE CONVERSATION]
[00:44:59.220 --> 00:45:02.220]   [SIDE CONVERSATION]
[00:45:02.220 --> 00:45:05.220]   [SIDE CONVERSATION]
[00:45:05.220 --> 00:45:08.220]   [SIDE CONVERSATION]
[00:45:08.220 --> 00:45:11.220]   [SIDE CONVERSATION]
[00:45:11.220 --> 00:45:14.220]   [SIDE CONVERSATION]
[00:45:14.220 --> 00:45:17.220]   [SIDE CONVERSATION]
[00:45:17.220 --> 00:45:20.220]   [SIDE CONVERSATION]
[00:45:20.220 --> 00:45:23.220]   [SIDE CONVERSATION]
[00:45:23.220 --> 00:45:26.220]   [SIDE CONVERSATION]
[00:45:26.220 --> 00:45:29.220]   [SIDE CONVERSATION]
[00:45:29.220 --> 00:45:32.220]   [SIDE CONVERSATION]
[00:45:32.220 --> 00:45:35.220]   [SIDE CONVERSATION]
[00:45:35.220 --> 00:45:38.220]   [SIDE CONVERSATION]
[00:45:38.220 --> 00:45:41.220]   [SIDE CONVERSATION]
[00:45:41.220 --> 00:45:44.220]   [SIDE CONVERSATION]
[00:45:44.220 --> 00:45:47.220]   [SIDE CONVERSATION]
[00:45:47.220 --> 00:45:50.220]   [SIDE CONVERSATION]
[00:45:50.220 --> 00:45:53.220]   [SIDE CONVERSATION]
[00:45:53.220 --> 00:45:56.220]   [SIDE CONVERSATION]
[00:45:56.220 --> 00:46:02.220]   [SIDE CONVERSATION]
[00:46:02.220 --> 00:46:14.220]   [SIDE CONVERSATION]
[00:46:14.220 --> 00:46:17.220]   [SIDE CONVERSATION]
[00:46:17.220 --> 00:46:34.220]   [SIDE CONVERSATION]
[00:46:34.220 --> 00:46:37.220]   [SIDE CONVERSATION]
[00:46:37.220 --> 00:46:54.220]   [SIDE CONVERSATION]
[00:46:54.220 --> 00:46:57.220]   [SIDE CONVERSATION]
[00:46:57.220 --> 00:47:15.220]   [SIDE CONVERSATION]
[00:47:15.220 --> 00:47:18.220]   [SIDE CONVERSATION]
[00:47:18.220 --> 00:47:36.220]   [SIDE CONVERSATION]
[00:47:36.220 --> 00:47:39.220]   [SIDE CONVERSATION]
[00:48:05.220 --> 00:48:08.220]   [SIDE CONVERSATION]
[00:48:08.220 --> 00:48:11.220]   [SIDE CONVERSATION]
[00:48:11.220 --> 00:48:14.220]   [SIDE CONVERSATION]
[00:48:14.220 --> 00:48:17.220]   [SIDE CONVERSATION]
[00:48:17.220 --> 00:48:20.220]   [SIDE CONVERSATION]
[00:48:20.220 --> 00:48:23.220]   [SIDE CONVERSATION]
[00:48:23.220 --> 00:48:26.220]   [SIDE CONVERSATION]
[00:48:52.220 --> 00:48:55.220]   [SIDE CONVERSATION]
[00:48:55.220 --> 00:48:58.220]   [SIDE CONVERSATION]
[00:48:58.220 --> 00:49:01.220]   [SIDE CONVERSATION]
[00:49:01.220 --> 00:49:04.220]   [SIDE CONVERSATION]
[00:49:04.220 --> 00:49:07.220]   [SIDE CONVERSATION]
[00:49:07.220 --> 00:49:10.220]   [SIDE CONVERSATION]
[00:49:10.220 --> 00:49:13.220]   [SIDE CONVERSATION]
[00:49:13.220 --> 00:49:16.220]   [SIDE CONVERSATION]
[00:49:16.220 --> 00:49:19.220]   [SIDE CONVERSATION]
[00:49:19.220 --> 00:49:22.220]   [SIDE CONVERSATION]
[00:49:22.220 --> 00:49:25.220]   [SIDE CONVERSATION]
[00:49:25.220 --> 00:49:28.220]   [SIDE CONVERSATION]
[00:49:28.220 --> 00:49:31.220]   [SIDE CONVERSATION]
[00:49:31.220 --> 00:49:34.220]   [SIDE CONVERSATION]
[00:49:34.220 --> 00:49:37.220]   [SIDE CONVERSATION]
[00:49:37.220 --> 00:49:40.220]   [SIDE CONVERSATION]
[00:49:40.220 --> 00:49:43.220]   [SIDE CONVERSATION]
[00:49:43.220 --> 00:49:46.220]   [SIDE CONVERSATION]
[00:49:46.220 --> 00:49:49.220]   [SIDE CONVERSATION]
[00:49:49.220 --> 00:49:55.220]   [SIDE CONVERSATION]
[00:49:55.220 --> 00:50:07.220]   [SIDE CONVERSATION]
[00:50:07.220 --> 00:50:10.220]   [SIDE CONVERSATION]
[00:50:10.220 --> 00:50:27.220]   [SIDE CONVERSATION]
[00:50:27.220 --> 00:50:30.220]   [SIDE CONVERSATION]
[00:50:30.220 --> 00:50:48.220]   [SIDE CONVERSATION]
[00:50:48.220 --> 00:50:51.220]   [SIDE CONVERSATION]
[00:51:15.220 --> 00:51:18.220]   [SIDE CONVERSATION]
[00:51:18.220 --> 00:51:21.220]   [SIDE CONVERSATION]
[00:51:21.220 --> 00:51:24.220]   [SIDE CONVERSATION]
[00:51:24.220 --> 00:51:27.220]   [SIDE CONVERSATION]
[00:51:27.220 --> 00:51:30.220]   [SIDE CONVERSATION]
[00:51:30.220 --> 00:51:33.220]   [SIDE CONVERSATION]
[00:51:33.220 --> 00:51:36.220]   [SIDE CONVERSATION]
[00:51:36.220 --> 00:51:39.220]   [SIDE CONVERSATION]
[00:51:39.220 --> 00:51:42.220]   [SIDE CONVERSATION]
[00:51:42.220 --> 00:51:45.220]   [SIDE CONVERSATION]
[00:51:45.220 --> 00:51:48.220]   [SIDE CONVERSATION]
[00:51:48.220 --> 00:51:51.220]   [SIDE CONVERSATION]
[00:51:51.220 --> 00:51:54.220]   [SIDE CONVERSATION]
[00:51:54.220 --> 00:52:04.220]   [SIDE CONVERSATION]
[00:52:20.220 --> 00:52:23.220]   [SIDE CONVERSATION]
[00:52:23.220 --> 00:52:26.220]   [SIDE CONVERSATION]
[00:52:26.220 --> 00:52:29.220]   [SIDE CONVERSATION]
[00:52:29.220 --> 00:52:32.220]   [SIDE CONVERSATION]
[00:52:32.220 --> 00:52:35.220]   [SIDE CONVERSATION]
[00:52:35.220 --> 00:52:52.220]   [SIDE CONVERSATION]
[00:52:52.220 --> 00:52:55.220]   [SIDE CONVERSATION]
[00:52:55.220 --> 00:53:12.220]   [SIDE CONVERSATION]
[00:53:12.220 --> 00:53:15.220]   [SIDE CONVERSATION]
[00:53:15.220 --> 00:53:35.220]   [SIDE CONVERSATION]
[00:53:35.220 --> 00:53:38.220]   [SIDE CONVERSATION]
[00:54:04.220 --> 00:54:07.220]   [SIDE CONVERSATION]
[00:54:07.220 --> 00:54:10.220]   [SIDE CONVERSATION]
[00:54:10.220 --> 00:54:13.220]   [SIDE CONVERSATION]
[00:54:13.220 --> 00:54:16.220]   [SIDE CONVERSATION]
[00:54:17.220 --> 00:54:20.220]   [SIDE CONVERSATION]
[00:54:20.220 --> 00:54:23.220]   [SIDE CONVERSATION]
[00:54:23.220 --> 00:54:26.220]   [SIDE CONVERSATION]
[00:54:26.220 --> 00:54:29.220]   [SIDE CONVERSATION]
[00:54:29.220 --> 00:54:32.220]   [SIDE CONVERSATION]
[00:54:32.220 --> 00:54:49.220]   [SIDE CONVERSATION]
[00:54:49.220 --> 00:54:52.220]   [SIDE CONVERSATION]
[00:54:52.220 --> 00:54:55.220]   [SIDE CONVERSATION]
[00:54:55.220 --> 00:54:58.220]   [SIDE CONVERSATION]
[00:54:58.220 --> 00:55:01.220]   [SIDE CONVERSATION]
[00:55:01.220 --> 00:55:04.220]   [SIDE CONVERSATION]
[00:55:04.220 --> 00:55:07.220]   [SIDE CONVERSATION]
[00:55:07.220 --> 00:55:10.220]   [SIDE CONVERSATION]
[00:55:10.220 --> 00:55:13.220]   [SIDE CONVERSATION]
[00:55:13.220 --> 00:55:16.220]   [SIDE CONVERSATION]
[00:55:16.220 --> 00:55:19.220]   [SIDE CONVERSATION]
[00:55:19.220 --> 00:55:22.220]   [SIDE CONVERSATION]
[00:55:48.220 --> 00:55:51.220]   [SIDE CONVERSATION]
[00:55:51.220 --> 00:55:54.220]   [SIDE CONVERSATION]
[00:55:54.220 --> 00:55:57.220]   [SIDE CONVERSATION]
[00:55:57.220 --> 00:56:00.220]   [SIDE CONVERSATION]
[00:56:00.220 --> 00:56:03.220]   [SIDE CONVERSATION]
[00:56:03.220 --> 00:56:06.220]   [SIDE CONVERSATION]
[00:56:06.220 --> 00:56:09.220]   [SIDE CONVERSATION]
[00:56:09.220 --> 00:56:12.220]   [SIDE CONVERSATION]
[00:56:12.220 --> 00:56:15.220]   [SIDE CONVERSATION]
[00:56:15.220 --> 00:56:18.220]   [SIDE CONVERSATION]
[00:56:18.220 --> 00:56:21.220]   [SIDE CONVERSATION]
[00:56:21.220 --> 00:56:24.220]   [SIDE CONVERSATION]
[00:56:24.220 --> 00:56:27.220]   [SIDE CONVERSATION]
[00:56:27.220 --> 00:56:30.220]   [SIDE CONVERSATION]
[00:56:30.220 --> 00:56:33.220]   [SIDE CONVERSATION]
[00:56:34.220 --> 00:56:37.220]   [SIDE CONVERSATION]
[00:56:37.220 --> 00:56:40.220]   [SIDE CONVERSATION]
[00:56:40.220 --> 00:56:43.220]   [SIDE CONVERSATION]
[00:57:09.220 --> 00:57:12.220]   [SIDE CONVERSATION]
[00:57:12.220 --> 00:57:15.220]   [SIDE CONVERSATION]
[00:57:15.220 --> 00:57:18.220]   [SIDE CONVERSATION]
[00:57:18.220 --> 00:57:21.220]   [SIDE CONVERSATION]
[00:57:21.220 --> 00:57:24.220]   [SIDE CONVERSATION]
[00:57:24.220 --> 00:57:27.220]   [SIDE CONVERSATION]
[00:57:27.220 --> 00:57:30.220]   [SIDE CONVERSATION]
[00:57:30.220 --> 00:57:33.220]   [SIDE CONVERSATION]
[00:57:33.220 --> 00:57:36.220]   [SIDE CONVERSATION]
[00:57:36.220 --> 00:57:39.220]   [SIDE CONVERSATION]
[00:57:39.220 --> 00:57:42.220]   [SIDE CONVERSATION]
[00:57:42.220 --> 00:57:45.220]   [SIDE CONVERSATION]
[00:57:45.220 --> 00:57:48.220]   [SIDE CONVERSATION]
[00:57:48.220 --> 00:57:51.220]   [SIDE CONVERSATION]
[00:57:51.220 --> 00:58:01.220]   [SIDE CONVERSATION]
[00:58:15.220 --> 00:58:18.220]   [SIDE CONVERSATION]
[00:58:18.220 --> 00:58:21.220]   [SIDE CONVERSATION]
[00:58:21.220 --> 00:58:24.220]   [SIDE CONVERSATION]
[00:58:24.220 --> 00:58:27.220]   [SIDE CONVERSATION]
[00:58:27.220 --> 00:58:30.220]   [SIDE CONVERSATION]
[00:58:30.220 --> 00:58:33.220]   [SIDE CONVERSATION]
[00:58:33.220 --> 00:58:36.220]   [SIDE CONVERSATION]
[00:58:36.220 --> 00:58:39.220]   [SIDE CONVERSATION]
[00:58:39.220 --> 00:58:49.220]   [SIDE CONVERSATION]
[00:59:05.220 --> 00:59:08.220]   [SIDE CONVERSATION]
[00:59:08.220 --> 00:59:11.220]   [SIDE CONVERSATION]
[00:59:11.220 --> 00:59:14.220]   [SIDE CONVERSATION]
[00:59:14.220 --> 00:59:17.220]   [SIDE CONVERSATION]
[00:59:17.220 --> 00:59:20.220]   [SIDE CONVERSATION]
[00:59:20.220 --> 00:59:23.220]   [SIDE CONVERSATION]
[00:59:23.220 --> 00:59:26.220]   [SIDE CONVERSATION]
[00:59:26.220 --> 00:59:29.220]   [SIDE CONVERSATION]
[00:59:29.220 --> 00:59:32.220]   [SIDE CONVERSATION]
[00:59:58.220 --> 01:00:01.220]   [SIDE CONVERSATION]
[01:00:01.220 --> 01:00:04.220]   [SIDE CONVERSATION]
[01:00:04.220 --> 01:00:07.220]   [SIDE CONVERSATION]
[01:00:07.220 --> 01:00:10.220]   [SIDE CONVERSATION]
[01:00:10.220 --> 01:00:13.220]   [SIDE CONVERSATION]
[01:00:13.220 --> 01:00:16.220]   [SIDE CONVERSATION]
[01:00:16.220 --> 01:00:19.220]   [SIDE CONVERSATION]
[01:00:19.220 --> 01:00:22.220]   [SIDE CONVERSATION]
[01:00:22.220 --> 01:00:25.220]   [SIDE CONVERSATION]
[01:00:25.220 --> 01:00:28.220]   [SIDE CONVERSATION]
[01:00:28.220 --> 01:00:31.220]   [SIDE CONVERSATION]
[01:00:31.220 --> 01:00:34.220]   [SIDE CONVERSATION]
[01:00:34.220 --> 01:00:37.220]   [SIDE CONVERSATION]
[01:00:37.220 --> 01:00:40.220]   [SIDE CONVERSATION]
[01:00:40.220 --> 01:00:43.220]   [SIDE CONVERSATION]
[01:00:43.220 --> 01:00:46.220]   [SIDE CONVERSATION]
[01:00:46.220 --> 01:00:49.220]   [SIDE CONVERSATION]
[01:00:49.220 --> 01:00:52.220]   [SIDE CONVERSATION]
[01:00:52.220 --> 01:00:55.220]   [SIDE CONVERSATION]
[01:00:55.220 --> 01:00:58.220]   [SIDE CONVERSATION]
[01:00:58.220 --> 01:01:01.220]   [SIDE CONVERSATION]
[01:01:01.220 --> 01:01:04.220]   [SIDE CONVERSATION]
[01:01:04.220 --> 01:01:07.220]   [SIDE CONVERSATION]
[01:01:07.220 --> 01:01:10.220]   [SIDE CONVERSATION]
[01:01:10.220 --> 01:01:13.220]   [SIDE CONVERSATION]
[01:01:13.220 --> 01:01:16.220]   [SIDE CONVERSATION]
[01:01:16.220 --> 01:01:19.220]   [SIDE CONVERSATION]
[01:01:19.220 --> 01:01:22.220]   [SIDE CONVERSATION]
[01:01:22.220 --> 01:01:25.220]   [SIDE CONVERSATION]
[01:01:25.220 --> 01:01:28.220]   [SIDE CONVERSATION]
[01:01:28.220 --> 01:01:31.220]   [SIDE CONVERSATION]
[01:01:57.220 --> 01:02:00.220]   [SIDE CONVERSATION]
[01:02:00.220 --> 01:02:03.220]   [SIDE CONVERSATION]
[01:02:03.220 --> 01:02:06.220]   [SIDE CONVERSATION]
[01:02:06.220 --> 01:02:09.220]   [SIDE CONVERSATION]
[01:02:09.220 --> 01:02:12.220]   [SIDE CONVERSATION]
[01:02:12.220 --> 01:02:15.220]   [SIDE CONVERSATION]
[01:02:15.220 --> 01:02:18.220]   [SIDE CONVERSATION]
[01:02:18.220 --> 01:02:21.220]   [SIDE CONVERSATION]
[01:02:21.220 --> 01:02:24.220]   [SIDE CONVERSATION]
[01:02:24.220 --> 01:02:27.220]   [SIDE CONVERSATION]
[01:02:27.220 --> 01:02:30.220]   [SIDE CONVERSATION]
[01:02:30.220 --> 01:02:33.220]   [SIDE CONVERSATION]
[01:02:33.220 --> 01:02:36.220]   [SIDE CONVERSATION]
[01:02:36.220 --> 01:02:39.220]   [SIDE CONVERSATION]
[01:02:39.220 --> 01:02:42.220]   [SIDE CONVERSATION]
[01:02:42.220 --> 01:02:45.220]   [SIDE CONVERSATION]
[01:02:45.220 --> 01:02:48.220]   [SIDE CONVERSATION]
[01:02:48.220 --> 01:02:51.220]   [SIDE CONVERSATION]
[01:02:51.220 --> 01:02:54.220]   [SIDE CONVERSATION]
[01:02:54.220 --> 01:02:57.220]   [SIDE CONVERSATION]
[01:02:57.220 --> 01:03:03.220]   [SIDE CONVERSATION]
[01:03:03.220 --> 01:03:12.220]   [SIDE CONVERSATION]
[01:03:21.220 --> 01:03:24.220]   [SIDE CONVERSATION]
[01:03:24.220 --> 01:03:27.220]   [SIDE CONVERSATION]
[01:03:27.220 --> 01:03:45.220]   [SIDE CONVERSATION]
[01:03:45.220 --> 01:03:48.220]   [SIDE CONVERSATION]
[01:03:48.220 --> 01:04:05.220]   [SIDE CONVERSATION]
[01:04:05.220 --> 01:04:08.220]   [SIDE CONVERSATION]
[01:04:08.220 --> 01:04:25.220]   [SIDE CONVERSATION]
[01:04:25.220 --> 01:04:28.220]   [SIDE CONVERSATION]
[01:04:28.220 --> 01:04:48.220]   [SIDE CONVERSATION]
[01:04:48.220 --> 01:04:51.220]   [SIDE CONVERSATION]
[01:04:51.220 --> 01:05:13.220]   [SIDE CONVERSATION]
[01:05:13.220 --> 01:05:16.220]   [SIDE CONVERSATION]
[01:05:16.220 --> 01:05:38.220]   [SIDE CONVERSATION]
[01:05:38.220 --> 01:05:41.220]   [SIDE CONVERSATION]
[01:05:41.220 --> 01:05:44.220]   [SIDE CONVERSATION]
[01:05:44.220 --> 01:05:47.220]   [SIDE CONVERSATION]
[01:05:47.220 --> 01:05:50.220]   [SIDE CONVERSATION]
[01:05:50.220 --> 01:05:53.220]   [SIDE CONVERSATION]
[01:05:53.220 --> 01:05:56.220]   [SIDE CONVERSATION]
[01:05:56.220 --> 01:06:13.220]   [SIDE CONVERSATION]
[01:06:13.220 --> 01:06:16.220]   [SIDE CONVERSATION]
[01:06:16.220 --> 01:06:19.220]   [SIDE CONVERSATION]
[01:06:19.220 --> 01:06:22.220]   [SIDE CONVERSATION]
[01:06:48.220 --> 01:06:51.220]   [SIDE CONVERSATION]
[01:06:51.220 --> 01:06:54.220]   [SIDE CONVERSATION]
[01:06:54.220 --> 01:06:57.220]   [SIDE CONVERSATION]
[01:06:57.220 --> 01:07:00.220]   [SIDE CONVERSATION]
[01:07:00.220 --> 01:07:03.220]   [SIDE CONVERSATION]
[01:07:03.220 --> 01:07:06.220]   [SIDE CONVERSATION]
[01:07:06.220 --> 01:07:09.220]   [SIDE CONVERSATION]
[01:07:09.220 --> 01:07:12.220]   [SIDE CONVERSATION]
[01:07:12.220 --> 01:07:15.220]   [SIDE CONVERSATION]
[01:07:16.220 --> 01:07:19.220]   [SIDE CONVERSATION]
[01:07:19.220 --> 01:07:22.220]   [SIDE CONVERSATION]
[01:07:22.220 --> 01:07:25.220]   [SIDE CONVERSATION]
[01:07:25.220 --> 01:07:28.220]   [SIDE CONVERSATION]
[01:07:28.220 --> 01:07:31.220]   [SIDE CONVERSATION]
[01:07:31.220 --> 01:07:34.220]   [SIDE CONVERSATION]
[01:07:34.220 --> 01:07:37.220]   [SIDE CONVERSATION]
[01:07:37.220 --> 01:07:40.220]   [SIDE CONVERSATION]
[01:08:05.220 --> 01:08:08.220]   [SIDE CONVERSATION]
[01:08:08.220 --> 01:08:11.220]   [SIDE CONVERSATION]
[01:08:11.220 --> 01:08:14.220]   [SIDE CONVERSATION]
[01:08:14.220 --> 01:08:17.220]   [SIDE CONVERSATION]
[01:08:17.220 --> 01:08:20.220]   [SIDE CONVERSATION]
[01:08:20.220 --> 01:08:23.220]   [SIDE CONVERSATION]
[01:08:23.220 --> 01:08:26.220]   [SIDE CONVERSATION]
[01:08:26.220 --> 01:08:29.220]   [SIDE CONVERSATION]
[01:08:29.220 --> 01:08:32.220]   [SIDE CONVERSATION]
[01:08:32.220 --> 01:08:35.220]   [SIDE CONVERSATION]
[01:08:35.220 --> 01:08:38.220]   [SIDE CONVERSATION]
[01:08:38.220 --> 01:08:41.220]   [SIDE CONVERSATION]
[01:08:41.220 --> 01:08:44.220]   [SIDE CONVERSATION]
[01:08:44.220 --> 01:08:47.220]   [SIDE CONVERSATION]
[01:08:47.220 --> 01:08:50.220]   [SIDE CONVERSATION]
[01:08:50.220 --> 01:08:53.220]   [SIDE CONVERSATION]
[01:08:53.220 --> 01:08:56.220]   [SIDE CONVERSATION]
[01:08:56.220 --> 01:08:59.220]   [SIDE CONVERSATION]
[01:08:59.220 --> 01:09:02.220]   [SIDE CONVERSATION]
[01:09:02.220 --> 01:09:05.220]   [SIDE CONVERSATION]
[01:09:05.220 --> 01:09:08.220]   [SIDE CONVERSATION]
[01:09:08.220 --> 01:09:11.220]   [SIDE CONVERSATION]
[01:09:11.220 --> 01:09:14.220]   [SIDE CONVERSATION]
[01:09:14.220 --> 01:09:17.220]   [SIDE CONVERSATION]
[01:09:17.220 --> 01:09:20.220]   [SIDE CONVERSATION]
[01:09:20.220 --> 01:09:23.220]   [SIDE CONVERSATION]
[01:09:23.220 --> 01:09:26.220]   [SIDE CONVERSATION]
[01:09:26.220 --> 01:09:29.220]   [SIDE CONVERSATION]
[01:09:29.220 --> 01:09:32.220]   [SIDE CONVERSATION]
[01:09:32.220 --> 01:09:35.220]   [SIDE CONVERSATION]
[01:09:35.220 --> 01:09:41.220]   [SIDE CONVERSATION]
[01:09:41.220 --> 01:09:45.220]   [SIDE CONVERSATION]
[01:09:45.220 --> 01:09:49.220]   [SIDE CONVERSATION]
[01:09:49.220 --> 01:09:53.220]   [SIDE CONVERSATION]
[01:09:53.220 --> 01:09:57.220]   [SIDE CONVERSATION]
[01:09:57.220 --> 01:10:01.220]   [SIDE CONVERSATION]
[01:10:01.220 --> 01:10:04.220]   [SIDE CONVERSATION]
[01:10:04.220 --> 01:10:08.220]   [SIDE CONVERSATION]
[01:10:08.220 --> 01:10:12.220]   [SIDE CONVERSATION]
[01:10:12.220 --> 01:10:16.220]   [SIDE CONVERSATION]
[01:10:16.220 --> 01:10:20.220]   [SIDE CONVERSATION]
[01:10:20.220 --> 01:10:24.220]   [SIDE CONVERSATION]
[01:10:24.220 --> 01:10:28.220]   [SIDE CONVERSATION]
[01:10:29.220 --> 01:10:32.220]   [SIDE CONVERSATION]
[01:10:32.220 --> 01:10:36.220]   [SIDE CONVERSATION]
[01:10:36.220 --> 01:10:40.220]   [SIDE CONVERSATION]
