
[00:00:00.000 --> 00:00:05.000]   forgiveness of our trespasses.
[00:23:05.000 --> 00:23:08.000]   to those who reside upon this earth because there is nothing else in heaven
[00:23:08.000 --> 00:23:13.000]   that functions as this conduit, as this channel.
[00:23:13.000 --> 00:23:17.000]   The elect of God, those who have been predestined before the foundation of this world,
[00:23:17.000 --> 00:23:21.000]   has been chosen for this task.
[00:23:21.000 --> 00:23:24.000]   As you guys go out into this world and you proclaim the gospel
[00:23:24.000 --> 00:23:29.000]   and you give to your fellow man the things that God has given to us,
[00:23:29.000 --> 00:23:33.000]   you have it. You proceed with the help of the triune God.
[00:23:33.000 --> 00:23:36.000]   You have access to the omnipotent.
[00:23:36.000 --> 00:23:40.000]   You have the wisdom of the omniscient because he who created the heavens and the earth
[00:23:40.000 --> 00:23:43.000]   dwells within you. You have the blessings of the Father.
[00:23:43.000 --> 00:23:45.000]   You have the life of the Son. You have the power of the Holy Spirit,
[00:23:45.000 --> 00:23:47.000]   the indwelling of the Spirit.
[00:23:47.000 --> 00:23:49.000]   So even if the gates of Hades come against you,
[00:23:49.000 --> 00:23:54.000]   you will prevail as you win one soul at a time to build the kingdom of God.
[00:23:54.000 --> 00:23:56.000]   Wherever you go as a heavenly conduit of truth and life,
[00:23:56.000 --> 00:24:01.000]   the triune God is with you even to the end of this world.
[00:24:01.000 --> 00:24:09.000]   And that is to strengthen you, strengthen you, to encourage you.
[00:24:09.000 --> 00:24:14.000]   One of my heroes is a man by the name of John G. Patton.
[00:24:14.000 --> 00:24:17.000]   Have you guys heard about this guy, John G. Patton?
[00:24:17.000 --> 00:24:20.000]   I say the G stands for gangster.
[00:24:20.000 --> 00:24:28.000]   He was a missionary, 1800s, who went to the New Hebrides Islands.
[00:24:28.000 --> 00:24:32.000]   The New Hebrides Islands were occupied by cannibals.
[00:24:32.000 --> 00:24:33.000]   It was occupied by cannibals.
[00:24:33.000 --> 00:24:37.000]   This guy went to evangelize and share the gospel with cannibals,
[00:24:37.000 --> 00:24:39.000]   people who tried to eat him.
[00:24:39.000 --> 00:24:41.000]   And the story is absolutely amazing.
[00:24:41.000 --> 00:24:45.000]   He wrote an autobiography about his life.
[00:24:45.000 --> 00:24:50.000]   And I want to read you a quote from him
[00:24:50.000 --> 00:24:56.000]   just to show you how in tune he was with heaven.
[00:24:56.000 --> 00:25:01.000]   You know, Pastor Peter preached for us last week.
[00:25:01.000 --> 00:25:03.000]   Oh, man, it was a powerful message.
[00:25:03.000 --> 00:25:07.000]   And really trying to shake us up from our apathy.
[00:25:07.000 --> 00:25:09.000]   I think it was the same message that he delivered to you.
[00:25:09.000 --> 00:25:12.000]   And so you guys know what I'm talking about.
[00:25:12.000 --> 00:25:15.000]   And I'm really thankful for your pastor because of his heart for you
[00:25:15.000 --> 00:25:18.000]   and his heart for our church as well.
[00:25:18.000 --> 00:25:20.000]   That we don't become apathetic,
[00:25:20.000 --> 00:25:23.000]   that we don't become complacent in this world.
[00:25:23.000 --> 00:25:26.000]   We become enticed by the comforts and the securities
[00:25:26.000 --> 00:25:30.000]   of what Southern California, Orange County has to offer.
[00:25:30.000 --> 00:25:33.000]   And I can see the burden upon his heart
[00:25:33.000 --> 00:25:36.000]   and the way in which he exhorted us.
[00:25:36.000 --> 00:25:40.000]   And it's a heart that I want to have.
[00:25:40.000 --> 00:25:44.000]   It's a heart that I would hope all of you guys would strive for.
[00:25:44.000 --> 00:25:46.000]   And one of the things when you read about the men of the past
[00:25:46.000 --> 00:25:50.000]   who have been faithful is that they really lived in between two worlds.
[00:25:50.000 --> 00:25:53.000]   And that is the way in which we need to live.
[00:25:53.000 --> 00:25:55.000]   Let me read for us this quote.
[00:25:55.000 --> 00:25:56.000]   It says this.
[00:25:56.000 --> 00:25:58.000]   This is John J. Patton.
[00:25:58.000 --> 00:26:04.000]   "But my enemies seldom slack in their hateful design against my life.
[00:26:04.000 --> 00:26:06.000]   However calm they're baffled for the moment,
[00:26:06.000 --> 00:26:08.000]   within a few days of the above events
[00:26:08.000 --> 00:26:12.000]   when natives in large numbers were assembled at my house,
[00:26:12.000 --> 00:26:16.000]   a man furiously rushed on me with his axe.
[00:26:16.000 --> 00:26:22.000]   But a Casarumene chief snatched the spade with which I had been working
[00:26:22.000 --> 00:26:26.000]   and dexterously defended me from instant death.
[00:26:26.000 --> 00:26:31.000]   Life in such circumstances led me to cling very near to the Lord Jesus.
[00:26:31.000 --> 00:26:36.000]   I knew not for one brief hour when or how an attack might be made.
[00:26:36.000 --> 00:26:41.000]   Yet with my trembling hand clasped in the hand once nailed on Calvary,
[00:26:41.000 --> 00:26:43.000]   and now swaying the scepter of the universe,
[00:26:43.000 --> 00:26:47.000]   calmness and peace and resignation abode in my soul.
[00:26:47.000 --> 00:26:52.000]   Next day a wild chief followed me about for four hours with his loaded musket."
[00:26:52.000 --> 00:26:56.000]   And so they traded with the white men, the natives here, so they had guns.
[00:26:56.000 --> 00:27:00.000]   "A wild chief followed me about four hours with his loaded musket.
[00:27:00.000 --> 00:27:04.000]   And though often directed toward me, God restrained his hand.
[00:27:04.000 --> 00:27:08.000]   I spoke kindly to him and attended to my work as if he had not been there,
[00:27:08.000 --> 00:27:11.000]   fully persuaded that my God had placed me there
[00:27:11.000 --> 00:27:14.000]   and would protect me till my allotted task was finished.
[00:27:14.000 --> 00:27:17.000]   Looking up in unceasing prayer to our dear Lord Jesus,
[00:27:17.000 --> 00:27:22.000]   I left all in his hand and felt immortal till my work was done.
[00:27:22.000 --> 00:27:25.000]   Trials and hairbreadth escapes strengthened my faith
[00:27:25.000 --> 00:27:28.000]   and seemed only to nerve me for more to follow.
[00:27:28.000 --> 00:27:31.000]   And they did tread swiftly upon each other's heels.
[00:27:31.000 --> 00:27:35.000]   Without that abiding consciousness of the presence and the power of my dear Lord and Savior,
[00:27:35.000 --> 00:27:38.000]   nothing else in all the world could have preserved me
[00:27:38.000 --> 00:27:42.000]   from losing my reason and perishing miserably.
[00:27:42.000 --> 00:27:48.000]   His words, 'Alo, I am with you always, even unto the end of the world,'
[00:27:48.000 --> 00:27:53.000]   became to me so real that it would not have startled me to behold him,
[00:27:53.000 --> 00:27:59.000]   as Stephen did, gazing down upon the sea."
[00:27:59.000 --> 00:28:03.000]   He was a man who kept one eye on heaven and one eye on earth.
[00:28:03.000 --> 00:28:06.000]   He sought to bring the message of life
[00:28:06.000 --> 00:28:10.000]   to people who were literally steeped in death, murder, and cannibalism.
[00:28:10.000 --> 00:28:13.000]   And in so doing, he rested upon the sovereignty of God,
[00:28:13.000 --> 00:28:16.000]   the God who resided in heaven.
[00:28:16.000 --> 00:28:21.000]   Every single Christian, every single Christian, lives in between two worlds
[00:28:21.000 --> 00:28:26.000]   so that he has access to the blessings of one as he lives in the other.
[00:28:26.000 --> 00:28:29.000]   May you be a people who rest upon these blessings
[00:28:29.000 --> 00:28:33.000]   as you channel truth and life to those who are perishing upon this earth.
[00:28:33.000 --> 00:28:37.000]   Until the final day, when in the fullness of time,
[00:28:37.000 --> 00:28:40.000]   when God will unite all things in heaven and on earth,
[00:28:40.000 --> 00:28:43.000]   unto the praise of his name,
[00:28:43.000 --> 00:28:47.000]   may we be faithful in anticipation of that final day.
[00:28:47.000 --> 00:28:49.000]   Let us pray.
[00:28:49.000 --> 00:28:57.480]   [BLANK_AUDIO]

