
[00:00:00.000 --> 00:00:04.000]   (Pause)
[00:17:47.640 --> 00:17:50.400]   will now be united with Christ in his new life.
[00:17:50.400 --> 00:17:55.960]   See, he says not only will be united with him in life,
[00:17:55.960 --> 00:17:58.600]   he says it's in Christ we will be united.
[00:17:58.600 --> 00:18:01.400]   1 John 5, 11 to 12, it says,
[00:18:01.400 --> 00:18:03.840]   this is the testimony that God has given us eternal life.
[00:18:03.840 --> 00:18:07.800]   And this life is in his son, whoever has son has life,
[00:18:07.800 --> 00:18:10.440]   and whoever does not have the son does not have life.
[00:18:10.440 --> 00:18:14.120]   You know, back in college, I was taught how to evangelize
[00:18:14.120 --> 00:18:15.040]   and at the end, you know,
[00:18:15.040 --> 00:18:16.360]   how do you give assurance of salvation?
[00:18:16.360 --> 00:18:17.680]   This is one of the things that they taught us.
[00:18:17.680 --> 00:18:20.240]   We'd come to this passage and we would say,
[00:18:20.240 --> 00:18:24.040]   you know, this is Jesus and this is life.
[00:18:24.040 --> 00:18:28.040]   And the Bible says that the life is in Jesus.
[00:18:28.040 --> 00:18:30.880]   So when I give you Jesus,
[00:18:30.880 --> 00:18:32.760]   and then they would take the Bible,
[00:18:32.760 --> 00:18:34.680]   say, what did you get?
[00:18:34.680 --> 00:18:36.560]   They'll say the Bible, no, pay attention.
[00:18:36.560 --> 00:18:39.320]   This is Jesus, right?
[00:18:39.320 --> 00:18:41.080]   And this is life.
[00:18:41.080 --> 00:18:42.440]   When I give you this, what did you get?
[00:18:42.440 --> 00:18:43.280]   Jesus.
[00:18:43.280 --> 00:18:44.480]   What did you get with Jesus?
[00:18:44.480 --> 00:18:46.120]   Life.
[00:18:46.120 --> 00:18:46.960]   Good.
[00:18:46.960 --> 00:18:52.040]   See, that's what he means in 1 John 5, 11 and 12.
[00:18:52.040 --> 00:18:53.480]   He said, this life is in Christ.
[00:18:53.480 --> 00:18:55.840]   Jesus said, I am the way and I am the truth
[00:18:55.840 --> 00:18:57.960]   and I am the life.
[00:18:57.960 --> 00:19:02.520]   So a life of a Christian is a pursuit of this life.
[00:19:02.520 --> 00:19:05.840]   And this pursuit of this life is a pursuit of Christ.
[00:19:06.600 --> 00:19:10.160]   And that's exactly what Jesus meant to his disciples.
[00:19:10.160 --> 00:19:12.640]   You know, in the book of John,
[00:19:12.640 --> 00:19:14.240]   there's seven I am statements.
[00:19:14.240 --> 00:19:16.920]   The last I am statement that he gives to his disciples
[00:19:16.920 --> 00:19:18.920]   as he is leaving to go to the cross,
[00:19:18.920 --> 00:19:22.360]   he says, I am the true vine.
[00:19:22.360 --> 00:19:25.720]   Turn your Bibles with me to John chapter 15.
[00:19:25.720 --> 00:19:26.680]   I'm not gonna read all of it,
[00:19:26.680 --> 00:19:30.000]   but a portion of John chapter 15, one through 11.
[00:19:30.000 --> 00:19:35.200]   A lot of times we read that passage as an encouragement
[00:19:35.200 --> 00:19:37.960]   to do something to bear fruit.
[00:19:37.960 --> 00:19:40.080]   And I'm not saying that it isn't,
[00:19:40.080 --> 00:19:43.720]   because every indicative, every theological truth
[00:19:43.720 --> 00:19:46.400]   leads us to the practice of that truth.
[00:19:46.400 --> 00:19:49.080]   But typically when we look at this passage,
[00:19:49.080 --> 00:19:52.040]   we look at this passage as like, you know, Christians,
[00:19:52.040 --> 00:19:53.560]   you know, you need to do a better job.
[00:19:53.560 --> 00:19:55.720]   If you wanna bear fruit, you need to remain in Christ.
[00:19:55.720 --> 00:19:58.640]   But I want you to look at this passage in the context
[00:19:58.640 --> 00:20:01.200]   that Jesus isn't necessarily describing
[00:20:01.200 --> 00:20:03.320]   a mature and an immature Christian.
[00:20:04.440 --> 00:20:06.880]   He's describing a Christian and a non-Christian.
[00:20:06.880 --> 00:20:11.000]   In John chapter 15, one is that I am the true vine
[00:20:11.000 --> 00:20:12.320]   and my father is the vine dresser.
[00:20:12.320 --> 00:20:14.880]   Every branch of mine that does not bear fruit,
[00:20:14.880 --> 00:20:16.000]   he takes away.
[00:20:16.000 --> 00:20:17.560]   What does he mean by take away?
[00:20:17.560 --> 00:20:22.400]   I'm not gonna answer, just keep that in mind.
[00:20:22.400 --> 00:20:23.840]   What does he mean by take away?
[00:20:23.840 --> 00:20:26.600]   He takes away and every branch that does bear fruit,
[00:20:26.600 --> 00:20:29.240]   he prunes that it may bear more fruit.
[00:20:29.240 --> 00:20:32.360]   Already you are unclean because of the word,
[00:20:32.360 --> 00:20:33.840]   you are clean because of the word
[00:20:33.840 --> 00:20:34.680]   that I have spoken to you.
[00:20:34.680 --> 00:20:36.160]   Obeyed in me and I in you,
[00:20:36.160 --> 00:20:38.200]   as the branch cannot bear fruit by itself
[00:20:38.200 --> 00:20:39.280]   unless it abides in the vine,
[00:20:39.280 --> 00:20:41.760]   neither can you unless you abide in me.
[00:20:41.760 --> 00:20:44.240]   But jump with me to verse six.
[00:20:44.240 --> 00:20:45.920]   If anyone does not abide in me,
[00:20:45.920 --> 00:20:49.240]   he is thrown away like a branch and withers.
[00:20:49.240 --> 00:20:50.240]   Is that a Christian?
[00:20:50.240 --> 00:20:53.640]   Is that a Christian?
[00:20:53.640 --> 00:20:56.120]   Is that a lesser Christian who's not bearing fruit?
[00:20:56.120 --> 00:20:57.920]   He gets thrown away and gets burned?
[00:20:59.200 --> 00:21:03.160]   See, what he's describing is a Christian and a non-Christian.
[00:21:03.160 --> 00:21:07.120]   He's not describing a super Christian
[00:21:07.120 --> 00:21:08.360]   and a lesser of a Christian.
[00:21:08.360 --> 00:21:11.880]   He's describing a Christian who is abiding in Christ
[00:21:11.880 --> 00:21:13.200]   who is bearing fruit.
[00:21:13.200 --> 00:21:15.280]   And he's telling his disciples,
[00:21:15.280 --> 00:21:17.480]   up to this point, you've been abiding in me,
[00:21:17.480 --> 00:21:18.880]   you followed me.
[00:21:18.880 --> 00:21:20.760]   They're afraid because Jesus has said,
[00:21:20.760 --> 00:21:22.800]   where I'm going, you cannot come.
[00:21:22.800 --> 00:21:24.120]   Jesus said, no, I'm gonna go
[00:21:24.120 --> 00:21:25.360]   and the Holy Spirit's gonna come
[00:21:25.360 --> 00:21:27.080]   and he's going to further.
[00:21:27.920 --> 00:21:30.040]   He's gonna remind you of everything that I have said.
[00:21:30.040 --> 00:21:31.880]   And now he's going to empower you
[00:21:31.880 --> 00:21:33.680]   to do what I'm commanding you to do.
[00:21:33.680 --> 00:21:35.200]   But in that context, he says,
[00:21:35.200 --> 00:21:37.840]   you need to continue to remain in me.
[00:21:37.840 --> 00:21:39.680]   As you've been following me up to this point,
[00:21:39.680 --> 00:21:42.080]   as you've been depending on me up to this point,
[00:21:42.080 --> 00:21:43.880]   you need to continue this.
[00:21:43.880 --> 00:21:47.760]   And so he's describing a Christian versus a non-Christian.
[00:21:47.760 --> 00:21:51.200]   So in other words, what he is saying is,
[00:21:51.200 --> 00:21:54.520]   a Christian life, his justification, sanctification,
[00:21:54.520 --> 00:21:57.680]   glorification is a pursuit of Christ.
[00:21:57.680 --> 00:22:03.520]   It is a continual, ongoing pursuit of Christ.
[00:22:03.520 --> 00:22:05.000]   And the reason why we pursue him
[00:22:05.000 --> 00:22:07.080]   is because that's where we find life.
[00:22:07.080 --> 00:22:08.880]   That is the difference between a Christian
[00:22:08.880 --> 00:22:09.960]   and a non-Christian.
[00:22:09.960 --> 00:22:13.720]   A Christian is not somebody who comes to church,
[00:22:13.720 --> 00:22:16.960]   owns a Bible, attends Bible study and evangelizes.
[00:22:16.960 --> 00:22:19.960]   That is not a definition of a Christian.
[00:22:19.960 --> 00:22:24.560]   A Christian is someone who is born again into a new life.
[00:22:24.560 --> 00:22:27.960]   Now, does a genuine Christian evangelize?
[00:22:27.960 --> 00:22:28.800]   Absolutely.
[00:22:28.800 --> 00:22:30.160]   Does a genuine Christian read the Bible
[00:22:30.160 --> 00:22:31.000]   and do all that stuff?
[00:22:31.000 --> 00:22:31.840]   Absolutely.
[00:22:31.840 --> 00:22:36.840]   Those are the fruits that come from a genuine salvation.
[00:22:36.840 --> 00:22:38.840]   But the difference, the fundamental distinction
[00:22:38.840 --> 00:22:40.480]   between a Christian and non-Christian
[00:22:40.480 --> 00:22:43.040]   is, is he remaining in Christ?
[00:22:43.040 --> 00:22:48.080]   Is there a groaning for him that causes me,
[00:22:48.080 --> 00:22:50.120]   the hope that I have in him that causes me
[00:22:50.120 --> 00:22:53.080]   to make certain decisions and do this?
[00:22:53.080 --> 00:22:55.440]   See, not only do we have this hope in him,
[00:22:55.440 --> 00:22:56.600]   in verse nine and 10, it says,
[00:22:56.600 --> 00:22:58.800]   "We know that Christ being raised from the dead
[00:22:58.800 --> 00:22:59.920]   "will never die again.
[00:22:59.920 --> 00:23:01.600]   "Death no longer has dominion over him.
[00:23:01.600 --> 00:23:05.280]   "For death he died, he died to send ones for all."
[00:23:05.280 --> 00:23:07.480]   This is what happened.
[00:23:07.480 --> 00:23:09.480]   See, again, he's describing a Christian.
[00:23:09.480 --> 00:23:13.600]   Again, and let me make this clear.
[00:23:13.600 --> 00:23:17.560]   He's not describing everybody that goes to church.
[00:23:17.560 --> 00:23:20.600]   He's not describing everybody who confesses.
[00:23:20.600 --> 00:23:24.360]   He's describing every genuinely born again Christian.
[00:23:24.360 --> 00:23:28.640]   And this is why it doesn't lead to licentiousness.
[00:23:28.640 --> 00:23:32.760]   Because our hope is in Christ.
[00:23:32.760 --> 00:23:36.000]   And I want him more than anything else.
[00:23:36.000 --> 00:23:37.040]   That's why we come to church.
[00:23:37.040 --> 00:23:37.920]   That's why we give.
[00:23:37.920 --> 00:23:38.960]   That's why we sacrifice.
[00:23:38.960 --> 00:23:43.960]   Because those are avenues in which we remain in Christ.
[00:23:46.760 --> 00:23:48.200]   But here's the other thing.
[00:23:48.200 --> 00:23:50.560]   Up to this point, he's been talking about indicative.
[00:23:50.560 --> 00:23:52.200]   He's describing a Christian.
[00:23:52.200 --> 00:23:55.240]   So starting from verse 11, he's gonna switch gears
[00:23:55.240 --> 00:23:56.960]   and start talking about the imperatives.
[00:23:56.960 --> 00:23:58.640]   Therefore, this is what you need to do.
[00:23:58.640 --> 00:23:59.480]   Verse 11.
[00:23:59.480 --> 00:24:03.920]   So, again, so is just another word for therefore,
[00:24:03.920 --> 00:24:07.120]   you also must consider yourself dead to sin
[00:24:07.120 --> 00:24:09.400]   and alive to God in Christ Jesus.
[00:24:09.400 --> 00:24:11.920]   That word consider is the first imperative
[00:24:11.920 --> 00:24:14.240]   in six and a half chapters of the gospel.
[00:24:15.240 --> 00:24:16.760]   Up to this point, Paul never said,
[00:24:16.760 --> 00:24:19.040]   you need to do this and you need to do that.
[00:24:19.040 --> 00:24:22.280]   He's just been laying out what the gospel is
[00:24:22.280 --> 00:24:24.800]   and who a genuine Christian is.
[00:24:24.800 --> 00:24:27.840]   And so now he says, if that's who you are,
[00:24:27.840 --> 00:24:30.600]   consider yourself dead to sin.
[00:24:30.600 --> 00:24:34.160]   Now, when we read a passage like this,
[00:24:34.160 --> 00:24:36.960]   one of the first things that we may think is,
[00:24:36.960 --> 00:24:38.840]   is he talking about wishful thinking?
[00:24:38.840 --> 00:24:42.160]   Is he just talking about positive thinking,
[00:24:42.160 --> 00:24:44.160]   like go to yoga and go up to the woods
[00:24:44.160 --> 00:24:45.920]   and say, dead to sin, dead to sin,
[00:24:45.920 --> 00:24:47.800]   dead to sin, dead to sin, dead to sin.
[00:24:47.800 --> 00:24:52.160]   Enlightenment, right?
[00:24:52.160 --> 00:24:53.880]   Is he just talking about positive thinking,
[00:24:53.880 --> 00:24:56.320]   deny the reality?
[00:24:56.320 --> 00:24:58.200]   Those of you who are dead to sin,
[00:24:58.200 --> 00:25:00.360]   that if you have these temptations
[00:25:00.360 --> 00:25:01.880]   and you're struggling and wrestling,
[00:25:01.880 --> 00:25:03.280]   that you're not a Christian,
[00:25:03.280 --> 00:25:07.320]   we're all guilty, right?
[00:25:07.320 --> 00:25:08.200]   Is that what Paul's talking?
[00:25:08.200 --> 00:25:10.120]   Is he talking about just wishful thinking,
[00:25:10.120 --> 00:25:11.800]   but not dealing with reality?
[00:25:11.800 --> 00:25:13.200]   Absolutely not.
[00:25:13.200 --> 00:25:14.880]   So we need to know first and foremost,
[00:25:14.880 --> 00:25:17.880]   what does he mean then to consider?
[00:25:17.880 --> 00:25:19.600]   There's two meanings.
[00:25:19.600 --> 00:25:23.760]   The first again, is about what we think, right?
[00:25:23.760 --> 00:25:25.880]   To recognize that we have been freed
[00:25:25.880 --> 00:25:27.840]   from the bondage of sin.
[00:25:27.840 --> 00:25:29.640]   Even though there are times that you may not feel
[00:25:29.640 --> 00:25:30.920]   like you've been freed.
[00:25:30.920 --> 00:25:33.280]   I'm pretty sure there are people in this room
[00:25:33.280 --> 00:25:35.800]   that may not feel that way, right?
[00:25:35.800 --> 00:25:38.560]   You genuinely believe, genuinely repent it,
[00:25:38.560 --> 00:25:40.040]   genuinely desire holiness,
[00:25:40.040 --> 00:25:43.600]   but there are times when we feel like we're bound,
[00:25:43.600 --> 00:25:46.560]   because we may not be successful for whatever the reason.
[00:25:46.560 --> 00:25:52.400]   He is saying that every genuine Christian
[00:25:52.400 --> 00:25:56.160]   no longer has the reign of sin in your life.
[00:25:56.160 --> 00:25:58.800]   And let me describe what that means, okay?
[00:25:58.800 --> 00:26:01.680]   It's kind of like an example I can give you
[00:26:01.680 --> 00:26:06.080]   is a man who was convicted of murder,
[00:26:06.080 --> 00:26:09.920]   double life sentence, there is no possibility of parole.
[00:26:09.920 --> 00:26:12.000]   Somebody has compassion, say, you know, I'm gonna pay,
[00:26:12.000 --> 00:26:14.800]   I'm gonna take his place, and that's the gospel message.
[00:26:14.800 --> 00:26:16.720]   And then now the door has been opened.
[00:26:16.720 --> 00:26:20.280]   Door has been opened, he's no longer bound.
[00:26:20.280 --> 00:26:22.200]   He can live in the jail.
[00:26:22.200 --> 00:26:23.760]   He can eat their cafeteria food,
[00:26:23.760 --> 00:26:26.440]   he can use the library, he can use the infirmary,
[00:26:26.440 --> 00:26:28.800]   but he's no longer bound by that jail.
[00:26:28.800 --> 00:26:32.840]   He's no longer bound because his guilt has been taken away.
[00:26:32.840 --> 00:26:35.120]   So anytime he wants to leave, he can leave.
[00:26:35.120 --> 00:26:38.480]   And so the first description when he says,
[00:26:38.480 --> 00:26:40.520]   consider yourself debt to sin,
[00:26:40.520 --> 00:26:42.960]   is describing and making sure that every Christian
[00:26:42.960 --> 00:26:46.000]   understands that you no longer are bound
[00:26:46.000 --> 00:26:47.480]   because of your sins.
[00:26:47.480 --> 00:26:52.120]   Let me give you another way for us to understand this.
[00:26:52.120 --> 00:26:57.440]   Author of Hebrews says that the door
[00:26:57.440 --> 00:26:59.320]   to our heavenly Father has been opened.
[00:26:59.320 --> 00:27:01.160]   There is no longer any barrier.
[00:27:01.160 --> 00:27:06.160]   And so he invites us to come to this throne of grace
[00:27:06.160 --> 00:27:08.680]   with confidence because Jesus, our mediator,
[00:27:08.680 --> 00:27:11.800]   is constantly mediating on our behalf as our high priest.
[00:27:11.800 --> 00:27:15.320]   So there no longer is any barrier because of this.
[00:27:15.320 --> 00:27:18.600]   So the difference between a non-Christian who sins
[00:27:18.600 --> 00:27:22.360]   and a Christian who sins is a non-Christian is bound.
[00:27:22.360 --> 00:27:26.240]   He has no answer for his sins.
[00:27:26.240 --> 00:27:30.000]   So every careless word that comes out of his mouth
[00:27:30.000 --> 00:27:33.080]   is under the condemnation of God.
[00:27:33.080 --> 00:27:36.880]   Every lustful thought, every slander,
[00:27:36.880 --> 00:27:40.120]   every mistake that he's made that is considered sin,
[00:27:40.120 --> 00:27:42.280]   there's a weight of sin and judgment
[00:27:42.280 --> 00:27:45.040]   that is having dominion over his life
[00:27:45.040 --> 00:27:46.680]   'cause there's no answer for sin.
[00:27:46.680 --> 00:27:51.240]   But for a Christian, we repent.
[00:27:51.240 --> 00:27:52.920]   And again, when we say we repent,
[00:27:52.920 --> 00:27:55.280]   we're not just saying like we say these magical words.
[00:27:55.280 --> 00:27:57.400]   We genuinely come to the Lord and we repent.
[00:27:57.400 --> 00:27:59.280]   And when we repent, we're forgiven.
[00:27:59.280 --> 00:28:02.980]   And that weight of that sin is lifted
[00:28:02.980 --> 00:28:05.400]   every time we repent.
[00:28:05.400 --> 00:28:07.560]   And there is no barrier between us and God.
[00:28:07.560 --> 00:28:10.640]   So therefore, we have access to this God.
[00:28:10.640 --> 00:28:12.560]   And that's why Paul is able to say,
[00:28:12.560 --> 00:28:16.560]   I can do all things through him who gives me strength.
[00:28:16.560 --> 00:28:18.720]   He's not saying I can do it.
[00:28:18.720 --> 00:28:21.320]   He said now, because the door has been opened
[00:28:21.320 --> 00:28:25.520]   and I'm no longer bound by the guilt of my sins,
[00:28:25.520 --> 00:28:29.800]   I have access to the heavenly Father that I can pray.
[00:28:29.800 --> 00:28:30.920]   And so I have strength.
[00:28:30.920 --> 00:28:34.260]   That's why Paul says I'm laboring and sacrificing
[00:28:34.260 --> 00:28:37.640]   with the strength that works so powerfully within me.
[00:28:37.640 --> 00:28:41.020]   In other words, not by his own strength,
[00:28:41.020 --> 00:28:42.680]   but by the strength that God gives him
[00:28:42.680 --> 00:28:44.540]   because of what Christ has done.
[00:28:44.540 --> 00:28:46.860]   So the first and foremost, he's saying,
[00:28:46.860 --> 00:28:49.660]   if you don't recognize that this door has been opened,
[00:28:49.660 --> 00:28:50.980]   you can live the rest of your life saying,
[00:28:50.980 --> 00:28:52.440]   woe is me, woe is me.
[00:28:52.440 --> 00:28:54.760]   But that is not you.
[00:28:54.760 --> 00:28:57.940]   If you are genuinely a child of God
[00:28:57.940 --> 00:28:59.260]   and genuinely repented
[00:28:59.360 --> 00:29:01.320]   and genuinely was crucified
[00:29:01.320 --> 00:29:04.460]   and was resurrected along with Christ,
[00:29:04.460 --> 00:29:08.160]   there's nothing between you and God.
[00:29:08.160 --> 00:29:12.920]   And that's why the second part of this is possible.
[00:29:12.920 --> 00:29:17.440]   The second part of the word consider is to actively pursue,
[00:29:17.440 --> 00:29:19.800]   like it says in Ephesians 4.1.
[00:29:19.800 --> 00:29:24.480]   After three chapters of explaining what Jesus did for us,
[00:29:24.480 --> 00:29:26.600]   basically it's the gospel message.
[00:29:26.600 --> 00:29:27.680]   In chapter 4.1, it says,
[00:29:27.680 --> 00:29:29.580]   therefore I, prisoner of the Lord,
[00:29:29.580 --> 00:29:32.580]   urge you to walk in a manner worthy of the calling
[00:29:32.580 --> 00:29:34.480]   to which you have been called.
[00:29:34.480 --> 00:29:38.700]   There's nothing more frustrating
[00:29:38.700 --> 00:29:41.480]   than if somebody above you tells you to do something
[00:29:41.480 --> 00:29:43.480]   that you just are not capable of doing.
[00:29:43.480 --> 00:29:49.740]   If running a marathon was the qualification of a pastor,
[00:29:49.740 --> 00:29:52.820]   I would not be here.
[00:29:52.820 --> 00:29:56.100]   So you guys who love playing basketball,
[00:29:56.100 --> 00:29:57.580]   it's like, you know what, you have to be the center.
[00:29:57.580 --> 00:30:00.240]   We're putting a new team together and you're five feet three
[00:30:00.240 --> 00:30:02.240]   and they say, you have to be the center.
[00:30:02.240 --> 00:30:04.420]   You may love basketball,
[00:30:04.420 --> 00:30:06.420]   but you're not gonna love that basketball.
[00:30:06.420 --> 00:30:08.660]   And every time you can't get a rebound
[00:30:08.660 --> 00:30:09.700]   and somebody towers over you,
[00:30:09.700 --> 00:30:12.060]   I mean, there's nothing more frustrating
[00:30:12.060 --> 00:30:14.140]   than to be commanded to do something
[00:30:14.140 --> 00:30:15.940]   that you are not capable of doing.
[00:30:15.940 --> 00:30:19.500]   A lot of people look at their Christian life and says,
[00:30:19.500 --> 00:30:22.220]   well, God is telling me to do things that I cannot do.
[00:30:22.220 --> 00:30:26.220]   The gospel tells us, no, that is not the case.
[00:30:27.300 --> 00:30:30.020]   He says, there is no barrier between us and God.
[00:30:30.020 --> 00:30:31.660]   And what gives us the strength?
[00:30:31.660 --> 00:30:33.540]   Repentance.
[00:30:33.540 --> 00:30:36.940]   'Cause every time we genuinely confess our sins,
[00:30:36.940 --> 00:30:38.860]   there's no barrier between us and God.
[00:30:38.860 --> 00:30:42.740]   So therefore, if you abide in him,
[00:30:42.740 --> 00:30:44.340]   in my words, abide in you, he says,
[00:30:44.340 --> 00:30:46.220]   ask whatever you wish, it shall be done for you.
[00:30:46.220 --> 00:30:47.700]   The power is not within you.
[00:30:47.700 --> 00:30:50.860]   And that's why he says, well, I'm ready to go.
[00:30:50.860 --> 00:30:53.140]   I'm ready to preach the gospel.
[00:30:53.140 --> 00:30:56.300]   In the book of Acts chapter one, he says, do not go.
[00:30:56.300 --> 00:30:58.660]   The Holy Spirit's gonna come upon you.
[00:30:58.660 --> 00:31:01.500]   And when he comes with power,
[00:31:01.500 --> 00:31:04.460]   then you will be my witnesses in Jerusalem,
[00:31:04.460 --> 00:31:06.700]   Judea, Samaria, to the remotest part of the world.
[00:31:06.700 --> 00:31:08.380]   He didn't take this burden.
[00:31:08.380 --> 00:31:10.580]   It's like, these guys just utterly failed.
[00:31:10.580 --> 00:31:12.660]   They couldn't stand with Christ going to the cross,
[00:31:12.660 --> 00:31:14.540]   and then you're gonna give that burden to them
[00:31:14.540 --> 00:31:16.880]   to get the gospel to the remotest part of the world?
[00:31:16.880 --> 00:31:17.980]   Are you kidding me?
[00:31:17.980 --> 00:31:21.140]   Peter's gonna fail again and rebuke publicly
[00:31:21.140 --> 00:31:22.720]   in the book of Galatians.
[00:31:22.720 --> 00:31:25.660]   2,000 years, we're still talking about him.
[00:31:25.660 --> 00:31:26.740]   His utter failure.
[00:31:26.740 --> 00:31:29.340]   You're gonna give that responsibility to him?
[00:31:29.340 --> 00:31:33.140]   Yes, because it wasn't Peter.
[00:31:33.140 --> 00:31:35.100]   It was the Holy Spirit.
[00:31:35.100 --> 00:31:36.940]   It wasn't Paul.
[00:31:36.940 --> 00:31:38.300]   It was him.
[00:31:38.300 --> 00:31:40.060]   And so the first and foremost, he says,
[00:31:40.060 --> 00:31:42.940]   recognize who you are.
[00:31:42.940 --> 00:31:44.740]   And if you recognize who you are,
[00:31:44.740 --> 00:31:46.860]   the second part of this consider
[00:31:46.860 --> 00:31:50.380]   is now live up to the calling you have been given.
[00:31:50.380 --> 00:31:52.140]   Live up to it.
[00:31:52.140 --> 00:31:55.140]   (audience laughing)
[00:31:55.140 --> 00:32:00.220]   Right now, as you guys know, the Olympics are going on.
[00:32:00.220 --> 00:32:01.260]   And it's always interesting.
[00:32:01.260 --> 00:32:04.420]   It's not because, I'm not interested in all these sports.
[00:32:04.420 --> 00:32:08.940]   There's basketball, maybe swimming, if I know who they are.
[00:32:08.940 --> 00:32:13.940]   Archery is a few things that I have interest in.
[00:32:13.940 --> 00:32:16.440]   I know nothing about archery, but just for some reason,
[00:32:16.440 --> 00:32:18.160]   it's just interesting to me.
[00:32:18.160 --> 00:32:20.340]   But every single one of these athletes
[00:32:20.340 --> 00:32:22.260]   have been preparing for years and years.
[00:32:22.260 --> 00:32:24.780]   Some of them, since they were little children.
[00:32:24.780 --> 00:32:27.340]   20 years.
[00:32:27.340 --> 00:32:29.540]   That's all they've been doing.
[00:32:29.540 --> 00:32:30.900]   So they're coming up on the stage,
[00:32:30.900 --> 00:32:32.980]   and I look at that and said, wow.
[00:32:32.980 --> 00:32:34.700]   We celebrate their achievement,
[00:32:34.700 --> 00:32:37.180]   but at the same time, it's like, there's no way.
[00:32:37.180 --> 00:32:39.620]   I could practice all my life,
[00:32:39.620 --> 00:32:41.420]   and I would never be able to do that.
[00:32:41.420 --> 00:32:45.300]   But when I look at the Paralympics,
[00:32:45.300 --> 00:32:47.860]   I look at these Paralympics, and I'm thinking, wow.
[00:32:47.860 --> 00:32:50.020]   Look at what they're doing,
[00:32:50.020 --> 00:32:53.060]   even though the deficiencies they have physically,
[00:32:53.060 --> 00:32:56.060]   that it's much more of a challenge.
[00:32:56.060 --> 00:32:58.180]   20 years ago, a lot of these things that are happening now
[00:32:58.180 --> 00:33:00.020]   could not have been done.
[00:33:00.020 --> 00:33:01.740]   But because of the advance of technology,
[00:33:01.740 --> 00:33:04.280]   you have these prosthetics where people can actually run,
[00:33:04.280 --> 00:33:06.340]   like in full speed.
[00:33:06.340 --> 00:33:08.660]   They can actually swim, they can put limbs on.
[00:33:08.660 --> 00:33:10.500]   And recently, I've been reading articles
[00:33:10.500 --> 00:33:13.180]   where the prosthetics at the tip,
[00:33:13.180 --> 00:33:14.940]   they can actually sense things.
[00:33:14.940 --> 00:33:16.880]   So they can distinguish when they pick up something,
[00:33:16.880 --> 00:33:18.740]   that if it's an apple or a rock.
[00:33:18.740 --> 00:33:21.080]   That's incredible, what they're able to do now.
[00:33:21.080 --> 00:33:24.260]   And so when I look at that, I say, wow.
[00:33:24.260 --> 00:33:26.940]   These guys are, again, physically challenged,
[00:33:26.940 --> 00:33:28.940]   but look what they're doing with that.
[00:33:28.940 --> 00:33:33.980]   Imagine if the new technology comes,
[00:33:33.980 --> 00:33:35.380]   and they're able to get these,
[00:33:35.380 --> 00:33:36.900]   this person who didn't have legs,
[00:33:36.900 --> 00:33:38.580]   and all of a sudden, because of technology,
[00:33:38.580 --> 00:33:40.380]   somebody gives them these legs,
[00:33:40.380 --> 00:33:42.500]   and you find them three years later,
[00:33:42.500 --> 00:33:45.220]   and you say, what did you do with that?
[00:33:45.220 --> 00:33:46.100]   Well, I sat on the couch,
[00:33:46.100 --> 00:33:48.140]   I'm able to go to the bathroom by myself.
[00:33:48.940 --> 00:33:50.780]   And that in itself is great.
[00:33:50.780 --> 00:33:53.140]   But these guys are taking these legs,
[00:33:53.140 --> 00:33:57.020]   and they're maximizing what they can do with these.
[00:33:57.020 --> 00:33:58.660]   Like, they're running, they're competing,
[00:33:58.660 --> 00:34:01.180]   they're swimming, they're hiking.
[00:34:01.180 --> 00:34:04.740]   They're doing more than what average person does,
[00:34:04.740 --> 00:34:06.420]   you know, who are whole.
[00:34:06.420 --> 00:34:09.820]   I mean, even eyes, I mean, more and more people,
[00:34:09.820 --> 00:34:12.340]   like I said, people who have gone blind.
[00:34:12.340 --> 00:34:14.580]   You know, there's some studies where some of these guys
[00:34:14.580 --> 00:34:17.340]   who are not 100% blind are starting to gain sight again
[00:34:17.340 --> 00:34:19.500]   because of, again, technology.
[00:34:19.500 --> 00:34:22.340]   Imagine if you found somebody who's blind,
[00:34:22.340 --> 00:34:23.180]   you know, all their life,
[00:34:23.180 --> 00:34:25.420]   and all of a sudden, they gain sight,
[00:34:25.420 --> 00:34:26.780]   and then you find them three years later,
[00:34:26.780 --> 00:34:29.700]   what did you do with those new eyes?
[00:34:29.700 --> 00:34:32.220]   I watched every single movie on Netflix.
[00:34:32.220 --> 00:34:34.420]   High five.
[00:34:34.420 --> 00:34:38.900]   That's what you did with your eyes?
[00:34:38.900 --> 00:34:41.940]   That's what you did with your legs?
[00:34:41.940 --> 00:34:45.460]   That's what you did with your arms?
[00:34:45.460 --> 00:34:47.140]   See, what Paul is saying,
[00:34:47.140 --> 00:34:50.260]   every Christian didn't just get new legs and new eyes.
[00:34:50.260 --> 00:34:52.580]   We've been given a new heart.
[00:34:52.580 --> 00:34:54.860]   We've been given new brains.
[00:34:54.860 --> 00:34:59.300]   We have been crucified, and our old self died,
[00:34:59.300 --> 00:35:02.300]   and we've been given new life.
[00:35:02.300 --> 00:35:04.340]   And so now he says, "Live!"
[00:35:04.340 --> 00:35:08.500]   That's what he means by consider yourself dead to sin,
[00:35:08.500 --> 00:35:12.780]   and alive to Christ, to pursue this life.
[00:35:12.780 --> 00:35:15.900]   See, the frustration comes
[00:35:15.900 --> 00:35:17.860]   when we passively receive this life,
[00:35:17.860 --> 00:35:18.700]   and say, "Oh, I couldn't see,
