
[00:00:00.000 --> 00:00:02.340]   (no audio)
[00:18:51.700 --> 00:18:53.820]   And so it's like really gross.
[00:18:53.820 --> 00:18:55.760]   (laughing)
[00:18:55.760 --> 00:18:56.600]   Right, so.
[00:18:56.600 --> 00:18:58.400]   - 'Cause we have 60 kids in nurseries,
[00:18:58.400 --> 00:19:02.060]   so when you infect one, right, it spreads like wildfire.
[00:19:02.060 --> 00:19:06.400]   - So the two caregiver rule.
[00:19:06.400 --> 00:19:11.000]   This is a very important one, okay?
[00:19:11.000 --> 00:19:15.120]   It means that at least two qualified adult caregivers
[00:19:15.120 --> 00:19:18.120]   should be present in each classroom,
[00:19:18.120 --> 00:19:21.560]   studying, whatever it may be, at all times.
[00:19:21.560 --> 00:19:26.560]   And this consists of one male and one female,
[00:19:26.560 --> 00:19:28.860]   or two females.
[00:19:28.860 --> 00:19:33.240]   It is never two males, ever.
[00:19:33.240 --> 00:19:35.020]   It is never one male.
[00:19:35.020 --> 00:19:37.680]   It is always two people,
[00:19:37.680 --> 00:19:41.720]   one male and one female, or two females, okay?
[00:19:41.720 --> 00:19:45.600]   And we consider adults to be the age of 18 or older.
[00:19:45.600 --> 00:19:47.640]   Just putting it out there.
[00:19:47.640 --> 00:19:49.720]   Okay, and this is just because,
[00:19:49.720 --> 00:19:54.520]   just as a caregiver for your own protection too,
[00:19:54.520 --> 00:19:57.680]   that you're not ever alone with a child,
[00:19:57.680 --> 00:20:01.480]   and you're giving someone ever reason to question
[00:20:01.480 --> 00:20:03.400]   why you're alone with that child.
[00:20:03.400 --> 00:20:08.400]   So especially if you are babysitting in someone's home,
[00:20:08.400 --> 00:20:10.420]   always have two people.
[00:20:10.420 --> 00:20:13.640]   If you're in Sprouts or Seeds or wherever you are,
[00:20:13.640 --> 00:20:15.200]   even if you're just playing with them,
[00:20:15.200 --> 00:20:17.800]   don't be alone with them.
[00:20:17.800 --> 00:20:19.800]   Just always have someone else with you
[00:20:19.800 --> 00:20:23.800]   so that they are, it's just safer that way, okay?
[00:20:23.800 --> 00:20:26.760]   And then you always have backup too.
[00:20:26.760 --> 00:20:27.960]   If you don't know what you're doing,
[00:20:27.960 --> 00:20:29.520]   or something emergency happens,
[00:20:29.520 --> 00:20:30.760]   there's two of you.
[00:20:30.760 --> 00:20:34.060]   So one can save the child, one can go or get help,
[00:20:34.060 --> 00:20:35.640]   or whatever it may be.
[00:20:35.640 --> 00:20:38.060]   It's just safer in pairs, okay?
[00:20:38.060 --> 00:20:44.320]   So this also has to do with the restroom procedures,
[00:20:44.320 --> 00:20:46.880]   because these are also important.
[00:20:46.880 --> 00:20:51.640]   So for Seeds, diaper change must be authorized by a parent.
[00:20:51.640 --> 00:20:56.360]   So if a parent did not say that you could change
[00:20:56.360 --> 00:20:58.680]   their diaper, you cannot change their diaper
[00:20:58.680 --> 00:21:01.000]   without asking their approval,
[00:21:01.000 --> 00:21:02.960]   or if I'm saying, "Here, change my diaper,"
[00:21:02.960 --> 00:21:06.040]   you need to make sure that they've authorized it.
[00:21:06.040 --> 00:21:09.480]   For Sprouts, for older kids that are kindergarten age
[00:21:09.480 --> 00:21:12.000]   or older, who can go to the bathroom,
[00:21:12.000 --> 00:21:13.280]   they can go to the bathroom by themselves,
[00:21:13.280 --> 00:21:16.200]   they can pull their pants down and all that stuff,
[00:21:16.200 --> 00:21:21.200]   it's one female or one male can take them,
[00:21:21.200 --> 00:21:27.720]   but you have to leave the door open, like a jar.
[00:21:27.720 --> 00:21:30.040]   So you can't just be in the bathroom closed,
[00:21:30.040 --> 00:21:32.560]   so if you're in this bathroom, the door has to be ajar.
[00:21:32.560 --> 00:21:34.520]   They can go and use the restroom by themselves,
[00:21:34.520 --> 00:21:36.800]   but the door has to be slightly open.
[00:21:36.800 --> 00:21:39.680]   And again, you have to have authorization from the parent.
[00:21:39.680 --> 00:21:44.080]   If they need help, you have to have gotten permission
[00:21:44.080 --> 00:21:45.320]   in order to do that.
[00:21:45.320 --> 00:21:47.360]   And if they didn't, then you need to go and call
[00:21:47.360 --> 00:21:50.200]   that parent to come and assist their child.
[00:21:50.200 --> 00:21:52.320]   Youth group students, again, do not take children
[00:21:52.320 --> 00:21:53.160]   to the bathroom.
[00:21:53.160 --> 00:21:59.520]   Okay, so use of seeds and sprouts bathrooms.
[00:21:59.520 --> 00:22:03.240]   In each area, there are seeds and sprouts,
[00:22:03.240 --> 00:22:05.120]   there are bathrooms specifically designated
[00:22:05.120 --> 00:22:06.480]   for seeds and sprouts.
[00:22:06.480 --> 00:22:08.840]   Male volunteers and teachers are not allowed
[00:22:08.840 --> 00:22:12.960]   to use those bathrooms while sew is in session.
[00:22:12.960 --> 00:22:14.920]   So I think there's like signs around here,
[00:22:14.920 --> 00:22:16.840]   so it's between like 10 or something.
[00:22:16.840 --> 00:22:19.800]   No male volunteers are allowed to be using that.
[00:22:19.800 --> 00:22:23.640]   You have to use the sanctuary or upstairs bathroom,
[00:22:23.640 --> 00:22:25.400]   upstairs cafe bathrooms.
[00:22:25.400 --> 00:22:28.680]   And non-sprouts adults, so like even me as a parent,
[00:22:28.680 --> 00:22:31.400]   are should not be using those bathrooms, okay?
[00:22:31.400 --> 00:22:33.320]   So if you see a parent wandering in here,
[00:22:33.320 --> 00:22:36.960]   like, "Oh, I gotta go pee," just run to the other bathroom.
[00:22:36.960 --> 00:22:39.200]   They're not allowed to be in here.
[00:22:44.520 --> 00:22:47.680]   All right, so I'll go ahead and go over the accidents
[00:22:47.680 --> 00:22:49.280]   that might happen within the ministry.
[00:22:49.280 --> 00:22:51.880]   Sometimes there's injuries that occur.
[00:22:51.880 --> 00:22:54.120]   Some kids get a little bit feisty
[00:22:54.120 --> 00:22:55.520]   and they start running around
[00:22:55.520 --> 00:22:57.680]   and then they bump into each other's heads, right,
[00:22:57.680 --> 00:22:59.320]   when they're running around the room.
[00:22:59.320 --> 00:23:00.520]   This has happened, you know?
[00:23:00.520 --> 00:23:03.800]   And so any type of injury, no matter how minor or major,
[00:23:03.800 --> 00:23:05.200]   we always wanna make sure that we have
[00:23:05.200 --> 00:23:06.960]   an injury report form filled out, okay?
[00:23:06.960 --> 00:23:08.040]   You'll find that in the binder,
[00:23:08.040 --> 00:23:09.120]   and if you don't know where that is,
[00:23:09.120 --> 00:23:11.600]   you can go ahead and talk to the lead within your ministry
[00:23:11.600 --> 00:23:13.960]   and they'll go ahead and direct you to that form.
[00:23:13.960 --> 00:23:16.840]   We always make sure that we fill that out in its entirety
[00:23:16.840 --> 00:23:19.440]   and we give a copy to the parents
[00:23:19.440 --> 00:23:21.040]   so that they're aware of the situation
[00:23:21.040 --> 00:23:23.280]   and we keep a copy for our ministry.
[00:23:23.280 --> 00:23:24.760]   And we do that because you never know
[00:23:24.760 --> 00:23:27.920]   what could happen from two people colliding, right?
[00:23:27.920 --> 00:23:29.960]   I've had kids collide and then it turns into
[00:23:29.960 --> 00:23:32.640]   a worse issue later, or I think I've actually,
[00:23:32.640 --> 00:23:34.840]   I'm not gonna spout this, I think, like,
[00:23:34.840 --> 00:23:36.400]   you know, I've had a couple of cousins
[00:23:36.400 --> 00:23:38.280]   collide and one of their teeth, like,
[00:23:38.280 --> 00:23:40.160]   hit their other cousin's head, right?
[00:23:40.160 --> 00:23:42.920]   And it was, like, really, like, frightening for me, you know?
[00:23:42.920 --> 00:23:45.160]   So you wanna make sure that you let the parents know
[00:23:45.160 --> 00:23:48.360]   right away, right, because they need to go and seek treatment
[00:23:48.360 --> 00:23:50.280]   for their kid's mouth or for the head, you know,
[00:23:50.280 --> 00:23:51.580]   if it got hit really hard.
[00:23:51.580 --> 00:23:55.080]   Even with, you know, little things, minor things,
[00:23:55.080 --> 00:23:56.600]   you don't know if it'll grow to bigger things,
[00:23:56.600 --> 00:23:57.440]   so it's really important.
[00:23:57.440 --> 00:23:59.080]   Now, if they have, like, this little cut
[00:23:59.080 --> 00:24:00.640]   and they're like, oh, I need a band-aid,
[00:24:00.640 --> 00:24:03.400]   I don't want you to write a major report for that, okay?
[00:24:03.400 --> 00:24:04.920]   They might have already had that, right?
[00:24:04.920 --> 00:24:07.800]   But if it's something that happens within our ministry,
[00:24:07.800 --> 00:24:10.000]   and, you know, we need to let the parents know
[00:24:10.000 --> 00:24:11.800]   and just make sure that parents know.
[00:24:12.520 --> 00:24:16.680]   Okay, so going over first aid and emergency procedures.
[00:24:16.680 --> 00:24:20.720]   So if you don't know where the first aid kit is located,
[00:24:20.720 --> 00:24:22.680]   make sure that you ask your ministry leader,
[00:24:22.680 --> 00:24:25.800]   because each ministry has it somewhere within that room
[00:24:25.800 --> 00:24:27.800]   or within that space, okay?
[00:24:27.800 --> 00:24:30.640]   It's important for cuts, or not for cuts, I'm sorry,
[00:24:30.640 --> 00:24:33.520]   for cuts or anything that requires any type of first aid,
[00:24:33.520 --> 00:24:34.880]   so make sure that you know where that is.
[00:24:34.880 --> 00:24:37.800]   And we also have emergency procedures posted
[00:24:37.800 --> 00:24:41.000]   in every, I think at the front of every ministry area.
[00:24:41.000 --> 00:24:42.160]   So if you don't know where that is,
[00:24:42.160 --> 00:24:43.160]   make sure you take a look at that
[00:24:43.160 --> 00:24:45.240]   'cause it really varies yourself with that as well.
[00:24:45.240 --> 00:24:47.800]   And we have an AED, actually, for people who don't know,
[00:24:47.800 --> 00:24:49.240]   we have a defibrillator.
[00:24:49.240 --> 00:24:50.920]   In our church, it is actually,
[00:24:50.920 --> 00:24:53.200]   right when you enter into the main sanctuary
[00:24:53.200 --> 00:24:55.600]   and you see that table right in front of you,
[00:24:55.600 --> 00:24:57.200]   and you turn and there's that drink stand
[00:24:57.200 --> 00:24:58.760]   that everyone puts their drinks on, right?
[00:24:58.760 --> 00:25:00.360]   The AED is right next to it.
[00:25:00.360 --> 00:25:02.600]   It's a big, it's not big, actually.
[00:25:02.600 --> 00:25:03.880]   - Yeah, it's like a red box. - It's kind of a small,
[00:25:03.880 --> 00:25:05.040]   red box. - Yeah.
[00:25:05.040 --> 00:25:06.920]   - And so if you ever need to use a,
[00:25:06.920 --> 00:25:08.440]   you need the AED defibrillator,
[00:25:08.440 --> 00:25:10.960]   you can go ahead and get it off that wall there, okay?
[00:25:11.960 --> 00:25:14.400]   All right, so church boundaries.
[00:25:14.400 --> 00:25:16.160]   So in general, just so you guys kind of know
[00:25:16.160 --> 00:25:19.320]   where kids are not, where kids are and are not allowed,
[00:25:19.320 --> 00:25:21.920]   they are not supposed to be in the kitchen at any time
[00:25:21.920 --> 00:25:23.000]   because we've got knives in there,
[00:25:23.000 --> 00:25:25.120]   we've got sharp objects that we don't want them
[00:25:25.120 --> 00:25:26.680]   interacting with, right?
[00:25:26.680 --> 00:25:28.560]   Kitchen or alleyways because we don't have
[00:25:28.560 --> 00:25:30.040]   a lot of visibility there, right?
[00:25:30.040 --> 00:25:32.200]   They should not be in those areas.
[00:25:32.200 --> 00:25:33.760]   We want them to stay within the building
[00:25:33.760 --> 00:25:36.480]   as much as possible, whether that's at the cafe area
[00:25:36.480 --> 00:25:39.160]   or any type of general area where there's a lot of people,
[00:25:39.160 --> 00:25:41.040]   especially you, right, as a parent,
[00:25:41.040 --> 00:25:42.360]   if you are a parent, right?
[00:25:42.360 --> 00:25:44.160]   It's important that you're there.
[00:25:44.160 --> 00:25:46.160]   It's really important that if you are going to have
[00:25:46.160 --> 00:25:48.600]   your child's piece of playground that you make sure
[00:25:48.600 --> 00:25:50.360]   that they are being monitored by an adult,
[00:25:50.360 --> 00:25:52.560]   whether it's a friend of yours or yourself,
[00:25:52.560 --> 00:25:54.800]   make sure that you have an adult there with them.
[00:25:54.800 --> 00:25:58.000]   We absolutely do not want children riding in vehicles,
[00:25:58.000 --> 00:26:00.400]   and we'll get to that in a bit with the field trips
[00:26:00.400 --> 00:26:02.920]   and the liability form in the next slide,
[00:26:02.920 --> 00:26:05.520]   but make sure that they are not riding in your vehicles,
[00:26:05.520 --> 00:26:07.880]   especially alone with you, okay?
[00:26:07.880 --> 00:26:09.960]   And make sure that you're staying in view of people
[00:26:09.960 --> 00:26:12.380]   at all times, like you said, that two-caregiver rule,
[00:26:12.380 --> 00:26:14.680]   that should be something that if I know that I'm alone
[00:26:14.680 --> 00:26:16.800]   with the child, even though I've been at church forever,
[00:26:16.800 --> 00:26:18.640]   right, I want the accountability just like I want
[00:26:18.640 --> 00:26:20.240]   the accountability for everybody else, right?
[00:26:20.240 --> 00:26:22.640]   So first thing I do is I make sure that another person
[00:26:22.640 --> 00:26:24.320]   knows I'm either in there or with me,
[00:26:24.320 --> 00:26:26.320]   and then I notify the parent, hey, I'm here with your child,
[00:26:26.320 --> 00:26:27.760]   'cause there are times when I come into a room
[00:26:27.760 --> 00:26:30.720]   and I'm like, oh my gosh, you're young, right?
[00:26:30.720 --> 00:26:32.560]   And where's your mom, right?
[00:26:32.560 --> 00:26:35.920]   And that happens 'cause the kids love open space, right?
[00:26:35.920 --> 00:26:37.520]   They will go, right, where they can go,
[00:26:37.520 --> 00:26:40.960]   so make sure that you always stay in view of people
[00:26:40.960 --> 00:26:42.440]   and don't leave them unattended,
[00:26:42.440 --> 00:26:44.480]   make sure you notify their parent right away.
[00:26:44.480 --> 00:26:47.420]   - Yeah, and right now, it's like there's a lot of kids
[00:26:47.420 --> 00:26:49.200]   like running throughout the building,
[00:26:49.200 --> 00:26:51.960]   sometimes they're out like right in front of here,
[00:26:51.960 --> 00:26:54.700]   so if you just happen to see a kid by themselves,
[00:26:54.700 --> 00:26:58.420]   like just as a, you know, helpful adult around,
[00:26:58.420 --> 00:27:01.480]   like ask them where their mom and dad are
[00:27:01.480 --> 00:27:03.440]   and try to return them back to their parents,
[00:27:03.440 --> 00:27:06.320]   because ultimately, it is responsibility of parents
[00:27:06.320 --> 00:27:08.400]   to keep track of their children,
[00:27:08.400 --> 00:27:13.040]   but the reality is that they are oftentimes
[00:27:13.040 --> 00:27:16.480]   running around by themselves, but they shouldn't be, okay?
[00:27:16.480 --> 00:27:21.480]   So just, I guess, help them out, help us out, and yes.
[00:27:21.480 --> 00:27:24.600]   - Well, for the seats, kids, I've asked the parents
[00:27:24.600 --> 00:27:26.200]   to leave their stickers on their back
[00:27:26.200 --> 00:27:27.440]   so that when they're running around,
[00:27:27.440 --> 00:27:29.160]   if you don't know who their parent is,
[00:27:29.160 --> 00:27:31.000]   their phone numbers are on that sticker,
[00:27:31.000 --> 00:27:32.400]   so you can text the parents.
[00:27:32.400 --> 00:27:33.240]   - Okay.
[00:27:33.240 --> 00:27:38.080]   All right, and last thing I wanna go over is field trips,
[00:27:38.080 --> 00:27:39.560]   all right, in general libraries.
[00:27:39.560 --> 00:27:42.320]   So field trip waivers must be completed
[00:27:42.320 --> 00:27:46.320]   before any child or student, specifically,
[00:27:46.320 --> 00:27:48.920]   are allowed to go on any type of excursions,
[00:27:48.920 --> 00:27:50.800]   and especially if they're gonna ride in any vehicle,
[00:27:50.800 --> 00:27:53.360]   stand in place for a trip to them, okay?
[00:27:53.360 --> 00:27:55.680]   We definitely ask for you to use caution
[00:27:55.680 --> 00:27:57.040]   when giving students car rides.
[00:27:57.040 --> 00:27:58.800]   I always say make sure you have authorization
[00:27:58.800 --> 00:28:00.600]   and permission from their parent, you know,
[00:28:00.600 --> 00:28:02.200]   or at least notify them, let them know,
[00:28:02.200 --> 00:28:03.800]   hey, these people are riding in my car.
[00:28:03.800 --> 00:28:04.800]   I think it's really important
[00:28:04.800 --> 00:28:07.400]   that we keep ourselves accountable to that.
[00:28:07.400 --> 00:28:10.680]   Do not, try your best, I know emergencies arise, right,
[00:28:10.680 --> 00:28:14.120]   try your best not to be alone with a student in the car,
[00:28:14.120 --> 00:28:16.840]   because that is something that we don't want to have happen.
[00:28:16.840 --> 00:28:18.240]   Like, instead of the caregiver role,
[00:28:18.240 --> 00:28:20.280]   make sure that we have that accountability,
[00:28:20.280 --> 00:28:21.440]   or if you're the driver,
[00:28:21.440 --> 00:28:23.400]   that there's a group of students with you,
[00:28:23.400 --> 00:28:26.080]   there's none of this one-on-one interaction, okay?
[00:28:26.080 --> 00:28:28.640]   And then also make sure that, you know,
[00:28:28.640 --> 00:28:30.080]   one thing that we require is that
[00:28:30.080 --> 00:28:32.200]   you prove liability for an assignment
[00:28:32.200 --> 00:28:36.680]   and we want them to not be put on these rides.
[00:28:36.680 --> 00:28:41.120]   - Okay, so character and conduct.
[00:28:41.120 --> 00:28:44.320]   All right, so we kind of touched upon this in the beginning,
[00:28:44.320 --> 00:28:47.000]   but, so there's that kind of character and conduct,
[00:28:47.000 --> 00:28:49.080]   but there's also just, you know,
[00:28:49.080 --> 00:28:50.880]   general conduct with kids.
[00:28:50.880 --> 00:28:53.120]   All teachers and volunteers
[00:28:53.120 --> 00:28:54.960]   must wear their name tags while serving.
[00:28:54.960 --> 00:28:58.000]   So this is within, like, on church on Sunday.
[00:28:58.000 --> 00:29:02.960]   You'll notice that this SO ministry has orange name tags,
[00:29:02.960 --> 00:29:06.080]   and that's to identify that they are serving,
[00:29:06.080 --> 00:29:07.720]   that they're supposed to be there.
[00:29:07.720 --> 00:29:10.920]   And so if you are serving within one of these ministries,
[00:29:10.920 --> 00:29:14.600]   you should always be wearing your name tag while you're there.
[00:29:14.600 --> 00:29:18.160]   Use appropriate language and discipline with the kids.
[00:29:18.160 --> 00:29:20.320]   Again, the whole point of this is
[00:29:20.320 --> 00:29:22.840]   we are trying to show, you know,
[00:29:22.840 --> 00:29:23.920]   the love of Christ to them,
[00:29:23.920 --> 00:29:26.880]   and, you know, there are times when they are not behaving,
[00:29:26.880 --> 00:29:29.840]   they are, you know, sinful children to,
[00:29:29.840 --> 00:29:30.920]   you know, they're gonna be fighting,
[00:29:30.920 --> 00:29:33.160]   or they might talk back, they might do something,
[00:29:33.160 --> 00:29:34.680]   you know, whatever it may be.
[00:29:34.680 --> 00:29:37.680]   But we're not yelling or speaking harshly,
[00:29:37.680 --> 00:29:39.360]   and just really explain to them
[00:29:39.360 --> 00:29:40.800]   why they're being disciplined,
[00:29:40.800 --> 00:29:43.800]   exemplify forgiveness, and to just pray for them,
[00:29:43.800 --> 00:29:46.760]   and really use that as a ministry opportunity to,
[00:29:46.760 --> 00:29:48.360]   you know, just talk about, you know,
[00:29:48.360 --> 00:29:50.360]   and then, like, sharing the gospel with them.
[00:29:50.360 --> 00:29:52.160]   There's many times when, you know,
[00:29:52.160 --> 00:29:54.080]   my kids have, like, done something,
[00:29:54.080 --> 00:29:56.320]   fighting over something really lame,
[00:29:56.320 --> 00:29:58.040]   and then, you know, it's a really good time
[00:29:58.040 --> 00:30:00.200]   just to talk about, you know,
[00:30:00.200 --> 00:30:03.920]   selfishness, or pride, or just, you know,
[00:30:03.920 --> 00:30:07.240]   loving someone else, and those kinds of things.
[00:30:07.240 --> 00:30:12.200]   So, really use those things as opportunities for ministry.
[00:30:12.200 --> 00:30:15.560]   And, again, like, just politely ask all non-volunteers
[00:30:15.560 --> 00:30:17.920]   to remain outside of ministry rooms during service,
[00:30:17.920 --> 00:30:20.880]   which a lot of times happens that people wanna come in
[00:30:20.880 --> 00:30:22.120]   because they're like, "The cute kids,
[00:30:22.120 --> 00:30:23.040]   "and I wanna play with them,
[00:30:23.040 --> 00:30:25.800]   "and I know that one," or, you know, whatever it may be,
[00:30:25.800 --> 00:30:29.160]   but they are not allowed in these rooms
[00:30:29.160 --> 00:30:31.680]   while the ministry is happening,
[00:30:31.680 --> 00:30:33.160]   or going on during service,
[00:30:33.160 --> 00:30:36.320]   so just tell them they can go play with them.
[00:30:36.320 --> 00:30:40.160]   Okay.
[00:30:40.160 --> 00:30:46.280]   All right, so I wanna go into the thing
[00:30:46.280 --> 00:30:49.280]   that no one ever wants to talk about, but it happens,
[00:30:49.280 --> 00:30:52.040]   and I'm just going to preface this with the fact that,
[00:30:52.040 --> 00:30:55.440]   you know, all of the things that we have in place
[00:30:55.440 --> 00:30:57.480]   are in place for a purpose,
[00:30:57.480 --> 00:31:01.760]   but we cannot perfectly protect our kids from everything.
[00:31:01.760 --> 00:31:03.640]   They will get hurt, and things will happen.
[00:31:03.640 --> 00:31:05.960]   That's all under God's sovereignty,
[00:31:05.960 --> 00:31:08.440]   but all the things that do happen that are bad,
[00:31:08.440 --> 00:31:11.200]   and evil in the world, they are a result of our sin,
[00:31:11.200 --> 00:31:12.720]   and they do happen.
[00:31:12.720 --> 00:31:14.880]   I really like this quote.
[00:31:14.880 --> 00:31:16.480]   I was reading this book called
[00:31:16.480 --> 00:31:19.640]   On Guard, Preventing and Responding to Child Abuse at Church,
[00:31:19.640 --> 00:31:22.560]   and it's by Pastor Deepan Briju
[00:31:22.560 --> 00:31:24.560]   from Capitol Hill Baptist Church.
[00:31:25.560 --> 00:31:26.720]   And it says, "Keep in mind, though,
[00:31:26.720 --> 00:31:29.440]   "that no adult can perfectly protect their kids
[00:31:29.440 --> 00:31:31.320]   "from evil in this fallen world.
[00:31:31.320 --> 00:31:33.200]   "Even homeschoolers who spend the majority
[00:31:33.200 --> 00:31:34.640]   "of their time at home or at church
[00:31:34.640 --> 00:31:37.400]   "can't avoid the long tentacles of the internet
[00:31:37.400 --> 00:31:39.920]   "and social media that reach beyond the walls of our homes
[00:31:39.920 --> 00:31:41.600]   "and into our children's lives.
[00:31:41.600 --> 00:31:44.280]   "The sad reality is that no matter how careful we are,
[00:31:44.280 --> 00:31:46.480]   "some of our children will be abused,
[00:31:46.480 --> 00:31:49.160]   "and it will likely happen right under our noses.
[00:31:49.160 --> 00:31:50.920]   "We'll be fooled, and we'll hate the fact
[00:31:50.920 --> 00:31:53.280]   "that we were not with it enough to catch the perpetrator
[00:31:53.280 --> 00:31:55.360]   "before he or she did harm.
[00:31:55.360 --> 00:31:58.720]   "A realistic perspective on life in a fallen world
[00:31:58.720 --> 00:32:01.520]   "is not that we can perfectly protect our kids,
[00:32:01.520 --> 00:32:03.800]   "but that with wisdom, carefulness, and planning,
[00:32:03.800 --> 00:32:05.600]   "we can reduce the risk."
[00:32:05.600 --> 00:32:08.160]   And that's really why if we're doing what we can,
[00:32:08.160 --> 00:32:09.880]   we can put all these procedures in place,
[00:32:09.880 --> 00:32:13.920]   we can put policies, but if things will happen
[00:32:13.920 --> 00:32:15.960]   that are out of our control.
[00:32:15.960 --> 00:32:19.360]   And so, just putting that out there
[00:32:19.360 --> 00:32:22.600]   before we talk about inappropriate relationships
[00:32:22.600 --> 00:32:25.880]   with students, it does happen,
[00:32:25.880 --> 00:32:28.280]   and in our church history, this has happened.
[00:32:28.280 --> 00:32:32.240]   And so, I'm putting it out there
[00:32:32.240 --> 00:32:34.720]   that if you are working with youth group kids,
[00:32:34.720 --> 00:32:39.240]   if they're older and you can have deeper conversations
[00:32:39.240 --> 00:32:42.600]   with them, but they are still children, they are not adults,
[00:32:42.600 --> 00:32:45.680]   and your goal as a person who's working in ministry
[00:32:45.680 --> 00:32:49.000]   with them is not to create this deep relationship
[00:32:49.000 --> 00:32:51.560]   with them necessarily, but it is to be a minister,
[00:32:51.560 --> 00:32:54.040]   to be a teacher, to be a light to them,
[00:32:54.040 --> 00:32:57.840]   and so not to abuse that kind of relationship.
[00:32:57.840 --> 00:33:02.400]   And again, the whole thing is not to be alone
[00:33:02.400 --> 00:33:06.240]   and create environments where possible things could happen,
[00:33:06.240 --> 00:33:07.720]   so have another adult with you,
[00:33:07.720 --> 00:33:10.880]   just like as Jennai said, as an accountability.
[00:33:10.880 --> 00:33:15.660]   Always touch appropriately.
[00:33:15.660 --> 00:33:19.720]   Teachers, volunteers may not request a child
[00:33:19.720 --> 00:33:23.440]   to remove garments other than jackets or shoes.
[00:33:23.440 --> 00:33:28.000]   Physical affection such as hugs or kisses
[00:33:28.000 --> 00:33:29.920]   do not solicit them from the kids,
[00:33:29.920 --> 00:33:31.840]   even though a lot of times we do,
[00:33:31.840 --> 00:33:34.280]   because we may know their family or their parents,
[00:33:34.280 --> 00:33:36.480]   but within the context of the church setting
[00:33:36.480 --> 00:33:41.100]   and you are caring for them as a caregiver in the church,
[00:33:41.100 --> 00:33:44.440]   refrain from doing that, 'cause then other workers
[00:33:44.440 --> 00:33:45.960]   or people, volunteers, might think,
[00:33:45.960 --> 00:33:47.560]   "Hey, that's okay, I can do that too,
[00:33:47.560 --> 00:33:50.680]   "because she's doing that or he's doing that,"
[00:33:50.680 --> 00:33:53.380]   but really, within this context,
[00:33:53.380 --> 00:33:56.480]   we should not be doing that, so don't ask for hugs,
[00:33:56.480 --> 00:33:59.700]   don't ask for kisses, and don't ask for them
[00:33:59.700 --> 00:34:02.160]   to sit in your lap unless they just,
[00:34:02.160 --> 00:34:03.520]   really don't want to be back into you
[00:34:03.520 --> 00:34:04.400]   and they sit on your lap,
[00:34:04.400 --> 00:34:06.240]   which is a lot of times that happens.
[00:34:06.240 --> 00:34:10.000]   Or even piggyback rides or wrestling,
[00:34:10.000 --> 00:34:13.560]   which is what a lot of kids seven through 10,
[00:34:13.560 --> 00:34:15.000]   "No wrestling, I'm gonna wrestle you,"
[00:34:15.000 --> 00:34:18.000]   but just refrain from those kinds of things,
[00:34:18.000 --> 00:34:20.480]   if possible, within this environment.
[00:34:20.480 --> 00:34:23.200]   If you think it's okay and their parent's okay
[00:34:23.200 --> 00:34:26.560]   with that outside of it, then sure, okay,
[00:34:26.560 --> 00:34:28.200]   be cautious and wise about it,
[00:34:28.200 --> 00:34:31.160]   but within this context of church,
[00:34:31.160 --> 00:34:32.600]   just refrain from that.
[00:34:32.600 --> 00:34:38.480]   Reporting inappropriate behavior or abuse.
[00:34:38.480 --> 00:34:43.480]   So, on one end, it's possible that as caregivers,
[00:34:43.560 --> 00:34:48.360]   people can possibly use that role in that relationship,
[00:34:48.360 --> 00:34:50.000]   and I'm saying, we're putting this out there
[00:34:50.000 --> 00:34:52.520]   'cause it happens, if you Google search,
[00:34:52.520 --> 00:34:56.680]   like right now, church molestation,
[00:34:56.680 --> 00:34:59.280]   there's a bunch that just happened.
[00:34:59.280 --> 00:35:02.000]   Saddleback Church, it just happened a few months ago,
[00:35:02.000 --> 00:35:04.720]   like their youth pastors and volunteers.
[00:35:04.720 --> 00:35:09.240]   The same procedures that I based all the things on
[00:35:09.240 --> 00:35:12.040]   for Rock Harbor, a pastor there
[00:35:12.040 --> 00:35:14.720]   was molesting children at that church,
[00:35:14.720 --> 00:35:16.520]   and that was like five years ago.
[00:35:16.520 --> 00:35:21.440]   It happens, and it's sad, and that's the reality of it,
[00:35:21.440 --> 00:35:23.640]   and so I'm just putting that out there
[00:35:23.640 --> 00:35:25.960]   because it does happen, and I don't want us
[00:35:25.960 --> 00:35:27.640]   to be unaware and caught off guard
[00:35:27.640 --> 00:35:29.200]   'cause a lot of people prey on the fact
[00:35:29.200 --> 00:35:31.680]   that in churches, we trust one another,
[00:35:31.680 --> 00:35:34.040]   and that's a good thing, but we don't,
[00:35:34.040 --> 00:35:37.840]   yeah, I don't know, you don't understand, okay.
[00:35:37.840 --> 00:35:41.280]   So, I don't want it to be like we create this environment
[00:35:41.280 --> 00:35:43.840]   where we're like always questioning, oh, this could be,
[00:35:43.840 --> 00:35:45.560]   but I don't want us to be naive either
[00:35:45.560 --> 00:35:47.920]   that it doesn't happen, okay,
[00:35:47.920 --> 00:35:52.000]   and that it could happen not only from other people,
[00:35:52.000 --> 00:35:54.800]   but even in people's own homes, okay.
[00:35:54.800 --> 00:35:59.800]   So, any behavior that indicates that a child
[00:35:59.800 --> 00:36:04.800]   may be inclined, or any, that someone is inclined
[00:36:04.800 --> 00:36:07.880]   to abuse, molest, or otherwise harm any child,
[00:36:07.880 --> 00:36:10.520]   especially when under the care of the church,
[00:36:10.520 --> 00:36:13.600]   or any indication that a child under the care of the church
