
[00:00:00.000 --> 00:00:07.360]   Good morning again, everybody.
[00:22:46.280 --> 00:22:52.480]   At this time, early on in the ministry, there was so much conjecture about who Jesus was.
[00:22:52.480 --> 00:22:55.780]   Later on even, even later on into the story of Jesus' ministry,
[00:22:55.780 --> 00:22:58.780]   Jesus asked the disciples directly, "Who do you say I am?"
[00:22:58.780 --> 00:23:01.580]   Do you guys remember what they said?
[00:23:01.580 --> 00:23:05.080]   "Well, some say you're Elijah. Some say you're Jeremiah.
[00:23:05.080 --> 00:23:07.580]   Some say you—you gotta be one of them prophets, right?"
[00:23:07.580 --> 00:23:13.980]   People were not sure, but this leper got it.
[00:23:13.980 --> 00:23:20.280]   "You're clearly one cent of God, powerful enough to meet my need."
[00:23:20.280 --> 00:23:21.780]   Yes?
[00:23:21.780 --> 00:23:28.080]   When we're talking about this specific scenario, what you see is a man convinced,
[00:23:28.080 --> 00:23:29.980]   "This man deserves worship."
[00:23:29.980 --> 00:23:36.780]   Because in this culture, if the individual was a Jew, you dare not worship any man.
[00:23:36.780 --> 00:23:38.280]   Right?
[00:23:38.280 --> 00:23:41.680]   And amongst the Jewish culture, if you were receiving worship,
[00:23:41.680 --> 00:23:45.980]   you would be like, "No, no, no, no, no, don't do that, because I'm just a man."
[00:23:45.980 --> 00:23:48.980]   And if you tried to give worship to something that was not God,
[00:23:48.980 --> 00:23:52.680]   you would be like, "Blasphemy! Stone him!"
[00:23:52.680 --> 00:23:58.680]   What this man is doing is recognizing the power of Christ.
[00:23:58.680 --> 00:24:01.480]   And so he goes down to worship.
[00:24:01.480 --> 00:24:04.680]   For every single one of us, what a challenge.
[00:24:04.680 --> 00:24:12.580]   The faith of the leper to recognize the power of Christ and to humble himself in worship.
[00:24:12.580 --> 00:24:15.080]   Spurgeon says it in an intense way,
[00:24:15.080 --> 00:24:21.280]   "Those who call on Jesus but do not worship him are more diseased than this leper."
[00:24:21.280 --> 00:24:28.680]   In his commentary, he says, "If you're so blind that you can't see Jesus, you are blinder than the leper."
[00:24:28.680 --> 00:24:34.080]   "If you cannot give worship, you must have not seen the light of Christ," is what he's saying.
[00:24:34.080 --> 00:24:35.980]   I want to address this a little bit.
[00:24:35.980 --> 00:24:45.080]   We here at Berean, we focus in on the sufficiency, the authority, and the power of the Word of God,
[00:24:45.080 --> 00:24:49.780]   which is appropriate and true to what the Word proclaims.
[00:24:49.780 --> 00:24:54.680]   So rightly so, we must be people of the Word.
[00:24:54.680 --> 00:24:55.980]   That's good.
[00:24:55.980 --> 00:25:03.680]   The danger for people who are focused on the Bible is to make their spiritual experience one of intellect.
[00:25:03.680 --> 00:25:07.980]   And so sometimes I hear people talking about their Christian faith from before,
[00:25:07.980 --> 00:25:14.380]   in terms of God's work in their life, and in terms of currently, how they are growing, all in terms of intellect.
[00:25:14.380 --> 00:25:16.380]   You know, I became Christian earlier on.
[00:25:16.380 --> 00:25:19.180]   My parents taught me the gospel and taught me the Bible.
[00:25:19.180 --> 00:25:21.680]   And then there were some times when I studied it.
[00:25:21.680 --> 00:25:25.380]   And then at a certain point, I started taking it more seriously and studying it more.
[00:25:25.380 --> 00:25:27.280]   And then I got it.
[00:25:27.280 --> 00:25:28.880]   It started clicking.
[00:25:28.880 --> 00:25:31.580]   Now, some of us talk like that, and that's okay.
[00:25:31.580 --> 00:25:35.180]   I'm not saying you can't talk like that, because I understand what you're saying.
[00:25:35.180 --> 00:25:37.180]   You learn progressively the truths of God.
[00:25:37.180 --> 00:25:44.480]   It convicted you, and at a certain point, it started hitting you more, and it started to make sense, and you understood.
[00:25:44.480 --> 00:25:47.180]   Good.
[00:25:47.180 --> 00:25:53.380]   But if you stop there, there's something missing that is shown in this passage.
[00:25:53.380 --> 00:26:00.180]   Because if you ask the leper, if you ask the leper, "Did you get it?"
[00:26:00.180 --> 00:26:04.280]   He's going to say, "I saw Christ, and I surrendered."
[00:26:04.280 --> 00:26:09.980]   There is a huge difference when saying, "You know, at a certain point in my Christian walk, it started clicking.
[00:26:09.980 --> 00:26:16.280]   I understood," versus, "You know, I saw Jesus, and I prostrated myself.
[00:26:16.280 --> 00:26:20.280]   I put myself at his mercy, because he is God."
[00:26:20.280 --> 00:26:27.080]   And there's an experiential part of Christianity where you come before the Lord, and you do this.
[00:26:27.080 --> 00:26:31.780]   "Lord, I fall on my knees, because you're God.
[00:26:31.780 --> 00:26:33.780]   I don't just get you.
[00:26:33.780 --> 00:26:35.280]   You see what I'm saying?
[00:26:35.280 --> 00:26:38.280]   It doesn't just simply click.
[00:26:38.280 --> 00:26:40.980]   I have surrendered to you."
[00:26:40.980 --> 00:26:49.980]   This man expressed—this is like, if you're talking about a movie scene, some dramatic scene where there's a whole crowd watching,
[00:26:49.980 --> 00:26:52.580]   this is one incredible scene.
[00:26:52.580 --> 00:26:56.380]   How expressive—I'm guessing, I'm just assuming, reading between the lines here,
[00:26:56.380 --> 00:26:58.880]   that certain people are like, "What is this fool doing?
[00:26:58.880 --> 00:27:00.880]   Get away!"
[00:27:00.880 --> 00:27:02.580]   "We're trying to listen to his teaching.
[00:27:02.580 --> 00:27:04.380]   Get away from us!"
[00:27:04.380 --> 00:27:08.180]   And he bows before the Lord and says, "Lord!"
[00:27:08.180 --> 00:27:10.880]   It only records—I wish it recorded more.
[00:27:10.880 --> 00:27:17.680]   It only records one phrase, but I'm pretty sure this leopard said more.
[00:27:17.680 --> 00:27:19.980]   "Lord, you have power.
[00:27:19.980 --> 00:27:23.080]   You have authority."
[00:27:23.080 --> 00:27:27.280]   And in that way, I challenge every single one of us.
[00:27:27.280 --> 00:27:35.580]   Our faith is a reactionary worship to seeing the great light of Christ.
[00:27:35.580 --> 00:27:40.280]   And clearly, what we learn from this leopard is he saw the power of Jesus.
[00:27:40.280 --> 00:27:48.380]   Let's move on to the next point, which is, the leopard believed the power of Christ, and he asked for cleansing.
[00:27:48.380 --> 00:27:53.580]   This leopard believed upon the power of Christ, and he asked for cleansing.
[00:27:53.580 --> 00:28:00.080]   Scripture again in Matthew says, "When he came down from the mountain, a large crowd followed him,
[00:28:00.080 --> 00:28:05.680]   and a leopard came to him and bowed down before him and said, 'Lord, if you are willing, you can make me clean.'"
[00:28:05.680 --> 00:28:08.080]   Now, in this passage, it's not even a question.
[00:28:08.080 --> 00:28:10.280]   It's just a statement.
[00:28:10.280 --> 00:28:14.780]   "I believe you are so powerful, it's not even an issue.
[00:28:14.780 --> 00:28:17.280]   The only question is, will you?"
[00:28:17.280 --> 00:28:19.180]   Do you see that?
[00:28:19.180 --> 00:28:22.180]   He's not asking, "Can you?"
[00:28:22.180 --> 00:28:24.680]   "What did you do with me? Why? How come?"
[00:28:24.680 --> 00:28:26.180]   And think about this.
[00:28:26.180 --> 00:28:28.280]   Back then, families were typically pretty big.
[00:28:28.280 --> 00:28:32.580]   I'm assuming this individual perhaps had family who could not touch him or see him.
[00:28:32.580 --> 00:28:35.080]   Why is it that my brother is clean and I am not?
[00:28:35.080 --> 00:28:40.580]   It perhaps is a very plausible scenario.
[00:28:40.580 --> 00:28:45.080]   But rather than asking those questions, he is asking the question,
[00:28:45.080 --> 00:28:47.280]   "Lord, are you willing?"
[00:28:47.280 --> 00:28:51.780]   Now, the reason why I said it's a question is because the other passages, Luke 5, verse 14,
[00:28:51.780 --> 00:28:55.580]   talks about how he implored the Lord Jesus.
[00:28:55.580 --> 00:28:58.180]   So he is begging and asking.
[00:28:58.180 --> 00:29:05.280]   He's saying to the Lord, "Christ, Jesus, I believe in your power.
[00:29:05.280 --> 00:29:09.080]   And only if you're willing, I know I will be clean."
[00:29:09.080 --> 00:29:10.780]   And it's just like the centurion's faith.
[00:29:10.780 --> 00:29:15.280]   The centurion said, "You don't even have to come to my house.
[00:29:15.280 --> 00:29:19.580]   Just say the word, and my servant will be clean."
[00:29:19.580 --> 00:29:23.080]   That's faith. That's absolute faith.
[00:29:23.080 --> 00:29:26.980]   But as I meditated upon this passage, please meditate with me.
[00:29:26.980 --> 00:29:31.180]   I didn't want to make too much of this, "And he asked," or "He said the statement," you know,
[00:29:31.180 --> 00:29:36.880]   and I'm making a big deal about it, but let's take a moment to meditate.
[00:29:36.880 --> 00:29:42.680]   This individual asked something that was obvious.
[00:29:42.680 --> 00:29:46.980]   He was covered in leprosy.
[00:29:46.980 --> 00:29:50.380]   He was clearly deformed in some way or another.
[00:29:50.380 --> 00:29:52.380]   Did he have to ask?
[00:29:52.380 --> 00:29:57.380]   And as soon as I started thinking that, I felt a conviction in my heart.
[00:29:57.380 --> 00:30:03.180]   Because there's something stubborn in me that doesn't want to ask, right?
[00:30:03.180 --> 00:30:08.780]   There's something weird about asking that makes you feel a little bit less.
[00:30:08.780 --> 00:30:13.980]   So you turn to other things to get what you need or want.
[00:30:13.980 --> 00:30:15.680]   Let me give you an example.
[00:30:15.680 --> 00:30:20.280]   Now, we have perhaps all dealt with an individual who you know they want something,
[00:30:20.280 --> 00:30:22.280]   but they're all manipulative.
[00:30:22.280 --> 00:30:26.280]   So they use things like complaining, throwing a tantrum, right?
[00:30:26.280 --> 00:30:29.680]   Crossing their arms and giving you cold shoulders, like, fine then.
[00:30:29.680 --> 00:30:30.480]   Don't want it either, right?
[00:30:30.480 --> 00:30:32.780]   Like, and they'll maybe even complain.
[00:30:32.780 --> 00:30:34.280]   Like, "You did it for them.
[00:30:34.280 --> 00:30:35.180]   What about me?"
[00:30:35.180 --> 00:30:35.980]   You know?
[00:30:35.980 --> 00:30:38.780]   And now it's always a question of like, "Are you being fair or not?"
[00:30:38.780 --> 00:30:44.680]   Like, and then you're just kind of thinking, "Just ask me," right?
[00:30:44.680 --> 00:30:48.980]   We have perhaps seen other people where they offer up better plans.
[00:30:48.980 --> 00:30:52.380]   They give you advice, but then you recognize, like, you have conflict of interest.
[00:30:52.380 --> 00:30:57.080]   All your plans result in you getting what you want.
[00:30:57.080 --> 00:31:00.180]   I want you to recognize that many people have done that to Christ.
[00:31:00.180 --> 00:31:01.880]   "Jesus, why don't you…you know what?
[00:31:01.880 --> 00:31:03.980]   Why don't you make…be king?
[00:31:03.980 --> 00:31:04.980]   We'll make you king."
[00:31:04.980 --> 00:31:11.180]   And then what that does is we want you to be king because then we usher in the revolution of the Jews, right?
[00:31:11.180 --> 00:31:15.680]   Like, it's so self-interested.
[00:31:15.680 --> 00:31:16.980]   We do that.
[00:31:16.980 --> 00:31:21.580]   And the reason why I say this is because I do that, right?
[00:31:21.580 --> 00:31:25.780]   You…there are certain things you feel that you need, you're deficient.
[00:31:25.780 --> 00:31:28.880]   Maybe you feel pain, you feel suffering.
[00:31:28.880 --> 00:31:35.380]   And rather than asking the Lord, maybe you're fighting your sin, maybe you're…whatever it may be.
[00:31:35.380 --> 00:31:41.580]   There is this weird categorical pride in me that doesn't want to ask.
[00:31:41.580 --> 00:31:48.380]   And then even in marriage relationships, quick dating tip, because you guys know I love to give those, right?
[00:31:48.380 --> 00:31:55.080]   Sometimes you play a game in romantic relationships where you're not too direct with asking stuff.
[00:31:55.080 --> 00:31:59.680]   Because it's weird if you…in a dating relationship, it's like, "I want to ask you, will you love me?"
[00:31:59.680 --> 00:32:02.480]   You know, like, "Will you take care of me?
[00:32:02.480 --> 00:32:04.080]   Will you be all affectionate?
[00:32:04.080 --> 00:32:04.580]   Hug me."
[00:32:04.580 --> 00:32:10.080]   You know, like…and then all of a sudden, you look like this really needy person, okay?
[00:32:10.080 --> 00:32:19.280]   But the reason why I bring that up is because there is this little phrase that I've often caused relationships to go sour.
[00:32:19.280 --> 00:32:25.580]   "I don't want to have to ask you to care for me and consider me.
[00:32:25.580 --> 00:32:33.280]   And if you go, right, to the fridge to get a cold drink, do I have to ask you every time, 'Can you get me one too?'
[00:32:33.280 --> 00:32:35.780]   Why can't you just think of me and bring me one?"
[00:32:35.780 --> 00:32:36.780]   Okay?
[00:32:36.780 --> 00:32:39.680]   You guys have never said that?
[00:32:39.680 --> 00:32:42.980]   A lot of times in relationships, they do that to each other.
[00:32:42.980 --> 00:32:46.980]   "I don't want to have to ask you for affection and consideration.
[00:32:46.980 --> 00:32:49.380]   I don't have to beg you for stuff.
[00:32:49.380 --> 00:32:51.380]   You should know."
[00:32:51.380 --> 00:32:54.780]   And then you realize, there it is.
[00:32:54.780 --> 00:33:00.880]   I have a problem asking for stuff because when it's super obvious, and again, he had
[00:33:00.880 --> 00:33:04.980]   to ask for the obvious.
[00:33:04.980 --> 00:33:11.880]   Everybody could see what his problem is, but he humbled himself to ask, "Lord, would
[00:33:11.880 --> 00:33:14.780]   you make me clean?"
[00:33:14.780 --> 00:33:24.680]   Within that question, there is a willingness to place oneself at the mercy of his will.
[00:33:24.680 --> 00:33:28.380]   And that's when it hurts our pride in human relationships.
[00:33:28.380 --> 00:33:33.080]   It places me somehow at your mercy.
[00:33:33.080 --> 00:33:34.780]   And I want to challenge every single one of you.
[00:33:34.780 --> 00:33:39.480]   Yes, from human to human, you don't want to act like that needy person who's always asking
[00:33:39.480 --> 00:33:40.480]   for everything.
[00:33:40.480 --> 00:33:40.980]   Why?
[00:33:40.980 --> 00:33:45.480]   Because scripture says in many different scenarios, "Bear your own burden so long as
[00:33:45.480 --> 00:33:48.380]   it determines on you, don't owe people anything."
[00:33:48.380 --> 00:33:48.880]   Right?
[00:33:48.880 --> 00:33:50.380]   Don't be a burden.
[00:33:50.380 --> 00:33:52.980]   Don't be a free bird.
[00:33:52.980 --> 00:34:01.380]   But between you and our God, between you and Christ, the reality is you need everything
[00:34:01.380 --> 00:34:04.880]   from his merciful hand.
[00:34:04.880 --> 00:34:09.380]   The reality is, the situation is, he is of power.
[00:34:09.380 --> 00:34:12.380]   You are of need.
[00:34:12.380 --> 00:34:16.080]   That's the reality.
[00:34:16.080 --> 00:34:21.680]   By faith, we should be very comfortable humbling ourselves and saying, "God, you have the
[00:34:21.680 --> 00:34:24.480]   power to meet my need."
[00:34:24.480 --> 00:34:29.180]   And scripture says, "These are the people who will be blessed."
[00:34:29.180 --> 00:34:36.080]   In Isaiah chapter 40 verse 31, "Yet those who wait for the Lord will gain new strength.
[00:34:36.080 --> 00:34:40.580]   They will mount up with wings like eagles, they will run and not get tired, and they
[00:34:40.580 --> 00:34:42.380]   will walk and not become weary.
[00:34:42.380 --> 00:34:50.780]   Behold," oh sorry, I'm going to read another passage, Psalm 123, "Behold, as the eyes of
[00:34:50.780 --> 00:34:56.480]   servants look to the hand of their master, as the eyes of a maid to the hand of their
[00:34:56.480 --> 00:35:03.280]   mistress, so our eyes look to the Lord our God until he is gracious to us."
[00:35:03.280 --> 00:35:07.580]   You see, the world will see that and say, "What?
[00:35:07.580 --> 00:35:11.280]   I'm no servant?
[00:35:11.280 --> 00:35:13.880]   I'm no slave?
[00:35:13.880 --> 00:35:17.080]   I'm no maid to a mistress?
[00:35:17.080 --> 00:35:21.680]   You want me to ask and sit there and wait for him to answer?"
[00:35:21.680 --> 00:35:24.980]   And the flesh will rebel in that fashion.
[00:35:24.980 --> 00:35:29.780]   Biblically speaking, what we're saying is just as obvious as the disease of a man of
[00:35:29.780 --> 00:35:32.880]   great leprosy, so is your sin.
[00:35:32.880 --> 00:35:34.980]   So is your great need.
[00:35:34.980 --> 00:35:36.780]   It isn't obvious.
[00:35:36.780 --> 00:35:38.980]   We are covered in sin.
[00:35:38.980 --> 00:35:41.580]   We are so deeply in sin.
[00:35:41.580 --> 00:35:46.080]   And it's only us who fool ourselves to try and save face.
[00:35:46.080 --> 00:35:50.880]   But when we humble ourselves to ask, we will be blessed.
[00:35:50.880 --> 00:35:58.580]   Lastly then, lastly, like the leper, we must believe that the Lord is willing.
[00:35:58.580 --> 00:36:04.880]   The leper believed in the power of God, but the leper believed that the powerful Lord
[00:36:04.880 --> 00:36:07.280]   is willing.
[00:36:07.280 --> 00:36:09.080]   Let me read to you what it says.
[00:36:09.080 --> 00:36:17.480]   "Jesus stretched out his hand and touched him, saying, 'I am willing!'
[00:36:17.480 --> 00:36:22.380]   He cleansed, and immediately his leprosy was cleansed."
[00:36:22.380 --> 00:36:24.780]   I wish I could have been there.
[00:36:24.780 --> 00:36:30.580]   I mean, if there is an incredible, dramatic scene, something just epic, you have thousands
[00:36:30.580 --> 00:36:31.580]   of people watching.
[00:36:31.580 --> 00:36:36.480]   You could probably have a commotion like, "Gasp!
[00:36:36.480 --> 00:36:38.480]   Jesus touched him!"
[00:36:38.480 --> 00:36:39.480]   Right?
[00:36:39.480 --> 00:36:41.480]   That's forbidden!
[00:36:41.480 --> 00:36:42.480]   "Gasp!
[00:36:42.480 --> 00:36:44.480]   Jesus is unclean!
[00:36:44.480 --> 00:36:45.480]   Gasp!
[00:36:45.480 --> 00:36:47.480]   Doesn't he know?"
[00:36:47.480 --> 00:36:50.080]   This is an epic moment.
[00:36:50.080 --> 00:36:54.280]   But what they see is not Jesus being contaminated.
[00:36:54.280 --> 00:36:58.180]   They see the man be cleansed.
[00:36:58.180 --> 00:37:04.780]   And to us, those words, "I am willing," that's incredible.
[00:37:04.780 --> 00:37:11.780]   And to us, that simple act, "Jesus touched him," that's beautiful.
[00:37:11.780 --> 00:37:14.880]   The thing about it is, Jesus didn't need to touch him!
[00:37:14.880 --> 00:37:18.880]   The very next story is, I don't even need to go there!
[00:37:18.880 --> 00:37:21.280]   I just say the word and it is so!
[00:37:21.280 --> 00:37:24.480]   That's how powerful our Lord Jesus is!
[00:37:24.480 --> 00:37:32.780]   Jesus touching him is a ministering of compassion to the one who is weak and feeble.
[00:37:32.780 --> 00:37:36.880]   Imagine with me the life of a leper.
[00:37:36.880 --> 00:37:40.580]   Not even his parents can touch him.
[00:37:40.580 --> 00:37:44.280]   He's an untouchable, unapproachable.
[00:37:44.280 --> 00:37:51.080]   If there was somebody who was an outcast on the outskirts of society, this would be it!
[00:37:51.080 --> 00:37:53.880]   But Jesus approached and touched him!
[00:37:53.880 --> 00:38:00.280]   I can imagine just the tears in the man's eyes, just flowing out of thankfulness.
[00:38:00.280 --> 00:38:03.680]   As a matter of fact, I could even imagine the man going, "What are you doing?
[00:38:03.680 --> 00:38:05.280]   Don't touch me, Lord!"
[00:38:05.280 --> 00:38:06.280]   Right?
[00:38:06.280 --> 00:38:09.080]   Because clearly the man respected him.
[00:38:09.080 --> 00:38:11.680]   And he knew himself.
[00:38:11.680 --> 00:38:15.480]   And I imagine this scene, the leper reeling back, like, "Gasp!"
[00:38:15.480 --> 00:38:20.680]   And then Jesus touching him and him feeling cleansed from head to toe.
[00:38:20.680 --> 00:38:23.380]   That's crazy stuff!
[00:38:23.380 --> 00:38:27.380]   This is the most incredibly beautiful scene.
[00:38:27.380 --> 00:38:30.480]   And so Jesus addressed every part of it.
[00:38:30.480 --> 00:38:31.480]   It was instantaneous.
[00:38:31.480 --> 00:38:37.040]   He didn't say, "Got medicine, vaccine, take two a day."
[00:38:37.040 --> 00:38:42.800]   It was miraculous, instantaneous, in the moment, it was perfect!
[00:38:42.800 --> 00:38:49.680]   But what's really astounding about this is Jesus proceeds to say, "I am willing."
[00:38:49.680 --> 00:38:53.280]   Brothers and sisters, this is the gospel.
[00:38:53.280 --> 00:38:59.800]   Scripture says that God on his own initiative, he purposed before the foundation of the world
[00:38:59.800 --> 00:39:07.400]   to take sinners lost and condemned like ourselves, and to hold and have us, to love us, to redeem
[00:39:07.400 --> 00:39:11.200]   us, to adopt us, and to perfect us.
[00:39:11.200 --> 00:39:18.800]   That was all done, Ephesians chapter 1, according to the kind intention of his will.
[00:39:18.800 --> 00:39:21.880]   God had to have done nothing.
[00:39:21.880 --> 00:39:23.520]   He doesn't have to do anything.
[00:39:23.520 --> 00:39:26.840]   He doesn't have to be, "Oh, that guy got it.
[00:39:26.840 --> 00:39:29.280]   I had no sickness.
[00:39:29.280 --> 00:39:30.280]   He has sickness.
[00:39:30.280 --> 00:39:31.280]   Why is it?"
[00:39:31.280 --> 00:39:34.760]   No, he doesn't have to do anything.
[00:39:34.760 --> 00:39:43.360]   Scripture says in Hebrews chapter 2, you see, angels fell, humans fell, but God so desired
[00:39:43.360 --> 00:39:50.760]   to be of help to the children of Abraham, and when he did, he sent his son.
[00:39:50.760 --> 00:39:55.480]   Brothers and sisters, if you are going through hard times, I began with Psalm chapter 77.
[00:39:55.480 --> 00:39:58.880]   "Lord, have you forgotten me?
[00:39:58.880 --> 00:40:02.200]   Are you going to reject me forever?"
[00:40:02.200 --> 00:40:04.200]   He says, "You held my eyelids open."
[00:40:04.200 --> 00:40:08.880]   That means he can't sleep because it bothers him so.
[00:40:08.880 --> 00:40:12.720]   I will remember the mighty deeds of God.
[00:40:12.720 --> 00:40:18.520]   I want to ask you, this leper is showing to us a model of faith to believe in the power
[00:40:18.520 --> 00:40:19.520]   of Christ.
[00:40:19.520 --> 00:40:20.520]   Amen?
[00:40:20.520 --> 00:40:24.000]   Do you have that conviction?
[00:40:24.000 --> 00:40:27.080]   My Lord is near and he is willing.
[00:40:27.080 --> 00:40:30.200]   He is compassionate and he is powerful.
[00:40:30.200 --> 00:40:34.600]   By the simple word, he healed him.
[00:40:34.600 --> 00:40:37.240]   After this story, he healed the next and the next and the next.
[00:40:37.240 --> 00:40:39.000]   Actually, Scripture says he healed.
[00:40:39.000 --> 00:40:42.160]   As he was teaching, he healed many.
[00:40:42.160 --> 00:40:46.480]   To write of it would fill books and books and books.
[00:40:46.480 --> 00:40:47.760]   This is our Lord.
[00:40:47.760 --> 00:40:50.600]   Do you believe he is willing?
[00:40:50.600 --> 00:40:58.600]   I want to say to you guys that as I was preparing this passage, there was an individual where
[00:40:58.600 --> 00:41:04.320]   I was counseling and I was afraid he had suffered deeply.
[00:41:04.320 --> 00:41:08.480]   He wasn't like a Job story, but he had suffered in a way where I thought, "I don't know what
[00:41:08.480 --> 00:41:13.360]   to say to you because if I say stuff to you wrong, I might offend you."
[00:41:13.360 --> 00:41:16.560]   I'm not going to say, "Hey, look on the bright side."
[00:41:16.560 --> 00:41:20.760]   The guy has suffered to the degree where I was just so careful.
[00:41:20.760 --> 00:41:25.080]   Maybe too careful because there was a part of me that wanted to share with him parts
[00:41:25.080 --> 00:41:30.640]   of my devotion and say to him, "Our God is proven powerful."
[00:41:30.640 --> 00:41:34.600]   Because I worried, what if he comes back and is like, "Well, not with me.
[00:41:34.600 --> 00:41:35.600]   Don't tell me those stories."
[00:41:35.600 --> 00:41:43.160]   Because yeah, maybe God is powerful with them, but not with me.
[00:41:43.160 --> 00:41:45.520]   I want to remind you.
[00:41:45.520 --> 00:41:51.840]   Remember Daniel and his friends?
[00:41:51.840 --> 00:41:52.840]   He had this confidence.
[00:41:52.840 --> 00:41:55.680]   "Our God is so powerful, he will deliver me from your hand."
[00:41:55.680 --> 00:41:56.680]   Right?
[00:41:56.680 --> 00:41:57.680]   Remember that?
[00:41:57.680 --> 00:42:01.480]   Then the guy said, "You're going to burn in my furnace.
[00:42:01.480 --> 00:42:05.400]   You're going to die in my oven."
[00:42:05.400 --> 00:42:09.920]   They said, "God's either going to draw us out miraculously or we're going to die in
[00:42:09.920 --> 00:42:12.760]   there, but either way, God will deliver us."
[00:42:12.760 --> 00:42:18.440]   Brothers and sisters, in terms of what God is willing to do, God is willing to do far
[00:42:18.440 --> 00:42:21.080]   more than give simple help.
[00:42:21.080 --> 00:42:26.480]   He wants to deliver you eternally, to give you perfection.
[00:42:26.480 --> 00:42:31.900]   For what good is it for a man to gain health, but to have a vicious heart, to have an eternity
[00:42:31.900 --> 00:42:34.960]   of corruption and condemnation?
[00:42:34.960 --> 00:42:36.960]   It's worth nothing.
[00:42:36.960 --> 00:42:46.440]   But Christ, he is willing that you would have life and life eternal.
[00:42:46.440 --> 00:42:50.560]   And in that compassion and in that love, he has poured out his life for us.
[00:42:50.560 --> 00:42:51.560]   Amen?
[00:42:51.560 --> 00:42:56.920]   And that to us, we're reminded here that our Lord is willing.
[00:42:56.920 --> 00:42:59.240]   We know what he's willing of.
[00:42:59.240 --> 00:43:05.920]   And as humble servants, as those who we know we were stricken with sin, we wait eagerly
[00:43:05.920 --> 00:43:07.360]   for our Savior.
[00:43:07.360 --> 00:43:12.840]   I want to conclude with this interesting thought.
[00:43:12.840 --> 00:43:18.160]   In Matthew 8, verse 4, Jesus says something that's a little bit persuasizing.
[00:43:18.160 --> 00:43:25.200]   And what he says is this, "See to it that you tell no one, but go, show yourself to
[00:43:25.200 --> 00:43:31.760]   the priest and present the offering that Moses commanded as a testimony to them."
[00:43:31.760 --> 00:43:33.160]   I give you a warning.
[00:43:33.160 --> 00:43:37.240]   The challenge is, believe on Christ's power.
[00:43:37.240 --> 00:43:42.160]   And when you believe, that faith will cause you to draw near, that faith will humble you,
[00:43:42.160 --> 00:43:47.640]   that faith will cause you to ask and then to receive the blessing of God.
[00:43:47.640 --> 00:43:49.820]   But there's a warning.
[00:43:49.820 --> 00:43:53.000]   You might not see it apparently, but here is the warning.
[00:43:53.000 --> 00:44:01.360]   Jesus commands the man to go and do a fulfillment of the law process, which is in Leviticus
[00:44:01.360 --> 00:44:06.520]   chapter 13 and 14, God had commanded many things pertaining to the instruction of a
[00:44:06.520 --> 00:44:07.520]   leper.
[00:44:07.520 --> 00:44:15.520]   Number one, he had to go show himself to a priest to affirm, "Do I really have leprosy?"
[00:44:15.520 --> 00:44:19.920]   And if you're confirmed, you are to isolate yourself and call yourself unclean.
[00:44:19.920 --> 00:44:21.220]   You know what's crazy?
[00:44:21.220 --> 00:44:25.200]   That bulk of it was only four verses or five verses in Leviticus chapter 13.
[00:44:25.200 --> 00:44:30.320]   The rest is all about what do you do when the leper is cleansed.
[00:44:30.320 --> 00:44:31.320]   Weird thing.
[00:44:31.320 --> 00:44:34.480]   I tried to think about scriptural passages when the leper was cleansed.
[00:44:34.480 --> 00:44:35.480]   Can you think of any?
[00:44:35.480 --> 00:44:37.640]   I thought of one, Naaman.
[00:44:37.640 --> 00:44:42.640]   Naaman went to the king, Jerurim I think was his name, because he heard that there was
[00:44:42.640 --> 00:44:44.320]   a prophet healing there.
[00:44:44.320 --> 00:44:47.360]   And when Naaman showed up, the king was like, "I'm not God!
[00:44:47.360 --> 00:44:48.360]   I don't give life!
[00:44:48.360 --> 00:44:51.680]   What am I supposed to do with you?"
[00:44:51.680 --> 00:44:53.440]   Because clearly leprosy meant you're dead.
[00:44:53.440 --> 00:44:56.080]   There was no solution for that.
[00:44:56.080 --> 00:44:59.400]   And then after that, I can't think of it.
[00:44:59.400 --> 00:45:03.000]   And then the fact of the matter is, if you look at Jewish tradition, if you were deemed
[00:45:03.000 --> 00:45:08.760]   to have leprosy, it actually records in Jewish Tamil tradition, they actually read the last
[00:45:08.760 --> 00:45:13.760]   rites and kind of the sayings of the old upon your death to the person who just got it.
[00:45:13.760 --> 00:45:18.480]   So imagine you go sick to the hospital, and then the priest comes in and starts reading
[00:45:18.480 --> 00:45:21.340]   your last verses.
[00:45:21.340 --> 00:45:22.600]   But this was just a slow death.
[00:45:22.600 --> 00:45:27.880]   It was just the thinking though was you're as good as dead.
[00:45:27.880 --> 00:45:29.360]   That's almost cruel then, isn't it?
[00:45:29.360 --> 00:45:30.360]   Like, or weird.
[00:45:30.360 --> 00:45:34.800]   It's kind of like getting an instruction manual to what to do when you win the lottery.
[00:45:34.800 --> 00:45:37.800]   And you're like, "I'm not going to ever!"
[00:45:37.800 --> 00:45:38.800]   Right?
[00:45:38.800 --> 00:45:41.200]   What is this trash?
[00:45:41.200 --> 00:45:47.880]   To the Jewish leaders and Pharisees of the time, they should have been shocked.
[00:45:47.880 --> 00:45:52.760]   For the first time in my life, I'm practicing Leviticus 13, 14.
[00:45:52.760 --> 00:45:54.800]   What is this?
[00:45:54.800 --> 00:45:59.040]   The Jewish leaders should have been like, mind blown!
[00:45:59.040 --> 00:46:01.040]   That's the Messiah.
