
[00:00:00.000 --> 00:00:02.000]   (Applause)
[00:19:35.500 --> 00:19:38.500]   who will not allow you to be tempted beyond what you are able,
[00:19:38.500 --> 00:19:42.500]   but with temptation he will provide a way of escape
[00:19:42.500 --> 00:19:45.500]   so that you will be able to endure it."
[00:19:45.500 --> 00:19:50.500]   He is going to make sure that when it comes to spiritual evil,
[00:19:50.500 --> 00:19:53.500]   he is going to protect you.
[00:19:53.500 --> 00:19:57.500]   He is going to protect you.
[00:19:57.500 --> 00:20:01.500]   I sometimes cannot relate to King David, and sometimes I can.
[00:20:01.500 --> 00:20:04.500]   Because I'll tell you what, I feel like every single day,
[00:20:04.500 --> 00:20:06.500]   just a matter of fact,
[00:20:06.500 --> 00:20:08.500]   the previous meeting I had with the leaders,
[00:20:08.500 --> 00:20:10.500]   I just had to confess,
[00:20:10.500 --> 00:20:14.500]   I feel like I'm being attacked with lust for more money.
[00:20:14.500 --> 00:20:17.500]   I feel like I'm being attacked with lust for more comfort.
[00:20:17.500 --> 00:20:21.500]   I feel like I'm always attacked with lust for sexual immorality,
[00:20:21.500 --> 00:20:25.500]   lust for all kinds of things, envy of what I see.
[00:20:25.500 --> 00:20:28.500]   You think we're not in spiritual warfare?
[00:20:28.500 --> 00:20:31.500]   Of course we are.
[00:20:31.500 --> 00:20:34.500]   But the Lord says, "I'm going to protect you."
[00:20:34.500 --> 00:20:37.500]   That pronoun there, again, it moved from the nation of Israel,
[00:20:37.500 --> 00:20:39.500]   "I am the keeper of Israel," to "You,"
[00:20:39.500 --> 00:20:41.500]   "He is going to protect you."
[00:20:41.500 --> 00:20:44.500]   And you know what? Oftentimes, He is going to protect you from your own desires.
[00:20:44.500 --> 00:20:47.500]   And I thank God for that, because there's plenty of it.
[00:20:47.500 --> 00:20:51.500]   I am prone to sometimes wander, like the song says.
[00:20:51.500 --> 00:20:53.500]   I am prone to rebellion.
[00:20:53.500 --> 00:20:57.500]   I am prone sometimes just to not want to do things.
[00:20:57.500 --> 00:21:01.500]   I just want to veg and not do the Christian life.
[00:21:01.500 --> 00:21:04.500]   The Lord is going to spiritually protect us from that evil.
[00:21:04.500 --> 00:21:07.500]   Do you believe it?
[00:21:07.500 --> 00:21:11.500]   So I'm going to ask you now, when was the last time you prayed, Matthew 6.13?
[00:21:11.500 --> 00:21:17.500]   Right? Where He says, "And lead us not in temptation, but to deliver us from evil."
[00:21:17.500 --> 00:21:22.500]   Why is it that Jesus Christ teaches us to pray that?
[00:21:22.500 --> 00:21:26.500]   We're supposed to be praying for spiritual protection from the Lord.
[00:21:26.500 --> 00:21:31.500]   And do you believe He's the one who's going to be your keeper and not yourself?
[00:21:31.500 --> 00:21:33.500]   I think that was the problem with me.
[00:21:33.500 --> 00:21:38.500]   Because I always felt like, "It's my failure. I need to fix it."
[00:21:38.500 --> 00:21:43.500]   So every time I failed in sin, I would have the greatest frustrations.
[00:21:43.500 --> 00:21:46.500]   I would have the greatest despair.
[00:21:46.500 --> 00:21:49.500]   And I would sit there feeling so angry at myself.
[00:21:49.500 --> 00:21:55.500]   I would feel as though, "When am I going to ever get past this sin?"
[00:21:55.500 --> 00:21:59.500]   But for you, you have to believe it.
[00:21:59.500 --> 00:22:03.500]   It is God who is your keeper against all evil.
[00:22:03.500 --> 00:22:08.500]   You can't do it. God can.
[00:22:08.500 --> 00:22:13.500]   So He says, "I will protect you from all evil. He will keep your soul."
[00:22:13.500 --> 00:22:15.500]   And look at verse 8.
[00:22:15.500 --> 00:22:20.500]   It says here, "The Lord will guard your going out and your coming in."
[00:22:20.500 --> 00:22:24.500]   In Hebrew, that's a very common literary device.
[00:22:24.500 --> 00:22:28.500]   It basically uses one end of the spectrum to the next end of the spectrum.
[00:22:28.500 --> 00:22:30.500]   That's called a merism.
[00:22:30.500 --> 00:22:35.500]   Alpha, Omega, Heaven and the Earth, from morning to dawn, all that kind of stuff.
[00:22:35.500 --> 00:22:37.500]   All that's saying is this.
[00:22:37.500 --> 00:22:39.500]   Everything.
[00:22:39.500 --> 00:22:45.500]   From your going out, whether you're going out from the home, from the protection of here, or when you're here.
[00:22:45.500 --> 00:22:53.500]   Regardless of what time, what day, or what it is, every single thing, God is guarding you.
[00:22:53.500 --> 00:22:58.500]   So, again, don't ever think, "Oh, this is too trivial to pray about."
[00:22:58.500 --> 00:23:01.500]   Absolutely not. God is watching that.
[00:23:01.500 --> 00:23:05.500]   "This is too big of something. I don't even know what to ask God for."
[00:23:05.500 --> 00:23:07.500]   Well, ask.
[00:23:07.500 --> 00:23:10.500]   God is watching everything from your going out to your coming in.
[00:23:10.500 --> 00:23:14.500]   That is just to say every aspect of your life.
[00:23:14.500 --> 00:23:16.500]   The Lord is in control.
[00:23:16.500 --> 00:23:18.500]   So Mike, I ask you that question again.
[00:23:18.500 --> 00:23:21.500]   Who are you looking to? Who do you believe is able?
[00:23:21.500 --> 00:23:23.500]   And it's God.
[00:23:23.500 --> 00:23:25.500]   The Creator.
[00:23:25.500 --> 00:23:27.500]   The One who is your Good Shepherd.
[00:23:27.500 --> 00:23:29.500]   The One who is your Good Guard.
[00:23:29.500 --> 00:23:31.500]   The Savior and Keeper of your soul.
[00:23:31.500 --> 00:23:34.500]   He is fully capable because He watches everything.
[00:23:34.500 --> 00:23:36.500]   Amen?
[00:23:36.500 --> 00:23:38.500]   He watches everything.
[00:23:38.500 --> 00:23:44.500]   So before we move forward, I hope, when you hear this, that you could say with your faith,
[00:23:44.500 --> 00:23:48.500]   "Yes, I believe God is able.
[00:23:48.500 --> 00:23:50.500]   Completely capable.
[00:23:50.500 --> 00:23:52.500]   He is powerful."
[00:23:52.500 --> 00:23:57.500]   And I hope that not just by me saying it to you, but by experience of encountering God,
[00:23:57.500 --> 00:24:05.500]   by you actually having asked, and then feeling and knowing and experiencing and encountering the sufficient God,
[00:24:05.500 --> 00:24:11.500]   you would be able to say from experience, "My help comes from God."
[00:24:11.500 --> 00:24:12.500]   Right?
[00:24:12.500 --> 00:24:15.500]   Because that's what's going to set you apart from all the other pagans.
[00:24:15.500 --> 00:24:17.500]   We needed help before we were saved.
[00:24:17.500 --> 00:24:23.500]   But as a Christian, and from you saying from experience and encountering God, "My Lord helps me."
[00:24:23.500 --> 00:24:26.500]   That's your testimony.
[00:24:26.500 --> 00:24:28.500]   Let's look further here.
[00:24:28.500 --> 00:24:31.500]   I'm going to read all of verse 8 again.
[00:24:31.500 --> 00:24:39.500]   "The Lord will guard your going out and your coming in, from this time forth and forevermore."
[00:24:39.500 --> 00:24:43.500]   From this time forth and forevermore.
[00:24:43.500 --> 00:24:47.500]   If there is a verse for you to highlight in this chapter, that's it.
[00:24:47.500 --> 00:24:50.500]   Underline it. Star it. Put a little arrow. Put a happy face.
[00:24:50.500 --> 00:24:59.500]   Whatever it is you do, He is going to keep your soul from here forth and forever.
[00:24:59.500 --> 00:25:08.500]   You see, even a good parent, I look at Bia, and I'm just so proud of her and the way that she is taking care of our baby.
[00:25:08.500 --> 00:25:14.500]   But even on her best day, if he is fussy and he is just so hard to deal with,
[00:25:14.500 --> 00:25:24.500]   even the best parent on their best day, will one of these days say, "Give me a break. I'm so glad you're home."
[00:25:24.500 --> 00:25:27.500]   Hand off.
[00:25:27.500 --> 00:25:33.500]   Because for us, our patience, our ability is so limited.
[00:25:33.500 --> 00:25:35.500]   What am I saying here?
[00:25:35.500 --> 00:25:40.500]   When the Lord God says, "I will keep you forevermore,"
[00:25:40.500 --> 00:25:44.500]   that, my friends, is the doctrine of eternal security.
[00:25:44.500 --> 00:25:49.500]   It's both the perseverance of the saints, it's the permanence of your salvation.
[00:25:49.500 --> 00:25:52.500]   How important is that?
[00:25:52.500 --> 00:25:56.500]   And how amazing is it when the Lord says, "I keep you forever."
[00:25:56.500 --> 00:25:58.500]   It's not like us.
[00:25:58.500 --> 00:26:03.500]   Even though I want to, I am so limited.
[00:26:03.500 --> 00:26:05.500]   But the Lord is not.
[00:26:05.500 --> 00:26:07.500]   He says, "Forevermore."
[00:26:07.500 --> 00:26:09.500]   This doctrine, guys, is so important.
[00:26:09.500 --> 00:26:11.500]   And we want to hear this from Jesus Himself.
[00:26:11.500 --> 00:26:13.500]   Turn over to John 6.
[00:26:13.500 --> 00:26:19.500]   This doctrine, I think, is, I would say, in terms of our salvation,
[00:26:19.500 --> 00:26:22.500]   the doctrines of our salvation, this is up there.
[00:26:22.500 --> 00:26:24.500]   I might even say this is the most important.
[00:26:24.500 --> 00:26:26.500]   And you might be like, "Oh, more important than justification?"
[00:26:26.500 --> 00:26:29.500]   Well, if we didn't have this, I don't know about justification.
[00:26:29.500 --> 00:26:31.500]   If we didn't have this, I don't know about sanctification.
[00:26:31.500 --> 00:26:37.500]   If we didn't have this, all the things intertwined about God's character is now all aloof.
[00:26:37.500 --> 00:26:44.500]   This doctrine that God can keep you forever is so crucial.
[00:26:44.500 --> 00:26:46.500]   And we're going to hear it from Jesus' own words.
[00:26:46.500 --> 00:26:49.500]   If you've ever doubted whether God can keep you to the very end,
[00:26:49.500 --> 00:26:51.500]   if you've ever asked yourself that question,
[00:26:51.500 --> 00:26:56.500]   if someone's a genuine believer and he's saved, can he ever be unsaved?
[00:26:56.500 --> 00:26:58.500]   Can he ever lose his salvation?
[00:26:58.500 --> 00:26:59.500]   Look what Jesus says.
[00:26:59.500 --> 00:27:02.500]   John 6, verse 39.
[00:27:02.500 --> 00:27:04.500]   John 6, verse 39.
[00:27:04.500 --> 00:27:08.500]   "This is the will of Him who sent Me,
[00:27:08.500 --> 00:27:11.500]   that of all that He has given Me, I lose nothing,
[00:27:11.500 --> 00:27:13.500]   but raise it up on the last day.
[00:27:13.500 --> 00:27:16.500]   For this is the will of My Father,
[00:27:16.500 --> 00:27:21.500]   that everyone who holds the Son and believes in Him will have eternal life.
[00:27:21.500 --> 00:27:28.500]   And I Myself will raise him up on that last day."
[00:27:28.500 --> 00:27:31.500]   I bet you, for almost all of you here,
[00:27:31.500 --> 00:27:33.500]   we just went through the Psalms and said,
[00:27:33.500 --> 00:27:36.500]   "I want to convince you that God is able to protect you,
[00:27:36.500 --> 00:27:38.500]   that God is able to keep you."
[00:27:38.500 --> 00:27:40.500]   And all of you I can see nodding.
[00:27:40.500 --> 00:27:43.500]   I believe all of you guys here generally believe God is powerful.
[00:27:43.500 --> 00:27:45.500]   But here's what else.
[00:27:45.500 --> 00:27:47.500]   I think a lot of you guys believe God is able,
[00:27:47.500 --> 00:27:52.500]   but you question whether God is willing.
[00:27:52.500 --> 00:27:55.500]   Because it goes against your experience.
[00:27:55.500 --> 00:27:58.500]   "Well, I know God is going to protect me with my physical needs,
[00:27:58.500 --> 00:28:01.500]   all of the things that I need to care for, and my spiritual needs,
[00:28:01.500 --> 00:28:04.500]   but I am struggling."
[00:28:04.500 --> 00:28:06.500]   A lot of times we wrestle with this idea,
[00:28:06.500 --> 00:28:09.500]   "I know God is fully capable,
[00:28:09.500 --> 00:28:12.500]   but I don't know if He's willing."
[00:28:12.500 --> 00:28:14.500]   Let this verse reassure you.
[00:28:14.500 --> 00:28:17.500]   It says, "It is the will of My Father.
[00:28:17.500 --> 00:28:21.500]   It is His will that whatever is in His hands will not be lost.
[00:28:21.500 --> 00:28:25.500]   He Himself is going to keep you until that very last day."
[00:28:25.500 --> 00:28:27.500]   Let that give you peace.
[00:28:27.500 --> 00:28:29.500]   Let that give you reassurance.
[00:28:29.500 --> 00:28:31.500]   I know we experience difficulty.
[00:28:31.500 --> 00:28:34.500]   I know we experience that kind of weariness in which we just want to sigh
[00:28:34.500 --> 00:28:36.500]   because we can't do nothing about it.
[00:28:36.500 --> 00:28:38.500]   But the thing is,
[00:28:38.500 --> 00:28:41.500]   Christ Himself says, "I lose nothing."
[00:28:41.500 --> 00:28:43.500]   Go over to chapter 10.
[00:28:43.500 --> 00:28:50.500]   Let us reemphasize this fact.
[00:28:50.500 --> 00:28:53.500]   John 10.27
[00:28:53.500 --> 00:28:54.500]   He says this,
[00:28:54.500 --> 00:28:57.500]   "My sheep hear My voice, and I know them,
[00:28:57.500 --> 00:28:59.500]   and they follow Me,
[00:28:59.500 --> 00:29:01.500]   and I give eternal life to them,
[00:29:01.500 --> 00:29:02.500]   and they will never perish,
[00:29:02.500 --> 00:29:04.500]   and no one will snatch them out of My hand.
[00:29:04.500 --> 00:29:06.500]   My Father, who has given them to Me,
[00:29:06.500 --> 00:29:07.500]   is greater than all,
[00:29:07.500 --> 00:29:10.500]   and no one is able to snatch them from out of the Father's hand.
[00:29:10.500 --> 00:29:13.500]   I and the Father are one."
[00:29:13.500 --> 00:29:15.500]   So here it is.
[00:29:15.500 --> 00:29:19.500]   If you think ever that God is going to lose one of you,
[00:29:19.500 --> 00:29:20.500]   that is preponderance.
[00:29:20.500 --> 00:29:22.500]   That is ridiculous.
[00:29:22.500 --> 00:29:24.500]   You were lost and God found you.
[00:29:24.500 --> 00:29:26.500]   He's never going to lose you again.
[00:29:26.500 --> 00:29:27.500]   Right?
[00:29:27.500 --> 00:29:30.500]   Not only that, but God says, "I have you in My hand."
[00:29:30.500 --> 00:29:33.500]   If someone were ever to try and take you,
[00:29:33.500 --> 00:29:36.500]   they would have to go through the entire Trinity.
[00:29:36.500 --> 00:29:38.500]   God and the Son are one.
[00:29:38.500 --> 00:29:40.500]   They will lose nothing.
[00:29:40.500 --> 00:29:45.500]   None of you will fall through the cracks of His fingers.
[00:29:45.500 --> 00:29:48.500]   There is none of you that He is going to lose.
[00:29:48.500 --> 00:29:51.500]   In Hebrews, you don't have to turn there, chapter 7,
[00:29:51.500 --> 00:29:53.500]   it goes to this elaborate explanation
[00:29:53.500 --> 00:29:57.500]   that Christ is the High Priest, eternal.
[00:29:57.500 --> 00:30:00.500]   And so Hebrews 7, verse 24 and 25, do you know what it says?
[00:30:00.500 --> 00:30:02.500]   Because He is the Priest eternal,
[00:30:02.500 --> 00:30:06.500]   He is able to save forever.
[00:30:06.500 --> 00:30:09.500]   Forever.
[00:30:09.500 --> 00:30:13.500]   So I'm emphasizing to you this doctrine.
[00:30:13.500 --> 00:30:18.500]   When God says, "I will keep you," in Psalm 121,
[00:30:18.500 --> 00:30:21.500]   and He says, "I'll keep you forever,"
[00:30:21.500 --> 00:30:25.500]   He means it and it will happen just that way.
[00:30:25.500 --> 00:30:28.500]   Salvation is permanent.
[00:30:28.500 --> 00:30:30.500]   No one who is in God's fold,
[00:30:30.500 --> 00:30:33.500]   no one who is a member of His kingdom,
[00:30:33.500 --> 00:30:34.500]   will be lost.
[00:30:34.500 --> 00:30:36.500]   And you can bank on that.
[00:30:36.500 --> 00:30:38.500]   And why is that so important?
[00:30:38.500 --> 00:30:41.500]   Why am I saying it is so vital to the Christian gospel?
[00:30:41.500 --> 00:30:43.500]   Because of this.
[00:30:43.500 --> 00:30:45.500]   What is the gospel?
[00:30:45.500 --> 00:30:47.500]   The gospel is going to say,
[00:30:47.500 --> 00:30:50.500]   "You, by being a sinner, you're bankrupt.
[00:30:50.500 --> 00:30:52.500]   You've got nothing.
[00:30:52.500 --> 00:30:54.500]   You can do nothing to save yourself
[00:30:54.500 --> 00:30:56.500]   because you're absolutely dead.
[00:30:56.500 --> 00:31:01.500]   As a sinner, you are damned to judgment."
[00:31:01.500 --> 00:31:03.500]   So what is the gospel?
[00:31:03.500 --> 00:31:05.500]   "Then make yourself vulnerable to God
[00:31:05.500 --> 00:31:08.500]   and surrender at His feet because Christ died for you.
[00:31:08.500 --> 00:31:11.500]   And you can see God as your Lord.
[00:31:11.500 --> 00:31:13.500]   Obey Him with everything.
[00:31:13.500 --> 00:31:15.500]   Obey Him to the point in which you'd be willing to suffer.
[00:31:15.500 --> 00:31:16.500]   Leave your hometown.
[00:31:16.500 --> 00:31:17.500]   Leave your family.
[00:31:17.500 --> 00:31:20.500]   Whatever it may be, surrender and sacrifice.
[00:31:20.500 --> 00:31:22.500]   All carry that cross and go to Him."
[00:31:22.500 --> 00:31:24.500]   Now let me tell you something.
[00:31:24.500 --> 00:31:27.500]   If at the end of that, He says,
[00:31:27.500 --> 00:31:29.500]   "But I can't promise you,
[00:31:29.500 --> 00:31:32.500]   I can't promise you that I'm just, you know,
[00:31:32.500 --> 00:31:33.500]   I can't.
[00:31:33.500 --> 00:31:35.500]   I can't promise you you'll be there though."
[00:31:35.500 --> 00:31:37.500]   It's like, "What?"
[00:31:37.500 --> 00:31:39.500]   I'm going to make myself vulnerable to you,
[00:31:39.500 --> 00:31:40.500]   confess you as my Lord,
[00:31:40.500 --> 00:31:42.500]   make myself vulnerable to the Christian community,
[00:31:42.500 --> 00:31:44.500]   and in the end you say,
[00:31:44.500 --> 00:31:47.500]   "Well, you could probably lose it."
[00:31:47.500 --> 00:31:49.500]   It's kind of like Pastor Aaron was preaching this
[00:31:49.500 --> 00:31:51.500]   in the Bible studies.
[00:31:51.500 --> 00:31:53.500]   Abraham was giving a lot of promises.
[00:31:53.500 --> 00:31:55.500]   God said, "I'm going to give you land.
[00:31:55.500 --> 00:31:57.500]   I will bless you with offspring.
[00:31:57.500 --> 00:31:59.500]   I'm going to bless the nations through you."
[00:31:59.500 --> 00:32:01.500]   And Abraham said, "How will I know, Lord,
[00:32:01.500 --> 00:32:03.500]   that you're going to do this?"
[00:32:03.500 --> 00:32:06.500]   Well, Abraham, I don't give out guarantees.
[00:32:06.500 --> 00:32:08.500]   You know?
[00:32:08.500 --> 00:32:10.500]   It's all part of business.
[00:32:10.500 --> 00:32:12.500]   I can't give you guarantees.
[00:32:12.500 --> 00:32:15.500]   What is that?
[00:32:15.500 --> 00:32:19.500]   Could anybody take the Gospel call
[00:32:19.500 --> 00:32:21.500]   if there was no promise
[00:32:21.500 --> 00:32:22.500]   of a permanent salvation
[00:32:22.500 --> 00:32:26.500]   in which God guarantees?
[00:32:26.500 --> 00:32:29.500]   The reason why I'm emphasizing this so much,
[00:32:29.500 --> 00:32:31.500]   the reason why I'm pushing this,
[00:32:31.500 --> 00:32:33.500]   and why I'm saying it is so vital
[00:32:33.500 --> 00:32:34.500]   to the Christian Gospel,
[00:32:34.500 --> 00:32:37.500]   is because if God does not keep us,
[00:32:37.500 --> 00:32:40.500]   then who will?
[00:32:40.500 --> 00:32:41.500]   Let me put it in another way.
[00:32:41.500 --> 00:32:43.500]   If you could lose your salvation,
[00:32:43.500 --> 00:32:45.500]   even if you took the Gospel call
[00:32:45.500 --> 00:32:47.500]   to surrender and sacrifice,
[00:32:47.500 --> 00:32:49.500]   if you could lose it, you will.
[00:32:49.500 --> 00:32:51.500]   Because you're a sinner, and I'm a sinner.
[00:32:51.500 --> 00:32:53.500]   You're fallen, I'm fallen.
[00:32:53.500 --> 00:32:56.500]   If you could lose it, you would.
[00:32:56.500 --> 00:33:00.500]   If God doesn't keep us, who's going to keep us?
[00:33:00.500 --> 00:33:04.500]   There is no hope.
[00:33:04.500 --> 00:33:06.500]   God sanctified me.
[00:33:06.500 --> 00:33:08.500]   God's going to sanctify me.
[00:33:08.500 --> 00:33:10.500]   And God's going to glorify me.
[00:33:10.500 --> 00:33:12.500]   All of that, all three aspects of that,
[00:33:12.500 --> 00:33:14.500]   that's salvation, right?
[00:33:14.500 --> 00:33:16.500]   Well, am I so ridiculous to think,
[00:33:16.500 --> 00:33:18.500]   well, God sanctifies me,
[00:33:18.500 --> 00:33:20.500]   I mean, God justifies me, sanctifies me,
[00:33:20.500 --> 00:33:22.500]   but glorifies me in the end,
[00:33:22.500 --> 00:33:24.500]   I'll make sure that happens.
[00:33:24.500 --> 00:33:25.500]   That's ridiculous.
[00:33:25.500 --> 00:33:26.500]   I'm preponderance.
[00:33:26.500 --> 00:33:29.500]   I cannot keep myself.
[00:33:29.500 --> 00:33:33.500]   If God wanted to, any moment,
[00:33:33.500 --> 00:33:36.500]   He says, "By forgiveness and mercy,
[00:33:36.500 --> 00:33:38.500]   I will not remember your transgressions."
[00:33:38.500 --> 00:33:41.500]   But if He wanted to,
[00:33:41.500 --> 00:33:43.500]   He could make a list of my transgressions so long,
[00:33:43.500 --> 00:33:45.500]   if it was a scroll, it would just roll right off the street
[00:33:45.500 --> 00:33:49.500]   and through the streets, right?
[00:33:49.500 --> 00:33:51.500]   He could bring up any one of those accusations.
[00:33:51.500 --> 00:33:55.500]   "Mark, I saw you over here so prideful."
[00:33:55.500 --> 00:33:57.500]   You can't go into heaven.
[00:33:57.500 --> 00:34:00.500]   Actually, Satan.
[00:34:00.500 --> 00:34:02.500]   Satan can bring up accusations against me.
[00:34:02.500 --> 00:34:04.500]   "I saw you here, lusting over the world."
[00:34:04.500 --> 00:34:06.500]   "I saw you here, materialistic."
[00:34:06.500 --> 00:34:11.500]   "I saw you here, complaining and griping to God."
[00:34:11.500 --> 00:34:13.500]   Well, actually, if you come to think of it,
[00:34:13.500 --> 00:34:15.500]   you could.
[00:34:15.500 --> 00:34:17.500]   Any one of you who've known me for more than a year or two
[00:34:17.500 --> 00:34:19.500]   could bring up accusations against me
[00:34:19.500 --> 00:34:22.500]   and tell me why I'm not sufficient to get into heaven,
[00:34:22.500 --> 00:34:25.500]   why I'm not sufficient to obtain salvation.
[00:34:25.500 --> 00:34:27.500]   So how would I so foolishly think
[00:34:27.500 --> 00:34:29.500]   I could keep myself to the very end?
[00:34:29.500 --> 00:34:33.500]   If God doesn't keep me, nobody can.
[00:34:33.500 --> 00:34:35.500]   And for sure I can't.
[00:34:35.500 --> 00:34:37.500]   Right?
[00:34:37.500 --> 00:34:39.500]   So to me,
[00:34:39.500 --> 00:34:42.500]   the promise of God in Psalm 121,
[00:34:42.500 --> 00:34:44.500]   where He says, "I keep you forever,"
[00:34:44.500 --> 00:34:47.500]   I cling to that with everything.
[00:34:47.500 --> 00:34:49.500]   That refreshes my soul.
[00:34:49.500 --> 00:34:51.500]   That completely satisfies me.
[00:34:51.500 --> 00:34:54.500]   And if I'm weary, if I'm even in sin,
[00:34:54.500 --> 00:34:57.500]   that revives me to think, "Oh my Lord,
[00:34:57.500 --> 00:35:01.500]   "You are both willing and capable to keep me."
[00:35:01.500 --> 00:35:04.500]   So I ask You to help me with my struggles.
[00:35:04.500 --> 00:35:07.500]   And I worship You more because You keep me to the very end.
[00:35:07.500 --> 00:35:11.500]   I know I can't do anything. I know You can.
[00:35:11.500 --> 00:35:14.500]   How amazing is that?
[00:35:14.500 --> 00:35:16.500]   And that's why, friends, we here at Berean,
[00:35:16.500 --> 00:35:19.500]   we really don't hold to that Armenian theology
[00:35:19.500 --> 00:35:23.500]   in which they believe that the freedom of man isn't touched.
[00:35:23.500 --> 00:35:26.500]   And so if a man has the freedom to believe,
[00:35:26.500 --> 00:35:29.500]   he also has the freedom to not believe.
[00:35:29.500 --> 00:35:32.500]   The problem with that is it makes sin all the more or less,
[00:35:32.500 --> 00:35:36.500]   you all the more greater, and God impotent.
[00:35:36.500 --> 00:35:41.500]   Because God says, "I have the power to keep you forever."
[00:35:41.500 --> 00:35:43.500]   That's true.
[00:35:43.500 --> 00:35:46.500]   That is true.
[00:35:46.500 --> 00:35:50.500]   Guys, when I am afraid, and I have anxiety,
[00:35:50.500 --> 00:35:52.500]   trust me, now that I have a baby,
[00:35:52.500 --> 00:35:54.500]   I have all kinds of anxiety.
[00:35:54.500 --> 00:35:56.500]   I'm like, "Man, is our house big enough?"
[00:35:56.500 --> 00:35:58.500]   It's like, "Man, all of this stuff,
[00:35:58.500 --> 00:36:00.500]   "are we going to have enough for X, Y, and Z?"
[00:36:00.500 --> 00:36:03.500]   I've got all kinds of insecurities.
[00:36:03.500 --> 00:36:06.500]   When you have that kind of insecurities, who do you look to?
[00:36:06.500 --> 00:36:08.500]   Who do you look to?
[00:36:08.500 --> 00:36:12.500]   I hope you can look to the Lord and say,
[00:36:12.500 --> 00:36:15.500]   "I can trust because I am in God's hands."
[00:36:15.500 --> 00:36:17.500]   Like Daniel, I can say, "Even if I burn,
[00:36:17.500 --> 00:36:19.500]   "I am safe in the hands of God."
[00:36:19.500 --> 00:36:23.500]   Regardless of circumstance, I am safe in the hand of God.
[00:36:23.500 --> 00:36:26.500]   So even if it's the common struggles of man,
[00:36:26.500 --> 00:36:28.500]   even if it's something very trivial,
[00:36:28.500 --> 00:36:29.500]   even if it's something you feel like,
[00:36:29.500 --> 00:36:32.500]   "Well, I can take care of this on my own by hard work,"
[00:36:32.500 --> 00:36:35.500]   because everybody experiences this kind of hardship in life.
[00:36:35.500 --> 00:36:39.500]   Regardless, look to the Lord and have strength.
[00:36:39.500 --> 00:36:44.500]   But also, if you are afraid because perhaps you're in sin,
[00:36:44.500 --> 00:36:49.500]   perhaps you've been discouraged because of your own sin.
[00:36:49.500 --> 00:36:52.500]   Young people often ask me,
[00:36:52.500 --> 00:36:57.500]   "Man, this is going to be a lifetime struggle.
[00:36:57.500 --> 00:37:01.500]   "When am I going to ever overcome sin?"
[00:37:01.500 --> 00:37:03.500]   I have good news and bad news.
[00:37:03.500 --> 00:37:06.500]   Good news is the Holy God, when you spend more time with Him,
[00:37:06.500 --> 00:37:08.500]   you will sin less frequently.
[00:37:08.500 --> 00:37:11.500]   The bad news is when you spend more time with the Holy God,
[00:37:11.500 --> 00:37:14.500]   your sin looks really, really bad,
[00:37:14.500 --> 00:37:18.500]   and you feel really, really bad.
[00:37:18.500 --> 00:37:21.500]   So I have actually seen this kind of tendency in growing Christians,
[00:37:21.500 --> 00:37:24.500]   or people who've been Christians for a very long time.
[00:37:24.500 --> 00:37:27.500]   They know how bad sin is, but they fail.
[00:37:27.500 --> 00:37:31.500]   When they fail, they fail again to look to God for help.
[00:37:31.500 --> 00:37:36.500]   Do you know what happens when an individual who sees the depth of their sin,
[00:37:36.500 --> 00:37:41.500]   who feels the guilt but has a difficult time looking to the Lord,
[00:37:41.500 --> 00:37:46.500]   that's when despair, discouragement, and a desire to quit starts to settle in.
[00:37:46.500 --> 00:37:48.500]   Does that make sense?
[00:37:48.500 --> 00:37:51.500]   You need, especially if you've been Christian for some time,
[00:37:51.500 --> 00:37:53.500]   and you're wrestling with some kind of sin,
[00:37:53.500 --> 00:37:55.500]   you need to go to the Lord who says,
[00:37:55.500 --> 00:38:00.500]   "I am the one who protects you from evil and evil within you.
[00:38:00.500 --> 00:38:06.500]   The sins that are within you, I deal with and clean you and protect you."
[00:38:06.500 --> 00:38:10.500]   You need to go to the Lord with that and find that kind of strength.
[00:38:10.500 --> 00:38:13.500]   The Lord will give me strength to overcome sin.
[00:38:13.500 --> 00:38:19.500]   The Lord will be there, present, right hand, right there, readily available.
[00:38:19.500 --> 00:38:24.500]   And there are some of you, there are some of you, I don't doubt,
[00:38:24.500 --> 00:38:27.500]   that have questioned whether you are a believer or not.
[00:38:27.500 --> 00:38:30.500]   Right? I'm pretty sure there are.
[00:38:30.500 --> 00:38:35.500]   There are some of you who have failed in some way or another
[00:38:35.500 --> 00:38:38.500]   where you believe, "I don't think God is going to approve of me.
[00:38:38.500 --> 00:38:41.500]   How in the world is God going to receive me?
[00:38:41.500 --> 00:38:44.500]   How in the world is God going to accept me?"
[00:38:44.500 --> 00:38:47.500]   Now, I'm not going to say, "Oh, the Lord keeps everybody and saves everybody."
[00:38:47.500 --> 00:38:49.500]   But this is what I'm going to say.
[00:38:49.500 --> 00:38:52.500]   The Lord is sovereign. The Lord is sovereign.
[00:38:52.500 --> 00:38:57.500]   Furthermore, His forgiveness when He gives it is His prerogative.
[00:38:57.500 --> 00:38:59.500]   What am I saying?
[00:38:59.500 --> 00:39:01.500]   Because the Lord is our keeper, He says,
[00:39:01.500 --> 00:39:06.500]   "Anybody who confesses and repents in genuineness, I forgive."
[00:39:06.500 --> 00:39:09.500]   That forgiveness is His prerogative.
[00:39:09.500 --> 00:39:13.500]   So for you to sit there and say, "Oh, the Lord is not going to approve me.
