
[00:00:00.000 --> 00:00:05.360]   Okay, thank you.
[00:21:30.760 --> 00:21:31.880]   You get to go back into the temple.
[00:21:31.880 --> 00:21:32.880]   You're restored to your family.
[00:21:32.880 --> 00:21:37.920]   I mean, if this guy's our king, we're set.
[00:21:37.920 --> 00:21:43.880]   In fact, when Jesus came in and He was under the trial with Pontius Pilate, He said, "They
[00:21:43.880 --> 00:21:45.720]   are saying that you are the king of the Jews.
[00:21:45.720 --> 00:21:46.720]   Are you He?"
[00:21:46.720 --> 00:21:50.680]   And Jesus says, "It is as you say."
[00:21:50.680 --> 00:21:55.160]   Jesus was not forsaking His kingship.
[00:21:55.160 --> 00:22:01.480]   Jesus is actually publicly declaring, "I am the king."
[00:22:01.480 --> 00:22:09.160]   But the problem is what they wanted from their king was to come and fight for them because
[00:22:09.160 --> 00:22:16.040]   they thought that if their king came, just like Moses delivered the Israelites from the
[00:22:16.040 --> 00:22:19.840]   Egyptians, that our Messiah and our king is going to come, and He's going to fight for
[00:22:19.840 --> 00:22:23.080]   us, and He's going to put us in this right place.
[00:22:23.080 --> 00:22:28.960]   But Jesus says in John 18.36, "Jesus answered, 'My kingdom is not of this world.
[00:22:28.960 --> 00:22:32.560]   If my kingdom were of this world, then my servants would be fighting so that I would
[00:22:32.560 --> 00:22:39.600]   not be handed over to the Jews, but as it is, my kingdom is not of this world.'"
[00:22:39.600 --> 00:22:44.800]   Think about how much energy is being poured right now to make this kingdom, this earthly
[00:22:44.800 --> 00:22:47.920]   kingdom a better place.
[00:22:47.920 --> 00:22:53.200]   Because we think if we love Jesus, we need to unite and fight for these causes because
[00:22:53.200 --> 00:22:56.840]   we want this kingdom to be the place that we want to live.
[00:22:56.840 --> 00:23:01.280]   See, that's exactly what the Jews were wanting and begging.
[00:23:01.280 --> 00:23:06.400]   Because they thought that when Jesus came, whatever oppression that they felt, whatever
[00:23:06.400 --> 00:23:10.360]   disenfranchisement that they felt, because they were being treated as second, third,
[00:23:10.360 --> 00:23:13.160]   fourth class citizens in the Roman kingdom.
[00:23:13.160 --> 00:23:17.400]   So if Messiah comes, He's going to deliver us from that so that we can have the same
[00:23:17.400 --> 00:23:19.160]   benefits as the Roman citizens.
[00:23:19.160 --> 00:23:20.880]   We can go where we need to go.
[00:23:20.880 --> 00:23:23.880]   We can have our children go to the schools that they want to go.
[00:23:23.880 --> 00:23:27.040]   So we need the Messiah to make this right.
[00:23:27.040 --> 00:23:28.680]   And that's why they were so excited.
[00:23:28.680 --> 00:23:33.960]   In fact, the book of Matthew says the excitement was so great, there was a seismic stir, where
[00:23:33.960 --> 00:23:37.840]   we get the word seismology, an earthquake.
[00:23:37.840 --> 00:23:43.000]   In fact, they said there, many historians think that there were probably close to 2
[00:23:43.000 --> 00:23:45.320]   million people in Jerusalem.
[00:23:45.320 --> 00:23:49.480]   And the way that they calculate that is they have a record of how many lambs were killed
[00:23:49.480 --> 00:23:50.920]   during the Passover.
[00:23:50.920 --> 00:23:53.200]   And so there's 10 people.
[00:23:53.200 --> 00:23:55.660]   Usually you would need one lamb for every 10 person.
[00:23:55.660 --> 00:23:59.520]   And so they calculated all of that, and they said it could have been as many as 2 million
[00:23:59.520 --> 00:24:01.920]   if they go by the number of the lambs.
[00:24:01.920 --> 00:24:06.720]   The lowest number I've seen is somewhere around 250 to 500,000 people.
[00:24:06.720 --> 00:24:11.600]   Whether you believe it's 250,000 or 2 million people, there was a tremendous number of people
[00:24:11.600 --> 00:24:12.980]   in Jerusalem.
[00:24:12.980 --> 00:24:18.280]   And on top of that, Jesus just healed Lazarus, a very prominent person.
[00:24:18.280 --> 00:24:20.380]   And so this rumor started to spread.
[00:24:20.380 --> 00:24:21.380]   Is He the Messiah?
[00:24:21.380 --> 00:24:22.380]   Is He the Messiah?
[00:24:22.380 --> 00:24:24.700]   And they said, well, He healed Lazarus.
[00:24:24.700 --> 00:24:27.020]   He actually even raised somebody from the dead.
[00:24:27.020 --> 00:24:34.640]   So all these people came into town thinking, finally, our king is coming, and He's going
[00:24:34.640 --> 00:24:38.940]   to overthrow the Romans and put us in the right place.
[00:24:38.940 --> 00:24:43.260]   See, Jesus came, and He wasn't resisting His kingship.
[00:24:43.260 --> 00:24:48.540]   But the problem was His kingdom is not of this world.
[00:24:48.540 --> 00:24:50.300]   They wanted to get going.
[00:24:50.300 --> 00:24:51.800]   Remember Peter himself.
[00:24:51.800 --> 00:24:53.980]   That's what was in his mind at Gethsemane.
[00:24:53.980 --> 00:24:58.740]   When the guards of the temple came, remember Peter?
[00:24:58.740 --> 00:24:59.740]   That's what he was thinking, too.
[00:24:59.740 --> 00:25:00.740]   He took out his sword.
[00:25:00.740 --> 00:25:01.740]   He was ready to fight.
[00:25:01.740 --> 00:25:02.740]   He's a fisherman.
[00:25:02.740 --> 00:25:06.620]   He doesn't know how to wield a sword.
[00:25:06.620 --> 00:25:10.740]   So he swings, and he misses, and he cuts the ear.
[00:25:10.740 --> 00:25:13.620]   It's very comical.
[00:25:13.620 --> 00:25:18.260]   And all it says is Jesus picked it up and put it back on.
[00:25:18.260 --> 00:25:22.260]   Peter was ready to fight, because that's what all the Jews were thinking.
[00:25:22.260 --> 00:25:23.380]   Now.
[00:25:23.380 --> 00:25:24.380]   Is it now?
[00:25:24.380 --> 00:25:26.900]   You want me to take the sword out now?
[00:25:26.900 --> 00:25:29.340]   And Jesus said something weird that they didn't understand.
[00:25:29.340 --> 00:25:32.340]   "He who lives by the sword shall die by the sword."
[00:25:32.340 --> 00:25:35.980]   Okay, so we're not going to use swords?
[00:25:35.980 --> 00:25:36.980]   Maybe spears?
[00:25:36.980 --> 00:25:37.980]   Like, what?
[00:25:37.980 --> 00:25:40.720]   What are we ... We're about to fight.
[00:25:40.720 --> 00:25:41.720]   We have our general.
[00:25:41.720 --> 00:25:44.240]   We have our king.
[00:25:44.240 --> 00:25:46.240]   They didn't understand.
[00:25:46.240 --> 00:25:52.700]   And when Jesus said, "If this was my kingdom, I don't need you."
[00:25:52.700 --> 00:25:56.260]   You guys can't even get along.
[00:25:56.260 --> 00:25:57.260]   I don't need you.
[00:25:57.260 --> 00:26:01.100]   I will bring angels of my own and wipe them out.
[00:26:01.100 --> 00:26:04.420]   I don't need a tiny sword that can't even hit the middle of the head and cut off people's
[00:26:04.420 --> 00:26:05.420]   ears.
[00:26:05.420 --> 00:26:06.420]   I don't need soldiers like you.
[00:26:06.420 --> 00:26:13.020]   He said, "But this is not my kingdom that I came to fight for."
[00:26:13.020 --> 00:26:17.380]   Colossians 1.13, "For he rescued us from the domain of darkness, transferred us to the
[00:26:17.380 --> 00:26:19.900]   kingdom of his beloved son."
[00:26:19.900 --> 00:26:21.980]   We're in the kingdom of his beloved son.
[00:26:21.980 --> 00:26:23.700]   He's our king now.
[00:26:23.700 --> 00:26:30.900]   See, this kingdom that we are a part of is already perfect because we have the perfect
[00:26:30.900 --> 00:26:32.100]   ruler.
[00:26:32.100 --> 00:26:37.140]   This kingdom is already economically perfect because he's our ruler.
[00:26:37.140 --> 00:26:41.580]   The only problem that we have is we keep reaching back to the old kingdom.
[00:26:41.580 --> 00:26:44.700]   We keep wanting to live in both kingdoms.
[00:26:44.700 --> 00:26:46.780]   But Jesus says, "I have come to establish my kingdom."
[00:26:46.780 --> 00:26:50.660]   Hebrews 4.16, it says, "Therefore, let us draw near with the confidence to the throne
[00:26:50.660 --> 00:26:54.860]   of grace so that we may receive mercy and find grace and help of need."
[00:26:54.860 --> 00:26:57.820]   Notice here he says, "To draw near to what?
[00:26:57.820 --> 00:27:06.740]   To the throne of grace, to the kingdom where our Lord reigns."
[00:27:06.740 --> 00:27:14.700]   We get into so much trouble because we think that the greatest need of our generation,
[00:27:14.700 --> 00:27:18.940]   greatest need for us, for our children, for our future, is to make the right decision,
[00:27:18.940 --> 00:27:21.540]   have the right leaders, have the right people, have the right family.
[00:27:21.540 --> 00:27:26.660]   And if we do that, then we will be good.
[00:27:26.660 --> 00:27:32.500]   You remember in 1 Samuel 8, verse 7, where the Israelites are demanding a king for themselves?
[00:27:32.500 --> 00:27:37.780]   And Samuel is offended by that because God was ruling through his prophets.
[00:27:37.780 --> 00:27:43.740]   But he said, "No, all of our problem is because we don't have a king like they do.
[00:27:43.740 --> 00:27:47.140]   If we had the king that they had, we wouldn't have this problem."
[00:27:47.140 --> 00:27:49.380]   So they demanded to have a king of their own.
[00:27:49.380 --> 00:27:53.500]   And God says to Samuel in verse 7, the Lord said to Samuel, "Listen to the voice of people
[00:27:53.500 --> 00:27:58.340]   in regard to all that they say to you, for they have not rejected you, but they have
[00:27:58.340 --> 00:28:03.580]   rejected me from being king over them."
[00:28:03.580 --> 00:28:06.860]   This is why they miss Jesus.
[00:28:06.860 --> 00:28:11.060]   Because the kingdom that they were thinking about, and they thought the solution was that
[00:28:11.060 --> 00:28:16.380]   somehow God helped us to get the king that we want.
[00:28:16.380 --> 00:28:19.860]   Sometimes we think of lordship as, these are the things, this is what I think is going
[00:28:19.860 --> 00:28:21.060]   to make me happy.
[00:28:21.060 --> 00:28:25.100]   And then we come to Jesus like, "Please help me.
[00:28:25.100 --> 00:28:26.180]   Help me pay my bills.
[00:28:26.180 --> 00:28:27.180]   Help me to have peace.
[00:28:27.180 --> 00:28:28.260]   Help me for my family.
[00:28:28.260 --> 00:28:29.260]   Help me to do this."
[00:28:29.260 --> 00:28:34.020]   And Jesus becomes nothing more than a cosmic bellhop that comes and is just waiting to
[00:28:34.020 --> 00:28:36.300]   serve us.
[00:28:36.300 --> 00:28:37.900]   He's a holy servant just waiting.
[00:28:37.900 --> 00:28:38.900]   What do you want?
[00:28:38.900 --> 00:28:39.900]   Oh, what's going on?
[00:28:39.900 --> 00:28:40.900]   Oh, you're sad?
[00:28:40.900 --> 00:28:43.420]   Are you hungry?
[00:28:43.420 --> 00:28:46.860]   He came to establish his kingdom.
[00:28:46.860 --> 00:28:48.540]   And that's what the riding of the donkey was.
[00:28:48.540 --> 00:28:50.540]   I am the king.
[00:28:50.540 --> 00:29:02.460]   See, if we're not careful, we embrace Jesus as our savior, but we reject him as our king.
[00:29:02.460 --> 00:29:09.380]   Because a savior doesn't demand undivided loyalty, because he saves us.
[00:29:09.380 --> 00:29:10.380]   He just comes to save us.
[00:29:10.380 --> 00:29:12.260]   He just forgives us.
[00:29:12.260 --> 00:29:14.580]   What a king does.
[00:29:14.580 --> 00:29:20.940]   A savior does not judge your spending habits, but the king does.
[00:29:20.940 --> 00:29:27.160]   A savior does not ask for obedience, but the king does.
[00:29:27.160 --> 00:29:34.380]   If you do not know King Jesus, you may not know the Savior Jesus, because they are the
[00:29:34.380 --> 00:29:37.100]   same person.
[00:29:37.100 --> 00:29:42.620]   You don't embrace the cross and then reject his kingdom.
[00:29:42.620 --> 00:29:47.660]   You don't embrace Jesus as my servant, and he serves me, and he loves me, cares for me,
[00:29:47.660 --> 00:29:50.620]   and then you know nothing about the kingship of Christ.
[00:29:50.620 --> 00:29:57.820]   See, the donkey represented his kingship to establish his throne.
[00:29:57.820 --> 00:30:05.020]   Third and finally, Jesus rode the donkey to ultimately bring peace.
[00:30:05.020 --> 00:30:08.740]   In Zechariah 9.10, it says, "I will cut off the chariots from Ephraim and the horse from
[00:30:08.740 --> 00:30:15.900]   Jerusalem, and the bow of war will be cut off, and he will speak peace to the nations."
[00:30:15.900 --> 00:30:19.940]   He's going to come as a king, humbled on a donkey, but the purpose of all of this, he
[00:30:19.940 --> 00:30:22.620]   says, is to bring peace.
[00:30:22.620 --> 00:30:28.940]   In fact, remember when I read Genesis 49.10, this prophecy of the coming Messiah, he says,
[00:30:28.940 --> 00:30:32.340]   "The scepter shall not depart from Judah, nor the rulers shall be between his feet,
[00:30:32.340 --> 00:30:33.820]   until Shiloh comes."
[00:30:33.820 --> 00:30:39.880]   The word Shiloh in Hebrew means tranquility, peace.
[00:30:39.880 --> 00:30:45.080]   In Isaiah, Jesus is called the Prince of Peace.
[00:30:45.080 --> 00:30:52.000]   The irony of all of this is that that's exactly what the Jews wanted.
[00:30:52.000 --> 00:30:53.000]   They wanted peace.
[00:30:53.000 --> 00:30:57.740]   In fact, they wanted it so much that every time they greeted each other, they would say
[00:30:57.740 --> 00:30:58.740]   "Shalom."
[00:30:59.740 --> 00:31:05.300]   "Shalom to you," and then the person receiving that will say again, "Shalom to you."
[00:31:05.300 --> 00:31:08.660]   And so for generations after generations, they would say, "Peace, peace."
[00:31:08.660 --> 00:31:13.380]   But the word Shalom means more than simple peace.
[00:31:13.380 --> 00:31:18.100]   It was understood that when God brings peace, when He gives you peace, that there's going
[00:31:18.100 --> 00:31:20.420]   to be wholeness.
[00:31:20.420 --> 00:31:22.900]   Whatever is broken is going to be mended.
[00:31:22.900 --> 00:31:25.860]   Whatever has gone wrong is going to be fixed.
[00:31:25.860 --> 00:31:29.180]   It means to be complete, to be whole.
[00:31:29.180 --> 00:31:31.100]   You know what's interesting?
[00:31:31.100 --> 00:31:34.700]   Is that the Muslim world, they greet each other in similar fashion.
[00:31:34.700 --> 00:31:41.100]   If you have any Muslim friends, the way they greet you is "Maleka As-salam," right?
[00:31:41.100 --> 00:31:44.180]   Or "As-salam maleko," that's what it says.
[00:31:44.180 --> 00:31:48.060]   "As-salam maleko" basically means, "Peace be unto you."
[00:31:48.060 --> 00:31:54.100]   And then the person receiving that will say, "Maleko as-salam," meaning, "Unto you,
[00:31:54.100 --> 00:31:55.980]   peace," in reverse.
[00:31:55.980 --> 00:31:58.760]   So that's the way that the Muslim world greets each other.
[00:31:58.760 --> 00:32:02.820]   So the Jews would greet each other, say, "Shalom," and the Muslims will greet each other by saying,
[00:32:02.820 --> 00:32:05.700]   "Peace unto you."
[00:32:05.700 --> 00:32:10.500]   And the irony of all of this is that even though we, you and I, may not say, "Peace unto you,"
[00:32:10.500 --> 00:32:14.340]   when we say, "Happy New Year," or "Happy Birthday," right?
[00:32:14.340 --> 00:32:17.220]   "Blessings to you," we mean the same thing.
[00:32:17.220 --> 00:32:20.740]   Like, we want to be whole.
[00:32:20.740 --> 00:32:23.420]   We want whatever has gone wrong to be fixed.
[00:32:23.420 --> 00:32:25.780]   If you are sick, to be healed.
[00:32:25.780 --> 00:32:31.500]   If you're having financial problems, hopefully in the new year, God will bless you with money.
[00:32:31.500 --> 00:32:34.660]   Whatever has gone wrong, God bless you.
[00:32:34.660 --> 00:32:39.140]   And so that's what we mean, "Shalom," and that's what they mean when they say, "Shalom."
[00:32:39.140 --> 00:32:44.740]   And the irony of all of this is that as they were desperately waiting for the king, and
[00:32:44.740 --> 00:32:51.660]   as they were desperately waiting for peace, in Luke chapter 19, 41 to 42, as Jesus is
[00:32:51.660 --> 00:32:57.100]   riding on the donkey with the seismic stir of possibly up to two million people waving
[00:32:57.100 --> 00:33:04.660]   the palm branches, receiving their king, we find Jesus weeping in verse 41.
[00:33:04.660 --> 00:33:09.920]   When he approached Jerusalem, he saw the city and wept over it, saying, "If you had known
[00:33:09.920 --> 00:33:15.220]   in this day, even you, the things which make for peace, but now they have been hidden from
[00:33:15.220 --> 00:33:18.300]   your eyes."
[00:33:18.300 --> 00:33:25.300]   What they have desperately so wanted, they completely missed, and they ended up crucifying
[00:33:25.300 --> 00:33:27.760]   him.
[00:33:27.760 --> 00:33:32.180]   So much of our lives is seeking peace.
[00:33:32.180 --> 00:33:37.940]   If you came from a poor family, you think, "Man, if I could just make money, and I don't
[00:33:37.940 --> 00:33:43.300]   want to have the turmoil that my parents went through, so if I can just have a successful
[00:33:43.300 --> 00:33:46.580]   business, I will have peace.
[00:33:46.580 --> 00:33:55.200]   If my children go to the right school, under the right politicians, I would have peace.
[00:33:55.200 --> 00:34:00.580]   If I just had the right friends, right environment, and right neighborhood, and the right house,
[00:34:00.580 --> 00:34:03.260]   I will have peace."
[00:34:03.260 --> 00:34:08.260]   And so we strive from place to place, and there's so much talk right now about going
[00:34:08.260 --> 00:34:11.380]   to different states to find peace.
[00:34:11.380 --> 00:34:17.620]   And if we're not careful, if we're not careful, we will fall under the same delusion as the
[00:34:17.620 --> 00:34:22.340]   Jews as they were waiting for the king and wanting so much to have peace, thinking that
[00:34:22.340 --> 00:34:27.500]   somehow if they changed, if they moved the puzzles around and bought the house in the
[00:34:27.500 --> 00:34:31.780]   right place and went to the right area, our children would have peace, I would have peace,
[00:34:31.780 --> 00:34:35.900]   I would be able to worship God in peace, I would raise our children in peace, retire
[00:34:35.900 --> 00:34:39.060]   in peace.
[00:34:39.060 --> 00:34:48.460]   In the middle of seeking peace, they completely missed the prince of peace.
[00:34:48.460 --> 00:34:58.900]   You remember in Genesis chapter 22, where Isaiah is called, or Abraham is called to
[00:34:58.900 --> 00:35:04.780]   sacrifice Isaiah, and we know this whole event is a fulfillment of that promise.
[00:35:04.780 --> 00:35:12.300]   As Abraham takes up the knife to strike him down, just as God told him to, God says, "Stop,"
[00:35:12.300 --> 00:35:16.300]   and he says, "I will provide."
[00:35:16.300 --> 00:35:18.420]   And that's exactly what he's doing this week.
[00:35:18.420 --> 00:35:25.220]   He's fulfilling that promise that he made, and he will take the place of Isaac to be
[00:35:25.220 --> 00:35:28.020]   that sacrifice.
[00:35:28.020 --> 00:35:32.220]   In Genesis chapter 22 verse 3, it says this, "So Abraham rose early in the morning and
[00:35:32.220 --> 00:35:40.300]   saddled his donkey and took two of his young men with him and Isaac, his son."
[00:35:40.300 --> 00:35:44.140]   Isaac rode that donkey to go to the cross.
[00:35:44.140 --> 00:35:53.460]   So him being on that donkey not only represented his public and specific fulfillment of his
[00:35:53.460 --> 00:35:59.900]   will, it wasn't just simply to him to declare his kingship, it was to bring peace that only
[00:35:59.900 --> 00:36:00.900]   he could bring.
[00:36:00.900 --> 00:36:05.820]   In Ephesians 2, 17, it says, "And he came and preached peace to you who were far away
[00:36:05.820 --> 00:36:09.340]   and peace to those who were near."
[00:36:09.340 --> 00:36:13.780]   Again in Ephesians 6, 15, talking about the gospel, "Your feet will be preparation for
[00:36:13.780 --> 00:36:18.340]   the gospel of peace."
[00:36:18.340 --> 00:36:24.540]   In the last year or two years, we've been hearing that phrase, "No justice, no peace."
[00:36:24.540 --> 00:36:27.060]   No justice, no peace.
[00:36:27.060 --> 00:36:30.260]   And we are hearing it, we're reading it, declaring it.
[00:36:30.260 --> 00:36:34.760]   People are united for this purpose.
[00:36:34.760 --> 00:36:41.860]   But be careful, because that's exactly what the Jews were doing.
[00:36:41.860 --> 00:36:48.660]   Because they thought that if their king came, that he was going to fix the government.
[00:36:48.660 --> 00:36:50.800]   He was going to fix the economy.
[00:36:50.800 --> 00:36:52.980]   He was going to fix their family.
[00:36:52.980 --> 00:36:54.580]   He was going to fix their future.
[00:36:54.580 --> 00:36:56.080]   He was going to fix their standing.
[00:36:56.080 --> 00:36:58.820]   He was going to fix their temple.
[00:36:58.820 --> 00:37:02.780]   Yet in the midst of all of that, they completely missed him.
[00:37:02.780 --> 00:37:07.420]   Jesus says in John 14, 27, "Peace I leave with you.
[00:37:07.420 --> 00:37:09.240]   My peace I give to you.
[00:37:09.240 --> 00:37:11.260]   Not as the world gives do I give to you.
[00:37:11.260 --> 00:37:16.500]   Do not let your heart be troubled, nor let it be fearful."
[00:37:16.500 --> 00:37:22.580]   You cannot have the peace of God without the peace with God.
[00:37:22.580 --> 00:37:27.900]   So this week is to get us to be recalibrated.
[00:37:27.900 --> 00:37:32.260]   Recalibrate our hearts, because our natural tendency, my bet is, there's not a single
[00:37:32.260 --> 00:37:37.580]   person in here who doesn't have some sort of turmoil in your heart.
[00:37:37.580 --> 00:37:40.740]   There's not a single person in here that doesn't have something to grieve over.
[00:37:40.740 --> 00:37:45.420]   There's not a single person in here that doesn't have something to pray desperately over, whether
[00:37:45.420 --> 00:37:48.140]   we are actually doing that or not.
[00:37:48.140 --> 00:37:52.380]   But where do you find this peace?
[00:37:52.380 --> 00:37:56.060]   Do you believe that Jesus is our peace?
[00:37:56.060 --> 00:38:00.300]   Do you believe that Jesus is the Prince of Peace?
[00:38:00.300 --> 00:38:05.460]   So we pray that this week, as we go over the details of what happened every day, that we
[00:38:05.460 --> 00:38:06.940]   don't look to man for answers.
[00:38:06.940 --> 00:38:08.420]   We don't look to government for answers.
[00:38:08.420 --> 00:38:10.100]   We don't look to organizations for answers.
[00:38:10.100 --> 00:38:15.380]   We don't hold hands and say, "You know, we're going to finally get the justice that we deserve."
[00:38:15.380 --> 00:38:24.180]   Because the only person who can actually declare desire or demand justice is Jesus Christ.
[00:38:24.180 --> 00:38:28.940]   A sinner who demands justice is demanding punishment.
[00:38:28.940 --> 00:38:31.980]   It is not justice that you and I desire.
[00:38:31.980 --> 00:38:33.420]   It is mercy.
[00:38:33.420 --> 00:38:37.740]   And that's exactly what Jesus came to do, to give us mercy.
[00:38:37.740 --> 00:38:41.660]   I'm going to ask the praise team to come up.
[00:38:41.660 --> 00:38:47.940]   And I want to read a portion of this hymn that you guys all know very well.
[00:38:47.940 --> 00:38:49.940]   It is "Well With My Soul."
[00:38:49.940 --> 00:38:56.540]   You know the story behind Horatio Spafford, who was a famous and very successful attorney
[00:38:56.540 --> 00:39:00.180]   who made a lot of money, and he turned that money into more money by purchasing all this
[00:39:00.180 --> 00:39:01.180]   property.
[00:39:01.180 --> 00:39:02.180]   So he became a very wealthy man.
[00:39:02.180 --> 00:39:07.500]   But there was a huge fire that broke out in Chicago, and he lost everything overnight.
[00:39:07.500 --> 00:39:11.980]   Feeling distraught, he sent his family, his four girls and his wife, over to England so
[00:39:11.980 --> 00:39:14.700]   that possibly he could start over over there.
[00:39:14.700 --> 00:39:23.060]   But on this journey, the ship has a shipwreck, and all four of his girls died, and only his
[00:39:23.060 --> 00:39:24.100]   wife survived.
[00:39:24.100 --> 00:39:29.340]   She ends up going to England and sends him a wire saying, "All is lost.
[00:39:29.340 --> 00:39:32.020]   All four of our children are gone."
[00:39:32.020 --> 00:39:37.700]   In his bereavement, he gets on the boat to go join his wife to comfort her.
[00:39:37.700 --> 00:39:43.260]   And on his journey, riding the boat, they were crossing exactly the same place where
[00:39:43.260 --> 00:39:44.940]   his daughters died.
[00:39:44.940 --> 00:39:50.940]   And on the intercom, the captain of the boat said, "This is where that other boat sank."
[00:39:50.940 --> 00:39:55.780]   And as he was looking upon the waters, he wrote this hymn.
[00:39:55.780 --> 00:40:00.620]   And in this hymn, he says, "When peace like a river attendeth my way, when sorrows like
[00:40:00.620 --> 00:40:08.340]   sea billows roll, whatever my lot thou hast taught me to say, it is well with my soul.
[00:40:08.340 --> 00:40:10.900]   It is well with my soul.
[00:40:10.900 --> 00:40:17.480]   Though Satan should buffet, though trials should come, let this best assurance control
[00:40:17.480 --> 00:40:23.360]   that Christ has regarded my helpless estate and has shed his own blood for my soul.
[00:40:23.360 --> 00:40:25.140]   It is well with my soul.
[00:40:25.140 --> 00:40:26.960]   It is well.
[00:40:26.960 --> 00:40:33.820]   My sin, O the bliss of this glorious thought, my sin not in part but the whole, is nailed
[00:40:33.820 --> 00:40:36.140]   to the cross and I bear it no more.
[00:40:36.140 --> 00:40:37.140]   Praise the Lord.
[00:40:37.140 --> 00:40:38.140]   Praise the Lord.
[00:40:38.140 --> 00:40:39.140]   O my soul, it is well.
[00:40:39.140 --> 00:40:40.140]   It is well with my soul.
[00:40:40.140 --> 00:40:41.140]   It is well."
[00:40:41.140 --> 00:40:47.340]   How can a human being write this?
[00:40:47.340 --> 00:40:54.380]   In the situation that he was in, watching over the very waters where his four beloved
[00:40:54.380 --> 00:41:01.000]   daughters drowned, to say, "It is well with my soul.
[00:41:01.000 --> 00:41:04.540]   It is well with my soul."
[00:41:04.540 --> 00:41:11.580]   Only a man who has found peace in Christ can write these words.
[00:41:11.580 --> 00:41:16.580]   These aren't words that a natural man can write in the situation that he is in.
[00:41:16.580 --> 00:41:18.580]   It is well with my soul.
[00:41:18.580 --> 00:41:21.220]   It is well.
[00:41:21.220 --> 00:41:23.620]   What makes you well?
[00:41:23.620 --> 00:41:26.540]   What do you think is going to make you well?
[00:41:26.540 --> 00:41:29.660]   What are you pursuing because you want peace?
[00:41:29.660 --> 00:41:36.380]   I pray that each one of us would take this week deliberately to walk through the steps
[00:41:36.380 --> 00:41:41.180]   as he goes to the cross and recognize that this is why he came.
[00:41:41.180 --> 00:41:49.780]   [BLANK_AUDIO]

