
[00:00:00.000 --> 00:00:05.560]   Yeah, last sermon.
[00:23:23.340 --> 00:23:31.300]   And finally, someone from the outside comes in, making wide a path of salvation to save
[00:23:31.300 --> 00:23:36.000]   them, to have a path of escape.
[00:23:36.000 --> 00:23:38.740]   This happened to Israel, literally speaking.
[00:23:38.740 --> 00:23:39.740]   Right?
[00:23:39.740 --> 00:23:43.620]   It's not, we're not, I don't want to jump ahead to the theological truth, but literally
[00:23:43.620 --> 00:23:45.340]   this happened to Israel.
[00:23:45.340 --> 00:23:46.340]   Right?
[00:23:46.340 --> 00:23:51.300]   Deuteronomy chapter 20 verse 4 in the NASB, it says, "For the Lord your God is with, is
[00:23:51.300 --> 00:23:57.020]   the one who goes with you to fight for you against your enemies, to save you."
[00:23:57.020 --> 00:24:04.220]   Again, that word there, save, it refers to making wide.
[00:24:04.220 --> 00:24:08.660]   And we see in Joshua, right, in the book of Joshua, the whole entire book is about this
[00:24:08.660 --> 00:24:13.900]   conquest that Israel partakes in with God's help.
[00:24:13.900 --> 00:24:15.060]   Right?
[00:24:15.060 --> 00:24:17.980]   These cities were occupied with other people.
[00:24:17.980 --> 00:24:22.180]   Israel was utterly afraid that these other cities are going to destroy them.
[00:24:22.180 --> 00:24:27.220]   And God promises them, "I will save you by making wide the path of victory."
[00:24:27.220 --> 00:24:28.900]   And what happens, right?
[00:24:28.900 --> 00:24:31.820]   Jericho, the walls fall down.
[00:24:31.820 --> 00:24:38.220]   So again, salvation is making wide.
[00:24:38.220 --> 00:24:43.260]   The image of making wide is also a good picture to illustrate the spiritual truth of our salvation.
[00:24:43.260 --> 00:24:44.260]   Right?
[00:24:44.260 --> 00:24:50.260]   I mean, when we think about our lives before we met Christ, we were surrounded by sin.
[00:24:50.260 --> 00:24:53.820]   Not just outwardly, but inwardly, entangled in it.
[00:24:53.820 --> 00:24:54.820]   We were depraved.
[00:24:54.820 --> 00:24:58.660]   And on top of that, we knew that we were depraved.
[00:24:58.660 --> 00:25:01.780]   And so we were guilty by our own sins.
[00:25:01.780 --> 00:25:04.420]   And what do we do with this guilt?
[00:25:04.420 --> 00:25:12.020]   This world tells us to suppress it, to ignore it, move on, focus on happier things.
[00:25:12.020 --> 00:25:15.560]   But God says, "That is not the answer.
[00:25:15.560 --> 00:25:22.620]   If you want to be saved from your sins, I'm going to make wide this road of salvation."
[00:25:22.620 --> 00:25:28.620]   And when you take on that road of salvation, you're not walking on it alone.
[00:25:28.620 --> 00:25:34.040]   Christ will be there with you, walking every step of the way.
[00:25:34.040 --> 00:25:36.480]   That is salvation.
[00:25:36.480 --> 00:25:40.900]   Making wide in a world messed up by sin.
[00:25:40.900 --> 00:25:46.500]   And we know that the only way in which that path was made wide for us is because of what
[00:25:46.500 --> 00:25:50.180]   Christ has accomplished on the cross.
[00:25:50.180 --> 00:25:51.240]   I mean, think about it.
[00:25:51.240 --> 00:25:56.380]   Think about when this phrase of making wide, I mean, the sensation that comes with it.
[00:25:56.380 --> 00:25:59.020]   You have freedom.
[00:25:59.020 --> 00:26:00.220]   There's space.
[00:26:00.220 --> 00:26:04.340]   There's space to breathe, to move around, to do stuff.
[00:26:04.340 --> 00:26:05.340]   Think about China.
[00:26:05.340 --> 00:26:06.340]   Think about the buses there.
[00:26:06.340 --> 00:26:09.020]   And the buses are always packed with people.
[00:26:09.020 --> 00:26:10.560]   You know?
[00:26:10.560 --> 00:26:14.940]   And I think the greatest feeling in the world is when the bus comes packed with people to
[00:26:14.940 --> 00:26:19.900]   your bus stop, and when it stops at your bus stop, all those people leave the bus, and
[00:26:19.900 --> 00:26:21.980]   you get to go in to an empty bus.
[00:26:21.980 --> 00:26:25.080]   It's wide open.
[00:26:25.080 --> 00:26:26.080]   That is salvation.
[00:26:26.080 --> 00:26:33.020]   You know, I get, like, singing this song about amazing grace, you know, like, I've sang this
[00:26:33.020 --> 00:26:38.140]   song so many times, but for today, it was just a different, it was just a different
[00:26:38.140 --> 00:26:40.780]   feel to it.
[00:26:40.780 --> 00:26:45.640]   Being understanding that we have been, you know, our chains have been set free.
[00:26:45.640 --> 00:26:46.640]   That we have salvation.
[00:26:46.640 --> 00:26:52.480]   And it's made wide for us, for us to enjoy.
[00:26:52.480 --> 00:26:55.680]   Salvation.
[00:26:55.680 --> 00:26:58.160]   That is what this King is bringing.
[00:26:58.160 --> 00:27:06.360]   Behold, your King is coming to you, righteous, and having salvation.
[00:27:06.360 --> 00:27:13.360]   The last characteristic of this King, Zechariah 9, is humble.
[00:27:13.360 --> 00:27:16.160]   He is a humble King.
[00:27:16.160 --> 00:27:21.680]   Definition of humility in Hebrew, I'm just going to read it, but it says, "This adjective
[00:27:21.680 --> 00:27:28.000]   stresses the moral and spiritual condition of the godly as the goal of affliction, implying
[00:27:28.000 --> 00:27:33.180]   that the state is joined with a suffering life rather than with one of worldly happiness
[00:27:33.180 --> 00:27:34.180]   and abundance."
[00:27:34.180 --> 00:27:41.520]   In other words, humility is choosing the hard path of suffering because it is the path that
[00:27:41.520 --> 00:27:46.120]   will enhance and draw the believer closer to God.
[00:27:46.120 --> 00:27:49.600]   Humility does not mean we are passive.
[00:27:49.600 --> 00:27:54.460]   Humility does not mean we are limp, like a wet noodle.
[00:27:54.460 --> 00:27:58.920]   Humility means we make a purposeful decision to no longer live for ourselves, but to live
[00:27:58.920 --> 00:28:00.840]   for Christ.
[00:28:00.840 --> 00:28:08.240]   Because we know that path will draw us closer to God.
[00:28:08.240 --> 00:28:13.600]   There is no other motive in choosing this harder path of suffering other than to have
[00:28:13.600 --> 00:28:17.740]   God and no one else.
[00:28:17.740 --> 00:28:24.340]   I mean, when you look at Zechariah 9, 9, and you can go back to Matthew chapter 21 for
[00:28:24.340 --> 00:28:39.820]   the rest of this sermon, but in Matthew chapter 21, notice that Matthew does not really put
[00:28:39.820 --> 00:28:44.720]   the full content of Zechariah 9, 9 in here, right?
[00:28:44.720 --> 00:28:48.620]   Verse 5 says, "Say to the daughter of Zion, 'Behold, your king is coming to you.'"
[00:28:48.620 --> 00:28:49.620]   Okay.
[00:28:49.620 --> 00:28:50.620]   Humble.
[00:28:50.620 --> 00:28:52.620]   Wait a minute.
[00:28:52.620 --> 00:28:59.020]   Zechariah talks about righteousness and bringing salvation.
[00:28:59.020 --> 00:29:00.980]   Where's that?
[00:29:00.980 --> 00:29:02.900]   Did Matthew make a mistake?
[00:29:02.900 --> 00:29:10.820]   Did Matthew, was he trying to like, you know, did he just have a bad copy of the Old Testament?
[00:29:10.820 --> 00:29:12.740]   No.
[00:29:12.740 --> 00:29:21.280]   Matthew wanted us to focus on the fact that though he is being triumphantly received by
[00:29:21.280 --> 00:29:27.980]   the people of Israel, that this path, this entry was a humbling entry.
[00:29:27.980 --> 00:29:32.220]   Jesus is taking the hard path of suffering.
[00:29:32.220 --> 00:29:36.400]   Though the crowds are cheering, he is about to suffer.
[00:29:36.400 --> 00:29:41.620]   He is humbling himself.
[00:29:41.620 --> 00:29:46.100]   Christ suffered prior to all this as well.
[00:29:46.100 --> 00:29:49.140]   He suffered by putting on human flesh.
[00:29:49.140 --> 00:29:55.340]   He suffered by forfeiting perfect fellowship with the triune God to come to this earth.
[00:29:55.340 --> 00:30:04.140]   Christ suffered by having human limitations like sleep and hunger and pain.
[00:30:04.140 --> 00:30:08.900]   Christ suffered by having enemies that threatened his life.
[00:30:08.900 --> 00:30:13.700]   Christ suffered being used as a tool by the masses.
[00:30:13.700 --> 00:30:15.020]   Right?
[00:30:15.020 --> 00:30:19.180]   You remember, he fed the 5,000 and what did they want?
[00:30:19.180 --> 00:30:20.180]   They just wanted more food.
[00:30:20.180 --> 00:30:22.460]   They didn't want Christ.
[00:30:22.460 --> 00:30:25.340]   They wanted his blessings.
[00:30:25.340 --> 00:30:29.100]   Remember those 10 lepers, but only one came back?
[00:30:29.100 --> 00:30:33.940]   Jesus was being used as a tool and he suffered.
[00:30:33.940 --> 00:30:40.780]   So we can understand Jesus when he states in Isaiah chapter 49 verse 4, and that's one
[00:30:40.780 --> 00:30:45.860]   of the servant songs, and we know that Jesus is the suffering servant in those songs.
[00:30:45.860 --> 00:30:47.900]   It says, "But I said, I have labored in vain.
[00:30:47.900 --> 00:30:51.620]   I have spent my strength for nothing in vanity.
[00:30:51.620 --> 00:30:55.260]   Yet surely my right is with the Lord and my recompense with my God."
[00:30:55.260 --> 00:31:03.100]   And again, we know, if you've been, if you're reading the Bible, you know that the ultimate
[00:31:03.100 --> 00:31:09.020]   expression of humiliation, the ultimate expression of humility that Christ received at the hands
[00:31:09.020 --> 00:31:17.380]   of mankind was the physical torture, the mockings, the beatings, and ultimately the crucifixion
[00:31:17.380 --> 00:31:20.740]   upon the cross.
[00:31:20.740 --> 00:31:23.700]   That is what Zechariah 9, 9 is pointing us to.
[00:31:23.700 --> 00:31:28.260]   That is what Matthew is trying to point us to in Matthew chapter 21 verse 5.
[00:31:28.260 --> 00:31:34.020]   That when Christ came on Palm Sunday, he came not to be exalted, but he came to be humbled,
[00:31:34.020 --> 00:31:42.020]   to suffer, to die for the sole purpose of redeeming his people of their sins.
[00:31:42.020 --> 00:31:47.940]   Christ is the humble king.
[00:31:47.940 --> 00:31:53.020]   And so I want to conclude with this question, and again, I titled this sermon, "Who are
[00:31:53.020 --> 00:31:55.700]   you fixing your eyes upon?"
[00:31:55.700 --> 00:31:59.460]   Because imagine Bartimaeus and his friend.
[00:31:59.460 --> 00:32:03.660]   They had just regained sight by encountering Jesus.
[00:32:03.660 --> 00:32:10.020]   And so you can imagine the excitement, the joy that they have in knowing that this man
[00:32:10.020 --> 00:32:12.460]   just gave them their sight back.
[00:32:12.460 --> 00:32:14.020]   And so they follow Jesus.
[00:32:14.020 --> 00:32:18.440]   They're fixing their eyes upon him on Palm Sunday, and they're seeing him being exalted
[00:32:18.440 --> 00:32:19.440]   and celebrated.
[00:32:19.440 --> 00:32:21.380]   People are saying, "Hosanna in the highest.
[00:32:21.380 --> 00:32:26.260]   Glory to God for the son of David has come."
[00:32:26.260 --> 00:32:31.460]   And Bartimaeus and his friend are like, "Yeah, man, that's the guy that I want to follow.
[00:32:31.460 --> 00:32:33.140]   I want to fix my eyes upon this guy.
[00:32:33.140 --> 00:32:37.700]   I want to do whatever he does."
[00:32:37.700 --> 00:32:42.860]   Monday comes around, and blind man Bartimaeus and his friend observe Jesus clearing out
[00:32:42.860 --> 00:32:49.300]   the temples and rebuking the Pharisees and the religious leaders of their time.
[00:32:49.300 --> 00:32:54.540]   And so maybe Bartimaeus and his friend are starting to think, "Oh, what's Jesus doing
[00:32:54.540 --> 00:32:56.980]   here?
[00:32:56.980 --> 00:33:01.420]   He's upsetting a couple of folk, some people here, some religious leaders here.
[00:33:01.420 --> 00:33:02.420]   I don't know.
[00:33:02.420 --> 00:33:05.180]   Let's just keep our eyes focused on him.
[00:33:05.180 --> 00:33:07.420]   Let's just keep following him and see what happens."
[00:33:07.420 --> 00:33:16.300]   Again, I'm reading into the lines here, but maybe Bartimaeus and his friends were able
[00:33:16.300 --> 00:33:22.220]   to hear some of Jesus' teachings to his disciples.
[00:33:22.220 --> 00:33:29.260]   And perhaps in hearing the teachings, they're beginning to hear Jesus is leaving them?
[00:33:29.260 --> 00:33:31.300]   Where is Jesus going?
[00:33:31.300 --> 00:33:34.700]   He's talking about this helper that he's going to send back to them, but we don't want the
[00:33:34.700 --> 00:33:35.700]   helper.
[00:33:35.700 --> 00:33:36.700]   We want Jesus.
[00:33:36.700 --> 00:33:39.580]   I don't know.
[00:33:39.580 --> 00:33:43.300]   Should we keep our eyes fixed on him?
[00:33:43.300 --> 00:33:50.660]   And finally, Good Friday comes along, and they see Jesus just five days before being
[00:33:50.660 --> 00:33:59.060]   exalted and celebrated, but now being mocked, being beaten, being tortured, being spat upon,
[00:33:59.060 --> 00:34:04.260]   ultimately being crucified.
[00:34:04.260 --> 00:34:09.180]   So now blind man Bartimaeus and his friend have to ask, "Are we going to keep our eyes
[00:34:09.180 --> 00:34:13.380]   fixed on this man who gave us new sight?"
[00:34:13.380 --> 00:34:16.540]   Again, I don't know.
[00:34:16.540 --> 00:34:22.420]   I mean, Bartimaeus was named in Mark chapter 10, and so perhaps he was a prominent member
[00:34:22.420 --> 00:34:25.020]   of the church after all this happened.
[00:34:25.020 --> 00:34:27.880]   I don't know about his other friend.
[00:34:27.880 --> 00:34:34.380]   But the question that we have to ask ourselves this morning, are we fixing our eyes upon
[00:34:34.380 --> 00:34:36.180]   Jesus?
[00:34:36.180 --> 00:34:43.940]   Not the Jesus that is all cuddly and is there at our side, but are we looking at the Jesus
[00:34:43.940 --> 00:34:50.020]   who is a commander, who is a fulfiller, who is the righteous king, the king that brings
[00:34:50.020 --> 00:34:54.580]   salvation but also the humble king?
[00:34:54.580 --> 00:34:57.820]   Are we fixing our eyes upon that man?
[00:34:57.820 --> 00:35:03.180]   And if we are, are we following him?
[00:35:03.180 --> 00:35:08.420]   I pray that our church will not become a church characterized by people who fixed their eyes
[00:35:08.420 --> 00:35:13.260]   upon Jesus at a distance.
[00:35:13.260 --> 00:35:16.660]   I pray that our church will not go in that direction.
[00:35:16.660 --> 00:35:21.940]   But as we fix our gaze upon Jesus, as our gaze upon Jesus becomes clearer because of
[00:35:21.940 --> 00:35:26.340]   our sanctification, because of the sanctification that God brings into our lives, that we would
[00:35:26.340 --> 00:35:34.460]   say in our hearts and in our eyes, "I want to follow this man."
[00:35:34.460 --> 00:35:37.940]   You know, it's such an easy principle.
[00:35:37.940 --> 00:35:40.320]   Fix your eyes upon Jesus.
[00:35:40.320 --> 00:35:44.060]   When I was in college, that was the principle I wanted to live by.
[00:35:44.060 --> 00:35:48.260]   And at that time, it just sounded cool and godly, right?
[00:35:48.260 --> 00:35:54.020]   But as I continued to grow and practice this principle, it became more and more real to
[00:35:54.020 --> 00:35:57.340]   me that this is a principle that I need to live by.
[00:35:57.340 --> 00:36:02.140]   It is not just a cool saying that I can post up on my Facebook wall, but rather it needs
[00:36:02.140 --> 00:36:05.860]   to be a characteristic mark in my life.
[00:36:05.860 --> 00:36:11.680]   To be known as a man, to be known as a family that fixes our eyes upon our Lord and Savior
[00:36:11.680 --> 00:36:19.480]   Jesus Christ, going wherever He goes, doing whatever He does.
[00:36:19.480 --> 00:36:24.840]   And as a church, are you ready to answer that question?
[00:36:24.840 --> 00:36:28.040]   Who are you fixing your eyes upon?
[00:36:28.040 --> 00:36:36.340]   So go ahead and bow your heads and pray as the praise team comes up.
[00:36:36.340 --> 00:36:42.320]   Passion week is a great opportunity for us to ask this question on a daily basis.
[00:36:42.320 --> 00:36:45.600]   Am I fixing my eyes upon Jesus?
[00:36:45.600 --> 00:36:49.900]   Am I fixing my eyes upon the right Jesus?
[00:36:49.900 --> 00:36:56.440]   And as we go through the passion passages, I pray that it will not simply be old news,
[00:36:56.440 --> 00:37:02.120]   but rather you will understand that everything that takes place in the next seven days is
[00:37:02.120 --> 00:37:08.800]   designed to draw us closer to God, is designed to sanctify us so we can see Christ more clearly
[00:37:08.800 --> 00:37:10.380]   in our lives.
[00:37:10.380 --> 00:37:13.040]   So go ahead and pray as the praise team leads us in our response.
[00:37:13.040 --> 00:37:15.800]   [WHOOSH]

