
[00:00:00.000 --> 00:00:04.040]   [BLANK_AUDIO]
[00:22:38.960 --> 00:22:41.960]   Is his work of judgment a separate work from his work of
[00:22:41.960 --> 00:22:44.960]   [INAUDIBLE]
[00:22:44.960 --> 00:22:47.960]   >> Again, I'm trying to answer the question in the context.
[00:22:47.960 --> 00:22:48.960]   What do you think?
[00:22:48.960 --> 00:22:52.960]   >> Well, because it previously talked about him being the
[00:22:52.960 --> 00:22:56.960]   sure cornerstone, the solid foundation,
[00:22:56.960 --> 00:23:01.960]   the emphasis is on his belief, but yet there's imminent judgment.
[00:23:01.960 --> 00:23:04.960]   So, in a way, they seem almost inseparable.
[00:23:04.960 --> 00:23:09.960]   So, strange and alien as words could mean both of what he
[00:23:09.960 --> 00:23:13.960]   referenced as being judgment, being strange and alien,
[00:23:13.960 --> 00:23:18.960]   coming from alien, from Gentiles outside of Israel,
[00:23:18.960 --> 00:23:21.960]   and strange being not expected, but also the way that Christ
[00:23:21.960 --> 00:23:25.960]   came through as Messiah was also strange and alien.
[00:23:25.960 --> 00:23:27.960]   [INAUDIBLE]
[00:23:27.960 --> 00:23:31.960]   So, they seem both related and almost inseparable.
[00:23:31.960 --> 00:23:32.960]   >> Okay.
[00:23:32.960 --> 00:23:36.960]   So, thinking like a Jew, when he's describing Christ's coming,
[00:23:36.960 --> 00:23:41.960]   I mean, what is, to a Jew, not a Christian, but to a Jew,
[00:23:41.960 --> 00:23:45.960]   what is the strangest passage that they have a hard time
[00:23:45.960 --> 00:23:53.960]   wrestling with in the Old Testament?
[00:23:53.960 --> 00:23:54.960]   You've probably heard it before.
[00:23:54.960 --> 00:23:59.960]   I know I've mentioned it before.
[00:23:59.960 --> 00:24:02.960]   Isaiah 53, right?
[00:24:02.960 --> 00:24:07.960]   Isaiah 53 is a passage that they don't know what to do with.
[00:24:07.960 --> 00:24:10.960]   In fact, I mentioned this before.
[00:24:10.960 --> 00:24:13.960]   I read a whole book on testimony of this Jewish professor.
[00:24:13.960 --> 00:24:16.960]   He was hiking through Europe, and then it started raining,
[00:24:16.960 --> 00:24:18.960]   so he knocked on the door and went in.
[00:24:18.960 --> 00:24:20.960]   They happened to have a Bible study.
[00:24:20.960 --> 00:24:22.960]   And so, they were going around reading the Bible,
[00:24:22.960 --> 00:24:25.960]   and then they ended up reading Isaiah 53,
[00:24:25.960 --> 00:24:26.960]   and he got really offended.
[00:24:26.960 --> 00:24:30.960]   He said, "You know, I'm a Jew, so don't push that stuff on me."
[00:24:30.960 --> 00:24:31.960]   And then he turned around and said,
[00:24:31.960 --> 00:24:33.960]   "We're reading the Old Testament."
[00:24:33.960 --> 00:24:36.960]   Because he clearly, when he just heard it for the first time,
[00:24:36.960 --> 00:24:39.960]   he thought, "Oh, this is a Christian Bible study,
[00:24:39.960 --> 00:24:40.960]   so you're reading the New Testament."
[00:24:40.960 --> 00:24:42.960]   So, when he found out it was the Old Testament,
[00:24:42.960 --> 00:24:43.960]   it really rocked his world.
[00:24:43.960 --> 00:24:45.960]   And we went home and we started examining the text,
[00:24:45.960 --> 00:24:49.960]   and sure enough, how could this be anybody else but Jesus?
[00:24:49.960 --> 00:24:51.960]   And then he ended up becoming a Christian as a result,
[00:24:51.960 --> 00:24:54.960]   and so he wrote a whole book, a testimony about it.
[00:24:54.960 --> 00:24:55.960]   I mentioned this before.
[00:24:55.960 --> 00:24:57.960]   Some of you guys probably weren't paying attention.
[00:24:57.960 --> 00:24:59.960]   [laughter]
[00:24:59.960 --> 00:25:03.960]   So, the whole work of Christ, again, I'm not saying that this
[00:25:03.960 --> 00:25:04.960]   is the only way we can understand that,
[00:25:04.960 --> 00:25:06.960]   but the whole work of Christ is alien, right?
[00:25:06.960 --> 00:25:09.960]   In fact, in 1 Peter, remember what it says?
[00:25:09.960 --> 00:25:11.960]   When the prophecy came, they were longing to see
[00:25:11.960 --> 00:25:13.960]   who and what time this was going to happen,
[00:25:13.960 --> 00:25:18.960]   the suffering of Christ, because it was alien.
[00:25:18.960 --> 00:25:20.960]   Christ's suffering was alien.
[00:25:20.960 --> 00:25:21.960]   It was so alien, they didn't understand it,
[00:25:21.960 --> 00:25:23.960]   even when he came.
[00:25:23.960 --> 00:25:25.960]   Even his disciples who were with him,
[00:25:25.960 --> 00:25:28.960]   even when Jesus said, "I'm going to the cross to suffer
[00:25:28.960 --> 00:25:30.960]   and resurrect on the third day,"
[00:25:30.960 --> 00:25:33.960]   they couldn't understand it, because it was so alien.
[00:25:33.960 --> 00:25:36.960]   So, we talk about the substitutionary atonement
[00:25:36.960 --> 00:25:39.960]   as what kind of righteousness?
[00:25:39.960 --> 00:25:40.960]   Alien righteousness.
[00:25:40.960 --> 00:25:42.960]   So, it's alien in all these ways.
[00:25:42.960 --> 00:25:44.960]   It's alien because of the judgment of God.
[00:25:44.960 --> 00:25:46.960]   It's alien because it's strange.
[00:25:46.960 --> 00:25:48.960]   It's alien because there's Gentiles who's going to come in
[00:25:48.960 --> 00:25:49.960]   and take over.
[00:25:49.960 --> 00:25:51.960]   The whole prophecy of how this is going to be fulfilled
[00:25:51.960 --> 00:25:52.960]   is alien.
[00:25:52.960 --> 00:25:55.960]   And what's the most alien and strange about all of this
[00:25:55.960 --> 00:25:59.960]   is Christ crucified, right?
[00:25:59.960 --> 00:26:01.960]   That the Messiah, the King, who's going to come
[00:26:01.960 --> 00:26:03.960]   in the order of Melchizedek,
[00:26:03.960 --> 00:26:05.960]   King of kings and Lord of lords,
[00:26:05.960 --> 00:26:07.960]   he's going to come as a humble servant
[00:26:07.960 --> 00:26:09.960]   and then be crucified on the cross?
[00:26:09.960 --> 00:26:10.960]   You know what I mean?
[00:26:10.960 --> 00:26:12.960]   That's strange.
[00:26:12.960 --> 00:26:14.960]   That's extremely alien.
[00:26:14.960 --> 00:26:16.960]   So, I don't know what's more strange
[00:26:16.960 --> 00:26:20.960]   and what's more alien than the cross itself.
[00:26:20.960 --> 00:26:21.960]   Right?
[00:26:21.960 --> 00:26:24.960]   >> Could it be then that God's judgment of some people
[00:26:24.960 --> 00:26:26.960]   is meant to be a prototype,
[00:26:26.960 --> 00:26:29.960]   sort of to illustrate God's judgment of the Son of the Cross?
[00:26:29.960 --> 00:26:32.960]   In that way, both works of their judgment then
[00:26:32.960 --> 00:26:36.960]   and God's punishment of Christ for our sins.
[00:26:36.960 --> 00:26:39.960]   [indistinct]
[00:26:39.960 --> 00:26:41.960]   >> I guess we could say that,
[00:26:41.960 --> 00:26:44.960]   but the problem is Israel deserves it.
[00:26:44.960 --> 00:26:46.960]   Yeah.
[00:26:46.960 --> 00:26:48.960]   So that's where that illustration may fall apart.
[00:26:48.960 --> 00:26:49.960]   Yeah.
[00:26:49.960 --> 00:26:50.960]   Okay.
[00:26:50.960 --> 00:26:54.960]   It is alien.
[00:26:54.960 --> 00:26:58.960]   You know, because we hear the Gospel so often
[00:26:58.960 --> 00:27:01.960]   and because it's repeated so much in the Church,
[00:27:01.960 --> 00:27:04.960]   it doesn't seem alien after a while.
[00:27:04.960 --> 00:27:08.960]   But the more you dwell on and think about it,
[00:27:08.960 --> 00:27:11.960]   when would you ever love somebody like that?
[00:27:11.960 --> 00:27:12.960]   Ever.
[00:27:12.960 --> 00:27:17.960]   You know, even our own children.
[00:27:17.960 --> 00:27:20.960]   I mean, really, even our own children.
[00:27:20.960 --> 00:27:22.960]   Like, just pure love.
[00:27:22.960 --> 00:27:23.960]   Pure love.
[00:27:23.960 --> 00:27:24.960]   Right?
[00:27:24.960 --> 00:27:26.960]   Because we're tainted human beings.
[00:27:26.960 --> 00:27:30.960]   So, the fact that we think about the God of the universe
[00:27:30.960 --> 00:27:35.960]   who loving just speckled us to the point that He went, right?
[00:27:35.960 --> 00:27:39.960]   And again, the reason why I think about all of this,
[00:27:39.960 --> 00:27:41.960]   and again, I'm not going to go like off tangent.
[00:27:41.960 --> 00:27:43.960]   I'm very tempted to right now.
[00:27:43.960 --> 00:27:50.960]   But, you know, to me, the Gospel only makes sense
[00:27:50.960 --> 00:27:56.960]   if ultimately the cross was to declare His glory.
[00:27:56.960 --> 00:27:58.960]   Because no matter how much I try to figure out
[00:27:58.960 --> 00:28:03.960]   why would He die for me?
[00:28:03.960 --> 00:28:05.960]   Like, me in particular.
[00:28:05.960 --> 00:28:06.960]   Right?
[00:28:06.960 --> 00:28:08.960]   Now, I know He did, and I know He loves me,
[00:28:08.960 --> 00:28:10.960]   so I'm not questioning His love.
[00:28:10.960 --> 00:28:15.960]   But ultimately, like, it doesn't…
[00:28:15.960 --> 00:28:17.960]   The only way that I can make any sense of it
[00:28:17.960 --> 00:28:21.960]   is ultimately it was linked to His glory.
[00:28:21.960 --> 00:28:24.960]   It was His demonstration of who He is.
[00:28:24.960 --> 00:28:26.960]   Does that make sense?
[00:28:26.960 --> 00:28:31.960]   He did what He did because that's who He is.
[00:28:31.960 --> 00:28:36.960]   I was wondering, when it talks about the valley of Gibeon,
[00:28:36.960 --> 00:28:40.960]   is there any reference being made to the Gibeonite deception?
[00:28:40.960 --> 00:28:43.960]   Because that was when they made a treaty also,
[00:28:43.960 --> 00:28:47.960]   and it's kind of a false…
[00:28:47.960 --> 00:28:52.960]   No, I think there are definitely historical pointers
[00:28:52.960 --> 00:28:54.960]   that he's referencing.
[00:28:54.960 --> 00:28:58.960]   But because Isaiah is so sporadic in the way that he presents it,
[00:28:58.960 --> 00:29:01.960]   like, he'll jump from Assyria to Babylon,
[00:29:01.960 --> 00:29:03.960]   to Babylon back to Assyria,
[00:29:03.960 --> 00:29:05.960]   it's hard to be definitive historically,
[00:29:05.960 --> 00:29:08.960]   because there is no chronological order.
[00:29:08.960 --> 00:29:12.960]   So, yeah, definitely that could be a reference to that.
[00:29:12.960 --> 00:29:14.960]   And part of the reason I'm not going too deep into it
[00:29:14.960 --> 00:29:17.960]   is because it's not completely certain.
[00:29:17.960 --> 00:29:19.960]   So if you read, like, four commentaries,
[00:29:19.960 --> 00:29:22.960]   they'll all give you kind of different angles of it.
[00:29:22.960 --> 00:29:23.960]   This is what they think.
[00:29:23.960 --> 00:29:24.960]   This is what this guy said.
[00:29:24.960 --> 00:29:28.960]   But in the end, no one's absolutely certain.
[00:29:28.960 --> 00:29:32.960]   But anyway, I don't have enough time to explain to you
[00:29:32.960 --> 00:29:35.960]   some of the thoughts that I have concerning this.
[00:29:35.960 --> 00:29:40.960]   But it makes more sense to me when I put two and two together.
[00:29:40.960 --> 00:29:42.960]   But for sure, the more I dwell on the cross,
[00:29:42.960 --> 00:29:46.960]   the more I don't fully get it.
[00:29:46.960 --> 00:29:51.960]   Not the teachings of it, but the why of it.
[00:29:51.960 --> 00:29:54.960]   Like, why? Why would he do that?
[00:29:54.960 --> 00:29:56.960]   What does he get out of this?
[00:29:56.960 --> 00:29:58.960]   Obviously, it's his glory. He wants our love.
[00:29:58.960 --> 00:30:00.960]   He wants worship. All of that.
[00:30:00.960 --> 00:30:05.960]   But Jesus said he could make the rocks to cry out to him.
[00:30:05.960 --> 00:30:11.960]   And we're worse than rocks because we rebel and curse God.
[00:30:11.960 --> 00:30:14.960]   Anyway, so I think of this, and obviously,
[00:30:14.960 --> 00:30:20.960]   there's nothing more alien and strange than what God did for us.
[00:30:20.960 --> 00:30:22.960]   "Whom does Isaiah use to illustrate how God
[00:30:22.960 --> 00:30:24.960]   varies his ways of judgment?"
[00:30:24.960 --> 00:30:28.960]   Again, so this is in reference to 23 to 29.
[00:30:28.960 --> 00:30:30.960]   "Does he who gives ear and hear my voice and give attention
[00:30:30.960 --> 00:30:34.960]   and hear my speech, does he who plows for sowing plow continually?
[00:30:34.960 --> 00:30:37.960]   Does he continually open and harrow his ground?
[00:30:37.960 --> 00:30:40.960]   When he has leveled his surface, does he not scatter?"
[00:30:40.960 --> 00:30:42.960]   So he's talking about this order of the farmer
[00:30:42.960 --> 00:30:44.960]   where he's doing each one of these things,
[00:30:44.960 --> 00:30:46.960]   preparing for the next event.
[00:30:46.960 --> 00:30:48.960]   So he's saying that, again, you see the book of Revelation
[00:30:48.960 --> 00:30:51.960]   and how it starts with the bowl, right?
[00:30:51.960 --> 00:30:53.960]   No, not the seals, and then the trumpets,
[00:30:53.960 --> 00:30:55.960]   and then the bowl judgments, and how each one progressively
[00:30:55.960 --> 00:30:57.960]   adds to the other.
[00:30:57.960 --> 00:31:00.960]   So, again, he's talking about how all of this judgment
[00:31:00.960 --> 00:31:02.960]   is not just sporadic boom and he's gone, boom,
[00:31:02.960 --> 00:31:03.960]   they're all connected.
[00:31:03.960 --> 00:31:08.960]   One's leading to the other, and he's doing it systematically.
[00:31:08.960 --> 00:31:10.960]   And not only is he doing it systematically,
[00:31:10.960 --> 00:31:14.960]   in verse 24, 26, he's talking about the varying kinds
[00:31:14.960 --> 00:31:20.960]   of judgment that's coming.
[00:31:20.960 --> 00:31:22.960]   And, again, this kind of reminds me of how,
[00:31:22.960 --> 00:31:27.960]   even as the judgment is coming, you know how in 2 Thessalonians
[00:31:27.960 --> 00:31:30.960]   talking about how Jesus has not come yet,
[00:31:30.960 --> 00:31:33.960]   and he said the reason why you shouldn't be disturbed
[00:31:33.960 --> 00:31:36.960]   by these false letters that's coming in my name
[00:31:36.960 --> 00:31:42.960]   is that before Jesus comes, he says, "What's going to happen?"
[00:31:42.960 --> 00:31:46.960]   Anybody remember 2 Thessalonians chapter 2?
[00:31:46.960 --> 00:31:49.960]   Man of lawlessness is going to be revealed,
[00:31:49.960 --> 00:31:52.960]   and then he's going to go into this temple,
[00:31:52.960 --> 00:31:55.960]   and he's going to sit in this seat, right?
[00:31:55.960 --> 00:31:57.960]   And then he's going to declare to be God, right?
[00:31:57.960 --> 00:32:00.960]   And then there's going to be a heavy delusion that's going to come
[00:32:00.960 --> 00:32:05.960]   so that those who refuse to embrace truth, right?
[00:32:05.960 --> 00:32:07.960]   And God's going to allow delusions to come because
[00:32:07.960 --> 00:32:09.960]   they willfully rejected God, rejected God,
[00:32:09.960 --> 00:32:11.960]   he's going to hand them over.
[00:32:11.960 --> 00:32:14.960]   So he clearly says there's these things that are going to happen,
[00:32:14.960 --> 00:32:17.960]   so when you see these things happening and unfolding,
[00:32:17.960 --> 00:32:19.960]   you will know that the end is coming.
[00:32:19.960 --> 00:32:21.960]   But because it hasn't happened, don't let them fool you
[00:32:21.960 --> 00:32:23.960]   saying here he is, there he is.
[00:32:23.960 --> 00:32:26.960]   So the point of this is pay very close attention, right?
[00:32:26.960 --> 00:32:29.960]   So the reason why they were being discouraged is because
[00:32:29.960 --> 00:32:33.960]   everything that Christians hope for
[00:32:33.960 --> 00:32:37.960]   is linked to his second coming, right?
[00:32:37.960 --> 00:32:39.960]   And if you think any other way,
[00:32:39.960 --> 00:32:42.960]   it's the health and wealth gospel, right?
[00:32:42.960 --> 00:32:45.960]   If our hope in everything that, anything that we're working on
[00:32:45.960 --> 00:32:50.960]   is hoping that if we invest now, that tomorrow there's going to be a payoff, right?
[00:32:50.960 --> 00:32:53.960]   A lot of people invested everything and then died, right?
[00:32:53.960 --> 00:32:55.960]   A lot of people invest everything and then they go to prison
[00:32:55.960 --> 00:32:58.960]   and their life is cut short and they become poor.
[00:32:58.960 --> 00:33:02.960]   So for a Christian in the early church,
[00:33:02.960 --> 00:33:04.960]   the reason why they were so disturbed was that,
[00:33:04.960 --> 00:33:07.960]   remember Satan was, you know, he said all these false prophets are going to come.
[00:33:07.960 --> 00:33:10.960]   One of the first delusions or the deceptions that came
[00:33:10.960 --> 00:33:13.960]   was that no, he already came.
[00:33:13.960 --> 00:33:15.960]   Because if he already came,
[00:33:15.960 --> 00:33:19.960]   it means everything that they've sacrificed to follow Christ,
[00:33:19.960 --> 00:33:21.960]   that they missed it, right?
[00:33:21.960 --> 00:33:24.960]   And that's why he was writing the second Thessalonians,
[00:33:24.960 --> 00:33:26.960]   to assure them this is not the case.
[00:33:26.960 --> 00:33:29.960]   There's clear things, God does things in order.
[00:33:29.960 --> 00:33:32.960]   He's not a God of chaos, he does things in order
[00:33:32.960 --> 00:33:38.960]   and here, you know, pay attention to these things, right?
[00:33:38.960 --> 00:33:43.960]   So what does verses 27-20 teach us about the nature of God's judgment?
[00:33:43.960 --> 00:33:45.960]   Okay, let's look at 27-28.
[00:33:45.960 --> 00:33:47.960]   "Dill is not threshed with threshing sledge,
[00:33:47.960 --> 00:33:50.960]   nor is the cartwheel rolled over cumin,
[00:33:50.960 --> 00:33:54.960]   but dill is beaten out with a stick and cumin with a rod."
[00:33:54.960 --> 00:33:55.960]   Right?
[00:33:55.960 --> 00:33:57.960]   "Does one crush grain for bread?
[00:33:57.960 --> 00:33:59.960]   No, he does not thresh it forever.
[00:33:59.960 --> 00:34:02.960]   When he drives his cartwheel over it with his horses,
[00:34:02.960 --> 00:34:03.960]   he does not crush it."
[00:34:03.960 --> 00:34:05.960]   This image was so…
[00:34:05.960 --> 00:34:08.960]   Anybody here that went to India?
[00:34:08.960 --> 00:34:10.960]   Okay, so remember when we were driving?
[00:34:10.960 --> 00:34:12.960]   I think you were in the car with us.
[00:34:12.960 --> 00:34:16.960]   We would drive and then these people would have all this stuff on the ground
[00:34:16.960 --> 00:34:18.960]   and the cars would go over it.
[00:34:18.960 --> 00:34:19.960]   Remember that?
[00:34:19.960 --> 00:34:21.960]   Doesn't that kind of remind you of that?
[00:34:21.960 --> 00:34:22.960]   Right?
[00:34:22.960 --> 00:34:25.960]   He said all the horses, cars would go over it, but they're not crushed.
[00:34:25.960 --> 00:34:28.960]   So, initially, you know, when we would go to the countryside,
[00:34:28.960 --> 00:34:30.960]   all the farmers would take…
[00:34:30.960 --> 00:34:32.960]   What was it that they put on the ground?
[00:34:32.960 --> 00:34:35.960]   What was it?
[00:34:35.960 --> 00:34:36.960]   Yeah, maybe it was…
[00:34:36.960 --> 00:34:37.960]   Yeah, I think it was wheat.
[00:34:37.960 --> 00:34:39.960]   And they would spread it on the roadside,
[00:34:39.960 --> 00:34:42.960]   and then when the cars come, you have to go over it.
[00:34:42.960 --> 00:34:43.960]   Right?
[00:34:43.960 --> 00:34:44.960]   So, every time we go over it, we're thinking,
[00:34:44.960 --> 00:34:46.960]   "Man, this is going to puncture the car tires."
[00:34:46.960 --> 00:34:48.960]   And it's everywhere.
[00:34:48.960 --> 00:34:50.960]   So, when we didn't understand it, we thought like,
[00:34:50.960 --> 00:34:51.960]   "What are these people doing?
[00:34:51.960 --> 00:34:53.960]   And why aren't the drivers getting mad?"
[00:34:53.960 --> 00:34:55.960]   And realized the reason why they're doing that is because
[00:34:55.960 --> 00:34:57.960]   that's the easiest way to get the grain out.
[00:34:57.960 --> 00:35:00.960]   So, they want a heavy cart to go over it,
[00:35:00.960 --> 00:35:03.960]   and every time it does that, it shakes it up, and then it loosens.
[00:35:03.960 --> 00:35:05.960]   Then they go and pick it up, and then they re-send it back.
[00:35:05.960 --> 00:35:06.960]   Right?
[00:35:06.960 --> 00:35:08.960]   So, that's the image that we see here.
[00:35:08.960 --> 00:35:11.960]   We're saying, "When they're crushed, what was the purpose of…"
[00:35:11.960 --> 00:35:13.960]   So, we were thinking like, "We're destroying it,
[00:35:13.960 --> 00:35:16.960]   and they're playing tricks on us," or whatever.
[00:35:16.960 --> 00:35:18.960]   They're too lazy to get it off the street.
[00:35:18.960 --> 00:35:21.960]   Not realizing that that was part of their technique to get the wheat out.
[00:35:21.960 --> 00:35:22.960]   Right?
[00:35:22.960 --> 00:35:24.960]   And so, that's the image that's given here.
[00:35:24.960 --> 00:35:29.960]   It says, "God is crushing, but the ultimate purpose for His people
[00:35:29.960 --> 00:35:30.960]   is not to be crushed."
[00:35:30.960 --> 00:35:34.960]   It's like, "God doesn't treat you like the pagan nations."
[00:35:34.960 --> 00:35:35.960]   Right?
[00:35:35.960 --> 00:35:38.960]   "He's disciplining His people, because the end result is
[00:35:38.960 --> 00:35:41.960]   He's trying to separate the wheat and the chaff."
[00:35:41.960 --> 00:35:42.960]   Right?
[00:35:42.960 --> 00:35:44.960]   "He's actually going to cause them to bear more fruit at the end
[00:35:44.960 --> 00:35:49.960]   as a result of His judgment."
[00:35:49.960 --> 00:35:52.960]   "His intent is pruning more than destruction."
[00:35:52.960 --> 00:35:53.960]   Right?
[00:35:53.960 --> 00:36:05.960]   That's what he's saying in that text.
[00:36:05.960 --> 00:36:08.960]   What will happen to Ariel?
[00:36:08.960 --> 00:36:11.960]   I put Jerusalem.
[00:36:11.960 --> 00:36:16.960]   Ariel is a code name for Jerusalem, and it means "lion of God."
[00:36:16.960 --> 00:36:19.960]   Okay, I think I… yeah.
[00:36:19.960 --> 00:36:23.960]   Compound word, "ari" meaning "lion," "el" meaning "God."
[00:36:23.960 --> 00:36:33.960]   "Lion of God."
[00:36:33.960 --> 00:36:36.960]   He said, "What would happen to those nations who fight against God?"
[00:36:36.960 --> 00:36:39.960]   So, first section of chapter 29 is a description of God's anger
[00:36:39.960 --> 00:36:43.960]   because of their pride, and how God's going to humble them.
[00:36:43.960 --> 00:36:44.960]   Right?
[00:36:44.960 --> 00:36:48.960]   Verses 1 through, I think, 4 or 5.
[00:36:48.960 --> 00:36:51.960]   And then he says, "Even though they're being judged,
[00:36:51.960 --> 00:36:56.960]   and God may allow for a period for Assyria and Egypt and Babylonians
[00:36:56.960 --> 00:36:58.960]   to come and bring judgment upon them,
[00:36:58.960 --> 00:37:01.960]   He said, "Anybody who brings judgment upon them and comes against them,
[00:37:01.960 --> 00:37:03.960]   eventually God's going to come and protect them."
[00:37:03.960 --> 00:37:04.960]   Right?
[00:37:04.960 --> 00:37:09.960]   So, if you look at verse 7 and 8.
[00:37:09.960 --> 00:37:12.960]   Okay, chapter 29, verse 7 and 8.
[00:37:12.960 --> 00:37:15.960]   "And the multitude of all the nations that fight against Ariel,
[00:37:15.960 --> 00:37:18.960]   all that fight against her and her stronghold and distress her,
[00:37:18.960 --> 00:37:20.960]   shall be like a dream, a vision of the night,
[00:37:20.960 --> 00:37:26.960]   as when a hungry man dreams he is eating and awakes with his hunger not satisfied.
[00:37:26.960 --> 00:37:29.960]   Or as when a thirsty man dreams he is drinking and awakes faint
[00:37:29.960 --> 00:37:31.960]   with his thirst not quenched.
[00:37:31.960 --> 00:37:36.960]   So shall the multitude of all the nations be that fight against Mount Zion."
[00:37:36.960 --> 00:37:38.960]   What does that mean?
[00:37:38.960 --> 00:37:47.960]   Why is the foreign nations trying to come against Israel like a dream?
[00:37:47.960 --> 00:37:56.960]   And it's like a hungry man who dreams and wakes up hungry.
[00:37:56.960 --> 00:38:01.960]   Anybody?
[00:38:01.960 --> 00:38:08.960]   [Audience member] Does it kind of go back to the judgment of Assyria
[00:38:08.960 --> 00:38:12.960]   where they started invading and they got--
[00:38:12.960 --> 00:38:17.960]   obviously God's on our side because we destroyed them.
[00:38:17.960 --> 00:38:21.960]   And so we're the good people, but God's like, "No, you're just a tool.
[00:38:21.960 --> 00:38:26.960]   You're not really--now I'm going to crush you because you don't care."
[00:38:26.960 --> 00:38:28.960]   Is it kind of the same thing?
[00:38:28.960 --> 00:38:32.960]   [Audience member] What they see as victory is really God just setting them up for judgment.
[00:38:32.960 --> 00:38:36.960]   Right. So it was just wishful thinking.
[00:38:36.960 --> 00:38:40.960]   You're hungry and you want to eat, but then you wake up and it was all just a thought.
[00:38:40.960 --> 00:38:43.960]   It was a dream. It's not a reality.
[00:38:43.960 --> 00:38:47.960]   So in other words, anybody who comes against you is not going to happen
[00:38:47.960 --> 00:38:48.960]   because God is behind them.
[00:38:48.960 --> 00:38:54.960]   Even though God will temporarily allow it to happen for the purpose of pruning in the end,
[00:38:54.960 --> 00:38:58.960]   but their power against you is going to be like a dream.
[00:38:58.960 --> 00:39:02.960]   It's just thoughts. It may seem real to you, but you're going to wake up from it
[00:39:02.960 --> 00:39:05.960]   and realize it wasn't real.
[00:39:05.960 --> 00:39:06.960]   You are not the superpower.
[00:39:06.960 --> 00:39:11.960]   And then you're going to realize that there is a God that you don't have any control over.
[00:39:11.960 --> 00:39:15.960]   So any power in the universe or in human history,
[00:39:15.960 --> 00:39:20.960]   no matter how powerful they were, they're gone.
[00:39:20.960 --> 00:39:24.960]   All the superpowers of today, it's temporary.
[00:39:24.960 --> 00:39:28.960]   And then when reality hits, you realize that there's only one God.
[00:39:28.960 --> 00:39:32.960]   King of kings and Lord of lords. So that's what he's referencing.
[00:39:32.960 --> 00:39:36.960]   So they will desire to devolve Ariel, Jerusalem,
[00:39:36.960 --> 00:39:40.960]   but as a hungry and thirsty person can only eat and drink as a dream,
[00:39:40.960 --> 00:39:49.960]   so will their desire to conquer Zion.
[00:39:49.960 --> 00:39:53.960]   So what caused this blindness?
[00:39:53.960 --> 00:39:58.960]   Again, he's going back and forth to, "You're my child, but this is what you did,
[00:39:58.960 --> 00:40:01.960]   and here's judgments coming."
[00:40:01.960 --> 00:40:06.960]   When you look at the language of what God says, it's almost like,
[00:40:06.960 --> 00:40:09.960]   if you have children, when you're punishing your kids,
[00:40:09.960 --> 00:40:12.960]   you're punishing them, but at the same time, you're trying to remind them,
[00:40:12.960 --> 00:40:16.960]   "You're my child and I love you, but I'm going to have to punish you.
[00:40:16.960 --> 00:40:19.960]   But don't forget that I love you."
[00:40:19.960 --> 00:40:22.960]   And you kind of see that language going back and forth.
[00:40:22.960 --> 00:40:25.960]   He says, "Anybody who comes against you ultimately are going to realize
[00:40:25.960 --> 00:40:28.960]   that you're not going to be able to, because I'm behind you."
[00:40:28.960 --> 00:40:32.960]   But here comes the judgment.
[00:40:32.960 --> 00:40:35.960]   He talks about superficial worship in verse 13,
[00:40:35.960 --> 00:40:37.960]   which is what he began with, right?
[00:40:37.960 --> 00:40:44.960]   Chapter 1, very beginning, he outlined why judgment of Israel is coming,
[00:40:44.960 --> 00:40:48.960]   and he spends a good chunk of chapter 1 talking about superficial worship.
[00:40:48.960 --> 00:40:53.960]   Verse 13, "And the Lord said, 'Because these people draw near with their mouth
[00:40:53.960 --> 00:40:56.960]   and honor me with their lips while their hearts are far from me,
[00:40:56.960 --> 00:40:59.960]   and their fear of me is commandment taught by men.'"
[00:40:59.960 --> 00:41:01.960]   That's all it is, right?
[00:41:01.960 --> 00:41:07.960]   There's no true fear, they're just jumping through the hoops, right?
[00:41:07.960 --> 00:41:13.960]   So he's not saying, "Yes, some of them went after idols.
[00:41:13.960 --> 00:41:18.960]   A lot of the kings set up high places and false gods and all that stuff."
[00:41:18.960 --> 00:41:22.960]   But at the tail end of Israel's history, before the judgment came,
[00:41:22.960 --> 00:41:24.960]   they were known for their temple worship,
[00:41:24.960 --> 00:41:26.960]   because they weren't fighting anybody in particular.
[00:41:26.960 --> 00:41:28.960]   They had the temple, right?
[00:41:28.960 --> 00:41:34.960]   So whether it's Isaiah, Amos, Hosea, Jeremiah,
[00:41:34.960 --> 00:41:37.960]   all these prophets are prophesying during a period
[00:41:37.960 --> 00:41:40.960]   when they thought their observation of themselves
[00:41:40.960 --> 00:41:43.960]   was that God is pleased with us.
[00:41:43.960 --> 00:41:46.960]   Remember the primary message of the false prophets
[00:41:46.960 --> 00:41:48.960]   were God is not angry with you.
[00:41:48.960 --> 00:41:50.960]   That was the primary message.
[00:41:50.960 --> 00:41:52.960]   Jeremiah and Isaiah, they're such downers.
[00:41:52.960 --> 00:41:54.960]   All they do is make you feel guilty.
[00:41:54.960 --> 00:41:56.960]   We have the message of the Lord.
[00:41:56.960 --> 00:41:58.960]   God loves you, right?
[00:41:58.960 --> 00:42:00.960]   And there's no judgment coming.
[00:42:00.960 --> 00:42:04.960]   But God says, "All that worship that you are relying on,
[00:42:04.960 --> 00:42:06.960]   thinking that somehow that's going to make you safe."
[00:42:06.960 --> 00:42:10.960]   He says, "No, God is actually angry with you because you're superficial."
