
[00:00:00.000 --> 00:00:07.160]   - Good evening, everybody.
[00:22:47.320 --> 00:22:49.040]   so thankful for.
[00:22:49.040 --> 00:22:50.040]   Okay.
[00:22:50.040 --> 00:22:54.600]   So that portion of it, we definitely want to really appreciate.
[00:22:54.600 --> 00:22:59.560]   And then moving on to section three, verses eight through 10, we can clump together as
[00:22:59.560 --> 00:23:02.600]   a support clause and rationale.
[00:23:02.600 --> 00:23:03.600]   Okay.
[00:23:03.600 --> 00:23:06.840]   Verse seven, I spent a lot of time because that's the topic sentence.
[00:23:06.840 --> 00:23:12.900]   Listen, we're all one, but each one of you have been gifted by Christ and that is a grace
[00:23:12.900 --> 00:23:14.460]   given to you.
[00:23:14.460 --> 00:23:19.880]   That's not a, you know, a task master, a task masters, you know, whip given to you.
[00:23:19.880 --> 00:23:24.720]   That is, that is grace given to you to exercise such gifts.
[00:23:24.720 --> 00:23:29.160]   And then it's a support of that concept is verse eight through 10, which reads, therefore,
[00:23:29.160 --> 00:23:33.720]   okay, it says when he ascended on high, he led captive a host of captives and he gave
[00:23:33.720 --> 00:23:34.720]   gifts to men.
[00:23:34.720 --> 00:23:36.860]   Now this expression, he ascended.
[00:23:36.860 --> 00:23:37.860]   What does it mean?
[00:23:37.860 --> 00:23:42.080]   Except that he also descended into the lower parts of the earth.
[00:23:42.080 --> 00:23:47.600]   He who descended is himself also he who ascended far above all the heavens so that he might
[00:23:47.600 --> 00:23:51.120]   fill all, uh, he might fill all things.
[00:23:51.120 --> 00:23:52.120]   Okay.
[00:23:52.120 --> 00:23:53.440]   So we have to ask, what is this quote?
[00:23:53.440 --> 00:23:54.440]   Where's it from?
[00:23:54.440 --> 00:23:55.440]   What's its context?
[00:23:55.440 --> 00:23:57.440]   And most importantly, why is it being quoted?
[00:23:57.440 --> 00:24:02.080]   And I made mentioned earlier, it's being quoted to support this idea that Christ gave gifts.
[00:24:02.080 --> 00:24:03.080]   Okay.
[00:24:03.080 --> 00:24:09.120]   Now this verse in terms of the old Testament quote, what comes from Psalm chapter 68 verses
[00:24:09.120 --> 00:24:14.320]   17 through 18 and it reads the chariots of God's are myriads thousands upon thousands
[00:24:14.320 --> 00:24:18.480]   and the Lord is among them as at Mount Sinai in holiness.
[00:24:18.480 --> 00:24:20.460]   You have ascended on high.
[00:24:20.460 --> 00:24:22.640]   You have led captives, your captives.
[00:24:22.640 --> 00:24:27.880]   You have received gifts among men, even among the rebellious also that the Lord God may
[00:24:27.880 --> 00:24:29.120]   dwell there.
[00:24:29.120 --> 00:24:30.120]   Okay.
[00:24:30.120 --> 00:24:35.600]   Now when you think about the general thought and flow, if you read all of Psalm 68, it's
[00:24:35.600 --> 00:24:43.040]   going to read this kind of majestic, you ascended, you threw down, you conquered, you're victorious,
[00:24:43.040 --> 00:24:44.040]   that kind of thought.
[00:24:44.040 --> 00:24:45.040]   Okay.
[00:24:45.040 --> 00:24:50.840]   And so, uh, Spurgeon in his treasury of David says, this Psalm is of might.
[00:24:50.840 --> 00:24:56.080]   It's a victory of God, a hymn of war and victory celebrating God's conquest and triumphant
[00:24:56.080 --> 00:24:57.640]   ascent.
[00:24:57.640 --> 00:25:02.440]   And then if you tie to the, if you think about what is tied King David and what is tied to
[00:25:02.440 --> 00:25:07.000]   the historical events, this is most likely the idea of the representation of the arc
[00:25:07.000 --> 00:25:08.000]   of the covenant.
[00:25:08.000 --> 00:25:13.320]   When God leads with the arc of the covenant, the nation was victorious.
[00:25:13.320 --> 00:25:20.820]   So with that said, the concept and the thought is when a King is victorious, he receives
[00:25:20.820 --> 00:25:21.820]   all the spoils.
[00:25:21.820 --> 00:25:28.680]   When a King is victorious, he comes back into the kingdom and with him comes what gifts.
[00:25:28.680 --> 00:25:29.800]   Why?
[00:25:29.800 --> 00:25:33.240]   Because he's just conquered and taken in all of the spoil.
[00:25:33.240 --> 00:25:37.920]   And so when you think about that, the way that we should be thinking about the measure,
[00:25:37.920 --> 00:25:44.280]   the way that we should be thinking about the kind of concept is a generosity of a King,
[00:25:44.280 --> 00:25:46.520]   okay, given to the church.
[00:25:46.520 --> 00:25:50.520]   So I wanted to go down and break down a couple of things that you guys might have questions
[00:25:50.520 --> 00:25:54.280]   on and I'm going to go through this briefly, which is this.
[00:25:54.280 --> 00:25:58.800]   Apostle Paul highlights though, he doesn't specifically say the King is giving you gifts,
[00:25:58.800 --> 00:26:03.040]   but he highlights though, and you have to take note of this, the degree of descent and
[00:26:03.040 --> 00:26:07.960]   ascent, okay, the degree of the descent and then the ascent.
[00:26:07.960 --> 00:26:11.880]   And then, so what he said is, when you think about this idea of he went up, what does it
[00:26:11.880 --> 00:26:14.000]   mean but that he came down?
[00:26:14.000 --> 00:26:15.000]   Okay.
[00:26:15.000 --> 00:26:19.400]   Now people are going to have this idea or the question, what does it mean that he came
[00:26:19.400 --> 00:26:23.040]   down and where, what are these lower parts of the earth?
[00:26:23.040 --> 00:26:28.320]   Now a lot of people have different thoughts, whether it be first the incarnation, just
[00:26:28.320 --> 00:26:34.320]   simply coming down as a man, we know the distance between where Christ was, where in the beginning
[00:26:34.320 --> 00:26:37.440]   was the word and the word was with God, the word was God.
[00:26:37.440 --> 00:26:44.480]   And then for him to come down to us as incarnate man, that would be an incredible descent.
[00:26:44.480 --> 00:26:46.440]   What's more, some people will say, he's just talking about earth.
[00:26:46.440 --> 00:26:50.420]   He came to earth and then he went to the grave into the lower parts.
[00:26:50.420 --> 00:26:55.280]   And then some people think that perhaps he's talking about Sheol, which is referenced a
[00:26:55.280 --> 00:27:00.000]   lot in the Old Testament, which is a place, a jail of the Old Testament for those who
[00:27:00.000 --> 00:27:03.720]   are demons, those who are opposed to God.
[00:27:03.720 --> 00:27:08.920]   And first Peter chapter three mentions that when Christ is victorious through his death,
[00:27:08.920 --> 00:27:12.160]   that he preached to those who are in prison.
[00:27:12.160 --> 00:27:18.960]   And the idea is that Christ preached his triumph and said, look, you shameful beings, look
[00:27:18.960 --> 00:27:20.880]   what I've done.
[00:27:20.880 --> 00:27:25.200]   And then other people think he just literally spent time in hell.
[00:27:25.200 --> 00:27:30.760]   This passage alone, it cannot give us enough to say, oh my gosh, it's all of these.
[00:27:30.760 --> 00:27:37.760]   It's best to think just the significance is the descent of this King to come.
[00:27:37.760 --> 00:27:43.920]   And this idea is in his coming was yes, his death and his suffering, but realize that
[00:27:43.920 --> 00:27:49.880]   it was through that, that Christ is going to also achieve his victory.
[00:27:49.880 --> 00:27:55.100]   And so the question is, so then he went down and it's he who went up and to where?
[00:27:55.100 --> 00:27:58.480]   He who ascends far above all the heavens.
[00:27:58.480 --> 00:28:04.760]   But the point that is the driving force and the conclusion is verse 10, so that he fulfills
[00:28:04.760 --> 00:28:05.760]   all things.
[00:28:05.760 --> 00:28:10.200]   When you think about the idea of fulfills all things, we should be thinking about like
[00:28:10.200 --> 00:28:12.480]   the kind of terminology we read.
[00:28:12.480 --> 00:28:18.680]   Remember like, you know, when back in revelation or sorry, the near revelation, when it talks
[00:28:18.680 --> 00:28:25.680]   about the savior, he'll say to him, be all things, glory, honor, power, right?
[00:28:25.680 --> 00:28:30.000]   That's to him, to him belongs everything.
[00:28:30.000 --> 00:28:32.600]   They were talking about cosmic sovereignty.
[00:28:32.600 --> 00:28:34.880]   He fulfills all things, right?
[00:28:34.880 --> 00:28:36.960]   He has universal power.
[00:28:36.960 --> 00:28:39.000]   He has absolute authority.
[00:28:39.000 --> 00:28:43.160]   And the proof of all that is his grand victory of resurrection.
[00:28:43.160 --> 00:28:48.640]   And so when we think about that, we are essentially able to answer the question of, and it's
[00:28:48.640 --> 00:28:53.640]   this king, we're able to actually paint the picture, so to speak, not necessarily answer
[00:28:53.640 --> 00:29:02.280]   the question, but paint the picture of it's this king who has grand victory, who has universal
[00:29:02.280 --> 00:29:09.460]   authority, who is giving gifts to the church, who is leading the church in its enablement
[00:29:09.460 --> 00:29:12.280]   and its function and also its result.
[00:29:12.280 --> 00:29:16.040]   So we want to wrap up with some meditations then.
[00:29:16.040 --> 00:29:18.000]   Let's meditate on this.
[00:29:18.000 --> 00:29:22.560]   If that is the picture that is being painted in verses seven through 10, let me ask you
[00:29:22.560 --> 00:29:24.600]   this question and meditate.
[00:29:24.600 --> 00:29:31.240]   If a king is giving us gifts, then will we sit and just envy other people's gifts?
[00:29:31.240 --> 00:29:35.200]   I think if you guys have heard me preach, you've heard me probably confess this a lot,
[00:29:35.200 --> 00:29:36.200]   right?
[00:29:36.200 --> 00:29:39.520]   That some days I'm all down, I feel very stressed, I feel kind of incapable.
[00:29:39.520 --> 00:29:42.120]   I'm like, oh, I forgot to do this thingy.
[00:29:42.120 --> 00:29:44.600]   And then, oh, I should have done a better job.
[00:29:44.600 --> 00:29:47.700]   And oh, I should have said this and woulda, shoulda, couldas.
[00:29:47.700 --> 00:29:50.200]   Like that is my mind regularly.
[00:29:50.200 --> 00:29:54.160]   I have this very sensitive guilt radar.
[00:29:54.160 --> 00:29:58.780]   And then you look over and the guy next to you, he's just like, you know, like getting
[00:29:58.780 --> 00:29:59.780]   everything done.
[00:29:59.780 --> 00:30:01.560]   He's like on top of his task list.
[00:30:01.560 --> 00:30:06.200]   And when I look to my left, I see this guy who's so disciplined.
[00:30:06.200 --> 00:30:07.920]   I'm sitting there like, man, I wish I could do that.
[00:30:07.920 --> 00:30:13.280]   I wish I had the skills to get everything done and all that kind of stuff.
[00:30:13.280 --> 00:30:20.300]   I do realize, I mean, if my perspective is limited to just me and my natural tendencies,
[00:30:20.300 --> 00:30:23.020]   I'm just going to think that for the rest of my life.
[00:30:23.020 --> 00:30:27.580]   But thanks be to God, he gives us the scriptures and he says, no, the king has given you gifts
[00:30:27.580 --> 00:30:30.120]   according to his great design.
[00:30:30.120 --> 00:30:33.860]   When the king gives you gifts, you don't sit there and be like, but that guy has more.
[00:30:33.860 --> 00:30:34.860]   Right?
[00:30:34.860 --> 00:30:35.860]   Like, what about that guy?
[00:30:35.860 --> 00:30:37.380]   You know, like, why would I do that?
[00:30:37.380 --> 00:30:39.980]   I would say, thank you so much.
[00:30:39.980 --> 00:30:44.560]   And you would do according to what you think is going to be really honoring and blessing
[00:30:44.560 --> 00:30:49.400]   a blessing as a reciprocated thanksgiving to God.
[00:30:49.400 --> 00:30:53.520]   And yes, it's okay to be challenged by the gifts of others, but to sit and wallow like
[00:30:53.520 --> 00:30:56.160]   oh, come God, you didn't give me that.
[00:30:56.160 --> 00:30:58.760]   I'm not sure that's the right perspective.
[00:30:58.760 --> 00:30:59.760]   Let's meditate on this.
[00:30:59.760 --> 00:31:05.600]   If a victorious, mighty, sovereign, universally sovereign king gives you gifts, why would
[00:31:05.600 --> 00:31:09.760]   you sit and worse off act like you didn't get anything?
[00:31:09.760 --> 00:31:12.120]   And some of us straight up do that.
[00:31:12.120 --> 00:31:13.120]   Like, I've got nothing.
[00:31:13.120 --> 00:31:16.120]   I don't have nothing to offer really.
[00:31:16.120 --> 00:31:19.200]   You know, like, nah, you know, I'm just not like all of them.
[00:31:19.200 --> 00:31:20.560]   I really didn't get stuff.
[00:31:20.560 --> 00:31:25.840]   You know, that guy has both the voice and the technical skills and the charisma.
[00:31:25.840 --> 00:31:27.760]   I got nothing.
[00:31:27.760 --> 00:31:33.480]   Why would we act like that when the scripture says God has given us the grace?
[00:31:33.480 --> 00:31:36.480]   Each one of us, he says.
[00:31:36.480 --> 00:31:38.240]   God is not like the government.
[00:31:38.240 --> 00:31:45.120]   He didn't accidentally send stimulus checks to dead people and then miss you, right?
[00:31:45.120 --> 00:31:49.160]   God has given, he says, each one of us already in Christ.
[00:31:49.160 --> 00:31:53.080]   And yes, it might not look like the measure you would desire or the measure that we would
[00:31:53.080 --> 00:31:57.840]   do it if I was gifting people at the church, but he's done it.
[00:31:57.840 --> 00:32:01.000]   It would be wrong of us to act like that.
[00:32:01.000 --> 00:32:08.480]   Or if a king gives you a gift, why would you fake like, oh, thank you, and then just stash
[00:32:08.480 --> 00:32:10.440]   it in your sock drawer?
[00:32:10.440 --> 00:32:13.240]   Just hold on to it and say, I know I got it.
[00:32:13.240 --> 00:32:16.360]   And I kind of, if you notice, I'm kind of making it incrementally worse.
[00:32:16.360 --> 00:32:20.520]   And you might be surprised to think, is it worse to just be like complaining like, I
[00:32:20.520 --> 00:32:21.520]   didn't get anything?
[00:32:21.520 --> 00:32:25.880]   Or is it worse to fake like you got it, say thank you, and then never use it and shove
[00:32:25.880 --> 00:32:27.800]   it away?
[00:32:27.800 --> 00:32:33.520]   Because of the biblical example of the lazy slave and servant, remember the parable of
[00:32:33.520 --> 00:32:35.480]   the talents?
[00:32:35.480 --> 00:32:43.440]   The owner calls that slave a wicked person who feigns like, OK, I'll take it, but then
[00:32:43.440 --> 00:32:50.440]   believes in his heart that the person who gave it to him was a wicked man himself, that
[00:32:50.440 --> 00:32:52.360]   he was a harsh man.
[00:32:52.360 --> 00:33:02.000]   I just want to use this as a moment to quote a famous or popular pastor, Dr. Steve Lawson.
[00:33:02.000 --> 00:33:04.200]   Truthfully, he's just really intense.
[00:33:04.200 --> 00:33:07.920]   And when you want to hurt good, you kind of listen to him.
[00:33:07.920 --> 00:33:13.960]   But he says about this passage, and I was listening to a sermon, and then he says, "Not
[00:33:13.960 --> 00:33:19.440]   to use our gifts is an affront to Christ's wisdom, a rebuff of his love, a dismissal
[00:33:19.440 --> 00:33:24.440]   of his grace, a loss to his church, and an arrogant self-determination that weakens the
[00:33:24.440 --> 00:33:27.640]   work of your neighbor and grieves the Spirit of God."
[00:33:27.640 --> 00:33:31.240]   OK, hope that impersonation was good.
[00:33:31.240 --> 00:33:34.480]   Oh man, he's right.
[00:33:34.480 --> 00:33:38.480]   The effect of sitting there and thinking that I'm going to be passive because I actually
[00:33:38.480 --> 00:33:47.640]   don't have anything, it is an affront to Christ's wisdom, who is king, who, again, in God's
[00:33:47.640 --> 00:33:52.280]   wisdom and design has already orchestrated the church as he wills.
[00:33:52.280 --> 00:33:58.120]   So I want to conclude by saying, remember that our church believes every single one
[00:33:58.120 --> 00:34:03.040]   of you as a person is a gift to this church.
[00:34:03.040 --> 00:34:09.040]   And if you're not motivated, if I sound like a motivational speaker, I want to.
[00:34:09.040 --> 00:34:11.720]   And I want to motivate you because it's true.
[00:34:11.720 --> 00:34:17.080]   You should be thinking of yourself as a gifted person, expected to use your gifts for this
[00:34:17.080 --> 00:34:18.080]   church.
[00:34:18.080 --> 00:34:22.000]   And remember that at this church, that's why we practice membership and it's a part of
[00:34:22.000 --> 00:34:24.280]   our membership covenant.
[00:34:24.280 --> 00:34:26.440]   Because this is the design of God.
[00:34:26.440 --> 00:34:31.720]   He has made the church beautiful in his own sight, in his own wisdom to make it one, and
[00:34:31.720 --> 00:34:37.880]   then to gift it and bless it in a variety of ways that it would retain our individuality
[00:34:37.880 --> 00:34:43.720]   and so that each one of us have this responsibility to lovingly, to carefully use it for the glory
[00:34:43.720 --> 00:34:44.720]   of God.
[00:34:44.720 --> 00:34:46.960]   And I hope that you're motivated to do so.
[00:34:46.960 --> 00:34:48.360]   Let's take a moment to pray.
[00:34:48.360 --> 00:34:52.640]   Our God, we thank you so much for your grace.
[00:34:52.640 --> 00:35:00.040]   We thank you God for this grace that is particular in that you have gifted each person with their
[00:35:00.040 --> 00:35:02.640]   unique lives.
[00:35:02.640 --> 00:35:07.800]   And I pray Father God that that would help us to really just soak in this thought Lord,
[00:35:07.800 --> 00:35:11.600]   that when we even think about our service in the church, God, first and foremost, we
[00:35:11.600 --> 00:35:16.320]   do have to think about our relationship to you.
[00:35:16.320 --> 00:35:18.360]   You gifted us.
[00:35:18.360 --> 00:35:21.960]   And so now I'm held accountable to you Lord.
[00:35:21.960 --> 00:35:27.280]   Father God, for me to just compare all the time with other people would be to lose sight
[00:35:27.280 --> 00:35:28.280]   of you.
[00:35:28.280 --> 00:35:32.520]   Rather, God, I want to make sure and I pray that every single person in the church make
[00:35:32.520 --> 00:35:38.960]   sure that when they hear this truth, you as King has given us gifts.
[00:35:38.960 --> 00:35:40.640]   So we thank you Lord.
[00:35:40.640 --> 00:35:42.880]   Would you empower, continue to empower us?
[00:35:42.880 --> 00:35:45.240]   Would you continue to build in us strength?
[00:35:45.240 --> 00:35:50.280]   Would you continue to build in us perseverance that we would then continue to be about the
[00:35:50.280 --> 00:35:53.240]   building of your kingdom and the building of your church.
[00:35:53.240 --> 00:35:54.800]   We thank you Lord Jesus Christ and we pray.
[00:35:54.800 --> 00:35:56.800]   Amen.

