
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:18:54.280 --> 00:18:55.960]   Well, let's move on a little bit.
[00:18:56.840 --> 00:19:01.840]   And, again, Apostle Paul, through this paragraph,
[00:19:01.840 --> 00:19:04.600]   conveys to us further reason and rationale.
[00:19:04.600 --> 00:19:07.640]   You know, he's trying to explain to them,
[00:19:07.640 --> 00:19:11.320]   I want you to consider my preaching,
[00:19:11.320 --> 00:19:14.720]   and there is an important reason why I did what I did,
[00:19:14.720 --> 00:19:17.080]   okay, which is to speak to you plainly,
[00:19:17.080 --> 00:19:20.080]   without eloquence and without persuasive speech.
[00:19:20.080 --> 00:19:21.800]   And this is what he says.
[00:19:21.800 --> 00:19:23.680]   For I determined to know nothing among you
[00:19:23.680 --> 00:19:26.760]   except Jesus Christ, and him crucified.
[00:19:26.760 --> 00:19:30.120]   I was with you in weakness, and in fear,
[00:19:30.120 --> 00:19:32.680]   and in much trembling, and my message and my preaching
[00:19:32.680 --> 00:19:34.840]   were not in persuasive words of wisdom,
[00:19:34.840 --> 00:19:37.640]   but in demonstration of the spirit and of power,
[00:19:37.640 --> 00:19:42.080]   so that your faith would not rest on the wisdom of men,
[00:19:42.080 --> 00:19:44.240]   but on the power of God.
[00:19:44.240 --> 00:19:47.600]   Again, it's in there, it's in the paragraph,
[00:19:47.600 --> 00:19:50.800]   I know it's obvious, but please answer for us.
[00:19:50.800 --> 00:19:54.400]   Why does he not use eloquence?
[00:19:54.400 --> 00:19:57.400]   Why, when he is a smart guy, you look at the scriptures,
[00:19:57.400 --> 00:19:59.240]   you look at what he's writing,
[00:19:59.240 --> 00:20:01.320]   and it's penned through Apostle Paul,
[00:20:01.320 --> 00:20:02.840]   and it's incredibly eloquent.
[00:20:02.840 --> 00:20:06.160]   As a matter of fact, if you ever have outlined his letters,
[00:20:06.160 --> 00:20:07.680]   it's incredibly structured,
[00:20:07.680 --> 00:20:10.120]   his arguments are always supported,
[00:20:10.120 --> 00:20:11.740]   there is an outline or a structure
[00:20:11.740 --> 00:20:13.880]   to all the things that he's saying,
[00:20:13.880 --> 00:20:16.360]   but there's a sense in which, in certain cases,
[00:20:16.360 --> 00:20:17.600]   in moments when he's preaching,
[00:20:17.600 --> 00:20:21.960]   he will choose to not use eloquence,
[00:20:21.960 --> 00:20:23.060]   the question is why?
[00:20:23.060 --> 00:20:29.680]   So what do you see there in the paragraph?
[00:20:29.680 --> 00:20:31.820]   Why does he choose to speak in such ways?
[00:20:31.820 --> 00:20:35.280]   - He wants to make sure that Christ is there
[00:20:35.280 --> 00:20:37.320]   and foundation for the faith, nothing else.
[00:20:37.320 --> 00:20:40.980]   - Excellent, he wants to make absolutely sure
[00:20:40.980 --> 00:20:45.040]   that their faith is not based on anything shaky.
[00:20:45.040 --> 00:20:46.640]   He wants to make sure that their faith
[00:20:46.640 --> 00:20:50.280]   is founded upon Christ, the solid rock, right?
[00:20:50.280 --> 00:20:52.040]   And he's so concerned about that.
[00:20:52.040 --> 00:20:54.760]   And so as he's speaking here,
[00:20:54.760 --> 00:20:56.640]   he explains in multiple ways,
[00:20:56.640 --> 00:20:57.920]   not just one way or two ways,
[00:20:57.920 --> 00:21:00.720]   but he repeats himself, saying about how my message
[00:21:00.720 --> 00:21:03.720]   and my preaching were not in persuasive words of wisdom,
[00:21:03.720 --> 00:21:06.920]   right, but in the demonstration of spirit and power,
[00:21:06.920 --> 00:21:10.240]   and so he says, I want you to make sure
[00:21:10.240 --> 00:21:13.360]   that your faith is grounded on the right thing.
[00:21:13.360 --> 00:21:14.440]   Well, that's something, again,
[00:21:14.440 --> 00:21:16.280]   if you've been a Christian more than a year or two,
[00:21:16.280 --> 00:21:18.880]   that's something you've heard, right?
[00:21:18.880 --> 00:21:21.720]   That your faith needs to be grounded on the right thing.
[00:21:21.720 --> 00:21:25.360]   That your practice of coming to church,
[00:21:25.360 --> 00:21:26.920]   your practice of being involved
[00:21:26.920 --> 00:21:28.840]   and participating in the membership of Berean
[00:21:28.840 --> 00:21:31.680]   or whatever church you may go to and all that stuff,
[00:21:31.680 --> 00:21:34.240]   that it's grounded on the right thing.
[00:21:34.240 --> 00:21:35.780]   But I want to ask you guys,
[00:21:35.780 --> 00:21:40.520]   practically, in living it out,
[00:21:40.520 --> 00:21:43.000]   what would be an example of somebody
[00:21:43.000 --> 00:21:45.280]   whose faith is not grounded on Christ
[00:21:45.280 --> 00:21:47.120]   but is grounded on the wisdom of men?
[00:21:47.120 --> 00:21:51.800]   So let's try to flesh it out.
[00:21:51.800 --> 00:21:54.680]   Like, in reality, what would this look like?
[00:21:54.680 --> 00:21:55.940]   Or I guess in, you know,
[00:21:55.940 --> 00:21:59.760]   in observable expression, you know,
[00:21:59.760 --> 00:22:03.600]   in action, how would this look like
[00:22:03.600 --> 00:22:07.080]   if somebody is grounded on the wisdom of men
[00:22:07.080 --> 00:22:08.680]   as opposed to the wisdom of God?
[00:22:08.680 --> 00:22:13.340]   (audience member speaking indistinctly)
[00:22:36.600 --> 00:22:39.600]   Okay, so if you guys didn't hear her,
[00:22:39.600 --> 00:22:42.620]   that's a great example and I think it covers a lot.
[00:22:42.620 --> 00:22:45.280]   She said there are people who experience difficulties
[00:22:45.280 --> 00:22:47.360]   in their lives, hard circumstances,
[00:22:47.360 --> 00:22:50.600]   and in those moments, a lot of people turn not to God,
[00:22:50.600 --> 00:22:53.820]   spiritual things, but perhaps just counsel from people.
[00:22:53.820 --> 00:22:56.520]   Perhaps like, what did you do, you know?
[00:22:56.520 --> 00:23:00.680]   And sometimes there are so many different,
[00:23:00.680 --> 00:23:04.360]   you know, so many different counsel that people receive.
[00:23:05.200 --> 00:23:08.680]   There are people who will counsel, get away for a while,
[00:23:08.680 --> 00:23:10.120]   try to forget about it,
[00:23:10.120 --> 00:23:12.240]   as though that's gonna solve anything.
[00:23:12.240 --> 00:23:14.480]   There are people who get different counsels like,
[00:23:14.480 --> 00:23:17.320]   you know, if you, you know, wanna resolve this,
[00:23:17.320 --> 00:23:19.240]   you gotta, you know, take it by the horns
[00:23:19.240 --> 00:23:21.640]   and you just bull those things, just get through it,
[00:23:21.640 --> 00:23:25.060]   you know, does that really take care of situations?
[00:23:25.060 --> 00:23:27.820]   Is that what God is saying in Scripture?
[00:23:27.820 --> 00:23:29.440]   Okay, what else?
[00:23:29.440 --> 00:23:32.100]   (faint talking)
[00:23:32.100 --> 00:23:39.120]   - You feel like basing your standard based on rules,
[00:23:39.120 --> 00:23:41.240]   why don't you, like, if you go to church
[00:23:41.240 --> 00:23:42.960]   like one time a year for Christmas,
[00:23:42.960 --> 00:23:45.360]   and you tell your non-religious co-workers,
[00:23:45.360 --> 00:23:47.320]   like, man, you're pretty religious.
[00:23:47.320 --> 00:23:49.880]   - Right. - I mean, well, I guess I am.
[00:23:49.880 --> 00:23:50.960]   - So, do you guys hear him?
[00:23:50.960 --> 00:23:53.760]   Like, there is an assessment sometimes
[00:23:53.760 --> 00:23:56.160]   that's really just faulty, and that's a key word here,
[00:23:56.160 --> 00:23:59.520]   assessment, evaluation, okay?
[00:23:59.520 --> 00:24:02.920]   Remember, God evaluates on a different standard.
[00:24:02.920 --> 00:24:05.640]   So many times I have seen stuff like that,
[00:24:05.640 --> 00:24:08.920]   where, you know, Kevin said, maybe, you know,
[00:24:08.920 --> 00:24:12.240]   there's co-workers, a guy goes to church once a year,
[00:24:12.240 --> 00:24:13.700]   and then his other co-worker's like,
[00:24:13.700 --> 00:24:15.360]   oh, you're like crazy religious
[00:24:15.360 --> 00:24:17.560]   'cause you go to church on Easter, you know?
[00:24:17.560 --> 00:24:21.720]   Well, funny thing is, you don't know how many times,
[00:24:21.720 --> 00:24:23.680]   you know, you sit down with somebody
[00:24:23.680 --> 00:24:25.420]   and you ask them about their Christian walk,
[00:24:25.420 --> 00:24:28.040]   and they're like, yeah, right now I'm doing okay,
[00:24:28.040 --> 00:24:30.200]   and then I'll ask them about, well, what about your past?
[00:24:30.200 --> 00:24:31.440]   Like, how did you become saved,
[00:24:31.440 --> 00:24:32.360]   and how did you meet the Lord?
[00:24:32.360 --> 00:24:34.360]   And it's like, I've always been a Christian,
[00:24:34.360 --> 00:24:36.120]   because my parents were Christian,
[00:24:36.120 --> 00:24:38.720]   and my parents told me this was the right thing to do.
[00:24:38.720 --> 00:24:39.540]   And then I'll ask them,
[00:24:39.540 --> 00:24:41.880]   so when did you take that Christian faith,
[00:24:41.880 --> 00:24:43.280]   that stuff that your parents taught you,
[00:24:43.280 --> 00:24:45.560]   and make that your own, like, this is my faith.
[00:24:45.560 --> 00:24:49.080]   I believe it, I surrender to Christ, I repent, I believe,
[00:24:49.080 --> 00:24:51.320]   I trust in God's promises.
[00:24:51.320 --> 00:24:53.680]   And they're kinda like, what are you talking about?
[00:24:53.680 --> 00:24:56.260]   It's always been mine, you know?
[00:24:56.260 --> 00:24:59.900]   And I'm like, no, if, you know,
[00:24:59.900 --> 00:25:02.740]   faith is like a house that your parents leave you
[00:25:02.740 --> 00:25:05.220]   as an inheritance, then sure,
[00:25:05.220 --> 00:25:08.960]   but this is supposed to be a reconciling with God,
[00:25:08.960 --> 00:25:10.020]   where has that been?
[00:25:10.020 --> 00:25:14.420]   See, sometimes the parents have taught their children,
[00:25:14.420 --> 00:25:16.100]   having a religious facet of your life
[00:25:16.100 --> 00:25:17.580]   is really good for you.
[00:25:17.580 --> 00:25:20.260]   And so, in evaluation of my life, I'm fine.
[00:25:20.260 --> 00:25:21.540]   I'm doing all right, says the guy,
[00:25:21.540 --> 00:25:24.120]   because I've been in it all my life.
[00:25:24.120 --> 00:25:26.720]   Is your faith grounded on Christ,
[00:25:26.720 --> 00:25:28.260]   or is your faith grounded on what your parents
[00:25:28.260 --> 00:25:30.440]   taught you was good for you, you know?
[00:25:30.440 --> 00:25:34.660]   Well, what I'm talking about is getting back to this idea
[00:25:34.660 --> 00:25:37.440]   of how the world evaluates what's good for you,
[00:25:37.440 --> 00:25:38.880]   what's better for you.
[00:25:38.880 --> 00:25:41.240]   And the world is always about self-improvement.
[00:25:41.240 --> 00:25:44.120]   The world is always, always about, yes, you can.
[00:25:44.120 --> 00:25:46.260]   And there's a sense in which evaluating that
[00:25:46.260 --> 00:25:48.700]   is incredibly difficult.
[00:25:48.700 --> 00:25:52.400]   Evaluating that becomes incredibly muddy,
[00:25:52.400 --> 00:25:55.880]   especially when it happens in the context of religiosity.
[00:25:55.880 --> 00:25:59.000]   And so, think about that for us for a moment,
[00:25:59.000 --> 00:26:02.660]   and try to dig a little bit into that question.
[00:26:02.660 --> 00:26:04.860]   What would be an example of someone whose faith
[00:26:04.860 --> 00:26:06.920]   rests on the wisdom of men?
[00:26:06.920 --> 00:26:11.280]   Perhaps individuals who are in the Christian culture,
[00:26:11.280 --> 00:26:12.980]   or in the Christian circles,
[00:26:12.980 --> 00:26:15.520]   trying to use the Christian environment
[00:26:15.520 --> 00:26:17.960]   as a means to stand out,
[00:26:17.960 --> 00:26:19.880]   have a sense of notoriety, you know?
[00:26:19.880 --> 00:26:22.160]   Have a sense of purpose?
[00:26:22.160 --> 00:26:23.460]   Have a sense of meaning?
[00:26:23.460 --> 00:26:29.600]   Is that resting on, your faith resting on that of Christ,
[00:26:29.600 --> 00:26:32.600]   or is your faith resting on certain ambitions,
[00:26:32.600 --> 00:26:34.600]   certain belief systems that tell you
[00:26:34.600 --> 00:26:36.120]   this is good for my life?
[00:26:36.120 --> 00:26:37.160]   Does that make sense?
[00:26:37.160 --> 00:26:40.040]   So again, it's not limited to that,
[00:26:40.040 --> 00:26:41.600]   'cause again, the worldly wisdom is broad,
[00:26:41.600 --> 00:26:44.140]   and what Apostle Paul is tackling is broad.
[00:26:44.140 --> 00:26:46.800]   But I felt like we needed to give some detail
[00:26:46.800 --> 00:26:49.240]   to what he's talking about there.
[00:26:49.240 --> 00:26:52.600]   So, in thinking about this, though,
[00:26:52.600 --> 00:26:56.800]   Apostle Paul is concerned
[00:26:56.800 --> 00:27:00.280]   that if he uses eloquence,
[00:27:00.280 --> 00:27:03.640]   they might come for the wrong reasons.
[00:27:03.640 --> 00:27:05.080]   Let me ask you a question.
[00:27:05.080 --> 00:27:08.240]   What would be the result of people's faith
[00:27:08.240 --> 00:27:11.680]   being based upon a preacher's eloquence?
[00:27:11.680 --> 00:27:13.400]   Where people go to church because there's a,
[00:27:13.400 --> 00:27:15.640]   you know, standout figure, a Christian celebrity.
[00:27:15.640 --> 00:27:17.040]   People choose a church and go there
[00:27:17.040 --> 00:27:18.960]   because that person, obviously,
[00:27:18.960 --> 00:27:22.680]   has the spirits working there, 'cause it's huge, right?
[00:27:22.680 --> 00:27:25.680]   What would be the result of someone going
[00:27:25.680 --> 00:27:26.840]   purely for that reason?
[00:27:26.840 --> 00:27:32.920]   Yes?
[00:27:32.920 --> 00:27:34.720]   - They'll get tired of it, and they'll go somewhere else
[00:27:34.720 --> 00:27:37.680]   because they eventually get to know it.
[00:27:37.680 --> 00:27:39.120]   - Exactly.
[00:27:39.120 --> 00:27:40.320]   Time will tell.
[00:27:40.320 --> 00:27:43.920]   You know, time will tell.
[00:27:43.920 --> 00:27:47.040]   And that's something that, you know, as a young guy,
[00:27:47.040 --> 00:27:50.360]   I've been kinda like learning a little bit,
[00:27:50.360 --> 00:27:52.600]   and I still need to learn that a lot.
[00:27:52.600 --> 00:27:54.960]   There are days when, because I'm a young guy,
[00:27:54.960 --> 00:27:56.960]   I'm like, oh, this guy's gonna be a leader.
[00:27:56.960 --> 00:27:59.800]   Let's invest into him, and let's give him position,
[00:27:59.800 --> 00:28:01.320]   and move him along.
[00:28:01.320 --> 00:28:03.280]   But you know, time will tell.
[00:28:03.280 --> 00:28:05.280]   Other times, this guy's just not moving,
[00:28:05.280 --> 00:28:07.800]   you slow, humongous glacier.
[00:28:07.800 --> 00:28:10.240]   I'm gonna leave you, you know?
[00:28:10.240 --> 00:28:11.360]   But time will tell.
[00:28:12.560 --> 00:28:14.160]   Stuff like that, I mean, there's,
[00:28:14.160 --> 00:28:18.360]   there's an element in which you have to give things time.
[00:28:18.360 --> 00:28:20.600]   Well, aside from that side note,
[00:28:20.600 --> 00:28:23.080]   the fact of the matter is, in due time,
[00:28:23.080 --> 00:28:25.680]   if they're there for the wrong reasons,
[00:28:25.680 --> 00:28:28.440]   that will also be revealed, okay?
[00:28:28.440 --> 00:28:30.840]   And what will be revealed is,
[00:28:30.840 --> 00:28:33.280]   much of what Jesus Christ says in the book of Matthew,
[00:28:33.280 --> 00:28:36.200]   chapter 10, you guys do all this stuff,
[00:28:36.200 --> 00:28:38.800]   but you just don't know me.
[00:28:40.040 --> 00:28:42.840]   And what Christ says is, away from me, I don't know you.
[00:28:42.840 --> 00:28:46.120]   And so, if you look at that,
[00:28:46.120 --> 00:28:48.920]   if you look at all that in light of this,
[00:28:48.920 --> 00:28:50.280]   you think, why, you know?
[00:28:50.280 --> 00:28:52.000]   Why does he choose not to do this?
[00:28:52.000 --> 00:28:54.080]   And why does he choose not to do that?
[00:28:54.080 --> 00:28:56.680]   And why is he doing this, and why is he doing that?
[00:28:56.680 --> 00:28:58.920]   For me, that is why verse two is there.
[00:28:58.920 --> 00:29:02.920]   For when he says, for I determine to know nothing among you
[00:29:02.920 --> 00:29:05.040]   except Jesus Christ and him crucified,
[00:29:05.040 --> 00:29:09.040]   it's because he doesn't want anybody's faith
[00:29:09.040 --> 00:29:13.880]   to be based on all this extra fluff, right?
[00:29:13.880 --> 00:29:18.960]   Now, we have to take a moment to evaluate this verse,
[00:29:18.960 --> 00:29:21.360]   verse two, because in recent history,
[00:29:21.360 --> 00:29:23.320]   meaning like in the last two, three years,
[00:29:23.320 --> 00:29:27.600]   four, five years, it's become like a significant passage
[00:29:27.600 --> 00:29:31.160]   and a point of great debate in the Christian world, okay?
[00:29:31.160 --> 00:29:34.840]   So, in light of why he doesn't use eloquence
[00:29:34.840 --> 00:29:38.240]   and stuff like that, how would you personally interpret
[00:29:38.240 --> 00:29:39.320]   and apply this verse?
[00:29:39.320 --> 00:29:41.360]   For I determine to know nothing among you
[00:29:41.360 --> 00:29:45.600]   except Jesus Christ and him crucified, okay?
[00:29:45.600 --> 00:29:47.920]   And I give you some options here.
[00:29:47.920 --> 00:29:49.920]   There is Paul, he's simply saying,
[00:29:49.920 --> 00:29:52.600]   maybe like, you know, Eric, you gave a case
[00:29:52.600 --> 00:29:55.200]   in which somebody is evangelizing,
[00:29:55.200 --> 00:29:57.120]   the other guy's like, yeah, but what about evolution?
[00:29:57.120 --> 00:29:59.480]   And he's like, forget evolution, you just need Jesus,
[00:29:59.480 --> 00:30:01.520]   you know, and then all he says is Jesus,
[00:30:01.520 --> 00:30:03.280]   that's all you need, right?
[00:30:03.280 --> 00:30:06.280]   There's another example, Jesus Christ and the crucifixion
[00:30:06.280 --> 00:30:08.840]   are foundational to godly wisdom, so that's your foundation,
[00:30:08.840 --> 00:30:10.800]   everything starts from there, so let's start from there
[00:30:10.800 --> 00:30:13.120]   and let's begin there and focus there.
[00:30:13.120 --> 00:30:15.040]   Another one, Jesus and redemptive sacrifice
[00:30:15.040 --> 00:30:17.000]   should be the only thing we teach.
[00:30:17.000 --> 00:30:19.280]   Teaching commandments, teaching expectations of holiness,
[00:30:19.280 --> 00:30:21.520]   teaching works, teaching deeds, unbiblical, why?
[00:30:21.520 --> 00:30:23.840]   'Cause apostle Paul determined to know nothing
[00:30:23.840 --> 00:30:25.440]   but Christ and Christ crucified.
[00:30:25.440 --> 00:30:27.520]   Another one is Paul saying,
[00:30:27.520 --> 00:30:30.080]   I only preach evangelistic sermons.
[00:30:30.080 --> 00:30:32.120]   When we preach sermons, we have to preach
[00:30:32.120 --> 00:30:35.320]   what will save people, Jesus and crucifixion,
[00:30:35.320 --> 00:30:39.400]   the redemptive theme, the theme of redemption
[00:30:39.400 --> 00:30:40.640]   in every sermon.
[00:30:40.640 --> 00:30:42.920]   There are other interpretations too that can come,
[00:30:42.920 --> 00:30:44.480]   or applications that can come.
[00:30:44.480 --> 00:30:49.360]   But what do you guys think?
[00:30:49.360 --> 00:30:56.260]   If you guys can try to like sum it up in your own way,
[00:30:56.260 --> 00:30:59.600]   what does he mean by determined to know nothing
[00:30:59.600 --> 00:31:01.560]   but Christ and him crucified?
[00:31:04.520 --> 00:31:05.360]   Yes.
[00:31:05.360 --> 00:31:08.360]   >> I think it's partly about the content,
[00:31:08.360 --> 00:31:11.520]   the key aspect of the content of what he speaks,
[00:31:11.520 --> 00:31:13.640]   is Christ and him crucified.
[00:31:13.640 --> 00:31:15.360]   But I think he goes much further than that
[00:31:15.360 --> 00:31:19.280]   because he says, I decided to know nothing among you
[00:31:19.280 --> 00:31:21.680]   except Christ and him crucified.
[00:31:21.680 --> 00:31:24.080]   So in the context of talking about
[00:31:24.080 --> 00:31:27.480]   how all this other wisdom has been demolished,
[00:31:27.480 --> 00:31:30.400]   he's saying that I'm gonna throw out this old worldview,
[00:31:30.400 --> 00:31:33.160]   this old way of, this old starting point,
[00:31:33.160 --> 00:31:34.720]   and now I have a new starting point,
[00:31:34.720 --> 00:31:36.960]   which is Christ and him crucified.
[00:31:36.960 --> 00:31:41.520]   And I have to rethink everything that I believe and do
[00:31:41.520 --> 00:31:45.160]   and base it all on the core of the gospel.
[00:31:45.160 --> 00:31:46.000]   >> Great.
[00:31:46.000 --> 00:31:49.280]   I hope you guys heard him 'cause it was great.
[00:31:49.280 --> 00:31:50.480]   [laughs]
[00:31:50.480 --> 00:31:53.800]   I'm not gonna repeat all that he said, okay?
[00:31:53.800 --> 00:31:54.640]   Good.
[00:31:54.640 --> 00:31:58.080]   Yeah, I think if you look at it in context,
[00:31:58.080 --> 00:32:00.120]   you know, there is such a huge contrast
[00:32:00.120 --> 00:32:02.440]   between the old wisdom and this new wisdom
[00:32:02.440 --> 00:32:05.760]   and this new wisdom has at its core foundation,
[00:32:05.760 --> 00:32:08.120]   Jesus Christ and him crucified.
[00:32:08.120 --> 00:32:11.120]   And Christ being crucified is truly
[00:32:11.120 --> 00:32:13.160]   the wisdom and power of God.
[00:32:13.160 --> 00:32:14.960]   And it stumbles, you know,
[00:32:14.960 --> 00:32:17.760]   it stumbles these religious higher ups
[00:32:17.760 --> 00:32:20.900]   and it stumbles the Greeks and the Jews all alike, you know?
[00:32:20.900 --> 00:32:24.880]   But by saying that the foundation is laid there
[00:32:24.880 --> 00:32:27.240]   and by saying that the core of the wisdom of God is there,
[00:32:27.240 --> 00:32:31.640]   definitely we do not take this to an overstatement of
[00:32:31.640 --> 00:32:34.920]   and so therefore, Apostle Paul has denounced
[00:32:34.920 --> 00:32:36.240]   the teaching of other commandments
[00:32:36.240 --> 00:32:39.280]   or denounced the teaching of imperatives, okay?
[00:32:39.280 --> 00:32:42.440]   And I am talking about there has been a movement to,
[00:32:42.440 --> 00:32:44.600]   not the whole movement, it's been good.
[00:32:44.600 --> 00:32:47.400]   To focus on the gospel isn't good, is good.
[00:32:47.400 --> 00:32:48.760]   But there have been some who have made
[00:32:48.760 --> 00:32:50.600]   a sloppy application to say,
[00:32:50.600 --> 00:32:52.400]   and so therefore, let's make a rule.
[00:32:52.400 --> 00:32:56.160]   Every sermon has to have the gospel proper.
[00:32:56.160 --> 00:32:59.520]   Everything that we teach, how we counsel Christians,
[00:32:59.520 --> 00:33:01.520]   how we evangelize the lost,
[00:33:01.520 --> 00:33:03.800]   and all that has to look a certain way
[00:33:03.800 --> 00:33:06.440]   and has to have certain verbiage in there.
[00:33:06.440 --> 00:33:08.000]   But the fact of the matter is,
[00:33:08.000 --> 00:33:11.760]   the gospel of God really is,
[00:33:11.760 --> 00:33:14.980]   it can have a broad context of the truth and wisdom
[00:33:14.980 --> 00:33:17.680]   of God's saving graces, you know?
[00:33:17.680 --> 00:33:19.320]   And so I just wanted to make a note of it
[00:33:19.320 --> 00:33:21.400]   because I've seen it used,
[00:33:21.400 --> 00:33:23.700]   I've seen it applied a bit sloppily.
[00:33:23.700 --> 00:33:26.320]   But for me, the point of it really comes back
[00:33:26.320 --> 00:33:28.320]   to something important.
[00:33:28.320 --> 00:33:30.640]   And I ask in letter C,
[00:33:30.640 --> 00:33:34.080]   what was Apostle Paul trying to, whoa.
[00:33:34.080 --> 00:33:37.240]   How does that read in your,
[00:33:37.240 --> 00:33:38.480]   (laughs)
[00:33:38.480 --> 00:33:40.880]   it's like the craziest phobie mistake
[00:33:40.880 --> 00:33:42.020]   I think I've made so far.
[00:33:42.020 --> 00:33:44.960]   I can't even read it 'cause it's like throwing me off.
[00:33:44.960 --> 00:33:46.800]   Okay, what is this trying to say here?
[00:33:46.800 --> 00:33:50.760]   What was he trying to avoid, okay?
[00:33:50.760 --> 00:33:52.480]   I left out a verb.
[00:33:52.480 --> 00:33:54.600]   What was he trying to avoid
[00:33:54.600 --> 00:33:56.920]   by determining to know nothing other than Christ?
[00:33:56.920 --> 00:33:58.560]   What was he so concerned about?
[00:33:58.560 --> 00:34:01.040]   And we said it earlier, he was so concerned
[00:34:01.040 --> 00:34:04.040]   that their faith would be based on his eloquence
[00:34:04.040 --> 00:34:05.720]   and not the truth.
[00:34:05.720 --> 00:34:08.840]   And so that's why, and if you think about that,
[00:34:08.840 --> 00:34:12.160]   verse three is there.
[00:34:12.160 --> 00:34:13.840]   I was with you in weakness,
[00:34:13.840 --> 00:34:18.820]   and in fear, and in much trembling, right?
[00:34:18.820 --> 00:34:22.840]   What was Apostle Paul's weakness?
[00:34:22.840 --> 00:34:24.680]   What was his fear?
[00:34:24.680 --> 00:34:25.880]   What was his trembling?
[00:34:26.720 --> 00:34:30.120]   Was it a physical trembling?
[00:34:30.120 --> 00:34:34.520]   Was he a guy who had a speech impediment and he stuttered?
[00:34:34.520 --> 00:34:36.080]   Was he a guy who was a nervous wreck
[00:34:36.080 --> 00:34:38.760]   when he was in front of people 'cause he was too shy?
[00:34:38.760 --> 00:34:44.720]   I ask these questions, but we've already mentioned
[00:34:44.720 --> 00:34:46.920]   the answer that's been quite obvious
[00:34:46.920 --> 00:34:48.680]   throughout the whole passage.
[00:34:48.680 --> 00:34:50.840]   But I wanna highlight something here, okay?
[00:34:52.400 --> 00:34:55.200]   Apostle Paul is so concerned
[00:34:55.200 --> 00:34:57.560]   that their foundation be Christ,
[00:34:57.560 --> 00:35:00.560]   I believe that is the reason why he is in fear and trembling.
[00:35:00.560 --> 00:35:03.640]   We know for a fact Apostle Paul's not afraid
[00:35:03.640 --> 00:35:06.160]   to lose his own life, 'cause he just keeps going back
[00:35:06.160 --> 00:35:07.440]   after being beaten.
[00:35:07.440 --> 00:35:08.520]   He just keeps going.
[00:35:08.520 --> 00:35:11.060]   It's like, dang, you just got stoned.
[00:35:11.060 --> 00:35:14.960]   You could go another way, you know?
[00:35:14.960 --> 00:35:16.660]   But he goes back.
[00:35:16.660 --> 00:35:19.600]   We know he's not afraid of being isolated and imprisoned.
[00:35:19.600 --> 00:35:22.400]   He will go gladly where the gospel leads him,
[00:35:22.400 --> 00:35:26.280]   to preach to the lost, to go where the gospel is needed.
[00:35:26.280 --> 00:35:29.480]   He's not in fear and trembling for his own neck.
[00:35:29.480 --> 00:35:33.000]   But something that you notice in the passage,
[00:35:33.000 --> 00:35:35.120]   he says, "I was,"
[00:35:35.120 --> 00:35:39.360]   and there's a little prepositional phrase, "with you."
[00:35:39.360 --> 00:35:42.440]   His concern is for them.
[00:35:42.440 --> 00:35:45.580]   His concern is for their well-being.
[00:35:46.640 --> 00:35:51.480]   For me, I wish that my understanding of spiritual reality,
[00:35:51.480 --> 00:35:53.400]   my worldview of reality,
[00:35:53.400 --> 00:35:56.460]   would impact my view of people such that
[00:35:56.460 --> 00:35:59.000]   the drastic weight of the result,
[00:35:59.000 --> 00:36:01.440]   the consequence of your faith being grounded
[00:36:01.440 --> 00:36:04.680]   on something other than Christ, right,
[00:36:04.680 --> 00:36:06.480]   would move me to the degree
[00:36:06.480 --> 00:36:09.920]   that I would have fear and trembling.
[00:36:09.920 --> 00:36:13.560]   The weightiness and seriousness of what I preach to you,
[00:36:13.560 --> 00:36:18.560]   and the result, if I veil the truth by my eloquence,
[00:36:18.560 --> 00:36:21.920]   if I adulterate this by my showmanship,
[00:36:21.920 --> 00:36:25.100]   he's trembling.
[00:36:25.100 --> 00:36:29.120]   And the weakness he has is the weakness with the gospel,
[00:36:29.120 --> 00:36:30.240]   with the people.
[00:36:30.240 --> 00:36:32.640]   And it makes sense.
[00:36:32.640 --> 00:36:34.860]   Right?
[00:36:34.860 --> 00:36:36.440]   It makes sense to me.
[00:36:36.440 --> 00:36:39.320]   Why would division be the first thing he addresses
[00:36:39.320 --> 00:36:41.760]   when there's stuff like incest,
[00:36:41.760 --> 00:36:43.280]   and stuff like immorality,
[00:36:43.280 --> 00:36:46.680]   and stuff like suing each other?
[00:36:46.680 --> 00:36:51.240]   Because as a pastor, his heart is for his people.
[00:36:51.240 --> 00:36:54.120]   He loves them to the degree
[00:36:54.120 --> 00:36:59.160]   that it's causing him this great fear and trembling.
[00:36:59.160 --> 00:37:00.880]   That's what I'm saying.
[00:37:00.880 --> 00:37:03.240]   He is the pastor who planted this church.
[00:37:03.240 --> 00:37:04.760]   He is the first pastor they had,
[00:37:04.760 --> 00:37:07.040]   and he was with them the longest.
[00:37:07.040 --> 00:37:08.800]   He loves them to the degree, and he says,
[00:37:08.800 --> 00:37:11.480]   "I am so concerned that your faith
[00:37:11.480 --> 00:37:12.400]   "would be grounded on something else,
[00:37:12.400 --> 00:37:15.100]   "and that's why I am determined to speak in such a way
[00:37:15.100 --> 00:37:17.520]   "to you, to give you the clarity of truth."
[00:37:17.520 --> 00:37:23.800]   So, how dare you guys divide amongst yourselves
[00:37:23.800 --> 00:37:26.560]   by loving worldly wisdom,
