
[00:00:00.000 --> 00:00:07.000]   All right.
[00:24:55.140 --> 00:24:57.020]   So remember the peace offering?
[00:24:57.020 --> 00:25:02.120]   The peace offering is a reversal of that curse where you're united with God and you're united
[00:25:02.120 --> 00:25:03.220]   with one another.
[00:25:03.220 --> 00:25:13.020]   So this particular sin or disease of leprosy pointed to the isolation which we see in the
[00:25:13.020 --> 00:25:17.280]   book of Genesis, chapter 3, when sin comes in, they immediately become isolated.
[00:25:17.280 --> 00:25:21.860]   Not only are they isolated and have to live alone, just in case somebody may come into
[00:25:21.860 --> 00:25:26.220]   contact, they have to constantly yell out, "Unclean, unclean."
[00:25:26.220 --> 00:25:31.700]   Now you have to understand, when we say unclean, we don't have this emotional baggage that's
[00:25:31.700 --> 00:25:36.820]   attached because we don't live in that culture.
[00:25:36.820 --> 00:25:43.780]   To say you're an unclean and yelling out to everybody else, basically it's a self-condemnation.
[00:25:43.780 --> 00:25:49.540]   It's just like walking around and displaying the ugliest part of who you are everywhere
[00:25:49.540 --> 00:25:50.540]   you went.
[00:25:50.540 --> 00:25:54.460]   Because to be unclean in the Jewish community meant you can't be with people.
[00:25:54.460 --> 00:25:59.180]   You can't come to worship, you can't give sacrifice, you can't live with your family.
[00:25:59.180 --> 00:26:05.140]   And you have, just by being close to somebody, you would corrupt them.
[00:26:05.140 --> 00:26:10.240]   So remember when you guys were young kids, kids would play around and say, "Oh, he or
[00:26:10.240 --> 00:26:12.880]   she has cooties."
[00:26:12.880 --> 00:26:16.500]   And they would play tag and whoever has cooties, you have to stay as far away from them as
[00:26:16.500 --> 00:26:17.980]   possible.
[00:26:17.980 --> 00:26:22.620]   And it was a game that the kids played, but imagine if that was real.
[00:26:22.620 --> 00:26:25.960]   Some kid is labeled to have cooties and nobody can sit next to them.
[00:26:25.960 --> 00:26:30.140]   Nobody can touch them, you can't eat with them, you can't share with them.
[00:26:30.140 --> 00:26:35.380]   Basically you can't have friends because if you get near that person, you get cooties.
[00:26:35.380 --> 00:26:39.420]   Well that's exactly how this particular thing is described.
[00:26:39.420 --> 00:26:51.920]   The sin spreads, sin defiles, sin is ultimately pointing to the deep corruption inside.
[00:26:51.920 --> 00:26:56.280]   But I think the most painful thing, I mean if you were a leper and you had the disease
[00:26:56.280 --> 00:27:02.500]   of leprosy, I can imagine the only thing that you wanted was to die.
[00:27:02.500 --> 00:27:06.300]   Can you imagine the pain that this person must have gone through?
[00:27:06.300 --> 00:27:08.240]   No human contact whatsoever.
[00:27:08.240 --> 00:27:13.000]   You can't have a conversation with your family members, you're outside the city, and you
[00:27:13.000 --> 00:27:15.760]   can't even think about like, "What did I do wrong?
[00:27:15.760 --> 00:27:20.720]   What could I have possibly done wrong for me to deserve this?"
[00:27:20.720 --> 00:27:26.480]   And then finally, in Luke chapter 17, then through 19, you know that encounter that Jesus
[00:27:26.480 --> 00:27:32.600]   has with the 10 lepers, and I think understanding the background, it gives us a better idea,
[00:27:32.600 --> 00:27:33.600]   the cultural background.
[00:27:33.600 --> 00:27:38.000]   So it says, "On the way to Jerusalem, he was passing along between Samaria and Galilee,
[00:27:38.000 --> 00:27:41.800]   and as he entered a village, he was met by 10 lepers who stood at a distance."
[00:27:41.800 --> 00:27:45.400]   So you can understand why they were standing at a distance, because by law.
[00:27:45.400 --> 00:27:48.720]   And if they didn't stay at a distance, they could have been stoned.
[00:27:48.720 --> 00:27:50.640]   Remember what the rabbis said?
[00:27:50.640 --> 00:27:55.040]   Beyond scripture, they were bragging about throwing rocks at lepers to keep them at a
[00:27:55.040 --> 00:27:56.280]   distance.
[00:27:56.280 --> 00:27:59.720]   So imagine what would have happened if they drew near.
[00:27:59.720 --> 00:28:00.720]   This is how they had to live.
[00:28:00.720 --> 00:28:06.080]   They can only be with other lepers, and the fact that they even tried to make contact
[00:28:06.080 --> 00:28:10.560]   with Jesus would have been enough for them to get stoned.
[00:28:10.560 --> 00:28:11.560]   But what else would you do?
[00:28:11.560 --> 00:28:16.880]   If you were a leper, and the only chance that you could possibly have a normal life is Jesus,
[00:28:16.880 --> 00:28:24.040]   because you heard about him walking on water, you heard about healing the blind and raising
[00:28:24.040 --> 00:28:29.120]   those who couldn't walk, who were lame, and he's coming to town, that even if you get
[00:28:29.120 --> 00:28:33.400]   stoned, it would be better than the situation that they were in.
[00:28:33.400 --> 00:28:38.120]   So you can understand why they would come yelling at Jesus, "Jesus, Master, have mercy
[00:28:38.120 --> 00:28:40.120]   on us."
[00:28:40.120 --> 00:28:45.600]   So again, it really highlights when they say, "Have mercy on us," considering knowing everything
[00:28:45.600 --> 00:28:46.600]   that they were going through.
[00:28:46.600 --> 00:28:49.400]   "When he saw them, he said to them, 'Go and show yourself to the priest.'"
[00:28:49.400 --> 00:28:51.600]   Now why did he do that?
[00:28:51.600 --> 00:28:57.040]   Because it says in the book of Leviticus, because the priest had the power to determine
[00:28:57.040 --> 00:28:58.600]   whether they had this disease or not.
[00:28:58.800 --> 00:29:04.520]   So in order for them to enter back into the camp and to be able to have any human contact,
[00:29:04.520 --> 00:29:07.840]   the priest first had to clear it.
[00:29:07.840 --> 00:29:11.480]   And so that's why Jesus says, "If you want to be healed, when he says, 'Go show the priest,'"
[00:29:11.480 --> 00:29:16.000]   in other words, this was promised from Jesus saying, "You're going to be cleansed."
[00:29:16.000 --> 00:29:19.840]   Then one of them, when he saw that he was healed, turned back, praising God with a loud
[00:29:19.840 --> 00:29:20.840]   voice.
[00:29:21.680 --> 00:29:22.680]   Right?
[00:29:22.680 --> 00:29:28.400]   Because as soon as he was healed, you know, the first thing that you would think, humanly
[00:29:28.400 --> 00:29:33.560]   speaking, because you want the approval of the priest, because that means that everything
[00:29:33.560 --> 00:29:39.040]   that caused pain in your life was going to be cleared by the priest.
[00:29:39.040 --> 00:29:40.040]   You can go home.
[00:29:40.040 --> 00:29:41.520]   You can come back.
[00:29:41.520 --> 00:29:47.960]   But only one person recognized that the real gift, the real gift was not the leprosy in
[00:29:47.960 --> 00:29:51.960]   itself that being gone, but Jesus himself.
[00:29:51.960 --> 00:29:54.120]   Because he was the healer.
[00:29:54.120 --> 00:29:59.000]   The others were eager to get back into their normal life.
[00:29:59.000 --> 00:30:02.400]   The only one who turns around is that when he saw that he was healed, turned back, praising
[00:30:02.400 --> 00:30:04.520]   God with a loud voice.
[00:30:04.520 --> 00:30:07.760]   And he fell on his face at Jesus' feet, giving him thanks.
[00:30:07.760 --> 00:30:09.000]   Now he was a Samaritan.
[00:30:09.000 --> 00:30:11.280]   Let me stop right here.
[00:30:11.280 --> 00:30:16.600]   Now, again, understanding the cultural and the legal background behind what they were
[00:30:16.600 --> 00:30:21.000]   suffering and all that, we can understand why they were so eager to go and get cleansed
[00:30:21.000 --> 00:30:23.880]   and get back into society.
[00:30:23.880 --> 00:30:28.320]   But the point of everything that Jesus did, the point of every part of the law was ultimately
[00:30:28.320 --> 00:30:31.520]   to bring them to God.
[00:30:31.520 --> 00:30:32.520]   Ultimately to bring them to God.
[00:30:32.520 --> 00:30:37.800]   They could be healed, but in the end, eventually, if you don't meet God, eventually you're going
[00:30:37.800 --> 00:30:39.720]   to die in your sins.
[00:30:39.720 --> 00:30:45.840]   You're superficially healed, right, of your leprosy, but the healing, the real sickness
[00:30:45.840 --> 00:30:51.960]   in mankind is the disease of sin, the corrupt nature inside.
[00:30:51.960 --> 00:30:57.980]   And so, this we see even in our culture where people who are desperate, they come to God
[00:30:57.980 --> 00:31:03.960]   if they're poor, if they have family issues or you're hurt by something.
[00:31:03.960 --> 00:31:08.400]   And I see so many people coming to God when they're desperate, but as soon as their desperation
[00:31:08.400 --> 00:31:12.980]   is gone, so is their desperation for God.
[00:31:12.980 --> 00:31:17.640]   And so, it's almost like we're waiting for another disaster to happen to bring revival.
[00:31:17.640 --> 00:31:20.320]   You know what I'm saying?
[00:31:20.320 --> 00:31:21.920]   Disasters tend to bring revival.
[00:31:21.920 --> 00:31:26.840]   And that's why, like if you go to a persecuted church, there's a fire in them because of
[00:31:26.840 --> 00:31:29.480]   the persecution.
[00:31:29.480 --> 00:31:34.880]   But remember what Jesus said to Thomas when Jesus was resurrected and he said, "Well,
[00:31:34.880 --> 00:31:36.160]   let me see you."
[00:31:36.160 --> 00:31:42.600]   And then he sees Jesus and puts his fingers inside of his scars and Jesus says, "You believe
[00:31:42.600 --> 00:31:47.880]   because you saw, but blessed are those who do not see and yet they believe."
[00:31:47.880 --> 00:31:55.400]   In other words, if revival is dependent upon your circumstance, your love for God will
[00:31:55.400 --> 00:31:57.880]   come and it goes.
[00:31:57.880 --> 00:32:02.880]   And as soon as the fire is gone in your life, so is the fire for Christ.
[00:32:02.880 --> 00:32:05.060]   And that was the sin of the nine lepers.
[00:32:05.060 --> 00:32:10.440]   They were healed of their leprosy, but they were never healed of their sin because they
[00:32:10.440 --> 00:32:12.040]   didn't recognize Christ.
[00:32:12.040 --> 00:32:15.080]   All they recognized was the gift.
[00:32:15.080 --> 00:32:20.000]   And so our churches, if we're not careful, can be filled with people who are coming to
[00:32:20.000 --> 00:32:26.400]   Christ because of the gift, not recognizing Christ himself is the gift.
[00:32:26.400 --> 00:32:30.240]   Because only Christ can forgive us and only Christ can cleanse us of our sins.
[00:32:30.240 --> 00:32:36.440]   And the whole reason why this law is even in here is to ultimately point us to Christ.
[00:32:36.440 --> 00:32:42.920]   Jesus is, yes, he could heal us of leprosy, but even if you are healed of leprosy, it
[00:32:42.920 --> 00:32:46.480]   is only superficial.
[00:32:46.480 --> 00:32:48.200]   So it kind of gives us a better picture.
[00:32:48.200 --> 00:32:52.480]   In the end, he says, "We're not ten cleansed.
[00:32:52.480 --> 00:32:53.720]   Where are the nine?
[00:32:53.720 --> 00:32:56.560]   Was no one found to return and give praise to God except this foreigner?"
[00:32:56.560 --> 00:32:58.880]   And he said to him, "Rise and go your way.
[00:32:58.880 --> 00:33:01.360]   Your faith has made you well."
[00:33:01.360 --> 00:33:04.520]   Of course, you would say, "Well, nine of them was made well.
[00:33:04.520 --> 00:33:08.160]   So what does it mean when Jesus says, 'Your faith has made well?'"
[00:33:08.160 --> 00:33:11.040]   He's talking about his sin.
[00:33:11.040 --> 00:33:15.560]   There's only one person out of these ten who was truly made well, the one whose sins were
[00:33:15.560 --> 00:33:17.640]   forgiven.
[00:33:17.640 --> 00:33:24.220]   And that's the thing that, again, we can, if we're not careful, make Christianity about
[00:33:24.220 --> 00:33:29.560]   answered prayers, about getting a good job, and about being healthy and living long lives,
[00:33:29.560 --> 00:33:35.040]   and being able to have enough money to take care of our children, and all of these things
[00:33:35.040 --> 00:33:44.160]   are and can be a blessing, but they're all superficial.
[00:33:44.160 --> 00:33:49.480]   You can have children who are raised in a good home, well-protected, well-provided.
[00:33:49.480 --> 00:33:56.640]   They are A-plus students, get to the best colleges, and yet they don't know Christ.
[00:33:56.640 --> 00:34:01.080]   And all of that that you did to help them actually ends up hurting them if they don't
[00:34:01.080 --> 00:34:04.080]   meet Christ.
[00:34:04.080 --> 00:34:10.600]   So ultimately, everything that God does, whether it's wealth, or whether it's pain, whether
[00:34:10.600 --> 00:34:15.160]   it's good, or whether it's bad, if it doesn't lead us to Christ, it actually ends up hurting
[00:34:15.160 --> 00:34:18.760]   us.
[00:34:18.760 --> 00:34:23.880]   And then finally, sin is ultimately only fit for fire.
[00:34:23.880 --> 00:34:27.840]   And the final thing that he says about the garments is, "A defiled garment was to be
[00:34:27.840 --> 00:34:29.040]   burned in the fire.
[00:34:29.040 --> 00:34:31.720]   It was not to be purified, but destroyed."
[00:34:31.720 --> 00:34:35.360]   There was no redemption for sin.
[00:34:35.360 --> 00:34:41.840]   Sinners are redeemed, but sin in and of itself, it says, is to be burned.
[00:34:41.840 --> 00:34:44.640]   So when Jesus spoke about hell, he used the word Gehenna.
[00:34:44.640 --> 00:34:49.840]   And the word Gehenna was a literal place outside of Jerusalem where it was a trash dump, and
[00:34:49.840 --> 00:34:55.240]   Israelites would have been very familiar with that site, with the trash being burned all
[00:34:55.240 --> 00:34:56.240]   the time.
[00:34:56.240 --> 00:35:00.800]   And it was described in Mark 9 45 as unquenchable fire.
[00:35:00.800 --> 00:35:05.840]   And the Bible describes the very reason why Christ came was because of this.
[00:35:05.840 --> 00:35:13.040]   So as hideous as this particular disease was, all of that points to the hideousness of our
[00:35:13.040 --> 00:35:14.040]   sin.
[00:35:14.040 --> 00:35:22.800]   And as I started this Bible study reminding us, until sin becomes utterly sinful, our
[00:35:22.800 --> 00:35:27.000]   salvation doesn't become utterly glorious.
[00:35:27.000 --> 00:35:32.840]   And until our salvation is utterly glorious, our passion, our love, our obedience will
[00:35:32.840 --> 00:35:36.520]   always become a burden.
[00:35:36.520 --> 00:35:39.360]   Because Christianity ultimately is about drawing near to Christ.
[00:35:39.360 --> 00:35:47.880]   But if drawing near to Christ isn't the source of your joy, and it just becomes homework,
[00:35:47.880 --> 00:35:52.200]   it just becomes something that you have to do, because you don't recognize what it is
[00:35:52.200 --> 00:35:54.480]   that you have in Christ.
[00:35:54.480 --> 00:35:57.840]   And the reason we don't recognize what it is that we have in Christ is because we have
[00:35:57.840 --> 00:36:03.520]   never felt the devastation of sin.
[00:36:03.520 --> 00:36:05.640]   Some people have.
[00:36:05.640 --> 00:36:12.080]   A lot of people, sin is looked upon as a mistake.
[00:36:12.080 --> 00:36:13.280]   Something that we shouldn't have been doing.
[00:36:13.280 --> 00:36:17.120]   We should have gotten an A, but we got a C. Some people get Fs.
[00:36:17.120 --> 00:36:18.640]   And it is not utterly sinful.
[00:36:18.640 --> 00:36:21.960]   We don't see the devastation of this sin, even though it is happening even in our own
[00:36:21.960 --> 00:36:23.400]   lives.
[00:36:23.400 --> 00:36:28.600]   That sin that is dormant in our lives is having an effect on your relationship, it's having
[00:36:28.600 --> 00:36:32.680]   an effect on your marriage, it's having an effect on your heart, it's having an effect
[00:36:32.680 --> 00:36:39.200]   on your worship, it's having an effect on our children.
[00:36:39.200 --> 00:36:45.160]   But when we don't recognize this, when we don't recognize the devastation of sin, we
[00:36:45.160 --> 00:36:50.040]   don't feel an urgency to come to Christ.
[00:36:50.040 --> 00:36:55.320]   Until we can't pay our bills, until we get sick, until something physically goes wrong,
[00:36:55.320 --> 00:36:58.760]   we don't sense an urgency.
[00:36:58.760 --> 00:37:06.240]   Urgency is always there if we recognize just how devastating sin is, because sin is always
[00:37:06.240 --> 00:37:08.240]   dormant.
[00:37:08.240 --> 00:37:12.420]   Sin is always wanting to creep into our lives.
[00:37:12.420 --> 00:37:17.420]   And how vulnerable we are to deception until we come to Christ.
[00:37:17.420 --> 00:37:25.600]   So all of this ultimately points to that, because the Day of Atonement, like all of
[00:37:25.600 --> 00:37:27.280]   this, was to cover all of this.
[00:37:27.280 --> 00:37:38.400]   So imagine how it would change our spiritual lives if we saw our sins like we see leprosy.
[00:37:38.400 --> 00:37:44.080]   Imagine how desperate we were, imagine like the ten lepers were crying out to Jesus, "Have
[00:37:44.080 --> 00:37:47.080]   mercy on us!"
[00:37:47.080 --> 00:37:52.060]   We would be in that same position if we saw sin the way God saw sin.
[00:37:52.060 --> 00:37:55.240]   We would be the tax collector up on the hill beating our chest, not being able to lift
[00:37:55.240 --> 00:37:57.160]   our eyes.
[00:37:57.160 --> 00:38:03.300]   If we saw sin as it is described here, as leprosy.
[00:38:03.300 --> 00:38:07.800]   And that was the whole point of Leviticus, the whole point of the sacrificial laws.
[00:38:07.800 --> 00:38:15.200]   The whole point of the law is to get us to get to a point, like the lepers, to cry out
[00:38:15.200 --> 00:38:24.320]   to God, to look to the cross in desperation and tears.
[00:38:24.320 --> 00:38:31.280]   I looked at Google to look up pictures of leprosy, and it was so hideous I didn't even
[00:38:31.280 --> 00:38:33.880]   want to show it to you.
[00:38:33.880 --> 00:38:36.440]   I showed you some grotesque stuff.
[00:38:36.440 --> 00:38:42.720]   I showed you like beheaded lambs and blood, and I showed you all of that because God showed
[00:38:42.720 --> 00:38:45.600]   like this is what the Israelites saw on a daily basis.
[00:38:45.600 --> 00:38:50.360]   But I looked at the picture of these people who had leprosy, and there's pictures of them,
[00:38:50.360 --> 00:38:51.360]   I couldn't show it to you.
[00:38:51.600 --> 00:38:57.400]   And I don't want to show it to you because it is that grotesque.
[00:38:57.400 --> 00:39:06.120]   And that image that is described in Leviticus 13 and 14 was ultimately meant to show us
[00:39:06.120 --> 00:39:09.320]   our sins.
[00:39:09.320 --> 00:39:17.400]   So again, as we continue to study the book of Leviticus, like that our reality, not to
[00:39:17.400 --> 00:39:23.000]   be formed by the pattern of this world, but be transformed by the renewing of our mind.
[00:39:23.000 --> 00:39:28.320]   And these things ought to be renewing our mind to see sin from God's perspective, and
[00:39:28.320 --> 00:39:36.280]   see redemption from his perspective, so that we would live our lives as he desires.
[00:39:36.280 --> 00:39:41.800]   The three discussion questions for today, in what ways have you seen or experienced
[00:39:41.800 --> 00:39:45.080]   sin spreading when not dealt with in repentance?
[00:39:45.080 --> 00:39:49.240]   Secondly, how has sin defiled something precious in your life?
[00:39:49.240 --> 00:39:51.600]   For example, relationships, family, worship, et cetera.
[00:39:51.600 --> 00:39:56.800]   I'll just give you some examples, but in what specific way have you noticed or seen in your
[00:39:56.800 --> 00:40:02.360]   life and maybe in something that you've observed, and how sin has a way of corrupting?
[00:40:02.360 --> 00:40:05.100]   Third, how does sin cause isolation?
[00:40:05.100 --> 00:40:10.480]   What does sin leading to isolation teach us about true fellowship?
[00:40:10.480 --> 00:40:13.360]   And I'm just going to explain that right now, just in case, you know, I don't want you guys
[00:40:13.360 --> 00:40:14.600]   going off tangent.
[00:40:14.600 --> 00:40:22.620]   What I mean by that is, if sin isolates, righteousness brings us together, correct?
[00:40:22.620 --> 00:40:27.280]   So oftentimes when we talk about fellowship, it's about people who are compromising in
[00:40:27.280 --> 00:40:30.000]   sin commiserating together.
[00:40:30.000 --> 00:40:31.960]   That's not fellowship.
[00:40:31.960 --> 00:40:41.120]   Because if the core nature of sin is isolation, righteousness leads to communion.
[00:40:41.120 --> 00:40:45.640]   So how does that play out in the life of a Christian and in the church?
[00:40:45.640 --> 00:40:51.560]   So let me pray for us, and then I'll let you guys take time in your small group.
[00:40:51.560 --> 00:40:56.760]   Gracious Father, we thank you for your living word.
[00:40:56.760 --> 00:41:04.240]   Lord, these are heavy truths, Lord God, that we need to really meditate and contemplate,
[00:41:04.240 --> 00:41:06.840]   because we know it in our head.
[00:41:06.840 --> 00:41:11.840]   And at times, many times, Lord God, it's not in our hearts.
[00:41:11.840 --> 00:41:18.460]   Help us, Lord God, to sympathize with those who have experienced this devastating disease
[00:41:18.460 --> 00:41:25.440]   in one form or another, that we may recognize what you've been trying for many years to
[00:41:25.440 --> 00:41:36.720]   show the nation of Israel, just how desperate and sick we are when we allow sin in our lives.
[00:41:36.720 --> 00:41:43.640]   What it is that you have saved us from, that we would naturally need to worship in view
[00:41:43.640 --> 00:41:50.800]   of this mercy, that we would joyfully offer our bodies as a living sacrifice.
[00:41:50.800 --> 00:42:02.960]   Lord, we approach you humbled, desperate, crying out for mercy.
[00:42:02.960 --> 00:42:09.760]   I pray that the truth and the power of the gospel would have a deep impact on us, that
[00:42:09.760 --> 00:42:17.080]   we would not just coast along from day to day, from event to event, from Sunday to Sunday.
[00:42:17.080 --> 00:42:25.280]   Devastate us in our sins, that we may be delivered and live a life truly glorious for your name.
[00:42:25.280 --> 00:42:27.080]   Bless the time that we have in our discussion.
[00:42:27.080 --> 00:42:32.040]   Help us to be open and honest, and that we may sharpen one another as we have this time.
[00:42:32.040 --> 00:42:33.820]   In Jesus' name we pray, amen.
[00:42:33.820 --> 00:42:43.820]   [BLANK_AUDIO]

