
[00:00:00.000 --> 00:00:07.000]   Love and sorrow meet
[00:37:54.000 --> 00:37:59.000]   to see if they would trust him to lead them into the promised land.
[00:37:59.000 --> 00:38:12.000]   But with each passing year, remember, forty years, not a short time, with each passing year, each obstacle, every bout of thirst and hunger, the Israelites grumbled and complained.
[00:38:12.000 --> 00:38:17.000]   On the surface, they may have looked okay, but they're like sponges.
[00:38:17.000 --> 00:38:24.000]   As soon as you squeeze them a little bit, the stuff that's on the inside comes out and gets exposed.
[00:38:24.000 --> 00:38:35.000]   So the wilderness squeezes exposed their faithlessness, the squeezes betrayed their rebellious spirit, their cowardice, their selfishness.
[00:38:35.000 --> 00:38:42.000]   And what was exposed is that indeed their God is their bellies.
[00:38:42.000 --> 00:38:46.000]   The Israelites were inclined to evil and self-destruction all the time.
[00:38:46.000 --> 00:38:53.000]   They were a bunch of stiff-necked, ungrateful whiners.
[00:38:53.000 --> 00:39:03.000]   They were weak, helpless, and powerless, but they had the audacity to curse the God of the universe and to blame him for this misery.
[00:39:03.000 --> 00:39:10.000]   "If only you hadn't cared about us and led us out into this desert! We would rather be in Egypt and eat leeks and cucumbers and garlic.
[00:39:10.000 --> 00:39:16.000]   We would rather be slaves than to follow you, you horrible God."
[00:39:16.000 --> 00:39:30.000]   So God had delivered them out of slavery and showed them miracles and wonders, but the perpetual cry of their hearts was, "What have you done for me lately, Yahweh?"
[00:39:30.000 --> 00:39:39.000]   Let me read this section of Deuteronomy 8-2 again for you, to know what was in your heart, whether you would keep his commandments or not.
[00:39:39.000 --> 00:39:43.000]   The wilderness wandering was for testing, is our second point, right?
[00:39:43.000 --> 00:39:46.000]   I have a very important question for you.
[00:39:46.000 --> 00:39:51.000]   Who were the tests for?
[00:39:51.000 --> 00:39:58.000]   Were the tests for God's benefit, so that he could see what was in their hearts, because he wasn't sure?
[00:39:58.000 --> 00:40:01.000]   Was it because God had his suspicions?
[00:40:01.000 --> 00:40:08.000]   Did God need some kind of confirmation or evidence that they would, in fact, turn out okay?
[00:40:08.000 --> 00:40:16.000]   No. God is omniscient. He is all-knowing. He already knew what was in their hearts.
[00:40:16.000 --> 00:40:24.000]   The tests were for Israel's benefit, so that in their humbled and their helpless state, they would seek God.
[00:40:24.000 --> 00:40:28.000]   That they would learn to trust and put their hope in God alone.
[00:40:28.000 --> 00:40:37.000]   They needed to learn this, and to teach them that they were not saved because God knew that they would be good at obeying.
[00:40:37.000 --> 00:40:47.000]   Praise the Lord that God, praise him that he did not save us because of our ability to obey. Amen?
[00:40:47.000 --> 00:40:54.000]   We may be shocked when we see the sins come out of our hearts, hear the things that come out of our mouths,
[00:40:54.000 --> 00:40:58.000]   but God is never taken by surprise by our depravity.
[00:40:58.000 --> 00:41:01.000]   He saves and loves anyway.
[00:41:01.000 --> 00:41:04.000]   So what was the testing for?
[00:41:04.000 --> 00:41:06.000]   We see the answer in verse 3.
[00:41:06.000 --> 00:41:16.000]   "To make you understand, the man does not live by bread alone, but man lives by everything that proceeds out of the mouth of the Lord."
[00:41:16.000 --> 00:41:26.000]   Israel was created by God and for God to love God and to serve God, but rebellion and rottenness was at the very core of their hearts.
[00:41:26.000 --> 00:41:35.000]   Israel was created by God and for God to love God and to serve God, but in their core, they hated that purpose.
[00:41:35.000 --> 00:41:39.000]   Acts 17.28, Paul in front of the Areopagus. This is what he says.
[00:41:39.000 --> 00:41:46.000]   "That in God we live and move and exist." Other translations say, "In him we live and move and have our being."
[00:41:46.000 --> 00:41:51.000]   But in God we live and move and exist.
[00:41:51.000 --> 00:42:02.000]   But for you and me, oftentimes, in our rebellion and foolish arrogance, we often think that God lives and moves and exists to serve us.
[00:42:02.000 --> 00:42:05.000]   God had never needed Israel.
[00:42:05.000 --> 00:42:08.000]   Israel had always needed God.
[00:42:08.000 --> 00:42:12.000]   Because Israel too had inherited Adam's sin nature.
[00:42:12.000 --> 00:42:23.000]   Israel would always default to faithlessness, forgetfulness, rebellion, and placing hope in all the wrong things, walking by sight and not by faith.
[00:42:23.000 --> 00:42:35.000]   And without God's intervention, Israel would destroy themselves, be ravaged by their neighboring enemies, and seek always to worship created things rather than the Creator.
[00:42:35.000 --> 00:42:40.000]   And that would never lead to them being fully satisfied.
[00:42:40.000 --> 00:42:46.000]   So why did God deliberately allow Israel to feel hunger? Was that his cruelty?
[00:42:46.000 --> 00:42:52.000]   No. Because bad things always happened when they were full.
[00:42:52.000 --> 00:42:56.000]   Hosea 13, verses 4-6.
[00:42:56.000 --> 00:43:10.000]   "Yet I have been the Lord your God since the land of Egypt, and you are not to know any God except me, for there is no Savior besides me. I cared for you in the wilderness, in the land of drought."
[00:43:10.000 --> 00:43:14.000]   As they had their pasture, they became satisfied.
[00:43:14.000 --> 00:43:17.000]   And being satisfied, their heart became proud.
[00:43:17.000 --> 00:43:20.000]   Therefore, they forgot me.
[00:43:20.000 --> 00:43:23.000]   And Jeremiah calls it the fountain of living water.
[00:43:23.000 --> 00:43:25.000]   They forgot me.
[00:43:25.000 --> 00:43:27.000]   Man needs saving.
[00:43:27.000 --> 00:43:29.000]   Man cannot save himself.
[00:43:29.000 --> 00:43:35.000]   But the problem is that oftentimes, man believes that he can.
[00:43:35.000 --> 00:43:37.000]   Man needs humbling.
[00:43:37.000 --> 00:43:42.000]   Because in arrogance, man is destined and doomed to wrath.
[00:43:42.000 --> 00:43:48.000]   The Israelites needed to understand that there is nothing good in and of themselves.
[00:43:48.000 --> 00:43:51.000]   That there is no worth in and of themselves.
[00:43:51.000 --> 00:43:58.000]   And that the only reason they are a chosen people of God, that they are a royal priesthood, is because of God's mercy alone.
[00:43:58.000 --> 00:44:03.000]   So the wilderness wanderings, one, were on purpose.
[00:44:03.000 --> 00:44:08.000]   And two, they were for testing and exposing and humbling.
[00:44:08.000 --> 00:44:17.000]   And likewise, there are wilderness wanderings ordained in our lives to show us that there is nothing good in us outside of Christ.
[00:44:17.000 --> 00:44:23.000]   That we live and move and exist solely by the grace of God.
[00:44:23.000 --> 00:44:32.000]   And the wilderness seasons in our lives expose oftentimes our sins and painfully remind us of our need for a Savior.
[00:44:32.000 --> 00:44:39.000]   Lest we forget that we do not live by bread alone, but by everything that proceeds out of the mouth of the Lord.
[00:44:39.000 --> 00:44:48.000]   Brothers and sisters, you were created by God and for God to love God and to serve God.
[00:44:48.000 --> 00:44:55.000]   And praise the Lord that the wilderness wanderings in our lives remind us of that purpose.
[00:44:55.000 --> 00:45:00.000]   Praise God that the wilderness wanderings in our lives help to wean us off the things of this world.
[00:45:00.000 --> 00:45:04.000]   Teach us to worship the Creator rather than created things.
[00:45:04.000 --> 00:45:09.000]   Because again, created things will never satisfy.
[00:45:09.000 --> 00:45:12.000]   That's a lie.
[00:45:12.000 --> 00:45:21.000]   Praise God that we often get dissatisfied during the wilderness because it makes us long for home.
[00:45:21.000 --> 00:45:28.000]   So our call is to praise Him in the wilderness and through the wilderness.
[00:45:28.000 --> 00:45:34.000]   The wilderness was on purpose. The wilderness was for our testing and our humbling.
[00:45:34.000 --> 00:45:39.000]   And third, the wilderness wanderings were for the purpose of training.
[00:45:39.000 --> 00:45:41.000]   They were for training.
[00:45:41.000 --> 00:45:50.000]   Verse 4 and 5 reads, "Your clothing did not wear out on you, nor did your foot swell these forty years.
[00:45:50.000 --> 00:45:56.000]   Thus you are to know in your heart that the Lord your God was disciplining you just as a man disciplines his son."
[00:45:56.000 --> 00:46:00.000]   Now the word discipline, it feels negative, right?
[00:46:00.000 --> 00:46:06.000]   Here God is training Israel to trust Him and to obey Him in faith.
[00:46:06.000 --> 00:46:09.000]   Israel had been an orphaned people.
[00:46:09.000 --> 00:46:17.000]   God, the Creator of the universe, had handpicked and adopted and had vowed to be their Abba Father
[00:46:17.000 --> 00:46:20.000]   so that they would be orphans no longer.
[00:46:20.000 --> 00:46:23.000]   They would be loved.
[00:46:23.000 --> 00:46:29.000]   Hosea 13 and 14, the last two chapters of the short book, reflect on the wilderness wanderings.
[00:46:29.000 --> 00:46:38.000]   And Hosea's conclusion here is, "For in you only the orphan finds mercy."
[00:46:38.000 --> 00:46:44.000]   The Lord their God in the wilderness was treating them as beloved sons.
[00:46:44.000 --> 00:46:51.000]   Love-motivated and saturated discipline is a tremendous blessing to a child.
[00:46:51.000 --> 00:46:56.000]   Beloved children are trained up and disciplined.
[00:46:56.000 --> 00:47:00.000]   Orphans are never disciplined.
[00:47:00.000 --> 00:47:04.000]   Orphans are often neglected or abused.
[00:47:04.000 --> 00:47:08.000]   They are left to fend for themselves, usually to their harm.
[00:47:08.000 --> 00:47:13.000]   But this would not be the case for Israel with Yahweh as their Abba Father.
[00:47:13.000 --> 00:47:19.000]   So as a good father trains a son in all things,
[00:47:19.000 --> 00:47:25.000]   disciplines with loving correction, God would be a good father to Israel.
[00:47:25.000 --> 00:47:29.000]   He was their Creator, yes, he was their King,
[00:47:29.000 --> 00:47:33.000]   but he would also love them as a father loves his child.
[00:47:33.000 --> 00:47:39.000]   Correction, building up, teaching, exhorting, and when necessary, the rod.
[00:47:39.000 --> 00:47:43.000]   They are all evidences of love.
[00:47:43.000 --> 00:47:49.000]   So God the Father was more active and directly and physically tending to his people in the wilderness
[00:47:49.000 --> 00:47:53.000]   than at any other time in Israel's history.
[00:47:53.000 --> 00:47:57.000]   He took care of everything that they needed.
[00:47:57.000 --> 00:48:01.000]   He let them understand hunger, but he did not cause them to starve.
[00:48:01.000 --> 00:48:06.000]   He allowed them to feel thirst, but he gave them water whenever they needed it.
[00:48:06.000 --> 00:48:09.000]   Not always when they wanted it, but when they needed it.
[00:48:09.000 --> 00:48:16.000]   He knew that in their immaturity, they would need visible evidence of his presence.
[00:48:16.000 --> 00:48:23.000]   So he led them by a visible pillar of cloud, and he led them by a visible pillar of fire.
[00:48:23.000 --> 00:48:28.000]   And what's more, you look at Deuteronomy 8.4,
[00:48:28.000 --> 00:48:33.000]   "Forty years their clothes did not wear out, their feet did not get swollen."
[00:48:33.000 --> 00:48:35.000]   Did you read that?
[00:48:35.000 --> 00:48:42.000]   For 40 years, the clothes that they walked in, slept in, and labored in did not wear out.
[00:48:42.000 --> 00:48:47.000]   I don't know what kind of material does not wear out with that much usage.
[00:48:47.000 --> 00:48:52.000]   They likely wore the same things day after day, and yet the material stayed intact.
[00:48:52.000 --> 00:48:58.000]   Not just for 40 days, not for 40 months, but for 40 years.
[00:48:58.000 --> 00:49:03.000]   Do you think textiles were readily available in the wilderness?
[00:49:03.000 --> 00:49:07.000]   Do you think material for crafting garments was readily available in the wilderness?
[00:49:07.000 --> 00:49:12.000]   No, my guess is that the clothes that they were in at the end of the journey,
[00:49:12.000 --> 00:49:18.000]   were the same ones that their fathers had been in when they exited in haste from Egypt.
[00:49:18.000 --> 00:49:20.000]   Forty years.
[00:49:20.000 --> 00:49:26.000]   And Deuteronomy 8.4 also says that their feet did not swell.
[00:49:26.000 --> 00:49:29.000]   They weren't necessarily genetically enhanced feet,
[00:49:29.000 --> 00:49:37.000]   but all that wandering did not cause their feet to swell, and it wasn't just their feet.
[00:49:37.000 --> 00:49:43.000]   If you run on a smooth treadmill with the best Nike running shoes long enough,
[00:49:43.000 --> 00:49:47.000]   they will wear down after a year or two.
[00:49:47.000 --> 00:49:54.000]   But for Israel, in the midst of all of that rocky, thorny path,
[00:49:54.000 --> 00:49:57.000]   God even protected their sandals.
[00:49:57.000 --> 00:50:04.000]   Deuteronomy 29.5 says that these crudely fashioned sandals, not hiking boots,
[00:50:04.000 --> 00:50:07.000]   sandals did not wear out.
[00:50:07.000 --> 00:50:09.000]   I have led you 40 years in the wilderness.
[00:50:09.000 --> 00:50:13.000]   Your clothes have not worn out on you, and your sandal has not worn out on your feet.
[00:50:13.000 --> 00:50:17.000]   God was near. He was with them.
[00:50:17.000 --> 00:50:21.000]   He was divinely and miraculously preserving them,
[00:50:21.000 --> 00:50:25.000]   even to supernaturally protecting their clothes,
[00:50:25.000 --> 00:50:28.000]   supernaturally protecting their shoes and their feet,
[00:50:28.000 --> 00:50:33.000]   but they were too busy grumbling and griping to even notice.
[00:50:33.000 --> 00:50:39.000]   What other God would discipline, love, and preserve in such a way?
[00:50:39.000 --> 00:50:45.000]   Because remember, 40 years is a long time to put up with a bunch of people.
[00:50:45.000 --> 00:50:53.000]   The wilderness wandering, and even sometimes a very difficult application of Yahweh's rod,
[00:50:53.000 --> 00:50:55.000]   were all for blessing.
[00:50:55.000 --> 00:51:05.000]   He was loving on them as sons, and he was and is and always will be both God of the universe
[00:51:05.000 --> 00:51:10.000]   and good, good father to the orphans he has adopted.
[00:51:10.000 --> 00:51:14.000]   So one, the wilderness wandering was on purpose.
[00:51:14.000 --> 00:51:18.000]   Two, the wilderness wandering was for testing,
[00:51:18.000 --> 00:51:22.000]   and the wilderness wandering was for blessed training.
[00:51:22.000 --> 00:51:26.000]   And the purpose of all of this was to teach us children how to worship him
[00:51:26.000 --> 00:51:30.000]   and revere him, to trust him, and to obey him,
[00:51:30.000 --> 00:51:37.000]   on purpose, for testing, and for training.
[00:51:37.000 --> 00:51:42.000]   Are you in the middle of a wilderness wandering season currently?
[00:51:42.000 --> 00:51:47.000]   If you are, what does God desire from you?
[00:51:47.000 --> 00:51:52.000]   What is he seeking to teach you?
[00:51:52.000 --> 00:51:56.000]   Wilderness wanderings are hard.
[00:51:56.000 --> 00:52:01.000]   It may feel as if there is no end in sight.
[00:52:01.000 --> 00:52:07.000]   No matter how hard you pray, there may not be immediate relief.
[00:52:07.000 --> 00:52:12.000]   And things may get worse before they get any better.
[00:52:12.000 --> 00:52:17.000]   In the wilderness wandering that is your life, you may be squeezed again and again and again and again,
[00:52:17.000 --> 00:52:21.000]   and you're so sick of it.
[00:52:21.000 --> 00:52:27.000]   But remember, wildernesses, they are on purpose.
[00:52:27.000 --> 00:52:30.000]   They are for testing and humbling.
[00:52:30.000 --> 00:52:36.000]   They are for your training to grow you in your faith and to grow you in reflecting his glory.
[00:52:36.000 --> 00:52:39.000]   They are for blessing.
[00:52:39.000 --> 00:52:46.000]   They are for good and/or for your good.
[00:52:46.000 --> 00:52:53.000]   Most of you guys know this, but for those of you who are newer to our church, I'll briefly share.
[00:52:53.000 --> 00:53:03.000]   This Friday I'm going to be going in for surgery to have 10 inches of my colon and parts of my rectum permanently removed.
[00:53:03.000 --> 00:53:09.000]   I was diagnosed in December of last year with stage 3C colorectal cancer.
[00:53:09.000 --> 00:53:12.000]   And there was a disgusting -- if you want to see it, I'll show you, okay?
[00:53:12.000 --> 00:53:17.000]   There was a disgusting -- I actually texted that to the leaders, and they're like, "You've got to warn us first."
[00:53:17.000 --> 00:53:20.000]   Anyway, 6 centimeters.
[00:53:20.000 --> 00:53:24.000]   It was a disgusting 6-centimeter-long tumor in my colon.
[00:53:24.000 --> 00:53:40.000]   And starting in January, I've done 6 months of chemotherapy with some very strong drugs I found out later, 6 weeks of radiation, and the final step in my cancer treatment is this Friday.
[00:53:40.000 --> 00:53:45.000]   And so -- and for you guys who have been praying for me and my family, we do have some good news.
[00:53:45.000 --> 00:53:47.000]   The cancer is gone.
[00:53:47.000 --> 00:53:49.000]   It's, like, gone.
[00:53:49.000 --> 00:53:52.000]   So there's a little divot in my colon where it used to be, but it's gone.
[00:53:52.000 --> 00:53:59.000]   MRI and all the scopes show that it is gone.
[00:53:59.000 --> 00:54:08.000]   But I will have the surgery to remove the area where the 6-centimeter tumor and the enlarged lymph nodes were, mainly to prevent the cancer from coming back.
[00:54:08.000 --> 00:54:11.000]   So I stand before you today cancer-free.
[00:54:11.000 --> 00:54:19.000]   And a lot of that, I'm assuming, is you guys have loved on us and prayed for us and sent us lots of food.
[00:54:19.000 --> 00:54:23.000]   So praise God.
[00:54:23.000 --> 00:54:28.000]   But I don't praise God because I'm cancer-free.
[00:54:28.000 --> 00:54:39.000]   I praise him because he is worthy of my praise.
[00:54:39.000 --> 00:54:48.000]   I praised him when I first got diagnosed, when I didn't know how my body would respond to the treatments.
[00:54:48.000 --> 00:54:50.000]   First service, I was totally fine. I don't know what's going on right now.
[00:54:50.000 --> 00:54:51.000]   I think it's the video.
[00:54:51.000 --> 00:54:52.000]   Whew! Okay.
[00:54:52.000 --> 00:54:54.000]   God ordained for the effect.
[00:54:54.000 --> 00:55:02.000]   Anyway, I praised him when I first got diagnosed, when I didn't know how my body would respond to the treatments.
[00:55:02.000 --> 00:55:06.000]   I've been praising him for the last 10 months of treatment.
[00:55:06.000 --> 00:55:11.000]   I praised him on the days when the treatments were hard.
[00:55:11.000 --> 00:55:19.000]   And I praised him on the days I felt so good, I forgot, and you forgot, that I had cancer.
[00:55:19.000 --> 00:55:25.000]   And I would like to think that I will praise him in the event the cancer comes back.
[00:55:25.000 --> 00:55:30.000]   Because if God purposely ordains it, it will come back.
[00:55:30.000 --> 00:55:39.000]   And if it does, if he ordains, it will be for my good and for the good of this church, for the good of the family.
[00:55:39.000 --> 00:55:42.000]   God is good. God is love.
[00:55:42.000 --> 00:55:46.000]   So like I said, I got diagnosed in December of last year.
[00:55:46.000 --> 00:55:50.000]   And there are two things that I still have not done.
[00:55:50.000 --> 00:55:53.000]   Two things that I likely will not continue to do.
[00:55:53.000 --> 00:56:00.000]   One, I have not once prayed for my healing from this cancer. Not once.
[00:56:00.000 --> 00:56:07.000]   I haven't asked for it, though I know many of you guys have prayed for it the past 10 months.
[00:56:07.000 --> 00:56:10.000]   God loves me and knows me.
[00:56:10.000 --> 00:56:16.000]   And he is able to cure all of this at a word. Be gone. Gone.
[00:56:16.000 --> 00:56:19.000]   I trust him.
[00:56:19.000 --> 00:56:26.000]   I don't need to pray for the God who loves me more than I love my children for healing.
[00:56:26.000 --> 00:56:32.000]   I mean, it's biblically prescribed for you to pray for healing, but don't get me wrong.
[00:56:32.000 --> 00:56:37.000]   So keep praying. All right? Do it in my stead.
[00:56:37.000 --> 00:56:43.000]   The second thing I haven't done is I have not once asked why.
[00:56:43.000 --> 00:56:46.000]   I don't need to know why.
[00:56:46.000 --> 00:56:51.000]   I don't need to know the why of this disease.
[00:56:51.000 --> 00:56:54.000]   Why is for the unregenerate man.
[00:56:54.000 --> 00:57:03.000]   The regenerate man trusts fully in the one who in his power and mercy has regenerated him.
[00:57:03.000 --> 00:57:09.000]   I don't need my why questions answered because I trust that he is good.
[00:57:09.000 --> 00:57:13.000]   The cancer was on purpose and it was for good.
[00:57:13.000 --> 00:57:19.000]   It was used to humble me, to remind me of my mortality, which is always a good thing.
[00:57:19.000 --> 00:57:25.000]   It humbled me and exposed areas of pride, selfish ambition, selfishness, and doubt.
[00:57:25.000 --> 00:57:31.000]   It moved me to cherish my relationships and cherish my time and my opportunities.
[00:57:31.000 --> 00:57:35.000]   It sharpened my resolve. It empowered my testimony.
[00:57:35.000 --> 00:57:38.000]   And I believe it's grown me as a pastor.
[00:57:38.000 --> 00:57:42.000]   And through all of this, what were evidences of God's grace?
[00:57:42.000 --> 00:57:47.000]   What were my miraculously preserved garments or sandals?
[00:57:47.000 --> 00:57:51.000]   I did not throw up once.
[00:57:51.000 --> 00:57:54.000]   I lost almost no hair.
[00:57:54.000 --> 00:57:58.000]   I lost almost no weight.
[00:57:58.000 --> 00:58:05.000]   I worked and ministered through chemo, through radiation, in the midst of a strange pandemic.
[00:58:05.000 --> 00:58:08.000]   God gave me favor with all my doctors,
[00:58:08.000 --> 00:58:12.000]   my radiologist, who I got randomly assigned to,
[00:58:12.000 --> 00:58:15.000]   just happened to be my high school friend's older sister,
[00:58:15.000 --> 00:58:21.000]   who actually was concerned, prayed, and she's a Christian,
[00:58:21.000 --> 00:58:26.000]   and designed a treatment as if she were treating her own brother.
[00:58:26.000 --> 00:58:31.000]   A whole bunch of my nurses just happened to be Christians.
[00:58:31.000 --> 00:58:34.000]   My cancer was on purpose.
[00:58:34.000 --> 00:58:39.000]   And praise the Lord for ordaining it for good and for my good.
[00:58:39.000 --> 00:58:48.000]   Cancer was a very short, but a very real, mini-wanderlust for me and my family.
[00:58:48.000 --> 00:58:52.000]   The wilderness wandering for the people of Israel was on purpose.
[00:58:52.000 --> 00:58:54.000]   The wilderness wandering was for testing.
[00:58:54.000 --> 00:58:57.000]   The wilderness wandering was for training.
[00:58:57.000 --> 00:59:00.000]   And I told you in the beginning that there would be a fourth point.
[00:59:00.000 --> 00:59:05.000]   And here is the fourth lesson we learn from Deuteronomy 8.
[00:59:05.000 --> 00:59:07.000]   It's this.
[00:59:07.000 --> 00:59:13.000]   The wilderness was not and will never be home.
[00:59:13.000 --> 00:59:17.000]   The wilderness was not and will never be home.
[00:59:17.000 --> 00:59:21.000]   Let me read verses 6 and 7 for you.
[00:59:21.000 --> 00:59:24.000]   "Therefore, you shall keep the commandments of the Lord your God,
[00:59:24.000 --> 00:59:27.000]   to walk in His ways, and to fear Him.
[00:59:27.000 --> 00:59:31.000]   For the Lord your God is bringing you into a good land,
[00:59:31.000 --> 00:59:34.000]   a land of brooks of water, of fountains and springs,
[00:59:34.000 --> 00:59:37.000]   flowing forth in valleys and hills.
[00:59:37.000 --> 00:59:39.000]   Therefore, you shall keep."
[00:59:39.000 --> 00:59:43.000]   Okay, so "therefore" is an important word in an inductive Bible study.
[00:59:43.000 --> 00:59:47.000]   So you always want to ask, "What is this 'therefore, therefore'?"
[00:59:47.000 --> 00:59:52.000]   It connects what has just been said to an expected and appropriate application.
[00:59:52.000 --> 00:59:55.000]   So in reflecting on this wilderness wandering,
[00:59:55.000 --> 00:59:59.000]   Moses was saying, "Hey, God is sovereign.
[00:59:59.000 --> 01:00:01.000]   God was humbling you.
[01:00:01.000 --> 01:00:04.000]   God loves you as a father loves his son.
[01:00:04.000 --> 01:00:09.000]   Therefore, trust and obey,
[01:00:09.000 --> 01:00:14.000]   because sooner than later, you're going to go home.
[01:00:14.000 --> 01:00:19.000]   You're going to go to the home that the Lord has promised your forefathers.
[01:00:19.000 --> 01:00:24.000]   The Lord your God is bringing you into a good land."
[01:00:24.000 --> 01:00:27.000]   That's what it says in verse 7.
[01:00:27.000 --> 01:00:33.000]   The New Testament believer hears a similar promise from the Lord in John 14.
[01:00:33.000 --> 01:00:36.000]   Verse 1, "Do not let your heart be troubled.
[01:00:36.000 --> 01:00:39.000]   Believe in God. Believe also in me."
[01:00:39.000 --> 01:00:41.000]   Later in verse 15, what does it say?
[01:00:41.000 --> 01:00:44.000]   "If you love me, you will do what? Obey my commandments."
[01:00:44.000 --> 01:00:48.000]   So, "Do not let your hearts be troubled. Believe in God. Believe also in me."
[01:00:48.000 --> 01:00:51.000]   Verse 2, "In my Father's house are many dwelling places,
[01:00:51.000 --> 01:00:53.000]   and if it were not so, I would have told you.
[01:00:53.000 --> 01:00:55.000]   For I go to prepare a place for you.
[01:00:55.000 --> 01:00:57.000]   If I go and prepare a place for you,
[01:00:57.000 --> 01:01:00.000]   I will come again and receive you to myself,
[01:01:00.000 --> 01:01:05.000]   that where I am, there you may be also."
[01:01:05.000 --> 01:01:08.000]   And there are two aspects of these verses in John 14
[01:01:08.000 --> 01:01:12.000]   that not only encourage me, but cause me to persevere
[01:01:12.000 --> 01:01:15.000]   whenever a wilderness happens upon my way.
[01:01:15.000 --> 01:01:21.000]   One, Jesus Christ is going to return to take us home.
[01:01:21.000 --> 01:01:24.000]   C.S. Lewis once said, "The Son of God became a man
[01:01:24.000 --> 01:01:26.000]   to enable men to be sons of God."
[01:01:26.000 --> 01:01:29.000]   So, he's coming to take us home,
[01:01:29.000 --> 01:01:33.000]   where there are many, many, many, many rooms.
[01:01:33.000 --> 01:01:38.000]   And secondly, my Savior is familiar with
[01:01:38.000 --> 01:01:44.000]   both the physical and the spiritual wilderness.
[01:01:44.000 --> 01:01:48.000]   So, I can and will believe in God,
[01:01:48.000 --> 01:01:52.000]   and I can and I will also believe in Jesus Christ, my Savior,
[01:01:52.000 --> 01:01:57.000]   and because of these things, my heart will not be troubled.
[01:01:57.000 --> 01:02:03.000]   I want to turn your attention to Matthew 4, verse 1.
[01:02:03.000 --> 01:02:07.000]   "Then Jesus was led up by the Spirit into the wilderness
[01:02:07.000 --> 01:02:10.000]   to be tempted by the devil."
[01:02:10.000 --> 01:02:13.000]   Who led Jesus into the wilderness?
[01:02:13.000 --> 01:02:17.000]   God, the Holy Spirit did.
[01:02:17.000 --> 01:02:20.000]   The wilderness was on purpose.
[01:02:20.000 --> 01:02:23.000]   Two, "And after he had fasted 40 days and 40 nights,
[01:02:23.000 --> 01:02:24.000]   he then became hungry."
[01:02:24.000 --> 01:02:26.000]   I always chuckle when I read this,
[01:02:26.000 --> 01:02:29.000]   because it took 40 days and 40 nights to become hungry?
[01:02:29.000 --> 01:02:31.000]   I would have been hungry after 40 minutes, okay?
[01:02:31.000 --> 01:02:33.000]   "And the tempter came and said to him,
[01:02:33.000 --> 01:02:34.000]   'If you are the Son of God,
[01:02:34.000 --> 01:02:36.000]   command that these stones become bread.'"
[01:02:36.000 --> 01:02:39.000]   So, what happened to Jesus in the wilderness?
[01:02:39.000 --> 01:02:42.000]   He was physically humbled and hungry.
[01:02:42.000 --> 01:02:44.000]   He was tested.
[01:02:44.000 --> 01:02:47.000]   The wilderness was for testing.
[01:02:47.000 --> 01:02:49.000]   "But Jesus obeyed and passed this test."
[01:02:49.000 --> 01:02:53.000]   Hebrews 5:8, "Although he was the Son of God,
[01:02:53.000 --> 01:02:56.000]   he learned obedience from what he himself suffered."
[01:02:56.000 --> 01:02:58.000]   So, Jesus is the Son of God.
[01:02:58.000 --> 01:03:02.000]   He was trained through what he suffered.
[01:03:02.000 --> 01:03:04.000]   The wilderness was for training.
[01:03:04.000 --> 01:03:09.000]   And then we see Jesus quoting Deuteronomy 8:3 to the devil.
[01:03:09.000 --> 01:03:11.000]   "But he answered and said, 'It is written,
[01:03:11.000 --> 01:03:14.000]   'Man shall not live on bread alone,
[01:03:14.000 --> 01:03:18.000]   but on every word that proceeds out of the mouth of God.'"
[01:03:18.000 --> 01:03:21.000]   Christ's wilderness was on purpose.
[01:03:21.000 --> 01:03:23.000]   Christ's wilderness was for testing.
[01:03:23.000 --> 01:03:26.000]   Christ's wilderness was for training.
[01:03:26.000 --> 01:03:30.000]   He just never wandered in it.
[01:03:30.000 --> 01:03:33.000]   And the wilderness was and never will be--
[01:03:33.000 --> 01:03:37.000]   was not and never will be--his home.
[01:03:37.000 --> 01:03:40.000]   So, in the little wildernesses in our lives,
[01:03:40.000 --> 01:03:44.000]   and with the macro wilderness, which is our life,
[01:03:44.000 --> 01:03:48.000]   what does God desire?
[01:03:48.000 --> 01:03:52.000]   What does he desire from you and me?
[01:03:52.000 --> 01:03:55.000]   Well, the obvious answer, "To worship him in spirit and in truth,"
[01:03:55.000 --> 01:03:57.000]   John 4, 24.
[01:03:57.000 --> 01:04:02.000]   He desires for us to trust and obey.
[01:04:02.000 --> 01:04:04.000]   What does Proverbs 3, 5, and 6 say?
[01:04:04.000 --> 01:04:06.000]   And you guys, many of you have memorized it.
[01:04:06.000 --> 01:04:08.000]   "Trust in the Lord with all your heart
[01:04:08.000 --> 01:04:10.000]   and lean not on your own understanding.
[01:04:10.000 --> 01:04:14.000]   In all your ways, acknowledge/worship him,
[01:04:14.000 --> 01:04:18.000]   and he will make your path not easy.
[01:04:18.000 --> 01:04:20.000]   He'll make it straight."
[01:04:20.000 --> 01:04:22.000]   Proper, appropriate, right.
[01:04:22.000 --> 01:04:25.000]   He'll make it straight.
[01:04:25.000 --> 01:04:28.000]   I want to include--I want to close with one encouragement
[01:04:28.000 --> 01:04:32.000]   for those of you who feel like in the midst of your wilderness,
[01:04:32.000 --> 01:04:36.000]   in the midst of every squeeze, that you're failing.
[01:04:36.000 --> 01:04:38.000]   I'm not going to have you raise your hand, but there are seasons
[01:04:38.000 --> 01:04:43.000]   where you feel like every test, you're failing and falling on your face.
