
[00:00:00.000 --> 00:00:05.000]   - Hi everybody.
[00:18:13.340 --> 00:18:16.220]   this is the law you better obey.
[00:18:16.220 --> 00:18:20.900]   And chapter 28 is a pivotal one in that type of teaching.
[00:18:20.900 --> 00:18:23.160]   Let's take a look at verse one through six.
[00:18:23.160 --> 00:18:25.580]   Moses says, "Now it shall be,
[00:18:25.580 --> 00:18:28.500]   "if you diligently obey the Lord your God,
[00:18:28.500 --> 00:18:30.940]   "being careful to do all his commandments
[00:18:30.940 --> 00:18:32.580]   "which I command you today,
[00:18:32.580 --> 00:18:34.680]   "the Lord your God will set you high
[00:18:34.680 --> 00:18:36.800]   "above all the nations of the earth.
[00:18:36.800 --> 00:18:39.060]   "All these blessings will come upon you
[00:18:39.060 --> 00:18:42.900]   "and overtake you if you obey the Lord your God."
[00:18:42.900 --> 00:18:46.420]   And then he goes down on a laundry list of blessings.
[00:18:46.420 --> 00:18:48.940]   What's his main point here?
[00:18:48.940 --> 00:18:51.640]   If you obey, right?
[00:18:51.640 --> 00:18:54.660]   But then the scary part comes in verse 15
[00:18:54.660 --> 00:18:57.940]   of that same chapter, chapter 28, verse 15.
[00:18:57.940 --> 00:19:01.940]   He says, "But it shall come about
[00:19:01.940 --> 00:19:04.500]   "if you do not obey the Lord your God,
[00:19:04.500 --> 00:19:07.080]   "to observe to do all his commandments and his statutes
[00:19:07.080 --> 00:19:08.740]   "which I charge you today,
[00:19:08.740 --> 00:19:12.700]   "that all these curses will come upon you and overtake you.
[00:19:12.700 --> 00:19:14.620]   "Curse shall you be in the city
[00:19:14.620 --> 00:19:16.820]   "and curse shall you be in the country.
[00:19:16.820 --> 00:19:20.380]   "Curse shall your basket and your kneading bowl.
[00:19:20.380 --> 00:19:22.200]   "Curse shall be the offspring of your body
[00:19:22.200 --> 00:19:23.700]   "and the produce of your ground,
[00:19:23.700 --> 00:19:26.220]   "the increase of your herd and the young of your flock."
[00:19:26.220 --> 00:19:27.720]   And then he just goes on.
[00:19:27.720 --> 00:19:33.360]   And the curses are incredibly sobering, right?
[00:19:33.360 --> 00:19:36.480]   What is his emphasis here?
[00:19:36.480 --> 00:19:41.480]   His emphasis is there is a huge, huge ramification
[00:19:41.480 --> 00:19:43.680]   of this one single point
[00:19:43.680 --> 00:19:48.200]   that you heed and be careful to do all that I say.
[00:19:48.200 --> 00:19:51.160]   And your success is going to be entirely dependent
[00:19:51.160 --> 00:19:53.120]   upon how you obey.
[00:19:53.120 --> 00:19:58.920]   And should you not obey, the consequences are real, right?
[00:19:58.920 --> 00:20:05.300]   And what's more, not only was God making sure
[00:20:05.300 --> 00:20:08.080]   that before the nation went into the land of Canaan
[00:20:08.080 --> 00:20:09.780]   that he made sure he sat them down
[00:20:09.780 --> 00:20:11.600]   and reminded them of this,
[00:20:11.600 --> 00:20:13.720]   he made sure that before the nation actually started
[00:20:13.720 --> 00:20:16.560]   to conquer other nations and follow a new leader,
[00:20:16.560 --> 00:20:18.560]   he said the exact same thing.
[00:20:18.560 --> 00:20:21.000]   For the sake of time, I'll read this for us.
[00:20:21.000 --> 00:20:22.760]   It's Joshua chapter one, verse eight.
[00:20:22.760 --> 00:20:24.640]   This is what he says.
[00:20:24.640 --> 00:20:29.640]   "This book of the law shall not depart from your mouth,
[00:20:29.640 --> 00:20:32.820]   "but you shall meditate on it day and night
[00:20:32.820 --> 00:20:35.280]   "so that you may be careful to do according
[00:20:35.280 --> 00:20:37.280]   "to all that it is written.
[00:20:37.280 --> 00:20:40.240]   "For then you will make your way prosperous
[00:20:40.240 --> 00:20:44.040]   "and then you shall have good success."
[00:20:45.320 --> 00:20:47.600]   So the whole idea here is point two.
[00:20:47.600 --> 00:20:52.600]   God commands us to hear and obey his voice carefully.
[00:20:52.600 --> 00:20:55.400]   Right?
[00:20:55.400 --> 00:20:58.160]   The whole idea is listen carefully
[00:20:58.160 --> 00:21:00.120]   so that you might know what he says
[00:21:00.120 --> 00:21:02.520]   and then you might do what he says carefully.
[00:21:02.520 --> 00:21:06.000]   That's what he said throughout the book of Deuteronomy.
[00:21:06.000 --> 00:21:08.480]   That's what he said throughout the rest of the books
[00:21:08.480 --> 00:21:09.520]   of the Bible.
[00:21:09.520 --> 00:21:12.520]   And then the nation that he raised up,
[00:21:12.520 --> 00:21:16.200]   the nation of Israel, they were set on this.
[00:21:16.200 --> 00:21:18.600]   You know that from an early age,
[00:21:18.600 --> 00:21:21.400]   the Jewish people would teach their children
[00:21:21.400 --> 00:21:25.160]   to read, read, read, memorize, memorize, memorize.
[00:21:25.160 --> 00:21:28.040]   Have you guys heard of the frontlets?
[00:21:28.040 --> 00:21:30.360]   I was gonna show you a funny photo.
[00:21:30.360 --> 00:21:33.360]   But basically it's a box that you put right here.
[00:21:33.360 --> 00:21:34.360]   Okay?
[00:21:34.360 --> 00:21:36.720]   And then they have little basically placards in there
[00:21:36.720 --> 00:21:38.960]   with certain references so that they could take it out.
[00:21:38.960 --> 00:21:41.080]   Essentially it's a box reminding them
[00:21:41.080 --> 00:21:42.840]   that the word of God is here.
[00:21:42.840 --> 00:21:46.080]   And they had these bands, these leather bands
[00:21:46.080 --> 00:21:47.560]   that they had the word of God written on
[00:21:47.560 --> 00:21:49.760]   and they'd wrap their arm, it would look like a warrior
[00:21:49.760 --> 00:21:52.480]   but what it was really was the word of the Lord.
[00:21:52.480 --> 00:21:55.040]   And do you remember in Deuteronomy chapter six
[00:21:55.040 --> 00:21:55.880]   what he says?
[00:21:55.880 --> 00:21:57.520]   He says, "Hear, O Israel," and then he says,
[00:21:57.520 --> 00:21:59.560]   "You shall obey my commandments."
[00:21:59.560 --> 00:22:01.080]   He said, "You teach them to your children
[00:22:01.080 --> 00:22:04.400]   "and you shall write them on your doorposts."
[00:22:04.400 --> 00:22:06.840]   So if you grew up in one of those homes
[00:22:06.840 --> 00:22:08.120]   where they had this wooden plaque
[00:22:08.120 --> 00:22:10.440]   and it had Bible verses on it,
[00:22:10.440 --> 00:22:12.240]   that's how the nation of Israel grew up.
[00:22:12.240 --> 00:22:15.560]   They had Bible verses all over their house.
[00:22:15.560 --> 00:22:18.160]   To that degree, the word of God was supposed
[00:22:18.160 --> 00:22:20.800]   to saturate the lives of his people.
[00:22:20.800 --> 00:22:23.100]   Right?
[00:22:23.100 --> 00:22:26.720]   My point here in talking about this
[00:22:26.720 --> 00:22:28.900]   is I want us to kind of, not kind of,
[00:22:28.900 --> 00:22:31.560]   but I want us to get an image
[00:22:31.560 --> 00:22:34.240]   of not simply what's normal,
[00:22:34.240 --> 00:22:37.200]   what are we capable of putting our time into,
[00:22:37.200 --> 00:22:38.680]   I want you to think on the level
[00:22:38.680 --> 00:22:42.720]   of what did God expect of his people
[00:22:42.720 --> 00:22:44.720]   when it comes to his word?
[00:22:44.720 --> 00:22:47.800]   Right?
[00:22:47.800 --> 00:22:50.600]   That's my emphasis here as I think about this passage
[00:22:50.600 --> 00:22:53.040]   is what did God expect of his people
[00:22:53.040 --> 00:22:55.000]   in relationship to his word?
[00:22:55.000 --> 00:22:59.280]   He wanted it to be absolutely saturating their lives
[00:22:59.280 --> 00:23:02.520]   into their minds, that it would be physically right here,
[00:23:02.520 --> 00:23:03.760]   so that they would rehearse it,
[00:23:03.760 --> 00:23:05.760]   that they would meditate on it on a what?
[00:23:05.760 --> 00:23:07.840]   Day and night.
[00:23:07.840 --> 00:23:08.680]   That it would be where?
[00:23:08.680 --> 00:23:10.560]   On the tips of their tongue, that it would be where?
[00:23:10.560 --> 00:23:12.240]   Hidden in your heart, that it would be where?
[00:23:12.240 --> 00:23:13.840]   Even on your hands, it would be where?
[00:23:13.840 --> 00:23:15.480]   Even on your house.
[00:23:15.480 --> 00:23:19.280]   That's the degree to which he wanted his people
[00:23:19.280 --> 00:23:21.540]   to be saturated with his truth.
[00:23:21.540 --> 00:23:26.480]   Now, we ask this question, is it the same expectation
[00:23:26.480 --> 00:23:27.680]   for us in the New Testament?
[00:23:27.680 --> 00:23:29.480]   Absolutely.
[00:23:29.480 --> 00:23:31.160]   Take a look at this passage.
[00:23:31.160 --> 00:23:33.080]   I'm gonna read it to you guys, you don't have to turn there.
[00:23:33.080 --> 00:23:36.240]   First Timothy chapter four, verse 13.
[00:23:36.240 --> 00:23:37.760]   Apostle Paul tells to Timothy,
[00:23:37.760 --> 00:23:40.920]   "Command and teach these things.
[00:23:40.920 --> 00:23:42.980]   "Let no one despise you for your youth,
[00:23:42.980 --> 00:23:46.620]   "but set the believers an example in speech,
[00:23:46.620 --> 00:23:50.120]   "in conduct, in love, in faith, in purity until I come.
[00:23:50.120 --> 00:23:53.940]   "Devote yourself to the public reading of scripture,
[00:23:53.940 --> 00:23:56.020]   "to exhortation, to teaching."
[00:23:56.020 --> 00:24:00.440]   What did Apostle Paul commission young Timothy to do?
[00:24:00.440 --> 00:24:04.000]   Primarily was the propagation of the truth
[00:24:04.000 --> 00:24:06.640]   and saying, set an example of the truth,
[00:24:06.640 --> 00:24:08.840]   model the truth, teach the truth,
[00:24:08.840 --> 00:24:11.040]   correct in the truth, disciple in the truth,
[00:24:11.040 --> 00:24:13.240]   give the truth to the people of God.
[00:24:13.240 --> 00:24:16.200]   What's more, second Timothy chapter four,
[00:24:16.200 --> 00:24:18.160]   verse one through five, this one you should turn to,
[00:24:18.160 --> 00:24:19.400]   it's a little bit longer.
[00:24:19.400 --> 00:24:23.000]   Second Timothy chapter four, verses one through five.
[00:24:23.000 --> 00:24:29.680]   He says,
[00:24:31.920 --> 00:24:35.760]   again, in the context of so many generations,
[00:24:35.760 --> 00:24:38.080]   pretty much every generation,
[00:24:38.080 --> 00:24:43.080]   there is such a huge tide in opposition to the word of God.
[00:24:43.080 --> 00:24:45.480]   Right?
[00:24:45.480 --> 00:24:46.880]   And then he says this,
[00:24:46.880 --> 00:24:51.440]   "I charge you in the presence of God and of Christ Jesus,
[00:24:51.440 --> 00:24:54.620]   "who is to judge the living and the dead
[00:24:54.620 --> 00:24:57.360]   "and by his appearing and his kingdom.
[00:24:57.360 --> 00:25:00.860]   "Preach the word, be ready in season and out of season,
[00:25:00.860 --> 00:25:04.600]   "reprove, rebuke and exhort with complete patience
[00:25:04.600 --> 00:25:05.920]   "and teaching.
[00:25:05.920 --> 00:25:07.400]   "For the time is coming when people
[00:25:07.400 --> 00:25:09.680]   "will not endure sound teaching,
[00:25:09.680 --> 00:25:10.840]   "but having itching ears,
[00:25:10.840 --> 00:25:12.760]   "they will accumulate for themselves teachers
[00:25:12.760 --> 00:25:14.680]   "to suit their own passions
[00:25:14.680 --> 00:25:16.880]   "and will turn away from listening to the truth
[00:25:16.880 --> 00:25:18.720]   "and wander off into myths.
[00:25:18.720 --> 00:25:22.840]   "But as for you, always be sober-minded,
[00:25:22.840 --> 00:25:25.480]   "endure suffering, do the work of an evangelist,
[00:25:25.480 --> 00:25:27.600]   "fulfill your ministry."
[00:25:29.320 --> 00:25:31.800]   I really hope that we would all,
[00:25:31.800 --> 00:25:35.480]   every single one of us, take upon that challenge.
[00:25:35.480 --> 00:25:39.040]   I know Apostle Paul is speaking specifically to Timothy,
[00:25:39.040 --> 00:25:40.820]   but that challenge is to all of us, why?
[00:25:40.820 --> 00:25:43.560]   Because we all live in that generation.
[00:25:43.560 --> 00:25:47.640]   We all live in that context
[00:25:47.640 --> 00:25:49.120]   where we're surrounded by people
[00:25:49.120 --> 00:25:52.200]   who don't care to hear truth.
[00:25:52.200 --> 00:25:54.400]   As a matter of fact, the truth offends them.
[00:25:54.400 --> 00:25:58.280]   And we need to have a conviction
[00:25:58.280 --> 00:26:00.120]   that we need to endure in the truth
[00:26:00.120 --> 00:26:04.160]   and that we need to continue to abide in the truth of God.
[00:26:04.160 --> 00:26:06.880]   But I'm gonna tell, I'm gonna say this,
[00:26:06.880 --> 00:26:09.640]   that as a point of conviction for me
[00:26:09.640 --> 00:26:11.260]   and a conviction for us,
[00:26:11.260 --> 00:26:16.480]   I think that oftentimes the sinful tendency,
[00:26:16.480 --> 00:26:20.280]   the sinful tendency is to neglect
[00:26:20.280 --> 00:26:22.480]   and reject the word of God.
[00:26:22.480 --> 00:26:24.520]   Okay, I think I have a blank there for you.
[00:26:24.520 --> 00:26:27.960]   That the sinful tendency of generations of Christians,
[00:26:27.960 --> 00:26:29.720]   generations of the people of God,
[00:26:29.720 --> 00:26:34.720]   has been to neglect and then to reject the word of God.
[00:26:34.720 --> 00:26:38.860]   The whole idea was that God expected and commanded us
[00:26:38.860 --> 00:26:42.640]   to carefully remember, to constantly rehearse
[00:26:42.640 --> 00:26:45.560]   and review the word so that we can carefully
[00:26:45.560 --> 00:26:46.880]   do the word of God.
[00:26:46.880 --> 00:26:49.880]   But the fact of the matter is,
[00:26:49.880 --> 00:26:53.240]   whether it is subtle or whether it is overt,
[00:26:53.240 --> 00:26:56.320]   there is constantly a neglect of the word.
[00:26:57.280 --> 00:27:00.320]   I wanna remind us of a time in history.
[00:27:00.320 --> 00:27:03.840]   I began this study in the book of Jeremiah.
[00:27:03.840 --> 00:27:08.020]   The correlating passages is in the book,
[00:27:08.020 --> 00:27:10.380]   2 Kings chapter 22 and beyond,
[00:27:10.380 --> 00:27:14.360]   where early on King Josiah finds himself
[00:27:14.360 --> 00:27:18.920]   in a time when the word of God was absolutely neglected.
[00:27:18.920 --> 00:27:21.400]   Do you guys remember the story of Josiah?
[00:27:21.400 --> 00:27:23.920]   Josiah, as a young ruler, there was all these,
[00:27:23.920 --> 00:27:26.960]   what, high places of worship.
[00:27:26.960 --> 00:27:29.400]   There was all this pagan idolatry going on.
[00:27:29.400 --> 00:27:32.000]   And then essentially Josiah commands one of his assistants,
[00:27:32.000 --> 00:27:35.160]   like, hey, you know, we have an archive.
[00:27:35.160 --> 00:27:39.400]   We have this dusty book that my forefathers
[00:27:39.400 --> 00:27:40.960]   once talked about.
[00:27:40.960 --> 00:27:43.280]   Josiah's sitting here thinking like,
[00:27:43.280 --> 00:27:46.320]   man, my previous generations are so shameful.
[00:27:46.320 --> 00:27:49.200]   They're fighting for power and they're killing each other.
[00:27:49.200 --> 00:27:53.680]   But I remember King David and his reverence for the Lord.
[00:27:53.680 --> 00:27:55.760]   Let's read his book.
[00:27:55.760 --> 00:27:57.000]   So what happens?
[00:27:57.000 --> 00:28:00.200]   King Josiah calls for this book to be found and read.
[00:28:00.200 --> 00:28:03.400]   And once it is read, King Josiah rips his clothes
[00:28:03.400 --> 00:28:06.600]   and he says, oh my goodness, the wrath of God is on us.
[00:28:06.600 --> 00:28:07.440]   Because what?
[00:28:07.440 --> 00:28:10.580]   We have absolutely neglected his truth.
[00:28:10.580 --> 00:28:13.400]   That's what he says.
[00:28:13.400 --> 00:28:17.040]   For generations, we completely neglected his truth.
[00:28:17.040 --> 00:28:23.160]   For us, I don't know if we regularly have a habit
[00:28:24.080 --> 00:28:29.080]   of consulting his truth first.
[00:28:29.080 --> 00:28:31.480]   Do we have a habit of first,
[00:28:31.480 --> 00:28:34.640]   whatever life circumstances we run across,
[00:28:34.640 --> 00:28:36.600]   whatever hurdles, whatever difficulties,
[00:28:36.600 --> 00:28:39.040]   whatever joys that we come across,
[00:28:39.040 --> 00:28:42.100]   do we have a habit of consulting God's word?
[00:28:42.100 --> 00:28:45.840]   Because if we don't, you know what's gonna happen?
[00:28:45.840 --> 00:28:48.020]   There's gonna be a subtle neglect.
[00:28:48.020 --> 00:28:51.260]   There's gonna be a subtle neglect.
[00:28:51.940 --> 00:28:52.780]   You know?
[00:28:52.780 --> 00:28:56.380]   If you didn't know, there's this hotline.
[00:28:56.380 --> 00:28:59.540]   There's 911 for emergencies and then there's 811.
[00:28:59.540 --> 00:29:01.140]   Do you know what 811 is for?
[00:29:01.140 --> 00:29:06.020]   Is any time you wanna check a building code, you call 811.
[00:29:06.020 --> 00:29:08.900]   You wanna remodel your house, call 811.
[00:29:08.900 --> 00:29:12.700]   It's a free hotline so you can just check code.
[00:29:12.700 --> 00:29:14.140]   Did you know that?
[00:29:14.140 --> 00:29:14.980]   Now you know.
[00:29:14.980 --> 00:29:15.820]   (laughs)
[00:29:15.820 --> 00:29:17.140]   Okay?
[00:29:17.140 --> 00:29:19.420]   And I think that's interesting that the government
[00:29:19.420 --> 00:29:22.620]   has all this code and then says check it first.
[00:29:22.620 --> 00:29:24.900]   Before you do any project, what do you do?
[00:29:24.900 --> 00:29:25.920]   You check the code.
[00:29:25.920 --> 00:29:26.760]   Why?
[00:29:26.760 --> 00:29:28.220]   Because if you don't check the code,
[00:29:28.220 --> 00:29:30.540]   inspection will come, code enforcement will come
[00:29:30.540 --> 00:29:31.840]   and be like, do it over.
[00:29:31.840 --> 00:29:34.620]   Just do it over.
[00:29:34.620 --> 00:29:36.800]   And right now we're in the building project over there.
[00:29:36.800 --> 00:29:38.740]   There's all this architectural stuff going on.
[00:29:38.740 --> 00:29:40.080]   Sometimes the drawings aren't right
[00:29:40.080 --> 00:29:41.580]   and there's temptation like,
[00:29:41.580 --> 00:29:43.780]   you think we can just, you know,
[00:29:43.780 --> 00:29:44.700]   just keep it going?
[00:29:44.700 --> 00:29:45.540]   No, why?
[00:29:45.540 --> 00:29:46.820]   Because when the inspection happens,
[00:29:46.820 --> 00:29:48.060]   you can't go against it.
[00:29:48.060 --> 00:29:49.460]   Code enforcement will happen.
[00:29:49.460 --> 00:29:50.740]   You have to do it over.
[00:29:50.740 --> 00:29:55.700]   Our attitude sometimes is not like that.
[00:29:55.700 --> 00:29:57.860]   A lot of times we're motivated by what's effective,
[00:29:57.860 --> 00:29:59.100]   what we think is possible,
[00:29:59.100 --> 00:30:01.740]   what we think is good and successful.
[00:30:01.740 --> 00:30:03.580]   And there's this inner motivation
[00:30:03.580 --> 00:30:06.660]   to want to simply plow ahead
[00:30:06.660 --> 00:30:08.920]   without checking with the word of God.
[00:30:08.920 --> 00:30:12.540]   Not only that, but I'm gonna talk about this
[00:30:12.540 --> 00:30:15.200]   because I've mentioned this in previous sermons
[00:30:15.200 --> 00:30:17.220]   and if you talk with me long enough,
[00:30:17.220 --> 00:30:20.300]   in the realm of biblical counseling,
[00:30:20.300 --> 00:30:21.740]   or just counseling,
[00:30:21.740 --> 00:30:25.140]   and in the realm of discipleship, right?
[00:30:25.140 --> 00:30:28.220]   There is this subtle neglect of the truth of God
[00:30:28.220 --> 00:30:32.060]   thinking that our problems are beyond the scriptures
[00:30:32.060 --> 00:30:33.140]   and the help of God.
[00:30:33.140 --> 00:30:35.840]   There is.
[00:30:35.840 --> 00:30:39.620]   There's almost this like, kind of subtle thought
[00:30:39.620 --> 00:30:41.420]   that like, oh, I know there's Bible counseling
[00:30:41.420 --> 00:30:42.240]   and stuff like that,
[00:30:42.240 --> 00:30:44.420]   but what are other helps I can turn to?
[00:30:45.600 --> 00:30:47.840]   What else is there, right?
[00:30:47.840 --> 00:30:48.920]   And as I talk to people,
[00:30:48.920 --> 00:30:51.420]   a lot of times people have this confidence,
[00:30:51.420 --> 00:30:53.160]   perhaps in secular psychology,
[00:30:53.160 --> 00:30:54.400]   they have this confidence,
[00:30:54.400 --> 00:30:55.840]   perhaps in other means,
[00:30:55.840 --> 00:30:57.240]   and then when to come to scripture,
[00:30:57.240 --> 00:31:01.000]   it's kind of like, yes, yes, I know we have the Bible,
[00:31:01.000 --> 00:31:02.440]   and then they look another way.
[00:31:02.440 --> 00:31:03.640]   But the fact of the matter is,
[00:31:03.640 --> 00:31:05.960]   if your initial confidence,
[00:31:05.960 --> 00:31:07.720]   and if your initial trust
[00:31:07.720 --> 00:31:10.000]   goes to everything outside of the scriptures,
[00:31:10.000 --> 00:31:11.840]   and then only when you're desperate,
[00:31:11.840 --> 00:31:14.680]   or you never actually turn to the word of God,
[00:31:14.680 --> 00:31:16.000]   then what do you actually do?
[00:31:16.000 --> 00:31:17.440]   You stiff-arm God.
[00:31:17.440 --> 00:31:20.880]   Because remember what I said at the very beginning,
[00:31:20.880 --> 00:31:23.240]   how you treat the word of God
[00:31:23.240 --> 00:31:26.420]   is indicative of how you treat God himself.
[00:31:26.420 --> 00:31:31.000]   We believe, according to the scriptures itself,
[00:31:31.000 --> 00:31:32.200]   and according to the word of God,
[00:31:32.200 --> 00:31:34.280]   and according to the Spirit,
[00:31:34.280 --> 00:31:36.800]   that God's word is not simply necessary,
[00:31:36.800 --> 00:31:38.120]   it's not simply foundational,
[00:31:38.120 --> 00:31:40.320]   and then you grow up to something different,
[00:31:40.320 --> 00:31:43.040]   that the word of God is both necessary and sufficient.
[00:31:43.040 --> 00:31:44.680]   It is powerful.
[00:31:44.680 --> 00:31:48.320]   It is absolutely powerful.
[00:31:48.320 --> 00:31:52.860]   But oftentimes, we have this sinful tendency
[00:31:52.860 --> 00:31:55.880]   to neglect and then to reject.
[00:31:55.880 --> 00:31:59.800]   This happens in all these kind of different realms,
[00:31:59.800 --> 00:32:02.480]   and that's gonna be one of your discussion questions.
[00:32:02.480 --> 00:32:04.880]   In what other realms, and how do we sometimes
[00:32:04.880 --> 00:32:06.960]   diminish our confidence in scripture
[00:32:06.960 --> 00:32:08.760]   and turn to other things?
[00:32:08.760 --> 00:32:11.360]   Pastor Peter mentioned last week,
[00:32:11.360 --> 00:32:13.040]   when it comes to church building,
[00:32:13.040 --> 00:32:14.880]   when it comes to church ministry,
[00:32:14.880 --> 00:32:17.440]   and how to do ministry, how to evangelize,
[00:32:17.440 --> 00:32:21.520]   gonna be honest, we have to first ask the question,
[00:32:21.520 --> 00:32:24.120]   not so much like, how do we get the most people in here?
[00:32:24.120 --> 00:32:26.160]   We have to first ask the question,
[00:32:26.160 --> 00:32:28.640]   what does God want us to do in evangelism?
[00:32:28.640 --> 00:32:30.520]   That's a basic, simple question,
[00:32:30.520 --> 00:32:32.840]   and that question alone is sufficient
[00:32:32.840 --> 00:32:36.040]   to go about how do we do it then, right?
[00:32:36.040 --> 00:32:39.800]   So whether it comes down to the idea of discipleship,
[00:32:39.800 --> 00:32:42.100]   whether it comes down to the idea of ministry,
[00:32:42.100 --> 00:32:46.560]   we want to turn people to the word of God
[00:32:46.560 --> 00:32:50.120]   and have a confidence, like a sure footing.
[00:32:50.120 --> 00:32:54.840]   I know other people might be thinking this is silly.
[00:32:54.840 --> 00:32:56.200]   I know other people might be thinking
[00:32:56.200 --> 00:32:59.480]   this is one of these blind faith kind of exercises.
[00:32:59.480 --> 00:33:03.240]   No, I believe this is a trust issue between us and God,
[00:33:03.240 --> 00:33:05.760]   to have confidence in his word.
[00:33:05.760 --> 00:33:07.420]   So as I think about that,
[00:33:07.420 --> 00:33:09.220]   we're moving to the next point here.
[00:33:09.220 --> 00:33:14.060]   We believe that the word of God is not simply foundational.
[00:33:14.060 --> 00:33:18.660]   It is both necessary and sufficient, okay?
[00:33:18.660 --> 00:33:22.540]   The word of God is both necessary and sufficient.
[00:33:22.540 --> 00:33:26.800]   To teach us this truth, please turn your Bibles over to,
[00:33:26.800 --> 00:33:30.180]   let's do this, okay, for the sake of time.
[00:33:30.180 --> 00:33:31.560]   I'm gonna tell you a story,
[00:33:31.560 --> 00:33:33.700]   and then we're gonna turn to Deuteronomy chapter eight.
[00:33:33.700 --> 00:33:36.660]   So you can start turning over to Deuteronomy chapter eight.
[00:33:36.660 --> 00:33:39.360]   And as you do that, I'm gonna tell you a story, okay?
[00:33:39.360 --> 00:33:43.780]   The book of Exodus, chapter 16.
[00:33:43.780 --> 00:33:46.980]   It's pretty hilarious to me, okay?
[00:33:46.980 --> 00:33:48.900]   Reason being is because,
[00:33:48.900 --> 00:33:53.180]   chapter 15, Moses gives an amazing praise.
[00:33:53.180 --> 00:33:56.060]   It's one of the beautiful songs from scripture
[00:33:56.060 --> 00:33:59.460]   where Moses is praising God, like, you delivered us.
[00:33:59.460 --> 00:34:01.020]   You're so mighty.
[00:34:01.020 --> 00:34:04.340]   You're so mighty to save, and your love endures forever,
[00:34:04.340 --> 00:34:06.940]   and you delivered us from the bondage of Egypt.
[00:34:06.940 --> 00:34:08.220]   Amen, right?
[00:34:08.220 --> 00:34:10.460]   And in chapter 16, the nation are like,
[00:34:10.460 --> 00:34:13.020]   what did you bring us out here?
[00:34:13.020 --> 00:34:15.500]   They're grumbling, and they're griping and complaining,
[00:34:15.500 --> 00:34:17.880]   like, how come we don't have food?
[00:34:17.880 --> 00:34:19.420]   What's really interesting about that is,
[00:34:19.420 --> 00:34:23.140]   chapter 16, verse one, it says,
[00:34:23.140 --> 00:34:24.460]   I'm just gonna read it for us.
[00:34:24.460 --> 00:34:25.940]   Listen to this, okay?
[00:34:25.940 --> 00:34:28.460]   It says, the whole congregation of the sons of Israel
[00:34:28.460 --> 00:34:30.660]   grumbled against Moses and Aaron in the wilderness.
[00:34:30.660 --> 00:34:32.380]   The sons of Israel said to them,
[00:34:32.380 --> 00:34:35.500]   oh, would that we have died by the Lord's hand
[00:34:35.500 --> 00:34:37.540]   in the land of Egypt.
[00:34:37.540 --> 00:34:39.660]   When we sat by the pots of meat,
[00:34:39.660 --> 00:34:41.700]   when we ate bread to the full, did they really?
[00:34:41.700 --> 00:34:42.980]   No, they were slaves.
[00:34:42.980 --> 00:34:44.420]   What is he talking about?
[00:34:44.420 --> 00:34:46.420]   For you have brought us out into this wilderness
[00:34:46.420 --> 00:34:50.180]   to kill us and this whole assembly with hunger.
[00:34:50.180 --> 00:34:51.660]   Man, so crazy.
[00:34:51.660 --> 00:34:56.060]   It's so crazy, you know, how short-sighted,
[00:34:56.060 --> 00:34:59.860]   how, you know, how lacking in faith a nation is.
[00:34:59.860 --> 00:35:01.500]   And then the Lord says this.
[00:35:01.500 --> 00:35:02.820]   Then the Lord said to Moses,
[00:35:02.820 --> 00:35:06.500]   behold, I will rain bread from heaven for you.
[00:35:06.500 --> 00:35:07.740]   And the people shall go out
[00:35:07.740 --> 00:35:09.860]   and gather a day's portion every day.
[00:35:09.860 --> 00:35:11.140]   And then check this out, it says,
[00:35:11.140 --> 00:35:14.000]   that I may test them whether or not
[00:35:14.000 --> 00:35:16.120]   they will walk in my instruction.
[00:35:16.120 --> 00:35:19.460]   That I may test them whether they will walk
[00:35:19.460 --> 00:35:20.660]   in my instruction.
[00:35:20.660 --> 00:35:24.140]   The story goes, only the amount of bread that fell,
[00:35:24.140 --> 00:35:25.700]   there was a lot that, like rain,
[00:35:25.700 --> 00:35:27.500]   so it was like dew all over the ground.
[00:35:27.500 --> 00:35:29.020]   And then God said, instruct the people,
[00:35:29.020 --> 00:35:31.500]   you're only allowed to collect only enough
[00:35:31.500 --> 00:35:33.060]   for that one day.
[00:35:33.060 --> 00:35:35.700]   And then on Saturday, or that sixth day of the week,
[00:35:35.700 --> 00:35:36.740]   you collect for two days,
[00:35:36.740 --> 00:35:39.260]   because on the Sabbath day you're not gonna work, okay?
[00:35:39.260 --> 00:35:42.180]   So the whole idea is they're only allowed to collect.
[00:35:42.180 --> 00:35:43.340]   What do the people do?
[00:35:43.340 --> 00:35:47.140]   They get big old jars and like, oh my gosh, it's free!
[00:35:47.140 --> 00:35:47.980]   You know?
[00:35:47.980 --> 00:35:50.400]   And they start dumping all their stuff into their jars
[00:35:50.400 --> 00:35:52.980]   and then it becomes all moldy and fungus-y
[00:35:52.980 --> 00:35:55.380]   and then it becomes all nasty.
[00:35:55.380 --> 00:35:57.460]   And then God's like, what did I tell you?
[00:35:58.620 --> 00:36:00.460]   I told you, right?
[00:36:00.460 --> 00:36:05.260]   To only take what was enough for that one day.
[00:36:05.260 --> 00:36:06.240]   Which is really interesting.
[00:36:06.240 --> 00:36:07.660]   Why would he do that?
[00:36:07.660 --> 00:36:09.940]   Wouldn't it have been more efficient for God
[00:36:09.940 --> 00:36:12.540]   to just be like, here it is, buffet line,
[00:36:12.540 --> 00:36:13.880]   grab all that you need?
