
[00:00:00.000 --> 00:00:07.000]   [silence]
[00:26:32.140 --> 00:26:35.200]   Doesn't mean I can have and do whatever I want.
[00:26:35.200 --> 00:26:38.180]   More so, it means there's going to be
[00:26:38.180 --> 00:26:40.480]   a lot of suffering, pain, and tears,
[00:26:40.480 --> 00:26:48.100]   but Jesus will be right there with me in my weakness.
[00:26:48.100 --> 00:26:53.180]   To this day, I struggle to grasp that a holy God
[00:26:53.180 --> 00:26:57.100]   loves such a miserable wretch like me
[00:26:57.100 --> 00:26:59.960]   and sent his only son to take my place on that cross.
[00:26:59.960 --> 00:27:05.500]   John 14, six reads, Jesus answered,
[00:27:05.500 --> 00:27:08.160]   I am the way and the truth and the life.
[00:27:08.160 --> 00:27:11.020]   No one comes to the Father except through me.
[00:27:11.020 --> 00:27:14.180]   Eternal life was never about getting to go
[00:27:14.180 --> 00:27:16.560]   to an all-inclusive resort on a cloud
[00:27:16.560 --> 00:27:19.700]   or having a perfect, comfortable life on earth.
[00:27:19.700 --> 00:27:22.420]   Eternal life is knowing Christ
[00:27:22.420 --> 00:27:25.660]   and giving up all that I am for all that he is.
[00:27:26.620 --> 00:27:28.660]   Revelations 21, four says,
[00:27:28.660 --> 00:27:31.260]   he will wipe away every tear from their eyes
[00:27:31.260 --> 00:27:33.200]   and there will no longer be any death.
[00:27:33.200 --> 00:27:36.580]   There will no longer be any mourning or crying or pain.
[00:27:36.580 --> 00:27:38.280]   The first things have passed away.
[00:27:38.280 --> 00:27:42.580]   I long for that day more than anything else,
[00:27:42.580 --> 00:27:46.340]   but until then, I will joyfully serve my Father.
[00:27:46.340 --> 00:27:47.620]   Thank you.
[00:27:47.620 --> 00:27:50.620]   (audience applauds)
[00:27:50.620 --> 00:27:53.620]   (audience applauds)
[00:27:53.620 --> 00:28:08.820]   - Aaron, do you understand when you go into the water,
[00:28:08.820 --> 00:28:10.540]   you're being united to Christ's death?
[00:28:10.540 --> 00:28:11.380]   When you're coming out,
[00:28:11.380 --> 00:28:13.520]   you're being united to his resurrected life?
[00:28:13.520 --> 00:28:14.360]   - I do.
[00:28:14.360 --> 00:28:16.300]   - I baptize you in the name of the Father,
[00:28:16.300 --> 00:28:18.240]   the Son, and the Holy Spirit.
[00:28:19.240 --> 00:28:22.620]   (water splashes)
[00:28:22.620 --> 00:28:25.620]   (audience applauds)
[00:28:25.620 --> 00:28:35.360]   - All right, thank you, Aaron,
[00:28:35.360 --> 00:28:38.200]   for that very encouraging testimony.
[00:28:38.200 --> 00:28:42.200]   If you could turn your Bibles with me to Luke chapter eight,
[00:28:42.200 --> 00:28:44.420]   and I wanna read starting from verse four
[00:28:44.420 --> 00:28:47.120]   all the way down to verse 15, okay?
[00:28:47.120 --> 00:28:49.680]   Luke chapter eight, verse four,
[00:28:49.680 --> 00:28:51.580]   all the way down to verse 15.
[00:28:51.580 --> 00:28:56.720]   Reading out of the NASB, it says,
[00:28:56.720 --> 00:29:01.280]   now, sorry, when a large crowd was coming together,
[00:29:01.280 --> 00:29:04.240]   and those from the various cities were journeying to him,
[00:29:04.240 --> 00:29:05.800]   he spoke by way of a parable.
[00:29:05.800 --> 00:29:07.920]   The sower went out to sow his seed,
[00:29:07.920 --> 00:29:10.120]   and as he sowed, some fell beside the road,
[00:29:10.120 --> 00:29:11.560]   and it was trampled underfoot,
[00:29:11.560 --> 00:29:13.560]   and the birds of the air ate it up.
[00:29:13.560 --> 00:29:15.120]   Other seeds fell on rocky soil,
[00:29:15.160 --> 00:29:17.160]   and as soon as it grew up, it withered away,
[00:29:17.160 --> 00:29:18.960]   because it had no moisture.
[00:29:18.960 --> 00:29:20.680]   Other seeds fell among the thorns,
[00:29:20.680 --> 00:29:23.360]   and the thorns grew up with it, and choked it out.
[00:29:23.360 --> 00:29:25.240]   Other seeds fell into the good soil,
[00:29:25.240 --> 00:29:29.140]   and grew up and produced a crop a hundred times as great.
[00:29:29.140 --> 00:29:31.600]   As he said these things, he would call out,
[00:29:31.600 --> 00:29:34.180]   he who has ears to hear, let him hear.
[00:29:34.180 --> 00:29:35.720]   His disciples began questioning him
[00:29:35.720 --> 00:29:37.520]   as to what this parable meant.
[00:29:37.520 --> 00:29:39.560]   And he said, to you it has been granted
[00:29:39.560 --> 00:29:41.520]   to know the mysteries of the kingdom of God,
[00:29:41.520 --> 00:29:43.760]   but to the rest, it is in parables,
[00:29:43.760 --> 00:29:45.280]   so that seeing they may not see,
[00:29:45.280 --> 00:29:47.520]   and hearing they may not understand.
[00:29:47.520 --> 00:29:49.000]   Now the parable is this.
[00:29:49.000 --> 00:29:50.360]   The seed is the word of God.
[00:29:50.360 --> 00:29:53.720]   Those beside the road are those who have heard.
[00:29:53.720 --> 00:29:55.520]   Then the devil comes and takes away the word
[00:29:55.520 --> 00:29:58.960]   from their heart, so that they will not believe and be saved.
[00:29:58.960 --> 00:30:00.760]   Those on the rocky soil are those who,
[00:30:00.760 --> 00:30:03.000]   when they hear, receive the word with joy,
[00:30:03.000 --> 00:30:04.720]   and these have no firm root.
[00:30:04.720 --> 00:30:05.880]   They believe for a while,
[00:30:05.880 --> 00:30:08.240]   and in time of temptation, fall away.
[00:30:08.240 --> 00:30:10.280]   The seed which fell among the thorns,
[00:30:10.280 --> 00:30:12.240]   these are the ones who have heard,
[00:30:12.240 --> 00:30:14.200]   and as they go on their way, they are choked
[00:30:14.200 --> 00:30:16.720]   with worries and riches and pleasures of this life,
[00:30:16.720 --> 00:30:18.920]   and bring no fruit to maturity.
[00:30:18.920 --> 00:30:20.480]   For the seed and the good soil,
[00:30:20.480 --> 00:30:22.600]   these are the ones who have heard the word
[00:30:22.600 --> 00:30:25.880]   in an honest and good heart, and hold it fast,
[00:30:25.880 --> 00:30:28.000]   and bear fruit with perseverance.
[00:30:28.000 --> 00:30:28.840]   Let's pray.
[00:30:28.840 --> 00:30:35.040]   Father, we pray for understanding,
[00:30:35.040 --> 00:30:37.960]   not simply the words, but your very heart.
[00:30:37.960 --> 00:30:41.960]   We ask, Lord God, that your very breath
[00:30:41.960 --> 00:30:44.760]   would cause us, Lord, to know you,
[00:30:44.760 --> 00:30:46.960]   to love you, and to worship you.
[00:30:46.960 --> 00:30:48.440]   Help us not to stray from your word
[00:30:48.440 --> 00:30:49.520]   to the left or to the right.
[00:30:49.520 --> 00:30:51.160]   In Jesus' name we pray, amen.
[00:30:51.160 --> 00:30:54.520]   Years ago, when I was a young Christian,
[00:30:54.520 --> 00:30:56.240]   when I first became a Christian,
[00:30:56.240 --> 00:31:00.520]   one of the faith crisis that I had early on
[00:31:00.520 --> 00:31:02.800]   was I talked to a Jehovah Witness
[00:31:02.800 --> 00:31:04.600]   that I really looked up to,
[00:31:04.600 --> 00:31:06.400]   not knowing he was a Jehovah Witness,
[00:31:06.400 --> 00:31:09.280]   and after the conversation, it really shook me,
[00:31:09.280 --> 00:31:11.560]   because if you asked me at that time
[00:31:11.560 --> 00:31:13.280]   who I thought was the strongest Christian,
[00:31:13.280 --> 00:31:15.080]   I would have said it was that guy.
[00:31:15.080 --> 00:31:18.280]   He was a coworker of my dad at some company,
[00:31:18.280 --> 00:31:21.200]   and after that encounter, and again,
[00:31:21.200 --> 00:31:24.760]   this was just a few months after I became a Christian,
[00:31:24.760 --> 00:31:26.760]   I began to wonder, how do I know
[00:31:26.760 --> 00:31:29.900]   if what I am believing is right?
[00:31:29.900 --> 00:31:33.160]   What if the Bible he's reading is right,
[00:31:33.160 --> 00:31:35.200]   and what about the Mormons,
[00:31:35.200 --> 00:31:36.800]   and what about the Jehovah Witnesses,
[00:31:36.800 --> 00:31:39.720]   and what about the Muslims and the Buddhists,
[00:31:39.720 --> 00:31:41.440]   and how can I be sure?
[00:31:41.440 --> 00:31:44.780]   So I started questioning.
[00:31:44.780 --> 00:31:48.100]   I believe God, but which path was the right way?
[00:31:48.100 --> 00:31:51.620]   Am I professing to be a believer in a Protestant faith
[00:31:51.620 --> 00:31:54.820]   because I was born in a pastor's family,
[00:31:54.820 --> 00:31:58.220]   and I just happened to be in a Christian environment,
[00:31:58.220 --> 00:32:00.800]   and that's the environment that I ended up meeting God,
[00:32:00.800 --> 00:32:02.160]   and so therefore I just assumed
[00:32:02.160 --> 00:32:03.280]   that this was the right way,
[00:32:03.280 --> 00:32:06.040]   and so I started questioning.
[00:32:06.040 --> 00:32:09.080]   I started to ask, and the conclusion that I came to
[00:32:09.080 --> 00:32:11.920]   is the reliability of God's word.
[00:32:11.920 --> 00:32:14.960]   Is the Bible that they're using their authority?
[00:32:14.960 --> 00:32:18.040]   Is that more reliable than what I had?
[00:32:18.040 --> 00:32:20.020]   And so I began to try to study.
[00:32:20.020 --> 00:32:22.280]   When I, in college, I started taking classes
[00:32:22.280 --> 00:32:25.160]   on world religion and its origin and where it came from,
[00:32:25.160 --> 00:32:27.760]   and I started soaking up as much as I can,
[00:32:27.760 --> 00:32:29.380]   and every opportunity I had,
[00:32:29.380 --> 00:32:32.160]   whether it was a Buddhist or a Mormon or Jehovah Witness,
[00:32:32.160 --> 00:32:33.080]   I would sit and ask.
[00:32:33.080 --> 00:32:34.440]   Instead of trying to evangelize to them,
[00:32:34.440 --> 00:32:36.560]   I would ask them, where did it come from?
[00:32:36.560 --> 00:32:37.380]   How did it start?
[00:32:37.380 --> 00:32:38.220]   Who is this guy?
[00:32:38.220 --> 00:32:39.720]   What was the evidence behind it?
[00:32:39.720 --> 00:32:42.120]   And my end conclusion was
[00:32:42.120 --> 00:32:47.460]   this is the word of God, without a doubt,
[00:32:47.460 --> 00:32:52.460]   and my faith in this word is much stronger today
[00:32:52.460 --> 00:32:54.640]   than it was when I first started,
[00:32:54.640 --> 00:32:58.560]   but the beginning of that was I came to believe
[00:32:58.560 --> 00:33:00.400]   with all my heart this is God's word.
[00:33:00.400 --> 00:33:03.580]   The parable that we're looking at,
[00:33:04.820 --> 00:33:08.280]   Jesus says, for the purpose of warning his disciples,
[00:33:08.280 --> 00:33:12.080]   because the crowds are growing bigger and bigger,
[00:33:12.080 --> 00:33:14.600]   and so he's warning them that not everybody
[00:33:14.600 --> 00:33:17.560]   who's coming to me are genuine believers,
[00:33:17.560 --> 00:33:18.920]   and so there's gonna come a time
[00:33:18.920 --> 00:33:20.680]   when Jesus is gonna say something
[00:33:20.680 --> 00:33:22.240]   that's gonna disturb them,
[00:33:22.240 --> 00:33:23.960]   and many are going to walk away,
[00:33:23.960 --> 00:33:26.120]   so he's telling them that some of them
[00:33:26.120 --> 00:33:27.080]   are coming for this reason,
[00:33:27.080 --> 00:33:29.360]   some of them are gonna look like they're believers,
[00:33:29.360 --> 00:33:30.720]   they're gonna fall away,
[00:33:30.720 --> 00:33:32.600]   and some of them are gonna be among us,
[00:33:32.600 --> 00:33:34.360]   and then they're gonna fall away,
[00:33:34.360 --> 00:33:35.640]   and he makes it very clear,
[00:33:35.640 --> 00:33:39.600]   the only one who's a true Christian is the fourth soil,
[00:33:39.600 --> 00:33:41.520]   the one who perseveres,
[00:33:41.520 --> 00:33:44.560]   and the Bible repeats that over and over and over again,
[00:33:44.560 --> 00:33:47.600]   and the agent in which,
[00:33:47.600 --> 00:33:49.520]   an agent in which that identifies
[00:33:49.520 --> 00:33:52.440]   if somebody's a true believer or not is the word of God.
[00:33:52.440 --> 00:33:56.080]   The seed, clearly, he says, is the word of God.
[00:33:56.080 --> 00:33:58.520]   So you can profess that this is the word of God,
[00:33:58.520 --> 00:34:01.640]   but does it have authority over your life?
[00:34:01.640 --> 00:34:04.240]   You can say you believe in an inerrant word of God,
[00:34:04.240 --> 00:34:05.520]   but when the word of God is open,
[00:34:05.520 --> 00:34:06.720]   does it change you?
[00:34:06.720 --> 00:34:10.060]   I'm not talking about my sermon,
[00:34:10.060 --> 00:34:12.580]   whether you like the sermon or not.
[00:34:12.580 --> 00:34:15.980]   I'm talking about when the word of God is open,
[00:34:15.980 --> 00:34:19.060]   and it judges the thoughts and intentions of your heart,
[00:34:19.060 --> 00:34:20.820]   how do you respond?
[00:34:20.820 --> 00:34:23.480]   We have a tendency when,
[00:34:23.480 --> 00:34:25.280]   especially if you've been a Christian for a while,
[00:34:25.280 --> 00:34:27.200]   or at the church for a while,
[00:34:27.200 --> 00:34:30.060]   you kind of give a thumbs up or thumbs down on sermon,
[00:34:30.060 --> 00:34:32.340]   and after this service,
[00:34:32.340 --> 00:34:34.220]   people are gonna ask you, how was the sermon today?
[00:34:34.220 --> 00:34:37.380]   I liked it, or I didn't like it.
[00:34:37.380 --> 00:34:38.940]   Thumbs up, thumbs down.
[00:34:38.940 --> 00:34:42.280]   Now, there's nothing wrong with that in and of itself.
[00:34:42.280 --> 00:34:44.940]   Everybody has preferences in how it touched you
[00:34:44.940 --> 00:34:46.160]   or didn't touch you,
[00:34:46.160 --> 00:34:48.260]   but if that's where it stops,
[00:34:48.260 --> 00:34:49.840]   the word of God has no authority.
[00:34:49.840 --> 00:34:52.240]   The real question that we need to be asking is,
[00:34:52.240 --> 00:34:53.700]   was it truthful?
[00:34:53.700 --> 00:34:56.380]   Was it biblical?
[00:34:56.380 --> 00:34:58.980]   And if it was biblical,
[00:34:58.980 --> 00:35:02.100]   if it was biblical, what does that mean to you?
[00:35:02.100 --> 00:35:04.340]   How is that gonna change you?
[00:35:04.340 --> 00:35:06.580]   But if the hearing of the word of God stops
[00:35:06.580 --> 00:35:09.060]   with I liked it and I didn't like it,
[00:35:09.060 --> 00:35:11.780]   that's the same question that Paul says
[00:35:11.780 --> 00:35:14.020]   there's gonna come a time when people are gonna gather
[00:35:14.020 --> 00:35:16.740]   teachers to tickle their ears.
[00:35:16.740 --> 00:35:19.260]   So people who are coming to get their ears tickled,
[00:35:19.260 --> 00:35:21.260]   the only question that they ask is,
[00:35:21.260 --> 00:35:23.780]   did I like it, did I not like it?
[00:35:23.780 --> 00:35:26.060]   And there's no difference between a genuine believer
[00:35:26.060 --> 00:35:30.480]   and an unbeliever if that's the only question you ask.
[00:35:30.480 --> 00:35:32.440]   Did I like it or not like it?
[00:35:32.440 --> 00:35:36.000]   In Hebrews chapter two one it says,
[00:35:36.000 --> 00:35:38.440]   for this reason we must pay much closer attention
[00:35:38.440 --> 00:35:41.900]   to what we have heard so that we do not drift away from it.
[00:35:41.900 --> 00:35:46.980]   We must pay close attention to God's word.
[00:35:46.980 --> 00:35:51.640]   Not just hear it, but what does it mean to you?
[00:35:51.640 --> 00:35:54.040]   How has the word of God shaped the way you think?
[00:35:54.040 --> 00:35:56.640]   How has the word of God shaped the way you live?
[00:35:56.640 --> 00:36:00.760]   How has the word of God shaped the way you see money?
[00:36:00.760 --> 00:36:04.080]   Raising your children, your future, your goal?
[00:36:04.080 --> 00:36:08.400]   Again, the four soils is given so that he would prepare
[00:36:08.400 --> 00:36:13.400]   his disciples for the inevitable fallout of the crowds.
[00:36:13.400 --> 00:36:16.600]   He's also warning the crowds that are coming
[00:36:16.600 --> 00:36:19.600]   that not all of you are coming to me for the right reason.
[00:36:19.600 --> 00:36:22.520]   And so when the fallout does happen,
[00:36:22.520 --> 00:36:26.560]   which we know it happens in multiple stages,
[00:36:26.560 --> 00:36:29.160]   that they will remember Jesus said,
[00:36:29.160 --> 00:36:32.120]   not all who hear the word of God
[00:36:32.120 --> 00:36:34.160]   and seem to respond are genuine believers.
[00:36:34.160 --> 00:36:39.160]   So this morning I want to look at the two soils
[00:36:39.160 --> 00:36:41.200]   and then the third and fourth we'll look at next week.
[00:36:41.200 --> 00:36:43.860]   I want to spend a little bit more time,
[00:36:43.860 --> 00:36:45.760]   I preach through this so many times in our church,
[00:36:45.760 --> 00:36:48.480]   but I want to take some time to comb through
[00:36:48.480 --> 00:36:50.820]   what this actually looks like in the context
[00:36:50.820 --> 00:36:52.920]   of a post-Christian society.
[00:36:54.800 --> 00:36:59.360]   Clearly, the identifying mark of a Christian is the fruit.
[00:36:59.360 --> 00:37:01.800]   The Bible says you will know them by their fruit,
[00:37:01.800 --> 00:37:05.640]   not by their confession, but by their fruit.
[00:37:05.640 --> 00:37:08.540]   First John, it says they left us
[00:37:08.540 --> 00:37:10.880]   because they were never really of us.
[00:37:10.880 --> 00:37:15.020]   They left us and proved that them falling away
[00:37:15.020 --> 00:37:18.360]   revealed whether their faith was genuine or not.
[00:37:18.360 --> 00:37:20.020]   That's what it says in First John.
[00:37:20.980 --> 00:37:25.640]   It says in John 15, those who do not bear fruit,
[00:37:25.640 --> 00:37:29.160]   they will dry up and be thrown into the fire.
[00:37:29.160 --> 00:37:32.020]   The Bible tells us over and over again
[00:37:32.020 --> 00:37:35.760]   the true identifying mark of genuine faith is their fruit.
[00:37:35.760 --> 00:37:42.020]   Again, the only believer in these four soils
[00:37:42.020 --> 00:37:43.320]   is the fourth soil.
[00:37:43.320 --> 00:37:46.220]   So I want to look at the first two soils
[00:37:46.220 --> 00:37:48.420]   and what that looks like in the context of the church.
[00:37:48.420 --> 00:37:51.420]   First, the seed that fell on the side of the road.
[00:37:51.420 --> 00:37:56.620]   These are unbelievers who heard the gospel,
[00:37:56.620 --> 00:37:59.020]   maybe in the context of a church.
[00:37:59.020 --> 00:38:00.860]   Maybe it's in the context of somebody else
[00:38:00.860 --> 00:38:03.780]   sharing the gospel and you just happen to overhear it.
[00:38:03.780 --> 00:38:08.540]   In a post-Christian church, we have a lot of that
[00:38:08.540 --> 00:38:11.780]   where people who grew up in the church
[00:38:11.780 --> 00:38:13.220]   were never really believers.
[00:38:13.220 --> 00:38:17.180]   So you are cultured as Christians, but you're not Christians.
[00:38:17.180 --> 00:38:19.180]   So if you took a survey in the United States
[00:38:19.180 --> 00:38:22.980]   and asked people how many of you identify as Christians,
[00:38:22.980 --> 00:38:25.380]   and I remember back in the '80s and early '90s,
[00:38:25.380 --> 00:38:28.660]   it was as high as 80-some percent.
[00:38:28.660 --> 00:38:31.500]   Now, we know for a fact that's not true.
[00:38:31.500 --> 00:38:36.720]   But over 80% at least identified as Christians.
[00:38:36.720 --> 00:38:40.380]   Many of them, I would say most of them,
[00:38:40.380 --> 00:38:41.780]   probably fall into this category.
[00:38:41.780 --> 00:38:43.860]   They heard, they never really believed,
[00:38:43.860 --> 00:38:44.960]   but they're cultured.
[00:38:45.940 --> 00:38:48.140]   In fact, before I met Christ,
[00:38:48.140 --> 00:38:49.380]   because I was raised in the church,
[00:38:49.380 --> 00:38:51.780]   my dad's a pastor, my grandfather's a pastor.
[00:38:51.780 --> 00:38:53.700]   Church was part of our life.
[00:38:53.700 --> 00:38:55.380]   If somebody asked me, "Are you a Christian?"
[00:38:55.380 --> 00:38:57.380]   I would've said, "Yes."
[00:38:57.380 --> 00:38:58.260]   What else would I be?
[00:38:58.260 --> 00:38:59.980]   My dad's a pastor, what else would I be?
[00:38:59.980 --> 00:39:02.140]   I go to church, what else would I be?
[00:39:02.140 --> 00:39:03.820]   But I was not a Christian.
[00:39:03.820 --> 00:39:05.260]   But I would've told you I was a Christian.
[00:39:05.260 --> 00:39:06.860]   If you asked me, "Do I believe in God?"
[00:39:06.860 --> 00:39:08.220]   Of course I believe in God.
[00:39:08.220 --> 00:39:11.240]   I don't know what that meant.
[00:39:11.240 --> 00:39:12.900]   I was living in sin.
[00:39:12.900 --> 00:39:13.940]   I had no loyalty to Him.
[00:39:13.940 --> 00:39:15.140]   I never prayed.
[00:39:15.140 --> 00:39:19.340]   But if you asked me, I would've said, "Yes."
[00:39:19.340 --> 00:39:21.860]   So in a post-Christian culture,
[00:39:21.860 --> 00:39:25.580]   many of these people, where you've heard
[00:39:25.580 --> 00:39:29.380]   and it makes no impact, at least go to church.
[00:39:29.380 --> 00:39:30.780]   Now, if you're not in the church
[00:39:30.780 --> 00:39:33.060]   and you're denying and say, "That's a bunch of foolishness."
[00:39:33.060 --> 00:39:34.720]   That's easy to identify.
[00:39:34.720 --> 00:39:37.820]   But in a post-Christian church, they're inside the church.
[00:39:37.820 --> 00:39:41.020]   In 1 Corinthians 2:14, "But a natural man
[00:39:41.020 --> 00:39:42.740]   "does not accept the things of the Spirit of God,
[00:39:42.740 --> 00:39:44.460]   "for they are foolishness to him,
[00:39:44.460 --> 00:39:46.200]   "and he cannot understand them
[00:39:46.200 --> 00:39:49.000]   "because they are spiritually appraised."
[00:39:49.000 --> 00:39:51.640]   He said, "Every genuine believer
[00:39:51.640 --> 00:39:52.820]   "has the Holy Spirit in him,
[00:39:52.820 --> 00:39:55.000]   "but because the Holy Spirit is not in him,
[00:39:55.000 --> 00:39:56.380]   "they are not able to discern.
[00:39:56.380 --> 00:39:58.300]   "Is this right or is this wrong?"
[00:39:58.300 --> 00:40:02.720]   So they are unbelievers.
[00:40:02.720 --> 00:40:07.700]   These are people who are committed to the church
[00:40:07.700 --> 00:40:09.720]   purely for social reasons.
[00:40:10.820 --> 00:40:13.140]   You wanna play basketball.
[00:40:13.140 --> 00:40:16.500]   You have young people your age.
[00:40:16.500 --> 00:40:20.260]   You're looking for a wife or a girlfriend.
[00:40:20.260 --> 00:40:22.380]   And we have people who are just honest, right?
[00:40:22.380 --> 00:40:24.060]   Now that our church is a certain size,
[00:40:24.060 --> 00:40:26.720]   we have people just bold and they say, "Why are you here?
[00:40:26.720 --> 00:40:27.560]   "What are you looking for?"
[00:40:27.560 --> 00:40:29.380]   It's, "I'm looking for a wife."
[00:40:29.380 --> 00:40:30.920]   Okay, and then we have to tell people,
[00:40:30.920 --> 00:40:32.960]   "Hey, watch out for that guy.
[00:40:32.960 --> 00:40:35.020]   "We gotta protect our girls," right?
[00:40:35.020 --> 00:40:38.280]   But after a while, for social reasons,
[00:40:38.280 --> 00:40:40.740]   these are people who have no interest in God
[00:40:40.740 --> 00:40:44.900]   and they're more than welcome to come and learn.
[00:40:44.900 --> 00:40:48.240]   But the problem that we get into
[00:40:48.240 --> 00:40:49.620]   in a post-Christian culture
[00:40:49.620 --> 00:40:52.620]   where a good church and a bad church,
[00:40:52.620 --> 00:40:54.820]   a successful church and an unsuccessful church
[00:40:54.820 --> 00:40:56.920]   is measured by the number,
[00:40:56.920 --> 00:41:01.220]   then we have to gather as many people
[00:41:01.220 --> 00:41:02.100]   to the church as possible,
[00:41:02.100 --> 00:41:05.820]   even the people who are outright rejecting Christ.
[00:41:05.820 --> 00:41:07.340]   You're welcome to come to church.
[00:41:07.340 --> 00:41:09.380]   And the problem is, when you come to church,
[00:41:09.380 --> 00:41:11.160]   you can easily become a member.
[00:41:11.160 --> 00:41:12.380]   And when you become a member of the church,
[00:41:12.380 --> 00:41:13.220]   you serve the church.
[00:41:13.220 --> 00:41:15.860]   And if you serve the church, you can become a leader.
[00:41:15.860 --> 00:41:20.620]   And so the church has become a place
[00:41:20.620 --> 00:41:22.500]   where we can't tell the difference
[00:41:22.500 --> 00:41:24.500]   between the world and the church.
[00:41:24.500 --> 00:41:27.500]   In Matthew 10, 14, it says,
[00:41:27.500 --> 00:41:30.360]   "Whoever does not receive you nor heed your words
[00:41:30.360 --> 00:41:32.340]   "as you go out of the house or that city,
[00:41:32.340 --> 00:41:34.740]   "shake the dust off your feet."
[00:41:34.740 --> 00:41:37.720]   Now you may read that and say,
[00:41:37.720 --> 00:41:40.160]   "We can't practice that, shake the dust."
[00:41:40.160 --> 00:41:43.500]   So we apply.
[00:41:43.500 --> 00:41:45.580]   And I don't know if you've ever said this
[00:41:45.580 --> 00:41:47.220]   or you've heard this.
[00:41:47.220 --> 00:41:49.940]   Didn't Jesus say that he would leave the 99
[00:41:49.940 --> 00:41:52.800]   to go after the one, right?
[00:41:52.800 --> 00:41:59.000]   That parable has been so misunderstood and misapplied
[00:41:59.000 --> 00:42:02.600]   and in some sense have ruined the church.
[00:42:02.600 --> 00:42:03.600]   Now think about it.
[00:42:04.720 --> 00:42:08.820]   Does Jesus mean that that one sheep
[00:42:08.820 --> 00:42:11.180]   is much more precious than the 99?
[00:42:11.180 --> 00:42:12.820]   So abandon the 99.
[00:42:12.820 --> 00:42:14.460]   No matter what that one does,
[00:42:14.460 --> 00:42:16.220]   abandon the 99 to go after one.
[00:42:16.220 --> 00:42:17.040]   Does that make sense?
[00:42:17.040 --> 00:42:18.380]   Is that what Jesus is saying?
[00:42:18.380 --> 00:42:21.940]   That even if that one is ruining the church,
[00:42:21.940 --> 00:42:23.140]   leave the 99.
[00:42:23.140 --> 00:42:26.220]   If you have 10 children and one strays,
[00:42:26.220 --> 00:42:30.780]   you're gonna abandon the nine because of the one?
[00:42:30.780 --> 00:42:32.260]   Is that what Jesus is saying?
[00:42:32.260 --> 00:42:36.160]   So much of the dilution in the church,
[00:42:36.160 --> 00:42:37.920]   the compromise in the church has been given
[00:42:37.920 --> 00:42:40.480]   because of the wrong understanding of this.
[00:42:40.480 --> 00:42:45.800]   The point that Jesus was making
[00:42:45.800 --> 00:42:49.360]   was that every soul is precious before God.
[00:42:49.360 --> 00:42:51.560]   Every soul is precious.
[00:42:51.560 --> 00:42:54.320]   He's not saying you compromise the 99.
[00:42:54.320 --> 00:42:56.480]   I remember, and I may have shared this before,
[00:42:56.480 --> 00:42:59.800]   years ago I went to a youth retreat to speak
[00:42:59.800 --> 00:43:04.460]   and one of the teachers was beating up on the kid,
[00:43:04.460 --> 00:43:06.380]   junior high school kid.
[00:43:06.380 --> 00:43:08.220]   And then so we had to have a meeting,
[00:43:08.220 --> 00:43:09.540]   and I was a guest speaker there
[00:43:09.540 --> 00:43:10.900]   and I was part of the meeting and saying,
[00:43:10.900 --> 00:43:13.660]   I found out that there was a pattern of this,
[00:43:13.660 --> 00:43:15.340]   that this guy had such a bad temper
[00:43:15.340 --> 00:43:18.500]   and anybody he felt disrespected, he would beat them up.
[00:43:18.500 --> 00:43:21.700]   And so we had to scold the teacher.
[00:43:21.700 --> 00:43:23.740]   And I remember talking to the youth pastor
[00:43:23.740 --> 00:43:24.820]   who was a friend of mine and said,
[00:43:24.820 --> 00:43:28.460]   "Why do you allow that guy to come?"
[00:43:28.460 --> 00:43:30.880]   And he said, "If we don't let him come,
[00:43:30.880 --> 00:43:32.500]   "he won't come to church."
[00:43:32.500 --> 00:43:35.860]   And I remember just shaking my head and said,
[00:43:35.860 --> 00:43:38.600]   "Would you do that if that was your kid?
[00:43:38.600 --> 00:43:42.820]   "If that was your child, so that he can come to church,
[00:43:42.820 --> 00:43:45.500]   "you're gonna let him have access to kids?
[00:43:45.500 --> 00:43:48.260]   "Imagine what happens to that kid because of that guy."
[00:43:48.260 --> 00:43:50.320]   But he said, "Didn't Jesus say
[00:43:50.320 --> 00:43:52.000]   "he's gonna leave the 99 to go after the one?
[00:43:52.000 --> 00:43:53.360]   "I'm going after the one."
[00:43:53.360 --> 00:43:58.000]   He's saying every soul is precious before God.
[00:43:58.000 --> 00:43:59.560]   And here's the kicker.
[00:43:59.560 --> 00:44:04.560]   He said he's going after his sheep, not any sheep.
[00:44:04.560 --> 00:44:08.320]   He's not going after someone else's sheep.
[00:44:08.320 --> 00:44:11.720]   He's going after his sheep, like his children.
[00:44:11.720 --> 00:44:13.880]   And each one of them, every single one of them,
[00:44:13.880 --> 00:44:15.960]   is precious before God.
[00:44:15.960 --> 00:44:20.420]   The problem that we have come into in our generation
[00:44:20.420 --> 00:44:25.080]   is that we think drawing lines is unbiblical.
[00:44:26.200 --> 00:44:27.920]   Read the scriptures.
[00:44:27.920 --> 00:44:29.520]   Jesus here is drawing the line.
[00:44:29.520 --> 00:44:31.840]   Here's people who have heard it.
[00:44:31.840 --> 00:44:32.920]   They received the word of God.
[00:44:32.920 --> 00:44:34.760]   They have outright rejected it.
[00:44:34.760 --> 00:44:41.040]   And so therefore, they are not part of the body of Christ.
[00:44:41.040 --> 00:44:43.560]   One of the things that I hear a lot is,
[00:44:43.560 --> 00:44:46.320]   Pastor Peter, we have a church where the Bible is taught,
