
[00:00:00.000 --> 00:00:09.200]   All right, let's start.
[00:22:45.140 --> 00:22:48.460]   And they said, "Obviously, it's difficult because, you know, who wants to see their
[00:22:48.460 --> 00:22:50.380]   children being persecuted at school?
[00:22:50.380 --> 00:22:54.320]   It's one thing for them, but their wives and children also have to suffer."
[00:22:54.320 --> 00:22:58.900]   But he said that the positive of all of this is purifying the church.
[00:22:58.900 --> 00:23:04.480]   The nominal, it's very difficult to be a nominal Christian in India, more and more, right?
[00:23:04.480 --> 00:23:09.020]   So it's causing people who may have been casually attending church to make a decision.
[00:23:09.020 --> 00:23:12.260]   Either you're a follower of Christ or not.
[00:23:12.260 --> 00:23:17.720]   And so if you look at the judgment up to this point, he says there's going to come a time
[00:23:17.720 --> 00:23:23.920]   when God is going to allow those who may be in the church, who may have never thought
[00:23:23.920 --> 00:23:28.300]   seriously about their faith and committed to their nominal belief, but when the torment
[00:23:28.300 --> 00:23:33.800]   comes, either that's going to cause you to fall or it's going to cause you to repent.
[00:23:33.800 --> 00:23:39.160]   So even up to this point, even with this intense tormenting, it's really God's mercy being
[00:23:39.160 --> 00:23:41.860]   demonstrated, right?
[00:23:41.860 --> 00:23:42.860]   Even up to this point.
[00:23:42.860 --> 00:23:45.560]   Remember, we didn't get to the seal judgments yet.
[00:23:45.560 --> 00:23:49.000]   We didn't get to the second or third woe yet.
[00:23:49.000 --> 00:23:50.000]   That's next week.
[00:23:50.000 --> 00:23:55.360]   And then once we open up the seal judgments, and then the Armageddon and the great white
[00:23:55.360 --> 00:23:57.320]   throne judgment is coming later.
[00:23:57.320 --> 00:23:59.120]   We're at about halfway point.
[00:23:59.120 --> 00:24:03.360]   And even to this point, God is restraining, right?
[00:24:03.360 --> 00:24:04.680]   He's restraining them.
[00:24:04.680 --> 00:24:15.640]   He said, "Go out, torment only for five months and not to kill them."
[00:24:15.640 --> 00:24:21.200]   So the angel at the end of this in verse 11, and we talked about his name, the angel of
[00:24:21.200 --> 00:24:25.000]   the bottomless pit is not the same one mentioned in verse one, right?
[00:24:25.000 --> 00:24:27.200]   Who's given the key to the abyss.
[00:24:27.200 --> 00:24:31.880]   So many people believe that the angel is talking about in chapter nine, verse one, who's fallen,
[00:24:31.880 --> 00:24:38.760]   either Satan himself or maybe a high ranking angel that fell and is maybe an antichrist.
[00:24:38.760 --> 00:24:42.620]   We don't know the exact.
[00:24:42.620 --> 00:24:48.960]   But these angels that are talking about at verse 11, it says that they are king over
[00:24:48.960 --> 00:24:52.680]   them and the angel of the bottomless pit, his name in Hebrew is Abaddon.
[00:24:52.680 --> 00:24:55.440]   So the Hebrew name for him is Abaddon.
[00:24:55.440 --> 00:25:01.880]   The Greek name is Apollonian or Apollon, right?
[00:25:01.880 --> 00:25:06.400]   And both names means destruction or destroyer, right?
[00:25:06.400 --> 00:25:11.720]   And the reason why he gives a Hebrew and a Greek for the same name is again, referencing
[00:25:11.720 --> 00:25:14.840]   that this judgment is going to be universal.
[00:25:14.840 --> 00:25:18.800]   That this is not just targeting outside the Jewish community.
[00:25:18.800 --> 00:25:23.600]   That it's going to be universal, just like what we're talking about in the book of Joel.
[00:25:23.600 --> 00:25:26.720]   They're waiting for the day of the Lord to come thinking that all their enemy is going
[00:25:26.720 --> 00:25:30.920]   to be destroyed, not realizing that the judgment is going to come to the household of Israel
[00:25:30.920 --> 00:25:33.140]   as well, right?
[00:25:33.140 --> 00:25:37.640]   So that's why there's two separate names, a Hebrew and a Greek is given for this demonic
[00:25:37.640 --> 00:25:41.880]   name.
[00:25:41.880 --> 00:25:50.940]   So again, all of this is still within God's sovereign plan.
[00:25:50.940 --> 00:25:53.240]   We look at the sixth trumpet.
[00:25:53.240 --> 00:26:01.200]   The second will, and the intensity escalates even further, right?
[00:26:01.200 --> 00:26:07.400]   Just as a quick review of what he said so far, in chapter 8 verse 10, "Plagues of hail,
[00:26:07.400 --> 00:26:13.440]   fire mixed with blood that scorched the earth, burning mountain that fell into the sea, turning
[00:26:13.440 --> 00:26:16.760]   into blood, leaving death in its wake."
[00:26:16.760 --> 00:26:24.240]   Chapter 8 verse 8, "Blazing star from heaven falling into inland waters and causing bitterness
[00:26:24.240 --> 00:26:29.360]   and death, darkening of the sun and the moon that plunge the world into darkness."
[00:26:29.360 --> 00:26:34.560]   12, "Swarm of demonic locusts released from the abyss to torment unbelievers."
[00:26:34.560 --> 00:26:36.340]   And that's what we've seen up to this point.
[00:26:36.340 --> 00:26:43.560]   And then finally, the sixth plague.
[00:26:43.560 --> 00:26:46.860]   Up to this point, the sixth plague would be the worst.
[00:26:46.860 --> 00:26:51.800]   He mentioned specifically 200 million demonic army is commissioned to wipe out a third of
[00:26:51.800 --> 00:26:55.400]   the unbelieving world.
[00:26:55.400 --> 00:26:57.400]   Think about the power.
[00:26:57.400 --> 00:27:02.720]   We don't know exactly how many, a third of the angels that were kicked out, but they
[00:27:02.720 --> 00:27:06.080]   have to be at least 200 million, right?
[00:27:06.080 --> 00:27:12.320]   So we're talking about, again, the power of Satan himself plus all of his angels, that
[00:27:12.320 --> 00:27:17.320]   they're going to be out in full force, fulfilling God's ultimate purpose of judgment at the
[00:27:17.320 --> 00:27:18.500]   end.
[00:27:18.500 --> 00:27:24.040]   But even in this, even in this, we see the mercy of God because even though it's 200
[00:27:24.040 --> 00:27:27.920]   million, at least that's the number that is given to us, and we don't know specifically
[00:27:27.920 --> 00:27:33.000]   what the significance of those numbers are, but it's a huge number.
[00:27:33.000 --> 00:27:41.960]   But when the host of heaven is described, it says myriads upon myriads, right?
[00:27:41.960 --> 00:27:45.360]   That's the description, meaning it's countless.
[00:27:45.360 --> 00:27:52.080]   That as big as a number of 200 million is, he said the number of servants of God in heaven
[00:27:52.080 --> 00:27:56.500]   is myriads upon myriads, meaning it can't be compared.
[00:27:56.500 --> 00:28:01.800]   So even in the midst of all of this, we see his power and his sovereign control over all
[00:28:01.800 --> 00:28:03.040]   of it.
[00:28:03.040 --> 00:28:07.720]   So it's not like at the very end, he's fighting against Satan and Satan is going to win.
[00:28:07.720 --> 00:28:09.440]   It's like, "Oh no, he looks like he's going to win."
[00:28:09.440 --> 00:28:12.000]   And then Jesus comes in, then he conquers them.
[00:28:12.000 --> 00:28:14.680]   And that is not the picture that we see in the book of Revelation.
[00:28:14.680 --> 00:28:18.520]   From start to finish, God is completely sovereign.
[00:28:18.520 --> 00:28:21.640]   From start to finish, God is completely sovereign.
[00:28:21.640 --> 00:28:28.720]   Even when Satan is released, it is under his control.
[00:28:28.720 --> 00:28:36.080]   Verse 15 points to the exact hour, day, month, and year of that, that this God has ordained,
[00:28:36.080 --> 00:28:37.400]   right?
[00:28:37.400 --> 00:28:42.200]   The exact number of demonic force will carry out the destruction is ordained as 200 million.
[00:28:42.200 --> 00:28:46.480]   And this is not just something that he was just fortune telling.
[00:28:46.480 --> 00:28:47.480]   It's God ordained.
[00:28:47.480 --> 00:28:51.760]   The specific hour, the time, or the day.
[00:28:51.760 --> 00:28:54.800]   Remember when they asked, "Now you're going to establish the kingdom?"
[00:28:54.800 --> 00:28:57.040]   And Jesus said, "You do not know the time or the hour.
[00:28:57.040 --> 00:28:58.040]   Only the Lord knows.
[00:28:58.040 --> 00:28:59.040]   Only God knows."
[00:28:59.040 --> 00:29:04.080]   And he says, "God has appointed a specific day, a specific hour that this is going to
[00:29:04.080 --> 00:29:08.400]   happen."
[00:29:08.400 --> 00:29:14.000]   Times and seasons and visions represent the subjection of all things to God.
[00:29:14.000 --> 00:29:20.240]   So as crazy as these visions and these warnings have been up to this point, all of it point
[00:29:20.240 --> 00:29:22.440]   to his sovereign plan.
[00:29:22.440 --> 00:29:27.920]   In Acts 1-7, it says, "Jesus spoke of times and seasons which the Father has put in his
[00:29:27.920 --> 00:29:30.720]   own authority."
[00:29:30.720 --> 00:29:34.760]   At no point in any of this has God lost control.
[00:29:34.760 --> 00:29:44.160]   Even Satan and his angels, they wait for that determined time for God to release them.
[00:29:44.160 --> 00:29:49.400]   In fire and smoke and sulfur, it says that those are the avenues, the three plagues that
[00:29:49.400 --> 00:29:59.960]   this demonic force is going to use.
[00:29:59.960 --> 00:30:07.560]   So we're looking at the end times, whenever that time may be, that it's not going to be
[00:30:07.560 --> 00:30:08.680]   a cakewalk.
[00:30:08.680 --> 00:30:13.200]   So no wonder a lot of Christians are hoping that we would be raptured before then so we
[00:30:13.200 --> 00:30:16.080]   don't have to witness any of this.
[00:30:16.080 --> 00:30:17.480]   We don't have to participate in any of this.
[00:30:17.480 --> 00:30:22.800]   But again, I think, the language that I see is that we're going to be going through all
[00:30:22.800 --> 00:30:27.040]   of this and genuine Christians are going to be preserved through all of this, that our
[00:30:27.040 --> 00:30:31.840]   faith is going to strengthen us and we're going to be able to make it out of it.
[00:30:31.840 --> 00:30:37.600]   But in the end, he said, it's going to be so devastating that the people who are under
[00:30:37.600 --> 00:30:43.080]   this attack, under this torment, is going to prefer death, but death is not going to
[00:30:43.080 --> 00:30:45.120]   come.
[00:30:45.120 --> 00:30:49.360]   And I'm not exactly sure because obviously, you know, there's a lot of ways for somebody
[00:30:49.360 --> 00:30:54.080]   to take their life, but whatever is happening, there is no relief.
[00:30:54.080 --> 00:30:59.480]   God is not allowing them to die.
[00:30:59.480 --> 00:31:05.140]   But even in the midst of all of this, despite all these judgments, the survivors refuse
[00:31:05.140 --> 00:31:06.140]   to repent.
[00:31:06.140 --> 00:31:11.040]   Verse 20, "The rest of mankind who are not killed by these plagues did not repent of
[00:31:11.040 --> 00:31:15.640]   the works of their hands, nor give up worshiping demons and idols of gold and silver and bronze
[00:31:15.640 --> 00:31:19.880]   and stone and wood, which cannot see or hear or walk."
[00:31:19.880 --> 00:31:24.520]   One of the discussion questions that I asked and giving time to discuss with your small
[00:31:24.520 --> 00:31:31.600]   group is, what would harden somebody hard to this extent that they see a third of mankind
[00:31:31.600 --> 00:31:33.920]   dying and there is no question?
[00:31:33.920 --> 00:31:37.680]   Remember, there's not going to be a question that's like, "Oh, I wonder if this is God
[00:31:37.680 --> 00:31:39.720]   or not."
[00:31:39.720 --> 00:31:41.080]   I wonder if this is God or not.
[00:31:41.080 --> 00:31:43.860]   He said it's going to be very clear that this is God's judgment.
[00:31:43.860 --> 00:31:45.480]   The torment is going to be God's judgment.
[00:31:45.480 --> 00:31:50.360]   The demonic forces are going to be as a result of God allowing this to happen.
[00:31:50.360 --> 00:31:55.040]   Knowing all of that, right, knowing all of that, they say they refuse to repent, they
[00:31:55.040 --> 00:31:58.480]   refuse to turn their way, right?
[00:31:58.480 --> 00:32:04.440]   They're so committed to sin that even in the midst of their torment, he says they refuse
[00:32:04.440 --> 00:32:05.440]   to repent.
[00:32:05.440 --> 00:32:09.200]   I'm going to give you some time with your small group to discuss that, like what would
[00:32:09.200 --> 00:32:15.760]   cause somebody to be that hardened, that committed to their sin, right?
[00:32:15.760 --> 00:32:21.760]   But in the end, even up to this point, even up to this point, God is trying to bring them
[00:32:21.760 --> 00:32:22.760]   to repentance.
[00:32:22.760 --> 00:32:28.240]   Revelation chapter 221, in one of the letters to the churches, he says, "I gave her," talking
[00:32:28.240 --> 00:32:33.240]   about Jezebel, that even in that context, he says, "I gave her time to repent, but she
[00:32:33.240 --> 00:32:36.440]   refused to repent of her sexual immorality."
[00:32:36.440 --> 00:32:40.400]   Like all of the judgments and warning that was given to her, he said all of it was to
[00:32:40.400 --> 00:32:42.260]   bring her to repentance.
[00:32:42.260 --> 00:32:49.080]   And again, finally, 2 Peter 3, 4-10, and I want to read this whole section for you.
[00:32:49.080 --> 00:32:53.560]   Because the context in 2 Peter 3 is people asking, like you said the Lord's coming, but
[00:32:53.560 --> 00:32:56.680]   why isn't he coming, right?
[00:32:56.680 --> 00:33:00.360]   And the Christians are being mocked because he didn't come right away.
[00:33:00.360 --> 00:33:06.040]   And so Peter is responding to that in chapter 3, 4-10, he says, "They will say, 'Where is
[00:33:06.040 --> 00:33:07.320]   the promise of his coming?'"
[00:33:07.320 --> 00:33:09.040]   Let me stop right there.
[00:33:09.040 --> 00:33:15.320]   I mean, whether that was 2,000 years ago or today, when you talk about the second coming
[00:33:15.320 --> 00:33:21.000]   of Christ, non-Christians will probably mock us exactly the same way, whether it's 2,000
[00:33:21.000 --> 00:33:22.520]   years ago or now, "Oh, where is he coming?
[00:33:22.520 --> 00:33:25.560]   Oh, Jesus is really going to come."
[00:33:25.560 --> 00:33:30.000]   And maybe some of us, because it's been 2,000 years, and thinking like, "Oh, it just sounds
[00:33:30.000 --> 00:33:32.000]   like a fairy tale.
[00:33:32.000 --> 00:33:37.480]   It sounds like the Avengers or some imagination of some person."
[00:33:37.480 --> 00:33:41.040]   And the early church was no different.
[00:33:41.040 --> 00:33:45.200]   Whether it didn't happen within the 10 or 20 or 30 years, it didn't happen 2,000 years,
[00:33:45.200 --> 00:33:46.840]   the mocking was the same.
[00:33:46.840 --> 00:33:49.840]   And so he says, "Where is the promise of his coming?
[00:33:49.840 --> 00:33:54.360]   For ever since the fathers fell asleep," meaning they died, "all things are continuing as they
[00:33:54.360 --> 00:33:56.000]   were from the beginning of creation."
[00:33:56.000 --> 00:33:58.160]   Stop right there, right?
[00:33:58.160 --> 00:34:00.120]   Isn't that the same mocking today?
[00:34:00.120 --> 00:34:05.160]   Isn't that the same doubting today that sometimes can even creep in on us?
[00:34:05.160 --> 00:34:11.340]   And so we read all of this as if we're reading some history or some document that has nothing
[00:34:11.340 --> 00:34:12.340]   to do with us.
[00:34:12.340 --> 00:34:18.040]   And he says that that's exactly how the non-Christians of the early church, they responded.
[00:34:18.040 --> 00:34:19.760]   That's what unbelief looks like.
[00:34:19.760 --> 00:34:24.520]   "For they deliberately overlooked this fact that the heavens existed long ago and the
[00:34:24.520 --> 00:34:30.480]   earth was formed out of the water and through water by the word of God and that by means
[00:34:30.480 --> 00:34:35.400]   of these the world that then existed was deluged with water and perished.
[00:34:35.400 --> 00:34:39.640]   But by the same word of the heaven and earth that now exists are stored up for fire, being
[00:34:39.640 --> 00:34:42.640]   kept until the day of judgment and destruction of the ungodly."
[00:34:42.640 --> 00:34:44.920]   In other words, God has an ordained time.
[00:34:44.920 --> 00:34:49.760]   God ordained the creation, God ordained the restoration, right?
[00:34:49.760 --> 00:34:56.680]   So as creation was ordained and in God's sovereign time this happened, so will the restoration
[00:34:56.680 --> 00:34:59.600]   in God's appointed time that this is going to happen.
[00:34:59.600 --> 00:35:05.120]   "But do not overlook this one fact, that beloved, that with the Lord one day is as
[00:35:05.120 --> 00:35:08.600]   a thousand years and a thousand years as one day."
[00:35:08.600 --> 00:35:09.600]   Right?
[00:35:09.600 --> 00:35:11.960]   So again, I mean, think about our lives.
[00:35:11.960 --> 00:35:16.920]   Think how long one year was when you were five years old.
[00:35:16.920 --> 00:35:19.440]   Seemed like forever, right?
[00:35:19.440 --> 00:35:22.000]   Now a year seems like nothing.
[00:35:22.000 --> 00:35:25.480]   I mean, literally, it seems like nothing.
[00:35:25.480 --> 00:35:29.600]   So time is very relative depending on who you are, right?
[00:35:29.600 --> 00:35:33.200]   I mean, 10 years seemed like a long period of time.
[00:35:33.200 --> 00:35:36.520]   10 years go by so quick, a decade goes by so quick.
[00:35:36.520 --> 00:35:38.240]   I thought my 30s went by so quick.
[00:35:38.240 --> 00:35:40.640]   40s went by like a blink.
[00:35:40.640 --> 00:35:42.840]   And I can imagine it's going to speed up.
[00:35:42.840 --> 00:35:44.080]   So time is very relative.
[00:35:44.080 --> 00:35:50.120]   So imagine in God's perspective in eternity, he said a thousand years for God is going
[00:35:50.120 --> 00:35:52.160]   to be like nothing, right?
[00:35:52.160 --> 00:35:56.520]   We're looking at it from an infant's perspective and saying, "How come it didn't happen?"
[00:35:56.520 --> 00:35:57.520]   From an infant's perspective.
[00:35:57.520 --> 00:36:00.960]   He said, "Do not forget who you're talking about.
[00:36:00.960 --> 00:36:03.920]   You're talking about an eternal God."
[00:36:03.920 --> 00:36:07.120]   Verse 9, "The Lord is not slow to fulfill his promise."
[00:36:07.120 --> 00:36:10.360]   It's not because he's not answering.
[00:36:10.360 --> 00:36:13.120]   As some count slowness, right?
[00:36:13.120 --> 00:36:14.280]   Again, perspective.
[00:36:14.280 --> 00:36:20.720]   "But is patient toward you, not wishing that any should perish, but that all should reach
[00:36:20.720 --> 00:36:23.240]   repentance."
[00:36:23.240 --> 00:36:31.000]   So the whole reason why we've waited or he's been waiting and maybe possibly wait further
[00:36:31.000 --> 00:36:32.560]   is because he's been gracious.
[00:36:32.560 --> 00:36:35.480]   We're living during a period of his grace.
[00:36:35.480 --> 00:36:39.720]   And what we see in the book of Revelation chapter 9, and even in the midst of all of
[00:36:39.720 --> 00:36:44.560]   this judgment and disaster coming, he says the end goal is that those who survive will
[00:36:44.560 --> 00:36:46.800]   repent and come to Christ.
[00:36:46.800 --> 00:36:49.560]   Because there's going to come a time when that period is going to be over.
[00:36:49.560 --> 00:36:52.840]   The period of grace is going to be over.
[00:36:52.840 --> 00:36:54.740]   And that there is no opportunity to repent.
[00:36:54.740 --> 00:36:55.740]   There will be no survivors.
[00:36:55.740 --> 00:36:58.340]   It's going to be final and complete.
[00:36:58.340 --> 00:36:59.340]   We're not there yet.
[00:36:59.340 --> 00:37:03.040]   The book of Revelation is going to get us there to the white throne judgment.
[00:37:03.040 --> 00:37:04.520]   We're not there yet.
[00:37:04.520 --> 00:37:08.640]   But as devastating as this is, don't lose perspective, right?
[00:37:08.640 --> 00:37:11.200]   All of this is to bring us to repentance.
[00:37:11.200 --> 00:37:17.720]   Not only for those who are going to be physically experiencing this, but even us, as we are
[00:37:17.720 --> 00:37:22.320]   reading this, as we are being warned that this is coming, that even though we may not
[00:37:22.320 --> 00:37:29.040]   have physically and visually experienced all of this, the goal of all of this is the same
[00:37:29.040 --> 00:37:31.660]   for us, is to bring us to repentance.
[00:37:31.660 --> 00:37:37.480]   Whether we repent because it happens or whether we repent because it is going to happen, if
[00:37:37.480 --> 00:37:44.680]   we believe that this is coming, if we believe that this is coming and we really believe
[00:37:44.680 --> 00:37:49.640]   it, shouldn't it change us?
[00:37:49.640 --> 00:37:53.860]   Shouldn't it change our perspective of time, our perspective of money, our perspective
[00:37:53.860 --> 00:37:59.440]   of relationship, our perspective of fun, our perspective of life?
[00:37:59.440 --> 00:38:01.760]   It would.
[00:38:01.760 --> 00:38:05.520]   And that's exactly what Peter was trying to say in Peter's, like, they're going to come
[00:38:05.520 --> 00:38:10.320]   mock you because it didn't happen according to their time, right?
[00:38:10.320 --> 00:38:14.400]   But do not know that the whole reason why you and I are alive and Christ didn't come
[00:38:14.400 --> 00:38:19.640]   and we didn't die is because there's still people to be saved.
[00:38:19.640 --> 00:38:23.440]   That's the whole purpose of why you and I exist today.
[00:38:23.440 --> 00:38:26.920]   While we didn't die and go to heaven, the minute that we got saved is because there's
[00:38:26.920 --> 00:38:31.140]   others that needs to come in, right?
[00:38:31.140 --> 00:38:37.300]   So think about how much we pray about who to marry and what job to get and what house
[00:38:37.300 --> 00:38:39.360]   to buy and all of these things.
[00:38:39.360 --> 00:38:45.780]   Again, they're not sinful things, but how trivial they are in light of how God views
[00:38:45.780 --> 00:38:48.100]   time, right?
[00:38:48.100 --> 00:38:54.340]   He views time to give us opportunity to repent and give us opportunity to bring others to
[00:38:54.340 --> 00:38:58.700]   repentance, right?
[00:38:58.700 --> 00:39:02.400]   So let me read the discussion question just to kind of clarify.
[00:39:02.400 --> 00:39:04.580]   Have you ever been disciplined to bring you to repentance?
[00:39:04.580 --> 00:39:09.180]   If so, when and how did that happen?
[00:39:09.180 --> 00:39:15.080]   Has God ever brought discipline into your life?
[00:39:15.080 --> 00:39:18.340]   Because clearly it says in book of Hebrews chapter 12, verse 6, God disciplines those
[00:39:18.340 --> 00:39:19.340]   He loves.
[00:39:19.340 --> 00:39:22.720]   Have you ever experienced that and has that brought you to repentance?
[00:39:22.720 --> 00:39:25.540]   If so, when and how did that happen?
[00:39:25.540 --> 00:39:30.020]   So, it's difficult to fathom why someone would refuse to repent after seeing and experience
[00:39:30.020 --> 00:39:34.660]   the wrath of God as a result of their sins, but that seems to be the response at the end
[00:39:34.660 --> 00:39:35.660]   times.
[00:39:35.660 --> 00:39:40.720]   The unrepentant will still, or for the majority, they're not going to repent.
[00:39:40.720 --> 00:39:43.380]   What would harden people to this extent?
[00:39:43.380 --> 00:39:48.300]   What is the only power given to us to bring someone to repentance according to the Bible?
[00:39:48.300 --> 00:39:51.400]   I think you guys probably already know the answer to that, but I'd like you to take some
[00:39:51.400 --> 00:39:56.340]   time to discuss and if that's the case, what should we be investing our time doing?
[00:39:56.340 --> 00:40:00.860]   Number three, how can you discern if something is demonic work or not?
[00:40:00.860 --> 00:40:06.340]   Have you ever experienced anything that was clearly demonic?
[00:40:06.340 --> 00:40:13.620]   I think some people think that demonic activity only happens within the charismatic circle.
[00:40:13.620 --> 00:40:17.360]   Demonic activity is not limited to the charismatic churches.
[00:40:17.360 --> 00:40:22.120]   It just means that we're insensitive because scripture clearly says there's a spiritual
[00:40:22.120 --> 00:40:23.120]   battle.
[00:40:23.120 --> 00:40:30.720]   So, for us to be unaware of it and not paying attention to it, it just means we become insensitive.
[00:40:30.720 --> 00:40:32.960]   Clearly it's happening because the scripture says it.
[00:40:32.960 --> 00:40:39.880]   So, the question, again, I have for you is how do you discern and is there a time when
[00:40:39.880 --> 00:40:44.640]   you could clearly say that this was demonic, that you identify this demonic?
[00:40:44.640 --> 00:40:48.720]   Fourth, what is something specific you can engage in today to be more spiritually aware
[00:40:48.720 --> 00:40:52.020]   and engage in the spiritual battle that we are called to fight?
[00:40:52.020 --> 00:40:54.020]   Are you aware that there's a spiritual battle?
[00:40:54.020 --> 00:40:56.760]   Are you actively engaged in this spiritual battle?
[00:40:56.760 --> 00:41:01.660]   What specific things can we participate in to be more sensitive to the spiritual battle
[00:41:01.660 --> 00:41:04.560]   and to be actively participating in this battle?
[00:41:04.560 --> 00:41:06.360]   Okay, so that's the discussion question.
[00:41:06.360 --> 00:41:07.360]   All right?
[00:41:07.360 --> 00:41:16.840]   Let me pray for us and then I'll let you guys go to your small group.
[00:41:16.840 --> 00:41:22.360]   Heavenly Father, we want to thank you for the sober reminder of what is to come, whether
[00:41:22.360 --> 00:41:29.040]   that happens within our lifetime or after we fall asleep and sometime in the future.
[00:41:29.040 --> 00:41:35.040]   We know, Father God, that the end is certain and that you are a God who is completely sovereign
[00:41:35.040 --> 00:41:37.720]   over all things.
[00:41:37.720 --> 00:41:44.000]   Help us, Lord, live day to day, consistent with the faith that we confess, that we do
[00:41:44.000 --> 00:41:48.680]   not hold on to the gospel, we do not hold on to the hope of the cross, Lord God, like
[00:41:48.680 --> 00:41:56.660]   a security blanket, being satisfied that we bought a free ticket to heaven.
[00:41:56.660 --> 00:42:00.680]   Help us, Lord God, truly live up to the calling that you have given us.
[00:42:00.680 --> 00:42:03.440]   Help us to see the world as you see it.
[00:42:03.440 --> 00:42:08.520]   Help us, Lord God, not to be entangled with civilian affairs, that we may please the commanding
[00:42:08.520 --> 00:42:13.840]   officer who has called us from this empty way of life to live a life truly worthy, Lord
[00:42:13.840 --> 00:42:15.960]   God, of your calling.
[00:42:15.960 --> 00:42:20.720]   So I pray that in our discussion that your Holy Spirit would guide and lead us, that
[00:42:20.720 --> 00:42:25.340]   you would allow our hearts to be softened to hear your word.
[00:42:25.340 --> 00:42:30.240]   Help us, Lord God, to speak the truth in love to one another, that we may sharpen one another,
[00:42:30.240 --> 00:42:33.440]   how to spur one another on toward love and good deeds.
[00:42:33.440 --> 00:42:38.520]   Lord, we are weak in our flesh, but we know that you are strong in the Spirit.
[00:42:38.520 --> 00:42:40.920]   So we pray, Father God, that your Holy Spirit would lead and guide.
[00:42:40.920 --> 00:42:42.560]   In Jesus' name we pray, amen.

