
[00:00:00.000 --> 00:00:04.000]   [audio cuts out]
[00:22:54.000 --> 00:22:58.000]   I still feel sad and occasionally scared that my grandpa is physically absent,
[00:22:58.000 --> 00:23:02.000]   but the words of Isaiah 41.10 calmed my fears
[00:23:02.000 --> 00:23:06.000]   and anxiety and gave me strength to pursue a life with Christ.
[00:23:06.000 --> 00:23:10.000]   While I was previously walking lost in the dark, I am now walking in Christ.
[00:23:10.000 --> 00:23:14.000]   Thank you.
[00:23:14.000 --> 00:23:18.000]   [applause]
[00:23:18.000 --> 00:23:22.000]   [applause]
[00:23:22.000 --> 00:23:26.000]   [applause]
[00:23:26.000 --> 00:23:30.000]   You understand you're going into the water, you're united with Christ in His death.
[00:23:30.000 --> 00:23:34.000]   When you're coming out, you're united with Christ in His resurrected life.
[00:23:34.000 --> 00:23:38.000]   And I baptize you in the name of the Father, the Son, and the Holy Spirit.
[00:23:38.000 --> 00:23:42.000]   [applause]
[00:23:42.000 --> 00:23:46.000]   [applause]
[00:23:46.000 --> 00:23:50.000]   [applause]
[00:23:50.000 --> 00:23:54.000]   [applause]
[00:23:54.000 --> 00:23:58.000]   [applause]
[00:23:58.000 --> 00:24:02.000]   Hi.
[00:24:02.000 --> 00:24:06.000]   I'm Jeremy and this is my testimony.
[00:24:06.000 --> 00:24:10.000]   I know probably most of you guys know that I pretty much grew up here.
[00:24:10.000 --> 00:24:14.000]   I was born into this church.
[00:24:14.000 --> 00:24:18.000]   Sorry, I'm nervous. But yeah, I went to this church my whole life.
[00:24:18.000 --> 00:24:22.000]   I grew up in the church. I learned all the stories.
[00:24:22.000 --> 00:24:26.000]   I learned the Bible pretty well just going to church every Sunday,
[00:24:26.000 --> 00:24:30.000]   my parents being devout Christians. But I don't think I ever really
[00:24:30.000 --> 00:24:34.000]   thought about or comprehended what I actually believed in
[00:24:34.000 --> 00:24:38.000]   probably until like my, until seventh grade. In seventh grade
[00:24:38.000 --> 00:24:42.000]   we moved to a different house and instead of going to a different school
[00:24:42.000 --> 00:24:46.000]   we decided that we would try to, one year of homeschooling.
[00:24:46.000 --> 00:24:50.000]   So my seventh grade year we were homeschooled and it sucked.
[00:24:50.000 --> 00:24:54.000]   [laughter]
[00:24:54.000 --> 00:24:58.000]   I really hated it. I got pulled out of school.
[00:24:58.000 --> 00:25:02.000]   I was away from all my friends and I was at home alone
[00:25:02.000 --> 00:25:06.000]   all the time. I had no social life.
[00:25:06.000 --> 00:25:10.000]   This is around the time where I started puberty.
[00:25:10.000 --> 00:25:14.000]   Emotionally I was very
[00:25:14.000 --> 00:25:18.000]   all over the place and I think I got pretty rebellious
[00:25:18.000 --> 00:25:22.000]   against my parents. So yeah, I just had a lot of
[00:25:22.000 --> 00:25:26.000]   emotional stress during that time. I ended up spending a lot of time
[00:25:26.000 --> 00:25:30.000]   in my room just feeling really lonely and bitter.
[00:25:30.000 --> 00:25:34.000]   I guess that gave me a lot of time to just reflect
[00:25:34.000 --> 00:25:38.000]   upon my life. I guess that's when I really started to question what I believed in.
[00:25:38.000 --> 00:25:42.000]   After all those years of hearing the gospel just like so many times
[00:25:42.000 --> 00:25:46.000]   I think it finally started to make sense to me during that time.
[00:25:46.000 --> 00:25:50.000]   I was finally able to just think about what the gospel meant to me
[00:25:50.000 --> 00:25:54.000]   and I was able to accept that. I finally
[00:25:54.000 --> 00:25:58.000]   understood and was able to realize that
[00:25:58.000 --> 00:26:02.000]   I'm a sinner and that I deserve to be judged by God but
[00:26:02.000 --> 00:26:06.000]   God showed mercy upon me and he gave me the opportunity to receive salvation.
[00:26:06.000 --> 00:26:10.000]   So I mean, yeah, during that time
[00:26:10.000 --> 00:26:14.000]   I was able to accept Christ. I don't know exactly when I did but it was in that
[00:26:14.000 --> 00:26:18.000]   time, my seventh grade year. So I
[00:26:18.000 --> 00:26:22.000]   gave my life to Christ. I repented and I truly believe
[00:26:22.000 --> 00:26:26.000]   that God forgave me of my sins and that I have
[00:26:26.000 --> 00:26:30.000]   hope in a future, in a place
[00:26:30.000 --> 00:26:34.000]   in heaven. Since then there's been a lot of
[00:26:34.000 --> 00:26:38.000]   times, there's been a lot of dry patches, times where I've felt really
[00:26:38.000 --> 00:26:42.000]   distant from God but I look back at all the times that
[00:26:42.000 --> 00:26:46.000]   I've drifted away from God and God's always brought me back to him. I have complete
[00:26:46.000 --> 00:26:50.000]   faith that God was with me in all those times and that's such a good
[00:26:50.000 --> 00:26:54.000]   reminder to me that God will be with me in the future.
[00:26:54.000 --> 00:26:58.000]   I know things are just going to get harder.
[00:26:58.000 --> 00:27:02.000]   There will be a lot more harder obstacles in my way in the future but I know
[00:27:02.000 --> 00:27:06.000]   and I have complete trust that God will take care of me and
[00:27:06.000 --> 00:27:10.000]   yeah, that's my testimony.
[00:27:10.000 --> 00:27:14.000]   [applause]
[00:27:14.000 --> 00:27:18.000]   [applause]
[00:27:18.000 --> 00:27:22.000]   [applause]
[00:27:22.000 --> 00:27:26.000]   [laughter]
[00:27:26.000 --> 00:27:30.000]   [laughter]
[00:27:30.000 --> 00:27:34.000]   And I understand when you go into the water that you're united with
[00:27:34.000 --> 00:27:38.000]   Christ in his death and when you come out you're united with Christ.
[00:27:38.000 --> 00:27:42.000]   [laughter]
[00:27:42.000 --> 00:27:50.000]   [laughter]
[00:27:50.000 --> 00:27:54.000]   [laughter]
[00:27:54.000 --> 00:27:57.920]   (audience applause and cheers)
[00:27:58.860 --> 00:28:02.780]   (audience applause and cheers)
[00:28:02.780 --> 00:28:06.780]   (audience applause and cheers)
[00:28:06.780 --> 00:28:31.260]   - My name is Annette Revelo.
[00:28:31.260 --> 00:28:32.920]   I'm a fourth year at UCI.
[00:28:32.920 --> 00:28:35.580]   In the earlier years of my life,
[00:28:35.580 --> 00:28:38.700]   I grew up in the Seventh-day Adventist church.
[00:28:38.700 --> 00:28:41.660]   I liked it, but I was too young to truly understand
[00:28:41.660 --> 00:28:44.540]   what it meant to follow Christ.
[00:28:44.540 --> 00:28:47.500]   I came because family took my sister and I,
[00:28:47.500 --> 00:28:50.260]   and I'm grateful for my aunt, my dad,
[00:28:50.260 --> 00:28:52.140]   and everyone else that took me to church
[00:28:52.140 --> 00:28:54.400]   practically every Saturday morning.
[00:28:54.400 --> 00:28:58.080]   I won't forget those early morning biscuits
[00:28:58.080 --> 00:29:00.140]   my aunt would make, the omelet, the soy milk,
[00:29:00.140 --> 00:29:03.380]   which were, let's face it, my primary motivators
[00:29:03.380 --> 00:29:05.460]   to attend Sabbath school every morning.
[00:29:05.460 --> 00:29:08.880]   As I grew older, I felt distant from God,
[00:29:08.880 --> 00:29:11.200]   although I knew this in the back of my mind.
[00:29:11.200 --> 00:29:15.000]   I was always motivated by someone else to see God,
[00:29:15.000 --> 00:29:17.740]   whether it be family, friends.
[00:29:17.740 --> 00:29:19.620]   It wasn't something that came to me
[00:29:19.620 --> 00:29:21.980]   as something truly important.
[00:29:21.980 --> 00:29:25.080]   Being inspired by my cousin as she took me
[00:29:25.080 --> 00:29:28.060]   to young adult Bible studies right after I graduated
[00:29:28.060 --> 00:29:31.220]   high school, a part of me wanted to get closer to God
[00:29:31.220 --> 00:29:34.180]   during my college years.
[00:29:34.180 --> 00:29:36.260]   Therefore, right when I started college,
[00:29:36.260 --> 00:29:39.580]   I tried to find a church of fellowship.
[00:29:39.580 --> 00:29:42.580]   In addition, I started my job as a freshman.
[00:29:42.580 --> 00:29:45.220]   In short, I put a lot on my plate
[00:29:45.220 --> 00:29:50.220]   and didn't even let myself properly transition to college.
[00:29:50.220 --> 00:29:54.620]   I felt overwhelmed, and sadly to me,
[00:29:54.620 --> 00:29:56.980]   the main purpose of fellowship was to make friends
[00:29:56.980 --> 00:29:58.700]   and not seek God.
[00:29:58.700 --> 00:30:01.220]   Although I came to church, it was not consistent,
[00:30:01.220 --> 00:30:03.380]   and it didn't come out out of love for God,
[00:30:03.380 --> 00:30:05.940]   but to have the feeling of doing the right thing.
[00:30:05.940 --> 00:30:08.620]   I also tried to read the Bible,
[00:30:08.620 --> 00:30:10.480]   but not in a way that was in depth.
[00:30:10.480 --> 00:30:12.060]   You would think I was doing the right thing,
[00:30:12.060 --> 00:30:14.340]   but I'm making progress with my faith
[00:30:14.340 --> 00:30:17.620]   because I was at least trying, but it was the opposite.
[00:30:17.620 --> 00:30:20.300]   I progressed backwards, falling into sin
[00:30:20.300 --> 00:30:25.300]   by not valuing my time with God and compromising my purity.
[00:30:26.880 --> 00:30:30.820]   The sin drew me away from God, from church, from friends.
[00:30:30.820 --> 00:30:33.620]   Although I would try and come to church,
[00:30:33.620 --> 00:30:36.080]   the gospel would not reach me deeply,
[00:30:36.080 --> 00:30:39.200]   and I would feel discouraged to come back the next week.
[00:30:39.200 --> 00:30:44.980]   Then, two weeks later, two years later, God broke me.
[00:30:44.980 --> 00:30:48.740]   He made me realize how true his words are
[00:30:48.740 --> 00:30:52.660]   by how fallen our society has become and will continue to be.
[00:30:52.660 --> 00:30:57.060]   I was just spiritually awakened by the signs of the times,
[00:30:57.060 --> 00:31:00.780]   but this awakening left me scared,
[00:31:00.780 --> 00:31:04.600]   left me doubting my salvation.
[00:31:04.600 --> 00:31:09.460]   I believed in Christ, but did I live the life of a believer?
[00:31:09.460 --> 00:31:13.400]   This not only left me scared for myself, but my family.
[00:31:13.400 --> 00:31:14.920]   Therefore, I also tried to warn them
[00:31:14.920 --> 00:31:16.920]   from what I thought came out of love,
[00:31:16.920 --> 00:31:19.960]   but what I didn't realize was that it was out of fear.
[00:31:21.000 --> 00:31:23.160]   I knew it was not enough to believe.
[00:31:23.160 --> 00:31:25.840]   I knew that I couldn't face this myself,
[00:31:25.840 --> 00:31:30.840]   and I needed the help of a church to build up my faith.
[00:31:30.840 --> 00:31:34.640]   I re-listened to one of Pastor Peter's sermons online
[00:31:34.640 --> 00:31:38.860]   called To Be a Man After God's Own Heart.
[00:31:38.860 --> 00:31:40.720]   I felt convicted after and realized
[00:31:40.720 --> 00:31:43.440]   that I had been a fan of Jesus,
[00:31:43.440 --> 00:31:47.120]   had I been a fan of Jesus all my life.
[00:31:47.120 --> 00:31:50.820]   I knew that Jesus Christ was the only way
[00:31:50.820 --> 00:31:53.880]   to salvation, but did I truly know what that meant?
[00:31:53.880 --> 00:31:57.480]   Surely enough, God is faithful,
[00:31:57.480 --> 00:31:59.920]   God's timing is always right.
[00:31:59.920 --> 00:32:02.680]   Before returning to church on Sunday,
[00:32:02.680 --> 00:32:07.680]   I sought to talk to a pastor for the convictions I felt.
[00:32:07.680 --> 00:32:09.240]   Therefore, I tried to attend
[00:32:09.240 --> 00:32:13.140]   Berrien's College Bible Study one Friday night.
[00:32:13.140 --> 00:32:18.260]   Praise the Lord, because a new Bible study session
[00:32:18.260 --> 00:32:22.040]   was just starting for the summer that same week.
[00:32:22.040 --> 00:32:27.040]   I knew I had to repent, but how did I know if I was saved?
[00:32:27.040 --> 00:32:31.080]   I asked Pastor Mark this, and he asked me
[00:32:31.080 --> 00:32:34.400]   a very simple question, did I reconcile with God?
[00:32:34.400 --> 00:32:38.480]   He broke it down for me that same night,
[00:32:38.480 --> 00:32:40.480]   and when I came home, I kneeled and prayed
[00:32:40.480 --> 00:32:43.880]   for forgiveness of my sins and accepted Jesus Christ
[00:32:43.880 --> 00:32:45.600]   as my Lord and saver.
[00:32:45.600 --> 00:32:49.440]   I felt broken inside and so small like a child
[00:32:49.440 --> 00:32:52.460]   and desperately wanted him.
[00:32:52.460 --> 00:32:54.540]   It was an amazing feeling.
[00:32:54.540 --> 00:32:58.100]   When I felt all the sin, confusion, doubt, and fear,
[00:32:58.100 --> 00:33:00.660]   I knew there was no better way to meet Christ
[00:33:00.660 --> 00:33:02.660]   than reading the gospel.
[00:33:02.660 --> 00:33:04.580]   For the first time, I came to understand
[00:33:04.580 --> 00:33:07.060]   what it meant to live a life of faith,
[00:33:07.060 --> 00:33:09.340]   because Christ did it himself.
[00:33:09.340 --> 00:33:12.100]   For the first time, I understood the importance
[00:33:12.100 --> 00:33:14.980]   of loving our neighbors, how powerful our God is,
[00:33:14.980 --> 00:33:19.220]   and I understood that we must slowly die to ourselves.
[00:33:19.220 --> 00:33:22.780]   Last, I came to really understand and truly appreciate
[00:33:22.780 --> 00:33:25.820]   the love Jesus Christ had for us when he died
[00:33:25.820 --> 00:33:28.180]   on the cross to pay for all our sins
[00:33:28.180 --> 00:33:33.720]   by reading the gospel and taking BCC.
[00:33:33.720 --> 00:33:37.140]   God really took all my anxiety and my doubt
[00:33:37.140 --> 00:33:40.620]   and has made me really depend on him through his word.
[00:33:40.620 --> 00:33:43.100]   I really hope and pray that I won't drift away,
[00:33:43.100 --> 00:33:46.580]   but by becoming baptized and one with Christ,
[00:33:46.580 --> 00:33:49.980]   I want to proclaim this love that grows more and more
[00:33:49.980 --> 00:33:54.960]   as I seek him by becoming one with my Lord and saver.
[00:33:54.960 --> 00:33:58.940]   In this, I hope to really turn away from my old life
[00:33:58.940 --> 00:34:02.300]   but live a life new, a new focus more
[00:34:02.300 --> 00:34:04.040]   on pursuing to glorify God.
[00:34:04.040 --> 00:34:08.340]   (audience applauding)
[00:34:08.340 --> 00:34:11.180]   (water trickling)
[00:34:11.180 --> 00:34:22.420]   - Dianette, do you understand that you're going
[00:34:22.420 --> 00:34:24.620]   to the water to be united with Christ in his death
[00:34:24.620 --> 00:34:27.180]   and then to return and come out and be united
[00:34:27.180 --> 00:34:29.820]   with Christ in his life of resurrection?
[00:34:29.820 --> 00:34:32.180]   And I baptize you in the name of the Father,
[00:34:32.180 --> 00:34:34.380]   the Son, and the Holy Spirit.
[00:34:36.380 --> 00:34:39.200]   (water trickling)
[00:34:39.200 --> 00:34:42.360]   (audience applauding)
[00:34:42.360 --> 00:34:55.940]   - Hello, my name's Zach Kim,
[00:34:55.940 --> 00:34:59.460]   and I am gonna be sharing with you guys
[00:34:59.460 --> 00:35:00.800]   my testimony today.
[00:35:00.800 --> 00:35:03.500]   So I grew up in the church my whole life
[00:35:03.500 --> 00:35:04.820]   as my dad being the pastor,
[00:35:04.820 --> 00:35:08.020]   and I never really took my faith seriously
[00:35:08.020 --> 00:35:11.500]   until we had a youth group retreat in the eighth grade.
[00:35:11.500 --> 00:35:14.740]   I don't remember most of the things that,
[00:35:14.740 --> 00:35:16.600]   I don't remember a lot of the things that we learned there,
[00:35:16.600 --> 00:35:18.860]   but one thing that I do remember is
[00:35:18.860 --> 00:35:20.420]   (audience laughing)
[00:35:20.420 --> 00:35:22.240]   the story of the prodigal son.
[00:35:22.240 --> 00:35:25.140]   I've heard the story dozens of times
[00:35:25.140 --> 00:35:26.820]   and I never really understood
[00:35:26.820 --> 00:35:29.860]   how beautiful this story really was.
[00:35:29.860 --> 00:35:31.740]   And one of the pastors that was explaining it
[00:35:31.740 --> 00:35:34.340]   at the retreat just explained it in depth
[00:35:34.340 --> 00:35:37.900]   and helped me understand that we're all the prodigal son
[00:35:37.900 --> 00:35:40.340]   having turned away from our father
[00:35:40.340 --> 00:35:43.100]   and how sad God is to see us heading down the wrong path.
[00:35:43.100 --> 00:35:45.140]   But the pastor explained how in the story
[00:35:45.140 --> 00:35:46.940]   the father was looking for his son
[00:35:46.940 --> 00:35:48.860]   to return home every moment,
[00:35:48.860 --> 00:35:50.980]   and how when he saw his son running,
[00:35:50.980 --> 00:35:54.380]   or when he saw his son, he ran to him, embracing him,
[00:35:54.380 --> 00:35:57.620]   and welcoming him with open arms.
[00:35:57.620 --> 00:35:59.460]   And then everyone rejoiced and had a party
[00:35:59.460 --> 00:36:02.220]   because the son was once lost and was now found.
[00:36:02.220 --> 00:36:03.920]   As I heard this true meaning of the story,
[00:36:03.920 --> 00:36:06.500]   I realized how broken and sorrowful God was
[00:36:06.500 --> 00:36:11.500]   to see me heading down, having my back turned towards him.
[00:36:11.500 --> 00:36:13.240]   Treating him the least of my priorities,
[00:36:13.240 --> 00:36:14.860]   denying him daily through my life,
[00:36:14.860 --> 00:36:16.860]   at school, home, or wherever I went,
[00:36:16.860 --> 00:36:19.940]   God still showing his love and compassion towards me.
[00:36:19.940 --> 00:36:21.740]   And at the moment I was so broken,
[00:36:21.740 --> 00:36:24.500]   having my eyes open, seeing God for who he truly was,
[00:36:24.500 --> 00:36:27.620]   I repented truly for the first time at that retreat,
[00:36:27.620 --> 00:36:30.980]   truly meaning my repentance and wanting God to be my savior.
[00:36:30.980 --> 00:36:33.820]   So after that retreat, I came back down from the mountains
[00:36:33.820 --> 00:36:36.540]   and slowly I started to go back to my old way of living,
[00:36:36.540 --> 00:36:39.620]   by cursing at school, cheating, stealing, and so on.
[00:36:39.620 --> 00:36:42.320]   I would repent over and over, and I thought to myself,
[00:36:42.320 --> 00:36:45.540]   forgetting how great God's love is.
[00:36:45.540 --> 00:36:47.340]   And God can't love me anymore,
[00:36:47.340 --> 00:36:49.540]   and I thought to myself that God couldn't love me anymore
[00:36:49.540 --> 00:36:53.060]   'cause I continued to sin over and over again.
[00:36:53.060 --> 00:36:55.500]   But I realized just how sinful we really are,
[00:36:55.500 --> 00:36:58.460]   and that the grace of God and compassion for us
[00:36:58.460 --> 00:37:01.820]   is so much greater than anything we can ever imagine.
[00:37:01.820 --> 00:37:04.220]   So acknowledging that, being a Christian means
[00:37:04.220 --> 00:37:07.140]   that when we sin, we repent of it to God,
[00:37:07.140 --> 00:37:10.780]   acknowledging that we can't do anything on our own,
[00:37:10.780 --> 00:37:12.020]   and fully relying on him,
[00:37:12.020 --> 00:37:13.820]   and that there's no other way to eternal life
[00:37:13.820 --> 00:37:15.300]   than through him.
[00:37:15.300 --> 00:37:18.540]   And again and again, through different times in my life,
[00:37:18.540 --> 00:37:21.060]   I realized how great God's love is.
[00:37:21.060 --> 00:37:23.940]   One thing that just broke me when I realized
[00:37:23.940 --> 00:37:27.100]   how much my parents had showed their love for me,
[00:37:27.100 --> 00:37:31.540]   after getting suspended almost twice from school,
[00:37:31.540 --> 00:37:34.340]   I realized that day my dad, he forgave me
[00:37:34.340 --> 00:37:39.340]   before I even asked for forgiveness.
[00:37:39.340 --> 00:37:41.900]   And one time how...
[00:37:41.900 --> 00:37:51.100]   One time how I cursed about my mom to one of my friends,
[00:37:51.100 --> 00:37:56.100]   how she forgave me before I asked for forgiveness.
[00:37:56.100 --> 00:37:57.880]   I couldn't understand how much,
[00:37:57.880 --> 00:38:00.260]   how they could love me unconditionally.
[00:38:00.260 --> 00:38:01.700]   And I thought about how God's love
[00:38:01.700 --> 00:38:03.300]   is just infinitely much greater
[00:38:03.300 --> 00:38:05.640]   than anyone you can ever imagine,
[00:38:05.640 --> 00:38:08.060]   anyone in your life,
[00:38:08.060 --> 00:38:13.060]   and that he sent his only sign for us to die for our sins
[00:38:13.060 --> 00:38:15.660]   so that we could have a chance to be with him in heaven.
[00:38:15.660 --> 00:38:18.380]   Before I knew Christ, I was lost, but now I'm found.
[00:38:18.380 --> 00:38:20.620]   I was blind and now I can see.
[00:38:20.620 --> 00:38:21.860]   I was once without purpose,
[00:38:21.860 --> 00:38:24.380]   but now my purpose is to glorify God
[00:38:24.380 --> 00:38:26.220]   in all aspects of my life.
[00:38:26.220 --> 00:38:28.220]   And when I fail, I will continue to get back up
[00:38:28.220 --> 00:38:30.780]   knowing that there is something much greater
[00:38:30.780 --> 00:38:34.420]   for me and you and for everyone who believes in Christ Jesus,
[00:38:34.420 --> 00:38:36.580]   our Lord, which is eternal life with him.
[00:38:36.580 --> 00:38:37.420]   Thank you.
[00:38:37.420 --> 00:38:40.580]   (audience applauding)
[00:38:40.580 --> 00:38:54.060]   - You understand that when you go into the water,
[00:38:54.060 --> 00:38:56.580]   you're united with Christ in death,
[00:38:56.580 --> 00:38:58.860]   and that when you come out, you're united with Christ
[00:38:58.860 --> 00:39:00.020]   in his life and resurrection?
[00:39:00.020 --> 00:39:00.860]   - Yes.
[00:39:00.860 --> 00:39:04.020]   - And I baptize you in the name of the Father, the Son,
[00:39:04.020 --> 00:39:05.680]   and the Holy Spirit.
[00:39:05.680 --> 00:39:11.240]   (audience applauding)
[00:39:11.240 --> 00:39:14.240]   (audience cheering)
[00:39:14.240 --> 00:39:17.400]   (audience applauding)
[00:39:17.400 --> 00:39:20.560]   (audience applauding)
[00:39:20.560 --> 00:39:23.720]   (audience applauding)
[00:39:23.720 --> 00:39:26.880]   (audience applauding)

