
[00:00:00.000 --> 00:00:06.000]   [ Inaudible ]
[00:24:35.000 --> 00:24:41.000]   And when time and age are shown, you will die a million deaths.
[00:24:41.000 --> 00:24:45.000]   Worship power, and you will end up feeling weak and afraid.
[00:24:45.000 --> 00:24:50.000]   And you will end up needing more power over others to numb you to your own fear.
[00:24:50.000 --> 00:24:54.000]   Worship your intellect, being seen as smart.
[00:24:54.000 --> 00:25:00.000]   And you will end up feeling stupid, a fraud, always on the verge of being found out.
[00:25:00.000 --> 00:25:06.000]   The insidious thing about these forms of worship is not that they are evil or sinful.
[00:25:06.000 --> 00:25:09.000]   It is that they are unconscious.
[00:25:09.000 --> 00:25:14.000]   They are default settings, end quote.
[00:25:14.000 --> 00:25:17.000]   Now that statement is profound.
[00:25:17.000 --> 00:25:24.000]   Especially when you consider the fact that David Foster Wallace was not himself a believer. He wasn't a Christian.
[00:25:24.000 --> 00:25:30.000]   In fact, only a few years after he wrote those words, Wallace took his own life.
[00:25:30.000 --> 00:25:38.000]   But before he tragically committed suicide, I think Wallace understood something very fundamental about the nature of worship.
[00:25:38.000 --> 00:25:41.000]   Namely how it's universal in nature.
[00:25:41.000 --> 00:25:45.000]   Again, it's not something that's restricted to Christians alone.
[00:25:45.000 --> 00:25:49.000]   Friends, you and I are hardwired to worship.
[00:25:49.000 --> 00:25:54.000]   It's embedded into the very fabric of who we are.
[00:25:54.000 --> 00:26:04.000]   When we're watching sports on television, and we applaud and cheer for our favorite athlete or team, we're worshiping.
[00:26:04.000 --> 00:26:14.000]   When we hear someone who's getting music to be in, that musician is a rallying performance that prompts us to rise from our seats in standing ovation, we worship.
[00:26:14.000 --> 00:26:24.000]   When we see that celebrity walking down the street, and we rush up to him or to her, and we ask for a selfie, we ask for an autograph, we're worshiping.
[00:26:24.000 --> 00:26:29.000]   Worship is the default setting of the human heart.
[00:26:29.000 --> 00:26:35.000]   And that is why as Christians, we need to do something distinct in our worship.
[00:26:35.000 --> 00:26:37.000]   It's not enough that we're worshiping.
[00:26:37.000 --> 00:26:49.000]   We need to make sure that the kind of worship that we are offering up to God is specifically God-focused, that it's God-centric.
[00:26:49.000 --> 00:26:54.000]   So that the starting point for any discussion of worship needs to begin with God.
[00:26:54.000 --> 00:26:58.000]   For God is the only one truly worthy of our worship.
[00:26:58.000 --> 00:27:08.000]   And so the deeper and greater our appreciation for God is, the more authentic our worship of him will become.
[00:27:08.000 --> 00:27:15.000]   So to help us do that, I want to call your attention now to a very long little passage of Scripture, Isaiah chapter 6.
[00:27:15.000 --> 00:27:19.000]   Go ahead and turn your Bibles with me to Isaiah 6.
[00:27:19.000 --> 00:27:26.000]   And no doubt as you guys are turning there, I would acknowledge that many of us have probably studied through this passage before.
[00:27:26.000 --> 00:27:31.000]   You guys are probably concerned about this passage, read books about this passage.
[00:27:31.000 --> 00:27:48.000]   But even despite our familiarity with this passage, I think Isaiah 6 is still absolutely essential to lay out that groundwork, that framework and foundation for the exercise of Christian worship, both in our lives as well as the life of this church.
[00:27:48.000 --> 00:27:55.000]   And while I'm on the subject, nothing I'm going to be saying this weekend is going to be particularly earth-shattering or paradise-shaking.
[00:27:55.000 --> 00:28:04.000]   My goal is very simple. I just want to remind you guys of the old truths in hopes of renewing your vision for ministry here at Marina.
[00:28:04.000 --> 00:28:09.000]   So with that, let me go ahead and read the passage for us in Isaiah 6, beginning in verse 1.
[00:28:12.000 --> 00:28:20.000]   "In the year that King Uzziah died, I saw the Lord sitting upon a throne, high and lifted up.
[00:28:20.000 --> 00:28:33.000]   And the tree of Israel filled its height. Above him stood a seraph, each had six wings, with two he covered his face, and with two he covered his feet, and with two he flew.
[00:28:33.000 --> 00:28:44.000]   And one called to another and said, 'Holy, holy, holy is the Lord of the coasts. The whole earth is full of his glory.'
[00:28:44.000 --> 00:28:51.000]   And the foundations and the thresholds shook, and voices in him called, and the house was filled with smoke.
[00:28:51.000 --> 00:29:06.000]   And I said, 'Woe is me, for I am lost, for I am a man of unclean lips, and I dwell amidst a people of unclean lips. For my eyes have seen the King, the Lord of the coasts.'
[00:29:06.000 --> 00:29:13.000]   Then one of the seraphim flew to me, having in his hand a burning coal that he had taken with palms from the altar.
[00:29:13.000 --> 00:29:24.000]   And he touched my mouth and said, 'Behold, this has touched your lips. Your guilt is taken away, and your sin atoned for.'"
[00:29:24.000 --> 00:29:30.000]   This chapter, as you guys can see, leads off with a chronological note.
[00:29:30.000 --> 00:29:34.000]   That helps us to better understand the historical context behind this passage.
[00:29:34.000 --> 00:29:39.000]   Again, verse 1 begins, "In the year that King Uzziah died."
[00:29:39.000 --> 00:29:48.000]   Scholars believe that this scene is taking place sometime around 740 B.C., which is when King Uzziah passed away.
[00:29:48.000 --> 00:29:51.000]   Now, just a brief history lesson.
[00:29:51.000 --> 00:30:01.000]   Throughout its long and oftentimes troubled history, Judah had cycled through a number of evil and wicked kings.
[00:30:01.000 --> 00:30:07.000]   But King Uzziah, the king that's mentioned here, he was different.
[00:30:07.000 --> 00:30:14.000]   Uzziah was one of those rare kings that actually proved to be a blessing to God's people.
[00:30:14.000 --> 00:30:20.000]   He took the throne at the tender age of 16, and with the help and oversight of the prophet named Zechariah,
[00:30:20.000 --> 00:30:26.000]   Uzziah ended up ruling in Judah for a period of 52 years.
[00:30:26.000 --> 00:30:30.000]   And for the most part, Uzziah was a pretty good king.
[00:30:30.000 --> 00:30:43.000]   The Bible tells us that Uzziah did what was "right" in the eyes of the Lord, which is a stark contrast to the way that Scripture generally portrayed most of Judah's kings,
[00:30:43.000 --> 00:30:48.000]   who unfortunately oftentimes led the people of God into great sin and idolatry.
[00:30:48.000 --> 00:30:52.000]   But again, Uzziah was a difference.
[00:30:52.000 --> 00:30:56.000]   For his part, Uzziah did his very best to honor the Lord.
[00:30:56.000 --> 00:31:02.000]   And as a result, his reign was marked by great prosperity and economic growth.
[00:31:02.000 --> 00:31:07.000]   Among his many achievements, Uzziah reorganized and strengthened Judah's armies.
[00:31:07.000 --> 00:31:12.000]   He built a series of walls and defense towers that then fortified and protected the country.
[00:31:12.000 --> 00:31:18.000]   He even devised a brand new water system, which helped the people to more efficiently grow their crops.
[00:31:18.000 --> 00:31:22.000]   And so, safe to say, Uzziah was a popular king.
[00:31:22.000 --> 00:31:31.000]   But sadly, there was this incident that took place near the end of his life that forever tarnished his reputation and legacy.
[00:31:31.000 --> 00:31:41.000]   In an act of pride, in an act of defiance, Uzziah entered the Temple of God to burn incense.
[00:31:41.000 --> 00:31:45.000]   Now that may not seem like a very big deal to you or to me,
[00:31:45.000 --> 00:31:54.000]   but the Mosaic Law clearly stipulated that the sacred act of ritual incense burning was to be limited to priests, and to priests alone.
[00:31:54.000 --> 00:31:59.000]   And the problem was, Uzziah wasn't a priest. He was a king.
[00:31:59.000 --> 00:32:09.000]   And so, in direct response to this act of transgression, what God did was He judged Uzziah by infecting the king with leprosy.
[00:32:09.000 --> 00:32:18.000]   Immediately, he broke out into his sores, and Uzziah was suddenly, ritually unclean.
[00:32:18.000 --> 00:32:24.000]   No longer could Uzziah worship at the Temple. No longer could he rule in his palace.
[00:32:24.000 --> 00:32:31.000]   In fact, Uzziah's ceremonial impurity actually forced him to hand off his kingdom to his son, Jonathan,
[00:32:31.000 --> 00:32:37.000]   who ruled in his father's place for about ten years before Uzziah had passed away.
[00:32:37.000 --> 00:32:43.000]   So this was a really sad end to an otherwise good king.
[00:32:43.000 --> 00:32:48.000]   But even though Uzziah's reign ended on this relatively sour note,
[00:32:48.000 --> 00:32:57.000]   the people of Judah, the people of his kingdom, would not completely forget all the good that this man had done.
[00:32:57.000 --> 00:33:03.000]   In fact, Judah's neighbors to the north, the kingdom of Israel, they weren't even around at this time.
[00:33:03.000 --> 00:33:09.000]   By the time Isaiah, the prophet, began his prophetic ministry, just twenty years before,
[00:33:09.000 --> 00:33:15.000]   the Assyrians had come and laid waste to the kingdom of Israel, the northern kingdom.
[00:33:15.000 --> 00:33:19.000]   Why? Because the kings of Israel were wicked.
[00:33:19.000 --> 00:33:25.000]   And therefore, the people of Israel were wicked as well. So God judged them for their sins.
[00:33:25.000 --> 00:33:32.000]   But while Judah's, but while Israel's kings were bad and led the kingdom into this idolatry,
[00:33:32.000 --> 00:33:39.000]   which eventually led them to their captivity, Judah's kings, here in my vision,
[00:33:39.000 --> 00:33:46.000]   men like Uzziah Hezekiah, would lead the people to God.
[00:33:46.000 --> 00:33:51.000]   The point being, that despite what had happened to the northern kingdom, the southern kingdom,
[00:33:51.000 --> 00:33:58.000]   the kingdom of Judah, where this scene is taking place, the kingdom of Judah was still alive in the kingdom.
[00:33:58.000 --> 00:34:04.000]   And Uzziah was a big part of the reason why. For most of his reign, despite how it ended,
[00:34:04.000 --> 00:34:08.000]   for most of his reign, he had chosen to follow the Lord.
[00:34:08.000 --> 00:34:11.000]   And he encouraged the people of his kingdom to do the same.
[00:34:11.000 --> 00:34:17.000]   And as a result of his obedience, the nation had received blessing from God.
[00:34:17.000 --> 00:34:20.000]   This was the kind of king that Uzziah was.
[00:34:20.000 --> 00:34:26.000]   And so when he died, the people of Judah, they went to his morgue.
[00:34:26.000 --> 00:34:34.000]   It's much like what happened in our country in the 60s when President John F. Kennedy got shot and killed.
[00:34:34.000 --> 00:34:40.000]   When news of his assassination reached the airwaves, many people didn't know how to react.
[00:34:40.000 --> 00:34:44.000]   They were sad and secure that they had lost their charismatic leader.
[00:34:44.000 --> 00:34:48.000]   And in the same way that King Uzziah died, the citizens of Judah,
[00:34:48.000 --> 00:34:54.000]   they felt like they had lost one of the best and strongest leaders that they had ever known.
[00:34:54.000 --> 00:35:01.000]   And so this was the historical backdrop which serves as a context for Isaiah's encounter with the Lord.
[00:35:01.000 --> 00:35:07.000]   The king of great promise, the king of great acclaim, had just passed away.
[00:35:07.000 --> 00:35:11.000]   And the people were reeling in their sorrow.
[00:35:11.000 --> 00:35:18.000]   But even though the king had just died, the throne was not left unattended.
[00:35:18.000 --> 00:35:27.000]   For Isaiah was soon about to see that there was another king, a far greater king, who was reigning in Uzziah's place.
[00:35:27.000 --> 00:35:29.000]   Which brings us to our first point.
[00:35:29.000 --> 00:35:35.000]   Worship the God of holiness.
[00:35:35.000 --> 00:35:39.000]   According to verse 1, Isaiah had gone to the temple.
[00:35:39.000 --> 00:35:42.000]   For one reason, we're not exactly sure.
[00:35:42.000 --> 00:35:48.000]   It may have been because the king had just died and Isaiah was confused and he, like the rest of the nation of Judah,
[00:35:48.000 --> 00:35:50.000]   was curious about what was going to happen next.
[00:35:50.000 --> 00:35:55.000]   Or maybe Isaiah just went to spend time in private prayer and to commune with the Lord.
[00:35:55.000 --> 00:35:56.000]   We're not exactly sure.
[00:35:56.000 --> 00:36:02.000]   But whatever the case might be, nothing would prepare him for what happened next.
[00:36:02.000 --> 00:36:06.000]   Again, verse 1 reads, "In the year that King Uzziah died," Isaiah says,
[00:36:06.000 --> 00:36:12.000]   "I saw the Lord sitting upon the throne, high and lifted up."
[00:36:12.000 --> 00:36:17.000]   So here, Isaiah experiences a vision.
[00:36:17.000 --> 00:36:22.000]   He's standing inside the temple, but what he sees is not Uzziah on the throne,
[00:36:22.000 --> 00:36:27.000]   not Jotun, Uzziah's son, but God.
[00:36:27.000 --> 00:36:33.000]   And even though God is the one who's sitting, Isaiah observes that he is high and lifted up.
[00:36:33.000 --> 00:36:38.000]   And so immediately we understand this is not a ordinary king.
[00:36:38.000 --> 00:36:40.000]   He's a king above everything.
[00:36:40.000 --> 00:36:43.000]   His throne is above everything.
[00:36:43.000 --> 00:36:50.000]   For despite the fact that Isaiah, the prophet, is the one standing up and God is the one sitting down,
[00:36:50.000 --> 00:36:54.000]   it's the prophet who finds himself tilting his head upwards
[00:36:54.000 --> 00:37:03.000]   as he strains to take in the scope and the grandeur and the majesty of this glorious king.
[00:37:03.000 --> 00:37:09.000]   Isaiah then goes on to describe how the train of God's robe fills the temple.
[00:37:09.000 --> 00:37:17.000]   Earlier this year, the royal wedding took place between Prince Harry and actress Meghan Markle.
[00:37:17.000 --> 00:37:20.000]   I'm sure some of you guys followed it on the news.
[00:37:20.000 --> 00:37:27.000]   Well, long before there was a Harry and Meghan, there was Charles and Diana.
[00:37:27.000 --> 00:37:36.000]   Charles, Prince of Wales, was wed to Lady Diana Spencer on July 29, 1981.
[00:37:36.000 --> 00:37:45.000]   And the wedding dress that Diana had on that morning had a train that measured 25 feet long.
[00:37:45.000 --> 00:37:54.000]   In fact, so long was this train that Diana had trouble getting into the car that had been assigned to transport her to the wedding ceremony.
[00:37:54.000 --> 00:38:00.000]   Well, likewise, in the ancient Near East, the length of a monarch's robe was a measuring stick
[00:38:00.000 --> 00:38:07.000]   that indicated how honorable or how much dignity that particular monarch had.
[00:38:07.000 --> 00:38:15.000]   As Isaiah sees God seated on his throne, he immediately notices the train of God's robe filling the temple.
[00:38:15.000 --> 00:38:25.000]   So again, Isaiah knows, and we know, that this is not your average train because this is not your average king.
[00:38:25.000 --> 00:38:27.000]   Verse 2.
[00:38:27.000 --> 00:38:37.000]   "Above him stood a seraphim, each had six wings, with two he covered his face, and with two he covered his feet, and with two he flew."
[00:38:37.000 --> 00:38:44.000]   The Bible's portrayal of angels is a far cry from what we see generally portrayed in pop culture today.
[00:38:44.000 --> 00:38:53.000]   Whether it's in artwork or in movies or on television programs, I think angels are generally depicted as these cute and cuddly creatures, right?
[00:38:53.000 --> 00:38:57.000]   Totally harmless, totally gentle in every way.
[00:38:57.000 --> 00:39:03.000]   But this is what we need to unlearn and undo some of the bad theology we've inherited from the world around us.
[00:39:03.000 --> 00:39:09.000]   Let me give you guys a little rundown on how scripture describes angelic beings.
[00:39:09.000 --> 00:39:18.000]   Throughout the Bible, angels are referred to by such terms as dominions, rulers, powers, and principalities.
[00:39:18.000 --> 00:39:22.000]   They're introduced as judges and righteousness.
[00:39:22.000 --> 00:39:30.000]   In 2 Samuel, it's the angels who bring about a plague upon the nation of Israel when God's people sin.
[00:39:30.000 --> 00:39:36.000]   In 2 Chronicles, it's the angels who eradicate the leaders of the Assyrian army.
[00:39:36.000 --> 00:39:44.000]   In the book of Acts, it's an angel who strikes Herod dead when he refuses to give glory to God.
[00:39:44.000 --> 00:39:51.000]   In the book of Revelation, it's the angels who are assigned to pour out the bowels of God's judges upon the earth.
[00:39:51.000 --> 00:39:56.000]   So make no mistake about it, angels are not cute and cuddly.
[00:39:56.000 --> 00:39:59.000]   They're oppressive beings.
[00:39:59.000 --> 00:40:08.000]   But having said that, the specific kind of angels that we see here in this text, they're even more oppressive, for they're called "seraphim."
[00:40:08.000 --> 00:40:12.000]   The word means "burning ones."
[00:40:12.000 --> 00:40:15.000]   They exude power and strength.
[00:40:15.000 --> 00:40:21.000]   And virtually anyone who saw a good lightning trembled before their presence.
[00:40:21.000 --> 00:40:27.000]   And yet in this passage, no one is cowering before these angels.
[00:40:27.000 --> 00:40:30.000]   Rather, it's the angels who are cowering.
[00:40:30.000 --> 00:40:35.000]   They are cowering before the presence of Almighty God.
[00:40:35.000 --> 00:40:40.000]   Isaiah observes, as he looks upon these seraphim, that they have six wings.
[00:40:40.000 --> 00:40:47.000]   With two, they fly. With two, they cover their face. With two, they cover their feet.
[00:40:47.000 --> 00:40:54.000]   They cover their face because they do not dare gaze upon the glory of God on the structure.
[00:40:54.000 --> 00:41:01.000]   They cover their feet to demonstrate their humility and unworthiness before Him.
[00:41:01.000 --> 00:41:10.000]   So even anatomically, even physiologically, these angels are demonstrating the power and glory of this King.
[00:41:10.000 --> 00:41:20.000]   They're doing everything they can to shield and protect themselves from being consumed by the radiance of this King who sits upon the throne.
[00:41:20.000 --> 00:41:28.000]   Church, what we're observing here in this passage is the ultimate worship service.
[00:41:28.000 --> 00:41:32.000]   In Isaiah, the prophet, he's giving us a front row seat.
[00:41:32.000 --> 00:41:43.000]   In verse 3, he goes on to say that the heavenly court is filled with the voices of these angelic choirs as they shout out in song and exultation of God's name.
[00:41:43.000 --> 00:41:51.000]   Back and forth, they cry, "Holy, holy, holy," is the word of the host.
[00:41:51.000 --> 00:42:00.000]   To refer to God as holy was to ascribe Him a uniqueness that was unlike anything else.
[00:42:00.000 --> 00:42:08.000]   The root word for holy means to cut or to separate, which is simply to say that God is totally distinct.
[00:42:08.000 --> 00:42:13.000]   He's totally un- he's completely set apart.
[00:42:13.000 --> 00:42:18.000]   In short, there's nobody like Him. He's in a class all of His own.
[00:42:18.000 --> 00:42:24.000]   As a matter of fact, this is what God says of Himself in Isaiah 40, verse 25.
[00:42:24.000 --> 00:42:33.000]   "To whom, then, will you compare Me that I should be like Him?" says the Holy One.
[00:42:33.000 --> 00:42:37.000]   To whom shall we compare Him? Who is like our God?
[00:42:37.000 --> 00:42:42.000]   Exodus 15, 11, "Who is like you, O Lord, among the gods? Who is like you?"
[00:42:42.000 --> 00:42:45.000]   And the answer, of course, is no one.
[00:42:45.000 --> 00:42:49.000]   No one is like our God.
[00:42:49.000 --> 00:42:55.000]   And that's precisely what a Bible means when it says that God is whole.
[00:42:55.000 --> 00:42:59.000]   In fact, if you go to the pages of the Old Testament, you will see for yourself
[00:42:59.000 --> 00:43:06.000]   that God's holiness is mentioned far more often than any other attribute.
[00:43:06.000 --> 00:43:12.000]   So frequent are the references to God's holiness that if we were to take the total number of times
[00:43:12.000 --> 00:43:15.000]   that God's holiness is mentioned in the Hebrew Scripture,
[00:43:15.000 --> 00:43:21.000]   and we compared that against the total number of times that His other attributes are talked about combined,
[00:43:21.000 --> 00:43:26.000]   the references to God's holiness would still exceed them all.
[00:43:26.000 --> 00:43:35.000]   So holy was this God that anything linked or associated with Him was also considered to be holy as well.
[00:43:35.000 --> 00:43:41.000]   It didn't matter if it was a person, or if it was an object, or if it was a thing.
[00:43:41.000 --> 00:43:44.000]   It could have been something as mundane and ordinary as a bowl.
[00:43:44.000 --> 00:43:52.000]   A bowl could be considered holy if it was linked or associated with the worship of God.
[00:43:52.000 --> 00:43:57.000]   And likewise, the Jews were said to be a holy people because they were God's people.
[00:43:57.000 --> 00:44:01.000]   And the Temple was said to be a holy temple because it was God's Temple.
[00:44:01.000 --> 00:44:05.000]   And Jerusalem was nicknamed the Holy City because it was God's City.
[00:44:05.000 --> 00:44:08.000]   And on and on I could go.
[00:44:08.000 --> 00:44:16.000]   But also notice here, the Seraphim, they're not content with a casting reference to God's holiness.
[00:44:16.000 --> 00:44:20.000]   No, they repeat the fact that God is holy.
[00:44:20.000 --> 00:44:24.000]   Three consecutive times.
[00:44:24.000 --> 00:44:29.000]   Nowadays, of course, if you want to make something emphatic, what we do is place it in capital letters,
[00:44:29.000 --> 00:44:31.000]   in bold-faced text.
[00:44:31.000 --> 00:44:34.000]   We throw some exclamation points at the end of the sentence.
[00:44:34.000 --> 00:44:37.000]   But in ancient Heresies, they didn't do those things.
[00:44:37.000 --> 00:44:43.000]   Instead, they simply used repetition as their preferred way of communicating the importance of something.
[00:44:43.000 --> 00:44:45.000]   But here's the thing, though.
[00:44:45.000 --> 00:44:50.000]   While it was totally conventional at this time to repeat something twice,
[00:44:50.000 --> 00:44:56.000]   it was entirely unprecedented to repeat something three consecutive times.
[00:44:56.000 --> 00:45:00.000]   And yet that's exactly what we find the Seraphim doing here.
[00:45:00.000 --> 00:45:05.000]   They're crying out, "Hold! Hold! Hold!"
[00:45:05.000 --> 00:45:15.000]   As if mentioning God's holiness just one time couldn't possibly do justice to the fullest extent of who this God was.
[00:45:15.000 --> 00:45:23.000]   Commentators may refer to the Seraphim's three-fold repetition of God's holiness as a super superlative.
[00:45:23.000 --> 00:45:27.000]   A creative, yet innovative use of Hebrew grammar,
[00:45:27.000 --> 00:45:34.000]   expressly designed to communicate the sheer otherness of God's nature and being.
[00:45:34.000 --> 00:45:44.000]   That same chorus of "Holy, Holy, Holy" is something that we hear repeated later in God's Word in the book of Revelation.
[00:45:44.000 --> 00:45:49.000]   There, John the Apostle, just like Isaiah the prophet before him, receives a vision from the Lord.
[00:45:49.000 --> 00:45:53.000]   And this is what he records seeing in Revelation 4.8.
[00:45:53.000 --> 00:46:00.000]   And the four living creatures, each of them with six wings, are full of eyes all around and within.
[00:46:00.000 --> 00:46:07.000]   And day and night, they never cease to say, "Holy, Holy, Holy."
[00:46:07.000 --> 00:46:16.000]   It's a Word of God Almighty, who was and is and is to come.
[00:46:16.000 --> 00:46:23.000]   Those are the lyrics to the worship song we'll be singing for all of eternity.
[00:46:23.000 --> 00:46:34.000]   A pronouncement, an exaltation of God's other nature, this wholly set-apart nature.
[00:46:34.000 --> 00:46:44.000]   Why does Scripture, both in this text as well as elsewhere, go to such great lengths to emphasize the fact that God is holy?
[00:46:44.000 --> 00:46:47.000]   Well, the reason is this.
[00:46:47.000 --> 00:46:56.000]   It's because the greater our understanding of God's holiness is, the greater our worship of Him will be.
[00:46:56.000 --> 00:47:01.000]   And that's the reason why we're going at such painstaking lengths to dive into this text.
[00:47:01.000 --> 00:47:04.000]   Because we're talking about worship.
[00:47:04.000 --> 00:47:12.000]   And I can give you guys little practical points, little tips on how to conjure up a little worshipful attitude in your heart.
[00:47:12.000 --> 00:47:19.000]   But the best way to arrive at a heart of worship is to arrive at an understanding of God's holiness.
[00:47:19.000 --> 00:47:27.000]   For again, the greater our understanding of God's holiness is, the greater our worship of Him will be.
[00:47:27.000 --> 00:47:37.000]   See, the fact that God is not just a holy God, but that He's the thrice holy God, means that our worship of Him is not a choice.
[00:47:37.000 --> 00:47:43.000]   It is the required response of all those who have truly met the Lord.
[00:47:43.000 --> 00:47:52.000]   And the more that we understand about His character, the more that we understand about His nature, the better equipped you and I will be to worship Him right now.
[00:47:52.000 --> 00:47:55.000]   And that's why we're looking at this passage.
[00:47:55.000 --> 00:48:01.000]   Because we want to see what Isaiah saw, so that we can worship the God that Isaiah worshipped.
[00:48:01.000 --> 00:48:08.000]   And what we've discovered so far in these opening verses is that God is a God of holiness.
[00:48:08.000 --> 00:48:14.000]   Our second point, worship the God of glory.
[00:48:14.000 --> 00:48:20.000]   In verse 3, the seraphim continue on with their singing.
[00:48:20.000 --> 00:48:27.000]   And they cry out, "The whole earth is full of its glory."
[00:48:27.000 --> 00:48:31.000]   Now what's the difference between holiness and glory?
[00:48:31.000 --> 00:48:36.000]   We use these words so often in the church to describe God, but what exactly is the difference between those two things?
[00:48:36.000 --> 00:48:41.000]   If holiness is God's otherness, the fact that He's set apart, what is glory?
[00:48:41.000 --> 00:48:47.000]   If you think of holiness as something inward, an intrinsic quality central to God's nature,
[00:48:47.000 --> 00:48:56.000]   then think of God's glory as something outward, the visible manifestation of how great God is.
[00:48:56.000 --> 00:49:03.000]   Back pastor John Piper describes the glory of God as a public display of His holiness.
[00:49:03.000 --> 00:49:11.000]   The glory of God is putting the holiness of God on display, on a big screen for the world to see.
[00:49:11.000 --> 00:49:22.000]   And here, the angels are saying that the screen, so to speak, displaying the holiness of God, is all-encompassing.
[00:49:22.000 --> 00:49:27.000]   The whole earth is full of His glory.
[00:49:27.000 --> 00:49:34.000]   The whole earth expresses the glory and the excellency of this God, how?
[00:49:34.000 --> 00:49:37.000]   By worshiping Him.
[00:49:37.000 --> 00:49:50.000]   The earth worships, creation worships, Solomon created, praise Him, sun and moon, praise Him, all these shining stars.
[00:49:50.000 --> 00:49:54.000]   Praise Him, you highest heavens, and you waters above the heavens.
[00:49:54.000 --> 00:50:03.000]   Praise the Lord from the earth, you great sea creatures in all deeps, fire and hail, snow and mist, stormy wind fulfilling His Word.
[00:50:03.000 --> 00:50:15.000]   Mountains and all hills, fruit trees and all cedars, beach and all livestock, creeping things and flying birds, let them praise the name of the Lord.
[00:50:15.000 --> 00:50:18.000]   The whole earth is full of the glory of God.
[00:50:18.000 --> 00:50:25.000]   Psalm 91 says this, the heavens declare the glory of God.
[00:50:25.000 --> 00:50:36.000]   So anytime we step outside, or anytime we visit a national park, and we're beholding the world of Mother Nation, no.
[00:50:36.000 --> 00:50:44.000]   Creation is not to be worshipped, for creation is worshiping its Creator.
[00:50:44.000 --> 00:50:49.000]   Literally speaking, that word "Lord," it means "Heaven."
[00:50:49.000 --> 00:50:53.000]   It's a translation of the Hebrew term "Kabbalah."
[00:50:53.000 --> 00:50:58.000]   You know, today we'll be explaining, we want to try to describe how important a person is.
[00:50:58.000 --> 00:51:03.000]   A lot of times we'll use that expression, "They carry a lot of weight."
[00:51:03.000 --> 00:51:06.000]   And when we say that, we're not saying that they're heavenset, right?
[00:51:06.000 --> 00:51:12.000]   When we say that a person carries a lot of weight, what we're saying is that they're substantial.
[00:51:12.000 --> 00:51:14.000]   In other words, they're not to be dismissed.
[00:51:14.000 --> 00:51:16.000]   They're not to be overlooked.
[00:51:16.000 --> 00:51:18.000]   They're not to be ignored.
[00:51:18.000 --> 00:51:25.000]   And in the same way, God is not to be overlooked, for He is a God of glory.
[00:51:25.000 --> 00:51:33.000]   And I think that's honestly something that our generation in particular has largely failed to understand.
[00:51:33.000 --> 00:51:38.000]   We don't appreciate how glorious our God truly is.
[00:51:38.000 --> 00:51:44.000]   And I think that's the reason why far too often our worship ends up falling flat.
[00:51:44.000 --> 00:51:46.000]   It's impotent.
[00:51:46.000 --> 00:51:48.000]   It's powerless.
[00:51:48.000 --> 00:51:54.000]   And it's because we don't understand the weightiness, the heaviness of the God that we're worshipping.
[00:51:54.000 --> 00:51:56.000]   Instead, what have we done?
[00:51:56.000 --> 00:51:59.000]   We've dumbed God down.
[00:51:59.000 --> 00:52:02.000]   We've brought God down to our level.
[00:52:02.000 --> 00:52:08.000]   We've made Him more palatable, more presentable, more user-friendly.
[00:52:08.000 --> 00:52:13.000]   We've changed and adapted our view of God so that He's just like one of us.
[00:52:13.000 --> 00:52:18.000]   Maybe just a slight tad better, but in the end, just like one of us.
[00:52:18.000 --> 00:52:23.000]   And as a result, we're no longer inspired to praise Him.
[00:52:23.000 --> 00:52:29.000]   David Wells in his book "God in the Waste Camp" famously wrote this, quote,
[00:52:29.000 --> 00:52:37.000]   "The fundamental problem in the evangelical world today is that God does too many consequences upon His truth.
[00:52:37.000 --> 00:52:40.000]   His truth is too distant.
[00:52:40.000 --> 00:52:43.000]   His grace is too ordinary.
[00:52:43.000 --> 00:52:46.000]   His judgment is too benign.
[00:52:46.000 --> 00:52:49.000]   His gospel is too easy.
[00:52:49.000 --> 00:52:53.000]   And His Christ is too common."
[00:52:53.000 --> 00:52:55.000]   And how true that is.
[00:52:55.000 --> 00:52:58.000]   When we walk into church, we scroll in.
[00:52:58.000 --> 00:53:01.000]   We're scrolling into Starbucks.
[00:53:01.000 --> 00:53:07.000]   When we sing these praise songs, we hum them like we're humming to some random song on the radio.
[00:53:07.000 --> 00:53:14.000]   When we pray to this God, this Christ-filled God, the God of whom creation worships,
[00:53:14.000 --> 00:53:17.000]   the whole earth is full of this God, the Lord,
[00:53:17.000 --> 00:53:21.000]   when we pray to Him, our words are often apathetic, indifferent,
[00:53:21.000 --> 00:53:25.000]   maybe even cavalier in their attitude.
[00:53:25.000 --> 00:53:32.000]   But friends, we must remember that our God is the God of the Lord.
[00:53:32.000 --> 00:53:35.000]   Even the inanimate objects inside the temple, they understood this truth.
[00:53:35.000 --> 00:53:37.000]   Take a look at verse 4.
[00:53:37.000 --> 00:53:41.000]   "And the foundations of the thresholds shook at the voice of Him who called,
[00:53:41.000 --> 00:53:46.000]   and the house was filled with smoke."
[00:53:46.000 --> 00:53:49.000]   So the very foundations of the temple,
[00:53:49.000 --> 00:53:53.000]   these lifeless things made up of wood and stone,
[00:53:53.000 --> 00:53:58.000]   they worshiped before this holy and glorious God.
[00:53:58.000 --> 00:54:01.000]   They're shaking and trembling.
[00:54:01.000 --> 00:54:05.000]   The posts and pillars are literally quaking.
[00:54:05.000 --> 00:54:08.000]   The entire roof fills up with smoke.
