
[00:00:00.000 --> 00:00:06.120]   - Good morning, okay.
[00:24:10.680 --> 00:24:12.880]   Not going to be surprised.
[00:24:12.880 --> 00:24:17.280]   You hear of a corrupt religious leader, no one's going to be like, "There's a corrupt
[00:24:17.280 --> 00:24:19.800]   religious leader somewhere."
[00:24:19.800 --> 00:24:21.000]   Nobody's going to be surprised.
[00:24:21.000 --> 00:24:25.280]   In fact, we are inundated with that, right?
[00:24:25.280 --> 00:24:30.560]   When you hear a story of a politician with integrity, you're like, "Wow, that's like
[00:24:30.560 --> 00:24:32.400]   the anomaly," right?
[00:24:32.400 --> 00:24:40.640]   And so that word is connected with submission because submission is connected with leadership
[00:24:40.640 --> 00:24:41.880]   and power.
[00:24:41.880 --> 00:24:47.160]   And if those two things are corrupted, why in the world would I submit?
[00:24:47.160 --> 00:24:48.880]   But it goes even deeper than that.
[00:24:48.880 --> 00:24:52.520]   Oh yes, it goes even deeper.
[00:24:52.520 --> 00:25:01.280]   Even within the church context, the context of a true church, there are many people who
[00:25:01.280 --> 00:25:07.360]   would love to occupy the place of spiritual blessing.
[00:25:07.360 --> 00:25:12.040]   It is not enough that you see God glorified.
[00:25:12.040 --> 00:25:13.800]   No, no.
[00:25:13.800 --> 00:25:18.520]   You want God to use you to glorify himself.
[00:25:18.520 --> 00:25:21.640]   It's not enough for you to stand back and see God working.
[00:25:21.640 --> 00:25:30.160]   You need to be used by God or else God is not glorified.
[00:25:30.160 --> 00:25:32.680]   Even within the context of the church, it seeps in.
[00:25:32.680 --> 00:25:37.040]   I am not saying anything novel here.
[00:25:37.040 --> 00:25:39.160]   We're all kind of there, right?
[00:25:39.160 --> 00:25:42.280]   We've all tasted it to a certain degree.
[00:25:42.280 --> 00:25:44.360]   So all of this is in our head.
[00:25:44.360 --> 00:25:50.280]   This is the context and all of a sudden you hear the word "submission."
[00:25:50.280 --> 00:25:54.400]   I'm very aware of that context, okay?
[00:25:54.400 --> 00:25:58.480]   But let me point, let me paint something else for you, okay?
[00:25:58.480 --> 00:26:00.160]   Sin is around now.
[00:26:00.160 --> 00:26:03.720]   That's why people are corrupt now in government, in religion.
[00:26:03.720 --> 00:26:06.800]   That's why people are corrupt now, okay?
[00:26:06.800 --> 00:26:12.480]   Sin was also around when 1 Corinthians 16 was written, when 1 Thessalonians 5 was written,
[00:26:12.480 --> 00:26:14.400]   when 1 Peter 5 was written.
[00:26:14.400 --> 00:26:20.040]   When Hebrews 13 was written, sin was still around.
[00:26:20.040 --> 00:26:22.360]   Corrupt governments were around.
[00:26:22.360 --> 00:26:24.380]   Corrupt religious leaders were around.
[00:26:24.380 --> 00:26:25.760]   They had seen corrupt governments.
[00:26:25.760 --> 00:26:27.840]   They had seen corrupt politicians.
[00:26:27.840 --> 00:26:31.200]   And you know what else?
[00:26:31.200 --> 00:26:33.200]   This is going to be a tough pill to swallow, okay?
[00:26:33.200 --> 00:26:35.200]   So hold on, okay?
[00:26:35.200 --> 00:26:36.560]   Hold on.
[00:26:36.560 --> 00:26:43.800]   God mediates much of his rule through people.
[00:26:43.800 --> 00:26:50.460]   God mediates much of his rule through people.
[00:26:50.460 --> 00:26:53.040]   You and I don't wake up.
[00:26:53.040 --> 00:26:56.640]   God imparts the clouds and says, "James, this is what you're going to do today.
[00:26:56.640 --> 00:26:57.720]   This is what you're going to say.
[00:26:57.720 --> 00:27:00.560]   You get together with this person and this is what you do."
[00:27:00.560 --> 00:27:04.120]   And I meet that person and that person says, "Yeah, God imparted the clouds this morning
[00:27:04.120 --> 00:27:05.880]   and he told me X, Y, and Z."
[00:27:05.880 --> 00:27:07.440]   "Oh yeah, he told me the same thing."
[00:27:07.440 --> 00:27:08.440]   "That's great.
[00:27:08.440 --> 00:27:09.440]   I follow God and not man."
[00:27:09.440 --> 00:27:10.440]   Right?
[00:27:10.440 --> 00:27:11.440]   "That's great."
[00:27:11.440 --> 00:27:13.360]   That would be awesome.
[00:27:13.360 --> 00:27:15.840]   That would be awesome.
[00:27:15.840 --> 00:27:18.720]   But it doesn't work that way.
[00:27:18.720 --> 00:27:26.880]   God deliberately and intentionally chooses to mediate much of his rule through people,
[00:27:26.880 --> 00:27:30.800]   which is why it says what it says right here.
[00:27:30.800 --> 00:27:36.200]   It says these verses right here because that is the case.
[00:27:36.200 --> 00:27:39.680]   Let me go even deeper than that.
[00:27:39.680 --> 00:27:48.200]   If you don't have a submissive attitude towards your leaders, if you don't have that, it is
[00:27:48.200 --> 00:27:55.940]   indicative of your spiritual maturity or lack thereof.
[00:27:55.940 --> 00:28:02.760]   It is more reminiscent, more indicative of your spiritual immaturity.
[00:28:02.760 --> 00:28:04.160]   Why?
[00:28:04.160 --> 00:28:08.320]   A couple reasons why.
[00:28:08.320 --> 00:28:11.360]   You are enamored with your own ideas.
[00:28:11.360 --> 00:28:15.120]   Your own ideas seem grandiose to you.
[00:28:15.120 --> 00:28:20.360]   And when you are confronted with the fact that there is an apparent deficiency in a
[00:28:20.360 --> 00:28:26.420]   holistic knowledge of the scriptures, it still doesn't change your mind.
[00:28:26.420 --> 00:28:34.460]   Moreover, moreover, Hebrews 13, 17 says, "Obey your leaders and submit to them."
[00:28:34.460 --> 00:28:39.780]   If it says, "Obey your leaders and submit to them," how can you be a mature Christian
[00:28:39.780 --> 00:28:43.700]   and in violation of God's commandment?
[00:28:43.700 --> 00:28:46.040]   How does that work?
[00:28:46.040 --> 00:28:49.960]   You're a mature Christian, but you're in violation of God's commandment.
[00:28:49.960 --> 00:28:53.240]   Maybe you lack a belief in the sovereignty of God.
[00:28:53.240 --> 00:28:55.360]   Did you consider that?
[00:28:55.360 --> 00:29:02.820]   Maybe you lack faith in the way God has designed the institution of the church.
[00:29:02.820 --> 00:29:05.020]   Maybe you lack faith in that.
[00:29:05.020 --> 00:29:08.460]   Because what I've quoted to you is God's word.
[00:29:08.460 --> 00:29:12.500]   I'm not the one that said, "Obey your leaders and submit to them."
[00:29:12.500 --> 00:29:15.620]   I'm not the one that instituted elders.
[00:29:15.620 --> 00:29:18.980]   God has ordained it in that way.
[00:29:18.980 --> 00:29:25.840]   So if you don't have a submissive attitude, a logical conclusion to that is that maybe
[00:29:25.840 --> 00:29:30.140]   you don't have faith in the word of God.
[00:29:30.140 --> 00:29:33.620]   Maybe you don't have faith in the word of God.
[00:29:33.620 --> 00:29:38.740]   Maybe you don't have a complete understanding of the scriptures.
[00:29:38.740 --> 00:29:43.020]   Now I want to put in a plug right here, okay?
[00:29:43.020 --> 00:29:48.100]   Because what I said right now, it is severe and it is cutting.
[00:29:48.100 --> 00:29:53.740]   It is true, but it also cutting and severe.
[00:29:53.740 --> 00:29:57.060]   I want to pull this plug in right now so everyone in here hears it.
[00:29:57.060 --> 00:29:59.920]   This is a personal policy of mine.
[00:29:59.920 --> 00:30:06.220]   If you have a question about anything, is that word exhaustive enough?
[00:30:06.220 --> 00:30:07.580]   Anything, right?
[00:30:07.580 --> 00:30:12.460]   If you have a question about anything, come and ask me.
[00:30:12.460 --> 00:30:15.460]   Just come and ask me.
[00:30:15.460 --> 00:30:18.540]   There's no reason why you should be in the dark.
[00:30:18.540 --> 00:30:21.220]   I don't know what I don't know.
[00:30:21.220 --> 00:30:24.300]   I don't know if you have questions about something.
[00:30:24.300 --> 00:30:28.260]   But if you have a question about something, feel free to come and ask.
[00:30:28.260 --> 00:30:30.700]   Why am I putting this plug here?
[00:30:30.700 --> 00:30:35.420]   I understand how difficult it is to submit.
[00:30:35.420 --> 00:30:36.500]   I understand that.
[00:30:36.500 --> 00:30:40.100]   It's not like I became an elder and I forgot, okay?
[00:30:40.100 --> 00:30:43.700]   Submission in any context is extremely difficult.
[00:30:43.700 --> 00:30:44.700]   Why?
[00:30:44.700 --> 00:30:46.780]   Think about your relationship with God.
[00:30:46.780 --> 00:30:51.740]   You submit to God, not all the time, but you ultimately submit to God because you know
[00:30:51.740 --> 00:30:53.100]   He's good.
[00:30:53.100 --> 00:30:57.100]   And because you know He's good, that helps you to submit, right?
[00:30:57.100 --> 00:31:03.300]   My point is, a lot of times, if you know the why, it'll help with submission.
[00:31:03.300 --> 00:31:09.880]   And I want to do everything humanly possible to make this portion of Christian life easy
[00:31:09.880 --> 00:31:12.180]   breezy for you.
[00:31:12.180 --> 00:31:16.060]   I don't want to speak truth to you and just say, "Good luck with it."
[00:31:16.060 --> 00:31:17.380]   I don't want to do that.
[00:31:17.380 --> 00:31:20.580]   At the same time, I need to speak the truth.
[00:31:20.580 --> 00:31:21.580]   The truth is there.
[00:31:21.580 --> 00:31:23.540]   It's going to make me look a certain way.
[00:31:23.540 --> 00:31:26.060]   Regardless, I still need to speak it.
[00:31:26.060 --> 00:31:30.260]   And I still need to speak what reality actually is.
[00:31:30.260 --> 00:31:38.500]   But I can do what is humanly possible to make this commandment as easy for you as possible.
[00:31:38.500 --> 00:31:43.980]   I think a lot of times, if you know the why, if you just know the why, "Why did we decide
[00:31:43.980 --> 00:31:44.980]   this?
[00:31:44.980 --> 00:31:45.980]   Oh, okay.
[00:31:45.980 --> 00:31:46.980]   Okay.
[00:31:46.980 --> 00:31:47.980]   Oh, why did we decide this?
[00:31:47.980 --> 00:31:48.980]   Well, this is the reason why.
[00:31:48.980 --> 00:31:49.980]   Oh, oh, oh.
[00:31:49.980 --> 00:31:52.020]   You might disagree, but you see that thought was put into it.
[00:31:52.020 --> 00:31:53.020]   Prayer was put into it.
[00:31:53.020 --> 00:31:54.020]   Oh, okay.
[00:31:54.020 --> 00:31:56.780]   I don't necessarily agree, but okay.
[00:31:56.780 --> 00:31:57.780]   Okay."
[00:31:57.780 --> 00:32:03.060]   There is no need for anyone to be just hiding in the back.
[00:32:03.060 --> 00:32:07.220]   There's absolutely no need for that when I've given you an open invitation.
[00:32:07.220 --> 00:32:11.340]   And if anyone is not here, I said the same exact thing at first service.
[00:32:11.340 --> 00:32:14.620]   If anyone is not here, this is an open invitation to the entire church.
[00:32:14.620 --> 00:32:18.420]   You want to ask me about something, feel free to come and ask me.
[00:32:18.420 --> 00:32:24.100]   If it's one person, if it's five people, if it's 10 people, if 20, whatever it is, we
[00:32:24.100 --> 00:32:25.100]   can meet somewhere.
[00:32:25.100 --> 00:32:27.220]   20 of you want to gather together, I'll go there by myself.
[00:32:27.220 --> 00:32:29.300]   I'll answer your questions.
[00:32:29.300 --> 00:32:33.180]   I want to make this as easy as possible for you.
[00:32:33.180 --> 00:32:36.620]   Now, there are some things I might not be able to, like if you ask me, "Well, what does
[00:32:36.620 --> 00:32:37.620]   that person's secret?"
[00:32:37.620 --> 00:32:38.620]   I mean, like, come on.
[00:32:38.620 --> 00:32:39.620]   Right?
[00:32:39.620 --> 00:32:40.620]   I mean, right?
[00:32:40.620 --> 00:32:43.540]   Can't do that, right?
[00:32:43.540 --> 00:32:46.660]   But if it's something that I can help you with, with respect to submission, because
[00:32:46.660 --> 00:32:51.460]   I know how hard it is, it's not like I don't, I still have to exercise submission, obviously,
[00:32:51.460 --> 00:32:53.580]   in many, many different places.
[00:32:53.580 --> 00:32:57.820]   But maybe if you know the why, it'll help.
[00:32:57.820 --> 00:33:06.180]   That is my personal plug to you, knowing that this commandment is difficult.
[00:33:06.180 --> 00:33:12.060]   I want to cover one other rather ugly point as it relates to submission to elders, because
[00:33:12.060 --> 00:33:16.900]   it kind of gives a glimpse as to why it's important and what the elder must do.
[00:33:16.900 --> 00:33:21.140]   But before I do that, I want to read to you two verses.
[00:33:21.140 --> 00:33:25.940]   Second Timothy 2, 14 to 17, and Philippians 2, 14.
[00:33:25.940 --> 00:33:29.100]   Let me read Second Timothy 2, 14 to 17 to you.
[00:33:29.100 --> 00:33:33.620]   It says this, "Remind them of these things and solemnly charge them in the presence of
[00:33:33.620 --> 00:33:38.940]   God, not to wrangle about words which is useless and leads to the ruin of the hearers.
[00:33:38.940 --> 00:33:43.840]   Be diligent to present yourself approved to God as a workman who does not need to be accurately
[00:33:43.840 --> 00:33:49.760]   handling the word of truth, but avoid worldly and empty chatter, for it will lead to further
[00:33:49.760 --> 00:33:55.860]   ungodliness and their talk will spread like gangrene."
[00:33:55.860 --> 00:34:04.180]   Philippians 2, 14 says this, "Do all things without grumbling or disputing."
[00:34:04.180 --> 00:34:11.300]   Part of an elder's job, and perhaps why the scriptures call us to submission, is that
[00:34:11.300 --> 00:34:13.580]   the elders have to deal with this.
[00:34:13.580 --> 00:34:17.380]   Now let me be clear about something.
[00:34:17.380 --> 00:34:21.900]   Every Christian is called to confront and rebuke sin.
[00:34:21.900 --> 00:34:23.480]   Make no mistake about it.
[00:34:23.480 --> 00:34:25.540]   Every single Christian.
[00:34:25.540 --> 00:34:30.940]   There is no job within scripture that is pertaining only to an elder and not to a Christian.
[00:34:30.940 --> 00:34:34.180]   You see sin and you don't rebuke it?
[00:34:34.180 --> 00:34:35.900]   And you think that will fly with Christ?
[00:34:35.900 --> 00:34:37.060]   Doesn't work that way.
[00:34:37.060 --> 00:34:40.220]   So it is every Christian's job.
[00:34:40.220 --> 00:34:45.100]   But, the buck needs to stop with the elders.
[00:34:45.100 --> 00:34:49.860]   The buck needs to stop with the elders.
[00:34:49.860 --> 00:34:53.540]   If there were a person in here, he became a member, right?
[00:34:53.540 --> 00:34:56.260]   And I'm giving an incredibly facetious example.
[00:34:56.260 --> 00:34:57.980]   He decided to become a serial killer.
[00:34:57.980 --> 00:34:58.980]   Right?
[00:34:58.980 --> 00:35:01.380]   And he just goes and he kills three people, right?
[00:35:01.380 --> 00:35:03.140]   And we say, "We rebuke that guy."
[00:35:03.140 --> 00:35:04.900]   Because he's like, "No, I think it's okay to kill people."
[00:35:04.900 --> 00:35:06.540]   We're like, "Oh, it's not okay to kill people."
[00:35:06.540 --> 00:35:08.380]   So we rebuke that guy, right?
[00:35:08.380 --> 00:35:12.180]   I don't think anyone in here would have a problem with that.
[00:35:12.180 --> 00:35:14.300]   Nobody in here would have a problem with that.
[00:35:14.300 --> 00:35:20.620]   Because the remedy is not disproportionate with what we're doing, with his conduct, excuse
[00:35:20.620 --> 00:35:21.620]   me.
[00:35:21.620 --> 00:35:25.020]   The remedy is not disproportionate with the remedy, okay?
[00:35:25.020 --> 00:35:32.540]   But when you engage in godless chatter, and you murmur, and you cause dissension, on a
[00:35:32.540 --> 00:35:40.100]   human level, on a human level, whenever that is dealt with, whenever that is dealt with,
[00:35:40.100 --> 00:35:42.580]   it looks disproportionate.
[00:35:42.580 --> 00:35:44.580]   It looks disproportionate.
[00:35:44.580 --> 00:35:48.180]   That is how we view it in a human worldview.
[00:35:48.180 --> 00:35:49.180]   But what do the...
[00:35:49.180 --> 00:35:50.660]   I get that's the worldview.
[00:35:50.660 --> 00:35:53.100]   But what do the scriptures say?
[00:35:53.100 --> 00:35:55.020]   What do the scriptures say?
[00:35:55.020 --> 00:35:57.900]   It leads to the ruin of the hearers.
[00:35:57.900 --> 00:36:01.020]   Their talk will spread like gangrene.
[00:36:01.020 --> 00:36:04.900]   Philippians 2.14, "Do all things without grumbling or disputing."
[00:36:04.900 --> 00:36:10.340]   So even though you might think it's not a big deal, the scriptures stand in contradiction
[00:36:10.340 --> 00:36:14.100]   to what you believe reality actually is.
[00:36:14.100 --> 00:36:19.460]   And if you think about it for a second, because everyone else thinks it's no big deal, because
[00:36:19.460 --> 00:36:25.500]   everybody else thinks it's no big deal, that's the reason why it could spread.
[00:36:25.500 --> 00:36:30.580]   Serial killing is not going to spread, because nobody thinks it's a big deal.
[00:36:30.580 --> 00:36:34.940]   But that murmuring that's kind of innocent and not innocent, oh, that can spread, and
[00:36:34.940 --> 00:36:36.980]   that can divide.
[00:36:36.980 --> 00:36:41.060]   And be careful that you divide the body of Christ.
[00:36:41.060 --> 00:36:45.300]   Every Christian is called to confront that.
[00:36:45.300 --> 00:36:48.860]   But it stops with the elders.
[00:36:48.860 --> 00:36:50.100]   We should stop with the elders.
[00:36:50.100 --> 00:36:51.980]   That is our job.
[00:36:51.980 --> 00:36:53.660]   That is unenviable, isn't it?
[00:36:53.660 --> 00:36:57.180]   It is extremely unenviable.
[00:36:57.180 --> 00:36:59.340]   I want to say something else here.
[00:36:59.340 --> 00:37:07.500]   I don't want anyone to get the idea that there's some implication that I don't like it when
[00:37:07.500 --> 00:37:09.940]   you ask questions.
[00:37:09.940 --> 00:37:11.700]   I just got through.
[00:37:11.700 --> 00:37:13.420]   Don't distort what I'm saying.
[00:37:13.420 --> 00:37:16.220]   I'm telling you what scripture says.
[00:37:16.220 --> 00:37:19.300]   Don't make an implication that says, "Well, I guess he doesn't like it when questions
[00:37:19.300 --> 00:37:20.300]   are asked."
[00:37:20.300 --> 00:37:21.620]   That is not the case.
[00:37:21.620 --> 00:37:24.220]   I just said, "Ask me any question anytime you want."
[00:37:24.220 --> 00:37:28.980]   But what do the scriptures say?
[00:37:28.980 --> 00:37:30.940]   What do the scriptures say?
[00:37:30.940 --> 00:37:33.920]   It will lead to the ruin of hearers.
[00:37:33.920 --> 00:37:37.580]   Their talk will spread like gangrene.
[00:37:37.580 --> 00:37:39.820]   Every Christian is called to confront it.
[00:37:39.820 --> 00:37:46.100]   But at the very least, the elders must deal with it.
[00:37:46.100 --> 00:37:51.300]   That is a difficult job, and perhaps that's why the commands to submit to elders in part
[00:37:51.300 --> 00:37:53.580]   is given.
[00:37:53.580 --> 00:37:55.420]   Point number three.
[00:37:55.420 --> 00:37:57.540]   Point number three.
[00:37:57.540 --> 00:38:01.380]   The example, the reason, and the goal.
[00:38:01.380 --> 00:38:03.780]   The example, the reason, and the goal.
[00:38:03.780 --> 00:38:06.740]   I'm pretty sure you know who I'm talking about when I say the example, the reason, and the
[00:38:06.740 --> 00:38:09.100]   goal.
[00:38:09.100 --> 00:38:13.720]   I'm going to connect point number one to this point, and I'm going to connect point number
[00:38:13.720 --> 00:38:15.700]   two with this point.
[00:38:15.700 --> 00:38:17.940]   Matthew 21, 12 to 17.
[00:38:17.940 --> 00:38:19.900]   Mark 11, 15 to 18.
[00:38:19.900 --> 00:38:22.860]   Luke 19, 45 through 48.
[00:38:22.860 --> 00:38:24.740]   All describing the same event.
[00:38:24.740 --> 00:38:27.340]   Let me read to you Mark 11, 15 to 18.
[00:38:27.340 --> 00:38:32.460]   "Then they came to Jerusalem, and he entered the temple and began to drive out those who
[00:38:32.460 --> 00:38:36.380]   were buying and selling in the temple, and overturned the temples of the money changers
[00:38:36.380 --> 00:38:38.820]   and the seats of those who were selling doves.
[00:38:38.820 --> 00:38:42.320]   And he would not permit anyone to carry merchandise through the temple.
[00:38:42.320 --> 00:38:46.220]   And he began to teach and say to them, 'Is it not written, my house shall be called a
[00:38:46.220 --> 00:38:50.140]   house of prayer for all the nations, but you have made it a robbers den.'
[00:38:50.140 --> 00:38:54.500]   The chief priests and the scribes heard this and began seeking how to destroy him, for
[00:38:54.500 --> 00:38:59.700]   they were afraid of him, for the whole crowd was astonished at his teaching."
[00:38:59.700 --> 00:39:03.140]   Accountability to what end?
[00:39:03.140 --> 00:39:06.820]   Submission to elders to what end?
[00:39:06.820 --> 00:39:07.820]   Accountability to what end?
[00:39:07.820 --> 00:39:09.700]   Let me ask you.
[00:39:09.700 --> 00:39:18.620]   In your accountability group, it's supposed to lead to Christ-likeness, right?
[00:39:18.620 --> 00:39:24.020]   It's supposed to lead to Christ-likeness.
[00:39:24.020 --> 00:39:29.320]   Does it lead to a Christ in the temple?
[00:39:29.320 --> 00:39:31.820]   Does it lead you to a Christ in the temple?
[00:39:31.820 --> 00:39:35.680]   Everybody wants to be Christ the Lamb.
[00:39:35.680 --> 00:39:41.200]   Everybody wants to be the John 9 Christ, where he says to the blind man, "Go wash," and he
[00:39:41.200 --> 00:39:42.420]   can see.
[00:39:42.420 --> 00:39:43.940]   Everybody wants to be that Christ.
[00:39:43.940 --> 00:39:49.500]   And inwardly, everybody wants to be the Christ that's shouted, "Hosanna, Hosanna."
[00:39:49.500 --> 00:39:53.180]   So you have a picture of who Christ is, don't you?
[00:39:53.180 --> 00:39:58.260]   You have a picture, and you take parts from the Bible, but the whole counsel of God must
[00:39:58.260 --> 00:39:59.460]   be taught.
[00:39:59.460 --> 00:40:07.940]   And if Christ-likeness is the goal in your accountability group, do you remember Christ
[00:40:07.940 --> 00:40:10.280]   in the temple?
[00:40:10.280 --> 00:40:16.100]   When you hear this passage, do you feel a kinship with Christ?
[00:40:16.100 --> 00:40:22.300]   Or is it so far from your spiritual vocabulary that you wouldn't ever dream of doing such
[00:40:22.300 --> 00:40:24.600]   a thing?
[00:40:24.600 --> 00:40:33.280]   Remember Christ, the zeal of God so consumed him that he is okay with being misunderstood.
[00:40:33.280 --> 00:40:36.800]   He is okay with having his reputation destroyed.
[00:40:36.800 --> 00:40:40.560]   He is okay being caricatured.
[00:40:40.560 --> 00:40:45.840]   He is okay with that because of the joy set before him.
[00:40:45.840 --> 00:40:52.760]   Christ in the temple, he is looking at those he would later save through his blood, and
[00:40:52.760 --> 00:40:58.120]   those people are the ones putting him to the cross.
[00:40:58.120 --> 00:41:01.000]   They don't understand what he is doing.
[00:41:01.000 --> 00:41:07.160]   If you and I were alive during this time and we witnessed this event, what would you and
[00:41:07.160 --> 00:41:08.640]   I think?
[00:41:08.640 --> 00:41:11.080]   "Oh, I get what he's doing.
[00:41:11.080 --> 00:41:13.800]   I get what Jesus is doing, but I would have done it more wisely."
[00:41:13.800 --> 00:41:24.400]   Or, "I get what Jesus is doing, but I would have been more loving."
[00:41:24.400 --> 00:41:27.680]   You see the irony of that, right?
[00:41:27.680 --> 00:41:29.960]   Because Christ is love.
[00:41:29.960 --> 00:41:31.800]   Christ has no sin.
[00:41:31.800 --> 00:41:35.680]   He didn't just lose control.
[00:41:35.680 --> 00:41:37.840]   This is actually his second time cleansing the temple.
[00:41:37.840 --> 00:41:42.760]   At least, his second time cleansing the temple.
[00:41:42.760 --> 00:41:49.840]   At the very same time, does your accountability group lead you, and does it include a picture
[00:41:49.840 --> 00:41:52.040]   of Christ in the temple?
[00:41:52.040 --> 00:41:55.680]   Paul says it in a different way, capturing the same concept.
[00:41:55.680 --> 00:42:00.680]   Philippians 3, 7-11 says this, "But whatever things were gained to me, those things I have
[00:42:00.680 --> 00:42:02.880]   counted as loss for the sake of Christ.
[00:42:02.880 --> 00:42:06.960]   More than that, I count all things to be loss in view of the surpassing value of knowing
[00:42:06.960 --> 00:42:10.880]   Christ Jesus my Lord, for whom I have suffered the loss of all things, and count them but
[00:42:10.880 --> 00:42:14.640]   rubbish, so that I may gain Christ, and may be found in him.
[00:42:14.640 --> 00:42:18.400]   Not having a righteousness of my own derived from the law, but that which is through faith
[00:42:18.400 --> 00:42:22.840]   in Christ, the righteousness which comes from God on the basis of faith, that I may know
[00:42:22.840 --> 00:42:30.320]   him and the power of his resurrection, and the fellowship of his sufferings being conformed
[00:42:30.320 --> 00:42:35.760]   to his death, in order that I may attain to the resurrection from the dead."
[00:42:35.760 --> 00:42:43.000]   If Paul had it his way, he would have been transported with Christ in the temple.
[00:42:43.000 --> 00:42:46.600]   Do not forget that picture.
[00:42:46.600 --> 00:42:53.480]   There's another way that Christ in the temple connects with accountability.
[00:42:53.480 --> 00:42:57.920]   The temple is a place where Jews came, or proselytes, Jewish proselytes came to meet
[00:42:57.920 --> 00:42:59.520]   God, right?
[00:42:59.520 --> 00:43:03.160]   The temple is where you come to meet Yahweh.
[00:43:03.160 --> 00:43:10.320]   Where you give your devotion, where you give your time and your sacrifice to Yahweh, right?
[00:43:10.320 --> 00:43:11.320]   Okay.
[00:43:11.320 --> 00:43:15.320]   Jesus cleansed that, okay?
[00:43:15.320 --> 00:43:21.360]   Post-Pentecost, meaning today, where is the temple of God now?
[00:43:21.360 --> 00:43:25.040]   Where is the temple of God now?
[00:43:25.040 --> 00:43:31.600]   First Corinthians 6, 19-20 says this, "Or do you not know that your body is a temple
[00:43:31.600 --> 00:43:36.520]   of the Holy Spirit who is in you, whom you have from God, and that you are not your own?
[00:43:36.520 --> 00:43:39.040]   For you have been bought with a price.
[00:43:39.040 --> 00:43:43.120]   Therefore glorify God in your body."
[00:43:43.120 --> 00:43:48.360]   Therefore glorify God in your body.
[00:43:48.360 --> 00:43:56.400]   In your accountability group, will you allow Christ to cleanse the temple?
[00:43:56.400 --> 00:44:01.880]   And let it be one, as you're good, I'm good, and everything's good, right?
[00:44:01.880 --> 00:44:05.760]   Let it be centered on the very Word of God.
[00:44:05.760 --> 00:44:09.280]   And let Christ cleanse the temple.
[00:44:09.280 --> 00:44:15.320]   Because we are the temple of the Holy Spirit that is in us.
[00:44:15.320 --> 00:44:19.280]   That's John 15.
[00:44:19.280 --> 00:44:20.840]   Submission to elders.
[00:44:20.840 --> 00:44:22.940]   To what end?
[00:44:22.940 --> 00:44:26.520]   Submission to elders, to what end?
[00:44:26.520 --> 00:44:32.320]   In order for me to illustrate this point, it's gonna be helpful to know what an elder
[00:44:32.320 --> 00:44:35.560]   must be and what an elder must do.
[00:44:35.560 --> 00:44:39.200]   Okay, it's gonna make a lot more sense, so I'm gonna go through that first.
[00:44:39.200 --> 00:44:45.680]   And this is, these are in Titus 1.5-9, 1 Timothy 3.1-7, and 1 Peter 5.1-4.
[00:44:45.680 --> 00:44:48.360]   It's not exhaustive, it's not exhaustive, right?
[00:44:48.360 --> 00:44:49.840]   But a lot of it comes from there.
[00:44:49.840 --> 00:44:52.580]   Now, I have a list here, I'm gonna read it to you.
[00:44:52.580 --> 00:44:55.080]   These are the things an elder must be.
[00:44:55.080 --> 00:45:03.760]   Above reproach, temperate, prudent, respectable, hospitable, able to teach, not addicted to
[00:45:03.760 --> 00:45:10.480]   wine or quarrelsome, gentle, peaceable, free from the love of money, manage their own household
[00:45:10.480 --> 00:45:11.480]   well.
[00:45:11.480 --> 00:45:16.000]   I don't know who this describes, it certainly doesn't describe me, right?
[00:45:16.000 --> 00:45:17.640]   Let's consider what elders must do.
[00:45:17.640 --> 00:45:18.640]   We don't stop there.
[00:45:18.640 --> 00:45:20.600]   Let's consider what elders must do.
[00:45:20.600 --> 00:45:25.160]   Be fast to word, exhort those with sound doctrine, refute those who contradict, shepherd the
[00:45:25.160 --> 00:45:29.760]   flock without compulsion, be an example, mete out the administration of the church, pray
[00:45:29.760 --> 00:45:36.780]   for all, deal with divisiveness, determine and enforce discipline.
[00:45:36.780 --> 00:45:44.940]   If you have any depth with respect to understanding what I said, this is all humanly impossible.
[00:45:44.940 --> 00:45:48.360]   It goes a little further in John 10, 11-15.
[00:45:48.360 --> 00:45:52.520]   In John 10, 11-15 it says this, "I am the good shepherd, the good shepherd lays down
[00:45:52.520 --> 00:45:54.000]   his life for the sheep.
[00:45:54.000 --> 00:45:58.000]   He who is a hired hand and not a shepherd, who is not the owner of the sheep, sees the
[00:45:58.000 --> 00:46:00.800]   wolf coming and leaves the sheep and flees.
[00:46:00.800 --> 00:46:02.960]   And the wolf snatches them and scatters them.
[00:46:02.960 --> 00:46:07.120]   He flees because he is a hired hand and is not concerned about the sheep.
[00:46:07.120 --> 00:46:10.960]   I am the good shepherd and I know my own and my own know me.
[00:46:10.960 --> 00:46:16.120]   Even as the father knows me and I know the father, I lay down my life for the sheep."
[00:46:16.120 --> 00:46:19.760]   Now I understand the context here, okay?
[00:46:19.760 --> 00:46:26.280]   But the principle here is right, every elder is an under-shepherd of Christ.
[00:46:26.280 --> 00:46:32.000]   Elders are not bosses, they're stewards, they're deputy shepherds.
[00:46:32.000 --> 00:46:39.520]   And just as every single Christian is called to mimic Christ, the elder better mimic Christ.
[00:46:39.520 --> 00:46:43.720]   So if you consider the list that I've just given to you with respect to what an elder
[00:46:43.720 --> 00:46:49.040]   must be, with respect to what an elder must do, on top of that you have the example of
[00:46:49.040 --> 00:46:54.760]   Christ in John 10, who does not flee when the wolf comes.
