
[00:00:00.000 --> 00:00:02.000]   I
[00:25:13.080 --> 00:25:14.520]   Okay
[00:25:14.520 --> 00:25:16.520]   Maybe a billion
[00:25:16.520 --> 00:25:23.400]   But it's a ridiculous amount of money for an average worker. Imagine if one talent is 20 years of pay
[00:25:23.400 --> 00:25:27.440]   At minimum even if he's getting a little bit
[00:25:27.440 --> 00:25:34.240]   We're talking in the millions versus a denarii one denarii is one day's pay
[00:25:35.160 --> 00:25:37.160]   So he owes a hundred denarii
[00:25:37.160 --> 00:25:39.520]   Right, so we're talking about
[00:25:39.520 --> 00:25:43.840]   20 years times
[00:25:43.840 --> 00:25:46.680]   10,000 okay
[00:25:46.680 --> 00:25:48.960]   20 years of pay times
[00:25:48.960 --> 00:25:52.320]   10,000 10,000 times 20. Okay, you do the math
[00:25:52.320 --> 00:25:58.160]   Okay, I I think it's in it's in the hundreds of millions possibly in the billions of dollars
[00:25:58.160 --> 00:26:04.560]   And here's this guy a few thousand bucks, right? Why does Jesus use this analogy?
[00:26:04.560 --> 00:26:09.800]   I mean, it seems like an exaggeration say, you know, the early early Jews at that time were very temperamental
[00:26:09.800 --> 00:26:14.200]   So instead of instead of saying he owed a couple hundred thousand and then and a few thousand
[00:26:14.200 --> 00:26:18.120]   He said a billion dollars and a few thousand dollars
[00:26:18.120 --> 00:26:21.560]   Was he simply exaggerating? I
[00:26:21.560 --> 00:26:25.720]   Don't think he was for the purpose of exaggeration I
[00:26:25.720 --> 00:26:29.160]   Think Jesus was trying to teach Peter
[00:26:29.160 --> 00:26:33.280]   You don't understand the debt that has been forgiven you
[00:26:34.280 --> 00:26:42.520]   Because you don't recognize the debt that has been forgiven you you have a difficult time for even the debt that others have on you
[00:26:42.520 --> 00:26:48.120]   Everything that we talked about
[00:26:48.120 --> 00:26:54.640]   The violation the ungodliness that disease that depraved the unjust the lawless go going astray
[00:26:54.640 --> 00:26:57.040]   Every part of this is a description of who we are
[00:26:57.040 --> 00:27:02.040]   And that's why universalism is so so offensive to God
[00:27:02.040 --> 00:27:07.440]   I mean you can we can understand why it would be so offensive if there was any other possible way
[00:27:07.440 --> 00:27:14.000]   That a sinner could pay his debt to enter into heaven. Would he have sent his only begotten Son?
[00:27:14.000 --> 00:27:19.240]   Wouldn't he have allowed you to at least at least give it a try
[00:27:19.240 --> 00:27:27.720]   The only reason why the Son of God would come was so that because the debt was so big
[00:27:29.280 --> 00:27:32.280]   That another human being could not possibly pay that debt
[00:27:32.280 --> 00:27:35.980]   My life could not possibly pay for your life
[00:27:35.980 --> 00:27:39.640]   My debt could not be canceled by yours
[00:27:39.640 --> 00:27:44.960]   Only way that this debt could have been paid if the Son of God
[00:27:44.960 --> 00:27:48.240]   Absorbed all of it upon himself
[00:27:48.240 --> 00:27:51.480]   Think about the magnitude of
[00:27:51.480 --> 00:27:54.540]   How deep our sin must have been?
[00:27:54.920 --> 00:28:00.080]   that the God of the universe that everything was created by him and for him and
[00:28:00.080 --> 00:28:06.400]   Everything is sustained by him. Look at the size of this universe that he who created all of this
[00:28:06.400 --> 00:28:13.400]   Did not consider equality with God something to be grasped and came and became nothing for what?
[00:28:13.400 --> 00:28:16.400]   to pay our debt
[00:28:16.400 --> 00:28:20.960]   God demonstrates his own love toward us in that while we were yet sinners
[00:28:20.960 --> 00:28:24.280]   Christ died for us
[00:28:25.280 --> 00:28:31.760]   It is because we do not recognize what it is that we have in Christ we have such a hard time
[00:28:31.760 --> 00:28:36.440]   With forgiving others. That's why Jesus says I'm telling you seven times seventy
[00:28:36.440 --> 00:28:44.760]   Because you don't realize what was has been done for you seven times seventy doesn't begin to describe what you have in Christ
[00:28:44.760 --> 00:28:50.880]   Not seven times seventy seven thousand times seven thousand would not describe
[00:28:52.840 --> 00:28:54.840]   What the God of the universe did for us
[00:28:54.840 --> 00:29:01.880]   See Paul is not telling this to file a man because file a man was not a good Christian and he wasn't practicing grace
[00:29:01.880 --> 00:29:05.680]   In fact Paul described file a man as a great man
[00:29:05.680 --> 00:29:08.320]   practicing great love file a man
[00:29:08.320 --> 00:29:14.280]   Verse five because I hear of your love and of the faith that you have toward the Lord Jesus and all the Saints
[00:29:14.280 --> 00:29:18.640]   Again in verse seven for I have derived much joy and comfort from your love my brother
[00:29:18.640 --> 00:29:21.840]   Because the hearts of the Saints have been refreshed through you
[00:29:22.600 --> 00:29:27.000]   So he's not telling this to file a man because he wasn't a good Christian. He wasn't practicing this grace
[00:29:27.000 --> 00:29:29.000]   He said you need to practice some of this grace
[00:29:29.000 --> 00:29:35.400]   Says no, just like he says to find the Philippines 1 9 and it is my prayer that your love may abound
[00:29:35.400 --> 00:29:39.680]   more and more with knowledge and all discernment
[00:29:39.680 --> 00:29:43.840]   More and more
[00:29:43.840 --> 00:29:48.880]   Wait, I don't know about you. But when I read that and skim through it and I say I know you're practicing love
[00:29:48.880 --> 00:29:51.720]   But it's not enough that you practice more and more
[00:29:51.720 --> 00:29:55.520]   I mean, oh my gosh, it sounds like you know
[00:29:55.520 --> 00:30:02.600]   Your child is working hard and he came home with an a and he says I'm thankful that you're getting an a but a plus
[00:30:02.600 --> 00:30:04.600]   a plus
[00:30:04.600 --> 00:30:08.080]   You come up with the four point three GPA. He's like the four point five
[00:30:08.080 --> 00:30:11.640]   four point five is your goal, right and
[00:30:11.640 --> 00:30:16.360]   That's what it may sound like if you don't really understand what he is saying
[00:30:16.360 --> 00:30:20.780]   He says it again in Thessalonians 4 9 through 10. Here's this model church
[00:30:21.780 --> 00:30:29.260]   Concerning brotherly love you have no need for anyone to write to you for you yourselves have been taught by God to love one another
[00:30:29.260 --> 00:30:37.340]   For that indeed is what you are doing to all the brothers throughout Macedonia, but we urge you brothers to do this more and more
[00:30:37.340 --> 00:30:41.060]   You know almost kind of like hey Paul back off
[00:30:41.060 --> 00:30:44.140]   These guys are being persecuted
[00:30:44.780 --> 00:30:48.460]   They're sacrifice. They've already sacrificed so much and they're model Christians
[00:30:48.460 --> 00:30:56.540]   And he says your love is being proclaimed all throughout Macedonia when they talk about a church that loves one another they talk about you
[00:30:56.540 --> 00:31:02.460]   But Paul says it is not enough to do this more and more
[00:31:02.460 --> 00:31:06.940]   Now again if we leave it right here it says okay go do it
[00:31:06.940 --> 00:31:13.420]   Right, whatever you have whatever you bro, whatever righteousness that you think you have whatever love and grace you're practicing great
[00:31:13.420 --> 00:31:16.020]   We commend you for it, but do more and more
[00:31:16.020 --> 00:31:22.020]   We need to understand what he is saying first of all, he says Thessalonians
[00:31:22.020 --> 00:31:26.300]   I don't have I don't have a need to tell you this because God himself is teaching you this
[00:31:26.300 --> 00:31:29.580]   He's not I don't think he's saying that they had some special
[00:31:29.580 --> 00:31:33.340]   Revelation that the other churches didn't have that God was audibly speaking to them
[00:31:33.340 --> 00:31:36.220]   That the other Christians were not hearing
[00:31:36.220 --> 00:31:43.260]   When he says I don't need to teach you about this because God has already taught you he's talking about their own salvation
[00:31:44.260 --> 00:31:51.540]   At the very nature of what we proclaim every song that we sing every passage that we read
[00:31:51.540 --> 00:31:54.620]   It's about his great love for us
[00:31:54.620 --> 00:32:01.700]   That's why John says in John 1st John 3 1 see what kind of love the Father has given us
[00:32:01.700 --> 00:32:05.340]   That we should be called the children of God and that's what we are
[00:32:05.340 --> 00:32:08.740]   In some of you in a NASB translations
[00:32:08.740 --> 00:32:14.620]   It says behold, you know because the word seed just kind of sees like I see this I see that but really is
[00:32:14.620 --> 00:32:16.900]   the word really
[00:32:16.900 --> 00:32:20.380]   captures to take a minute to take a look and
[00:32:20.380 --> 00:32:22.300]   examine
[00:32:22.300 --> 00:32:24.180]   behold
[00:32:24.180 --> 00:32:26.180]   What manner of love is this?
[00:32:26.180 --> 00:32:30.940]   That we will be called the children of God and that's exactly what we are
[00:32:30.940 --> 00:32:34.420]   How often have you fantasized
[00:32:35.060 --> 00:32:38.620]   About being Bill Gates son or daughter
[00:32:38.620 --> 00:32:41.380]   All right. I think I can use Bill Gates because
[00:32:41.380 --> 00:32:44.060]   Most of this crowd is younger, right?
[00:32:44.060 --> 00:32:49.940]   Thinking if I was Bill Gates son, I could fly to Europe anytime I want
[00:32:49.940 --> 00:32:52.500]   You know, I
[00:32:52.500 --> 00:32:56.860]   Could go to the Himalayas. I don't have to go to school. I have to wake up to go to work
[00:32:56.860 --> 00:32:59.500]   How many times have you fantasized every time you didn't want to go to work?
[00:32:59.500 --> 00:33:01.940]   And I only if he was my father
[00:33:03.020 --> 00:33:05.500]   You know, I could do this and I could do that and
[00:33:05.500 --> 00:33:09.020]   Yet the scripture says
[00:33:09.020 --> 00:33:11.860]   Behold take a look
[00:33:11.860 --> 00:33:16.940]   What manner of love is this that we are called the children of the Almighty God?
[00:33:16.940 --> 00:33:23.500]   How foolish and short-sighted are we that we would sit and fantasize about being a
[00:33:23.500 --> 00:33:27.020]   son of somebody who has riches that will fade
[00:33:27.020 --> 00:33:30.220]   When we have the riches of heaven
[00:33:30.220 --> 00:33:32.700]   waiting for us in eternity
[00:33:33.540 --> 00:33:39.900]   That's why he says behold what manner of love is this it is not any special revelation that the Thessalonians God
[00:33:39.900 --> 00:33:42.300]   It was a revelation that every Christian has
[00:33:42.300 --> 00:33:48.020]   Every single Christian who confesses Jesus Christ as our Lord and Savior behold
[00:33:48.020 --> 00:33:54.860]   What manner of love is this that you are here and able to understand what is being preached this morning
[00:33:54.860 --> 00:34:00.860]   Behold what manner of love is this that you can pray and the God of the universe listens to you
[00:34:01.260 --> 00:34:03.260]   Why does he listen to you?
[00:34:03.260 --> 00:34:09.540]   Why does he care about you? Why does he care about me? What manner of love is this?
[00:34:09.540 --> 00:34:13.540]   Because we have potential because we were better looking
[00:34:13.540 --> 00:34:17.140]   While we were yet sinners he did this for us
[00:34:17.140 --> 00:34:22.580]   Ephesians 3 17 19 says that you being rooted and grounded in love
[00:34:22.580 --> 00:34:29.940]   May have strength to comprehend with all the saints that what is the breadth and length and height and depth and to know the love
[00:34:29.940 --> 00:34:33.980]   Of Christ that surpasses knowledge that you may be filled with all the fullness of God
[00:34:33.980 --> 00:34:41.700]   You know again on the surface may look like yeah, that's great but he wants us to do more and more at what point do we
[00:34:41.700 --> 00:34:43.340]   Get to rest
[00:34:43.340 --> 00:34:48.380]   Well, I what point is it enough? I name it was already practicing all this but he says do more more
[00:34:48.380 --> 00:34:53.980]   Again, if we understand it superficially we make we may actually leave burdened by this
[00:34:53.980 --> 00:34:56.860]   but look what he says in verse 6 and
[00:34:56.860 --> 00:34:59.140]   I pray
[00:34:59.140 --> 00:35:05.020]   That the sharing of your faith may become effective for the full knowledge of every good thing that is in us for the sake of
[00:35:05.020 --> 00:35:11.580]   Christ I used to think that when he says the sharing of your faith may become effective. I thought he's talking about evangelism
[00:35:11.580 --> 00:35:21.100]   But in reality the word sharing here in Greek is corn on Nia where we get the word partnership or fellowship and in the context
[00:35:21.100 --> 00:35:22.380]   He's not talking about evangelism
[00:35:22.380 --> 00:35:28.900]   He's not all of a sudden talking about forgiving your brother practicing love and then say now evangelism. All right, it wouldn't fit the context
[00:35:29.460 --> 00:35:35.780]   What he is saying is as a Christian to practice the faith that you profess
[00:35:35.780 --> 00:35:42.660]   The love that Christ poured out upon you when you are practicing this grace and you are practicing this love
[00:35:42.660 --> 00:35:45.980]   That it may be effective powerful
[00:35:45.980 --> 00:35:51.700]   For the full knowledge look at here. I want you to pay attention to this because this is the key
[00:35:51.700 --> 00:35:55.220]   That you would practice this grace and this love
[00:35:56.500 --> 00:36:03.460]   So that it may become effective for the full knowledge of every good thing that is in us for the sake of Christ
[00:36:03.460 --> 00:36:10.220]   The word for full knowledge here is not talking about something study that you go to seminary and you study about
[00:36:10.220 --> 00:36:14.700]   The gospel you study about some knowledge. He's talking about experientially
[00:36:14.700 --> 00:36:21.620]   The full knowledge and understanding of what it is that you have in Christ when you are practicing this love
[00:36:23.060 --> 00:36:27.020]   And I can honestly tell you that the most difficult thing about
[00:36:27.020 --> 00:36:30.860]   Ministry has not been money
[00:36:30.860 --> 00:36:34.860]   You know somebody say I've you've been on pass. It must be hard financially
[00:36:34.860 --> 00:36:38.860]   I mean, I don't know too many pastors who come into ministry thinking I'm gonna be rich
[00:36:38.860 --> 00:36:43.940]   Right, and if they are they stand out like a sore thumb, you know right away
[00:36:43.940 --> 00:36:46.940]   You can tell and not to say that there isn't temptation for it
[00:36:46.940 --> 00:36:50.420]   But I don't know too many people coming into ministry thinking that they're gonna make money
[00:36:51.100 --> 00:36:55.700]   So when we have financial hardship, it's you know, we were prepared for that
[00:36:55.700 --> 00:37:00.260]   The hardest part of our ministry is loving people. That's hard to love and
[00:37:00.260 --> 00:37:03.220]   That to be honest
[00:37:03.220 --> 00:37:07.900]   Ministry forces you to but that's not about that's not ministry. That's just being a Christian
[00:37:07.900 --> 00:37:11.620]   Ministry just have extra because people are watching
[00:37:11.620 --> 00:37:14.500]   You know, you're a pastor you have to
[00:37:14.500 --> 00:37:17.980]   Even as I was preparing for this, you know, I have to think about it
[00:37:18.020 --> 00:37:22.220]   What am I think I'm struggling with you know that make sure that I don't come up here as a hypocrite
[00:37:22.220 --> 00:37:24.760]   So this is extra accountability for me, you know
[00:37:24.760 --> 00:37:34.220]   But the practice of love and grace and forgiveness is not human
[00:37:34.220 --> 00:37:40.500]   It's not something that I search deeper than go to the closet and really like, you know
[00:37:40.500 --> 00:37:46.620]   Practice yoga and tap into this inner being and then when I tap into it, it's like I love everybody
[00:37:47.420 --> 00:37:48.940]   You know
[00:37:48.940 --> 00:37:51.820]   The deeper I dig the more vengeance I want
[00:37:51.820 --> 00:37:56.340]   The more I think about it the more undeserving these people are
[00:37:56.340 --> 00:37:59.100]   the deeper I dig
[00:37:59.100 --> 00:38:02.880]   It causes me to come before the Lord and recognize
[00:38:02.880 --> 00:38:07.900]   If it's this hard to love a fellow brother
[00:38:07.900 --> 00:38:11.540]   A fellow sister and
[00:38:11.540 --> 00:38:16.820]   It wasn't it's not even that offensive. It's just it doesn't take a sinful human being
[00:38:16.820 --> 00:38:18.820]   It doesn't take much to trigger us
[00:38:18.820 --> 00:38:24.060]   Right all in all I said, oh they said they said what about me what?
[00:38:24.060 --> 00:38:26.900]   They didn't like my tie what?
[00:38:26.900 --> 00:38:29.340]   You
[00:38:29.340 --> 00:38:31.620]   Cook some food and they thought it was too salty what?
[00:38:31.620 --> 00:38:38.220]   That guy it doesn't take much for us to do if it's this hard for me to love
[00:38:38.220 --> 00:38:41.100]   another brother in Christ
[00:38:41.100 --> 00:38:46.060]   How much did it take for God of the universe
[00:38:47.060 --> 00:38:49.060]   To have pity on me
[00:38:49.060 --> 00:38:56.540]   That he would leave a whole of that to come walk among us in this filth
[00:38:56.540 --> 00:39:01.620]   So that while we were yet sinners not because we were running to him
[00:39:01.620 --> 00:39:06.660]   Not because we were running to him and he was trying to catch us. He jumped into the mud
[00:39:06.660 --> 00:39:09.860]   that we were unwilling to come out of
[00:39:09.860 --> 00:39:14.140]   And that's why he says
[00:39:14.660 --> 00:39:20.140]   See the sharing of your faith the practice of this faith this grace this love
[00:39:20.140 --> 00:39:26.780]   That he would become effective so that you would have the full knowledge of every good thing that you have in Christ
[00:39:26.780 --> 00:39:29.620]   And the more we practice this love
[00:39:29.620 --> 00:39:35.980]   The more we recognize what it is that we have in Christ and the more we recognize what we have in Christ
[00:39:35.980 --> 00:39:39.300]   The more we're able to practice this grace and the more we have
[00:39:39.580 --> 00:39:46.180]   able to practice this grace the more we're able to know his love and this cycle goes on and on and it gets us deeper
[00:39:46.180 --> 00:39:48.980]   And deeper in understanding of what it is that we have in Christ
[00:39:48.980 --> 00:39:52.860]   So you may say thank you today and you may say thank you tomorrow
[00:39:52.860 --> 00:39:57.980]   But the thank you that you say every single year is deeper and deeper and deeper
[00:39:57.980 --> 00:40:03.940]   Because we recognize just how far we are without him
[00:40:05.620 --> 00:40:09.940]   When I first got saved I loved I loved the fact that he loved and he died for me
[00:40:09.940 --> 00:40:11.940]   I'm who wouldn't love this guy
[00:40:11.940 --> 00:40:14.380]   But every year that I live I
[00:40:14.380 --> 00:40:17.420]   See the darkness in this world. I
[00:40:17.420 --> 00:40:21.260]   See how difficult it is for human beings to just have
[00:40:21.260 --> 00:40:24.820]   Relationships
[00:40:24.820 --> 00:40:30.060]   How easily we misunderstand each other how easily we point fingers at each other?
[00:40:30.060 --> 00:40:34.940]   It's a miracle that human relationships last for a long period of time
[00:40:35.940 --> 00:40:38.860]   And how all of that is inside of me
[00:40:38.860 --> 00:40:42.620]   Despite all of that
[00:40:42.620 --> 00:40:44.620]   He gave himself
[00:40:44.620 --> 00:40:50.380]   He's in first John 4 12. No one has ever seen God if we love one another God abides in us and his love is
[00:40:50.380 --> 00:40:52.820]   perfected in us
[00:40:52.820 --> 00:40:55.980]   See practice of his grace and love
[00:40:55.980 --> 00:40:59.460]   It's not simply to burden us
[00:40:59.460 --> 00:41:02.500]   It's to free us
[00:41:02.700 --> 00:41:04.700]   It's just free us from our own sins
[00:41:04.700 --> 00:41:12.060]   And when Jesus says I have come to give life and to give this life abundantly this abundant life is in his love
[00:41:12.060 --> 00:41:15.660]   and if you're in a habit of
[00:41:15.660 --> 00:41:21.020]   Giving into your rage. Yeah. I mean that's that's how we are
[00:41:21.020 --> 00:41:25.180]   I mean if what when we're misunderstood when we feel like somebody's not on our side, you know
[00:41:25.180 --> 00:41:28.540]   It's our natural response to to seek justice
[00:41:30.420 --> 00:41:35.540]   If you're in a habit of giving into that you'll never fully comprehend
[00:41:35.540 --> 00:41:39.620]   The love that Christ has for you
[00:41:39.620 --> 00:41:43.340]   Just how difficult it is
[00:41:43.340 --> 00:41:49.460]   What he must have gone through that I can speak to him that I can come here and worship him
[00:41:49.460 --> 00:41:56.940]   As we again as we look upon this testimony of the power of the cross upon their lives
[00:41:56.940 --> 00:42:00.620]   I pray that we would not just look through this as oh, yeah, I know what Philemon is about
[00:42:00.620 --> 00:42:05.180]   But I pray that the power of the cross would affect you so deeply
[00:42:05.180 --> 00:42:08.580]   That our worship may simply be a response
[00:42:08.580 --> 00:42:11.580]   That we're not just singing songs
[00:42:11.580 --> 00:42:13.780]   We're praising him for his goodness
[00:42:13.780 --> 00:42:16.300]   We're not just crutchingly forgiving
[00:42:16.300 --> 00:42:24.340]   That we would forgive with all our hearts and that would be our act of worship because you forgave me I forgive him
[00:42:25.220 --> 00:42:29.900]   Because you've been gracious to me. I'm gonna be gracious to him not because they deserve it
[00:42:29.900 --> 00:42:33.340]   Because you gave me a love that I did not deserve
[00:42:33.340 --> 00:42:37.660]   so I will practice love that they don't deserve and
[00:42:37.660 --> 00:42:42.580]   That is why Paul is able to say so boldly
[00:42:42.580 --> 00:42:45.660]   to this man
[00:42:45.660 --> 00:42:48.100]   Forgive him
[00:42:48.100 --> 00:42:50.380]   Because he's been affected
[00:42:50.380 --> 00:42:54.860]   Would you close your eyes with me this morning as you come before the Lord?
[00:42:55.700 --> 00:43:02.740]   Are there people in your heart that you've been holding grudges against and as a result of that your walk with God has been strained
[00:43:02.740 --> 00:43:06.020]   You're living with this
[00:43:06.020 --> 00:43:08.420]   Toxic
[00:43:08.420 --> 00:43:14.180]   Hatred or bitterness in your heart and God wants you to wants you to be freed from that
[00:43:14.180 --> 00:43:17.700]   To recognize
[00:43:17.700 --> 00:43:19.980]   Just how great of a love he's shown us
[00:43:19.980 --> 00:43:22.900]   Behold what manner of love is?
[00:43:23.900 --> 00:43:25.900]   That we are called the children of God
[00:43:25.900 --> 00:43:31.100]   What does it mean for you to worship God this morning? What did it take for you to be here this morning?
[00:43:31.100 --> 00:43:33.420]   To have this communion with God
[00:43:33.420 --> 00:43:38.580]   Well, let's take a few minutes as our praise team comes up to take some time to pray and ask God Lord
[00:43:38.580 --> 00:43:45.060]   Help me to forgive help me to recognize that what I have in you that I may give a reasonable response
[00:43:45.060 --> 00:43:47.420]   Let's take some time to pray

