
[00:00:00.000 --> 00:00:07.000]   Testing, testing.
[00:20:56.000 --> 00:21:01.000]   You cannot be a Christian and not look like a Christian.
[00:21:01.000 --> 00:21:02.000]   It's impossible.
[00:21:02.000 --> 00:21:03.000]   Okay?
[00:21:03.000 --> 00:21:09.000]   Those with new or pure hearts now cannot help but to engage in
[00:21:09.000 --> 00:21:10.000]   good deeds.
[00:21:10.000 --> 00:21:12.000]   That's a teaching of Titus.
[00:21:12.000 --> 00:21:14.000]   And I will show you where.
[00:21:14.000 --> 00:21:19.000]   Okay?
[00:21:19.000 --> 00:21:25.000]   This is a slide I had for the first week.
[00:21:25.000 --> 00:21:28.000]   Alright?
[00:21:28.000 --> 00:21:33.000]   In every chapter there is an incarnation of Christ.
[00:21:33.000 --> 00:21:35.000]   You guys notice this?
[00:21:35.000 --> 00:21:37.000]   And he's always called our Savior.
[00:21:37.000 --> 00:21:39.000]   God our Savior, God our Savior, God our Savior.
[00:21:39.000 --> 00:21:40.000]   It's unique to Titus.
[00:21:40.000 --> 00:21:42.000]   It comes out again and again.
[00:21:42.000 --> 00:21:45.000]   Chapter 1 verses 1 through 3.
[00:21:45.000 --> 00:21:47.000]   God promised this.
[00:21:47.000 --> 00:21:49.000]   Chapter 2, 11 to 15.
[00:21:49.000 --> 00:21:50.000]   God redeems.
[00:21:50.000 --> 00:21:52.000]   God purifies.
[00:21:52.000 --> 00:21:53.000]   Right?
[00:21:53.000 --> 00:21:54.000]   Where does it say?
[00:21:54.000 --> 00:21:56.000]   Who gave himself for us to redeem us from every lawless deed and
[00:21:56.000 --> 00:21:58.000]   to purify for himself.
[00:21:58.000 --> 00:22:03.000]   And chapter 3 verses 4 through 8 is the third Christology there.
[00:22:03.000 --> 00:22:09.000]   God washes, God renews, God justifies.
[00:22:09.000 --> 00:22:14.000]   So any Jewish myth and the commandment of men that basically
[00:22:14.000 --> 00:22:18.000]   commands you to do something to appease God is what needs to be
[00:22:18.000 --> 00:22:19.000]   rebuked.
[00:22:19.000 --> 00:22:23.000]   Okay?
[00:22:23.000 --> 00:22:25.000]   You guys follow that?
[00:22:25.000 --> 00:22:26.000]   It's all over Titus.
[00:22:26.000 --> 00:22:29.000]   And we just finished chapter 1.
[00:22:29.000 --> 00:22:32.000]   That you cannot get to God by your own effort.
[00:22:32.000 --> 00:22:38.000]   Now, some of you, the immature thought may be, oh,
[00:22:38.000 --> 00:22:40.000]   then good deeds are not important.
[00:22:40.000 --> 00:22:42.000]   Right?
[00:22:42.000 --> 00:22:45.000]   There's nothing I can do to get to God.
[00:22:45.000 --> 00:22:46.000]   Amen.
[00:22:46.000 --> 00:22:50.000]   But good deeds are all over the Titus.
[00:22:50.000 --> 00:22:51.000]   Okay?
[00:22:51.000 --> 00:22:53.000]   Now, before we get that, I'm just going to briefly talk about
[00:22:53.000 --> 00:22:55.000]   verse 15 and 16.
[00:22:55.000 --> 00:22:58.000]   And I mentioned every false religious system is a works-based
[00:22:58.000 --> 00:23:00.000]   righteousness.
[00:23:00.000 --> 00:23:02.000]   And that's arrogance.
[00:23:02.000 --> 00:23:06.000]   And the sin that God hates the most is arrogance.
[00:23:06.000 --> 00:23:09.000]   Well, what's interesting is inner purity,
[00:23:09.000 --> 00:23:12.000]   and this is kind of touching upon launching off of verse 15.
[00:23:12.000 --> 00:23:17.000]   Inner purity always produces outer purity.
[00:23:17.000 --> 00:23:19.000]   Measurable and good deeds.
[00:23:19.000 --> 00:23:23.000]   You will look like your spiritual father.
[00:23:23.000 --> 00:23:26.000]   It's impossible not to.
[00:23:26.000 --> 00:23:28.000]   Okay?
[00:23:28.000 --> 00:23:35.000]   So for someone who is pure, all things are pure.
[00:23:35.000 --> 00:23:37.000]   All things are pure.
[00:23:37.000 --> 00:23:40.000]   What he does doesn't affect that status.
[00:23:40.000 --> 00:23:43.000]   But he's got the spirit of God not only as a pledge and as a
[00:23:43.000 --> 00:23:48.000]   promise, but it's a sanctifying, effectual work that God's spirit
[00:23:48.000 --> 00:23:50.000]   is doing.
[00:23:50.000 --> 00:23:53.000]   And he will produce good deeds.
[00:23:53.000 --> 00:23:57.000]   Because the bridegroom takes ownership of the bride and
[00:23:57.000 --> 00:24:00.000]   purifies her for himself.
[00:24:00.000 --> 00:24:02.000]   And look at how many times good deeds is used.
[00:24:02.000 --> 00:24:07.000]   Verse 16, deeds, worthless for any good deed.
[00:24:07.000 --> 00:24:10.000]   Verse 2, chapter 2, verse 7, example of good deeds.
[00:24:10.000 --> 00:24:12.000]   Redeem us from every lawless deed.
[00:24:12.000 --> 00:24:14.000]   14, zealous for good deeds.
[00:24:14.000 --> 00:24:16.000]   Be ready for good deed.
[00:24:16.000 --> 00:24:19.000]   Verse 5, he saved us on the basis of deeds.
[00:24:19.000 --> 00:24:23.000]   Chapter 3, verse 8, carefully engage in good deeds.
[00:24:23.000 --> 00:24:25.000]   And verse 14 is the second to last verse.
[00:24:25.000 --> 00:24:27.000]   It's the 45th verse of Titus.
[00:24:27.000 --> 00:24:29.000]   It says, "Our people."
[00:24:29.000 --> 00:24:33.000]   So just in case you guys didn't get it, our people, Titus, must
[00:24:33.000 --> 00:24:38.000]   also learn to engage in good deeds to meet pressing needs so
[00:24:38.000 --> 00:24:41.000]   that we will not be unfruitful is what he says.
[00:24:41.000 --> 00:24:43.000]   So are good deeds important?
[00:24:43.000 --> 00:24:45.000]   Absolutely.
[00:24:45.000 --> 00:24:50.000]   You cannot have a Christian life without good deeds.
[00:24:50.000 --> 00:24:55.000]   But you can't get to God on the basis of your deeds.
[00:24:55.000 --> 00:24:59.000]   And that's kind of how you can sum up the latter part of
[00:24:59.000 --> 00:25:02.000]   chapter 1 and what it is that we are supposed to go head on
[00:25:02.000 --> 00:25:04.000]   against, okay?
[00:25:04.000 --> 00:25:09.000]   So most of the world around you, the people at your work and at
[00:25:09.000 --> 00:25:12.000]   your schools and your families, they don't think they're an
[00:25:12.000 --> 00:25:16.000]   offense to God, right?
[00:25:16.000 --> 00:25:19.000]   Because they compare horizontally.
[00:25:19.000 --> 00:25:24.000]   Yeah, Emily, I'm a little more moral than, yeah, her.
[00:25:24.000 --> 00:25:28.000]   John Lee, yeah, that guy, he's a scoundrel.
[00:25:28.000 --> 00:25:30.000]   I'm better than him.
[00:25:30.000 --> 00:25:39.000]   Jamie, yeah, she just is like grossly hypocritical.
[00:25:39.000 --> 00:25:41.000]   I'm just kidding.
[00:25:41.000 --> 00:25:44.000]   This is all make-believe, okay?
[00:25:44.000 --> 00:25:49.000]   But this is how people think.
[00:25:49.000 --> 00:25:53.000]   You know, I share this is when George Floyd's death happened,
[00:25:53.000 --> 00:25:55.000]   you guys remember, it was about a year ago.
[00:25:55.000 --> 00:25:58.000]   That night, for some reason, in my prayer, I identified with
[00:25:58.000 --> 00:26:03.000]   Derek Chauvin, the cop.
[00:26:03.000 --> 00:26:06.000]   And I was like, there's the bystanders, there's that Asian
[00:26:06.000 --> 00:26:10.000]   cop, there's the other cop there, there's George Floyd on
[00:26:10.000 --> 00:26:14.000]   the ground, and there's Derek Chauvin.
[00:26:14.000 --> 00:26:16.000]   I'm him.
[00:26:16.000 --> 00:26:18.000]   Because that guy probably did not wake up planning to kill
[00:26:18.000 --> 00:26:23.000]   somebody and starting a nationwide riot.
[00:26:23.000 --> 00:26:27.000]   He just got provoked enough to where the stuff inside came out
[00:26:27.000 --> 00:26:29.000]   and he ended up killing a guy.
[00:26:29.000 --> 00:26:31.000]   I'm capable of that.
[00:26:31.000 --> 00:26:32.000]   You're capable of that.
[00:26:32.000 --> 00:26:36.000]   All have sinned and fall short of the glory of God.
[00:26:36.000 --> 00:26:39.000]   You and I are no better than Donald Trump.
[00:26:39.000 --> 00:26:43.000]   We are no better than Joe Biden.
[00:26:43.000 --> 00:26:45.000]   We are no better than Hitler.
[00:26:45.000 --> 00:26:48.000]   That's the teaching of the gospel.
[00:26:48.000 --> 00:26:51.000]   We're only justified freely by his grace.
[00:26:51.000 --> 00:26:52.000]   Right?
[00:26:52.000 --> 00:26:56.000]   But being justified freely by his grace produces crazy change
[00:26:56.000 --> 00:26:59.000]   because God takes responsibility.
[00:26:59.000 --> 00:27:00.000]   Okay?
[00:27:00.000 --> 00:27:04.000]   So, that's today's teaching kind of in a nutshell.
[00:27:04.000 --> 00:27:07.000]   There's a lot that I ended up having to carve out.
[00:27:07.000 --> 00:27:09.000]   Otherwise, you guys would be here just tomorrow, okay?
[00:27:09.000 --> 00:27:12.000]   But just sit there spiritually constipated and flesh these
[00:27:12.000 --> 00:27:13.000]   things out on your own.
[00:27:13.000 --> 00:27:15.000]   What does it mean?
[00:27:15.000 --> 00:27:16.000]   Okay?
[00:27:16.000 --> 00:27:19.000]   So, here's the application.
[00:27:19.000 --> 00:27:26.000]   What is the evidence that you know God or don't know God?
[00:27:26.000 --> 00:27:30.000]   And this is very encouraging for me to do for myself.
[00:27:30.000 --> 00:27:33.000]   2 Corinthians 13, 5, examine yourselves to see whether you're
[00:27:33.000 --> 00:27:34.000]   of the faith.
[00:27:34.000 --> 00:27:36.000]   Don't you realize that Christ Jesus is in you?
[00:27:36.000 --> 00:27:38.000]   Unless, of course, you fail the test.
[00:27:38.000 --> 00:27:41.000]   In verse 6, Paul says, "I hope you realize yourselves don't
[00:27:41.000 --> 00:27:44.000]   fail the test as apostles."
[00:27:44.000 --> 00:27:45.000]   Okay?
[00:27:45.000 --> 00:27:47.000]   Later in verse 10, he goes severely, okay?
[00:27:47.000 --> 00:27:49.000]   But we are called to examine our hearts.
[00:27:49.000 --> 00:27:52.000]   We're called to quote Psalm 139, "Search me, O Lord,
[00:27:52.000 --> 00:27:53.000]   know my heart.
[00:27:53.000 --> 00:27:55.000]   See if there's any hurtful in me.
[00:27:55.000 --> 00:27:58.000]   Lead me in the way everlasting."
[00:27:58.000 --> 00:28:01.000]   So, what is evidence that you know God?
[00:28:01.000 --> 00:28:04.000]   When you look at you five years from before,
[00:28:04.000 --> 00:28:06.000]   are you a different person now?
[00:28:06.000 --> 00:28:09.000]   It should be super encouraging because if you look at yourself
[00:28:09.000 --> 00:28:12.000]   now, you're probably going to be disgusted.
[00:28:12.000 --> 00:28:13.000]   I'm disgusted.
[00:28:13.000 --> 00:28:17.000]   I'm like, I'm still so far from where I need to be.
[00:28:17.000 --> 00:28:21.000]   But I look a lot more like Jesus than I did 10 years ago.
[00:28:21.000 --> 00:28:23.000]   And that I can say with confidence.
[00:28:23.000 --> 00:28:25.000]   And that's not because I try harder.
[00:28:25.000 --> 00:28:28.000]   It's because God is -- his DNA is coming out.
[00:28:28.000 --> 00:28:29.000]   Okay?
[00:28:29.000 --> 00:28:32.000]   So, what is evidence that you know God or do you not know God?
[00:28:32.000 --> 00:28:34.000]   Is this all religiosity?
[00:28:34.000 --> 00:28:37.000]   And the second question is, in what ways are you holding fast
[00:28:37.000 --> 00:28:39.000]   to the traditions of men?
[00:28:39.000 --> 00:28:40.000]   Okay?
[00:28:40.000 --> 00:28:42.000]   In what ways are you holding fast to the faithful word?
[00:28:42.000 --> 00:28:45.000]   Now, are all traditions bad?
[00:28:45.000 --> 00:28:49.000]   Are all the traditions of men bad?
[00:28:49.000 --> 00:28:51.000]   Not necessarily.
[00:28:51.000 --> 00:28:52.000]   Right?
[00:28:52.000 --> 00:28:56.000]   If you're doing these traditions like morning prayer,
[00:28:56.000 --> 00:28:57.000]   I mentioned that in my group.
[00:28:57.000 --> 00:29:00.000]   Korean peoples, they love their morning prayers.
[00:29:00.000 --> 00:29:01.000]   Right?
[00:29:01.000 --> 00:29:03.000]   They go there early in the morning because the earlier you
[00:29:03.000 --> 00:29:04.000]   go, the more blessed you are.
[00:29:04.000 --> 00:29:08.000]   The Lord sees that I sacrificed my three hours of sleep and he
[00:29:08.000 --> 00:29:09.000]   will bless me.
[00:29:09.000 --> 00:29:12.000]   Is there anything wrong with morning prayer?
[00:29:12.000 --> 00:29:13.000]   Absolutely not.
[00:29:13.000 --> 00:29:17.000]   But if you're going there to manipulate God, that is evil.
[00:29:17.000 --> 00:29:25.000]   But to go there to seek the Lord, that's honorable.
[00:29:25.000 --> 00:29:27.000]   That's a tradition of man.
[00:29:27.000 --> 00:29:30.000]   No word does it say in the Bible to go pray early in the morning
[00:29:30.000 --> 00:29:31.000]   as a command.
[00:29:31.000 --> 00:29:34.000]   Jesus did it in Mark chapter 1 verse 35, I think.
[00:29:34.000 --> 00:29:35.000]   He did it.
[00:29:35.000 --> 00:29:37.000]   But that's not descriptive.
[00:29:37.000 --> 00:29:38.000]   That's what he did.
[00:29:38.000 --> 00:29:44.000]   There are traditions that we have that we pollute, corrupt,
[00:29:44.000 --> 00:29:45.000]   and pervert.
[00:29:45.000 --> 00:29:49.000]   But the traditions in and of themselves are not what's wrong.
[00:29:49.000 --> 00:29:55.000]   It's the desire either to offer worship or to manipulate God is
[00:29:55.000 --> 00:29:57.000]   what is wrong.
[00:29:57.000 --> 00:29:58.000]   Are you guys following this?
[00:29:58.000 --> 00:29:59.000]   Okay?
[00:29:59.000 --> 00:30:03.000]   So there's a lot in here and there's going to continue to be
[00:30:03.000 --> 00:30:06.000]   a lot because from next week on, we're doing five verses a week.
[00:30:06.000 --> 00:30:09.000]   We started out with baby steps with three and today we did four
[00:30:09.000 --> 00:30:13.000]   and some of you guys are like, it doesn't fit in the paper.
[00:30:13.000 --> 00:30:14.000]   Right?
[00:30:14.000 --> 00:30:15.000]   But starting next week, it's five.
[00:30:15.000 --> 00:30:16.000]   Okay?
[00:30:16.000 --> 00:30:20.000]   So with the remaining time, just go over this.
[00:30:20.000 --> 00:30:22.000]   In what ways are you holding fast?
[00:30:22.000 --> 00:30:24.000]   Okay?
[00:30:24.000 --> 00:30:27.000]   In what ways are you holding fast the faithful word?
[00:30:27.000 --> 00:30:28.000]   All right?
[00:30:28.000 --> 00:30:32.000]   And it's not the same word in the Greek, but they're cousins,
[00:30:32.000 --> 00:30:33.000]   same root.
[00:30:33.000 --> 00:30:35.000]   Okay?
[00:30:35.000 --> 00:30:44.000]   Let me pray for us and then we'll dismiss to our groups.
[00:30:44.000 --> 00:30:49.000]   Thank you, Father, for your kindness that has led many of us
[00:30:49.000 --> 00:30:52.000]   to repentance.
[00:30:52.000 --> 00:30:57.000]   And we are not here because we earned this.
[00:30:57.000 --> 00:31:04.000]   From the beginning of our walk with you to where we sit today
[00:31:04.000 --> 00:31:07.000]   has all been grace.
[00:31:07.000 --> 00:31:13.000]   I pray that you would help us to appreciate it rather than to
[00:31:13.000 --> 00:31:19.000]   take it for granted, neglect it, and abuse it so that the world
[00:31:19.000 --> 00:31:24.000]   will see through our testimony that you indeed are a very
[00:31:24.000 --> 00:31:28.000]   powerful good God.
[00:31:28.000 --> 00:31:31.000]   There's a lot of false teaching that is in and around our
[00:31:31.000 --> 00:31:35.000]   churches and we pray that you would help us to combat them,
[00:31:35.000 --> 00:31:40.000]   not to self-promote, but really to honor your truth and to fight
[00:31:40.000 --> 00:31:45.000]   for your truth, remembering that the goal of all this, though,
[00:31:45.000 --> 00:31:47.000]   is love.
[00:31:47.000 --> 00:31:51.000]   So help us to be loving ambassadors to this dying world
[00:31:51.000 --> 00:31:54.000]   in both spirit and in truth.
[00:31:54.000 --> 00:31:57.000]   And we thank you, Lord, for just your provision of the couple
[00:31:57.000 --> 00:31:59.000]   hours that we had to study.
[00:31:59.000 --> 00:32:02.000]   In Jesus' name we pray.
[00:32:02.000 --> 00:32:05.000]   And this is next week, no Bible study.
[00:32:05.000 --> 00:32:06.000]   This is next time.
[00:32:06.000 --> 00:32:08.000]   I'm gonna put this up on Facebook, but it's chapter 2,
[00:32:08.000 --> 00:32:09.000]   verses 1 through 5.
[00:32:09.000 --> 00:32:12.000]   No Bible study next Wednesday, but two Wednesdays from now.
[00:32:12.000 --> 00:32:13.000]   All right?
[00:32:13.000 --> 00:32:19.000]   And I just leave you with this.
[00:32:19.000 --> 00:32:21.000]   2, 1 through 5 is the next assignment.
[00:32:21.000 --> 00:32:22.000]   assignment.
[00:32:22.000 --> 00:32:22.020]   [END OF TRANSCRIPT]
[00:32:22.020 --> 00:32:32.020]   [BLANK_AUDIO]

