
[00:00:00.000 --> 00:00:05.000]   - Hello everyone.
[00:17:12.760 --> 00:17:14.560]   that I'm kind of like a Jack of all trades.
[00:17:14.560 --> 00:17:18.340]   And that to me, it's not necessarily
[00:17:18.340 --> 00:17:19.820]   I wanted to be a Jack of all trades,
[00:17:19.820 --> 00:17:22.120]   I just like learning a lot of stuff.
[00:17:22.120 --> 00:17:24.480]   The second half of that little idiom,
[00:17:24.480 --> 00:17:27.280]   Jack of all trades, master of none, okay?
[00:17:27.280 --> 00:17:28.680]   I don't like the master of none part,
[00:17:28.680 --> 00:17:31.520]   but that's also true, I'm master of nothing, okay?
[00:17:31.520 --> 00:17:33.760]   And, but the thing about it is,
[00:17:33.760 --> 00:17:38.160]   as I look upon that and look upon, let's say my life,
[00:17:38.160 --> 00:17:41.880]   truthfully speaking, there's so much vanity and waste.
[00:17:41.880 --> 00:17:43.520]   And what I mean by that is,
[00:17:43.520 --> 00:17:45.500]   like I pretty much, when it comes to sports,
[00:17:45.500 --> 00:17:48.640]   I have pretty much every equipment that you could need.
[00:17:48.640 --> 00:17:51.260]   I have a badminton set I haven't touched in two years.
[00:17:51.260 --> 00:17:53.720]   I have tennis rackets, I have like three of them,
[00:17:53.720 --> 00:17:55.960]   including Bia's, like both of us played tennis
[00:17:55.960 --> 00:17:56.800]   in high school.
[00:17:56.800 --> 00:17:59.200]   We love tennis, haven't played in years.
[00:17:59.200 --> 00:18:01.560]   I have a basketball, football, volleyball, soccer ball.
[00:18:01.560 --> 00:18:03.840]   I mean, you could just go down the list, right?
[00:18:03.840 --> 00:18:06.440]   You have pretty much everything related to sports.
[00:18:06.440 --> 00:18:08.360]   You talk about musical instruments.
[00:18:08.360 --> 00:18:10.680]   I mean, I want my kids to learn music.
[00:18:10.680 --> 00:18:14.400]   So for their birthday, there's a ukulele we got,
[00:18:14.400 --> 00:18:17.840]   we got a hand-me-down piano, they have a guitar at home,
[00:18:17.840 --> 00:18:21.600]   they have an old violin, like I want them to do everything.
[00:18:21.600 --> 00:18:24.160]   I mean, talk about like, let's say fixing stuff.
[00:18:24.160 --> 00:18:26.320]   I mean, I have car parts I have yet to install.
[00:18:26.320 --> 00:18:28.600]   I've been sitting there for six months.
[00:18:28.600 --> 00:18:29.640]   I mean, it's crazy.
[00:18:29.640 --> 00:18:33.600]   And when you think about that, we are such so privileged
[00:18:33.600 --> 00:18:36.960]   that we are allowed to have so many hobbies.
[00:18:36.960 --> 00:18:39.260]   And yet part of it is, the problem is,
[00:18:39.260 --> 00:18:41.040]   our hearts wants to do everything.
[00:18:41.040 --> 00:18:44.400]   And I think there's like a warning there.
[00:18:44.400 --> 00:18:45.240]   Is it wrong?
[00:18:45.240 --> 00:18:46.420]   No, it's not wrong to have hobbies.
[00:18:46.420 --> 00:18:49.480]   There's a warning because that could be vanity.
[00:18:49.480 --> 00:18:51.000]   King Solomon says, you know what I did?
[00:18:51.000 --> 00:18:52.000]   I grew a green thumb.
[00:18:52.000 --> 00:18:54.440]   He said, I planted vineyards, I have gardens,
[00:18:54.440 --> 00:18:55.600]   I have majestic gardens.
[00:18:55.600 --> 00:18:58.400]   And then he says, vanity of vanities.
[00:18:58.400 --> 00:18:59.920]   And it makes sense.
[00:18:59.920 --> 00:19:01.400]   It makes sense.
[00:19:01.400 --> 00:19:02.720]   And you know what the strange thing is,
[00:19:02.720 --> 00:19:05.600]   I almost had like a desire to share with you
[00:19:05.600 --> 00:19:08.280]   some worldly advice, like don't be this guy
[00:19:08.280 --> 00:19:12.440]   who has your hand in everything and have hobbies all around.
[00:19:12.440 --> 00:19:14.160]   Just pick one that you really, really like
[00:19:14.160 --> 00:19:15.880]   and become a skilled individual
[00:19:15.880 --> 00:19:18.480]   because then you could use that, right?
[00:19:18.480 --> 00:19:19.320]   But that too.
[00:19:19.320 --> 00:19:24.160]   So what if you're like the master of carpentry?
[00:19:25.160 --> 00:19:29.920]   Let's say you were the number one prospect of a sport.
[00:19:29.920 --> 00:19:32.480]   That too could be vanity.
[00:19:32.480 --> 00:19:36.880]   Unless we have a desire to glorify God.
[00:19:36.880 --> 00:19:38.880]   Unless we have a desire to serve people.
[00:19:38.880 --> 00:19:41.440]   Unless we have a desire to, in some ways,
[00:19:41.440 --> 00:19:45.360]   use that as a platform for an element.
[00:19:45.360 --> 00:19:47.000]   You know, it doesn't have to be always like,
[00:19:47.000 --> 00:19:49.240]   I'm gonna preach that Christ crucified and he resurrected
[00:19:49.240 --> 00:19:52.120]   and da-da-da-da-da, that would be great.
[00:19:52.120 --> 00:19:54.280]   But even right now, what I think is really encouraging
[00:19:54.280 --> 00:19:56.120]   is people using their skills,
[00:19:56.120 --> 00:19:59.560]   their stuff that they have and their services
[00:19:59.560 --> 00:20:01.320]   to raise funds for a great cause,
[00:20:01.320 --> 00:20:02.840]   like that's really awesome.
[00:20:02.840 --> 00:20:04.440]   Two thumbs up for that.
[00:20:04.440 --> 00:20:06.320]   When you use it for those kind of purposes
[00:20:06.320 --> 00:20:08.880]   and you realize, yes, you have the responsibility
[00:20:08.880 --> 00:20:10.960]   to work and do it excellently,
[00:20:10.960 --> 00:20:14.320]   but if it stops there, that too could be vanity, right?
[00:20:14.320 --> 00:20:17.560]   We have greater causes, essentially.
[00:20:17.560 --> 00:20:19.360]   Okay.
[00:20:19.360 --> 00:20:24.360]   So again, we realize what a command and challenge for us
[00:20:24.360 --> 00:20:29.640]   in this first two verses for us to be careful,
[00:20:29.640 --> 00:20:34.000]   to be wise and to maximize the opportunity that we have.
[00:20:34.000 --> 00:20:35.200]   Okay.
[00:20:35.200 --> 00:20:37.200]   The other commandments we're gonna go through
[00:20:37.200 --> 00:20:38.520]   just a little bit faster.
[00:20:38.520 --> 00:20:41.200]   Commandment number three is,
[00:20:41.200 --> 00:20:43.400]   understand the will of the Lord.
[00:20:43.400 --> 00:20:45.520]   Okay, understand the will of the Lord.
[00:20:46.440 --> 00:20:49.400]   He says here, so then do not be foolish.
[00:20:49.400 --> 00:20:52.360]   And we already talked a lot about what foolishness means.
[00:20:52.360 --> 00:20:55.200]   Foolish means you just don't understand like
[00:20:55.200 --> 00:20:56.400]   what you're doing.
[00:20:56.400 --> 00:20:58.280]   You're like not paying attention to
[00:20:58.280 --> 00:21:00.360]   if you're even achieving the right goal.
[00:21:00.360 --> 00:21:03.520]   You're hurting people, you're hurting yourself, right?
[00:21:03.520 --> 00:21:04.360]   But then he says,
[00:21:04.360 --> 00:21:06.760]   understand what is the will of the Lord, right?
[00:21:06.760 --> 00:21:10.480]   You gotta understand what God desires.
[00:21:10.480 --> 00:21:12.480]   And I just wanna make a mention that the command,
[00:21:12.480 --> 00:21:14.040]   yes, is to understand,
[00:21:14.040 --> 00:21:16.360]   but we know that regularly in scripture,
[00:21:16.360 --> 00:21:18.160]   it means so much more than say,
[00:21:18.160 --> 00:21:20.800]   ah, I get it.
[00:21:20.800 --> 00:21:23.440]   No, it means to understand so you can do, right?
[00:21:23.440 --> 00:21:26.080]   It means to understand so you can implement it.
[00:21:26.080 --> 00:21:27.520]   But I wanna highlight this thing.
[00:21:27.520 --> 00:21:29.280]   As a believer,
[00:21:29.280 --> 00:21:32.760]   your growing wisdom is your growing understanding
[00:21:32.760 --> 00:21:34.240]   of what is the will of the Lord.
[00:21:34.240 --> 00:21:36.760]   We talked about in previous passages,
[00:21:36.760 --> 00:21:39.120]   you have to have a mental picture in your mind.
[00:21:39.120 --> 00:21:41.040]   Are the things that I'm doing,
[00:21:41.040 --> 00:21:43.760]   lifting a pleasant aroma to God,
[00:21:43.760 --> 00:21:46.280]   or is it a stink, right?
[00:21:46.280 --> 00:21:49.560]   Is what I'm doing in line with what God is pleased by?
[00:21:49.560 --> 00:21:50.560]   Does he like it?
[00:21:50.560 --> 00:21:54.120]   Do you know of God well enough
[00:21:54.120 --> 00:21:55.880]   that in the things you're doing,
[00:21:55.880 --> 00:21:58.080]   you could almost picture him looking at you
[00:21:58.080 --> 00:22:00.760]   and be like, no, right?
[00:22:00.760 --> 00:22:02.280]   Can you picture that?
[00:22:02.280 --> 00:22:06.080]   That to you is your wisdom as a child of God.
[00:22:06.080 --> 00:22:07.760]   Father's day is coming up.
[00:22:07.760 --> 00:22:10.560]   And if you're thinking about what should I get my dad?
[00:22:10.560 --> 00:22:14.120]   The first question is, what does he like?
[00:22:14.120 --> 00:22:15.920]   And if you're sitting there like,
[00:22:15.920 --> 00:22:17.240]   I don't know.
[00:22:17.240 --> 00:22:20.800]   Listen, you have a bigger problem than finding a gift.
[00:22:20.800 --> 00:22:24.200]   You need to get to know your father better, right?
[00:22:24.200 --> 00:22:27.120]   If you can't think of anything your father likes,
[00:22:27.120 --> 00:22:28.640]   you don't even know what he likes, right?
[00:22:28.640 --> 00:22:29.480]   It's different.
[00:22:29.480 --> 00:22:30.520]   Like when buying a gift,
[00:22:30.520 --> 00:22:31.640]   you know what people like,
[00:22:31.640 --> 00:22:34.200]   and sometimes you don't know whether they already have it
[00:22:34.200 --> 00:22:35.400]   or they don't have it, right?
[00:22:35.400 --> 00:22:36.320]   That's another issue.
[00:22:36.320 --> 00:22:37.440]   But if you're sitting there like,
[00:22:37.440 --> 00:22:38.280]   I don't know what he likes,
[00:22:38.280 --> 00:22:39.240]   I don't know his preferences,
[00:22:39.240 --> 00:22:41.880]   I don't know if he's gonna enjoy this,
[00:22:41.880 --> 00:22:45.880]   then you really need to grow in your understanding of God.
[00:22:45.880 --> 00:22:49.360]   I think an arena where this applies a lot too,
[00:22:49.360 --> 00:22:50.400]   is in marriage.
[00:22:50.400 --> 00:22:55.080]   What I mean is understanding God's will
[00:22:55.080 --> 00:22:57.840]   makes you wise in marriage.
[00:22:57.840 --> 00:23:02.080]   Understanding God's will makes you good in marriage,
[00:23:02.080 --> 00:23:04.080]   a good husband and a good wife.
[00:23:04.080 --> 00:23:06.120]   You know, some people say a key to a happy marriage
[00:23:06.120 --> 00:23:07.200]   is good communication.
[00:23:07.200 --> 00:23:10.240]   And when communication is bad, marriage is bad.
[00:23:10.240 --> 00:23:13.120]   Yeah, there's some credence to that because,
[00:23:13.120 --> 00:23:15.840]   you know, people don't communicate well.
[00:23:15.840 --> 00:23:17.640]   If you're sitting there and you don't have the maturity
[00:23:17.640 --> 00:23:22.640]   to say certain things with calm, with control,
[00:23:22.640 --> 00:23:24.080]   you're gonna ruin the marriage.
[00:23:24.080 --> 00:23:25.360]   And people make much of like,
[00:23:25.360 --> 00:23:27.520]   you know, men are from Mars and women are from Venus
[00:23:27.520 --> 00:23:29.000]   and you just don't understand each other
[00:23:29.000 --> 00:23:30.960]   and it's horrible, right?
[00:23:30.960 --> 00:23:32.960]   Well, yeah, typically men don't know
[00:23:32.960 --> 00:23:34.440]   how to express things into words.
[00:23:34.440 --> 00:23:36.520]   They're not used to like digging deep
[00:23:36.520 --> 00:23:38.160]   and why did I do this?
[00:23:38.160 --> 00:23:39.720]   And what am I feeling right now?
[00:23:39.720 --> 00:23:41.640]   It's just, we're not used to it, all that kind of stuff.
[00:23:41.640 --> 00:23:42.480]   We need to grow.
[00:23:42.480 --> 00:23:44.200]   A part of it, you just need to grow.
[00:23:44.200 --> 00:23:46.160]   And also ladies, you know,
[00:23:46.160 --> 00:23:47.280]   and the way that they communicate,
[00:23:47.280 --> 00:23:49.920]   sometimes it could be with a kind of complaint
[00:23:49.920 --> 00:23:52.840]   or whatever it may be and we need to grow.
[00:23:52.840 --> 00:23:54.480]   I don't know, like there's differences
[00:23:54.480 --> 00:23:55.480]   in the way that we communicate.
[00:23:55.480 --> 00:23:57.760]   Sometimes we're more verbose, sometimes we're not.
[00:23:57.760 --> 00:23:59.800]   Sometimes we say things, sometimes we don't.
[00:23:59.800 --> 00:24:00.760]   We need to grow.
[00:24:00.760 --> 00:24:01.880]   But the fact of the matter is,
[00:24:01.880 --> 00:24:04.640]   that's not to me the best key to the relationship.
[00:24:04.640 --> 00:24:05.480]   Why?
[00:24:05.480 --> 00:24:08.240]   I have seen people speak two different languages
[00:24:08.240 --> 00:24:09.840]   and yet make it work.
[00:24:09.840 --> 00:24:12.040]   I have seen people who, yes, they need to grow
[00:24:12.040 --> 00:24:12.880]   and all that kind of stuff,
[00:24:12.880 --> 00:24:14.920]   but that may not be the key key, okay?
[00:24:14.920 --> 00:24:16.960]   The reason why is because,
[00:24:16.960 --> 00:24:20.200]   I think the key key is when a husband understands
[00:24:20.200 --> 00:24:23.560]   God's will, what pleases the Lord,
[00:24:23.560 --> 00:24:26.120]   and he knows what he's supposed to be doing,
[00:24:26.120 --> 00:24:27.480]   that's the key.
[00:24:27.480 --> 00:24:30.560]   Because what's incredibly frustrating on any team,
[00:24:30.560 --> 00:24:31.960]   whether it be a sports team,
[00:24:31.960 --> 00:24:33.480]   whether it's in a business team,
[00:24:33.480 --> 00:24:35.440]   whether it's in a school team,
[00:24:35.440 --> 00:24:36.680]   whatever it may be,
[00:24:36.680 --> 00:24:39.720]   if an individual is unwilling and unknowing
[00:24:39.720 --> 00:24:41.160]   of what they're supposed to do,
[00:24:41.160 --> 00:24:44.720]   automatically it's dysfunctional, right?
[00:24:44.720 --> 00:24:46.400]   Automatically it's dysfunctional.
[00:24:46.400 --> 00:24:49.560]   And that's what I'm talking about here.
[00:24:49.560 --> 00:24:52.320]   What's worse than a person who perhaps doesn't even know
[00:24:52.320 --> 00:24:53.600]   what they're supposed to be doing,
[00:24:53.600 --> 00:24:58.400]   is a person who in their selfishness, laziness, rebellion,
[00:24:58.400 --> 00:25:00.320]   they know what they're supposed to be doing,
[00:25:00.320 --> 00:25:02.840]   but they're in disobedience.
[00:25:02.840 --> 00:25:06.200]   The fool does not obey God.
[00:25:06.200 --> 00:25:10.960]   The fool doesn't know what the Lord likes.
[00:25:10.960 --> 00:25:14.480]   And within marriage, if a husband or a wife,
[00:25:14.480 --> 00:25:16.800]   they don't know their God-given,
[00:25:16.800 --> 00:25:21.400]   what God is pleased by as he sees a husband,
[00:25:21.400 --> 00:25:23.200]   but if they don't know what God is pleased by
[00:25:23.200 --> 00:25:25.480]   of what he sees as a wife,
[00:25:25.480 --> 00:25:28.800]   then yeah, that relationship is already on the rocks.
[00:25:28.800 --> 00:25:31.440]   And that's why we're talking about here,
[00:25:31.440 --> 00:25:35.720]   what's wise when we see the Lord is to abide in him.
[00:25:35.720 --> 00:25:40.440]   What's wise is the desire to know what he is pleased by.
[00:25:40.440 --> 00:25:44.360]   Next, commandment number four, be filled with the spirit.
[00:25:44.360 --> 00:25:46.440]   Be filled with the spirit.
[00:25:46.440 --> 00:25:48.520]   The passage commands us and says,
[00:25:48.520 --> 00:25:52.160]   and do not get drunk with wine, for that is dissipation,
[00:25:52.160 --> 00:25:54.160]   but be filled with the spirit,
[00:25:54.160 --> 00:25:56.200]   speaking to one another in Psalms, hymns,
[00:25:56.200 --> 00:25:57.320]   and spiritual songs,
[00:25:57.320 --> 00:26:00.960]   singing, making melody with your heart to the Lord,
[00:26:00.960 --> 00:26:03.920]   always giving thanks for all things in the name of our Lord,
[00:26:03.920 --> 00:26:06.240]   Jesus Christ, to God, even the Father.
[00:26:06.240 --> 00:26:09.160]   Now here and now is a beefy chunk of text
[00:26:09.160 --> 00:26:14.120]   that could even like require an hour of study on its own.
[00:26:14.120 --> 00:26:15.920]   We don't have the time for that.
[00:26:15.920 --> 00:26:19.600]   So we're just gonna make some major observations
[00:26:19.600 --> 00:26:20.840]   and move forward from there.
[00:26:20.840 --> 00:26:22.440]   Take a look at this observation.
[00:26:22.440 --> 00:26:24.160]   You recognize there is this contrast.
[00:26:24.160 --> 00:26:26.640]   Before it said, don't be fool, be wise, right?
[00:26:26.640 --> 00:26:28.720]   Don't be careless, be wise.
[00:26:28.720 --> 00:26:30.760]   Don't be a fool, understand what the will of the Lord is.
[00:26:30.760 --> 00:26:35.280]   Here it says, don't get drunk, for that is dissipation.
[00:26:35.280 --> 00:26:38.640]   So when you have this kind of comparing contrast,
[00:26:38.640 --> 00:26:40.040]   but be filled with the spirit,
[00:26:40.040 --> 00:26:42.520]   you have, in order to kind of appreciate it,
[00:26:42.520 --> 00:26:45.280]   you gotta really appreciate the contrast, okay?
[00:26:45.280 --> 00:26:46.800]   And so we have to ask this question,
[00:26:46.800 --> 00:26:49.280]   what is it about drunkenness?
[00:26:49.280 --> 00:26:52.600]   And what's interesting is the passage describes drunkenness
[00:26:52.600 --> 00:26:54.200]   as dissipation.
[00:26:54.200 --> 00:26:56.560]   What's more, I started asking this question,
[00:26:56.560 --> 00:26:58.600]   why do people love getting drunk so much?
[00:26:58.600 --> 00:27:00.640]   What is appealing about drunkenness
[00:27:00.640 --> 00:27:03.320]   that some people would actually desire drunkenness
[00:27:03.320 --> 00:27:06.240]   over being filled with the spirit of God?
[00:27:06.240 --> 00:27:08.800]   Why does this world, the unsaved world,
[00:27:08.800 --> 00:27:10.680]   turn to drunkenness so much?
[00:27:10.680 --> 00:27:12.720]   Why is it that pretty much every holiday,
[00:27:12.720 --> 00:27:15.440]   every celebration, it involves alcohol?
[00:27:15.440 --> 00:27:18.000]   People get married, woo-hoo, drinks.
[00:27:18.000 --> 00:27:20.360]   People have their birthdays, woo-hoo, drinks.
[00:27:20.360 --> 00:27:22.880]   It's St. Patrick's Day, woo-hoo, let's drink, right?
[00:27:22.880 --> 00:27:24.960]   People, you know, when they go to sporting events
[00:27:24.960 --> 00:27:25.960]   and their team wins, woo,
[00:27:25.960 --> 00:27:27.800]   let's just shower each other with champagne, right?
[00:27:27.800 --> 00:27:30.320]   Like, what is it with drinking?
[00:27:30.320 --> 00:27:33.480]   And one of the things I realize is
[00:27:33.480 --> 00:27:36.040]   people turn to drinking for a sense of joy.
[00:27:36.040 --> 00:27:39.760]   It is celebration.
[00:27:39.760 --> 00:27:44.200]   It's to them the expression of joy and happiness.
[00:27:44.200 --> 00:27:46.360]   But on the flip side, you know what's also interesting?
[00:27:46.360 --> 00:27:48.560]   People turn to drinking when they're sad.
[00:27:48.560 --> 00:27:50.800]   Drinking alcoholism is depressing,
[00:27:50.800 --> 00:27:53.800]   and they want to drink away their worries and sorrows.
[00:27:53.800 --> 00:27:55.320]   They're disappointed with this world?
[00:27:55.320 --> 00:27:56.200]   Go drink.
[00:27:56.200 --> 00:27:57.320]   They just got in a fight?
[00:27:57.320 --> 00:27:58.320]   Go drink.
[00:27:58.320 --> 00:28:00.960]   They're pissed off 'cause they got laid off at work?
[00:28:00.960 --> 00:28:02.040]   Go to the bar.
[00:28:02.040 --> 00:28:06.480]   People turn to alcohol when they're sad.
[00:28:06.480 --> 00:28:08.280]   And what are they looking for?
[00:28:08.280 --> 00:28:10.560]   I think they're still looking for joy.
[00:28:10.560 --> 00:28:13.720]   What's very interesting is this term for dissipation.
[00:28:13.720 --> 00:28:15.200]   I mean, you get the idea, right?
[00:28:15.200 --> 00:28:16.040]   Dissipate.
[00:28:16.040 --> 00:28:20.280]   It's like, it's windowing down, okay?
[00:28:20.280 --> 00:28:21.240]   And what's really interesting,
[00:28:21.240 --> 00:28:23.640]   it's a kind of a verbose word.
[00:28:23.640 --> 00:28:28.640]   The literal term is to extravagantly squander, right?
[00:28:28.640 --> 00:28:30.240]   It's like, woo!
[00:28:30.240 --> 00:28:32.160]   And the picture that I got is a rich boy.
[00:28:32.160 --> 00:28:33.680]   Like in our day, you have these rich people
[00:28:33.680 --> 00:28:35.000]   who are just like, "I'm gonna buy this.
[00:28:35.000 --> 00:28:35.840]   I'm gonna buy that.
[00:28:35.840 --> 00:28:36.800]   I'm gonna buy this."
[00:28:36.800 --> 00:28:37.920]   And what's very interesting is
[00:28:37.920 --> 00:28:41.200]   in one of the theological dictionaries of this term,
[00:28:41.200 --> 00:28:46.040]   the term is astos, they liken it to the prodigal son,
[00:28:46.040 --> 00:28:48.320]   one who spends so much,
[00:28:48.320 --> 00:28:51.920]   he slides easily into fatal influences of flattery,
[00:28:51.920 --> 00:28:54.400]   of temptation, and surrounds himself,
[00:28:54.400 --> 00:28:58.080]   spending freely to his own lusts and appetites.
[00:28:58.080 --> 00:28:58.920]   Why?
[00:28:59.880 --> 00:29:02.160]   Because the prodigal son believed
[00:29:02.160 --> 00:29:05.200]   to spend his cash would be more happier and joyous
[00:29:05.200 --> 00:29:08.160]   than to be with his father, who's wealthy.
[00:29:08.160 --> 00:29:10.240]   The prodigal son believed
[00:29:10.240 --> 00:29:12.560]   that that would be to him his greater freedom.
[00:29:12.560 --> 00:29:18.280]   His wanton manner of living would be to him more satisfying.
[00:29:18.280 --> 00:29:20.440]   Brothers and sisters,
[00:29:20.440 --> 00:29:22.560]   when the scripture says, "Be filled with spirit,"
[00:29:22.560 --> 00:29:23.960]   sometimes people are thinking like,
[00:29:23.960 --> 00:29:26.520]   "Let's be filled with power," right?
[00:29:26.520 --> 00:29:30.280]   Let's be filled with greater capacity to do stuff.
[00:29:30.280 --> 00:29:34.000]   Well, potentially, yes, the spirit does empower us.
[00:29:34.000 --> 00:29:38.400]   But here and now, the contrast is here being drunken on wine,
[00:29:38.400 --> 00:29:41.520]   that's dissipation, extravagant spending
[00:29:41.520 --> 00:29:46.040]   and squandering and waste, thinking you're satisfied.
[00:29:46.040 --> 00:29:48.680]   But to be filled with the spirit,
[00:29:48.680 --> 00:29:52.600]   then in contrast, actually is to be filled with great joy
[00:29:52.600 --> 00:29:55.120]   because you have the Father's blessing.
[00:29:55.120 --> 00:29:56.680]   You have God's goodwill.
[00:29:56.680 --> 00:29:58.140]   Yes, you have his power.
[00:29:58.140 --> 00:29:59.240]   You have his wisdom.
[00:29:59.240 --> 00:30:01.760]   You have his purpose, his truth, his work.
[00:30:01.760 --> 00:30:04.320]   You have him sufficiently.
[00:30:04.320 --> 00:30:08.760]   And what you are resorting to,
[00:30:08.760 --> 00:30:11.120]   what you are using up and enjoying
[00:30:11.120 --> 00:30:15.240]   and taking to full advantage is the presence of God himself.
[00:30:15.240 --> 00:30:19.200]   What you have is the control of God.
[00:30:19.200 --> 00:30:21.160]   What you have is a resource of God.
[00:30:21.160 --> 00:30:23.320]   And it's all consistent with the theme of Ephesians,
[00:30:23.320 --> 00:30:25.240]   "Blessed be God who has blessed us
[00:30:25.240 --> 00:30:29.400]   with every spiritual blessings in Christ in the heavens."
[00:30:29.400 --> 00:30:35.200]   We've been given everything and we need to be filled with it.
[00:30:35.200 --> 00:30:37.120]   And that is the spirit of God.
[00:30:37.120 --> 00:30:38.280]   Why do I say this?
[00:30:38.280 --> 00:30:41.080]   Because if you look at this observation,
[00:30:41.080 --> 00:30:43.160]   what he describes,
[00:30:43.160 --> 00:30:45.240]   underneath being filled with the spirit,
[00:30:45.240 --> 00:30:49.040]   what he describes is speaking with Psalms,
[00:30:49.040 --> 00:30:50.160]   hymns and spiritual songs,
[00:30:50.160 --> 00:30:53.120]   singing with making melody and giving thanks.
[00:30:53.120 --> 00:30:56.400]   So when you're speaking and singing and giving,
[00:30:56.400 --> 00:31:00.560]   you're filled, you're satisfied.
[00:31:00.560 --> 00:31:01.920]   And the way that I would like to put it
[00:31:01.920 --> 00:31:06.760]   is command number five is overflow with joy and thanksgiving.
[00:31:06.760 --> 00:31:09.160]   To be filled with the spirit is descriptive of,
[00:31:09.160 --> 00:31:12.880]   or is described as having an overflow of joy
[00:31:12.880 --> 00:31:14.360]   and thanksgiving to our God
[00:31:14.360 --> 00:31:17.680]   and to our brothers and sisters, right?
[00:31:17.680 --> 00:31:20.400]   We need to be filled with truth,
[00:31:20.400 --> 00:31:24.400]   with songs of joy, with melody in our heart.
[00:31:24.400 --> 00:31:26.880]   And this understanding, if you're wise,
[00:31:26.880 --> 00:31:28.720]   you have this understanding.
[00:31:28.720 --> 00:31:31.360]   I have been made complete in Christ.
[00:31:31.360 --> 00:31:34.720]   I have the spirit of God in dwelling in my heart,
[00:31:34.720 --> 00:31:38.360]   securing me, filling me.
[00:31:38.360 --> 00:31:41.480]   And what that comes out in is an incredible confidence
[00:31:41.480 --> 00:31:43.880]   and also thankfulness.
[00:31:43.880 --> 00:31:45.280]   Think about this,
[00:31:45.280 --> 00:31:49.520]   when a rich child, that rich child is spending his money.
[00:31:49.520 --> 00:31:50.920]   What's really interesting is if you look
[00:31:50.920 --> 00:31:53.880]   not only at a snapshot of that child spending his money,
[00:31:53.880 --> 00:31:57.280]   you also see children of rich people killing themselves,
[00:31:57.280 --> 00:31:59.480]   suicide, ODing on drugs.
[00:31:59.480 --> 00:32:00.680]   That's not just like one or two,
[00:32:00.680 --> 00:32:03.480]   we've seen it as a pattern amongst rich people,
[00:32:03.480 --> 00:32:06.200]   celebrity children, whatever it may be.
[00:32:06.200 --> 00:32:09.440]   And you almost realize like there is a foolishness there.
[00:32:09.440 --> 00:32:12.560]   You pretty much have it so good
[00:32:12.560 --> 00:32:15.120]   and yet you're so thankless.
[00:32:15.120 --> 00:32:19.800]   You rage over stuff and then you get destructive.
[00:32:19.800 --> 00:32:23.080]   There is a foolishness marked in that.
[00:32:23.080 --> 00:32:25.960]   There is a wisdom marked in seeing the gospel,
[00:32:25.960 --> 00:32:28.600]   seeing the Savior, seeing his spirit,
[00:32:28.600 --> 00:32:32.440]   being filled with this truth and overflowing with gratitude.
[00:32:32.440 --> 00:32:34.240]   That's to our wisdom.
[00:32:34.240 --> 00:32:38.000]   Next, the final portion of this text says,
[00:32:38.000 --> 00:32:41.800]   and be subject to one another in the fear of Christ.
[00:32:41.800 --> 00:32:44.320]   And so the commandment that we're to recognize
[00:32:44.320 --> 00:32:49.320]   is that in the wisdom of God, we need to humble ourselves.
[00:32:49.320 --> 00:32:54.760]   If we are walking carefully, if you're walking in sight,
[00:32:54.760 --> 00:32:56.520]   you got your eyes open,
[00:32:56.520 --> 00:32:58.600]   then you need to be the most humble people.
[00:32:58.600 --> 00:33:03.040]   Scripture tells us that if you know the will of God,
[00:33:03.040 --> 00:33:06.600]   sorry, the fear of God, if you know the fear of God,
[00:33:06.600 --> 00:33:08.480]   if you understand God's authority,
[00:33:08.480 --> 00:33:12.720]   you understand God's power, you understand who he is to us,
[00:33:12.720 --> 00:33:14.320]   that there is the beginning of wisdom
[00:33:14.320 --> 00:33:17.440]   because then we know how to humble ourselves,
[00:33:17.440 --> 00:33:19.920]   to walk humbly with God.
[00:33:19.920 --> 00:33:22.000]   And therefore, if there's any heart in us
[00:33:22.000 --> 00:33:24.480]   that says like, "I'm the man,"
[00:33:24.480 --> 00:33:26.680]   that's absolute foolishness.
[00:33:26.680 --> 00:33:28.080]   So what am I saying?
[00:33:28.080 --> 00:33:31.440]   Arrogance and pride is absolute stupidity.
[00:33:31.440 --> 00:33:33.320]   It's silly.
[00:33:33.320 --> 00:33:36.360]   If someone says, "I'm the man,"
[00:33:36.360 --> 00:33:39.320]   that means they haven't seen much, they're blind.
[00:33:39.320 --> 00:33:40.880]   If someone says, "I'm better than you,"
[00:33:40.880 --> 00:33:43.640]   it means they're liars and they're deceived.
[00:33:43.640 --> 00:33:44.960]   It's all foolishness.
[00:33:44.960 --> 00:33:47.360]   And I want you to think about this scenario.
[00:33:47.360 --> 00:33:50.640]   Given that sometimes we can make an appropriate judgment,
[00:33:50.640 --> 00:33:53.040]   you may be better than somebody in your work.
[00:33:53.040 --> 00:33:54.040]   You're more successful.
[00:33:54.040 --> 00:33:55.080]   I'm better than that person.
[00:33:55.080 --> 00:33:56.400]   You can be, right?
[00:33:56.400 --> 00:33:59.000]   But think about the arrogance to say it.
[00:33:59.000 --> 00:34:03.320]   What that means is all you are seeing is you
[00:34:03.320 --> 00:34:05.760]   and that singular individual you think you're better than.
[00:34:05.760 --> 00:34:07.280]   But can you say it?
[00:34:07.280 --> 00:34:09.040]   I want you to think about this.
[00:34:09.040 --> 00:34:12.640]   You know, lately Michael Jordan has been in the media a lot
