
[00:00:00.000 --> 00:00:04.000]   Testing, testing.
[00:23:05.000 --> 00:23:08.000]   So men, oh, he didn't announce it on Facebook today,
[00:23:08.000 --> 00:23:10.000]   so maybe we could sneak into the parking spot.
[00:23:10.000 --> 00:23:11.000]   No, please don't do that.
[00:23:11.000 --> 00:23:14.000]   Save the closer spots for our ladies.
[00:23:14.000 --> 00:23:19.000]   And then, you know, and you guys will walk a little bit farther.
[00:23:19.000 --> 00:23:21.000]   Okay?
[00:23:21.000 --> 00:23:24.000]   Same thing, no parking on Wednesdays over here
[00:23:24.000 --> 00:23:26.000]   or on the street.
[00:23:26.000 --> 00:23:32.000]   And if you get here before 5, don't park in our neighbor's lots.
[00:23:32.000 --> 00:23:36.000]   But here's a very important announcement for parking.
[00:23:36.000 --> 00:23:38.000]   You heard it on Sunday from Pastor Peter.
[00:23:38.000 --> 00:23:41.000]   The Kimco lot here, okay,
[00:23:41.000 --> 00:23:44.000]   and then this cafe building lot here,
[00:23:44.000 --> 00:23:46.000]   we are going to designate it on Sundays
[00:23:46.000 --> 00:23:49.000]   for families with small children only.
[00:23:49.000 --> 00:23:54.000]   Part of it is we do not want our kids crossing the street at all.
[00:23:54.000 --> 00:23:57.000]   Not just as you would understand why.
[00:23:57.000 --> 00:23:59.000]   And even if you're driving 15 miles an hour,
[00:23:59.000 --> 00:24:02.000]   a kid can just dart in.
[00:24:02.000 --> 00:24:04.000]   All it takes is one bad incident,
[00:24:04.000 --> 00:24:07.000]   and we have a lot of kids now running around there,
[00:24:07.000 --> 00:24:08.000]   and we're trying to remedy this thing.
[00:24:08.000 --> 00:24:12.000]   But for now, if you guys are able,
[00:24:12.000 --> 00:24:17.000]   don't park here so that we can have the kids not have to ever cross the street
[00:24:17.000 --> 00:24:20.000]   because that's by all means avoidable.
[00:24:20.000 --> 00:24:22.000]   Cool? Okay?
[00:24:22.000 --> 00:24:24.000]   And just because there aren't people like watching you,
[00:24:24.000 --> 00:24:26.000]   you know God is always watching.
[00:24:26.000 --> 00:24:28.000]   Okay?
[00:24:28.000 --> 00:24:30.000]   So please do.
[00:24:30.000 --> 00:24:33.000]   And then, if you are a parent,
[00:24:33.000 --> 00:24:36.000]   one of the things is we have a lot of kids
[00:24:36.000 --> 00:24:39.000]   jumping across the little AstroTurf hill
[00:24:39.000 --> 00:24:42.000]   and playing on the sidewalk.
[00:24:42.000 --> 00:24:45.000]   Please watch your kid, okay, if you are a parent.
[00:24:45.000 --> 00:24:47.000]   We are going to try to figure out ways
[00:24:47.000 --> 00:24:50.000]   where your kids can play in a safer area.
[00:24:50.000 --> 00:24:53.000]   But for the time being, I know you love to talk to people,
[00:24:53.000 --> 00:24:55.000]   but watch your kid first.
[00:24:55.000 --> 00:25:00.000]   That's one that we do have a request for.
[00:25:00.000 --> 00:25:02.000]   Men, we're having a workshop.
[00:25:02.000 --> 00:25:04.000]   Ignore the galbijjim part.
[00:25:04.000 --> 00:25:07.000]   We're having a workshop where we're going to be spiritually fed
[00:25:07.000 --> 00:25:10.000]   with spiritual meat.
[00:25:10.000 --> 00:25:12.000]   And then we're going to learn how to share spiritual meat with one another
[00:25:12.000 --> 00:25:15.000]   through the topic of accountability.
[00:25:15.000 --> 00:25:19.000]   And then, if you want to donate $10 for the real meat,
[00:25:19.000 --> 00:25:23.000]   I mean, not the real meat, like cow meat,
[00:25:23.000 --> 00:25:26.000]   then we'll have that for lunch.
[00:25:26.000 --> 00:25:29.000]   But today is the last day to sign up.
[00:25:29.000 --> 00:25:32.000]   And then I'm putting the groups together with Pastor Peter tomorrow morning.
[00:25:32.000 --> 00:25:36.000]   So if you want, you can do this right now if you haven't signed up already.
[00:25:36.000 --> 00:25:43.000]   And if you haven't paid, please remember to pay.
[00:25:43.000 --> 00:25:48.000]   Someone told me to announce something that I completely now don't remember what it was.
[00:25:48.000 --> 00:25:51.000]   Who told me to announce something?
[00:25:51.000 --> 00:25:54.000]   Alex, what was it that you wanted me to announce?
[00:25:54.000 --> 00:25:57.000]   For babysitting and for facility prep and cleanup.
[00:25:57.000 --> 00:25:59.000]   Yes.
[00:25:59.000 --> 00:26:03.000]   So we do need a lot of help setting the tables up,
[00:26:03.000 --> 00:26:06.000]   setting the chairs up for Bible study.
[00:26:06.000 --> 00:26:10.000]   So there is a sign-up sheet that all the small--actually, you should have access to.
[00:26:10.000 --> 00:26:12.000]   It's that first email that you got.
[00:26:12.000 --> 00:26:16.000]   Please sign up to help with something if you can.
[00:26:16.000 --> 00:26:23.000]   We need help babysitting because we do have a lot of parents who are actually here on site right now with their kids.
[00:26:23.000 --> 00:26:30.000]   But in order to alleviate some of the burdens of them missing so much of the Bible study to watch the kids,
[00:26:30.000 --> 00:26:33.000]   it would help for all of us to kind of go around and watch the kids.
[00:26:33.000 --> 00:26:36.000]   So if you can do that, please sign up for that.
[00:26:36.000 --> 00:26:42.000]   And there's other things you can sign up for on that initial email that you received.
[00:26:42.000 --> 00:26:43.000]   Okay?
[00:26:43.000 --> 00:26:47.000]   So here's a couple of prep questions for next week.
[00:26:47.000 --> 00:26:52.000]   Read and prepare 11 to 17.
[00:26:52.000 --> 00:26:58.000]   The following weeks is going to feel a lot shorter, but the break was at verse 17.
[00:26:58.000 --> 00:27:03.000]   So this one is going to feel a lot more wordy, but content-wise it's not a lot.
[00:27:03.000 --> 00:27:09.000]   So 11 to 17, and one thing that you want to keep in mind as you're preparing is what does Paul's conversion--
[00:27:09.000 --> 00:27:12.000]   and this is his longest autobiography, this whole section.
[00:27:12.000 --> 00:27:15.000]   In the whole of Scriptures, this is the most he writes about himself.
[00:27:15.000 --> 00:27:19.000]   What does Paul's conversion reveal about the gospel of Christ?
[00:27:19.000 --> 00:27:23.000]   And then what role did Paul play in his own salvation?
[00:27:23.000 --> 00:27:28.000]   I kind of gave it away with the mosquito illustration, but try to discern that from the text.
[00:27:28.000 --> 00:27:29.000]   Okay?
[00:27:29.000 --> 00:27:35.000]   And I'm going to post these up on Facebook either tonight or tomorrow morning with the verses.
[00:27:35.000 --> 00:27:39.000]   This is your group's discussion.
[00:27:39.000 --> 00:27:42.000]   Do you tend to wrestle more with legalism or antinomianism?
[00:27:42.000 --> 00:27:47.000]   If you don't know what antinomianism means, just think of it as like just, you know,
[00:27:47.000 --> 00:27:49.000]   one saved, always saved, whatever I do doesn't affect anything.
[00:27:49.000 --> 00:27:53.000]   It's like no law in my life.
[00:27:53.000 --> 00:27:54.000]   Okay?
[00:27:54.000 --> 00:27:57.000]   So which way does your pendulum swing?
[00:27:57.000 --> 00:28:02.000]   And what are the potential errors in your understanding of the gospel of Jesus Christ?
[00:28:02.000 --> 00:28:03.000]   Okay?
[00:28:03.000 --> 00:28:08.000]   Second, do you struggle with the assurance of salvation?
[00:28:08.000 --> 00:28:16.000]   Through Galatians, it could be a genuine question like, "Did I get here by my effort, or did God save me?
[00:28:16.000 --> 00:28:18.000]   How do I know?"
[00:28:18.000 --> 00:28:22.000]   If so, what are the things that cause that struggle?
[00:28:22.000 --> 00:28:25.000]   And then how do you help someone who is struggling with doubt?
[00:28:25.000 --> 00:28:29.000]   Remember, if you get the gospel wrong, I'm not going to say that, okay?
[00:28:29.000 --> 00:28:32.000]   So how do you help someone struggling with doubt?
[00:28:32.000 --> 00:28:35.000]   Do you give them false hope?
[00:28:35.000 --> 00:28:36.000]   Okay?
[00:28:36.000 --> 00:28:37.000]   How do you help?
[00:28:37.000 --> 00:28:41.000]   And then how do you make sure you do not compromise the gospel in your efforts to help him or her?
[00:28:41.000 --> 00:28:47.000]   And then lastly, in what ways can your group members help you grow in becoming a better bond servant of Christ?
[00:28:47.000 --> 00:28:49.000]   All right, let me pray.
[00:28:49.000 --> 00:29:01.000]   Father, we thank you for just reminding us afresh that you are holy and that you are beyond our comprehension.
[00:29:01.000 --> 00:29:12.000]   And it is very strange that you would be such a God of grace and kindness and mercy and compassion.
[00:29:12.000 --> 00:29:19.000]   And I pray that as we reflect on it, cause us to be in awe, wonder, and reverence.
[00:29:19.000 --> 00:29:25.000]   And in response, Lord, help us to fall down in adoration and worship.
[00:29:25.000 --> 00:29:31.000]   And in application, help us to grow to have the same compassion for those around us.
[00:29:31.000 --> 00:29:39.000]   So Lord, would you empower us to preach the good news of Christ, even if it is foolishness, to those who are perishing?
[00:29:39.000 --> 00:29:46.000]   Because there are many who you will save through your gospel truth.
[00:29:46.000 --> 00:29:55.000]   So we pray, Father, for your help that we would feed well off of these truths and apply it powerfully in our lives.
[00:29:55.000 --> 00:29:57.000]   For your glory and for our joy.
[00:29:57.000 --> 00:29:59.000]   And pray this in Jesus' name.
[00:29:59.000 --> 00:30:09.000]   [BLANK_AUDIO]

