
[00:00:00.000 --> 00:00:08.400]   Okay, all right.
[00:22:53.920 --> 00:22:59.000]   And the ministry of the church, we're all going to be essentially, you know, contributing
[00:22:59.000 --> 00:23:02.520]   to piece by piece, the ministry together.
[00:23:02.520 --> 00:23:03.520]   Okay?
[00:23:03.520 --> 00:23:09.560]   I just wanted to make that point as we start listing some of these things that we have.
[00:23:09.560 --> 00:23:12.860]   You know, there are other things I just kind of mentioned.
[00:23:12.860 --> 00:23:17.760]   You know, in terms of shepherding from a leadership level, we definitely hope to do equipping,
[00:23:17.760 --> 00:23:18.760]   right?
[00:23:18.760 --> 00:23:27.720]   Equipping as a, you know, in terms of allowing the church congregation and flock to be able
[00:23:27.720 --> 00:23:29.520]   to do the work of ministry.
[00:23:29.520 --> 00:23:33.120]   Scripture says in Ephesians chapter 4, and that's why the Holy Spirit gave the church
[00:23:33.120 --> 00:23:35.360]   apostles, prophets, teachers, etc.
[00:23:35.360 --> 00:23:36.360]   Why?
[00:23:36.360 --> 00:23:37.960]   So the saints would be equipped.
[00:23:37.960 --> 00:23:38.960]   They would mature.
[00:23:38.960 --> 00:23:42.840]   So there is this maturing and building up and being equipped, right?
[00:23:42.840 --> 00:23:49.520]   And of course, there's the idea of healing in a sense of encouraging, uplifting the ones
[00:23:49.520 --> 00:23:51.980]   that are downcast, right?
[00:23:51.980 --> 00:23:52.980]   So the list can go on.
[00:23:52.980 --> 00:23:54.360]   I don't want to take too much time with that.
[00:23:54.360 --> 00:24:00.220]   But again, please think on the level of just like, yes, this is directed towards elders.
[00:24:00.220 --> 00:24:05.080]   But these are all things that you can take initiative to contribute in terms of the work
[00:24:05.080 --> 00:24:06.920]   of ministry.
[00:24:06.920 --> 00:24:08.280]   Okay?
[00:24:08.280 --> 00:24:10.680]   Now we move into the question though.
[00:24:10.680 --> 00:24:15.080]   Okay, so one of the tasks clearly is overseeing.
[00:24:15.080 --> 00:24:23.120]   But the Scripture in this section delineates how that overseeing should be done so that
[00:24:23.120 --> 00:24:26.080]   it's in accordance with the will of God and it pleases the Father.
[00:24:26.080 --> 00:24:27.080]   Okay?
[00:24:27.080 --> 00:24:28.080]   So here are some blanks.
[00:24:28.080 --> 00:24:32.480]   I'm going to just rapid fire give it to you because it's straight from the passage, right?
[00:24:32.480 --> 00:24:39.280]   One, we should be overseeing, the elders of the church should be overseeing not under
[00:24:39.280 --> 00:24:43.720]   compulsion but voluntarily, right?
[00:24:43.720 --> 00:24:48.680]   They should be overseeing not for sore gain but with eagerness.
[00:24:48.680 --> 00:24:50.160]   Okay?
[00:24:50.160 --> 00:24:52.840]   Not for sore gain but with eagerness.
[00:24:52.840 --> 00:24:59.000]   They should be overseeing not lording it over them but proving to be examples.
[00:24:59.000 --> 00:25:00.280]   Okay?
[00:25:00.280 --> 00:25:04.280]   So not lording it over them but proving to be examples.
[00:25:04.280 --> 00:25:05.680]   Okay.
[00:25:05.680 --> 00:25:09.480]   So, I want to talk about each one.
[00:25:09.480 --> 00:25:15.200]   Remember, I think I mentioned before that when you see this kind of not this but this,
[00:25:15.200 --> 00:25:19.720]   you know, Apostle Peter is given an emphatic challenge here in terms of the hard attitude
[00:25:19.720 --> 00:25:22.640]   behind how shepherds should oversee.
[00:25:22.640 --> 00:25:25.400]   Likewise, think about it for you.
[00:25:25.400 --> 00:25:28.680]   How you serve, how you talk to people.
[00:25:28.680 --> 00:25:31.800]   At some point or another, there's going to be younger Christians who are looking up to
[00:25:31.800 --> 00:25:35.140]   you and how you minister to them.
[00:25:35.140 --> 00:25:38.440]   This is going to play a huge part into, right?
[00:25:38.440 --> 00:25:43.240]   So first, not under compulsion but voluntarily.
[00:25:43.240 --> 00:25:46.640]   Not under compulsion but voluntarily.
[00:25:46.640 --> 00:25:53.600]   He says that there can be circumstances and situations whether you're serving in just
[00:25:53.600 --> 00:25:59.240]   a lay servant, you know, lay member type role or you're serving at a more official leadership
[00:25:59.240 --> 00:26:04.000]   role, there can be circumstances where people don't want to be there.
[00:26:04.000 --> 00:26:08.120]   Where maybe they have in their heart other desires, maybe they're thinking like, "Yeah,
[00:26:08.120 --> 00:26:10.320]   I'd rather be doing something else."
[00:26:10.320 --> 00:26:12.280]   Maybe they were discouraged.
[00:26:12.280 --> 00:26:18.700]   Whatever it may be, they don't have the internal desire but rather the external stuff is propping
[00:26:18.700 --> 00:26:19.700]   them up.
[00:26:19.700 --> 00:26:21.680]   You know, this can happen.
[00:26:21.680 --> 00:26:26.400]   I know times when people because of like bad run-ins.
[00:26:26.400 --> 00:26:30.840]   This happens sometimes where you have a bad run-in with one individual and that completely
[00:26:30.840 --> 00:26:35.200]   like deflates you, you know, and you just kind of feel like, "I don't want to be serving
[00:26:35.200 --> 00:26:37.800]   in this team anymore."
[00:26:37.800 --> 00:26:42.840]   Sometimes it's because your own personal motivation is just lost, you know.
[00:26:42.840 --> 00:26:47.160]   And then once you get to, you're looking for just approval, you're looking just to not
[00:26:47.160 --> 00:26:51.820]   be ashamed, like whatever it may be, that's happening, okay?
[00:26:51.820 --> 00:26:56.120]   So on that level, I just wanted to kind of describe what that kind of scenario could
[00:26:56.120 --> 00:26:57.600]   look like.
[00:26:57.600 --> 00:27:05.280]   For me as I was thinking, you know, just truthfully, "Huh, what are the times when, I don't know,
[00:27:05.280 --> 00:27:08.500]   like I don't want to be doing the work kind of thing?"
[00:27:08.500 --> 00:27:13.200]   And I was just sitting there and trying to examine my heart, you know, asking the question.
[00:27:13.200 --> 00:27:17.900]   And then there wasn't anything like, "Oh, epiphany," you know.
[00:27:17.900 --> 00:27:20.800]   It's all the same stuff we struggle with.
[00:27:20.800 --> 00:27:27.960]   I noticed that when I just flat out get lazy, then everything, everything that I do is because
[00:27:27.960 --> 00:27:29.800]   of compulsion.
[00:27:29.800 --> 00:27:32.780]   Like everything that I do feels forced.
[00:27:32.780 --> 00:27:37.300]   And even the way I talk, like someone asks me like, "Hey, how's your day go?"
[00:27:37.300 --> 00:27:40.000]   And then the next words out of my mouth is what?
[00:27:40.000 --> 00:27:42.900]   "Well, I got to," you know.
[00:27:42.900 --> 00:27:45.080]   And I hear people talk about that too.
[00:27:45.080 --> 00:27:50.200]   And even the regular mundane things where you're normally naturally expected to do,
[00:27:50.200 --> 00:27:53.400]   you start talking about it like, "Well, I got to do this," you know.
[00:27:53.400 --> 00:27:58.520]   "Well, I got to get up and I got to get in my car and I got to drive to work," as if
[00:27:58.520 --> 00:28:02.600]   like everybody in the world does that, you know.
[00:28:02.600 --> 00:28:09.340]   But now everything feels like compulsion if there's laziness in your heart, you know.
[00:28:09.340 --> 00:28:14.280]   And I realized that's a susceptibility for every single person.
[00:28:14.280 --> 00:28:19.160]   And when your heart is in that condition, whether it's the church asking you to do this,
[00:28:19.160 --> 00:28:22.600]   whether it's your wife asking you, husband asking you, children asking you, people you
[00:28:22.600 --> 00:28:25.920]   love asking you, your mom asking you, what does it feel like?
[00:28:25.920 --> 00:28:29.420]   It feels like extra burden, right?
[00:28:29.420 --> 00:28:32.940]   It feels like something extra has been placed on you.
[00:28:32.940 --> 00:28:34.120]   And so I want to give a challenge here.
[00:28:34.120 --> 00:28:38.760]   I mean, that's the, let's not be like that, you know.
[00:28:38.760 --> 00:28:45.560]   Describing that fallen sinfulness for us, that's so easy for even anybody, whether it's
[00:28:45.560 --> 00:28:49.600]   you're high on leadership or you're not on leadership, whatever it may be, you can feel
[00:28:49.600 --> 00:28:54.920]   like everything you're doing is, "I got to," right?
[00:28:54.920 --> 00:28:58.000]   But he says, "Rather do it voluntarily.
[00:28:58.000 --> 00:29:04.600]   Rather do it with a free will of, 'I want to do this,' rather than begrudgingly do it
[00:29:04.600 --> 00:29:06.360]   gladly," right?
[00:29:06.360 --> 00:29:11.960]   That God, knowing that God delights in a cheerful giver, not because of compulsion, not because
[00:29:11.960 --> 00:29:16.200]   someone twisted your arm, someone looked at you and said, "Come on, pay up," though rather
[00:29:16.200 --> 00:29:22.200]   from your own volition, you decided, "This is what I'd like to give to God," right?
[00:29:22.200 --> 00:29:25.180]   "This is how I'd like to serve you."
[00:29:25.180 --> 00:29:28.400]   And that's what he's talking about with this voluntary action.
[00:29:28.400 --> 00:29:35.200]   So we can have sometimes discouragement or whatever, but we have to do things voluntarily.
[00:29:35.200 --> 00:29:40.000]   Can I speak to you guys a little bit on a thinking about leadership thing?
[00:29:40.000 --> 00:29:46.040]   I remember asking Pastor Peter one time, you know, Pastor Peter, I respect him so much
[00:29:46.040 --> 00:29:48.840]   because he see things very clearly.
[00:29:48.840 --> 00:29:50.400]   That's how I view him, you know?
[00:29:50.400 --> 00:29:52.640]   He's very discerning.
[00:29:52.640 --> 00:29:57.000]   And all the fluff and all the different things in life, he's able to like kind of cut through
[00:29:57.000 --> 00:29:59.080]   and say, "Hey, this is the core issue."
[00:29:59.080 --> 00:30:04.840]   And so one time I remember asking him, "When you look at perspective, let's say pastors,
[00:30:04.840 --> 00:30:09.280]   you know, young men who want to be in leadership, what are the key things you look for?"
[00:30:09.280 --> 00:30:10.280]   You know?
[00:30:10.280 --> 00:30:11.280]   I remember asking him that.
[00:30:11.280 --> 00:30:15.960]   And I remember him saying, "Well, there is this, there's a typical things that you know,
[00:30:15.960 --> 00:30:20.600]   like he's got to be holy, he's got to be X, Y, and Z, you know, committed to the church,
[00:30:20.600 --> 00:30:22.560]   be a good member, all that kind of stuff."
[00:30:22.560 --> 00:30:27.400]   But then he says, "There's this intangible, there is this it."
[00:30:27.400 --> 00:30:28.400]   And I was like, "What is it?"
[00:30:28.400 --> 00:30:29.400]   You know?
[00:30:29.400 --> 00:30:30.400]   "There is this it part of it."
[00:30:30.400 --> 00:30:37.080]   And he says, "There is this drive in a young man who's going to be a successful pastor
[00:30:37.080 --> 00:30:42.080]   because he's waiting for no one because there is this desire in his heart where he voluntarily
[00:30:42.080 --> 00:30:47.800]   wants to worship, pray, evangelize, proclaim, serve, and love on people.
[00:30:47.800 --> 00:30:51.120]   He's not waiting for someone to give him an opportunity, so he never complains about lack
[00:30:51.120 --> 00:30:52.480]   of opportunity.
[00:30:52.480 --> 00:30:54.480]   He's not waiting for someone to provide an atmosphere.
[00:30:54.480 --> 00:30:57.940]   He's never talking about lack of space, time, and opportunity.
[00:30:57.940 --> 00:31:01.080]   He just does it because he wants to.
[00:31:01.080 --> 00:31:05.000]   But then when young men start to complain, "Oh, church hasn't given me, you know, a
[00:31:05.000 --> 00:31:08.440]   lens, church hasn't given me a platform, church hasn't given me teaching opportunity," then
[00:31:08.440 --> 00:31:13.840]   you realize there is a revelation of a desire in his heart perhaps for something else than
[00:31:13.840 --> 00:31:20.280]   the purity of voluntarily doing what God has designed.
[00:31:20.280 --> 00:31:24.760]   I remember thinking, "Wow, that's true."
[00:31:24.760 --> 00:31:28.840]   When a young man can get so easily discouraged because he never got a pulpit opportunity,
[00:31:28.840 --> 00:31:30.800]   I mean, is that what he was looking for then?
[00:31:30.800 --> 00:31:33.760]   A nice wood-stained pulpit?
[00:31:33.760 --> 00:31:34.800]   You know?
[00:31:34.800 --> 00:31:37.600]   And that was a really big challenge to my own heart.
[00:31:37.600 --> 00:31:42.600]   Yeah, like in terms of doing work of ministry, serving the Lord, what am I waiting for?
[00:31:42.600 --> 00:31:48.080]   I mean, I have to really ask that question, "What is stopping me?"
[00:31:48.080 --> 00:31:52.880]   And if I really think about it, it's just my perspective, right?
[00:31:52.880 --> 00:31:54.200]   It's my faith.
[00:31:54.200 --> 00:31:58.600]   And so anyway, we're thinking about this challenge to the elders and saying, "Don't do it by
[00:31:58.600 --> 00:31:59.600]   compulsion.
[00:31:59.600 --> 00:32:03.460]   Don't do it with begrudging, like forced duty.
[00:32:03.460 --> 00:32:07.160]   It is a duty, but nonetheless, do it with voluntary."
[00:32:07.160 --> 00:32:12.560]   And you know that God is desiring for us in His will to serve Him wholeheartedly in that
[00:32:12.560 --> 00:32:14.040]   way.
[00:32:14.040 --> 00:32:20.560]   Next, the next hard attitude that Apostle Peter says to the elders, and he says this,
[00:32:20.560 --> 00:32:28.160]   "When you're overseeing the flock, do it not for sword gain, but with eagerness, but with
[00:32:28.160 --> 00:32:30.080]   eagerness."
[00:32:30.080 --> 00:32:35.320]   Here's an interesting idea about sword gain, okay?
[00:32:35.320 --> 00:32:40.240]   In life, we could have a conflict of interest, right?
[00:32:40.240 --> 00:32:46.480]   We can be in a situation where we have a conflict of interest, and when there is a greediness
[00:32:46.480 --> 00:32:49.560]   in the heart, when there was a longing, not just for money.
[00:32:49.560 --> 00:32:53.240]   I mean, we know the people who long for money.
[00:32:53.240 --> 00:32:58.400]   You know, I remember very distinctly, I was watching these interviews with one of those
[00:32:58.400 --> 00:33:03.200]   prosperity gospel people, and that kind of stuff, I mean, it's just so blatant, right?
[00:33:03.200 --> 00:33:05.200]   There is a guy named T.D.
[00:33:05.200 --> 00:33:06.200]   Jakes.
[00:33:06.200 --> 00:33:10.160]   He's so blatant, it's not even, you know, some of the other prosperity gospel guys, they'll
[00:33:10.160 --> 00:33:14.200]   kind of like weasel and say, "Oh, you know, like God is blessing us, and we're still pursuing
[00:33:14.200 --> 00:33:15.200]   God."
[00:33:15.200 --> 00:33:16.200]   T.D.
[00:33:16.200 --> 00:33:19.640]   Jakes, I'm just, I'm flat out naming him because I've never met a guy who's so blunt.
[00:33:19.640 --> 00:33:26.540]   He's getting interviewed by NBC, and he said, "God is the best product out there to sell."
[00:33:26.540 --> 00:33:30.120]   And he just flat out said, "Jesus sells, and when you've got a good product, you don't
[00:33:30.120 --> 00:33:31.760]   even have to be that good of a salesman."
[00:33:31.760 --> 00:33:36.480]   I mean, he just would say stuff like that, and you're just cringing, like, "Oh my gosh,
[00:33:36.480 --> 00:33:38.420]   what's wrong with you?"
[00:33:38.420 --> 00:33:44.840]   How can, like, he had this event over two weekends, and supposedly 500,000 people went
[00:33:44.840 --> 00:33:46.680]   through his event.
[00:33:46.680 --> 00:33:52.080]   Regularly on a Sunday, there's 30,000 people who meet at his church, and you're just thinking,
[00:33:52.080 --> 00:33:54.080]   "Mind-boggling," right?
[00:33:54.080 --> 00:33:55.320]   "Mind-boggling."
[00:33:55.320 --> 00:33:59.680]   But at the same time, you take a moment, you look into your heart, and again, this was
[00:33:59.680 --> 00:34:04.960]   a tough passage for me, because every time I kind of look back, and I say, "Okay, perhaps
[00:34:04.960 --> 00:34:10.200]   maybe, maybe, I'm not as blatantly greedy for money."
[00:34:10.200 --> 00:34:12.560]   But we can get greedy, you know?
[00:34:12.560 --> 00:34:16.440]   I mean, who doesn't want to work and reap the benefits of it?
[00:34:16.440 --> 00:34:19.520]   Who doesn't want to receive credit for what he's done?
[00:34:19.520 --> 00:34:22.440]   Who doesn't want to at least receive whatever it may be?
[00:34:22.440 --> 00:34:28.320]   It doesn't have to be physical, tangible, monetary good, but he can receive other stuff.
[00:34:28.320 --> 00:34:30.240]   Who doesn't want more?
[00:34:30.240 --> 00:34:35.440]   Want more of control, want more of X, Y, and Z, want more of this, want more of that, and
[00:34:35.440 --> 00:34:40.600]   there can be a greediness in our heart, even when we are serving God.
[00:34:40.600 --> 00:34:43.280]   And we have to watch out for that.
[00:34:43.280 --> 00:34:48.480]   But instead, but instead, oh, I forgot this story.
[00:34:48.480 --> 00:34:53.760]   So Peter, he has words for people who have greediness in their heart, okay?
[00:34:53.760 --> 00:34:57.040]   There's a story in Acts chapter 8, verse 18.
[00:34:57.040 --> 00:35:03.040]   This was kind of a real like, "Whoa!" moment in the book of Acts, because apostle Peter
[00:35:03.040 --> 00:35:06.920]   is going and preaching, and there's a lot of miracles being done and people being saved,
[00:35:06.920 --> 00:35:07.920]   okay?
[00:35:07.920 --> 00:35:09.480]   So you can turn your Bibles to Acts chapter 8.
[00:35:09.480 --> 00:35:12.900]   I'm going to read a section of it, starting from verse 18, okay?
[00:35:12.900 --> 00:35:18.240]   But just giving you the backdrop of the story, Philip goes and preaches in Samaria, and
[00:35:18.240 --> 00:35:20.960]   people are being converted.
[00:35:20.960 --> 00:35:26.200]   But at that time, the miraculous gift of the Holy Spirit visibly was seen when an apostle
[00:35:26.200 --> 00:35:31.880]   would come so that they could see that the authority of the apostles is giving this blessing
[00:35:31.880 --> 00:35:33.960]   of the Holy Spirit, okay?
[00:35:33.960 --> 00:35:37.960]   So apostle Philip is preaching, people are being converted, and there's this guy named
[00:35:37.960 --> 00:35:42.080]   Simon who used to be a sorcerer, a magician.
[00:35:42.080 --> 00:35:44.360]   So it was his trade to kind of wow people.
[00:35:44.360 --> 00:35:50.400]   It was his trade to get money from the work of something spiritual, you know?
[00:35:50.400 --> 00:35:55.960]   Well, this guy Simon gets converted, and then apostle Peter comes, and that guy is like
[00:35:55.960 --> 00:35:58.480]   big-eyed now, he's like, "Whoa!
[00:35:58.480 --> 00:36:00.960]   What did that apostle just do?"
[00:36:00.960 --> 00:36:04.920]   Apostle Peter just laid hands, and he was blessing people, and there was this miraculous
[00:36:04.920 --> 00:36:09.960]   like coming down of the Spirit, and people were really being transformed, okay?
[00:36:09.960 --> 00:36:12.160]   And so this is where it comes down to.
[00:36:12.160 --> 00:36:17.040]   He says, "Now, when Simon saw that the Spirit was bestowed through the laying on of the
[00:36:17.040 --> 00:36:22.960]   apostles' hands, he offered them money, saying, 'Give me this authority to me as well, so
[00:36:22.960 --> 00:36:26.760]   that everyone on whom I lay my hands may receive the Holy Spirit.'"
[00:36:26.760 --> 00:36:28.840]   And then look at this, Peter has some words for him.
[00:36:28.840 --> 00:36:33.960]   "Peter said to him, 'May your silver perish with you, because you thought you could attain
[00:36:33.960 --> 00:36:35.840]   the gift of God with money.
[00:36:35.840 --> 00:36:41.640]   You have no part, no portion in this matter, for your heart is not right before God.
[00:36:41.640 --> 00:36:46.200]   Therefore repent on this wickedness of yours, and pray, O Lord, that if possible the intention
[00:36:46.200 --> 00:36:48.220]   of your heart may be forgiven you.
[00:36:48.220 --> 00:36:52.920]   For I see that you are in the gall of bitterness and in bondage of iniquity.'"
[00:36:52.920 --> 00:36:56.300]   Dang, right?
[00:36:56.300 --> 00:36:59.360]   Apostle Peter has some really strong, harsh words.
[00:36:59.360 --> 00:37:06.000]   I mean, on the outside appearance, that guy Simon appeared to convert.
[00:37:06.000 --> 00:37:08.040]   He claimed the name of Christ.
[00:37:08.040 --> 00:37:11.480]   On an outside experience, he wanted to do maybe some work, you know?
[00:37:11.480 --> 00:37:16.600]   But as soon as he said, "Ooh," he had this greed in his heart and said, "Can I do that
[00:37:16.600 --> 00:37:17.600]   too?
[00:37:17.600 --> 00:37:18.600]   Here's some money.
[00:37:18.600 --> 00:37:19.600]   Teach me how to do it."
[00:37:19.600 --> 00:37:21.160]   Apostle Peter said, "Your heart is wrong.
[00:37:21.160 --> 00:37:22.880]   You need to get right with God.
[00:37:22.880 --> 00:37:27.760]   You have no part in this portion, and you need to repent."
[00:37:27.760 --> 00:37:30.560]   Very strong words from a man with greediness in his heart.
[00:37:30.560 --> 00:37:35.640]   And so Apostle Peter encourages them that you need to have an eagerness.
[00:37:35.640 --> 00:37:37.760]   You need to have this desire.
[00:37:37.760 --> 00:37:43.840]   The opposite of this greedy selfishness is to have a pure, loving intention for others
[00:37:43.840 --> 00:37:46.520]   where you are desiring for their best.
[00:37:46.520 --> 00:37:51.880]   An eagerness to offer, eagerness to sacrifice, eagerness to do good to all of those who are
[00:37:51.880 --> 00:37:53.600]   near and amidst.
[00:37:53.600 --> 00:37:56.080]   And that's what Apostle Peter is challenging us to have.
[00:37:56.080 --> 00:37:58.920]   For the sake of time, I'm going to read to you another passage.
[00:37:58.920 --> 00:37:59.920]   Just listen.
[00:37:59.920 --> 00:38:04.240]   He says, "And now I commend you to God and the word of His grace, which is able to build
[00:38:04.240 --> 00:38:08.680]   you up and give you the inheritance among all those who are sanctified.
[00:38:08.680 --> 00:38:12.640]   I coveted no one's silver or gold or clothes.
[00:38:12.640 --> 00:38:18.880]   You yourselves know that these hands ministered to my own needs and to men who were with me.
[00:38:18.880 --> 00:38:23.040]   In everything I showed you that by working hard in this manner, you must help the weak
[00:38:23.040 --> 00:38:27.240]   and remember the words of the Lord Jesus that He Himself said, 'It is better, or sorry,
[00:38:27.240 --> 00:38:30.680]   it is more blessed to give than to receive.'
[00:38:30.680 --> 00:38:33.000]   And when He said these things, He knelt down, prayed with all of them.
[00:38:33.000 --> 00:38:37.800]   He began to weep out loud and embrace Paul and repeatedly kissed them."
[00:38:37.800 --> 00:38:41.960]   So he says to them, look at the example that I gave to you, Apostle Paul speaking again
[00:38:41.960 --> 00:38:42.960]   to the Ephesians.
[00:38:42.960 --> 00:38:44.840]   That's from Acts chapter 20 again.
[00:38:44.840 --> 00:38:46.680]   Acts 20 verse 33 and on.
[00:38:46.680 --> 00:38:51.200]   He said, "Remember, my heart and intention was pure with you.
[00:38:51.200 --> 00:38:53.680]   When I had a need, I didn't burden you."
[00:38:53.680 --> 00:38:55.400]   He says that to the Corinthians as well.
[00:38:55.400 --> 00:38:58.600]   I worked hard day and night not to be a burden to you.
[00:38:58.600 --> 00:38:59.600]   Why?
[00:38:59.600 --> 00:39:04.080]   Because I show you I'm loving you voluntarily with eagerness to give to you because I believe
[00:39:04.080 --> 00:39:05.680]   it's better.
[00:39:05.680 --> 00:39:07.680]   My God told me it's more blessed.
[00:39:07.680 --> 00:39:13.120]   It's the more blessed way to give rather than receive.
[00:39:13.120 --> 00:39:18.440]   So rather than, you know, these wicked modern day prosperity gospel teachers looking at
[00:39:18.440 --> 00:39:20.840]   the congregation like, "Good.
[00:39:20.840 --> 00:39:22.680]   Business is good.
[00:39:22.680 --> 00:39:26.160]   Big old fat membership giving tithe every week.
[00:39:26.160 --> 00:39:28.000]   Solid."
[00:39:28.000 --> 00:39:31.240]   Looking at the sheep like something to be squeezed so they can have, you know, things
[00:39:31.240 --> 00:39:32.240]   to sell.
[00:39:32.240 --> 00:39:36.880]   Rather, they're looking at the flock with heart and intention to love and to give and
[00:39:36.880 --> 00:39:38.920]   to minister to them.
[00:39:38.920 --> 00:39:44.280]   So that's not for sword gain but with eagerness in their heart.
[00:39:44.280 --> 00:39:51.560]   And lastly, Apostle Peter says, "The way that we ought to shepherd is not lording over those
[00:39:51.560 --> 00:39:56.960]   allotted to their care but proving to be examples."
[00:39:56.960 --> 00:40:02.520]   Not lording over those allotted to their care but proving to be examples.
[00:40:02.520 --> 00:40:06.600]   You know, from when we're young, we're asked that question.
[00:40:06.600 --> 00:40:09.320]   "What do you want to be when you grow up?"
[00:40:09.320 --> 00:40:10.320]   You know?
[00:40:10.320 --> 00:40:13.960]   And you can just imagine all the kids saying like, "Oh, I want to be..." and then they
[00:40:13.960 --> 00:40:16.000]   all like name the stuff they want to be.
[00:40:16.000 --> 00:40:18.720]   Doctor, you know, X, Y, and Z.
[00:40:18.720 --> 00:40:20.520]   And then there are those kids who are super blunt.
[00:40:20.520 --> 00:40:22.000]   "I want to be the boss."
[00:40:22.000 --> 00:40:23.000]   You know?
[00:40:23.000 --> 00:40:24.480]   "Why do you want to be the boss?"
[00:40:24.480 --> 00:40:27.040]   "Because I just want to boss people around."
[00:40:27.040 --> 00:40:29.560]   "I want to tell people what to do."
[00:40:29.560 --> 00:40:31.600]   It just starts super early.
[00:40:31.600 --> 00:40:33.880]   It starts super early.
[00:40:33.880 --> 00:40:38.880]   This desire to not be under but over.
[00:40:38.880 --> 00:40:42.280]   This desire to dominate people.
[00:40:42.280 --> 00:40:46.520]   Feeling like to lead is actually better than to follow.
[00:40:46.520 --> 00:40:47.560]   Right?
[00:40:47.560 --> 00:40:53.120]   Our worldly convention, our worldly perspective and principle is just that.
[00:40:53.120 --> 00:40:56.400]   It's more blessed to lead and have dominance over people.
[00:40:56.400 --> 00:41:01.240]   But remember it was Jesus Christ who flipped that all completely upside down.
[00:41:01.240 --> 00:41:04.560]   Matthew chapter 20, verse 25 through 28.
[00:41:04.560 --> 00:41:05.560]   Okay?
[00:41:05.560 --> 00:41:08.920]   Jesus said, "Jesus called them to himself and said, 'You know that the rulers of the
[00:41:08.920 --> 00:41:14.360]   Gentiles lorded over them, and their great men exercise authority over them.
[00:41:14.360 --> 00:41:18.640]   It is not this way among you, but whoever wishes to become great among you shall be
[00:41:18.640 --> 00:41:24.800]   your servant, and whoever wishes to be first among you shall be your slave.
[00:41:24.800 --> 00:41:30.320]   Just as the Son of Man did not come to be served, but to serve to give his life a ransom
[00:41:30.320 --> 00:41:32.160]   for many.'"
[00:41:32.160 --> 00:41:39.400]   So the concept here is just this idea like, in number one, there is an arrogance and pride
[00:41:39.400 --> 00:41:42.760]   that can tempt any leader, any servant.
[00:41:42.760 --> 00:41:43.760]   You know?
[00:41:43.760 --> 00:41:48.620]   I mean, there are times and moments where maybe that kind of pride was tested.
[00:41:48.620 --> 00:41:54.120]   Have you ever, you know, have you ever maybe had a small group experience or maybe you
[00:41:54.120 --> 00:41:59.000]   were a small group leader and the guys in your small group disrespected you?
[00:41:59.000 --> 00:42:02.520]   Have you ever had a time when you're at work and you have a certain title but someone just
[00:42:02.520 --> 00:42:03.520]   put like, "Hey, Bob."
[00:42:03.520 --> 00:42:04.520]   You know?
[00:42:04.520 --> 00:42:10.200]   Just completely dismiss your title, completely dismiss your position, whatever it may be.
[00:42:10.200 --> 00:42:15.400]   I mean, we know every single one of us wrestles with pride to a certain degree.
[00:42:15.400 --> 00:42:16.400]   Right?
[00:42:16.400 --> 00:42:18.860]   Well, Apostle Peter is challenging us here.
[00:42:18.860 --> 00:42:22.420]   We have a desire to have control.
[00:42:22.420 --> 00:42:28.260]   We have a desire to sometimes bully people into doing what we want, where our agenda
[00:42:28.260 --> 00:42:35.220]   and desire for like, how this thing should be, you know, becomes so strong that if someone
[00:42:35.220 --> 00:42:37.020]   else says, "I don't want to do it."
[00:42:37.020 --> 00:42:38.220]   It's like, "What'd you say?
[00:42:38.220 --> 00:42:39.220]   Do you know who I am?"
[00:42:39.220 --> 00:42:41.620]   Da-da-da-da-da, you know?
[00:42:41.620 --> 00:42:42.620]   Whatever it may be.
[00:42:43.340 --> 00:42:49.580]   I want to give this challenge here that Apostle Peter is saying, of the many pitfalls of being
[00:42:49.580 --> 00:42:53.660]   a leader, one, we go back and just review real quick.
[00:42:53.660 --> 00:42:56.740]   One, we can do things out of duty and compulsion.
[00:42:56.740 --> 00:43:00.260]   Two, we can do things selfishly out of gain.
[00:43:00.260 --> 00:43:04.380]   Three, we can do things out of arrogance and pride.
[00:43:04.380 --> 00:43:12.300]   Can I remind us, for us as Christians, when we do the work of God, it's not just what
[00:43:12.300 --> 00:43:14.380]   we do that matters.
[00:43:14.380 --> 00:43:17.640]   It's not even just how we do that matters.
[00:43:17.640 --> 00:43:23.180]   For us as Christians, why we do what we do matters immensely.
[00:43:23.180 --> 00:43:28.500]   All three, what we do, how we do it, and why we do it, what motivation for what cause,
[00:43:28.500 --> 00:43:34.460]   what end, and if at that end, it's for my dominance, my position, and my glory, then
[00:43:34.460 --> 00:43:39.980]   even if we're the greatest thing on earth, God would look at us and say, "And you thought
[00:43:39.980 --> 00:43:41.660]   that was impressive?
[00:43:41.660 --> 00:43:42.660]   Racks."
[00:43:42.660 --> 00:43:43.660]   Right?
[00:43:43.660 --> 00:43:47.620]   "And you thought you did it for me?
[00:43:47.620 --> 00:43:49.940]   You hardly know me."
[00:43:49.940 --> 00:43:56.340]   For us as Christians, all of that, in terms of the motivation of the heart, matters intensely,
[00:43:56.340 --> 00:44:04.780]   where our motivation can stain and completely negate all the good works that we've done.
[00:44:04.780 --> 00:44:09.380]   And you've experienced it probably before, where an individual who had maybe offered
[00:44:09.380 --> 00:44:13.740]   you to take you out, an individual who had offered you to do certain things, an individual
[00:44:13.740 --> 00:44:17.220]   who maybe gave you gifts, an individual who showed you a good time, and all that kind
