
[00:00:00.000 --> 00:00:14.960]   th
[00:21:21.820 --> 00:21:27.260]   If you are saved, what are you saved for?
[00:21:27.260 --> 00:21:29.680]   What is your so that?
[00:21:32.740 --> 00:21:36.800]   Biblical illiteracy will produce very weak answers
[00:21:36.800 --> 00:21:37.640]   to this so that.
[00:21:37.640 --> 00:21:41.220]   I am saved so that I can be in heaven.
[00:21:41.220 --> 00:21:44.340]   I am saved so that I can avoid hell.
[00:21:44.340 --> 00:21:46.760]   I have been saved so that I can have a better life
[00:21:46.760 --> 00:21:47.600]   here on earth.
[00:21:47.600 --> 00:21:49.760]   I have been saved so that my life
[00:21:49.760 --> 00:21:51.200]   can have purpose and meaning.
[00:21:51.200 --> 00:21:53.520]   Is that a biblical so that?
[00:21:53.520 --> 00:21:59.160]   What have you been set apart and called for?
[00:21:59.640 --> 00:22:02.720]   Is an applicational question that's important
[00:22:02.720 --> 00:22:03.820]   for us to think about.
[00:22:03.820 --> 00:22:06.580]   Okay?
[00:22:06.580 --> 00:22:09.740]   And one thing that's really cool about Paul,
[00:22:09.740 --> 00:22:11.740]   and this is kind of something to keep on the back burner
[00:22:11.740 --> 00:22:13.400]   when we were looking at Galatians,
[00:22:13.400 --> 00:22:17.940]   but by the grace of God, I am what I am.
[00:22:17.940 --> 00:22:21.640]   And his grace toward me did not prove vain.
[00:22:21.640 --> 00:22:27.780]   But I labored even more than all of the other apostles.
[00:22:28.860 --> 00:22:30.900]   Yet not I, but the grace of God with me.
[00:22:30.900 --> 00:22:36.140]   Did Paul work hard?
[00:22:36.140 --> 00:22:39.540]   Absolutely.
[00:22:39.540 --> 00:22:44.480]   Did he work hard to earn righteousness or salvation?
[00:22:44.480 --> 00:22:47.560]   No.
[00:22:47.560 --> 00:22:50.700]   But the grace of God, which set him apart,
[00:22:50.700 --> 00:22:55.700]   called him, saved him, ignited his righteous life.
[00:22:57.480 --> 00:22:59.320]   And that's an important thought to keep in mind
[00:22:59.320 --> 00:23:01.000]   when we're going over Galatians.
[00:23:01.000 --> 00:23:05.760]   And then in that zeal that Paul now has
[00:23:05.760 --> 00:23:07.680]   for Jesus and for the church,
[00:23:07.680 --> 00:23:10.120]   you also see him actually growing in humility.
[00:23:10.120 --> 00:23:11.240]   So something that's really cool,
[00:23:11.240 --> 00:23:13.840]   if you look through Paul's descriptions of himself,
[00:23:13.840 --> 00:23:16.700]   1 Corinthians is a little bit earlier
[00:23:16.700 --> 00:23:18.040]   when he writes in verse eight.
[00:23:18.040 --> 00:23:20.340]   He says, I am the least of all the apostles.
[00:23:20.340 --> 00:23:24.520]   In Ephesians 3, eight, which is one of his prison epistles,
[00:23:24.520 --> 00:23:25.600]   he actually calls himself,
[00:23:25.600 --> 00:23:27.840]   I am like the least of all the Christians.
[00:23:27.840 --> 00:23:30.160]   I am the least of all the saints.
[00:23:30.160 --> 00:23:31.400]   And toward the end of his life,
[00:23:31.400 --> 00:23:32.680]   when he's writing to Timothy,
[00:23:32.680 --> 00:23:35.720]   he actually says, I am the chief of sinners.
[00:23:35.720 --> 00:23:41.080]   So I think as Paul grows in his faith,
[00:23:41.080 --> 00:23:44.180]   he's seeing more and more and more of the depravity
[00:23:44.180 --> 00:23:45.520]   that God saved him out of.
[00:23:45.520 --> 00:23:49.920]   And I find that very cool.
[00:23:49.920 --> 00:23:54.160]   I'm gonna just do one little last exercise
[00:23:54.160 --> 00:23:55.500]   just for your benefit.
[00:23:55.500 --> 00:23:59.200]   I like maps.
[00:23:59.200 --> 00:24:03.480]   It helps me kind of mentally to track what's going on where.
[00:24:03.480 --> 00:24:07.560]   Verse 15 to 17 is just one long verse, okay?
[00:24:07.560 --> 00:24:09.480]   It's actually just one long sentence,
[00:24:09.480 --> 00:24:13.360]   but there's some geography that's mentioned here.
[00:24:13.360 --> 00:24:16.440]   So Paul says, after he got saved,
[00:24:16.440 --> 00:24:21.580]   he says, so he was in Damascus.
[00:24:22.660 --> 00:24:24.540]   So I didn't go up to Jerusalem,
[00:24:24.540 --> 00:24:26.640]   to those who were apostles before me,
[00:24:26.640 --> 00:24:30.020]   but I went away to Arabia, which is a little bit south,
[00:24:30.020 --> 00:24:34.820]   and then returned once more to Damascus.
[00:24:34.820 --> 00:24:36.060]   Then three years later,
[00:24:36.060 --> 00:24:39.600]   I went down technically to Jerusalem.
[00:24:39.600 --> 00:24:41.780]   So one thing that I observed is there is no,
[00:24:41.780 --> 00:24:43.380]   I ever go down to Jerusalem.
[00:24:43.380 --> 00:24:45.200]   And I wonder if that's the figure of speech.
[00:24:45.200 --> 00:24:46.380]   Is it always up?
[00:24:46.380 --> 00:24:49.020]   Okay, but anyway, he goes to Jerusalem
[00:24:49.020 --> 00:24:51.160]   to get acquainted with Peter, Cephas.
[00:24:52.160 --> 00:24:57.160]   And then later he goes to Syria up north,
[00:24:57.160 --> 00:25:04.040]   and Cilicia, his area of origin and birth and his youth.
[00:25:04.040 --> 00:25:11.000]   Okay, so that's the wrap up for today.
[00:25:11.000 --> 00:25:12.400]   It's pretty meaty.
[00:25:12.400 --> 00:25:13.700]   It's pretty heavy.
[00:25:13.700 --> 00:25:14.700]   And my knees are knocking
[00:25:14.700 --> 00:25:16.560]   as I'm always trying to prepare like the wrap up.
[00:25:16.560 --> 00:25:17.680]   I'm like, what do I talk?
[00:25:17.680 --> 00:25:19.720]   Like, what do I, how do I address this?
[00:25:19.720 --> 00:25:22.920]   But hopefully you can make sense of a lot of the things
[00:25:22.920 --> 00:25:24.680]   that we talk about in the wrap up
[00:25:24.680 --> 00:25:28.240]   as you're plowing through the text yourselves.
[00:25:28.240 --> 00:25:33.340]   All right, I'm gonna just do a couple of announcements,
[00:25:33.340 --> 00:25:34.180]   upcoming events,
[00:25:34.180 --> 00:25:37.440]   and then I'm gonna talk about the discussion questions.
[00:25:37.440 --> 00:25:39.260]   Next week, we don't have Bible study.
[00:25:39.260 --> 00:25:40.840]   Hopefully you guys knew that.
[00:25:40.840 --> 00:25:43.180]   Next Wednesday, we don't have any Bible study.
[00:25:43.180 --> 00:25:44.760]   On Friday at 7.30,
[00:25:44.760 --> 00:25:46.840]   we're gonna have our all church praise and prayer.
[00:25:46.840 --> 00:25:49.040]   This isn't something where like, hey, no Bible study.
[00:25:49.040 --> 00:25:51.240]   I get a week off.
[00:25:51.240 --> 00:25:54.840]   No, this is actually when we wanna make a concentrated effort
[00:25:54.840 --> 00:25:57.560]   to gather together to really pray
[00:25:57.560 --> 00:25:58.600]   for the needs of the church,
[00:25:58.600 --> 00:26:00.640]   for the needs of our members.
[00:26:00.640 --> 00:26:03.920]   So please do make it a priority to come at 7.30.
[00:26:03.920 --> 00:26:07.400]   For you guys who are interested
[00:26:07.400 --> 00:26:09.680]   in being members of the church and are not yet,
[00:26:09.680 --> 00:26:13.360]   our next membership class will start in a couple of weeks.
[00:26:13.360 --> 00:26:15.760]   And so if you can,
[00:26:15.760 --> 00:26:18.580]   do sign up for that through this link.
[00:26:18.580 --> 00:26:22.180]   For you guys who are aware
[00:26:22.180 --> 00:26:24.320]   that the Reformation Night is coming up,
[00:26:24.320 --> 00:26:26.800]   it's on Tuesday night, October 31st,
[00:26:26.800 --> 00:26:31.520]   and we actually do need a lot of volunteers to host trunks,
[00:26:31.520 --> 00:26:34.860]   to donate candy, to donate goods and things like that.
[00:26:34.860 --> 00:26:37.680]   You do have to be a member, okay?
[00:26:37.680 --> 00:26:41.820]   So please do volunteer if you are able.
[00:26:41.820 --> 00:26:43.820]   And Sunday, November 19th,
[00:26:43.820 --> 00:26:46.260]   we are having our regional Thanksgiving dinner,
[00:26:47.160 --> 00:26:49.060]   but we are right now,
[00:26:49.060 --> 00:26:50.980]   we only have enough homes for like
[00:26:50.980 --> 00:26:53.220]   just maybe a quarter of our church, okay?
[00:26:53.220 --> 00:26:56.420]   So in the event you are willing to,
[00:26:56.420 --> 00:26:58.820]   it give you a reason to clean your house and stuff,
[00:26:58.820 --> 00:27:02.380]   but if you're willing to host a Thanksgiving dinner,
[00:27:02.380 --> 00:27:06.840]   we do need more host homes, okay?
[00:27:06.840 --> 00:27:09.060]   One last very important announcement.
[00:27:09.060 --> 00:27:13.860]   Our church, we're having a cleaning and maintenance day
[00:27:13.860 --> 00:27:17.160]   on Saturday, October 7th at 9 a.m.
[00:27:17.160 --> 00:27:19.900]   Refreshments and coffee is gonna be provided.
[00:27:19.900 --> 00:27:24.900]   If you guys can, right now, check your calendars,
[00:27:24.900 --> 00:27:27.120]   and if you are able to help
[00:27:27.120 --> 00:27:31.720]   beautify the facilities of our church campus,
[00:27:31.720 --> 00:27:36.600]   please go on this right now and sign up for that.
[00:27:36.600 --> 00:27:39.460]   And I'll give you like seven seconds.
[00:27:40.400 --> 00:27:42.660]   (coughing)
[00:27:42.660 --> 00:27:49.180]   Okay.
[00:27:49.180 --> 00:27:54.180]   And then here are the prep questions for September 27th.
[00:27:54.180 --> 00:27:58.580]   It's to read, (coughing)
[00:27:58.580 --> 00:27:59.420]   excuse me,
[00:27:59.420 --> 00:28:04.700]   read and inductively prepare.
[00:28:04.700 --> 00:28:08.060]   The last six verse seven, (coughing)
[00:28:08.900 --> 00:28:09.900]   (laughing)
[00:28:09.900 --> 00:28:11.120]   It's like a hairball.
[00:28:11.120 --> 00:28:14.980]   Galatians 1, 18 to 24.
[00:28:14.980 --> 00:28:17.860]   And then question number two,
[00:28:17.860 --> 00:28:21.340]   what's the significance of Paul's visit with Cephas
[00:28:21.340 --> 00:28:24.460]   and the apostle James?
[00:28:24.460 --> 00:28:27.100]   One thing you'll discover is that
[00:28:27.100 --> 00:28:31.940]   James, the brother of John, was killed in Acts chapter 12.
[00:28:31.940 --> 00:28:34.460]   This is James, the brother of Jesus.
[00:28:34.460 --> 00:28:36.780]   He's an apostle?
[00:28:37.780 --> 00:28:40.740]   So I'm gonna think through, okay?
[00:28:40.740 --> 00:28:45.300]   And then what exactly were the churches of Judea
[00:28:45.300 --> 00:28:46.620]   glorifying God in?
[00:28:46.620 --> 00:28:50.380]   Don't just write down the verse, here, verse 24,
[00:28:50.380 --> 00:28:52.340]   and they were glorifying God because of me.
[00:28:52.340 --> 00:28:54.420]   Like, but what?
[00:28:54.420 --> 00:28:56.380]   What was it that they were glorifying God in?
[00:28:56.380 --> 00:28:58.020]   Okay?
[00:28:58.020 --> 00:29:00.880]   So for tonight, with the remainder of your time,
[00:29:00.880 --> 00:29:05.740]   these are, so usually before we do the Bible study,
[00:29:05.740 --> 00:29:09.140]   the lesson, a lot of it's giving you an opportunity
[00:29:09.140 --> 00:29:11.260]   to share the things that you've wrestled with,
[00:29:11.260 --> 00:29:14.500]   that you've dug into, that you've examined and explored
[00:29:14.500 --> 00:29:18.460]   at home, and now you're sharing with the group.
[00:29:18.460 --> 00:29:20.780]   And then the wrap-up isn't supposed to be like,
[00:29:20.780 --> 00:29:22.140]   I'm gonna answer every question.
[00:29:22.140 --> 00:29:25.240]   A lot of it is to tie in, to lead into application.
[00:29:25.240 --> 00:29:27.500]   And then the follow-up discussion
[00:29:27.500 --> 00:29:29.180]   is actually supposed to be for a time
[00:29:29.180 --> 00:29:32.340]   where you're actually not just studying the text
[00:29:32.340 --> 00:29:34.820]   as an academic exercise, but you're trying to figure out,
[00:29:34.820 --> 00:29:37.820]   what does this mean for me as a child of God
[00:29:37.820 --> 00:29:40.740]   to feed off of his word and to submit to his truth?
[00:29:40.740 --> 00:29:42.140]   What does that mean?
[00:29:42.140 --> 00:29:44.320]   And so these application questions
[00:29:44.320 --> 00:29:46.060]   are not here to probe into your life,
[00:29:46.060 --> 00:29:51.060]   it's trying to push you to submit yourselves
[00:29:51.060 --> 00:29:52.780]   to the word of God, okay?
[00:29:52.780 --> 00:29:54.900]   So the first question that I have here
[00:29:54.900 --> 00:29:57.880]   is to share briefly about your former manner of life
[00:29:57.880 --> 00:30:00.460]   outside of Christ, if you are a believer.
[00:30:00.460 --> 00:30:04.660]   If you're not sure whether you're a believer or not,
[00:30:04.660 --> 00:30:07.940]   that's fine to share, okay?
[00:30:07.940 --> 00:30:09.660]   But if you are a believer,
[00:30:09.660 --> 00:30:12.940]   explain what your life was like before Jesus.
[00:30:12.940 --> 00:30:15.360]   How did God call you?
[00:30:15.360 --> 00:30:18.200]   And then to what did God call you?
[00:30:18.200 --> 00:30:21.820]   Some of us may have never thought about this question,
[00:30:21.820 --> 00:30:23.040]   to what did God call me?
[00:30:23.040 --> 00:30:26.100]   Well, duh, the church.
[00:30:26.100 --> 00:30:28.480]   What is your role, okay?
[00:30:28.480 --> 00:30:31.980]   Number two, in what ways are you obedient
[00:30:31.980 --> 00:30:33.940]   to the call of God in your life?
[00:30:33.940 --> 00:30:36.060]   In what ways are you falling short?
[00:30:36.060 --> 00:30:42.320]   Third, do you have zeal for the church of God?
[00:30:42.320 --> 00:30:45.720]   And how do you objectively discern
[00:30:45.720 --> 00:30:50.000]   whether you are building up or hurting the church?
[00:30:50.000 --> 00:30:51.660]   And what are ways that your group members
[00:30:51.660 --> 00:30:55.780]   can stimulate you towards love and good deeds?
[00:30:55.780 --> 00:30:58.340]   Okay, so let me pray for us and then we'll dismiss.
[00:30:59.240 --> 00:31:04.240]   Father, thank you for the joy of just diving into hard texts
[00:31:04.240 --> 00:31:08.120]   like we see here in Galatians 1.
[00:31:08.120 --> 00:31:12.320]   I pray that you would give us just insight,
[00:31:12.320 --> 00:31:17.140]   give us just a heart that just really desires
[00:31:17.140 --> 00:31:19.720]   to submit ourselves to all of your truth.
[00:31:19.720 --> 00:31:22.920]   So we pray that as we fellowship,
[00:31:22.920 --> 00:31:25.680]   that it will be centered on Christ,
[00:31:25.680 --> 00:31:28.660]   that we will be really hedged in by your word
[00:31:28.660 --> 00:31:31.880]   and your truth, and cause us, Lord God,
[00:31:31.880 --> 00:31:34.180]   just to be humble before one another,
[00:31:34.180 --> 00:31:36.360]   to be vulnerable before one another,
[00:31:36.360 --> 00:31:41.080]   to really love each other, and to lift one another up,
[00:31:41.080 --> 00:31:43.760]   Lord, for your glory and for our joy.
[00:31:43.760 --> 00:31:45.920]   So we thank you, Lord, for our time,
[00:31:45.920 --> 00:31:47.520]   and we pray this in Jesus' name.
[00:31:47.520 --> 00:31:48.360]   Amen.
[00:31:48.980 --> 00:31:51.980]   (people chattering)
[00:31:51.980 --> 00:31:54.140]   (silence)
[00:31:54.140 --> 00:31:56.300]   (silence)
[00:31:56.300 --> 00:31:58.460]   (silence)
[00:31:58.460 --> 00:32:08.460]   [BLANK_AUDIO]

