
[00:00:00.000 --> 00:00:06.600]   (Pause)
[00:18:50.500 --> 00:18:52.400]   You guys have your mask on, so I have no idea
[00:18:52.400 --> 00:18:53.240]   what you're saying.
[00:18:53.240 --> 00:18:54.480]   Context.
[00:18:54.480 --> 00:18:57.000]   So context, context, context.
[00:18:57.000 --> 00:18:59.440]   So if I say, "The bomb,"
[00:18:59.440 --> 00:19:04.440]   you don't really know what I mean.
[00:19:04.440 --> 00:19:06.720]   I could mean there was a terrorist
[00:19:06.720 --> 00:19:09.960]   that planted a bomb to get out.
[00:19:09.960 --> 00:19:14.160]   Or I could mean, "That was awesome."
[00:19:14.160 --> 00:19:15.200]   The bomb.
[00:19:15.200 --> 00:19:19.620]   So you have to know, is that part of my normal vocabulary?
[00:19:19.620 --> 00:19:21.200]   Yeah.
[00:19:21.200 --> 00:19:22.040]   Just kidding.
[00:19:22.040 --> 00:19:24.780]   Right?
[00:19:24.780 --> 00:19:26.960]   So, I mean, again, I didn't grow up using that term,
[00:19:26.960 --> 00:19:28.880]   so when you say, "Oh, the bomb,"
[00:19:28.880 --> 00:19:30.440]   normally that's not how I talk,
[00:19:30.440 --> 00:19:34.120]   so you have to understand the context of who I am,
[00:19:34.120 --> 00:19:36.960]   how old I am, would I use that, have I used that before?
[00:19:36.960 --> 00:19:37.800]   So all of that.
[00:19:37.800 --> 00:19:39.680]   So when we're interpreting the scripture,
[00:19:39.680 --> 00:19:41.880]   you can't just take, this is what you think it means,
[00:19:41.880 --> 00:19:43.320]   and just add it to that.
[00:19:43.320 --> 00:19:45.120]   That's why the digging happens, right?
[00:19:45.120 --> 00:19:46.560]   That's why we're asking questions,
[00:19:46.560 --> 00:19:48.300]   and you have to understand the context.
[00:19:48.300 --> 00:19:50.440]   How did he use that word?
[00:19:50.440 --> 00:19:51.440]   What does he mean by that?
[00:19:51.440 --> 00:19:53.620]   So when the author says,
[00:19:53.620 --> 00:19:55.560]   "Do not throw away your confidence,"
[00:19:55.560 --> 00:19:57.960]   the word confidence simply means to be bold.
[00:19:57.960 --> 00:20:01.480]   But boldness can mean a lot of things, too, right?
[00:20:01.480 --> 00:20:05.160]   It can be bold, being courageous, not having fear.
[00:20:05.160 --> 00:20:06.520]   But what is this confidence,
[00:20:06.520 --> 00:20:07.920]   this boldness that he's referring to?
[00:20:07.920 --> 00:20:10.760]   Well, the author uses it several times
[00:20:10.760 --> 00:20:14.320]   prior to using it here, and so let me look at this
[00:20:14.320 --> 00:20:15.880]   so that we can have a better understanding
[00:20:15.880 --> 00:20:18.400]   when he says, "Do not throw away your confidence,"
[00:20:18.400 --> 00:20:20.320]   Hebrews 3:6.
[00:20:20.320 --> 00:20:22.880]   But Christ was faithful as a son over his house,
[00:20:22.880 --> 00:20:26.400]   whose house we are, if we hold fast our confidence
[00:20:26.400 --> 00:20:29.400]   and boast of our hope firm until the end.
[00:20:29.400 --> 00:20:31.240]   What does he mean here by confidence?
[00:20:31.240 --> 00:20:33.680]   Your courage?
[00:20:35.840 --> 00:20:38.040]   What does he mean by here, confidence?
[00:20:38.040 --> 00:20:43.040]   He's talking about the blood sacrifice of Christ,
[00:20:43.040 --> 00:20:45.360]   that our confidence to come to Christ
[00:20:45.360 --> 00:20:47.760]   isn't because you're bold, isn't because you're righteous,
[00:20:47.760 --> 00:20:49.520]   isn't because you've done these great things.
[00:20:49.520 --> 00:20:52.400]   He says, "No, do not throw away the open door
[00:20:52.400 --> 00:20:55.360]   "that Christ has given you, the blood sacrifice,
[00:20:55.360 --> 00:20:57.200]   "so you are able to be bold."
[00:20:57.200 --> 00:20:59.240]   Again, he says it in Hebrews 4:16.
[00:20:59.240 --> 00:21:02.600]   "Therefore, let us draw near with confidence
[00:21:02.600 --> 00:21:04.780]   "the throne of grace so that we may receive mercy
[00:21:04.780 --> 00:21:06.600]   "and find grace to help in time of need."
[00:21:06.600 --> 00:21:08.480]   So what does he mean by confidence?
[00:21:08.480 --> 00:21:12.160]   Because you're older, because you're more experienced,
[00:21:12.160 --> 00:21:14.520]   because you study the Bible better,
[00:21:14.520 --> 00:21:17.240]   because you have a position in the church.
[00:21:17.240 --> 00:21:19.240]   What does he mean by that?
[00:21:19.240 --> 00:21:22.040]   The blood sacrifice of Christ.
[00:21:22.040 --> 00:21:24.320]   He said we are able to enter the throne of grace
[00:21:24.320 --> 00:21:28.520]   with confidence because Christ covers us in our sins,
[00:21:28.520 --> 00:21:31.400]   because we have been atoned for,
[00:21:31.400 --> 00:21:32.720]   our sins have been atoned for.
[00:21:32.720 --> 00:21:35.940]   So he says we can draw near to the throne,
[00:21:35.940 --> 00:21:40.540]   the throne, the king, with confidence.
[00:21:40.540 --> 00:21:43.660]   He's not talking about us.
[00:21:43.660 --> 00:21:45.260]   He's not talking about our righteousness.
[00:21:45.260 --> 00:21:48.660]   He's talking about the imputed righteousness of Christ.
[00:21:48.660 --> 00:21:50.720]   Again, in Hebrews 10, 19 to 20.
[00:21:50.720 --> 00:21:53.180]   "Therefore, brethren, since we have confidence
[00:21:53.180 --> 00:21:55.500]   "to enter the holy place by the blood of Jesus,
[00:21:55.500 --> 00:21:58.380]   "by a new and living way, which he inaugurated for us
[00:21:58.380 --> 00:22:01.140]   "through the veil that is his flesh."
[00:22:01.140 --> 00:22:03.200]   Just in case we didn't know,
[00:22:03.200 --> 00:22:05.020]   just in case after he said all of this
[00:22:05.020 --> 00:22:06.520]   that anybody was missing the point,
[00:22:06.520 --> 00:22:08.220]   he actually describes it here.
[00:22:08.220 --> 00:22:13.220]   Confidence to enter the holy place by the blood of Jesus.
[00:22:13.220 --> 00:22:14.840]   The living way, a new way.
[00:22:14.840 --> 00:22:18.060]   So what does he mean here?
[00:22:18.060 --> 00:22:21.080]   Do not throw away your confidence.
[00:22:21.080 --> 00:22:26.680]   Meaning, do not try to continue on this path
[00:22:26.680 --> 00:22:28.540]   by your own strength.
[00:22:30.020 --> 00:22:32.460]   You're not gonna be able to make it.
[00:22:32.460 --> 00:22:35.720]   If we drift from being anchored in Christ,
[00:22:35.720 --> 00:22:37.500]   the Christ who justified us,
[00:22:37.500 --> 00:22:39.700]   and the Christ who will glorify us,
[00:22:39.700 --> 00:22:42.620]   and if we try to add anything to that,
[00:22:42.620 --> 00:22:45.000]   you will end up throwing away your confidence.
[00:22:45.000 --> 00:22:47.140]   The only way that you can have confidence
[00:22:47.140 --> 00:22:49.060]   to enter the throne of grace.
[00:22:49.060 --> 00:22:52.060]   And that's what he means, to be anchored.
[00:22:52.060 --> 00:22:54.100]   And there's a reason why Jesus,
[00:22:54.100 --> 00:22:57.340]   in his seven I Am statements in the book of John,
[00:22:57.340 --> 00:23:00.660]   his last thing that he tells his disciples to do what?
[00:23:00.660 --> 00:23:02.260]   To remain.
[00:23:02.260 --> 00:23:07.020]   He doesn't say go, before he goes, you have to remain.
[00:23:07.020 --> 00:23:08.260]   Before you preach the gospel,
[00:23:08.260 --> 00:23:13.100]   before you convert unbelievers to Christ,
[00:23:13.100 --> 00:23:15.420]   before you engage in this spiritual battle,
[00:23:15.420 --> 00:23:17.380]   he says to remain.
[00:23:17.380 --> 00:23:22.460]   That's why a Christian who's studying the Bible,
[00:23:23.320 --> 00:23:28.080]   but is not praying, is completely impotent.
[00:23:28.080 --> 00:23:31.480]   Because it is not our knowledge,
[00:23:31.480 --> 00:23:34.760]   it is not our will, it is not our courage.
[00:23:34.760 --> 00:23:36.960]   It is by his might, it is by his strength.
[00:23:36.960 --> 00:23:39.140]   And that's why he says, you have to remain.
[00:23:39.140 --> 00:23:41.140]   You cannot bear fruit.
[00:23:41.140 --> 00:23:43.240]   You cannot engage in this spiritual battle
[00:23:43.240 --> 00:23:48.760]   unless we remain, continue in Christ.
[00:23:48.760 --> 00:23:51.440]   Unless we are absolutely dependent and anchored
[00:23:51.440 --> 00:23:52.840]   in the Christ who saved us,
[00:23:52.840 --> 00:23:55.160]   and in the Christ who will glorify us.
[00:23:55.160 --> 00:23:57.440]   That's what he means by confidence.
[00:23:57.440 --> 00:24:00.240]   Do not forsake this confidence.
[00:24:00.240 --> 00:24:04.440]   You know, the problem is, when we first become Christians,
[00:24:04.440 --> 00:24:07.500]   you know, we are so enamored by our justification.
[00:24:07.500 --> 00:24:10.240]   And we're humbled, usually.
[00:24:10.240 --> 00:24:12.440]   Because we've just recognized
[00:24:12.440 --> 00:24:14.680]   that every righteous deed that we did,
[00:24:14.680 --> 00:24:17.440]   and we recognize all the sinful things that we have done.
[00:24:17.440 --> 00:24:20.200]   And so we come to church and we're humbled.
[00:24:20.200 --> 00:24:21.640]   We wanna know what the Bible says.
[00:24:21.640 --> 00:24:25.120]   Every song, every word is impacting us
[00:24:25.120 --> 00:24:28.040]   because that's me, that's what he did for me.
[00:24:28.040 --> 00:24:30.100]   But for whatever the reason, after two months,
[00:24:30.100 --> 00:24:32.020]   a year, 10 years, 30 years,
[00:24:32.020 --> 00:24:35.760]   we add to our justification our works.
[00:24:35.760 --> 00:24:38.760]   That I've done this and I've done that,
[00:24:38.760 --> 00:24:41.040]   and we compare our righteousness,
[00:24:41.040 --> 00:24:42.680]   at least I'm not as bad as them.
[00:24:42.680 --> 00:24:44.800]   You know, I know I'm not perfect.
[00:24:44.800 --> 00:24:46.800]   And whenever somebody states that,
[00:24:46.800 --> 00:24:48.720]   states anything with I know I'm not perfect,
[00:24:48.720 --> 00:24:51.520]   you know what's coming, right?
[00:24:51.520 --> 00:24:54.800]   I know I'm not perfect, but I'm not as bad as them.
[00:24:54.800 --> 00:24:58.880]   So for whatever the reason, we start out with justification,
[00:24:58.880 --> 00:25:01.720]   and then we add our own righteousness as we go along.
[00:25:01.720 --> 00:25:03.600]   And the longer that we've been a Christian,
[00:25:03.600 --> 00:25:07.200]   the longer we compare our righteousness to other people.
[00:25:07.200 --> 00:25:10.740]   And we're no longer students.
[00:25:10.740 --> 00:25:13.400]   We're mighty warriors by our own strength.
[00:25:13.400 --> 00:25:15.360]   And we become absolutely impotent.
[00:25:15.360 --> 00:25:17.880]   That's what he means.
[00:25:17.880 --> 00:25:20.660]   There is not a single person in this room
[00:25:20.660 --> 00:25:24.820]   who is not in dire need to fight to remain in Christ.
[00:25:24.820 --> 00:25:27.720]   You know when you really need to remain?
[00:25:27.720 --> 00:25:28.820]   Is when you're young.
[00:25:28.820 --> 00:25:30.800]   You know, when you're in high school,
[00:25:30.800 --> 00:25:31.760]   or you just graduated high school,
[00:25:31.760 --> 00:25:32.680]   and you're college students,
[00:25:32.680 --> 00:25:34.720]   man, you really need to remain in Christ.
[00:25:34.720 --> 00:25:37.800]   You are desperately in need of Christ.
[00:25:37.800 --> 00:25:40.040]   'Cause you have freedom now all of a sudden.
[00:25:40.040 --> 00:25:42.440]   You don't have your parents looking over your shoulder,
[00:25:42.440 --> 00:25:44.360]   and all of a sudden you're able to stay out late,
[00:25:44.360 --> 00:25:45.720]   hang out with your friends.
[00:25:45.720 --> 00:25:49.320]   And there is great temptation that comes with the freedom.
[00:25:50.400 --> 00:25:52.780]   With all the choices that are in front of you.
[00:25:52.780 --> 00:25:55.780]   So if you don't anchor yourself to Christ,
[00:25:55.780 --> 00:25:57.120]   you can easily drift.
[00:25:57.120 --> 00:26:00.540]   You know who else is in need of desperate,
[00:26:00.540 --> 00:26:01.680]   hanging on to Christ?
[00:26:01.680 --> 00:26:03.860]   Those of you who just graduated.
[00:26:03.860 --> 00:26:06.960]   You just graduated, you're in the workforce,
[00:26:06.960 --> 00:26:08.880]   and you have a job, and you're working,
[00:26:08.880 --> 00:26:10.800]   and all of a sudden you don't have the accountability
[00:26:10.800 --> 00:26:12.200]   that you had before.
[00:26:12.200 --> 00:26:14.040]   The majority of the people that are surrounding you
[00:26:14.040 --> 00:26:16.080]   are not like you.
[00:26:16.080 --> 00:26:17.880]   In fact, you're kind of weird.
[00:26:19.160 --> 00:26:22.200]   And so you're being tempted to drift.
[00:26:22.200 --> 00:26:25.680]   So if you're not anchored in Christ during that period,
[00:26:25.680 --> 00:26:27.160]   you can easily drift.
[00:26:27.160 --> 00:26:30.240]   In fact, the statistics say more than 60, 70%,
[00:26:30.240 --> 00:26:33.480]   by the time they graduate, before they become 30,
[00:26:33.480 --> 00:26:35.520]   they've already drifted and they're gone.
[00:26:35.520 --> 00:26:39.680]   You know who really needs to really cling on to Christ?
[00:26:39.680 --> 00:26:41.840]   Those of you who are dating.
[00:26:41.840 --> 00:26:42.680]   Those of you who are dating,
[00:26:42.680 --> 00:26:44.160]   you know exactly what I'm talking about.
[00:26:44.160 --> 00:26:46.640]   The temptation, the struggle,
[00:26:46.640 --> 00:26:47.920]   and even the miscommunication.
[00:26:47.920 --> 00:26:50.120]   Your world gets flipped over upside down
[00:26:50.120 --> 00:26:52.160]   every time you have a fight.
[00:26:52.160 --> 00:26:54.120]   And if you're not anchored in Christ,
[00:26:54.120 --> 00:26:57.720]   it's a very, very difficult period of life
[00:26:57.720 --> 00:26:59.280]   that you're not gonna make it through.
[00:26:59.280 --> 00:27:01.920]   You have to anchor in Christ, you're desperate.
[00:27:01.920 --> 00:27:05.120]   You know who else needs to really cling to Christ?
[00:27:05.120 --> 00:27:06.720]   Those of you who are not dating.
[00:27:06.720 --> 00:27:10.960]   You know, you're living in coveting and watching,
[00:27:10.960 --> 00:27:12.440]   and say, "Why isn't this happening to me?"
[00:27:12.440 --> 00:27:15.280]   And then your coveting and your mind starts to drift away,
[00:27:15.280 --> 00:27:17.080]   and then after a while, it's like, "Why is God,
[00:27:17.080 --> 00:27:18.640]   "why did God put me in this situation?"
[00:27:18.640 --> 00:27:21.600]   And your coveting causes you to drift away from Christ.
[00:27:21.600 --> 00:27:24.320]   And if you're not careful and you're not anchored in Christ,
[00:27:24.320 --> 00:27:26.640]   this envying and desiring,
[00:27:26.640 --> 00:27:29.160]   and all you are thinking about is the next stage of life,
[00:27:29.160 --> 00:27:32.560]   and if you're not anchored in Christ, you can easily drift.
[00:27:32.560 --> 00:27:34.680]   You know who else needs to really be anchored in Christ?
[00:27:34.680 --> 00:27:36.600]   Those of you who are engaged.
[00:27:36.600 --> 00:27:38.920]   And you're looking to the next stage of life,
[00:27:38.920 --> 00:27:41.280]   and then those of you who just got married,
[00:27:41.280 --> 00:27:43.720]   and all of a sudden you feel like you've arrived,
[00:27:43.720 --> 00:27:46.840]   and then you're no longer actively pursuing Christ anymore
[00:27:46.840 --> 00:27:50.080]   because you're relaxed, you know?
[00:27:50.080 --> 00:27:52.240]   And you're just waiting to have kids
[00:27:52.240 --> 00:27:53.160]   and get to the next stage,
[00:27:53.160 --> 00:27:55.480]   you're enjoying the things that God has given you,
[00:27:55.480 --> 00:27:58.720]   the next thing you know, you've drifted together.
[00:27:58.720 --> 00:28:01.360]   It's much harder to remain sober together.
[00:28:01.360 --> 00:28:05.320]   So during that period, if you're not really anchored
[00:28:05.320 --> 00:28:07.720]   in Christ, you can easily drift away.
[00:28:07.720 --> 00:28:11.000]   You know who else really needs to be anchored in Christ?
[00:28:11.000 --> 00:28:13.480]   Brand new children, the parents who have kids.
[00:28:13.480 --> 00:28:16.280]   Oh my gosh, I don't even have to explain.
[00:28:16.280 --> 00:28:18.120]   Everybody who's like half falling asleep,
[00:28:18.120 --> 00:28:21.440]   or the parents who didn't get enough sleep last night,
[00:28:21.440 --> 00:28:22.840]   they're free, what do you do in your free time?
[00:28:22.840 --> 00:28:25.480]   And they get angry that you asked them that.
[00:28:25.480 --> 00:28:26.320]   Right?
[00:28:26.320 --> 00:28:28.160]   Free time, what is that?
[00:28:28.160 --> 00:28:33.200]   So if you're not anchored in Christ during that period,
[00:28:33.200 --> 00:28:35.680]   you're not even doing anything bad.
[00:28:35.680 --> 00:28:37.920]   You're just trying to feed them and take care of them
[00:28:37.920 --> 00:28:41.920]   and make sure they're not sick and not getting hurt.
[00:28:41.920 --> 00:28:43.640]   And you're literally giving your life
[00:28:43.640 --> 00:28:46.080]   for another human being, and you're huffing and puffing
[00:28:46.080 --> 00:28:47.800]   just to make it to the next week.
[00:28:47.800 --> 00:28:50.480]   If you're not anchored in Christ,
[00:28:50.480 --> 00:28:52.640]   you do that for a year, two years, five years, 10 years,
[00:28:52.640 --> 00:28:55.480]   next thing you know, you don't even remember
[00:28:55.480 --> 00:28:57.440]   what you were like before you had kids.
[00:28:57.440 --> 00:29:02.360]   But you know who really needs to be anchored in Christ?
[00:29:02.360 --> 00:29:03.760]   You know, parents who have children
[00:29:03.760 --> 00:29:06.640]   who are beginning to grow up and move out.
[00:29:06.640 --> 00:29:08.800]   You know, as we hit our 50s and 60s,
[00:29:08.800 --> 00:29:10.680]   we kind of drift into this oblivion,
[00:29:10.680 --> 00:29:13.080]   thinking like, oh, hard life is behind us,
[00:29:13.080 --> 00:29:17.400]   and we can just kind of drift and just kind of coast along,
[00:29:17.400 --> 00:29:19.560]   you know, waiting for retirement to happen,
[00:29:19.560 --> 00:29:22.400]   because retirement is close.
[00:29:22.400 --> 00:29:23.280]   And if we're not careful,
[00:29:23.280 --> 00:29:26.240]   we can just kind of coast along and drift.
[00:29:26.240 --> 00:29:29.520]   And if we're not really anchored in Christ,
[00:29:29.520 --> 00:29:31.480]   we're just kind of waiting for the end to happen,
[00:29:31.480 --> 00:29:32.800]   we just drift along.
[00:29:32.800 --> 00:29:37.280]   But there is a period when you don't need to worry so much,
[00:29:37.280 --> 00:29:39.400]   is when we die.
[00:29:41.680 --> 00:29:44.120]   That is the only period in life
[00:29:44.120 --> 00:29:47.080]   where you don't have to be so worried about being anchored.
[00:29:47.080 --> 00:29:51.320]   The temptation that we have is we think,
[00:29:51.320 --> 00:29:53.440]   and I can tell you right now that every stage,
[00:29:53.440 --> 00:29:55.560]   no matter what stage you're in right now,
[00:29:55.560 --> 00:29:59.680]   that you probably agree with everything that I said.
[00:29:59.680 --> 00:30:02.120]   Most of you are sitting here probably thinking,
[00:30:02.120 --> 00:30:04.680]   during that stage, like, yeah, it is tough.
[00:30:04.680 --> 00:30:05.680]   It is tough being married.
[00:30:05.680 --> 00:30:06.920]   It is tough having a kid.
[00:30:06.920 --> 00:30:09.520]   It is tough going to college.
[00:30:09.520 --> 00:30:11.920]   I didn't realize the temptation that's there.
[00:30:11.920 --> 00:30:14.200]   Man, it's tough graduating.
[00:30:14.200 --> 00:30:18.520]   And all of you, whatever stage in life that you're in,
[00:30:18.520 --> 00:30:23.520]   you agree that there is pressure to constantly drift.
[00:30:23.520 --> 00:30:25.840]   But the temptation is to think
[00:30:25.840 --> 00:30:27.360]   that if we change the circumstance,
[00:30:27.360 --> 00:30:28.880]   if we get to the next stage,
[00:30:28.880 --> 00:30:30.400]   if we do this and do that,
[00:30:30.400 --> 00:30:31.960]   that maybe it'll become easier.
[00:30:31.960 --> 00:30:34.280]   Every stage of life,
[00:30:34.280 --> 00:30:37.280]   there's a different challenge waiting for you.
[00:30:37.280 --> 00:30:41.400]   Every stage of your life until we meet Christ.
[00:30:41.400 --> 00:30:43.800]   The Bible says in 1 Peter 5,
[00:30:43.800 --> 00:30:47.320]   "Be of sober spirit, be on the alert.
[00:30:47.320 --> 00:30:48.360]   "Your adversary, the devil,
[00:30:48.360 --> 00:30:50.460]   "prows around like a roaring lion,
[00:30:50.460 --> 00:30:53.040]   "seeking someone to devour."
[00:30:53.040 --> 00:30:54.240]   He's never at rest.
[00:30:54.240 --> 00:30:57.160]   The spiritual battle is not just when we're young,
[00:30:57.160 --> 00:30:59.320]   is not when we're single,
[00:30:59.320 --> 00:31:00.320]   is not when we get married,
[00:31:00.320 --> 00:31:01.160]   is not when we have kids.
[00:31:01.160 --> 00:31:04.120]   Until the day we die, we are in this spiritual battle.
[00:31:04.120 --> 00:31:05.760]   And that's why the moment
[00:31:05.760 --> 00:31:09.160]   that we are not anchored in Christ, we will drift.
[00:31:09.160 --> 00:31:12.920]   That's why he says again, 35,
[00:31:12.920 --> 00:31:15.760]   "For you have need of endurance."
[00:31:15.760 --> 00:31:19.240]   And then he says again, verse 36,
[00:31:19.240 --> 00:31:22.440]   "For you have need of endurance."
[00:31:22.440 --> 00:31:25.920]   Now, whenever you see anything in repetition in the Bible,
[00:31:25.920 --> 00:31:28.080]   inductive Bible study, what does that mean?
[00:31:28.080 --> 00:31:30.600]   Emphasis, right?
[00:31:30.600 --> 00:31:32.880]   So if Jesus has something really important to say,
[00:31:32.880 --> 00:31:33.720]   what does he say?
[00:31:33.720 --> 00:31:35.520]   Truly, truly, I say to you,
[00:31:35.520 --> 00:31:39.440]   if Peter's about to put his foot in his mouth,
[00:31:39.440 --> 00:31:41.320]   or maybe after he put his foot in his mouth,
[00:31:41.320 --> 00:31:43.560]   Jesus say, "Simon, Simon!"
[00:31:43.560 --> 00:31:47.120]   In other words, pay attention, right?
[00:31:47.120 --> 00:31:49.240]   If I wanted people to pay attention,
[00:31:49.240 --> 00:31:50.600]   you'll hear my voice go up.
[00:31:50.600 --> 00:31:52.600]   I don't do that deliberately.
[00:31:52.600 --> 00:31:54.560]   That's just the way I talk.
[00:31:54.560 --> 00:31:57.400]   I talk like that even off the pulpit.
[00:31:57.400 --> 00:31:59.480]   If I get excited, it tends to go up.
[00:31:59.480 --> 00:32:01.160]   If I really get excited,
[00:32:01.160 --> 00:32:04.160]   sometimes you'll see me banging on the pulpit.
[00:32:04.160 --> 00:32:05.000]   I don't do that deliberately.
[00:32:05.000 --> 00:32:06.800]   It's not on my notes, bang here.
[00:32:06.800 --> 00:32:07.960]   (congregation laughing)
[00:32:07.960 --> 00:32:10.480]   It just happens, I get excited.
[00:32:10.480 --> 00:32:12.640]   Or if I plan it, I might put it up on the screen
[00:32:12.640 --> 00:32:13.560]   and say, "This is important,
[00:32:13.560 --> 00:32:15.360]   "you need to pay attention to this."
[00:32:15.360 --> 00:32:18.760]   Well, obviously, the authors of the Bible,
[00:32:18.760 --> 00:32:21.240]   the way they communicated is they did it by repetition.
[00:32:21.240 --> 00:32:24.400]   That's why we know that the holiness of God
[00:32:24.400 --> 00:32:25.640]   is extremely important,
[00:32:25.640 --> 00:32:29.480]   because it's repeated three times, twice.
[00:32:29.480 --> 00:32:30.840]   In Revelation, the book of Isaiah,
[00:32:30.840 --> 00:32:32.720]   he is holy, holy, holy.
[00:32:32.720 --> 00:32:36.800]   I say all of this because he says in repetition,
[00:32:36.800 --> 00:32:40.120]   "You have need of endurance."
[00:32:40.120 --> 00:32:42.440]   That's really how he's saying this,
[00:32:42.440 --> 00:32:45.560]   'cause he repeats it twice, back to back.
[00:32:45.560 --> 00:32:47.960]   It is not, "You should endure."
[00:32:47.960 --> 00:32:50.720]   He tried to endure.
[00:32:50.720 --> 00:32:52.320]   That's not what he's saying.
[00:32:52.320 --> 00:32:54.920]   You have to endure.
[00:32:54.920 --> 00:32:59.560]   One of the key elements of our assurance of salvation
[00:32:59.560 --> 00:33:01.240]   is perseverance.
[00:33:01.240 --> 00:33:07.240]   You must persevere, because one of the true evidences
[00:33:07.240 --> 00:33:12.240]   of our saving faith is perseverance of our faith.
[00:33:12.240 --> 00:33:17.040]   Now, let me tell you why he says that,
[00:33:17.040 --> 00:33:22.040]   because the Bible describes a non-Christian
[00:33:22.040 --> 00:33:25.800]   becoming a Christian of his eyes being opened
[00:33:25.800 --> 00:33:28.040]   to the glory of the gospel of Jesus Christ.
[00:33:29.040 --> 00:33:31.720]   And you can never go blind again.
[00:33:31.720 --> 00:33:33.760]   Once you've seen it, once you've genuinely seen
[00:33:33.760 --> 00:33:35.480]   the glory of the gospel of Jesus Christ,
[00:33:35.480 --> 00:33:36.640]   you can't ignore that anymore,
[00:33:36.640 --> 00:33:38.760]   even when you are struggling.
[00:33:38.760 --> 00:33:41.360]   Even if you've drifted for a period.
[00:33:41.360 --> 00:33:43.280]   You can't just close your eyes and say,
[00:33:43.280 --> 00:33:45.320]   "I'm gonna pretend like I've never seen that."
[00:33:45.320 --> 00:33:47.480]   You can't reclose your eyes.
[00:33:47.480 --> 00:33:50.880]   Just like if you've tasted something really good,
[00:33:50.880 --> 00:33:55.160]   and you say, "Oh, I'm gonna act like I never."
[00:33:55.160 --> 00:33:57.560]   No, what you've tasted, what you've experienced,
[00:33:57.560 --> 00:33:59.120]   you can't reverse that.
[00:33:59.120 --> 00:34:02.680]   And that's what he means by perseverance of the saints.
[00:34:02.680 --> 00:34:06.400]   If there was genuine faith, you may drift,
[00:34:06.400 --> 00:34:10.800]   you may struggle, but you can never shut that door again.
[00:34:10.800 --> 00:34:14.120]   And that's why he says, you have to persevere.
[00:34:14.120 --> 00:34:18.560]   You have to persevere, because that's not who you are.
[00:34:18.560 --> 00:34:23.360]   God had made you a creature of light.
[00:34:23.360 --> 00:34:26.280]   And if you drift into darkness,
[00:34:26.280 --> 00:34:28.880]   you will sense that you do not belong.
[00:34:28.880 --> 00:34:32.200]   And that's why he says, we are not of those
[00:34:32.200 --> 00:34:36.000]   who shrink back and are destroyed, that's not us.
[00:34:36.000 --> 00:34:39.000]   God fundamentally changed our nature.
[00:34:39.000 --> 00:34:42.040]   We feel alive in the light.
[00:34:42.040 --> 00:34:46.920]   We feel free in righteousness.
[00:34:46.920 --> 00:34:50.400]   God had changed the affections of our heart,
[00:34:50.400 --> 00:34:54.120]   so that what we long for is Christ.
[00:34:54.120 --> 00:34:56.200]   And so we may be temporarily stumbled,
[00:34:56.200 --> 00:34:58.240]   we may be temporarily tempted,
[00:34:58.240 --> 00:35:01.800]   but a true child of Christ will endure.
[00:35:01.800 --> 00:35:05.800]   And he says, "Yet in a very little while,
[00:35:05.800 --> 00:35:09.600]   "he who is coming will come and will not delay."
[00:35:09.600 --> 00:35:12.320]   Did you notice the repetition in that too?
[00:35:12.320 --> 00:35:14.760]   He says three times, he who is coming
[00:35:14.760 --> 00:35:17.080]   will come and he will not delay.
[00:35:17.080 --> 00:35:22.200]   So again, what does it mean when he says it in repetition?
[00:35:22.200 --> 00:35:24.840]   Let me read it the way that we should read it, okay?
[00:35:24.840 --> 00:35:30.760]   For you need to endure, you need to endure,
[00:35:30.760 --> 00:35:34.640]   he is coming, he is coming, he is coming.
[00:35:34.640 --> 00:35:38.800]   That's how it was meant to be read.
[00:35:38.800 --> 00:35:42.960]   He said we need to endure because this is momentary.
[00:35:42.960 --> 00:35:45.160]   Whatever temptation, whatever struggles,
[00:35:45.160 --> 00:35:47.120]   whatever period of life that you are in,
[00:35:47.120 --> 00:35:49.160]   it is temporary, momentary,
[00:35:49.160 --> 00:35:52.120]   and it is light in comparison
[00:35:52.120 --> 00:35:55.280]   to the glory that is coming in Christ.
[00:35:55.280 --> 00:35:58.480]   So if you've forgotten about that,
[00:35:58.480 --> 00:36:00.800]   if that's a distant memory,
[00:36:00.800 --> 00:36:02.800]   that's the reason why we're struggling.
[00:36:02.800 --> 00:36:07.240]   That's why our sanctification is so hard,
[00:36:07.240 --> 00:36:10.600]   because we want something and then we come to church
[00:36:10.600 --> 00:36:13.320]   and the pastor keeps telling you, "You can't have it."
[00:36:13.320 --> 00:36:16.320]   And that's all sanctification is,
[00:36:16.320 --> 00:36:18.720]   when you've taken your eyes off the prize.
[00:36:19.320 --> 00:36:21.880]   Here's a bunch of nice things that you want,
[00:36:21.880 --> 00:36:22.920]   you can't have it.
[00:36:22.920 --> 00:36:26.040]   And then you try to forget about it during the week
[00:36:26.040 --> 00:36:28.800]   and then you come and you say, "You can't have it again."
[00:36:28.800 --> 00:36:31.920]   And all churches, a constant reminder
[00:36:31.920 --> 00:36:34.760]   of the things that you love, things that you want,
[00:36:34.760 --> 00:36:36.840]   and then me telling you, "You can't have it,
[00:36:36.840 --> 00:36:37.840]   "you can't have it."
[00:36:37.840 --> 00:36:41.200]   If that's what sanctification is,
[00:36:41.200 --> 00:36:42.440]   you're not gonna make it.
[00:36:42.440 --> 00:36:46.320]   And that's why he says to remember
