
[00:00:00.000 --> 00:00:07.000]   Let me see.
[00:25:52.680 --> 00:25:56.440]   Immediately the Spirit impelled him to grow out into the wilderness,
[00:25:56.440 --> 00:26:03.000]   as verse 12 says. And after the anointing of the Holy Spirit,
[00:26:03.000 --> 00:26:06.200]   after Jesus was baptized, he was driven by the Holy Spirit to face
[00:26:06.200 --> 00:26:09.480]   Satan in the wilderness.
[00:26:13.400 --> 00:26:17.480]   Now in the other gospel accounts, the 40 days of fasting
[00:26:17.480 --> 00:26:21.480]   and the three temptations of Satan are kind of separated, right?
[00:26:21.480 --> 00:26:24.600]   You have the 40 days of fasting first, and then you have the three temptations
[00:26:24.600 --> 00:26:27.640]   from Satan.
[00:26:27.640 --> 00:26:33.480]   But because Mark's focus is upon, again, the actions of Jesus Christ, the
[00:26:33.480 --> 00:26:37.000]   service of Jesus Christ, the wilderness and
[00:26:37.000 --> 00:26:39.640]   the temptation accounts are kind of just mashed together.
[00:26:39.640 --> 00:26:44.440]   They're kind of combined. And so one of the things that he wants to
[00:26:44.440 --> 00:26:49.480]   emphasize in this passage, in this aspect of
[00:26:49.480 --> 00:26:54.680]   Jesus in the wilderness, is to really show Jesus being in a position of
[00:26:54.680 --> 00:26:59.880]   ultimate dependence upon God the Father. Again, you just had the battle cry, right?
[00:26:59.880 --> 00:27:04.440]   You just had Jesus' baptism and the heavens being torn open,
[00:27:04.440 --> 00:27:10.520]   and God saying, "This is my beloved Son in whom I am well pleased."
[00:27:10.520 --> 00:27:13.880]   And immediately the next scene that we see is Jesus being dependent upon the
[00:27:13.880 --> 00:27:16.920]   Father. It's not Jesus taking the battle upon himself,
[00:27:16.920 --> 00:27:21.080]   which he could, but he's depicting for us an example of how we
[00:27:21.080 --> 00:27:25.080]   too should be dependent upon God the Father.
[00:27:25.080 --> 00:27:29.080]   So being placed in an area where wild animals are roaming around,
[00:27:29.080 --> 00:27:33.560]   and also battling the presence of Satan with his three temptations and
[00:27:33.560 --> 00:27:37.800]   physical hunger, Jesus Christ, the servant of Yahweh, the
[00:27:37.800 --> 00:27:43.000]   servant of God, had only one option. He had to utter dependence upon the
[00:27:43.000 --> 00:27:45.320]   Father.
[00:27:45.320 --> 00:27:55.320]   There we go. That's my main point. All right.
[00:27:57.320 --> 00:28:05.960]   And so, and that's where we end with chapter 1, verse 13.
[00:28:05.960 --> 00:28:09.240]   Again, we cover the geographical movements,
[00:28:09.240 --> 00:28:13.240]   chapter 1, verse 1, all the way up until chapter 1, verse 13,
[00:28:13.240 --> 00:28:19.800]   Jesus is in Jerusalem, right? And now he's going to be moving on up,
[00:28:19.800 --> 00:28:25.640]   starting from here, Mark chapter 1, verse 14, up until
[00:28:25.640 --> 00:28:30.680]   to Mark chapter 9. He's gonna be in Galilee now.
[00:28:30.680 --> 00:28:36.440]   And so, Mark chapter 1, verse 14 through 45, I titled it "The Beginnings."
[00:28:36.440 --> 00:28:42.280]   "The Beginnings." I think the reason why I titled it "The Beginnings" was because
[00:28:42.280 --> 00:28:46.040]   I think "X-Men First Class" came out that weekend, and I was kind of thinking like,
[00:28:46.040 --> 00:28:48.840]   "Oh, the beginnings of the X-Men." And I was like, "Oh, this is gonna be like
[00:28:48.840 --> 00:28:52.680]   the beginnings of, you know, Jesus Christ's ministry."
[00:28:52.680 --> 00:28:55.880]   So I titled it "The Beginnings." I know it sounds kind of lame, but
[00:28:55.880 --> 00:28:59.640]   just want to give you guys the context of how I came to that title.
[00:28:59.640 --> 00:29:04.680]   But it's "The Beginnings." What we see here is John the Baptist is
[00:29:04.680 --> 00:29:08.280]   no longer doing ministry because he's in jail.
[00:29:08.280 --> 00:29:12.360]   And Jesus is beginning to preach the gospel,
[00:29:12.360 --> 00:29:16.520]   specifically the gospel of God. And we're going to go over that.
[00:29:16.520 --> 00:29:23.000]   Interesting.
[00:29:23.000 --> 00:29:26.680]   Yes, okay.
[00:29:26.680 --> 00:29:32.280]   The kingdom of God, okay, yeah, so the gospel of God that we find here is,
[00:29:32.280 --> 00:29:35.560]   entails a message that the kingdom of God is at hand.
[00:29:35.560 --> 00:29:39.160]   Again, we had the contrast of the kingdom of heaven
[00:29:39.160 --> 00:29:42.280]   in the gospel of Matthew, and now we have the kingdom
[00:29:42.280 --> 00:29:48.600]   of God in the gospel of Mark. And so the kingdom of God, that term, is
[00:29:48.600 --> 00:29:52.920]   mentioned 14 times in the gospel of Mark. It's
[00:29:52.920 --> 00:29:57.880]   mentioned 14 times. And so the kingdom of God is something
[00:29:57.880 --> 00:30:01.880]   that's really important, something to keep in mind, especially as
[00:30:01.880 --> 00:30:06.600]   we get into the later chapters of Mark,
[00:30:06.600 --> 00:30:09.080]   especially when he's in Jerusalem, and he's going to do the majority of his
[00:30:09.080 --> 00:30:12.520]   teaching there. But that will be something that we want
[00:30:12.520 --> 00:30:18.360]   to take note of. And so we see in verse 15,
[00:30:18.360 --> 00:30:24.360]   "The time is fulfilled and the kingdom of God is at hand. Repent and believe in the gospel."
[00:30:24.360 --> 00:30:33.960]   And so Jesus' teaching ministry begins, and in the midst of all that,
[00:30:33.960 --> 00:30:37.720]   we're also seeing him gather his disciples,
[00:30:37.720 --> 00:30:44.840]   right? Seeing him gather his disciples. And we see in verse 16 through 20
[00:30:44.840 --> 00:30:48.440]   that Jesus is going along by the Sea of Galilee,
[00:30:48.440 --> 00:30:53.640]   and he saw Simon and Andrew casting a net in a sea, for they were fishermen.
[00:30:53.640 --> 00:30:59.320]   And Jesus said to them, "Follow me and I will make you become fishers of men."
[00:30:59.320 --> 00:31:05.240]   And so we see here the beginning of his call to the first disciples.
[00:31:05.320 --> 00:31:08.520]   And something that we want to note here is the fact that they immediately
[00:31:08.520 --> 00:31:12.600]   responded to Jesus' call. There was no second
[00:31:12.600 --> 00:31:18.200]   guessing, there was no, like, "Oh, I need to take time to
[00:31:18.200 --> 00:31:23.400]   think about this." You know, a lot of us Asians, we began
[00:31:23.400 --> 00:31:26.680]   to analyze this paralysis, you know? We had to make a decision, we're analyzing
[00:31:26.680 --> 00:31:28.760]   it all different angles, and then all of a
[00:31:28.760 --> 00:31:31.320]   sudden it's like it's too late to make a decision,
[00:31:31.320 --> 00:31:38.200]   you know? But not with these first disciples of Jesus Christ,
[00:31:38.200 --> 00:31:41.640]   you know? He made--Jesus called them out, he said, "Follow me
[00:31:41.640 --> 00:31:44.760]   and I will make you fishers of men." And they're like, "I'm on board, I'm jumping
[00:31:44.760 --> 00:31:49.240]   off this boat, and I'm following you."
[00:31:49.240 --> 00:31:53.800]   And so that's something that's unique, and something that maybe we too should
[00:31:53.800 --> 00:31:57.000]   consider in our own lives.
[00:31:57.800 --> 00:32:01.240]   How, you know, when the Bible makes it clear to us what we need to do,
[00:32:01.240 --> 00:32:05.640]   to respond immediately, but we'll move on.
[00:32:05.640 --> 00:32:09.640]   We also see that there's a promise being made
[00:32:09.640 --> 00:32:13.640]   to them, to these disciples. Jesus promises
[00:32:13.640 --> 00:32:18.360]   to them that he will make them fishers of men.
[00:32:18.360 --> 00:32:21.880]   And again, Jesus promised that he's going to transform them.
[00:32:21.880 --> 00:32:25.480]   It's a promise that we find in ourselves too.
[00:32:25.480 --> 00:32:31.480]   Jesus promised us to transform us, to sanctify us, to be more like Christ.
[00:32:31.480 --> 00:32:34.760]   And to find that that is the motivation for the disciples to
[00:32:34.760 --> 00:32:37.800]   follow Jesus is
[00:32:37.800 --> 00:32:43.160]   telling of their heart for the Lord and Savior.
[00:32:43.160 --> 00:32:51.240]   Moving on, Mark chapter 1 verse 21 to 28, what we see there is
[00:32:51.240 --> 00:32:55.400]   Jesus's kind of first
[00:32:55.400 --> 00:33:00.200]   incident where he's teaching in the synagogues.
[00:33:00.200 --> 00:33:03.880]   And we see here that he's being authoritative,
[00:33:03.880 --> 00:33:07.320]   and he's catching the astonishment of the synagogue crowd,
[00:33:07.320 --> 00:33:11.480]   even though it appears that Jesus has a lack of training,
[00:33:11.480 --> 00:33:14.120]   which is kind of hard to believe considering that Jesus was probably the
[00:33:14.120 --> 00:33:17.160]   one, you know, he's the center of the Old Testament.
[00:33:17.160 --> 00:33:20.520]   He knows what he's talking about. And so we see here again,
[00:33:20.520 --> 00:33:25.320]   just the astonishment that the people in the crowd had
[00:33:25.320 --> 00:33:28.120]   for his teaching.
[00:33:28.120 --> 00:33:32.600]   And while everyone is kind of surprised by the authority
[00:33:32.600 --> 00:33:35.800]   in which Jesus taught,
[00:33:35.800 --> 00:33:39.160]   the one thing they didn't realize was that there's a demon-possessed man in
[00:33:39.160 --> 00:33:44.120]   their midst. And that's kind of interesting.
[00:33:44.120 --> 00:33:47.560]   You know, I mean, who knows, like the guy sitting next to you might be demon-possessed.
[00:33:47.560 --> 00:33:50.600]   You know, I mean, that's just, I don't know, that's just really interesting to me.
[00:33:50.600 --> 00:33:52.920]   It's like that no one really noticed that there was a demon-possessed man
[00:33:52.920 --> 00:33:59.800]   sitting next to them. And yet, there he is in the synagogue.
[00:33:59.800 --> 00:34:04.920]   So it appears that the demon was in full control of the man.
[00:34:04.920 --> 00:34:08.760]   And it's also noteworthy just the kind of reaction that he had to Jesus's
[00:34:08.760 --> 00:34:11.960]   teaching, calling him the Holy One of God.
[00:34:11.960 --> 00:34:15.320]   Again, Jesus never called out the demons. He never like said, like,
[00:34:15.320 --> 00:34:19.000]   "Come hither demons, I will cast you out." Right?
[00:34:19.000 --> 00:34:24.600]   Rather, Jesus taught the Word of God, and the demon responded.
[00:34:24.600 --> 00:34:28.280]   And what we see here is great power to go along with his teachings as he casts
[00:34:28.280 --> 00:34:32.440]   out that demon from that man.
[00:34:32.440 --> 00:34:37.240]   Notice the immediacy in which he cast him out too. There was no battle between
[00:34:37.240 --> 00:34:41.800]   Jesus and the demon. Jesus owned the demon.
[00:34:41.800 --> 00:34:47.160]   The beginnings of Jesus Christ continues on as he heals Peter's mother-in-law.
[00:34:47.160 --> 00:34:51.000]   And there's many other healings and exercising of demons
[00:34:51.000 --> 00:34:57.800]   going on. In Mark chapter 1, verse 35 to 39, we see the importance of prayer.
[00:34:57.800 --> 00:35:04.280]   In the midst of Jesus's busy ministry, we see in verse 35, "In the early morning,
[00:35:04.280 --> 00:35:10.520]   while it was still dark, Jesus got up, left the house,
[00:35:10.520 --> 00:35:16.120]   went away to a secluded place, and was praying there."
[00:35:16.120 --> 00:35:22.360]   Now, Jesus is a remarkable servant, is he not? I mean, he's going around
[00:35:22.360 --> 00:35:27.720]   healing people, teaching people, you know, casting out demons. And yet he
[00:35:27.720 --> 00:35:33.080]   still gets up early in the morning to pray because he's utterly dependent
[00:35:33.080 --> 00:35:39.160]   upon the Father, as we saw in Mark chapter 1.
[00:35:39.160 --> 00:35:48.280]   As he's out praying, the disciples are concerned, and they're looking for him,
[00:35:48.280 --> 00:35:52.440]   and they find him, and say, "Everyone's looking for you."
[00:35:52.440 --> 00:35:59.080]   But instead of Jesus complying to their demands of the people,
[00:35:59.080 --> 00:36:03.400]   he says to the disciples, "Let us go somewhere else to the towns nearby, so
[00:36:03.400 --> 00:36:08.600]   that I may preach there also, for that is what I came for."
[00:36:08.600 --> 00:36:14.520]   Jesus set the agenda. And that's something to be amazed about,
[00:36:14.520 --> 00:36:16.840]   because considering he's a servant of God,
[00:36:16.840 --> 00:36:22.200]   yet he's also the son of God, and he had to fulfill his purpose.
[00:36:22.200 --> 00:36:26.520]   We go to the end of chapter 1, and we see here the account of
[00:36:26.520 --> 00:36:29.640]   the leper being healed.
[00:36:29.640 --> 00:36:34.760]   In here, I want to just, you know, the leper came by faith.
[00:36:34.760 --> 00:36:39.080]   Jesus was moved with compassion and healed him.
[00:36:39.080 --> 00:36:42.520]   And then in verse 43, this is something that's really unique here.
[00:36:42.520 --> 00:36:46.280]   In verse 43, he says, "And he sternly warned him,
[00:36:46.280 --> 00:36:49.160]   and immediately sent him away." I think some
[00:36:49.160 --> 00:36:53.320]   translations call it like, "He was angry with him."
[00:36:54.040 --> 00:36:58.600]   And perhaps the reason why Jesus was angry with him, or gave him a stern
[00:36:58.600 --> 00:37:01.800]   warning in regards to not telling people of
[00:37:01.800 --> 00:37:04.760]   what's going, of what happened, or to go straight to the temple to show
[00:37:04.760 --> 00:37:10.280]   him that the leprosy has been removed, is that he knows the
[00:37:10.280 --> 00:37:15.640]   leper's tendency to be disobedient. Back then, if you had leprosy, it was
[00:37:15.640 --> 00:37:19.480]   usually a sign from God that you were disobedient, you disobeyed the law.
[00:37:19.480 --> 00:37:22.600]   And so perhaps this man did something to
[00:37:22.600 --> 00:37:26.120]   to incur that kind of disease.
[00:37:26.120 --> 00:37:29.480]   And so Jesus knew this man was disobedient,
[00:37:29.480 --> 00:37:34.920]   and yet by faith he came, and Jesus healed him.
[00:37:34.920 --> 00:37:38.280]   And Jesus wanted him to go to the temple to show him, to show the
[00:37:38.280 --> 00:37:40.920]   priest at that time that the leprosy has been healed.
[00:37:40.920 --> 00:37:44.280]   I don't know the exact reference in the Old Testament, but there is a
[00:37:44.280 --> 00:37:46.920]   process in which if a leper was healed of his
[00:37:46.920 --> 00:37:49.880]   leprosy, there's a process in which he has to go
[00:37:49.880 --> 00:37:53.160]   through in which the priest would be able to affirm that he's been healed.
[00:37:53.160 --> 00:37:55.400]   Now,
[00:37:55.400 --> 00:37:59.320]   if my memory serves me right, I don't think in history, at least
[00:37:59.320 --> 00:38:01.640]   during this time, there was no one that has been
[00:38:01.640 --> 00:38:04.760]   fully healed from leprosy, right, outside of God's
[00:38:04.760 --> 00:38:09.480]   help, God's divine intervention. And so basically what Jesus wanted him
[00:38:09.480 --> 00:38:15.560]   to do was to go back to the temple and basically give a heads up to the
[00:38:15.560 --> 00:38:18.920]   priest, "Hey, this man's leprosy was healed.
[00:38:18.920 --> 00:38:24.200]   There's something going on here. The Son of God is in your midst."
[00:38:24.200 --> 00:38:30.520]   And yet, Jesus' assessment of the leper was correct,
[00:38:30.520 --> 00:38:35.640]   because instead of obeying the commands of Christ,
[00:38:35.640 --> 00:38:39.320]   saying that, "See that you, you know, see that you say nothing to anyone, but go
[00:38:39.320 --> 00:38:42.680]   show yourself to the priest and offer for your cleansing what Moses
[00:38:42.680 --> 00:38:47.160]   commanded," instead of doing that, this former leper went out and began to
[00:38:47.160 --> 00:38:50.280]   proclaim it freely and to spread the news around to such an
[00:38:50.280 --> 00:38:52.600]   extent that Jesus could no longer publicly
[00:38:52.600 --> 00:38:57.800]   enter a city but stayed out in unpopulated areas.
[00:38:57.800 --> 00:39:03.320]   And so again, this was, sometimes we take this and we're like, "Oh, he was so happy.
[00:39:03.320 --> 00:39:06.760]   He was spreading the gospel." He was not spreading the gospel. He
[00:39:06.760 --> 00:39:10.440]   disobeyed the commands of Christ.
[00:39:11.000 --> 00:39:16.920]   And so, despite the disobedience, despite Jesus probably
[00:39:16.920 --> 00:39:20.040]   already knowing that he was going to disobey him, he still healed him. And
[00:39:20.040 --> 00:39:26.040]   again, that kind of, that shows you the servant of Christ.
[00:39:26.040 --> 00:39:31.160]   So there we end with chapter one, and we have
[00:39:31.160 --> 00:39:37.720]   a chapter and six verses to go. All right. Any questions so far? Just, any
[00:39:37.720 --> 00:39:39.560]   questions? I know you guys probably don't want to
[00:39:39.560 --> 00:39:44.040]   stop me while I'm on my roll right now, but all right.
[00:39:44.040 --> 00:39:49.800]   Moving on. Mark chapter two, verse one, until chapter three, verse six, I title
[00:39:49.800 --> 00:39:55.160]   this "The Four Offenses." Again, what we saw before in Mark chapter
[00:39:55.160 --> 00:39:58.120]   one, there wasn't much offending going on.
[00:39:58.120 --> 00:40:01.480]   And yet, here we are in chapter two, and this is where
[00:40:01.480 --> 00:40:05.800]   things start getting a little bit confrontational.
[00:40:05.800 --> 00:40:12.520]   Jesus is about to do things that are not going to make the Pharisees
[00:40:12.520 --> 00:40:16.760]   happy, to put it in nicer terms.
[00:40:16.760 --> 00:40:19.960]   And so, those are the headings.
[00:40:19.960 --> 00:40:23.640]   We're going to, don't worry about them. We're going to cover them right now.
[00:40:23.640 --> 00:40:27.320]   The first offense is found in chapter two, verse one through eleven,
[00:40:27.320 --> 00:40:31.240]   where it's Jesus healing the paralytic. And we know this story
[00:40:31.240 --> 00:40:36.040]   where Jesus was healing, and people were coming to his home,
[00:40:36.040 --> 00:40:40.040]   and there wasn't any room. And so, these four friends
[00:40:40.040 --> 00:40:44.120]   brought this paralytic up onto the roof. They cut off the rooftop,
[00:40:44.120 --> 00:40:48.360]   and they lowered the paralytic down from the roof.
[00:40:48.360 --> 00:40:51.880]   So, we see here in this picture right here.
[00:40:51.880 --> 00:40:58.200]   And as we read the text, the offense wasn't necessarily the healing,
[00:40:58.200 --> 00:41:04.040]   right? But the offense took place when, in verse five,
[00:41:04.040 --> 00:41:08.920]   it states, "Jesus, seeing the faith, said to the paralytic, 'Son,
[00:41:08.920 --> 00:41:12.280]   your sins are forgiven.'"
[00:41:12.280 --> 00:41:16.520]   And some of the religious teachers happened to be in that area when the
[00:41:16.520 --> 00:41:20.120]   paralytic was healed. And they heard Jesus' statement, and they were like,
[00:41:20.120 --> 00:41:23.560]   "Why does this man speak that way? He's blaspheming.
[00:41:23.560 --> 00:41:27.320]   Who can forgive sins but God alone?"
[00:41:28.280 --> 00:41:31.640]   So again, according to Jewish background, which is true,
[00:41:31.640 --> 00:41:35.880]   only Yahweh is able to forgive sins. And so, they're perceiving Jesus
[00:41:35.880 --> 00:41:39.800]   as taking upon the title of Yahweh, which is true.
[00:41:39.800 --> 00:41:42.840]   Jesus is Yahweh.
[00:41:42.840 --> 00:41:52.760]   Now, it's not like the scribes were proclaiming this out loud, right?
[00:41:52.760 --> 00:41:55.480]   They weren't like going up to Jesus saying, "Hey, you blasphemer. What are you
[00:41:55.480 --> 00:41:59.640]   doing this, right?" It says in verse six, "But some of the
[00:41:59.640 --> 00:42:04.120]   scribes were sitting there, and their reasoning in their hearts."
[00:42:04.120 --> 00:42:08.040]   So this was like an inner discussion among all the scribes. You know, they're
[00:42:08.040 --> 00:42:10.760]   having like a—I'm pretty sure some of us are like, we
[00:42:10.760 --> 00:42:12.840]   have these like discussions within us when we're
[00:42:12.840 --> 00:42:16.040]   deciding whether to say something to someone else, or
[00:42:16.040 --> 00:42:19.320]   we have like inner discussions within us. So these scribes are having
[00:42:19.320 --> 00:42:24.520]   the same kind of discussions. And yet, Jesus was aware
[00:42:24.520 --> 00:42:28.840]   of their reasoning, and he approached them.
[00:42:28.840 --> 00:42:33.560]   And he says, "Why are you reasoning about these things in your heart?"
[00:42:33.560 --> 00:42:38.520]   And so, he approaches them and offends them
[00:42:38.520 --> 00:42:41.880]   by saying, "Why are you doing this?"
[00:42:41.880 --> 00:42:51.000]   And to prove himself as the Son of Man, right?
[00:42:51.160 --> 00:42:55.480]   To prove himself as the Son of Man, again, a phrase that the rulers,
[00:42:55.480 --> 00:42:58.600]   the scribes, the religious leaders would know of,
[00:42:58.600 --> 00:43:02.520]   he heals the man. So he had the forgiveness of sins, and then the healing
[00:43:02.520 --> 00:43:06.680]   of the paralytic. And this brought a great offense
[00:43:06.680 --> 00:43:12.600]   to the Pharisees, or to the scribes and the religious leaders that were there.
[00:43:12.600 --> 00:43:16.440]   But take note in verse 12, in verse 12 it says, "And he got up and immediately
[00:43:16.440 --> 00:43:19.720]   picked up the pallet and went out in the sight of everyone,
[00:43:19.720 --> 00:43:23.240]   so that they were all amazed and were glorifying God, saying, 'We have never
[00:43:23.240 --> 00:43:28.600]   seen anything like this.'" And the reason why I say take note of that is because
[00:43:28.600 --> 00:43:31.880]   not once did they make reference to the fact that Jesus called himself the Son
[00:43:31.880 --> 00:43:34.280]   of Man.
[00:43:34.280 --> 00:43:38.200]   They kind of like, like, like, you know, kind of like that.
[00:43:38.200 --> 00:43:42.200]   Like, "Hey, I'm the Son of Man." Kind of went over their heads.
[00:43:42.200 --> 00:43:46.360]   They're all amazed at the fact that this paralytic was healed.
[00:43:46.360 --> 00:43:49.800]   But that's something to take note of, because Jesus, again, gave many,
[00:43:49.800 --> 00:43:54.120]   many instances where he's proclaiming himself to be
[00:43:54.120 --> 00:43:58.440]   the Son of Man. And so that's an example right there.
[00:43:58.440 --> 00:44:02.680]   The second offense that we have here is eating with the sinners
[00:44:02.680 --> 00:44:09.480]   in chapter 2, verse 13 through 17. In this section, Mark accounts Jesus
[00:44:09.480 --> 00:44:12.600]   calling Levi, the tax collector, into his ministry.
[00:44:12.600 --> 00:44:17.800]   And, you know, Jesus goes to his home to have a meal.
[00:44:17.800 --> 00:44:23.080]   And the tax collectors, as we, I think some of us may have already know,
[00:44:23.080 --> 00:44:28.600]   were despised and seen by Jews as traitors.
[00:44:28.600 --> 00:44:33.960]   They were considered on the same levels as prostitutes in regards to their
[00:44:33.960 --> 00:44:38.760]   levels of sin, I guess. Same class of sinners as prostitutes. And
[00:44:38.760 --> 00:44:42.680]   as a result, it's a great offense to the religious leaders
[00:44:42.680 --> 00:44:48.040]   that Jesus Christ, the self-proclaimed Son of God, is eating meals with them.
[00:44:48.040 --> 00:44:52.360]   Again, the most offensive thing a Jew could commit at that time is to
[00:44:52.360 --> 00:44:57.640]   associate yourself with known sinners.
[00:44:57.640 --> 00:45:00.040]   I think we all know that, like, the religious leaders at that time would
[00:45:00.040 --> 00:45:02.920]   take, they wouldn't have any part with
[00:45:02.920 --> 00:45:05.960]   prostitutes or with tax collectors. You know, tax collectors were kind of viewed
[00:45:05.960 --> 00:45:09.480]   as traitors.
[00:45:09.480 --> 00:45:15.480]   And yet, Jesus had no problem associating himself with them.
[00:45:15.480 --> 00:45:25.880]   Again, Jesus made clear that his emphasis, the reason why he is there, is not to be
[00:45:25.880 --> 00:45:29.480]   with the righteous, but to be with sinners. And again, that
[00:45:29.480 --> 00:45:32.760]   kind of parallels with what John the Baptist did in his ministry, right?
[00:45:32.760 --> 00:45:35.800]   John the Baptist, before you could be baptized, you have to publicly confess
[00:45:35.800 --> 00:45:39.720]   your sins. You have to publicly admit you are a sinner. And the Pharisees
[00:45:39.720 --> 00:45:44.040]   would not admit that. Now, take that principle and apply it in
[00:45:44.040 --> 00:45:48.680]   here. Here, Jesus is saying, "I only came here for sinners." So that's
[00:45:48.680 --> 00:45:53.080]   why I'm hanging out with the tax collectors and the prostitutes.
[00:45:53.080 --> 00:45:58.600]   So what does that make the Pharisees, then? Are they not sinners?
[00:45:58.600 --> 00:46:03.080]   Right? And so Jesus is like indirectly giving a dig towards them, saying like,
[00:46:03.080 --> 00:46:06.520]   "If you just admit that you're sinners, I will be with you."
[00:46:06.520 --> 00:46:11.640]   You know? And yet, the Pharisees chose not to.
[00:46:11.640 --> 00:46:15.480]   And there's a second offense that Jesus gave to the religious leaders of that
[00:46:15.480 --> 00:46:17.720]   time.
[00:46:17.720 --> 00:46:25.240]   The third offense is the neglecting of tradition,
[00:46:25.240 --> 00:46:33.560]   of traditions. In this section, John the Baptist's disciples
[00:46:33.560 --> 00:46:39.400]   and the Pharisees were fasting. Back then, some of the religious
[00:46:39.400 --> 00:46:44.520]   traditions required some people to fast twice a week.
[00:46:44.520 --> 00:46:50.120]   And so it just so happened on that day, the disciples of John the Baptist, which
[00:46:50.120 --> 00:46:53.240]   I mean, they should have just followed Jesus, but they didn't,
[00:46:53.240 --> 00:46:58.360]   John's disciples and the Pharisees were fasting.
[00:46:58.360 --> 00:47:03.000]   They're keeping up with the religious traditions of that day.
[00:47:03.000 --> 00:47:07.240]   And they come up to Jesus and they're saying, "Well, how come your disciples
[00:47:07.240 --> 00:47:11.640]   aren't fasting?" Trying to get a dig at Jesus'
[00:47:11.640 --> 00:47:15.000]   disciples, and Jesus just simply responds, you know,
[00:47:15.000 --> 00:47:17.720]   "While the bridegroom is with them, the attendants of the bridegroom cannot
[00:47:17.720 --> 00:47:20.600]   fast, can they? So as long as they have the bridegroom
[00:47:20.600 --> 00:47:23.880]   with them, they cannot fast. But the days will come
[00:47:23.880 --> 00:47:27.240]   when the bridegroom is taken away, and then they will fast on that day." And then
[00:47:27.240 --> 00:47:33.960]   he gives the analogy of the new wine, old wineskin,
[00:47:33.960 --> 00:47:39.640]   and basically indicating the fact that the reason why Jesus was going, he was
[00:47:39.640 --> 00:47:43.720]   going to introduce a new system of worship.
[00:47:43.720 --> 00:47:47.800]   And so the reasons why the disciples of John the Baptist and the Pharisees were
[00:47:47.800 --> 00:47:53.720]   fasting is going to be much different after Jesus is done.
[00:47:53.720 --> 00:47:59.240]   And so he's going to introduce a brand new system to his followers.
[00:47:59.240 --> 00:48:04.840]   So again, he offended the religious leaders, he offended
[00:48:04.840 --> 00:48:09.160]   the disciples of John the Baptist now. So Jesus is like on a roll right now, he's
[00:48:09.160 --> 00:48:12.760]   going to, he's offending people left and right.
[00:48:12.760 --> 00:48:20.760]   Okay.
[00:48:20.760 --> 00:48:27.960]   All right. And finally, finally, sorry, do you guys want to go back to
[00:48:27.960 --> 00:48:35.080]   last slide? All right. One, two,
[00:48:35.080 --> 00:48:41.400]   three. That was a few seconds, right? All right.
[00:48:41.400 --> 00:48:47.880]   Any questions so far? Any questions? Yes, Derek?
[00:48:47.880 --> 00:48:56.680]   Yes, it was a tradition of man. It was something they added on.
[00:48:56.680 --> 00:49:03.160]   Something that we're going to see later on with the Sabbath. The Jews
[00:49:03.160 --> 00:49:08.280]   are really good at making rules. They're excellent at that. Sometimes
[00:49:08.280 --> 00:49:11.640]   when we play Monopoly deal and I'm kind of like, I want to do something and
[00:49:11.640 --> 00:49:14.840]   like, that's against the rules. And sometimes I feel like you're just
[00:49:14.840 --> 00:49:22.200]   adding rules to the rule book. But the Jews were very good at adding
[00:49:22.200 --> 00:49:28.280]   traditions and even John the Baptist's disciples were prone to that as well.
[00:49:28.280 --> 00:49:35.240]   Any other questions? Yes.
[00:49:35.240 --> 00:49:47.000]   [inaudible]
[00:49:47.000 --> 00:49:49.320]   Yes.
[00:49:49.320 --> 00:49:54.920]   Yeah, I think the reason why they were fasting is going to be
[00:49:54.920 --> 00:49:59.080]   markedly different than, you know, than for the old system.
[00:49:59.080 --> 00:50:05.400]   The reason why we fast now is mainly to keep us sober physically and
[00:50:05.400 --> 00:50:08.520]   spiritually and also to make us, you know, understand that we yearn for
[00:50:08.520 --> 00:50:12.120]   something more than what this world has to offer.
[00:50:12.120 --> 00:50:18.040]   Obviously with the Pharisees and people who are under the old system,
[00:50:18.040 --> 00:50:23.640]   they fasted for other reasons. But yeah.
[00:50:23.640 --> 00:50:27.720]   Okay, good question. Yes.
[00:50:28.280 --> 00:50:32.280]   What were the other reasons?
[00:50:32.280 --> 00:50:42.760]   [inaudible]
[00:50:42.760 --> 00:50:49.640]   Okay. Right. Well, perhaps one of the reasons why
[00:50:49.640 --> 00:50:53.000]   they're fasting is because it's a mark of righteousness.
[00:50:53.000 --> 00:50:56.040]   We noticed that in, I can't get the verse
[00:50:56.040 --> 00:51:03.400]   off the top of my head right now, but the Pharisees would
[00:51:03.400 --> 00:51:07.080]   make it known that they were fasting, right? They would make it known to
[00:51:07.080 --> 00:51:09.960]   everyone that like, "Man, today I'm fasting today.
[00:51:09.960 --> 00:51:13.560]   Don't give me food." As a means of letting people know like
[00:51:13.560 --> 00:51:17.000]   they're being righteous. That was one of the, so that I think
[00:51:17.000 --> 00:51:19.240]   that's one of the reasons why they're fasting.
[00:51:19.240 --> 00:51:23.080]   Perhaps John the Baptist fell, their disciples fell into that.
[00:51:23.080 --> 00:51:27.800]   And what was your other question?
[00:51:27.800 --> 00:51:32.040]   Jesus' disciples?
[00:51:32.040 --> 00:51:44.600]   [inaudible]
[00:51:44.600 --> 00:51:49.560]   I don't know. I think partly because maybe Jesus was
[00:51:49.560 --> 00:51:53.240]   teaching them. I mean, Jesus was teaching his disciples
