
[00:00:00.000 --> 00:00:05.000]   Can we try for the tag the second time we do it
[00:36:22.860 --> 00:36:26.860]   [SILENCE]
[00:36:26.860 --> 00:36:30.860]   [SILENCE]
[00:36:31.860 --> 00:36:34.860]   [SILENCE]
[00:36:34.860 --> 00:36:38.860]   [SILENCE]
[00:36:38.860 --> 00:36:42.860]   [SILENCE]
[00:36:42.860 --> 00:36:46.860]   [SILENCE]
[00:36:46.860 --> 00:36:50.860]   [SILENCE]
[00:36:50.860 --> 00:36:54.860]   [SILENCE]
[00:36:54.860 --> 00:36:58.860]   [SILENCE]
[00:36:59.860 --> 00:37:02.860]   [SILENCE]
[00:37:02.860 --> 00:37:06.860]   [SILENCE]
[00:37:06.860 --> 00:37:10.860]   [SILENCE]
[00:37:10.860 --> 00:37:14.860]   [SILENCE]
[00:37:14.860 --> 00:37:18.860]   [SILENCE]
[00:37:18.860 --> 00:37:22.860]   [SILENCE]
[00:37:22.860 --> 00:37:26.860]   [SILENCE]
[00:37:27.860 --> 00:37:30.860]   [SILENCE]
[00:37:30.860 --> 00:37:34.860]   [SILENCE]
[00:37:34.860 --> 00:37:38.860]   [SILENCE]
[00:37:38.860 --> 00:37:42.860]   [SILENCE]
[00:37:42.860 --> 00:37:46.860]   [SILENCE]
[00:37:46.860 --> 00:37:50.860]   [SILENCE]
[00:37:50.860 --> 00:37:54.860]   [SILENCE]
[00:37:55.860 --> 00:37:58.860]   [SILENCE]
[00:37:58.860 --> 00:38:02.860]   [SILENCE]
[00:38:02.860 --> 00:38:06.860]   [SILENCE]
[00:38:06.860 --> 00:38:10.860]   [SILENCE]
[00:38:10.860 --> 00:38:14.860]   [SILENCE]
[00:38:14.860 --> 00:38:18.860]   [SILENCE]
[00:38:18.860 --> 00:38:22.860]   [SILENCE]
[00:38:23.860 --> 00:38:26.860]   [SILENCE]
[00:38:26.860 --> 00:38:30.860]   [SILENCE]
[00:38:30.860 --> 00:38:34.860]   [SILENCE]
[00:38:34.860 --> 00:38:38.860]   [SILENCE]
[00:38:38.860 --> 00:38:42.860]   [SILENCE]
[00:38:42.860 --> 00:38:46.860]   [SILENCE]
[00:38:46.860 --> 00:38:50.860]   [SILENCE]
[00:38:51.860 --> 00:38:54.860]   [SILENCE]
[00:38:54.860 --> 00:38:58.860]   [SILENCE]
[00:38:58.860 --> 00:39:02.860]   [SILENCE]
[00:39:02.860 --> 00:39:06.860]   [SILENCE]
[00:39:06.860 --> 00:39:10.860]   [SILENCE]
[00:39:10.860 --> 00:39:14.860]   [SILENCE]
[00:39:14.860 --> 00:39:18.860]   [SILENCE]
[00:39:19.860 --> 00:39:22.860]   [SILENCE]
[00:39:22.860 --> 00:39:26.860]   [SILENCE]
[00:39:26.860 --> 00:39:30.860]   [SILENCE]
[00:39:30.860 --> 00:39:34.860]   [SILENCE]
[00:39:34.860 --> 00:39:38.860]   [SILENCE]
[00:39:38.860 --> 00:39:42.860]   [SILENCE]
[00:39:42.860 --> 00:39:46.860]   [SILENCE]
[00:39:47.860 --> 00:39:50.860]   [SILENCE]
[00:39:50.860 --> 00:39:54.860]   [SILENCE]
[00:39:54.860 --> 00:39:58.860]   [SILENCE]
[00:39:58.860 --> 00:40:02.860]   [SILENCE]
[00:40:02.860 --> 00:40:06.860]   [SILENCE]
[00:40:06.860 --> 00:40:10.860]   [SILENCE]
[00:40:10.860 --> 00:40:14.860]   [SILENCE]
[00:40:15.860 --> 00:40:18.860]   [SILENCE]
[00:40:18.860 --> 00:40:22.860]   [SILENCE]
[00:40:22.860 --> 00:40:26.860]   [SILENCE]
[00:40:26.860 --> 00:40:30.860]   [SILENCE]
[00:40:30.860 --> 00:40:34.860]   [SILENCE]
[00:40:34.860 --> 00:40:38.860]   [SILENCE]
[00:40:38.860 --> 00:40:42.860]   [SILENCE]
[00:40:43.860 --> 00:40:46.860]   [SILENCE]
[00:40:46.860 --> 00:40:50.860]   [SILENCE]
[00:40:50.860 --> 00:40:54.860]   [SILENCE]
[00:40:54.860 --> 00:40:58.860]   [SILENCE]
[00:40:58.860 --> 00:41:02.860]   [SILENCE]
[00:41:02.860 --> 00:41:06.860]   [SILENCE]
[00:41:06.860 --> 00:41:10.860]   [SILENCE]
[00:41:11.860 --> 00:41:14.860]   [SILENCE]
[00:41:14.860 --> 00:41:18.860]   [SILENCE]
[00:41:18.860 --> 00:41:22.860]   [SILENCE]
[00:41:22.860 --> 00:41:26.860]   [SILENCE]
[00:41:26.860 --> 00:41:30.860]   [SILENCE]
[00:41:30.860 --> 00:41:34.860]   [SILENCE]
[00:41:34.860 --> 00:41:38.860]   [SILENCE]
[00:41:39.860 --> 00:41:42.860]   [SILENCE]
[00:41:42.860 --> 00:41:46.860]   [SILENCE]
[00:41:46.860 --> 00:41:50.860]   [SILENCE]
[00:41:50.860 --> 00:41:54.860]   [SILENCE]
[00:41:54.860 --> 00:41:58.860]   [SILENCE]
[00:41:58.860 --> 00:42:02.860]   [SILENCE]
[00:42:02.860 --> 00:42:06.860]   [SILENCE]
[00:42:07.860 --> 00:42:10.860]   [SILENCE]
[00:42:10.860 --> 00:42:14.860]   [SILENCE]
[00:42:14.860 --> 00:42:18.860]   [SILENCE]
[00:42:18.860 --> 00:42:22.860]   [SILENCE]
[00:42:22.860 --> 00:42:26.860]   [SILENCE]
[00:42:26.860 --> 00:42:30.860]   [SILENCE]
[00:42:30.860 --> 00:42:34.860]   [SILENCE]
[00:42:35.860 --> 00:42:38.860]   [SILENCE]
[00:42:38.860 --> 00:42:42.860]   [SILENCE]
[00:42:42.860 --> 00:42:46.860]   [SILENCE]
[00:42:46.860 --> 00:42:50.860]   [SILENCE]
[00:42:50.860 --> 00:42:54.860]   [SILENCE]
[00:42:54.860 --> 00:42:58.860]   [SILENCE]
[00:42:58.860 --> 00:43:02.860]   [SILENCE]
[00:43:03.860 --> 00:43:06.860]   [SILENCE]
[00:43:06.860 --> 00:43:10.860]   [SILENCE]
[00:43:10.860 --> 00:43:14.860]   [SILENCE]
[00:43:14.860 --> 00:43:18.860]   [SILENCE]
[00:43:18.860 --> 00:43:22.860]   [SILENCE]
[00:43:22.860 --> 00:43:26.860]   [SILENCE]
[00:43:26.860 --> 00:43:30.860]   [SILENCE]
[00:43:31.860 --> 00:43:34.860]   [SILENCE]
[00:43:34.860 --> 00:43:38.860]   [SILENCE]
[00:43:38.860 --> 00:43:42.860]   [SILENCE]
[00:43:42.860 --> 00:43:46.860]   [SILENCE]
[00:43:46.860 --> 00:43:50.860]   [SILENCE]
[00:43:50.860 --> 00:43:54.860]   [SILENCE]
[00:43:54.860 --> 00:43:58.860]   [SILENCE]
[00:43:59.860 --> 00:44:02.860]   [SILENCE]
[00:44:02.860 --> 00:44:06.860]   [SILENCE]
[00:44:06.860 --> 00:44:10.860]   [SILENCE]
[00:44:10.860 --> 00:44:14.860]   [SILENCE]
[00:44:14.860 --> 00:44:18.860]   [SILENCE]
[00:44:18.860 --> 00:44:22.860]   [SILENCE]
[00:44:22.860 --> 00:44:26.860]   [SILENCE]
[00:44:27.860 --> 00:44:30.860]   [SILENCE]
[00:44:30.860 --> 00:44:34.860]   [SILENCE]
[00:44:34.860 --> 00:44:38.860]   [SILENCE]
[00:44:38.860 --> 00:44:42.860]   [SILENCE]
[00:44:42.860 --> 00:44:46.860]   [SILENCE]
[00:44:46.860 --> 00:44:50.860]   [SILENCE]
[00:44:50.860 --> 00:44:54.860]   [SILENCE]
[00:44:55.860 --> 00:44:58.860]   [SILENCE]
[00:44:58.860 --> 00:45:02.860]   [SILENCE]
[00:45:02.860 --> 00:45:06.860]   [SILENCE]
[00:45:06.860 --> 00:45:10.860]   [SILENCE]
[00:45:10.860 --> 00:45:14.860]   [SILENCE]
[00:45:14.860 --> 00:45:18.860]   [SILENCE]
[00:45:18.860 --> 00:45:22.860]   [SILENCE]
[00:45:23.860 --> 00:45:26.860]   [SILENCE]
[00:45:26.860 --> 00:45:30.860]   [SILENCE]
[00:45:30.860 --> 00:45:34.860]   [SILENCE]
[00:45:34.860 --> 00:45:38.860]   [SILENCE]
[00:45:38.860 --> 00:45:42.860]   [SILENCE]
[00:45:42.860 --> 00:45:46.860]   [SILENCE]
[00:45:46.860 --> 00:45:50.860]   [SILENCE]
[00:45:51.860 --> 00:45:54.860]   [SILENCE]
[00:45:54.860 --> 00:45:58.860]   [SILENCE]
[00:45:58.860 --> 00:46:02.860]   [SILENCE]
[00:46:02.860 --> 00:46:06.860]   [SILENCE]
[00:46:06.860 --> 00:46:10.860]   [SILENCE]
[00:46:10.860 --> 00:46:14.860]   [SILENCE]
[00:46:14.860 --> 00:46:18.860]   [SILENCE]
[00:46:19.860 --> 00:46:22.860]   [SILENCE]
[00:46:22.860 --> 00:46:26.860]   [SILENCE]
[00:46:26.860 --> 00:46:30.860]   [SILENCE]
[00:46:30.860 --> 00:46:34.860]   [SILENCE]
[00:46:34.860 --> 00:46:38.860]   [SILENCE]
[00:46:38.860 --> 00:46:42.860]   [SILENCE]
[00:46:42.860 --> 00:46:46.860]   [SILENCE]
[00:46:47.860 --> 00:46:50.860]   [SILENCE]
[00:46:50.860 --> 00:46:54.860]   [SILENCE]
[00:46:54.860 --> 00:46:58.860]   [SILENCE]
[00:46:58.860 --> 00:47:02.860]   [SILENCE]
[00:47:02.860 --> 00:47:06.860]   [SILENCE]
[00:47:06.860 --> 00:47:10.860]   [SILENCE]
[00:47:10.860 --> 00:47:14.860]   [SILENCE]
[00:47:15.860 --> 00:47:18.860]   [SILENCE]
[00:47:18.860 --> 00:47:22.860]   [SILENCE]
[00:47:22.860 --> 00:47:26.860]   [SILENCE]
[00:47:26.860 --> 00:47:30.860]   [SILENCE]
[00:47:30.860 --> 00:47:34.860]   [SILENCE]
[00:47:34.860 --> 00:47:38.860]   [SILENCE]
[00:47:38.860 --> 00:47:42.860]   [SILENCE]
[00:47:43.860 --> 00:47:46.860]   [SILENCE]
[00:47:46.860 --> 00:47:50.860]   [SILENCE]
[00:47:50.860 --> 00:47:54.860]   [SILENCE]
[00:47:54.860 --> 00:47:58.860]   [SILENCE]
[00:47:58.860 --> 00:48:02.860]   [SILENCE]
[00:48:02.860 --> 00:48:06.860]   [SILENCE]
[00:48:06.860 --> 00:48:10.860]   [SILENCE]
[00:48:11.860 --> 00:48:14.860]   [SILENCE]
[00:48:14.860 --> 00:48:18.860]   [SILENCE]
[00:48:18.860 --> 00:48:22.860]   [SILENCE]
[00:48:22.860 --> 00:48:26.860]   [SILENCE]
[00:48:26.860 --> 00:48:30.860]   [SILENCE]
[00:48:30.860 --> 00:48:34.860]   [SILENCE]
[00:48:34.860 --> 00:48:38.860]   [SILENCE]
[00:48:39.860 --> 00:48:42.860]   [SILENCE]
[00:48:42.860 --> 00:48:46.860]   [SILENCE]
[00:48:46.860 --> 00:48:50.860]   [SILENCE]
[00:48:50.860 --> 00:48:54.860]   [SILENCE]
[00:48:54.860 --> 00:48:58.860]   [SILENCE]
[00:48:58.860 --> 00:49:02.860]   [SILENCE]
[00:49:02.860 --> 00:49:06.860]   [SILENCE]
[00:49:07.860 --> 00:49:10.860]   [SILENCE]
[00:49:10.860 --> 00:49:14.860]   [SILENCE]
[00:49:14.860 --> 00:49:18.860]   [SILENCE]
[00:49:18.860 --> 00:49:22.860]   [SILENCE]
[00:49:22.860 --> 00:49:26.860]   [SILENCE]
[00:49:26.860 --> 00:49:30.860]   [SILENCE]
[00:49:30.860 --> 00:49:34.860]   [SILENCE]
[00:49:35.860 --> 00:49:38.860]   [SILENCE]
[00:49:38.860 --> 00:49:42.860]   [SILENCE]
[00:49:42.860 --> 00:49:46.860]   [SILENCE]
[00:49:46.860 --> 00:49:50.860]   [SILENCE]
[00:49:50.860 --> 00:49:54.860]   [SILENCE]
[00:49:54.860 --> 00:49:58.860]   [SILENCE]
[00:49:58.860 --> 00:50:02.860]   [SILENCE]
[00:50:03.860 --> 00:50:06.860]   [SILENCE]
[00:50:06.860 --> 00:50:10.860]   [SILENCE]
[00:50:10.860 --> 00:50:14.860]   [SILENCE]
[00:50:14.860 --> 00:50:18.860]   [SILENCE]
[00:50:18.860 --> 00:50:22.860]   [SILENCE]
[00:50:22.860 --> 00:50:26.860]   [SILENCE]
[00:50:26.860 --> 00:50:30.860]   [SILENCE]
[00:50:31.860 --> 00:50:34.860]   [SILENCE]
[00:50:34.860 --> 00:50:38.860]   [SILENCE]
[00:50:38.860 --> 00:50:42.860]   [SILENCE]
[00:50:42.860 --> 00:50:46.860]   [SILENCE]
[00:50:46.860 --> 00:50:50.860]   [SILENCE]
[00:50:50.860 --> 00:50:54.860]   [SILENCE]
[00:50:54.860 --> 00:50:58.860]   [SILENCE]
[00:50:59.860 --> 00:51:02.860]   [SILENCE]
[00:51:02.860 --> 00:51:06.860]   [SILENCE]
[00:51:06.860 --> 00:51:10.860]   [SILENCE]
[00:51:10.860 --> 00:51:14.860]   [SILENCE]
[00:51:14.860 --> 00:51:18.860]   [SILENCE]
[00:51:18.860 --> 00:51:22.860]   [SILENCE]
[00:51:22.860 --> 00:51:26.860]   [SILENCE]
[00:51:27.860 --> 00:51:30.860]   [SILENCE]
[00:51:30.860 --> 00:51:34.860]   [SILENCE]
[00:51:34.860 --> 00:51:38.860]   [SILENCE]
[00:51:38.860 --> 00:51:42.860]   [SILENCE]
[00:51:42.860 --> 00:51:46.860]   [SILENCE]
[00:51:46.860 --> 00:51:50.860]   [SILENCE]
[00:51:50.860 --> 00:51:54.860]   [SILENCE]
[00:51:55.860 --> 00:51:58.860]   [SILENCE]
[00:51:58.860 --> 00:52:02.860]   [SILENCE]
[00:52:02.860 --> 00:52:06.860]   [SILENCE]
[00:52:06.860 --> 00:52:10.860]   [SILENCE]
[00:52:10.860 --> 00:52:14.860]   [SILENCE]
[00:52:14.860 --> 00:52:18.860]   [SILENCE]
[00:52:18.860 --> 00:52:22.860]   [SILENCE]
[00:52:23.860 --> 00:52:26.860]   [SILENCE]
[00:52:26.860 --> 00:52:30.860]   [SILENCE]
[00:52:30.860 --> 00:52:34.860]   [SILENCE]
[00:52:34.860 --> 00:52:38.860]   [SILENCE]
[00:52:38.860 --> 00:52:42.860]   [SILENCE]
[00:52:42.860 --> 00:52:46.860]   [SILENCE]
[00:52:46.860 --> 00:52:50.860]   [SILENCE]
[00:52:51.860 --> 00:52:54.860]   [SILENCE]
[00:52:54.860 --> 00:52:58.860]   [SILENCE]
[00:52:58.860 --> 00:53:02.860]   [SILENCE]
[00:53:02.860 --> 00:53:06.860]   [SILENCE]
[00:53:06.860 --> 00:53:10.860]   [SILENCE]
[00:53:10.860 --> 00:53:14.860]   [SILENCE]
[00:53:14.860 --> 00:53:18.860]   [SILENCE]
[00:53:19.860 --> 00:53:22.860]   [SILENCE]
[00:53:22.860 --> 00:53:26.860]   [SILENCE]
[00:53:26.860 --> 00:53:30.860]   [SILENCE]
[00:53:30.860 --> 00:53:34.860]   [SILENCE]
[00:53:34.860 --> 00:53:38.860]   [SILENCE]
[00:53:38.860 --> 00:53:42.860]   [SILENCE]
[00:53:42.860 --> 00:53:46.860]   [SILENCE]
[00:53:47.860 --> 00:53:50.860]   [SILENCE]
[00:53:50.860 --> 00:53:54.860]   [SILENCE]
[00:53:54.860 --> 00:53:58.860]   [SILENCE]
[00:53:58.860 --> 00:54:02.860]   [SILENCE]
[00:54:02.860 --> 00:54:06.860]   [SILENCE]
[00:54:06.860 --> 00:54:10.860]   [SILENCE]
[00:54:10.860 --> 00:54:14.860]   [SILENCE]
[00:54:15.860 --> 00:54:18.860]   [SILENCE]
[00:54:18.860 --> 00:54:22.860]   [SILENCE]
[00:54:22.860 --> 00:54:26.860]   [SILENCE]
[00:54:26.860 --> 00:54:30.860]   [SILENCE]
[00:54:30.860 --> 00:54:34.860]   [SILENCE]
[00:54:34.860 --> 00:54:38.860]   [SILENCE]
[00:54:38.860 --> 00:54:42.860]   [SILENCE]
[00:54:43.860 --> 00:54:46.860]   [SILENCE]
[00:54:46.860 --> 00:54:50.860]   [SILENCE]
[00:54:50.860 --> 00:54:54.860]   [SILENCE]
[00:54:54.860 --> 00:54:58.860]   [SILENCE]
[00:54:58.860 --> 00:55:02.860]   [SILENCE]
[00:55:02.860 --> 00:55:06.860]   [SILENCE]
[00:55:06.860 --> 00:55:10.860]   [SILENCE]
[00:55:11.860 --> 00:55:14.860]   [SILENCE]
[00:55:14.860 --> 00:55:18.860]   [SILENCE]
[00:55:18.860 --> 00:55:22.860]   [SILENCE]
[00:55:22.860 --> 00:55:26.860]   [SILENCE]
[00:55:26.860 --> 00:55:30.860]   [SILENCE]
[00:55:30.860 --> 00:55:34.860]   [SILENCE]
[00:55:34.860 --> 00:55:38.860]   [SILENCE]
[00:55:39.860 --> 00:55:42.860]   [SILENCE]
[00:55:42.860 --> 00:55:46.860]   [SILENCE]
[00:55:46.860 --> 00:55:50.860]   [SILENCE]
[00:55:50.860 --> 00:55:54.860]   [SILENCE]
[00:55:54.860 --> 00:55:58.860]   [SILENCE]
[00:55:58.860 --> 00:56:02.860]   [SILENCE]
[00:56:02.860 --> 00:56:06.860]   [SILENCE]
[00:56:07.860 --> 00:56:10.860]   [SILENCE]
[00:56:10.860 --> 00:56:14.860]   [SILENCE]
[00:56:14.860 --> 00:56:18.860]   [SILENCE]
[00:56:18.860 --> 00:56:22.860]   [SILENCE]
[00:56:22.860 --> 00:56:26.860]   [SILENCE]
[00:56:26.860 --> 00:56:30.860]   [SILENCE]
[00:56:30.860 --> 00:56:34.860]   [SILENCE]
[00:56:35.860 --> 00:56:38.860]   [SILENCE]
[00:56:38.860 --> 00:56:42.860]   [SILENCE]
[00:56:42.860 --> 00:56:46.860]   [SILENCE]
[00:56:46.860 --> 00:56:50.860]   [SILENCE]
[00:56:50.860 --> 00:56:54.860]   [SILENCE]
[00:56:54.860 --> 00:56:58.860]   [SILENCE]
[00:56:58.860 --> 00:57:02.860]   [SILENCE]
[00:57:03.860 --> 00:57:06.860]   [SILENCE]
[00:57:06.860 --> 00:57:10.860]   [SILENCE]
[00:57:10.860 --> 00:57:14.860]   [SILENCE]
[00:57:14.860 --> 00:57:18.860]   [SILENCE]
[00:57:18.860 --> 00:57:22.860]   [SILENCE]
[00:57:22.860 --> 00:57:26.860]   [SILENCE]
[00:57:26.860 --> 00:57:30.860]   [SILENCE]
[00:57:31.860 --> 00:57:34.860]   [SILENCE]
[00:57:34.860 --> 00:57:38.860]   [SILENCE]
[00:57:38.860 --> 00:57:42.860]   [SILENCE]
[00:57:42.860 --> 00:57:46.860]   [SILENCE]
[00:57:46.860 --> 00:57:50.860]   [SILENCE]
[00:57:50.860 --> 00:57:54.860]   [SILENCE]
[00:57:54.860 --> 00:57:58.860]   [SILENCE]
[00:57:59.860 --> 00:58:02.860]   [SILENCE]
[00:58:02.860 --> 00:58:06.860]   [SILENCE]
[00:58:06.860 --> 00:58:10.860]   [SILENCE]
[00:58:10.860 --> 00:58:14.860]   [SILENCE]
[00:58:14.860 --> 00:58:18.860]   [SILENCE]
[00:58:18.860 --> 00:58:22.860]   [SILENCE]
[00:58:22.860 --> 00:58:26.860]   [SILENCE]
[00:58:27.860 --> 00:58:30.860]   [SILENCE]
[00:58:30.860 --> 00:58:34.860]   [SILENCE]
[00:58:34.860 --> 00:58:38.860]   [SILENCE]
[00:58:38.860 --> 00:58:42.860]   [SILENCE]
[00:58:42.860 --> 00:58:46.860]   [SILENCE]
[00:58:46.860 --> 00:58:50.860]   [SILENCE]
[00:58:50.860 --> 00:58:54.860]   [SILENCE]
[00:58:55.860 --> 00:58:58.860]   [SILENCE]
[00:58:58.860 --> 00:59:02.860]   [SILENCE]
[00:59:02.860 --> 00:59:06.860]   [SILENCE]
[00:59:06.860 --> 00:59:10.860]   [SILENCE]
[00:59:10.860 --> 00:59:14.860]   [SILENCE]
[00:59:14.860 --> 00:59:18.860]   [SILENCE]
[00:59:18.860 --> 00:59:22.860]   [SILENCE]
[00:59:23.860 --> 00:59:26.860]   [SILENCE]
[00:59:26.860 --> 00:59:30.860]   [SILENCE]
[00:59:30.860 --> 00:59:34.860]   [SILENCE]
[00:59:34.860 --> 00:59:38.860]   [SILENCE]
[00:59:38.860 --> 00:59:42.860]   [SILENCE]
[00:59:42.860 --> 00:59:46.860]   [SILENCE]
[00:59:46.860 --> 00:59:50.860]   [SILENCE]
[00:59:51.860 --> 00:59:54.860]   [SILENCE]
[00:59:54.860 --> 00:59:58.860]   [SILENCE]
[00:59:58.860 --> 01:00:02.860]   [SILENCE]
[01:00:02.860 --> 01:00:06.860]   [SILENCE]
[01:00:06.860 --> 01:00:10.860]   [SILENCE]
[01:00:10.860 --> 01:00:14.860]   [SILENCE]
[01:00:14.860 --> 01:00:18.860]   [SILENCE]
[01:00:19.860 --> 01:00:22.860]   [SILENCE]
[01:00:22.860 --> 01:00:26.860]   [SILENCE]
[01:00:26.860 --> 01:00:30.860]   [SILENCE]
[01:00:30.860 --> 01:00:34.860]   [SILENCE]
[01:00:34.860 --> 01:00:38.860]   [SILENCE]
[01:00:38.860 --> 01:00:42.860]   [SILENCE]
[01:00:42.860 --> 01:00:46.860]   [SILENCE]
[01:00:47.860 --> 01:00:50.860]   [SILENCE]
[01:00:50.860 --> 01:00:54.860]   [SILENCE]
[01:00:54.860 --> 01:00:58.860]   [SILENCE]
[01:00:58.860 --> 01:01:02.860]   [SILENCE]
[01:01:02.860 --> 01:01:06.860]   [SILENCE]
[01:01:06.860 --> 01:01:10.860]   [SILENCE]
[01:01:10.860 --> 01:01:14.860]   [SILENCE]
[01:01:15.860 --> 01:01:18.860]   [SILENCE]
[01:01:18.860 --> 01:01:22.860]   [SILENCE]
[01:01:22.860 --> 01:01:26.860]   [SILENCE]
[01:01:26.860 --> 01:01:30.860]   [SILENCE]
[01:01:30.860 --> 01:01:34.860]   [SILENCE]
[01:01:34.860 --> 01:01:38.860]   [SILENCE]
[01:01:38.860 --> 01:01:42.860]   [SILENCE]
[01:01:43.860 --> 01:01:46.860]   [SILENCE]
[01:01:46.860 --> 01:01:50.860]   [SILENCE]
[01:01:50.860 --> 01:01:54.860]   [SILENCE]
[01:01:54.860 --> 01:01:58.860]   [SILENCE]
[01:01:58.860 --> 01:02:02.860]   [SILENCE]
[01:02:02.860 --> 01:02:06.860]   [SILENCE]
[01:02:06.860 --> 01:02:10.860]   [SILENCE]
[01:02:11.860 --> 01:02:14.860]   [SILENCE]
[01:02:14.860 --> 01:02:18.860]   [SILENCE]
[01:02:18.860 --> 01:02:22.860]   [SILENCE]
[01:02:22.860 --> 01:02:26.860]   [SILENCE]
[01:02:26.860 --> 01:02:30.860]   [SILENCE]
[01:02:30.860 --> 01:02:34.860]   [SILENCE]
[01:02:34.860 --> 01:02:38.860]   [SILENCE]
[01:02:39.860 --> 01:02:42.860]   [SILENCE]
[01:02:42.860 --> 01:02:46.860]   [SILENCE]
[01:02:46.860 --> 01:02:50.860]   [SILENCE]
[01:02:50.860 --> 01:02:54.860]   [SILENCE]
[01:02:54.860 --> 01:02:58.860]   [SILENCE]
[01:02:58.860 --> 01:03:02.860]   [SILENCE]
[01:03:02.860 --> 01:03:06.860]   [SILENCE]
[01:03:07.860 --> 01:03:10.860]   [SILENCE]
[01:03:10.860 --> 01:03:14.860]   [SILENCE]
[01:03:14.860 --> 01:03:18.860]   [SILENCE]
[01:03:18.860 --> 01:03:22.860]   [SILENCE]
[01:03:22.860 --> 01:03:26.860]   [SILENCE]
[01:03:26.860 --> 01:03:30.860]   [SILENCE]
[01:03:30.860 --> 01:03:34.860]   [SILENCE]
[01:03:35.860 --> 01:03:38.860]   [SILENCE]
[01:03:38.860 --> 01:03:42.860]   [SILENCE]
[01:03:42.860 --> 01:03:46.860]   [SILENCE]
[01:03:46.860 --> 01:03:50.860]   [SILENCE]
[01:03:50.860 --> 01:03:54.860]   [SILENCE]
[01:03:54.860 --> 01:03:58.860]   [SILENCE]
[01:03:58.860 --> 01:04:02.860]   [SILENCE]
[01:04:03.860 --> 01:04:06.860]   [SILENCE]
[01:04:06.860 --> 01:04:10.860]   [SILENCE]
[01:04:10.860 --> 01:04:14.860]   [SILENCE]
[01:04:14.860 --> 01:04:18.860]   [SILENCE]
[01:04:18.860 --> 01:04:22.860]   [SILENCE]
[01:04:22.860 --> 01:04:26.860]   [SILENCE]
[01:04:26.860 --> 01:04:30.860]   [SILENCE]
[01:04:31.860 --> 01:04:34.860]   [SILENCE]
[01:04:34.860 --> 01:04:38.860]   [SILENCE]
[01:04:38.860 --> 01:04:42.860]   [SILENCE]
[01:04:42.860 --> 01:04:46.860]   [SILENCE]
[01:04:46.860 --> 01:04:50.860]   [SILENCE]
[01:04:50.860 --> 01:04:54.860]   [SILENCE]
[01:04:54.860 --> 01:04:58.860]   [SILENCE]
[01:04:59.860 --> 01:05:02.860]   [SILENCE]
[01:05:02.860 --> 01:05:06.860]   [SILENCE]
[01:05:06.860 --> 01:05:10.860]   [SILENCE]
[01:05:10.860 --> 01:05:14.860]   [SILENCE]
[01:05:14.860 --> 01:05:18.860]   [SILENCE]
[01:05:18.860 --> 01:05:22.860]   [SILENCE]
[01:05:22.860 --> 01:05:26.860]   [SILENCE]
[01:05:27.860 --> 01:05:30.860]   [SILENCE]
[01:05:30.860 --> 01:05:34.860]   [SILENCE]
[01:05:34.860 --> 01:05:38.860]   [SILENCE]
[01:05:38.860 --> 01:05:42.860]   [SILENCE]
[01:05:42.860 --> 01:05:46.860]   [SILENCE]
[01:05:46.860 --> 01:05:50.860]   [SILENCE]
[01:05:50.860 --> 01:05:54.860]   [SILENCE]
[01:05:55.860 --> 01:05:58.860]   [SILENCE]
[01:05:58.860 --> 01:06:02.860]   [SILENCE]
[01:06:02.860 --> 01:06:06.860]   [SILENCE]
[01:06:06.860 --> 01:06:10.860]   [SILENCE]
[01:06:10.860 --> 01:06:14.860]   [SILENCE]
[01:06:14.860 --> 01:06:18.860]   [SILENCE]
[01:06:18.860 --> 01:06:22.860]   [SILENCE]
[01:06:23.860 --> 01:06:26.860]   [SILENCE]
[01:06:26.860 --> 01:06:30.860]   [SILENCE]
[01:06:30.860 --> 01:06:34.860]   [SILENCE]
[01:06:34.860 --> 01:06:38.860]   [SILENCE]
[01:06:38.860 --> 01:06:42.860]   [SILENCE]
[01:06:42.860 --> 01:06:46.860]   [SILENCE]
[01:06:46.860 --> 01:06:50.860]   [SILENCE]
[01:06:51.860 --> 01:06:54.860]   [SILENCE]
[01:06:54.860 --> 01:06:58.860]   [SILENCE]
[01:06:58.860 --> 01:07:02.860]   [SILENCE]
[01:07:02.860 --> 01:07:06.860]   [SILENCE]
[01:07:06.860 --> 01:07:10.860]   [SILENCE]
[01:07:10.860 --> 01:07:14.860]   [SILENCE]
[01:07:14.860 --> 01:07:18.860]   [SILENCE]
[01:07:19.860 --> 01:07:22.860]   [SILENCE]
[01:07:22.860 --> 01:07:26.860]   [SILENCE]
[01:07:26.860 --> 01:07:30.860]   [SILENCE]
[01:07:30.860 --> 01:07:34.860]   [SILENCE]
[01:07:34.860 --> 01:07:38.860]   [SILENCE]
[01:07:38.860 --> 01:07:42.860]   [SILENCE]
[01:07:42.860 --> 01:07:46.860]   [SILENCE]
[01:07:47.860 --> 01:07:50.860]   [SILENCE]
[01:07:50.860 --> 01:07:54.860]   [SILENCE]
[01:07:54.860 --> 01:07:58.860]   [SILENCE]
[01:07:58.860 --> 01:08:02.860]   [SILENCE]
[01:08:02.860 --> 01:08:06.860]   [SILENCE]
[01:08:06.860 --> 01:08:10.860]   [SILENCE]
[01:08:10.860 --> 01:08:14.860]   [SILENCE]
[01:08:15.860 --> 01:08:18.860]   [SILENCE]
[01:08:18.860 --> 01:08:22.860]   [SILENCE]
[01:08:22.860 --> 01:08:26.860]   [SILENCE]
