
[00:00:00.000 --> 00:00:08.280]   - Good morning, everybody.
[00:20:19.480 --> 00:20:23.540]   There are times when all I'm doing is just watching, even if I'm watching like Christian
[00:20:23.540 --> 00:20:28.380]   videos, I get advertisements where this guy, he's like really, really well put together,
[00:20:28.380 --> 00:20:30.620]   incredibly articulated, and he's telling me what to do.
[00:20:30.620 --> 00:20:31.620]   He's like, "You know what?
[00:20:31.620 --> 00:20:33.900]   In order to be a man, you got to build your own brand."
[00:20:33.900 --> 00:20:34.900]   Right?
[00:20:34.900 --> 00:20:37.900]   "You got to invest in who?
[00:20:37.900 --> 00:20:39.020]   Yourself.
[00:20:39.020 --> 00:20:41.420]   You got to build up your skills and you got to sell your..."
[00:20:41.420 --> 00:20:43.460]   It's like, "What?"
[00:20:43.460 --> 00:20:48.900]   And people pay thousands to learn from this guy as their coach.
[00:20:48.900 --> 00:20:51.180]   That's the truth of our generation.
[00:20:51.180 --> 00:20:54.500]   People love that stuff.
[00:20:54.500 --> 00:20:56.500]   People love that stuff.
[00:20:56.500 --> 00:21:01.900]   And Asaph is looking at this thinking, "What in the world is going on?
[00:21:01.900 --> 00:21:04.340]   How is this fair?
[00:21:04.340 --> 00:21:11.100]   How is God, who I know is good, not allowing us to prosper, but he's giving these wicked
[00:21:11.100 --> 00:21:14.820]   individuals prosperity, ease, and peace?
[00:21:14.820 --> 00:21:18.260]   Everything seems so backwards.
[00:21:18.260 --> 00:21:20.620]   What gives?"
[00:21:20.620 --> 00:21:24.740]   You can tell his heart is leaning towards bitterness because he's starting to judge
[00:21:24.740 --> 00:21:25.740]   now.
[00:21:25.740 --> 00:21:28.740]   He is starting to judge that this isn't right.
[00:21:28.740 --> 00:21:31.620]   He is starting to judge that this isn't good.
[00:21:31.620 --> 00:21:35.100]   Let me ask you, have you ever felt that?
[00:21:35.100 --> 00:21:39.740]   Perhaps you haven't verbalized it with words, articulated it in that way, but you've felt
[00:21:39.740 --> 00:21:44.400]   that frustration where you deem something, "This ain't right.
[00:21:44.400 --> 00:21:46.700]   This is not good."
[00:21:46.700 --> 00:21:50.540]   Or you just use the kind of more, you know, elementary lingo.
[00:21:50.540 --> 00:21:53.140]   "This is not okay."
[00:21:53.140 --> 00:21:56.300]   Maybe you felt like that.
[00:21:56.300 --> 00:22:02.380]   Perhaps in even more intimate settings, husbands and wives, if there's bitterness between a
[00:22:02.380 --> 00:22:07.500]   husband and wife, where a spouse feels like their significant other is getting away with
[00:22:07.500 --> 00:22:12.420]   all kinds of arrogance and selfishness, right?
[00:22:12.420 --> 00:22:17.740]   Do married people ever point the finger like, "Oh my goodness, you are so prideful and you're
[00:22:17.740 --> 00:22:21.020]   so selfish."
[00:22:21.020 --> 00:22:22.020]   Does that ever happen?
[00:22:22.020 --> 00:22:25.340]   It can.
[00:22:25.340 --> 00:22:29.620]   Do those sentiments exist in even intimate, private settings?
[00:22:29.620 --> 00:22:31.100]   Absolutely.
[00:22:31.100 --> 00:22:32.300]   Absolutely.
[00:22:32.300 --> 00:22:33.700]   What do you do?
[00:22:33.700 --> 00:22:38.460]   Well, the temptation and the stumbling is this, okay?
[00:22:38.460 --> 00:22:42.300]   Verse 13 through 16, let's turn our eyes to the passage and read.
[00:22:42.300 --> 00:22:50.580]   Asaph says this, he's so open and vulnerable, and he says, "Surely, surely, in vain I have
[00:22:50.580 --> 00:22:54.700]   kept my heart pure and washed my hands in innocence.
[00:22:54.700 --> 00:22:58.740]   I've been stricken all day long and chastened every morning.
[00:22:58.740 --> 00:23:03.420]   If I said I will speak thus, behold, I would have betrayed the generation of your children.
[00:23:03.420 --> 00:23:06.580]   When I pondered to understand this, it was troublesome in my sight."
[00:23:06.580 --> 00:23:09.420]   Do you see the temptation?
[00:23:09.420 --> 00:23:11.260]   Do you see the stumbling?
[00:23:11.260 --> 00:23:12.860]   Do you see the wrong path?
[00:23:12.860 --> 00:23:16.420]   Asaph sees and almost takes.
[00:23:16.420 --> 00:23:21.900]   I'm going to call this next section, verse 13 through 16, the depressed comparison.
[00:23:21.900 --> 00:23:26.860]   What he says is, "First, when I look at my life compared to their lives, I have done
[00:23:26.860 --> 00:23:31.460]   all kinds of goodness, righteousness, come to church, been a noble person, made sure
[00:23:31.460 --> 00:23:33.340]   I upheld the standards of God.
[00:23:33.340 --> 00:23:34.340]   All of that was rubbish.
[00:23:34.340 --> 00:23:37.860]   It's vain, empty, right?
[00:23:37.860 --> 00:23:39.340]   Useless."
[00:23:39.340 --> 00:23:43.980]   But when you think like that, the temptation is, then forget it.
[00:23:43.980 --> 00:23:44.980]   You're going to get nasty?
[00:23:44.980 --> 00:23:48.020]   You're going to do that to me?
[00:23:48.020 --> 00:23:49.500]   Then fine.
[00:23:49.500 --> 00:23:53.860]   I can outdo you, right?
[00:23:53.860 --> 00:23:54.860]   You're going to be selfish?
[00:23:54.860 --> 00:23:58.380]   Oh, you don't think I can get angry?
[00:23:58.380 --> 00:24:00.180]   Watch me.
[00:24:00.180 --> 00:24:02.180]   That's the temptation.
[00:24:02.180 --> 00:24:04.140]   You join them.
[00:24:04.140 --> 00:24:09.580]   And he says, "If I spoke what was in my mind," oh man, you better plug your children's ears.
[00:24:09.580 --> 00:24:11.140]   Like that's pretty much what he's saying, right?
[00:24:11.140 --> 00:24:15.540]   I would have betrayed the generation of your children means, "If I said what I was actually
[00:24:15.540 --> 00:24:20.180]   thinking," oh man.
[00:24:20.180 --> 00:24:25.180]   You see, Asaph felt stricken, reprimanded.
[00:24:25.180 --> 00:24:26.180]   He felt punished.
[00:24:26.180 --> 00:24:29.580]   He literally says, "I felt like I was being chastened and oppressed."
[00:24:29.580 --> 00:24:34.140]   See, there are people who talk like that sometimes.
[00:24:34.140 --> 00:24:41.100]   When I counsel young individuals who are laboring and striving, and I want to say, yes, I acknowledge
[00:24:41.100 --> 00:24:45.100]   and see that people are working hard and it's hard.
[00:24:45.100 --> 00:24:46.540]   Sometimes life is hard.
[00:24:46.540 --> 00:24:49.100]   And you feel like you're just hitting wall after wall.
[00:24:49.100 --> 00:24:53.620]   You tried walking this way, whether it be investing in certain education, maybe you
[00:24:53.620 --> 00:24:54.620]   try walking this way.
[00:24:54.620 --> 00:24:55.660]   You know, I'm not going to cut corners.
[00:24:55.660 --> 00:24:59.980]   I'm going to make sure I do my work heartily for the Lord.
[00:24:59.980 --> 00:25:03.780]   I'm going to make sure that I be patient in long suffering, and they just keep hitting
[00:25:03.780 --> 00:25:05.980]   wall after wall.
[00:25:05.980 --> 00:25:07.260]   Yes?
[00:25:07.260 --> 00:25:14.220]   And as they do that, they start feeling like, "Is God like, is he out to get me?"
[00:25:14.220 --> 00:25:18.220]   And there are moments when I counsel people, they literally feel punished.
[00:25:18.220 --> 00:25:26.540]   Brothers and sisters, if any of you are there right now, this passage is going to be so
[00:25:26.540 --> 00:25:29.300]   encouraging for you.
[00:25:29.300 --> 00:25:33.320]   The Lord is not out to get people.
[00:25:33.320 --> 00:25:36.000]   The Lord is a loving Father.
[00:25:36.000 --> 00:25:37.860]   Will he guide you?
[00:25:37.860 --> 00:25:39.480]   Will he instruct you?
[00:25:39.480 --> 00:25:41.420]   Will he discipline you?
[00:25:41.420 --> 00:25:42.600]   Yes.
[00:25:42.600 --> 00:25:45.700]   But it's going to be from his loving hand.
[00:25:45.700 --> 00:25:46.700]   Amen?
[00:25:46.700 --> 00:25:51.860]   But at the same time, Asaph says, "But this is how I felt.
[00:25:51.860 --> 00:25:57.780]   When I looked at their lives and I looked at mine, this is how I felt."
[00:25:57.780 --> 00:25:59.280]   Here's the turnaround, verse 17.
[00:25:59.280 --> 00:26:00.280]   This is huge.
[00:26:00.280 --> 00:26:04.820]   If you're underlining your Bibles and stuff, you're going to want to do this one.
[00:26:04.820 --> 00:26:05.820]   Okay?
[00:26:05.820 --> 00:26:11.140]   What Asaph needed was a dose of reality because he was seeing with his eyes.
[00:26:11.140 --> 00:26:12.140]   Clearly he observed.
[00:26:12.140 --> 00:26:16.700]   And he said, "I perceived this thing that's happening in my life."
[00:26:16.700 --> 00:26:25.860]   But then he says this, verse 17, "It was troublesome, it was burdensome, it was heavy until I came
[00:26:25.860 --> 00:26:28.220]   into the sanctuary of God.
[00:26:28.220 --> 00:26:32.020]   Then I perceived their end."
[00:26:32.020 --> 00:26:33.860]   That's an amazing passage right there.
[00:26:33.860 --> 00:26:40.820]   "I came into the presence and sanctuary of the Lord and then I actually genuinely, really
[00:26:40.820 --> 00:26:42.860]   perceived.
[00:26:42.860 --> 00:26:45.180]   I saw truth and reality."
[00:26:45.180 --> 00:26:47.400]   That's what he's saying.
[00:26:47.400 --> 00:26:51.100]   You see, remember I called, I asked you guys to think about this.
[00:26:51.100 --> 00:26:55.980]   Our Christian struggle is not just you fighting vices of the world.
[00:26:55.980 --> 00:27:00.660]   It's not just you trying to make sure you're a good Christian, coming to church, making
[00:27:00.660 --> 00:27:03.060]   sure that you're a noble man.
[00:27:03.060 --> 00:27:07.660]   Your struggle is a struggle of faith and you're going to be regularly challenged with, "Will
[00:27:07.660 --> 00:27:13.100]   you judge the world by what you see or will you judge the world by what you hear from
[00:27:13.100 --> 00:27:16.580]   the Lord, by his presence?"
[00:27:16.580 --> 00:27:20.020]   And that's exactly what Asaph is doing.
[00:27:20.020 --> 00:27:26.540]   What I'm telling you is this, for us, when we come to church, it's not just a means for
[00:27:26.540 --> 00:27:29.540]   you to find little help so that you can get through life.
[00:27:29.540 --> 00:27:36.580]   What you're doing is radically changing how you perceive your entire world.
[00:27:36.580 --> 00:27:43.940]   You're receiving truth from God, expanding your perception, and then accurately and realistically
[00:27:43.940 --> 00:27:48.340]   seeing all that is in the universe.
[00:27:48.340 --> 00:27:50.100]   You're renewing your mind.
[00:27:50.100 --> 00:27:51.780]   That's what's happening.
[00:27:51.780 --> 00:27:56.980]   And so what he says is this, "I came into the sanctuary and I perceived."
[00:27:56.980 --> 00:28:02.460]   What I'm going to do now is show you four things that Asaph saw, four things that Asaph
[00:28:02.460 --> 00:28:07.140]   saw that's going to help us battle all the stuff that we just said.
[00:28:07.140 --> 00:28:12.300]   Battle envy, battle bitterness, battle discontent heart, battle depression.
[00:28:12.300 --> 00:28:16.180]   Asaph saw four pivotal things, and here we go at the first.
[00:28:16.180 --> 00:28:22.180]   Verse 17 through 20, he says this, "I came into the sanctuary of God and I perceived
[00:28:22.180 --> 00:28:24.020]   their end.
[00:28:24.020 --> 00:28:28.140]   Suddenly you set them in a slippery place and you cast them down to destruction.
[00:28:28.140 --> 00:28:31.260]   How they are destroyed in a moment.
[00:28:31.260 --> 00:28:36.860]   They're utterly swept away by sudden terrors like a dream when one awakens, O Lord.
[00:28:36.860 --> 00:28:41.980]   When aroused, you despise their form."
[00:28:41.980 --> 00:28:43.420]   You despise their form.
[00:28:43.420 --> 00:28:44.700]   What is he saying?
[00:28:44.700 --> 00:28:48.860]   He sees the end of this game.
[00:28:48.860 --> 00:28:52.500]   If we were to think of all life as a game, and part of the reason why you think it's
[00:28:52.500 --> 00:28:56.940]   unfair is because you think you're trying to play this game by the rules.
[00:28:56.940 --> 00:28:59.460]   You think you're playing the game the right way, right?
[00:28:59.460 --> 00:29:00.460]   You're taking the high road.
[00:29:00.460 --> 00:29:06.420]   And you see all those guys finding loopholes, cheating, being nasty, poor sportsmanship,
[00:29:06.420 --> 00:29:08.100]   and you're like, "What?
[00:29:08.100 --> 00:29:10.260]   That's not fair."
[00:29:10.260 --> 00:29:12.500]   And then he realizes, "Oh, wait a minute.
[00:29:12.500 --> 00:29:14.420]   I see the end.
[00:29:14.420 --> 00:29:18.980]   When I see God, I see a bigger picture, and in that bigger picture, I see the end that
[00:29:18.980 --> 00:29:24.100]   before them is certain destruction."
[00:29:24.100 --> 00:29:28.360]   Before them is not like, "You know, maybe God as judge is going to deal with the wickedness
[00:29:28.360 --> 00:29:29.360]   of the people."
[00:29:29.360 --> 00:29:38.380]   No, he says, "As certain, as certain as possible, God has set their path."
[00:29:38.380 --> 00:29:41.540]   You see, what I'm talking about is this.
[00:29:41.540 --> 00:29:45.740]   There are so many people who will say this, "The number one problem of the Christian faith
[00:29:45.740 --> 00:29:48.620]   is the problem of evil."
[00:29:48.620 --> 00:29:54.220]   How in the world is God who is supposed to be good and powerful allowing all sorts of
[00:29:54.220 --> 00:29:58.900]   wickedness, these thieves, murderers, all these kind of vicious things to happen in
[00:29:58.900 --> 00:29:59.900]   this world?
[00:29:59.900 --> 00:30:02.980]   He says, "This is a problem."
[00:30:02.980 --> 00:30:07.560]   And I always say, "You know, I'm not going to get all philosophical on you.
[00:30:07.560 --> 00:30:08.560]   Some scholars do.
[00:30:08.560 --> 00:30:12.260]   They're like, 'You know, in all possible universes, this is the best possible…'"
[00:30:12.260 --> 00:30:14.060]   No, I'm not going to talk about that.
[00:30:14.060 --> 00:30:16.900]   You know what I'm going to say to you?
[00:30:16.900 --> 00:30:20.540]   God has an easy, easy answer for you.
[00:30:20.540 --> 00:30:23.260]   Just wait a little bit.
[00:30:23.260 --> 00:30:25.780]   It'll be all good.
[00:30:25.780 --> 00:30:30.020]   Every wicked person who has said one wicked thing is going to be punished.
[00:30:30.020 --> 00:30:33.660]   There is not a wicked thought you're going to get away with.
[00:30:33.660 --> 00:30:40.860]   To a meticulous degree, for every detail of ungodliness in this world, I am going to punish.
[00:30:40.860 --> 00:30:43.820]   Have you ever read the book of Revelation?
[00:30:43.820 --> 00:30:46.740]   It's scary, right?
[00:30:46.740 --> 00:30:48.820]   The problem of evil is not a problem of evil.
[00:30:48.820 --> 00:30:51.820]   It's just a problem of time.
[00:30:51.820 --> 00:30:52.820]   That's it.
[00:30:52.820 --> 00:30:55.380]   You just wait.
[00:30:55.380 --> 00:31:02.980]   Do you understand when the Lord says, "Time is up," all forms of wickedness will be punished.
[00:31:02.980 --> 00:31:06.020]   Turn in your Bibles to 2 Peter chapter 3.
[00:31:06.020 --> 00:31:10.580]   Take a moment, please, to turn in your Bibles to 2 Peter chapter 3.
[00:31:10.580 --> 00:31:19.100]   And Apostle Peter explains to everyone the concept of wickedness, the concept of patience,
[00:31:19.100 --> 00:31:21.980]   and what in the world is God doing with all that.
[00:31:21.980 --> 00:31:23.260]   Okay?
[00:31:23.260 --> 00:31:28.220]   So 2 Peter chapter 3.
[00:31:28.220 --> 00:31:30.580]   He says this, starting from verse 3.
[00:31:30.580 --> 00:31:32.660]   So 2 Peter chapter 3, verse 3.
[00:31:32.660 --> 00:31:37.580]   Knowing this, first of all, that scoffers will come in the last days with scoffing,
[00:31:37.580 --> 00:31:40.580]   following their own sinful desires.
[00:31:40.580 --> 00:31:43.740]   They'll say, "Where is the promise of his coming?
[00:31:43.740 --> 00:31:47.540]   For ever since the fathers fell asleep, all things are continuing as they were from the
[00:31:47.540 --> 00:31:49.360]   beginning of creation.
[00:31:49.360 --> 00:31:54.540]   For they deliberately overlook this fact, that the heavens existed long ago, and the
[00:31:54.540 --> 00:31:58.900]   earth was formed out of water and through water by the word of God, and that by means
[00:31:58.900 --> 00:32:03.780]   of these, the world that then existed was deluged with water and perished."
[00:32:03.780 --> 00:32:04.780]   What is he saying?
[00:32:04.780 --> 00:32:09.020]   Don't you guys forget God is able to judge all wickedness.
[00:32:09.020 --> 00:32:11.380]   He's done it before.
[00:32:11.380 --> 00:32:15.620]   And then he says, verse 7, "But by the same word of the heavens and earth that now exist
[00:32:15.620 --> 00:32:21.780]   are stored up for fire, being kept until the day of judgment and destruction of the ungodly.
[00:32:21.780 --> 00:32:28.460]   But do not overlook this one fact, beloved, that with the Lord one day is a thousand years,
[00:32:28.460 --> 00:32:30.700]   and a thousand years as one day.
[00:32:30.700 --> 00:32:36.020]   The Lord is not slow to fulfill his promise, as some count slowness, but is patient towards
[00:32:36.020 --> 00:32:40.860]   you, not wishing that any should perish, but that all should reach repentance.
[00:32:40.860 --> 00:32:45.340]   But the day of the Lord will come like a thief, and then the heavens will pass away with a
[00:32:45.340 --> 00:32:50.740]   roar, and the heavenly bodies will be burnt up and dissolved, and the earth and the works
[00:32:50.740 --> 00:32:55.180]   that are done on it will be exposed."
[00:32:55.180 --> 00:33:03.660]   See, Asaph's initial complaint is, "God, do you even see this stuff?"
[00:33:03.660 --> 00:33:08.500]   Did you guys notice earlier, it's like, "How will God even know all this stuff is happening?"
[00:33:08.500 --> 00:33:10.260]   No.
[00:33:10.260 --> 00:33:17.260]   The reality is God is going to expose every single evil and sin, and he's gonna judge
[00:33:17.260 --> 00:33:18.340]   it.
[00:33:18.340 --> 00:33:21.740]   He's just giving us time to repent.
[00:33:21.740 --> 00:33:23.260]   That's it.
[00:33:23.260 --> 00:33:27.180]   And the kind of judgment that's going to come is so scary.
[00:33:27.180 --> 00:33:32.020]   People are going to literally run, people are gonna in feebleness try to hide underneath
[00:33:32.020 --> 00:33:37.160]   rocks, and they're going to wish they were crushed to death by the earth before they
[00:33:37.160 --> 00:33:39.540]   face the wrath of God.
[00:33:39.540 --> 00:33:41.820]   That's an incredible thing.
[00:33:41.820 --> 00:33:49.540]   So what happens is when Asaph walks into God's temple, he realizes, "God sees everything.
[00:33:49.540 --> 00:33:51.160]   God is going to judge."
[00:33:51.160 --> 00:33:56.920]   And as soon as he does that, he opens his eyes, and just like before, he looked out,
[00:33:56.920 --> 00:33:58.340]   and then he looked in.
[00:33:58.340 --> 00:34:00.420]   Initially he looked out, and he said, "What?
[00:34:00.420 --> 00:34:01.420]   They have it so good."
[00:34:01.420 --> 00:34:03.660]   And then he looked in, he's like, "Oh, look at me.
[00:34:03.660 --> 00:34:05.140]   My life sucks."
[00:34:05.140 --> 00:34:07.780]   But now that his eyes are open, he looked, and he's like, "Oh my gosh, they're gonna
[00:34:07.780 --> 00:34:08.860]   die."
[00:34:08.860 --> 00:34:15.780]   And then he looked at himself, and he realized, "I'm actually not so much different."
[00:34:15.780 --> 00:34:19.100]   The next thing he sees is he sees his own heart.
[00:34:19.100 --> 00:34:22.500]   Take a look at verse 21 through 24.
[00:34:22.500 --> 00:34:28.480]   So go back in your Bibles to Psalm 73, and take a look at verse 21 through 24.
[00:34:28.480 --> 00:34:35.460]   This is what he says, "When my heart was embittered, I was pierced within.
[00:34:35.460 --> 00:34:39.980]   Then I was senseless, and I was ignorant, and I was like a beast before you.
[00:34:39.980 --> 00:34:44.740]   Nevertheless, I'm continually with you, and you have taken hold of my right hand."
[00:34:44.740 --> 00:34:47.460]   Do you see what he's saying?
[00:34:47.460 --> 00:34:52.780]   This he realizes, like, "Dude, God is in control, and the extent of his control is
[00:34:52.780 --> 00:34:56.580]   massive, and he's gonna judge every single wickedness that's on this earth."
[00:34:56.580 --> 00:34:58.580]   He quickly looks at himself, he's like, "Oh my goodness.
[00:34:58.580 --> 00:35:01.740]   What in the world was I saying?
[00:35:01.740 --> 00:35:03.340]   I was like a bumbling fool."
[00:35:03.340 --> 00:35:06.380]   Can I take my words back?
[00:35:06.380 --> 00:35:09.860]   There's just a moment of just regret, like, "Oh my goodness, I can't believe I even said
[00:35:09.860 --> 00:35:11.460]   that stuff.
[00:35:11.460 --> 00:35:13.700]   I was like a beast."
[00:35:13.700 --> 00:35:19.420]   He describes himself as having a bitter heart, and you guys have all probably experienced
[00:35:19.420 --> 00:35:25.980]   at one point or another, when you are bitter, you are not arguing reasonably.
[00:35:25.980 --> 00:35:26.980]   You're just sour.
[00:35:26.980 --> 00:35:32.100]   You're not arguing based on truth.
[00:35:32.100 --> 00:35:34.900]   When you're bitter, all you see is red.
[00:35:34.900 --> 00:35:38.500]   When you're bitter, you've already gone far past trying to evaluate.
[00:35:38.500 --> 00:35:40.660]   You've gone far past just simply judging.
[00:35:40.660 --> 00:35:47.220]   You're a bitter individual who will not be appeased until you have justice.
[00:35:47.220 --> 00:35:52.860]   See, at that moment, if you're bitter, you're already way too far.
[00:35:52.860 --> 00:35:58.220]   And so Asaph says, "Oh, once I look at my heart, I'm pierced.
[00:35:58.220 --> 00:35:59.540]   I was senseless.
[00:35:59.540 --> 00:36:01.420]   I was ignorant."
[00:36:01.420 --> 00:36:04.140]   He has the humility.
[00:36:04.140 --> 00:36:13.580]   He has the humility to say that, yes, although in his human eyes, it doesn't seem fair.
[00:36:13.580 --> 00:36:18.420]   Why is it that they're so selfish, and yet you keep calling me to be selfless?
[00:36:18.420 --> 00:36:21.020]   It doesn't seem fair at all.
[00:36:21.020 --> 00:36:22.720]   And maybe he feels hurt by that.
[00:36:22.720 --> 00:36:24.580]   Maybe he feels disgruntled by that.
[00:36:24.580 --> 00:36:29.140]   And yet he has the humility to say, "I was wrong.
[00:36:29.140 --> 00:36:30.540]   Absolutely wrong."
[00:36:30.540 --> 00:36:35.260]   And remember, remember that in verse one, he says, "God is supposed to be good to the
[00:36:35.260 --> 00:36:38.620]   pure in heart, and that now is being examined."
[00:36:38.620 --> 00:36:47.700]   God, I'm going to have the humility for your presence to examine even that statement.
[00:36:47.700 --> 00:36:50.540]   I falsely assumed I was pure in heart.
[00:36:50.540 --> 00:36:52.420]   You guys get that?
[00:36:52.420 --> 00:36:54.100]   "God, that's not fair.
[00:36:54.100 --> 00:36:57.140]   You're supposed to be good to Israel because Israel is your people, and you're supposed
[00:36:57.140 --> 00:36:59.820]   to be good to people who are good.
[00:36:59.820 --> 00:37:03.460]   Why do good people suffer?"
[00:37:03.460 --> 00:37:09.140]   And then he stops and thinks, "I made a massive presumption, Lord.
[00:37:09.140 --> 00:37:13.020]   I presume my heart was already pure before you.
[00:37:13.020 --> 00:37:15.580]   But as I look inside, I have envy.
[00:37:15.580 --> 00:37:18.580]   As I look inside, I have greed.
[00:37:18.580 --> 00:37:25.100]   Truthfully speaking, I was jealous, and truthfully speaking, I was judgmental."
[00:37:25.100 --> 00:37:31.340]   He is open to the scrutiny of God, and then he confesses, "I was like an animal.
[00:37:31.340 --> 00:37:33.140]   I'm like a beast."
[00:37:33.140 --> 00:37:35.740]   Had this knee-jerk reaction, right?
[00:37:35.740 --> 00:37:38.580]   I saw something and I spoke.
[00:37:38.580 --> 00:37:39.900]   Why does he call himself a beast?
[00:37:39.900 --> 00:37:46.380]   It's because instinctually, animals work on impulse.
[00:37:46.380 --> 00:37:48.180]   They're hungry, blah, right?
[00:37:48.180 --> 00:37:49.180]   They feel cornered.
[00:37:49.180 --> 00:37:50.660]   They lash out.
[00:37:50.660 --> 00:37:53.660]   And so he says, "I was like a beast."
[00:37:53.660 --> 00:38:02.140]   Brothers and sisters, can we model ourselves after this kind of humility Asaph is showing
[00:38:02.140 --> 00:38:04.060]   us?
[00:38:04.060 --> 00:38:09.660]   He recognizes that he was judging things based on his sight, and now he has the humility
[00:38:09.660 --> 00:38:13.540]   to confess, "That's what I did."
[00:38:13.540 --> 00:38:18.340]   If you sit and you start defending yourself, "No, God, I have every right to be pissed."
[00:38:18.340 --> 00:38:19.340]   Why?
[00:38:19.340 --> 00:38:23.180]   Because look, that's not right.
[00:38:23.180 --> 00:38:25.900]   What you're going to be guilty of, you're going to be guilty of pointing your finger
[00:38:25.900 --> 00:38:32.380]   up at God and saying, "God, you're either incapable or you don't care for justice."
[00:38:32.380 --> 00:38:35.420]   Or you're going to point the finger at God and you're going to say, "God, maybe you are
[00:38:35.420 --> 00:38:36.420]   just.
[00:38:36.420 --> 00:38:37.420]   God, maybe...
[00:38:37.420 --> 00:38:38.420]   Sorry.
[00:38:38.420 --> 00:38:45.180]   Maybe you see that my only conclusion is you don't love me."
[00:38:45.180 --> 00:38:48.340]   Have you or anybody you've known gone there?
[00:38:48.340 --> 00:38:51.180]   I'm pretty sure, right?
[00:38:51.180 --> 00:38:54.460]   I can't sit here and attack you and say, "God, you're not just."
[00:38:54.460 --> 00:38:56.580]   You can't do that because the Bible is chock full of that.
[00:38:56.580 --> 00:39:00.740]   If you said that, people are like, "Oh."
[00:39:00.740 --> 00:39:01.740]   Right?
[00:39:01.740 --> 00:39:02.740]   "God, you don't see.
[00:39:02.740 --> 00:39:04.340]   Maybe you don't have eyes to see this stuff."
[00:39:04.340 --> 00:39:06.500]   You can't say that.
[00:39:06.500 --> 00:39:08.940]   But then maybe you start doubting.
[00:39:08.940 --> 00:39:13.620]   Well, then maybe you don't care.
[00:39:13.620 --> 00:39:16.380]   Maybe you don't love me.
[00:39:16.380 --> 00:39:23.780]   If you're there, man, there is no kind of depression like believing that the God of
[00:39:23.780 --> 00:39:29.620]   the universe, who is the definition of love, does not love you.
[00:39:29.620 --> 00:39:31.100]   Right?
[00:39:31.100 --> 00:39:37.340]   Like, I feel for you because that's an incredible kind of pain that no human is going to come
[00:39:37.340 --> 00:39:40.860]   next to you and be like, "It's all right, man."
[00:39:40.860 --> 00:39:43.860]   If you believe the lie, "God doesn't love me.
[00:39:43.860 --> 00:39:48.460]   He sees my pain and yet he doesn't care," that's the kind of depression no human is
[00:39:48.460 --> 00:39:51.500]   able to pull you out of.
[00:39:51.500 --> 00:39:56.580]   So I want to share with you today that God does love you.
[00:39:56.580 --> 00:39:58.460]   And what Asaph says is incredible.
[00:39:58.460 --> 00:40:03.140]   Take a look at verse 23 to 26.
[00:40:03.140 --> 00:40:06.140]   He says, "I was like a beast before you."
[00:40:06.140 --> 00:40:07.140]   Right?
[00:40:07.140 --> 00:40:08.140]   That was the end of verse 22.
[00:40:08.140 --> 00:40:10.140]   However, verse 23.
[00:40:10.140 --> 00:40:15.340]   "Nevertheless, I am continually with you.
[00:40:15.340 --> 00:40:17.980]   You have taken hold of my right hand.
[00:40:17.980 --> 00:40:20.220]   With your counsel, you guide me.
[00:40:20.220 --> 00:40:22.860]   Afterward, receive me to glory.
[00:40:22.860 --> 00:40:27.280]   Whom have I in heaven but you and beside you, I desire nothing on earth.
[00:40:27.280 --> 00:40:35.860]   My flesh and my heart may fail, but God is the strength of my heart and my portion forever."
[00:40:35.860 --> 00:40:39.980]   Those are some of the most beautiful passages in Scripture.
[00:40:39.980 --> 00:40:42.020]   Do you see the picture?
[00:40:42.020 --> 00:40:44.380]   You've got this beast like, right?
[00:40:44.380 --> 00:40:48.380]   I see there's all this wickedness in the world and this beast is sitting there before God
[00:40:48.380 --> 00:40:49.380]   like, "How dare you, Lord?"
[00:40:49.380 --> 00:40:51.420]   And he's got this finger pointing.
[00:40:51.420 --> 00:40:53.940]   What are you doing about this?
[00:40:53.940 --> 00:40:58.420]   And God comes over and he takes the hand and he guides him.
[00:40:58.420 --> 00:41:00.980]   Do you see the picture?
[00:41:00.980 --> 00:41:04.740]   When you try to picture the Scriptures, it's amazing.
[00:41:04.740 --> 00:41:06.620]   Would you do that?
[00:41:06.620 --> 00:41:10.260]   Some little flea looking at you like, "Look at you, God, what are you doing?"
[00:41:10.260 --> 00:41:12.660]   You would just be like...
[00:41:12.660 --> 00:41:15.060]   Immediately backhand.
[00:41:15.060 --> 00:41:24.460]   But God takes that accusatory finger, holds the hand, and guides him, loves him, and says,
[00:41:24.460 --> 00:41:26.100]   "You have me."
[00:41:26.100 --> 00:41:29.380]   That's the love of God.
[00:41:29.380 --> 00:41:32.100]   It's astounding.
[00:41:32.100 --> 00:41:34.220]   He says, "God, you're with me.
[00:41:34.220 --> 00:41:35.940]   Your counsel's with me."
[00:41:35.940 --> 00:41:39.900]   And then he says this beautiful thing, "You receive me to your glory."
[00:41:39.900 --> 00:41:42.260]   Did you catch that in verse 24?
[00:41:42.260 --> 00:41:45.700]   It's like he takes it here, he takes it there, and he takes it to the top.
[00:41:45.700 --> 00:41:47.660]   "You receive me to your glory."
[00:41:47.660 --> 00:41:52.660]   That's so crazy.
[00:41:52.660 --> 00:41:55.820]   I want to challenge you right now.
[00:41:55.820 --> 00:42:00.140]   Have you experienced that kind of love in your life?
[00:42:00.140 --> 00:42:03.180]   Because that's the Christian faith, isn't it?
[00:42:03.180 --> 00:42:06.260]   Christian faith is not a doctrinal system.
