
[00:00:00.000 --> 00:00:07.000]   Chapter 46 and 47
[00:26:00.000 --> 00:26:01.000]   They got very comfortable.
[00:26:01.000 --> 00:26:05.000]   In fact, going back to Jerusalem would have been risking their life.
[00:26:05.000 --> 00:26:08.000]   They would have been—a lot of them got pretty comfortable there.
[00:26:08.000 --> 00:26:12.000]   And there's a reason why the Bible describes the world as Babylon.
[00:26:12.000 --> 00:26:15.000]   Because of the lure, the temptation.
[00:26:15.000 --> 00:26:23.000]   So again, again, you notice the subtle difference between how Assyria is described and Babylon is described.
[00:26:23.000 --> 00:26:27.000]   And out of the two, which had a greater impact on Israel?
[00:26:27.000 --> 00:26:31.000]   Which had a greater corrupting influence on Israel?
[00:26:31.000 --> 00:26:33.000]   It was Babylon.
[00:26:33.000 --> 00:26:34.000]   Right?
[00:26:34.000 --> 00:26:39.000]   The Babylonians, their culture and their temptation had a much greater impact.
[00:26:39.000 --> 00:26:40.000]   Right?
[00:26:40.000 --> 00:26:48.000]   So if you look at Satan's work, is persecution what kills the Church?
[00:26:48.000 --> 00:26:49.000]   No.
[00:26:49.000 --> 00:26:54.000]   If you go to anywhere where you hear persecution, you almost always—they tell you it purifies the Church.
[00:26:54.000 --> 00:26:58.000]   The Church actually becomes stronger as a result of persecution.
[00:26:58.000 --> 00:27:00.000]   What kills the Church is wealth.
[00:27:00.000 --> 00:27:01.000]   Right?
[00:27:01.000 --> 00:27:03.000]   And comfort and ease.
[00:27:03.000 --> 00:27:04.000]   Temptation.
[00:27:04.000 --> 00:27:06.000]   That's what kills the Church.
[00:27:06.000 --> 00:27:07.000]   Right?
[00:27:07.000 --> 00:27:15.000]   So the lure of the Babylonians, the temptation of what the Babylonians were offering, was much more devastating to Israel than the Assyrians.
[00:27:15.000 --> 00:27:21.000]   Right?
[00:27:21.000 --> 00:27:29.000]   He says, "He will take vengeance on them because of their pride, thinking that somehow by their own effort, it's like, 'You were only strong because I allowed you to be.'"
[00:27:29.000 --> 00:27:39.000]   Like it says in Romans 13.1.
[00:27:39.000 --> 00:27:45.000]   Again, Babylon is described as a woman who falls from a lofty position and will no longer be considered tender and delicate.
[00:27:45.000 --> 00:27:48.000]   And she is called a mistress.
[00:27:48.000 --> 00:28:05.000]   Why do you think Babylon is described as a mistress?
[00:28:05.000 --> 00:28:09.000]   Right, you have a relationship, but it's not legal.
[00:28:09.000 --> 00:28:10.000]   Right?
[00:28:10.000 --> 00:28:12.000]   It's not sanctioned by God.
[00:28:12.000 --> 00:28:17.000]   She's acting like your wife, but she's not.
[00:28:17.000 --> 00:28:19.000]   Right?
[00:28:19.000 --> 00:28:23.000]   So Israel is tied to her.
[00:28:23.000 --> 00:28:27.000]   You know, it's almost like acting like they're married, and she's a mistress.
[00:28:27.000 --> 00:28:28.000]   Right?
[00:28:28.000 --> 00:28:43.000]   So it's a mistress, not with God, but it's a mistress with Israel.
[00:28:43.000 --> 00:28:47.000]   Why did God allow Babylon to become mighty and oppress Israel?
[00:28:47.000 --> 00:28:50.000]   According to verse 6.
[00:28:50.000 --> 00:28:54.000]   God gave his people over to Babylonians because of the sins of Israel.
[00:28:54.000 --> 00:29:00.000]   Not because Babylon was great, but because the sin of Israel was great.
[00:29:00.000 --> 00:29:05.000]   He was trying to discipline them.
[00:29:05.000 --> 00:29:15.000]   So even though God handed them over, but because they treated the Israelites mercilessly, meaning they took them into captivity, right?
[00:29:15.000 --> 00:29:18.000]   God will treat them mercilessly.
[00:29:18.000 --> 00:29:27.000]   Again, the only reason why God's people are conquered is because God allows it.
[00:29:27.000 --> 00:29:30.000]   Again, in James 4, 7, remember this passage.
[00:29:30.000 --> 00:29:34.000]   "Submit yourself therefore to God, resist the devil, and he will flee from you."
[00:29:34.000 --> 00:29:36.000]   And it's always in that order.
[00:29:36.000 --> 00:29:43.000]   The only reason why the world has any foothold is because we allow it because of sin.
[00:29:43.000 --> 00:29:44.000]   Right?
[00:29:44.000 --> 00:29:50.000]   It's because anytime Israel strayed from God, they became weak.
[00:29:50.000 --> 00:29:53.000]   It wasn't because of the great power of the Babylonians.
[00:29:53.000 --> 00:29:55.000]   It was because God withdrew.
[00:29:55.000 --> 00:29:56.000]   Right?
[00:29:56.000 --> 00:30:00.000]   God withdrew from the nation, or Israel withdrew from God.
[00:30:00.000 --> 00:30:03.000]   And that's exactly what it says in Revelations, right?
[00:30:03.000 --> 00:30:05.000]   Revelation chapter 2.
[00:30:05.000 --> 00:30:09.000]   "If you do not restore your first love, I will take away my lampstand."
[00:30:09.000 --> 00:30:12.000]   And lampstand is his church and his presence.
[00:30:12.000 --> 00:30:16.000]   In other words, he's saying that if you remain lukewarm, right?
[00:30:16.000 --> 00:30:21.000]   And your worship is all it is, is physical activity, and you're doing the right things,
[00:30:21.000 --> 00:30:25.000]   and you have forsaken your first love, he said, "I will take away your lampstand."
[00:30:25.000 --> 00:30:27.000]   In other words, the presence of God is withdrawn.
[00:30:27.000 --> 00:30:28.000]   Right?
[00:30:28.000 --> 00:30:32.000]   And then the church becomes worthless, like salt without flavor.
[00:30:32.000 --> 00:30:33.000]   Right?
[00:30:33.000 --> 00:30:36.000]   A lot of man's work, but no fruit.
[00:30:36.000 --> 00:30:42.000]   [Pause]
[00:30:42.000 --> 00:30:47.000]   How is Babylon's sins, like how is it described?
[00:30:47.000 --> 00:30:50.000]   Again, they're described as mistress.
[00:30:50.000 --> 00:30:55.000]   [Pause]
[00:30:55.000 --> 00:30:56.000]   And then their pride.
[00:30:56.000 --> 00:31:01.000]   And so, there are about five or six things that are described,
[00:31:01.000 --> 00:31:06.000]   like how pride was manifested in Babylon.
[00:31:06.000 --> 00:31:09.000]   Okay, so I'm going to put it up here.
[00:31:09.000 --> 00:31:13.000]   And I want you to think for a minute, in what way does pride manifest itself
[00:31:13.000 --> 00:31:19.000]   in loving pleasure, and feeling secure, and control of destiny, right?
[00:31:19.000 --> 00:31:25.000]   Feeling secure in wickedness, and relying on their wisdom and knowledge.
[00:31:25.000 --> 00:31:26.000]   Right?
[00:31:26.000 --> 00:31:31.000]   These are all fruits that God describes of pride.
[00:31:31.000 --> 00:31:34.000]   Right?
[00:31:34.000 --> 00:31:40.000]   What does pride and loving pleasure have to do with it?
[00:31:40.000 --> 00:31:43.000]   How are these connected?
[00:31:43.000 --> 00:31:50.000]   [Pause]
[00:31:50.000 --> 00:31:52.000]   How does loving pleasure…
[00:31:52.000 --> 00:31:56.000]   Why is that a manifestation of pride of Babylon?
[00:31:56.000 --> 00:31:59.000]   [Pause]
[00:31:59.000 --> 00:32:00.000]   Self-seeking?
[00:32:00.000 --> 00:32:02.000]   Mm-hmm.
[00:32:02.000 --> 00:32:06.000]   Okay, self-seeking.
[00:32:06.000 --> 00:32:10.000]   I mean, self-seeking, self-worship, self-centered, maybe?
[00:32:10.000 --> 00:32:12.000]   Right?
[00:32:12.000 --> 00:32:16.000]   Instead of serving God, you serve yourself.
[00:32:16.000 --> 00:32:18.000]   Mm-hmm.
[00:32:18.000 --> 00:32:20.000]   Sitting securely.
[00:32:20.000 --> 00:32:23.000]   You know, they have all that power, they've conquered everybody,
[00:32:23.000 --> 00:32:25.000]   so they feel secure, right?
[00:32:25.000 --> 00:32:27.000]   I can do it.
[00:32:27.000 --> 00:32:29.000]   Right?
[00:32:29.000 --> 00:32:34.000]   [Pause]
[00:32:34.000 --> 00:32:35.000]   Like you just…
[00:32:35.000 --> 00:32:38.000]   You know, that pride manifests when you think, like,
[00:32:38.000 --> 00:32:40.000]   "Oh, whatever problems, I can handle it."
[00:32:40.000 --> 00:32:42.000]   You know what I mean?
[00:32:42.000 --> 00:32:45.000]   Sometimes God will allow you to experience things
[00:32:45.000 --> 00:32:48.000]   where you become so desperate, you feel lost,
[00:32:48.000 --> 00:32:53.000]   and maybe even shaken in your faith, right?
[00:32:53.000 --> 00:32:55.000]   So that you would recognize…
[00:32:55.000 --> 00:33:00.000]   So you and I would recognize how helpless we are without His grace, right?
[00:33:00.000 --> 00:33:04.000]   Because I think the most dangerous place for any Christian to be
[00:33:04.000 --> 00:33:12.000]   is self-confidence and self-reliance, right?
[00:33:12.000 --> 00:33:16.000]   Because of our experience, maybe because of the past fruit,
[00:33:16.000 --> 00:33:19.000]   maybe because we're so smart.
[00:33:19.000 --> 00:33:23.000]   You know, I remember doing quiet time years ago,
[00:33:23.000 --> 00:33:27.000]   when after the resurrection, Jesus meets the disciples,
[00:33:27.000 --> 00:33:30.000]   and He tells the disciples to put the net into the water.
[00:33:30.000 --> 00:33:32.000]   And remember what they say?
[00:33:32.000 --> 00:33:35.000]   And they say, "We've been fishing all night, we didn't catch anything."
[00:33:35.000 --> 00:33:38.000]   In other words, we're professional fishermen,
[00:33:38.000 --> 00:33:42.000]   and we've been fishing all night when you're supposed to fish, right?
[00:33:42.000 --> 00:33:44.000]   Where the water is cool and there's fish come up.
[00:33:44.000 --> 00:33:48.000]   You're telling us to put a net in, you a carpenter, right?
[00:33:48.000 --> 00:33:51.000]   Telling us professional fishermen who couldn't catch anything all night,
[00:33:51.000 --> 00:33:54.000]   and you just want us to throw a net out there, and then all of a sudden…
[00:33:54.000 --> 00:33:57.000]   But He said, "Because you said it, I'll do it."
[00:33:57.000 --> 00:34:01.000]   And they put a net in, and then obviously they catch so much fish,
[00:34:01.000 --> 00:34:03.000]   they actually counted, right?
[00:34:03.000 --> 00:34:09.000]   Probably Matthew, the tax collector, probably sat there and counted all this fish, right?
[00:34:09.000 --> 00:34:12.000]   And then, they say, "Wow!" and they overflow, and they recognize,
[00:34:12.000 --> 00:34:15.000]   "Wow, Jesus, they come and they have breakfast with Him."
[00:34:15.000 --> 00:34:18.000]   And I remember thinking that when I was doing quiet time through that,
[00:34:18.000 --> 00:34:22.000]   thinking, "It's usually the areas that we're successful in,
[00:34:22.000 --> 00:34:27.000]   where we are the weakest in, because we're good at it."
[00:34:27.000 --> 00:34:29.000]   Right? We're good at it.
[00:34:29.000 --> 00:34:34.000]   So if you're an accountant, you tend to be less reliant upon God with money,
[00:34:34.000 --> 00:34:36.000]   because you're good with money.
[00:34:36.000 --> 00:34:38.000]   If you're good with people,
[00:34:38.000 --> 00:34:42.000]   you tend to be more self-reliant when it comes to people,
[00:34:42.000 --> 00:34:44.000]   because you're good with people.
[00:34:44.000 --> 00:34:45.000]   Right?
[00:34:45.000 --> 00:34:47.000]   So it's in the areas that you may be gifted in,
[00:34:47.000 --> 00:34:49.000]   where you probably are the weakest, and you don't know it.
[00:34:49.000 --> 00:34:51.000]   That's our greatest blind spot.
[00:34:51.000 --> 00:34:56.000]   Our greatest blind spot in our faith is the areas where you may be…
[00:34:56.000 --> 00:34:59.000]   you may be the best at doing, humanly speaking.
[00:34:59.000 --> 00:35:03.000]   But in reality, spiritually, that's where you're the weakest.
[00:35:03.000 --> 00:35:05.000]   Right?
[00:35:05.000 --> 00:35:07.000]   That's how pride manifests.
[00:35:07.000 --> 00:35:11.000]   Whatever we think we're good at is usually probably where you're the weakest.
[00:35:11.000 --> 00:35:12.000]   Right?
[00:35:12.000 --> 00:35:14.000]   I think about Apostle Paul.
[00:35:14.000 --> 00:35:17.000]   He probably lived all his life, never made a single tent in his life,
[00:35:17.000 --> 00:35:19.000]   until he became a Christian.
[00:35:19.000 --> 00:35:22.000]   His dad was a Roman citizen.
[00:35:22.000 --> 00:35:24.000]   I mean, this guy was wealthy.
[00:35:24.000 --> 00:35:30.000]   Imagine how much money he needed to have to be able to hire Gamaliel as your teacher.
[00:35:30.000 --> 00:35:31.000]   Greatest scholar.
[00:35:31.000 --> 00:35:34.000]   That's just like saying, "Oh, I need to be tutored."
[00:35:34.000 --> 00:35:39.000]   And you find the chancellor for Harvard to come to your house and tutor you.
[00:35:39.000 --> 00:35:41.000]   That was Paul.
[00:35:41.000 --> 00:35:45.000]   Paul had Gamaliel as his discipler.
[00:35:45.000 --> 00:35:48.000]   But you had to be filthy, wealthy.
[00:35:48.000 --> 00:35:49.000]   Right?
[00:35:49.000 --> 00:35:50.000]   Filthy wealthy.
[00:35:50.000 --> 00:35:51.000]   Wealthy 50.
[00:35:51.000 --> 00:35:53.000]   Right?
[00:35:53.000 --> 00:36:00.000]   I'll bet you he had one of those soft, lotioned hands all his life,
[00:36:00.000 --> 00:36:03.000]   until he became a Christian, and then he started making tents.
[00:36:03.000 --> 00:36:05.000]   That's my guess.
[00:36:05.000 --> 00:36:06.000]   Right?
[00:36:06.000 --> 00:36:09.000]   He didn't really experience hardship until he met Christ.
[00:36:09.000 --> 00:36:11.000]   And why did he do that?
[00:36:11.000 --> 00:36:15.000]   Jesus could get gold coins out of fish's mouths.
[00:36:15.000 --> 00:36:20.000]   Why does he make his personally picked apostle make tents for a living?
[00:36:20.000 --> 00:36:21.000]   Right?
[00:36:21.000 --> 00:36:24.000]   Probably to humble him.
[00:36:24.000 --> 00:36:25.000]   Right?
[00:36:25.000 --> 00:36:29.000]   Because once pride gets in, you're ruined.
[00:36:29.000 --> 00:36:31.000]   You're ruined.
[00:36:31.000 --> 00:36:35.000]   So you look at all these descriptions, like, "These are all manifestations."
[00:36:35.000 --> 00:36:36.000]   Right?
[00:36:36.000 --> 00:36:38.000]   "You feel powerful. You have control over your destiny."
[00:36:38.000 --> 00:36:41.000]   Like, "If I apply myself, I've been successful here."
[00:36:41.000 --> 00:36:42.000]   You know?
[00:36:42.000 --> 00:36:45.000]   And so God will humble you.
[00:36:45.000 --> 00:36:47.000]   "You're feeling secure in your wickedness."
[00:36:47.000 --> 00:36:48.000]   Why not?
[00:36:48.000 --> 00:36:52.000]   Because you've sinned and you've been successful.
[00:36:52.000 --> 00:36:53.000]   Right?
[00:36:53.000 --> 00:36:57.000]   You haven't been praying, but everything in your life is going okay.
[00:36:57.000 --> 00:36:58.000]   Right?
[00:36:58.000 --> 00:37:01.000]   And that's when danger comes.
[00:37:01.000 --> 00:37:02.000]   Right?
[00:37:02.000 --> 00:37:04.000]   Because that's what happened in Babylon.
[00:37:04.000 --> 00:37:05.000]   I mean, they weren't worshiping God.
[00:37:05.000 --> 00:37:07.000]   They were arrogant.
[00:37:07.000 --> 00:37:11.000]   And these people that supposedly worshiped the right God, and we conquered them.
[00:37:11.000 --> 00:37:12.000]   Right?
[00:37:12.000 --> 00:37:14.000]   So they think they can get away with it.
[00:37:14.000 --> 00:37:16.000]   And God said, "God's going to humble all of them."
[00:37:16.000 --> 00:37:18.000]   They're relying on their wisdom, their knowledge.
[00:37:18.000 --> 00:37:19.000]   Right?
[00:37:19.000 --> 00:37:25.000]   Because it was because of their wisdom and their knowledge why the Babylonians became what they were.
[00:37:25.000 --> 00:37:28.000]   So that's what they were relying on until God humbles them.
[00:37:28.000 --> 00:37:33.000]   And then they're going to come back and re-question, "Maybe it wasn't our knowledge.
[00:37:33.000 --> 00:37:35.000]   Maybe it wasn't our wisdom."
[00:37:35.000 --> 00:37:37.000]   Right?
[00:37:37.000 --> 00:37:44.000]   So again, if God is concerned about us and he counts every hair on our head,
[00:37:44.000 --> 00:37:48.000]   what is it that he is the most concerned about in our life?
[00:37:48.000 --> 00:37:51.000]   Not your hair.
[00:37:51.000 --> 00:37:55.000]   He's expressing that he cares to that extent.
[00:37:55.000 --> 00:37:58.000]   But what is it that he cares the most?
[00:37:58.000 --> 00:38:02.000]   Right?
[00:38:02.000 --> 00:38:04.000]   It's you.
[00:38:04.000 --> 00:38:10.000]   Because the moment you are filled with pride, you are the furthest from him.
[00:38:10.000 --> 00:38:11.000]   Right?
[00:38:11.000 --> 00:38:18.000]   So anything that causes you to think that you can do it, that's probably what he's the most concerned about.
[00:38:18.000 --> 00:38:22.000]   Because that's what's going to keep you away from God.
[00:38:22.000 --> 00:38:26.000]   So don't you think when the Bible says that God opposes the proud and gives grace to the humble,
[00:38:26.000 --> 00:38:31.000]   that God is actively pursuing to humble you and humble me?
[00:38:31.000 --> 00:38:33.000]   Because that's the thing that he's most concerned about.
[00:38:33.000 --> 00:38:36.000]   That you strain away thinking that you're not going to need him.
[00:38:36.000 --> 00:38:38.000]   Right?
[00:38:38.000 --> 00:38:41.000]   That's why if we don't buffet our bodies and make it our slave to humble,
[00:38:41.000 --> 00:38:46.000]   like deliberately, actively, proactively humble ourselves,
[00:38:46.000 --> 00:38:49.000]   we're almost asking for it.
[00:38:49.000 --> 00:38:50.000]   Right?
[00:38:50.000 --> 00:38:54.000]   Because that's what God cares about us so much, he's not going to let us stray.
[00:38:54.000 --> 00:38:57.000]   If we're his children, he's going to discipline us to humble us.
[00:38:57.000 --> 00:39:03.000]   Right?
[00:39:03.000 --> 00:39:08.000]   What judgment is going to come upon them?
[00:39:08.000 --> 00:39:12.000]   Now why does he say they're going to experience losing a child and becoming a widower?
[00:39:12.000 --> 00:39:17.000]   Why does he say that? It's so specific.
[00:39:17.000 --> 00:39:22.000]   What do you think this is in relation to?
[00:39:22.000 --> 00:39:25.000]   They did this to Israel. Remember?
[00:39:25.000 --> 00:39:29.000]   When they took them into captivity, they took their children, they took their husbands,
[00:39:29.000 --> 00:39:33.000]   whatever was the choices of the land, they took them into Babylon.
[00:39:33.000 --> 00:39:34.000]   Right?
[00:39:34.000 --> 00:39:38.000]   So again, the judgment against them is you did this to my people and this is going to happen to you.
[00:39:38.000 --> 00:39:42.000]   Right? You think that you are safe when you did this to my people?
[00:39:42.000 --> 00:39:43.000]   Right? This is what's going to happen to you.
[00:39:43.000 --> 00:39:46.000]   You're going to experience the pain that you've inflicted on my people.
[00:39:46.000 --> 00:39:58.000]   Right?
[00:39:58.000 --> 00:40:01.000]   Again, I forgot to blot this out.
[00:40:01.000 --> 00:40:04.000]   Did I blot it out in your... I didn't, right?
[00:40:04.000 --> 00:40:06.000]   I forgot to erase it.
[00:40:06.000 --> 00:40:11.000]   So again, the principle over and over again, God opposes the proud but gives grace to the humble.
[00:40:11.000 --> 00:40:18.000]   That's the whole theme, right, of his judgment.
[00:40:18.000 --> 00:40:22.000]   What is God mocking in 12 and 13?
[00:40:22.000 --> 00:40:26.000]   Again, the mocking of false idols that people relied on.
[00:40:26.000 --> 00:40:31.000]   And that this was so... when it says that these are the idols that you relied upon your youth,
[00:40:31.000 --> 00:40:34.000]   meaning it was deeply embedded in Israel.
[00:40:34.000 --> 00:40:35.000]   Right?
[00:40:35.000 --> 00:40:39.000]   These were not some superficial stuff.
[00:40:39.000 --> 00:40:42.000]   These were things that they worshipped and relied on since they were young.
[00:40:42.000 --> 00:40:46.000]   Right?
[00:40:46.000 --> 00:40:48.000]   Again, what will happen to these false idols?
[00:40:48.000 --> 00:40:57.000]   It says they will be burned like stubble and will become completely useless.
[00:40:57.000 --> 00:40:59.000]   Okay.
[00:40:59.000 --> 00:41:07.000]   Alright, so if you go back to... and I'm trying to give you some application questions or discussion questions at the end of each day.
[00:41:07.000 --> 00:41:14.000]   So you guys can go back and look at the discussion questions and maybe take some time to discuss that or some of the things that we went over today.

