
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:19:15.960 --> 00:19:18.160]   there's so many holiday parties.
[00:19:18.160 --> 00:19:20.400]   I just have to cook all the time for this polygon,
[00:19:20.400 --> 00:19:22.840]   that polygon, I got to go buy a gift for this gift exchange,
[00:19:22.840 --> 00:19:24.720]   that white elephant gift exchange.
[00:19:24.720 --> 00:19:27.280]   Our hearts are tested.
[00:19:28.200 --> 00:19:30.880]   We lose soberness in these things.
[00:19:30.880 --> 00:19:36.680]   What consumes our attention from the moment we wake?
[00:19:36.680 --> 00:19:39.120]   What distracts us?
[00:19:39.120 --> 00:19:42.400]   What causes us to veer into sinful attitudes?
[00:19:42.400 --> 00:19:44.760]   What do we complain about?
[00:19:44.760 --> 00:19:49.000]   What does that display about our own personal
[00:19:49.000 --> 00:19:51.280]   mission statement and your adherence to it?
[00:19:51.280 --> 00:19:54.440]   So now, if we're to look at our lives,
[00:19:54.440 --> 00:19:56.480]   and we listed out what we're actually living for,
[00:19:56.480 --> 00:19:59.120]   and we just write it all out, and we hand that paper over
[00:19:59.120 --> 00:20:00.320]   to a brother or sister and said,
[00:20:00.320 --> 00:20:02.960]   "Hey, read this list and write out what you think
[00:20:02.960 --> 00:20:05.480]   "the mission statement of this person is."
[00:20:05.480 --> 00:20:14.600]   See, these types of things might be things in our lives
[00:20:14.600 --> 00:20:19.600]   that inebriate us, draws us into intoxicating influences,
[00:20:19.600 --> 00:20:25.280]   distracts us, makes us sleepy Christians,
[00:20:25.360 --> 00:20:26.880]   and we lose sharpness.
[00:20:26.880 --> 00:20:31.480]   But we understand it's not our circumstances.
[00:20:31.480 --> 00:20:32.920]   It's not Christmas.
[00:20:32.920 --> 00:20:38.200]   We know that for the drunkard, alcohol isn't the problem.
[00:20:38.200 --> 00:20:39.040]   It's the man.
[00:20:39.040 --> 00:20:42.000]   It's his control.
[00:20:42.000 --> 00:20:44.800]   And for us, ultimately, it's not the situation we're in
[00:20:44.800 --> 00:20:45.840]   that's to blame.
[00:20:45.840 --> 00:20:51.160]   It's not our circumstance that causes us to lose soberness.
[00:20:51.160 --> 00:20:55.120]   We are called to be sober people.
[00:20:56.120 --> 00:20:58.880]   It's not an unfair professor.
[00:20:58.880 --> 00:21:01.880]   It's not a misbehaving child.
[00:21:01.880 --> 00:21:05.440]   It's not a mean-spirited coworker.
[00:21:05.440 --> 00:21:07.600]   It's not financial downturn.
[00:21:07.600 --> 00:21:09.600]   It's not a health condition
[00:21:09.600 --> 00:21:12.480]   that causes us to lose soberness.
[00:21:12.480 --> 00:21:15.800]   See, it could be negative circumstances.
[00:21:15.800 --> 00:21:17.800]   It could be positive circumstances.
[00:21:17.800 --> 00:21:21.360]   All circumstances can cause us to lose perspective,
[00:21:21.360 --> 00:21:23.080]   can cause us to lose soberness.
[00:21:23.080 --> 00:21:28.080]   For you to be sober, your heart must be sober.
[00:21:28.080 --> 00:21:33.040]   And so, Peter issues this command from our God.
[00:21:33.040 --> 00:21:34.560]   He says, "Be of sober spirit.
[00:21:34.560 --> 00:21:35.920]   "Be on the alert."
[00:21:35.920 --> 00:21:38.400]   We talk about this so much here at our church,
[00:21:38.400 --> 00:21:39.480]   and I love it.
[00:21:39.480 --> 00:21:40.320]   I loved it.
[00:21:40.320 --> 00:21:43.760]   From the moment I got here two years ago, I loved it.
[00:21:43.760 --> 00:21:46.200]   And people just, I'll talk to this person,
[00:21:46.200 --> 00:21:47.480]   "I wanna be more sober-minded.
[00:21:47.480 --> 00:21:48.320]   "I wanna be sober-minded."
[00:21:48.320 --> 00:21:49.160]   I'm like, "What?
[00:21:49.160 --> 00:21:50.000]   "You're not sober-minded?"
[00:21:50.000 --> 00:21:50.840]   I'm like, "No, I'm sober-minded."
[00:21:50.840 --> 00:21:51.680]   I'm like, "No, I'm sober-minded."
[00:21:51.680 --> 00:21:52.880]   I'm like, "I wanna be more sober-minded."
[00:21:52.880 --> 00:21:54.840]   I'm like, "Man, this is awesome."
[00:21:54.840 --> 00:21:56.560]   I talk to this person, "I wanna be more sober-minded."
[00:21:56.560 --> 00:21:59.240]   "Yes, man, I love being here."
[00:21:59.240 --> 00:22:03.720]   We talk about this a lot,
[00:22:03.720 --> 00:22:05.520]   that we're called to be sober-minded,
[00:22:05.520 --> 00:22:12.160]   but we have need to really again and again and again
[00:22:12.160 --> 00:22:14.720]   and again apply this principle to ourselves.
[00:22:14.720 --> 00:22:18.200]   Have we been spiritually sober,
[00:22:18.200 --> 00:22:20.720]   or have we been spiritually drunk?
[00:22:20.720 --> 00:22:22.840]   You know that idea of drunk dialing?
[00:22:22.840 --> 00:22:24.280]   So you're not using good judgment
[00:22:24.280 --> 00:22:26.760]   and you say some dumb things.
[00:22:26.760 --> 00:22:28.960]   How has your spiritual judgment been?
[00:22:28.960 --> 00:22:30.160]   Have you been making decisions
[00:22:30.160 --> 00:22:33.360]   that are quite honestly spiritually dumb?
[00:22:33.360 --> 00:22:34.640]   Have you been making decisions
[00:22:34.640 --> 00:22:37.560]   that are not using good and sound judgment?
[00:22:37.560 --> 00:22:40.480]   Have you been spiritually not alert?
[00:22:40.480 --> 00:22:42.440]   Have you been spiritually distracted?
[00:22:42.440 --> 00:22:45.080]   Is something or someone taking your eyes off of Christ?
[00:22:45.080 --> 00:22:47.320]   Have you been spiritually asleep?
[00:22:47.320 --> 00:22:48.880]   And we know this, and we know this,
[00:22:48.880 --> 00:22:51.320]   and we know that we can even maybe identify
[00:22:51.320 --> 00:22:52.720]   some of these things in our lives
[00:22:52.720 --> 00:22:54.240]   that we're struggling with.
[00:22:54.240 --> 00:22:56.240]   And we can evaluate ourselves and say,
[00:22:56.240 --> 00:22:59.320]   "Yes, there are places, there are things,
[00:22:59.320 --> 00:23:01.840]   "and I can write it down, and I can share it,
[00:23:01.840 --> 00:23:03.400]   "and I can tell my brothers and sisters
[00:23:03.400 --> 00:23:06.040]   "that these are things I'm actually struggling with,
[00:23:06.040 --> 00:23:10.240]   "that I am not sober in this arena of my life.
[00:23:10.240 --> 00:23:14.160]   "We're very good at it, and I get encouraged by it,
[00:23:14.160 --> 00:23:15.880]   "but it is not enough."
[00:23:18.600 --> 00:23:22.240]   If we know it, and if we talk about it too much,
[00:23:22.240 --> 00:23:24.360]   and we ask for prayer requests,
[00:23:24.360 --> 00:23:27.480]   and if that's where it ends,
[00:23:27.480 --> 00:23:31.120]   what concerns me today is how much do we apply it?
[00:23:31.120 --> 00:23:34.480]   It's great that we know it,
[00:23:34.480 --> 00:23:38.400]   but what is the active application of it?
[00:23:38.400 --> 00:23:41.200]   And the reason why I bring this up is because of myself.
[00:23:41.200 --> 00:23:45.480]   Since February, we've been going through
[00:23:45.480 --> 00:23:46.320]   the book of Hebrews.
[00:23:46.320 --> 00:23:47.760]   Pastor Peter Kim has been preaching
[00:23:47.760 --> 00:23:49.160]   through the book of Hebrews.
[00:23:49.160 --> 00:23:52.840]   I wanted to see, I wanted to see how many sermons he did,
[00:23:52.840 --> 00:23:53.800]   so I went back and counted.
[00:23:53.800 --> 00:23:56.160]   27 sermons through Hebrews already.
[00:23:56.160 --> 00:23:57.520]   Crazy how fast that goes, right?
[00:23:57.520 --> 00:23:59.280]   27 sermons.
[00:23:59.280 --> 00:24:02.760]   And much of it, I know, we cling to in our minds.
[00:24:02.760 --> 00:24:04.160]   Do you know how I know?
[00:24:04.160 --> 00:24:07.000]   I have heard probably over 100 times already,
[00:24:07.000 --> 00:24:10.680]   like, "I'm afraid that I'm drifting."
[00:24:10.680 --> 00:24:12.920]   I'm like, "Wow, that's Pastor Peter Kim language."
[00:24:12.920 --> 00:24:14.640]   Like, he said that in his sermons.
[00:24:14.640 --> 00:24:16.120]   You probably have said that, right?
[00:24:16.120 --> 00:24:17.320]   You probably shared that.
[00:24:17.320 --> 00:24:21.200]   I'm, that's, the odds are you have.
[00:24:21.200 --> 00:24:23.800]   I'm afraid of that spiritual drifting.
[00:24:23.800 --> 00:24:30.760]   The most important thing here, though,
[00:24:30.760 --> 00:24:33.720]   is that this knowledge has caused in us change.
[00:24:33.720 --> 00:24:37.400]   Here's some of the sermon titles
[00:24:37.400 --> 00:24:38.760]   Pastor Peter went through.
[00:24:38.760 --> 00:24:41.840]   March, do not neglect your salvation.
[00:24:41.840 --> 00:24:45.400]   Another one in March, do not drift.
[00:24:45.400 --> 00:24:46.680]   That's where it came from.
[00:24:47.600 --> 00:24:49.800]   In June, he went through three weeks
[00:24:49.800 --> 00:24:51.640]   of the warning signs of the apostate.
[00:24:51.640 --> 00:24:52.480]   Remember that one?
[00:24:52.480 --> 00:24:54.000]   That one was like cut to the heart.
[00:24:54.000 --> 00:24:57.040]   In August, he preached a sermon called,
[00:24:57.040 --> 00:24:58.560]   Let Us Hold Fast.
[00:24:58.560 --> 00:25:02.080]   In September, he preached a sermon called,
[00:25:02.080 --> 00:25:04.160]   Moving Beyond Spiritual Infancy.
[00:25:04.160 --> 00:25:06.520]   And so, we have all of these things.
[00:25:06.520 --> 00:25:08.160]   And I know, just travel with me,
[00:25:08.160 --> 00:25:10.640]   like, if we get into this time machine we have here,
[00:25:10.640 --> 00:25:13.680]   and we travel back into March, for example,
[00:25:13.680 --> 00:25:17.880]   where he preached on the, like, not spiritually drifting.
[00:25:17.880 --> 00:25:22.800]   If you can look back at your sermon notes,
[00:25:22.800 --> 00:25:26.320]   and scan down to your personal application for that sermon,
[00:25:26.320 --> 00:25:29.560]   the question to us is not how much did that affect us,
[00:25:29.560 --> 00:25:32.040]   or how much did that cause our theology
[00:25:32.040 --> 00:25:33.440]   or doctrine to kind of change,
[00:25:33.440 --> 00:25:37.280]   it's how much has that actually caused change in our lives,
[00:25:37.280 --> 00:25:38.480]   in our decision making.
[00:25:38.480 --> 00:25:41.560]   When we see the things that we knew we have to surrender,
[00:25:41.560 --> 00:25:46.560]   today, eight months later, have you surrendered it?
[00:25:46.560 --> 00:25:51.480]   Has something changed?
[00:25:51.480 --> 00:25:53.520]   And I think, I'm just so encouraged,
[00:25:53.520 --> 00:25:56.480]   because for many of us, there has been great change.
[00:25:56.480 --> 00:25:58.440]   I've been very encouraged.
[00:25:58.440 --> 00:25:59.960]   And I know these truths of God's word
[00:25:59.960 --> 00:26:02.360]   have personally caused in me change as well.
[00:26:02.360 --> 00:26:07.400]   But, if there hasn't been change,
[00:26:07.400 --> 00:26:10.200]   and you feel the same conviction week after week,
[00:26:10.200 --> 00:26:12.320]   and you're like, haven't I heard this sermon
[00:26:12.320 --> 00:26:14.240]   from Pastor Peter before?
[00:26:14.240 --> 00:26:16.640]   Why is it hurting so good again?
[00:26:16.640 --> 00:26:19.560]   Why is it convicting me and cutting me so deep again?
[00:26:19.560 --> 00:26:23.480]   And if it's the same thing week after week,
[00:26:23.480 --> 00:26:24.800]   just, oh, that's good conviction,
[00:26:24.800 --> 00:26:26.920]   oh, that's good stuff, oh, that's awesome.
[00:26:26.920 --> 00:26:30.080]   But nothing changes.
[00:26:30.080 --> 00:26:32.560]   That's scary.
[00:26:32.560 --> 00:26:37.280]   If you're asking the question, is that good or bad
[00:26:37.280 --> 00:26:39.000]   that you're being convicted like that every week?
[00:26:39.000 --> 00:26:40.760]   I would actually say it's bad.
[00:26:40.760 --> 00:26:45.040]   Because that might be an indicator
[00:26:45.040 --> 00:26:47.200]   that you are not in obedience.
[00:26:47.200 --> 00:26:50.320]   You might be in disobedience.
[00:26:50.320 --> 00:26:52.440]   Week after week, getting cut to the heart.
[00:26:52.440 --> 00:26:55.200]   Week after week, not much changing.
[00:26:55.200 --> 00:26:57.080]   You've lost soberness.
[00:26:57.080 --> 00:26:59.640]   You've lost sound spiritual judgment.
[00:26:59.640 --> 00:27:02.960]   And so we've become master spiritual compartmentalizers.
[00:27:02.960 --> 00:27:06.880]   And we were able to, in places and portions of our lives,
[00:27:06.880 --> 00:27:08.560]   live out our convictions.
[00:27:08.560 --> 00:27:11.800]   And we're able to say, though we're not living sober here,
[00:27:11.800 --> 00:27:14.160]   though we are not actually actively living out
[00:27:14.160 --> 00:27:16.520]   our convictions here, that we can come to our brothers
[00:27:16.520 --> 00:27:18.120]   and sisters, sit around in a circle,
[00:27:18.120 --> 00:27:20.840]   and talk about the fact that we're struggling with that.
[00:27:20.840 --> 00:27:24.040]   Week after week.
[00:27:24.040 --> 00:27:26.320]   And even for those of us who are actively applying,
[00:27:26.320 --> 00:27:27.960]   actively crucifying the flesh,
[00:27:27.960 --> 00:27:29.960]   actively seeking the Lord and denying the flesh,
[00:27:29.960 --> 00:27:33.840]   the call to us is, we need more of this.
[00:27:33.840 --> 00:27:37.000]   We need to apply this idea of sobriety
[00:27:37.000 --> 00:27:39.960]   not just to parts of our lives, but to our entire lives.
[00:27:39.960 --> 00:27:42.000]   It needs to be the way we think.
[00:27:42.000 --> 00:27:46.360]   From the moment we wake up, this is the way we need to live.
[00:27:46.360 --> 00:27:49.760]   This is our mindset, is what we learn
[00:27:49.760 --> 00:27:50.920]   through the book of Philippians.
[00:27:50.920 --> 00:27:52.800]   That's that word phrenel, it's a mindset
[00:27:52.800 --> 00:27:55.800]   that we live as Christians, we have the mindset of Christ.
[00:27:55.800 --> 00:27:58.120]   And so it doesn't matter if it's a negative experience
[00:27:58.120 --> 00:27:59.840]   or a positive experience.
[00:27:59.840 --> 00:28:02.400]   Now when Pastor Mark was teaching through that,
[00:28:02.400 --> 00:28:03.680]   that stuck with me.
[00:28:03.680 --> 00:28:06.640]   That it flips upside down, that the Christian worldview
[00:28:06.640 --> 00:28:09.360]   is so different from the non-Christian worldview.
[00:28:09.360 --> 00:28:14.280]   That is for us, our evaluation of what is good
[00:28:14.280 --> 00:28:16.920]   and what is bad is very different.
[00:28:16.920 --> 00:28:20.860]   It doesn't matter about circumstantial things.
[00:28:20.860 --> 00:28:21.920]   It's Christ.
[00:28:21.920 --> 00:28:25.720]   Whether he's exalted.
[00:28:25.720 --> 00:28:34.720]   And so, have we been like this?
[00:28:34.720 --> 00:28:38.480]   If we're distracted by something in our lives,
[00:28:38.480 --> 00:28:41.540]   like are we trying to just apply soberness to that thing?
[00:28:41.540 --> 00:28:48.240]   I know I heard some people after certain sermons,
[00:28:48.240 --> 00:28:50.360]   they went home and deleted Netflix.
[00:28:50.360 --> 00:28:51.720]   Canceled their Netflix account.
[00:28:51.720 --> 00:28:56.000]   You know what happens when you direct soberness at Netflix.
[00:28:56.000 --> 00:28:57.560]   YouTube happens.
[00:28:57.560 --> 00:29:00.720]   That's what happens.
[00:29:00.720 --> 00:29:03.640]   You direct soberness here, and boop, this pops up.
[00:29:03.640 --> 00:29:05.740]   You go here, and then boop, this pops up.
[00:29:05.740 --> 00:29:06.600]   Why?
[00:29:06.600 --> 00:29:08.500]   Because we are not called to spiritually
[00:29:08.500 --> 00:29:09.920]   compartmentalize this thing.
[00:29:09.920 --> 00:29:14.000]   It's an entire mindset overhaul.
[00:29:14.000 --> 00:29:18.640]   Your entire worldview is just transformed.
[00:29:18.640 --> 00:29:21.080]   The old has gone, the new has come.
[00:29:21.080 --> 00:29:22.200]   We're different.
[00:29:22.200 --> 00:29:24.940]   So we can't aim it.
[00:29:24.940 --> 00:29:27.440]   We can't just say like, I'm going to be self-controlled here.
[00:29:27.440 --> 00:29:28.920]   I have to be more self-controlled here.
[00:29:28.920 --> 00:29:30.280]   It's that from the moment we wake up,
[00:29:30.280 --> 00:29:32.120]   we need to be self-controlled people.
[00:29:33.420 --> 00:29:35.100]   We need to be sober people.
[00:29:35.100 --> 00:29:45.400]   So again, it's never about the thing, the situation,
[00:29:45.400 --> 00:29:47.720]   the circumstance, the relationship, whatever.
[00:29:47.720 --> 00:29:49.600]   We're called to have sober hearts.
[00:29:49.600 --> 00:29:55.000]   Soberness is called to be continual
[00:29:55.000 --> 00:29:57.760]   and constant and consistent.
[00:29:57.760 --> 00:30:00.400]   Our every day must be filled with it.
[00:30:00.400 --> 00:30:02.560]   We know that sin and selfishness and pride
[00:30:02.560 --> 00:30:05.240]   is knocking on the door, and so we're aware of it.
[00:30:05.240 --> 00:30:06.360]   We're alert.
[00:30:06.360 --> 00:30:10.680]   If you feel the temptation of the flesh,
[00:30:10.680 --> 00:30:12.480]   you should not feel guilty about it.
[00:30:12.480 --> 00:30:15.720]   Why?
[00:30:15.720 --> 00:30:19.280]   Because the Bible says that's going to be the case
[00:30:19.280 --> 00:30:20.840]   for the rest of our lives here.
[00:30:20.840 --> 00:30:25.280]   So what Paul is saying here is,
[00:30:25.280 --> 00:30:29.320]   not to say like, the flesh is going to be gone.
[00:30:29.320 --> 00:30:30.160]   That's not the goal.
[00:30:30.160 --> 00:30:33.920]   Like, the eradication of temptation, that's not the goal.
[00:30:33.920 --> 00:30:36.720]   It's going to be there.
[00:30:36.720 --> 00:30:38.520]   He says, be alert.
[00:30:38.520 --> 00:30:41.600]   He says, be sober.
[00:30:41.600 --> 00:30:43.560]   He says, these things are close.
[00:30:43.560 --> 00:30:50.480]   These commands, again, they're given
[00:30:50.480 --> 00:30:52.240]   in the aorist imperative.
[00:30:52.240 --> 00:30:56.000]   Aorist is typically seen as past tense, but it's not.
[00:30:56.000 --> 00:30:58.680]   And so it's interesting, it's not just past tense.
[00:30:58.680 --> 00:31:01.440]   When you put an aorist with a command,
[00:31:01.440 --> 00:31:02.400]   that kind of feels like,
[00:31:02.400 --> 00:31:04.960]   how do you do a past tense command, right?
[00:31:04.960 --> 00:31:08.040]   So the reason why an aorist imperative is very interesting
[00:31:08.040 --> 00:31:12.960]   is because what it does is it puts a giant force
[00:31:12.960 --> 00:31:16.120]   on the past, that this is a command and a truth
[00:31:16.120 --> 00:31:19.160]   that is given to you from the moment you're saved.
[00:31:19.160 --> 00:31:22.180]   And then, if that was a stake in the ground,
[00:31:22.180 --> 00:31:24.640]   that this is your truth, that you are called to be sober,
[00:31:24.640 --> 00:31:26.360]   that you are called to be alert
[00:31:26.360 --> 00:31:27.860]   as soon as you become a believer,
[00:31:27.860 --> 00:31:30.100]   that this stakes into the ground
[00:31:30.100 --> 00:31:31.680]   every time you see this command.
[00:31:31.680 --> 00:31:34.320]   At every moment and every juncture of your life,
[00:31:34.320 --> 00:31:37.280]   this command is calling out to us to obey.
[00:31:37.280 --> 00:31:39.600]   It's constant, it's continuous, it's moving.
[00:31:39.600 --> 00:31:41.700]   It's different than a present imperative.
[00:31:41.700 --> 00:31:46.280]   This one has this idea of a past truth,
[00:31:46.280 --> 00:31:48.860]   just bam, bam, bam, bam, bam, bam.
[00:31:48.860 --> 00:31:53.120]   This is who we are.
[00:31:53.120 --> 00:31:55.460]   In 1 Thessalonians chapter five, verse one,
[00:31:56.720 --> 00:31:58.580]   Paul says that we are children of the light.
[00:31:58.580 --> 00:31:59.740]   Let me read this for us.
[00:31:59.740 --> 00:32:02.100]   Now, it's the times and the epics.
[00:32:02.100 --> 00:32:04.760]   Brethren, you have no need of anything to be written to you,
[00:32:04.760 --> 00:32:06.380]   for you yourselves know full well
[00:32:06.380 --> 00:32:07.780]   that the day of the Lord will come
[00:32:07.780 --> 00:32:09.380]   just like a thief in the night.
[00:32:09.380 --> 00:32:11.300]   While they are saying, "Peace and safety,"
[00:32:11.300 --> 00:32:13.100]   then destruction will come upon them suddenly
[00:32:13.100 --> 00:32:15.140]   like labor pains upon a woman with child,
[00:32:15.140 --> 00:32:16.540]   and they will not escape.
[00:32:16.540 --> 00:32:18.020]   But you, brethren, are not in darkness,
[00:32:18.020 --> 00:32:19.900]   that the day would overcome you like a thief,
[00:32:19.900 --> 00:32:22.140]   for you are all sons of light and sons of day.
[00:32:22.140 --> 00:32:23.820]   We are not of night nor of darkness,
[00:32:23.820 --> 00:32:26.260]   so then let us not sleep as others do,
[00:32:26.260 --> 00:32:27.860]   but let us be alert and sober.
[00:32:27.860 --> 00:32:30.100]   For those who sleep do their sleeping at night,
[00:32:30.100 --> 00:32:32.020]   and those who get drunk get drunk at night.
[00:32:32.020 --> 00:32:34.260]   But since we are of the day, let us be sober,
[00:32:34.260 --> 00:32:36.220]   having put on the breastplate of faith and love
[00:32:36.220 --> 00:32:38.300]   and as a helmet the hope of salvation.
[00:32:38.300 --> 00:32:40.220]   For God has not destined us for wrath,
[00:32:40.220 --> 00:32:43.140]   but for obtaining salvation through our Lord Jesus Christ,
[00:32:43.140 --> 00:32:46.140]   who died for us, so that whether we are awake or asleep,
[00:32:46.140 --> 00:32:47.980]   we will live together with him.
[00:32:47.980 --> 00:32:49.700]   Therefore, encourage one another
[00:32:49.700 --> 00:32:51.880]   and build up one another just as you are doing.
[00:32:51.880 --> 00:32:53.740]   So this passage tells us who we are not.
[00:32:53.740 --> 00:32:55.780]   We are not people of the night.
[00:32:55.780 --> 00:32:57.700]   We are children of the day.
[00:32:57.700 --> 00:32:59.380]   That's what this passage says.
[00:32:59.380 --> 00:33:02.580]   It's not just spiritual betterment
[00:33:02.580 --> 00:33:04.500]   or spiritual self-help we're talking about
[00:33:04.500 --> 00:33:07.880]   that we ought to be sober and alert.
[00:33:07.880 --> 00:33:09.180]   This is who we are.
[00:33:09.180 --> 00:33:13.540]   It's not just a good suggestion.
[00:33:13.540 --> 00:33:17.480]   It's entirely contrary to who we are.
[00:33:17.480 --> 00:33:23.060]   It actually ought to be very, very disturbing
[00:33:23.060 --> 00:33:25.960]   when we find ourselves acting like children of the night.
[00:33:25.960 --> 00:33:30.660]   It should be very disturbing when we're acting like people
[00:33:30.660 --> 00:33:33.240]   who say, "Peace and safety,"
[00:33:33.240 --> 00:33:34.980]   forgetting that judgment is coming.
[00:33:34.980 --> 00:33:38.220]   When we know that everything we see around us
[00:33:38.220 --> 00:33:41.260]   is passing away, and yet we're so enamored
[00:33:41.260 --> 00:33:44.580]   with the things of this world, that's very disturbing.
[00:33:44.580 --> 00:33:45.780]   That is not who we are.
[00:33:45.780 --> 00:33:52.360]   And so when we are enamored by the things of this world,
[00:33:52.360 --> 00:33:54.900]   that we say with our minds and with our lips
[00:33:54.900 --> 00:33:56.560]   that everything is going away,
[00:33:56.560 --> 00:33:58.300]   everything will go through God's judgment.
[00:33:58.300 --> 00:34:02.020]   Only eternal things will be found in Christ will remain.
[00:34:02.020 --> 00:34:07.040]   And yet, if our lifestyle, if our decisions that we make,
[00:34:07.040 --> 00:34:09.900]   if the things we partake in does not fall in line
[00:34:09.900 --> 00:34:13.580]   with what we believe, that the world is passing away,
[00:34:13.580 --> 00:34:14.900]   that people are dying,
[00:34:14.900 --> 00:34:18.460]   it's disturbing.
[00:34:19.840 --> 00:34:22.680]   It's not just better to not live like that.
[00:34:22.680 --> 00:34:24.720]   It's not just spiritual, personal betterment.
[00:34:24.720 --> 00:34:26.040]   I, ah, this is not good.
[00:34:26.040 --> 00:34:27.400]   I know I should do better.
[00:34:27.400 --> 00:34:31.480]   It's wrong.
[00:34:31.480 --> 00:34:33.240]   It's scary.
[00:34:33.240 --> 00:34:34.800]   It's very frightening.
[00:34:34.800 --> 00:34:38.640]   And the enemy here, we talk about, you know,
[00:34:38.640 --> 00:34:41.980]   that kind of the SoCal or type of Christianity,
[00:34:41.980 --> 00:34:43.960]   the enemy lives in that territory.
[00:34:43.960 --> 00:34:48.280]   We look just like the world.
[00:34:48.280 --> 00:34:50.280]   It's so, so sad.
[00:34:50.280 --> 00:34:53.980]   Actually, I think many of us,
[00:34:53.980 --> 00:34:56.340]   in the decisions we make, we confuse the world.
[00:34:56.340 --> 00:35:02.180]   They're like, that doesn't make sense, you know?
[00:35:02.180 --> 00:35:07.260]   We dilute the power of God's message in our lives,
[00:35:07.260 --> 00:35:09.840]   in our living testimonies.
[00:35:09.840 --> 00:35:13.620]   We are children of the light, not the dark.
[00:35:13.620 --> 00:35:17.220]   And actually, we are called to shine into the darkness.
[00:35:17.220 --> 00:35:18.880]   In Ephesians chapter five, verse seven, it says,
[00:35:18.880 --> 00:35:21.280]   "Therefore, do not be partakers with them."
[00:35:21.280 --> 00:35:24.040]   That's the world.
[00:35:24.040 --> 00:35:26.140]   "For you were formerly darkness,
[00:35:26.140 --> 00:35:29.240]   "but now you are light in the Lord.
[00:35:29.240 --> 00:35:31.080]   "Walk as children of light."
[00:35:31.080 --> 00:35:32.360]   That's so weird.
[00:35:32.360 --> 00:35:35.420]   You are light.
[00:35:35.420 --> 00:35:37.740]   Walk as that.
[00:35:37.740 --> 00:35:42.580]   Trying to learn what is pleasing to the Lord.
[00:35:42.580 --> 00:35:45.520]   Do not participate in the unfruitful deeds of darkness,
[00:35:45.520 --> 00:35:48.300]   but instead, even expose them.
[00:35:48.300 --> 00:35:50.260]   "For it is disgraceful even to speak of the things
[00:35:50.260 --> 00:35:52.760]   "which are done by them in secret,
[00:35:52.760 --> 00:35:53.880]   "but all things become visible
[00:35:53.880 --> 00:35:54.960]   "when they are exposed by the light.
[00:35:54.960 --> 00:35:56.960]   "For everything that becomes visible is light.
[00:35:56.960 --> 00:35:57.880]   "For this reason, it says,
[00:35:57.880 --> 00:35:59.220]   "awake, sleeper, and arise from the dead,
[00:35:59.220 --> 00:36:00.400]   "and Christ will shine on you."
[00:36:00.400 --> 00:36:02.440]   I love this passage, because what it's calling
[00:36:02.440 --> 00:36:05.200]   the Christian to do is to shine into the darkness.
[00:36:05.200 --> 00:36:08.260]   And I think, I fear sometimes, when we're not being sober,
[00:36:08.260 --> 00:36:11.360]   what happens is, again, we come over and over and over again
[00:36:11.360 --> 00:36:12.680]   into our circles of Christians,
[00:36:12.680 --> 00:36:14.400]   and what we do is we go around in a circle
[00:36:14.400 --> 00:36:17.900]   and talk about our sin, much too much.
[00:36:17.900 --> 00:36:22.240]   Over and over and over again.
[00:36:22.240 --> 00:36:24.600]   When we are called to live as children of light
[00:36:24.600 --> 00:36:28.040]   into darkness, we are the light.
[00:36:28.040 --> 00:36:31.640]   If we're constantly talking about how we're living
[00:36:31.640 --> 00:36:33.680]   in the darkness, there's something wrong.
[00:36:33.680 --> 00:36:38.320]   We're called to go and be the light to a dark world.
[00:36:38.320 --> 00:36:43.080]   We know that people are dying around us.
[00:36:43.080 --> 00:36:45.920]   Are we sober-minded enough to see this?
[00:36:45.920 --> 00:36:50.720]   And if we agree to this,
[00:36:50.720 --> 00:36:52.600]   if we're saying that we can see this clearly,
[00:36:52.600 --> 00:36:54.380]   how do you act upon it?
[00:36:54.380 --> 00:36:58.360]   This brings us to our second and final point here.
[00:36:58.360 --> 00:36:59.600]   The enemy is prowling.
[00:36:59.600 --> 00:37:02.480]   This is an additional reason for soberness that he gives.
[00:37:02.480 --> 00:37:04.540]   The enemy is prowling.
[00:37:04.540 --> 00:37:06.960]   In 1 Peter, chapter five, verse eight,
[00:37:06.960 --> 00:37:07.800]   if we look there again, it says,
[00:37:07.800 --> 00:37:09.440]   "Your adversary, the devil, prowls around
[00:37:09.440 --> 00:37:12.000]   "like a roaring lion, seeking someone to devour."
[00:37:13.000 --> 00:37:16.600]   Now the question is, what does this look like, though?
[00:37:16.600 --> 00:37:18.920]   Does Satan come and bite us?
[00:37:18.920 --> 00:37:20.520]   Obviously not.
[00:37:20.520 --> 00:37:21.880]   I don't even know what that means.
[00:37:21.880 --> 00:37:23.520]   What does it mean that he's prowling around?
[00:37:23.520 --> 00:37:26.400]   What does it mean for him to devour us, to get us?
[00:37:26.400 --> 00:37:29.800]   He tricked us, is it that?
[00:37:29.800 --> 00:37:32.240]   And it's kind of that.
[00:37:32.240 --> 00:37:34.400]   He uses deceit to get us spiritually.
[00:37:34.400 --> 00:37:37.520]   And we know that we can't be fooled
[00:37:37.520 --> 00:37:39.080]   unless you're not being sober.
[00:37:40.720 --> 00:37:42.840]   See, the enemy, he never sleeps.
[00:37:42.840 --> 00:37:48.920]   His desire, day and night, with every breath he has,
[00:37:48.920 --> 00:37:52.000]   is to do this, is to prowl around and devour.
