
[00:00:00.000 --> 00:00:07.780]   Alright, let's get together.
[00:23:51.360 --> 00:23:56.120]   Jewish people, and they were the top leaders in the synagogue, so everybody had to submit
[00:23:56.120 --> 00:23:57.120]   to them.
[00:23:57.120 --> 00:24:02.040]   So when Christianity came, all of a sudden, Jesus flips the table over.
[00:24:02.040 --> 00:24:08.320]   He had tax collectors, he had fishermen, he had people who didn't have strong standing
[00:24:08.320 --> 00:24:12.280]   in society, all of a sudden, they became the leaders.
[00:24:12.280 --> 00:24:17.480]   So what the Judaizers were doing is they were trying to maintain their status while bringing
[00:24:17.480 --> 00:24:19.120]   in Christianity.
[00:24:19.120 --> 00:24:23.360]   So by them saying, "No, no, you have to keep the Sabbath, you gotta do this, this, and
[00:24:23.360 --> 00:24:26.520]   this," which they were already doing, they were experts in doing.
[00:24:26.520 --> 00:24:30.980]   They were known in the community as being law keepers, right?
[00:24:30.980 --> 00:24:35.280]   So it wasn't simply a confusion of the law, it wasn't simply that they had a hard time
[00:24:35.280 --> 00:24:38.760]   transitioning from the covenant, old to the new covenant.
[00:24:38.760 --> 00:24:43.960]   What they were having a hard time with is this new kingdom where he completely overthrows
[00:24:43.960 --> 00:24:46.040]   their values.
[00:24:46.040 --> 00:24:51.620]   They wanted to maintain their status while bringing Christianity underneath, right?
[00:24:51.620 --> 00:24:55.640]   So you can convert, and we're allowing you to come because of Jesus, but you still have
[00:24:55.640 --> 00:24:58.300]   to come under us, right?
[00:24:58.300 --> 00:25:02.200]   And that's what's being rebuked, that everything that they do is not because they're seeking
[00:25:02.200 --> 00:25:07.760]   righteousness, it's false humility, false righteousness.
[00:25:07.760 --> 00:25:11.380]   Worship of angels, which we talked about, in that particular area, Asia Minor was struggling
[00:25:11.380 --> 00:25:12.980]   with that.
[00:25:12.980 --> 00:25:15.160]   Taking a stand on visions he has seen.
[00:25:15.160 --> 00:25:20.320]   Again, the word "taking a stand," some of your translations says, "goes into much detail,"
[00:25:20.320 --> 00:25:21.320]   right?
[00:25:21.320 --> 00:25:22.320]   "Goes into great detail."
[00:25:22.320 --> 00:25:26.720]   Basically, what he's saying is, this is their source of pride.
[00:25:26.720 --> 00:25:31.640]   They're going on and on about this extracurricular vision that they saw, and what is the reason
[00:25:31.640 --> 00:25:33.880]   why they're doing that?
[00:25:33.880 --> 00:25:36.960]   I'm more spiritual than you, right?
[00:25:36.960 --> 00:25:44.400]   Just like their false humility, they're going into these details in order to what?
[00:25:44.400 --> 00:25:47.880]   Just like the NASB says, "to take their stand."
[00:25:47.880 --> 00:25:53.280]   In other words, to keep status above everybody else, right?
[00:25:53.280 --> 00:25:56.680]   Does that make sense?
[00:25:56.680 --> 00:25:57.680]   Or you look confused.
[00:25:57.680 --> 00:25:59.360]   It make sense?
[00:25:59.360 --> 00:26:00.360]   Okay.
[00:26:00.360 --> 00:26:02.560]   So, all of it has the same theme.
[00:26:02.560 --> 00:26:07.240]   It's fake righteousness, all for the purpose of their own glory, right?
[00:26:07.240 --> 00:26:10.440]   Inflated without cause by fleshly mind, right?
[00:26:10.440 --> 00:26:17.000]   In other words, they have no real cause to brag.
[00:26:17.000 --> 00:26:18.040]   It's all in their flesh.
[00:26:18.040 --> 00:26:19.040]   It's not real.
[00:26:19.040 --> 00:26:23.440]   And then, verse 19, "and not holding fast to the head," because true righteousness in
[00:26:23.440 --> 00:26:27.960]   the New Covenant is found in relation to Christ, right?
[00:26:27.960 --> 00:26:32.160]   So they're trying to find their status and righteousness outside of Christ, which is
[00:26:32.160 --> 00:26:35.220]   all false humility, false righteousness.
[00:26:35.220 --> 00:26:40.780]   They're going into details about visions and experiences that they had, instead of connecting
[00:26:40.780 --> 00:26:44.240]   to Christ, right?
[00:26:44.240 --> 00:26:51.240]   So doesn't that happen in our generation, in our churches, in our lives?
[00:26:51.240 --> 00:26:57.000]   If we want status and to be recognized, we can talk about our experiences.
[00:26:57.000 --> 00:26:59.280]   We can talk about how much schooling that we had.
[00:26:59.280 --> 00:27:03.360]   We can talk about how big our churches are.
[00:27:03.360 --> 00:27:07.080]   We can talk about our status, our finances, whatever it may be.
[00:27:07.080 --> 00:27:10.280]   If we want to be recognized, we present, "This is what I did.
[00:27:10.280 --> 00:27:13.680]   Oh, I fasted this much," or "I did that and I did that," right?
[00:27:13.680 --> 00:27:16.000]   And that's basically what they're saying is doing.
[00:27:16.000 --> 00:27:20.280]   They're trying to present themselves to be more godly, more righteous than other people,
[00:27:20.280 --> 00:27:22.200]   but it's all fake, right?
[00:27:22.200 --> 00:27:23.840]   It has nothing to do with Christ.
[00:27:23.840 --> 00:27:33.000]   And not holding fast to the head, not holding fast to the head, which is Christ, for whom
[00:27:33.000 --> 00:27:36.460]   the entire body, right?
[00:27:36.460 --> 00:27:45.400]   So notice how he says that the shadow is what to come, but the body belongs to Christ, which
[00:27:45.400 --> 00:27:50.120]   is fulfilled, and we are part of that body, right?
[00:27:50.120 --> 00:27:55.200]   So again, it would make a lot more sense in the Greek when you're reading it and you see
[00:27:55.200 --> 00:27:58.400]   these words that are connected, right?
[00:27:58.400 --> 00:28:04.600]   So the entire body being supplied and held together by joints and ligaments grows with
[00:28:04.600 --> 00:28:07.080]   growth, which is from God.
[00:28:07.080 --> 00:28:11.040]   So how does growth happen?
[00:28:11.040 --> 00:28:15.580]   Our body connected to his body, right?
[00:28:15.580 --> 00:28:20.100]   When we are connected to his body, all this stuff about self-abasement, worship of angels,
[00:28:20.100 --> 00:28:27.740]   you know, taking stand on divisions, inflated by our flesh, all of these things are fake
[00:28:27.740 --> 00:28:30.120]   that God rejects, right?
[00:28:30.120 --> 00:28:34.280]   What God desires is for us to be connected to the head, that our body connected to his
[00:28:34.280 --> 00:28:37.760]   body, right?
[00:28:37.760 --> 00:28:43.840]   And then he goes to the second part, "If, then why," right?
[00:28:43.840 --> 00:28:50.220]   If you died with Christ, why do you live in the world, right?
[00:28:50.220 --> 00:28:51.820]   That's the argument.
[00:28:51.820 --> 00:28:55.580]   If you died with Christ, the elementary principles of the world, the word here for elementary
[00:28:55.580 --> 00:28:59.680]   principles, again, is another one of those words that, you know, requires a little bit
[00:28:59.680 --> 00:29:01.620]   of digging.
[00:29:01.620 --> 00:29:09.180]   The word, again, literally means rudimentary things, like fundamental, foundational, right?
[00:29:09.180 --> 00:29:10.540]   ABCs.
[00:29:10.540 --> 00:29:17.540]   So if you died to the ABCs of the elementary principles of the world, and what is he talking
[00:29:17.540 --> 00:29:24.020]   about here, the elementary principles?
[00:29:24.020 --> 00:29:26.000]   The law, specifically.
[00:29:26.000 --> 00:29:28.820]   This is why you need the context, right?
[00:29:28.820 --> 00:29:33.380]   Without the context, you can say, you know, like you can just go into just the world and
[00:29:33.380 --> 00:29:38.620]   say, "Oh, these are the fundamental things that we learn," like, you know, ABC 1, 2,
[00:29:38.620 --> 00:29:39.620]   3, right?
[00:29:39.620 --> 00:29:41.780]   That's not what he's talking about.
[00:29:41.780 --> 00:29:48.020]   He's talking about specifically the elementary principles that was given to you in God's
[00:29:48.020 --> 00:29:49.020]   design.
[00:29:49.020 --> 00:29:55.940]   In other words, you're going back to the first step, right?
[00:29:55.940 --> 00:30:00.700]   God brought you to calculus, but you're going back to plus and minus.
[00:30:00.700 --> 00:30:03.300]   Does that make sense?
[00:30:03.300 --> 00:30:08.140]   So in other words, he's saying, if you died to the elementary principle, the ABCs of the
[00:30:08.140 --> 00:30:15.020]   gospel, why, as if you were living in the world, do you submit yourself to the decrees?
[00:30:15.020 --> 00:30:21.940]   The purpose of learning ABCs is so that you can read, right?
[00:30:21.940 --> 00:30:26.660]   You don't go around memorizing ABCD and then you're 15, you're still, "ABCD."
[00:30:26.660 --> 00:30:31.780]   Wow, you're really good at your ABCDs, but you can't read.
[00:30:31.780 --> 00:30:36.060]   Because the point of learning the ABCD is so that you can read.
[00:30:36.060 --> 00:30:38.180]   And then every year you're learning to read better.
[00:30:38.180 --> 00:30:42.620]   So in other words, he planted his law in the Old Testament and all the covenant and all
[00:30:42.620 --> 00:30:48.260]   the things of Leviticus as a foundation, right?
[00:30:48.260 --> 00:30:50.060]   As a foundation for what?
[00:30:50.060 --> 00:30:52.900]   To understand Christ.
[00:30:52.900 --> 00:30:57.540]   So understanding Christ, he gave us all of this so that we can read Christ.
[00:30:57.540 --> 00:31:02.820]   So if you, if you miss Christ, you miss the whole point of the ABCs.
[00:31:02.820 --> 00:31:09.140]   Does that make sense?
[00:31:09.140 --> 00:31:17.140]   So if you don't understand how Leviticus, how Numbers, how Old Testament laws, the prophecies,
[00:31:17.140 --> 00:31:22.820]   the judgment, the kings, how all of this laid the foundation for the coming of Christ, then
[00:31:22.820 --> 00:31:26.380]   you missed the whole point of the Old Testament.
[00:31:26.380 --> 00:31:27.460]   Isn't that exactly what Jesus said?
[00:31:27.460 --> 00:31:28.980]   He looked for the scriptures to look for life.
[00:31:28.980 --> 00:31:31.820]   In other words, you thought that the ABCs were going to give you life.
[00:31:31.820 --> 00:31:36.020]   He said, "ABCs was all about me."
[00:31:36.020 --> 00:31:39.340]   That's why he says, "I didn't come to abolish the law."
[00:31:39.340 --> 00:31:41.340]   He didn't come and say, "The ABCs are wrong."
[00:31:41.340 --> 00:31:42.740]   What did he say?
[00:31:42.740 --> 00:31:46.020]   "I came to fulfill it."
[00:31:46.020 --> 00:31:50.180]   You learned your ABCs so that you can know who I am, right?
[00:31:50.180 --> 00:31:51.260]   That's what he means.
[00:31:51.260 --> 00:31:58.140]   If you died to the elementary principles because now the body, now the shadow, right, that
[00:31:58.140 --> 00:32:04.900]   was cast by the body, Christ, came, why are you laying again the foundation of ABC, right?
[00:32:04.900 --> 00:32:06.920]   If you know how to read.
[00:32:06.920 --> 00:32:10.260]   You don't take somebody who knows how to read and say, "Hey, I got a lesson for you.
[00:32:10.260 --> 00:32:15.160]   Let's go back, study ABC."
[00:32:15.160 --> 00:32:19.300]   Do not handle, do not taste, do not touch, right?
[00:32:19.300 --> 00:32:27.180]   All Old Testament stuff, which all are destined to perish, right?
[00:32:27.180 --> 00:32:31.300]   In accordance to the commandments of teachings of men, these are just teachings of men.
[00:32:31.300 --> 00:32:33.760]   This is not from God.
[00:32:33.760 --> 00:32:42.780]   They have the appearance of wisdom and this is why this was so tempting.
[00:32:42.780 --> 00:32:50.900]   They are made self-made religion and self-abasement with severe treatment to the body, but have
[00:32:50.900 --> 00:32:55.060]   no power against the flesh.
[00:32:55.060 --> 00:33:05.700]   And the reason why this was so deceiving is because it's tangible, right?
[00:33:05.700 --> 00:33:09.300]   It's easy.
[00:33:09.300 --> 00:33:12.020]   Just like anything else, right?
[00:33:12.020 --> 00:33:17.460]   If you want to lose weight, do these three things and don't do these three things, right?
[00:33:17.460 --> 00:33:21.500]   You want to get closer to God, do these three things, don't do these three things.
[00:33:21.500 --> 00:33:28.260]   But the fundamental teaching of the gospel is you can't get to God like that, right?
[00:33:28.260 --> 00:33:33.300]   You can't get to God by making three-year plans.
[00:33:33.300 --> 00:33:38.500]   You can't get to God by not watching certain programs and doing this and doing that, because
[00:33:38.500 --> 00:33:42.300]   all of that in and of itself has no power to change you.
[00:33:42.300 --> 00:33:45.780]   It can change your appearance.
[00:33:45.780 --> 00:33:48.140]   It can change the way you present yourself to people.
[00:33:48.140 --> 00:33:51.960]   It can change the way that people look at you and say, "Oh, that guy is so disciplined.
[00:33:51.960 --> 00:33:53.300]   That guy is so godly."
[00:33:53.300 --> 00:33:58.300]   But it doesn't do anything to change who you are, right?
[00:33:58.300 --> 00:33:59.620]   It has no power to change who you are.
[00:33:59.620 --> 00:34:03.020]   So is discipline wrong?
[00:34:03.020 --> 00:34:05.520]   Of course not.
[00:34:05.520 --> 00:34:10.620]   The Bible is filled with commandments to be disciplined, right?
[00:34:10.620 --> 00:34:14.420]   To run this race as to win, to buff up my body, make it my slave.
[00:34:14.420 --> 00:34:16.700]   That's possibly after I preach so that I may be disqualified.
[00:34:16.700 --> 00:34:18.860]   So the Bible tells us to be disciplined.
[00:34:18.860 --> 00:34:28.020]   But the problem with their teaching was the discipline was what led them to God, right?
[00:34:28.020 --> 00:34:29.020]   And that was their problem.
[00:34:29.020 --> 00:34:33.100]   That was the false teaching, that if you kept these commandments, kept these laws, that
[00:34:33.100 --> 00:34:36.740]   somehow they were gonna be righteous.
[00:34:36.740 --> 00:34:38.500]   And that's what he's preaching against.
[00:34:38.500 --> 00:34:42.460]   You have no power in and of yourself to do that, right?
[00:34:42.460 --> 00:34:46.780]   All of these things, they look like they have wisdom.
[00:34:46.780 --> 00:34:49.700]   It's coming from traditions of men.
[00:34:49.700 --> 00:34:53.580]   The self-made religion, right?
[00:34:53.580 --> 00:34:57.980]   If you think about it, in every religion, in every religion, the principle is pretty
[00:34:57.980 --> 00:34:59.640]   much the same.
[00:34:59.640 --> 00:35:01.940]   In every religion, right?
[00:35:01.940 --> 00:35:04.860]   If you're good, outweigh the bad.
[00:35:04.860 --> 00:35:06.900]   Good things are gonna happen to you.
[00:35:06.900 --> 00:35:09.380]   If you do good things, right?
[00:35:09.380 --> 00:35:11.060]   You're gonna be rewarded with good things.
[00:35:11.060 --> 00:35:15.860]   That's the fundamental teaching of every religion, right?
[00:35:15.860 --> 00:35:18.000]   What that good is, is different.
[00:35:18.000 --> 00:35:20.080]   And what that reward is, is gonna be different.
[00:35:20.080 --> 00:35:22.060]   But the principle's the same.
[00:35:22.060 --> 00:35:25.700]   You work hard, be a good person, and good things will happen to you.
[00:35:25.700 --> 00:35:28.220]   The gospel doesn't teach that.
[00:35:28.220 --> 00:35:30.660]   The gospel is exactly the opposite of that.
[00:35:30.660 --> 00:35:34.840]   You can be good all your life and stand condemned before God.
[00:35:34.840 --> 00:35:38.040]   Your good is not good enough, right?
[00:35:38.040 --> 00:35:39.040]   Because you can't change.
[00:35:39.040 --> 00:35:40.860]   Can a leper change his spot?
[00:35:40.860 --> 00:35:43.220]   Can a sinner change his ways?
[00:35:43.220 --> 00:35:44.900]   You can't.
[00:35:44.900 --> 00:35:50.300]   So the point of the gospel is that only Christ and what he has done, and when we receive
[00:35:50.300 --> 00:35:55.460]   it with faith, has the ability to transform us, right?
[00:35:55.460 --> 00:35:56.700]   He was in Christ.
[00:35:56.700 --> 00:35:57.700]   He's a new creation.
[00:35:57.700 --> 00:36:00.620]   The old has gone, behold, the new has come.
[00:36:00.620 --> 00:36:01.620]   You become new.
[00:36:01.620 --> 00:36:02.820]   That's why he says you have to be born again.
[00:36:02.820 --> 00:36:06.660]   He doesn't say, "Hey, Nicodemus, you're great.
[00:36:06.660 --> 00:36:10.860]   You're a student, but you need to be A plus."
[00:36:10.860 --> 00:36:12.940]   That's not what he says.
[00:36:12.940 --> 00:36:14.420]   You have to die and be born again.
[00:36:14.420 --> 00:36:16.660]   It's like, "How can a man be born again?
[00:36:16.660 --> 00:36:19.620]   Enter again to a mother's womb?"
[00:36:19.620 --> 00:36:21.340]   Yes.
[00:36:21.340 --> 00:36:22.340]   Spiritually.
[00:36:22.340 --> 00:36:26.540]   You need to be born again spiritually.
[00:36:26.540 --> 00:36:30.620]   But even then, spiritually, like, "Well, how are you born again spiritually?"
[00:36:30.620 --> 00:36:32.780]   Well, the spirit is like the wind.
[00:36:32.780 --> 00:36:34.820]   No one knows when it comes and when it goes, right?
[00:36:34.820 --> 00:36:35.820]   Wait a second.
[00:36:35.820 --> 00:36:41.540]   I have to be born again of the spirit, but I have no way of knowing when it's coming,
[00:36:41.540 --> 00:36:43.100]   where it's going.
[00:36:43.100 --> 00:36:44.580]   So how can a man be born again?
[00:36:44.580 --> 00:36:45.580]   You can't by your own effort.
[00:36:45.580 --> 00:36:48.780]   It is by God's choice, right?
[00:36:48.780 --> 00:36:50.700]   God will do it, right?
[00:36:50.700 --> 00:36:52.740]   That was the point that he was trying to make.
[00:36:52.740 --> 00:36:59.620]   And so all this self-work, again, one of the questions that I ask here for your discussion
[00:36:59.620 --> 00:37:08.980]   at the end, if you look at it, the third question, "If man-imposed discipline has no value against
[00:37:08.980 --> 00:37:14.780]   fleshly indulgence, what role does accountability and fellowship play in our sanctification?"
[00:37:14.780 --> 00:37:20.420]   So the mistake that we can make is, since all this, like, "Don't touch this," and "Don't
[00:37:20.420 --> 00:37:23.740]   do this," and all this is of the old covenant, right?
[00:37:23.740 --> 00:37:28.940]   These are elementary things, and the reality is found in Christ, then why do we need to
[00:37:28.940 --> 00:37:29.940]   be disciplined?
[00:37:29.940 --> 00:37:34.540]   Why do we have to go to church?
[00:37:34.540 --> 00:37:35.540]   Why do we have to give?
[00:37:35.540 --> 00:37:38.380]   Why do we have to do any of it?
[00:37:38.380 --> 00:37:44.180]   We just receive and forget about it, right?
[00:37:44.180 --> 00:37:49.100]   Is that what this passage teaches?
[00:37:49.100 --> 00:37:53.380]   Let me tell you, just so that you don't become a heretic.
[00:37:53.380 --> 00:37:56.500]   No, that's not what it's teaching, okay?
[00:37:56.500 --> 00:37:58.140]   So then what does it teach?
[00:37:58.140 --> 00:38:02.220]   So I gave a few verses, instead of me having a discussion with you, I gave a few verses
[00:38:02.220 --> 00:38:07.220]   for you guys to look at.
[00:38:07.220 --> 00:38:12.980]   How do we reconcile the imperatives in the New Testament with what he says here?
[00:38:12.980 --> 00:38:17.240]   All of that, like, this self, you know, doing this, I'm not going to do this, I'm going
[00:38:17.240 --> 00:38:18.240]   to do that.
[00:38:18.240 --> 00:38:25.740]   Like, if all of that is false humility, it doesn't have the ability to change, right,
[00:38:25.740 --> 00:38:30.820]   to change the flesh, then what part does the discipline play?
[00:38:30.820 --> 00:38:34.540]   All right.
[00:38:34.540 --> 00:38:38.180]   I'm taking a chance letting you discuss this.
[00:38:38.180 --> 00:38:42.980]   So we've already, so all the small group leaders have been given the discussion questions ahead
[00:38:42.980 --> 00:38:44.780]   of time, okay?
[00:38:44.780 --> 00:38:46.260]   But I'll just give you the final answer.
[00:38:46.260 --> 00:38:47.260]   No, it is not.
[00:38:47.260 --> 00:38:48.260]   All right.
[00:38:48.260 --> 00:38:50.340]   The imperatives are there for a reason.
[00:38:50.340 --> 00:38:51.420]   But what role does it play?
[00:38:51.420 --> 00:38:52.660]   How do you reconcile this?
[00:38:52.660 --> 00:38:53.660]   Okay?
[00:38:53.660 --> 00:39:00.300]   So let me pray for us and then you guys can get into your group.
[00:39:00.300 --> 00:39:04.200]   Heavenly Father, we pray for much wisdom.
[00:39:04.200 --> 00:39:08.980]   We pray, Father God, that in a time of discussion that you would lead us deeper into understanding
[00:39:08.980 --> 00:39:20.220]   who you are, especially Lord God, as difficult as it is for us to leave behind our own flesh,
[00:39:20.220 --> 00:39:26.860]   desiring to have glory, to become somebody, to become better than who we are now.
[00:39:26.860 --> 00:39:30.300]   We know, Lord God, that that's of the world.
[00:39:30.300 --> 00:39:37.300]   Help us to recognize what it means to be crucified with Christ, to really embrace, to live a
[00:39:37.300 --> 00:39:42.420]   life, Lord God, that is hidden in him and eagerly waiting to be glorified when he comes
[00:39:42.420 --> 00:39:44.220]   with his glory.
[00:39:44.220 --> 00:39:49.540]   Teach us what that means in a practical way, that it would not simply be theory, but the
[00:39:49.540 --> 00:39:52.860]   evidence and the testimony of our lives.
[00:39:52.860 --> 00:39:55.100]   We pray for your guidance, Lord God, through our discussion.
[00:39:55.100 --> 00:39:56.100]   In Jesus' name we pray.
[00:39:56.100 --> 00:39:56.700]   Amen.

