
[00:00:00.000 --> 00:00:06.480]   - Hello everyone.
[00:16:52.080 --> 00:16:53.980]   We're in a spiritual battle
[00:16:53.980 --> 00:16:56.280]   and we need to be able to withstand all that
[00:16:56.280 --> 00:16:59.860]   because Satan, he's going to use every wind of doctrine,
[00:16:59.860 --> 00:17:03.200]   the trickery of men, deceitful scheming.
[00:17:03.200 --> 00:17:06.420]   People will entice you with both allurements and lies,
[00:17:06.420 --> 00:17:07.900]   just like they did Jesus.
[00:17:07.900 --> 00:17:10.280]   Why don't you say this?
[00:17:10.280 --> 00:17:12.660]   Just like they would do, are you hungry?
[00:17:13.660 --> 00:17:14.820]   Of course I'm hungry.
[00:17:14.820 --> 00:17:16.580]   I just fasted for work, right?
[00:17:16.580 --> 00:17:19.220]   Like, why don't you have this?
[00:17:19.220 --> 00:17:21.380]   You know, one of the things I was thinking about,
[00:17:21.380 --> 00:17:25.220]   Satan is going to push every underlying button.
[00:17:25.220 --> 00:17:27.660]   Did God really say that?
[00:17:27.660 --> 00:17:30.460]   Why don't you exercise your strength?
[00:17:30.460 --> 00:17:33.060]   Shouldn't you deserve a little better?
[00:17:33.060 --> 00:17:34.900]   Why don't you have more?
[00:17:34.900 --> 00:17:37.180]   Shouldn't you have more?
[00:17:37.180 --> 00:17:39.040]   You know what I was thinking the other day?
[00:17:39.040 --> 00:17:41.060]   As I was preparing for this, I was thinking,
[00:17:41.060 --> 00:17:44.020]   Satan told the son of God,
[00:17:44.020 --> 00:17:46.420]   bow and I'll give you all of this.
[00:17:46.420 --> 00:17:50.120]   To me, that's just kind of like hard to wrap my mind around.
[00:17:50.120 --> 00:17:54.060]   Like Satan knew this potentially could be the Messiah,
[00:17:54.060 --> 00:17:56.900]   but decided to attack him and say,
[00:17:56.900 --> 00:18:00.940]   let me give you all of this, right?
[00:18:00.940 --> 00:18:03.520]   And then you started thinking like, how would I,
[00:18:03.520 --> 00:18:07.560]   how would our modern 2020 young man react to all that?
[00:18:08.820 --> 00:18:12.940]   Perhaps Satan saw me, caught me staring at
[00:18:12.940 --> 00:18:15.900]   the stuff that I want so badly.
[00:18:15.900 --> 00:18:18.360]   How many people window shop through their phones
[00:18:18.360 --> 00:18:20.180]   all day long?
[00:18:20.180 --> 00:18:21.340]   Some days I'm sitting there,
[00:18:21.340 --> 00:18:23.780]   I'm not even really interested in actually buying it,
[00:18:23.780 --> 00:18:25.980]   but I'm just like window shopping.
[00:18:25.980 --> 00:18:28.780]   Maybe some of you are like, aha, this is great.
[00:18:28.780 --> 00:18:31.300]   'Cause I've been already collecting some of that.
[00:18:31.300 --> 00:18:32.780]   I've got a little collection of my own,
[00:18:32.780 --> 00:18:36.020]   but it'd be great if I could have a big collection.
[00:18:36.020 --> 00:18:37.700]   I wonder, we are in a generation
[00:18:37.700 --> 00:18:40.420]   where people love collection of this, collection of that.
[00:18:40.420 --> 00:18:43.380]   Look at this, I've got a showcase.
[00:18:43.380 --> 00:18:46.260]   What do you, if in your heart, you're starting to think,
[00:18:46.260 --> 00:18:49.600]   I need a bigger barn for my collection, right?
[00:18:49.600 --> 00:18:52.820]   That's not me being extra harsh again,
[00:18:52.820 --> 00:18:55.340]   'cause I feel the rebuke here.
[00:18:55.340 --> 00:18:57.720]   That's our Lord saying there was a man who was a fool
[00:18:57.720 --> 00:19:00.260]   'cause he did not know what day or time
[00:19:00.260 --> 00:19:02.060]   his life would be a part of him.
[00:19:02.060 --> 00:19:04.140]   But he sat there building up his barn saying,
[00:19:04.140 --> 00:19:05.900]   I need a bigger barn and then a bigger barn
[00:19:05.900 --> 00:19:06.740]   and then a bigger barn.
[00:19:06.740 --> 00:19:09.060]   Do not fall to that kind of temptation.
[00:19:09.060 --> 00:19:11.260]   We are all susceptible.
[00:19:11.260 --> 00:19:13.340]   The temptation and the schemes of the devil
[00:19:13.340 --> 00:19:15.380]   are so deceptive.
[00:19:15.380 --> 00:19:19.800]   And some of us may initially be like, that looks great.
[00:19:19.800 --> 00:19:23.620]   But remember, we have to exercise our strength,
[00:19:23.620 --> 00:19:25.780]   the mental battle, the spiritual battle,
[00:19:25.780 --> 00:19:28.140]   the heart battle, right?
[00:19:28.140 --> 00:19:31.060]   It's not just all out there, it's right in here.
[00:19:31.060 --> 00:19:32.340]   And he says that.
[00:19:32.340 --> 00:19:35.660]   The struggle is not against flesh and blood.
[00:19:35.660 --> 00:19:37.100]   It's not that guy.
[00:19:37.100 --> 00:19:38.460]   It's not that girl.
[00:19:38.460 --> 00:19:40.580]   It's not that person out there, right?
[00:19:40.580 --> 00:19:43.740]   The struggle is not just simply physical.
[00:19:43.740 --> 00:19:45.780]   It's not just simply material.
[00:19:45.780 --> 00:19:48.140]   As though all you need to do is just,
[00:19:48.140 --> 00:19:48.980]   I don't know what I'm gonna do,
[00:19:48.980 --> 00:19:50.580]   I'm just gonna get rid of this thing.
[00:19:50.580 --> 00:19:52.420]   As though that's gonna solve it, right?
[00:19:52.420 --> 00:19:55.380]   You know what I'm gonna do is I'm just gonna add this piece
[00:19:55.380 --> 00:19:56.540]   to my life.
[00:19:56.540 --> 00:19:58.980]   He says, we are fighting against, and check this out,
[00:19:58.980 --> 00:20:03.660]   the observation we make is there are rulers and powers
[00:20:03.660 --> 00:20:06.340]   and world forces of darkness,
[00:20:06.340 --> 00:20:10.260]   spiritual forces of wickedness in the heavenlies,
[00:20:10.260 --> 00:20:11.940]   in the heavenly places.
[00:20:11.940 --> 00:20:14.300]   Do you believe that?
[00:20:14.300 --> 00:20:19.420]   To me, there was like this phase I went through, you know,
[00:20:19.420 --> 00:20:24.060]   where I was like, man, like this charismatic stuff
[00:20:24.060 --> 00:20:25.460]   where everybody's like, that's a demon
[00:20:25.460 --> 00:20:26.940]   and that's a demon and that's a demon.
[00:20:26.940 --> 00:20:28.800]   Like, I was really turned off by that
[00:20:28.800 --> 00:20:32.020]   because my parents went to a really charismatic church.
[00:20:32.020 --> 00:20:33.060]   And then when I got saved,
[00:20:33.060 --> 00:20:34.820]   I was at a very charismatic church.
[00:20:34.820 --> 00:20:37.100]   So we saw a lot of this like, oh my gosh,
[00:20:37.100 --> 00:20:38.780]   everybody got together and let's cast this out,
[00:20:38.780 --> 00:20:39.740]   like that kind of stuff.
[00:20:39.740 --> 00:20:41.700]   That was my early, early first and second year
[00:20:41.700 --> 00:20:42.740]   of being a Christian.
[00:20:42.740 --> 00:20:46.540]   And then so there was a part of me that hated it.
[00:20:46.540 --> 00:20:48.740]   And then you start reading scripture
[00:20:48.740 --> 00:20:52.420]   and you realize like, there are demons, you know?
[00:20:52.420 --> 00:20:55.380]   The scripture tells you like,
[00:20:55.380 --> 00:20:58.340]   there's so much more than meets the eye.
[00:20:58.340 --> 00:20:59.860]   And then I remember this one season
[00:20:59.860 --> 00:21:01.460]   when my wife was a teacher,
[00:21:01.460 --> 00:21:04.540]   she recognized that even amongst some of the students
[00:21:04.540 --> 00:21:08.420]   in high school, there are dark forces at play.
[00:21:08.420 --> 00:21:12.840]   Suppressive, I mean, if you want to talk about oppression,
[00:21:12.840 --> 00:21:16.300]   right now there's so much talk about oppression.
[00:21:16.300 --> 00:21:20.820]   There are dark forces, even amongst the youth.
[00:21:20.820 --> 00:21:22.540]   I think this past Sunday,
[00:21:22.540 --> 00:21:25.140]   I described this horrible scenario
[00:21:25.140 --> 00:21:28.060]   where the number three killer of all children,
[00:21:28.060 --> 00:21:30.220]   18 and down is suicide.
[00:21:30.220 --> 00:21:34.420]   There is a dark oppressive force that is lying,
[00:21:34.420 --> 00:21:36.340]   saying just die and kill yourself.
[00:21:36.340 --> 00:21:38.220]   You have no other option.
[00:21:38.220 --> 00:21:40.940]   There's blinding the eyes to Christ,
[00:21:40.940 --> 00:21:42.860]   blinding the eyes to the hope,
[00:21:42.860 --> 00:21:44.780]   blinding eyes to the love of God
[00:21:44.780 --> 00:21:46.540]   and saying there's nothing for you.
[00:21:46.540 --> 00:21:48.500]   That's oppression.
[00:21:48.500 --> 00:21:51.060]   It's a dark force.
[00:21:51.060 --> 00:21:52.500]   And then I remember a long time ago
[00:21:52.500 --> 00:21:54.220]   when my wife was telling me that actually
[00:21:54.220 --> 00:21:57.460]   there was a student who was engaged in satanic worship
[00:21:57.460 --> 00:21:59.140]   and I didn't know what to think about it.
[00:21:59.140 --> 00:22:00.380]   So I went to Pastor Peter and I was like,
[00:22:00.380 --> 00:22:03.500]   Pastor Peter, my wife was talking about the student
[00:22:03.500 --> 00:22:05.420]   who had demonic experiences.
[00:22:05.420 --> 00:22:07.780]   And Pastor Peter's like, oh, let me tell you the stories.
[00:22:07.780 --> 00:22:08.620]   And I was like, what?
[00:22:08.620 --> 00:22:10.740]   I was hoping, I was looking for encouragement
[00:22:10.740 --> 00:22:13.100]   that it wasn't existing or something like that, right?
[00:22:13.100 --> 00:22:15.380]   I was hoping you'd say it didn't exist.
[00:22:15.380 --> 00:22:17.500]   And he's like, let me tell you the stories.
[00:22:17.500 --> 00:22:21.500]   The reason why I say that is because I do realize like,
[00:22:21.500 --> 00:22:23.900]   yeah, you can just turn your eye blindly
[00:22:23.900 --> 00:22:26.580]   to just think physically,
[00:22:26.580 --> 00:22:28.820]   but there are things happening
[00:22:28.820 --> 00:22:31.420]   that are far beyond just the physical.
[00:22:31.420 --> 00:22:34.460]   And wow, we need to be praying then, shouldn't we?
[00:22:34.460 --> 00:22:37.780]   And what's more, are you able to tell the differences
[00:22:37.780 --> 00:22:40.240]   between the voice of God and the voice of Satan?
[00:22:40.240 --> 00:22:44.340]   Remember, the voice of Satan is going to sound beautiful.
[00:22:44.340 --> 00:22:47.260]   Remember the image of Satan in the Bible
[00:22:47.260 --> 00:22:49.660]   is not like the things and the horns.
[00:22:49.660 --> 00:22:52.060]   You guys have heard this many times, right?
[00:22:52.060 --> 00:22:57.060]   The image of Satan is like humanly and physically glorious,
[00:22:57.060 --> 00:23:01.980]   like attractive, like beautiful to behold,
[00:23:01.980 --> 00:23:04.860]   like very, very alluring, right?
[00:23:04.860 --> 00:23:07.280]   And you think about that and there are so many things.
[00:23:07.280 --> 00:23:09.020]   Now, just to be funny,
[00:23:09.020 --> 00:23:12.720]   'cause I just took this moment to jot down some things
[00:23:12.720 --> 00:23:15.660]   because I'm asking you this question right now, okay?
[00:23:15.660 --> 00:23:17.620]   What are the mantras?
[00:23:17.620 --> 00:23:19.680]   What are the voices of this world
[00:23:19.680 --> 00:23:23.620]   that are purely more demonic, earthly fleshly?
[00:23:23.620 --> 00:23:26.460]   And again, there's so many things attacking us, okay?
[00:23:26.460 --> 00:23:29.020]   As opposed to things that are godly.
[00:23:29.020 --> 00:23:31.220]   You know what I hear a lot these days, mantras wise?
[00:23:31.220 --> 00:23:32.980]   Again, I heard some of you guys say it.
[00:23:32.980 --> 00:23:34.100]   I'm not trying to pick on you.
[00:23:34.100 --> 00:23:36.040]   It's okay, I know what you mean.
[00:23:36.040 --> 00:23:40.260]   But in terms of the world, they say stuff like this.
[00:23:40.260 --> 00:23:42.960]   You know, you gotta do what makes you happy.
[00:23:42.960 --> 00:23:46.100]   No, you don't gotta.
[00:23:46.100 --> 00:23:47.460]   Who said you gotta?
[00:23:47.460 --> 00:23:49.920]   You know, you gotta do you.
[00:23:49.920 --> 00:23:52.000]   You be you, right?
[00:23:52.000 --> 00:23:53.960]   Is that what the scripture says?
[00:23:53.960 --> 00:23:55.840]   No, no, that's satanic.
[00:23:55.840 --> 00:23:58.900]   Jesus says you gotta deny yourself.
[00:23:58.900 --> 00:24:01.460]   You got to kill that old man
[00:24:01.460 --> 00:24:03.960]   and you've gotta do what is pleasing to the Father
[00:24:03.960 --> 00:24:05.660]   and become more like Christ.
[00:24:05.660 --> 00:24:06.840]   Here's another one.
[00:24:06.840 --> 00:24:07.920]   Yolo, right?
[00:24:07.920 --> 00:24:10.260]   You only live once, which means to say,
[00:24:10.260 --> 00:24:13.420]   enjoy your small little time that you have
[00:24:13.420 --> 00:24:14.900]   because you're not gonna have any other time.
[00:24:14.900 --> 00:24:16.000]   It sounds pretty good.
[00:24:16.920 --> 00:24:18.540]   But satanic.
[00:24:18.540 --> 00:24:21.760]   Every man is both destined to live only once,
[00:24:21.760 --> 00:24:24.700]   but he's going to face judgment for eternity.
[00:24:24.700 --> 00:24:26.220]   Every life is eternal.
[00:24:26.220 --> 00:24:29.280]   Every life is eternal.
[00:24:29.280 --> 00:24:32.160]   This whole philosophy of the world.
[00:24:32.160 --> 00:24:34.160]   You know, I remember thinking this one time.
[00:24:34.160 --> 00:24:35.960]   I can't remember, but there was this moment
[00:24:35.960 --> 00:24:39.280]   when I was very tempted to compromise on,
[00:24:39.280 --> 00:24:41.320]   like I was at this event
[00:24:41.320 --> 00:24:43.240]   and then I wanted to get some freebies.
[00:24:43.240 --> 00:24:47.400]   And I remember like feeling really tempted to want freebies
[00:24:47.400 --> 00:24:50.240]   and then the part of me that just simply said,
[00:24:50.240 --> 00:24:52.080]   everyone's doing it.
[00:24:52.080 --> 00:24:53.400]   Okay.
[00:24:53.400 --> 00:24:56.440]   Do you realize everyone's doing it is pretty satanic too?
[00:24:56.440 --> 00:25:00.240]   I mean, and I think about that and I'm just like,
[00:25:00.240 --> 00:25:02.480]   Mark, you're so stupid, right?
[00:25:02.480 --> 00:25:06.080]   You're so easily duped by that little voice in your head
[00:25:06.080 --> 00:25:09.080]   that simply rationalizes your compromise
[00:25:09.080 --> 00:25:10.320]   and you just look around and say,
[00:25:10.320 --> 00:25:13.200]   but everybody's doing it.
[00:25:13.200 --> 00:25:16.000]   As if that was the barometer for the Christian.
[00:25:16.000 --> 00:25:19.880]   I'm just talking about again, all the different deceptive.
[00:25:19.880 --> 00:25:21.720]   It's just so easy.
[00:25:21.720 --> 00:25:25.800]   So I hope I challenged you enough to say,
[00:25:25.800 --> 00:25:29.760]   we have to be steady, alert, prepared.
[00:25:29.760 --> 00:25:32.560]   Therefore put on the full armor of God.
[00:25:32.560 --> 00:25:33.760]   Point four.
[00:25:33.760 --> 00:25:35.640]   Therefore take up the full armor of God
[00:25:35.640 --> 00:25:38.560]   so that you will be able to resist in the evil day.
[00:25:38.560 --> 00:25:40.960]   And having done everything to stand firm,
[00:25:40.960 --> 00:25:44.600]   stand firm therefore having girded your loins with truth
[00:25:44.600 --> 00:25:47.440]   and having put on the breastplate of righteousness
[00:25:47.440 --> 00:25:49.440]   and having shod your feet with the preparation
[00:25:49.440 --> 00:25:51.520]   of the gospel of peace.
[00:25:51.520 --> 00:25:52.360]   Okay.
[00:25:52.360 --> 00:25:54.400]   So the command again is to repeat,
[00:25:54.400 --> 00:25:56.400]   you need to put on the armor of God.
[00:25:56.400 --> 00:25:57.240]   Okay.
[00:25:57.240 --> 00:26:00.280]   Now what it did not say is you need to go kill Satan
[00:26:00.280 --> 00:26:02.000]   because that's Jesus's work.
[00:26:02.000 --> 00:26:03.720]   And I want to remind you again,
[00:26:03.720 --> 00:26:05.720]   there is this tension in the scriptures.
[00:26:05.720 --> 00:26:07.280]   It's like, get ready.
[00:26:07.280 --> 00:26:09.200]   You need to be prepared.
[00:26:09.200 --> 00:26:10.320]   Be sober.
[00:26:10.320 --> 00:26:11.720]   Come on, stay awake.
[00:26:11.720 --> 00:26:12.560]   Right.
[00:26:12.560 --> 00:26:15.800]   But then the other part of it is like victory is yours.
[00:26:15.800 --> 00:26:17.240]   I just want to remind you of that.
[00:26:17.240 --> 00:26:19.920]   It did not say go and kill Satan.
[00:26:19.920 --> 00:26:23.920]   It says the victory is yours in Christ.
[00:26:23.920 --> 00:26:26.240]   You need to abide in him.
[00:26:26.240 --> 00:26:27.080]   Okay.
[00:26:27.080 --> 00:26:29.520]   Now in thinking about that,
[00:26:29.520 --> 00:26:33.160]   he gives you the armor of God starter pack.
[00:26:33.160 --> 00:26:35.000]   There's three pieces at the very beginning.
[00:26:35.000 --> 00:26:36.640]   And then it says, and then also,
[00:26:36.640 --> 00:26:39.320]   and then it continues to more specific pieces.
[00:26:39.320 --> 00:26:41.760]   The three pieces are, gird your loins.
[00:26:41.760 --> 00:26:42.600]   Okay.
[00:26:42.600 --> 00:26:44.040]   You've got people have the tunic thingy.
[00:26:44.040 --> 00:26:46.320]   People have that long piece of cloth.
[00:26:46.320 --> 00:26:48.800]   You got to be ready and you got to make sure everything
[00:26:48.800 --> 00:26:51.320]   is tied in with the truth.
[00:26:51.320 --> 00:26:52.960]   You've got no straggling pieces.
[00:26:52.960 --> 00:26:55.280]   The other day, I've got a big bruise right here
[00:26:55.280 --> 00:26:56.880]   because I had my earphones on.
[00:26:56.880 --> 00:26:59.080]   And then I had this like little rotary tool
[00:26:59.080 --> 00:27:00.200]   and it caught the earphone.
[00:27:00.200 --> 00:27:02.560]   I don't know why I didn't use a wireless one.
[00:27:02.560 --> 00:27:03.560]   Big mistake.
[00:27:03.560 --> 00:27:06.040]   The cable came out, swung out from my phone,
[00:27:06.040 --> 00:27:07.800]   slapped me in the hand, ripped my skin.
[00:27:07.800 --> 00:27:09.040]   I have a fat bruise right here.
[00:27:09.040 --> 00:27:09.880]   Okay.
[00:27:09.880 --> 00:27:11.840]   That's why you don't let stuff hang loose.
[00:27:11.840 --> 00:27:13.120]   Okay.
[00:27:13.120 --> 00:27:14.440]   It's a great picture.
[00:27:14.440 --> 00:27:18.520]   Let the truth create those parameters for you.
[00:27:18.520 --> 00:27:23.520]   Truth by nature excludes falsehood and folly and foolishness.
[00:27:23.520 --> 00:27:26.040]   The more that you look at truth,
[00:27:26.040 --> 00:27:30.080]   the more the narrow your path will be straight to the Lord.
[00:27:30.080 --> 00:27:30.920]   Okay.
[00:27:30.920 --> 00:27:31.760]   What's more?
[00:27:31.760 --> 00:27:34.400]   Having put on the breastplate of righteousness.
[00:27:34.400 --> 00:27:37.600]   Remember the prayer that we read in Philippians chapter one?
[00:27:37.600 --> 00:27:39.040]   Great, great prayer.
[00:27:39.040 --> 00:27:41.960]   Talking about your sincerity and your blamelessness.
[00:27:41.960 --> 00:27:44.280]   And as you walk with discernment,
[00:27:44.280 --> 00:27:47.360]   you're going to be filled with the righteousness.
[00:27:47.360 --> 00:27:48.760]   What's more?
[00:27:48.760 --> 00:27:50.880]   Having shod your feet with the preparation
[00:27:50.880 --> 00:27:52.640]   of the gospel of peace.
[00:27:52.640 --> 00:27:53.640]   Okay.
[00:27:53.640 --> 00:27:54.480]   Wow.
[00:27:54.480 --> 00:27:55.720]   Think about this.
[00:27:55.720 --> 00:27:58.240]   You know, when you think about the gospel,
[00:27:58.240 --> 00:28:03.240]   our atonement, reconciliation,
[00:28:03.240 --> 00:28:07.360]   our adoption, our redemption, our sanct...
[00:28:07.360 --> 00:28:09.760]   You know, like all of these are justification.
[00:28:09.760 --> 00:28:11.440]   All of these terms, you realize,
[00:28:11.440 --> 00:28:14.840]   like we could actually prepare and prepare and prepare
[00:28:14.840 --> 00:28:17.720]   and think and think and think to appreciate,
[00:28:17.720 --> 00:28:22.040]   but also hold fast to that truth in even greater ways.
[00:28:22.040 --> 00:28:23.180]   Right?
[00:28:23.180 --> 00:28:26.360]   And my challenge to every single one of us is remember
[00:28:26.360 --> 00:28:30.800]   that the gospel is so simple and yet so profoundly deep.
[00:28:30.800 --> 00:28:31.800]   Yes?
[00:28:31.800 --> 00:28:34.880]   And you could take, if the gospel, I'm trying to imagine it.
[00:28:34.880 --> 00:28:37.320]   I mean, you could take the bird's eye perspective
[00:28:37.320 --> 00:28:39.400]   and just be wowed by like,
[00:28:39.400 --> 00:28:42.080]   the gospel was prepared from ages ago.
[00:28:42.080 --> 00:28:42.920]   Right?
[00:28:42.920 --> 00:28:43.760]   And it's going to come to fruit.
[00:28:43.760 --> 00:28:45.560]   You can take the gospel and the specificity.
[00:28:45.560 --> 00:28:48.200]   It's like, look what the sacrifice he had to do.
[00:28:48.200 --> 00:28:49.600]   And you could take the angle of looking up.
[00:28:49.600 --> 00:28:51.520]   It's like, look at the perspective of the father.
[00:28:51.520 --> 00:28:52.360]   You could look down.
[00:28:52.360 --> 00:28:54.440]   You're like, oh my gosh, look how deep we were.
[00:28:54.440 --> 00:28:55.280]   Right?
[00:28:55.280 --> 00:28:56.880]   Like you could look at the gospel
[00:28:56.880 --> 00:29:00.480]   in so many different angles and perspectives.
[00:29:00.480 --> 00:29:02.640]   And then you just realize, wow,
[00:29:02.640 --> 00:29:07.640]   how profoundly majestic is the mind of God and his love.
[00:29:07.640 --> 00:29:10.720]   And my question is like, have you,
[00:29:10.720 --> 00:29:13.600]   and the question here is like, are you prepared with that?
[00:29:13.600 --> 00:29:14.520]   Are you prepared with that?
[00:29:14.520 --> 00:29:17.880]   Now I'm not going to go at length about every single piece
[00:29:17.880 --> 00:29:20.040]   because that's something for you to just think through.
[00:29:20.040 --> 00:29:22.920]   Am I being saturated with truth?
[00:29:22.920 --> 00:29:25.580]   Am I continuing to grow in acts of righteousness
[00:29:25.580 --> 00:29:26.660]   and discernment?
[00:29:26.660 --> 00:29:27.500]   That kind of thing.
[00:29:27.500 --> 00:29:30.300]   But one thing I do want to tell you is that notice
[00:29:30.300 --> 00:29:33.780]   the text is capitalized, which means in your Bible,
[00:29:33.780 --> 00:29:35.580]   this is a quotation from the old Testament.
[00:29:35.580 --> 00:29:38.580]   This comes from Isaiah chapter five.
[00:29:38.580 --> 00:29:39.420]   No, no.
[00:29:39.420 --> 00:29:41.640]   I'm going to my notes here.
[00:29:41.640 --> 00:29:44.620]   Oh no, I didn't put it in my notes.
[00:29:44.620 --> 00:29:49.420]   I want to say, okay, it's from the book of Isaiah.
[00:29:49.420 --> 00:29:50.740]   I apologize about that.
[00:29:50.740 --> 00:29:53.980]   I want to say it's Isaiah 11 verse five.
[00:29:53.980 --> 00:29:54.820]   Okay.
[00:29:54.820 --> 00:29:57.740]   But what it's talking about, if I remember correctly,
[00:29:57.740 --> 00:30:00.460]   is I wish I put it in my notes.
[00:30:00.460 --> 00:30:04.900]   What it's talking about is the nature of the root of Jesse
[00:30:04.900 --> 00:30:07.900]   and the branch, the righteous one who is to come.
[00:30:07.900 --> 00:30:08.860]   Okay.
[00:30:08.860 --> 00:30:10.220]   That passage was beautiful.
[00:30:10.220 --> 00:30:12.180]   So I was just like reflecting on it.
[00:30:12.180 --> 00:30:14.420]   It's talking about the Lord.
[00:30:14.420 --> 00:30:19.420]   This picture of strength is talking about our Lord.
[00:30:19.420 --> 00:30:24.540]   And remember the challenge is be strong in the Lord.
[00:30:24.540 --> 00:30:27.380]   You do realize our Lord is the Lord of truth.
[00:30:27.380 --> 00:30:28.620]   He is the truth.
[00:30:28.620 --> 00:30:30.660]   He's the embodiment of the truth.
[00:30:30.660 --> 00:30:33.860]   He is the King of righteousness.
[00:30:33.860 --> 00:30:35.260]   He is the Prince of Peace.
[00:30:35.260 --> 00:30:36.580]   I mean, think about all this.
[00:30:36.580 --> 00:30:39.380]   You need to be strong in the Lord.
[00:30:39.380 --> 00:30:43.340]   And I think to me, it's always been such a incredible
[00:30:43.340 --> 00:30:45.860]   like source of not like, you got to do this.
[00:30:45.860 --> 00:30:47.980]   Like he's not a drill sergeant that doing this.
[00:30:47.980 --> 00:30:50.580]   To me, it has always been such an incredible source
[00:30:50.580 --> 00:30:52.620]   of benefit and blessing to us
[00:30:52.620 --> 00:30:57.340]   when God wants us to be like his glorious son, Jesus Christ.
[00:30:57.340 --> 00:31:01.100]   There is such an incredible love of the father
[00:31:01.100 --> 00:31:03.580]   when he wants to build you up and change you
[00:31:03.580 --> 00:31:06.740]   and transform you into that image
[00:31:06.740 --> 00:31:10.420]   of the perfections of Christ, including his strength.
[00:31:10.420 --> 00:31:14.100]   That's to me always astounding.
[00:31:14.100 --> 00:31:15.620]   It's awesome.
[00:31:15.620 --> 00:31:18.380]   I hope that even all the more than motivates you.
[00:31:18.380 --> 00:31:19.860]   And by way of conclusion,
[00:31:21.140 --> 00:31:25.580]   I really, really appreciate Paul's exhortation.
[00:31:25.580 --> 00:31:28.140]   That is kind of embedded into his statements here.
[00:31:28.140 --> 00:31:30.100]   That's saying, take up the full armor.
[00:31:30.100 --> 00:31:30.940]   Repeat it again.
[00:31:30.940 --> 00:31:32.300]   Take up the full armor.
[00:31:32.300 --> 00:31:33.140]   Why?
[00:31:33.140 --> 00:31:34.180]   Because you need to be able to stand.
[00:31:34.180 --> 00:31:35.220]   You need to be able to stand.
[00:31:35.220 --> 00:31:39.260]   And then he says, having done everything to stand firm.
[00:31:39.260 --> 00:31:41.180]   And if you notice, I kept reading it funny.
[00:31:41.180 --> 00:31:44.860]   Like it was supposed to be like this, like run on sentence.
[00:31:44.860 --> 00:31:47.180]   Like the thought just flows.
[00:31:47.180 --> 00:31:49.660]   And my point here is going to be,
[00:31:49.660 --> 00:31:53.420]   there has to be this mentality where Apostle Paul is saying,
[00:31:53.420 --> 00:31:56.220]   you're supposed to have done all of it.
[00:31:56.220 --> 00:32:00.300]   And that in and of itself is an incredible challenge
[00:32:00.300 --> 00:32:03.700]   because I think a lot of us, there is always,
[00:32:03.700 --> 00:32:05.980]   I don't know if it's a laziness, a comfort thing.
[00:32:05.980 --> 00:32:08.620]   I don't know if it's us seeking shortcuts,
[00:32:08.620 --> 00:32:10.140]   wanting it to happen immediately.
[00:32:10.140 --> 00:32:12.420]   'Cause we are definitely an immediate generation
[00:32:12.420 --> 00:32:14.500]   where it has to be microwavable.
[00:32:14.500 --> 00:32:18.500]   The idea here is, do you have the,
[00:32:18.500 --> 00:32:20.860]   I want to do everything mentality.
[00:32:20.860 --> 00:32:24.260]   And you realize, again,
[00:32:24.260 --> 00:32:27.340]   using the metaphor of the home defense,
[00:32:27.340 --> 00:32:30.300]   you realize it's not enough for you to have,
[00:32:30.300 --> 00:32:32.700]   let's say you're getting something even more than that.
[00:32:32.700 --> 00:32:34.460]   Like I'm going to go to machete.
[00:32:34.460 --> 00:32:36.980]   Do you know where you're going to carry it?
[00:32:36.980 --> 00:32:38.860]   You're going to carry that on your body?
[00:32:38.860 --> 00:32:40.620]   Do you have a sheet?
[00:32:40.620 --> 00:32:42.780]   Do you know how to actually use it?
[00:32:42.780 --> 00:32:44.540]   It's like, I'm just going to jab.
[00:32:44.540 --> 00:32:46.060]   What are you going to do with it?
[00:32:46.060 --> 00:32:47.540]   Did you have practice?
[00:32:47.540 --> 00:32:49.860]   Do you even know what kind to get?
[00:32:49.860 --> 00:32:52.060]   Do you know like what, like, you know,
[00:32:52.060 --> 00:32:53.860]   if that's going to endanger your own kids,
[00:32:53.860 --> 00:32:55.300]   like if you're going to be,
[00:32:55.300 --> 00:32:58.220]   you yourself are going to be the greater threat
[00:32:58.220 --> 00:32:59.060]   to your own children,
[00:32:59.060 --> 00:33:01.140]   if you're just wielding something that dangerous.
[00:33:01.140 --> 00:33:02.220]   I mean, think about this.
[00:33:02.220 --> 00:33:05.580]   Once you get into the fight, you need all of it.
[00:33:05.580 --> 00:33:09.740]   And that's the exhortation I want to conclude with.
[00:33:09.740 --> 00:33:11.140]   Why?
[00:33:11.140 --> 00:33:15.940]   Because one of the things that I was meditating upon
[00:33:15.940 --> 00:33:18.300]   about myself, you know,
[00:33:18.300 --> 00:33:20.340]   there are so many things I want to do.
[00:33:20.340 --> 00:33:21.980]   And again, there's a balance.
[00:33:21.980 --> 00:33:23.900]   Sometimes you could be super hard on yourself,
[00:33:23.900 --> 00:33:26.660]   but it's a point of conviction for me.
[00:33:26.660 --> 00:33:29.940]   I think that I have caught myself saying this many times
[00:33:29.940 --> 00:33:31.380]   when I know there are so many things
[00:33:31.380 --> 00:33:34.020]   that I should be doing, which is,
[00:33:34.020 --> 00:33:39.480]   I was thinking about it, right?
[00:33:39.480 --> 00:33:41.260]   Yeah, yeah, yeah.
[00:33:41.260 --> 00:33:42.100]   That sounds good.
