
[00:00:00.000 --> 00:00:04.000]   I first believed
[00:29:56.000 --> 00:29:59.000]   and his family, Harry and Linda, they're being supported
[00:29:59.000 --> 00:30:02.000]   by the IMB, and so we're gonna be using that
[00:30:02.000 --> 00:30:05.000]   to, again, give the offering to the IMB,
[00:30:05.000 --> 00:30:07.000]   and they'll use that to support the missionaries.
[00:30:07.000 --> 00:30:09.000]   So that's going on next Sunday, so please be
[00:30:09.000 --> 00:30:11.000]   prayerful, mindful, we'll post that up on our Facebook
[00:30:11.000 --> 00:30:13.000]   and website, just to remind you next Sunday
[00:30:13.000 --> 00:30:15.000]   that we'll be collecting for that, okay?
[00:30:15.000 --> 00:30:17.000]   Okay, if you can turn your Bibles with me
[00:30:17.000 --> 00:30:19.000]   to Hebrews chapter 11, we're gonna be reading
[00:30:19.000 --> 00:30:22.000]   from verse 17 to 19.
[00:30:22.000 --> 00:30:29.000]   Hebrews chapter 11, verse 17 to 19.
[00:30:29.000 --> 00:30:32.000]   Okay, reading out of the NASB.
[00:30:32.000 --> 00:30:34.000]   "By faith, Abraham, when he was tested,
[00:30:34.000 --> 00:30:36.000]   offered up Isaac, and he who had received
[00:30:36.000 --> 00:30:39.000]   the promises, was offering up his only begotten son.
[00:30:39.000 --> 00:30:42.000]   It was he to whom it was said, 'In Isaac,
[00:30:42.000 --> 00:30:44.000]   your descendants shall be called.'
[00:30:44.000 --> 00:30:48.000]   He considered that God is able to raise people
[00:30:48.000 --> 00:30:50.000]   from the dead, from which he also received him
[00:30:50.000 --> 00:30:52.000]   back as a type."
[00:30:52.000 --> 00:30:53.000]   Let's pray.
[00:30:53.000 --> 00:30:55.000]   Heavenly Father, we pray that you would anoint
[00:30:55.000 --> 00:30:58.000]   this time, and may your word be lifted up,
[00:30:58.000 --> 00:31:00.000]   Lord God, that your voice and only your voice
[00:31:00.000 --> 00:31:02.000]   may be heard.
[00:31:02.000 --> 00:31:04.000]   Help us, Lord, not only to be hearers,
[00:31:04.000 --> 00:31:06.000]   but not to turn from it to the left or to the right,
[00:31:06.000 --> 00:31:08.000]   that we may be anchored in Christ,
[00:31:08.000 --> 00:31:10.000]   especially now with all that's going on.
[00:31:10.000 --> 00:31:12.000]   So we pray that you would bless this time,
[00:31:12.000 --> 00:31:14.000]   in Jesus' name we pray, amen.
[00:31:16.000 --> 00:31:18.000]   You know, because of what's been going on
[00:31:18.000 --> 00:31:20.000]   around us with the pandemic,
[00:31:20.000 --> 00:31:22.000]   there's been a lot of question about what is
[00:31:22.000 --> 00:31:24.000]   essential and non-essential.
[00:31:24.000 --> 00:31:27.000]   And so I think everybody, to a certain degree,
[00:31:27.000 --> 00:31:29.000]   and for sure as leaders, we've been having
[00:31:29.000 --> 00:31:31.000]   constant conversations as what is essential,
[00:31:31.000 --> 00:31:34.000]   what is not essential, and obviously the gathering
[00:31:34.000 --> 00:31:36.000]   of the believers on Sunday is not something
[00:31:36.000 --> 00:31:38.000]   that we are willing to compromise.
[00:31:38.000 --> 00:31:40.000]   You know, we want to do our best to keep,
[00:31:40.000 --> 00:31:43.000]   you know, to keep the church safe.
[00:31:43.000 --> 00:31:44.000]   We want to submit to the authorities,
[00:31:44.000 --> 00:31:46.000]   as the Bible says, but at the same time,
[00:31:46.000 --> 00:31:49.000]   we do not want to compromise our essentials.
[00:31:49.000 --> 00:31:51.000]   Now along with that, whether you are a leader
[00:31:51.000 --> 00:31:54.000]   in the church or not, every single family
[00:31:54.000 --> 00:31:57.000]   probably has been asking that question, right?
[00:31:57.000 --> 00:32:00.000]   I hear that the toilet paper is starting to disappear,
[00:32:00.000 --> 00:32:02.000]   you know, just like in the beginning of
[00:32:02.000 --> 00:32:04.000]   what was going on in March, people are going,
[00:32:04.000 --> 00:32:07.000]   "Just in case, we don't know what's going to happen."
[00:32:07.000 --> 00:32:09.000]   So people are stocking up again.
[00:32:09.000 --> 00:32:11.000]   So what are the things that are essential
[00:32:11.000 --> 00:32:13.000]   that you need to have, right?
[00:32:13.000 --> 00:32:15.000]   For whatever the reason, toilet paper,
[00:32:15.000 --> 00:32:18.000]   maybe water, some canned goods, right?
[00:32:18.000 --> 00:32:19.000]   What if the apocalypse happens?
[00:32:19.000 --> 00:32:20.000]   What happens?
[00:32:20.000 --> 00:32:23.000]   Are you going to, you know, do you have a car
[00:32:23.000 --> 00:32:24.000]   that you're going to be able to use?
[00:32:24.000 --> 00:32:27.000]   What are the essentials that you would gather?
[00:32:27.000 --> 00:32:29.000]   I remember years ago, you know,
[00:32:29.000 --> 00:32:31.000]   when the Northridge earthquake hit,
[00:32:31.000 --> 00:32:33.000]   I had a friend who was in college
[00:32:33.000 --> 00:32:36.000]   and this condemned, the building that he was in,
[00:32:36.000 --> 00:32:38.000]   he was a Northridge college student,
[00:32:38.000 --> 00:32:39.000]   and the building was shaking
[00:32:39.000 --> 00:32:42.000]   and it was actually condemned.
[00:32:42.000 --> 00:32:44.000]   But right after the shaking stopped,
[00:32:44.000 --> 00:32:48.000]   he ran out and to the dismay of his friends,
[00:32:48.000 --> 00:32:50.000]   he ran back in because he said
[00:32:50.000 --> 00:32:52.000]   he needed to go get his essential stuff
[00:32:52.000 --> 00:32:54.000]   and he went back in and grabbed his Bible
[00:32:54.000 --> 00:32:56.000]   and his MacArthur commentaries.
[00:32:56.000 --> 00:32:58.000]   And that's when we knew that this guy
[00:32:58.000 --> 00:33:00.000]   was a MacArthur freak, you know?
[00:33:00.000 --> 00:33:02.000]   He literally risked his life to go back
[00:33:02.000 --> 00:33:04.000]   and get his commentaries.
[00:33:04.000 --> 00:33:06.000]   And then, sure enough, a day later,
[00:33:06.000 --> 00:33:09.000]   the whole building just collapsed, you know?
[00:33:09.000 --> 00:33:11.000]   So he literally, like, we know what was in his heart.
[00:33:11.000 --> 00:33:15.000]   He wanted his Bible and his commentaries.
[00:33:15.000 --> 00:33:17.000]   But for every single Christian,
[00:33:17.000 --> 00:33:19.000]   what is essential?
[00:33:19.000 --> 00:33:20.000]   What are some things,
[00:33:20.000 --> 00:33:22.000]   obviously there's some physical things that you'll get.
[00:33:22.000 --> 00:33:23.000]   If you have small children,
[00:33:23.000 --> 00:33:24.000]   obviously that's the first thing
[00:33:24.000 --> 00:33:25.000]   that you'll run in and get.
[00:33:25.000 --> 00:33:27.000]   But aside from the physical things,
[00:33:27.000 --> 00:33:30.000]   what is absolutely essential?
[00:33:30.000 --> 00:33:32.000]   The answer is pretty clear.
[00:33:32.000 --> 00:33:36.000]   Our faith is absolutely essential.
[00:33:36.000 --> 00:33:39.000]   And that's why, again, that we're gathering together
[00:33:39.000 --> 00:33:41.000]   despite what's going on,
[00:33:41.000 --> 00:33:43.000]   because worship of our God and our faith
[00:33:43.000 --> 00:33:44.000]   is absolutely essential.
[00:33:44.000 --> 00:33:48.000]   Faith is what connects us to this eternal life,
[00:33:48.000 --> 00:33:51.000]   the father of, the author of life.
[00:33:51.000 --> 00:33:53.000]   Without faith, it says,
[00:33:53.000 --> 00:33:54.000]   at the beginning of this chapter,
[00:33:54.000 --> 00:33:56.000]   it is impossible to please him.
[00:33:56.000 --> 00:33:57.000]   And when he says that,
[00:33:57.000 --> 00:33:59.000]   he's not simply talking about, you know,
[00:33:59.000 --> 00:34:01.000]   God being pleased or displeased.
[00:34:01.000 --> 00:34:04.000]   Without faith, there is no relationship with God.
[00:34:04.000 --> 00:34:07.000]   So one of the most crucial, essential things
[00:34:07.000 --> 00:34:10.000]   that we need to make sure that is genuine
[00:34:10.000 --> 00:34:12.000]   is our faith.
[00:34:12.000 --> 00:34:15.000]   So Abraham, he says he's the father of faith.
[00:34:15.000 --> 00:34:18.000]   He's the father of faith because God initiated
[00:34:18.000 --> 00:34:20.000]   a covenant relationship with the nation of Israel
[00:34:20.000 --> 00:34:21.000]   through this man.
[00:34:21.000 --> 00:34:23.000]   That God was going to establish a nation
[00:34:23.000 --> 00:34:26.000]   where through them, he's going to bless the world.
[00:34:26.000 --> 00:34:28.000]   And obviously the son of God
[00:34:28.000 --> 00:34:30.000]   was going to come through that line.
[00:34:30.000 --> 00:34:31.000]   But along with that,
[00:34:31.000 --> 00:34:33.000]   Abraham is the perfect example
[00:34:33.000 --> 00:34:35.000]   of what God desires of his people
[00:34:35.000 --> 00:34:38.000]   to walk by faith.
[00:34:38.000 --> 00:34:41.000]   And so in order to establish that
[00:34:41.000 --> 00:34:43.000]   and to give us an example for us to follow,
[00:34:43.000 --> 00:34:46.000]   the cloud of witnesses that we are to follow
[00:34:46.000 --> 00:34:50.000]   as an example, he tested his faith.
[00:34:50.000 --> 00:34:51.000]   And that's what it says.
[00:34:51.000 --> 00:34:53.000]   The first thing that it says in verse 17,
[00:34:53.000 --> 00:34:55.000]   by faith, when he was tested,
[00:34:55.000 --> 00:34:57.000]   offered up Isaac.
[00:34:57.000 --> 00:34:59.000]   So Abraham's faith had to be tested.
[00:34:59.000 --> 00:35:02.000]   Now, again, if you're a Calvinist,
[00:35:02.000 --> 00:35:03.000]   you may look at that and say,
[00:35:03.000 --> 00:35:04.000]   well, if God is sovereign,
[00:35:04.000 --> 00:35:05.000]   why does he have to know?
[00:35:05.000 --> 00:35:07.000]   Didn't he already know?
[00:35:07.000 --> 00:35:09.000]   Why did he have to test him?
[00:35:09.000 --> 00:35:10.000]   Look at it this way.
[00:35:10.000 --> 00:35:13.000]   Whenever we go out to purchase a car,
[00:35:13.000 --> 00:35:15.000]   we test the car, right?
[00:35:15.000 --> 00:35:18.000]   Now, the buyer is the one testing the car,
[00:35:18.000 --> 00:35:19.000]   not the owner.
[00:35:19.000 --> 00:35:21.000]   The owner already knows what the car is.
[00:35:21.000 --> 00:35:23.000]   And it's already out on display.
[00:35:23.000 --> 00:35:26.000]   So the one who purchased it for himself
[00:35:26.000 --> 00:35:27.000]   is the one who is actually testing it
[00:35:27.000 --> 00:35:29.000]   to make sure that that is something
[00:35:29.000 --> 00:35:31.000]   that he wants and to embrace.
[00:35:31.000 --> 00:35:32.000]   So in the same way,
[00:35:32.000 --> 00:35:34.000]   when the scripture says that God tested him,
[00:35:34.000 --> 00:35:38.000]   it was really to prove for Abraham,
[00:35:38.000 --> 00:35:41.000]   to make sure that he knew where he stood,
[00:35:41.000 --> 00:35:43.000]   to purify his faith.
[00:35:43.000 --> 00:35:46.000]   In 1 Peter 1, 6-7, he says,
[00:35:46.000 --> 00:35:48.000]   "In this you greatly rejoice."
[00:35:48.000 --> 00:35:50.000]   And he's talking about the persecution
[00:35:50.000 --> 00:35:51.000]   and suffering that's coming.
[00:35:51.000 --> 00:35:53.000]   "Even though now for a little while,
[00:35:53.000 --> 00:35:55.000]   if necessary, you have been distressed
[00:35:55.000 --> 00:35:56.000]   by various trials,
[00:35:56.000 --> 00:35:58.000]   so that the proof of your faith
[00:35:58.000 --> 00:36:00.000]   being more precious than gold,
[00:36:00.000 --> 00:36:02.000]   which is perishable."
[00:36:02.000 --> 00:36:03.000]   In other words,
[00:36:03.000 --> 00:36:06.000]   sometimes God will take what is perishable
[00:36:06.000 --> 00:36:09.000]   in order to give us what is imperishable,
[00:36:09.000 --> 00:36:11.000]   a greater faith.
[00:36:11.000 --> 00:36:12.000]   "Even though tested by fire,
[00:36:12.000 --> 00:36:15.000]   may be found to result in praise and glory,
[00:36:15.000 --> 00:36:18.000]   honor at the revelation of Jesus Christ."
[00:36:18.000 --> 00:36:21.000]   Because faith is the most valuable thing
[00:36:21.000 --> 00:36:22.000]   that we possess,
[00:36:22.000 --> 00:36:24.000]   because that's what connects us to God,
[00:36:24.000 --> 00:36:26.000]   our process of sanctification
[00:36:26.000 --> 00:36:29.000]   is to purify this faith,
[00:36:29.000 --> 00:36:32.000]   that we live by faith and not by sight.
[00:36:32.000 --> 00:36:34.000]   And that's why Abraham is being tested.
[00:36:34.000 --> 00:36:35.000]   Even though he walked out
[00:36:35.000 --> 00:36:37.000]   and followed God's command,
[00:36:37.000 --> 00:36:39.000]   every year of his life,
[00:36:39.000 --> 00:36:40.000]   every activity,
[00:36:40.000 --> 00:36:43.000]   every suffering that Abraham had to suffer through,
[00:36:43.000 --> 00:36:45.000]   it was to purify his faith.
[00:36:45.000 --> 00:36:48.000]   And it's no different with us.
[00:36:48.000 --> 00:36:52.000]   If your faith in God hasn't grown
[00:36:52.000 --> 00:36:55.000]   from the first time you met God until now,
[00:36:55.000 --> 00:36:58.000]   then you are not a mature Christian.
[00:36:58.000 --> 00:36:59.000]   A mature Christian is not somebody
[00:36:59.000 --> 00:37:01.000]   who just knows the Bible,
[00:37:01.000 --> 00:37:03.000]   has much experience doing this and that
[00:37:03.000 --> 00:37:06.000]   and gone overseas and made disciples.
[00:37:06.000 --> 00:37:08.000]   That's not what makes you a mature Christian.
[00:37:08.000 --> 00:37:10.000]   A mature Christian, according to Scripture,
[00:37:10.000 --> 00:37:13.000]   is somebody who is increasing in his faith.
[00:37:13.000 --> 00:37:16.000]   Because power that you and I have
[00:37:16.000 --> 00:37:18.000]   is not within us.
[00:37:18.000 --> 00:37:21.000]   It's our connection to God.
[00:37:21.000 --> 00:37:22.000]   So the greater the faith,
[00:37:22.000 --> 00:37:24.000]   the greater the connection that we have with God.
[00:37:24.000 --> 00:37:26.000]   And that's what makes an individual mature.
[00:37:26.000 --> 00:37:28.000]   Not what we accumulate from our experience
[00:37:28.000 --> 00:37:32.000]   and our learning, but God.
[00:37:32.000 --> 00:37:34.000]   As you guys know,
[00:37:34.000 --> 00:37:35.000]   if you want to buy a used car,
[00:37:35.000 --> 00:37:38.000]   which car is more expensive?
[00:37:38.000 --> 00:37:41.000]   Toyotas and Camrys are usually more expensive.
[00:37:41.000 --> 00:37:42.000]   And the reason why they're more expensive
[00:37:42.000 --> 00:37:44.000]   is because there's a record,
[00:37:44.000 --> 00:37:46.000]   a proven track record,
[00:37:46.000 --> 00:37:50.000]   that they can possibly go up to 200,000, 300,000 miles,
[00:37:50.000 --> 00:37:53.000]   which is unheard of.
[00:37:53.000 --> 00:37:54.000]   When I was younger,
[00:37:54.000 --> 00:37:57.000]   if a car passed 100,000 miles or 150,000 miles,
[00:37:57.000 --> 00:37:59.000]   we considered that a very good car.
[00:37:59.000 --> 00:38:01.000]   So I remember years ago,
[00:38:01.000 --> 00:38:03.000]   my brother Phillip,
[00:38:03.000 --> 00:38:06.000]   he drove his Camry over 200,000 miles.
[00:38:06.000 --> 00:38:09.000]   And I said, "Wow, Camry went 200,000 miles."
[00:38:09.000 --> 00:38:12.000]   I don't know if you've ever tried to look for a used car now.
[00:38:12.000 --> 00:38:14.000]   Now they have people who are selling their cars
[00:38:14.000 --> 00:38:16.000]   for thousands of dollars
[00:38:16.000 --> 00:38:19.000]   that have gone over 250,000 miles.
[00:38:19.000 --> 00:38:21.000]   Or 300,000 miles.
[00:38:21.000 --> 00:38:24.000]   And they're usually Toyotas and Camrys.
[00:38:24.000 --> 00:38:25.000]   And that's why they pay a premium,
[00:38:25.000 --> 00:38:27.000]   because they know if you're 200,000,
[00:38:27.000 --> 00:38:31.000]   there's a possibility you can go over another 100,000 miles.
[00:38:31.000 --> 00:38:35.000]   Our faith, when it is not tested,
[00:38:35.000 --> 00:38:37.000]   it doesn't matter how passionate we are,
[00:38:37.000 --> 00:38:39.000]   it doesn't matter how much we know,
[00:38:39.000 --> 00:38:41.000]   it doesn't matter how much experience that we have,
[00:38:41.000 --> 00:38:43.000]   when it is not tested,
[00:38:43.000 --> 00:38:46.000]   we may be building our faith,
[00:38:46.000 --> 00:38:47.000]   building our Christian life,
[00:38:47.000 --> 00:38:50.000]   on a foundation that's shaky.
[00:38:50.000 --> 00:38:53.000]   Anyone that God is going to use for his glory,
[00:38:53.000 --> 00:38:57.000]   that faith is first and foremost tested, proven.
[00:38:57.000 --> 00:38:59.000]   To make sure, because the strength of who we are
[00:38:59.000 --> 00:39:01.000]   is directly linked to the strength of the faith
[00:39:01.000 --> 00:39:03.000]   that we have in God.
[00:39:03.000 --> 00:39:04.000]   So that's what it says.
[00:39:04.000 --> 00:39:08.000]   It starts off by saying that Abraham's faith was tested.
[00:39:08.000 --> 00:39:09.000]   How was he tested?
[00:39:09.000 --> 00:39:12.000]   Obviously, God asked him to offer up his son.
[00:39:12.000 --> 00:39:14.000]   His only begotten son.
[00:39:14.000 --> 00:39:16.000]   There's two things that I want to highlight here
[00:39:16.000 --> 00:39:18.000]   about what God commands of Abraham
[00:39:18.000 --> 00:39:21.000]   that demonstrates this faith.
[00:39:21.000 --> 00:39:24.000]   First of all, the test was to make sure that Abraham
[00:39:24.000 --> 00:39:29.000]   trusted in the giver and not the gift.
[00:39:29.000 --> 00:39:33.000]   That his faith was founded upon the promises of God.
[00:39:33.000 --> 00:39:35.000]   That he recognized the fulfillment of the promise
[00:39:35.000 --> 00:39:38.000]   was faithfulness God himself,
[00:39:38.000 --> 00:39:42.000]   and not the gift that he received.
[00:39:42.000 --> 00:39:44.000]   Hebrews chapter 11, 7-18, it says,
[00:39:44.000 --> 00:39:46.000]   "By faith Abraham, when he was tested,
[00:39:46.000 --> 00:39:49.000]   "offered up Isaac, and he had received the promises,
[00:39:49.000 --> 00:39:54.000]   "was offering up his only begotten son."
[00:39:54.000 --> 00:39:56.000]   Where'd you hear that term before?
[00:39:56.000 --> 00:39:58.000]   Of Jesus, right?
[00:39:58.000 --> 00:40:00.000]   Only begotten.
[00:40:00.000 --> 00:40:02.000]   Now, a lot of people get confused
[00:40:02.000 --> 00:40:04.000]   because of the English word begotten,
[00:40:04.000 --> 00:40:06.000]   and saying, "Well, doesn't begotten mean
[00:40:06.000 --> 00:40:09.000]   "that God gave birth to Jesus?
[00:40:09.000 --> 00:40:13.000]   "So doesn't that mean that he was created by God?"
[00:40:13.000 --> 00:40:16.000]   Well, that word begotten does not mean that at all.
[00:40:16.000 --> 00:40:19.000]   In the Greek, it means mono, genus.
[00:40:19.000 --> 00:40:21.000]   The word mono genus, well, you get the word mono
[00:40:21.000 --> 00:40:23.000]   obviously one, only.
[00:40:23.000 --> 00:40:26.000]   Genus basically means from those people.
[00:40:26.000 --> 00:40:30.000]   The literal meaning of that is he's the only one, unique.
[00:40:30.000 --> 00:40:33.000]   In fact, in Genesis chapter 22,
[00:40:33.000 --> 00:40:37.000]   it kind of explains, maybe in better English term,
[00:40:37.000 --> 00:40:39.000]   now it came about after these things,
[00:40:39.000 --> 00:40:41.000]   that God tested Abraham and said to him,
[00:40:41.000 --> 00:40:43.000]   and he said, "Here I am."
[00:40:43.000 --> 00:40:47.000]   He said, "Take now your son, your only son."
[00:40:47.000 --> 00:40:49.000]   Your only son.
[00:40:49.000 --> 00:40:52.000]   That's what that word mono genus means.
[00:40:52.000 --> 00:40:54.000]   There's nobody like him.
[00:40:54.000 --> 00:40:56.000]   He's unique.
[00:40:56.000 --> 00:40:58.000]   It doesn't mean that he was created by God.
[00:40:58.000 --> 00:41:01.000]   Now, why is this important?
[00:41:01.000 --> 00:41:06.000]   When he said that Isaac was his son, his only son,
[00:41:06.000 --> 00:41:12.000]   was that Abraham's only son?
[00:41:12.000 --> 00:41:15.000]   Was Isaac Abraham's only son?
[00:41:15.000 --> 00:41:17.000]   No.
[00:41:17.000 --> 00:41:21.000]   He had Ishmael from his servant girl, Hagar.
[00:41:21.000 --> 00:41:23.000]   But what does he mean here when he says,
[00:41:23.000 --> 00:41:26.000]   "Isaac, your son, your only son?"
[00:41:26.000 --> 00:41:30.000]   He's talking about his unique, begotten, only son, unique,
[00:41:30.000 --> 00:41:35.000]   because that's the line in which God was going to fulfill his covenant.
[00:41:35.000 --> 00:41:38.000]   And so that's why he says in verse 18,
[00:41:38.000 --> 00:41:43.000]   "It was he to whom it was said, 'In Isaac your descendants shall be called.'"
[00:41:43.000 --> 00:41:46.000]   Isaac is only begotten, the one and only,
[00:41:46.000 --> 00:41:50.000]   because that's the line in which God was going to fulfill
[00:41:50.000 --> 00:41:55.000]   all the promises that he made to Abraham and Sarah.
[00:41:55.000 --> 00:41:58.000]   Now, isn't that a strange thing to say?
[00:41:58.000 --> 00:42:01.000]   I want you to offer up your covenant child,
[00:42:01.000 --> 00:42:04.000]   your only covenant child,
[00:42:04.000 --> 00:42:07.000]   that everything that you have abandoned to follow me,
[00:42:07.000 --> 00:42:10.000]   where I am going to fulfill all your descendants,
[00:42:10.000 --> 00:42:14.000]   everything that I said to you in Genesis chapter 12, 1-3,
[00:42:14.000 --> 00:42:17.000]   he's the guy that I'm going to fulfill.
[00:42:17.000 --> 00:42:21.000]   All your descendants are going to come through this guy.
[00:42:21.000 --> 00:42:24.000]   Offer him up.
[00:42:24.000 --> 00:42:27.000]   I mean, that makes absolutely no sense.
[00:42:27.000 --> 00:42:31.000]   Well, if he said, "You know what? Offer him up, because I have another child coming."
[00:42:31.000 --> 00:42:33.000]   You know, they made the mistake the first time,
[00:42:33.000 --> 00:42:36.000]   because God wasn't acting fast enough,
[00:42:36.000 --> 00:42:39.000]   so by their own will, they had Hagar,
[00:42:39.000 --> 00:42:42.000]   and they gave birth to Ishmael,
[00:42:42.000 --> 00:42:45.000]   and they said, "No, that's not the one," and God gives Isaac,
[00:42:45.000 --> 00:42:48.000]   and so maybe God has another child.
[00:42:48.000 --> 00:42:52.000]   But that's not what he said. No, he's that child. He's your only begotten son.
[00:42:52.000 --> 00:42:56.000]   Your descendant, everything I promised you, is going to come through that line,
[00:42:56.000 --> 00:43:01.000]   and it's that child I'm commanding you to sacrifice.
[00:43:02.000 --> 00:43:05.000]   What was God doing?
[00:43:05.000 --> 00:43:10.000]   God was testing Abraham, again, to prove his faith,
[00:43:10.000 --> 00:43:15.000]   that is your confidence on the gift or the giver?
[00:43:15.000 --> 00:43:20.000]   Is the hope that you have, the covenant that God made with you,
[00:43:20.000 --> 00:43:23.000]   is that covenant based upon the promise of God,
[00:43:23.000 --> 00:43:28.000]   or your child Isaac, your only begotten son?
[00:43:28.000 --> 00:43:32.000]   Now, on the surface, it doesn't make any sense that God would command to offer up
[00:43:32.000 --> 00:43:35.000]   what he said he's going to use to fulfill a promise,
[00:43:35.000 --> 00:43:40.000]   and yet, what God was doing was testing.
[00:43:40.000 --> 00:43:43.000]   Where is your confidence?
[00:43:43.000 --> 00:43:48.000]   You know, there are things that God places in our lives
[00:43:48.000 --> 00:43:51.000]   to help us to grow in our faith.
[00:43:51.000 --> 00:43:55.000]   Just like if you go to a hospital, and you sprained your ankle,
[00:43:55.000 --> 00:43:58.000]   or you broke your leg, and they'll put a cast on,
[00:43:58.000 --> 00:44:01.000]   and they have you walk on a crutch.
[00:44:01.000 --> 00:44:03.000]   And that crutch is good.
[00:44:03.000 --> 00:44:07.000]   In fact, it's even necessary to help you to walk.
[00:44:07.000 --> 00:44:11.000]   But imagine if you went in and said, "You know, I like this crutch.
[00:44:11.000 --> 00:44:13.000]   Can I keep it on?"
[00:44:13.000 --> 00:44:16.000]   So, well, it's been three months, your leg is fine.
[00:44:16.000 --> 00:44:19.000]   It's like, "No, no, no, it's not fine. I'd rather have the crutch."
[00:44:19.000 --> 00:44:22.000]   Imagine if you kept the crutch for six months to a year,
[00:44:22.000 --> 00:44:25.000]   two years, five years.
[00:44:25.000 --> 00:44:28.000]   For the rest of your life, you said, "I can't walk without this crutch."
[00:44:28.000 --> 00:44:32.000]   So that very crutch that God gave you to help you
[00:44:32.000 --> 00:44:34.000]   now has become a hindrance.
[00:44:34.000 --> 00:44:41.000]   Because the purpose of the crutch was to get you to be healed and to be whole.
[00:44:41.000 --> 00:44:45.000]   There's a lot of things that we do in our life where we thank God for the gift,
[00:44:45.000 --> 00:44:49.000]   and then the gift becomes the problem.
[00:44:49.000 --> 00:44:52.000]   We make it a crutch that is necessary.
[00:44:52.000 --> 00:44:57.000]   And we make the gift the idol.
[00:44:57.000 --> 00:45:00.000]   I run into a lot of college students.
[00:45:00.000 --> 00:45:03.000]   While they were in college, they had a leader, a follower,
[00:45:03.000 --> 00:45:07.000]   and they had certain kind of freshmen, and older brother, younger sister,
[00:45:07.000 --> 00:45:11.000]   and discipleship, and they experienced this Christian life in this bubble.
[00:45:11.000 --> 00:45:15.000]   And then when they graduate, they can't function.
[00:45:15.000 --> 00:45:17.000]   Because they need that again.
[00:45:17.000 --> 00:45:20.000]   In order for me to have God, "Where's my leader? Who's my follower?
[00:45:20.000 --> 00:45:24.000]   Who's my this? And how come the organization is this way and that way?"
[00:45:24.000 --> 00:45:27.000]   And they made this crutch a necessity for their walk with God.
[00:45:27.000 --> 00:45:31.000]   The purpose of it is to bring us to God.
[00:45:31.000 --> 00:45:35.000]   The purpose of why He gave the church is to bring us to God.
[00:45:35.000 --> 00:45:38.000]   Think how often we make the gift that God has given us
[00:45:38.000 --> 00:45:42.000]   into a burden because we make that the idol.
[00:45:42.000 --> 00:45:46.000]   Sometimes we do that even with the church.
[00:45:46.000 --> 00:45:49.000]   It's great to have the church, great to have the fellowship,
[00:45:49.000 --> 00:45:51.000]   but I can't grow without it.
[00:45:51.000 --> 00:45:53.000]   I can't meet God without it.
[00:45:53.000 --> 00:45:55.000]   And then it becomes a crutch.
[00:45:55.000 --> 00:45:58.000]   Remember in John 5, 39-40, you search the scriptures
[00:45:58.000 --> 00:46:02.000]   because you think that in them you have eternal life.
[00:46:02.000 --> 00:46:05.000]   How often does the Word of God become a burden
[00:46:05.000 --> 00:46:08.000]   because this is something that every good Christian should do?
[00:46:08.000 --> 00:46:11.000]   We need to exposit, we need to memorize,
[00:46:11.000 --> 00:46:15.000]   and we need to know systematic theology.
[00:46:15.000 --> 00:46:18.000]   If you're a good Christian, you need to pray 15 minutes, an hour,
[00:46:18.000 --> 00:46:21.000]   you need to do it in the morning, you need to memorize,
[00:46:21.000 --> 00:46:24.000]   and then you make this the idol.
[00:46:24.000 --> 00:46:27.000]   So when you have this, you think, "Oh, that's a good Christian
[00:46:27.000 --> 00:46:31.000]   because he's read the Bible so many times and knows his systematic theology,
[00:46:31.000 --> 00:46:34.000]   he knows how to exegete, he knows how to teach other people."
[00:46:34.000 --> 00:46:37.000]   But Jesus is saying you're looking through scriptures thinking that somehow
[00:46:37.000 --> 00:46:40.000]   if you look at it and obey it, that's where eternal life is.
[00:46:40.000 --> 00:46:45.000]   It's a no, but purpose of this is to bring you to Christ.
[00:46:45.000 --> 00:46:53.000]   So you can spend all your life maturing in knowledge and experience
[00:46:53.000 --> 00:46:58.000]   and never have greater and increasing faith in Christ.
[00:46:58.000 --> 00:47:00.000]   Look what he says.
[00:47:00.000 --> 00:47:03.000]   You look to scripture because you think that in them you have eternal life.
[00:47:03.000 --> 00:47:06.000]   It is these that testify about me.
[00:47:06.000 --> 00:47:12.000]   And you are unwilling to come to me so that you may have life.
[00:47:12.000 --> 00:47:16.000]   He wanted to make sure that Isaac was not his hope.
[00:47:16.000 --> 00:47:21.000]   He wanted to make sure that he wasn't hanging all his hopes upon his health.
[00:47:21.000 --> 00:47:26.000]   Imagine if Isaac was everything hinged upon Isaac.
[00:47:26.000 --> 00:47:28.000]   I mean, imagine.
[00:47:28.000 --> 00:47:31.000]   It's like he had to have the best seats.
[00:47:31.000 --> 00:47:36.000]   You know, I mean, you'd freak out every time he gets sick.
[00:47:36.000 --> 00:47:40.000]   If any of his brothers somehow, you know, incringes upon anything,
[00:47:40.000 --> 00:47:45.000]   it's like, "Oh, you're not just protecting your son. You're protecting your hope."
[00:47:45.000 --> 00:47:51.000]   He wanted to make sure that he didn't make Isaac his idol.
[00:47:51.000 --> 00:47:56.000]   Look at the way that the Pharisees approached the Sabbath.
[00:47:56.000 --> 00:47:59.000]   God told them to keep the Sabbath holy, but they wanted to keep it so holy
[00:47:59.000 --> 00:48:03.000]   that they created additional laws on top of what God said.
[00:48:03.000 --> 00:48:07.000]   So they kept on accusing Jesus of breaking the Sabbath.
