
[00:00:00.000 --> 00:00:09.400]   Let's pray.
[00:21:27.620 --> 00:21:31.500]   They were proud that they were children of Abraham.
[00:21:31.500 --> 00:21:35.420]   Remember that conversation that Jesus has with the Jews in John chapter 8?
[00:21:35.420 --> 00:21:40.380]   He says, "If you abide by my truth, you will be my disciples and you shall know the truth.
[00:21:40.380 --> 00:21:41.380]   Truth shall set you free."
[00:21:41.380 --> 00:21:43.420]   And then they react like, "We're children of Abraham.
[00:21:43.420 --> 00:21:45.300]   Why would you even say that we need to be set free?"
[00:21:45.300 --> 00:21:47.480]   They got offended.
[00:21:47.480 --> 00:21:53.220]   Because it was a source of pride that they were Jews, descendants of Abraham.
[00:21:53.220 --> 00:21:55.300]   But that didn't end there.
[00:21:55.300 --> 00:21:58.640]   Even within the Jews, compared to the rest of the world, it was a source of pride.
[00:21:58.640 --> 00:22:02.840]   But even within the Jews, they had a hierarchy of which tribe that they belonged to.
[00:22:02.840 --> 00:22:05.860]   So the most prestigious tribe, obviously, were the tribe of Judah.
[00:22:05.860 --> 00:22:09.800]   And then the second most prestigious was the tribe of Benjamin.
[00:22:09.800 --> 00:22:14.660]   And then you had the other 10 who fell out and joined the rebellious kingdom, the northern
[00:22:14.660 --> 00:22:15.660]   kingdom.
[00:22:15.660 --> 00:22:19.700]   But if you happen to be, whatever tribe you are, whatever history, good or bad, you had,
[00:22:19.700 --> 00:22:20.700]   there was a source of pride.
[00:22:20.700 --> 00:22:25.540]   So they say, "Well, we're a tribe of Benjamin, a tribe of Judah."
[00:22:25.540 --> 00:22:29.940]   And then even within that system, you had the Pharisees, you had the Sadducees, you
[00:22:29.940 --> 00:22:35.420]   had the Zealots, you had the different sects in the group where there was a source of pride.
[00:22:35.420 --> 00:22:40.620]   So the most prestigious within the different groups was the Pharisees because they were
[00:22:40.620 --> 00:22:42.620]   obedient to the law.
[00:22:42.620 --> 00:22:47.320]   They were considered the moral examples of Israel.
[00:22:47.320 --> 00:22:52.400]   So if you happen to be a member of the Sanhedrin among the Pharisees, I mean, you were the
[00:22:52.400 --> 00:22:55.640]   cream of the crop.
[00:22:55.640 --> 00:23:01.340]   That's why Paul says in Philippians 3, 4, "For we are circumcision, who worship by the
[00:23:01.340 --> 00:23:06.420]   Spirit of God in glory in Christ Jesus and put no confidence in the flesh."
[00:23:06.420 --> 00:23:09.340]   And the reason why he says that is because he's talking to people who are putting confidence
[00:23:09.340 --> 00:23:10.340]   in their flesh.
[00:23:10.340 --> 00:23:12.380]   These Judaizers are saying, "You don't know.
[00:23:12.380 --> 00:23:13.980]   I mean, we know the law.
[00:23:13.980 --> 00:23:14.980]   We have all of this.
[00:23:14.980 --> 00:23:15.980]   We know the theology.
[00:23:15.980 --> 00:23:20.700]   You know, these Gentiles are coming in and we're going to be equal?
[00:23:20.700 --> 00:23:24.520]   How can we possibly be equal with somebody who's been studying and trying to obey the
[00:23:24.520 --> 00:23:31.020]   law for hundreds of years with these Gentiles who were just a few days ago, were at the
[00:23:31.020 --> 00:23:33.660]   Temple of Artemis?
[00:23:33.660 --> 00:23:39.740]   They were worshiping idols, sacrificing pagan worship, and now they're in the same church
[00:23:39.740 --> 00:23:41.420]   and we're the same?"
[00:23:41.420 --> 00:23:47.500]   See, if you were a Jew and you heard what Paul was saying, you wouldn't have, your initial
[00:23:47.500 --> 00:23:50.220]   response would have been like benevolence, like, "Oh, great.
[00:23:50.220 --> 00:23:51.220]   We're all together.
[00:23:51.220 --> 00:23:53.540]   You know, we're Gentiles.
[00:23:53.540 --> 00:23:59.360]   So it's good for us, for a Jew who invested all their time and energy and money to elevate
[00:23:59.360 --> 00:24:02.220]   themselves to say, 'No, you guys are all the same.'"
[00:24:02.220 --> 00:24:05.900]   It probably didn't hit them the same way.
[00:24:05.900 --> 00:24:11.940]   Paul says to them, "If you want to go head to toe with me, if anyone else thinks he has
[00:24:11.940 --> 00:24:15.700]   reason for confidence in the flesh, I have more.
[00:24:15.700 --> 00:24:18.820]   Circumcised on the eighth day of the people of Israel, of the tribe of Benjamin, a Hebrew
[00:24:18.820 --> 00:24:23.780]   of Hebrew, as to the law, a Pharisee, as to zeal, a persecutor of the church, as to righteousness
[00:24:23.780 --> 00:24:25.900]   under the law, blameless."
[00:24:25.900 --> 00:24:33.340]   But he said all of that that he had achieved, and every single thing that he says here wasn't
[00:24:33.340 --> 00:24:38.980]   in the context of chasing money, it wasn't in the context of idol worship, it was in
[00:24:38.980 --> 00:24:43.020]   the context of worshiping God and obeying and studying the scriptures and applying the
[00:24:43.020 --> 00:24:46.420]   scriptures, even though he got it all wrong.
[00:24:46.420 --> 00:24:52.420]   All of that, in light of the surpassing knowledge of knowing Jesus Christ, it was rubbish.
[00:24:52.420 --> 00:24:57.180]   So when he says, "First recognize that we are all one in the body of Christ," it is
[00:24:57.180 --> 00:25:07.500]   a call to humility, that the gospel, it humbles the haughty and it raises the humble.
[00:25:07.500 --> 00:25:08.940]   That's what he means that we're one.
[00:25:08.940 --> 00:25:13.180]   That's why in Galatians 3, 28, it says, "There is neither Jew nor Greek."
[00:25:13.180 --> 00:25:17.420]   That's great for the Greeks, because the Greeks never sacrificed.
[00:25:17.420 --> 00:25:20.740]   Greeks were outside, they were far.
[00:25:20.740 --> 00:25:22.620]   But he says to the Jews, "No, we're the same.
[00:25:22.620 --> 00:25:26.140]   There is neither slave nor free."
[00:25:26.140 --> 00:25:29.420]   Imagine if you're in the church and you used to be a slave owner, and then one of your
[00:25:29.420 --> 00:25:37.140]   slaves is sitting in the church, and then Paul says, "You're the same."
[00:25:37.140 --> 00:25:39.020]   How can we be the same?
[00:25:39.020 --> 00:25:41.100]   I own this guy.
[00:25:41.100 --> 00:25:42.900]   I could do whatever I wanted.
[00:25:42.900 --> 00:25:44.700]   I paid for him.
[00:25:44.700 --> 00:25:47.820]   And then now we're in the church and he's my brother?
[00:25:47.820 --> 00:25:52.840]   There's a whole letter written to address this issue, Philemon.
[00:25:52.840 --> 00:25:54.580]   But that's what the early church was like.
[00:25:54.580 --> 00:25:58.660]   You had these guys who studied the scripture, Old Testament, and applied it, and all of
[00:25:58.660 --> 00:26:04.180]   a sudden a tax collector is there teaching them about the kingdom of God.
[00:26:04.180 --> 00:26:06.980]   And he says, "You guys are the same."
[00:26:06.980 --> 00:26:09.620]   If you were a slave, slave, that's great news.
[00:26:09.620 --> 00:26:13.700]   If you're a slave owner, like what?
[00:26:13.700 --> 00:26:17.980]   Everything that I've achieved out there, all the honor and prestige that I had up there,
[00:26:17.980 --> 00:26:20.180]   all of that means nothing here?
[00:26:20.180 --> 00:26:23.740]   Yes, that's exactly what he is saying.
[00:26:23.740 --> 00:26:26.180]   That is exactly what he's saying.
[00:26:26.180 --> 00:26:30.580]   You know, it's strange that you and I live in a culture where if somebody has great honor
[00:26:30.580 --> 00:26:35.060]   over there, they're multimillionaires or sports figures or movie stars, and all of a sudden
[00:26:35.060 --> 00:26:39.120]   they convert and they become a follower of Jesus Christ, and then they become leaders
[00:26:39.120 --> 00:26:41.580]   in the church.
[00:26:41.580 --> 00:26:45.700]   Because we're applying whatever honor and achievement that they had here, and then we're
[00:26:45.700 --> 00:26:48.460]   applying it in the church.
[00:26:48.460 --> 00:26:51.740]   And again, there's a whole letter written about that too in the book of James.
[00:26:51.740 --> 00:26:55.900]   They're honoring the people who are rich and putting them in the front seats and how
[00:26:55.900 --> 00:26:59.100]   that dishonors God.
[00:26:59.100 --> 00:27:01.660]   That's exactly what Paul was saying here.
[00:27:01.660 --> 00:27:06.860]   He says, "Slave or free, there is no male or female."
[00:27:06.860 --> 00:27:08.300]   Christianity gets a bad rap.
[00:27:08.300 --> 00:27:10.740]   It's like, "Oh, you know, male chauvinist pigs.
[00:27:10.740 --> 00:27:14.020]   Apostle Paul saying that, you know, wives submit to your husband."
[00:27:14.020 --> 00:27:20.060]   And I remember one of the earliest weddings that I officiated, again, they're not here,
[00:27:20.060 --> 00:27:22.460]   so I can say it.
[00:27:22.460 --> 00:27:26.140]   I remember, and I didn't know the wife that well, you know, it was just somebody that
[00:27:26.140 --> 00:27:28.220]   I knew and I decided to, okay, I'll officiate.
[00:27:28.220 --> 00:27:31.540]   And I didn't get to meet them until about three days before the wedding, and we were
[00:27:31.540 --> 00:27:33.780]   going over the vows.
[00:27:33.780 --> 00:27:38.780]   And she said she refused to say submit.
[00:27:38.780 --> 00:27:41.460]   She said, "It's not romantic.
[00:27:41.460 --> 00:27:44.340]   I don't want to create this environment in the wedding."
[00:27:44.340 --> 00:27:45.340]   And she said, "I refuse."
[00:27:45.340 --> 00:27:47.980]   So that's interesting.
[00:27:47.980 --> 00:27:52.380]   You know, I was a young pastor at that time and I don't have a lot of experience.
[00:27:52.380 --> 00:27:53.700]   I was kind of wrestling with what I do.
[00:27:53.700 --> 00:27:57.180]   I don't want to ruin their wedding, but at the same time, it's going to go against my
[00:27:57.180 --> 00:27:58.480]   conscience.
[00:27:58.480 --> 00:28:02.740]   And so I prayed about it, and the next day I contacted the guy that I knew and I said,
[00:28:02.740 --> 00:28:04.220]   "I can't officiate your wedding."
[00:28:04.220 --> 00:28:10.020]   He said, "I'm going to help you find somebody, you know, but I can't officiate your wedding."
[00:28:10.020 --> 00:28:15.820]   You know, because what I'm asking you to do is to quote scripture.
[00:28:15.820 --> 00:28:19.220]   And if you can't quote scripture, it bothers my conscience.
[00:28:19.220 --> 00:28:22.900]   I can't come before God and say, "God, the Lord blesses this wedding when I know in my
[00:28:22.900 --> 00:28:26.860]   heart you're refusing his lordship in your life."
[00:28:26.860 --> 00:28:31.380]   We get a bad rap because you say, "Well, you know, Christianity, it puts women in one place
[00:28:31.380 --> 00:28:33.060]   or whatever."
[00:28:33.060 --> 00:28:39.700]   But it's Christianity that gave equality among men and women.
[00:28:39.700 --> 00:28:44.140]   The reason why the world has this knee-jerk reaction against leadership and submission
[00:28:44.140 --> 00:28:48.340]   is because of this worldly principle of if you have more money, if you're in a higher
[00:28:48.340 --> 00:28:53.120]   position of power, you're more valuable.
[00:28:53.120 --> 00:28:57.000]   But the kingdom of God is completely different.
[00:28:57.000 --> 00:28:59.300]   You have God the Father, the Son, and the Holy Spirit.
[00:28:59.300 --> 00:29:02.280]   They're all one of the same equality.
[00:29:02.280 --> 00:29:06.820]   And yet, each one of them functions to serve one another, glorify each other.
[00:29:06.820 --> 00:29:12.420]   So when we put men in leadership and women to submit, automatically wrong.
[00:29:12.420 --> 00:29:19.220]   But is that sense of wrong coming from the kingdom or is it coming from the other kingdom?
[00:29:19.220 --> 00:29:23.380]   We would never tolerate if a rich person comes in and giving them honor.
[00:29:23.380 --> 00:29:26.900]   We would actively say, "That's not right."
[00:29:26.900 --> 00:29:32.020]   If somebody is better looking, somebody has more money, we know innately that's wrong.
[00:29:32.020 --> 00:29:36.820]   But why do we apply that principle when it comes to the order of creation?
[00:29:36.820 --> 00:29:41.200]   And I want you to think about it this way.
[00:29:41.200 --> 00:29:43.460]   Which is harder to do?
[00:29:43.460 --> 00:29:51.100]   To call somebody, to love somebody sacrificially to the point that even if they curse you out,
[00:29:51.100 --> 00:29:58.100]   even if they're slandering you, to not only tolerate it but give them your best.
[00:29:58.100 --> 00:30:04.220]   Or support somebody that despite no matter what you do, despite everything that you've
[00:30:04.220 --> 00:30:09.620]   done, that they're going to forgive you and cover over that and just honor that person.
[00:30:09.620 --> 00:30:12.160]   Because that's exactly what it says in Ephesians 5.22.
[00:30:12.160 --> 00:30:14.880]   We look at the word submit and say, "Oh, how dare you?
[00:30:14.880 --> 00:30:15.880]   This is archaic.
[00:30:15.880 --> 00:30:19.200]   What kind of a church is this?"
[00:30:19.200 --> 00:30:23.780]   And yet if you read it carefully, it's saying for the husband to be like Christ who gave
[00:30:23.780 --> 00:30:25.740]   up everything.
[00:30:25.740 --> 00:30:27.440]   For who?
[00:30:27.440 --> 00:30:28.740]   For sinners.
[00:30:28.740 --> 00:30:30.480]   For blasphemers.
[00:30:30.480 --> 00:30:35.300]   He demonstrated his own love toward us and that while we were yet sinners, he loved us.
[00:30:35.300 --> 00:30:42.600]   So if there's any knee-jerk reaction, kingdom-minded person is like, "What?
[00:30:42.600 --> 00:30:44.460]   Love my wife unconditionally?
[00:30:44.460 --> 00:30:45.660]   How dare you?
[00:30:45.660 --> 00:30:47.940]   What kind of a church is this?
[00:30:47.940 --> 00:30:54.000]   Why would you ever call perfectly righteous people who've done nothing wrong to sacrifice
[00:30:54.000 --> 00:30:55.600]   everything for a sinner?
[00:30:55.600 --> 00:30:56.860]   Why would you do that?
[00:30:56.860 --> 00:30:57.960]   What kind of a church is this?
[00:30:57.960 --> 00:30:58.960]   That's archaic.
[00:30:58.960 --> 00:30:59.960]   Who would apply this?"
[00:30:59.960 --> 00:31:03.100]   But we don't respond to it that way.
[00:31:03.100 --> 00:31:04.540]   It's the fallen world.
[00:31:04.540 --> 00:31:09.340]   It's fallen paradigm that we apply to the church.
[00:31:09.340 --> 00:31:12.500]   That's why we have this knee-jerk reaction because the word submit automatically we have
[00:31:12.500 --> 00:31:14.780]   this sinful attitude toward it.
[00:31:14.780 --> 00:31:19.140]   But if you see the Trinity, the beauty behind how each one takes their role and supports
[00:31:19.140 --> 00:31:25.060]   one another, and that's what was supposed to be reflected in the home and in the church.
[00:31:25.060 --> 00:31:29.900]   So when he says there is no difference, yeah, it's the same guy who says there is no male
[00:31:29.900 --> 00:31:35.900]   or female, it's the same guy who tells us the order of the church and order of the home.
[00:31:35.900 --> 00:31:38.500]   There is no male or female.
[00:31:38.500 --> 00:31:39.820]   The female wouldn't have a problem with this.
[00:31:39.820 --> 00:31:44.180]   It's the male that would have had a problem with this.
[00:31:44.180 --> 00:31:47.180]   For you are all one in Christ Jesus.
[00:31:47.180 --> 00:31:56.020]   So when he calls us to be one, it's calling to shift our paradigm to think that in the
[00:31:56.020 --> 00:31:58.940]   kingdom of God, we're all equal.
[00:31:58.940 --> 00:32:04.220]   We're all sinners who are saved by the grace of God.
[00:32:04.220 --> 00:32:08.980]   There's no one should be walking into the church thinking that I'm better than other
[00:32:08.980 --> 00:32:13.420]   people.
[00:32:13.420 --> 00:32:18.700]   Number three, sanctification requires humbling ourselves by serving one another.
[00:32:18.700 --> 00:32:22.940]   Thirdly, sanctification requires humbling ourselves by serving others.
[00:32:22.940 --> 00:32:27.820]   One, again, just to review, we humble ourselves and see a proper view of ourselves as God
[00:32:27.820 --> 00:32:28.820]   sees us.
[00:32:28.820 --> 00:32:34.700]   Secondly, we humble ourselves by recognizing the unity that we are all the same, same body.
[00:32:34.700 --> 00:32:39.180]   And thirdly, we humble ourselves by actively serving one another.
[00:32:39.180 --> 00:32:43.700]   So sanctification is not just having right thinking, but right thinking that's leading
[00:32:43.700 --> 00:32:46.140]   to right application.
[00:32:46.140 --> 00:32:52.260]   Verse six, "Having gifts that differ according to the grace given to us, let us use them
[00:32:52.260 --> 00:32:55.780]   if prophecy in proportion to our faith."
[00:32:55.780 --> 00:32:57.900]   Let me stop right there.
[00:32:57.900 --> 00:33:01.460]   Whatever gift it is that you have been given, it says first and foremost, you didn't earn
[00:33:01.460 --> 00:33:04.620]   it, right?
[00:33:04.620 --> 00:33:11.100]   So to envy something that you didn't earn or to say, "Well, that's not fair.
[00:33:11.100 --> 00:33:12.100]   That's not..."
[00:33:12.100 --> 00:33:13.100]   It's basically you're not questioning the church.
[00:33:13.100 --> 00:33:14.380]   You're not questioning other people.
[00:33:14.380 --> 00:33:15.780]   You're questioning God.
[00:33:15.780 --> 00:33:22.620]   He says, "In proportion to the faith given to you by grace, if service in our serving,
[00:33:22.620 --> 00:33:26.180]   the one who teaches and is teaching, the one who exhorts and exhortation, the one who contributes
[00:33:26.180 --> 00:33:30.220]   in generosity, the one who leads with zeal and the one who does the acts of mercy with
[00:33:30.220 --> 00:33:31.860]   cheerfulness."
[00:33:31.860 --> 00:33:37.780]   God calls us in our sanctification not to simply, "Well, I've studied the word of God
[00:33:37.780 --> 00:33:40.420]   and I know this and I know the intricacy of theology."
[00:33:40.420 --> 00:33:42.620]   We really want to be sanctified.
[00:33:42.620 --> 00:33:46.460]   He says, "Serve one another."
[00:33:46.460 --> 00:33:52.220]   You cannot love God and hate the church.
[00:33:52.220 --> 00:33:55.460]   You can love the church and not love God.
[00:33:55.460 --> 00:33:57.420]   That's very easy.
[00:33:57.420 --> 00:34:02.020]   But you cannot love God and not love the church.
[00:34:02.020 --> 00:34:06.100]   And let me give you an example of that.
[00:34:06.100 --> 00:34:09.180]   You know, I could rip on my kids.
[00:34:09.180 --> 00:34:12.260]   Sometimes I get frustrated, "Oh, they're so selfish.
[00:34:12.260 --> 00:34:14.740]   They don't do this and they don't do that."
[00:34:14.740 --> 00:34:23.020]   But if somebody else joins in, it's like, "Yeah, yeah, our felt selfish."
[00:34:23.020 --> 00:34:25.100]   Or maybe you're saying, "Yeah, my mom doesn't do this.
[00:34:25.100 --> 00:34:26.100]   My mom doesn't do that."
[00:34:26.100 --> 00:34:29.980]   Yeah, what is wrong with your mom?
[00:34:29.980 --> 00:34:32.740]   It doesn't sit well with you.
[00:34:32.740 --> 00:34:35.700]   Because even when we're complaining, I mean, we shouldn't be complaining, but even when
[00:34:35.700 --> 00:34:38.980]   we're complaining, we're complaining in the context because we love them.
[00:34:38.980 --> 00:34:42.060]   Maybe you don't get along with your siblings or maybe you don't have the best relationship
[00:34:42.060 --> 00:34:50.460]   with your parents, but deep inside, if something horrible happens to them, you react differently
[00:34:50.460 --> 00:34:53.580]   because they're your mom, they're your dad, they're your kids.
[00:34:53.580 --> 00:34:54.740]   There is a base of love.
[00:34:54.740 --> 00:34:55.740]   And did you earn that?
[00:34:55.740 --> 00:34:56.740]   Did you work toward that?
[00:34:56.740 --> 00:34:57.740]   No, because they're yours.
[00:34:57.740 --> 00:34:58.740]   They're innately.
[00:34:58.740 --> 00:35:02.900]   That's what he is saying, that we're all part of this one body.
[00:35:02.900 --> 00:35:05.460]   It's just that we don't recognize it.
[00:35:05.460 --> 00:35:12.340]   You can't love God and say, "I don't want the church."
[00:35:12.340 --> 00:35:17.900]   God gave us and put us into the church and all he said, "If you want to love God," what
[00:35:17.900 --> 00:35:18.900]   did he say?
[00:35:18.900 --> 00:35:21.100]   "Love your neighbors."
[00:35:21.100 --> 00:35:24.700]   The most tangible way to express the love for God is to love your neighbors, to serve
[00:35:24.700 --> 00:35:30.180]   them in uniquely whatever gifts that God has given you, to humble yourselves.
[00:35:30.180 --> 00:35:34.880]   There aren't certain people, "Oh, you're gifted with serving, but I'm gifted in leadership.
[00:35:34.880 --> 00:35:40.060]   So I delegate and I tell people."
[00:35:40.060 --> 00:35:44.340]   God called every single one of us to humble ourselves and serve one another because we're
[00:35:44.340 --> 00:35:45.340]   equal.
[00:35:45.340 --> 00:35:50.100]   Maybe in your company, you're the big shot.
[00:35:50.100 --> 00:35:52.260]   Maybe wherever you are, you're the manager.
[00:35:52.260 --> 00:35:54.020]   You're the guy who's telling other people.
[00:35:54.020 --> 00:35:56.980]   When you come to church, we're all the same.
[00:35:56.980 --> 00:35:57.980]   We're all the same.
[00:35:57.980 --> 00:35:59.300]   We are to humble ourselves.
[00:35:59.300 --> 00:36:03.940]   If we're actively going to give our life as a living sacrifice, which is a reasonable
[00:36:03.940 --> 00:36:10.620]   act of worship to God, everyone who has been given, which is every single Christian, is
[00:36:10.620 --> 00:36:16.660]   to use that to serve other people.
[00:36:16.660 --> 00:36:22.340]   Remember in John chapter 21, when Peter is being restored, he said, "If you love me,"
[00:36:22.340 --> 00:36:23.940]   and he says, "Of course I love you."
[00:36:23.940 --> 00:36:25.620]   Remember what Jesus' response was?
[00:36:25.620 --> 00:36:26.700]   "Then feed my sheep."
[00:36:26.700 --> 00:36:31.220]   He didn't say, "If you love me," "Of course I love you," "Then write me a letter."
[00:36:31.220 --> 00:36:34.220]   That's not what he says.
[00:36:34.220 --> 00:36:35.220]   No, "Then feed my sheep."
[00:36:35.220 --> 00:36:37.900]   He says that three separate times.
[00:36:37.900 --> 00:36:42.100]   The very last thing that Jesus tells his disciples before he goes to the cross, what did he tell
[00:36:42.100 --> 00:36:44.300]   his disciples?
[00:36:44.300 --> 00:36:45.300]   Humble yourself.
[00:36:45.300 --> 00:36:48.220]   Serve one another.
[00:36:48.220 --> 00:36:52.380]   The one who is the greatest in the kingdom of God is the one who serves.
[00:36:52.380 --> 00:36:59.580]   Unlike the world, or the world knee-jerk reaction is the one who is being served is the greatest.
[00:36:59.580 --> 00:37:03.740]   But in the kingdom of God, the one who serves is the greatest.
[00:37:03.740 --> 00:37:08.660]   That's the last formal lesson he gave to his disciples.
[00:37:08.660 --> 00:37:14.100]   It is when we begin to apply the worldly wisdom and worldly paradigm into the kingdom of the
[00:37:14.100 --> 00:37:17.700]   church where the church goes into chaos.
[00:37:17.700 --> 00:37:19.060]   And that's what he means.
[00:37:19.060 --> 00:37:23.380]   Do not be conformed to the pattern of this world, but be transformed by the renewing
[00:37:23.380 --> 00:37:24.380]   of our mind.
[00:37:24.380 --> 00:37:31.340]   We need to start thinking like kingdom people, recognizing who we are through his eyes, not
[00:37:31.340 --> 00:37:34.100]   through your eyes, not through your friend's eyes, not through your partner's, but through
[00:37:34.100 --> 00:37:36.780]   his eyes.
[00:37:36.780 --> 00:37:40.060]   We are more than conquerors.
[00:37:40.060 --> 00:37:41.060]   You know what this means?
[00:37:41.060 --> 00:37:44.180]   Like every single one of us, there's not a single one of us, including myself and any
[00:37:44.180 --> 00:37:48.500]   of the leaders who have been given all the gifts.
[00:37:48.500 --> 00:37:53.420]   In the church, whether you are a small church or a larger church, every single one of you,
[00:37:53.420 --> 00:37:59.940]   no matter how mature you think you are, there are certain areas of your life are not as
[00:37:59.940 --> 00:38:03.740]   good as certain people in this church.
[00:38:03.740 --> 00:38:10.220]   Some of you are really good with discipline.
[00:38:10.220 --> 00:38:11.660]   You're really good with discipline.
[00:38:11.660 --> 00:38:12.820]   You're always a student.
[00:38:12.820 --> 00:38:14.140]   You're always high achiever.
[00:38:14.140 --> 00:38:20.620]   You do what's right to do, but you have no compassion.
[00:38:20.620 --> 00:38:21.620]   You have no compassion.
[00:38:21.620 --> 00:38:23.700]   You're always bitter and angry toward people.
[00:38:23.700 --> 00:38:29.140]   And then some of you are really good at serving.
[00:38:29.140 --> 00:38:31.340]   You're always in the background serving and cleaning.
[00:38:31.340 --> 00:38:32.340]   You're really good at it.
[00:38:32.340 --> 00:38:35.580]   You're always the first one.
[00:38:35.580 --> 00:38:40.260]   But you're so stingy.
[00:38:40.260 --> 00:38:41.260]   You're not generous.
[00:38:41.260 --> 00:38:46.780]   You just hold on to your time and your money for dear life.
[00:38:46.780 --> 00:38:50.820]   Some of you are good at praying, but you hate reading.
[00:38:50.820 --> 00:38:54.580]   Some of you are really good at theology, but you hate serving.
[00:38:54.580 --> 00:39:01.940]   There's not a single one of us who can stand and say, "I'm better than you at everything."
[00:39:01.940 --> 00:39:03.740]   There's not a single person here.
[00:39:03.740 --> 00:39:08.020]   And so what happens is God has distributed the gifts, and then you're doing your work,
[00:39:08.020 --> 00:39:11.020]   and then you're in the kitchen working, and you want to serve God.
[00:39:11.020 --> 00:39:15.500]   And then eventually you start grumbling inside, "How come nobody is helping me?"
[00:39:15.500 --> 00:39:17.060]   And then you're saying, "How come they're all outside?"
[00:39:17.060 --> 00:39:20.740]   And the people who are outside serving the snacks, and they're serving.
[00:39:20.740 --> 00:39:23.840]   And then as they're serving, how come nobody's outside?
[00:39:23.840 --> 00:39:29.580]   They only want to work inside because it's shaded.
[00:39:29.580 --> 00:39:33.220]   Here we're under the sun, so nobody's serving here.
[00:39:33.220 --> 00:39:36.860]   And then the people who are in the nursery, it's like, "Wow, the kids are acting up.
[00:39:36.860 --> 00:39:41.300]   All they want to do is serve in the kitchen, but they don't want to help with the kids."
[00:39:41.300 --> 00:39:44.660]   And the people who are in the prayer rooms, "We're praying for revival, and all these
[00:39:44.660 --> 00:39:46.620]   guys do over here is talk about theology.
[00:39:46.620 --> 00:39:50.100]   And the guys who are in theology, they're reading their scripture, and we're getting
[00:39:50.100 --> 00:39:54.100]   to deep things of God, but they're never helping out with anything else in the church."
[00:39:54.100 --> 00:39:58.420]   And you've got people who are out feeding the homeless people, but they don't care about
[00:39:58.420 --> 00:40:00.580]   people in the church.
[00:40:00.580 --> 00:40:04.980]   And so you have various gifts in the church, and everybody's doing their thing, and everybody
[00:40:04.980 --> 00:40:07.580]   thinks that everybody ought to be doing what I'm doing.
[00:40:07.580 --> 00:40:12.060]   Whatever I'm good at is what everybody else should be doing.
[00:40:12.060 --> 00:40:14.380]   And so you ruin what you're doing.
[00:40:14.380 --> 00:40:19.620]   So instead of giving it to God as an act of worship and inspiring other people to be better,
[00:40:19.620 --> 00:40:22.220]   you start saying, "Why aren't you good at this?"
[00:40:22.220 --> 00:40:25.140]   And usually what happens when somebody starts pointing fingers, "How come you're not good
[00:40:25.140 --> 00:40:27.020]   at this?"
[00:40:27.020 --> 00:40:28.380]   Somebody who's praying, "How come you don't do this?
[00:40:28.380 --> 00:40:29.380]   How come you don't do that?"
[00:40:29.380 --> 00:40:33.300]   And again, these are all things that we all ought to disciple each other and be challenged
[00:40:33.300 --> 00:40:34.300]   by.
[00:40:34.300 --> 00:40:37.340]   We're not saying that somebody who's praying should never study the Bible, or somebody
[00:40:37.340 --> 00:40:39.180]   studying the Bible should never pray.
[00:40:39.180 --> 00:40:43.500]   We're just saying if we approach sanctification by, "What is wrong with you?
[00:40:43.500 --> 00:40:47.260]   Be more like me," what is the initial response you always get?
[00:40:47.260 --> 00:40:49.500]   "Well, look at you.
[00:40:49.500 --> 00:40:51.740]   You're going to point that flashlight at me.
[00:40:51.740 --> 00:40:55.260]   Let me take that and point it at you and see what is wrong with you."
[00:40:55.260 --> 00:40:57.260]   Now you've got a bunch of people comparing.
[00:40:57.260 --> 00:41:01.060]   UCI is better than UCSD.
[00:41:01.060 --> 00:41:03.580]   Oh, UCSD.
[00:41:03.580 --> 00:41:05.140]   UCLA.
[00:41:05.140 --> 00:41:06.660]   Berkeley.
[00:41:06.660 --> 00:41:08.260]   Stanford.
[00:41:08.260 --> 00:41:10.740]   And then you've got the other people who didn't go to the UC.
[00:41:10.740 --> 00:41:14.420]   It's like, "Oh, it's me.
[00:41:14.420 --> 00:41:16.340]   I can't do anything."
[00:41:16.340 --> 00:41:20.340]   And then that's the environment that you create in the church.
[00:41:20.340 --> 00:41:23.540]   And we're not worshiping God.
[00:41:23.540 --> 00:41:28.580]   You know, typically when we think of discipleship, we think it's like one person discipling another
[00:41:28.580 --> 00:41:29.580]   person.
[00:41:29.580 --> 00:41:33.220]   I mean, that is one of the methods that we could use to do that.
[00:41:33.220 --> 00:41:36.980]   But you know the beauty of the church is we disciple each other.
[00:41:36.980 --> 00:41:43.780]   We disciple each other because some of you are so compassionate.
[00:41:43.780 --> 00:41:45.540]   You are willing to drop everything.
[00:41:45.540 --> 00:41:49.740]   If somebody gets sick, you don't think about money.
[00:41:49.740 --> 00:41:52.420]   You don't think about time.
[00:41:52.420 --> 00:41:56.540]   Your life falls apart when somebody gets sick.
[00:41:56.540 --> 00:41:57.540]   You go running.
[00:41:57.540 --> 00:41:58.940]   You're by their bedside.
[00:41:58.940 --> 00:42:00.300]   You're there in the morning and night.
[00:42:00.300 --> 00:42:03.820]   You pick them up and like, "Wow."
[00:42:03.820 --> 00:42:09.380]   And I watch some of you guys in the way that you just have compassion.
[00:42:09.380 --> 00:42:10.700]   And that disciples me.
[00:42:10.700 --> 00:42:11.820]   You don't need to tell me that.
[00:42:11.820 --> 00:42:13.820]   I've watched your life and that disciples me.
[00:42:13.820 --> 00:42:16.260]   I need to be better at that.
[00:42:16.260 --> 00:42:22.540]   Some of you guys are volunteer captains.
