
[00:00:00.000 --> 00:00:01.400]   Let's bring him out.
[00:13:54.680 --> 00:13:56.720]   we turn around and we use that to sell products,
[00:13:56.720 --> 00:13:58.320]   sell a couple hundred million of that a year,
[00:13:58.320 --> 00:14:00.560]   and then we use that to put it back into the content.
[00:14:00.560 --> 00:14:05.280]   Is there pressure to tone down the consumerism
[00:14:05.280 --> 00:14:07.760]   or the giving away money?
[00:14:07.760 --> 00:14:09.240]   I'm sure there's a faction of people
[00:14:09.240 --> 00:14:11.560]   that either find that offensive or they
[00:14:11.560 --> 00:14:13.120]   think it's exploitative.
[00:14:13.120 --> 00:14:14.800]   How do you deal with that?
[00:14:14.800 --> 00:14:17.360]   No, not really, to be honest.
[00:14:17.360 --> 00:14:19.440]   Most people think it's cool because it's
[00:14:19.440 --> 00:14:23.240]   kind of fun to watch someone receive $10,000 or a Lamborghini
[00:14:23.240 --> 00:14:24.560]   or a house.
[00:14:24.560 --> 00:14:26.800]   The last thing we did was I ordered pizza and tipped
[00:14:26.800 --> 00:14:27.480]   the guy a house.
[00:14:27.480 --> 00:14:31.360]   And I thought it was cool.
[00:14:31.360 --> 00:14:32.600]   Not bad.
[00:14:32.600 --> 00:14:34.680]   I actually ordered two pizzas, one from Domino's
[00:14:34.680 --> 00:14:35.640]   and one from Pizza Hut.
[00:14:35.640 --> 00:14:37.560]   And the guy who got there first got the house.
[00:14:37.560 --> 00:14:39.040]   I mean, there was.
[00:14:39.040 --> 00:14:40.440]   The Domino's guy got it.
[00:14:40.440 --> 00:14:41.520]   So I ordered Domino's.
[00:14:41.520 --> 00:14:43.480]   I think, no, but didn't you do something--
[00:14:43.480 --> 00:14:45.200]   it was curing blindness?
[00:14:45.200 --> 00:14:45.700]   Yes.
[00:14:45.700 --> 00:14:47.920]   Yeah, there was like 10 Karen's who got upset.
[00:14:47.920 --> 00:14:48.840]   And people were like--
[00:14:48.840 --> 00:14:49.880]   There were people, right?
[00:14:49.880 --> 00:14:51.040]   Like 10 Karen's got upset.
[00:14:51.040 --> 00:14:52.040]   And it was like, really?
[00:14:52.040 --> 00:14:53.480]   At the end of the day, as long as I
[00:14:53.480 --> 00:14:56.200]   think what I'm doing is good and helping people,
[00:14:56.200 --> 00:14:58.040]   obviously, at the scale of our views,
[00:14:58.040 --> 00:14:59.480]   that video got 200 million views.
[00:14:59.480 --> 00:15:02.560]   Of course, some subsection is going to be mad.
[00:15:02.560 --> 00:15:05.320]   It's just kind of at that number,
[00:15:05.320 --> 00:15:07.120]   it's just inevitable that people will be unhappy.
[00:15:07.120 --> 00:15:09.800]   There's a piece of your business that actually many people
[00:15:09.800 --> 00:15:12.200]   probably don't know about outside the commercial part,
[00:15:12.200 --> 00:15:13.640]   which is Beats Philanthropy.
[00:15:13.640 --> 00:15:15.960]   You want to tell people about the size of the food bank
[00:15:15.960 --> 00:15:17.600]   you've built and how that works?
[00:15:17.600 --> 00:15:18.520]   Sure.
[00:15:18.520 --> 00:15:21.320]   So I just-- I feel we're talking about it myself,
[00:15:21.320 --> 00:15:23.560]   but we essentially just started a charity
[00:15:23.560 --> 00:15:25.880]   and then made a YouTube channel where
[00:15:25.880 --> 00:15:28.360]   whatever we do with the money from the charity, we film it.
[00:15:28.360 --> 00:15:30.120]   So that generates revenue on the back end.
[00:15:30.120 --> 00:15:32.000]   And obviously, those videos go on
[00:15:32.000 --> 00:15:33.680]   to raise a lot of money for donations.
[00:15:33.680 --> 00:15:36.440]   And so it's just kind of a cycle where we upload a video a week
[00:15:36.440 --> 00:15:38.440]   and we were able to build a couple of food banks
[00:15:38.440 --> 00:15:40.200]   and feed a couple hundred thousand people,
[00:15:40.200 --> 00:15:41.000]   that kind of stuff.
[00:15:41.000 --> 00:15:43.400]   [APPLAUSE]
[00:15:47.960 --> 00:15:52.400]   You want to talk about the business model in the future?
[00:15:52.400 --> 00:15:55.360]   So you have basically this YouTube business.
[00:15:55.360 --> 00:15:59.640]   And that goal is essentially just maximize growth.
[00:15:59.640 --> 00:16:01.280]   Yeah, just make content people want
[00:16:01.280 --> 00:16:02.640]   and get as many views as possible.
[00:16:02.640 --> 00:16:04.600]   And as J. Cal said, build distribution and direct it
[00:16:04.600 --> 00:16:05.880]   at these old legacy companies.
[00:16:05.880 --> 00:16:07.560]   Are there things-- but you said you
[00:16:07.560 --> 00:16:09.480]   wanted to do things that were just like--
[00:16:09.480 --> 00:16:11.160]   it seemed less offline, right?
[00:16:11.160 --> 00:16:14.000]   So I'm sure you looked at online things.
[00:16:14.000 --> 00:16:15.160]   Yeah.
[00:16:15.160 --> 00:16:16.840]   I mean, right now, it's just like--
[00:16:16.840 --> 00:16:19.560]   the reason we started with chocolate is, obviously,
[00:16:19.560 --> 00:16:21.160]   in the last 50 years, there hasn't
[00:16:21.160 --> 00:16:24.120]   been any major chocolate company that has spawned up.
[00:16:24.120 --> 00:16:25.840]   Like Hershey's, Limp, Mars, Farrar,
[00:16:25.840 --> 00:16:27.200]   they're all like 100 years old.
[00:16:27.200 --> 00:16:28.920]   And so it's kind of just a sleepy space
[00:16:28.920 --> 00:16:31.240]   where they don't really innovate and it's kind of boring
[00:16:31.240 --> 00:16:32.440]   and no one really cares.
[00:16:32.440 --> 00:16:34.660]   And so obviously, eventually, we'll
[00:16:34.660 --> 00:16:36.040]   do online because it's much easier
[00:16:36.040 --> 00:16:38.500]   to get people to download an app to buy a physical product.
[00:16:38.500 --> 00:16:41.000]   But it's just kind of perfect because the shelf space never
[00:16:41.000 --> 00:16:42.720]   changed and people want something new.
[00:16:42.720 --> 00:16:47.120]   And so it was easy to take over.
[00:16:47.120 --> 00:16:51.120]   How big is that business for you, can you say?
[00:16:51.120 --> 00:16:52.280]   This is our second year.
[00:16:52.280 --> 00:16:53.880]   We'll do a couple hundred million.
[00:16:53.880 --> 00:16:54.800]   Wow.
[00:16:54.800 --> 00:16:55.300]   OK, wait.
[00:16:55.300 --> 00:16:57.720]   So we just guessed about the math here.
[00:16:57.720 --> 00:17:02.360]   You said a billion views a month at $5 CPM.
[00:17:02.360 --> 00:17:04.280]   So it's $5 million a month for the video,
[00:17:04.280 --> 00:17:05.800]   so $60 million a year.
[00:17:05.800 --> 00:17:08.280]   And the chocolate bars will do $200?
[00:17:08.280 --> 00:17:10.120]   I mean, we're not really public about it,
[00:17:10.120 --> 00:17:11.400]   but it'll do a lot of revenue.
[00:17:11.400 --> 00:17:14.360]   We'll figure it out.
[00:17:14.360 --> 00:17:16.720]   They'll do something, more than a penny.
[00:17:16.720 --> 00:17:19.080]   What do you think about the success of Prime?
[00:17:19.080 --> 00:17:20.200]   How do you look at that?
[00:17:20.200 --> 00:17:21.200]   Yeah, they're killing it.
[00:17:21.200 --> 00:17:23.440]   I mean, yeah, that's a great case study.
[00:17:23.440 --> 00:17:24.080]   It's just--
[00:17:24.080 --> 00:17:25.880]   Because I heard you can build--
[00:17:25.880 --> 00:17:26.380]   You never--
[00:17:26.380 --> 00:17:27.720]   I heard two years ago you can--
[00:17:27.720 --> 00:17:28.440]   --billion revenue, right?
[00:17:28.440 --> 00:17:30.560]   Well, I don't know about that, or at least I
[00:17:30.560 --> 00:17:31.360]   can't say publicly.
[00:17:31.360 --> 00:17:33.680]   But I can say you never would have thought
[00:17:33.680 --> 00:17:36.520]   tens of millions of kids, or at least millions of kids,
[00:17:36.520 --> 00:17:39.600]   would be so enthusiastic about a sports stream.
[00:17:39.600 --> 00:17:41.360]   It's crazy the kind of demand they've
[00:17:41.360 --> 00:17:44.240]   created, like kids literally collect Prime bottles,
[00:17:44.240 --> 00:17:46.080]   and then TikToks go viral showing off
[00:17:46.080 --> 00:17:48.560]   their collection of drink bottles that are like $3
[00:17:48.560 --> 00:17:49.080]   or whatever.
[00:17:49.080 --> 00:17:51.040]   Raise your hand if you've got kids that do that.
[00:17:51.040 --> 00:17:52.160]   Yeah, it's wild.
[00:17:52.160 --> 00:17:55.560]   I mean, so Prime was great because obviously it's
[00:17:55.560 --> 00:17:57.480]   a beverage, and the more shelf space you get,
[00:17:57.480 --> 00:17:58.720]   just naturally the more sales.
[00:17:58.720 --> 00:18:01.080]   But it was more a lifestyle brand
[00:18:01.080 --> 00:18:04.200]   they created where just kids felt cool drinking it,
[00:18:04.200 --> 00:18:07.200]   and to the point where they would buy a 12 pack for like $15
[00:18:07.200 --> 00:18:10.040]   and then sell them for like $6 a bottle at their school, which
[00:18:10.040 --> 00:18:12.080]   is like something that happens in almost every school
[00:18:12.080 --> 00:18:12.560]   in America.
[00:18:12.560 --> 00:18:15.480]   It's crazy, still to this day after like a year and a half.
[00:18:15.480 --> 00:18:18.200]   One of the things that I think if you taste Prime that it has
[00:18:18.200 --> 00:18:19.880]   is a ton of sucralose, right?
[00:18:19.880 --> 00:18:24.840]   So it tastes super like bam, big mouth feel.
[00:18:24.840 --> 00:18:29.040]   Where's your thinking on like the line between nutrition
[00:18:29.040 --> 00:18:31.200]   versus just tastes good for the products you have
[00:18:31.200 --> 00:18:32.760]   and the products you want to build,
[00:18:32.760 --> 00:18:34.160]   and where do you want to take that?
[00:18:34.160 --> 00:18:34.480]   Oh, great.
[00:18:34.480 --> 00:18:35.640]   I think that's very important.
[00:18:35.640 --> 00:18:37.960]   That's why our chocolate, we only use four ingredients,
[00:18:37.960 --> 00:18:39.240]   whereas Hershey's uses nine.
[00:18:39.240 --> 00:18:41.720]   Because obviously, since we have this much influence,
[00:18:41.720 --> 00:18:44.160]   we don't want to just make people--
[00:18:44.160 --> 00:18:46.080]   whatever we sell needs to be better than what's
[00:18:46.080 --> 00:18:46.840]   currently on the shelf.
[00:18:46.840 --> 00:18:48.120]   Or then it's just a net negative,
[00:18:48.120 --> 00:18:48.640]   you know what I mean?
[00:18:48.640 --> 00:18:50.880]   Better for you, higher quality ingredients, et cetera.
[00:18:50.880 --> 00:18:54.480]   So yeah, I mean, in a nutshell, that's kind of how I view it.
[00:18:54.480 --> 00:18:55.880]   And so what are these other areas
[00:18:55.880 --> 00:18:58.240]   then that just make maybe obvious sense,
[00:18:58.240 --> 00:19:00.640]   if you could snap your fingers and just--
[00:19:00.640 --> 00:19:02.640]   Yeah, well, I think the simplest thing--
[00:19:02.640 --> 00:19:05.800]   the more I've studied chocolate and see it--
[00:19:05.800 --> 00:19:07.360]   we started with-- well, funny enough,
[00:19:07.360 --> 00:19:10.000]   we started selling dark chocolate, which 65% of kids
[00:19:10.000 --> 00:19:11.080]   in America don't even like.
[00:19:11.080 --> 00:19:13.960]   So that was kind of dumb, but I didn't know any better.
[00:19:13.960 --> 00:19:16.480]   So I mean, the simplest thing is do milk chocolate,
[00:19:16.480 --> 00:19:17.800]   which is what we're getting into,
[00:19:17.800 --> 00:19:21.840]   and then just going down and maximizing chocolate,
[00:19:21.840 --> 00:19:24.520]   doing Reese's cups and that kind of stuff.
[00:19:24.520 --> 00:19:27.080]   So past chocolate, I haven't really thought about it,
[00:19:27.080 --> 00:19:29.960]   because that's basically all I'm thinking about for next year.
[00:19:29.960 --> 00:19:33.040]   Do you think the candy business can be a billion dollar revenue
[00:19:33.040 --> 00:19:33.680]   business?
[00:19:33.680 --> 00:19:34.560]   Oh, yeah, of course.
[00:19:34.560 --> 00:19:35.880]   I mean, look at Hershey's.
[00:19:35.880 --> 00:19:38.800]   What are they doing, $12 billion a year, Mars, tens of billions?
[00:19:38.800 --> 00:19:41.200]   I mean, in America alone, I think
[00:19:41.200 --> 00:19:43.680]   people spend $25 billion a year on chocolate.
[00:19:43.680 --> 00:19:45.240]   And there's no one in those companies
[00:19:45.240 --> 00:19:46.640]   building a Mr. Beast competitor.
[00:19:46.640 --> 00:19:47.160]   I mean--
[00:19:47.160 --> 00:19:48.080]   From a brand perspective.
[00:19:48.080 --> 00:19:49.000]   There's no one in those companies
[00:19:49.000 --> 00:19:49.720]   that build the companies.
[00:19:49.720 --> 00:19:50.840]   They're like 100 years old.
[00:19:50.840 --> 00:19:51.880]   Yeah.
[00:19:51.880 --> 00:19:53.280]   They're all dead.
[00:19:53.280 --> 00:19:55.000]   But yeah.
[00:19:55.000 --> 00:19:57.960]   How do you-- you must have a ton of inbound
[00:19:57.960 --> 00:20:02.120]   to do things outside of the Mr. Beast realm, Hollywood, et
[00:20:02.120 --> 00:20:02.880]   cetera.
[00:20:02.880 --> 00:20:06.200]   How do you sort through all the inbound opportunities
[00:20:06.200 --> 00:20:07.520]   and then organize?
[00:20:07.520 --> 00:20:08.880]   Because you could, I would suspect,
[00:20:08.880 --> 00:20:10.680]   be drowning in opportunity at this point
[00:20:10.680 --> 00:20:11.920]   with this level of notoriety.
[00:20:11.920 --> 00:20:12.420]   Yeah.
[00:20:12.420 --> 00:20:13.960]   Well, that's why we are where we are,
[00:20:13.960 --> 00:20:17.160]   is because we just laser-focus on one thing for essentially
[00:20:17.160 --> 00:20:18.040]   my entire life.
[00:20:18.040 --> 00:20:19.480]   And so it's pretty easy.
[00:20:19.480 --> 00:20:20.840]   I just say no.
[00:20:20.840 --> 00:20:21.600]   Everything.
[00:20:21.600 --> 00:20:26.680]   And then, yeah, because it's like, obviously,
[00:20:26.680 --> 00:20:29.400]   to make the videos of the caliber we need,
[00:20:29.400 --> 00:20:31.680]   it's just like, that's been my obsession for the last 14
[00:20:31.680 --> 00:20:33.520]   years, almost every waking hour of the day,
[00:20:33.520 --> 00:20:37.120]   just obsessing over every little thing.
[00:20:37.120 --> 00:20:39.560]   Even simple things like when you click on a video,
[00:20:39.560 --> 00:20:41.100]   the brightness in the video matters.
[00:20:41.100 --> 00:20:42.680]   Like if it's a little too dark, people
[00:20:42.680 --> 00:20:44.800]   are more apt to click off and not watch it,
[00:20:44.800 --> 00:20:46.920]   because not everyone has their phone screen brightness turned
[00:20:46.920 --> 00:20:46.920]   up.
[00:20:46.920 --> 00:20:49.280]   You did something with your mouth being open or closed
[00:20:49.280 --> 00:20:51.320]   in the thumbnail, and it changed click-throughs.
[00:20:51.320 --> 00:20:52.360]   That was a new A/B test.
[00:20:52.360 --> 00:20:55.360]   Well, the problem is whatever I do, a bunch of other people do,
[00:20:55.360 --> 00:20:57.480]   and I started opening my mouth in my thumbnails,
[00:20:57.480 --> 00:20:58.600]   and it's kind of annoying.
[00:20:58.600 --> 00:21:00.480]   And then a bunch of other creators did it.
[00:21:00.480 --> 00:21:02.520]   And I was like, OK, we're not doing this anymore.
[00:21:02.520 --> 00:21:03.640]   So I switched them back.
[00:21:03.640 --> 00:21:04.440]   What's the budget?
[00:21:04.440 --> 00:21:04.920]   So everyone else will switch them back.
[00:21:04.920 --> 00:21:06.680]   What's the budget on each video now?
[00:21:06.680 --> 00:21:09.880]   So every two weeks, how much money goes into that video?
[00:21:09.880 --> 00:21:12.120]   I think right now it's around $2.5 million per video.
[00:21:12.120 --> 00:21:12.600]   Oh, OK.
[00:21:12.600 --> 00:21:13.240]   Yeah.
[00:21:13.240 --> 00:21:14.480]   That's like making an independent film
[00:21:14.480 --> 00:21:15.240]   every two weeks.
[00:21:15.240 --> 00:21:15.480]   Yeah.
[00:21:15.480 --> 00:21:17.520]   But I mean, I don't think it's that crazy, though,
[00:21:17.520 --> 00:21:20.320]   because they're getting like 100 million views in seven days.
[00:21:20.320 --> 00:21:23.480]   So if anything, any other medium outside of social media
[00:21:23.480 --> 00:21:24.900]   that got that kind of viewership,
[00:21:24.900 --> 00:21:26.200]   their budget would be like 50x.
[00:21:26.200 --> 00:21:26.560]   You know what I mean?
[00:21:26.560 --> 00:21:27.120]   Absolutely.
[00:21:27.120 --> 00:21:27.640]   Yeah.
[00:21:27.640 --> 00:21:29.520]   Do you think that you're building a library?
[00:21:29.520 --> 00:21:32.600]   Do you expect that the video that you created,
[00:21:32.600 --> 00:21:35.720]   the Olympic games thing you did a few weeks ago, in five years,
[00:21:35.720 --> 00:21:37.480]   that that'll still be--
[00:21:37.480 --> 00:21:40.080]   that'll have some value 15 years from now?
[00:21:40.080 --> 00:21:41.120]   Well, 15, I don't know.
[00:21:41.120 --> 00:21:41.880]   But five, yes.
[00:21:41.880 --> 00:21:43.840]   Usually, whenever we upload a piece of content,
[00:21:43.840 --> 00:21:46.040]   we'll get a couple million views a month.
[00:21:46.040 --> 00:21:47.360]   As of right now, forever.
[00:21:47.360 --> 00:21:49.480]   But obviously, eventually, it'll probably die off.
[00:21:49.480 --> 00:21:51.040]   But they're usually pretty evergreen.
[00:21:51.040 --> 00:21:53.760]   Because right now, because we have the model where
[00:21:53.760 --> 00:21:55.640]   we're making money outside of YouTube so I can spend more,
[00:21:55.640 --> 00:21:57.320]   it's like you have this video that's
[00:21:57.320 --> 00:22:00.920]   $2.5 million budget or another video that's $2.5,000 budget.
[00:22:00.920 --> 00:22:02.920]   And so right now, usually people end up
[00:22:02.920 --> 00:22:04.520]   just clicking on the cooler stuff.
[00:22:04.520 --> 00:22:07.880]   And then how do you think about just the axis of going
[00:22:07.880 --> 00:22:08.960]   outside the United States?
[00:22:08.960 --> 00:22:10.800]   So different languages, different countries.
[00:22:10.800 --> 00:22:12.560]   How do you deal with that?
[00:22:12.560 --> 00:22:13.400]   That's the best part.
[00:22:13.400 --> 00:22:16.140]   So as you know, we hired voice actors
[00:22:16.140 --> 00:22:17.720]   to dub our videos in every language.
[00:22:17.720 --> 00:22:20.880]   And I assume a lot of you guys here are content creators.
[00:22:20.880 --> 00:22:23.960]   And the crazy part is only 10% of the world speaks English.
[00:22:23.960 --> 00:22:25.760]   So if your content's only in English,
[00:22:25.760 --> 00:22:28.800]   it's pretty hard to obviously reach most of the world.
[00:22:28.800 --> 00:22:31.240]   Even subtitles, most people don't prefer it.
[00:22:31.240 --> 00:22:34.960]   So if you dub your videos, hire voice actors or whatever,
[00:22:34.960 --> 00:22:36.360]   your viewership will skyrocket.
[00:22:36.360 --> 00:22:38.760]   And so right now, over half the people that watch my videos
[00:22:38.760 --> 00:22:41.840]   don't even speak English, which is pretty crazy.
[00:22:41.840 --> 00:22:44.200]   Tell me about the relationship with YouTube
[00:22:44.200 --> 00:22:45.800]   and how that's evolved over the years.
[00:22:45.800 --> 00:22:48.360]   Because I don't know they anticipated
[00:22:48.360 --> 00:22:52.320]   that the footprint of the top creators on YouTube
[00:22:52.320 --> 00:22:54.160]   would get so large.
[00:22:54.160 --> 00:22:57.880]   Are they deeply involved in communicating with you?
[00:22:57.880 --> 00:22:59.280]   Or are they just like, hey, we're a platform.
[00:22:59.280 --> 00:23:00.520]   Post a video if you like it.
[00:23:00.520 --> 00:23:01.800]   It's that.
[00:23:01.800 --> 00:23:03.640]   That's extraordinary to me.
[00:23:03.640 --> 00:23:05.560]   I mean, I kind of like it because then no one
[00:23:05.560 --> 00:23:08.600]   can say there's favoritism or they're helping us in any way.
[00:23:08.600 --> 00:23:10.920]   But agreed, even when I was coming up,
[00:23:10.920 --> 00:23:12.760]   people were getting 10 million views a video.
[00:23:12.760 --> 00:23:14.520]   And that was mind-blowing.
[00:23:14.520 --> 00:23:17.120]   And their life cycle would be like a year, and they'd fall off.
[00:23:17.120 --> 00:23:18.880]   So it's kind of crazy.
[00:23:18.880 --> 00:23:20.640]   I don't really know how we ended up getting this big.
[00:23:20.640 --> 00:23:22.180]   Was there ever a thought to tell them
[00:23:22.180 --> 00:23:25.280]   to make a higher minimum per RPM,
[00:23:25.280 --> 00:23:28.640]   and I'd like to cut a deal with you to hit these numbers
[00:23:28.640 --> 00:23:29.800]   and be treated differently?
[00:23:29.800 --> 00:23:31.760]   They'd be like, well, then everyone's going to want that.
[00:23:31.760 --> 00:23:33.200]   Because if they do it with me, then
[00:23:33.200 --> 00:23:34.480]   they would open the floodgates.
[00:23:34.480 --> 00:23:36.960]   They would just tell me, spend less money.
[00:23:36.960 --> 00:23:37.460]   Got it.
[00:23:37.460 --> 00:23:37.920]   Interesting.
[00:23:37.920 --> 00:23:40.120]   Because no one's forcing me to spend this much money.
[00:23:40.120 --> 00:23:42.000]   It's kind of the problem.
[00:23:42.000 --> 00:23:45.080]   Technically, most people don't spend hardly any money.
[00:23:45.080 --> 00:23:46.640]   But there was a moment in time where
[00:23:46.640 --> 00:23:50.360]   Microsoft started stealing away some YouTubers and folks
[00:23:50.360 --> 00:23:51.840]   for their Twitch competitor.
[00:23:51.840 --> 00:23:53.400]   Did you get those kind of offers?
[00:23:53.400 --> 00:23:54.820]   And then how did you evaluate them?
[00:23:54.820 --> 00:23:57.320]   Well, the problem is, like I said at the start,
[00:23:57.320 --> 00:23:58.780]   YouTube's where all the viewers are.
[00:23:58.780 --> 00:24:01.000]   So it's like, sure, you can get a little bit of money.
[00:24:01.000 --> 00:24:02.620]   But ultimately, the real game is if you
[00:24:02.620 --> 00:24:05.600]   can get a billion views a month for 10 years,
[00:24:05.600 --> 00:24:08.280]   whatever, the amount of brands we could build is insane.
[00:24:08.280 --> 00:24:08.780]   Yeah.
[00:24:08.780 --> 00:24:11.120]   I mean, it is the great success of YouTube
[00:24:11.120 --> 00:24:12.840]   that they've hit this level of scale.
[00:24:12.840 --> 00:24:13.340]   Exactly.
[00:24:13.340 --> 00:24:14.960]   And the features and stuff on that--
[00:24:14.960 --> 00:24:16.180]   YouTube is the only platform right now
[00:24:16.180 --> 00:24:18.420]   where you can upload a video in different languages.
[00:24:18.420 --> 00:24:21.440]   So if someone clicks my video in Mexico, I'll speak Spanish.
[00:24:21.440 --> 00:24:22.720]   Whereas if you click it in America, I'll speak English.
[00:24:22.720 --> 00:24:24.600]   That feature is in beta right now.
[00:24:24.600 --> 00:24:25.100]   Yeah.
[00:24:25.100 --> 00:24:26.400]   Well, they rolled it out to other people.
[00:24:26.400 --> 00:24:29.000]   But on TikTok, Facebook, no other platform can you do that.
[00:24:29.000 --> 00:24:30.520]   So YouTube's the only place right now
[00:24:30.520 --> 00:24:32.440]   where you can actually have a global audience.
[00:24:32.440 --> 00:24:33.980]   Do you provide the voiceover person?
[00:24:33.980 --> 00:24:35.280]   Or is that done automatically?
[00:24:35.280 --> 00:24:35.560]   Yeah.
[00:24:35.560 --> 00:24:38.020]   Because they're working on an automatic version, I was told.
[00:24:38.020 --> 00:24:38.800]   Yeah.
[00:24:38.800 --> 00:24:40.600]   For the first-- or the next two years,
[00:24:40.600 --> 00:24:41.480]   it'll probably sound terrible.
[00:24:41.480 --> 00:24:43.920]   But of course, at some time in the near future,
[00:24:43.920 --> 00:24:45.320]   AI dubbing will--
[00:24:45.320 --> 00:24:47.680]   We get hit up about that all the time for the all-in-one.
[00:24:47.680 --> 00:24:50.060]   Right now, I've trained a ton of different voice models.
[00:24:50.060 --> 00:24:51.480]   And they sound terrible.
[00:24:51.480 --> 00:24:53.520]   But it is obviously getting better very quickly.
[00:24:53.520 --> 00:24:56.100]   Have you published any to see what the viewership looks like?
[00:24:56.100 --> 00:24:56.600]   Yeah.
[00:24:56.600 --> 00:24:58.640]   AIME versus real voice actors?
[00:24:58.640 --> 00:24:59.140]   We have.
[00:24:59.140 --> 00:25:01.880]   And it's usually-- so if it's a one-minute video,
[00:25:01.880 --> 00:25:03.580]   and the retention with normal voice actors
[00:25:03.580 --> 00:25:05.360]   is 45 seconds, it'll be like 42.
[00:25:05.360 --> 00:25:07.040]   But it'll also be a lot of comments like,
[00:25:07.040 --> 00:25:08.340]   why does he sound slightly off?
[00:25:08.340 --> 00:25:10.580]   So the retention isn't as bad as you would think.
[00:25:10.580 --> 00:25:11.900]   But it's still like--
[00:25:11.900 --> 00:25:13.540]   You can tell the quality score's lower.
[00:25:13.540 --> 00:25:15.400]   Yeah, exactly.
[00:25:15.400 --> 00:25:17.360]   The thing is, when you're using dubs,
[00:25:17.360 --> 00:25:18.500]   you're already at a disadvantage.
[00:25:18.500 --> 00:25:19.580]   Because they can choose to watch someone
[00:25:19.580 --> 00:25:21.240]   in their native language, or watch you
[00:25:21.240 --> 00:25:23.200]   with a guy speaking over your lips.
[00:25:23.200 --> 00:25:25.120]   And so if it's not as good as--
[00:25:25.120 --> 00:25:26.920]   you're already down here a little bit worse.
[00:25:26.920 --> 00:25:29.800]   And then if you use AI dubbing, it's even worse.
[00:25:29.800 --> 00:25:34.280]   I think video games are six times the revenue for movies
[00:25:34.280 --> 00:25:34.800]   today.
[00:25:34.800 --> 00:25:36.800]   Have you thought about video games?
[00:25:36.800 --> 00:25:38.280]   I've got to assume folks have approached you.
[00:25:38.280 --> 00:25:39.600]   And how do you think about the video game industry?
[00:25:39.600 --> 00:25:41.480]   Because you have a lot of audience overlap,
[00:25:41.480 --> 00:25:42.280]   I've got to imagine.
[00:25:42.280 --> 00:25:43.480]   Yeah.
[00:25:43.480 --> 00:25:45.020]   To be honest, I tried to build one.
[00:25:45.020 --> 00:25:47.760]   And then six months in, I was like, oh,
[00:25:47.760 --> 00:25:48.760]   these things take years.
[00:25:48.760 --> 00:25:50.720]   And then I was like, I'd rather sell chocolate.
[00:25:50.720 --> 00:25:53.160]   So yeah, that was kind of the extent of it.
[00:25:53.160 --> 00:25:54.740]   I mean, obviously, it's a no-brainer.
[00:25:54.740 --> 00:25:57.040]   Because it's much easier just to tell people to download it.
[00:25:57.040 --> 00:25:59.340]   Just click the link in the description and download it.
[00:25:59.340 --> 00:26:00.640]   But I've just found that--
[00:26:00.640 --> 00:26:02.360]   I don't know.
[00:26:02.360 --> 00:26:03.720]   I just keep going back to it.
[00:26:03.720 --> 00:26:07.060]   Making confectionery products is just so much more fun.
[00:26:07.060 --> 00:26:10.600]   And 100 million people are walking to Walmart every month.
[00:26:10.600 --> 00:26:12.320]   And if you don't have a product there,
[00:26:12.320 --> 00:26:13.360]   there's nothing for them to buy.
[00:26:13.360 --> 00:26:15.080]   And so I just want to maximize that,
[00:26:15.080 --> 00:26:17.960]   getting something in every retailer in America first.
[00:26:17.960 --> 00:26:19.840]   One of the things that you've done
[00:26:19.840 --> 00:26:24.600]   is you've mentored younger content creators coming up.
[00:26:24.600 --> 00:26:26.220]   Who are people that you look at that
[00:26:26.220 --> 00:26:28.400]   are creating things that you think are interesting,
[00:26:28.400 --> 00:26:29.800]   whether it's formats or--
[00:26:29.800 --> 00:26:30.300]   I'm curious.
[00:26:30.300 --> 00:26:32.360]   How many of you guys make content out there?
[00:26:32.360 --> 00:26:33.840]   Like, anything?
[00:26:33.840 --> 00:26:34.600]   OK.
[00:26:34.600 --> 00:26:36.640]   I mean, we do.
[00:26:36.640 --> 00:26:37.240]   A little bit.
[00:26:37.240 --> 00:26:37.760]   I guess so.
[00:26:37.760 --> 00:26:38.840]   Actually, do you have--
[00:26:38.840 --> 00:26:40.080]   I guess we're many podcasters.
[00:26:40.080 --> 00:26:40.920]   --podcasts for us?
[00:26:40.920 --> 00:26:43.640]   I mean, our viewership on YouTube
[00:26:43.640 --> 00:26:45.480]   is embarrassingly small compared to yours.
[00:26:45.480 --> 00:26:46.860]   One of the things he did first was
[00:26:46.860 --> 00:26:48.280]   he ripped apart our thumbnails.
[00:26:48.280 --> 00:26:48.780]   Oh, yeah?
[00:26:48.780 --> 00:26:50.520]   He said our thumbnails were total shit.
[00:26:50.520 --> 00:26:51.160]   I mean, that--
[00:26:51.160 --> 00:26:51.660]   Remember?
[00:26:51.660 --> 00:26:52.920]   And we gave that to Nick.
[00:26:52.920 --> 00:26:54.440]   Was I joking, or was I being serious?
[00:26:54.440 --> 00:26:54.960]   No, you were--
[00:26:54.960 --> 00:26:55.440]   Oh, I mean--
[00:26:55.440 --> 00:26:56.320]   So I think you guys, like--
[00:26:56.320 --> 00:26:57.560]   I mean, clearly, it's working.
[00:26:57.560 --> 00:27:00.200]   I think that no one cares about your guys' thumbnails.
[00:27:00.200 --> 00:27:02.360]   I think the big thing is the value you guys provide
[00:27:02.360 --> 00:27:03.640]   and that it's a--
[00:27:03.640 --> 00:27:05.720]   Should we not close our mouths now in thumbnails?
