
[00:00:00.000 --> 00:00:06.920]   [BLANK_AUDIO]
[00:21:44.000 --> 00:21:44.480]   Succotilly.
[00:21:44.480 --> 00:21:44.960]   Succotilly.
[00:21:44.960 --> 00:21:45.960]   Respect.
[00:21:45.960 --> 00:21:47.960]   Just a little bit of respect.
[00:21:47.960 --> 00:21:49.440]   Just a little bit of respect.
[00:21:49.440 --> 00:21:49.960]   Succotilly.
[00:21:49.960 --> 00:21:50.440]   Succotilly.
[00:21:50.440 --> 00:21:50.920]   Succotilly.
[00:21:50.920 --> 00:21:51.440]   Succotilly.
[00:21:51.440 --> 00:21:51.920]   Succotilly.
[00:21:51.920 --> 00:21:52.440]   Succotilly.
[00:21:52.440 --> 00:21:52.920]   Succotilly.
[00:21:52.920 --> 00:21:53.440]   Succotilly.
[00:21:53.440 --> 00:21:54.440]   Respect.
[00:21:54.440 --> 00:21:55.920]   Just a little bit of respect.
[00:21:55.920 --> 00:21:56.920]   Okay.
[00:21:56.920 --> 00:21:57.920]   All right.
[00:21:57.920 --> 00:21:58.920]   Now I can really do it.
[00:21:58.920 --> 00:22:02.920]   Give me another hand clap.
[00:22:02.920 --> 00:22:03.920]   All right.
[00:22:03.920 --> 00:22:06.920]   That's what I'm talking about.
[00:22:06.920 --> 00:22:07.920]   All right.
[00:22:07.920 --> 00:22:08.920]   All right.
[00:22:08.920 --> 00:22:11.920]   So, if you're not already taking notes, I want you to take notes.
[00:22:11.920 --> 00:22:12.920]   Okay?
[00:22:12.920 --> 00:22:17.920]   Because this weekend, women, I need you to ask yourself this question.
[00:22:17.920 --> 00:22:18.920]   Okay?
[00:22:18.920 --> 00:22:20.920]   All my wives in the room.
[00:22:20.920 --> 00:22:26.920]   In what ways, in your relationship presently, and even when you guys get into small groups,
[00:22:26.920 --> 00:22:30.920]   you ask to discuss this, this can be some of your discussion questions.
[00:22:30.920 --> 00:22:35.920]   In what ways are you lacking in submissive respect?
[00:22:35.920 --> 00:22:40.920]   Is there a particular situation right now that you can identify in your relationship
[00:22:40.920 --> 00:22:45.920]   where you know in your heart or in your actions where there's not a demeanor of submissive
[00:22:45.920 --> 00:22:47.920]   respect that you're exhibiting?
[00:22:47.920 --> 00:22:52.920]   Maybe you're in a season presently where you're just really struggling with submitting and
[00:22:52.920 --> 00:22:56.920]   respecting your husband in his leadership or in some area.
[00:22:56.920 --> 00:23:01.920]   Maybe God is calling you right now to an area where you know he's been saying, you got to
[00:23:01.920 --> 00:23:02.920]   respect him more here.
[00:23:02.920 --> 00:23:04.920]   You got to submit right here.
[00:23:04.920 --> 00:23:07.920]   I want you to begin to think about and identify that.
[00:23:07.920 --> 00:23:11.920]   Maybe to make it even more clear, ask yourselves this wise.
[00:23:11.920 --> 00:23:16.920]   Are you providing encouragement, support, and input to your husband's initiatives to
[00:23:16.920 --> 00:23:19.920]   give vision and direction to the family?
[00:23:19.920 --> 00:23:24.920]   Are you resisting the temptation to take control?
[00:23:24.920 --> 00:23:28.920]   Maybe there's an area where you just, ah, because I want to control this.
[00:23:28.920 --> 00:23:33.920]   I really don't want to submit in this area or respect in this area.
[00:23:33.920 --> 00:23:38.920]   Is there an area maybe where you're just undermining his leadership by complaining,
[00:23:38.920 --> 00:23:40.920]   griping, nagging?
[00:23:40.920 --> 00:23:43.920]   Maybe the Lord is just trying to, ah.
[00:23:43.920 --> 00:23:48.920]   Or maybe there's an area maybe where you're not aligning yourself around some of the values.
[00:23:48.920 --> 00:23:50.920]   Maybe like spending habits.
[00:23:50.920 --> 00:23:51.920]   All right?
[00:23:51.920 --> 00:23:52.920]   Yes.
[00:23:52.920 --> 00:23:55.920]   My wife sometimes I wonder, honey, what's that that you're spending money on?
[00:23:55.920 --> 00:23:56.920]   We didn't talk about that.
[00:23:56.920 --> 00:23:57.920]   Amazon?
[00:23:57.920 --> 00:23:58.920]   We're going to have to shut Amazon down.
[00:23:58.920 --> 00:24:01.920]   [LAUGHTER]
[00:24:01.920 --> 00:24:04.920]   OK?
[00:24:04.920 --> 00:24:10.920]   You see, I just want you to ask yourself, Lord, where do I need to be more submissive and
[00:24:10.920 --> 00:24:11.920]   respectful?
[00:24:11.920 --> 00:24:14.920]   And the reason why I'm saying this is because when I get to the end of this message, I'll
[00:24:14.920 --> 00:24:17.920]   see how weighty this is.
[00:24:17.920 --> 00:24:24.920]   How critical it is that you as wives fight to play this role for your husbands.
[00:24:24.920 --> 00:24:25.920]   Respect.
[00:24:25.920 --> 00:24:28.920]   This is what it does for a man.
[00:24:28.920 --> 00:24:33.920]   Submissive respect expresses to your husband that you trust him.
[00:24:33.920 --> 00:24:37.920]   Now, this may be an area where some of you may be struggling.
[00:24:37.920 --> 00:24:42.920]   Maybe there's an area, wives, where you need to address your husband to say, you know what?
[00:24:42.920 --> 00:24:46.920]   The reason why I'm having a hard time submitting here or respecting you here is because there's
[00:24:46.920 --> 00:24:48.920]   a lack of trust.
[00:24:48.920 --> 00:24:53.920]   I remember early on in our marriage, that was an area for us, is that I had fallen into
[00:24:53.920 --> 00:24:59.920]   some areas that had caused my wife to say, I just can't trust you.
[00:24:59.920 --> 00:25:02.920]   And as a result, I'm losing respect for you.
[00:25:02.920 --> 00:25:08.920]   And so, men, that may be a thing that you need to do as far as hearing your wives and
[00:25:08.920 --> 00:25:10.920]   talking through and about that.
[00:25:10.920 --> 00:25:12.920]   Here's something else that respect does for a man.
[00:25:12.920 --> 00:25:16.920]   It reduces his fear of failure and of being inadequate.
[00:25:16.920 --> 00:25:22.920]   The number one thing that we as men do not want to be is a failure.
[00:25:22.920 --> 00:25:24.920]   Can you identify with that, men?
[00:25:24.920 --> 00:25:26.920]   That drives us.
[00:25:26.920 --> 00:25:28.920]   That drives us.
[00:25:28.920 --> 00:25:32.920]   And our greatest fear is to be a failure.
[00:25:32.920 --> 00:25:35.920]   And that goes in with my next point.
[00:25:35.920 --> 00:25:39.920]   Respect is demonstrated by you as wives when it comes to your husband when you are his
[00:25:39.920 --> 00:25:45.920]   greatest cheerleader, when you are his greatest cheerleader.
[00:25:45.920 --> 00:25:55.920]   When, you know, you can look at Valerie, but you can look at your boy and say, James, give
[00:25:55.920 --> 00:25:56.920]   me a J.
[00:25:56.920 --> 00:25:57.920]   James, I got you.
[00:25:57.920 --> 00:25:58.920]   James, I got you.
[00:25:58.920 --> 00:26:00.920]   [LAUGHTER]
[00:26:00.920 --> 00:26:01.920]   I got you.
[00:26:01.920 --> 00:26:02.920]   I got you.
[00:26:02.920 --> 00:26:03.920]   Thank you.
[00:26:03.920 --> 00:26:04.920]   I'll give you anything.
[00:26:04.920 --> 00:26:05.920]   You got it.
[00:26:05.920 --> 00:26:06.920]   Right?
[00:26:06.920 --> 00:26:07.920]   Be the biggest cheerleader.
[00:26:07.920 --> 00:26:08.920]   I did it the black way.
[00:26:08.920 --> 00:26:10.920]   That's how black cheerleaders do it.
[00:26:10.920 --> 00:26:15.920]   [LAUGHTER]
[00:26:15.920 --> 00:26:24.920]   For us to know, ladies, that our wives are cheering us on, saying, I got your back.
[00:26:24.920 --> 00:26:29.920]   There's nothing more profound and encouraging for us.
[00:26:29.920 --> 00:26:33.920]   And there's something else that that does for us.
[00:26:33.920 --> 00:26:43.920]   It allows for us to move into-- or it moves us away from passivity as men.
[00:26:43.920 --> 00:26:47.920]   When you cheerlead us-- I began coming to this retreat.
[00:26:47.920 --> 00:26:51.920]   As I said, I had a whole lot I'm trying to prepare, all this time.
[00:26:51.920 --> 00:26:54.920]   And I was out really, really late.
[00:26:54.920 --> 00:26:58.920]   And I was just so overwhelmed with all this stuff I had to prepare and getting ready for
[00:26:58.920 --> 00:26:59.920]   the retreat.
[00:26:59.920 --> 00:27:03.920]   And I came into the house, and my wife just-- she looked at me and said, you know what?
[00:27:03.920 --> 00:27:05.920]   You got this.
[00:27:05.920 --> 00:27:06.920]   You can do this.
[00:27:06.920 --> 00:27:08.920]   And I got your back.
[00:27:08.920 --> 00:27:13.920]   I'm about to tear up right now, because it's just like-- that just infused life into me.
[00:27:13.920 --> 00:27:14.920]   Like, you know what?
[00:27:14.920 --> 00:27:18.920]   OK, I got three more sermons to go in two days, but we got this.
[00:27:18.920 --> 00:27:20.920]   [LAUGHTER]
[00:27:20.920 --> 00:27:24.920]   She was my greatest cheerleader.
[00:27:24.920 --> 00:27:29.920]   Respect acknowledges the leadership, and it discourages passivity.
[00:27:29.920 --> 00:27:37.920]   I was talking to somebody at church last week, and I heard my wife talking to one of our
[00:27:37.920 --> 00:27:38.920]   members.
[00:27:38.920 --> 00:27:45.920]   And she just-- she told one of our members, you know, I just really appreciate my husband,
[00:27:45.920 --> 00:27:49.920]   because he's been taking time with my third daughter, Trinity, and just really kind of
[00:27:49.920 --> 00:27:54.920]   speaking some life into her and doing some mentoring with her and what have you.
[00:27:54.920 --> 00:27:59.920]   And just that respect of the little bit of leadership that I was demonstrating there
[00:27:59.920 --> 00:28:02.920]   caused me to say, hey, I'm going to do this more.
[00:28:02.920 --> 00:28:03.920]   I'm going to do this.
[00:28:03.920 --> 00:28:04.920]   I'm going to move past passivity.
[00:28:04.920 --> 00:28:10.920]   I'm going to be more proactive in my leadership, because of that submissive attitude and respect
[00:28:10.920 --> 00:28:12.920]   that my wife was demonstrating.
[00:28:12.920 --> 00:28:16.920]   So again, I want you to ask your-- and here's another question for you ladies.
[00:28:16.920 --> 00:28:20.920]   I want you to ask your husband this this weekend.
[00:28:20.920 --> 00:28:24.920]   Honey, in what way can I respect you more?
[00:28:24.920 --> 00:28:26.920]   Just give me one.
[00:28:26.920 --> 00:28:28.920]   Not a whole lot, just one.
[00:28:28.920 --> 00:28:34.920]   In what way can I submit and respect you more?
[00:28:34.920 --> 00:28:38.920]   And make it a safe place for him to answer.
[00:28:38.920 --> 00:28:39.920]   OK?
[00:28:39.920 --> 00:28:42.920]   Don't, when he says it, be like, well, you know, I've lost your woman before.
[00:28:42.920 --> 00:28:44.920]   Respecting you now, you're a stoner.
[00:28:44.920 --> 00:28:48.920]   [LAUGHTER]
[00:28:48.920 --> 00:28:50.920]   All right, because we tiptoe sometimes.
[00:28:50.920 --> 00:28:53.920]   We do be like, I don't know if I want to go under your hand.
[00:28:53.920 --> 00:28:54.920]   I'm like, stoner.
[00:28:54.920 --> 00:28:58.920]   [LAUGHTER]
[00:28:58.920 --> 00:29:01.920]   OK, so make it safe.
[00:29:01.920 --> 00:29:08.920]   OK, this is a major why with respect to women, why you should be married.
[00:29:08.920 --> 00:29:13.920]   All the things that you women wrote were wonderful and great, and they weren't wrong.
[00:29:13.920 --> 00:29:23.920]   But what I just identified to you in Scripture should be the very foundation and the anchor of why you're married.
[00:29:23.920 --> 00:29:26.920]   And it is specific to you.
[00:29:26.920 --> 00:29:29.920]   No one else can do it but you.
[00:29:29.920 --> 00:29:30.920]   OK?
[00:29:30.920 --> 00:29:33.920]   Now let's get to the fellows, men.
[00:29:33.920 --> 00:29:35.920]   We start at verse 25.
[00:29:35.920 --> 00:29:42.920]   And basically, Paul talks about men from verse 25 all the way to the very end of verse 33.
[00:29:42.920 --> 00:29:45.920]   So that already tells you that y'all got to wait.
[00:29:45.920 --> 00:29:47.920]   That's a little bit way in your wives.
[00:29:47.920 --> 00:29:52.920]   All right, he took four, three verses, 22, 23, 24, on the women.
[00:29:52.920 --> 00:29:54.920]   And then he took the rest on us.
[00:29:54.920 --> 00:29:56.920]   So we got a lot here.
[00:29:56.920 --> 00:30:00.920]   What is the nature, then, of the husband's role?
[00:30:00.920 --> 00:30:03.920]   Verse 25, he first starts out.
[00:30:03.920 --> 00:30:10.920]   Husbands, love your wives as Christ loved the church and gave himself.
[00:30:10.920 --> 00:30:12.920]   Everybody say gave himself.
[00:30:12.920 --> 00:30:13.920]   Gave himself.
[00:30:13.920 --> 00:30:16.920]   Up for her.
[00:30:16.920 --> 00:30:30.920]   First, what he tells us as men is that our role is to the extent that we seek Christ's love for the church, we are then to give up ourselves the way he did.
[00:30:30.920 --> 00:30:43.920]   The love in verse 25 is in the present imperative, which indicates that this should be a regular, constant disposition of love, constantly loving on your wife.
[00:30:43.920 --> 00:30:49.920]   And then in verse 26 and 27, he gives what's called a Christological aside.
[00:30:49.920 --> 00:30:53.920]   Before when I read this passage, there was an insight for me.
[00:30:53.920 --> 00:30:58.920]   These are the things that we aren't necessarily called to do as men.
[00:30:58.920 --> 00:31:02.920]   Paul in this passage really using marriage to do something a lot bigger.
[00:31:02.920 --> 00:31:05.920]   And he's really pointing and drawing us to Christ.
[00:31:05.920 --> 00:31:19.920]   So verse 26, that he might sanctify her, having cleansed her by the washing of water with the word so that he might present the church to himself as splendid without spire wrinkle or any such thing that she might be holy without blemish.
[00:31:19.920 --> 00:31:21.920]   Y'all can do that.
[00:31:21.920 --> 00:31:23.920]   And men, you can't even do that.
[00:31:23.920 --> 00:31:27.920]   OK, that's something that's set aside for Christ himself.
[00:31:27.920 --> 00:31:47.920]   And so what he's using that is a parallel to marriage to say, go in depth as to the value and the beauty and the magnificence of just how much Christ has given himself up for his church and how much he bleeds all of the beauty of his power and might and holiness and love into the church.
[00:31:47.920 --> 00:31:49.920]   OK, so there's a Christological aside.
[00:31:49.920 --> 00:31:53.920]   So verse 25 applies to us as men.
[00:31:53.920 --> 00:32:00.920]   And after the Christological aside, he then goes back to me as he parallels Christ.
[00:32:00.920 --> 00:32:07.920]   It says, first, 28 in the same way, husbands should love their wives.
[00:32:07.920 --> 00:32:08.920]   There is again.
[00:32:08.920 --> 00:32:10.920]   And now he describes it.
[00:32:10.920 --> 00:32:11.920]   Well, how am I supposed to love her?
[00:32:11.920 --> 00:32:14.920]   How am I supposed to give myself up for her?
[00:32:14.920 --> 00:32:16.920]   And what does it say?
[00:32:16.920 --> 00:32:22.920]   Where am I? There is as their own bodies.
[00:32:22.920 --> 00:32:28.920]   He who loves his wife loves himself.
[00:32:28.920 --> 00:32:34.920]   My son years ago, he's 16 now, 17 next month.
[00:32:34.920 --> 00:32:43.920]   But when he was probably nine, eight or nine, he asked me to drive to church and we were talking about love.
[00:32:43.920 --> 00:32:48.920]   And he said, Dad, is it possible for me to love myself like, oh, I just love me.
[00:32:48.920 --> 00:32:49.920]   I just love you.
[00:32:49.920 --> 00:32:50.920]   Start rubbing on yourself.
[00:32:50.920 --> 00:32:51.920]   Like, what?
[00:32:51.920 --> 00:33:01.920]   But as I kind of contemplated, I said, well, that's actually kind of theologically sound.
[00:33:01.920 --> 00:33:04.920]   Because, yes, there is a way you can do that.
[00:33:04.920 --> 00:33:16.920]   And the way you do that is 29 for no one ever hated his own flesh, but nourishes and cherishes it just as Christ does the church.
[00:33:16.920 --> 00:33:20.920]   So what does it look like, men, for you to love yourself?
[00:33:20.920 --> 00:33:29.920]   The way you love yourself is by loving your wife, by nourishing and cherishing her.
[00:33:29.920 --> 00:33:34.920]   This first go with nourish the Paul challenge has been here to nourish their wives.
[00:33:34.920 --> 00:33:41.920]   He uses a very unique word and is only found in one other place in the entire New Testament.
[00:33:41.920 --> 00:33:43.920]   You know where that is?
[00:33:43.920 --> 00:33:52.920]   It's the next chapter, chapter six, where it talks about fathers don't exasperate your son's children, but bring them up.
[00:33:52.920 --> 00:33:58.920]   It's the same Greek word nourish and bring them up in the abomination of the Lord.
[00:33:58.920 --> 00:33:59.920]   Chapter six, verse four.
[00:33:59.920 --> 00:34:01.920]   It's the same word.
[00:34:01.920 --> 00:34:03.920]   The old Puritan preachers knew this well.
[00:34:03.920 --> 00:34:09.920]   They were reminded that failure to provide the physical needs of their families made them worse than pagans.
[00:34:09.920 --> 00:34:10.920]   First Timothy five, eight.
[00:34:10.920 --> 00:34:14.920]   But what good does it says the Puritans?
[00:34:14.920 --> 00:34:27.920]   They would ask if you work diligently to satisfy their material and physical needs in this life and take no regard for their souls, which will live for.
[00:34:27.920 --> 00:34:30.920]   He said, I will not be able to satisfy their needs.
[00:34:30.920 --> 00:34:32.920]   I will not be able to satisfy their needs.
[00:34:32.920 --> 00:34:34.920]   I will not be able to satisfy their needs.
[00:34:34.920 --> 00:34:38.920]   And what I do know is that the Lord is not going to take you out of your house.
[00:34:38.920 --> 00:34:40.920]   He's not going to take you out of your house.
[00:34:40.920 --> 00:34:42.920]   He's going to take you out of your house.
[00:34:42.920 --> 00:34:44.920]   He's going to take you out of your house.
[00:34:44.920 --> 00:34:46.920]   He's going to take you out of your house.
[00:34:46.920 --> 00:34:48.920]   He's going to take you out of your house.
[00:34:48.920 --> 00:34:50.920]   He's going to take you out of your house.
[00:34:50.920 --> 00:34:52.920]   He's going to take you out of your house.
[00:34:52.920 --> 00:34:54.920]   He's going to take you out of your house.
[00:34:54.920 --> 00:34:56.920]   He's going to take you out of your house.
[00:34:56.920 --> 00:34:58.920]   He's going to take you out of your house.
[00:34:58.920 --> 00:35:00.920]   He's going to take you out of your house.
[00:35:00.920 --> 00:35:02.920]   He's going to take you out of your house.
[00:35:02.920 --> 00:35:04.920]   He's going to take you out of your house.
[00:35:04.920 --> 00:35:06.920]   He's going to take you out of your house.
[00:35:06.920 --> 00:35:08.920]   He's going to take you out of your house.
[00:35:08.920 --> 00:35:10.920]   He's going to take you out of your house.
[00:35:10.920 --> 00:35:12.920]   He's going to take you out of your house.
[00:35:12.920 --> 00:35:14.920]   He's going to take you out of your house.
[00:35:14.920 --> 00:35:16.920]   He's going to take you out of your house.
[00:35:16.920 --> 00:35:18.920]   He's going to take you out of your house.
[00:35:18.920 --> 00:35:20.920]   He's going to take you out of your house.
[00:35:20.920 --> 00:35:22.920]   He's going to take you out of your house.
[00:35:22.920 --> 00:35:24.920]   He's going to take you out of your house.
[00:35:24.920 --> 00:35:26.920]   He's going to take you out of your house.
[00:35:26.920 --> 00:35:28.920]   He's going to take you out of your house.
[00:35:28.920 --> 00:35:30.920]   He's going to take you out of your house.
[00:35:30.920 --> 00:35:32.920]   He's going to take you out of your house.
[00:35:32.920 --> 00:35:34.920]   He's going to take you out of your house.
[00:35:34.920 --> 00:35:36.920]   He's going to take you out of your house.
[00:35:36.920 --> 00:35:38.920]   He's going to take you out of your house.
[00:35:38.920 --> 00:35:40.920]   He's going to take you out of your house.
[00:35:40.920 --> 00:35:42.920]   He's going to take you out of your house.
[00:35:42.920 --> 00:35:44.920]   He's going to take you out of your house.
[00:35:44.920 --> 00:35:46.920]   He's going to take you out of your house.
[00:35:46.920 --> 00:35:48.920]   He's going to take you out of your house.
[00:35:48.920 --> 00:35:50.920]   He's going to take you out of your house.
[00:35:50.920 --> 00:35:52.920]   He's going to take you out of your house.
[00:35:52.920 --> 00:35:54.920]   He's going to take you out of your house.
[00:35:54.920 --> 00:35:56.920]   He's going to take you out of your house.
[00:35:56.920 --> 00:35:58.920]   He's going to take you out of your house.
[00:35:58.920 --> 00:36:00.920]   He's going to take you out of your house.
[00:36:00.920 --> 00:36:02.920]   He's going to take you out of your house.
[00:36:02.920 --> 00:36:04.920]   He's going to take you out of your house.
[00:36:04.920 --> 00:36:06.920]   He's going to take you out of your house.
[00:36:06.920 --> 00:36:08.920]   He's going to take you out of your house.
[00:36:08.920 --> 00:36:10.920]   He's going to take you out of your house.
[00:36:10.920 --> 00:36:12.920]   He's going to take you out of your house.
[00:36:12.920 --> 00:36:14.920]   He's going to take you out of your house.
[00:36:14.920 --> 00:36:16.920]   He's going to take you out of your house.
[00:36:16.920 --> 00:36:18.920]   He's going to take you out of your house.
[00:36:18.920 --> 00:36:20.920]   He's going to take you out of your house.
[00:36:20.920 --> 00:36:22.920]   He's going to take you out of your house.
[00:36:22.920 --> 00:36:24.920]   He's going to take you out of your house.
[00:36:24.920 --> 00:36:26.920]   He's going to take you out of your house.
[00:36:26.920 --> 00:36:28.920]   He's going to take you out of your house.
[00:36:28.920 --> 00:36:30.920]   He's going to take you out of your house.
[00:36:30.920 --> 00:36:32.920]   He's going to take you out of your house.
[00:36:32.920 --> 00:36:34.920]   He's going to take you out of your house.
[00:36:34.920 --> 00:36:36.920]   He's going to take you out of your house.
[00:36:36.920 --> 00:36:38.920]   He's going to take you out of your house.
[00:36:38.920 --> 00:36:40.920]   He's going to take you out of your house.
[00:36:40.920 --> 00:36:42.920]   He's going to take you out of your house.
[00:36:42.920 --> 00:36:44.920]   He's going to take you out of your house.
[00:36:44.920 --> 00:36:46.920]   He's going to take you out of your house.
[00:36:46.920 --> 00:36:48.920]   He's going to take you out of your house.
[00:36:48.920 --> 00:36:50.920]   He's going to take you out of your house.
[00:36:50.920 --> 00:36:52.920]   He's going to take you out of your house.
[00:36:52.920 --> 00:36:54.920]   He's going to take you out of your house.
[00:36:54.920 --> 00:36:56.920]   He's going to take you out of your house.
[00:36:56.920 --> 00:36:58.920]   He's going to take you out of your house.
[00:36:58.920 --> 00:37:00.920]   He's going to take you out of your house.
[00:37:00.920 --> 00:37:02.920]   He's going to take you out of your house.
[00:37:02.920 --> 00:37:04.920]   He's going to take you out of your house.
[00:37:04.920 --> 00:37:06.920]   He's going to take you out of your house.
[00:37:06.920 --> 00:37:08.920]   He's going to take you out of your house.
[00:37:08.920 --> 00:37:10.920]   He's going to take you out of your house.
[00:37:10.920 --> 00:37:12.920]   He's going to take you out of your house.
[00:37:12.920 --> 00:37:14.920]   He's going to take you out of your house.
[00:37:14.920 --> 00:37:16.920]   He's going to take you out of your house.
[00:37:16.920 --> 00:37:18.920]   He's going to take you out of your house.
[00:37:18.920 --> 00:37:20.920]   He's going to take you out of your house.
[00:37:20.920 --> 00:37:22.920]   He's going to take you out of your house.
[00:37:22.920 --> 00:37:24.920]   He's going to take you out of your house.
[00:37:24.920 --> 00:37:26.920]   He's going to take you out of your house.
[00:37:26.920 --> 00:37:28.920]   He's going to take you out of your house.
[00:37:28.920 --> 00:37:30.920]   He's going to take you out of your house.
[00:37:30.920 --> 00:37:32.920]   He's going to take you out of your house.
[00:37:32.920 --> 00:37:34.920]   He's going to take you out of your house.
[00:37:34.920 --> 00:37:36.920]   He's going to take you out of your house.
[00:37:36.920 --> 00:37:38.920]   He's going to take you out of your house.
[00:37:38.920 --> 00:37:40.920]   He's going to take you out of your house.
[00:37:40.920 --> 00:37:42.920]   He's going to take you out of your house.
[00:37:42.920 --> 00:37:44.920]   He's going to take you out of your house.
[00:37:44.920 --> 00:37:46.920]   He's going to take you out of your house.
[00:37:46.920 --> 00:37:48.920]   He's going to take you out of your house.
[00:37:48.920 --> 00:37:50.920]   He's going to take you out of your house.
[00:37:50.920 --> 00:37:52.920]   He's going to take you out of your house.
[00:37:52.920 --> 00:37:54.920]   He's going to take you out of your house.
[00:37:54.920 --> 00:37:56.920]   He's going to take you out of your house.
[00:37:56.920 --> 00:37:58.920]   He's going to take you out of your house.
[00:37:58.920 --> 00:38:00.920]   He's going to take you out of your house.
[00:38:00.920 --> 00:38:02.920]   He's going to take you out of your house.
[00:38:02.920 --> 00:38:04.920]   He's going to take you out of your house.
[00:38:04.920 --> 00:38:06.920]   He's going to take you out of your house.
[00:38:06.920 --> 00:38:08.920]   He's going to take you out of your house.
[00:38:08.920 --> 00:38:10.920]   He's going to take you out of your house.
[00:38:10.920 --> 00:38:12.920]   He's going to take you out of your house.
[00:38:12.920 --> 00:38:14.920]   He's going to take you out of your house.
[00:38:14.920 --> 00:38:16.920]   He's going to take you out of your house.
[00:38:16.920 --> 00:38:18.920]   He's going to take you out of your house.
[00:38:18.920 --> 00:38:20.920]   He's going to take you out of your house.
[00:38:20.920 --> 00:38:22.920]   He's going to take you out of your house.
[00:38:22.920 --> 00:38:24.920]   He's going to take you out of your house.
[00:38:24.920 --> 00:38:26.920]   He's going to take you out of your house.
[00:38:26.920 --> 00:38:28.920]   He's going to take you out of your house.
[00:38:28.920 --> 00:38:30.920]   He's going to take you out of your house.
[00:38:30.920 --> 00:38:32.920]   He's going to take you out of your house.
[00:38:32.920 --> 00:38:34.920]   He's going to take you out of your house.
[00:38:34.920 --> 00:38:36.920]   He's going to take you out of your house.
[00:38:36.920 --> 00:38:38.920]   He's going to take you out of your house.
[00:38:38.920 --> 00:38:40.920]   He's going to take you out of your house.
[00:38:40.920 --> 00:38:42.920]   He's going to take you out of your house.
[00:38:42.920 --> 00:38:44.920]   He's going to take you out of your house.
[00:38:44.920 --> 00:38:46.920]   He's going to take you out of your house.
[00:38:46.920 --> 00:38:48.920]   He's going to take you out of your house.
[00:38:48.920 --> 00:38:50.920]   He's going to take you out of your house.
[00:38:50.920 --> 00:38:52.920]   He's going to take you out of your house.
[00:38:52.920 --> 00:38:54.920]   He's going to take you out of your house.
[00:38:54.920 --> 00:38:56.920]   He's going to take you out of your house.
[00:38:56.920 --> 00:38:58.920]   He's going to take you out of your house.
[00:38:58.920 --> 00:39:00.920]   He's going to take you out of your house.
[00:39:00.920 --> 00:39:02.920]   He's going to take you out of your house.
[00:39:02.920 --> 00:39:04.920]   He's going to take you out of your house.
[00:39:04.920 --> 00:39:06.920]   He's going to take you out of your house.
[00:39:06.920 --> 00:39:08.920]   He's going to take you out of your house.
[00:39:08.920 --> 00:39:10.920]   He's going to take you out of your house.
[00:39:10.920 --> 00:39:12.920]   He's going to take you out of your house.
[00:39:12.920 --> 00:39:14.920]   He's going to take you out of your house.
[00:39:14.920 --> 00:39:16.920]   He's going to take you out of your house.
[00:39:16.920 --> 00:39:18.920]   He's going to take you out of your house.
[00:39:18.920 --> 00:39:20.920]   He's going to take you out of your house.
[00:39:20.920 --> 00:39:22.920]   He's going to take you out of your house.
[00:39:22.920 --> 00:39:24.920]   He's going to take you out of your house.
[00:39:24.920 --> 00:39:26.920]   He's going to take you out of your house.
[00:39:26.920 --> 00:39:28.920]   He's going to take you out of your house.
[00:39:28.920 --> 00:39:30.920]   He's going to take you out of your house.
[00:39:30.920 --> 00:39:32.920]   He's going to take you out of your house.
[00:39:32.920 --> 00:39:34.920]   He's going to take you out of your house.
[00:39:34.920 --> 00:39:36.920]   He's going to take you out of your house.
[00:39:36.920 --> 00:39:38.920]   He's going to take you out of your house.
[00:39:38.920 --> 00:39:40.920]   He's going to take you out of your house.
[00:39:40.920 --> 00:39:42.920]   He's going to take you out of your house.
[00:39:42.920 --> 00:39:44.920]   He's going to take you out of your house.
[00:39:44.920 --> 00:39:46.920]   He's going to take you out of your house.
[00:39:46.920 --> 00:39:48.920]   He's going to take you out of your house.
[00:39:48.920 --> 00:39:50.920]   He's going to take you out of your house.
[00:39:50.920 --> 00:39:52.920]   He's going to take you out of your house.
[00:39:52.920 --> 00:39:54.920]   He's going to take you out of your house.
[00:39:54.920 --> 00:39:56.920]   He's going to take you out of your house.
[00:39:56.920 --> 00:39:58.920]   He's going to take you out of your house.
[00:39:58.920 --> 00:40:00.920]   He's going to take you out of your house.
[00:40:00.920 --> 00:40:02.920]   He's going to take you out of your house.
[00:40:02.920 --> 00:40:04.920]   He's going to take you out of your house.
[00:40:04.920 --> 00:40:06.920]   He's going to take you out of your house.
[00:40:06.920 --> 00:40:08.920]   He's going to take you out of your house.
[00:40:08.920 --> 00:40:10.920]   He's going to take you out of your house.
[00:40:10.920 --> 00:40:12.920]   He's going to take you out of your house.
[00:40:12.920 --> 00:40:14.920]   He's going to take you out of your house.
[00:40:14.920 --> 00:40:16.920]   He's going to take you out of your house.
[00:40:16.920 --> 00:40:18.920]   He's going to take you out of your house.
[00:40:18.920 --> 00:40:20.920]   He's going to take you out of your house.
[00:40:20.920 --> 00:40:22.920]   He's going to take you out of your house.
[00:40:22.920 --> 00:40:24.920]   He's going to take you out of your house.
[00:40:24.920 --> 00:40:26.920]   He's going to take you out of your house.
[00:40:26.920 --> 00:40:28.920]   He's going to take you out of your house.
[00:40:28.920 --> 00:40:30.920]   He's going to take you out of your house.
[00:40:30.920 --> 00:40:32.920]   He's going to take you out of your house.
[00:40:32.920 --> 00:40:34.920]   He's going to take you out of your house.
