
[00:00:00.000 --> 00:00:02.920]   (crowd chattering)
[00:18:02.700 --> 00:18:05.140]   and then later on in 2 Peter,
[00:18:05.140 --> 00:18:10.140]   Peter talks about how his testimony
[00:18:10.140 --> 00:18:12.340]   and what he was saying wasn't made up,
[00:18:12.340 --> 00:18:16.380]   that he was eyewitness of God saying that, "This is my son,"
[00:18:16.380 --> 00:18:18.020]   because it was time to exalt him.
[00:18:18.020 --> 00:18:19.740]   But then if you know that passage,
[00:18:19.740 --> 00:18:20.800]   again, I should've written it down,
[00:18:20.800 --> 00:18:21.860]   but if you look at that passage,
[00:18:21.860 --> 00:18:25.260]   the passage says, "But I have something more sure
[00:18:25.260 --> 00:18:27.380]   "than the testimony in me hearing his voice."
[00:18:27.380 --> 00:18:29.020]   Remember what he says about that?
[00:18:30.100 --> 00:18:31.400]   Maybe we should go there.
[00:18:31.400 --> 00:18:34.200]   Turn to 2 Peter, okay?
[00:18:34.200 --> 00:18:40.420]   Again, I didn't wanna spend too much time here,
[00:18:40.420 --> 00:18:42.620]   'cause Pastor Mark is gonna talk about this.
[00:18:42.620 --> 00:18:51.560]   2 Peter 1, verse 16.
[00:18:51.560 --> 00:18:55.000]   For we did not follow cleverly devised myths
[00:18:55.000 --> 00:18:56.740]   when we made known to you the power
[00:18:56.740 --> 00:18:58.620]   and coming of our Lord Jesus Christ,
[00:18:58.620 --> 00:19:00.740]   for we were eyewitnesses of his majesty,
[00:19:00.740 --> 00:19:02.700]   talking about the transfiguration.
[00:19:02.700 --> 00:19:05.620]   For when he received honor and glory from God the Father,
[00:19:05.620 --> 00:19:09.340]   and the voice was born to him by the majestic glory,
[00:19:09.340 --> 00:19:12.940]   this is my beloved son, with him I am well pleased.
[00:19:12.940 --> 00:19:15.860]   We ourselves heard this very voice born from heaven,
[00:19:15.860 --> 00:19:17.780]   for we were with him on the holy mountain.
[00:19:17.780 --> 00:19:19.020]   So stop right there.
[00:19:19.020 --> 00:19:23.900]   I mean, what can be more reassuring than to know
[00:19:23.900 --> 00:19:26.860]   that they're talking to somebody who actually saw
[00:19:26.860 --> 00:19:30.300]   and heard this transfiguration?
[00:19:30.300 --> 00:19:32.140]   But the interesting thing is, right after that it says,
[00:19:32.140 --> 00:19:35.660]   and we have something more sure than what he heard,
[00:19:35.660 --> 00:19:38.260]   his own eyes and his own ears.
[00:19:38.260 --> 00:19:40.500]   The prophetic word to which you will do well
[00:19:40.500 --> 00:19:42.940]   to pay attention as to a lamp shining in a dark place
[00:19:42.940 --> 00:19:45.460]   until the day dawns and the morning star rises
[00:19:45.460 --> 00:19:46.300]   in your heart.
[00:19:46.300 --> 00:19:47.180]   So I'm just gonna stop right there,
[00:19:47.180 --> 00:19:49.540]   because again, like I said, Pastor Mark's gonna spend
[00:19:49.540 --> 00:19:52.880]   a little bit more time talking about that next week.
[00:19:52.880 --> 00:19:57.320]   So the primary way that God has ordained for us
[00:19:57.320 --> 00:20:00.600]   to encounter this God that we worship is his word.
[00:20:00.600 --> 00:20:04.080]   So if you have people who are in the church
[00:20:04.080 --> 00:20:06.180]   and fellowshipping and doing all this stuff,
[00:20:06.180 --> 00:20:09.720]   but it's not regularly in the word of God, right?
[00:20:09.720 --> 00:20:11.220]   You cannot be encountering God,
[00:20:11.220 --> 00:20:13.600]   because that's his primary way that God called us
[00:20:13.600 --> 00:20:15.480]   to encounter him, right?
[00:20:15.480 --> 00:20:17.200]   That's why it is essential for us.
[00:20:17.200 --> 00:20:19.480]   If we're gonna have a God-centered worship,
[00:20:19.480 --> 00:20:21.920]   one of the first things that we need to do and recognize
[00:20:21.920 --> 00:20:25.800]   is to honor God by having high view of his word, right?
[00:20:25.800 --> 00:20:27.520]   His word is lifted up.
[00:20:27.520 --> 00:20:29.040]   So that's what we're trying to do at church.
[00:20:29.040 --> 00:20:31.760]   It's not because, well, this church is about missions,
[00:20:31.760 --> 00:20:33.080]   this church is about discipleship,
[00:20:33.080 --> 00:20:34.740]   this church is about his word.
[00:20:34.740 --> 00:20:37.520]   The reason why the word is emphasized in our church
[00:20:37.520 --> 00:20:39.920]   is because we're trying to put Christ and God
[00:20:39.920 --> 00:20:42.440]   at the center of the church, right?
[00:20:42.440 --> 00:20:43.960]   And so we have high view of God,
[00:20:43.960 --> 00:20:46.660]   because it is his very breath that it says.
[00:20:46.660 --> 00:20:51.560]   The goal of the church is to make his voice clear
[00:20:51.560 --> 00:20:52.720]   and not man's.
[00:20:52.720 --> 00:20:56.800]   So I can stand here and talk to you about
[00:20:56.800 --> 00:20:59.040]   how to be a good father and how to do this
[00:20:59.040 --> 00:21:00.720]   and how to do that.
[00:21:00.720 --> 00:21:04.380]   There's nothing necessarily innately wrong with that,
[00:21:04.380 --> 00:21:06.160]   but the primary goal of the church,
[00:21:06.160 --> 00:21:08.120]   primary goal of the pulpit ought to be
[00:21:08.120 --> 00:21:11.120]   to make his voice clear, right?
[00:21:11.120 --> 00:21:12.160]   What does God say?
[00:21:12.160 --> 00:21:13.560]   What does the scripture say?
[00:21:13.560 --> 00:21:18.800]   He says in John 10, 27, "My sheep hear my voice
[00:21:18.800 --> 00:21:22.440]   "and they follow me," right?
[00:21:22.440 --> 00:21:26.720]   "My sheep hear my voice and they follow me."
[00:21:26.720 --> 00:21:31.600]   So every part of that sentence is about Christ, right?
[00:21:31.600 --> 00:21:34.720]   So as ambassadors of Christ, our primary job
[00:21:34.720 --> 00:21:37.360]   is to make sure that if you hear anything
[00:21:37.360 --> 00:21:39.080]   from the pulpit and from the Bible study,
[00:21:39.080 --> 00:21:41.880]   that you hear his voice, that you don't go and say,
[00:21:41.880 --> 00:21:44.080]   "That's his opinion or someone else's opinion."
[00:21:44.080 --> 00:21:47.240]   And if I say anything that contradicts the scripture,
[00:21:47.240 --> 00:21:50.800]   right, we're Bereans, we're supposed to test it, right?
[00:21:50.800 --> 00:21:53.480]   So your confidence doesn't come from certain men
[00:21:53.480 --> 00:21:55.080]   or women that you have confidence in,
[00:21:55.080 --> 00:21:56.800]   but it's in God's word, right?
[00:21:56.800 --> 00:22:01.600]   Why do we do expository preaching?
[00:22:01.600 --> 00:22:07.060]   Again, versus topical preaching at church.
[00:22:07.060 --> 00:22:08.600]   We wanna make sure that we understand
[00:22:08.600 --> 00:22:10.200]   what God's intent in the passage is,
[00:22:10.200 --> 00:22:13.440]   not to add our own meaning, okay?
[00:22:13.440 --> 00:22:16.680]   And when we do expository preaching,
[00:22:16.680 --> 00:22:18.040]   we're going verse by verse,
[00:22:18.040 --> 00:22:20.920]   and we're looking at the context and historical context,
[00:22:20.920 --> 00:22:22.880]   that we're trying to understand the meaning
[00:22:22.880 --> 00:22:26.560]   behind how they heard it, right?
[00:22:26.560 --> 00:22:28.340]   And not to see it as a mystical book
[00:22:28.340 --> 00:22:30.960]   that just kind of whatever you get out of it.
[00:22:30.960 --> 00:22:33.080]   And that's the problem that we have with our generation.
[00:22:33.080 --> 00:22:36.360]   You have, you know, I hear Donald Trump
[00:22:36.360 --> 00:22:39.180]   and Barack Obama and Clinton,
[00:22:39.180 --> 00:22:40.880]   like all of them quoting scripture
[00:22:40.880 --> 00:22:43.760]   has nothing to do with what that passage says.
[00:22:43.760 --> 00:22:46.480]   Because the way that, you know,
[00:22:46.480 --> 00:22:48.360]   a lot of the churches approach scripture is,
[00:22:48.360 --> 00:22:50.640]   you know, what does it mean for you?
[00:22:50.640 --> 00:22:52.000]   Doesn't matter what it means for you,
[00:22:52.000 --> 00:22:55.200]   it matters what did he mean, right?
[00:22:55.200 --> 00:22:57.320]   So that's why we do expository preaching,
[00:22:57.320 --> 00:22:59.640]   that we wanna first know what did Paul mean?
[00:22:59.640 --> 00:23:01.640]   What did God mean when he said this?
[00:23:01.640 --> 00:23:02.840]   How did they understand it?
[00:23:02.840 --> 00:23:05.640]   And that's why we do it, we teach expository,
[00:23:05.640 --> 00:23:06.840]   instead of just topic, you say,
[00:23:06.840 --> 00:23:09.840]   I wanna talk about this, and then just pick certain verses.
[00:23:11.540 --> 00:23:14.980]   We also go through scripture, systematically,
[00:23:14.980 --> 00:23:16.820]   because we want to make sure that the whole counsel
[00:23:16.820 --> 00:23:20.120]   of God is taught and not just select subjects, right?
[00:23:20.120 --> 00:23:23.420]   Now, I can honestly tell you,
[00:23:23.420 --> 00:23:26.380]   there are certain subjects that I prefer not to talk about.
[00:23:26.380 --> 00:23:32.240]   And there are certain things that I'm afraid
[00:23:32.240 --> 00:23:33.860]   that if I say it up in the pulpits,
[00:23:33.860 --> 00:23:36.520]   some people are gonna interpret it the wrong way.
[00:23:36.520 --> 00:23:39.580]   And there are some times when I would have a conversation,
[00:23:39.580 --> 00:23:43.460]   or may have had a heated conversation for many weeks,
[00:23:43.460 --> 00:23:44.980]   and then that subject comes up,
[00:23:44.980 --> 00:23:47.180]   and I gotta talk about it, you know?
[00:23:47.180 --> 00:23:49.660]   Or there are certain sensitive subjects in our culture,
[00:23:49.660 --> 00:23:52.340]   in our generation, that I know if I say these things,
[00:23:52.340 --> 00:23:53.500]   or if I get on the subject,
[00:23:53.500 --> 00:23:55.300]   it's gonna cause a stir in the church,
[00:23:55.300 --> 00:23:57.700]   or maybe an outsider may hear it wrong.
[00:23:57.700 --> 00:24:02.780]   But by teaching systematically, I don't have a choice.
[00:24:02.780 --> 00:24:03.700]   And for the sake of time,
[00:24:03.700 --> 00:24:05.700]   I'm not gonna give you any examples,
[00:24:05.700 --> 00:24:07.700]   but I've been preaching on this pulpit,
[00:24:07.700 --> 00:24:09.520]   the same pulpit for almost 20 years,
[00:24:09.520 --> 00:24:13.180]   and there have been many Sundays,
[00:24:13.180 --> 00:24:16.660]   I dreaded, because I saw it coming.
[00:24:16.660 --> 00:24:18.460]   Okay, and again, for the sake of time,
[00:24:18.460 --> 00:24:19.780]   I will tell you in private,
[00:24:19.780 --> 00:24:21.380]   but I'm not gonna say it in public, okay?
[00:24:21.380 --> 00:24:24.260]   There have been times when I saw that coming,
[00:24:24.260 --> 00:24:26.820]   and I was kinda like, oh my gosh,
[00:24:26.820 --> 00:24:28.620]   when that's coming, what am I gonna say?
[00:24:28.620 --> 00:24:30.660]   That person sitting in the room,
[00:24:30.660 --> 00:24:31.860]   how are they gonna interpret this,
[00:24:31.860 --> 00:24:34.100]   or she's gonna think that I'm talking to her.
[00:24:34.100 --> 00:24:35.960]   And then that subject came,
[00:24:35.960 --> 00:24:36.980]   and I just had to preach it,
[00:24:36.980 --> 00:24:40.040]   because it was coming, unless I just skipped over it.
[00:24:40.040 --> 00:24:41.720]   And there have been many times,
[00:24:41.720 --> 00:24:43.520]   and I can honestly tell you,
[00:24:43.520 --> 00:24:45.520]   the benefit of doing that is,
[00:24:45.520 --> 00:24:47.600]   because I'm a man too, and I have fear,
[00:24:47.600 --> 00:24:49.960]   I don't wanna cause controversy,
[00:24:49.960 --> 00:24:52.320]   but by preaching and teaching systematically,
[00:24:52.320 --> 00:24:54.960]   it forces us to deal with everything.
[00:24:54.960 --> 00:24:56.640]   Things that I like, things that I'm good at,
[00:24:56.640 --> 00:24:57.920]   things that I'm not good at,
[00:24:57.920 --> 00:25:00.440]   so that we get the whole counsel of God.
[00:25:00.440 --> 00:25:04.760]   To make sure that, again, we're exalting Christ,
[00:25:04.760 --> 00:25:07.440]   and his word, and not man.
[00:25:07.440 --> 00:25:14.180]   And finally, the word of God has final authority
[00:25:14.180 --> 00:25:15.260]   in our personal lives,
[00:25:15.260 --> 00:25:17.500]   as well as the corporate life of the church.
[00:25:17.500 --> 00:25:22.540]   If you ever want to get my attention about something
[00:25:22.540 --> 00:25:26.340]   that you really feel dire need to address in the church,
[00:25:26.340 --> 00:25:28.980]   Pastor Peter is so stubborn,
[00:25:28.980 --> 00:25:33.380]   he won't listen to anything, which may be true,
[00:25:33.380 --> 00:25:36.400]   but if you really want to get my attention,
[00:25:36.400 --> 00:25:39.040]   bring your Bible, bring your Bible,
[00:25:39.040 --> 00:25:41.600]   and show me what convicted you.
[00:25:41.600 --> 00:25:44.160]   If you come to me with your opinions,
[00:25:44.160 --> 00:25:49.000]   you're one of 500 other people with opinions, right?
[00:25:49.000 --> 00:25:51.400]   And so, you come with your fist shaking,
[00:25:51.400 --> 00:25:53.040]   it's like, "Oh, why don't we do this?
[00:25:53.040 --> 00:25:54.320]   "How come we don't do this?"
[00:25:54.320 --> 00:25:56.080]   Well, I heard you, and I heard another guy
[00:25:56.080 --> 00:25:58.800]   who told me exactly the opposite, right?
[00:25:58.800 --> 00:26:02.960]   So, I'm always kinda hearing opinions and voices
[00:26:02.960 --> 00:26:05.780]   constantly, so if you really want me to pay attention,
[00:26:05.780 --> 00:26:07.940]   you have to open up the Bible and tell me
[00:26:07.940 --> 00:26:11.800]   what convicted you to say, or, "Hey, we really need
[00:26:11.800 --> 00:26:15.220]   "to address this issue according to Scripture," right?
[00:26:15.220 --> 00:26:18.400]   Otherwise, your voice is gonna be just one of many opinions.
[00:26:18.400 --> 00:26:19.380]   Everybody has opinions.
[00:26:19.380 --> 00:26:21.180]   You have opinions, I have opinions,
[00:26:21.180 --> 00:26:23.480]   person down the street has opinions, right?
[00:26:23.480 --> 00:26:26.340]   I've had sermons that I preached,
[00:26:26.340 --> 00:26:29.100]   and that same week, sat down with somebody,
[00:26:29.100 --> 00:26:31.020]   telling me that our church is gonna be ruined
[00:26:31.020 --> 00:26:32.220]   because of the way I preach,
[00:26:32.220 --> 00:26:35.160]   and then I had another person sit me down,
[00:26:35.160 --> 00:26:38.320]   literally two days later, raving about how they were blessed
[00:26:38.320 --> 00:26:40.240]   in that same message, okay?
[00:26:40.240 --> 00:26:44.200]   So, at the end of the day, I have to just keep going.
[00:26:44.200 --> 00:26:46.780]   I have to make sure, like, this is what I'm convicted in,
[00:26:46.780 --> 00:26:49.780]   and as long as I don't see what you're telling me
[00:26:49.780 --> 00:26:51.960]   through Scripture, you're probably not gonna get
[00:26:51.960 --> 00:26:54.740]   my attention, 'cause the final authority in my life
[00:26:54.740 --> 00:26:57.000]   is the Word of God, and the final authority
[00:26:57.000 --> 00:27:00.100]   in our church life is the Word of God, right?
[00:27:00.100 --> 00:27:03.300]   So, if you don't bring the Word of God,
[00:27:03.300 --> 00:27:06.660]   all it'll sound like is, I know better than you,
[00:27:06.660 --> 00:27:09.340]   I'm smarter than you, and I have everybody else
[00:27:09.340 --> 00:27:10.860]   telling me the same thing.
[00:27:10.860 --> 00:27:13.380]   So, it's very difficult to pay attention
[00:27:13.380 --> 00:27:15.940]   to a lot of people telling me that they're smarter,
[00:27:15.940 --> 00:27:18.860]   because I just want to put you guys together,
[00:27:18.860 --> 00:27:20.660]   and then figure it out, and then one person
[00:27:20.660 --> 00:27:23.160]   represent the church and come to me, right?
[00:27:23.160 --> 00:27:27.980]   But if you really want to get the ear of the leaders,
[00:27:27.980 --> 00:27:29.740]   you have to go through the Word of God,
[00:27:29.740 --> 00:27:31.580]   because the final authority is His Word.
[00:27:31.580 --> 00:27:33.860]   So, as long as you can point to me in Scripture,
[00:27:33.860 --> 00:27:35.100]   and point to the leaders in the Scripture,
[00:27:35.100 --> 00:27:39.020]   this is what we need to do, then there's nothing
[00:27:39.020 --> 00:27:40.460]   that we're doing that can't be changed,
[00:27:40.460 --> 00:27:42.060]   if we're doing it wrong, right?
[00:27:42.060 --> 00:27:44.400]   If we're contradicting Scripture, right?
[00:27:44.400 --> 00:27:47.180]   And this is true, like, you know,
[00:27:47.180 --> 00:27:49.700]   whether it's an issue of homosexuality,
[00:27:49.700 --> 00:27:52.620]   women in ministry, there's a lot of topics
[00:27:52.620 --> 00:27:54.900]   that are not popular in our generation,
[00:27:54.900 --> 00:27:58.620]   and we're becoming more and more of a minority every year,
[00:27:58.620 --> 00:28:01.060]   but again, we are not going to move,
[00:28:01.060 --> 00:28:04.900]   as long as the Scripture is clear on this subject, right?
[00:28:04.900 --> 00:28:06.900]   We say what we say, because this is what we see
[00:28:06.900 --> 00:28:08.940]   in Scripture, and so, if you have any questions
[00:28:08.940 --> 00:28:10.420]   about why does our church do this,
[00:28:10.420 --> 00:28:12.860]   why does our church do that, first thing I'm gonna do
[00:28:12.860 --> 00:28:15.500]   is open up the Scripture and tell you, right?
[00:28:15.500 --> 00:28:18.180]   So, if you have a rebuttal to that, that's Scriptural,
[00:28:18.180 --> 00:28:22.420]   not cultural, not opinion, not your insight,
[00:28:22.420 --> 00:28:24.060]   but Scriptural, then we'll have a good conversation.
[00:28:24.060 --> 00:28:25.780]   Otherwise, I'm just gonna say,
[00:28:25.780 --> 00:28:27.940]   that's what the Bible says, okay?
[00:28:28.900 --> 00:28:31.140]   (audience member applauds)
[00:28:31.140 --> 00:28:34.980]   Church life is also God-centered,
[00:28:34.980 --> 00:28:37.780]   so we have God-centered worship, God-centered Bible study,
[00:28:37.780 --> 00:28:39.940]   God-centered church, right?
[00:28:39.940 --> 00:28:43.980]   Again, the first thing that I wanna emphasize
[00:28:43.980 --> 00:28:48.300]   is the gathering of the church is a holy community,
[00:28:48.300 --> 00:28:50.900]   because we are the body of Christ,
[00:28:50.900 --> 00:28:54.340]   so we have to have a high view of God,
[00:28:54.340 --> 00:28:59.340]   high view of Scripture, and high view of the church, right?
[00:28:59.340 --> 00:29:04.420]   So, God doesn't serve us, we serve the church.
[00:29:04.420 --> 00:29:08.020]   The church isn't, the Scripture isn't twisted to serve me.
[00:29:08.020 --> 00:29:11.340]   I submit to the Scripture.
[00:29:11.340 --> 00:29:14.060]   Church does not exist to serve you.
[00:29:14.060 --> 00:29:17.220]   We exist to establish the church, okay?
[00:29:17.220 --> 00:29:19.180]   Let's make that very clear.
[00:29:19.180 --> 00:29:21.740]   The church is a gathering of people who've been saved,
[00:29:21.740 --> 00:29:25.060]   who belong to Christ, whose ownership is Christ,
[00:29:25.060 --> 00:29:27.580]   and this is where he reigns, right?
[00:29:27.580 --> 00:29:29.060]   This is where he reigns.
[00:29:29.060 --> 00:29:33.220]   So, again, the adjustment in attitude that we need to have
[00:29:33.220 --> 00:29:35.860]   if we have the wrong attitude toward churches,
[00:29:35.860 --> 00:29:37.580]   because we live in a generation
[00:29:37.580 --> 00:29:39.940]   where we have every church down the street,
[00:29:39.940 --> 00:29:41.620]   it's kinda like a smorgasbord.
[00:29:41.620 --> 00:29:44.060]   I like this about this church, so I go there,
[00:29:44.060 --> 00:29:45.540]   and if I like it, I serve it for a while,
[00:29:45.540 --> 00:29:47.100]   and if I don't like it, I just move on,
[00:29:47.100 --> 00:29:48.660]   and then I just, you know,
[00:29:48.660 --> 00:29:51.120]   just kinda going through a buffet line,
[00:29:51.120 --> 00:29:52.780]   and then you just kinda pick and choose what you want,
[00:29:52.780 --> 00:29:56.380]   and then, you know, and I'm kinda exaggerating,
[00:29:56.380 --> 00:29:58.380]   but we do live in a generation
[00:29:58.380 --> 00:30:01.020]   where the view of the church is like,
[00:30:01.020 --> 00:30:02.220]   because everybody's competing
[00:30:02.220 --> 00:30:04.100]   to get people to come to their church,
[00:30:04.100 --> 00:30:06.740]   so as consumers, we're kinda like,
[00:30:06.740 --> 00:30:08.140]   okay, what do you have to offer?
[00:30:08.140 --> 00:30:09.700]   What does this church have to offer?
[00:30:09.700 --> 00:30:11.780]   And then it ruins worship,
[00:30:11.780 --> 00:30:16.500]   and then it causes the church to be just another avenue
[00:30:16.500 --> 00:30:17.660]   for me to get what I want.
[00:30:17.660 --> 00:30:19.540]   So if this church doesn't have friends my age,
[00:30:19.540 --> 00:30:20.700]   or that church doesn't have this,
[00:30:20.700 --> 00:30:22.900]   and then we just go shopping, right?
[00:30:22.900 --> 00:30:25.060]   So if we have a high view of God,
[00:30:25.060 --> 00:30:26.700]   high view of His word,
[00:30:26.700 --> 00:30:30.200]   the scripture teaches us to have a high view of His church.
[00:30:30.200 --> 00:30:32.180]   Right?
[00:30:32.180 --> 00:30:34.260]   1 Corinthians 3, 16, and 17,
[00:30:34.260 --> 00:30:36.820]   there was a division in the Corinthians church,
[00:30:36.820 --> 00:30:39.300]   and so Paul is dealing with this division,
[00:30:39.300 --> 00:30:41.220]   and he says, "Do you not know that you,"
[00:30:41.220 --> 00:30:43.300]   and the you here is in plural,
[00:30:43.300 --> 00:30:45.780]   referring to the body of Christ, okay?
[00:30:45.780 --> 00:30:47.740]   "Do you not know that you are God's temple,
[00:30:47.740 --> 00:30:49.300]   "and that God's Spirit dwells in you?"
[00:30:49.300 --> 00:30:51.300]   So let me stop right here.
[00:30:51.300 --> 00:30:53.080]   What did the temple mean to a Jew?
[00:30:53.080 --> 00:30:59.300]   It was the most sacred place, right?
[00:30:59.300 --> 00:31:01.560]   It was the most sacred place
[00:31:01.560 --> 00:31:03.260]   that you couldn't just enter in and out.
[00:31:03.260 --> 00:31:05.580]   There are certain people, if you had any kind of defect,
[00:31:05.580 --> 00:31:09.100]   if you were a Gentile, if you had any kind of disease,
[00:31:09.100 --> 00:31:10.660]   if you were on your monthly flow,
[00:31:10.660 --> 00:31:12.020]   I mean, all kinds of things,
[00:31:12.020 --> 00:31:13.980]   you couldn't enter the temple.
[00:31:13.980 --> 00:31:18.100]   So the temple to a Jew was the most holiest of place.
[00:31:18.100 --> 00:31:20.460]   So when Paul says to the Corinthians,
[00:31:20.460 --> 00:31:23.460]   "That you, your body now, not the physical temple,
[00:31:23.460 --> 00:31:27.100]   "but your gathering, your church, is the temple of God,"
[00:31:27.100 --> 00:31:31.100]   immediately, any Jew would have understood this as sacred.
[00:31:31.100 --> 00:31:36.940]   Where does the sacredness first appear in the scripture
[00:31:36.940 --> 00:31:39.300]   to teach us about the sacredness of the church?
[00:31:39.300 --> 00:31:44.220]   In the book of Acts.
[00:31:47.660 --> 00:31:48.500]   Anybody?
[00:31:48.500 --> 00:31:58.660]   What does it appear?
[00:31:58.660 --> 00:32:04.020]   Ananias and Sapphira, right?
[00:32:04.020 --> 00:32:07.500]   In Acts chapter, I'm not gonna read the whole thing,
[00:32:07.500 --> 00:32:10.460]   but basically they lie to the church,
[00:32:10.460 --> 00:32:14.100]   and Peter condemns them, and they fall down and die.
[00:32:14.100 --> 00:32:14.940]   Right?
[00:32:14.940 --> 00:32:15.760]   I mean, it's like, oh my gosh,
[00:32:15.760 --> 00:32:18.240]   what's the sacredness of the church, right?
[00:32:18.240 --> 00:32:20.600]   And as a result of the capital punishment
[00:32:20.600 --> 00:32:23.040]   that comes upon this couple,
[00:32:23.040 --> 00:32:26.120]   it says that all the disciples were afraid
[00:32:26.120 --> 00:32:28.000]   to be around the apostles.
[00:32:28.000 --> 00:32:30.680]   So you're talking about a seeker-friendly church,
[00:32:30.680 --> 00:32:33.400]   I mean, these guys were exactly the opposite, right?
[00:32:33.400 --> 00:32:35.600]   They put fear in the people.
[00:32:35.600 --> 00:32:37.160]   And we don't have apostles today,
[00:32:37.160 --> 00:32:39.360]   so you don't have to worry about people dying,
[00:32:39.360 --> 00:32:42.040]   you know, at least not in that way.
[00:32:42.040 --> 00:32:43.280]   But they put fear in the people
[00:32:43.280 --> 00:32:45.720]   because they were trying to teach the early church
[00:32:45.720 --> 00:32:49.460]   the sacredness of the gathering.
[00:32:49.460 --> 00:32:51.140]   And so when that came upon them,
[00:32:51.140 --> 00:32:52.560]   it says people were so afraid
[00:32:52.560 --> 00:32:55.000]   that they wouldn't want to associate with the apostles,
[00:32:55.000 --> 00:32:57.840]   and yet the Lord was adding to the number.
[00:32:57.840 --> 00:33:00.200]   Daily, those were being saved, right?
[00:33:00.200 --> 00:33:03.440]   So they weren't coming to church because it was safe.
[00:33:03.440 --> 00:33:05.840]   They were coming to church because they recognized
[00:33:05.840 --> 00:33:09.400]   that that's where the Spirit of God dwelt, right?
[00:33:09.400 --> 00:33:12.280]   And so that church that was established
[00:33:12.280 --> 00:33:13.820]   and built in the early church,
[00:33:13.820 --> 00:33:15.540]   we are connected to that church.
[00:33:15.540 --> 00:33:20.000]   So obviously, the sacredness of the church
[00:33:20.000 --> 00:33:22.440]   is extremely important, right?
[00:33:22.440 --> 00:33:24.400]   1 Peter 2.9, "You are a chosen race,
[00:33:24.400 --> 00:33:27.040]   "a royal priesthood, a holy nation."
[00:33:27.040 --> 00:33:28.920]   And again, understand that word holy
[00:33:28.920 --> 00:33:31.320]   as we learned it from Scripture.
[00:33:31.320 --> 00:33:32.680]   "A people for his own possession,
[00:33:32.680 --> 00:33:34.640]   "that you may proclaim the excellencies of him
[00:33:34.640 --> 00:33:37.320]   "who called you out of darkness into his marvelous light."
[00:33:37.320 --> 00:33:40.980]   So it's not just the pastor, it's not just the Bible,
[00:33:40.980 --> 00:33:43.680]   but it's the church itself, right?
[00:33:43.680 --> 00:33:46.740]   You and I have become holy, right?
[00:33:46.740 --> 00:33:48.100]   Individually, we have become holy.
[00:33:48.100 --> 00:33:52.180]   1 Corinthians 6.19 also talks about us being the temple,
[00:33:52.180 --> 00:33:54.380]   but again, in 1 Corinthians 3.16,
[00:33:54.380 --> 00:33:56.220]   he's talking about the body of Christ.
[00:33:56.220 --> 00:34:00.180]   So high view of the church, right?
[00:34:00.180 --> 00:34:02.480]   And this is why we practice church membership.
[00:34:02.480 --> 00:34:04.860]   Again, I'm not gonna read that.
[00:34:04.860 --> 00:34:05.820]   You can just jot that down.
[00:34:05.820 --> 00:34:09.740]   1 Corinthians 12.12-15, "Just as the body is one
[00:34:09.740 --> 00:34:11.740]   "and has many members, and all of the members of the body,
[00:34:11.740 --> 00:34:15.180]   "though many are one body, so it is with Christ."
[00:34:15.180 --> 00:34:17.100]   So this, again, is the body of Christ.
[00:34:17.100 --> 00:34:19.300]   And the reason why we practice membership
[00:34:19.300 --> 00:34:22.660]   is because a church should not be a place
[00:34:22.660 --> 00:34:25.060]   where you just come in and out, right?
[00:34:25.060 --> 00:34:27.320]   Saying, "I wanna be part of this body one day,
[00:34:27.320 --> 00:34:28.560]   "and that body the next day,
[00:34:28.560 --> 00:34:30.780]   "and then the body down the street the other day."
[00:34:30.780 --> 00:34:33.900]   So we practice membership to recognize
[00:34:33.900 --> 00:34:36.100]   that these are the people who have committed
[00:34:36.100 --> 00:34:38.580]   to the local body of Christ, right?
[00:34:38.580 --> 00:34:41.540]   Now, I didn't put it down here because, again,
[00:34:41.540 --> 00:34:44.100]   we're gonna go into a little bit more detail later on
[00:34:44.100 --> 00:34:46.220]   when we're on the subject of the church.
[00:34:46.220 --> 00:34:50.220]   But there's a universal church, the unseen church,
[00:34:50.220 --> 00:34:52.900]   and then the local church, right?
[00:34:52.900 --> 00:34:57.900]   Universal church is the unseen church of all believers.
[00:34:57.900 --> 00:34:59.860]   Everywhere, that's the universal church.
[00:34:59.860 --> 00:35:01.220]   That's the true church.
[00:35:01.220 --> 00:35:04.380]   But that universal church is expressed
[00:35:04.380 --> 00:35:06.000]   through the local church.
[00:35:06.000 --> 00:35:08.700]   We don't have membership in the universal church
[00:35:08.700 --> 00:35:11.980]   other than our belief in Christ, right?
[00:35:11.980 --> 00:35:15.620]   But the actual living out and obedience
[00:35:15.620 --> 00:35:18.100]   in that universal church is always expressed
[00:35:18.100 --> 00:35:19.540]   through the local church.
[00:35:19.540 --> 00:35:24.940]   So Ephesians 4, 15 to 16,
[00:35:24.940 --> 00:35:28.240]   "From him the whole body joined and held together
[00:35:28.240 --> 00:35:30.060]   "by every supporting ligament grows
[00:35:30.060 --> 00:35:31.720]   "and builds itself up in love
[00:35:31.720 --> 00:35:34.660]   "as each part does its work."
[00:35:34.660 --> 00:35:37.600]   So God has gifted every single person
[00:35:37.600 --> 00:35:40.340]   so that we may use that for what purpose?
[00:35:40.340 --> 00:35:43.860]   To exalt yourself?
[00:35:43.860 --> 00:35:46.820]   To exalt God by yourself?
[00:35:46.820 --> 00:35:47.660]   No.
[00:35:47.660 --> 00:35:50.540]   He said each gift was given so that you can play your part
