
[00:00:00.000 --> 00:00:28.640]   [ Background noise ]
[00:20:38.300 --> 00:20:41.000]   So we're looking at what does Titus 1, 4 through 9 have to say?
[00:20:41.000 --> 00:20:42.500]   What does all of Titus have to say?
[00:20:42.500 --> 00:20:44.740]   What do the other pastoral epistles have to say?
[00:20:44.740 --> 00:20:47.600]   What does the whole Bible have to say about what kinds
[00:20:47.600 --> 00:20:49.080]   of men we put up in the front?
[00:20:49.080 --> 00:20:51.100]   Okay? I made a list.
[00:20:51.100 --> 00:20:54.060]   And again, this will be accessible to you online.
[00:20:54.060 --> 00:21:00.480]   A.V., thank you.
[00:21:00.480 --> 00:21:03.960]   So I just wrote it all out.
[00:21:05.200 --> 00:21:10.160]   Okay? So if you notice, first Timothy and Titus,
[00:21:10.160 --> 00:21:13.520]   it's almost like very parallel, very similar.
[00:21:13.520 --> 00:21:17.700]   Except Timothy goes into a little bit more.
[00:21:17.700 --> 00:21:19.660]   All right?
[00:21:19.660 --> 00:21:23.540]   And he mentions only one skill.
[00:21:23.540 --> 00:21:27.360]   Out of all of these things, only one skill is mentioned,
[00:21:27.360 --> 00:21:28.660]   and that's able to teach.
[00:21:28.660 --> 00:21:33.620]   But even that can also be interpreted as a character,
[00:21:33.620 --> 00:21:34.960]   like qualified to teach.
[00:21:35.680 --> 00:21:43.000]   So out of all of these things, only one word that is skill-based.
[00:21:43.000 --> 00:21:49.720]   And like I said, even that one skill is also a character thing.
[00:21:49.720 --> 00:21:52.580]   Okay? And some other instructions.
[00:21:52.580 --> 00:21:54.240]   He must not be a new convert.
[00:21:54.240 --> 00:21:58.120]   There are a lot of passionate, gifted people who just came
[00:21:58.120 --> 00:22:00.300]   to faith, you should never put them up in the front,
[00:22:00.300 --> 00:22:01.700]   because it will destroy them.
[00:22:01.700 --> 00:22:04.100]   Like the devil.
[00:22:04.860 --> 00:22:06.840]   Okay? And I'll get to that.
[00:22:06.840 --> 00:22:08.260]   They must first be tested.
[00:22:08.260 --> 00:22:10.800]   So deacons are supposed to be tested in chapter 3, verse 10.
[00:22:10.800 --> 00:22:13.340]   And that's not a leadership position.
[00:22:13.340 --> 00:22:16.800]   So if a service position, that person should be tested
[00:22:16.800 --> 00:22:18.400]   in their character, how much more
[00:22:18.400 --> 00:22:20.540]   so should a pastor, elder, et cetera, et cetera.
[00:22:20.540 --> 00:22:21.580]   And how long does it take to get
[00:22:21.580 --> 00:22:23.600]   to really test someone's character?
[00:22:23.600 --> 00:22:24.620]   Two months?
[00:22:24.620 --> 00:22:25.980]   Six months?
[00:22:25.980 --> 00:22:28.980]   One year? I say minimum three.
[00:22:28.980 --> 00:22:31.780]   Because you don't really know what's inside
[00:22:31.780 --> 00:22:32.500]   until you squeeze them.
[00:22:33.320 --> 00:22:35.640]   Right? That first negative comment that they hear,
[00:22:35.640 --> 00:22:38.460]   the first drama that they have to face, how do they respond?
[00:22:38.460 --> 00:22:42.940]   Okay? So accusations are serious business,
[00:22:42.940 --> 00:22:45.560]   worthy of double honor, and you're not supposed
[00:22:45.560 --> 00:22:46.400]   to ordain hastily.
[00:22:46.400 --> 00:22:49.260]   Okay? So those are the leadership qualities
[00:22:49.260 --> 00:22:50.560]   that we see in 1 Timothy.
[00:22:50.560 --> 00:22:54.920]   1 Peter, they're more like motivations,
[00:22:54.920 --> 00:22:57.700]   but shepherding voluntarily, shepherding according
[00:22:57.700 --> 00:22:59.280]   to the will of God, not for sort of gain.
[00:22:59.280 --> 00:23:02.700]   Eager. Not lording it, not overbearing.
[00:23:03.700 --> 00:23:04.920]   And proving to be examples.
[00:23:04.920 --> 00:23:08.200]   So these are the lists of qualifications.
[00:23:08.200 --> 00:23:13.160]   Nowhere does it say their resume, their degree,
[00:23:13.160 --> 00:23:17.540]   their ability to engage you with clever stories and gimmicks.
[00:23:17.540 --> 00:23:20.600]   Nowhere does it say how much money they give to the church.
[00:23:20.600 --> 00:23:24.200]   Nowhere does it say their personality strengths.
[00:23:24.200 --> 00:23:25.340]   Oh, they're such a people person,
[00:23:25.340 --> 00:23:26.600]   they can draw the masses.
[00:23:26.600 --> 00:23:29.120]   It doesn't say what seminate that they graduated from,
[00:23:29.120 --> 00:23:31.020]   or even if they graduated college.
[00:23:32.320 --> 00:23:36.400]   So what the world's churches today look
[00:23:36.400 --> 00:23:38.740]   for in a spiritual leader, and what the Bible says we need
[00:23:38.740 --> 00:23:40.240]   to look for, look very different.
[00:23:40.240 --> 00:23:44.520]   Right? So that's just, I put this on there
[00:23:44.520 --> 00:23:47.080]   so you can consult this later
[00:23:47.080 --> 00:23:48.260]   when it gets made available online.
[00:23:48.260 --> 00:23:49.380]   All right?
[00:23:49.380 --> 00:23:51.560]   All of these are character.
[00:23:51.560 --> 00:23:56.020]   Because if your character is flawed, you get in the way
[00:23:56.020 --> 00:23:59.280]   of adorning the gospel, adorning the doctrine of God.
[00:24:00.360 --> 00:24:03.580]   Okay? And this should be of every Christian,
[00:24:03.580 --> 00:24:08.220]   but especially those who are in the front.
[00:24:08.220 --> 00:24:09.800]   Now, just a couple of things.
[00:24:09.800 --> 00:24:13.700]   Not a new convert so that he will not become conceited
[00:24:13.700 --> 00:24:15.660]   and fall into condemnation incurred by the devil.
[00:24:15.660 --> 00:24:19.100]   He must have a good reputation with those outside the church
[00:24:19.100 --> 00:24:21.060]   so that he will not fall into reproach
[00:24:21.060 --> 00:24:22.400]   and the snare of the devil.
[00:24:22.400 --> 00:24:28.620]   So some churches, whoever seems like they have the most fire lit
[00:24:28.620 --> 00:24:32.860]   under their like just spiritual wings, you try to put them
[00:24:32.860 --> 00:24:33.640]   up in a position.
[00:24:33.640 --> 00:24:35.220]   We don't do that.
[00:24:35.220 --> 00:24:38.080]   Because they can become very arrogant and conceited.
[00:24:38.080 --> 00:24:41.200]   So if you guys are sitting here like, "How come I wasn't asked
[00:24:41.200 --> 00:24:42.100]   to be small group leader?"
[00:24:42.100 --> 00:24:43.280]   Because we have that sometimes.
[00:24:43.280 --> 00:24:46.220]   "How come that person was asked but I didn't get asked?"
[00:24:46.220 --> 00:24:52.080]   Ooh. That's one attitude that you should really examine.
[00:24:52.080 --> 00:24:56.760]   Okay? Why do you want to do this?
[00:24:57.300 --> 00:24:58.740]   Self-willed was one of those words, right?
[00:24:58.740 --> 00:25:00.800]   Above reproach, not self-willed.
[00:25:00.800 --> 00:25:03.640]   Do you want this for yourself and for your recognition
[00:25:03.640 --> 00:25:06.900]   or do you really want to do that to serve the kingdom of God
[00:25:06.900 --> 00:25:07.580]   with fear and trembling?
[00:25:07.580 --> 00:25:08.960]   All right?
[00:25:08.960 --> 00:25:12.520]   So one of the things that we do is we don't just hastily put
[00:25:12.520 --> 00:25:13.580]   people into positions.
[00:25:13.580 --> 00:25:17.780]   And sometimes, you know, like even if that person was a pastor
[00:25:17.780 --> 00:25:20.100]   and elder or this and that at some other church,
[00:25:20.100 --> 00:25:23.940]   they come in here, we make them do all the membership
[00:25:23.940 --> 00:25:25.360]   and everything, right?
[00:25:25.360 --> 00:25:27.940]   And part of that process is also a good test
[00:25:27.940 --> 00:25:30.280]   to see how they respond when they're not in the front.
[00:25:30.280 --> 00:25:34.320]   First Timothy 3.10, they must be tested.
[00:25:34.320 --> 00:25:38.880]   And again, this is for deacons but it also,
[00:25:38.880 --> 00:25:40.480]   I would assume, applies upward.
[00:25:40.480 --> 00:25:44.800]   And First Timothy 5.22, do not lay hands upon anyone too hastily
[00:25:44.800 --> 00:25:47.660]   and thereby share responsibility for the sin of others.
[00:25:47.660 --> 00:25:50.640]   So one of the reasons we're very slow to put people
[00:25:50.640 --> 00:25:54.640]   up into positions is so that we protect our flock.
[00:25:55.160 --> 00:25:57.060]   Does that make sense?
[00:25:57.060 --> 00:25:59.000]   And you get frustrated sometimes.
[00:25:59.000 --> 00:26:01.000]   We need more leaders.
[00:26:01.000 --> 00:26:01.900]   We know that.
[00:26:01.900 --> 00:26:05.620]   But who should we pick-- put up, right?
[00:26:05.620 --> 00:26:09.620]   Like we want to be very slow because it's easier to wait
[00:26:09.620 --> 00:26:14.360]   for the right person than to hastily put someone in place
[00:26:14.360 --> 00:26:16.520]   and then regret when we take them off.
[00:26:16.520 --> 00:26:19.020]   You guys understand that?
[00:26:19.020 --> 00:26:24.060]   So in the meantime, when our numbers are growing fast,
[00:26:24.060 --> 00:26:27.180]   we have few leaders, everyone needs to do their best
[00:26:27.180 --> 00:26:29.940]   to just help build this church in the way that,
[00:26:29.940 --> 00:26:31.520]   in many ways, only you can.
[00:26:31.520 --> 00:26:37.720]   OK? So here's some applications for you.
[00:26:37.720 --> 00:26:43.200]   These characteristics should be true of all Christians.
[00:26:43.200 --> 00:26:45.240]   What are areas of your life
[00:26:45.240 --> 00:26:47.500]   that your small group members can keep you accountable in?
[00:26:47.500 --> 00:26:49.540]   How can they pray for you?
[00:26:49.540 --> 00:26:52.460]   And you don't want to leave it like, "Oh,
[00:26:52.460 --> 00:26:53.860]   I just need to know God more."
[00:26:54.420 --> 00:26:56.020]   That is very difficult to measure.
[00:26:56.020 --> 00:26:57.360]   All right?
[00:26:57.360 --> 00:26:58.820]   Are you addicted to entertainment?
[00:26:58.820 --> 00:27:02.100]   Are you very pugnacious?
[00:27:02.100 --> 00:27:04.980]   Do you have zero self-control?
[00:27:04.980 --> 00:27:08.900]   Do you struggle just with thought life?
[00:27:08.900 --> 00:27:14.180]   Are you involved in very shady things for financial gain?
[00:27:14.180 --> 00:27:17.120]   These are things that you shouldn't just hold the elders
[00:27:17.120 --> 00:27:17.740]   feet to the fire.
[00:27:17.740 --> 00:27:18.780]   These should be things
[00:27:18.780 --> 00:27:20.100]   that you should examine your own heart.
[00:27:20.100 --> 00:27:22.140]   OK? So what are these things in your life?
[00:27:23.280 --> 00:27:27.280]   And secondly, how fast are you holding to the faithful word?
[00:27:27.280 --> 00:27:31.460]   Is the word of God, the intake of the word of God,
[00:27:31.460 --> 00:27:32.860]   a priority in your life?
[00:27:32.860 --> 00:27:35.440]   And if it is a priority in your life,
[00:27:35.440 --> 00:27:37.980]   are you studying the word of God so you can be known
[00:27:37.980 --> 00:27:39.500]   as someone who studies the word of God?
[00:27:39.500 --> 00:27:41.100]   Or so that you can know the Lord better?
[00:27:41.100 --> 00:27:42.500]   There's a big difference.
[00:27:42.500 --> 00:27:45.840]   OK? There are a lot of people at Bible churches.
[00:27:45.840 --> 00:27:48.980]   It's very -- sometimes it's multifaceted, difficult to tell.
[00:27:48.980 --> 00:27:52.880]   It's easier to fit in when you're actively memorizing,
[00:27:52.880 --> 00:27:53.780]   you're actively studying.
[00:27:53.780 --> 00:27:55.400]   But that's not the motivation.
[00:27:55.400 --> 00:27:56.480]   That should not be the motivation.
[00:27:56.480 --> 00:27:59.640]   Right? And what can you practically do to grow
[00:27:59.640 --> 00:28:02.040]   in your area of Bible knowledge and study?
[00:28:02.040 --> 00:28:05.780]   Is Wednesday the only thing you do for spiritual meat?
[00:28:05.780 --> 00:28:08.620]   Then you're spiritually malnourished.
[00:28:08.620 --> 00:28:13.200]   And you're going to have a hard time spiritually fighting your
[00:28:13.200 --> 00:28:15.740]   spiritual battles if you haven't been eating much.
[00:28:15.740 --> 00:28:19.080]   OK? So let that be just an encouragement to you guys.
[00:28:19.080 --> 00:28:22.180]   And that's what we'll wrap up with in our group.
[00:28:22.180 --> 00:28:22.960]   Just apply.
[00:28:22.960 --> 00:28:26.500]   And this is for next week.
[00:28:26.500 --> 00:28:29.900]   And over the weeks, it's going to be the same stuff.
[00:28:29.900 --> 00:28:31.460]   This is actually literally copy/paste.
[00:28:31.460 --> 00:28:32.760]   I just changed the date.
[00:28:32.760 --> 00:28:35.160]   OK? And the passage.
[00:28:35.160 --> 00:28:38.900]   So someone asked me, someone from home group,
[00:28:38.900 --> 00:28:40.040]   did you put the questions up?
[00:28:40.040 --> 00:28:42.220]   I was like -- and I was about to say it's the same ones
[00:28:42.220 --> 00:28:42.840]   from last time.
[00:28:42.840 --> 00:28:48.080]   But because there's a lot of new people, I forgot to put it up.
[00:28:48.080 --> 00:28:48.960]   But I should put it up.
[00:28:48.960 --> 00:28:51.780]   OK? So if you don't see it up, email me like a snob.
[00:28:51.780 --> 00:28:54.460]   And then I'll respond in a gracious way as possible.
[00:28:54.460 --> 00:28:55.100]   All right?
[00:28:55.100 --> 00:28:56.040]   So I'm not pugnacious.
[00:28:56.040 --> 00:28:58.760]   So these are the same questions.
[00:28:58.760 --> 00:29:00.800]   But ultimately, it's just three verses.
[00:29:00.800 --> 00:29:02.100]   You ask questions.
[00:29:02.100 --> 00:29:03.240]   You pour over it.
[00:29:03.240 --> 00:29:05.600]   And then come up with observations.
[00:29:05.600 --> 00:29:08.360]   And then how do these verses fit into the context of the rest
[00:29:08.360 --> 00:29:09.560]   of the section, chapter, letter?
[00:29:09.560 --> 00:29:10.720]   What are some practical,
[00:29:10.720 --> 00:29:12.100]   measurable applications you can draw?
[00:29:12.100 --> 00:29:15.700]   And three weeks in a row, I've gone shorter and shorter.
[00:29:15.700 --> 00:29:18.780]   So by the chapter three, I'm shooting to go
[00:29:18.780 --> 00:29:20.000]   like 10 minutes or less.
[00:29:20.000 --> 00:29:20.780]   All right?
[00:29:21.060 --> 00:29:24.100]   But right now, there's a lot more instructive how-tos
[00:29:24.100 --> 00:29:25.040]   that are happening.
[00:29:25.040 --> 00:29:27.740]   But more and more, the Bible studies are going to be
[00:29:27.740 --> 00:29:29.940]   like your guys' discussion-oriented.
[00:29:29.940 --> 00:29:34.700]   OK? So wrap up with this in your small groups.
[00:29:34.700 --> 00:29:36.900]   And then you finish when you finish.
[00:29:36.900 --> 00:29:39.340]   And then if you guys can, help clean up your area.
[00:29:39.340 --> 00:29:41.660]   And then help us to get ready for Sunday worship.
[00:29:41.660 --> 00:29:42.440]   Let's -- let me pray.
[00:29:50.100 --> 00:29:53.520]   Father, we want all of these things to be characteristic
[00:29:53.520 --> 00:29:55.720]   of every single member in our church.
[00:29:55.720 --> 00:30:00.100]   That we really just represent you well
[00:30:00.100 --> 00:30:01.800]   to this dark and fallen world.
[00:30:01.800 --> 00:30:05.480]   So in the areas of our weakness, in our areas
[00:30:05.480 --> 00:30:08.180]   where we are very fleshly, in the areas
[00:30:08.180 --> 00:30:10.820]   that are we -- are easily corrupted and sidetracked,
[00:30:10.820 --> 00:30:14.700]   I pray that your grace would sustain us, strengthen us,
[00:30:14.700 --> 00:30:19.260]   and feed us, Lord God, over the course of this next week
[00:30:19.260 --> 00:30:21.620]   until we meet again with your truth, with your word.
[00:30:21.620 --> 00:30:25.520]   We pray for your blessing over the rest of the Bible studies
[00:30:25.520 --> 00:30:26.540]   that are going on this week.
[00:30:26.540 --> 00:30:30.500]   We pray that you would use Pastor Peter in a mighty way
[00:30:30.500 --> 00:30:32.300]   on Sunday as he proclaims your word.
[00:30:32.300 --> 00:30:38.000]   So that every step of just our lives, every day of the week,
[00:30:38.000 --> 00:30:43.340]   we would engage just in feasting off the word of God.
[00:30:43.340 --> 00:30:45.420]   So we pray for your help because the things
[00:30:45.420 --> 00:30:47.660]   of this world do draw our attention away.
[00:30:48.080 --> 00:30:50.460]   So would you encourage, challenge, exhort,
[00:30:50.460 --> 00:30:52.380]   and excite us with your word.
[00:30:52.380 --> 00:30:53.580]   And Jesus, let me pray.
[00:30:53.580 --> 00:31:02.580]   Thank you very much.
[00:31:02.580 --> 00:31:12.580]   [BLANK_AUDIO]

